gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attBxRight,postScoringAtt,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,goalsConcededObox,bigChanceScored,savedObox,goalAssistSetplay,attLfGoal,attGoalLowCentre,goals,attOboxBlocked,midfielderGoals,interceptionsInBox,attMissHighLeft,goalAssist,ownGoals,attIboxGoal,goalAssistIntentional,attIboxOwnGoal,errorLeadToGoal,attIboxTarget,attMissLeft,cleanSheet,attMissRight,attHdTarget,errorLeadToShot,attSvLowRight,attCmissLeft,punches,foulThrowIn,effectiveBlockedCross,blockedCross,attLfTarget,attMissHighRight,attSvHighRight,attSvLowLeft,attGoalHighCentre,attHdGoal,ptsDroppedWinningPos,attFreekickTotal,attSvLowCentre,freekickTotal,attCmissHigh,attOboxPost,attHdMiss,attPostRight,attGoalLowLeft,attCmissRight,attLgCentre,accurateThroughBall,attRfGoal,defenderGoals,attFreekickMiss,attGoalLowRight,shotFastbreak,goalAssistOpenplay,ptsGainedLosingPos,totalFastbreak,sixYardBlock,attCmissHighLeft,goalsOpenplay,attFastbreak,attSvHighLeft,totalKeeperSweeper,accurateKeeperSweeper,attOboxGoal,attFreekickTarget,clearanceOffLine,forwardGoals,attFreekickGoal,contentiousDecision,attGoalHighLeft,penaltySave,attGoalHighRight,secondYellow,attOneOnOne,attObxdLeft,goalAssistDeadball,attObxLeft,penaltyWon,attPenGoal,attObxRight,attCmissHighRight,goalFastbreak
11,987697,2018-11-05 20:00:00,"Accu Stadium, Huddersfield",17082,Home,Huddersfield Town,Fulham,1,0,W,1,0,0,0,,70.0,2.0,38.0,10.0,5.0,3.0,5.0,1.0,,182.0,3.0,5.0,3.0,7.0,,2.0,67.0,191.0,64.0,10.0,27.0,,1.0,26.0,,20.0,2.0,10.0,4.0,8.0,33.0,157.0,0.0,146.0,11.0,,2.0,1.0,57.0,123.0,2.0,65.0,22.0,37.0,5.0,5.0,2.0,191.0,,7.0,,73.0,,598.0,6.0,18.0,14.0,1.0,25.0,245.0,15.0,17.0,2.0,1.0,4.0,5.0,24.0,361.0,73.0,1.0,85368,4.0,107.0,,15.0,1.0,,125.0,6.0,,37.0,9.0,67.0,,3.0,,15.0,1.0,4.0,3.0,73.0,261.0,8.0,13.0,1.0,40.0,77.0,0.0,1.0,4.0,1.0,1.0,,7.0,0.0,3.0,,3.0,45.1,18.0,8.0,1.0,,,2.0,38.0,5.0,,1.0,387.0,,25.0,13.0,15.0,6.0,32.0,,3.0,288.0,3.0,7.0,27.0,84.0,44.0,2.0,25.0,,5.0,3.0,9.0,21.0,5.0,,,,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,1.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12,987706,2018-11-10 15:00:00,"Accu Stadium, Huddersfield",24069,Home,Huddersfield Town,West Ham United,1,1,D,1,0,0,0,,67.0,,28.0,26.0,9.0,3.0,6.0,2.0,5.0,160.0,3.0,5.0,1.0,10.0,,7.0,72.0,156.0,62.0,15.0,14.0,1.0,,16.0,,12.0,2.0,26.0,5.0,4.0,30.0,161.0,0.0,136.0,9.0,2.0,,1.0,57.0,81.0,5.0,59.0,11.0,24.0,9.0,2.0,5.0,156.0,2.0,8.0,,63.0,,554.0,8.0,13.0,18.0,2.0,10.0,239.0,19.0,9.0,14.0,1.0,5.0,5.0,17.0,327.0,63.0,,87428,4.0,99.0,2.0,9.0,,,118.0,6.0,,24.0,11.0,52.0,3.0,7.0,2.0,16.0,4.0,9.0,,62.0,257.0,8.0,11.0,1.0,30.0,79.0,0.0,,6.0,4.0,,1.0,7.0,0.0,2.0,,2.0,43.9,12.0,7.0,1.0,1.0,2.0,1.0,35.0,5.0,,1.0,354.0,,10.0,12.0,13.0,7.0,28.0,1.0,2.0,252.0,10.0,4.0,31.0,88.0,34.0,14.0,18.0,1.0,12.0,3.0,11.0,13.0,5.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,4.0,4.0,,2.0,1.0,,1.0,,2.0,,3.0,3.0,,,1.0,,,,2.0,1.0,3.0,1.0,,,1.0,,,,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
13,987721,2018-11-25 16:00:00,"Molineux Stadium, Wolverhampton",30130,Away,Huddersfield Town,Wolverhampton Wanderers,2,0,W,1,0,0,0,,83.0,2.0,47.0,19.0,8.0,2.0,6.0,2.0,2.0,211.0,4.0,4.0,3.0,10.0,1.0,6.0,129.0,165.0,70.0,14.0,19.0,2.0,,19.0,,19.0,1.0,19.0,2.0,7.0,44.0,207.0,0.0,129.0,8.0,,2.0,,54.0,116.0,8.0,102.0,17.0,21.0,8.0,6.0,3.0,165.0,,6.0,,105.0,,756.0,7.0,19.0,16.0,,25.0,421.0,21.0,16.0,4.0,2.0,4.0,2.0,20.0,529.0,53.0,,87428,3.0,231.0,,9.0,,,259.0,6.0,2.0,21.0,5.0,56.0,,1.0,2.0,11.0,6.0,4.0,1.0,87.0,434.0,9.0,9.0,2.0,43.0,89.0,0.0,,3.0,3.0,,,9.0,0.0,2.0,,2.0,55.2,16.0,6.0,,3.0,2.0,4.0,42.0,5.0,,,547.0,,25.0,15.0,22.0,4.0,25.0,2.0,1.0,307.0,9.0,5.0,29.0,90.0,50.0,4.0,28.0,,10.0,3.0,10.0,7.0,5.0,,,,,,,2.0,2.0,2.0,1.0,,1.0,,,1.0,,,3.0,2.0,1.0,1.0,2.0,,,1.0,,,3.0,3.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,2.0,,,1.0,,1.0,,,1.0,,1.0,,,1.0,,2.0,,1.0,,1.0,,,,,,,,,,,,,,
14,987726,2018-12-01 15:00:00,"Accu Stadium, Huddersfield",22973,Home,Huddersfield Town,Brighton and Hove Albion,1,2,L,1,1,1,0,,49.0,2.0,17.0,18.0,2.0,4.0,5.0,4.0,1.0,116.0,1.0,2.0,2.0,3.0,,2.0,53.0,138.0,43.0,7.0,31.0,,,12.0,,6.0,1.0,18.0,2.0,3.0,26.0,106.0,0.0,92.0,10.0,2.0,2.0,1.0,41.0,70.0,1.0,33.0,10.0,6.0,2.0,3.0,1.0,138.0,,7.0,,63.0,,434.0,,10.0,11.0,,13.0,167.0,20.0,5.0,5.0,0.0,5.0,2.0,26.0,235.0,58.0,,87428,4.0,77.0,,5.0,,,93.0,6.0,1.0,6.0,10.0,62.0,,1.0,,16.0,7.0,5.0,,56.0,182.0,12.0,6.0,3.0,25.0,65.0,0.0,,7.0,3.0,,2.0,1.0,1.0,,,2.0,32.1,15.0,3.0,1.0,,1.0,2.0,24.0,2.0,,1.0,265.0,,13.0,8.0,11.0,3.0,18.0,1.0,2.0,184.0,1.0,3.0,16.0,54.0,20.0,5.0,13.0,2.0,2.0,3.0,9.0,3.0,2.0,,,1.0,,,,1.0,,,2.0,1.0,,,1.0,,,,,,,2.0,,,,,,,1.0,1.0,,,,1.0,,1.0,3.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,
15,987732,2018-12-04 19:45:00,"Vitality Stadium, Bournemouth",9980,Away,Huddersfield Town,Bournemouth,1,2,L,1,2,0,0,1.0,63.0,4.0,39.0,8.0,6.0,7.0,17.0,,3.0,239.0,13.0,4.0,3.0,16.0,,6.0,154.0,172.0,78.0,23.0,30.0,4.0,,45.0,,9.0,2.0,8.0,8.0,6.0,39.0,328.0,0.0,249.0,11.0,,3.0,,114.0,133.0,8.0,80.0,37.0,24.0,6.0,9.0,1.0,172.0,1.0,4.0,,135.0,,825.0,10.0,10.0,36.0,,12.0,486.0,20.0,7.0,4.0,2.0,,8.0,31.0,586.0,82.0,2.0,87428,12.0,186.0,1.0,25.0,1.0,,214.0,7.0,1.0,24.0,5.0,59.0,,,1.0,13.0,2.0,3.0,,73.0,501.0,13.0,5.0,5.0,21.0,81.0,0.0,2.0,4.0,,,2.0,4.0,0.0,8.0,,7.0,67.2,27.0,12.0,,1.0,1.0,7.0,50.0,8.0,,,608.0,,12.0,10.0,16.0,10.0,62.0,5.0,9.0,439.0,8.0,6.0,39.0,192.0,29.0,4.0,22.0,2.0,13.0,3.0,8.0,13.0,8.0,,,,1.0,,,1.0,3.0,,2.0,3.0,1.0,,1.0,1.0,,,3.0,5.0,,2.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,2.0,1.0,,,5.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,
16,987743,2018-12-08 15:00:00,"Emirates Stadium, London",59893,Away,Huddersfield Town,Arsenal,0,1,L,0,0,0,0,1.0,60.0,1.0,37.0,22.0,1.0,2.0,5.0,2.0,,168.0,4.0,4.0,1.0,5.0,,,43.0,149.0,53.0,6.0,19.0,1.0,,11.0,,9.0,,22.0,1.0,2.0,29.0,134.0,0.0,107.0,20.0,2.0,1.0,1.0,73.0,45.0,1.0,57.0,10.0,23.0,1.0,3.0,1.0,149.0,,8.0,,55.0,,501.0,5.0,19.0,14.0,,15.0,198.0,25.0,9.0,6.0,4.0,4.0,4.0,17.0,292.0,60.0,,87428,3.0,88.0,,6.0,,,116.0,11.0,,23.0,10.0,57.0,,,1.0,18.0,6.0,6.0,,76.0,218.0,10.0,3.0,,32.0,75.0,0.0,,7.0,,,1.0,8.0,0.0,3.0,,,38.1,15.0,4.0,1.0,,1.0,1.0,36.0,1.0,,1.0,323.0,,15.0,10.0,12.0,5.0,17.0,1.0,4.0,218.0,3.0,1.0,24.0,66.0,25.0,6.0,16.0,1.0,6.0,3.0,11.0,14.0,1.0,,,1.0,,,,,,,2.0,2.0,,,,,,,,1.0,,2.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
17,987755,2018-12-15 15:00:00,"Accu Stadium, Huddersfield",24036,Home,Huddersfield Town,Newcastle United,0,1,L,0,0,0,0,1.0,71.0,3.0,55.0,13.0,5.0,4.0,10.0,4.0,1.0,216.0,12.0,9.0,6.0,13.0,,5.0,140.0,196.0,72.0,15.0,22.0,,,41.0,,10.0,4.0,13.0,9.0,3.0,62.0,316.0,0.0,233.0,5.0,1.0,4.0,,131.0,122.0,6.0,111.0,32.0,19.0,5.0,16.0,1.0,196.0,,3.0,,157.0,,859.0,9.0,15.0,33.0,,14.0,491.0,13.0,7.0,5.0,1.0,1.0,7.0,31.0,609.0,90.0,1.0,87428,8.0,199.0,,12.0,2.0,,218.0,2.0,,19.0,3.0,48.0,,2.0,5.0,22.0,5.0,2.0,1.0,86.0,503.0,12.0,5.0,4.0,18.0,79.0,0.0,,1.0,2.0,,1.0,2.0,0.0,9.0,,5.0,73.5,26.0,9.0,1.0,1.0,5.0,3.0,51.0,10.0,,,624.0,,14.0,10.0,34.0,7.0,61.0,3.0,6.0,447.0,5.0,3.0,32.0,161.0,43.0,5.0,19.0,1.0,8.0,3.0,16.0,9.0,10.0,,,2.0,,,,,,,1.0,3.0,,,,,,,1.0,1.0,,2.0,1.0,1.0,2.0,,1.0,,,,3.0,,,1.0,,,,1.0,,1.0,,,4.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
18,987767,2018-12-22 15:00:00,"Accu Stadium, Huddersfield",22384,Home,Huddersfield Town,Southampton,1,3,L,0,2,0,0,,76.0,2.0,37.0,14.0,8.0,6.0,8.0,3.0,2.0,211.0,8.0,2.0,2.0,11.0,,5.0,114.0,186.0,61.0,16.0,17.0,2.0,,31.0,,8.0,1.0,14.0,7.0,7.0,41.0,177.0,0.0,138.0,12.0,1.0,2.0,,65.0,90.0,8.0,77.0,24.0,15.0,8.0,10.0,2.0,186.0,,6.0,,121.0,,710.0,8.0,10.0,23.0,,21.0,377.0,31.0,6.0,6.0,2.0,1.0,3.0,24.0,502.0,76.0,1.0,87428,5.0,226.0,1.0,12.0,,1.0,258.0,4.0,1.0,15.0,7.0,53.0,1.0,3.0,4.0,13.0,7.0,5.0,2.0,86.0,395.0,9.0,13.0,2.0,38.0,92.0,0.0,1.0,2.0,1.0,,3.0,2.0,0.0,4.0,,2.0,62.3,18.0,3.0,1.0,1.0,4.0,6.0,54.0,8.0,1.0,,523.0,1.0,21.0,8.0,25.0,5.0,39.0,4.0,3.0,296.0,7.0,6.0,36.0,78.0,36.0,6.0,16.0,3.0,10.0,3.0,6.0,6.0,8.0,,,2.0,,1.0,1.0,1.0,4.0,1.0,,,1.0,,,,,2.0,3.0,,,2.0,2.0,,1.0,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
19,987778,2018-12-26 15:00:00,"Old Trafford, Manchester",74523,Away,Huddersfield Town,Manchester United,1,3,L,0,1,0,0,,66.0,1.0,28.0,22.0,4.0,4.0,6.0,7.0,1.0,151.0,4.0,7.0,,8.0,,2.0,68.0,137.0,54.0,10.0,17.0,1.0,,15.0,,15.0,,22.0,2.0,5.0,38.0,129.0,0.0,98.0,13.0,,1.0,1.0,48.0,59.0,3.0,45.0,13.0,20.0,4.0,3.0,4.0,137.0,2.0,10.0,,71.0,,547.0,6.0,11.0,18.0,,21.0,231.0,33.0,6.0,6.0,1.0,4.0,5.0,20.0,313.0,41.0,,87428,3.0,120.0,1.0,9.0,1.0,,149.0,8.0,1.0,20.0,3.0,53.0,,4.0,7.0,13.0,6.0,2.0,1.0,60.0,245.0,8.0,10.0,1.0,26.0,66.0,0.0,1.0,5.0,3.0,,3.0,4.0,0.0,3.0,,,35.3,16.0,4.0,,,7.0,1.0,34.0,3.0,,1.0,335.0,,21.0,10.0,23.0,7.0,27.0,1.0,3.0,201.0,6.0,4.0,12.0,67.0,15.0,6.0,27.0,2.0,7.0,3.0,11.0,10.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,,3.0,,1.0,,1.0,1.0,,,1.0,3.0,,1.0,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,987785,2018-12-29 15:00:00,"Craven Cottage, London",24423,Away,Huddersfield Town,Fulham,0,1,L,0,0,0,0,1.0,57.0,1.0,38.0,18.0,4.0,2.0,5.0,4.0,1.0,197.0,3.0,5.0,1.0,6.0,,5.0,124.0,159.0,51.0,9.0,38.0,,,17.0,,4.0,2.0,18.0,3.0,6.0,43.0,104.0,0.0,93.0,10.0,2.0,1.0,1.0,35.0,76.0,6.0,86.0,14.0,14.0,4.0,6.0,,159.0,,12.0,,122.0,,702.0,5.0,14.0,14.0,,12.0,401.0,26.0,9.0,9.0,1.0,2.0,,27.0,505.0,53.0,,87428,4.0,317.0,,7.0,1.0,1.0,352.0,5.0,,14.0,7.0,60.0,,2.0,4.0,17.0,2.0,6.0,,85.0,418.0,12.0,5.0,1.0,40.0,70.0,0.0,,4.0,4.0,,1.0,4.0,0.0,3.0,1.0,3.0,56.5,20.0,1.0,1.0,2.0,4.0,3.0,35.0,3.0,1.0,1.0,529.0,,12.0,7.0,20.0,1.0,33.0,,1.0,194.0,4.0,6.0,25.0,49.0,24.0,9.0,9.0,1.0,7.0,2.0,6.0,5.0,3.0,,,,,,,,2.0,,1.0,,,,,,,,3.0,1.0,,,3.0,,,,,,3.0,3.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
21,987797,2019-01-02 19:45:00,"Accu Stadium, Huddersfield",23715,Home,Huddersfield Town,Burnley,1,2,L,1,1,1,1,,68.0,4.0,31.0,20.0,3.0,3.0,6.0,6.0,,194.0,4.0,5.0,1.0,8.0,,2.0,67.0,176.0,72.0,9.0,34.0,,,18.0,,11.0,1.0,20.0,4.0,6.0,39.0,126.0,0.0,120.0,11.0,2.0,,1.0,46.0,76.0,6.0,44.0,14.0,14.0,3.0,4.0,2.0,176.0,1.0,11.0,,56.0,,540.0,5.0,15.0,15.0,,17.0,220.0,29.0,9.0,8.0,0.0,1.0,2.0,27.0,332.0,59.0,,87428,3.0,112.0,,10.0,,,147.0,5.0,,14.0,8.0,62.0,,,,15.0,5.0,4.0,1.0,81.0,234.0,8.0,10.0,2.0,35.0,78.0,0.0,1.0,2.0,5.0,,2.0,4.0,1.0,2.0,,1.0,42.9,18.0,1.0,2.0,,,4.0,33.0,5.0,,1.0,361.0,,17.0,6.0,14.0,3.0,27.0,2.0,1.0,232.0,3.0,4.0,42.0,63.0,28.0,8.0,18.0,2.0,5.0,3.0,9.0,5.0,5.0,,1.0,1.0,,,,1.0,,,2.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,,1.0,,1.0,,2.0,2.0,1.0,1.0,,,,1.0,3.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,2.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,
22,987804,2019-01-12 15:00:00,"Cardiff City Stadium, Cardiff",30725,Away,Huddersfield Town,Cardiff City,0,0,D,0,0,0,0,2.0,65.0,4.0,27.0,25.0,6.0,2.0,7.0,,,169.0,8.0,8.0,2.0,12.0,,2.0,110.0,181.0,78.0,14.0,30.0,1.0,,23.0,,7.0,,25.0,8.0,7.0,38.0,172.0,0.0,163.0,14.0,,2.0,3.0,76.0,63.0,8.0,47.0,15.0,23.0,7.0,8.0,3.0,181.0,,1.0,,99.0,,636.0,10.0,16.0,28.0,,13.0,280.0,27.0,7.0,14.0,1.0,3.0,4.0,24.0,404.0,60.0,1.0,87428,4.0,133.0,,5.0,1.0,,169.0,6.0,,23.0,3.0,63.0,,3.0,7.0,15.0,2.0,3.0,,62.0,297.0,12.0,8.0,2.0,22.0,76.0,0.0,2.0,3.0,,,,4.0,0.0,4.0,,3.0,61.1,19.0,2.0,2.0,,7.0,8.0,39.0,10.0,,3.0,425.0,,13.0,9.0,14.0,4.0,40.0,4.0,1.0,279.0,7.0,5.0,45.0,103.0,26.0,14.0,13.0,,10.0,2.0,12.0,10.0,10.0,,,,,,,,4.0,,2.0,,,,,,,,2.0,,1.0,3.0,2.0,,,,1.0,,4.0,4.0,,1.0,1.0,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,2.0,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,
23,987815,2019-01-20 13:30:00,"Accu Stadium, Huddersfield",24190,Home,Huddersfield Town,Manchester City,0,3,L,0,1,0,0,,65.0,,21.0,21.0,2.0,1.0,3.0,1.0,,154.0,2.0,3.0,2.0,4.0,,2.0,74.0,148.0,47.0,5.0,15.0,,,14.0,,11.0,1.0,21.0,1.0,5.0,38.0,131.0,0.0,95.0,10.0,,2.0,1.0,56.0,49.0,2.0,46.0,13.0,9.0,2.0,7.0,1.0,148.0,,10.0,,71.0,,516.0,4.0,5.0,10.0,,11.0,233.0,31.0,7.0,9.0,2.0,2.0,2.0,23.0,320.0,53.0,,87428,2.0,120.0,1.0,4.0,,,149.0,6.0,1.0,9.0,9.0,53.0,1.0,2.0,1.0,15.0,2.0,2.0,,55.0,249.0,8.0,15.0,,26.0,66.0,0.0,4.0,4.0,1.0,,3.0,1.0,0.0,2.0,,2.0,32.4,17.0,2.0,,1.0,1.0,,33.0,1.0,,1.0,345.0,,11.0,4.0,18.0,3.0,19.0,,2.0,210.0,2.0,4.0,14.0,57.0,25.0,9.0,22.0,2.0,5.0,2.0,12.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,3.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
24,987825,2019-01-29 19:45:00,"Accu Stadium, Huddersfield",23699,Home,Huddersfield Town,Everton,0,1,L,0,1,0,1,1.0,68.0,,34.0,8.0,4.0,2.0,6.0,4.0,1.0,218.0,6.0,13.0,3.0,9.0,,2.0,123.0,174.0,65.0,10.0,19.0,,,26.0,,10.0,1.0,8.0,3.0,7.0,42.0,247.0,0.0,164.0,13.0,1.0,1.0,1.0,94.0,88.0,3.0,93.0,24.0,25.0,4.0,15.0,1.0,174.0,1.0,6.0,,114.0,,753.0,9.0,10.0,18.0,,10.0,419.0,27.0,10.0,2.0,1.0,1.0,6.0,25.0,529.0,82.0,,87428,5.0,193.0,1.0,8.0,,,230.0,6.0,,25.0,5.0,65.0,2.0,,2.0,14.0,4.0,2.0,1.0,77.0,434.0,10.0,9.0,,32.0,90.0,0.0,1.0,4.0,2.0,,1.0,3.0,0.0,6.0,,5.0,58.4,25.0,1.0,,,2.0,2.0,57.0,3.0,,1.0,548.0,,10.0,14.0,17.0,6.0,35.0,1.0,5.0,344.0,3.0,7.0,25.0,111.0,34.0,2.0,17.0,1.0,8.0,3.0,24.0,10.0,3.0,,,2.0,,,,,2.0,,,,,,,,,,1.0,4.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,4.0,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
25,987835,2019-02-02 15:00:00,"Stamford Bridge, London",40626,Away,Huddersfield Town,Chelsea,0,5,L,0,2,0,0,,67.0,2.0,34.0,21.0,1.0,2.0,4.0,2.0,,140.0,3.0,11.0,1.0,5.0,,2.0,76.0,129.0,39.0,5.0,8.0,1.0,,11.0,,8.0,1.0,21.0,2.0,4.0,37.0,110.0,0.0,75.0,5.0,2.0,1.0,2.0,66.0,46.0,4.0,80.0,9.0,31.0,1.0,2.0,,129.0,,16.0,,99.0,,586.0,4.0,8.0,13.0,,13.0,292.0,34.0,7.0,4.0,0.0,8.0,1.0,16.0,364.0,32.0,1.0,87428,3.0,213.0,,6.0,,1.0,238.0,3.0,,31.0,11.0,64.0,,1.0,2.0,14.0,7.0,10.0,1.0,63.0,320.0,8.0,24.0,1.0,19.0,63.0,0.0,2.0,11.0,,,5.0,3.0,0.0,2.0,1.0,2.0,35.0,14.0,9.0,,,2.0,2.0,40.0,2.0,1.0,2.0,395.0,1.0,13.0,21.0,19.0,1.0,13.0,1.0,1.0,168.0,1.0,3.0,8.0,48.0,16.0,4.0,13.0,4.0,4.0,3.0,17.0,18.0,2.0,1.0,,2.0,,,,,,,2.0,,,,,,,,1.0,,,,1.0,,2.0,,1.0,,2.0,2.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
26,987845,2019-02-09 15:00:00,"Accu Stadium, Huddersfield",24182,Home,Huddersfield Town,Arsenal,1,2,L,0,2,0,0,1.0,72.0,,32.0,8.0,8.0,11.0,8.0,2.0,2.0,206.0,1.0,8.0,4.0,10.0,,7.0,104.0,161.0,62.0,16.0,16.0,1.0,,25.0,,15.0,3.0,8.0,5.0,12.0,31.0,245.0,0.0,175.0,17.0,1.0,3.0,,104.0,95.0,6.0,65.0,20.0,31.0,8.0,7.0,2.0,161.0,2.0,9.0,,107.0,,704.0,10.0,6.0,15.0,1.0,21.0,365.0,17.0,6.0,,3.0,1.0,4.0,33.0,460.0,70.0,,87428,4.0,138.0,2.0,10.0,,,152.0,11.0,,31.0,7.0,60.0,,2.0,1.0,13.0,,6.0,,60.0,382.0,12.0,10.0,,26.0,73.0,0.0,1.0,,2.0,,2.0,1.0,0.0,1.0,,,54.6,30.0,10.0,1.0,2.0,1.0,3.0,43.0,5.0,,,482.0,,21.0,12.0,16.0,6.0,31.0,,4.0,355.0,5.0,10.0,16.0,126.0,42.0,,26.0,2.0,12.0,3.0,14.0,17.0,5.0,,1.0,,,1.0,,1.0,3.0,,1.0,,,,1.0,,,,3.0,3.0,,2.0,,,,2.0,,,1.0,1.0,4.0,1.0,,2.0,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,
27,987860,2019-02-23 15:00:00,"St. James' Park, Newcastle",52174,Away,Huddersfield Town,Newcastle United,0,2,L,0,0,1,0,,55.0,1.0,28.0,30.0,1.0,2.0,2.0,10.0,,183.0,3.0,6.0,2.0,3.0,,,101.0,147.0,51.0,3.0,27.0,,,6.0,,5.0,,30.0,,5.0,38.0,180.0,0.0,97.0,7.0,4.0,2.0,1.0,90.0,63.0,2.0,84.0,6.0,18.0,1.0,1.0,,147.0,,23.0,,112.0,,679.0,2.0,10.0,7.0,,10.0,364.0,19.0,8.0,13.0,0.0,6.0,1.0,30.0,456.0,47.0,1.0,87428,2.0,201.0,,3.0,1.0,,233.0,3.0,,18.0,8.0,49.0,1.0,,9.0,21.0,6.0,4.0,,65.0,378.0,11.0,3.0,1.0,28.0,81.0,0.0,2.0,12.0,8.0,,2.0,1.0,1.0,3.0,1.0,1.0,45.7,24.0,1.0,,,9.0,2.0,51.0,,,1.0,480.0,,10.0,7.0,20.0,1.0,15.0,,1.0,253.0,,5.0,24.0,61.0,20.0,13.0,10.0,2.0,2.0,3.0,12.0,5.0,,,,2.0,,,,,1.0,,2.0,,,,,,,,,1.0,,,,,,,1.0,,4.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
