gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attObxLeft,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,saves,attFreekickTotal,attOboxBlocked,attIboxTarget,attOneOnOne,cleanSheet,divingSave,freekickTotal,errorLeadToShot,bigChanceMissed,attSetpiece,totalOffside,attFreekickTarget,savedIbox,attHdTotal,attHdMiss,blockedScoringAtt,savedObox,postScoringAtt,attIboxPost,attSvHighRight,attLgCentre,hitWoodwork,accurateThroughBall,totalPullBack,attMissHigh,attAssistSetplay,punches,attPostHigh,attBxLeft,clearanceOffLine,errorLeadToGoal,attCmissHigh,attFreekickMiss,goalAssistSetplay,goalAssistDeadball,midfielderGoals,sixYardBlock,attSvLowRight,attHdGoal,attGoalLowCentre,attHdTarget,defenderGoals,shotFastbreak,totalFastbreak,attSvHighLeft,attFastbreak,attGoalHighLeft,attGoalHighRight,attOboxGoal,attLgLeft,penaltyConceded,attOboxPost,penaltyFaced,penGoalsConceded,attHdPost,attPenTarget,accuratePullBack,attGoalHighCentre,attPostLeft,attPostRight,goalFastbreak,attLfGoal,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,attCmissHighRight,penaltySave
11,755411,2014-11-09 13:30:00,"The Hawthorns, West Bromwich",26476,Home,West Bromwich Albion,Newcastle United,0,2,L,0,1,0,0,,1.0,1.0,,59.0,,,30.0,28.0,5.0,3.0,1.0,175.0,2.0,11.0,,1.0,7.0,,2.0,143.0,157.0,64.0,10.0,17.0,,,1.0,,,1.0,18.0,16.0,2.0,28.0,7.0,23.0,19.0,223.0,1.0,,0.0,153.0,12.0,,1.0,1.0,69.0,61.0,5.0,65.0,,2.0,11.0,22.0,2.0,2.0,157.0,1.0,,5.0,141.0,735.0,7.0,17.0,13.0,413.0,28.0,1.0,12.0,17.0,,1.0,0.0,2.0,2.0,32.0,508.0,75.0,,91972,4.0,207.0,8.0,224.0,8.0,,22.0,6.0,64.0,2.0,2.0,,,14.0,3.0,5.0,,57.0,428.0,5.0,13.0,29.0,80.0,1.0,0.0,1.0,4.0,,2.0,6.0,0.0,1.0,,3.0,,57.9,28.0,2.0,1.0,2.0,52.0,7.0,1.0,524.0,13.0,21.0,7.0,5.0,16.0,1.0,3.0,318.0,6.0,21.0,23.0,97.0,24.0,,1.0,17.0,25.0,2.0,8.0,3.0,15.0,1.0,14.0,7.0,2.0,1.0,,1.0,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,3.0,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,755415,2014-11-22 15:00:00,"Stamford Bridge, London",41600,Away,West Bromwich Albion,Chelsea,0,2,L,0,2,1,0,,,1.0,,47.0,,,18.0,31.0,4.0,4.0,,118.0,,6.0,,2.0,4.0,,1.0,56.0,106.0,38.0,5.0,9.0,1.0,,1.0,,,1.0,5.0,14.0,1.0,31.0,,7.0,6.0,84.0,,,0.0,63.0,9.0,1.0,1.0,2.0,39.0,26.0,1.0,46.0,5.0,,5.0,13.0,2.0,4.0,106.0,,,12.0,50.0,436.0,4.0,4.0,14.0,191.0,23.0,3.0,10.0,16.0,,2.0,0.0,5.0,3.0,18.0,245.0,45.0,,91972,,113.0,2.0,129.0,3.0,,13.0,12.0,35.0,,4.0,,,10.0,9.0,2.0,,68.0,197.0,7.0,9.0,49.0,67.0,,0.0,3.0,15.0,,2.0,1.0,1.0,,,,,26.3,14.0,1.0,,4.0,23.0,,2.0,270.0,14.0,7.0,5.0,4.0,5.0,,,146.0,1.0,7.0,9.0,33.0,11.0,,5.0,16.0,17.0,2.0,4.0,3.0,8.0,5.0,11.0,,,6.0,1.0,,,,,6.0,1.0,,,,2.0,,4.0,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,755431,2014-11-29 12:45:00,"The Hawthorns, West Bromwich",24228,Home,West Bromwich Albion,Arsenal,0,1,L,0,0,0,0,,,,,66.0,,,30.0,24.0,4.0,2.0,1.0,183.0,6.0,3.0,,1.0,7.0,,1.0,107.0,164.0,49.0,8.0,26.0,,,,,,1.0,19.0,11.0,1.0,24.0,3.0,16.0,16.0,195.0,,,0.0,149.0,9.0,1.0,,1.0,83.0,67.0,3.0,86.0,1.0,1.0,16.0,21.0,6.0,,164.0,,1.0,8.0,98.0,647.0,6.0,6.0,11.0,345.0,31.0,1.0,12.0,8.0,,,2.0,6.0,4.0,24.0,454.0,76.0,,91972,2.0,165.0,10.0,185.0,2.0,,21.0,6.0,58.0,1.0,5.0,,,11.0,9.0,1.0,,92.0,354.0,9.0,13.0,62.0,99.0,1.0,0.0,2.0,4.0,,1.0,1.0,0.0,5.0,,,,48.4,20.0,2.0,,5.0,41.0,4.0,2.0,474.0,11.0,6.0,9.0,4.0,16.0,1.0,3.0,308.0,3.0,14.0,23.0,87.0,24.0,,3.0,8.0,15.0,1.0,6.0,3.0,7.0,3.0,5.0,4.0,,4.0,,3.0,,,,2.0,,3.0,,,4.0,,1.0,3.0,2.0,3.0,3.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14,755439,2014-12-02 20:00:00,"The Hawthorns, West Bromwich",23975,Home,West Bromwich Albion,West Ham United,1,2,L,1,2,0,0,,,2.0,1.0,60.0,,,33.0,20.0,8.0,6.0,1.0,188.0,7.0,12.0,1.0,5.0,16.0,1.0,5.0,116.0,189.0,60.0,22.0,30.0,,,1.0,,1.0,3.0,25.0,8.0,,20.0,6.0,13.0,16.0,198.0,4.0,,0.0,158.0,11.0,1.0,4.0,2.0,66.0,38.0,9.0,70.0,,1.0,20.0,22.0,9.0,6.0,189.0,1.0,,6.0,113.0,693.0,13.0,9.0,12.0,340.0,24.0,,18.0,13.0,1.0,1.0,2.0,5.0,7.0,25.0,460.0,82.0,1.0,91972,8.0,164.0,7.0,193.0,4.0,,22.0,3.0,62.0,3.0,2.0,,,11.0,6.0,2.0,,85.0,355.0,17.0,4.0,62.0,95.0,2.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,5.0,1.0,1.0,,57.6,18.0,1.0,2.0,2.0,42.0,7.0,2.0,487.0,12.0,13.0,9.0,9.0,29.0,3.0,3.0,319.0,13.0,11.0,23.0,88.0,25.0,,3.0,13.0,10.0,2.0,15.0,3.0,17.0,3.0,12.0,7.0,6.0,4.0,,2.0,4.0,,,2.0,,1.0,,4.0,,,2.0,3.0,1.0,8.0,2.0,,,,,,,,1.0,2.0,1.0,,5.0,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,755444,2014-12-06 15:00:00,"The MKM Stadium, Hull",23279,Away,West Bromwich Albion,Hull City,0,0,D,0,0,0,0,,1.0,,,68.0,,,42.0,29.0,3.0,,3.0,188.0,1.0,6.0,,2.0,3.0,,3.0,129.0,148.0,54.0,6.0,16.0,,,1.0,,,,7.0,15.0,2.0,29.0,2.0,22.0,13.0,185.0,,1.0,0.0,107.0,16.0,,,1.0,58.0,61.0,3.0,74.0,3.0,1.0,6.0,15.0,4.0,,148.0,,,6.0,124.0,687.0,2.0,11.0,15.0,396.0,42.0,,21.0,22.0,,1.0,1.0,3.0,,22.0,492.0,62.0,,91972,3.0,222.0,2.0,247.0,5.0,,15.0,11.0,49.0,1.0,1.0,,,9.0,6.0,3.0,,88.0,406.0,9.0,2.0,50.0,95.0,,0.0,2.0,3.0,,,4.0,0.0,1.0,,,,50.7,18.0,1.0,,1.0,46.0,2.0,1.0,515.0,15.0,16.0,6.0,1.0,12.0,1.0,1.0,275.0,6.0,19.0,24.0,61.0,21.0,,4.0,22.0,16.0,,2.0,3.0,7.0,4.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,2.0,,,2.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
16,755462,2014-12-13 15:00:00,"The Hawthorns, West Bromwich",24684,Home,West Bromwich Albion,Aston Villa,1,0,W,0,0,0,1,,1.0,1.0,1.0,59.0,1.0,,25.0,22.0,6.0,5.0,3.0,144.0,4.0,9.0,1.0,3.0,10.0,,5.0,98.0,128.0,47.0,13.0,18.0,,,2.0,,2.0,2.0,32.0,16.0,1.0,22.0,2.0,8.0,10.0,220.0,,,0.0,155.0,17.0,1.0,2.0,2.0,78.0,72.0,4.0,54.0,1.0,,30.0,13.0,5.0,4.0,128.0,2.0,1.0,3.0,101.0,622.0,9.0,2.0,21.0,322.0,22.0,,6.0,16.0,,2.0,4.0,2.0,5.0,31.0,374.0,60.0,,91972,5.0,122.0,23.0,127.0,6.0,1.0,13.0,6.0,63.0,4.0,4.0,,1.0,5.0,4.0,3.0,,49.0,338.0,11.0,5.0,21.0,61.0,,0.0,4.0,2.0,1.0,,,0.0,4.0,,2.0,,48.6,27.0,4.0,,4.0,35.0,4.0,2.0,397.0,21.0,17.0,7.0,6.0,19.0,,2.0,302.0,7.0,8.0,9.0,118.0,27.0,1.0,,16.0,19.0,,11.0,1.0,19.0,,10.0,4.0,1.0,2.0,,1.0,3.0,,1.0,1.0,,,3.0,1.0,1.0,,,1.0,1.0,2.0,2.0,,,,,,,2.0,4.0,,,,2.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
17,755468,2014-12-20 15:00:00,"MATRADE Loftus Road, London",17560,Away,West Bromwich Albion,Queens Park Rangers,2,3,L,2,1,0,0,,,,1.0,65.0,,,27.0,30.0,5.0,4.0,4.0,208.0,6.0,2.0,2.0,1.0,13.0,,6.0,81.0,198.0,50.0,16.0,30.0,,2.0,2.0,1.0,1.0,2.0,29.0,11.0,2.0,30.0,11.0,9.0,19.0,173.0,1.0,,0.0,171.0,8.0,,1.0,,84.0,64.0,8.0,66.0,5.0,,18.0,23.0,3.0,,198.0,1.0,,11.0,79.0,643.0,11.0,8.0,20.0,281.0,28.0,1.0,14.0,10.0,2.0,2.0,0.0,7.0,5.0,31.0,407.0,93.0,,91972,4.0,124.0,14.0,155.0,3.0,1.0,23.0,5.0,50.0,1.0,,,1.0,13.0,6.0,,,90.0,291.0,14.0,4.0,65.0,104.0,1.0,0.0,,5.0,2.0,3.0,4.0,0.0,5.0,2.0,,,56.6,22.0,5.0,2.0,,39.0,11.0,,434.0,20.0,8.0,8.0,6.0,17.0,1.0,5.0,308.0,11.0,8.0,23.0,93.0,28.0,,2.0,10.0,13.0,3.0,14.0,2.0,3.0,2.0,10.0,11.0,1.0,4.0,1.0,3.0,2.0,,,1.0,1.0,,,,1.0,1.0,3.0,1.0,,4.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,1.0,,,,1.0,,,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,
18,755482,2014-12-26 15:00:00,"The Hawthorns, West Bromwich",26040,Home,West Bromwich Albion,Manchester City,1,3,L,0,3,0,0,,,,1.0,78.0,1.0,,27.0,17.0,7.0,1.0,5.0,174.0,5.0,10.0,1.0,1.0,13.0,,6.0,115.0,155.0,48.0,18.0,7.0,,3.0,1.0,1.0,4.0,4.0,23.0,10.0,3.0,17.0,10.0,9.0,11.0,171.0,,,0.0,132.0,5.0,1.0,1.0,1.0,69.0,58.0,7.0,70.0,1.0,1.0,13.0,30.0,5.0,,155.0,5.0,,8.0,100.0,660.0,10.0,3.0,20.0,347.0,37.0,,12.0,9.0,1.0,1.0,0.0,2.0,6.0,20.0,441.0,66.0,1.0,91972,5.0,195.0,7.0,216.0,2.0,,30.0,4.0,46.0,6.0,5.0,,,6.0,1.0,3.0,,61.0,361.0,9.0,13.0,36.0,62.0,3.0,0.0,3.0,6.0,1.0,3.0,,0.0,3.0,,,,47.9,15.0,6.0,,5.0,34.0,10.0,2.0,459.0,20.0,14.0,4.0,6.0,18.0,2.0,6.0,266.0,13.0,9.0,13.0,83.0,31.0,,2.0,9.0,16.0,3.0,12.0,3.0,17.0,2.0,15.0,10.0,2.0,2.0,1.0,4.0,2.0,,,1.0,1.0,,5.0,,4.0,,2.0,4.0,3.0,6.0,,,,,,,3.0,,1.0,2.0,1.0,,1.0,,2.0,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
19,755490,2014-12-28 15:00:00,"bet365 Stadium, Stoke",27070,Away,West Bromwich Albion,Stoke City,0,2,L,0,0,0,0,,1.0,1.0,,54.0,,,28.0,16.0,9.0,5.0,3.0,159.0,2.0,18.0,,1.0,8.0,,4.0,88.0,151.0,57.0,15.0,19.0,,1.0,1.0,,2.0,2.0,18.0,8.0,1.0,16.0,3.0,10.0,12.0,187.0,2.0,,0.0,140.0,14.0,,1.0,3.0,61.0,77.0,3.0,51.0,3.0,,15.0,17.0,2.0,5.0,151.0,1.0,,6.0,98.0,591.0,8.0,9.0,20.0,281.0,17.0,1.0,12.0,13.0,,1.0,2.0,3.0,5.0,19.0,369.0,68.0,,91972,1.0,111.0,12.0,129.0,8.0,,17.0,9.0,55.0,2.0,5.0,,,11.0,7.0,5.0,,80.0,296.0,11.0,9.0,55.0,81.0,1.0,0.0,1.0,5.0,,2.0,4.0,0.0,1.0,,,,49.4,14.0,7.0,,5.0,42.0,3.0,3.0,396.0,20.0,11.0,7.0,7.0,21.0,1.0,1.0,285.0,10.0,10.0,15.0,89.0,19.0,,4.0,13.0,14.0,2.0,12.0,3.0,21.0,4.0,9.0,3.0,1.0,1.0,,3.0,3.0,1.0,,2.0,,,2.0,2.0,4.0,,,,,4.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,,,,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
20,755502,2015-01-01 15:00:00,"Boleyn Ground, London",34914,Away,West Bromwich Albion,West Ham United,1,1,D,1,1,0,0,,,,1.0,80.0,,1.0,26.0,27.0,6.0,3.0,2.0,201.0,1.0,4.0,1.0,2.0,12.0,3.0,3.0,102.0,153.0,40.0,14.0,10.0,,2.0,1.0,1.0,,1.0,14.0,16.0,1.0,27.0,1.0,16.0,11.0,223.0,1.0,,0.0,146.0,13.0,1.0,1.0,3.0,58.0,68.0,5.0,85.0,3.0,5.0,13.0,17.0,3.0,3.0,153.0,1.0,,6.0,99.0,660.0,11.0,3.0,16.0,374.0,46.0,,14.0,12.0,1.0,1.0,0.0,2.0,7.0,13.0,468.0,68.0,,91972,4.0,160.0,9.0,175.0,6.0,1.0,17.0,6.0,50.0,1.0,4.0,,1.0,11.0,2.0,2.0,,77.0,382.0,6.0,11.0,58.0,107.0,,0.0,2.0,,1.0,1.0,1.0,0.0,1.0,1.0,,,54.2,9.0,2.0,,4.0,52.0,1.0,3.0,487.0,16.0,14.0,8.0,8.0,18.0,,5.0,326.0,11.0,15.0,13.0,99.0,20.0,1.0,2.0,12.0,17.0,1.0,13.0,3.0,8.0,2.0,10.0,1.0,1.0,2.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,2.0,,,3.0,,,,,,,1.0,3.0,1.0,,,,2.0,,,1.0,1.0,,,,,1.0,,,,,1.0,3.0,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,
21,755512,2015-01-10 15:00:00,"The Hawthorns, West Bromwich",24818,Home,West Bromwich Albion,Hull City,1,0,W,0,0,0,0,,,,,59.0,1.0,,41.0,20.0,4.0,2.0,2.0,193.0,4.0,6.0,1.0,2.0,9.0,1.0,3.0,111.0,158.0,50.0,9.0,28.0,,,,,,2.0,16.0,12.0,2.0,20.0,3.0,8.0,18.0,198.0,,,0.0,162.0,5.0,1.0,2.0,4.0,60.0,82.0,4.0,86.0,,2.0,13.0,21.0,4.0,1.0,158.0,1.0,,5.0,104.0,665.0,7.0,5.0,13.0,366.0,31.0,1.0,18.0,14.0,1.0,,1.0,3.0,5.0,25.0,467.0,73.0,2.0,91972,4.0,188.0,7.0,207.0,1.0,1.0,21.0,9.0,53.0,4.0,2.0,1.0,,11.0,7.0,4.0,,87.0,382.0,12.0,5.0,55.0,98.0,,0.0,1.0,2.0,1.0,,1.0,0.0,4.0,1.0,,,51.5,20.0,5.0,,2.0,46.0,5.0,4.0,494.0,13.0,9.0,12.0,5.0,20.0,,4.0,303.0,6.0,8.0,17.0,103.0,17.0,1.0,2.0,14.0,16.0,,7.0,2.0,12.0,2.0,8.0,5.0,,2.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,,2.0,1.0,1.0,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,755515,2015-01-19 20:00:00,"Goodison Park, Liverpool",34739,Away,West Bromwich Albion,Everton,0,0,D,0,0,0,0,,1.0,,,64.0,,,30.0,53.0,3.0,3.0,,141.0,2.0,7.0,,2.0,4.0,,,68.0,125.0,59.0,5.0,12.0,,,,,,1.0,9.0,16.0,,53.0,1.0,14.0,11.0,101.0,,,0.0,101.0,12.0,,2.0,3.0,31.0,24.0,2.0,46.0,3.0,1.0,8.0,17.0,2.0,1.0,125.0,,,6.0,46.0,500.0,4.0,12.0,12.0,204.0,42.0,,18.0,28.0,,,2.0,9.0,2.0,10.0,275.0,66.0,,91972,1.0,119.0,4.0,138.0,5.0,,17.0,8.0,48.0,,3.0,,,16.0,11.0,3.0,,73.0,218.0,11.0,13.0,49.0,77.0,,0.0,1.0,8.0,,,4.0,0.0,2.0,,,,31.2,7.0,,,3.0,39.0,1.0,3.0,301.0,12.0,10.0,9.0,2.0,13.0,,1.0,172.0,2.0,11.0,17.0,51.0,10.0,,3.0,28.0,25.0,,4.0,3.0,9.0,3.0,9.0,1.0,1.0,4.0,,2.0,,,1.0,,,,,1.0,3.0,,,,,3.0,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
23,755532,2015-01-31 15:00:00,"The Hawthorns, West Bromwich",25079,Home,West Bromwich Albion,Tottenham Hotspur,0,3,L,0,2,0,0,1.0,1.0,3.0,,55.0,,,35.0,12.0,3.0,4.0,1.0,142.0,5.0,5.0,,4.0,12.0,,4.0,79.0,130.0,58.0,13.0,8.0,1.0,1.0,,,2.0,2.0,23.0,13.0,1.0,12.0,6.0,9.0,12.0,135.0,,,0.0,108.0,8.0,1.0,2.0,,58.0,40.0,7.0,48.0,,,17.0,19.0,2.0,1.0,130.0,,,6.0,77.0,531.0,9.0,7.0,14.0,247.0,28.0,,15.0,7.0,,,2.0,3.0,5.0,21.0,320.0,63.0,1.0,91972,6.0,136.0,13.0,153.0,4.0,,19.0,10.0,48.0,1.0,3.0,,,4.0,8.0,6.0,,73.0,266.0,12.0,16.0,45.0,70.0,,0.0,4.0,3.0,,3.0,2.0,0.0,3.0,,,,37.2,17.0,1.0,,4.0,30.0,6.0,,346.0,14.0,14.0,6.0,5.0,15.0,2.0,3.0,216.0,6.0,8.0,15.0,65.0,22.0,,2.0,7.0,27.0,2.0,7.0,3.0,8.0,2.0,14.0,6.0,2.0,1.0,,2.0,3.0,,,,,,,4.0,2.0,,,3.0,2.0,4.0,1.0,1.0,1.0,,,1.0,1.0,,2.0,3.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
24,755534,2015-02-08 12:00:00,"Turf Moor, Burnley",16904,Away,West Bromwich Albion,Burnley,2,2,D,1,2,0,0,,2.0,,2.0,64.0,1.0,,24.0,41.0,3.0,1.0,2.0,172.0,6.0,7.0,2.0,2.0,9.0,,5.0,67.0,179.0,59.0,12.0,21.0,,1.0,,,1.0,1.0,23.0,6.0,1.0,41.0,6.0,11.0,42.0,129.0,,,0.0,112.0,15.0,1.0,1.0,3.0,50.0,55.0,6.0,60.0,,1.0,17.0,20.0,6.0,1.0,179.0,2.0,,7.0,61.0,567.0,4.0,8.0,3.0,225.0,17.0,,8.0,25.0,2.0,,4.0,6.0,3.0,35.0,329.0,78.0,1.0,91972,4.0,117.0,10.0,139.0,8.0,,20.0,9.0,57.0,,6.0,,,12.0,5.0,2.0,,90.0,240.0,10.0,8.0,43.0,105.0,,0.0,,5.0,2.0,2.0,2.0,0.0,2.0,2.0,,,44.0,23.0,4.0,,6.0,44.0,6.0,4.0,360.0,3.0,9.0,18.0,3.0,17.0,4.0,2.0,244.0,6.0,11.0,32.0,58.0,28.0,,2.0,25.0,12.0,2.0,6.0,3.0,14.0,2.0,10.0,6.0,3.0,2.0,,1.0,2.0,,,1.0,,1.0,1.0,1.0,2.0,,2.0,4.0,1.0,4.0,1.0,,,,,,,,1.0,3.0,,,,1.0,,1.0,,2.0,2.0,1.0,1.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
25,755549,2015-02-11 20:00:00,"The Hawthorns, West Bromwich",23516,Home,West Bromwich Albion,Swansea City,2,0,W,0,0,0,0,,,,,69.0,1.0,,26.0,28.0,6.0,2.0,1.0,127.0,3.0,10.0,2.0,3.0,9.0,,4.0,62.0,123.0,62.0,12.0,13.0,,1.0,,1.0,2.0,,19.0,12.0,1.0,28.0,5.0,5.0,30.0,134.0,1.0,,0.0,124.0,11.0,,2.0,3.0,50.0,51.0,5.0,37.0,2.0,,14.0,7.0,1.0,1.0,123.0,,,5.0,73.0,484.0,6.0,12.0,13.0,210.0,32.0,1.0,10.0,13.0,1.0,,2.0,1.0,4.0,17.0,277.0,62.0,,91972,2.0,92.0,11.0,105.0,6.0,2.0,7.0,7.0,46.0,1.0,2.0,,2.0,11.0,5.0,5.0,,60.0,223.0,12.0,11.0,23.0,70.0,,0.0,4.0,4.0,2.0,,2.0,0.0,,1.0,,,35.6,13.0,3.0,,2.0,34.0,5.0,3.0,299.0,13.0,7.0,8.0,4.0,11.0,3.0,3.0,213.0,8.0,5.0,21.0,78.0,23.0,1.0,3.0,13.0,21.0,,9.0,2.0,15.0,3.0,6.0,5.0,,3.0,1.0,4.0,1.0,,1.0,,1.0,,,,,,1.0,2.0,1.0,4.0,2.0,,,,,,,,2.0,2.0,1.0,,2.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
26,755560,2015-02-21 15:00:00,"Stadium of Light, Sunderland",40943,Away,West Bromwich Albion,Sunderland,0,0,D,0,0,0,0,,,1.0,,62.0,,,23.0,40.0,4.0,2.0,,140.0,6.0,6.0,,2.0,2.0,,1.0,49.0,164.0,49.0,5.0,9.0,,,,,1.0,1.0,25.0,15.0,1.0,40.0,2.0,4.0,6.0,125.0,,,0.0,124.0,12.0,,1.0,2.0,44.0,64.0,2.0,33.0,3.0,,23.0,15.0,10.0,3.0,164.0,,,5.0,56.0,491.0,2.0,12.0,10.0,165.0,25.0,1.0,13.0,26.0,,,2.0,5.0,,23.0,254.0,76.0,,91972,1.0,59.0,12.0,75.0,3.0,,15.0,10.0,46.0,,1.0,,,14.0,8.0,4.0,,72.0,178.0,10.0,10.0,48.0,71.0,,0.0,2.0,11.0,,,3.0,0.0,6.0,,,,38.1,12.0,5.0,,2.0,25.0,2.0,2.0,278.0,10.0,11.0,3.0,3.0,18.0,,,228.0,2.0,4.0,14.0,69.0,25.0,,8.0,26.0,21.0,,5.0,2.0,10.0,8.0,10.0,2.0,1.0,2.0,,,,,1.0,1.0,,,,,2.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,755571,2015-02-28 15:00:00,"The Hawthorns, West Bromwich",25303,Home,West Bromwich Albion,Southampton,1,0,W,1,0,0,0,,3.0,,,56.0,,,27.0,28.0,,2.0,1.0,148.0,6.0,5.0,1.0,2.0,5.0,,3.0,47.0,156.0,50.0,7.0,18.0,,2.0,1.0,,2.0,1.0,16.0,11.0,,28.0,2.0,2.0,30.0,126.0,,,0.0,112.0,10.0,,2.0,2.0,41.0,52.0,4.0,48.0,2.0,,14.0,16.0,5.0,,156.0,1.0,,7.0,59.0,487.0,3.0,6.0,20.0,190.0,22.0,,10.0,16.0,,1.0,2.0,,1.0,17.0,269.0,74.0,2.0,91972,4.0,82.0,7.0,97.0,3.0,,16.0,12.0,50.0,,1.0,,,14.0,5.0,3.0,,80.0,202.0,17.0,7.0,36.0,86.0,1.0,0.0,,3.0,1.0,,2.0,0.0,5.0,,1.0,,35.7,7.0,2.0,,1.0,28.0,2.0,2.0,302.0,20.0,16.0,9.0,2.0,17.0,1.0,2.0,221.0,2.0,2.0,18.0,55.0,23.0,1.0,1.0,16.0,13.0,,3.0,3.0,9.0,1.0,11.0,2.0,2.0,2.0,,,2.0,,1.0,1.0,,,1.0,4.0,2.0,,1.0,2.0,1.0,2.0,1.0,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,
