gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,fwdPass,successfulFiftyFifty,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attGoalLowRight,attLfGoal,attRfTarget,accurateCross,goals,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attGoalHighRight,attOboxTarget,attOboxGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,interceptionsInBox,hitWoodwork,goalAssist,errorLeadToShot,goalsOpenplay,attFastbreak,attFreekickGoal,accurateCrossNocorner,totalHighClaim,ptsDroppedWinningPos,bigChanceScored,attGoalLowLeft,goalAssistSetplay,accuratePullBack,attMissLeft,attMissHighRight,goodHighClaim,bigChanceCreated,accurateFreekickCross,attRfGoal,totalPullBack,totalThroughBall,defenderGoals,attCorner,attCmissLeft,punches,overrun,attIboxGoal,goalAssistIntentional,accurateCornersIntobox,forwardGoals,attBxRight,accurateKeeperSweeper,totalKeeperSweeper,attAssistSetplay,attSvHighCentre,attSvHighRight,cleanSheet,contentiousDecision,attHdTarget,accurateThroughBall,sixYardBlock,attCmissHighLeft,attHdTotal,postScoringAtt,ptsGainedLosingPos,attGoalHighCentre,attPostLeft,ownGoals,attOboxPost,attIboxOwnGoal,attLgCentre,foulThrowIn,attHdMiss,clearanceOffLine,bigChanceMissed,attIboxPost,attCmissHigh,attPostHigh,attHdPost,attCmissHighRight,attGoalLowCentre,winningGoal,keeperGoals,subsGoals,attPenGoal,attGoalHighLeft,attObpGoal,attHdGoal,attFreekickTarget,attOboxOwnGoal,errorLeadToGoal,penaltyWon,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,attOneOnOne,goalAssistDeadball,attSvHighLeft,attFreekickMiss,penaltySave,attFreekickPost,attObxdRight,attObxRight
27,2128554,2021-03-07 12:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Newcastle United,0,0,D,0,0,0,0,,1.0,34.0,72.0,1.0,1.0,36.0,21.0,5.0,3.0,8.0,5.0,168.0,16.0,13.0,,11.0,,3.0,92.0,169.0,69.0,,13.0,3.0,27.0,2.0,36.0,7.0,21.0,7.0,6.0,51.0,194.0,0.0,192.0,11.0,72.0,57.0,7.0,52.0,1.0,29.0,18.0,5.0,,11.0,1.0,169.0,7.0,84.0,619.0,9.0,5.0,31.0,11.0,283.0,28.0,,5.0,15.0,0.0,2.0,4.0,26.0,377.0,62.0,61600,6.0,109.0,18.0,1.0,,130.0,4.0,18.0,5.0,59.0,1.0,5.0,14.0,2.0,2.0,2.0,78.0,295.0,10.0,4.0,22.0,68.0,1.0,0.0,7.0,4.0,,1.0,0.0,,52.8,20.0,10.0,,5.0,4.0,22.0,9.0,,396.0,,11.0,9.0,28.0,6.0,54.0,5.0,302.0,5.0,5.0,35.0,136.0,26.0,6.0,15.0,11.0,,8.0,2.0,21.0,6.0,10.0,9.0,,,,1.0,8.0,,,,1.0,,,1.0,,3.0,,,1.0,,2.0,,,,,,,6.0,,,,,,,,3.0,,2.0,,,1.0,,,3.0,,1.0,2.0,,,2.0,,,,,2.0,,,1.0,,1.0,,1.0,,5.0,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2128557,2021-03-13 15:00:00,"Selhurst Park, London",,Away,West Bromwich Albion,Crystal Palace,0,1,L,0,1,0,0,1.0,,,55.0,2.0,3.0,21.0,20.0,4.0,4.0,8.0,3.0,155.0,,9.0,3.0,9.0,,1.0,87.0,158.0,70.0,1.0,12.0,2.0,29.0,1.0,21.0,14.0,20.0,2.0,9.0,45.0,187.0,0.0,127.0,15.0,75.0,60.0,3.0,60.0,1.0,19.0,20.0,4.0,1.0,1.0,2.0,158.0,3.0,95.0,614.0,8.0,4.0,24.0,8.0,298.0,17.0,1.0,2.0,7.0,1.0,1.0,6.0,31.0,379.0,70.0,59940,4.0,126.0,16.0,3.0,1.0,145.0,5.0,20.0,1.0,71.0,1.0,8.0,24.0,3.0,1.0,3.0,54.0,307.0,15.0,11.0,14.0,63.0,,0.0,3.0,1.0,1.0,1.0,0.0,1.0,55.7,22.0,5.0,4.0,8.0,5.0,33.0,2.0,1.0,397.0,1.0,8.0,8.0,23.0,6.0,44.0,4.0,273.0,7.0,9.0,27.0,77.0,24.0,,7.0,19.0,1.0,6.0,2.0,18.0,,10.0,2.0,,,,1.0,6.0,,,,1.0,,,,,1.0,,,,2.0,2.0,,,,,,,5.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,2.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2128574,2021-03-04 18:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Everton,0,1,L,0,0,0,0,2.0,1.0,26.0,71.0,1.0,3.0,33.0,22.0,4.0,4.0,7.0,2.0,172.0,20.0,14.0,,8.0,,3.0,99.0,165.0,42.0,,11.0,2.0,23.0,1.0,25.0,4.0,22.0,3.0,8.0,49.0,180.0,0.0,151.0,9.0,46.0,66.0,5.0,65.0,,22.0,19.0,4.0,,11.0,,165.0,5.0,114.0,670.0,8.0,6.0,24.0,15.0,353.0,28.0,,3.0,12.0,3.0,6.0,3.0,29.0,437.0,71.0,61600,4.0,183.0,11.0,,,208.0,2.0,19.0,2.0,62.0,3.0,7.0,21.0,6.0,1.0,2.0,71.0,361.0,6.0,12.0,16.0,69.0,,0.0,3.0,1.0,1.0,2.0,0.0,,48.1,21.0,11.0,1.0,7.0,5.0,35.0,3.0,,450.0,,15.0,5.0,23.0,3.0,34.0,3.0,267.0,5.0,8.0,13.0,105.0,24.0,1.0,12.0,9.0,1.0,9.0,2.0,29.0,1.0,11.0,3.0,,,,1.0,2.0,,,,,,,2.0,,1.0,,,2.0,,1.0,,,,,,,2.0,,,,,,,1.0,,,2.0,,,,,,1.0,,1.0,1.0,,,,,1.0,2.0,2.0,,,,,1.0,1.0,,1.0,,2.0,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
30,2128578,2021-04-03 12:30:00,"Stamford Bridge, London",,Away,West Bromwich Albion,Chelsea,5,2,W,2,1,0,1,,2.0,37.0,61.0,2.0,,26.0,24.0,7.0,8.0,7.0,5.0,110.0,18.0,10.0,2.0,10.0,,7.0,69.0,132.0,52.0,2.0,14.0,3.0,12.0,1.0,8.0,12.0,24.0,2.0,5.0,26.0,105.0,0.0,71.0,6.0,43.0,36.0,8.0,37.0,,6.0,16.0,7.0,2.0,1.0,2.0,132.0,11.0,81.0,505.0,5.0,6.0,14.0,15.0,208.0,35.0,1.0,7.0,12.0,1.0,5.0,2.0,27.0,272.0,49.0,59940,3.0,119.0,5.0,,,144.0,2.0,16.0,7.0,44.0,4.0,3.0,19.0,7.0,4.0,2.0,59.0,222.0,11.0,9.0,27.0,60.0,,0.0,10.0,4.0,2.0,1.0,0.0,1.0,33.8,17.0,7.0,1.0,3.0,3.0,28.0,3.0,,297.0,,15.0,11.0,14.0,4.0,18.0,1.0,161.0,5.0,5.0,12.0,43.0,10.0,1.0,12.0,19.0,2.0,11.0,3.0,16.0,1.0,6.0,3.0,,2.0,2.0,,2.0,5.0,,4.0,2.0,,,1.0,1.0,3.0,,2.0,,,2.0,1.0,4.0,1.0,5.0,,,1.0,,,2.0,2.0,,,,,,2.0,,3.0,,1.0,,1.0,,,1.0,4.0,4.0,1.0,1.0,2.0,,,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,3.0,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,
31,2128594,2021-04-12 18:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Southampton,3,0,W,2,0,0,0,,1.0,37.0,67.0,2.0,3.0,23.0,24.0,2.0,5.0,13.0,4.0,150.0,19.0,10.0,2.0,12.0,1.0,6.0,47.0,148.0,58.0,1.0,15.0,,21.0,3.0,17.0,12.0,24.0,4.0,1.0,28.0,134.0,0.0,109.0,12.0,73.0,36.0,7.0,37.0,1.0,13.0,11.0,2.0,1.0,2.0,2.0,148.0,8.0,51.0,491.0,9.0,9.0,36.0,17.0,176.0,33.0,2.0,8.0,12.0,0.0,,5.0,16.0,257.0,40.0,59940,8.0,61.0,11.0,2.0,1.0,85.0,6.0,11.0,11.0,59.0,4.0,4.0,20.0,6.0,4.0,1.0,56.0,191.0,11.0,12.0,25.0,62.0,,0.0,10.0,2.0,,6.0,0.0,1.0,39.5,16.0,10.0,2.0,4.0,3.0,28.0,5.0,1.0,285.0,,17.0,7.0,15.0,6.0,24.0,4.0,217.0,8.0,1.0,22.0,74.0,15.0,2.0,12.0,15.0,,8.0,3.0,17.0,2.0,5.0,5.0,,,2.0,1.0,4.0,3.0,,2.0,,,,,,2.0,,2.0,1.0,,2.0,,2.0,,2.0,,,4.0,1.0,,3.0,1.0,,,2.0,,1.0,5.0,,1.0,1.0,,,2.0,1.0,,3.0,3.0,2.0,,1.0,,,,1.0,2.0,,1.0,2.0,1.0,,1.0,,2.0,,,1.0,,,,,,,1.0,,3.0,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,
32,2128601,2021-04-22 20:00:00,"King Power Stadium, Leicester",,Away,West Bromwich Albion,Leicester City,0,3,L,0,3,0,0,,1.0,28.0,60.0,2.0,,22.0,18.0,2.0,2.0,2.0,4.0,129.0,13.0,3.0,2.0,3.0,,1.0,47.0,139.0,37.0,,4.0,,17.0,,10.0,7.0,18.0,3.0,,33.0,74.0,0.0,70.0,12.0,37.0,39.0,1.0,41.0,,7.0,15.0,2.0,,,1.0,139.0,8.0,38.0,419.0,1.0,5.0,10.0,10.0,150.0,28.0,,5.0,9.0,2.0,5.0,2.0,24.0,230.0,39.0,61600,1.0,90.0,4.0,1.0,,120.0,6.0,15.0,8.0,55.0,,5.0,13.0,9.0,3.0,1.0,54.0,162.0,13.0,8.0,21.0,52.0,,0.0,7.0,2.0,3.0,3.0,0.0,1.0,27.3,19.0,4.0,,5.0,,19.0,3.0,,255.0,,10.0,9.0,15.0,3.0,13.0,2.0,145.0,,,11.0,38.0,21.0,,9.0,10.0,3.0,2.0,3.0,13.0,,9.0,3.0,,,,,2.0,,,,,,,1.0,,1.0,,,,3.0,,1.0,,1.0,,,,1.0,,,,,,,2.0,,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,2128607,2021-04-25 19:00:00,"Villa Park, Birmingham",,Away,West Bromwich Albion,Aston Villa,2,2,D,1,1,0,0,,1.0,31.0,68.0,4.0,,15.0,28.0,5.0,5.0,4.0,9.0,127.0,13.0,6.0,5.0,5.0,1.0,4.0,39.0,143.0,47.0,2.0,10.0,1.0,22.0,1.0,13.0,5.0,28.0,4.0,1.0,29.0,77.0,0.0,82.0,9.0,45.0,27.0,3.0,27.0,1.0,9.0,6.0,6.0,2.0,1.0,2.0,143.0,16.0,47.0,424.0,4.0,13.0,16.0,8.0,127.0,32.0,1.0,3.0,13.0,2.0,6.0,2.0,12.0,203.0,50.0,61600,3.0,67.0,6.0,1.0,1.0,94.0,5.0,6.0,11.0,54.0,1.0,1.0,17.0,8.0,4.0,1.0,63.0,139.0,14.0,10.0,19.0,66.0,,0.0,11.0,5.0,2.0,3.0,0.0,2.0,29.8,10.0,6.0,1.0,1.0,1.0,19.0,4.0,1.0,240.0,1.0,8.0,11.0,12.0,5.0,26.0,2.0,159.0,4.0,1.0,17.0,37.0,16.0,2.0,13.0,10.0,2.0,6.0,2.0,8.0,2.0,,4.0,,,1.0,2.0,5.0,2.0,,,1.0,,1.0,2.0,,5.0,,1.0,1.0,2.0,2.0,2.0,,,,,,3.0,2.0,2.0,1.0,,,,1.0,,2.0,1.0,2.0,,,1.0,,,,,1.0,2.0,,2.0,,,,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,2.0,,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,
34,2128625,2021-05-03 18:00:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Wolverhampton Wanderers,1,1,D,0,1,0,0,1.0,2.0,23.0,76.0,3.0,,26.0,18.0,4.0,3.0,6.0,9.0,162.0,16.0,6.0,2.0,7.0,,4.0,61.0,163.0,54.0,,10.0,1.0,20.0,3.0,20.0,8.0,18.0,3.0,7.0,46.0,133.0,0.0,116.0,17.0,74.0,38.0,5.0,59.0,2.0,17.0,12.0,4.0,,5.0,3.0,163.0,13.0,57.0,547.0,5.0,6.0,25.0,10.0,232.0,37.0,,5.0,13.0,2.0,4.0,2.0,21.0,313.0,67.0,61600,2.0,118.0,11.0,1.0,,143.0,12.0,12.0,7.0,69.0,1.0,6.0,23.0,7.0,3.0,,62.0,246.0,10.0,13.0,19.0,77.0,1.0,0.0,6.0,6.0,1.0,1.0,0.0,,42.4,13.0,4.0,1.0,6.0,1.0,37.0,5.0,,339.0,,10.0,13.0,18.0,5.0,28.0,2.0,216.0,4.0,7.0,17.0,71.0,25.0,,13.0,21.0,1.0,8.0,2.0,13.0,,6.0,5.0,,,,,5.0,1.0,,1.0,2.0,,,,,5.0,,,,1.0,,,1.0,2.0,1.0,,,5.0,1.0,,1.0,1.0,,,1.0,2.0,1.0,2.0,1.0,,1.0,,,1.0,,,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,3.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
35,2128626,2021-05-09 19:00:00,"Emirates Stadium, London",,Away,West Bromwich Albion,Arsenal,1,3,L,0,2,0,0,1.0,,,53.0,2.0,2.0,26.0,12.0,6.0,5.0,6.0,4.0,115.0,,5.0,1.0,9.0,1.0,1.0,63.0,132.0,38.0,,12.0,2.0,11.0,,23.0,11.0,12.0,5.0,3.0,33.0,102.0,0.0,101.0,9.0,36.0,49.0,4.0,48.0,3.0,19.0,6.0,6.0,,9.0,3.0,132.0,7.0,62.0,455.0,6.0,4.0,14.0,13.0,197.0,25.0,,3.0,9.0,2.0,3.0,5.0,21.0,267.0,56.0,59940,2.0,114.0,9.0,1.0,,129.0,4.0,6.0,6.0,37.0,2.0,1.0,18.0,8.0,4.0,1.0,65.0,210.0,7.0,7.0,22.0,58.0,,0.0,6.0,2.0,3.0,2.0,0.0,1.0,34.3,16.0,3.0,2.0,2.0,4.0,23.0,6.0,,288.0,,13.0,4.0,15.0,7.0,35.0,3.0,182.0,5.0,2.0,12.0,56.0,20.0,,9.0,14.0,2.0,9.0,2.0,12.0,,4.0,6.0,1.0,1.0,1.0,,6.0,1.0,2.0,1.0,,1.0,,,1.0,1.0,3.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,6.0,,,,,,,2.0,,,3.0,1.0,,,,,2.0,2.0,,,,,1.0,,,,,2.0,,,,,,,,,2.0,1.0,,,,,,,,,2.0,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2128640,2021-05-16 16:30:00,"The Hawthorns, West Bromwich",,Home,West Bromwich Albion,Liverpool,1,2,L,1,1,0,0,,2.0,22.0,55.0,1.0,1.0,25.0,32.0,2.0,5.0,7.0,4.0,122.0,8.0,5.0,3.0,8.0,,3.0,30.0,125.0,57.0,1.0,9.0,,22.0,1.0,22.0,2.0,32.0,8.0,,33.0,83.0,0.0,78.0,7.0,24.0,58.0,4.0,32.0,1.0,14.0,11.0,2.0,1.0,3.0,1.0,125.0,14.0,16.0,399.0,3.0,9.0,17.0,17.0,106.0,28.0,1.0,2.0,14.0,0.0,10.0,4.0,10.0,163.0,53.0,59940,3.0,43.0,8.0,1.0,,59.0,1.0,11.0,14.0,46.0,3.0,6.0,16.0,12.0,3.0,,65.0,120.0,14.0,10.0,14.0,72.0,,0.0,13.0,3.0,2.0,3.0,0.0,,23.7,8.0,2.0,1.0,6.0,1.0,31.0,9.0,,200.0,,17.0,6.0,20.0,5.0,24.0,4.0,163.0,,,23.0,41.0,11.0,1.0,14.0,16.0,1.0,4.0,3.0,7.0,1.0,7.0,9.0,1.0,,1.0,,6.0,1.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,,1.0,3.0,5.0,,1.0,,1.0,1.0,,3.0,,3.0,1.0,1.0,,,2.0,1.0,,3.0,2.0,,,,,3.0,,1.0,,1.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,,,,,,,,,4.0,,,,,,,,,,4.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
37,2128655,2021-05-19 20:15:00,"The Hawthorns, West Bromwich",5371.0,Home,West Bromwich Albion,West Ham United,1,3,L,1,1,0,0,,1.0,31.0,60.0,1.0,2.0,25.0,21.0,7.0,9.0,6.0,6.0,153.0,18.0,12.0,3.0,7.0,1.0,4.0,71.0,155.0,63.0,1.0,14.0,3.0,22.0,3.0,24.0,5.0,21.0,3.0,6.0,34.0,168.0,0.0,147.0,8.0,76.0,77.0,3.0,64.0,4.0,21.0,16.0,8.0,1.0,5.0,4.0,155.0,16.0,69.0,558.0,6.0,9.0,23.0,12.0,252.0,22.0,,5.0,7.0,2.0,3.0,4.0,18.0,333.0,61.0,59940,4.0,99.0,15.0,2.0,1.0,119.0,2.0,16.0,9.0,51.0,2.0,8.0,15.0,5.0,4.0,,60.0,266.0,10.0,5.0,27.0,61.0,1.0,0.0,8.0,5.0,3.0,3.0,0.0,,52.5,12.0,3.0,1.0,8.0,5.0,31.0,6.0,1.0,357.0,,12.0,10.0,22.0,5.0,41.0,1.0,262.0,3.0,6.0,31.0,95.0,27.0,1.0,7.0,10.0,3.0,6.0,3.0,18.0,1.0,8.0,6.0,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,2.0,,,,1.0,2.0,,,,,,,1.0,1.0,3.0,,,,,1.0,,1.0,,,,,1.0,,1.0,,,2.0,,,,1.0,,,,1.0,1.0,,,,1.0,,,,2.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
38,2128659,2021-05-23 16:00:00,"Elland Road, Leeds",8000.0,Away,West Bromwich Albion,Leeds United,1,3,L,0,2,0,0,1.0,1.0,27.0,67.0,2.0,2.0,16.0,17.0,6.0,4.0,7.0,6.0,120.0,7.0,10.0,2.0,8.0,,5.0,61.0,139.0,51.0,,14.0,1.0,17.0,2.0,11.0,11.0,17.0,3.0,4.0,22.0,112.0,0.0,92.0,12.0,56.0,40.0,3.0,34.0,1.0,8.0,11.0,7.0,,3.0,3.0,139.0,9.0,53.0,465.0,6.0,3.0,21.0,8.0,175.0,31.0,,5.0,5.0,1.0,5.0,5.0,16.0,238.0,44.0,59940,7.0,82.0,3.0,2.0,1.0,102.0,6.0,11.0,12.0,56.0,3.0,8.0,20.0,8.0,4.0,1.0,51.0,190.0,12.0,7.0,23.0,61.0,,0.0,8.0,4.0,3.0,2.0,0.0,1.0,35.6,9.0,10.0,,8.0,3.0,30.0,3.0,1.0,268.0,1.0,8.0,14.0,10.0,6.0,21.0,3.0,177.0,7.0,3.0,10.0,61.0,17.0,,5.0,19.0,2.0,11.0,3.0,17.0,,6.0,3.0,1.0,,1.0,2.0,4.0,1.0,,,2.0,,,2.0,1.0,1.0,,,2.0,2.0,2.0,1.0,,1.0,1.0,,,4.0,,,1.0,1.0,,,4.0,,,,2.0,,1.0,,,1.0,3.0,1.0,3.0,,,,,,1.0,1.0,2.0,,,,,1.0,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
