gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attOboxBlocked,postScoringAtt,accurateKeeperSweeper,attIboxPost,attOboxGoal,goodHighClaim,attMissRight,contentiousDecision,attHdTarget,hitWoodwork,totalKeeperSweeper,errorLeadToShot,attSetpiece,ownGoals,accurateKeeperThrows,attAssistSetplay,keeperThrows,totalHighClaim,attPostRight,attIboxOwnGoal,goalsConcededIbox,goalAssistDeadball,attLfGoal,accuratePullBack,attCmissRight,attFreekickTotal,attBxRight,attMissHighRight,attSvHighLeft,attSvLowLeft,freekickTotal,attGoalHighCentre,accurateFreekickCross,foulThrowIn,attObxRight,attSvHighCentre,attHdGoal,attCmissHigh,attSvLowRight,attCmissLeft,punches,attObxLeft,attLgLeft,errorLeadToGoal,attSvHighRight,attPostLeft,attObxdRight,sixYardBlock,attFreekickTarget,cleanSheet,penaltyWon,attLgCentre,attPenGoal,attGoalHighLeft,attGoalLowRight,attGoalHighRight,attMissHighLeft,forwardGoals,secondYellow,shotFastbreak,totalFastbreak,attFastbreak,attFreekickMiss,penaltyConceded,penaltyFaced,penGoalsConceded,attCmissHighLeft,attHdPost,attPostHigh,attOboxPost,attCmissHighRight,attPenTarget,attFreekickGoal
11,803267,2015-10-31 15:00:00,"Selhurst Park, London",24854,Home,Crystal Palace,Manchester United,0,0,D,0,0,0,0,,,1.0,,62.0,,1.0,2.0,,26.0,13.0,,3.0,1.0,3.0,145.0,,5.0,10.0,,6.0,5.0,5.0,77.0,150.0,59.0,10.0,15.0,5.0,,1.0,2.0,21.0,14.0,,12.0,6.0,3.0,41.0,,110.0,0.0,109.0,12.0,1.0,,4.0,39.0,62.0,3.0,53.0,5.0,15.0,10.0,1.0,,149.0,1.0,2.0,80.0,549.0,3.0,13.0,18.0,256.0,24.0,4.0,8.0,,3.0,2.0,2.0,28.0,331.0,64.0,,82403,5.0,166.0,1.0,10.0,178.0,10.0,,,10.0,7.0,54.0,,,,,15.0,3.0,6.0,,64.0,271.0,14.0,5.0,16.0,74.0,0.0,1.0,3.0,,,,3.0,0.0,3.0,,,2.0,44.6,18.0,1.0,5.0,1.0,2.0,,31.0,7.0,355.0,18.0,6.0,17.0,3.0,28.0,2.0,3.0,198.0,5.0,2.0,15.0,61.0,23.0,3.0,8.0,20.0,5.0,1.0,27.0,3.0,5.0,7.0,,,1.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,,6.0,2.0,6.0,1.0,,,,,,,1.0,,4.0,,,,,,1.0,,,1.0,,,2.0,2.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,803273,2015-11-08 16:00:00,"Anfield, Liverpool",44115,Away,Crystal Palace,Liverpool,2,1,W,1,1,0,0,,,1.0,1.0,61.0,,1.0,,,34.0,40.0,3.0,3.0,3.0,,137.0,,4.0,15.0,2.0,1.0,5.0,4.0,50.0,181.0,57.0,9.0,18.0,1.0,,1.0,2.0,18.0,20.0,1.0,24.0,6.0,10.0,25.0,,96.0,0.0,93.0,6.0,1.0,,1.0,51.0,40.0,3.0,45.0,2.0,12.0,18.0,2.0,2.0,165.0,1.0,16.0,55.0,519.0,4.0,3.0,17.0,180.0,21.0,10.0,21.0,,2.0,8.0,2.0,23.0,261.0,52.0,,82403,2.0,99.0,1.0,9.0,124.0,6.0,,,18.0,13.0,69.0,1.0,1.0,2.0,1.0,15.0,6.0,4.0,1.0,84.0,191.0,7.0,17.0,39.0,70.0,0.0,4.0,14.0,2.0,2.0,1.0,1.0,0.0,2.0,,,2.0,36.2,17.0,,7.0,2.0,1.0,,25.0,6.0,287.0,17.0,16.0,11.0,4.0,21.0,2.0,2.0,181.0,4.0,9.0,10.0,49.0,29.0,3.0,15.0,25.0,6.0,3.0,27.0,3.0,8.0,6.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,
13,803290,2015-11-23 20:00:00,"Selhurst Park, London",24361,Home,Crystal Palace,Sunderland,0,1,L,0,0,0,0,,1.0,,,63.0,,1.0,2.0,,43.0,22.0,13.0,5.0,2.0,7.0,180.0,,8.0,10.0,,6.0,14.0,7.0,102.0,169.0,54.0,19.0,20.0,1.0,,2.0,4.0,48.0,13.0,6.0,18.0,11.0,8.0,35.0,,227.0,0.0,169.0,18.0,1.0,,4.0,78.0,77.0,9.0,60.0,,37.0,16.0,13.0,5.0,165.0,,9.0,110.0,694.0,12.0,10.0,13.0,357.0,24.0,6.0,15.0,,1.0,3.0,5.0,24.0,433.0,78.0,,82403,3.0,152.0,,20.0,167.0,5.0,,,16.0,6.0,74.0,1.0,,1.0,,14.0,3.0,5.0,1.0,71.0,371.0,11.0,12.0,22.0,71.0,0.0,2.0,2.0,2.0,,1.0,2.0,0.0,6.0,,,,66.6,23.0,,4.0,1.0,4.0,1.0,50.0,11.0,452.0,13.0,15.0,20.0,8.0,49.0,2.0,3.0,333.0,14.0,7.0,18.0,119.0,28.0,2.0,15.0,15.0,15.0,3.0,21.0,2.0,9.0,11.0,2.0,,1.0,,,2.0,1.0,,,,2.0,,,,5.0,2.0,5.0,2.0,,,1.0,,,,1.0,1.0,2.0,,1.0,2.0,1.0,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,
14,803296,2015-11-28 15:00:00,"Selhurst Park, London",24833,Home,Crystal Palace,Newcastle United,5,1,W,3,1,0,0,,1.0,,1.0,70.0,1.0,1.0,2.0,1.0,41.0,17.0,10.0,7.0,1.0,3.0,156.0,3.0,9.0,14.0,5.0,4.0,15.0,8.0,96.0,142.0,61.0,19.0,13.0,,2.0,2.0,1.0,31.0,16.0,3.0,10.0,6.0,21.0,22.0,,195.0,0.0,147.0,7.0,,5.0,2.0,64.0,58.0,10.0,90.0,3.0,25.0,13.0,4.0,3.0,135.0,1.0,5.0,107.0,670.0,11.0,6.0,15.0,362.0,27.0,18.0,12.0,3.0,1.0,4.0,5.0,25.0,430.0,71.0,,82403,4.0,189.0,,19.0,202.0,2.0,3.0,2.0,13.0,4.0,49.0,,,3.0,4.0,9.0,2.0,2.0,3.0,76.0,375.0,13.0,9.0,47.0,75.0,0.0,,5.0,,4.0,1.0,4.0,0.0,7.0,3.0,,1.0,53.7,20.0,1.0,7.0,1.0,5.0,,43.0,7.0,449.0,15.0,8.0,17.0,6.0,38.0,2.0,3.0,278.0,11.0,19.0,17.0,104.0,31.0,2.0,8.0,18.0,16.0,3.0,28.0,2.0,10.0,7.0,3.0,,,,1.0,1.0,,,,,,,1.0,,5.0,1.0,5.0,1.0,,,1.0,,2.0,1.0,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
15,803304,2015-12-07 20:00:00,"Goodison Park, Liverpool",35736,Away,Crystal Palace,Everton,1,1,D,0,0,0,0,,,2.0,,75.0,,2.0,1.0,1.0,32.0,40.0,5.0,5.0,3.0,1.0,147.0,1.0,6.0,13.0,1.0,,11.0,5.0,63.0,154.0,56.0,14.0,5.0,3.0,,,3.0,21.0,16.0,1.0,32.0,5.0,11.0,44.0,,138.0,0.0,116.0,11.0,2.0,,1.0,44.0,44.0,4.0,51.0,7.0,16.0,18.0,5.0,4.0,146.0,1.0,8.0,70.0,573.0,7.0,11.0,25.0,242.0,41.0,7.0,18.0,1.0,2.0,7.0,7.0,18.0,311.0,67.0,,79228,4.0,119.0,1.0,10.0,141.0,5.0,,,18.0,9.0,53.0,,1.0,3.0,,18.0,11.0,3.0,1.0,73.0,251.0,4.0,14.0,21.0,72.0,0.0,1.0,13.0,1.0,1.0,1.0,6.0,0.0,2.0,1.0,1.0,4.0,38.0,13.0,2.0,3.0,2.0,1.0,,39.0,6.0,331.0,25.0,10.0,23.0,8.0,33.0,4.0,4.0,211.0,5.0,11.0,14.0,75.0,22.0,5.0,14.0,25.0,8.0,2.0,27.0,5.0,12.0,6.0,,,,,,,3.0,,1.0,,,,,,1.0,3.0,1.0,,,,1.0,1.0,,,,,1.0,1.0,,2.0,,,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,803317,2015-12-12 15:00:00,"Selhurst Park, London",24914,Home,Crystal Palace,Southampton,1,0,W,1,0,0,0,,,1.0,1.0,57.0,,1.0,2.0,,26.0,40.0,3.0,3.0,3.0,2.0,146.0,1.0,5.0,14.0,1.0,2.0,9.0,5.0,51.0,170.0,59.0,12.0,18.0,3.0,1.0,2.0,,26.0,14.0,1.0,36.0,8.0,4.0,17.0,,120.0,0.0,112.0,11.0,2.0,1.0,2.0,58.0,59.0,6.0,42.0,2.0,18.0,12.0,7.0,,166.0,1.0,9.0,57.0,518.0,7.0,13.0,10.0,182.0,23.0,10.0,27.0,1.0,0.0,4.0,3.0,29.0,273.0,64.0,,82403,2.0,75.0,,9.0,94.0,6.0,1.0,1.0,12.0,10.0,50.0,,,3.0,1.0,13.0,6.0,3.0,2.0,88.0,190.0,12.0,7.0,53.0,89.0,0.0,1.0,5.0,2.0,1.0,,5.0,0.0,1.0,1.0,,1.0,43.8,22.0,,3.0,,4.0,,31.0,8.0,296.0,10.0,9.0,8.0,3.0,34.0,4.0,3.0,228.0,8.0,4.0,18.0,55.0,20.0,3.0,26.0,17.0,9.0,2.0,19.0,3.0,6.0,8.0,2.0,,,,,2.0,1.0,,1.0,,,,,,4.0,1.0,4.0,2.0,,,,,,,,,5.0,,,1.0,,,,1.0,,,,2.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
17,803324,2015-12-19 15:00:00,"bet365 Stadium, Stoke",27500,Away,Crystal Palace,Stoke City,2,1,W,1,0,0,0,,1.0,1.0,1.0,57.0,1.0,2.0,2.0,,25.0,26.0,3.0,3.0,4.0,,154.0,,4.0,10.0,2.0,1.0,7.0,3.0,66.0,158.0,44.0,12.0,22.0,1.0,,1.0,3.0,14.0,13.0,,20.0,3.0,8.0,13.0,,114.0,0.0,81.0,12.0,4.0,,,31.0,66.0,1.0,55.0,1.0,11.0,6.0,4.0,3.0,152.0,2.0,11.0,67.0,533.0,7.0,10.0,12.0,232.0,24.0,8.0,10.0,,0.0,11.0,6.0,26.0,315.0,48.0,,82403,4.0,131.0,2.0,7.0,150.0,7.0,2.0,,6.0,17.0,59.0,,,1.0,,16.0,15.0,5.0,,86.0,241.0,6.0,9.0,48.0,83.0,0.0,2.0,7.0,2.0,1.0,1.0,4.0,0.0,4.0,,2.0,1.0,41.6,21.0,1.0,7.0,2.0,2.0,,28.0,3.0,342.0,12.0,12.0,6.0,7.0,20.0,,4.0,206.0,8.0,6.0,12.0,42.0,17.0,4.0,8.0,16.0,7.0,3.0,15.0,4.0,3.0,3.0,,,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,,,3.0,,3.0,1.0,,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,
18,803333,2015-12-26 15:00:00,"Vitality Stadium, Bournemouth",11218,Away,Crystal Palace,Bournemouth,0,0,D,0,0,0,0,,,1.0,,62.0,,3.0,2.0,,40.0,28.0,2.0,2.0,4.0,,163.0,,10.0,10.0,,2.0,6.0,1.0,60.0,179.0,56.0,8.0,18.0,1.0,,,2.0,27.0,13.0,,17.0,9.0,12.0,29.0,,141.0,0.0,135.0,13.0,2.0,,1.0,63.0,58.0,2.0,71.0,4.0,18.0,16.0,6.0,1.0,168.0,,5.0,75.0,592.0,4.0,8.0,24.0,253.0,26.0,16.0,15.0,,0.0,2.0,4.0,22.0,344.0,79.0,,82403,5.0,132.0,,11.0,148.0,6.0,,,16.0,10.0,70.0,,,1.0,,8.0,5.0,4.0,1.0,92.0,263.0,10.0,14.0,46.0,85.0,0.0,5.0,8.0,1.0,,,3.0,0.0,5.0,,1.0,2.0,44.8,18.0,2.0,3.0,,3.0,,42.0,9.0,369.0,24.0,18.0,14.0,4.0,37.0,5.0,3.0,248.0,3.0,12.0,18.0,68.0,25.0,3.0,12.0,18.0,4.0,3.0,18.0,3.0,10.0,9.0,1.0,,,,,1.0,,,,,,1.0,2.0,,2.0,2.0,2.0,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
19,803350,2015-12-28 15:00:00,"Selhurst Park, London",23714,Home,Crystal Palace,Swansea City,0,0,D,0,0,0,0,,,,,58.0,,3.0,,,29.0,14.0,4.0,,3.0,1.0,170.0,,10.0,8.0,,7.0,7.0,2.0,86.0,172.0,53.0,10.0,14.0,2.0,,1.0,,39.0,9.0,,8.0,6.0,18.0,31.0,,182.0,0.0,138.0,11.0,1.0,,6.0,94.0,58.0,1.0,65.0,2.0,33.0,16.0,14.0,2.0,166.0,,1.0,86.0,611.0,4.0,8.0,20.0,295.0,20.0,5.0,6.0,,3.0,2.0,6.0,32.0,390.0,70.0,,82403,4.0,131.0,1.0,13.0,151.0,7.0,,2.0,16.0,5.0,39.0,,,4.0,,11.0,4.0,2.0,2.0,67.0,303.0,15.0,3.0,26.0,72.0,0.0,4.0,4.0,,,,3.0,0.0,7.0,,,3.0,53.6,29.0,2.0,3.0,1.0,2.0,,43.0,7.0,407.0,20.0,7.0,16.0,6.0,48.0,3.0,4.0,295.0,7.0,15.0,18.0,79.0,32.0,2.0,5.0,12.0,6.0,3.0,12.0,2.0,7.0,7.0,2.0,,1.0,,,,3.0,,1.0,,1.0,,2.0,,3.0,3.0,3.0,,,,,,,,,1.0,1.0,1.0,,,1.0,,3.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
20,803354,2016-01-03 13:30:00,"Selhurst Park, London",24854,Home,Crystal Palace,Chelsea,0,3,L,0,1,0,0,1.0,,2.0,,62.0,,,,,19.0,19.0,4.0,4.0,1.0,,162.0,,7.0,8.0,,1.0,7.0,4.0,84.0,168.0,51.0,8.0,13.0,3.0,,1.0,1.0,28.0,10.0,1.0,9.0,5.0,8.0,25.0,,139.0,0.0,117.0,12.0,1.0,,3.0,47.0,48.0,5.0,49.0,4.0,23.0,15.0,8.0,1.0,158.0,1.0,7.0,78.0,571.0,5.0,9.0,23.0,257.0,22.0,4.0,6.0,,3.0,4.0,2.0,25.0,349.0,71.0,,82403,3.0,142.0,1.0,12.0,160.0,6.0,,,15.0,7.0,58.0,,,,,8.0,3.0,5.0,,62.0,274.0,14.0,10.0,24.0,93.0,0.0,4.0,7.0,1.0,,3.0,3.0,0.0,5.0,,,2.0,39.8,22.0,,5.0,,2.0,,46.0,5.0,373.0,23.0,9.0,7.0,2.0,34.0,2.0,1.0,241.0,2.0,8.0,13.0,66.0,31.0,,3.0,17.0,6.0,3.0,22.0,,6.0,5.0,2.0,,1.0,,,1.0,,,2.0,,1.0,,1.0,,3.0,2.0,3.0,1.0,,,2.0,,,,,,,1.0,1.0,,,,3.0,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,803363,2016-01-12 19:45:00,"Villa Park, Birmingham",28245,Away,Crystal Palace,Aston Villa,0,1,L,0,0,0,0,,1.0,,,60.0,,1.0,,,36.0,18.0,5.0,2.0,3.0,1.0,173.0,,3.0,7.0,,4.0,5.0,1.0,94.0,177.0,52.0,9.0,20.0,,,1.0,2.0,7.0,7.0,1.0,14.0,,8.0,30.0,,146.0,0.0,116.0,9.0,1.0,,2.0,55.0,54.0,,76.0,5.0,7.0,20.0,1.0,3.0,173.0,1.0,7.0,84.0,639.0,3.0,11.0,27.0,302.0,31.0,18.0,9.0,,1.0,7.0,5.0,35.0,407.0,71.0,,82403,2.0,170.0,1.0,4.0,192.0,5.0,,,20.0,5.0,63.0,1.0,,5.0,,19.0,7.0,1.0,2.0,83.0,313.0,15.0,10.0,52.0,92.0,0.0,2.0,9.0,2.0,,1.0,3.0,0.0,3.0,,,2.0,48.7,32.0,2.0,1.0,,1.0,,49.0,,427.0,27.0,20.0,10.0,7.0,22.0,,3.0,242.0,5.0,7.0,21.0,60.0,23.0,4.0,8.0,10.0,6.0,3.0,12.0,4.0,6.0,,1.0,1.0,,1.0,,2.0,,,,1.0,,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,,2.0,,2.0,,,2.0,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
22,803373,2016-01-16 15:00:00,"Etihad Stadium, Manchester",53983,Away,Crystal Palace,Manchester City,0,4,L,0,2,0,0,2.0,,,,47.0,,,,,24.0,10.0,4.0,4.0,,1.0,176.0,,5.0,12.0,,2.0,8.0,3.0,98.0,151.0,60.0,9.0,16.0,2.0,,1.0,1.0,25.0,11.0,1.0,8.0,6.0,21.0,21.0,,174.0,0.0,113.0,11.0,,,2.0,74.0,57.0,3.0,72.0,3.0,19.0,14.0,7.0,2.0,149.0,1.0,9.0,80.0,620.0,6.0,6.0,22.0,315.0,24.0,9.0,7.0,,2.0,7.0,5.0,27.0,404.0,62.0,,82403,4.0,161.0,1.0,10.0,185.0,7.0,,2.0,14.0,10.0,60.0,,,1.0,,7.0,8.0,6.0,,56.0,330.0,9.0,12.0,31.0,74.0,0.0,3.0,5.0,,,4.0,2.0,0.0,1.0,,,3.0,47.2,27.0,1.0,5.0,,1.0,,40.0,6.0,426.0,22.0,13.0,11.0,5.0,29.0,4.0,3.0,266.0,2.0,19.0,16.0,70.0,17.0,1.0,6.0,24.0,5.0,3.0,21.0,1.0,9.0,6.0,1.0,,,,,1.0,2.0,,2.0,,,,,,,2.0,,1.0,,,2.0,,,,1.0,1.0,1.0,1.0,,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
23,803391,2016-01-23 15:00:00,"Selhurst Park, London",24867,Home,Crystal Palace,Tottenham Hotspur,1,3,L,1,0,0,0,2.0,,1.0,,63.0,,3.0,3.0,,33.0,24.0,4.0,4.0,8.0,1.0,154.0,,5.0,7.0,1.0,2.0,6.0,3.0,50.0,161.0,56.0,11.0,19.0,2.0,,,,24.0,19.0,1.0,18.0,3.0,14.0,17.0,,109.0,0.0,110.0,11.0,2.0,,3.0,45.0,37.0,4.0,35.0,5.0,21.0,22.0,8.0,1.0,155.0,1.0,8.0,51.0,516.0,4.0,12.0,27.0,177.0,31.0,16.0,12.0,,2.0,7.0,2.0,25.0,264.0,69.0,,82403,4.0,89.0,1.0,10.0,114.0,5.0,,,22.0,7.0,61.0,1.0,,,,14.0,16.0,4.0,2.0,84.0,193.0,12.0,15.0,51.0,73.0,0.0,,10.0,5.0,1.0,3.0,3.0,0.0,4.0,,2.0,2.0,36.1,18.0,,5.0,,5.0,,33.0,3.0,290.0,27.0,11.0,7.0,3.0,31.0,1.0,1.0,200.0,5.0,11.0,15.0,59.0,20.0,1.0,11.0,22.0,5.0,2.0,13.0,1.0,12.0,3.0,2.0,1.0,,1.0,,,,,1.0,2.0,,,2.0,,2.0,2.0,3.0,,,,1.0,,,,,1.0,2.0,,1.0,2.0,1.0,,1.0,,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,
24,803393,2016-02-02 20:00:00,"Selhurst Park, London",24855,Home,Crystal Palace,Bournemouth,1,2,L,1,1,0,0,,,1.0,1.0,56.0,,1.0,3.0,1.0,36.0,21.0,6.0,6.0,2.0,1.0,175.0,,6.0,12.0,1.0,6.0,9.0,3.0,71.0,162.0,57.0,14.0,11.0,1.0,,1.0,,29.0,10.0,1.0,17.0,5.0,18.0,22.0,,198.0,0.0,166.0,11.0,1.0,,6.0,76.0,68.0,6.0,74.0,3.0,24.0,7.0,7.0,3.0,158.0,2.0,4.0,64.0,606.0,7.0,11.0,19.0,280.0,17.0,12.0,13.0,1.0,3.0,2.0,3.0,32.0,362.0,75.0,1.0,82403,6.0,97.0,1.0,11.0,108.0,6.0,1.0,1.0,7.0,4.0,42.0,1.0,1.0,3.0,,13.0,4.0,2.0,4.0,85.0,289.0,13.0,4.0,38.0,98.0,0.0,3.0,3.0,1.0,1.0,2.0,6.0,0.0,6.0,1.0,1.0,,50.6,27.0,,4.0,1.0,5.0,,49.0,5.0,384.0,19.0,5.0,10.0,6.0,45.0,,3.0,305.0,7.0,15.0,21.0,101.0,26.0,7.0,10.0,11.0,9.0,3.0,23.0,7.0,3.0,5.0,2.0,,,,,,1.0,,,,,1.0,2.0,,2.0,1.0,2.0,,,,2.0,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,
25,803403,2016-02-06 15:00:00,"Swansea.com Stadium, Swansea",20492,Away,Crystal Palace,Swansea City,1,1,D,0,1,0,0,1.0,1.0,,1.0,67.0,,2.0,2.0,1.0,27.0,35.0,5.0,2.0,2.0,1.0,154.0,,5.0,10.0,1.0,1.0,10.0,2.0,70.0,165.0,69.0,12.0,22.0,,,,1.0,21.0,16.0,1.0,27.0,5.0,19.0,17.0,,115.0,0.0,114.0,14.0,1.0,,1.0,61.0,38.0,5.0,51.0,5.0,16.0,17.0,3.0,2.0,157.0,1.0,11.0,61.0,570.0,7.0,12.0,25.0,227.0,36.0,9.0,20.0,1.0,2.0,7.0,5.0,20.0,309.0,69.0,,82403,4.0,131.0,,12.0,155.0,8.0,,,17.0,11.0,65.0,,1.0,,,14.0,7.0,6.0,1.0,80.0,241.0,10.0,6.0,47.0,56.0,0.0,2.0,9.0,,1.0,1.0,5.0,0.0,3.0,1.0,1.0,3.0,41.5,16.0,3.0,3.0,1.0,4.0,,21.0,5.0,336.0,25.0,20.0,8.0,6.0,25.0,2.0,4.0,202.0,6.0,19.0,27.0,66.0,23.0,3.0,17.0,22.0,9.0,3.0,16.0,3.0,10.0,5.0,2.0,,2.0,,,,2.0,,,,2.0,1.0,2.0,,1.0,2.0,1.0,,,,,,1.0,,1.0,,,2.0,,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,803419,2016-02-13 15:00:00,"Selhurst Park, London",24564,Home,Crystal Palace,Watford,1,2,L,1,1,1,0,,,1.0,,62.0,,,,,42.0,24.0,9.0,5.0,2.0,3.0,175.0,,7.0,13.0,1.0,3.0,9.0,5.0,71.0,195.0,72.0,15.0,17.0,1.0,1.0,1.0,,33.0,13.0,3.0,21.0,7.0,8.0,35.0,,170.0,0.0,126.0,16.0,2.0,,1.0,75.0,75.0,4.0,59.0,3.0,26.0,13.0,10.0,4.0,192.0,1.0,5.0,79.0,635.0,8.0,10.0,18.0,268.0,27.0,18.0,15.0,1.0,0.0,2.0,5.0,35.0,362.0,72.0,1.0,82403,3.0,116.0,1.0,15.0,148.0,9.0,,,13.0,7.0,70.0,2.0,,6.0,1.0,15.0,5.0,2.0,3.0,86.0,279.0,11.0,7.0,49.0,89.0,0.0,5.0,3.0,2.0,1.0,2.0,3.0,1.0,6.0,1.0,,4.0,53.9,31.0,3.0,7.0,1.0,2.0,,47.0,8.0,384.0,18.0,23.0,18.0,8.0,38.0,1.0,3.0,269.0,6.0,8.0,31.0,76.0,18.0,2.0,13.0,18.0,9.0,2.0,20.0,2.0,9.0,8.0,2.0,1.0,,,,,2.0,1.0,,1.0,,,,,6.0,,7.0,,,,2.0,,,,,2.0,,2.0,,2.0,2.0,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,
27,803426,2016-02-27 17:30:00,"The Hawthorns, West Bromwich",24806,Away,Crystal Palace,West Bromwich Albion,2,3,L,0,3,0,0,,,,1.0,66.0,,1.0,4.0,,37.0,16.0,4.0,5.0,2.0,,195.0,1.0,6.0,8.0,2.0,4.0,8.0,2.0,92.0,186.0,59.0,15.0,29.0,,1.0,,1.0,28.0,9.0,,10.0,5.0,18.0,28.0,,155.0,0.0,115.0,16.0,2.0,,3.0,60.0,64.0,4.0,65.0,3.0,23.0,14.0,8.0,3.0,180.0,1.0,6.0,75.0,605.0,5.0,12.0,14.0,293.0,30.0,12.0,4.0,1.0,2.0,1.0,4.0,16.0,401.0,57.0,,82403,4.0,158.0,,12.0,201.0,8.0,,,14.0,8.0,69.0,,,1.0,1.0,17.0,5.0,4.0,1.0,86.0,307.0,14.0,9.0,50.0,87.0,0.0,1.0,3.0,1.0,2.0,3.0,6.0,0.0,3.0,,2.0,2.0,53.9,13.0,2.0,,5.0,5.0,,42.0,6.0,427.0,14.0,7.0,15.0,8.0,39.0,3.0,5.0,254.0,7.0,15.0,27.0,74.0,29.0,2.0,3.0,11.0,6.0,3.0,16.0,2.0,3.0,6.0,1.0,,,,,4.0,3.0,,,,,,5.0,,4.0,2.0,5.0,4.0,,,3.0,,2.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,2.0,2.0,,,,,1.0,,,,,,,,,,
