gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,accurateKeeperSweeper,attSvLowCentre,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,lostCorners,savedIbox,attIboxGoal,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attIboxBlocked,attOboxTarget,attSvLowLeft,sixYardBlock,goalsConceded,attHdMiss,clearanceOffLine,accurateCornersIntobox,goalsConcededIbox,handBall,attMissLeft,attMissHighLeft,possWonAtt3rd,attGoalHighCentre,attObxdRight,attRfGoal,totalPullBack,forwardGoals,goalAssistOpenplay,attGoalLowRight,accuratePullBack,penaltyConceded,punches,attFreekickTarget,penaltyFaced,penGoalsConceded,errorLeadToShot,attSvHighCentre,goalsConcededObox,attGoalHighLeft,penaltyWon,attPenGoal,midfielderGoals,attLfGoal,goalFastbreak,secondYellow,attHdPost,errorLeadToGoal,penaltySave,attOboxGoal,attSvHighLeft,attObxdLeft,attGoalHighRight,attSvHighRight,attGoalLowCentre,attPostRight,ownGoals,attIboxOwnGoal
11,284108,2009-10-31 15:00:00,"bet365 Stadium, Stoke",27500.0,Home,Stoke City,Wolverhampton Wanderers,2,2,D,2,0,0,0,,39.0,,2.0,,,16.0,39.0,2.0,5.0,,,,7.0,4.0,2.0,,7.0,,4.0,188.0,62.0,1.0,10.0,1.0,28.0,2.0,,,,1.0,17.0,,14.0,20.0,4.0,12.0,15.0,74.0,,,0.0,101.0,14.0,,,,3.0,57.0,33.0,3.0,1.0,1.0,13.0,,1.0,4.0,1.0,169.0,5.0,507.0,,3.0,15.0,,2.0,,20.0,,15.0,8.0,28.0,1.0,,0.0,4.0,4.0,32.0,,76.0,1.0,,5589,,83.0,8.0,1.0,105.0,6.0,62.0,2.0,,2.0,2.0,6.0,3.0,2.0,64.0,150.0,16.0,5.0,3.0,54.0,,95.0,,,0.0,3.0,,2.0,,6.0,0.0,5.0,1.0,,4.0,,43.7,13.0,,2.0,1.0,26.0,4.0,3.0,269.0,18.0,,10.0,5.0,5.0,29.0,4.0,181.0,1.0,11.0,21.0,37.0,12.0,,12.0,21.0,,,3.0,10.0,,4.0,,,,,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,,
12,284113,2009-11-08 13:30:00,"The MKM Stadium, Hull",24516.0,Away,Stoke City,Hull City,1,2,L,1,0,1,0,1.0,43.0,1.0,2.0,,,15.0,41.0,4.0,3.0,,,1.0,4.0,5.0,1.0,,6.0,,3.0,194.0,52.0,1.0,8.0,,16.0,,1.0,1.0,,1.0,17.0,1.0,14.0,19.0,1.0,4.0,21.0,121.0,,,0.0,112.0,16.0,,,,3.0,50.0,37.0,4.0,4.0,2.0,16.0,,1.0,8.0,3.0,172.0,6.0,549.0,1.0,4.0,20.0,,,1.0,27.0,,18.0,6.0,24.0,1.0,,3.0,3.0,2.0,38.0,,76.0,,,5589,,68.0,7.0,1.0,88.0,12.0,55.0,2.0,,,1.0,10.0,4.0,1.0,47.0,185.0,12.0,5.0,1.0,35.0,,101.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,7.0,1.0,4.0,1.0,5.0,1.0,,43.3,16.0,,1.0,1.0,37.0,2.0,3.0,294.0,27.0,1.0,13.0,10.0,4.0,25.0,,223.0,4.0,4.0,21.0,56.0,16.0,3.0,12.0,14.0,,,3.0,12.0,3.0,2.0,1.0,2.0,,,2.0,,,,1.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
13,284127,2009-11-22 16:00:00,"bet365 Stadium, Stoke",27069.0,Home,Stoke City,Portsmouth,1,0,W,0,0,0,0,,58.0,,4.0,,,12.0,44.0,3.0,2.0,,,2.0,1.0,10.0,1.0,,7.0,,3.0,175.0,60.0,1.0,10.0,,11.0,1.0,3.0,,,1.0,16.0,,15.0,27.0,4.0,6.0,17.0,85.0,,1.0,0.0,103.0,16.0,2.0,,,2.0,30.0,25.0,2.0,,,12.0,,1.0,3.0,1.0,158.0,4.0,488.0,,3.0,15.0,,,,12.0,,23.0,7.0,23.0,1.0,,1.0,5.0,5.0,24.0,,74.0,2.0,,6769,,40.0,6.0,,63.0,11.0,48.0,7.0,,2.0,1.0,14.0,2.0,2.0,45.0,124.0,14.0,3.0,3.0,30.0,,77.0,3.0,,0.0,4.0,1.0,,,3.0,0.0,,,1.0,2.0,,41.9,12.0,,1.0,,18.0,4.0,2.0,226.0,12.0,,8.0,7.0,7.0,28.0,6.0,179.0,6.0,6.0,14.0,53.0,19.0,1.0,13.0,22.0,,,3.0,20.0,1.0,4.0,,1.0,,,,2.0,,1.0,,,3.0,2.0,3.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,
14,284132,2009-11-28 15:00:00,"Ewood Park, Blackburn",25143.0,Away,Stoke City,Blackburn Rovers,0,0,D,0,0,0,0,1.0,41.0,,1.0,,,25.0,61.0,4.0,4.0,,,3.0,2.0,4.0,,,8.0,,4.0,163.0,46.0,,9.0,1.0,29.0,2.0,2.0,,,1.0,12.0,,7.0,34.0,1.0,8.0,23.0,144.0,,1.0,0.0,144.0,13.0,2.0,,,4.0,45.0,58.0,5.0,,1.0,11.0,,,3.0,1.0,136.0,5.0,534.0,,8.0,16.0,,,,7.0,,15.0,9.0,40.0,,,2.0,2.0,3.0,27.0,,77.0,1.0,,6769,,66.0,7.0,,79.0,13.0,57.0,1.0,,1.0,2.0,8.0,5.0,2.0,60.0,208.0,12.0,3.0,,27.0,,89.0,2.0,1.0,0.0,9.0,2.0,,,6.0,0.0,2.0,,,,,42.4,14.0,,2.0,1.0,39.0,2.0,5.0,299.0,7.0,,4.0,7.0,4.0,23.0,3.0,232.0,5.0,7.0,17.0,89.0,16.0,6.0,21.0,13.0,,,3.0,13.0,6.0,2.0,,2.0,1.0,,,,,,,1.0,1.0,,,,,,2.0,,,,2.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
15,284140,2009-12-05 15:00:00,"Emirates Stadium, London",60048.0,Away,Stoke City,Arsenal,0,2,L,0,1,0,0,,53.0,,1.0,,,25.0,36.0,3.0,1.0,,,2.0,,2.0,,,3.0,,3.0,175.0,61.0,,5.0,,16.0,1.0,2.0,,1.0,2.0,10.0,,29.0,22.0,2.0,7.0,33.0,120.0,,,0.0,131.0,12.0,4.0,,,2.0,71.0,21.0,3.0,3.0,,8.0,,,3.0,1.0,161.0,12.0,584.0,,3.0,15.0,,1.0,,34.0,,29.0,16.0,18.0,,1.0,0.0,1.0,,22.0,,93.0,1.0,,6769,,99.0,5.0,,116.0,6.0,57.0,1.0,,8.0,1.0,3.0,4.0,,67.0,219.0,3.0,9.0,,44.0,,84.0,2.0,,0.0,10.0,4.0,,,7.0,0.0,,,,1.0,,33.2,8.0,,1.0,1.0,33.0,2.0,2.0,324.0,34.0,,15.0,10.0,1.0,20.0,,218.0,3.0,7.0,21.0,61.0,13.0,2.0,12.0,35.0,,,3.0,9.0,2.0,2.0,1.0,2.0,,,2.0,,,,1.0,2.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,
16,284157,2009-12-12 12:45:00,"bet365 Stadium, Stoke",26728.0,Home,Stoke City,Wigan Athletic,2,2,D,1,1,0,0,,36.0,1.0,2.0,1.0,1.0,24.0,48.0,5.0,2.0,,4.0,,5.0,7.0,2.0,,15.0,,2.0,161.0,60.0,2.0,18.0,4.0,26.0,,1.0,,,,15.0,,22.0,26.0,5.0,2.0,31.0,99.0,2.0,,0.0,110.0,21.0,3.0,,,2.0,31.0,34.0,6.0,,4.0,10.0,,2.0,5.0,3.0,139.0,9.0,498.0,,10.0,9.0,,,,15.0,,10.0,8.0,35.0,2.0,,5.0,8.0,9.0,20.0,,80.0,2.0,,6769,,68.0,5.0,,79.0,12.0,74.0,2.0,1.0,3.0,1.0,10.0,5.0,2.0,57.0,162.0,10.0,5.0,3.0,26.0,,85.0,1.0,,0.0,3.0,2.0,2.0,,4.0,0.0,3.0,2.0,,4.0,,40.6,4.0,,1.0,6.0,33.0,5.0,3.0,241.0,15.0,1.0,14.0,13.0,10.0,27.0,7.0,177.0,12.0,2.0,15.0,65.0,14.0,1.0,21.0,28.0,1.0,,2.0,17.0,1.0,5.0,2.0,,,,2.0,3.0,,2.0,1.0,2.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,,,2.0,,,,,,
17,284165,2010-01-05 19:45:00,"bet365 Stadium, Stoke",,Home,Stoke City,Fulham,3,2,W,3,0,0,0,1.0,48.0,1.0,1.0,2.0,1.0,38.0,48.0,2.0,5.0,,,3.0,8.0,6.0,3.0,,11.0,,8.0,173.0,52.0,,15.0,1.0,8.0,4.0,,,,,18.0,,16.0,27.0,7.0,1.0,42.0,126.0,,,0.0,132.0,13.0,,,,2.0,75.0,33.0,8.0,2.0,,11.0,,,4.0,,152.0,7.0,588.0,,3.0,20.0,,1.0,,32.0,,16.0,9.0,33.0,3.0,,1.0,10.0,3.0,26.0,,89.0,,,6769,,84.0,6.0,1.0,99.0,10.0,37.0,,1.0,5.0,2.0,13.0,3.0,,70.0,202.0,7.0,2.0,5.0,36.0,,86.0,,4.0,0.0,10.0,1.0,3.0,,8.0,0.0,3.0,2.0,2.0,5.0,,42.2,12.0,,3.0,4.0,39.0,8.0,5.0,303.0,32.0,,3.0,23.0,3.0,17.0,3.0,222.0,5.0,1.0,20.0,69.0,18.0,3.0,20.0,19.0,1.0,,3.0,17.0,3.0,8.0,3.0,1.0,,1.0,2.0,3.0,,5.0,,,2.0,1.0,,1.0,,,,2.0,1.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,1.0,1.0,,,,
18,284171,2009-12-19 15:00:00,"Villa Park, Birmingham",35852.0,Away,Stoke City,Aston Villa,0,1,L,0,0,0,0,,48.0,,3.0,,,17.0,19.0,6.0,7.0,,,,5.0,4.0,,,12.0,,,196.0,64.0,,15.0,3.0,30.0,,,,1.0,,14.0,,15.0,8.0,4.0,16.0,21.0,136.0,,,0.0,140.0,16.0,2.0,,,2.0,62.0,31.0,5.0,,2.0,10.0,,,1.0,3.0,185.0,7.0,579.0,,10.0,22.0,,,,12.0,,21.0,7.0,11.0,,1.0,1.0,4.0,7.0,41.0,,92.0,2.0,,6769,,80.0,6.0,2.0,101.0,15.0,62.0,4.0,,,1.0,11.0,4.0,4.0,52.0,211.0,9.0,,2.0,31.0,,90.0,,,0.0,3.0,1.0,,,8.0,0.0,5.0,,2.0,2.0,,47.0,23.0,,1.0,6.0,31.0,4.0,2.0,340.0,12.0,,11.0,8.0,9.0,23.0,6.0,253.0,6.0,11.0,33.0,69.0,17.0,1.0,4.0,18.0,,,3.0,11.0,1.0,4.0,3.0,,,,1.0,2.0,,,1.0,2.0,2.0,1.0,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,284186,2009-12-26 15:00:00,"Etihad Stadium, Manchester",47325.0,Away,Stoke City,Manchester City,0,2,L,0,2,0,0,,57.0,,2.0,,,35.0,35.0,3.0,2.0,,,2.0,6.0,4.0,,,7.0,,2.0,165.0,51.0,1.0,8.0,1.0,17.0,2.0,,,1.0,1.0,26.0,,12.0,20.0,6.0,7.0,35.0,128.0,1.0,,0.0,114.0,11.0,1.0,,,,42.0,50.0,2.0,,2.0,20.0,,1.0,9.0,2.0,150.0,8.0,556.0,,5.0,19.0,,,,26.0,,28.0,16.0,24.0,,1.0,2.0,,5.0,26.0,,86.0,1.0,,6769,,88.0,7.0,2.0,98.0,10.0,43.0,2.0,,4.0,1.0,5.0,7.0,,62.0,210.0,13.0,,2.0,37.0,,85.0,,,0.0,7.0,2.0,,,7.0,0.0,4.0,,,2.0,,37.6,12.0,,1.0,1.0,50.0,6.0,,303.0,26.0,,4.0,22.0,5.0,20.0,3.0,231.0,4.0,7.0,19.0,57.0,24.0,5.0,15.0,15.0,,,3.0,16.0,5.0,6.0,,,1.0,,2.0,2.0,,2.0,2.0,1.0,1.0,1.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
20,284197,2009-12-28 15:00:00,"bet365 Stadium, Stoke",27211.0,Home,Stoke City,Birmingham City,0,1,L,0,0,0,0,1.0,48.0,,2.0,,,37.0,48.0,4.0,6.0,,,,10.0,3.0,,,10.0,,2.0,187.0,56.0,1.0,14.0,3.0,25.0,2.0,,,1.0,,40.0,,13.0,28.0,10.0,6.0,30.0,108.0,,,0.0,128.0,16.0,1.0,,,3.0,47.0,49.0,3.0,1.0,1.0,30.0,,1.0,12.0,1.0,167.0,6.0,541.0,,4.0,18.0,,1.0,,18.0,,14.0,13.0,30.0,,1.0,2.0,5.0,7.0,21.0,,85.0,,,6285,,77.0,12.0,1.0,90.0,10.0,64.0,1.0,,1.0,4.0,8.0,7.0,3.0,66.0,175.0,14.0,4.0,6.0,38.0,,82.0,,1.0,0.0,7.0,1.0,,,7.0,0.0,5.0,,,6.0,,50.2,5.0,,5.0,5.0,35.0,10.0,3.0,272.0,16.0,,12.0,14.0,7.0,43.0,6.0,222.0,2.0,6.0,24.0,64.0,22.0,2.0,17.0,15.0,,,2.0,10.0,2.0,10.0,2.0,,1.0,,1.0,5.0,,5.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,284202,2010-03-10 19:45:00,"Turf Moor, Burnley",,Away,Stoke City,Burnley,1,1,D,1,0,0,0,,56.0,,2.0,,,16.0,41.0,4.0,5.0,,,1.0,3.0,3.0,1.0,,10.0,,2.0,211.0,54.0,,10.0,2.0,21.0,,,,,,15.0,,15.0,21.0,4.0,6.0,34.0,95.0,,,0.0,134.0,11.0,2.0,,,2.0,55.0,37.0,5.0,1.0,1.0,11.0,,,4.0,1.0,191.0,8.0,564.0,,6.0,21.0,,,,26.0,,14.0,6.0,27.0,1.0,,0.0,1.0,5.0,34.0,,93.0,2.0,,76429,,78.0,5.0,1.0,98.0,9.0,49.0,4.0,,3.0,,4.0,3.0,1.0,60.0,170.0,13.0,5.0,3.0,39.0,,118.0,,,0.0,4.0,1.0,1.0,,5.0,0.0,1.0,1.0,,2.0,,45.3,17.0,,,3.0,34.0,4.0,2.0,311.0,25.0,,6.0,9.0,5.0,34.0,4.0,228.0,3.0,5.0,23.0,54.0,29.0,3.0,13.0,15.0,1.0,,3.0,9.0,3.0,4.0,1.0,1.0,,,1.0,1.0,,2.0,1.0,,1.0,2.0,4.0,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
22,284217,2010-01-16 12:45:00,"bet365 Stadium, Stoke",27247.0,Home,Stoke City,Liverpool,1,1,D,0,0,0,0,,39.0,,,1.0,,23.0,50.0,3.0,2.0,,,,4.0,2.0,1.0,,6.0,,2.0,214.0,42.0,3.0,10.0,3.0,28.0,1.0,,,,1.0,17.0,,8.0,28.0,10.0,2.0,31.0,120.0,1.0,,0.0,154.0,13.0,,,,2.0,56.0,24.0,2.0,1.0,2.0,7.0,,3.0,2.0,,192.0,6.0,577.0,,3.0,28.0,,1.0,,21.0,,10.0,19.0,33.0,1.0,,1.0,2.0,4.0,42.0,,101.0,,,6769,,74.0,5.0,,91.0,9.0,69.0,1.0,1.0,,1.0,2.0,6.0,,60.0,190.0,9.0,3.0,2.0,60.0,,101.0,,,0.0,,,1.0,,13.0,0.0,1.0,,2.0,4.0,1.0,44.8,16.0,,1.0,4.0,41.0,10.0,3.0,314.0,21.0,,10.0,10.0,4.0,30.0,4.0,240.0,4.0,2.0,20.0,68.0,15.0,2.0,21.0,11.0,,,3.0,17.0,2.0,10.0,1.0,,,,1.0,3.0,,3.0,1.0,,1.0,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
23,284223,2010-02-16 19:45:00,"bet365 Stadium, Stoke",26778.0,Home,Stoke City,Manchester City,1,1,D,0,0,1,0,,50.0,,,,,24.0,36.0,4.0,3.0,,,2.0,4.0,2.0,1.0,,6.0,,3.0,163.0,58.0,,10.0,,23.0,1.0,,,,2.0,12.0,,15.0,20.0,3.0,3.0,28.0,87.0,1.0,,0.0,96.0,21.0,,,,5.0,26.0,34.0,3.0,3.0,1.0,9.0,,,1.0,2.0,147.0,6.0,474.0,,4.0,19.0,,,,20.0,,21.0,14.0,24.0,,,3.0,4.0,3.0,25.0,,80.0,,,6769,,62.0,4.0,3.0,81.0,13.0,69.0,4.0,,1.0,,4.0,4.0,1.0,50.0,145.0,14.0,5.0,2.0,38.0,,94.0,,,0.0,3.0,,,,8.0,1.0,2.0,,1.0,2.0,,36.8,9.0,,,2.0,41.0,3.0,5.0,238.0,19.0,,11.0,13.0,5.0,27.0,3.0,169.0,4.0,3.0,17.0,44.0,16.0,1.0,12.0,25.0,,,3.0,11.0,1.0,3.0,2.0,1.0,,2.0,1.0,2.0,,2.0,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,,,
24,284237,2010-02-01 20:00:00,"Stadium of Light, Sunderland",35078.0,Away,Stoke City,Sunderland,0,0,D,0,0,0,0,1.0,63.0,,1.0,,,22.0,54.0,,3.0,,,2.0,5.0,3.0,,,6.0,,3.0,220.0,50.0,,6.0,,21.0,3.0,,,1.0,1.0,14.0,,13.0,32.0,3.0,6.0,21.0,104.0,,1.0,0.0,138.0,17.0,1.0,,,4.0,34.0,64.0,5.0,1.0,1.0,11.0,,,3.0,,198.0,3.0,578.0,,5.0,24.0,,,,15.0,,18.0,9.0,32.0,,1.0,3.0,3.0,1.0,30.0,,93.0,,,6769,,63.0,5.0,2.0,90.0,4.0,66.0,,,1.0,3.0,4.0,3.0,,60.0,162.0,7.0,4.0,1.0,42.0,,91.0,,,0.0,7.0,2.0,,,7.0,0.0,3.0,,1.0,1.0,2.0,42.8,12.0,,3.0,2.0,33.0,3.0,4.0,303.0,15.0,,19.0,9.0,1.0,22.0,1.0,227.0,2.0,6.0,21.0,65.0,20.0,5.0,19.0,19.0,,,3.0,10.0,5.0,4.0,2.0,,2.0,1.0,,1.0,,2.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,284247,2010-02-06 15:00:00,"bet365 Stadium, Stoke",27386.0,Home,Stoke City,Blackburn Rovers,3,0,W,2,0,0,1,,36.0,1.0,,,,21.0,54.0,5.0,6.0,,,,14.0,5.0,3.0,,12.0,,6.0,147.0,65.0,2.0,16.0,2.0,15.0,3.0,,,,1.0,29.0,,8.0,35.0,11.0,3.0,23.0,122.0,,1.0,0.0,115.0,14.0,,,,1.0,36.0,56.0,9.0,,1.0,18.0,,2.0,3.0,3.0,128.0,5.0,468.0,,2.0,14.0,,3.0,,15.0,,7.0,12.0,35.0,2.0,,2.0,5.0,3.0,35.0,,61.0,1.0,,6769,,42.0,12.0,,52.0,5.0,47.0,3.0,1.0,1.0,2.0,4.0,4.0,3.0,44.0,150.0,20.0,3.0,8.0,33.0,,70.0,,1.0,0.0,7.0,1.0,3.0,,5.0,0.0,6.0,2.0,,4.0,1.0,49.3,15.0,,2.0,5.0,30.0,12.0,1.0,225.0,15.0,1.0,11.0,12.0,5.0,30.0,2.0,202.0,3.0,3.0,29.0,72.0,18.0,1.0,21.0,11.0,,,3.0,9.0,1.0,12.0,3.0,,1.0,3.0,,1.0,1.0,8.0,,,,1.0,1.0,,,1.0,,1.0,2.0,,,,3.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,2.0,,,
26,284254,2010-02-09 19:45:00,"The Brick Community Stadium, Wigan",16033.0,Away,Stoke City,Wigan Athletic,1,1,D,0,1,0,0,,51.0,,1.0,,,24.0,44.0,6.0,2.0,,,3.0,8.0,6.0,1.0,,10.0,,4.0,163.0,79.0,2.0,13.0,3.0,24.0,2.0,,1.0,,,21.0,1.0,32.0,38.0,5.0,4.0,38.0,129.0,,,0.0,123.0,8.0,,,,2.0,46.0,45.0,6.0,1.0,1.0,16.0,,2.0,7.0,2.0,157.0,6.0,604.0,,9.0,14.0,,,1.0,39.0,,19.0,8.0,25.0,1.0,,3.0,9.0,4.0,24.0,,83.0,,,6769,,68.0,7.0,1.0,87.0,9.0,63.0,,,2.0,2.0,10.0,6.0,1.0,55.0,189.0,12.0,14.0,,34.0,,84.0,,2.0,0.0,9.0,,1.0,1.0,6.0,0.0,8.0,1.0,2.0,2.0,,42.5,10.0,,2.0,4.0,39.0,5.0,2.0,296.0,39.0,,11.0,17.0,5.0,19.0,2.0,230.0,9.0,4.0,24.0,65.0,26.0,2.0,23.0,37.0,1.0,,3.0,13.0,2.0,5.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,
27,284266,2010-02-20 17:30:00,"Fratton Park, Portsmouth",17208.0,Away,Stoke City,Portsmouth,2,1,W,0,1,1,0,,58.0,,2.0,1.0,1.0,15.0,35.0,6.0,1.0,,,2.0,4.0,3.0,2.0,,7.0,,4.0,189.0,63.0,,14.0,3.0,20.0,1.0,1.0,,1.0,1.0,11.0,,16.0,21.0,5.0,9.0,39.0,98.0,2.0,,0.0,114.0,10.0,1.0,,,2.0,36.0,45.0,4.0,,1.0,6.0,,,2.0,2.0,175.0,2.0,538.0,,4.0,17.0,,,,18.0,,21.0,6.0,18.0,2.0,1.0,0.0,10.0,3.0,30.0,,69.0,1.0,,6769,,70.0,3.0,3.0,96.0,11.0,55.0,1.0,1.0,4.0,2.0,14.0,3.0,2.0,45.0,164.0,11.0,7.0,1.0,27.0,,90.0,1.0,,0.0,7.0,,2.0,,6.0,1.0,1.0,2.0,,3.0,,42.8,11.0,,2.0,4.0,33.0,7.0,2.0,283.0,18.0,,11.0,17.0,6.0,24.0,4.0,198.0,10.0,8.0,31.0,49.0,27.0,3.0,10.0,18.0,1.0,,2.0,10.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,,3.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,
28,284277,2010-02-27 17:30:00,"bet365 Stadium, Stoke",27011.0,Home,Stoke City,Arsenal,1,3,L,1,1,1,0,1.0,39.0,1.0,3.0,,,9.0,42.0,4.0,1.0,,,,1.0,3.0,1.0,,6.0,,2.0,177.0,51.0,,8.0,1.0,18.0,1.0,,,,,7.0,,16.0,23.0,3.0,6.0,20.0,83.0,1.0,,0.0,97.0,14.0,4.0,,,1.0,28.0,51.0,4.0,4.0,,4.0,,,,3.0,158.0,7.0,506.0,,4.0,25.0,,,,15.0,,17.0,6.0,22.0,1.0,,0.0,6.0,2.0,23.0,,70.0,,,6769,,67.0,4.0,,96.0,15.0,64.0,1.0,,,,12.0,10.0,,36.0,149.0,8.0,15.0,1.0,24.0,,84.0,,,0.0,6.0,,1.0,,3.0,1.0,,1.0,2.0,1.0,1.0,35.4,13.0,,,3.0,37.0,3.0,1.0,267.0,15.0,,11.0,11.0,3.0,17.0,,178.0,5.0,6.0,14.0,40.0,17.0,6.0,12.0,26.0,1.0,,3.0,10.0,6.0,3.0,2.0,,1.0,,3.0,,,1.0,3.0,1.0,2.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
29,284284,2010-05-05 20:00:00,"Craven Cottage, London",20831.0,Away,Stoke City,Fulham,1,0,W,0,0,0,0,,55.0,,1.0,,,56.0,33.0,4.0,2.0,,,,,3.0,1.0,,5.0,,2.0,170.0,53.0,,7.0,2.0,24.0,1.0,,,,,14.0,,13.0,20.0,2.0,2.0,37.0,142.0,,1.0,0.0,145.0,6.0,1.0,,,3.0,61.0,49.0,3.0,3.0,2.0,12.0,,,1.0,2.0,157.0,6.0,586.0,,2.0,25.0,,1.0,,28.0,,19.0,21.0,16.0,1.0,,3.0,3.0,2.0,25.0,,89.0,,,76429,,95.0,11.0,,106.0,10.0,50.0,,,5.0,2.0,7.0,4.0,,92.0,237.0,7.0,3.0,2.0,45.0,,108.0,,,0.0,8.0,2.0,1.0,,6.0,0.0,,,1.0,2.0,,37.2,16.0,,2.0,2.0,59.0,3.0,3.0,343.0,28.0,,7.0,22.0,3.0,20.0,1.0,251.0,3.0,2.0,26.0,76.0,18.0,4.0,11.0,17.0,,,3.0,13.0,4.0,3.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
