gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,goalAssistSetplay,goalAssistDeadball,goals,attIboxTarget,attGoalHighRight,ptsGainedLosingPos,midfielderGoals,interceptionsInBox,totalFlickOn,attHdTarget,goalAssist,totalOffside,attMissHigh,punches,attIboxGoal,goalsConceded,accurateFlickOn,goalAssistIntentional,shieldBallOop,attBxLeft,attHdGoal,goalsConcededIbox,errorLeadToGoal,attLfGoal,attCmissRight,attFreekickTotal,goalAssistOpenplay,goodHighClaim,freekickTotal,accurateThroughBall,attRfGoal,goalsOpenplay,attGoalHighLeft,totalHighClaim,attFreekickMiss,forwardGoals,attGoalLowLeft,attObxLeft,shotFastbreak,attSvLowCentre,goalFastbreak,attMissHighRight,attOboxGoal,totalFastbreak,contentiousDecision,errorLeadToShot,attCmissHighLeft,attFastbreak,attLfTarget,accurateKeeperSweeper,totalKeeperSweeper,penaltyConceded,attCmissHighRight,attSvHighCentre,penaltyFaced,penGoalsConceded,attGoalLowCentre,attSvLowLeft,sixYardBlock,defenderGoals,handBall,expectedGoalsOnTarget,attOneOnOne,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,accuratePullBack,attCmissHigh,attGoalLowRight,penaltyWon,attGoalHighCentre,attPenGoal,attFreekickGoal,postScoringAtt,attIboxPost,hitWoodwork,attPostRight,attPostHigh,attSvHighLeft,attHdPost,attSvHighRight,attPostLeft,attObxdLeft,attOboxPost,goalsConcededObox,ptsDroppedWinningPos,attPenTarget,attFreekickTarget,clearanceOffLine,secondYellow,penaltySave,attLgCentre,ownGoals,attIboxOwnGoal
11,1059806,2019-11-03 14:00:00,"Selhurst Park, London",25480.0,Away,Leicester City,Crystal Palace,2,0,W,0,0,0,0,57.0,2.0,1.0,27.0,24.0,3.0,2.0,11.0,3.0,2.0,158.0,7.0,6.0,4.0,12.0,5.0,104.0,125.0,58.0,14.0,1.0,19.0,,2.0,20.0,15.0,1.0,24.0,5.0,1.0,41.0,141.0,1.0,0.0,105.0,16.0,,3.0,59.0,51.0,5.0,65.0,1.0,15.0,16.0,3.0,6.0,1.0,125.0,1.0,3.0,104.0,634.0,3.0,24.0,8.0,336.0,24.0,1.0,3.0,11.0,2.0,4.0,7.0,20.0,409.0,48.0,2.0,95463,8.0,219.0,1.0,6.0,4.0,246.0,10.0,2.0,16.0,7.0,66.0,2.0,5.0,13.0,9.0,6.0,54.0,353.0,13.0,13.0,8.0,16.0,5.0,54.0,,2.0,0.0,1.0,5.0,1.0,0.0,4.0,6.0,55.8,20.0,4.0,3.0,5.0,2.0,27.0,6.0,431.0,8.0,10.0,23.0,7.0,25.0,3.0,5.0,205.0,5.0,,18.0,73.0,21.0,2.0,11.0,22.0,4.0,3.0,15.0,2.0,9.0,6.0,1.0,,,2.0,2.0,,,,,4.0,1.0,1.0,1.0,2.0,,2.0,,2.0,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,1.0,2.0,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12,1059814,2019-11-09 17:30:00,"King Power Stadium, Leicester",32209.0,Home,Leicester City,Arsenal,2,0,W,0,0,0,0,52.0,,2.0,10.0,19.0,10.0,7.0,9.0,1.0,2.0,147.0,7.0,9.0,3.0,15.0,7.0,142.0,113.0,46.0,19.0,1.0,4.0,2.0,3.0,16.0,9.0,1.0,19.0,5.0,9.0,29.0,263.0,1.0,0.0,163.0,10.0,1.0,1.0,44.0,92.0,10.0,64.0,1.0,12.0,17.0,10.0,4.0,7.0,113.0,2.0,5.0,133.0,690.0,12.0,39.0,11.0,411.0,13.0,,,5.0,1.0,3.0,5.0,27.0,468.0,63.0,,95463,4.0,170.0,1.0,7.0,,180.0,7.0,1.0,17.0,5.0,42.0,2.0,4.0,19.0,3.0,5.0,28.0,426.0,10.0,10.0,1.0,8.0,2.0,38.0,3.0,,0.0,4.0,4.0,1.0,0.0,6.0,1.0,50.2,26.0,1.0,8.0,5.0,3.0,26.0,5.0,486.0,11.0,10.0,12.0,9.0,27.0,2.0,1.0,322.0,11.0,9.0,9.0,128.0,25.0,1.0,5.0,19.0,16.0,2.0,17.0,1.0,8.0,5.0,1.0,,,2.0,4.0,,,1.0,,2.0,,2.0,1.0,2.0,,1.0,,1.0,2.0,,3.0,,,,,,1.0,2.0,,1.0,,2.0,2.0,,,1.0,1.0,2.0,,,2.0,,2.0,1.0,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
13,1059825,2019-11-23 15:00:00,"American Express Stadium, Falmer",30640.0,Away,Leicester City,Brighton and Hove Albion,2,0,W,0,0,0,0,58.0,,1.0,19.0,22.0,3.0,7.0,16.0,,1.0,138.0,4.0,9.0,4.0,12.0,9.0,108.0,117.0,45.0,19.0,1.0,9.0,4.0,3.0,20.0,9.0,2.0,22.0,6.0,8.0,34.0,137.0,1.0,0.0,98.0,1.0,,2.0,80.0,33.0,7.0,60.0,1.0,14.0,14.0,3.0,3.0,,117.0,6.0,5.0,112.0,594.0,9.0,39.0,12.0,333.0,33.0,,1.0,13.0,0.0,3.0,5.0,15.0,402.0,37.0,1.0,95463,8.0,212.0,5.0,9.0,1.0,237.0,1.0,2.0,14.0,7.0,28.0,2.0,2.0,14.0,2.0,4.0,53.0,345.0,8.0,7.0,2.0,17.0,2.0,50.0,,1.0,0.0,1.0,6.0,,0.0,2.0,3.0,47.4,14.0,1.0,5.0,2.0,2.0,28.0,7.0,418.0,12.0,7.0,11.0,8.0,25.0,2.0,7.0,201.0,9.0,8.0,11.0,69.0,17.0,6.0,13.0,17.0,14.0,3.0,13.0,6.0,5.0,7.0,2.0,,,2.0,5.0,,,1.0,,5.0,1.0,1.0,1.0,2.0,,2.0,,1.0,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,2.0,1.0,,,,1.0,2.0,,4.0,1.0,1.0,1.0,,5.0,2.0,1.0,,4.0,5.0,,,,,1.0,,,,4.0,,,,,2.0,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
14,1059834,2019-12-01 16:30:00,"King Power Stadium, Leicester",32144.0,Home,Leicester City,Everton,2,1,W,0,1,0,0,77.0,,2.0,34.0,9.0,3.0,5.0,13.0,2.0,3.0,186.0,5.0,13.0,3.0,12.0,6.0,181.0,162.0,64.0,16.0,1.0,19.0,3.0,3.0,25.0,10.0,,9.0,4.0,9.0,39.0,309.0,,0.0,183.0,7.0,,4.0,85.0,101.0,7.0,75.0,1.0,21.0,14.0,3.0,7.0,2.0,162.0,4.0,9.0,210.0,853.0,9.0,36.0,10.0,528.0,39.0,,5.0,4.0,0.0,3.0,5.0,23.0,635.0,71.0,1.0,95463,9.0,240.0,2.0,10.0,2.0,275.0,6.0,1.0,14.0,6.0,59.0,1.0,5.0,9.0,2.0,6.0,63.0,544.0,9.0,13.0,1.0,18.0,1.0,68.0,,2.0,0.0,3.0,4.0,2.0,0.0,4.0,1.0,69.3,22.0,1.0,3.0,5.0,3.0,48.0,4.0,652.0,10.0,10.0,15.0,7.0,41.0,1.0,5.0,402.0,9.0,9.0,23.0,131.0,29.0,2.0,4.0,19.0,13.0,2.0,23.0,2.0,6.0,4.0,2.0,,,2.0,4.0,,3.0,,,5.0,,2.0,1.0,1.0,,2.0,1.0,2.0,,1.0,,,1.0,,2.0,1.0,,2.0,,,1.0,,2.0,,,,1.0,2.0,,1.0,3.0,1.0,2.0,,2.0,2.0,,,1.0,1.0,2.0,2.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1059844,2019-12-04 19:30:00,"King Power Stadium, Leicester",31763.0,Home,Leicester City,Watford,2,0,W,0,0,0,0,54.0,1.0,2.0,20.0,27.0,,4.0,12.0,1.0,1.0,195.0,2.0,13.0,3.0,8.0,6.0,134.0,153.0,62.0,12.0,,23.0,,2.0,21.0,5.0,,27.0,7.0,13.0,30.0,231.0,1.0,0.0,144.0,13.0,,1.0,58.0,84.0,6.0,86.0,,14.0,18.0,,5.0,,153.0,2.0,2.0,154.0,762.0,6.0,25.0,14.0,449.0,27.0,,3.0,13.0,3.0,1.0,2.0,18.0,544.0,54.0,,95463,7.0,238.0,1.0,8.0,1.0,284.0,8.0,1.0,18.0,8.0,57.0,1.0,3.0,9.0,2.0,6.0,49.0,467.0,16.0,7.0,1.0,18.0,1.0,75.0,,1.0,0.0,3.0,2.0,,0.0,1.0,2.0,63.0,18.0,1.0,3.0,3.0,2.0,47.0,7.0,569.0,14.0,10.0,15.0,4.0,37.0,1.0,4.0,306.0,6.0,12.0,23.0,108.0,20.0,2.0,13.0,11.0,9.0,3.0,20.0,2.0,10.0,7.0,2.0,,,2.0,4.0,,,1.0,1.0,3.0,1.0,1.0,3.0,1.0,,2.0,,,,1.0,2.0,,,,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,1.0,3.0,,1.0,,1.0,2.0,,,1.0,2.0,,,,,,,,1.0,,,,2.0,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
16,1059853,2019-12-08 14:00:00,"Villa Park, Birmingham",41908.0,Away,Leicester City,Aston Villa,4,1,W,2,1,0,0,60.0,,7.0,34.0,30.0,2.0,6.0,21.0,1.0,2.0,168.0,7.0,9.0,4.0,20.0,8.0,122.0,117.0,70.0,23.0,,15.0,3.0,,24.0,8.0,,30.0,4.0,4.0,44.0,249.0,,0.0,144.0,15.0,1.0,4.0,59.0,82.0,13.0,69.0,3.0,20.0,11.0,2.0,4.0,2.0,117.0,6.0,11.0,119.0,693.0,14.0,49.0,12.0,385.0,24.0,,3.0,8.0,2.0,4.0,7.0,14.0,448.0,61.0,3.0,95463,10.0,169.0,4.0,12.0,6.0,194.0,12.0,3.0,11.0,8.0,54.0,4.0,2.0,11.0,4.0,7.0,53.0,411.0,21.0,11.0,3.0,10.0,2.0,64.0,,,0.0,3.0,8.0,1.0,0.0,6.0,4.0,59.6,10.0,2.0,4.0,2.0,7.0,45.0,5.0,478.0,12.0,6.0,31.0,8.0,36.0,1.0,5.0,308.0,12.0,4.0,25.0,119.0,28.0,4.0,8.0,17.0,15.0,3.0,17.0,4.0,5.0,6.0,2.0,1.0,1.0,4.0,4.0,,,,2.0,3.0,1.0,3.0,1.0,3.0,2.0,4.0,1.0,,3.0,,,1.0,1.0,,1.0,,,2.0,,,2.0,2.0,3.0,1.0,,,3.0,2.0,,3.0,1.0,2.0,1.0,,5.0,,,,3.0,1.0,,,,1.0,2.0,,,1.0,1.0,2.0,1.0,1.0,,1.0,,,,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
17,1059866,2019-12-14 15:00:00,"King Power Stadium, Leicester",32101.0,Home,Leicester City,Norwich City,1,1,D,1,1,0,0,59.0,1.0,3.0,27.0,15.0,7.0,4.0,10.0,2.0,3.0,150.0,9.0,13.0,5.0,12.0,5.0,147.0,146.0,59.0,18.0,2.0,16.0,,4.0,33.0,16.0,2.0,15.0,11.0,11.0,40.0,246.0,,0.0,179.0,11.0,1.0,4.0,80.0,101.0,7.0,80.0,1.0,22.0,20.0,8.0,4.0,3.0,146.0,,6.0,136.0,746.0,9.0,31.0,13.0,414.0,21.0,,6.0,9.0,0.0,4.0,5.0,32.0,493.0,57.0,1.0,95463,7.0,194.0,,14.0,4.0,221.0,9.0,1.0,20.0,4.0,53.0,1.0,2.0,17.0,4.0,3.0,43.0,431.0,12.0,10.0,3.0,12.0,6.0,60.0,3.0,1.0,0.0,1.0,4.0,1.0,0.0,6.0,3.0,56.8,28.0,3.0,4.0,3.0,5.0,42.0,12.0,513.0,13.0,6.0,17.0,8.0,44.0,3.0,4.0,325.0,10.0,9.0,13.0,141.0,30.0,1.0,9.0,21.0,8.0,2.0,24.0,1.0,8.0,12.0,,,,1.0,3.0,,1.0,,,2.0,,,,2.0,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,
18,1059876,2019-12-21 17:30:00,"Etihad Stadium, Manchester",54415.0,Away,Leicester City,Manchester City,1,3,L,1,2,0,0,55.0,1.0,,24.0,16.0,2.0,3.0,3.0,9.0,1.0,134.0,1.0,8.0,,5.0,2.0,102.0,123.0,46.0,5.0,,8.0,,1.0,9.0,6.0,1.0,16.0,,6.0,45.0,68.0,,0.0,57.0,9.0,3.0,2.0,29.0,33.0,2.0,69.0,,9.0,14.0,2.0,1.0,1.0,123.0,2.0,17.0,104.0,585.0,4.0,11.0,11.0,312.0,31.0,,1.0,7.0,2.0,4.0,3.0,17.0,383.0,33.0,,95463,1.0,265.0,1.0,6.0,,304.0,6.0,1.0,14.0,8.0,45.0,3.0,4.0,13.0,6.0,7.0,47.0,332.0,13.0,10.0,,7.0,,46.0,,,0.0,1.0,6.0,8.0,0.0,1.0,,37.3,16.0,,1.0,5.0,,24.0,,409.0,11.0,9.0,20.0,3.0,14.0,,2.0,114.0,2.0,5.0,11.0,31.0,17.0,1.0,7.0,14.0,5.0,3.0,18.0,1.0,8.0,1.0,1.0,,,1.0,,,,,3.0,3.0,,1.0,3.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,,2.0,,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,3.0,,,,,,,,
19,1059887,2019-12-26 20:00:00,"King Power Stadium, Leicester",32211.0,Home,Leicester City,Liverpool,0,4,L,0,1,0,0,60.0,1.0,,25.0,36.0,2.0,2.0,1.0,2.0,,152.0,,11.0,1.0,2.0,,116.0,133.0,45.0,3.0,1.0,13.0,,1.0,13.0,11.0,,36.0,2.0,5.0,44.0,126.0,,0.0,88.0,5.0,2.0,1.0,36.0,65.0,1.0,65.0,1.0,11.0,14.0,2.0,3.0,1.0,133.0,,12.0,88.0,618.0,2.0,9.0,11.0,325.0,39.0,,2.0,15.0,1.0,2.0,1.0,18.0,397.0,41.0,,95463,,219.0,,7.0,,254.0,3.0,,14.0,9.0,45.0,1.0,5.0,26.0,3.0,6.0,48.0,345.0,7.0,18.0,,9.0,,47.0,,1.0,0.0,1.0,8.0,1.0,0.0,,,41.2,17.0,,3.0,5.0,1.0,30.0,2.0,421.0,11.0,2.0,23.0,2.0,15.0,,1.0,180.0,1.0,4.0,12.0,60.0,11.0,2.0,15.0,16.0,3.0,3.0,19.0,2.0,9.0,2.0,,,,,,,,,,3.0,,,6.0,,,,4.0,1.0,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1059901,2019-12-28 17:30:00,"London Stadium, London",59519.0,Away,Leicester City,West Ham United,2,1,W,1,1,0,0,61.0,1.0,3.0,21.0,10.0,3.0,2.0,10.0,3.0,5.0,181.0,3.0,11.0,3.0,9.0,8.0,122.0,167.0,52.0,13.0,,25.0,3.0,1.0,17.0,6.0,2.0,10.0,4.0,6.0,41.0,165.0,,0.0,111.0,4.0,1.0,1.0,66.0,75.0,7.0,92.0,1.0,14.0,25.0,3.0,7.0,1.0,167.0,3.0,11.0,128.0,751.0,6.0,24.0,16.0,404.0,22.0,,1.0,6.0,1.0,5.0,2.0,31.0,496.0,51.0,,95463,6.0,262.0,2.0,6.0,,293.0,3.0,1.0,12.0,7.0,73.0,3.0,5.0,24.0,3.0,5.0,59.0,424.0,16.0,20.0,1.0,24.0,2.0,77.0,2.0,,0.0,,5.0,2.0,0.0,3.0,2.0,57.3,28.0,,5.0,5.0,3.0,44.0,5.0,523.0,16.0,15.0,21.0,2.0,23.0,1.0,1.0,247.0,9.0,6.0,14.0,79.0,28.0,3.0,6.0,11.0,9.0,3.0,20.0,3.0,12.0,6.0,2.0,,,2.0,4.0,,,1.0,,3.0,,2.0,3.0,,,2.0,1.0,1.0,2.0,,,1.0,1.0,,,1.0,1.0,2.0,,1.0,2.0,1.0,2.0,,,,1.0,1.0,,,2.0,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
21,1059907,2020-01-01 15:00:00,"St. James' Park, Newcastle",52178.0,Away,Leicester City,Newcastle United,3,0,W,2,0,0,0,58.0,1.0,1.0,31.0,14.0,7.0,6.0,10.0,2.0,2.0,201.0,2.0,5.0,3.0,12.0,10.0,241.0,126.0,52.0,17.0,1.0,11.0,,2.0,11.0,9.0,2.0,14.0,4.0,6.0,29.0,466.0,1.0,0.0,212.0,12.0,2.0,,148.0,123.0,9.0,131.0,2.0,8.0,18.0,7.0,2.0,2.0,126.0,2.0,3.0,260.0,1022.0,7.0,31.0,11.0,744.0,23.0,,1.0,7.0,1.0,1.0,3.0,20.0,822.0,87.0,,95463,7.0,291.0,3.0,6.0,1.0,309.0,7.0,2.0,18.0,1.0,45.0,,5.0,21.0,2.0,1.0,47.0,755.0,8.0,8.0,3.0,8.0,3.0,91.0,,1.0,0.0,,4.0,1.0,0.0,,3.0,76.6,20.0,2.0,4.0,5.0,2.0,72.0,5.0,833.0,11.0,9.0,17.0,5.0,26.0,3.0,3.0,535.0,8.0,6.0,22.0,174.0,26.0,2.0,7.0,17.0,12.0,3.0,11.0,2.0,7.0,5.0,1.0,,,3.0,5.0,2.0,,1.0,1.0,4.0,1.0,2.0,3.0,1.0,,1.0,,4.0,1.0,,,,,,1.0,1.0,1.0,2.0,,1.0,,2.0,3.0,,,1.0,1.0,,,4.0,2.0,,,2.0,4.0,1.0,,,4.0,4.0,,,,,1.0,,,,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,
22,1059917,2020-01-11 15:00:00,"King Power Stadium, Leicester",32115.0,Home,Leicester City,Southampton,1,2,L,1,1,0,0,70.0,3.0,,17.0,21.0,1.0,1.0,4.0,7.0,2.0,180.0,3.0,9.0,3.0,5.0,5.0,97.0,192.0,66.0,5.0,,28.0,,,11.0,13.0,1.0,21.0,2.0,6.0,37.0,130.0,,0.0,102.0,9.0,4.0,3.0,61.0,57.0,5.0,56.0,,9.0,15.0,1.0,3.0,,192.0,1.0,10.0,122.0,686.0,3.0,12.0,10.0,310.0,40.0,,5.0,8.0,0.0,2.0,,33.0,430.0,58.0,1.0,95463,1.0,204.0,,3.0,1.0,244.0,5.0,1.0,15.0,6.0,67.0,2.0,4.0,22.0,6.0,5.0,59.0,331.0,17.0,9.0,1.0,29.0,1.0,74.0,,,0.0,2.0,4.0,5.0,0.0,2.0,1.0,58.2,23.0,,2.0,4.0,,32.0,2.0,455.0,10.0,14.0,11.0,,23.0,1.0,,222.0,3.0,4.0,21.0,58.0,22.0,2.0,8.0,20.0,3.0,3.0,18.0,2.0,9.0,2.0,1.0,1.0,,1.0,3.0,,,1.0,,4.0,1.0,1.0,3.0,,,1.0,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,2.0,,,,1.0,4.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,,,
23,1059924,2020-01-19 14:00:00,"Turf Moor, Burnley",19788.0,Away,Leicester City,Burnley,1,2,L,1,0,0,0,61.0,1.0,1.0,26.0,26.0,6.0,4.0,12.0,3.0,5.0,184.0,5.0,10.0,5.0,15.0,8.0,117.0,153.0,74.0,18.0,3.0,33.0,2.0,2.0,23.0,18.0,1.0,26.0,5.0,10.0,40.0,209.0,,0.0,169.0,8.0,2.0,4.0,57.0,91.0,10.0,82.0,1.0,18.0,20.0,6.0,6.0,2.0,153.0,4.0,5.0,109.0,702.0,10.0,37.0,11.0,371.0,26.0,,3.0,13.0,0.0,1.0,3.0,22.0,470.0,60.0,2.0,95463,8.0,184.0,4.0,8.0,3.0,210.0,3.0,3.0,20.0,7.0,68.0,5.0,3.0,12.0,3.0,6.0,66.0,388.0,14.0,13.0,2.0,21.0,1.0,74.0,1.0,,0.0,2.0,4.0,2.0,0.0,3.0,2.0,55.5,21.0,2.0,1.0,3.0,4.0,37.0,5.0,492.0,11.0,6.0,19.0,6.0,38.0,2.0,4.0,305.0,12.0,10.0,27.0,123.0,27.0,4.0,13.0,23.0,13.0,2.0,20.0,4.0,8.0,5.0,1.0,,,1.0,6.0,,,1.0,2.0,4.0,,1.0,,3.0,1.0,1.0,2.0,1.0,,,1.0,,2.0,,,,,1.0,,,2.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,2.0,,,,,,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,,,2.0,,1.0,,,,,3.0,1.0,,,,,,,
24,1059935,2020-01-22 19:30:00,"King Power Stadium, Leicester",31968.0,Home,Leicester City,West Ham United,4,1,W,2,0,0,0,49.0,,3.0,34.0,10.0,6.0,5.0,13.0,1.0,2.0,165.0,4.0,10.0,5.0,15.0,8.0,146.0,133.0,69.0,19.0,4.0,21.0,2.0,1.0,21.0,9.0,1.0,10.0,7.0,1.0,28.0,262.0,,0.0,187.0,10.0,,1.0,93.0,68.0,13.0,81.0,2.0,14.0,13.0,6.0,4.0,1.0,133.0,1.0,6.0,177.0,771.0,10.0,42.0,9.0,470.0,19.0,,4.0,4.0,1.0,1.0,2.0,23.0,546.0,63.0,,95463,9.0,233.0,,9.0,1.0,247.0,4.0,4.0,13.0,3.0,46.0,1.0,4.0,19.0,,3.0,54.0,491.0,18.0,7.0,2.0,12.0,1.0,65.0,1.0,1.0,0.0,4.0,8.0,1.0,0.0,3.0,1.0,67.3,19.0,1.0,7.0,4.0,7.0,41.0,7.0,569.0,9.0,4.0,13.0,4.0,40.0,1.0,3.0,343.0,13.0,1.0,25.0,142.0,19.0,3.0,4.0,17.0,16.0,3.0,15.0,3.0,6.0,7.0,2.0,,,4.0,3.0,,,3.0,,2.0,,3.0,2.0,,1.0,4.0,1.0,1.0,2.0,2.0,1.0,,1.0,,1.0,2.0,,3.0,1.0,,,3.0,3.0,1.0,1.0,,,2.0,,,1.0,,1.0,,,,,,,2.0,,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,,,3.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
25,1059945,2020-02-01 12:30:00,"King Power Stadium, Leicester",32186.0,Home,Leicester City,Chelsea,2,2,D,0,0,0,0,71.0,,,26.0,18.0,6.0,4.0,8.0,1.0,1.0,165.0,5.0,7.0,5.0,12.0,4.0,124.0,161.0,63.0,14.0,5.0,17.0,,1.0,16.0,17.0,1.0,18.0,4.0,8.0,44.0,146.0,,0.0,107.0,16.0,,3.0,55.0,56.0,7.0,66.0,2.0,12.0,16.0,6.0,1.0,,161.0,3.0,6.0,123.0,671.0,7.0,19.0,9.0,353.0,37.0,,7.0,6.0,2.0,3.0,5.0,24.0,459.0,50.0,,95463,5.0,228.0,3.0,8.0,,263.0,10.0,1.0,16.0,6.0,62.0,5.0,2.0,19.0,1.0,5.0,66.0,369.0,14.0,16.0,3.0,30.0,3.0,67.0,,1.0,0.0,1.0,6.0,1.0,0.0,2.0,2.0,49.7,19.0,2.0,9.0,2.0,5.0,35.0,4.0,478.0,9.0,8.0,24.0,5.0,22.0,3.0,5.0,231.0,8.0,7.0,17.0,71.0,23.0,,6.0,25.0,9.0,2.0,14.0,,7.0,4.0,,,,2.0,1.0,,1.0,1.0,,8.0,,2.0,1.0,2.0,,2.0,2.0,4.0,1.0,1.0,2.0,,2.0,,,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,1.0,,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,2.0,,1.0,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,
