gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,fiftyFifty,ballRecovery,attGoalLowRight,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attGoalLowLeft,accuratePullBack,shotFastbreak,accurateKeeperSweeper,divingSave,totalFastbreak,freekickCross,interceptionsInBox,bigChanceCreated,contentiousDecision,totalKeeperSweeper,accurateThroughBall,bigChanceMissed,attRfGoal,totalPullBack,attFastbreak,overrun,forwardGoals,errorLeadToGoal,savedObox,attFreekickTotal,freekickTotal,attFreekickGoal,shieldBallOop,attBxLeft,attCmissRight,attOneOnOne,attHdTarget,attMissHigh,attPostHigh,attSvHighRight,attMissHighLeft,attObxdLeft,attFreekickTarget,attCmissHighRight,bigChanceScored,attGoalLowCentre,errorLeadToShot,penaltyConceded,ownGoals,punches,penaltyFaced,penGoalsConceded,attIboxOwnGoal,secondYellow,accurateFreekickCross,handBall,penaltyWon,attPenGoal,attGoalHighLeft,cleanSheet,attCmissHighLeft,subsGoals,clearanceOffLine,attSvHighCentre,goalFastbreak,sixYardBlock,attPenTarget,foulThrowIn,attSvHighLeft,ptsGainedLosingPos,attCmissHigh,attGoalHighRight,penaltySave,defenderGoals,attFreekickMiss
11,2292914,2022-10-15 12:30:00,"King Power Stadium, Leicester",31298,Home,Leicester City,Crystal Palace,0,0,D,0,0,0,0,,26.0,57.0,,1.0,,,13.0,12.0,6.0,4.0,8.0,1.0,,4.0,190.0,17.0,1.0,5.0,,5.0,10.0,5.0,136.0,137.0,51.0,14.0,3.0,13.0,5.0,3.0,,,4.0,2.0,17.0,,12.0,,12.0,7.0,5.0,31.0,236.0,,,0.0,154.0,18.0,,,,70.0,62.0,7.0,93.0,1.0,10.0,19.0,6.0,,1.0,3.0,137.0,2.0,,160.0,,759.0,9.0,3.0,33.0,,11.0,476.0,18.0,1.0,9.0,,2.0,2.0,3.0,25.0,559.0,64.0,95463,2.0,258.0,7.0,1.0,283.0,12.0,8.0,6.0,53.0,4.0,2.0,4.0,,17.0,6.0,5.0,39.0,493.0,12.0,11.0,1.0,12.0,3.0,59.0,,1.0,0.0,2.0,,,,,2.0,0.0,,,1.0,53.1,22.0,1.0,5.0,4.0,4.0,41.0,9.0,,579.0,11.0,5.0,12.0,5.0,,36.0,1.0,2.0,313.0,9.0,5.0,9.0,114.0,30.0,,9.0,25.0,,,9.0,4.0,13.0,,,8.0,9.0,1.0,,1.0,,,1.0,,2.0,,1.0,,,2.0,1.0,,3.0,,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
12,2292926,2022-10-20 20:15:00,"King Power Stadium, Leicester",30814,Home,Leicester City,Leeds United,2,0,W,2,0,0,0,,32.0,74.0,,2.0,,,21.0,19.0,1.0,2.0,4.0,2.0,,,168.0,18.0,1.0,5.0,2.0,3.0,4.0,1.0,117.0,160.0,48.0,5.0,1.0,12.0,,1.0,,1.0,,,8.0,,14.0,,19.0,1.0,,30.0,139.0,,,0.0,118.0,15.0,1.0,,2.0,55.0,62.0,3.0,73.0,,7.0,22.0,1.0,,3.0,,160.0,7.0,,103.0,,663.0,3.0,4.0,13.0,,5.0,341.0,16.0,4.0,10.0,1.0,2.0,3.0,1.0,17.0,435.0,56.0,95463,3.0,223.0,3.0,,257.0,12.0,22.0,8.0,60.0,,4.0,5.0,1.0,19.0,7.0,7.0,57.0,361.0,11.0,4.0,,21.0,1.0,67.0,,,0.0,9.0,1.0,2.0,,,1.0,0.0,1.0,1.0,,46.8,17.0,,12.0,5.0,3.0,37.0,2.0,2.0,461.0,5.0,17.0,11.0,1.0,,11.0,,1.0,212.0,3.0,,6.0,72.0,36.0,1.0,10.0,26.0,,,4.0,4.0,18.0,,1.0,16.0,2.0,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
13,2292939,2022-10-23 14:00:00,"Molineux Stadium, Wolverhampton",31425,Away,Leicester City,Wolverhampton Wanderers,4,0,W,2,0,0,0,,22.0,57.0,1.0,,,,19.0,22.0,1.0,,4.0,5.0,,,135.0,8.0,4.0,4.0,4.0,3.0,4.0,4.0,76.0,124.0,45.0,5.0,,17.0,,,,3.0,,,10.0,,8.0,,22.0,2.0,3.0,41.0,106.0,,1.0,0.0,103.0,12.0,3.0,,1.0,77.0,17.0,3.0,52.0,,8.0,22.0,1.0,,2.0,,124.0,15.0,,84.0,,519.0,,6.0,21.0,,8.0,234.0,19.0,,10.0,3.0,1.0,9.0,1.0,20.0,318.0,43.0,95463,3.0,150.0,4.0,2.0,177.0,7.0,11.0,12.0,52.0,1.0,3.0,8.0,3.0,7.0,6.0,7.0,53.0,252.0,10.0,14.0,1.0,11.0,,57.0,,,0.0,9.0,6.0,3.0,,,1.0,0.0,3.0,2.0,1.0,39.1,18.0,1.0,5.0,8.0,,24.0,2.0,1.0,347.0,8.0,8.0,21.0,1.0,,18.0,1.0,1.0,180.0,4.0,3.0,9.0,62.0,20.0,,10.0,22.0,,,3.0,5.0,7.0,,,11.0,2.0,,,,,1.0,2.0,,2.0,,2.0,,1.0,1.0,,4.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,2.0,2.0,,,,,,,,,1.0,2.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,
14,2292946,2022-10-29 12:30:00,"King Power Stadium, Leicester",32223,Home,Leicester City,Manchester City,0,1,L,0,0,0,0,1.0,14.0,43.0,,1.0,,,22.0,14.0,2.0,4.0,8.0,4.0,,1.0,133.0,6.0,4.0,3.0,,2.0,8.0,5.0,94.0,101.0,36.0,10.0,,13.0,4.0,1.0,,,3.0,1.0,9.0,,9.0,1.0,14.0,3.0,1.0,35.0,75.0,2.0,,0.0,65.0,5.0,,,1.0,29.0,30.0,4.0,63.0,,7.0,18.0,2.0,,3.0,1.0,101.0,7.0,,95.0,,532.0,6.0,3.0,15.0,1.0,3.0,289.0,22.0,1.0,12.0,,0.0,4.0,4.0,11.0,357.0,39.0,95463,4.0,238.0,2.0,2.0,273.0,3.0,18.0,14.0,28.0,,,10.0,,13.0,8.0,10.0,54.0,309.0,10.0,3.0,2.0,16.0,2.0,44.0,1.0,,0.0,10.0,3.0,,,1.0,2.0,0.0,4.0,,2.0,35.7,11.0,,2.0,10.0,1.0,21.0,3.0,1.0,385.0,3.0,4.0,17.0,4.0,,12.0,1.0,3.0,121.0,3.0,1.0,11.0,40.0,7.0,6.0,12.0,12.0,,,6.0,3.0,6.0,,6.0,13.0,3.0,2.0,,,,1.0,,,2.0,2.0,1.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
15,2292952,2022-11-05 17:30:00,"Goodison Park, Liverpool",39206,Away,Leicester City,Everton,2,0,W,1,0,0,0,,26.0,63.0,,4.0,,,23.0,25.0,7.0,7.0,15.0,2.0,1.0,3.0,159.0,16.0,4.0,6.0,2.0,2.0,18.0,8.0,145.0,120.0,33.0,22.0,3.0,19.0,3.0,3.0,1.0,2.0,4.0,1.0,14.0,1.0,8.0,3.0,25.0,2.0,7.0,39.0,183.0,1.0,1.0,0.0,116.0,5.0,2.0,1.0,1.0,83.0,48.0,11.0,85.0,2.0,12.0,10.0,7.0,,5.0,,120.0,11.0,,138.0,,710.0,15.0,4.0,32.0,1.0,11.0,441.0,24.0,,10.0,2.0,0.0,4.0,7.0,18.0,509.0,50.0,95463,9.0,271.0,7.0,,298.0,3.0,8.0,6.0,41.0,3.0,1.0,6.0,2.0,12.0,1.0,3.0,51.0,450.0,8.0,3.0,1.0,7.0,3.0,66.0,1.0,1.0,0.0,8.0,2.0,1.0,,,2.0,0.0,3.0,1.0,2.0,51.6,12.0,1.0,3.0,6.0,7.0,44.0,3.0,1.0,527.0,11.0,9.0,18.0,7.0,1.0,26.0,1.0,6.0,243.0,13.0,7.0,6.0,84.0,29.0,2.0,10.0,13.0,,,19.0,4.0,11.0,,2.0,8.0,3.0,2.0,,,4.0,,1.0,5.0,,,3.0,,,3.0,3.0,1.0,,4.0,,,,,,,,,2.0,,1.0,1.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,
16,2292968,2022-11-12 15:00:00,"London Stadium, London",62459,Away,Leicester City,West Ham United,2,0,W,1,0,0,0,,24.0,70.0,,,,,22.0,26.0,5.0,4.0,4.0,6.0,2.0,3.0,160.0,13.0,,4.0,2.0,1.0,8.0,6.0,106.0,139.0,44.0,9.0,1.0,21.0,2.0,,,2.0,,,8.0,,9.0,2.0,26.0,2.0,4.0,43.0,98.0,,1.0,0.0,68.0,8.0,2.0,3.0,,75.0,25.0,6.0,59.0,2.0,6.0,23.0,5.0,1.0,1.0,1.0,139.0,12.0,,97.0,,623.0,6.0,9.0,11.0,,20.0,317.0,26.0,1.0,12.0,2.0,1.0,3.0,2.0,25.0,397.0,35.0,95463,2.0,232.0,5.0,,264.0,6.0,8.0,12.0,56.0,4.0,,8.0,2.0,13.0,6.0,6.0,50.0,330.0,9.0,9.0,,7.0,,54.0,,,0.0,7.0,4.0,1.0,,,4.0,0.0,,1.0,,46.4,20.0,,3.0,8.0,1.0,24.0,2.0,,422.0,20.0,9.0,15.0,2.0,,15.0,,1.0,166.0,5.0,3.0,12.0,43.0,29.0,,12.0,19.0,,,8.0,5.0,13.0,,,8.0,2.0,1.0,,1.0,2.0,1.0,2.0,3.0,,4.0,1.0,1.0,1.0,3.0,1.0,,1.0,2.0,2.0,,,2.0,,,,1.0,2.0,,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,
17,2292977,2022-12-26 15:00:00,"King Power Stadium, Leicester",32185,Home,Leicester City,Newcastle United,0,3,L,0,3,0,0,,23.0,69.0,,2.0,,,21.0,13.0,4.0,3.0,4.0,2.0,,2.0,187.0,12.0,4.0,6.0,,1.0,6.0,2.0,153.0,158.0,47.0,8.0,2.0,19.0,1.0,1.0,,,2.0,,16.0,,16.0,1.0,13.0,5.0,7.0,44.0,222.0,,,0.0,131.0,9.0,,,,51.0,86.0,4.0,88.0,,11.0,24.0,4.0,,4.0,1.0,158.0,10.0,,147.0,,775.0,5.0,6.0,25.0,,11.0,458.0,21.0,2.0,7.0,,0.0,3.0,2.0,23.0,556.0,64.0,95463,1.0,254.0,7.0,,287.0,4.0,9.0,7.0,51.0,3.0,3.0,10.0,,26.0,2.0,5.0,49.0,472.0,6.0,11.0,1.0,8.0,1.0,68.0,,,0.0,5.0,1.0,,,3.0,1.0,0.0,3.0,,1.0,60.1,22.0,,5.0,10.0,4.0,40.0,5.0,,575.0,11.0,2.0,15.0,2.0,,27.0,1.0,1.0,304.0,4.0,6.0,11.0,83.0,32.0,,7.0,24.0,,3.0,7.0,4.0,16.0,,,9.0,5.0,,,,,,1.0,,,1.0,,,1.0,1.0,,,2.0,,1.0,,,1.0,,,,,1.0,,,,,,,2.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
18,2292983,2022-12-30 20:00:00,"Anfield, Liverpool",53343,Away,Leicester City,Liverpool,1,2,L,1,2,0,0,,16.0,65.0,,2.0,,,20.0,20.0,1.0,3.0,6.0,5.0,1.0,1.0,163.0,8.0,5.0,7.0,1.0,,6.0,2.0,99.0,145.0,37.0,7.0,,7.0,1.0,,,1.0,,,10.0,,5.0,,20.0,5.0,3.0,48.0,97.0,1.0,,0.0,71.0,15.0,1.0,1.0,2.0,48.0,24.0,4.0,69.0,1.0,5.0,20.0,1.0,,1.0,1.0,145.0,14.0,,117.0,,640.0,3.0,3.0,15.0,,10.0,331.0,25.0,1.0,15.0,1.0,1.0,6.0,2.0,14.0,421.0,41.0,95463,4.0,260.0,4.0,,298.0,9.0,8.0,12.0,47.0,7.0,5.0,10.0,1.0,18.0,9.0,8.0,55.0,352.0,8.0,7.0,2.0,15.0,3.0,62.0,,,0.0,4.0,4.0,1.0,,2.0,1.0,0.0,3.0,1.0,3.0,43.0,12.0,1.0,3.0,10.0,2.0,26.0,5.0,2.0,448.0,10.0,6.0,19.0,3.0,,23.0,2.0,2.0,160.0,1.0,3.0,8.0,40.0,25.0,2.0,15.0,14.0,,2.0,4.0,3.0,19.0,3.0,2.0,8.0,5.0,,1.0,,,1.0,2.0,,,,3.0,,1.0,2.0,2.0,,,,1.0,,,1.0,,,,,1.0,,2.0,,1.0,,,,,,,1.0,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,
19,2292997,2023-01-03 19:45:00,"King Power Stadium, Leicester",30813,Home,Leicester City,Fulham,0,1,L,0,1,0,0,,25.0,72.0,,1.0,,,19.0,15.0,7.0,3.0,8.0,1.0,,5.0,173.0,9.0,4.0,7.0,,2.0,10.0,6.0,169.0,149.0,48.0,15.0,2.0,10.0,4.0,,1.0,,,2.0,24.0,,14.0,2.0,15.0,6.0,6.0,29.0,199.0,,,0.0,148.0,12.0,,2.0,,60.0,96.0,6.0,65.0,1.0,18.0,28.0,7.0,,10.0,2.0,149.0,7.0,,153.0,,746.0,10.0,6.0,26.0,1.0,13.0,437.0,33.0,1.0,10.0,,2.0,2.0,4.0,25.0,539.0,66.0,95463,5.0,263.0,7.0,,289.0,9.0,10.0,9.0,46.0,5.0,,4.0,,13.0,4.0,9.0,35.0,458.0,11.0,11.0,,4.0,3.0,60.0,2.0,2.0,0.0,3.0,,,1.0,1.0,2.0,0.0,4.0,,2.0,61.4,24.0,1.0,8.0,4.0,3.0,44.0,6.0,,560.0,13.0,9.0,11.0,6.0,,43.0,,3.0,295.0,10.0,5.0,13.0,90.0,27.0,,10.0,17.0,,1.0,11.0,3.0,11.0,,,10.0,6.0,,,,,1.0,,,1.0,,3.0,,1.0,2.0,3.0,,3.0,,,,,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,
20,2293007,2023-01-14 15:00:00,"The City Ground, Nottingham",29301,Away,Leicester City,Nottingham Forest,0,2,L,0,0,0,0,,21.0,60.0,,1.0,,,31.0,15.0,2.0,1.0,4.0,3.0,,1.0,180.0,16.0,5.0,4.0,,1.0,6.0,1.0,155.0,153.0,38.0,6.0,1.0,13.0,,,,,1.0,1.0,26.0,,7.0,1.0,15.0,4.0,6.0,53.0,181.0,,,0.0,140.0,12.0,,,1.0,57.0,92.0,3.0,83.0,1.0,22.0,30.0,2.0,,7.0,,153.0,8.0,,129.0,,738.0,5.0,6.0,10.0,,5.0,428.0,29.0,2.0,5.0,,2.0,6.0,3.0,26.0,521.0,66.0,95463,4.0,276.0,14.0,,308.0,8.0,10.0,9.0,51.0,2.0,1.0,10.0,,16.0,7.0,9.0,50.0,452.0,11.0,13.0,1.0,8.0,1.0,59.0,,1.0,0.0,3.0,2.0,,,2.0,,0.0,2.0,,,61.2,21.0,,4.0,10.0,2.0,39.0,5.0,1.0,547.0,5.0,10.0,27.0,3.0,,34.0,3.0,3.0,265.0,5.0,6.0,11.0,97.0,16.0,1.0,5.0,12.0,,2.0,5.0,3.0,8.0,,1.0,10.0,5.0,,,,,1.0,1.0,,1.0,1.0,2.0,,2.0,,2.0,,,,1.0,,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,2293015,2023-01-21 15:00:00,"King Power Stadium, Leicester",32056,Home,Leicester City,Brighton and Hove Albion,2,2,D,1,1,0,0,1.0,22.0,41.0,1.0,4.0,,,19.0,18.0,1.0,,8.0,2.0,,,140.0,7.0,3.0,3.0,2.0,3.0,5.0,2.0,83.0,109.0,40.0,9.0,1.0,8.0,,,,,,2.0,10.0,,11.0,,18.0,5.0,3.0,34.0,115.0,,,0.0,68.0,9.0,1.0,,1.0,55.0,41.0,3.0,56.0,,5.0,25.0,1.0,,3.0,,109.0,7.0,,90.0,,522.0,2.0,2.0,12.0,,9.0,271.0,18.0,2.0,11.0,,0.0,2.0,2.0,20.0,343.0,34.0,95463,4.0,181.0,2.0,,212.0,6.0,14.0,10.0,36.0,,,2.0,1.0,13.0,6.0,7.0,35.0,293.0,9.0,8.0,3.0,6.0,4.0,48.0,,1.0,0.0,6.0,1.0,2.0,,2.0,,0.0,,,3.0,36.6,18.0,2.0,2.0,2.0,5.0,32.0,5.0,2.0,369.0,9.0,7.0,15.0,2.0,,13.0,3.0,2.0,167.0,6.0,3.0,12.0,44.0,15.0,,11.0,16.0,,1.0,4.0,3.0,7.0,2.0,,14.0,5.0,,,1.0,,,1.0,,,,,1.0,,,,2.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,
22,2293020,2023-02-04 15:00:00,"Villa Park, Birmingham",42055,Away,Leicester City,Aston Villa,4,2,W,3,2,0,0,,15.0,64.0,2.0,,,,15.0,29.0,2.0,6.0,7.0,3.0,2.0,1.0,136.0,7.0,1.0,13.0,4.0,1.0,8.0,5.0,65.0,124.0,56.0,9.0,,12.0,1.0,1.0,,3.0,1.0,3.0,10.0,,16.0,,29.0,3.0,1.0,27.0,95.0,,,0.0,80.0,10.0,2.0,,,42.0,44.0,4.0,45.0,,7.0,19.0,2.0,,3.0,2.0,124.0,11.0,,87.0,,525.0,5.0,3.0,15.0,,9.0,233.0,30.0,3.0,11.0,3.0,3.0,9.0,4.0,18.0,310.0,44.0,95463,4.0,155.0,4.0,,180.0,5.0,8.0,8.0,42.0,3.0,8.0,4.0,4.0,10.0,9.0,4.0,37.0,249.0,10.0,11.0,,13.0,,54.0,,1.0,0.0,11.0,,4.0,,2.0,1.0,0.0,1.0,3.0,1.0,36.8,14.0,,6.0,4.0,,25.0,3.0,,333.0,9.0,5.0,10.0,4.0,,17.0,,2.0,163.0,2.0,1.0,10.0,46.0,23.0,5.0,11.0,23.0,1.0,2.0,9.0,5.0,17.0,,5.0,8.0,3.0,,1.0,,2.0,,2.0,2.0,,,4.0,,,1.0,1.0,1.0,2.0,2.0,,1.0,,3.0,,,,1.0,1.0,,1.0,,1.0,,,,,,,4.0,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,3.0,1.0,,,,
23,2293035,2023-02-11 15:00:00,"King Power Stadium, Leicester",32184,Home,Leicester City,Tottenham Hotspur,4,1,W,3,1,0,0,,19.0,77.0,1.0,2.0,,,24.0,8.0,3.0,6.0,12.0,3.0,1.0,1.0,146.0,6.0,2.0,10.0,4.0,2.0,12.0,7.0,129.0,135.0,56.0,15.0,,26.0,3.0,2.0,,3.0,,,5.0,,17.0,,8.0,1.0,3.0,47.0,184.0,,1.0,0.0,100.0,14.0,3.0,2.0,2.0,74.0,56.0,7.0,68.0,2.0,4.0,21.0,3.0,,3.0,2.0,135.0,8.0,,111.0,,638.0,8.0,7.0,22.0,,12.0,343.0,20.0,2.0,4.0,3.0,5.0,1.0,5.0,22.0,434.0,43.0,95463,6.0,174.0,1.0,1.0,196.0,9.0,11.0,5.0,65.0,,2.0,7.0,3.0,16.0,3.0,2.0,56.0,356.0,9.0,15.0,1.0,13.0,2.0,70.0,1.0,,0.0,5.0,1.0,3.0,,1.0,1.0,0.0,1.0,1.0,3.0,48.9,18.0,2.0,8.0,7.0,2.0,43.0,1.0,2.0,454.0,12.0,6.0,18.0,6.0,,12.0,1.0,4.0,263.0,6.0,2.0,10.0,62.0,39.0,,4.0,27.0,,1.0,12.0,4.0,14.0,,,11.0,1.0,1.0,2.0,,3.0,,1.0,4.0,,1.0,2.0,1.0,,,1.0,3.0,,3.0,2.0,1.0,1.0,2.0,,,,,4.0,1.0,,1.0,2.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,3.0,,1.0,,,
24,2293045,2023-02-19 14:00:00,"Old Trafford, Manchester",73578,Away,Leicester City,Manchester United,0,3,L,0,1,0,0,,26.0,69.0,,4.0,,,21.0,14.0,8.0,8.0,11.0,5.0,,1.0,139.0,9.0,4.0,8.0,,1.0,15.0,3.0,108.0,143.0,50.0,19.0,3.0,16.0,2.0,4.0,,,1.0,5.0,14.0,,14.0,1.0,14.0,5.0,5.0,41.0,151.0,,,0.0,113.0,9.0,,2.0,,43.0,47.0,7.0,68.0,3.0,9.0,27.0,8.0,,2.0,4.0,143.0,19.0,,118.0,,640.0,13.0,,29.0,,10.0,330.0,34.0,1.0,7.0,,2.0,8.0,8.0,15.0,410.0,43.0,95463,6.0,204.0,7.0,1.0,235.0,5.0,17.0,10.0,68.0,3.0,1.0,2.0,,20.0,7.0,9.0,44.0,351.0,9.0,21.0,2.0,10.0,4.0,57.0,,1.0,0.0,6.0,3.0,,,3.0,,0.0,1.0,,3.0,43.1,8.0,2.0,4.0,2.0,7.0,33.0,6.0,,433.0,10.0,9.0,22.0,9.0,,19.0,3.0,5.0,212.0,8.0,4.0,7.0,84.0,29.0,1.0,7.0,26.0,,3.0,12.0,4.0,22.0,,1.0,17.0,6.0,1.0,,,1.0,,2.0,1.0,,1.0,2.0,,,2.0,2.0,,,1.0,,,,2.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,
25,2293055,2023-02-25 15:00:00,"King Power Stadium, Leicester",32227,Home,Leicester City,Arsenal,0,1,L,0,0,0,0,,21.0,59.0,,,,,12.0,20.0,1.0,1.0,,1.0,,,141.0,12.0,2.0,12.0,,,1.0,,59.0,143.0,49.0,1.0,,18.0,,,,,,1.0,10.0,,8.0,,20.0,,3.0,44.0,97.0,,,0.0,73.0,14.0,,,,47.0,44.0,,42.0,,10.0,29.0,1.0,,2.0,1.0,143.0,5.0,,73.0,,488.0,1.0,3.0,14.0,,6.0,203.0,29.0,4.0,11.0,,0.0,5.0,1.0,20.0,291.0,43.0,95463,,122.0,8.0,,161.0,5.0,19.0,9.0,52.0,1.0,4.0,3.0,,14.0,5.0,5.0,50.0,217.0,9.0,10.0,,18.0,,57.0,,1.0,0.0,8.0,,,,1.0,,0.0,2.0,,,34.1,13.0,,5.0,3.0,,27.0,,,315.0,6.0,8.0,13.0,1.0,,10.0,,,164.0,,2.0,16.0,43.0,21.0,1.0,11.0,12.0,,1.0,1.0,5.0,15.0,,1.0,19.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
26,2293068,2023-03-04 17:30:00,"St. Mary's Stadium, Southampton",30139,Away,Leicester City,Southampton,0,1,L,0,1,0,0,1.0,34.0,74.0,,1.0,,,19.0,10.0,5.0,4.0,6.0,4.0,,,219.0,21.0,8.0,9.0,,2.0,9.0,,162.0,185.0,69.0,11.0,3.0,12.0,,,1.0,,,1.0,23.0,1.0,14.0,,10.0,3.0,5.0,43.0,213.0,,,0.0,170.0,11.0,,,,84.0,79.0,3.0,75.0,3.0,20.0,27.0,5.0,,4.0,2.0,185.0,5.0,,159.0,1.0,827.0,7.0,6.0,34.0,1.0,10.0,467.0,30.0,4.0,9.0,,2.0,3.0,6.0,28.0,592.0,83.0,95463,6.0,281.0,13.0,1.0,324.0,5.0,5.0,6.0,52.0,2.0,2.0,3.0,,16.0,6.0,5.0,51.0,486.0,12.0,9.0,2.0,19.0,4.0,71.0,,1.0,0.0,3.0,3.0,,,1.0,4.0,0.0,6.0,,5.0,65.1,27.0,4.0,9.0,3.0,4.0,45.0,4.0,,615.0,10.0,9.0,15.0,7.0,,30.0,2.0,4.0,314.0,2.0,4.0,26.0,111.0,31.0,,9.0,22.0,,,6.0,3.0,21.0,,,5.0,4.0,,,1.0,,1.0,1.0,,3.0,,3.0,,1.0,,3.0,,1.0,,1.0,,,1.0,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,
