gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attOboxPost,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,accuratePullBack,attFreekickTotal,attBxRight,attOneOnOne,freekickTotal,contentiousDecision,attCmissHigh,totalThroughBall,attSvLowRight,shieldBallOop,attFreekickMiss,effectiveBlockedCross,blockedCross,attemptsIbox,attCmissRight,attMissHighRight,attemptsObox,touchesInOppBox,outfielderBlock,goalsConceded,goalsConcededIbox,errorLeadToGoal,handBall,attLfGoal,attGoalLowCentre,goalAssistOpenplay,attIboxPost,attSvHighLeft,midfielderGoals,attPostLeft,goalAssist,sixYardBlock,totalOffside,goalsOpenplay,goalAssistIntentional,attSvLowLeft,attHdTarget,accurateThroughBall,attObxRight,interceptionsInBox,foulThrowIn,attPostRight,attCmissHighLeft,attSvHighRight,attOboxGoal,errorLeadToShot,attGoalHighLeft,attCorner,attFreekickTarget,attHdPost,goalsConcededObox,ownGoals,clearanceOffLine,attIboxOwnGoal,attGoalHighRight,penaltyConceded,defenderGoals,attFreekickGoal,attCmissHighRight,penaltyFaced,penGoalsConceded,goalAssistSetplay,goalFastbreak,attGoalHighCentre,attObxdRight,attHdGoal,attLgCentre,goalAssistDeadball,attObxdLeft,attObpGoal,attPenTarget,attObxLeft,penaltySave
11,695010,2013-11-10 12:00:00,"White Hart Lane, London",36042,Home,Tottenham Hotspur,Newcastle United,0,1,L,0,1,0,0,1.0,,56.0,,1.0,53.0,31.0,17.0,4.0,3.0,10.0,161.0,6.0,10.0,,4.0,19.0,14.0,131.0,156.0,58.0,31.0,6.0,12.0,8.0,,1.0,1.0,2.0,5.0,36.0,18.0,6.0,31.0,11.0,15.0,31.0,198.0,,,0.0,133.0,5.0,3.0,,,,54.0,82.0,11.0,60.0,2.0,25.0,11.0,7.0,5.0,156.0,2.0,6.0,120.0,733.0,14.0,5.0,1.0,18.0,378.0,20.0,,4.0,25.0,1.0,1.0,8.0,33.0,449.0,73.0,,80607,10.0,205.0,4.0,18.0,2.0,215.0,2.0,,1.0,11.0,3.0,56.0,7.0,12.0,2.0,1.0,2.0,,68.0,397.0,15.0,10.0,5.0,14.0,68.0,,1.0,2.0,0.0,2.0,4.0,2.0,,,1.0,3.0,0.0,4.0,6.0,65.3,30.0,2.0,1.0,,3.0,8.0,7.0,44.0,11.0,,472.0,18.0,19.0,17.0,10.0,17.0,2.0,4.0,293.0,21.0,15.0,14.0,90.0,26.0,,25.0,20.0,20.0,3.0,20.0,3.0,11.0,,1.0,,4.0,1.0,,4.0,1.0,,2.0,5.0,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,2.0,,,1.0,3.0,,,1.0,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,695015,2013-11-24 13:30:00,"Etihad Stadium, Manchester",47228,Away,Tottenham Hotspur,Manchester City,0,6,L,0,3,0,0,2.0,,57.0,,1.0,29.0,12.0,7.0,5.0,4.0,2.0,163.0,3.0,12.0,,1.0,10.0,5.0,142.0,134.0,51.0,13.0,1.0,10.0,2.0,,,,2.0,4.0,17.0,19.0,3.0,12.0,7.0,21.0,19.0,249.0,,,0.0,131.0,11.0,1.0,,,,66.0,70.0,6.0,74.0,1.0,10.0,18.0,,3.0,134.0,1.0,11.0,131.0,685.0,9.0,3.0,,13.0,413.0,21.0,,3.0,8.0,,3.0,4.0,19.0,488.0,47.0,,7958,1.0,184.0,1.0,10.0,1.0,197.0,4.0,,2.0,18.0,7.0,61.0,5.0,4.0,5.0,3.0,,,47.0,430.0,6.0,14.0,1.0,16.0,80.0,,1.0,,0.0,1.0,4.0,3.0,,,,,0.0,2.0,,53.1,15.0,,2.0,4.0,,5.0,2.0,51.0,7.0,,510.0,13.0,20.0,8.0,6.0,22.0,1.0,3.0,330.0,7.0,21.0,10.0,93.0,28.0,,8.0,23.0,10.0,3.0,18.0,7.0,7.0,,2.0,1.0,,1.0,,,,,2.0,1.0,1.0,,,,,1.0,1.0,,,3.0,6.0,5.0,2.0,,,,,,,,,,,5.0,,,1.0,,,,2.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
13,695029,2013-12-01 12:00:00,"White Hart Lane, London",35884,Home,Tottenham Hotspur,Manchester United,2,2,D,1,1,0,0,2.0,,56.0,,1.0,17.0,20.0,6.0,2.0,1.0,,125.0,4.0,2.0,2.0,8.0,7.0,4.0,76.0,157.0,51.0,10.0,2.0,20.0,1.0,1.0,,1.0,1.0,1.0,21.0,17.0,1.0,20.0,7.0,6.0,19.0,126.0,,,0.0,102.0,9.0,1.0,2.0,3.0,1.0,60.0,35.0,6.0,39.0,1.0,14.0,16.0,4.0,1.0,157.0,,6.0,64.0,525.0,3.0,6.0,,14.0,211.0,26.0,,4.0,13.0,2.0,1.0,1.0,30.0,289.0,52.0,,7958,3.0,99.0,,7.0,2.0,116.0,1.0,2.0,,16.0,8.0,59.0,3.0,15.0,2.0,1.0,,,41.0,221.0,13.0,8.0,3.0,28.0,83.0,1.0,1.0,1.0,0.0,2.0,7.0,1.0,,,,4.0,0.0,2.0,,40.0,21.0,,1.0,,,3.0,3.0,31.0,7.0,1.0,304.0,14.0,18.0,10.0,3.0,12.0,2.0,2.0,209.0,8.0,3.0,14.0,66.0,22.0,,13.0,24.0,4.0,3.0,6.0,11.0,7.0,,,,3.0,1.0,,3.0,,,3.0,1.0,,1.0,8.0,8.0,,1.0,1.0,,,3.0,2.0,2.0,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,,,,2.0,,2.0,,,,,2.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
14,695040,2013-12-04 20:00:00,"Craven Cottage, London",24128,Away,Tottenham Hotspur,Fulham,2,1,W,0,0,0,0,2.0,,66.0,1.0,4.0,34.0,34.0,7.0,11.0,5.0,,173.0,4.0,8.0,2.0,1.0,14.0,5.0,150.0,150.0,39.0,18.0,2.0,17.0,2.0,3.0,,1.0,,2.0,18.0,12.0,1.0,34.0,6.0,21.0,25.0,256.0,,,0.0,166.0,16.0,4.0,3.0,,2.0,68.0,100.0,7.0,64.0,2.0,12.0,22.0,2.0,2.0,150.0,2.0,11.0,146.0,755.0,11.0,11.0,,15.0,427.0,30.0,1.0,1.0,17.0,1.0,1.0,7.0,25.0,515.0,71.0,,7958,9.0,187.0,2.0,10.0,,212.0,5.0,,2.0,22.0,8.0,66.0,5.0,10.0,5.0,6.0,2.0,,55.0,439.0,6.0,13.0,2.0,18.0,82.0,3.0,1.0,3.0,0.0,3.0,9.0,4.0,,,,6.0,0.0,3.0,2.0,60.6,22.0,1.0,2.0,,2.0,6.0,6.0,49.0,7.0,2.0,533.0,15.0,13.0,10.0,7.0,11.0,1.0,5.0,339.0,5.0,19.0,10.0,125.0,23.0,,17.0,15.0,16.0,3.0,18.0,11.0,7.0,,1.0,1.0,,2.0,,,,1.0,,,2.0,,4.0,4.0,,,,,,3.0,1.0,1.0,,2.0,2.0,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,,4.0,,,,,2.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
15,695048,2013-12-07 17:30:00,"Stadium of Light, Sunderland",37963,Away,Tottenham Hotspur,Sunderland,2,1,W,1,1,0,0,1.0,,58.0,1.0,4.0,20.0,25.0,11.0,7.0,3.0,2.0,150.0,8.0,11.0,2.0,1.0,21.0,5.0,134.0,142.0,60.0,22.0,4.0,20.0,1.0,,2.0,,1.0,2.0,20.0,16.0,3.0,25.0,9.0,24.0,19.0,252.0,,,0.0,159.0,9.0,1.0,1.0,1.0,1.0,101.0,52.0,12.0,77.0,3.0,11.0,9.0,1.0,4.0,142.0,2.0,7.0,127.0,713.0,18.0,9.0,2.0,17.0,406.0,29.0,,5.0,16.0,,0.0,9.0,22.0,468.0,60.0,1.0,7958,8.0,172.0,3.0,9.0,1.0,184.0,3.0,1.0,3.0,9.0,11.0,59.0,1.0,13.0,4.0,2.0,2.0,,47.0,416.0,14.0,3.0,2.0,26.0,87.0,,2.0,1.0,0.0,2.0,4.0,1.0,2.0,,,4.0,0.0,3.0,4.0,53.0,17.0,2.0,,,2.0,1.0,8.0,46.0,10.0,1.0,488.0,17.0,16.0,8.0,9.0,12.0,5.0,3.0,324.0,11.0,23.0,16.0,128.0,23.0,,16.0,20.0,19.0,3.0,23.0,4.0,10.0,,2.0,2.0,,1.0,,,,2.0,3.0,,,,5.0,5.0,,2.0,,,,2.0,1.0,1.0,1.0,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,3.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
16,695059,2013-12-15 16:00:00,"White Hart Lane, London",36069,Home,Tottenham Hotspur,Liverpool,0,5,L,0,2,1,0,,,51.0,,2.0,16.0,31.0,2.0,3.0,5.0,,146.0,6.0,14.0,,1.0,5.0,,84.0,134.0,60.0,9.0,1.0,11.0,,,,5.0,,,23.0,14.0,,31.0,2.0,9.0,17.0,155.0,,,0.0,93.0,17.0,3.0,,2.0,1.0,67.0,55.0,1.0,48.0,1.0,21.0,10.0,5.0,1.0,134.0,1.0,14.0,83.0,589.0,4.0,8.0,,12.0,266.0,15.0,1.0,7.0,20.0,5.0,3.0,4.0,33.0,334.0,55.0,,7958,4.0,138.0,1.0,14.0,,149.0,4.0,,1.0,10.0,9.0,58.0,6.0,5.0,7.0,5.0,3.0,,36.0,287.0,15.0,7.0,1.0,18.0,77.0,,,1.0,0.0,4.0,9.0,3.0,,,,2.0,1.0,5.0,2.0,43.2,26.0,2.0,2.0,1.0,,6.0,3.0,37.0,2.0,1.0,361.0,12.0,18.0,6.0,6.0,16.0,1.0,5.0,235.0,4.0,9.0,11.0,57.0,22.0,,20.0,21.0,8.0,3.0,19.0,4.0,2.0,,2.0,1.0,,2.0,,,2.0,1.0,,,2.0,,2.0,2.0,,,1.0,,,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
17,695066,2013-12-22 13:30:00,"St. Mary's Stadium, Southampton",31455,Away,Tottenham Hotspur,Southampton,3,2,W,1,1,0,0,,1.0,69.0,,4.0,27.0,27.0,3.0,2.0,3.0,1.0,162.0,3.0,15.0,3.0,2.0,8.0,3.0,80.0,183.0,72.0,13.0,1.0,18.0,1.0,1.0,,3.0,1.0,2.0,20.0,21.0,,27.0,5.0,12.0,32.0,142.0,,,0.0,103.0,18.0,2.0,2.0,,2.0,72.0,47.0,4.0,56.0,1.0,15.0,17.0,5.0,2.0,183.0,2.0,6.0,80.0,621.0,6.0,10.0,,13.0,275.0,21.0,1.0,5.0,18.0,4.0,1.0,4.0,24.0,355.0,69.0,,81012,2.0,146.0,2.0,10.0,,159.0,6.0,1.0,,17.0,12.0,76.0,2.0,16.0,6.0,6.0,1.0,,62.0,285.0,10.0,12.0,,24.0,95.0,1.0,,3.0,0.0,4.0,2.0,2.0,3.0,,,4.0,0.0,2.0,,42.8,10.0,,2.0,1.0,,2.0,5.0,48.0,5.0,2.0,378.0,13.0,19.0,14.0,5.0,15.0,1.0,3.0,239.0,11.0,11.0,22.0,53.0,33.0,2.0,18.0,26.0,10.0,3.0,26.0,9.0,5.0,,1.0,,1.0,4.0,,1.0,,,1.0,,1.0,,4.0,4.0,,1.0,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,2.0,,3.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,
19,695089,2013-12-29 16:00:00,"White Hart Lane, London",36072,Home,Tottenham Hotspur,Stoke City,3,0,W,1,0,0,0,,1.0,68.0,1.0,3.0,29.0,16.0,8.0,5.0,1.0,4.0,209.0,5.0,15.0,3.0,4.0,15.0,7.0,154.0,171.0,54.0,20.0,1.0,18.0,2.0,,,,3.0,2.0,25.0,15.0,2.0,16.0,4.0,25.0,31.0,304.0,1.0,1.0,0.0,200.0,6.0,,1.0,2.0,3.0,84.0,105.0,9.0,106.0,3.0,21.0,17.0,8.0,4.0,171.0,4.0,1.0,147.0,839.0,12.0,4.0,,17.0,506.0,17.0,1.0,3.0,9.0,,2.0,6.0,27.0,597.0,85.0,,81012,8.0,219.0,4.0,11.0,,235.0,1.0,2.0,1.0,17.0,2.0,52.0,8.0,17.0,1.0,1.0,2.0,1.0,54.0,518.0,13.0,4.0,1.0,23.0,84.0,,1.0,,0.0,3.0,1.0,1.0,2.0,,,2.0,0.0,4.0,1.0,67.5,19.0,1.0,7.0,,,8.0,4.0,47.0,6.0,3.0,616.0,17.0,13.0,15.0,9.0,32.0,1.0,5.0,406.0,14.0,22.0,9.0,144.0,30.0,1.0,9.0,17.0,15.0,3.0,26.0,6.0,6.0,1.0,,1.0,2.0,4.0,,2.0,,,1.0,,1.0,1.0,2.0,2.0,,1.0,1.0,,,,,,,,1.0,,2.0,,,2.0,,2.0,,,2.0,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,695095,2014-01-01 17:30:00,"Old Trafford, Manchester",75265,Away,Tottenham Hotspur,Manchester United,2,1,W,1,0,0,0,,1.0,66.0,1.0,,16.0,45.0,3.0,3.0,5.0,2.0,149.0,3.0,6.0,2.0,,6.0,4.0,76.0,162.0,51.0,9.0,2.0,19.0,2.0,1.0,,4.0,,,10.0,18.0,,45.0,2.0,15.0,20.0,125.0,,,0.0,89.0,7.0,2.0,1.0,,4.0,37.0,52.0,4.0,56.0,,8.0,16.0,1.0,2.0,162.0,2.0,12.0,61.0,564.0,5.0,9.0,,15.0,239.0,35.0,2.0,4.0,25.0,6.0,1.0,2.0,23.0,322.0,59.0,,81012,4.0,125.0,2.0,7.0,,151.0,3.0,,,16.0,10.0,49.0,,16.0,5.0,2.0,,,49.0,247.0,5.0,8.0,,28.0,85.0,1.0,,4.0,0.0,3.0,13.0,4.0,2.0,,,1.0,0.0,2.0,2.0,38.9,8.0,,1.0,,,,2.0,35.0,2.0,4.0,342.0,15.0,11.0,8.0,3.0,8.0,1.0,1.0,201.0,4.0,13.0,18.0,50.0,19.0,1.0,25.0,23.0,9.0,3.0,11.0,10.0,2.0,1.0,1.0,,,,,,,,1.0,1.0,2.0,,8.0,8.0,,,1.0,,,4.0,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,2.0,2.0,1.0,1.0,,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,
21,695110,2014-01-11 15:00:00,"White Hart Lane, London",36102,Home,Tottenham Hotspur,Crystal Palace,2,0,W,0,0,0,0,2.0,2.0,52.0,,2.0,42.0,34.0,4.0,4.0,2.0,,179.0,2.0,9.0,2.0,2.0,6.0,4.0,204.0,141.0,52.0,10.0,1.0,24.0,1.0,,1.0,,,,24.0,17.0,1.0,34.0,5.0,25.0,22.0,357.0,1.0,,0.0,211.0,12.0,2.0,,1.0,5.0,91.0,91.0,5.0,76.0,1.0,19.0,15.0,4.0,1.0,141.0,4.0,10.0,183.0,857.0,4.0,5.0,1.0,15.0,552.0,24.0,,3.0,19.0,,1.0,1.0,23.0,628.0,75.0,,80607,4.0,209.0,3.0,14.0,,228.0,7.0,1.0,1.0,15.0,13.0,63.0,5.0,6.0,4.0,7.0,,,56.0,564.0,12.0,8.0,,13.0,79.0,,,1.0,0.0,2.0,11.0,1.0,2.0,1.0,,3.0,0.0,1.0,,68.4,18.0,,3.0,2.0,,6.0,3.0,54.0,5.0,5.0,642.0,15.0,13.0,12.0,3.0,18.0,1.0,1.0,438.0,6.0,24.0,14.0,167.0,16.0,1.0,19.0,18.0,8.0,3.0,16.0,5.0,5.0,,1.0,,1.0,,,1.0,,,,2.0,,,3.0,3.0,,,1.0,,,3.0,,,,1.0,1.0,,2.0,,,1.0,1.0,2.0,,1.0,2.0,2.0,,,,,1.0,,,,,,,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
22,695118,2014-01-19 13:30:00,"Swansea.com Stadium, Swansea",20769,Away,Tottenham Hotspur,Swansea City,3,1,W,1,0,0,0,1.0,2.0,65.0,1.0,,16.0,22.0,4.0,6.0,2.0,2.0,161.0,3.0,13.0,3.0,1.0,10.0,5.0,154.0,145.0,59.0,11.0,3.0,11.0,3.0,1.0,,1.0,2.0,1.0,17.0,21.0,,22.0,2.0,18.0,21.0,210.0,,,0.0,124.0,9.0,1.0,3.0,1.0,1.0,60.0,68.0,7.0,71.0,,15.0,21.0,3.0,1.0,145.0,4.0,6.0,118.0,720.0,8.0,5.0,,26.0,419.0,27.0,,3.0,12.0,1.0,1.0,3.0,17.0,489.0,54.0,,80607,3.0,218.0,2.0,11.0,,233.0,2.0,1.0,,21.0,8.0,51.0,2.0,12.0,7.0,1.0,2.0,,37.0,425.0,6.0,10.0,,24.0,90.0,1.0,1.0,1.0,0.0,2.0,8.0,,3.0,,,2.0,0.0,3.0,1.0,43.8,10.0,,1.0,,1.0,2.0,3.0,48.0,2.0,1.0,504.0,26.0,14.0,13.0,3.0,14.0,,2.0,288.0,4.0,17.0,11.0,89.0,29.0,2.0,12.0,30.0,11.0,2.0,21.0,14.0,2.0,1.0,2.0,,,3.0,2.0,,,,3.0,,,,4.0,4.0,,,,,,1.0,1.0,1.0,,1.0,,,2.0,,,,,2.0,,2.0,2.0,2.0,,,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,
23,695130,2014-01-29 19:45:00,"White Hart Lane, London",36071,Home,Tottenham Hotspur,Manchester City,1,5,L,0,1,1,0,,1.0,41.0,,1.0,24.0,18.0,2.0,2.0,4.0,1.0,113.0,3.0,10.0,1.0,3.0,2.0,2.0,79.0,141.0,56.0,4.0,,10.0,,,,2.0,1.0,,11.0,15.0,1.0,18.0,3.0,14.0,14.0,125.0,,,0.0,85.0,11.0,2.0,,2.0,,43.0,47.0,2.0,38.0,1.0,8.0,12.0,1.0,1.0,141.0,,23.0,99.0,526.0,2.0,6.0,,20.0,245.0,17.0,,4.0,9.0,2.0,1.0,,18.0,312.0,42.0,,80607,2.0,134.0,,5.0,1.0,151.0,5.0,,,12.0,12.0,63.0,3.0,8.0,1.0,4.0,,,42.0,256.0,9.0,8.0,,16.0,74.0,,,,0.0,3.0,5.0,4.0,1.0,,,2.0,1.0,1.0,,34.2,13.0,,1.0,,,3.0,1.0,38.0,3.0,,329.0,20.0,26.0,3.0,1.0,8.0,2.0,,189.0,2.0,11.0,14.0,51.0,16.0,,9.0,23.0,2.0,3.0,18.0,8.0,3.0,,1.0,,,,,,2.0,,1.0,,,,2.0,2.0,,,,,,4.0,5.0,5.0,,,1.0,,,,,1.0,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,
24,695135,2014-02-01 15:00:00,"The MKM Stadium, Hull",24932,Away,Tottenham Hotspur,Hull City,1,1,D,0,1,0,0,,,53.0,,3.0,23.0,33.0,10.0,7.0,2.0,2.0,183.0,3.0,8.0,1.0,3.0,15.0,3.0,128.0,182.0,62.0,19.0,5.0,20.0,1.0,,,1.0,1.0,1.0,27.0,12.0,1.0,33.0,9.0,26.0,29.0,245.0,,,0.0,174.0,9.0,1.0,,1.0,,61.0,82.0,9.0,68.0,3.0,18.0,18.0,5.0,5.0,182.0,,5.0,106.0,704.0,11.0,7.0,,16.0,360.0,18.0,1.0,3.0,26.0,2.0,1.0,6.0,22.0,465.0,73.0,,80607,7.0,129.0,,12.0,2.0,152.0,3.0,1.0,,18.0,8.0,49.0,4.0,13.0,4.0,2.0,1.0,,57.0,371.0,13.0,4.0,3.0,31.0,88.0,,,,0.0,,4.0,2.0,1.0,,,4.0,0.0,2.0,1.0,61.6,18.0,1.0,1.0,,1.0,4.0,8.0,43.0,10.0,,485.0,16.0,12.0,16.0,8.0,31.0,1.0,3.0,360.0,11.0,25.0,29.0,112.0,28.0,,26.0,14.0,12.0,1.0,12.0,9.0,10.0,,1.0,,2.0,,,2.0,,,,,1.0,1.0,4.0,4.0,,1.0,2.0,,,2.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,,1.0,,,,,,
25,695150,2014-02-09 13:30:00,"White Hart Lane, London",35944,Home,Tottenham Hotspur,Everton,1,0,W,0,0,0,0,,,57.0,1.0,,26.0,18.0,4.0,1.0,3.0,1.0,145.0,4.0,11.0,1.0,1.0,7.0,2.0,81.0,158.0,58.0,8.0,1.0,11.0,1.0,1.0,,1.0,,1.0,22.0,20.0,,18.0,8.0,17.0,17.0,162.0,1.0,,0.0,114.0,9.0,2.0,1.0,,2.0,67.0,45.0,3.0,52.0,,14.0,17.0,2.0,3.0,158.0,,6.0,76.0,595.0,4.0,6.0,,21.0,259.0,21.0,1.0,7.0,11.0,1.0,1.0,4.0,27.0,332.0,56.0,,80607,3.0,118.0,,12.0,1.0,126.0,2.0,,,17.0,13.0,73.0,3.0,11.0,4.0,8.0,2.0,,44.0,276.0,11.0,17.0,2.0,22.0,78.0,1.0,,,0.0,2.0,7.0,1.0,1.0,,,1.0,0.0,2.0,2.0,45.8,20.0,2.0,,,,3.0,1.0,47.0,9.0,2.0,354.0,21.0,25.0,11.0,5.0,13.0,2.0,2.0,250.0,5.0,14.0,12.0,77.0,28.0,1.0,11.0,25.0,4.0,3.0,23.0,6.0,9.0,,2.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,4.0,1.0,8.0,8.0,,,1.0,,,2.0,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
26,695160,2014-02-12 19:45:00,"St. James' Park, Newcastle",48264,Away,Tottenham Hotspur,Newcastle United,4,0,W,1,0,0,0,1.0,2.0,66.0,1.0,4.0,14.0,38.0,5.0,4.0,5.0,3.0,167.0,1.0,11.0,4.0,1.0,11.0,8.0,111.0,156.0,53.0,15.0,,29.0,2.0,1.0,,1.0,1.0,1.0,12.0,19.0,2.0,38.0,4.0,30.0,14.0,232.0,1.0,,0.0,142.0,11.0,4.0,5.0,1.0,,84.0,60.0,9.0,68.0,,8.0,16.0,1.0,2.0,156.0,2.0,8.0,114.0,680.0,9.0,10.0,1.0,22.0,359.0,30.0,1.0,4.0,26.0,3.0,0.0,2.0,23.0,446.0,63.0,1.0,80607,5.0,135.0,2.0,6.0,1.0,156.0,4.0,3.0,2.0,16.0,12.0,62.0,3.0,11.0,5.0,3.0,1.0,,47.0,366.0,6.0,5.0,1.0,39.0,101.0,1.0,,1.0,0.0,2.0,8.0,3.0,3.0,,,4.0,0.0,1.0,1.0,50.7,13.0,1.0,4.0,1.0,,3.0,4.0,50.0,6.0,,460.0,22.0,16.0,7.0,3.0,11.0,,1.0,316.0,10.0,27.0,16.0,105.0,24.0,2.0,26.0,21.0,13.0,3.0,14.0,6.0,6.0,1.0,2.0,2.0,,3.0,,,,,1.0,1.0,,,5.0,5.0,,,,,,3.0,,,,,1.0,,1.0,,,2.0,,1.0,,,4.0,,1.0,,,,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
27,695167,2014-02-23 16:00:00,"Carrow Road, Norwich",26834,Away,Tottenham Hotspur,Norwich City,0,1,L,0,0,0,0,1.0,,60.0,,1.0,25.0,16.0,3.0,2.0,2.0,1.0,180.0,4.0,9.0,,1.0,9.0,2.0,135.0,155.0,54.0,9.0,1.0,15.0,1.0,,,1.0,,1.0,20.0,20.0,1.0,16.0,3.0,17.0,14.0,237.0,,,0.0,158.0,15.0,1.0,,,1.0,77.0,65.0,4.0,84.0,3.0,17.0,20.0,4.0,1.0,155.0,5.0,4.0,127.0,719.0,9.0,8.0,,7.0,430.0,25.0,,4.0,11.0,1.0,3.0,5.0,29.0,510.0,67.0,,80607,3.0,207.0,6.0,13.0,,223.0,4.0,,1.0,20.0,10.0,60.0,2.0,10.0,9.0,3.0,,,57.0,440.0,8.0,5.0,,33.0,92.0,,,1.0,0.0,,5.0,1.0,,,,2.0,0.0,4.0,2.0,59.1,21.0,2.0,3.0,2.0,,2.0,2.0,46.0,3.0,1.0,526.0,7.0,21.0,7.0,5.0,17.0,,4.0,323.0,5.0,16.0,15.0,117.0,25.0,,11.0,22.0,9.0,3.0,15.0,11.0,3.0,,1.0,,,1.0,2.0,,,,1.0,,,,1.0,1.0,,1.0,1.0,,,3.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
