gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attGoalLowLeft,attemptsIbox,attLfGoal,attRfTarget,accuratePullBack,attIboxTarget,attBxRight,attSvLowCentre,attOboxTarget,attMissHighRight,totalFastbreak,interceptionsInBox,attMissRight,attemptsObox,attOboxMiss,subsGoals,attLgCentre,touchesInOppBox,attMissHighLeft,offtargetAttAssist,totalPullBack,totalThroughBall,totalOffside,goalsOpenplay,attSvLowRight,attFreekickTarget,overrun,goalsConceded,accurateCrossNocorner,attBxLeft,clearanceOffLine,attFreekickMiss,shotOffTarget,goalsConcededIbox,goalsConcededObox,accurateKeeperSweeper,attSvHighRight,contentiousDecision,totalKeeperSweeper,attBxCentre,attMissHigh,postScoringAtt,attMissLeft,attIboxPost,attOneOnOne,hitWoodwork,accurateThroughBall,bigChanceMissed,attRfGoal,attCmissHigh,attPostHigh,attHdMiss,attIboxMiss,errorLeadToGoal,attIboxBlocked,goalAssistOpenplay,attOboxGoal,attHdTarget,errorLeadToShot,attCmissHighLeft,forwardGoals,attGoalLowCentre,shotFastbreak,attFastbreak,defenderGoals,attCmissLeft,attGoalLowRight,attCmissRight,attSvLowLeft,attHdPost,attSvHighLeft,ownGoals,attIboxOwnGoal,attPostRight,accurateFreekickCross,sixYardBlock,penaltyWon,attPostLeft,attPenGoal,attObxRight,goalFastbreak,attGoalHighCentre,attObxdRight,foulThrowIn,attSvHighCentre,penaltyConceded,penaltyFaced,penGoalsConceded,attCorner,attCmissHighRight,attObxLeft,attGoalHighRight,attLgRight,attPenTarget
11,695004,2013-11-09 15:00:00,"Anfield, Liverpool",44768,Away,Fulham,Liverpool,0,4,L,0,3,0,0,2.0,,47.0,2.0,,,22.0,27.0,2.0,2.0,7.0,123.0,3.0,7.0,,1.0,4.0,1.0,81.0,125.0,46.0,,4.0,,10.0,13.0,15.0,27.0,3.0,30.0,23.0,134.0,,0.0,85.0,9.0,4.0,,1.0,2.0,41.0,56.0,2.0,52.0,10.0,14.0,,4.0,125.0,,17.0,78.0,567.0,4.0,9.0,24.0,250.0,23.0,7.0,9.0,,1.0,9.0,26.0,309.0,48.0,8763,142.0,5.0,,159.0,1.0,14.0,16.0,55.0,4.0,14.0,16.0,8.0,38.0,273.0,13.0,14.0,,17.0,71.0,,,0.0,9.0,5.0,,3.0,0.0,,1.0,1.0,32.7,22.0,,4.0,1.0,41.0,3.0,2.0,334.0,24.0,22.0,14.0,10.0,,188.0,1.0,28.0,6.0,58.0,14.0,4.0,9.0,20.0,,4.0,3.0,10.0,4.0,10.0,3.0,,,,,1.0,,,,,1.0,,,6.0,1.0,,1.0,,,,,2.0,,1.0,2.0,,,,1.0,4.0,3.0,1.0,,,2.0,4.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
12,695013,2013-11-23 15:00:00,"Craven Cottage, London",25258,Home,Fulham,Swansea City,1,2,L,0,0,0,0,,,60.0,2.0,1.0,1.0,32.0,39.0,2.0,2.0,4.0,127.0,6.0,9.0,1.0,1.0,7.0,3.0,81.0,130.0,59.0,,9.0,2.0,21.0,23.0,10.0,39.0,5.0,17.0,25.0,133.0,,0.0,111.0,11.0,2.0,1.0,2.0,2.0,20.0,78.0,5.0,70.0,18.0,13.0,,8.0,130.0,2.0,12.0,87.0,575.0,5.0,14.0,16.0,274.0,24.0,11.0,20.0,1.0,3.0,9.0,18.0,350.0,52.0,8763,160.0,8.0,,178.0,5.0,13.0,7.0,58.0,5.0,6.0,10.0,2.0,51.0,287.0,7.0,7.0,1.0,23.0,66.0,1.0,2.0,0.0,8.0,2.0,1.0,7.0,0.0,,,3.0,36.7,15.0,2.0,5.0,2.0,39.0,8.0,2.0,365.0,16.0,11.0,10.0,20.0,2.0,210.0,4.0,13.0,29.0,61.0,26.0,3.0,20.0,15.0,,6.0,3.0,17.0,3.0,9.0,8.0,,,,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,2.0,,1.0,2.0,,,,,2.0,4.0,1.0,,,4.0,1.0,1.0,1.0,,,2.0,4.0,,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,,,2.0,3.0,,,,,1.0,1.0,,,,,,,3.0,,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
13,695030,2013-11-30 15:00:00,"Boleyn Ground, London",34946,Away,Fulham,West Ham United,0,3,L,0,0,0,0,,,61.0,4.0,,,15.0,43.0,9.0,8.0,8.0,176.0,3.0,12.0,,2.0,7.0,,86.0,154.0,62.0,2.0,10.0,5.0,38.0,14.0,9.0,43.0,3.0,23.0,26.0,188.0,,0.0,112.0,8.0,2.0,,,3.0,40.0,71.0,4.0,58.0,11.0,14.0,2.0,3.0,154.0,,14.0,91.0,627.0,7.0,11.0,6.0,305.0,29.0,8.0,30.0,,2.0,3.0,24.0,391.0,52.0,8763,130.0,8.0,,156.0,2.0,14.0,10.0,83.0,9.0,8.0,9.0,3.0,45.0,315.0,11.0,14.0,,33.0,81.0,,1.0,0.0,6.0,5.0,,2.0,0.0,,2.0,,51.7,19.0,,9.0,5.0,40.0,3.0,3.0,411.0,6.0,17.0,6.0,17.0,,269.0,2.0,22.0,30.0,67.0,19.0,7.0,30.0,11.0,,8.0,3.0,18.0,7.0,4.0,3.0,,,,,,,,1.0,,,,,2.0,3.0,,4.0,,,,,3.0,1.0,1.0,1.0,,,,3.0,3.0,3.0,,1.0,2.0,5.0,2.0,1.0,,,,,,2.0,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,695040,2013-12-04 20:00:00,"Craven Cottage, London",24128,Home,Fulham,Tottenham Hotspur,1,2,L,0,0,0,0,1.0,1.0,58.0,1.0,,,28.0,36.0,5.0,6.0,3.0,130.0,5.0,13.0,1.0,2.0,11.0,6.0,68.0,145.0,66.0,,16.0,1.0,10.0,33.0,15.0,36.0,9.0,14.0,33.0,142.0,,0.0,114.0,7.0,3.0,1.0,3.0,,46.0,68.0,7.0,53.0,24.0,21.0,,6.0,145.0,1.0,11.0,70.0,578.0,7.0,14.0,21.0,233.0,24.0,7.0,21.0,1.0,2.0,6.0,25.0,305.0,52.0,8763,108.0,15.0,4.0,125.0,1.0,21.0,8.0,39.0,5.0,12.0,7.0,4.0,52.0,245.0,14.0,8.0,3.0,21.0,70.0,,,0.0,7.0,2.0,1.0,6.0,0.0,1.0,,2.0,39.4,21.0,5.0,5.0,3.0,38.0,9.0,,321.0,21.0,9.0,16.0,25.0,1.0,229.0,6.0,14.0,17.0,74.0,23.0,3.0,21.0,23.0,,8.0,3.0,19.0,3.0,11.0,9.0,1.0,1.0,,,3.0,,4.0,2.0,1.0,1.0,,1.0,1.0,5.0,,3.0,,,,,4.0,1.0,2.0,4.0,1.0,1.0,,2.0,2.0,4.0,1.0,,,7.0,,2.0,,,,,7.0,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,3.0,,2.0,1.0,,1.0,1.0,,,,,,,,,1.0,3.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
15,695043,2013-12-08 13:30:00,"Craven Cottage, London",22288,Home,Fulham,Aston Villa,2,0,W,2,0,0,0,1.0,1.0,53.0,2.0,,,41.0,43.0,5.0,10.0,2.0,170.0,7.0,12.0,2.0,3.0,18.0,10.0,85.0,151.0,63.0,,22.0,,25.0,21.0,18.0,43.0,3.0,7.0,48.0,232.0,1.0,0.0,178.0,12.0,2.0,1.0,1.0,4.0,69.0,103.0,10.0,72.0,18.0,10.0,,5.0,151.0,,4.0,101.0,661.0,14.0,11.0,5.0,325.0,18.0,4.0,25.0,1.0,0.0,4.0,25.0,409.0,68.0,8595,112.0,12.0,1.0,127.0,2.0,10.0,9.0,67.0,3.0,12.0,6.0,4.0,71.0,337.0,12.0,11.0,3.0,25.0,87.0,,,0.0,7.0,,2.0,4.0,0.0,1.0,1.0,4.0,52.9,22.0,3.0,3.0,4.0,40.0,4.0,4.0,428.0,5.0,19.0,26.0,19.0,1.0,322.0,8.0,7.0,21.0,130.0,22.0,2.0,25.0,20.0,,17.0,2.0,15.0,2.0,2.0,4.0,4.0,1.0,,1.0,2.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,,3.0,,3.0,,,,,8.0,1.0,2.0,2.0,1.0,2.0,,2.0,,6.0,4.0,,,8.0,,,,,,,7.0,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,,,1.0,4.0,,4.0,1.0,,2.0,,,1.0,,,,,1.0,1.0,,3.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
16,695054,2013-12-14 15:00:00,"Goodison Park, Liverpool",33796,Away,Fulham,Everton,1,4,L,0,1,0,0,,1.0,54.0,1.0,,,40.0,25.0,7.0,2.0,3.0,134.0,3.0,6.0,1.0,2.0,8.0,3.0,97.0,118.0,45.0,,16.0,2.0,8.0,10.0,18.0,25.0,2.0,22.0,36.0,171.0,,0.0,106.0,7.0,2.0,,1.0,,52.0,74.0,2.0,70.0,8.0,13.0,,2.0,118.0,1.0,13.0,92.0,594.0,8.0,11.0,13.0,313.0,18.0,5.0,16.0,,2.0,7.0,20.0,378.0,64.0,8595,156.0,5.0,1.0,169.0,3.0,13.0,14.0,37.0,5.0,10.0,9.0,8.0,61.0,324.0,10.0,6.0,,16.0,73.0,,,0.0,12.0,2.0,1.0,2.0,0.0,,2.0,1.0,42.5,15.0,3.0,5.0,3.0,44.0,2.0,,393.0,13.0,11.0,23.0,11.0,1.0,234.0,13.0,22.0,9.0,71.0,25.0,6.0,16.0,21.0,,13.0,3.0,11.0,6.0,6.0,2.0,,1.0,,,2.0,1.0,1.0,2.0,1.0,1.0,,,2.0,3.0,,5.0,,,,1.0,6.0,1.0,1.0,3.0,,1.0,,2.0,4.0,2.0,,,,10.0,3.0,1.0,1.0,,1.0,1.0,4.0,1.0,,5.0,,,,1.0,2.0,1.0,,,1.0,5.0,1.0,1.0,,,,,,1.0,,,,,2.0,,1.0,,,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,
17,695063,2013-12-21 15:00:00,"Craven Cottage, London",25509,Home,Fulham,Manchester City,2,4,L,0,2,0,0,1.0,1.0,48.0,1.0,,,41.0,29.0,7.0,4.0,6.0,137.0,4.0,11.0,2.0,2.0,9.0,5.0,128.0,127.0,56.0,1.0,12.0,4.0,14.0,21.0,17.0,29.0,3.0,14.0,35.0,179.0,,0.0,118.0,7.0,3.0,1.0,1.0,,49.0,79.0,6.0,69.0,18.0,14.0,1.0,5.0,127.0,2.0,14.0,126.0,670.0,8.0,2.0,13.0,366.0,23.0,4.0,13.0,1.0,1.0,4.0,23.0,439.0,47.0,81025,208.0,12.0,,222.0,3.0,14.0,4.0,38.0,5.0,10.0,3.0,2.0,64.0,383.0,15.0,5.0,,14.0,72.0,,,0.0,4.0,5.0,2.0,1.0,0.0,1.0,,2.0,46.1,20.0,1.0,5.0,4.0,43.0,4.0,,460.0,13.0,9.0,18.0,11.0,,259.0,6.0,11.0,12.0,82.0,17.0,3.0,13.0,18.0,,10.0,3.0,16.0,3.0,10.0,4.0,1.0,,,1.0,3.0,,1.0,,3.0,3.0,,3.0,2.0,,,,,,,,3.0,,,4.0,1.0,,,,4.0,4.0,1.0,,,3.0,3.0,1.0,,,,,2.0,,,3.0,,,,,1.0,,,,2.0,3.0,1.0,,1.0,,,1.0,,,,2.0,2.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
19,695085,2013-12-28 15:00:00,"The MKM Stadium, Hull",23925,Away,Fulham,Hull City,0,6,L,0,0,0,0,2.0,,53.0,4.0,,,48.0,43.0,4.0,3.0,7.0,174.0,,7.0,,1.0,3.0,2.0,102.0,154.0,53.0,1.0,5.0,1.0,26.0,4.0,11.0,43.0,1.0,32.0,41.0,126.0,,0.0,95.0,9.0,5.0,,,2.0,37.0,53.0,2.0,87.0,3.0,18.0,1.0,1.0,154.0,,10.0,102.0,675.0,3.0,13.0,16.0,346.0,19.0,10.0,19.0,,0.0,3.0,25.0,443.0,62.0,8763,235.0,2.0,,252.0,,18.0,4.0,60.0,5.0,17.0,11.0,1.0,96.0,361.0,11.0,8.0,,38.0,109.0,,1.0,0.0,6.0,3.0,,5.0,0.0,,,,47.3,19.0,,5.0,1.0,52.0,1.0,2.0,465.0,16.0,17.0,18.0,14.0,,217.0,2.0,30.0,18.0,41.0,21.0,6.0,19.0,17.0,,4.0,3.0,9.0,6.0,12.0,1.0,2.0,,,,,,1.0,,,1.0,,,1.0,1.0,,2.0,,,,1.0,1.0,,2.0,,,,,1.0,6.0,,1.0,,,2.0,4.0,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,695093,2014-01-01 15:00:00,"Craven Cottage, London",25335,Home,Fulham,West Ham United,2,1,W,1,1,0,1,,2.0,45.0,,1.0,1.0,42.0,37.0,12.0,11.0,2.0,173.0,7.0,8.0,2.0,3.0,24.0,11.0,157.0,123.0,41.0,2.0,30.0,5.0,6.0,32.0,9.0,37.0,4.0,28.0,18.0,311.0,,0.0,179.0,6.0,1.0,1.0,1.0,1.0,77.0,97.0,18.0,83.0,28.0,9.0,2.0,10.0,123.0,4.0,6.0,151.0,783.0,18.0,13.0,17.0,475.0,18.0,7.0,26.0,2.0,2.0,3.0,29.0,545.0,63.0,8595,189.0,17.0,1.0,209.0,1.0,9.0,11.0,20.0,2.0,7.0,5.0,8.0,61.0,493.0,5.0,2.0,4.0,24.0,85.0,,1.0,0.0,4.0,2.0,2.0,8.0,0.0,1.0,,3.0,67.7,26.0,3.0,2.0,10.0,56.0,12.0,1.0,564.0,17.0,5.0,12.0,23.0,3.0,387.0,15.0,27.0,13.0,150.0,19.0,1.0,26.0,15.0,1.0,18.0,3.0,9.0,1.0,1.0,12.0,3.0,,,,4.0,1.0,5.0,3.0,4.0,4.0,1.0,,3.0,5.0,,4.0,,,,,6.0,1.0,1.0,4.0,1.0,3.0,,3.0,1.0,4.0,4.0,,,9.0,1.0,,1.0,,,1.0,6.0,2.0,,1.0,,2.0,2.0,,3.0,1.0,,,,5.0,,5.0,1.0,,2.0,1.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,
21,695104,2014-01-11 15:00:00,"Craven Cottage, London",25564,Home,Fulham,Sunderland,1,4,L,0,2,0,0,,1.0,61.0,1.0,1.0,1.0,32.0,24.0,8.0,4.0,2.0,159.0,8.0,8.0,1.0,2.0,16.0,5.0,129.0,121.0,50.0,,17.0,1.0,13.0,31.0,13.0,24.0,9.0,12.0,31.0,261.0,,0.0,192.0,15.0,3.0,1.0,1.0,1.0,54.0,94.0,7.0,61.0,22.0,8.0,,6.0,121.0,4.0,6.0,114.0,664.0,13.0,6.0,10.0,380.0,25.0,6.0,15.0,1.0,3.0,1.0,19.0,445.0,62.0,88734,143.0,15.0,,148.0,7.0,8.0,7.0,51.0,7.0,3.0,4.0,3.0,53.0,396.0,12.0,6.0,2.0,14.0,74.0,,,0.0,6.0,1.0,1.0,1.0,0.0,1.0,,3.0,58.9,17.0,2.0,7.0,2.0,45.0,10.0,2.0,463.0,10.0,13.0,14.0,26.0,4.0,346.0,9.0,12.0,13.0,141.0,26.0,2.0,15.0,17.0,1.0,12.0,3.0,13.0,2.0,5.0,10.0,1.0,1.0,,,2.0,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,,6.0,,,,1.0,9.0,,1.0,3.0,,2.0,,1.0,4.0,4.0,,,,10.0,3.0,1.0,1.0,,,1.0,4.0,2.0,,2.0,,,,,3.0,,,,2.0,4.0,,1.0,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
22,695111,2014-01-18 15:00:00,"Emirates Stadium, London",60000,Away,Fulham,Arsenal,0,2,L,0,0,0,0,,,48.0,2.0,,,35.0,28.0,4.0,3.0,4.0,165.0,3.0,4.0,,1.0,3.0,2.0,138.0,120.0,34.0,1.0,8.0,2.0,14.0,17.0,10.0,28.0,3.0,11.0,25.0,162.0,,0.0,79.0,7.0,3.0,,,,39.0,88.0,3.0,69.0,14.0,19.0,1.0,5.0,120.0,,12.0,116.0,662.0,3.0,6.0,21.0,401.0,29.0,7.0,14.0,,0.0,9.0,19.0,467.0,43.0,8595,253.0,9.0,,275.0,3.0,9.0,10.0,51.0,,7.0,10.0,4.0,55.0,412.0,5.0,13.0,,12.0,71.0,,,0.0,4.0,4.0,,1.0,0.0,,1.0,1.0,41.3,15.0,1.0,,4.0,48.0,4.0,,488.0,21.0,9.0,13.0,21.0,3.0,230.0,4.0,10.0,9.0,47.0,16.0,1.0,14.0,16.0,,5.0,2.0,13.0,1.0,9.0,4.0,1.0,,3.0,,1.0,,,,1.0,2.0,,2.0,5.0,1.0,5.0,1.0,,,14.0,,,1.0,2.0,1.0,,,1.0,,2.0,,,2.0,,2.0,1.0,1.0,,,,,3.0,1.0,,,,,,,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,2.0,,,,,
23,695128,2014-01-28 19:45:00,"Swansea.com Stadium, Swansea",20004,Away,Fulham,Swansea City,0,2,L,0,0,0,0,,,60.0,3.0,,,30.0,42.0,5.0,3.0,5.0,129.0,9.0,9.0,,4.0,13.0,4.0,102.0,130.0,58.0,,15.0,1.0,11.0,17.0,8.0,42.0,7.0,20.0,37.0,100.0,,0.0,71.0,10.0,3.0,,4.0,2.0,27.0,37.0,7.0,70.0,10.0,16.0,,1.0,130.0,2.0,7.0,84.0,592.0,7.0,12.0,15.0,295.0,30.0,3.0,24.0,,1.0,1.0,18.0,368.0,41.0,8595,213.0,5.0,2.0,232.0,,16.0,8.0,43.0,4.0,11.0,8.0,6.0,54.0,304.0,12.0,5.0,6.0,22.0,67.0,,,0.0,5.0,2.0,,3.0,0.0,,1.0,6.0,38.1,10.0,3.0,4.0,3.0,29.0,8.0,2.0,385.0,15.0,9.0,17.0,16.0,4.0,170.0,5.0,19.0,26.0,35.0,17.0,3.0,24.0,12.0,,7.0,3.0,18.0,3.0,7.0,8.0,,,,,2.0,,3.0,2.0,2.0,1.0,,1.0,,1.0,,3.0,,,,1.0,6.0,1.0,2.0,2.0,,1.0,,,2.0,5.0,,,,8.0,1.0,1.0,,,,,7.0,4.0,,2.0,,,,2.0,2.0,,,,4.0,5.0,,2.0,,,2.0,,,,,1.0,1.0,,,,,,,,1.0,1.0,,3.0,1.0,,,,,,,,,1.0,,,,,,,,,
24,695134,2014-02-01 15:00:00,"Craven Cottage, London",25700,Home,Fulham,Southampton,0,3,L,0,0,0,0,2.0,,62.0,1.0,,,23.0,44.0,3.0,2.0,2.0,159.0,2.0,6.0,,1.0,5.0,4.0,73.0,184.0,52.0,,8.0,,17.0,10.0,19.0,44.0,4.0,7.0,43.0,104.0,,0.0,102.0,10.0,2.0,,1.0,1.0,37.0,62.0,4.0,48.0,6.0,12.0,,1.0,184.0,,11.0,71.0,584.0,3.0,13.0,18.0,227.0,26.0,6.0,18.0,,0.0,4.0,34.0,337.0,61.0,81025,134.0,4.0,,154.0,3.0,12.0,10.0,50.0,7.0,18.0,6.0,4.0,53.0,236.0,8.0,6.0,2.0,29.0,87.0,,,0.0,5.0,1.0,,1.0,0.0,,,2.0,39.1,25.0,4.0,7.0,,37.0,4.0,1.0,351.0,18.0,7.0,17.0,22.0,2.0,207.0,4.0,6.0,17.0,42.0,24.0,3.0,18.0,21.0,,6.0,3.0,19.0,3.0,4.0,4.0,1.0,,,,2.0,,3.0,1.0,1.0,1.0,1.0,,,,,3.0,,,,,1.0,,,5.0,,1.0,,3.0,3.0,,,,,4.0,3.0,,,,,1.0,3.0,,,3.0,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,1.0,,,,
25,695145,2014-02-09 16:00:00,"Old Trafford, Manchester",74966,Away,Fulham,Manchester United,2,2,D,1,0,0,0,1.0,2.0,49.0,1.0,,,12.0,89.0,2.0,3.0,7.0,107.0,1.0,4.0,2.0,,5.0,3.0,43.0,117.0,39.0,,6.0,1.0,16.0,4.0,14.0,89.0,1.0,5.0,20.0,54.0,,0.0,44.0,6.0,1.0,1.0,,6.0,30.0,19.0,3.0,28.0,3.0,10.0,,2.0,117.0,2.0,20.0,38.0,435.0,4.0,8.0,9.0,130.0,29.0,3.0,44.0,1.0,0.0,7.0,15.0,198.0,37.0,94217,83.0,1.0,,103.0,3.0,10.0,17.0,37.0,4.0,4.0,11.0,4.0,44.0,136.0,3.0,7.0,,27.0,79.0,,2.0,0.0,10.0,6.0,2.0,1.0,0.0,1.0,,1.0,24.6,9.0,,4.0,1.0,21.0,1.0,6.0,216.0,9.0,8.0,6.0,8.0,,117.0,2.0,3.0,15.0,17.0,6.0,5.0,44.0,17.0,1.0,6.0,3.0,6.0,5.0,7.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,2.0,,,1.0,,,,,2.0,,1.0,,2.0,,,1.0,2.0,1.0,,,,2.0,1.0,1.0,,,,,3.0,2.0,,,,,,1.0,1.0,1.0,,,,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
26,695158,2014-02-12 20:00:00,"Craven Cottage, London",25375,Home,Fulham,Liverpool,2,3,L,1,1,0,0,,1.0,59.0,2.0,,,29.0,31.0,4.0,3.0,4.0,142.0,2.0,5.0,2.0,1.0,6.0,3.0,50.0,159.0,40.0,,10.0,3.0,22.0,17.0,11.0,31.0,7.0,3.0,36.0,92.0,,0.0,121.0,7.0,1.0,1.0,1.0,1.0,33.0,43.0,3.0,44.0,10.0,18.0,,3.0,159.0,,13.0,40.0,471.0,6.0,7.0,10.0,164.0,29.0,10.0,16.0,,4.0,3.0,19.0,258.0,66.0,94217,84.0,6.0,,97.0,3.0,18.0,14.0,59.0,4.0,6.0,8.0,7.0,64.0,174.0,9.0,11.0,,36.0,89.0,,,0.0,5.0,2.0,2.0,3.0,0.0,,,1.0,31.1,14.0,4.0,4.0,3.0,38.0,7.0,1.0,276.0,10.0,13.0,13.0,23.0,1.0,196.0,6.0,3.0,11.0,57.0,15.0,2.0,16.0,15.0,,8.0,2.0,12.0,2.0,11.0,7.0,,,,,2.0,,1.0,1.0,,1.0,,,1.0,,,2.0,,1.0,,,3.0,,1.0,,,,,4.0,3.0,1.0,1.0,,,4.0,2.0,1.0,1.0,2.0,,1.0,,1.0,,3.0,,,,1.0,,1.0,,,1.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,
27,695168,2014-02-22 15:00:00,"The Hawthorns, West Bromwich",25782,Away,Fulham,West Bromwich Albion,1,1,D,1,0,0,0,1.0,,69.0,3.0,,,19.0,64.0,3.0,2.0,4.0,125.0,4.0,6.0,1.0,3.0,7.0,3.0,72.0,154.0,69.0,,7.0,,33.0,15.0,21.0,64.0,2.0,5.0,38.0,104.0,,0.0,84.0,15.0,4.0,1.0,4.0,2.0,26.0,54.0,3.0,33.0,13.0,15.0,,3.0,154.0,2.0,9.0,57.0,529.0,6.0,7.0,17.0,180.0,28.0,5.0,35.0,1.0,3.0,7.0,21.0,271.0,64.0,81025,86.0,6.0,,110.0,3.0,15.0,9.0,67.0,2.0,7.0,7.0,6.0,62.0,186.0,13.0,6.0,,32.0,86.0,,3.0,0.0,8.0,1.0,1.0,,0.0,1.0,,1.0,36.6,11.0,5.0,2.0,,41.0,2.0,2.0,287.0,17.0,14.0,16.0,16.0,,192.0,4.0,5.0,21.0,39.0,28.0,5.0,35.0,29.0,,6.0,3.0,10.0,5.0,7.0,2.0,1.0,,,,1.0,,,1.0,1.0,2.0,,1.0,2.0,,,1.0,,,,,4.0,,,3.0,1.0,,,1.0,1.0,4.0,1.0,,,4.0,1.0,,1.0,1.0,,1.0,2.0,2.0,,2.0,,,,,2.0,1.0,,,1.0,3.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
