gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,lostCorners,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attObxRight,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfTarget,attRfTarget,attCmissRight,attBxRight,accurateKeeperSweeper,attOboxTarget,cleanSheet,interceptionsInBox,totalKeeperSweeper,attSetpiece,attSvLowRight,punches,overrun,savedIbox,bigChanceCreated,totalPullBack,bigChanceScored,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,goals,attSvLowCentre,goalAssist,accurateThroughBall,totalThroughBall,defenderGoals,attIboxGoal,goalAssistIntentional,attLgLeft,attHdGoal,attGoalLowRight,attLfGoal,goalAssistOpenplay,attMissHighRight,midfielderGoals,hitWoodwork,attRfGoal,goalsOpenplay,attCmissHighRight,foulThrowIn,attBxLeft,goalsConcededObox,postScoringAtt,attIboxPost,attOneOnOne,attOboxGoal,attSvHighLeft,attHdPost,attFreekickTarget,attPostHigh,forwardGoals,attemptsIbox,attGoalHighRight,attemptsObox,attLgCentre,touchesInOppBox,attCorner,ptsDroppedWinningPos,totalFastbreak,shieldBallOop,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,penaltyWon,subsGoals,expectedAssists,attPenGoal,attGoalHighLeft,attSvHighCentre,expectedGoals,accuratePullBack,attGoalLowCentre,shotFastbreak,attGoalHighCentre,attPostLeft,attFastbreak,errorLeadToGoal,errorLeadToShot,attSvHighRight,attObxdRight,attLgRight,attFreekickPost,attOboxPost,attPostRight,attObxdLeft,penaltySave,attCmissHighLeft,goalFastbreak,ownGoals,attIboxOwnGoal
11,695002,2013-11-09 15:00:00,"Stamford Bridge, London",41623,Away,West Bromwich Albion,Chelsea,2,2,D,0,1,0,0,2.0,40.0,2.0,1.0,18.0,48.0,3.0,4.0,5.0,129.0,4.0,7.0,,8.0,3.0,71.0,130.0,60.0,,11.0,,19.0,1.0,1.0,14.0,15.0,48.0,4.0,11.0,13.0,128.0,0.0,92.0,15.0,2.0,,1.0,1.0,34.0,54.0,2.0,33.0,1.0,10.0,11.0,,3.0,4.0,130.0,1.0,9.0,61.0,518.0,4.0,9.0,1.0,14.0,201.0,21.0,1.0,11.0,30.0,7.0,6.0,6.0,23.0,280.0,50.0,1.0,91972,4.0,89.0,,6.0,,1.0,119.0,3.0,11.0,8.0,58.0,,,8.0,4.0,8.0,3.0,3.0,40.0,213.0,11.0,5.0,3.0,32.0,70.0,,0.0,9.0,2.0,1.0,0.0,2.0,5.0,32.2,15.0,2.0,,,8.0,1.0,37.0,4.0,1.0,1.0,294.0,1.0,14.0,,17.0,6.0,7.0,13.0,2.0,2.0,189.0,2.0,10.0,22.0,55.0,12.0,7.0,30.0,22.0,2.0,6.0,3.0,12.0,7.0,7.0,4.0,,,,1.0,,,,2.0,,1.0,,1.0,,3.0,,,1.0,,,,2.0,,1.0,,1.0,,2.0,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
12,695018,2013-11-25 20:00:00,"The Hawthorns, West Bromwich",24902,Home,West Bromwich Albion,Aston Villa,2,2,D,2,0,0,0,1.0,61.0,4.0,2.0,27.0,56.0,2.0,4.0,5.0,195.0,6.0,11.0,4.0,9.0,4.0,87.0,182.0,65.0,,11.0,,23.0,,1.0,21.0,5.0,56.0,4.0,10.0,35.0,175.0,0.0,146.0,9.0,2.0,,2.0,,74.0,84.0,5.0,68.0,1.0,17.0,21.0,,5.0,,182.0,,3.0,89.0,675.0,8.0,20.0,,9.0,308.0,27.0,1.0,5.0,39.0,1.0,1.0,4.0,29.0,415.0,91.0,,91972,5.0,153.0,2.0,10.0,,,175.0,1.0,21.0,8.0,52.0,,6.0,3.0,12.0,12.0,5.0,1.0,65.0,322.0,13.0,1.0,,33.0,85.0,,0.0,2.0,2.0,8.0,0.0,6.0,,51.4,21.0,,,3.0,3.0,2.0,35.0,4.0,,,439.0,,9.0,,10.0,16.0,5.0,18.0,,5.0,285.0,5.0,10.0,32.0,81.0,24.0,,39.0,10.0,1.0,10.0,2.0,21.0,,13.0,4.0,,2.0,,3.0,2.0,2.0,,,2.0,1.0,,,1.0,1.0,2.0,1.0,,1.0,,,2.0,1.0,1.0,,,,2.0,1.0,,,,1.0,1.0,1.0,,,1.0,2.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,
13,695027,2013-11-30 17:30:00,"St. James' Park, Newcastle",49298,Away,West Bromwich Albion,Newcastle United,1,2,L,0,1,0,0,,56.0,4.0,3.0,30.0,43.0,6.0,6.0,4.0,156.0,6.0,6.0,4.0,8.0,1.0,96.0,135.0,72.0,3.0,14.0,2.0,31.0,,3.0,12.0,11.0,43.0,3.0,12.0,18.0,165.0,0.0,112.0,15.0,,,1.0,2.0,45.0,67.0,3.0,53.0,3.0,9.0,14.0,3.0,3.0,4.0,135.0,,4.0,92.0,628.0,5.0,8.0,,12.0,301.0,15.0,1.0,8.0,30.0,2.0,3.0,5.0,24.0,372.0,73.0,1.0,91972,5.0,160.0,1.0,5.0,1.0,,173.0,3.0,14.0,8.0,71.0,,,7.0,13.0,10.0,4.0,1.0,55.0,319.0,15.0,5.0,2.0,25.0,85.0,2.0,0.0,3.0,2.0,4.0,0.0,4.0,3.0,46.9,14.0,3.0,,2.0,7.0,5.0,50.0,3.0,,2.0,397.0,,12.0,2.0,13.0,10.0,8.0,18.0,2.0,4.0,236.0,4.0,10.0,33.0,69.0,26.0,4.0,30.0,18.0,1.0,7.0,3.0,16.0,4.0,9.0,3.0,,,1.0,,1.0,,,,1.0,2.0,,1.0,1.0,,,,,,,,1.0,,1.0,,,,1.0,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,
14,695039,2013-12-04 20:00:00,"The Hawthorns, West Bromwich",22943,Home,West Bromwich Albion,Manchester City,2,3,L,0,2,0,0,,57.0,,1.0,27.0,19.0,8.0,3.0,2.0,166.0,4.0,9.0,1.0,12.0,1.0,109.0,146.0,56.0,,12.0,2.0,13.0,,3.0,18.0,24.0,19.0,3.0,7.0,14.0,202.0,0.0,164.0,8.0,1.0,,,4.0,53.0,76.0,4.0,50.0,3.0,15.0,14.0,,5.0,6.0,146.0,1.0,10.0,83.0,604.0,10.0,8.0,,20.0,307.0,25.0,1.0,14.0,13.0,1.0,2.0,8.0,15.0,391.0,92.0,,91972,3.0,122.0,,10.0,,1.0,134.0,1.0,14.0,6.0,52.0,,2.0,3.0,15.0,5.0,6.0,1.0,54.0,320.0,9.0,9.0,1.0,38.0,86.0,1.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0,41.9,14.0,2.0,,1.0,3.0,3.0,45.0,3.0,1.0,4.0,408.0,1.0,20.0,,18.0,7.0,8.0,18.0,2.0,2.0,292.0,7.0,7.0,12.0,113.0,23.0,1.0,13.0,26.0,3.0,11.0,3.0,13.0,1.0,5.0,3.0,,,1.0,,,,,3.0,,,,,4.0,2.0,,3.0,,,,,2.0,,1.0,,,,2.0,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
15,695050,2013-12-07 15:00:00,"The Hawthorns, West Bromwich",23675,Home,West Bromwich Albion,Norwich City,0,2,L,0,1,0,0,1.0,73.0,1.0,2.0,40.0,23.0,8.0,7.0,1.0,172.0,7.0,12.0,1.0,17.0,12.0,135.0,162.0,53.0,,26.0,4.0,8.0,10.0,4.0,49.0,8.0,23.0,9.0,29.0,19.0,261.0,0.0,186.0,10.0,1.0,4.0,1.0,,48.0,103.0,12.0,74.0,3.0,40.0,21.0,,13.0,2.0,162.0,,2.0,143.0,756.0,15.0,11.0,2.0,13.0,428.0,31.0,,12.0,17.0,1.0,2.0,5.0,25.0,514.0,63.0,,91972,8.0,183.0,2.0,26.0,,,203.0,1.0,21.0,9.0,32.0,,1.0,6.0,13.0,6.0,7.0,,58.0,437.0,6.0,4.0,2.0,32.0,85.0,2.0,0.0,3.0,2.0,3.0,0.0,4.0,5.0,63.8,20.0,3.0,,4.0,6.0,6.0,57.0,10.0,,,524.0,,13.0,,6.0,14.0,8.0,29.0,3.0,6.0,370.0,13.0,26.0,20.0,141.0,30.0,1.0,17.0,15.0,1.0,21.0,3.0,17.0,1.0,11.0,10.0,4.0,5.0,3.0,6.0,1.0,2.0,,2.0,1.0,,,,1.0,,,2.0,,,,,,7.0,,,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
16,695052,2013-12-14 15:00:00,"Cardiff City Stadium, Cardiff",26632,Away,West Bromwich Albion,Cardiff City,0,1,L,0,0,0,0,1.0,63.0,2.0,1.0,27.0,32.0,6.0,1.0,2.0,138.0,4.0,6.0,5.0,10.0,2.0,87.0,157.0,66.0,1.0,12.0,3.0,21.0,2.0,1.0,25.0,19.0,32.0,6.0,12.0,13.0,141.0,0.0,120.0,12.0,1.0,,4.0,4.0,41.0,56.0,5.0,33.0,4.0,19.0,10.0,1.0,7.0,3.0,157.0,1.0,4.0,75.0,549.0,10.0,11.0,1.0,9.0,227.0,24.0,,12.0,18.0,1.0,3.0,5.0,17.0,314.0,54.0,1.0,91972,2.0,104.0,1.0,8.0,,,129.0,,10.0,10.0,54.0,,9.0,5.0,7.0,7.0,1.0,,53.0,241.0,15.0,11.0,,40.0,77.0,,0.0,8.0,1.0,3.0,0.0,4.0,1.0,51.8,13.0,,,2.0,5.0,4.0,34.0,6.0,,4.0,333.0,,9.0,1.0,12.0,5.0,6.0,21.0,,3.0,229.0,10.0,11.0,21.0,76.0,31.0,2.0,18.0,24.0,1.0,9.0,3.0,7.0,2.0,6.0,6.0,,1.0,1.0,1.0,,,,1.0,,,1.0,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,695070,2013-12-21 15:00:00,"The Hawthorns, West Bromwich",24753,Home,West Bromwich Albion,Hull City,1,1,D,0,1,0,0,,48.0,,3.0,44.0,21.0,4.0,5.0,2.0,157.0,8.0,13.0,3.0,10.0,3.0,150.0,161.0,59.0,1.0,14.0,3.0,14.0,2.0,,30.0,14.0,21.0,9.0,23.0,19.0,228.0,0.0,173.0,8.0,1.0,,1.0,,55.0,88.0,5.0,70.0,2.0,21.0,17.0,1.0,6.0,2.0,161.0,1.0,5.0,122.0,710.0,6.0,5.0,1.0,4.0,387.0,16.0,1.0,6.0,8.0,2.0,1.0,5.0,34.0,482.0,88.0,,91972,5.0,181.0,,14.0,2.0,,198.0,,17.0,5.0,44.0,,1.0,4.0,15.0,1.0,2.0,2.0,66.0,401.0,15.0,6.0,3.0,27.0,73.0,,0.0,2.0,1.0,1.0,0.0,4.0,2.0,60.4,29.0,1.0,,3.0,4.0,6.0,42.0,9.0,,,499.0,,4.0,,12.0,8.0,5.0,20.0,4.0,3.0,331.0,6.0,21.0,17.0,109.0,25.0,2.0,8.0,16.0,1.0,7.0,3.0,18.0,2.0,10.0,9.0,1.0,,,2.0,1.0,,,1.0,1.0,1.0,,,,2.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,
19,695090,2013-12-28 12:45:00,"Boleyn Ground, London",34946,Away,West Bromwich Albion,West Ham United,3,3,D,2,1,0,0,,49.0,2.0,4.0,32.0,36.0,8.0,8.0,3.0,154.0,6.0,9.0,2.0,15.0,7.0,103.0,134.0,68.0,2.0,22.0,6.0,33.0,3.0,2.0,20.0,11.0,36.0,5.0,25.0,31.0,201.0,0.0,125.0,13.0,1.0,2.0,,4.0,31.0,62.0,12.0,62.0,1.0,15.0,12.0,2.0,1.0,2.0,134.0,,6.0,90.0,617.0,12.0,9.0,1.0,7.0,312.0,18.0,,9.0,31.0,2.0,1.0,3.0,21.0,390.0,72.0,,91972,4.0,131.0,,14.0,,,147.0,1.0,11.0,10.0,67.0,,3.0,4.0,4.0,10.0,5.0,1.0,57.0,326.0,10.0,6.0,1.0,31.0,82.0,2.0,0.0,6.0,3.0,3.0,0.0,3.0,1.0,53.5,14.0,,,2.0,4.0,10.0,47.0,5.0,,4.0,409.0,,7.0,,8.0,21.0,5.0,20.0,3.0,2.0,282.0,13.0,24.0,36.0,78.0,19.0,5.0,31.0,14.0,2.0,17.0,3.0,18.0,5.0,5.0,5.0,2.0,1.0,,3.0,1.0,1.0,,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,3.0,,2.0,2.0,3.0,,3.0,1.0,,,1.0,1.0,2.0,,,1.0,2.0,2.0,,,3.0,1.0,1.0,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,
20,695100,2014-01-01 15:00:00,"The Hawthorns, West Bromwich",26430,Home,West Bromwich Albion,Newcastle United,1,0,W,0,0,0,1,,66.0,3.0,1.0,19.0,28.0,4.0,3.0,3.0,158.0,4.0,3.0,1.0,9.0,4.0,110.0,138.0,39.0,,13.0,,23.0,1.0,2.0,18.0,13.0,28.0,3.0,22.0,17.0,197.0,0.0,138.0,7.0,1.0,1.0,,,48.0,68.0,2.0,52.0,3.0,15.0,17.0,,4.0,2.0,138.0,,3.0,95.0,612.0,7.0,1.0,,16.0,328.0,22.0,,4.0,16.0,0.0,3.0,7.0,20.0,397.0,61.0,,91972,4.0,145.0,2.0,11.0,1.0,,160.0,2.0,17.0,9.0,59.0,,4.0,4.0,9.0,6.0,5.0,1.0,44.0,338.0,14.0,10.0,2.0,29.0,72.0,2.0,0.0,4.0,,,0.0,3.0,2.0,46.2,13.0,2.0,,4.0,4.0,1.0,35.0,3.0,,,415.0,,16.0,,16.0,9.0,8.0,16.0,1.0,6.0,273.0,8.0,21.0,7.0,97.0,31.0,2.0,16.0,15.0,,10.0,3.0,6.0,2.0,9.0,3.0,1.0,2.0,2.0,,,2.0,1.0,1.0,,1.0,,1.0,4.0,,2.0,3.0,1.0,,,,1.0,2.0,,2.0,4.0,,1.0,,,,1.0,,,2.0,,,1.0,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,
21,695108,2014-01-11 15:00:00,"St. Mary's Stadium, Southampton",28610,Away,West Bromwich Albion,Southampton,0,1,L,0,0,0,0,2.0,78.0,4.0,,22.0,32.0,2.0,,4.0,152.0,2.0,5.0,4.0,3.0,2.0,74.0,154.0,59.0,1.0,4.0,,19.0,2.0,1.0,18.0,18.0,32.0,3.0,9.0,27.0,114.0,0.0,92.0,17.0,,,3.0,3.0,62.0,47.0,2.0,49.0,,15.0,12.0,1.0,3.0,2.0,154.0,,4.0,73.0,564.0,3.0,6.0,1.0,24.0,245.0,46.0,,4.0,16.0,2.0,4.0,1.0,15.0,332.0,51.0,,91972,2.0,145.0,1.0,9.0,,,170.0,2.0,12.0,10.0,55.0,,8.0,5.0,16.0,14.0,6.0,1.0,53.0,257.0,11.0,5.0,,29.0,85.0,,0.0,4.0,1.0,3.0,0.0,2.0,1.0,38.4,12.0,,,1.0,5.0,,44.0,4.0,,4.0,348.0,,24.0,1.0,16.0,14.0,2.0,16.0,,,196.0,3.0,9.0,21.0,52.0,23.0,6.0,16.0,22.0,1.0,3.0,3.0,5.0,6.0,5.0,4.0,,1.0,,,,,,2.0,,,,,,,1.0,1.0,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,695119,2014-01-20 20:00:00,"The Hawthorns, West Bromwich",24184,Home,West Bromwich Albion,Everton,1,1,D,0,1,0,0,1.0,71.0,1.0,1.0,31.0,54.0,6.0,3.0,3.0,168.0,8.0,5.0,2.0,13.0,6.0,93.0,148.0,64.0,1.0,14.0,2.0,18.0,2.0,2.0,32.0,18.0,54.0,4.0,20.0,32.0,224.0,0.0,154.0,16.0,2.0,,1.0,,64.0,58.0,8.0,66.0,2.0,28.0,17.0,1.0,10.0,1.0,148.0,,9.0,102.0,698.0,11.0,11.0,1.0,24.0,343.0,24.0,1.0,4.0,35.0,3.0,3.0,5.0,21.0,415.0,80.0,,91972,4.0,137.0,1.0,17.0,1.0,,149.0,7.0,17.0,10.0,58.0,,2.0,5.0,16.0,4.0,2.0,,51.0,353.0,11.0,10.0,1.0,19.0,72.0,,0.0,2.0,1.0,5.0,0.0,7.0,4.0,50.1,16.0,2.0,,2.0,5.0,3.0,39.0,4.0,,,429.0,,24.0,,12.0,16.0,5.0,28.0,1.0,4.0,312.0,7.0,20.0,26.0,104.0,37.0,1.0,35.0,23.0,1.0,11.0,3.0,9.0,1.0,10.0,4.0,1.0,3.0,,1.0,,3.0,,1.0,,,2.0,,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,2.0,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
23,695121,2014-01-29 19:45:00,"Villa Park, Birmingham",36083,Away,West Bromwich Albion,Aston Villa,3,4,L,3,3,0,0,,68.0,,1.0,35.0,26.0,7.0,1.0,2.0,178.0,6.0,6.0,2.0,9.0,4.0,115.0,163.0,53.0,1.0,12.0,1.0,14.0,,1.0,20.0,17.0,26.0,2.0,15.0,18.0,234.0,0.0,143.0,9.0,2.0,,4.0,,94.0,91.0,4.0,58.0,2.0,18.0,20.0,1.0,3.0,3.0,163.0,1.0,8.0,125.0,691.0,5.0,6.0,,19.0,361.0,30.0,,9.0,14.0,3.0,1.0,5.0,27.0,453.0,83.0,2.0,91972,4.0,151.0,1.0,11.0,,1.0,171.0,,19.0,3.0,53.0,,7.0,2.0,13.0,2.0,2.0,1.0,61.0,379.0,13.0,6.0,2.0,35.0,95.0,,0.0,3.0,4.0,2.0,0.0,6.0,2.0,56.3,21.0,2.0,,1.0,2.0,2.0,56.0,3.0,1.0,,476.0,1.0,19.0,,21.0,12.0,6.0,19.0,,3.0,325.0,8.0,15.0,12.0,95.0,32.0,2.0,14.0,22.0,4.0,6.0,3.0,9.0,2.0,9.0,3.0,,2.0,2.0,1.0,,2.0,,,,4.0,,,1.0,2.0,2.0,1.0,1.0,,,,3.0,1.0,2.0,1.0,1.0,,2.0,1.0,,,,1.0,2.0,2.0,2.0,,1.0,2.0,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
24,695139,2014-02-02 13:30:00,"The Hawthorns, West Bromwich",26132,Home,West Bromwich Albion,Liverpool,1,1,D,0,1,0,0,1.0,74.0,,2.0,18.0,26.0,7.0,6.0,2.0,183.0,6.0,4.0,4.0,7.0,4.0,98.0,168.0,55.0,2.0,12.0,1.0,16.0,1.0,2.0,24.0,18.0,26.0,3.0,25.0,38.0,182.0,0.0,141.0,13.0,1.0,1.0,3.0,1.0,62.0,74.0,5.0,50.0,,21.0,22.0,2.0,2.0,5.0,168.0,,8.0,98.0,667.0,6.0,10.0,1.0,29.0,308.0,27.0,2.0,4.0,11.0,4.0,6.0,2.0,23.0,414.0,80.0,1.0,91972,1.0,143.0,,16.0,2.0,,161.0,6.0,22.0,5.0,70.0,,,3.0,15.0,4.0,3.0,,44.0,319.0,15.0,22.0,1.0,29.0,92.0,1.0,0.0,4.0,1.0,3.0,0.0,4.0,1.0,49.7,20.0,,,3.0,3.0,3.0,39.0,3.0,,1.0,429.0,,29.0,1.0,15.0,17.0,5.0,14.0,2.0,,292.0,5.0,19.0,17.0,91.0,38.0,1.0,11.0,22.0,1.0,8.0,3.0,9.0,1.0,16.0,3.0,1.0,1.0,,,5.0,2.0,,3.0,5.0,,,1.0,,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,
25,695143,2014-02-08 15:00:00,"Selhurst Park, London",24501,Away,West Bromwich Albion,Crystal Palace,1,3,L,0,2,0,0,,71.0,1.0,1.0,31.0,24.0,9.0,6.0,3.0,181.0,8.0,10.0,4.0,10.0,7.0,134.0,177.0,71.0,2.0,17.0,5.0,18.0,5.0,1.0,24.0,24.0,24.0,7.0,18.0,27.0,220.0,0.0,163.0,13.0,1.0,,2.0,,59.0,72.0,7.0,55.0,1.0,17.0,25.0,2.0,5.0,3.0,177.0,1.0,8.0,127.0,740.0,9.0,4.0,,18.0,377.0,27.0,,6.0,11.0,3.0,1.0,3.0,20.0,483.0,88.0,1.0,95461,3.0,178.0,1.0,10.0,,1.0,199.0,5.0,24.0,8.0,55.0,1.0,1.0,7.0,26.0,2.0,4.0,2.0,56.0,390.0,13.0,7.0,,29.0,86.0,,0.0,4.0,3.0,2.0,0.0,3.0,,66.0,17.0,,,4.0,7.0,6.0,45.0,7.0,1.0,,497.0,1.0,18.0,1.0,17.0,17.0,4.0,22.0,5.0,1.0,322.0,11.0,17.0,20.0,108.0,32.0,2.0,11.0,29.0,3.0,12.0,3.0,11.0,2.0,12.0,7.0,1.0,5.0,,2.0,2.0,1.0,,1.0,2.0,1.0,3.0,,2.0,2.0,1.0,4.0,,,,,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,
26,695155,2014-02-11 20:00:00,"The Hawthorns, West Bromwich",24327,Home,West Bromwich Albion,Chelsea,1,1,D,0,1,0,0,,64.0,1.0,3.0,26.0,25.0,2.0,4.0,3.0,129.0,8.0,7.0,2.0,13.0,1.0,49.0,138.0,53.0,,13.0,,10.0,,2.0,20.0,19.0,25.0,5.0,21.0,20.0,140.0,0.0,119.0,9.0,2.0,,2.0,2.0,51.0,54.0,4.0,67.0,3.0,15.0,14.0,,4.0,2.0,138.0,,5.0,71.0,538.0,10.0,6.0,,27.0,228.0,27.0,3.0,13.0,10.0,3.0,4.0,9.0,21.0,301.0,67.0,,95461,5.0,103.0,1.0,9.0,2.0,,119.0,5.0,14.0,9.0,50.0,,1.0,3.0,12.0,10.0,3.0,1.0,58.0,235.0,13.0,14.0,2.0,37.0,74.0,,0.0,8.0,1.0,3.0,0.0,5.0,4.0,40.1,14.0,3.0,,4.0,4.0,3.0,36.0,5.0,,2.0,316.0,,27.0,,12.0,14.0,9.0,19.0,3.0,7.0,217.0,4.0,20.0,11.0,72.0,24.0,3.0,10.0,24.0,1.0,8.0,3.0,12.0,3.0,7.0,5.0,,,,,1.0,,,2.0,1.0,,,,1.0,2.0,1.0,2.0,,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
27,695168,2014-02-22 15:00:00,"The Hawthorns, West Bromwich",25782,Home,West Bromwich Albion,Fulham,1,1,D,0,1,0,0,,72.0,2.0,4.0,45.0,16.0,7.0,6.0,2.0,210.0,10.0,6.0,3.0,13.0,5.0,109.0,193.0,67.0,,16.0,3.0,21.0,1.0,,36.0,13.0,16.0,6.0,16.0,21.0,225.0,0.0,189.0,13.0,1.0,1.0,3.0,2.0,79.0,83.0,11.0,61.0,1.0,30.0,17.0,,8.0,1.0,193.0,,4.0,115.0,722.0,10.0,6.0,,14.0,368.0,29.0,,17.0,12.0,3.0,,2.0,31.0,476.0,84.0,1.0,95461,5.0,169.0,,19.0,,,194.0,4.0,17.0,5.0,69.0,,1.0,6.0,17.0,3.0,3.0,,75.0,384.0,14.0,6.0,2.0,53.0,93.0,,0.0,2.0,1.0,3.0,0.0,7.0,1.0,63.4,26.0,1.0,,3.0,7.0,7.0,51.0,8.0,,2.0,495.0,,14.0,,22.0,14.0,4.0,28.0,3.0,3.0,337.0,9.0,16.0,33.0,128.0,33.0,,12.0,18.0,1.0,12.0,3.0,13.0,,8.0,8.0,2.0,2.0,,1.0,,3.0,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,1.0,2.0,1.0,,1.0,,1.0,1.0,,,,,1.0,3.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,
