gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,savedObox,saves,attObxLeft,shotFastbreak,postScoringAtt,attIboxPost,attOneOnOne,cleanSheet,divingSave,attSvLowLeft,hitWoodwork,sixYardBlock,goalKicks,accurateGoalKicks,attFastbreak,attSvLowRight,punches,savedIbox,attSvHighCentre,attPostRight,contentiousDecision,attFreekickPost,attGoalHighCentre,errorLeadToShot,attFreekickTarget,attOboxPost,attPostHigh,goalAssistIntentional,clearanceOffLine,forwardGoals,attHdGoal,goalsConcededObox,attGoalLowLeft,attGoalHighRight,penaltyConceded,attGoalHighLeft,attFreekickGoal,penaltyFaced,penGoalsConceded,attRfGoal,attFreekickMiss,penaltySave,ownGoals,attIboxOwnGoal,goalAssistSetplay,attSvHighLeft,attCmissHigh,attHdPost,goalAssistDeadball,attPostLeft,attemptsIbox,attSvHighRight,ptsGainedLosingPos,attemptsObox,subsGoals,touchesInOppBox,attCorner,goalFastbreak,errorLeadToGoal,penaltyWon,attPenGoal,attCmissHighLeft
28,695172,2014-03-01 15:00:00,"Goodison Park, Liverpool",38286,Home,Everton,West Ham United,1,0,W,0,0,0,0,1.0,,45.0,,2.0,44.0,31.0,9.0,10.0,1.0,1.0,154.0,1.0,8.0,5.0,1.0,2.0,20.0,1.0,1.0,3.0,127.0,131.0,52.0,,22.0,4.0,25.0,2.0,,,1.0,1.0,5.0,32.0,10.0,,31.0,7.0,26.0,22.0,281.0,2.0,,0.0,204.0,9.0,3.0,,2.0,5.0,86.0,76.0,7.0,78.0,1.0,4.0,25.0,14.0,,3.0,5.0,131.0,1.0,2.0,115.0,706.0,17.0,8.0,,10.0,400.0,16.0,,7.0,20.0,1.0,,1.0,2.0,13.0,28.0,462.0,80.0,1.0,1.0,97299,7.0,138.0,1.0,20.0,1.0,149.0,4.0,1.0,14.0,52.0,2.0,,1.0,9.0,1.0,13.0,5.0,1.0,61.0,411.0,8.0,3.0,2.0,19.0,71.0,1.0,0.0,4.0,5.0,1.0,,6.0,0.0,7.0,,3.0,68.9,26.0,3.0,2.0,5.0,9.0,6.0,44.0,11.0,5.0,474.0,10.0,7.0,12.0,13.0,22.0,1.0,7.0,357.0,9.0,26.0,23.0,162.0,17.0,5.0,20.0,16.0,,18.0,3.0,15.0,5.0,8.0,11.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,10.0,3.0,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,695186,2014-03-25 19:45:00,"St. James' Park, Newcastle",47622,Away,Everton,Newcastle United,3,0,W,1,0,0,0,2.0,2.0,60.0,,1.0,34.0,36.0,1.0,5.0,2.0,1.0,142.0,,2.0,15.0,3.0,3.0,7.0,,,6.0,110.0,132.0,63.0,,8.0,,13.0,3.0,1.0,3.0,3.0,1.0,1.0,17.0,22.0,,36.0,8.0,16.0,33.0,153.0,,,0.0,84.0,10.0,3.0,2.0,2.0,2.0,58.0,42.0,7.0,67.0,1.0,,9.0,13.0,,,1.0,132.0,3.0,12.0,84.0,630.0,4.0,7.0,,10.0,324.0,22.0,,8.0,20.0,3.0,3.0,1.0,7.0,,25.0,393.0,50.0,,,97299,2.0,183.0,1.0,7.0,,200.0,4.0,,13.0,58.0,,,,4.0,3.0,10.0,4.0,,49.0,334.0,8.0,14.0,,18.0,72.0,,0.0,3.0,9.0,3.0,,1.0,0.0,1.0,,,45.3,20.0,,3.0,2.0,5.0,1.0,40.0,8.0,2.0,403.0,10.0,8.0,20.0,1.0,11.0,1.0,,220.0,3.0,16.0,14.0,53.0,28.0,6.0,20.0,27.0,,8.0,1.0,30.0,6.0,8.0,8.0,2.0,1.0,2.0,,1.0,,,,1.0,2.0,1.0,,,9.0,3.0,1.0,,,1.0,,,,,,1.0,,,,2.0,,1.0,,,,2.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,
30,695192,2014-03-15 15:00:00,"Goodison Park, Liverpool",38018,Home,Everton,Cardiff City,2,1,W,0,0,0,0,2.0,,55.0,,6.0,52.0,19.0,7.0,7.0,,2.0,178.0,,6.0,13.0,2.0,4.0,14.0,,,6.0,136.0,147.0,53.0,,19.0,2.0,14.0,2.0,1.0,2.0,1.0,2.0,,35.0,19.0,2.0,19.0,7.0,14.0,30.0,280.0,1.0,,0.0,187.0,10.0,4.0,,3.0,1.0,98.0,82.0,11.0,80.0,,2.0,28.0,12.0,,1.0,3.0,147.0,,7.0,146.0,793.0,13.0,5.0,,15.0,462.0,25.0,1.0,4.0,15.0,1.0,2.0,1.0,3.0,3.0,31.0,525.0,79.0,1.0,,97299,6.0,202.0,,24.0,,211.0,3.0,,12.0,53.0,1.0,1.0,1.0,8.0,2.0,15.0,3.0,1.0,70.0,476.0,9.0,6.0,,17.0,83.0,,0.0,4.0,5.0,2.0,1.0,1.0,0.0,6.0,,,67.7,26.0,,3.0,4.0,8.0,8.0,57.0,10.0,2.0,540.0,15.0,16.0,21.0,5.0,14.0,,2.0,364.0,12.0,13.0,7.0,150.0,19.0,4.0,15.0,24.0,1.0,19.0,3.0,22.0,4.0,5.0,10.0,,,2.0,,2.0,,,,,2.0,,,1.0,9.0,5.0,2.0,1.0,,2.0,,,,,,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,
31,695204,2014-03-22 15:00:00,"Goodison Park, Liverpool",36260,Home,Everton,Swansea City,3,2,W,1,1,0,0,2.0,3.0,73.0,2.0,,21.0,39.0,2.0,6.0,2.0,1.0,151.0,,4.0,11.0,3.0,1.0,5.0,1.0,,6.0,96.0,144.0,54.0,,9.0,,15.0,2.0,1.0,2.0,1.0,2.0,2.0,16.0,19.0,1.0,39.0,4.0,17.0,18.0,143.0,,,0.0,108.0,9.0,2.0,1.0,,2.0,49.0,52.0,3.0,67.0,,,12.0,16.0,,,1.0,144.0,3.0,16.0,86.0,622.0,2.0,10.0,,11.0,303.0,24.0,,4.0,16.0,2.0,2.0,0.0,6.0,2.0,20.0,388.0,63.0,,,97299,4.0,172.0,2.0,12.0,,194.0,4.0,1.0,16.0,42.0,,1.0,,6.0,1.0,7.0,5.0,1.0,44.0,311.0,6.0,1.0,1.0,26.0,86.0,,0.0,2.0,12.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,40.7,15.0,1.0,4.0,,7.0,,47.0,5.0,2.0,400.0,11.0,8.0,9.0,3.0,3.0,3.0,2.0,222.0,1.0,15.0,14.0,63.0,35.0,10.0,16.0,23.0,2.0,5.0,3.0,22.0,10.0,8.0,5.0,1.0,1.0,5.0,,1.0,,,,,3.0,1.0,,,14.0,5.0,1.0,,,4.0,,,,,,2.0,,,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,
32,695213,2014-03-30 13:30:00,"Craven Cottage, London",25454,Away,Everton,Fulham,3,1,W,0,0,0,0,1.0,1.0,49.0,1.0,2.0,43.0,28.0,4.0,6.0,1.0,4.0,176.0,,4.0,23.0,3.0,,11.0,,,7.0,127.0,161.0,48.0,,14.0,2.0,17.0,4.0,3.0,3.0,2.0,4.0,2.0,22.0,6.0,1.0,28.0,6.0,32.0,32.0,200.0,,,0.0,137.0,4.0,2.0,1.0,,5.0,65.0,61.0,8.0,77.0,1.0,,16.0,17.0,,2.0,,161.0,2.0,14.0,119.0,758.0,9.0,5.0,,9.0,401.0,18.0,,2.0,14.0,2.0,3.0,2.0,6.0,3.0,29.0,481.0,80.0,2.0,,97299,4.0,218.0,1.0,14.0,,233.0,1.0,1.0,17.0,62.0,2.0,,1.0,14.0,2.0,10.0,9.0,,76.0,414.0,6.0,6.0,,24.0,99.0,,0.0,5.0,6.0,3.0,1.0,2.0,0.0,3.0,2.0,,61.8,27.0,,2.0,1.0,14.0,4.0,57.0,6.0,5.0,499.0,9.0,22.0,19.0,3.0,17.0,1.0,2.0,288.0,8.0,31.0,10.0,89.0,12.0,6.0,14.0,9.0,,13.0,3.0,36.0,6.0,9.0,6.0,,1.0,7.0,,,1.0,,2.0,,4.0,,1.0,1.0,16.0,11.0,,1.0,,6.0,,,1.0,,,,,1.0,,2.0,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
33,695224,2014-04-06 13:30:00,"Goodison Park, Liverpool",39504,Home,Everton,Arsenal,3,0,W,2,0,0,0,2.0,1.0,45.0,1.0,2.0,38.0,23.0,5.0,6.0,1.0,3.0,133.0,,3.0,16.0,3.0,,9.0,,1.0,7.0,129.0,126.0,44.0,,14.0,3.0,11.0,4.0,2.0,1.0,1.0,4.0,1.0,14.0,12.0,1.0,23.0,3.0,25.0,13.0,184.0,,,0.0,142.0,6.0,3.0,1.0,,,75.0,64.0,7.0,62.0,3.0,1.0,11.0,15.0,,3.0,2.0,126.0,,9.0,116.0,640.0,7.0,6.0,,17.0,356.0,24.0,,3.0,11.0,1.0,1.0,1.0,6.0,2.0,24.0,421.0,56.0,1.0,,97299,4.0,185.0,,8.0,,195.0,5.0,1.0,7.0,44.0,2.0,,2.0,6.0,2.0,11.0,6.0,,70.0,366.0,5.0,11.0,1.0,23.0,72.0,1.0,0.0,6.0,6.0,3.0,,2.0,0.0,3.0,,,42.8,18.0,,1.0,2.0,6.0,5.0,37.0,3.0,,440.0,17.0,12.0,10.0,2.0,23.0,,,259.0,8.0,24.0,10.0,99.0,11.0,7.0,11.0,15.0,,11.0,3.0,20.0,7.0,7.0,3.0,,2.0,5.0,1.0,,,,,1.0,2.0,1.0,,,9.0,4.0,,,1.0,3.0,,,,,,2.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,8.0,,,6.0,,23.0,2.0,,,,,
34,695237,2014-04-12 15:07:00,"Stadium of Light, Sunderland",38445,Away,Everton,Sunderland,1,0,W,0,0,0,0,2.0,,54.0,,4.0,22.0,29.0,7.0,8.0,,1.0,137.0,,6.0,13.0,1.0,5.0,13.0,,1.0,3.0,96.0,134.0,59.0,1.0,20.0,3.0,16.0,2.0,2.0,2.0,,2.0,2.0,21.0,8.0,1.0,29.0,6.0,23.0,25.0,178.0,2.0,,0.0,121.0,15.0,4.0,,3.0,1.0,64.0,48.0,7.0,61.0,1.0,5.0,15.0,22.0,1.0,3.0,3.0,134.0,1.0,9.0,91.0,601.0,12.0,9.0,,5.0,286.0,13.0,,2.0,12.0,,4.0,2.0,12.0,6.0,22.0,366.0,67.0,,,97299,6.0,126.0,2.0,9.0,2.0,147.0,8.0,,22.0,55.0,,,,7.0,,3.0,15.0,1.0,44.0,298.0,16.0,11.0,1.0,24.0,67.0,1.0,0.0,1.0,6.0,1.0,,1.0,0.0,5.0,,3.0,53.4,15.0,3.0,5.0,3.0,8.0,7.0,32.0,6.0,1.0,385.0,5.0,7.0,14.0,10.0,13.0,1.0,7.0,259.0,9.0,21.0,16.0,82.0,26.0,5.0,12.0,14.0,,15.0,2.0,20.0,5.0,11.0,6.0,,4.0,5.0,,2.0,,,,1.0,4.0,1.0,,,10.0,4.0,2.0,,2.0,2.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,695244,2014-04-20 16:10:00,"Goodison Park, Liverpool",39436,Home,Everton,Manchester United,2,0,W,2,0,0,0,,1.0,55.0,,3.0,39.0,39.0,4.0,6.0,1.0,2.0,141.0,1.0,6.0,7.0,2.0,3.0,14.0,,1.0,5.0,97.0,124.0,52.0,,17.0,3.0,12.0,2.0,2.0,,1.0,1.0,1.0,16.0,21.0,1.0,39.0,4.0,12.0,30.0,187.0,,,0.0,130.0,9.0,7.0,1.0,1.0,,40.0,90.0,9.0,50.0,2.0,3.0,12.0,13.0,,4.0,,124.0,,3.0,82.0,590.0,12.0,12.0,1.0,15.0,286.0,26.0,,10.0,19.0,1.0,,2.0,4.0,5.0,21.0,356.0,55.0,1.0,,97299,9.0,116.0,,7.0,1.0,133.0,2.0,,13.0,42.0,1.0,1.0,2.0,6.0,1.0,12.0,6.0,2.0,56.0,297.0,7.0,5.0,1.0,23.0,65.0,1.0,0.0,3.0,5.0,2.0,,3.0,0.0,3.0,1.0,1.0,38.7,16.0,,1.0,,6.0,6.0,41.0,6.0,,370.0,15.0,11.0,18.0,6.0,16.0,3.0,6.0,253.0,10.0,11.0,15.0,97.0,19.0,3.0,19.0,23.0,,14.0,3.0,13.0,3.0,9.0,6.0,1.0,1.0,3.0,,5.0,,,,1.0,2.0,,,,7.0,5.0,5.0,2.0,,1.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,
36,695256,2014-04-26 12:45:00,"St. Mary's Stadium, Southampton",31313,Away,Everton,Southampton,0,2,L,0,2,0,0,,,61.0,,2.0,39.0,26.0,4.0,2.0,,1.0,159.0,,7.0,12.0,,2.0,8.0,,,2.0,109.0,144.0,65.0,,9.0,3.0,10.0,1.0,,2.0,,,,25.0,16.0,1.0,26.0,6.0,24.0,45.0,199.0,1.0,,0.0,128.0,12.0,1.0,,2.0,2.0,73.0,60.0,6.0,58.0,1.0,,19.0,18.0,,6.0,,144.0,,9.0,110.0,669.0,8.0,5.0,1.0,8.0,347.0,29.0,,,21.0,,2.0,2.0,6.0,2.0,20.0,419.0,59.0,,,97299,2.0,170.0,,11.0,1.0,186.0,6.0,,18.0,65.0,,,5.0,10.0,,8.0,7.0,1.0,58.0,362.0,13.0,16.0,,12.0,83.0,,0.0,3.0,4.0,,2.0,,0.0,6.0,,2.0,46.9,16.0,1.0,1.0,2.0,10.0,5.0,56.0,7.0,2.0,436.0,8.0,17.0,32.0,2.0,15.0,1.0,2.0,275.0,5.0,21.0,21.0,89.0,19.0,5.0,21.0,20.0,2.0,7.0,3.0,23.0,5.0,8.0,7.0,,3.0,4.0,,,,,,,,1.0,,,9.0,5.0,,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,,
37,695265,2014-05-03 17:30:00,"Goodison Park, Liverpool",39454,Home,Everton,Manchester City,2,3,L,1,2,0,0,,1.0,57.0,,,64.0,20.0,5.0,2.0,,2.0,178.0,,3.0,23.0,2.0,1.0,8.0,,,4.0,200.0,119.0,64.0,,9.0,2.0,13.0,2.0,1.0,2.0,2.0,1.0,2.0,14.0,12.0,,20.0,4.0,39.0,32.0,295.0,,1.0,0.0,162.0,3.0,1.0,1.0,,1.0,73.0,83.0,5.0,102.0,2.0,,10.0,15.0,,3.0,2.0,119.0,2.0,12.0,193.0,871.0,6.0,8.0,,16.0,583.0,27.0,,6.0,12.0,2.0,2.0,0.0,6.0,3.0,20.0,659.0,72.0,1.0,,97299,2.0,304.0,1.0,7.0,,323.0,1.0,,15.0,42.0,1.0,,3.0,8.0,2.0,6.0,6.0,1.0,81.0,596.0,9.0,9.0,,17.0,90.0,,0.0,4.0,3.0,1.0,3.0,,0.0,3.0,,1.0,59.3,20.0,,2.0,,8.0,2.0,69.0,4.0,1.0,673.0,16.0,8.0,13.0,3.0,11.0,,1.0,364.0,6.0,39.0,17.0,119.0,18.0,2.0,12.0,16.0,3.0,9.0,2.0,32.0,2.0,6.0,4.0,,,3.0,,1.0,,,1.0,,2.0,,,,7.0,6.0,1.0,1.0,,3.0,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
38,695273,2014-05-11 15:00:00,"The MKM Stadium, Hull",24848,Away,Everton,Hull City,2,0,W,1,0,0,0,2.0,2.0,54.0,2.0,,48.0,20.0,7.0,6.0,1.0,,185.0,,1.0,5.0,2.0,3.0,9.0,,,4.0,162.0,117.0,30.0,1.0,11.0,2.0,14.0,1.0,,1.0,2.0,,1.0,11.0,8.0,1.0,20.0,4.0,26.0,38.0,209.0,2.0,,0.0,118.0,8.0,2.0,1.0,,3.0,79.0,52.0,5.0,118.0,3.0,1.0,7.0,11.0,1.0,,4.0,117.0,3.0,3.0,158.0,790.0,5.0,4.0,,7.0,543.0,26.0,1.0,6.0,18.0,2.0,1.0,1.0,4.0,3.0,17.0,611.0,63.0,2.0,,94924,2.0,344.0,1.0,7.0,,362.0,2.0,1.0,11.0,38.0,3.0,,2.0,9.0,2.0,12.0,9.0,,72.0,552.0,8.0,1.0,1.0,18.0,86.0,,0.0,,6.0,2.0,,2.0,0.0,1.0,1.0,,57.0,15.0,,1.0,1.0,9.0,2.0,59.0,4.0,3.0,623.0,7.0,10.0,23.0,5.0,12.0,,1.0,272.0,5.0,24.0,4.0,82.0,15.0,3.0,18.0,13.0,,8.0,3.0,11.0,3.0,6.0,4.0,1.0,3.0,3.0,,,,,,1.0,1.0,1.0,,,11.0,7.0,,1.0,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
