gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,wonCorners,handBall,savedObox,accuratePullBack,attMissLeft,attOboxTarget,divingSave,attSvLowLeft,interceptionsInBox,errorLeadToShot,totalPullBack,attSvLowRight,goalsConceded,possWonAtt3rd,accurateCornersIntobox,effectiveBlockedCross,goalsConcededIbox,errorLeadToGoal,blockedCross,goalAssistSetplay,goalAssistDeadball,goals,attCmissRight,attSvHighRight,attGoalHighCentre,hitWoodwork,goalAssist,attIboxGoal,goalAssistIntentional,shieldBallOop,forwardGoals,attHdGoal,goalsConcededObox,attGoalLowLeft,attLfGoal,goalAssistOpenplay,accurateKeeperSweeper,attGoalHighRight,attSvHighLeft,totalKeeperSweeper,accurateFreekickCross,attRfGoal,goalsOpenplay,attCmissLeft,postScoringAtt,attIboxPost,attMissHighLeft,attFreekickTarget,attPostRight,bigChanceScored,attGoalLowCentre,shotFastbreak,penaltyWon,totalFastbreak,midfielderGoals,attPenGoal,attFastbreak,attGoalHighLeft,attOboxPost,attPostHigh,clearanceOffLine,attPostLeft,goalFastbreak,attOboxGoal,ownGoals,attIboxOwnGoal,attLgCentre,attPenTarget,attGoalLowRight,attHdPost,attCmissHighLeft,attObpGoal,penaltyConceded,penaltyFaced,penGoalsConceded,attFreekickGoal,defenderGoals,foulThrowIn
11,360573,2011-11-06 16:00:00,"Craven Cottage, London",25698,Home,Fulham,Tottenham Hotspur,1,3,L,0,2,0,0,1.0,75.0,4.0,41.0,21.0,14.0,14.0,6.0,192.0,8.0,4.0,7.0,19.0,13.0,126.0,172.0,45.0,1.0,31.0,7.0,13.0,11.0,3.0,4.0,41.0,16.0,10.0,10.0,41.0,37.0,258.0,,,0.0,210.0,6.0,4.0,1.0,39.0,101.0,16.0,88.0,2.0,31.0,1.0,16.0,5.0,161.0,1.0,4.0,99.0,717.0,16.0,6.0,6.0,20.0,31.0,13.0,7.0,0.0,2.0,3.0,14.0,106.0,2.0,9493,9.0,164.0,3.0,11.0,1.0,2.0,178.0,4.0,44.0,,6.0,1.0,7.0,12.0,6.0,1.0,2.0,64.0,414.0,11.0,6.0,3.0,23.0,82.0,1.0,0.0,,1.0,,1.0,,0.0,4.0,6.0,53.9,12.0,,1.0,4.0,7.0,11.0,50.0,11.0,1.0,505.0,17.0,1.0,19.0,20.0,7.0,36.0,2.0,368.0,11.0,37.0,11.0,156.0,32.0,4.0,19.0,21.0,3.0,4.0,11.0,,2.0,,3.0,2.0,,2.0,2.0,,,3.0,3.0,3.0,4.0,,3.0,1.0,,,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
12,360584,2011-11-19 15:00:00,"Stadium of Light, Sunderland",37688,Away,Fulham,Sunderland,0,0,D,0,0,0,0,1.0,52.0,3.0,21.0,34.0,7.0,5.0,2.0,167.0,5.0,4.0,1.0,13.0,4.0,110.0,160.0,48.0,1.0,15.0,3.0,10.0,2.0,1.0,2.0,17.0,13.0,20.0,7.0,14.0,28.0,176.0,1.0,1.0,0.0,117.0,12.0,,2.0,18.0,62.0,10.0,80.0,1.0,10.0,1.0,4.0,2.0,146.0,2.0,8.0,107.0,657.0,10.0,10.0,1.0,23.0,20.0,8.0,15.0,1.0,4.0,3.0,17.0,51.0,,88734,5.0,190.0,2.0,6.0,1.0,,214.0,10.0,42.0,,,4.0,10.0,6.0,5.0,7.0,1.0,50.0,361.0,8.0,6.0,3.0,27.0,89.0,3.0,0.0,2.0,6.0,2.0,1.0,1.0,0.0,3.0,2.0,48.1,15.0,1.0,1.0,,10.0,6.0,43.0,7.0,2.0,464.0,17.0,,9.0,10.0,5.0,18.0,3.0,267.0,7.0,13.0,23.0,77.0,16.0,8.0,13.0,10.0,3.0,9.0,7.0,,1.0,,1.0,2.0,1.0,,5.0,,,1.0,,,2.0,4.0,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
13,360589,2011-11-26 17:30:00,"Emirates Stadium, London",60043,Away,Fulham,Arsenal,1,1,D,0,0,0,0,2.0,63.0,1.0,20.0,29.0,4.0,5.0,,151.0,2.0,7.0,2.0,9.0,2.0,108.0,139.0,45.0,,10.0,4.0,8.0,1.0,1.0,1.0,11.0,15.0,15.0,4.0,22.0,21.0,148.0,,,0.0,95.0,9.0,1.0,3.0,21.0,42.0,6.0,82.0,,7.0,,2.0,,125.0,,15.0,111.0,657.0,7.0,5.0,,18.0,33.0,4.0,12.0,3.0,5.0,3.0,10.0,53.0,,88734,3.0,241.0,,4.0,,1.0,253.0,9.0,57.0,2.0,1.0,2.0,4.0,13.0,5.0,3.0,2.0,45.0,387.0,9.0,14.0,2.0,19.0,85.0,1.0,0.0,1.0,13.0,8.0,3.0,,0.0,1.0,2.0,44.4,9.0,2.0,1.0,,4.0,5.0,49.0,4.0,4.0,452.0,11.0,,22.0,10.0,3.0,14.0,3.0,210.0,3.0,21.0,8.0,63.0,18.0,6.0,21.0,7.0,2.0,13.0,4.0,2.0,,,1.0,1.0,2.0,1.0,1.0,,,,1.0,,1.0,8.0,1.0,,8.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
14,360602,2011-12-05 20:00:00,"Craven Cottage, London",25688,Home,Fulham,Liverpool,1,0,W,0,0,0,1,4.0,60.0,1.0,24.0,38.0,12.0,9.0,3.0,152.0,1.0,9.0,2.0,16.0,8.0,109.0,148.0,52.0,,19.0,4.0,15.0,3.0,1.0,1.0,10.0,17.0,25.0,2.0,21.0,33.0,203.0,1.0,1.0,0.0,134.0,12.0,,4.0,33.0,49.0,10.0,72.0,,8.0,,3.0,4.0,135.0,1.0,9.0,110.0,635.0,16.0,9.0,,18.0,32.0,6.0,17.0,3.0,5.0,6.0,10.0,58.0,,9493,4.0,153.0,1.0,5.0,,1.0,177.0,8.0,49.0,,,2.0,5.0,14.0,11.0,4.0,1.0,46.0,355.0,9.0,7.0,,19.0,75.0,1.0,0.0,,10.0,3.0,3.0,,0.0,1.0,,45.4,7.0,,1.0,1.0,5.0,5.0,42.0,2.0,4.0,443.0,13.0,,3.0,13.0,6.0,21.0,1.0,276.0,10.0,19.0,12.0,90.0,17.0,10.0,22.0,16.0,2.0,21.0,2.0,,3.0,2.0,2.0,4.0,3.0,3.0,1.0,,2.0,2.0,,1.0,,2.0,,,2.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
15,360617,2011-12-10 15:00:00,"Liberty Stadium, Swansea",19296,Away,Fulham,Swansea City,0,2,L,0,0,0,0,2.0,50.0,,20.0,14.0,6.0,3.0,4.0,148.0,4.0,4.0,4.0,8.0,7.0,107.0,126.0,38.0,3.0,13.0,1.0,4.0,6.0,,4.0,15.0,15.0,11.0,4.0,11.0,31.0,219.0,,,0.0,151.0,8.0,,2.0,35.0,67.0,5.0,71.0,3.0,11.0,3.0,4.0,4.0,123.0,1.0,9.0,89.0,575.0,6.0,8.0,1.0,16.0,15.0,5.0,6.0,1.0,3.0,3.0,20.0,61.0,2.0,9493,5.0,123.0,2.0,7.0,,,145.0,11.0,32.0,,3.0,,3.0,12.0,8.0,8.0,1.0,40.0,338.0,8.0,5.0,2.0,16.0,69.0,1.0,0.0,1.0,6.0,3.0,4.0,,0.0,3.0,2.0,43.4,17.0,1.0,2.0,,3.0,1.0,42.0,5.0,2.0,415.0,9.0,2.0,10.0,15.0,5.0,12.0,1.0,285.0,8.0,11.0,9.0,115.0,24.0,4.0,17.0,9.0,2.0,10.0,5.0,1.0,,,1.0,1.0,,2.0,2.0,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16,360622,2011-12-17 15:00:00,"Craven Cottage, London",25643,Home,Fulham,Bolton Wanderers,2,0,W,2,0,0,0,1.0,67.0,6.0,22.0,24.0,7.0,11.0,1.0,183.0,10.0,8.0,4.0,19.0,5.0,93.0,173.0,57.0,1.0,23.0,3.0,9.0,2.0,3.0,,19.0,20.0,14.0,7.0,17.0,35.0,177.0,,1.0,0.0,146.0,8.0,2.0,,29.0,72.0,12.0,87.0,3.0,13.0,1.0,2.0,3.0,163.0,4.0,6.0,77.0,656.0,14.0,7.0,1.0,16.0,35.0,6.0,14.0,1.0,2.0,7.0,26.0,80.0,4.0,9493,9.0,168.0,3.0,9.0,1.0,1.0,185.0,10.0,48.0,1.0,5.0,7.0,4.0,8.0,10.0,4.0,1.0,61.0,335.0,11.0,10.0,3.0,32.0,112.0,,0.0,,4.0,3.0,2.0,,0.0,5.0,3.0,51.2,20.0,1.0,2.0,1.0,4.0,9.0,47.0,8.0,,440.0,11.0,1.0,16.0,13.0,9.0,23.0,6.0,274.0,9.0,15.0,14.0,91.0,17.0,8.0,24.0,17.0,,14.0,8.0,1.0,3.0,,4.0,1.0,3.0,,1.0,1.0,,2.0,,2.0,5.0,2.0,,,2.0,,,2.0,2.0,,,,2.0,2.0,2.0,,2.0,1.0,,1.0,1.0,2.0,,,,,,,2.0,2.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,360636,2011-12-21 20:00:00,"Craven Cottage, London",25700,Home,Fulham,Manchester United,0,5,L,0,3,0,0,,49.0,1.0,25.0,20.0,9.0,5.0,4.0,151.0,3.0,5.0,2.0,13.0,5.0,110.0,133.0,38.0,1.0,15.0,4.0,6.0,3.0,1.0,1.0,12.0,19.0,13.0,3.0,8.0,29.0,193.0,,,0.0,128.0,7.0,1.0,,38.0,33.0,10.0,61.0,1.0,9.0,1.0,2.0,3.0,126.0,,11.0,99.0,587.0,10.0,6.0,1.0,14.0,22.0,7.0,5.0,1.0,7.0,3.0,18.0,51.0,,9493,4.0,154.0,1.0,6.0,,,173.0,7.0,39.0,1.0,1.0,,6.0,8.0,7.0,3.0,1.0,43.0,344.0,8.0,3.0,3.0,21.0,76.0,,0.0,2.0,10.0,,,,0.0,2.0,1.0,43.5,15.0,,,,6.0,5.0,44.0,3.0,,421.0,9.0,1.0,12.0,12.0,5.0,20.0,2.0,260.0,9.0,8.0,5.0,93.0,20.0,4.0,20.0,13.0,2.0,16.0,3.0,,3.0,,3.0,2.0,1.0,3.0,4.0,,,1.0,5.0,2.0,1.0,3.0,4.0,,3.0,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,360641,2011-12-26 13:00:00,"Stamford Bridge, London",41548,Away,Fulham,Chelsea,1,1,D,0,0,0,0,1.0,64.0,1.0,26.0,29.0,3.0,2.0,2.0,164.0,4.0,14.0,3.0,8.0,5.0,92.0,143.0,51.0,,9.0,,10.0,2.0,1.0,1.0,9.0,15.0,14.0,3.0,16.0,24.0,159.0,,,0.0,89.0,12.0,1.0,4.0,46.0,32.0,5.0,90.0,2.0,6.0,,1.0,1.0,128.0,2.0,15.0,127.0,680.0,6.0,2.0,1.0,12.0,30.0,6.0,15.0,1.0,3.0,3.0,14.0,51.0,,9493,4.0,251.0,1.0,4.0,,,273.0,17.0,56.0,,,,7.0,13.0,10.0,8.0,1.0,43.0,406.0,10.0,11.0,1.0,20.0,77.0,,0.0,3.0,9.0,7.0,,,0.0,3.0,3.0,47.5,8.0,2.0,,1.0,9.0,1.0,49.0,3.0,4.0,473.0,8.0,,16.0,12.0,3.0,9.0,2.0,209.0,4.0,14.0,6.0,60.0,18.0,10.0,21.0,7.0,1.0,21.0,3.0,,4.0,,,2.0,5.0,1.0,,1.0,,1.0,1.0,2.0,1.0,4.0,1.0,,4.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,360654,2011-12-31 15:00:00,"Carrow Road, Norwich",26406,Away,Fulham,Norwich City,1,1,D,1,0,0,0,1.0,56.0,1.0,32.0,36.0,6.0,5.0,1.0,147.0,3.0,8.0,3.0,9.0,3.0,101.0,154.0,38.0,2.0,11.0,2.0,5.0,1.0,1.0,,7.0,13.0,15.0,3.0,17.0,36.0,168.0,,,0.0,90.0,7.0,,1.0,47.0,52.0,5.0,88.0,1.0,4.0,2.0,1.0,2.0,133.0,1.0,11.0,127.0,657.0,7.0,1.0,,15.0,28.0,3.0,13.0,0.0,8.0,4.0,17.0,50.0,1.0,9493,1.0,221.0,1.0,3.0,,,246.0,12.0,32.0,,1.0,3.0,3.0,13.0,9.0,1.0,,65.0,386.0,10.0,1.0,1.0,24.0,95.0,1.0,0.0,2.0,4.0,3.0,,,0.0,2.0,2.0,48.6,13.0,1.0,2.0,,3.0,3.0,46.0,3.0,1.0,463.0,13.0,1.0,6.0,21.0,5.0,6.0,2.0,224.0,4.0,16.0,3.0,60.0,12.0,6.0,17.0,8.0,3.0,21.0,3.0,,,,2.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,5.0,1.0,,5.0,,,1.0,,1.0,,2.0,1.0,,,,1.0,,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,
20,360662,2012-01-02 17:30:00,"Craven Cottage, London",25700,Home,Fulham,Arsenal,2,1,W,0,1,0,1,2.0,60.0,1.0,33.0,33.0,11.0,7.0,1.0,176.0,8.0,14.0,4.0,16.0,5.0,136.0,156.0,55.0,1.0,22.0,3.0,5.0,2.0,2.0,3.0,24.0,16.0,17.0,4.0,13.0,42.0,233.0,,,0.0,170.0,7.0,3.0,2.0,71.0,53.0,6.0,81.0,5.0,20.0,1.0,3.0,7.0,140.0,4.0,11.0,126.0,734.0,11.0,6.0,,8.0,17.0,5.0,20.0,0.0,3.0,10.0,17.0,89.0,2.0,9493,8.0,216.0,3.0,14.0,,3.0,222.0,5.0,43.0,1.0,4.0,4.0,10.0,7.0,8.0,2.0,5.0,55.0,441.0,13.0,7.0,4.0,16.0,75.0,,0.0,1.0,3.0,5.0,3.0,,0.0,7.0,7.0,52.8,11.0,6.0,,,10.0,4.0,43.0,4.0,2.0,519.0,8.0,,22.0,18.0,13.0,24.0,6.0,321.0,8.0,13.0,8.0,111.0,32.0,10.0,20.0,15.0,1.0,17.0,4.0,1.0,3.0,,2.0,1.0,4.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,,2.0,3.0,,1.0,,1.0,2.0,1.0,,1.0,1.0,,,1.0,,,,,,3.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
21,360670,2012-01-14 15:00:00,"Ewood Park, Blackburn",18003,Away,Fulham,Blackburn Rovers,1,3,L,0,1,0,1,1.0,42.0,1.0,46.0,8.0,10.0,5.0,2.0,132.0,11.0,2.0,4.0,15.0,5.0,151.0,133.0,32.0,3.0,18.0,2.0,3.0,2.0,2.0,2.0,43.0,5.0,3.0,8.0,13.0,23.0,307.0,2.0,,0.0,199.0,11.0,1.0,1.0,87.0,84.0,8.0,71.0,,35.0,3.0,14.0,6.0,128.0,,8.0,138.0,669.0,11.0,3.0,1.0,13.0,19.0,3.0,1.0,1.0,3.0,7.0,18.0,69.0,,9493,5.0,137.0,,20.0,,1.0,148.0,9.0,38.0,1.0,,1.0,3.0,13.0,6.0,8.0,2.0,56.0,433.0,14.0,4.0,3.0,8.0,68.0,,0.0,1.0,,3.0,3.0,,0.0,11.0,3.0,60.4,18.0,1.0,1.0,,3.0,3.0,53.0,9.0,2.0,492.0,11.0,1.0,15.0,16.0,10.0,26.0,3.0,387.0,10.0,13.0,8.0,163.0,17.0,,8.0,14.0,3.0,8.0,9.0,1.0,,,4.0,2.0,2.0,,4.0,,1.0,1.0,3.0,1.0,,3.0,2.0,,3.0,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,
22,360682,2012-01-21 15:00:00,"Craven Cottage, London",25692,Home,Fulham,Newcastle United,5,2,W,0,1,0,0,2.0,64.0,,28.0,34.0,3.0,3.0,2.0,158.0,1.0,4.0,4.0,7.0,9.0,69.0,173.0,55.0,,12.0,,13.0,3.0,1.0,,6.0,21.0,19.0,2.0,7.0,41.0,129.0,1.0,,0.0,97.0,11.0,1.0,1.0,27.0,54.0,5.0,65.0,1.0,4.0,,2.0,3.0,158.0,2.0,5.0,69.0,565.0,4.0,8.0,,15.0,28.0,11.0,15.0,0.0,3.0,2.0,19.0,61.0,2.0,9493,4.0,140.0,,1.0,,1.0,159.0,10.0,55.0,,2.0,8.0,3.0,22.0,12.0,5.0,,52.0,268.0,13.0,10.0,1.0,22.0,100.0,,0.0,,6.0,2.0,2.0,,0.0,,,44.3,16.0,,1.0,,3.0,,58.0,2.0,1.0,361.0,9.0,,15.0,22.0,3.0,19.0,,208.0,8.0,7.0,14.0,54.0,21.0,10.0,24.0,7.0,3.0,11.0,2.0,1.0,4.0,,,1.0,3.0,,,,,3.0,2.0,3.0,1.0,2.0,1.0,,2.0,,,5.0,,1.0,1.0,,2.0,5.0,2.0,,4.0,,1.0,2.0,,2.0,1.0,1.0,,1.0,,4.0,3.0,,,,1.0,,,5.0,1.0,3.0,2.0,4.0,1.0,2.0,3.0,,,,,,2.0,,,,1.0,,,,,1.0,,,,,,
23,360698,2012-02-01 20:00:00,"Craven Cottage, London",25689,Home,Fulham,West Bromwich Albion,1,1,D,0,0,0,0,1.0,73.0,1.0,70.0,24.0,10.0,5.0,2.0,195.0,3.0,10.0,2.0,11.0,4.0,194.0,174.0,40.0,1.0,15.0,3.0,11.0,1.0,1.0,2.0,28.0,14.0,14.0,8.0,10.0,77.0,282.0,1.0,,0.0,205.0,6.0,1.0,1.0,77.0,84.0,6.0,92.0,1.0,20.0,1.0,11.0,5.0,164.0,1.0,7.0,172.0,865.0,8.0,10.0,,17.0,24.0,4.0,9.0,1.0,4.0,5.0,22.0,93.0,1.0,9493,3.0,273.0,1.0,8.0,,,291.0,7.0,41.0,,1.0,1.0,8.0,11.0,7.0,2.0,1.0,100.0,552.0,7.0,6.0,2.0,19.0,94.0,3.0,0.0,2.0,7.0,2.0,2.0,,0.0,2.0,2.0,62.3,21.0,2.0,,,8.0,4.0,55.0,8.0,1.0,653.0,14.0,,10.0,44.0,7.0,30.0,2.0,390.0,8.0,10.0,6.0,140.0,31.0,6.0,17.0,12.0,,18.0,8.0,,2.0,,3.0,2.0,3.0,,2.0,,1.0,,1.0,4.0,1.0,5.0,1.0,,5.0,,,1.0,,1.0,,,1.0,1.0,1.0,3.0,1.0,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,360702,2012-02-04 17:30:00,"Etihad Stadium, Manchester",46963,Away,Fulham,Manchester City,0,3,L,0,2,0,0,1.0,45.0,,28.0,16.0,9.0,3.0,4.0,165.0,1.0,7.0,1.0,9.0,5.0,157.0,124.0,39.0,1.0,13.0,3.0,8.0,2.0,2.0,3.0,18.0,14.0,6.0,6.0,3.0,36.0,257.0,,,0.0,140.0,7.0,,1.0,54.0,76.0,7.0,101.0,,12.0,1.0,2.0,3.0,114.0,,11.0,149.0,738.0,8.0,5.0,,17.0,16.0,4.0,4.0,3.0,6.0,2.0,12.0,39.0,,9493,1.0,249.0,,10.0,,,269.0,9.0,40.0,,,1.0,7.0,9.0,6.0,7.0,,48.0,505.0,8.0,7.0,1.0,17.0,86.0,,0.0,,4.0,2.0,1.0,,0.0,,1.0,53.1,12.0,1.0,1.0,,7.0,3.0,63.0,6.0,1.0,572.0,13.0,,10.0,26.0,5.0,14.0,2.0,321.0,9.0,3.0,4.0,114.0,19.0,,20.0,10.0,3.0,15.0,6.0,,,,5.0,3.0,1.0,1.0,5.0,,,1.0,3.0,,1.0,1.0,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,1.0,,,
25,360713,2012-02-11 15:00:00,"Craven Cottage, London",23555,Home,Fulham,Stoke City,2,1,W,2,0,0,0,,50.0,,27.0,35.0,5.0,4.0,2.0,187.0,2.0,5.0,1.0,9.0,3.0,104.0,203.0,42.0,,10.0,2.0,21.0,1.0,,,12.0,11.0,16.0,4.0,6.0,45.0,136.0,,,0.0,109.0,13.0,,,44.0,45.0,5.0,58.0,3.0,8.0,,3.0,2.0,184.0,1.0,8.0,97.0,624.0,7.0,14.0,,17.0,29.0,5.0,14.0,1.0,3.0,4.0,24.0,55.0,,9493,1.0,177.0,1.0,5.0,,2.0,225.0,19.0,50.0,1.0,,2.0,2.0,10.0,5.0,13.0,1.0,58.0,311.0,7.0,3.0,1.0,36.0,101.0,4.0,0.0,1.0,4.0,,,,0.0,1.0,1.0,53.2,18.0,1.0,1.0,1.0,2.0,2.0,47.0,5.0,,446.0,15.0,,8.0,21.0,5.0,17.0,2.0,233.0,5.0,5.0,16.0,63.0,16.0,6.0,14.0,7.0,3.0,11.0,5.0,1.0,1.0,,,1.0,,,5.0,,,1.0,1.0,1.0,1.0,3.0,1.0,,3.0,,,2.0,2.0,,,1.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
26,360725,2012-02-25 15:00:00,"Kiyan Prince Foundation Stadium, London",18015,Away,Fulham,Queens Park Rangers,1,0,W,1,0,0,1,1.0,51.0,2.0,34.0,28.0,2.0,5.0,,170.0,,9.0,2.0,6.0,2.0,119.0,171.0,52.0,,8.0,,7.0,1.0,,1.0,11.0,17.0,14.0,4.0,6.0,44.0,201.0,1.0,1.0,0.0,125.0,14.0,,,40.0,84.0,3.0,94.0,,7.0,,1.0,2.0,157.0,1.0,6.0,130.0,709.0,4.0,2.0,,21.0,25.0,4.0,9.0,4.0,2.0,3.0,26.0,61.0,,9493,2.0,214.0,,6.0,,,246.0,12.0,46.0,,1.0,4.0,5.0,10.0,11.0,6.0,,49.0,415.0,17.0,7.0,1.0,15.0,94.0,,0.0,2.0,6.0,,1.0,,0.0,,,55.8,21.0,,3.0,,6.0,2.0,57.0,5.0,,513.0,13.0,,13.0,18.0,4.0,19.0,2.0,278.0,3.0,4.0,6.0,80.0,22.0,4.0,20.0,6.0,3.0,16.0,5.0,2.0,7.0,,3.0,,1.0,,3.0,,,,,,,4.0,,,4.0,,,1.0,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,360730,2012-03-04 14:05:00,"Craven Cottage, London",24034,Home,Fulham,Wolverhampton Wanderers,5,0,W,2,0,0,0,3.0,56.0,3.0,43.0,18.0,11.0,11.0,4.0,158.0,7.0,6.0,1.0,23.0,12.0,161.0,115.0,33.0,1.0,27.0,5.0,1.0,5.0,,3.0,21.0,7.0,13.0,4.0,5.0,40.0,286.0,,1.0,0.0,175.0,7.0,,2.0,57.0,116.0,16.0,96.0,4.0,17.0,1.0,5.0,3.0,110.0,4.0,8.0,152.0,751.0,16.0,1.0,,10.0,22.0,2.0,8.0,1.0,7.0,7.0,19.0,62.0,2.0,50117,11.0,230.0,2.0,12.0,,2.0,239.0,8.0,31.0,,2.0,4.0,10.0,9.0,5.0,6.0,,63.0,509.0,10.0,4.0,3.0,10.0,75.0,1.0,0.0,,7.0,,1.0,,0.0,4.0,2.0,58.2,15.0,1.0,3.0,,10.0,8.0,42.0,7.0,2.0,567.0,5.0,,12.0,20.0,7.0,23.0,3.0,349.0,14.0,5.0,4.0,146.0,18.0,5.0,13.0,20.0,3.0,13.0,7.0,,1.0,2.0,,2.0,,3.0,1.0,,2.0,1.0,,2.0,3.0,4.0,,,4.0,1.0,1.0,5.0,1.0,,,1.0,4.0,5.0,4.0,,5.0,1.0,,,2.0,3.0,,1.0,,,,2.0,4.0,,1.0,,2.0,,,3.0,1.0,5.0,,5.0,,,5.0,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,,,,,,,
