gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,secondYellow,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attIboxBlocked,attCmissRight,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,attOboxGoal,freekickCross,attMissRight,attOboxMiss,bigChanceCreated,contentiousDecision,attHdTarget,offtargetAttAssist,accurateFreekickCross,errorLeadToShot,attBxCentre,bigChanceMissed,attSetpiece,attRfGoal,accurateKeeperThrows,goalsOpenplay,attSvLowRight,possWonAtt3rd,keeperThrows,shotOffTarget,attIboxMiss,forwardGoals,errorLeadToGoal,bigChanceScored,attGoalLowRight,attLfGoal,attRfTarget,shotFastbreak,attGoalHighRight,attOneOnOne,attMissHighRight,totalFastbreak,midfielderGoals,hitWoodwork,accurateThroughBall,totalThroughBall,attMissHigh,attFastbreak,attBxLeft,penaltySave,accuratePullBack,postScoringAtt,attIboxPost,cleanSheet,attHdPost,penaltyConceded,totalPullBack,attCmissHigh,attAssistSetplay,attCmissLeft,attPostHigh,attHdMiss,penaltyFaced,attGoalLowCentre,penaltyWon,attPenGoal,clearanceOffLine,penGoalsConceded,attMissHighLeft,sixYardBlock,punches,foulThrowIn,attSvHighCentre,attFreekickTotal,attSvHighLeft,freekickTotal,attFreekickMiss,attSvHighRight,attPostLeft,attFreekickGoal,attOboxPost,attGoalHighCentre,attCmissHighRight,attemptsIbox,ptsGainedLosingPos,attemptsObox,touchesInOppBox,attCorner,attCmissHighLeft,attObxLeft,attPostRight,attGoalHighLeft,attFreekickTarget,attPenTarget
11,755405,2014-11-08 15:00:00,"Old Trafford, Manchester",75325,Away,Crystal Palace,Manchester United,0,1,L,0,0,0,0,1.0,1.0,67.0,,1.0,,,26.0,31.0,3.0,2.0,3.0,130.0,3.0,3.0,,2.0,5.0,1.0,45.0,138.0,55.0,6.0,1.0,20.0,1.0,14.0,20.0,1.0,31.0,4.0,14.0,15.0,85.0,0.0,85.0,12.0,1.0,1.0,3.0,42.0,28.0,4.0,40.0,2.0,10.0,17.0,1.0,,138.0,8.0,45.0,445.0,,4.0,9.0,6.0,160.0,36.0,15.0,16.0,,1.0,3.0,12.0,20.0,240.0,51.0,7906,86.0,7.0,106.0,7.0,17.0,8.0,59.0,,,10.0,15.0,2.0,71.0,168.0,7.0,12.0,46.0,78.0,0.0,1.0,11.0,3.0,,1.0,2.0,0.0,2.0,,,,28.6,12.0,3.0,33.0,4.0,3.0,260.0,6.0,4.0,8.0,8.0,1.0,168.0,3.0,10.0,19.0,44.0,19.0,3.0,16.0,26.0,,,5.0,3.0,15.0,3.0,12.0,4.0,1.0,2.0,,,1.0,,,,,2.0,,1.0,1.0,,,1.0,1.0,,2.0,1.0,,,5.0,,,1.0,5.0,2.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,755416,2014-11-23 13:30:00,"Selhurst Park, London",24862,Home,Crystal Palace,Liverpool,3,1,W,1,1,0,0,,,58.0,,,,,19.0,25.0,9.0,6.0,,134.0,2.0,7.0,3.0,2.0,11.0,5.0,71.0,142.0,51.0,15.0,3.0,24.0,5.0,24.0,15.0,2.0,25.0,4.0,6.0,26.0,121.0,0.0,118.0,21.0,,,3.0,62.0,38.0,7.0,36.0,1.0,20.0,8.0,7.0,,142.0,7.0,50.0,470.0,,10.0,9.0,12.0,194.0,19.0,1.0,12.0,1.0,5.0,1.0,2.0,25.0,264.0,57.0,82403,86.0,13.0,95.0,12.0,8.0,9.0,58.0,,2.0,11.0,5.0,5.0,59.0,205.0,9.0,5.0,19.0,71.0,0.0,2.0,3.0,,2.0,1.0,3.0,0.0,2.0,1.0,,,36.4,16.0,6.0,27.0,4.0,4.0,291.0,12.0,5.0,10.0,19.0,,220.0,9.0,6.0,19.0,73.0,27.0,3.0,12.0,17.0,,1.0,13.0,3.0,12.0,3.0,3.0,4.0,,3.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,,4.0,,1.0,2.0,,,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,,2.0,,1.0,2.0,1.0,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,,,1.0,,,,,,,,,,,,2.0,,,,,1.0,,1.0,,,2.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,
13,755429,2014-11-29 15:00:00,"Swansea.com Stadium, Swansea",20240,Away,Crystal Palace,Swansea City,1,1,D,1,1,0,0,3.0,1.0,63.0,,1.0,,,29.0,31.0,7.0,2.0,3.0,134.0,2.0,10.0,1.0,2.0,8.0,5.0,55.0,155.0,60.0,11.0,1.0,21.0,,15.0,17.0,3.0,31.0,6.0,13.0,23.0,129.0,0.0,91.0,12.0,,,2.0,33.0,44.0,5.0,47.0,1.0,9.0,15.0,2.0,,155.0,8.0,66.0,510.0,,7.0,18.0,15.0,192.0,24.0,6.0,21.0,,,2.0,3.0,24.0,269.0,46.0,82403,83.0,7.0,112.0,4.0,15.0,19.0,58.0,,1.0,18.0,10.0,10.0,63.0,210.0,6.0,12.0,21.0,70.0,0.0,3.0,4.0,2.0,1.0,1.0,3.0,0.0,1.0,,1.0,,35.7,12.0,3.0,38.0,6.0,3.0,302.0,15.0,5.0,11.0,12.0,1.0,205.0,8.0,12.0,20.0,58.0,28.0,4.0,21.0,24.0,,1.0,9.0,3.0,21.0,4.0,8.0,6.0,,2.0,1.0,1.0,1.0,,2.0,,,,2.0,3.0,,,,3.0,,1.0,3.0,1.0,,1.0,,,,4.0,,3.0,,,1.0,1.0,,,3.0,,,,,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,
14,755435,2014-12-02 20:00:00,"Selhurst Park, London",23935,Home,Crystal Palace,Aston Villa,0,1,L,0,1,0,0,1.0,1.0,66.0,,1.0,,,31.0,30.0,8.0,2.0,2.0,169.0,10.0,11.0,,3.0,12.0,5.0,50.0,210.0,62.0,17.0,4.0,21.0,2.0,35.0,12.0,2.0,30.0,8.0,15.0,35.0,177.0,0.0,161.0,16.0,1.0,,1.0,69.0,66.0,9.0,53.0,,27.0,14.0,5.0,,210.0,1.0,69.0,602.0,,10.0,12.0,22.0,212.0,15.0,12.0,22.0,,2.0,2.0,1.0,40.0,317.0,80.0,82403,58.0,20.0,74.0,9.0,14.0,5.0,81.0,,3.0,14.0,4.0,4.0,82.0,225.0,14.0,6.0,44.0,91.0,0.0,1.0,2.0,1.0,,1.0,6.0,0.0,8.0,,3.0,2.0,46.2,29.0,6.0,41.0,8.0,1.0,341.0,22.0,11.0,13.0,28.0,2.0,302.0,13.0,13.0,23.0,96.0,42.0,1.0,22.0,15.0,,,13.0,2.0,40.0,1.0,5.0,8.0,1.0,2.0,,3.0,1.0,,2.0,1.0,,2.0,3.0,2.0,,1.0,,3.0,1.0,,4.0,,,,,,1.0,7.0,,6.0,4.0,,1.0,,,,4.0,,,,1.0,2.0,,,,1.0,1.0,,3.0,,,,,,,,1.0,,2.0,,,2.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,
15,755451,2014-12-06 15:00:00,"White Hart Lane, London",35860,Away,Crystal Palace,Tottenham Hotspur,0,0,D,0,0,0,0,,1.0,74.0,,1.0,,,24.0,22.0,4.0,6.0,2.0,134.0,1.0,10.0,,2.0,10.0,4.0,49.0,180.0,75.0,16.0,1.0,29.0,1.0,25.0,27.0,2.0,22.0,9.0,10.0,34.0,116.0,0.0,102.0,10.0,,2.0,2.0,60.0,34.0,6.0,42.0,1.0,16.0,24.0,3.0,,180.0,9.0,49.0,505.0,,9.0,14.0,17.0,158.0,32.0,5.0,13.0,,1.0,0.0,4.0,19.0,240.0,64.0,82403,59.0,12.0,78.0,6.0,24.0,12.0,73.0,,4.0,10.0,5.0,5.0,74.0,174.0,11.0,6.0,32.0,79.0,0.0,4.0,2.0,2.0,,,2.0,0.0,,,,1.0,32.4,10.0,6.0,36.0,12.0,2.0,274.0,17.0,10.0,15.0,12.0,1.0,221.0,9.0,10.0,24.0,60.0,28.0,2.0,13.0,31.0,,,10.0,1.0,29.0,2.0,13.0,12.0,,5.0,,2.0,3.0,,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,4.0,,,5.0,1.0,1.0,,,,1.0,4.0,,6.0,5.0,,,,,,2.0,,,,1.0,1.0,,1.0,,,2.0,,3.0,,2.0,,,1.0,,,2.0,2.0,1.0,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
16,755456,2014-12-13 15:00:00,"Selhurst Park, London",23038,Home,Crystal Palace,Stoke City,1,1,D,1,1,0,0,,2.0,70.0,,,,,17.0,31.0,5.0,4.0,2.0,153.0,2.0,6.0,1.0,3.0,7.0,3.0,65.0,189.0,77.0,10.0,3.0,32.0,1.0,24.0,17.0,1.0,31.0,7.0,18.0,39.0,110.0,0.0,104.0,12.0,1.0,2.0,2.0,59.0,48.0,6.0,46.0,,17.0,17.0,3.0,,189.0,5.0,52.0,530.0,,4.0,3.0,13.0,192.0,28.0,6.0,27.0,1.0,1.0,2.0,4.0,27.0,296.0,65.0,82403,91.0,12.0,114.0,5.0,17.0,2.0,72.0,,1.0,14.0,2.0,,75.0,199.0,11.0,7.0,38.0,93.0,0.0,2.0,8.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,,1.0,43.9,15.0,5.0,42.0,9.0,2.0,316.0,13.0,8.0,12.0,16.0,1.0,226.0,5.0,17.0,38.0,45.0,30.0,5.0,27.0,25.0,1.0,1.0,7.0,3.0,19.0,5.0,11.0,9.0,,2.0,,1.0,1.0,1.0,,,,2.0,,1.0,,1.0,,1.0,,,3.0,,2.0,,,1.0,,7.0,,2.0,1.0,,,,,,,,1.0,,1.0,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,755466,2014-12-20 12:45:00,"Etihad Stadium, Manchester",45302,Away,Crystal Palace,Manchester City,0,3,L,0,0,0,0,,,48.0,,,,,18.0,20.0,2.0,2.0,,134.0,4.0,14.0,,3.0,4.0,1.0,54.0,139.0,68.0,6.0,1.0,19.0,2.0,18.0,15.0,,20.0,6.0,6.0,27.0,115.0,0.0,101.0,5.0,,,,58.0,19.0,2.0,41.0,8.0,12.0,15.0,4.0,,139.0,10.0,44.0,459.0,,3.0,13.0,27.0,165.0,21.0,7.0,8.0,,2.0,1.0,4.0,13.0,236.0,50.0,82403,68.0,5.0,84.0,4.0,15.0,13.0,50.0,,1.0,4.0,5.0,5.0,62.0,179.0,16.0,8.0,30.0,72.0,0.0,2.0,8.0,,,3.0,7.0,0.0,2.0,,,1.0,27.5,7.0,1.0,28.0,6.0,,273.0,27.0,6.0,10.0,17.0,2.0,207.0,3.0,6.0,17.0,63.0,19.0,8.0,8.0,21.0,,3.0,1.0,3.0,26.0,8.0,9.0,6.0,,,1.0,1.0,,,,1.0,,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,3.0,,,,,3.0,,4.0,3.0,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
18,755476,2014-12-26 15:00:00,"Selhurst Park, London",24565,Home,Crystal Palace,Southampton,1,3,L,0,1,0,0,1.0,1.0,40.0,1.0,2.0,1.0,1.0,32.0,20.0,7.0,7.0,3.0,179.0,5.0,4.0,1.0,4.0,7.0,4.0,62.0,197.0,48.0,12.0,2.0,20.0,2.0,30.0,11.0,3.0,20.0,8.0,8.0,44.0,162.0,0.0,154.0,15.0,1.0,,,51.0,63.0,4.0,72.0,3.0,22.0,15.0,7.0,,197.0,7.0,61.0,569.0,,5.0,9.0,11.0,240.0,9.0,10.0,9.0,1.0,2.0,1.0,2.0,32.0,349.0,78.0,82403,98.0,13.0,126.0,9.0,15.0,6.0,66.0,1.0,2.0,11.0,6.0,3.0,81.0,255.0,10.0,9.0,30.0,88.0,0.0,1.0,4.0,1.0,1.0,3.0,4.0,0.0,5.0,1.0,1.0,2.0,42.9,17.0,4.0,30.0,8.0,,374.0,11.0,18.0,19.0,22.0,,278.0,3.0,5.0,22.0,96.0,18.0,5.0,9.0,13.0,1.0,3.0,9.0,3.0,9.0,5.0,7.0,8.0,,2.0,,,2.0,,,,,2.0,2.0,2.0,,,,3.0,1.0,1.0,1.0,,2.0,,1.0,,2.0,6.0,1.0,4.0,2.0,,,,,,2.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
19,755488,2014-12-28 15:00:00,"MATRADE Loftus Road, London",18011,Away,Crystal Palace,Queens Park Rangers,0,0,D,0,0,0,0,,1.0,70.0,,2.0,,,23.0,63.0,6.0,5.0,2.0,178.0,4.0,10.0,,,8.0,3.0,55.0,194.0,71.0,10.0,,18.0,,15.0,18.0,2.0,63.0,3.0,11.0,35.0,154.0,0.0,169.0,17.0,1.0,1.0,2.0,107.0,47.0,3.0,52.0,2.0,12.0,19.0,3.0,,194.0,5.0,54.0,586.0,,7.0,15.0,11.0,208.0,23.0,7.0,44.0,,,1.0,7.0,26.0,313.0,88.0,82403,68.0,8.0,80.0,6.0,19.0,6.0,66.0,,,13.0,6.0,4.0,84.0,218.0,9.0,3.0,44.0,85.0,0.0,3.0,9.0,1.0,,,8.0,0.0,3.0,,,1.0,46.1,9.0,1.0,26.0,4.0,3.0,339.0,11.0,9.0,13.0,20.0,1.0,274.0,4.0,10.0,33.0,99.0,33.0,3.0,44.0,19.0,,,8.0,1.0,30.0,3.0,14.0,4.0,,1.0,,1.0,1.0,,,2.0,,1.0,1.0,3.0,,2.0,,5.0,1.0,,2.0,,1.0,,1.0,,,5.0,1.0,6.0,2.0,,,,,,2.0,,,,,1.0,,1.0,1.0,1.0,2.0,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,
20,755493,2015-01-01 15:00:00,"Villa Park, Birmingham",29047,Away,Crystal Palace,Aston Villa,0,0,D,0,0,0,0,,,55.0,,1.0,,,29.0,37.0,4.0,2.0,3.0,124.0,,9.0,,3.0,5.0,,50.0,129.0,57.0,6.0,1.0,14.0,,9.0,17.0,,37.0,2.0,4.0,28.0,113.0,0.0,90.0,12.0,2.0,,1.0,50.0,24.0,2.0,41.0,1.0,7.0,9.0,2.0,,129.0,8.0,56.0,462.0,,4.0,15.0,14.0,185.0,28.0,9.0,18.0,,,1.0,4.0,21.0,244.0,53.0,82403,89.0,3.0,103.0,7.0,9.0,13.0,60.0,,3.0,15.0,6.0,10.0,63.0,202.0,11.0,9.0,23.0,69.0,0.0,1.0,5.0,2.0,,,8.0,0.0,,,1.0,,30.8,15.0,2.0,37.0,2.0,1.0,271.0,14.0,16.0,9.0,20.0,,177.0,4.0,4.0,16.0,54.0,22.0,1.0,18.0,22.0,,,6.0,2.0,18.0,1.0,4.0,2.0,,1.0,,,,,,,,2.0,,3.0,1.0,,,3.0,,1.0,2.0,1.0,,,,,,1.0,,4.0,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
21,755506,2015-01-10 17:30:00,"Selhurst Park, London",24193,Home,Crystal Palace,Tottenham Hotspur,2,1,W,0,0,0,0,,,79.0,1.0,3.0,,,31.0,38.0,6.0,5.0,4.0,171.0,7.0,9.0,2.0,3.0,16.0,7.0,76.0,160.0,72.0,21.0,3.0,19.0,,21.0,25.0,,38.0,4.0,9.0,41.0,132.0,0.0,95.0,9.0,1.0,1.0,3.0,56.0,39.0,10.0,50.0,1.0,17.0,12.0,7.0,,160.0,4.0,74.0,607.0,,13.0,10.0,14.0,262.0,33.0,13.0,28.0,,,5.0,1.0,13.0,343.0,68.0,82403,149.0,8.0,164.0,6.0,12.0,7.0,55.0,,4.0,24.0,5.0,3.0,79.0,274.0,14.0,9.0,30.0,102.0,0.0,,6.0,1.0,2.0,1.0,4.0,0.0,5.0,,,3.0,41.6,10.0,7.0,55.0,4.0,3.0,371.0,14.0,4.0,19.0,23.0,2.0,228.0,13.0,7.0,21.0,54.0,32.0,3.0,28.0,30.0,,1.0,11.0,3.0,23.0,3.0,10.0,4.0,,4.0,,5.0,2.0,,3.0,2.0,,2.0,1.0,3.0,2.0,2.0,1.0,6.0,2.0,,11.0,2.0,5.0,1.0,4.0,1.0,,2.0,4.0,7.0,4.0,,,1.0,1.0,1.0,4.0,3.0,,1.0,1.0,3.0,2.0,,1.0,1.0,1.0,3.0,,,,,,,,,,,3.0,1.0,,2.0,,,1.0,1.0,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
22,755514,2015-01-17 15:00:00,"Turf Moor, Burnley",17782,Away,Crystal Palace,Burnley,3,2,W,1,2,0,0,,,68.0,1.0,,,,31.0,64.0,4.0,5.0,1.0,166.0,7.0,3.0,3.0,2.0,7.0,4.0,70.0,189.0,54.0,11.0,1.0,29.0,,26.0,8.0,1.0,64.0,7.0,12.0,30.0,127.0,0.0,99.0,20.0,,,1.0,52.0,68.0,5.0,49.0,1.0,19.0,18.0,9.0,,189.0,6.0,76.0,600.0,,5.0,18.0,20.0,230.0,29.0,15.0,43.0,2.0,,3.0,4.0,34.0,340.0,55.0,82403,120.0,8.0,149.0,9.0,18.0,7.0,77.0,,1.0,16.0,2.0,3.0,77.0,240.0,10.0,5.0,43.0,92.0,0.0,,5.0,2.0,2.0,2.0,4.0,0.0,4.0,1.0,1.0,1.0,49.2,28.0,2.0,47.0,7.0,1.0,361.0,20.0,12.0,14.0,28.0,3.0,238.0,5.0,11.0,34.0,50.0,31.0,2.0,43.0,9.0,,2.0,6.0,3.0,17.0,2.0,5.0,8.0,,1.0,2.0,,,2.0,,1.0,1.0,2.0,3.0,1.0,,1.0,,2.0,,,5.0,,,2.0,,3.0,1.0,4.0,,5.0,3.0,2.0,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,7.0,3.0,4.0,19.0,5.0,,,,,,
23,755525,2015-01-31 15:00:00,"Selhurst Park, London",25197,Home,Crystal Palace,Everton,0,1,L,0,1,0,0,,1.0,73.0,,,,,38.0,28.0,7.0,7.0,1.0,168.0,6.0,10.0,,4.0,9.0,3.0,106.0,165.0,75.0,13.0,3.0,18.0,3.0,38.0,17.0,2.0,28.0,5.0,21.0,45.0,209.0,0.0,151.0,12.0,1.0,,1.0,69.0,63.0,4.0,63.0,2.0,33.0,18.0,15.0,,165.0,7.0,104.0,676.0,,9.0,13.0,24.0,327.0,25.0,10.0,19.0,,3.0,0.0,6.0,30.0,414.0,75.0,82403,141.0,16.0,152.0,4.0,18.0,11.0,62.0,,,10.0,7.0,5.0,81.0,344.0,14.0,9.0,28.0,79.0,0.0,,1.0,1.0,,1.0,4.0,0.0,6.0,,,1.0,54.1,28.0,5.0,37.0,6.0,1.0,441.0,24.0,10.0,19.0,39.0,,327.0,5.0,19.0,32.0,97.0,42.0,,19.0,21.0,,1.0,8.0,3.0,24.0,,7.0,6.0,,2.0,,1.0,,,1.0,1.0,,2.0,,2.0,,1.0,,5.0,1.0,1.0,5.0,1.0,3.0,,1.0,,2.0,3.0,1.0,5.0,3.0,,1.0,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
24,755536,2015-02-07 15:00:00,"King Power Stadium, Leicester",31695,Away,Crystal Palace,Leicester City,1,0,W,0,0,0,0,,1.0,80.0,,,1.0,,26.0,68.0,4.0,8.0,5.0,147.0,6.0,9.0,1.0,2.0,9.0,2.0,53.0,158.0,98.0,14.0,2.0,33.0,1.0,20.0,21.0,1.0,68.0,5.0,10.0,32.0,108.0,0.0,88.0,6.0,3.0,,1.0,45.0,31.0,4.0,38.0,4.0,15.0,17.0,1.0,,158.0,14.0,57.0,550.0,,6.0,12.0,22.0,179.0,34.0,9.0,54.0,1.0,2.0,1.0,6.0,17.0,269.0,51.0,82403,89.0,12.0,115.0,2.0,17.0,7.0,70.0,,4.0,10.0,5.0,3.0,70.0,191.0,14.0,14.0,31.0,87.0,0.0,3.0,8.0,5.0,1.0,,2.0,0.0,3.0,1.0,1.0,2.0,37.8,11.0,4.0,40.0,6.0,1.0,295.0,22.0,5.0,17.0,16.0,3.0,200.0,4.0,10.0,52.0,45.0,33.0,2.0,54.0,24.0,1.0,,7.0,3.0,21.0,2.0,6.0,6.0,,2.0,1.0,,1.0,,1.0,2.0,,2.0,1.0,1.0,1.0,,,5.0,,2.0,5.0,,2.0,,1.0,,,6.0,1.0,8.0,7.0,,,1.0,,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,1.0,,,,,2.0,2.0,,1.0,,,,,,,4.0,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,
25,755544,2015-02-11 20:00:00,"Selhurst Park, London",25118,Home,Crystal Palace,Newcastle United,1,1,D,0,1,0,0,,,62.0,,,,,26.0,30.0,,1.0,,163.0,6.0,7.0,1.0,4.0,7.0,3.0,96.0,182.0,72.0,7.0,,23.0,,22.0,21.0,,30.0,5.0,14.0,50.0,156.0,0.0,134.0,10.0,,1.0,2.0,52.0,70.0,4.0,69.0,1.0,17.0,19.0,9.0,,182.0,1.0,89.0,647.0,,2.0,11.0,19.0,290.0,25.0,6.0,20.0,1.0,,1.0,1.0,41.0,398.0,69.0,82403,150.0,5.0,173.0,7.0,19.0,7.0,59.0,,6.0,13.0,4.0,4.0,78.0,300.0,11.0,8.0,29.0,94.0,0.0,2.0,2.0,,1.0,1.0,1.0,0.0,4.0,1.0,,4.0,53.5,31.0,1.0,47.0,5.0,2.0,417.0,19.0,7.0,17.0,17.0,2.0,266.0,2.0,13.0,27.0,70.0,31.0,4.0,20.0,27.0,,1.0,3.0,3.0,18.0,4.0,5.0,5.0,,1.0,,2.0,,1.0,,,,3.0,1.0,,1.0,,1.0,3.0,2.0,,6.0,,2.0,,1.0,1.0,1.0,3.0,1.0,3.0,3.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,4.0,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
26,755555,2015-02-21 15:00:00,"Selhurst Park, London",24721,Home,Crystal Palace,Arsenal,1,2,L,0,2,0,0,1.0,,79.0,,,,,30.0,20.0,5.0,2.0,2.0,182.0,11.0,11.0,1.0,7.0,11.0,3.0,60.0,199.0,71.0,22.0,2.0,35.0,4.0,51.0,17.0,1.0,20.0,9.0,14.0,37.0,166.0,0.0,152.0,15.0,,,1.0,67.0,62.0,5.0,56.0,2.0,42.0,25.0,10.0,,199.0,7.0,68.0,636.0,,8.0,11.0,21.0,239.0,24.0,12.0,13.0,,4.0,1.0,3.0,33.0,347.0,76.0,82403,95.0,26.0,116.0,9.0,25.0,3.0,87.0,,3.0,12.0,5.0,,76.0,250.0,14.0,18.0,42.0,80.0,0.0,3.0,1.0,2.0,1.0,2.0,4.0,0.0,6.0,,1.0,5.0,52.9,29.0,10.0,39.0,10.0,1.0,366.0,21.0,6.0,22.0,33.0,5.0,301.0,13.0,10.0,28.0,88.0,34.0,1.0,13.0,21.0,,2.0,12.0,3.0,26.0,1.0,14.0,10.0,,8.0,,1.0,1.0,,2.0,2.0,,6.0,2.0,3.0,1.0,,1.0,6.0,,,7.0,1.0,2.0,1.0,5.0,,,12.0,5.0,9.0,5.0,,,1.0,1.0,,1.0,,,,3.0,,,1.0,,,1.0,,2.0,,,1.0,1.0,,1.0,1.0,,1.0,3.0,1.0,,3.0,1.0,,,,,1.0,,4.0,,,,2.0,,2.0,2.0,,,,,,,,,,,,,1.0,1.0,,,
27,755572,2015-02-28 12:45:00,"Boleyn Ground, London",34857,Away,Crystal Palace,West Ham United,3,1,W,1,0,1,0,,1.0,55.0,,2.0,3.0,3.0,24.0,54.0,3.0,1.0,4.0,124.0,9.0,3.0,3.0,3.0,9.0,5.0,28.0,136.0,63.0,12.0,2.0,21.0,1.0,19.0,18.0,,54.0,7.0,6.0,19.0,87.0,0.0,66.0,19.0,3.0,,5.0,47.0,18.0,7.0,23.0,1.0,12.0,10.0,,1.0,136.0,13.0,40.0,436.0,,3.0,16.0,7.0,116.0,24.0,5.0,34.0,3.0,1.0,2.0,6.0,18.0,188.0,41.0,82403,52.0,10.0,67.0,6.0,10.0,13.0,61.0,1.0,6.0,14.0,9.0,8.0,63.0,130.0,11.0,6.0,27.0,66.0,0.0,1.0,11.0,2.0,3.0,1.0,6.0,1.0,4.0,3.0,1.0,4.0,33.6,13.0,4.0,27.0,7.0,5.0,215.0,7.0,6.0,8.0,18.0,5.0,167.0,6.0,4.0,26.0,34.0,20.0,5.0,34.0,23.0,3.0,,3.0,3.0,12.0,5.0,5.0,7.0,1.0,2.0,1.0,2.0,2.0,,1.0,1.0,,2.0,1.0,1.0,1.0,,,2.0,2.0,,3.0,,2.0,,2.0,,1.0,2.0,2.0,3.0,2.0,2.0,,1.0,2.0,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,3.0,1.0,,1.0,,,,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,
