gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,ownGoals,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,shotFastbreak,accurateKeeperSweeper,attMissHighRight,totalFastbreak,attSvHighLeft,totalKeeperSweeper,outfielderBlock,accurateFreekickCross,attSetpiece,totalPullBack,totalOffside,attFastbreak,accurateFlickOn,attCmissHighRight,shieldBallOop,errorLeadToGoal,goalsConcededObox,errorLeadToShot,attCmissHigh,attSvLowRight,attOneOnOne,sixYardBlock,handBall,attMissHighLeft,attCmissHighLeft,hitWoodwork,accurateThroughBall,totalThroughBall,punches,contentiousDecision,bigChanceScored,attGoalLowRight,goals,goalAssistOpenplay,attSvHighRight,goalAssist,attRfGoal,goalsOpenplay,attIboxGoal,attSvHighCentre,forwardGoals,attGoalLowLeft,postScoringAtt,penaltyWon,ptsGainedLosingPos,midfielderGoals,attPostLeft,attPenGoal,attOboxPost,penaltyConceded,goalAssistIntentional,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attGoalLowCentre,defenderGoals,cleanSheet,clearanceOffLine,goalAssistSetplay,attLfGoal,attPenTarget,attGoalHighRight,attCorner,goalFastbreak,attOboxGoal,attGoalHighLeft,attHdGoal,foulThrowIn,goalAssistDeadball,attGoalHighCentre,attObxRight,attIboxPost,attObxdLeft,attFreekickGoal,attFreekickPost,attHdPost,attPostHigh,attPostRight,attObxdRight
11,919001,2017-11-05 12:00:00,"Wembley Stadium, London",65270,Away,Crystal Palace,Tottenham Hotspur,0,1,L,0,0,0,0,1.0,58.0,1.0,1.0,27.0,41.0,4.0,2.0,7.0,1.0,,116.0,5.0,8.0,1.0,9.0,1.0,3.0,54.0,144.0,47.0,,11.0,2.0,16.0,3.0,2.0,,2.0,16.0,13.0,,41.0,9.0,9.0,22.0,97.0,0.0,81.0,7.0,,1.0,2.0,,47.0,49.0,4.0,37.0,2.0,2.0,7.0,11.0,4.0,,1.0,2.0,144.0,2.0,6.0,61.0,474.0,5.0,5.0,16.0,2.0,16.0,175.0,25.0,3.0,16.0,2.0,4.0,22.0,243.0,45.0,86417,3.0,93.0,3.0,4.0,112.0,3.0,11.0,10.0,49.0,,,11.0,6.0,2.0,1.0,68.0,185.0,6.0,7.0,3.0,21.0,65.0,1.0,0.0,,3.0,10.0,,1.0,0.0,1.0,4.0,31.6,10.0,2.0,2.0,1.0,,3.0,28.0,9.0,,268.0,16.0,,15.0,12.0,5.0,19.0,4.0,3.0,172.0,5.0,9.0,14.0,48.0,25.0,3.0,,16.0,19.0,,5.0,1.0,13.0,3.0,4.0,9.0,,2.0,,,2.0,,,4.0,1.0,,1.0,4.0,2.0,2.0,,,1.0,1.0,,,2.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,919007,2017-11-18 15:00:00,"Selhurst Park, London",25526,Home,Crystal Palace,Everton,2,2,D,2,2,0,0,2.0,59.0,1.0,1.0,27.0,16.0,7.0,5.0,9.0,3.0,3.0,219.0,8.0,13.0,10.0,9.0,1.0,7.0,128.0,179.0,66.0,1.0,16.0,3.0,17.0,2.0,,3.0,,29.0,9.0,3.0,16.0,9.0,29.0,38.0,272.0,0.0,186.0,9.0,2.0,2.0,6.0,,82.0,105.0,6.0,79.0,,2.0,20.0,16.0,7.0,1.0,4.0,1.0,179.0,3.0,6.0,113.0,777.0,6.0,5.0,31.0,,13.0,414.0,25.0,4.0,9.0,2.0,3.0,38.0,511.0,92.0,86417,7.0,175.0,2.0,10.0,200.0,3.0,16.0,3.0,69.0,,2.0,18.0,2.0,2.0,,64.0,439.0,25.0,9.0,2.0,23.0,83.0,,0.0,,3.0,4.0,2.0,2.0,0.0,5.0,2.0,68.7,36.0,2.0,3.0,1.0,2.0,4.0,57.0,9.0,,539.0,13.0,,22.0,15.0,5.0,41.0,3.0,4.0,368.0,9.0,27.0,16.0,133.0,27.0,,,9.0,12.0,2.0,10.0,2.0,25.0,,5.0,9.0,,,,2.0,,,,1.0,3.0,2.0,,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,2.0,2.0,2.0,2.0,1.0,,1.0,2.0,2.0,2.0,,1.0,,,,,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
13,919014,2017-11-25 15:00:00,"Selhurst Park, London",23723,Home,Crystal Palace,Stoke City,2,1,W,0,0,0,0,,61.0,,2.0,18.0,19.0,2.0,2.0,8.0,2.0,3.0,216.0,3.0,9.0,1.0,7.0,1.0,5.0,110.0,183.0,53.0,,10.0,1.0,15.0,3.0,,2.0,1.0,23.0,21.0,,19.0,5.0,14.0,36.0,213.0,0.0,173.0,9.0,2.0,,1.0,,33.0,103.0,5.0,73.0,1.0,1.0,18.0,20.0,2.0,,4.0,1.0,183.0,1.0,6.0,93.0,708.0,6.0,5.0,21.0,,11.0,368.0,29.0,2.0,4.0,1.0,2.0,38.0,477.0,75.0,86417,3.0,169.0,,13.0,196.0,6.0,20.0,8.0,57.0,,6.0,23.0,4.0,5.0,,48.0,379.0,4.0,13.0,,16.0,78.0,,0.0,,2.0,2.0,2.0,1.0,0.0,3.0,,54.0,35.0,,5.0,1.0,6.0,3.0,43.0,5.0,,492.0,11.0,,13.0,7.0,2.0,31.0,,1.0,319.0,7.0,14.0,14.0,115.0,21.0,3.0,,4.0,27.0,,7.0,1.0,16.0,3.0,9.0,5.0,1.0,,,,,,,1.0,,1.0,1.0,2.0,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,2.0,1.0,2.0,1.0,,1.0,2.0,1.0,2.0,,,,,,3.0,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14,919025,2017-11-28 19:45:00,"Amex Stadium, Falmer",29889,Away,Crystal Palace,Brighton and Hove Albion,0,0,D,0,0,0,0,,67.0,1.0,1.0,21.0,24.0,5.0,2.0,5.0,3.0,4.0,177.0,1.0,13.0,3.0,5.0,,4.0,78.0,163.0,61.0,1.0,10.0,,25.0,2.0,,2.0,2.0,16.0,7.0,2.0,24.0,4.0,16.0,24.0,134.0,0.0,102.0,8.0,3.0,1.0,3.0,1.0,26.0,48.0,3.0,59.0,,1.0,12.0,13.0,5.0,1.0,4.0,3.0,163.0,,6.0,91.0,586.0,4.0,11.0,17.0,,13.0,279.0,30.0,13.0,13.0,0.0,2.0,12.0,379.0,54.0,86417,3.0,162.0,1.0,5.0,191.0,4.0,13.0,10.0,58.0,,4.0,13.0,4.0,3.0,1.0,64.0,295.0,12.0,8.0,1.0,38.0,83.0,1.0,0.0,1.0,2.0,10.0,3.0,,0.0,,1.0,46.8,8.0,1.0,3.0,1.0,4.0,1.0,40.0,5.0,1.0,405.0,13.0,,15.0,9.0,5.0,26.0,1.0,2.0,230.0,7.0,11.0,28.0,53.0,25.0,6.0,,13.0,9.0,,5.0,1.0,17.0,6.0,8.0,5.0,,,1.0,,,,1.0,3.0,,,1.0,,,3.0,,1.0,,,,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
15,919042,2017-12-02 15:00:00,"The Hawthorns, West Bromwich",23531,Away,Crystal Palace,West Bromwich Albion,0,0,D,0,0,0,0,1.0,56.0,1.0,3.0,26.0,30.0,3.0,3.0,7.0,7.0,,158.0,7.0,10.0,2.0,9.0,,2.0,91.0,157.0,66.0,,10.0,2.0,27.0,2.0,,1.0,,22.0,12.0,,30.0,6.0,9.0,17.0,173.0,0.0,127.0,10.0,4.0,1.0,2.0,2.0,58.0,56.0,6.0,44.0,,,16.0,15.0,3.0,,5.0,1.0,157.0,1.0,15.0,87.0,592.0,6.0,13.0,22.0,1.0,9.0,256.0,30.0,8.0,12.0,1.0,3.0,24.0,349.0,64.0,86417,4.0,105.0,1.0,9.0,135.0,5.0,15.0,12.0,64.0,,3.0,14.0,5.0,5.0,2.0,74.0,271.0,10.0,12.0,3.0,39.0,71.0,,0.0,,1.0,3.0,5.0,,0.0,2.0,2.0,48.9,22.0,1.0,2.0,2.0,3.0,5.0,34.0,7.0,2.0,380.0,9.0,,7.0,7.0,3.0,28.0,5.0,2.0,267.0,4.0,7.0,31.0,77.0,15.0,4.0,,12.0,15.0,,6.0,1.0,18.0,4.0,9.0,7.0,,,1.0,1.0,,,1.0,6.0,,,,1.0,,5.0,,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
16,919044,2017-12-09 15:00:00,"Selhurst Park, London",24823,Home,Crystal Palace,Bournemouth,2,2,D,2,2,0,0,3.0,64.0,2.0,7.0,40.0,18.0,5.0,7.0,19.0,3.0,3.0,165.0,11.0,5.0,6.0,15.0,1.0,8.0,67.0,147.0,60.0,,24.0,1.0,12.0,4.0,1.0,1.0,3.0,28.0,9.0,2.0,18.0,6.0,12.0,38.0,168.0,0.0,145.0,14.0,1.0,3.0,3.0,,52.0,49.0,10.0,52.0,1.0,2.0,22.0,23.0,5.0,,5.0,2.0,147.0,3.0,5.0,61.0,561.0,12.0,10.0,55.0,,15.0,241.0,33.0,16.0,3.0,5.0,5.0,20.0,319.0,63.0,86417,11.0,100.0,3.0,14.0,117.0,5.0,23.0,8.0,53.0,,3.0,13.0,6.0,5.0,1.0,70.0,257.0,14.0,10.0,2.0,27.0,71.0,,0.0,,2.0,3.0,1.0,2.0,0.0,8.0,4.0,45.1,17.0,4.0,3.0,2.0,3.0,8.0,42.0,6.0,,345.0,15.0,,13.0,22.0,8.0,39.0,3.0,6.0,256.0,13.0,10.0,23.0,95.0,22.0,3.0,,3.0,18.0,2.0,13.0,3.0,11.0,3.0,11.0,6.0,,,,1.0,,,,3.0,2.0,5.0,,5.0,,1.0,1.0,,,,,,2.0,,1.0,2.0,1.0,,,,,1.0,1.0,2.0,,2.0,,,1.0,1.0,,2.0,,,,,2.0,1.0,1.0,,1.0,,,1.0,,,2.0,1.0,,,,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,
17,919054,2017-12-12 20:00:00,"Selhurst Park, London",23566,Home,Crystal Palace,Watford,2,1,W,0,1,0,1,1.0,70.0,,3.0,24.0,45.0,6.0,6.0,8.0,1.0,1.0,171.0,2.0,8.0,5.0,6.0,,4.0,86.0,155.0,72.0,1.0,14.0,1.0,16.0,1.0,,2.0,1.0,14.0,8.0,1.0,45.0,3.0,6.0,33.0,186.0,0.0,123.0,14.0,1.0,,2.0,1.0,70.0,66.0,3.0,60.0,1.0,2.0,11.0,12.0,6.0,1.0,2.0,4.0,155.0,,5.0,98.0,631.0,4.0,15.0,15.0,,9.0,299.0,20.0,6.0,25.0,2.0,3.0,21.0,388.0,50.0,86417,6.0,134.0,1.0,7.0,161.0,8.0,12.0,8.0,55.0,,6.0,15.0,2.0,4.0,1.0,57.0,318.0,18.0,4.0,2.0,21.0,78.0,1.0,0.0,,3.0,6.0,1.0,1.0,0.0,1.0,1.0,53.6,17.0,1.0,6.0,1.0,6.0,4.0,48.0,4.0,1.0,415.0,9.0,,12.0,19.0,6.0,25.0,1.0,2.0,268.0,6.0,4.0,35.0,80.0,37.0,,,25.0,13.0,1.0,11.0,3.0,17.0,,5.0,4.0,,,,,,,,2.0,1.0,1.0,1.0,3.0,,9.0,,2.0,,,1.0,1.0,,,1.0,,2.0,,,,1.0,,1.0,,1.0,2.0,,,,1.0,2.0,2.0,,,,,,3.0,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,919068,2017-12-16 12:30:00,"King Power Stadium, Leicester",31081,Away,Crystal Palace,Leicester City,3,0,W,2,0,0,1,1.0,66.0,,2.0,18.0,35.0,3.0,5.0,10.0,2.0,1.0,153.0,5.0,20.0,3.0,11.0,,6.0,73.0,140.0,78.0,,13.0,2.0,23.0,3.0,1.0,,,12.0,18.0,,35.0,3.0,16.0,20.0,198.0,0.0,131.0,13.0,1.0,2.0,1.0,1.0,81.0,54.0,9.0,70.0,3.0,2.0,9.0,18.0,3.0,,3.0,,140.0,4.0,8.0,72.0,587.0,8.0,8.0,25.0,1.0,16.0,257.0,35.0,2.0,20.0,2.0,2.0,22.0,340.0,60.0,86417,5.0,82.0,2.0,5.0,108.0,9.0,18.0,12.0,73.0,,,10.0,3.0,6.0,1.0,59.0,275.0,11.0,21.0,,27.0,76.0,,0.0,,4.0,6.0,2.0,,0.0,4.0,3.0,43.9,12.0,1.0,6.0,1.0,,4.0,42.0,4.0,1.0,368.0,16.0,,9.0,10.0,3.0,20.0,1.0,3.0,272.0,5.0,16.0,22.0,95.0,22.0,4.0,,20.0,25.0,,13.0,2.0,27.0,4.0,5.0,4.0,,2.0,,,3.0,,,3.0,,,,,2.0,3.0,,1.0,,,,,1.0,,,,,,,,2.0,,2.0,2.0,1.0,3.0,3.0,,3.0,1.0,3.0,2.0,,2.0,1.0,,,,,,,,,3.0,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
19,919081,2017-12-23 15:00:00,"Liberty Stadium, Swansea",20354,Away,Crystal Palace,Swansea City,1,1,D,0,0,0,0,1.0,70.0,,1.0,24.0,21.0,5.0,2.0,8.0,2.0,2.0,151.0,5.0,19.0,4.0,9.0,1.0,5.0,66.0,139.0,71.0,,13.0,3.0,11.0,3.0,,2.0,2.0,12.0,14.0,1.0,21.0,3.0,9.0,26.0,142.0,0.0,99.0,11.0,2.0,,2.0,,43.0,33.0,6.0,46.0,2.0,2.0,9.0,16.0,5.0,,2.0,1.0,139.0,,2.0,73.0,551.0,7.0,11.0,32.0,1.0,16.0,242.0,36.0,9.0,14.0,3.0,3.0,22.0,314.0,42.0,86417,4.0,120.0,,5.0,144.0,8.0,16.0,7.0,60.0,,,12.0,5.0,5.0,,57.0,257.0,13.0,20.0,2.0,32.0,63.0,1.0,0.0,,12.0,6.0,1.0,1.0,0.0,2.0,2.0,35.7,13.0,1.0,7.0,4.0,,4.0,30.0,3.0,,336.0,16.0,,7.0,14.0,4.0,19.0,3.0,3.0,204.0,9.0,5.0,18.0,77.0,24.0,2.0,,14.0,21.0,,10.0,2.0,30.0,2.0,10.0,3.0,,,,,,,,2.0,,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,,,,3.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,
20,919085,2017-12-28 20:00:00,"Selhurst Park, London",25762,Home,Crystal Palace,Arsenal,2,3,L,0,1,0,0,,57.0,3.0,3.0,37.0,28.0,6.0,7.0,10.0,6.0,,165.0,5.0,13.0,1.0,13.0,,2.0,71.0,147.0,68.0,,16.0,2.0,20.0,,,,4.0,22.0,12.0,,28.0,5.0,8.0,22.0,150.0,0.0,114.0,12.0,4.0,,1.0,,68.0,43.0,7.0,46.0,5.0,4.0,17.0,10.0,6.0,,6.0,4.0,147.0,1.0,10.0,54.0,576.0,11.0,14.0,29.0,,16.0,231.0,27.0,13.0,12.0,1.0,6.0,34.0,310.0,56.0,86417,4.0,104.0,1.0,10.0,125.0,6.0,10.0,6.0,66.0,,1.0,13.0,6.0,4.0,,71.0,249.0,7.0,13.0,,34.0,72.0,3.0,0.0,,3.0,4.0,3.0,3.0,0.0,3.0,1.0,34.8,29.0,,2.0,4.0,1.0,5.0,41.0,5.0,,336.0,16.0,,9.0,11.0,9.0,33.0,2.0,5.0,233.0,7.0,8.0,23.0,78.0,20.0,4.0,,12.0,26.0,3.0,13.0,3.0,25.0,4.0,7.0,5.0,1.0,,,,,,,4.0,,2.0,1.0,1.0,,4.0,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,2.0,1.0,,2.0,,1.0,2.0,,,1.0,,,,1.0,,,,,2.0,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,1.0,,,,,,,,,,
21,919095,2017-12-31 12:00:00,"Selhurst Park, London",25804,Home,Crystal Palace,Manchester City,0,0,D,0,0,0,0,,57.0,2.0,,27.0,31.0,4.0,2.0,6.0,5.0,2.0,116.0,3.0,17.0,4.0,6.0,,2.0,37.0,132.0,62.0,,10.0,4.0,16.0,2.0,1.0,2.0,2.0,17.0,9.0,,31.0,6.0,2.0,19.0,84.0,0.0,104.0,14.0,2.0,,2.0,,58.0,30.0,2.0,27.0,4.0,1.0,11.0,21.0,4.0,,1.0,,132.0,1.0,5.0,25.0,406.0,3.0,9.0,14.0,,12.0,107.0,32.0,6.0,9.0,5.0,4.0,13.0,174.0,49.0,82403,5.0,43.0,3.0,8.0,53.0,8.0,21.0,12.0,58.0,,1.0,13.0,10.0,7.0,,68.0,124.0,11.0,14.0,3.0,29.0,65.0,,0.0,,2.0,8.0,2.0,,0.0,1.0,3.0,25.5,9.0,3.0,3.0,,1.0,4.0,28.0,7.0,,205.0,12.0,,10.0,7.0,4.0,23.0,2.0,4.0,169.0,5.0,2.0,15.0,57.0,12.0,2.0,,9.0,19.0,,4.0,3.0,21.0,2.0,11.0,7.0,,,,1.0,,,,7.0,1.0,2.0,,4.0,,2.0,,2.0,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
22,919109,2018-01-02 19:45:00,"St. Mary's Stadium, Southampton",28411,Away,Crystal Palace,Southampton,2,1,W,0,1,0,0,1.0,64.0,2.0,1.0,21.0,18.0,5.0,6.0,6.0,2.0,1.0,148.0,3.0,15.0,2.0,10.0,1.0,4.0,79.0,170.0,61.0,,11.0,2.0,16.0,1.0,,1.0,1.0,17.0,11.0,1.0,18.0,6.0,19.0,21.0,150.0,0.0,114.0,11.0,1.0,,2.0,,66.0,41.0,6.0,52.0,1.0,2.0,11.0,21.0,5.0,,5.0,1.0,170.0,2.0,4.0,71.0,559.0,7.0,12.0,19.0,,15.0,228.0,28.0,7.0,9.0,1.0,4.0,29.0,323.0,56.0,86417,4.0,99.0,1.0,4.0,127.0,3.0,21.0,13.0,62.0,,1.0,15.0,6.0,8.0,1.0,65.0,246.0,8.0,9.0,1.0,31.0,75.0,,0.0,,3.0,4.0,,1.0,0.0,,1.0,38.9,21.0,1.0,5.0,1.0,1.0,3.0,38.0,7.0,,350.0,15.0,,17.0,7.0,4.0,30.0,3.0,3.0,240.0,4.0,17.0,23.0,72.0,25.0,3.0,,9.0,15.0,1.0,8.0,2.0,24.0,3.0,12.0,7.0,,,1.0,,,,1.0,,,1.0,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,2.0,1.0,,2.0,1.0,1.0,1.0,,,1.0,,,3.0,2.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,1.0,,,,,,,,,
23,919115,2018-01-13 15:00:00,"Selhurst Park, London",24696,Home,Crystal Palace,Burnley,1,0,W,1,0,0,0,,66.0,1.0,4.0,29.0,27.0,4.0,6.0,13.0,2.0,1.0,158.0,9.0,6.0,3.0,12.0,1.0,2.0,63.0,169.0,68.0,,17.0,3.0,36.0,1.0,1.0,,1.0,19.0,13.0,,27.0,2.0,7.0,27.0,124.0,0.0,122.0,16.0,1.0,,3.0,3.0,50.0,55.0,7.0,55.0,,5.0,17.0,25.0,4.0,,4.0,1.0,169.0,3.0,5.0,48.0,522.0,8.0,11.0,25.0,,6.0,200.0,30.0,12.0,15.0,0.0,5.0,24.0,293.0,69.0,82403,7.0,97.0,3.0,10.0,118.0,7.0,25.0,9.0,77.0,,4.0,19.0,3.0,1.0,1.0,83.0,212.0,10.0,8.0,3.0,42.0,86.0,,0.0,,1.0,2.0,1.0,,0.0,7.0,5.0,44.2,16.0,5.0,3.0,2.0,4.0,7.0,34.0,3.0,4.0,324.0,6.0,,14.0,9.0,8.0,19.0,2.0,7.0,225.0,6.0,5.0,35.0,70.0,17.0,1.0,,15.0,18.0,,10.0,,11.0,1.0,12.0,3.0,,,1.0,1.0,,,1.0,1.0,2.0,5.0,,,,6.0,1.0,1.0,,,,1.0,,,2.0,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
24,919123,2018-01-20 15:00:00,"Emirates Stadium, London",59386,Away,Crystal Palace,Arsenal,1,4,L,0,4,0,0,,70.0,1.0,1.0,24.0,20.0,4.0,1.0,5.0,6.0,4.0,129.0,7.0,3.0,,6.0,,5.0,107.0,133.0,40.0,,9.0,2.0,16.0,3.0,2.0,2.0,,29.0,9.0,1.0,20.0,10.0,12.0,36.0,168.0,0.0,101.0,8.0,3.0,1.0,,,51.0,41.0,6.0,64.0,4.0,,19.0,22.0,4.0,,3.0,1.0,133.0,1.0,14.0,106.0,604.0,5.0,6.0,19.0,,26.0,319.0,36.0,8.0,9.0,0.0,,12.0,387.0,61.0,82403,3.0,175.0,1.0,16.0,187.0,5.0,22.0,5.0,56.0,,2.0,14.0,2.0,3.0,,50.0,336.0,6.0,13.0,,16.0,67.0,,0.0,,4.0,5.0,5.0,4.0,0.0,3.0,,37.0,9.0,,7.0,,2.0,3.0,41.0,10.0,,406.0,26.0,,12.0,16.0,1.0,40.0,4.0,,248.0,7.0,11.0,16.0,57.0,22.0,1.0,,9.0,15.0,4.0,5.0,1.0,10.0,1.0,10.0,10.0,,,,1.0,,1.0,,5.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
25,919135,2018-01-30 19:45:00,"London Stadium, London",56911,Away,Crystal Palace,West Ham United,1,1,D,1,1,0,0,2.0,53.0,,1.0,30.0,20.0,4.0,2.0,5.0,2.0,,153.0,7.0,7.0,3.0,7.0,2.0,3.0,129.0,152.0,51.0,1.0,9.0,,24.0,,2.0,1.0,1.0,23.0,5.0,2.0,20.0,3.0,13.0,29.0,230.0,0.0,142.0,15.0,1.0,1.0,4.0,2.0,80.0,54.0,3.0,64.0,2.0,2.0,20.0,10.0,4.0,1.0,8.0,2.0,152.0,1.0,7.0,108.0,648.0,5.0,7.0,14.0,,15.0,364.0,25.0,10.0,11.0,3.0,4.0,21.0,435.0,69.0,82403,1.0,148.0,,8.0,162.0,9.0,10.0,9.0,76.0,,6.0,22.0,1.0,,1.0,59.0,371.0,11.0,12.0,1.0,26.0,71.0,1.0,0.0,1.0,3.0,5.0,2.0,1.0,0.0,5.0,3.0,59.6,18.0,2.0,1.0,1.0,6.0,1.0,42.0,3.0,2.0,454.0,15.0,,17.0,16.0,5.0,36.0,2.0,3.0,315.0,4.0,11.0,26.0,99.0,20.0,3.0,,11.0,9.0,1.0,7.0,1.0,15.0,3.0,4.0,3.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,2.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
26,919147,2018-02-04 14:15:00,"Selhurst Park, London",25746,Home,Crystal Palace,Newcastle United,1,1,D,0,1,0,0,1.0,66.0,3.0,2.0,36.0,25.0,6.0,7.0,14.0,7.0,3.0,190.0,8.0,15.0,3.0,15.0,,6.0,77.0,153.0,73.0,,20.0,2.0,19.0,5.0,,3.0,1.0,27.0,11.0,,25.0,5.0,15.0,24.0,211.0,0.0,166.0,11.0,3.0,1.0,1.0,1.0,70.0,73.0,7.0,55.0,1.0,2.0,22.0,27.0,6.0,,5.0,4.0,153.0,2.0,7.0,102.0,664.0,13.0,24.0,33.0,1.0,11.0,321.0,22.0,11.0,13.0,1.0,8.0,36.0,405.0,90.0,82403,11.0,132.0,3.0,16.0,144.0,5.0,27.0,5.0,42.0,,3.0,18.0,5.0,3.0,3.0,67.0,335.0,8.0,3.0,2.0,30.0,85.0,,0.0,,3.0,6.0,4.0,1.0,0.0,6.0,3.0,54.3,27.0,2.0,6.0,1.0,3.0,4.0,54.0,5.0,1.0,424.0,11.0,,9.0,13.0,10.0,39.0,2.0,6.0,307.0,10.0,13.0,31.0,111.0,27.0,3.0,,13.0,20.0,1.0,17.0,1.0,17.0,3.0,12.0,5.0,,2.0,1.0,3.0,2.0,,1.0,2.0,,1.0,,4.0,2.0,10.0,,,,,,1.0,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
