gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attCmissLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attRfTarget,accuratePullBack,shotFastbreak,accurateKeeperSweeper,attOboxTarget,cleanSheet,totalFastbreak,attSvLowLeft,goodHighClaim,interceptionsInBox,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,attMissHigh,attFastbreak,attSvLowRight,totalHighClaim,attGoalLowLeft,attOneOnOne,penaltyWon,attCmissHigh,attPenGoal,shieldBallOop,attBxLeft,attMissHighRight,accurateFreekickCross,attSetpiece,overrun,forwardGoals,postScoringAtt,attIboxPost,hitWoodwork,attPostRight,goalsConcededObox,attGoalLowCentre,attFreekickTotal,goalFastbreak,attOboxGoal,ptsGainedLosingPos,attSvHighLeft,freekickTotal,attObxdLeft,attGoalHighLeft,attFreekickGoal,subsGoals,attFreekickMiss,attGoalHighRight,ptsDroppedWinningPos,penaltyConceded,clearanceOffLine,penaltyFaced,penGoalsConceded,attPostHigh,attObxRight,errorLeadToGoal,defenderGoals,attFreekickTarget,attHdGoal,penaltySave,attPostLeft,goalAssistSetplay,sixYardBlock,attCmissHighRight,foulThrowIn,attSvHighRight,attObpGoal,goalAssistDeadball,attFreekickPost,attOboxPost,attObxLeft,attHdPost
11,2292911,2022-10-14 20:00:00,"Gtech Community Stadium, Brentford",17016.0,Away,Brighton and Hove Albion,Brentford,0,2,L,0,1,0,0,,,18.0,57.0,,,6.0,28.0,9.0,7.0,5.0,14.0,,,201.0,10.0,11.0,2.0,,1.0,19.0,,7.0,174.0,146.0,52.0,21.0,4.0,17.0,4.0,,,2.0,1.0,33.0,15.0,9.0,10.0,9.0,45.0,334.0,0.0,224.0,15.0,,,1.0,71.0,69.0,15.0,86.0,2.0,23.0,19.0,7.0,,9.0,,146.0,2.0,,6.0,150.0,798.0,15.0,6.0,39.0,3.0,7.0,500.0,19.0,,1.0,6.0,,1.0,1.0,4.0,20.0,588.0,78.0,2.0,83299,10.0,197.0,13.0,224.0,7.0,,,6.0,6.0,53.0,,4.0,3.0,5.0,,,14.0,1.0,6.0,51.0,520.0,11.0,9.0,4.0,8.0,6.0,54.0,,,0.0,2.0,1.0,,2.0,3.0,0.0,6.0,,5.0,72.5,16.0,2.0,5.0,2.0,5.0,10.0,32.0,11.0,611.0,7.0,5.0,22.0,4.0,43.0,5.0,4.0,420.0,10.0,8.0,15.0,180.0,26.0,,,6.0,25.0,2.0,15.0,3.0,9.0,,6.0,11.0,,4.0,,,,3.0,,,1.0,,,,,2.0,1.0,,2.0,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12,2292923,2022-10-18 19:30:00,"American Express Stadium, Falmer",31463.0,Home,Brighton and Hove Albion,Nottingham Forest,0,0,D,0,0,0,0,2.0,,19.0,44.0,,,1.0,33.0,8.0,5.0,4.0,14.0,,,173.0,8.0,7.0,2.0,,3.0,16.0,,7.0,186.0,134.0,42.0,19.0,4.0,15.0,6.0,2.0,,4.0,2.0,27.0,7.0,8.0,7.0,7.0,36.0,313.0,0.0,189.0,10.0,,,2.0,81.0,93.0,11.0,68.0,1.0,20.0,22.0,5.0,,9.0,,134.0,2.0,,3.0,196.0,805.0,13.0,4.0,41.0,1.0,7.0,522.0,13.0,1.0,3.0,4.0,,3.0,,5.0,28.0,602.0,68.0,,83299,10.0,235.0,9.0,256.0,7.0,,1.0,22.0,6.0,42.0,,3.0,1.0,3.0,,,16.0,,5.0,57.0,541.0,13.0,4.0,3.0,13.0,4.0,65.0,,,0.0,1.0,,,,1.0,0.0,5.0,,3.0,70.3,27.0,2.0,4.0,1.0,3.0,5.0,51.0,9.0,623.0,7.0,5.0,19.0,7.0,45.0,2.0,6.0,394.0,12.0,6.0,16.0,147.0,24.0,1.0,,4.0,11.0,,12.0,2.0,10.0,1.0,12.0,9.0,,4.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,1.0,,3.0,2.0,,1.0,,,,,,,1.0,2.0,,,2.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13,2292934,2022-10-22 15:00:00,"Etihad Stadium, Manchester",53223.0,Away,Brighton and Hove Albion,Manchester City,1,3,L,0,2,0,0,1.0,,22.0,53.0,,,2.0,26.0,11.0,2.0,2.0,5.0,1.0,,158.0,10.0,2.0,7.0,1.0,2.0,6.0,,2.0,122.0,118.0,42.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,,16.0,6.0,11.0,3.0,4.0,40.0,170.0,0.0,126.0,12.0,,1.0,1.0,63.0,51.0,5.0,75.0,,13.0,13.0,3.0,,5.0,2.0,118.0,1.0,,9.0,116.0,624.0,4.0,4.0,14.0,,9.0,377.0,19.0,,1.0,6.0,1.0,3.0,3.0,1.0,22.0,448.0,48.0,,83299,1.0,230.0,7.0,258.0,9.0,1.0,,4.0,9.0,35.0,,1.0,4.0,6.0,,1.0,12.0,1.0,8.0,52.0,398.0,11.0,8.0,1.0,10.0,1.0,53.0,,,0.0,7.0,1.0,1.0,3.0,2.0,0.0,1.0,,1.0,51.6,21.0,1.0,4.0,,6.0,3.0,31.0,3.0,471.0,9.0,7.0,22.0,3.0,25.0,1.0,1.0,229.0,5.0,3.0,8.0,94.0,23.0,1.0,,6.0,16.0,2.0,7.0,5.0,14.0,1.0,4.0,3.0,,,,,,,,,,,2.0,,,1.0,2.0,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
14,2292943,2022-10-29 15:00:00,"American Express Stadium, Falmer",31746.0,Home,Brighton and Hove Albion,Chelsea,4,1,W,3,0,0,0,4.0,2.0,16.0,63.0,1.0,2.0,2.0,22.0,21.0,4.0,7.0,15.0,7.0,1.0,126.0,8.0,4.0,8.0,4.0,1.0,16.0,,9.0,90.0,113.0,43.0,19.0,1.0,12.0,5.0,1.0,1.0,2.0,2.0,17.0,11.0,21.0,6.0,3.0,33.0,112.0,0.0,85.0,16.0,4.0,,1.0,36.0,39.0,9.0,60.0,2.0,11.0,25.0,4.0,,2.0,1.0,113.0,2.0,,9.0,73.0,546.0,14.0,5.0,30.0,,6.0,259.0,26.0,,2.0,7.0,1.0,1.0,3.0,7.0,14.0,330.0,36.0,1.0,83299,9.0,168.0,8.0,198.0,9.0,1.0,3.0,16.0,9.0,38.0,,1.0,,7.0,,2.0,15.0,6.0,8.0,43.0,276.0,6.0,2.0,1.0,11.0,4.0,44.0,1.0,,0.0,7.0,4.0,4.0,1.0,2.0,0.0,3.0,,3.0,41.0,12.0,3.0,7.0,2.0,7.0,3.0,26.0,8.0,349.0,6.0,5.0,18.0,7.0,26.0,1.0,5.0,168.0,9.0,3.0,11.0,58.0,17.0,3.0,,7.0,18.0,1.0,15.0,3.0,11.0,3.0,16.0,8.0,,3.0,,1.0,,2.0,,1.0,,1.0,,,,1.0,1.0,1.0,2.0,2.0,1.0,,,,,2.0,3.0,1.0,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
15,2292959,2022-11-05 15:00:00,"Molineux Stadium, Wolverhampton",30732.0,Away,Brighton and Hove Albion,Wolverhampton Wanderers,3,2,W,2,2,0,1,1.0,1.0,17.0,55.0,,,3.0,22.0,13.0,6.0,4.0,12.0,3.0,,168.0,12.0,7.0,9.0,3.0,5.0,11.0,,8.0,195.0,109.0,53.0,19.0,1.0,8.0,2.0,1.0,2.0,2.0,4.0,19.0,11.0,13.0,8.0,5.0,24.0,297.0,0.0,183.0,11.0,1.0,2.0,1.0,108.0,66.0,7.0,103.0,1.0,11.0,18.0,7.0,,2.0,3.0,109.0,1.0,1.0,6.0,187.0,821.0,6.0,4.0,39.0,,5.0,571.0,23.0,2.0,3.0,9.0,2.0,0.0,1.0,4.0,16.0,635.0,62.0,,83299,9.0,299.0,8.0,320.0,7.0,2.0,,5.0,2.0,41.0,,1.0,1.0,7.0,1.0,3.0,10.0,2.0,2.0,35.0,589.0,15.0,6.0,3.0,7.0,2.0,57.0,,1.0,0.0,4.0,3.0,3.0,2.0,1.0,0.0,4.0,2.0,4.0,71.4,15.0,3.0,5.0,,7.0,4.0,41.0,9.0,653.0,5.0,10.0,12.0,7.0,34.0,3.0,4.0,352.0,11.0,4.0,15.0,151.0,19.0,1.0,,9.0,14.0,2.0,13.0,4.0,17.0,1.0,5.0,9.0,2.0,4.0,,,,3.0,,,1.0,,1.0,,,1.0,,,2.0,,1.0,,,,,,2.0,,1.0,1.0,3.0,,,,,,,,3.0,,,3.0,,3.0,1.0,,,,1.0,2.0,,1.0,,1.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,
16,2292961,2022-11-13 14:00:00,"American Express Stadium, Falmer",31581.0,Home,Brighton and Hove Albion,Aston Villa,1,2,L,1,1,0,0,,1.0,29.0,56.0,,,2.0,31.0,7.0,3.0,2.0,4.0,,,145.0,11.0,4.0,3.0,1.0,2.0,4.0,,2.0,150.0,139.0,38.0,7.0,2.0,8.0,,,,,,26.0,6.0,7.0,8.0,5.0,25.0,229.0,0.0,149.0,14.0,,1.0,2.0,69.0,64.0,3.0,84.0,,18.0,16.0,3.0,,7.0,,139.0,1.0,,5.0,147.0,714.0,4.0,2.0,18.0,,15.0,434.0,21.0,,3.0,3.0,,2.0,3.0,1.0,27.0,506.0,65.0,,83299,4.0,229.0,9.0,248.0,7.0,1.0,1.0,9.0,4.0,50.0,,,3.0,2.0,,1.0,14.0,3.0,4.0,50.0,454.0,11.0,5.0,,8.0,2.0,49.0,,,0.0,4.0,,1.0,2.0,,0.0,4.0,,1.0,65.1,23.0,1.0,6.0,,2.0,4.0,40.0,11.0,526.0,15.0,13.0,12.0,1.0,42.0,,1.0,304.0,4.0,5.0,10.0,111.0,27.0,,,3.0,14.0,2.0,5.0,4.0,13.0,,9.0,11.0,,1.0,,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,,,3.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,
17,2292979,2022-12-26 15:00:00,"St. Mary's Stadium, Southampton",31010.0,Away,Brighton and Hove Albion,Southampton,3,1,W,2,0,0,0,1.0,,19.0,63.0,,,1.0,29.0,12.0,1.0,2.0,6.0,3.0,1.0,224.0,12.0,6.0,11.0,3.0,1.0,7.0,,4.0,176.0,129.0,57.0,7.0,,14.0,2.0,,2.0,1.0,1.0,12.0,8.0,12.0,2.0,2.0,40.0,206.0,0.0,136.0,10.0,1.0,2.0,1.0,72.0,82.0,5.0,129.0,,10.0,22.0,1.0,,2.0,,129.0,1.0,,10.0,151.0,843.0,5.0,,27.0,,6.0,577.0,29.0,,2.0,9.0,2.0,2.0,3.0,2.0,21.0,665.0,53.0,,83299,4.0,390.0,7.0,423.0,7.0,,,8.0,5.0,49.0,,,1.0,7.0,,2.0,12.0,4.0,5.0,55.0,590.0,9.0,10.0,,10.0,,67.0,1.0,1.0,0.0,4.0,3.0,2.0,1.0,,0.0,5.0,1.0,3.0,66.4,17.0,2.0,2.0,,7.0,1.0,45.0,2.0,680.0,6.0,7.0,22.0,2.0,26.0,1.0,2.0,269.0,2.0,2.0,17.0,98.0,24.0,1.0,,9.0,21.0,1.0,7.0,4.0,20.0,1.0,8.0,2.0,1.0,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,
18,2292981,2022-12-31 17:30:00,"American Express Stadium, Falmer",31647.0,Home,Brighton and Hove Albion,Arsenal,2,4,L,0,2,0,0,1.0,2.0,22.0,52.0,1.0,,1.0,19.0,5.0,2.0,3.0,7.0,3.0,,167.0,10.0,5.0,,2.0,1.0,6.0,,5.0,173.0,131.0,30.0,9.0,1.0,8.0,2.0,1.0,1.0,,,24.0,4.0,5.0,6.0,2.0,34.0,237.0,0.0,134.0,7.0,1.0,1.0,1.0,81.0,64.0,4.0,110.0,1.0,18.0,14.0,2.0,,5.0,,131.0,1.0,1.0,14.0,147.0,765.0,4.0,4.0,26.0,,9.0,508.0,25.0,,2.0,2.0,1.0,3.0,4.0,2.0,26.0,576.0,58.0,1.0,83299,5.0,295.0,12.0,322.0,5.0,2.0,1.0,10.0,5.0,38.0,,2.0,5.0,3.0,,2.0,13.0,,5.0,42.0,527.0,10.0,5.0,1.0,5.0,1.0,55.0,,,0.0,4.0,3.0,2.0,4.0,1.0,0.0,4.0,1.0,1.0,67.8,22.0,1.0,3.0,1.0,3.0,2.0,34.0,7.0,597.0,9.0,16.0,15.0,2.0,38.0,1.0,2.0,299.0,5.0,2.0,12.0,105.0,20.0,1.0,,2.0,8.0,4.0,8.0,3.0,3.0,1.0,10.0,7.0,,2.0,,,,1.0,,,1.0,,3.0,,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2292995,2023-01-03 19:45:00,"Goodison Park, Liverpool",,Away,Brighton and Hove Albion,Everton,4,1,W,1,0,0,0,2.0,3.0,25.0,54.0,,2.0,1.0,14.0,13.0,9.0,8.0,10.0,3.0,2.0,166.0,14.0,2.0,3.0,4.0,3.0,14.0,1.0,8.0,119.0,114.0,39.0,19.0,4.0,4.0,2.0,2.0,2.0,1.0,,9.0,10.0,13.0,2.0,15.0,27.0,176.0,0.0,109.0,10.0,1.0,3.0,1.0,71.0,35.0,9.0,88.0,1.0,7.0,24.0,9.0,,1.0,3.0,114.0,2.0,,7.0,139.0,675.0,10.0,3.0,31.0,,8.0,421.0,22.0,,1.0,8.0,2.0,1.0,1.0,5.0,20.0,494.0,40.0,,83299,6.0,263.0,5.0,295.0,7.0,2.0,1.0,5.0,8.0,33.0,,1.0,,8.0,,4.0,13.0,3.0,6.0,27.0,437.0,8.0,3.0,2.0,4.0,,47.0,,,0.0,5.0,1.0,4.0,1.0,1.0,0.0,2.0,,1.0,51.1,18.0,1.0,,,8.0,5.0,35.0,2.0,512.0,8.0,10.0,11.0,6.0,15.0,,2.0,226.0,10.0,14.0,13.0,79.0,24.0,1.0,,8.0,15.0,1.0,16.0,5.0,9.0,1.0,5.0,2.0,,2.0,,,,2.0,,,1.0,3.0,1.0,,,1.0,2.0,,1.0,4.0,1.0,1.0,,1.0,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,
20,2293002,2023-01-14 15:00:00,"American Express Stadium, Falmer",31645.0,Home,Brighton and Hove Albion,Liverpool,3,0,W,0,0,0,0,2.0,2.0,18.0,67.0,2.0,,3.0,24.0,7.0,4.0,6.0,12.0,2.0,2.0,191.0,9.0,2.0,10.0,3.0,2.0,15.0,,9.0,174.0,126.0,47.0,16.0,1.0,5.0,4.0,3.0,1.0,3.0,,16.0,9.0,7.0,6.0,11.0,33.0,193.0,0.0,144.0,9.0,,2.0,2.0,64.0,37.0,12.0,103.0,3.0,10.0,9.0,4.0,,5.0,1.0,126.0,2.0,1.0,5.0,182.0,825.0,11.0,2.0,40.0,1.0,7.0,555.0,28.0,,1.0,2.0,2.0,1.0,1.0,3.0,20.0,629.0,47.0,2.0,83299,2.0,382.0,3.0,413.0,6.0,1.0,,1.0,4.0,38.0,,2.0,4.0,6.0,,2.0,10.0,1.0,3.0,40.0,573.0,14.0,5.0,2.0,5.0,2.0,46.0,,,0.0,1.0,2.0,3.0,,1.0,0.0,,2.0,2.0,60.8,20.0,1.0,4.0,1.0,6.0,4.0,32.0,7.0,650.0,7.0,14.0,23.0,3.0,34.0,2.0,2.0,253.0,8.0,10.0,7.0,113.0,26.0,,,2.0,16.0,,13.0,5.0,15.0,,1.0,7.0,,3.0,,2.0,,2.0,1.0,2.0,2.0,1.0,,,,1.0,,2.0,,1.0,,,,,,,4.0,,,,2.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
21,2293015,2023-01-21 15:00:00,"King Power Stadium, Leicester",32056.0,Away,Brighton and Hove Albion,Leicester City,2,2,D,1,1,0,0,1.0,,22.0,48.0,1.0,,1.0,21.0,8.0,6.0,5.0,7.0,,,176.0,15.0,3.0,8.0,2.0,1.0,11.0,1.0,4.0,174.0,118.0,36.0,13.0,2.0,12.0,1.0,,2.0,1.0,,19.0,6.0,8.0,6.0,13.0,36.0,310.0,0.0,176.0,9.0,,1.0,,99.0,56.0,6.0,97.0,1.0,13.0,23.0,6.0,,4.0,2.0,118.0,3.0,,8.0,190.0,804.0,8.0,3.0,27.0,,14.0,552.0,18.0,2.0,2.0,4.0,2.0,1.0,5.0,5.0,22.0,625.0,79.0,1.0,83299,4.0,256.0,9.0,272.0,8.0,1.0,,9.0,1.0,40.0,,1.0,2.0,3.0,,2.0,10.0,1.0,1.0,37.0,563.0,9.0,3.0,1.0,8.0,3.0,56.0,,,0.0,5.0,,1.0,2.0,1.0,0.0,2.0,1.0,3.0,63.4,22.0,2.0,3.0,,3.0,3.0,43.0,6.0,637.0,14.0,7.0,17.0,6.0,38.0,1.0,4.0,384.0,5.0,13.0,8.0,135.0,24.0,2.0,,4.0,11.0,2.0,10.0,3.0,17.0,2.0,9.0,6.0,,1.0,,,,1.0,,,1.0,,1.0,,,3.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,
22,2293022,2023-02-04 15:00:00,"American Express Stadium, Falmer",31600.0,Home,Brighton and Hove Albion,Bournemouth,1,0,W,0,0,0,0,1.0,,14.0,59.0,,1.0,5.0,20.0,4.0,6.0,6.0,14.0,2.0,,184.0,2.0,3.0,9.0,1.0,1.0,12.0,,6.0,208.0,138.0,40.0,20.0,2.0,17.0,3.0,2.0,1.0,3.0,1.0,31.0,9.0,4.0,6.0,4.0,37.0,349.0,0.0,223.0,14.0,1.0,1.0,1.0,74.0,110.0,10.0,93.0,3.0,25.0,10.0,6.0,,8.0,2.0,138.0,2.0,,8.0,197.0,850.0,11.0,2.0,36.0,1.0,2.0,591.0,26.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,15.0,662.0,73.0,1.0,83299,8.0,263.0,16.0,283.0,8.0,,,5.0,11.0,59.0,,1.0,,4.0,,1.0,17.0,4.0,9.0,39.0,609.0,7.0,9.0,,7.0,2.0,61.0,1.0,,0.0,3.0,1.0,1.0,,2.0,0.0,3.0,1.0,2.0,71.8,15.0,,9.0,1.0,4.0,7.0,52.0,7.0,682.0,2.0,12.0,18.0,7.0,48.0,,4.0,430.0,12.0,4.0,7.0,187.0,20.0,1.0,,2.0,17.0,,18.0,5.0,17.0,1.0,5.0,7.0,,3.0,,,2.0,2.0,1.0,,1.0,,1.0,2.0,,5.0,1.0,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,
23,2293032,2023-02-11 15:00:00,"Selhurst Park, London",24827.0,Away,Brighton and Hove Albion,Crystal Palace,1,1,D,0,0,0,0,2.0,1.0,25.0,60.0,,,4.0,25.0,17.0,4.0,4.0,13.0,,,212.0,14.0,7.0,13.0,1.0,3.0,14.0,1.0,7.0,198.0,125.0,61.0,17.0,1.0,10.0,5.0,,1.0,2.0,2.0,25.0,13.0,17.0,5.0,19.0,23.0,281.0,0.0,166.0,11.0,,1.0,1.0,76.0,110.0,10.0,115.0,1.0,20.0,12.0,4.0,,9.0,2.0,125.0,5.0,1.0,5.0,180.0,893.0,12.0,3.0,34.0,,11.0,616.0,21.0,,1.0,10.0,1.0,1.0,3.0,4.0,17.0,687.0,54.0,2.0,83299,11.0,360.0,10.0,380.0,7.0,1.0,,3.0,4.0,48.0,,4.0,2.0,1.0,,1.0,13.0,1.0,4.0,34.0,634.0,9.0,8.0,1.0,4.0,3.0,70.0,1.0,,0.0,1.0,,1.0,1.0,1.0,0.0,5.0,1.0,5.0,74.2,16.0,3.0,4.0,,1.0,5.0,57.0,6.0,705.0,11.0,14.0,15.0,5.0,32.0,2.0,3.0,350.0,8.0,16.0,16.0,136.0,34.0,,,10.0,23.0,1.0,12.0,2.0,18.0,,3.0,6.0,,4.0,,1.0,,1.0,,1.0,2.0,,1.0,,1.0,4.0,1.0,1.0,2.0,1.0,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,2.0,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,
24,2293042,2023-02-18 15:00:00,"American Express Stadium, Falmer",31619.0,Home,Brighton and Hove Albion,Fulham,0,1,L,0,0,0,0,2.0,,18.0,62.0,,1.0,4.0,25.0,3.0,7.0,7.0,14.0,1.0,,181.0,7.0,4.0,15.0,,2.0,18.0,2.0,7.0,155.0,124.0,54.0,21.0,,11.0,6.0,2.0,,7.0,3.0,21.0,4.0,3.0,9.0,12.0,34.0,217.0,0.0,141.0,12.0,,,,69.0,59.0,11.0,83.0,4.0,12.0,7.0,7.0,,5.0,6.0,124.0,5.0,,4.0,174.0,756.0,16.0,4.0,36.0,1.0,8.0,501.0,18.0,1.0,4.0,1.0,,0.0,3.0,7.0,13.0,574.0,61.0,2.0,83299,9.0,307.0,7.0,322.0,6.0,,2.0,4.0,3.0,44.0,,4.0,4.0,3.0,1.0,,13.0,1.0,3.0,46.0,520.0,13.0,9.0,2.0,11.0,6.0,61.0,2.0,,0.0,2.0,,,1.0,1.0,0.0,2.0,,4.0,65.3,12.0,2.0,6.0,,3.0,4.0,41.0,10.0,593.0,8.0,6.0,16.0,10.0,38.0,2.0,4.0,292.0,10.0,12.0,16.0,103.0,33.0,,,1.0,10.0,1.0,13.0,3.0,22.0,,4.0,10.0,,4.0,1.0,1.0,,1.0,,1.0,,1.0,,,,5.0,2.0,1.0,,1.0,,1.0,,1.0,,3.0,2.0,,,1.0,3.0,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,
25,2293057,2023-05-18 19:30:00,"St. James' Park, Newcastle",52122.0,Away,Brighton and Hove Albion,Newcastle United,1,4,L,0,2,0,0,,1.0,20.0,62.0,,1.0,1.0,18.0,16.0,3.0,1.0,5.0,5.0,,185.0,9.0,2.0,15.0,1.0,1.0,7.0,,2.0,137.0,122.0,53.0,8.0,2.0,15.0,,,1.0,,2.0,5.0,10.0,16.0,1.0,13.0,37.0,131.0,0.0,89.0,16.0,3.0,1.0,1.0,25.0,40.0,4.0,79.0,,4.0,12.0,3.0,,1.0,,122.0,1.0,,20.0,120.0,698.0,5.0,4.0,8.0,,2.0,408.0,32.0,,1.0,6.0,1.0,4.0,8.0,3.0,20.0,487.0,42.0,1.0,83299,4.0,309.0,2.0,346.0,6.0,1.0,,6.0,10.0,53.0,1.0,1.0,2.0,5.0,,1.0,18.0,3.0,10.0,44.0,438.0,17.0,11.0,1.0,8.0,2.0,51.0,1.0,,0.0,6.0,5.0,1.0,4.0,2.0,0.0,1.0,1.0,2.0,66.3,17.0,1.0,2.0,1.0,5.0,3.0,29.0,1.0,521.0,2.0,2.0,19.0,3.0,16.0,1.0,3.0,180.0,5.0,13.0,7.0,58.0,17.0,,1.0,6.0,14.0,4.0,6.0,5.0,24.0,,6.0,1.0,,1.0,,,1.0,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
