gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowLeft,saves,attCmissRight,attOboxBlocked,attBxRight,attGoalHighRight,divingSave,attMissRight,errorLeadToShot,ownGoals,totalOffside,attAssistSetplay,attSvLowRight,savedIbox,goalsConceded,attCmissHighRight,accurateCornersIntobox,attIboxOwnGoal,goalsConcededIbox,savedObox,postScoringAtt,attIboxPost,contentiousDecision,hitWoodwork,attPostHigh,attSvHighCentre,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,accuratePullBack,shotFastbreak,goalFastbreak,totalFastbreak,attSvLowLeft,freekickCross,attPostLeft,accurateFreekickCross,attSetpiece,defenderGoals,attFastbreak,attHdGoal,attemptsIbox,ptsGainedLosingPos,attemptsObox,secondYellow,touchesInOppBox,attHdTarget,attCmissLeft,attOboxGoal,penaltyConceded,attOboxPost,penaltyFaced,penGoalsConceded,sixYardBlock,attPostRight,penaltySave,attPenTarget,penaltyWon,attPenGoal,handBall,attGoalHighCentre,attCmissHighLeft,foulThrowIn,attGoalHighLeft,attFreekickGoal,attFreekickTarget,clearanceOffLine,goalsConcededObox,attObxLeft
11,755406,2014-11-08 17:30:00,"MATRADE Loftus Road, London",18005,Away,Manchester City,Queens Park Rangers,2,2,D,1,1,0,0,,1.0,59.0,,6.0,28.0,36.0,7.0,5.0,2.0,3.0,193.0,,7.0,12.0,2.0,2.0,19.0,7.0,114.0,159.0,60.0,1.0,24.0,29.0,5.0,,2.0,1.0,3.0,22.0,12.0,,36.0,7.0,15.0,32.0,,223.0,2.0,1.0,,0.0,186.0,10.0,,,3.0,50.0,111.0,13.0,70.0,1.0,15.0,11.0,1.0,2.0,5.0,159.0,1.0,12.0,130.0,722.0,14.0,7.0,5.0,385.0,18.0,1.0,6.0,20.0,2.0,,2.0,6.0,6.0,26.0,480.0,74.0,3.0,80235,11.0,184.0,,13.0,203.0,6.0,,4.0,11.0,8.0,71.0,1.0,4.0,8.0,2.0,8.0,6.0,2.0,2.0,70.0,400.0,8.0,12.0,20.0,96.0,,0.0,3.0,7.0,2.0,2.0,0.0,4.0,2.0,2.0,4.0,58.6,22.0,2.0,2.0,2.0,8.0,8.0,52.0,7.0,3.0,507.0,5.0,1.0,11.0,13.0,9.0,18.0,4.0,326.0,14.0,15.0,27.0,127.0,26.0,2.0,,20.0,14.0,17.0,3.0,22.0,,4.0,7.0,2.0,3.0,,2.0,3.0,,1.0,1.0,1.0,1.0,,3.0,2.0,3.0,2.0,,3.0,1.0,2.0,,,,,,,1.0,,,,4.0,,,1.0,,,,,1.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,
12,755420,2014-11-22 15:00:00,"Etihad Stadium, Manchester",45448,Home,Manchester City,Swansea City,2,1,W,1,1,0,0,2.0,2.0,59.0,,6.0,17.0,14.0,6.0,7.0,,5.0,198.0,2.0,3.0,16.0,2.0,,18.0,10.0,196.0,142.0,45.0,,23.0,11.0,4.0,3.0,2.0,6.0,1.0,19.0,10.0,4.0,14.0,6.0,16.0,29.0,,384.0,1.0,1.0,,0.0,235.0,13.0,,1.0,,125.0,112.0,12.0,103.0,,13.0,24.0,,,1.0,142.0,2.0,4.0,168.0,862.0,16.0,7.0,18.0,564.0,17.0,1.0,1.0,7.0,2.0,4.0,2.0,2.0,6.0,23.0,646.0,62.0,3.0,57112,5.0,197.0,,13.0,209.0,5.0,2.0,3.0,24.0,5.0,60.0,,3.0,4.0,2.0,8.0,4.0,2.0,2.0,38.0,578.0,6.0,12.0,12.0,74.0,2.0,0.0,3.0,3.0,2.0,5.0,0.0,3.0,2.0,1.0,1.0,59.4,21.0,,4.0,3.0,5.0,7.0,53.0,7.0,,665.0,18.0,,14.0,15.0,6.0,24.0,5.0,475.0,15.0,14.0,7.0,191.0,32.0,1.0,,7.0,16.0,23.0,3.0,27.0,,6.0,7.0,,2.0,,1.0,6.0,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
13,755427,2014-11-30 13:30:00,"St. Mary's Stadium, Southampton",30919,Away,Manchester City,Southampton,3,0,W,0,0,1,0,1.0,1.0,55.0,,,27.0,31.0,8.0,2.0,,2.0,151.0,1.0,5.0,10.0,3.0,2.0,13.0,6.0,116.0,128.0,52.0,,15.0,10.0,2.0,1.0,3.0,2.0,1.0,14.0,17.0,1.0,31.0,6.0,8.0,32.0,1.0,230.0,1.0,,1.0,0.0,133.0,13.0,,1.0,1.0,79.0,68.0,6.0,64.0,1.0,8.0,20.0,,,4.0,128.0,3.0,4.0,110.0,636.0,9.0,6.0,15.0,338.0,19.0,,3.0,19.0,3.0,1.0,2.0,4.0,7.0,18.0,414.0,59.0,1.0,57112,3.0,126.0,2.0,7.0,139.0,4.0,3.0,,20.0,7.0,44.0,,2.0,6.0,3.0,10.0,9.0,1.0,4.0,68.0,351.0,10.0,8.0,22.0,85.0,2.0,0.0,2.0,8.0,1.0,1.0,1.0,,2.0,,2.0,47.9,16.0,2.0,1.0,1.0,6.0,1.0,42.0,6.0,2.0,441.0,15.0,,10.0,13.0,8.0,8.0,4.0,316.0,11.0,8.0,14.0,89.0,24.0,,5.0,19.0,19.0,12.0,3.0,15.0,5.0,11.0,6.0,1.0,4.0,1.0,1.0,2.0,,1.0,2.0,,,,1.0,,2.0,,,5.0,,,2.0,,,1.0,,,1.0,,,,,4.0,2.0,6.0,,1.0,,,,1.0,4.0,,,,,1.0,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,,,
14,755442,2014-12-03 19:45:00,"Stadium of Light, Sunderland",41152,Away,Manchester City,Sunderland,4,1,W,2,1,0,0,,1.0,76.0,2.0,,15.0,21.0,6.0,3.0,1.0,,232.0,1.0,2.0,13.0,4.0,1.0,15.0,4.0,198.0,112.0,52.0,,15.0,13.0,,1.0,4.0,,4.0,10.0,18.0,,21.0,,21.0,18.0,1.0,485.0,1.0,,,0.0,258.0,8.0,,1.0,1.0,121.0,124.0,5.0,132.0,1.0,10.0,16.0,,1.0,5.0,112.0,1.0,5.0,200.0,941.0,11.0,3.0,22.0,676.0,28.0,,1.0,12.0,4.0,1.0,1.0,5.0,10.0,14.0,747.0,76.0,1.0,80235,3.0,203.0,,9.0,218.0,7.0,3.0,2.0,16.0,,50.0,,2.0,3.0,4.0,8.0,3.0,,4.0,35.0,686.0,9.0,12.0,7.0,82.0,,0.0,1.0,2.0,4.0,2.0,0.0,2.0,3.0,,1.0,64.5,13.0,1.0,5.0,1.0,3.0,1.0,57.0,,1.0,762.0,22.0,,16.0,6.0,10.0,12.0,5.0,554.0,11.0,20.0,9.0,228.0,37.0,2.0,1.0,12.0,21.0,15.0,3.0,14.0,1.0,12.0,,1.0,1.0,,1.0,4.0,,,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,755446,2014-12-06 17:30:00,"Etihad Stadium, Manchester",45603,Home,Manchester City,Everton,1,0,W,1,0,0,0,,1.0,64.0,,7.0,16.0,27.0,6.0,5.0,,2.0,168.0,,3.0,8.0,1.0,4.0,15.0,3.0,122.0,128.0,54.0,,19.0,14.0,2.0,,,2.0,2.0,31.0,19.0,,27.0,9.0,9.0,20.0,,306.0,,,1.0,0.0,202.0,8.0,,1.0,3.0,136.0,67.0,12.0,63.0,,22.0,19.0,,3.0,1.0,128.0,2.0,4.0,132.0,709.0,13.0,4.0,18.0,404.0,19.0,1.0,4.0,15.0,,,3.0,5.0,3.0,15.0,462.0,62.0,,80235,7.0,113.0,2.0,19.0,128.0,4.0,1.0,1.0,19.0,4.0,51.0,,1.0,6.0,,7.0,5.0,,,37.0,416.0,10.0,15.0,10.0,62.0,,0.0,2.0,7.0,1.0,2.0,0.0,,,,1.0,51.3,12.0,1.0,4.0,2.0,7.0,12.0,40.0,11.0,3.0,485.0,18.0,,16.0,10.0,4.0,18.0,3.0,388.0,12.0,9.0,14.0,167.0,32.0,,2.0,15.0,22.0,14.0,3.0,8.0,2.0,14.0,11.0,1.0,2.0,,5.0,4.0,,1.0,1.0,,,2.0,2.0,,2.0,,,3.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
16,755458,2014-12-13 15:00:00,"King Power Stadium, Leicester",31643,Away,Manchester City,Leicester City,1,0,W,1,0,0,0,1.0,1.0,60.0,1.0,,23.0,46.0,3.0,3.0,1.0,2.0,180.0,,1.0,10.0,1.0,3.0,8.0,4.0,138.0,147.0,66.0,,9.0,17.0,2.0,2.0,1.0,1.0,,6.0,11.0,1.0,46.0,2.0,12.0,43.0,,196.0,,,1.0,0.0,103.0,13.0,,1.0,2.0,67.0,61.0,4.0,73.0,2.0,4.0,25.0,,,1.0,147.0,1.0,2.0,124.0,723.0,7.0,9.0,22.0,395.0,25.0,1.0,5.0,30.0,1.0,2.0,2.0,3.0,4.0,22.0,487.0,50.0,,57112,3.0,218.0,,3.0,252.0,8.0,,,25.0,7.0,56.0,,2.0,3.0,1.0,14.0,5.0,4.0,1.0,58.0,413.0,15.0,12.0,20.0,77.0,1.0,0.0,,8.0,1.0,3.0,0.0,1.0,1.0,2.0,,57.3,20.0,,2.0,1.0,3.0,1.0,43.0,2.0,2.0,515.0,22.0,,12.0,22.0,4.0,12.0,3.0,269.0,6.0,11.0,26.0,65.0,25.0,,2.0,30.0,15.0,7.0,3.0,13.0,2.0,11.0,2.0,,1.0,,1.0,2.0,,,2.0,,,9.0,,2.0,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
17,755466,2014-12-20 12:45:00,"Etihad Stadium, Manchester",45302,Home,Manchester City,Crystal Palace,3,0,W,0,0,0,0,,,66.0,,3.0,11.0,30.0,5.0,5.0,3.0,,237.0,1.0,5.0,8.0,3.0,1.0,13.0,3.0,210.0,135.0,50.0,,15.0,17.0,,,2.0,,2.0,26.0,15.0,,30.0,6.0,25.0,12.0,1.0,482.0,1.0,,1.0,0.0,277.0,17.0,,3.0,1.0,84.0,105.0,7.0,86.0,2.0,20.0,15.0,,1.0,4.0,135.0,1.0,4.0,207.0,921.0,10.0,4.0,9.0,648.0,29.0,,2.0,16.0,3.0,1.0,2.0,1.0,6.0,11.0,721.0,62.0,2.0,80235,10.0,181.0,1.0,19.0,199.0,12.0,,3.0,15.0,9.0,68.0,,4.0,3.0,2.0,8.0,2.0,1.0,3.0,33.0,658.0,5.0,14.0,10.0,73.0,2.0,0.0,,6.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,72.5,11.0,1.0,3.0,,3.0,4.0,48.0,8.0,2.0,740.0,9.0,,15.0,5.0,8.0,19.0,4.0,567.0,8.0,23.0,19.0,239.0,30.0,,2.0,16.0,18.0,12.0,3.0,14.0,2.0,6.0,8.0,1.0,1.0,,1.0,,,1.0,2.0,,,3.0,,,1.0,,,2.0,,,,,,,,,,,1.0,,2.0,1.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,2.0,,,,,,1.0,,,,1.0,,,,,
18,755482,2014-12-26 15:00:00,"The Hawthorns, West Bromwich",26040,Away,Manchester City,West Bromwich Albion,3,1,W,3,0,0,0,2.0,1.0,73.0,,1.0,21.0,25.0,1.0,4.0,1.0,,193.0,1.0,3.0,13.0,3.0,1.0,6.0,5.0,118.0,146.0,46.0,,9.0,13.0,2.0,2.0,1.0,,1.0,10.0,15.0,,25.0,6.0,10.0,18.0,,208.0,,,,0.0,138.0,9.0,,3.0,2.0,51.0,84.0,4.0,87.0,2.0,4.0,30.0,,,,146.0,1.0,11.0,115.0,712.0,5.0,5.0,19.0,399.0,29.0,,2.0,10.0,1.0,2.0,1.0,6.0,2.0,20.0,492.0,51.0,2.0,80235,3.0,208.0,1.0,4.0,240.0,8.0,2.0,1.0,30.0,5.0,48.0,,3.0,6.0,2.0,10.0,7.0,5.0,1.0,55.0,413.0,5.0,10.0,20.0,75.0,3.0,0.0,2.0,10.0,3.0,1.0,0.0,1.0,1.0,,,52.1,13.0,,6.0,,6.0,2.0,44.0,6.0,2.0,513.0,19.0,,15.0,11.0,2.0,20.0,2.0,283.0,5.0,9.0,7.0,96.0,24.0,,5.0,10.0,21.0,8.0,3.0,14.0,5.0,15.0,6.0,2.0,5.0,,1.0,3.0,,2.0,,1.0,,4.0,,2.0,2.0,1.0,,2.0,,1.0,3.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
19,755486,2014-12-28 15:00:00,"Etihad Stadium, Manchester",45608,Home,Manchester City,Burnley,2,2,D,2,0,0,0,1.0,,56.0,1.0,4.0,36.0,28.0,4.0,5.0,1.0,3.0,215.0,,7.0,8.0,2.0,1.0,15.0,6.0,137.0,156.0,58.0,,17.0,31.0,4.0,,2.0,1.0,,27.0,16.0,,28.0,9.0,10.0,27.0,,303.0,2.0,,,0.0,226.0,18.0,,2.0,2.0,92.0,128.0,10.0,86.0,,19.0,23.0,,2.0,1.0,156.0,1.0,7.0,129.0,760.0,11.0,9.0,6.0,449.0,20.0,,3.0,12.0,2.0,,4.0,3.0,5.0,27.0,540.0,73.0,,80235,6.0,167.0,1.0,17.0,194.0,11.0,1.0,2.0,23.0,8.0,68.0,,,2.0,2.0,9.0,5.0,3.0,2.0,71.0,463.0,9.0,10.0,22.0,74.0,,0.0,3.0,3.0,1.0,4.0,0.0,4.0,1.0,,2.0,62.3,23.0,2.0,5.0,2.0,3.0,6.0,42.0,10.0,2.0,567.0,6.0,,12.0,15.0,5.0,15.0,4.0,400.0,10.0,9.0,22.0,174.0,26.0,,,12.0,21.0,13.0,3.0,8.0,,9.0,10.0,,1.0,,2.0,3.0,1.0,,1.0,,,3.0,2.0,1.0,,2.0,,4.0,,2.0,1.0,,,1.0,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,2.0,,,,,,,,,
20,755496,2015-01-01 15:00:00,"Etihad Stadium, Manchester",45367,Home,Manchester City,Sunderland,3,2,W,0,0,0,0,2.0,1.0,59.0,,6.0,16.0,23.0,8.0,10.0,1.0,7.0,208.0,1.0,5.0,8.0,3.0,2.0,26.0,12.0,169.0,116.0,43.0,,32.0,13.0,7.0,,3.0,4.0,4.0,25.0,10.0,2.0,23.0,8.0,12.0,10.0,,455.0,1.0,2.0,,0.0,340.0,14.0,,1.0,,104.0,83.0,19.0,98.0,2.0,17.0,21.0,,,2.0,116.0,5.0,3.0,180.0,853.0,21.0,1.0,20.0,579.0,18.0,1.0,2.0,15.0,3.0,,2.0,,7.0,13.0,638.0,50.0,3.0,80235,12.0,141.0,4.0,16.0,153.0,9.0,1.0,4.0,21.0,2.0,52.0,,3.0,3.0,3.0,9.0,1.0,1.0,3.0,26.0,591.0,7.0,7.0,11.0,53.0,,0.0,2.0,4.0,2.0,,0.0,3.0,3.0,,2.0,63.8,13.0,1.0,5.0,2.0,3.0,9.0,44.0,10.0,,655.0,20.0,,14.0,5.0,11.0,26.0,8.0,527.0,20.0,12.0,14.0,301.0,32.0,1.0,,15.0,15.0,27.0,3.0,14.0,,8.0,10.0,1.0,2.0,,3.0,6.0,,2.0,1.0,,,1.0,2.0,2.0,1.0,2.0,,2.0,,2.0,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,1.0,1.0,,,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,2.0,,1.0,,1.0,,,,,
21,755507,2015-01-10 15:00:00,"Goodison Park, Liverpool",39499,Away,Manchester City,Everton,1,1,D,0,0,0,0,,1.0,66.0,,2.0,17.0,25.0,10.0,4.0,,1.0,200.0,,5.0,13.0,1.0,4.0,15.0,2.0,141.0,157.0,64.0,1.0,18.0,15.0,,,,1.0,5.0,23.0,19.0,1.0,25.0,9.0,12.0,22.0,,283.0,,,,0.0,208.0,10.0,,1.0,,88.0,95.0,6.0,71.0,,14.0,15.0,1.0,1.0,5.0,157.0,,4.0,130.0,741.0,13.0,4.0,6.0,426.0,22.0,1.0,2.0,13.0,,,2.0,4.0,9.0,22.0,525.0,68.0,1.0,57112,4.0,157.0,,10.0,183.0,7.0,,1.0,15.0,6.0,53.0,,1.0,4.0,1.0,7.0,7.0,1.0,3.0,54.0,435.0,9.0,12.0,16.0,70.0,1.0,0.0,5.0,4.0,1.0,2.0,0.0,1.0,,1.0,2.0,61.8,19.0,1.0,4.0,1.0,4.0,6.0,38.0,9.0,,542.0,6.0,,15.0,9.0,10.0,25.0,5.0,382.0,12.0,12.0,17.0,157.0,35.0,,3.0,13.0,26.0,11.0,3.0,14.0,3.0,4.0,9.0,1.0,3.0,,4.0,2.0,,3.0,1.0,,,1.0,2.0,,3.0,1.0,,4.0,,1.0,,,,,,,,,,,1.0,1.0,,3.0,,3.0,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,755517,2015-01-18 16:00:00,"Etihad Stadium, Manchester",45596,Home,Manchester City,Arsenal,0,2,L,0,1,0,0,2.0,,69.0,,4.0,26.0,12.0,1.0,3.0,,2.0,213.0,,6.0,20.0,,,10.0,4.0,179.0,173.0,69.0,,12.0,25.0,4.0,,,,1.0,42.0,17.0,,12.0,15.0,6.0,22.0,,354.0,,,,0.0,201.0,12.0,1.0,,3.0,100.0,108.0,8.0,73.0,2.0,27.0,19.0,,4.0,,173.0,,7.0,169.0,858.0,9.0,6.0,17.0,520.0,25.0,,3.0,7.0,,,3.0,2.0,2.0,26.0,618.0,70.0,,57112,5.0,187.0,,23.0,207.0,8.0,,1.0,19.0,5.0,90.0,,2.0,3.0,,9.0,2.0,4.0,,47.0,535.0,5.0,33.0,16.0,68.0,1.0,0.0,1.0,3.0,,3.0,0.0,4.0,,,2.0,64.7,22.0,2.0,8.0,,3.0,5.0,48.0,16.0,3.0,634.0,17.0,,17.0,12.0,3.0,25.0,3.0,469.0,7.0,5.0,16.0,145.0,31.0,,2.0,7.0,28.0,11.0,3.0,25.0,2.0,8.0,16.0,,1.0,1.0,1.0,5.0,,1.0,2.0,,,2.0,1.0,1.0,,2.0,,2.0,,2.0,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,2.0,,,,,,,,,
23,755524,2015-01-31 17:30:00,"Stamford Bridge, London",41620,Away,Manchester City,Chelsea,1,1,D,1,1,0,0,1.0,1.0,66.0,1.0,,26.0,19.0,1.0,4.0,1.0,2.0,206.0,,3.0,12.0,1.0,3.0,8.0,5.0,123.0,187.0,69.0,,9.0,25.0,3.0,1.0,1.0,,1.0,22.0,25.0,1.0,19.0,6.0,2.0,29.0,,286.0,,,,0.0,198.0,14.0,,1.0,,85.0,112.0,5.0,87.0,1.0,16.0,21.0,,1.0,,187.0,1.0,2.0,128.0,773.0,7.0,6.0,11.0,421.0,29.0,,4.0,13.0,1.0,1.0,2.0,,3.0,32.0,521.0,74.0,1.0,80235,2.0,153.0,,15.0,181.0,8.0,,,21.0,5.0,81.0,1.0,2.0,4.0,1.0,20.0,1.0,1.0,1.0,56.0,436.0,12.0,13.0,19.0,84.0,,0.0,3.0,1.0,1.0,2.0,0.0,2.0,,,2.0,57.2,27.0,1.0,8.0,3.0,4.0,,49.0,8.0,,544.0,11.0,,24.0,12.0,4.0,15.0,4.0,385.0,3.0,2.0,18.0,153.0,25.0,,4.0,13.0,27.0,9.0,3.0,17.0,4.0,9.0,8.0,,1.0,1.0,,2.0,,1.0,2.0,,,3.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,2.0,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
24,755537,2015-02-07 15:00:00,"Etihad Stadium, Manchester",45233,Home,Manchester City,Hull City,1,1,D,0,1,0,0,1.0,,58.0,1.0,4.0,47.0,17.0,7.0,8.0,,2.0,214.0,,8.0,10.0,1.0,5.0,13.0,5.0,186.0,161.0,55.0,3.0,18.0,12.0,3.0,1.0,,1.0,2.0,34.0,4.0,1.0,17.0,12.0,11.0,34.0,,416.0,,1.0,,0.0,265.0,9.0,,,1.0,114.0,113.0,9.0,89.0,,22.0,19.0,3.0,3.0,1.0,161.0,,4.0,201.0,892.0,11.0,13.0,14.0,582.0,15.0,,4.0,12.0,,2.0,2.0,1.0,4.0,33.0,676.0,77.0,1.0,57112,8.0,185.0,,19.0,206.0,4.0,1.0,,19.0,4.0,44.0,,3.0,5.0,,11.0,3.0,3.0,,65.0,593.0,8.0,4.0,11.0,75.0,1.0,0.0,2.0,1.0,,3.0,0.0,6.0,,1.0,4.0,73.6,31.0,3.0,6.0,,5.0,8.0,54.0,13.0,1.0,690.0,14.0,,18.0,18.0,5.0,32.0,3.0,518.0,5.0,10.0,26.0,216.0,31.0,,1.0,12.0,11.0,11.0,3.0,12.0,1.0,5.0,13.0,,2.0,,4.0,1.0,,2.0,2.0,,,3.0,2.0,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,,,
25,755551,2015-02-11 19:45:00,"bet365 Stadium, Stoke",27011,Away,Manchester City,Stoke City,4,1,W,1,1,0,0,1.0,2.0,65.0,1.0,1.0,22.0,25.0,5.0,3.0,,3.0,187.0,,3.0,13.0,4.0,1.0,11.0,8.0,103.0,140.0,54.0,,14.0,20.0,4.0,1.0,3.0,2.0,2.0,12.0,15.0,,25.0,1.0,5.0,25.0,,194.0,,,,0.0,140.0,11.0,,1.0,6.0,57.0,75.0,9.0,51.0,1.0,11.0,13.0,,,2.0,140.0,2.0,6.0,110.0,646.0,8.0,9.0,14.0,337.0,24.0,,4.0,9.0,3.0,1.0,2.0,5.0,2.0,17.0,423.0,57.0,3.0,57112,4.0,160.0,1.0,11.0,179.0,8.0,3.0,1.0,13.0,9.0,63.0,,9.0,6.0,3.0,12.0,10.0,4.0,,68.0,351.0,6.0,22.0,21.0,90.0,,0.0,2.0,3.0,3.0,4.0,0.0,3.0,1.0,,1.0,49.1,16.0,,3.0,1.0,7.0,3.0,47.0,2.0,6.0,451.0,14.0,,8.0,9.0,3.0,17.0,1.0,284.0,10.0,5.0,13.0,91.0,22.0,3.0,5.0,9.0,22.0,11.0,3.0,16.0,5.0,5.0,2.0,3.0,3.0,,2.0,4.0,,1.0,1.0,1.0,,4.0,,2.0,2.0,1.0,,,,1.0,2.0,,,,,,,,,,1.0,2.0,1.0,3.0,,,,,,,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,
26,755558,2015-02-21 17:30:00,"Etihad Stadium, Manchester",45602,Home,Manchester City,Newcastle United,5,0,W,3,0,0,0,1.0,4.0,51.0,2.0,,22.0,22.0,7.0,8.0,4.0,3.0,179.0,1.0,5.0,7.0,5.0,5.0,10.0,9.0,166.0,108.0,56.0,2.0,16.0,1.0,1.0,,3.0,3.0,4.0,13.0,21.0,3.0,22.0,7.0,8.0,25.0,2.0,331.0,,,1.0,0.0,160.0,9.0,,3.0,1.0,39.0,101.0,5.0,84.0,1.0,6.0,13.0,2.0,,2.0,108.0,3.0,3.0,175.0,785.0,5.0,3.0,12.0,524.0,15.0,,2.0,14.0,3.0,,3.0,2.0,5.0,19.0,591.0,55.0,2.0,57112,7.0,208.0,2.0,6.0,224.0,7.0,1.0,2.0,13.0,5.0,42.0,,5.0,6.0,4.0,8.0,5.0,4.0,1.0,36.0,534.0,8.0,12.0,7.0,66.0,,0.0,,3.0,4.0,1.0,0.0,1.0,3.0,,3.0,56.9,19.0,3.0,5.0,,6.0,1.0,51.0,7.0,1.0,604.0,12.0,,14.0,15.0,6.0,13.0,4.0,393.0,5.0,7.0,13.0,122.0,25.0,2.0,4.0,14.0,28.0,10.0,3.0,14.0,4.0,5.0,7.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,2.0,1.0,1.0,,,4.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,,1.0,,,
