gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attLfTarget,attMissLeft,ptsGainedLosingPos,attSvLowLeft,secondYellow,attMissHighLeft,accurateFreekickCross,attSetpiece,attMissHigh,punches,goalsConceded,accurateFlickOn,foulThrowIn,effectiveBlockedCross,goalsConcededIbox,errorLeadToGoal,blockedCross,goalsConcededObox,savedObox,attCmissRight,divingSave,attSvHighLeft,attHdPost,sixYardBlock,attFreekickMiss,attLfGoal,attGoalLowCentre,attOboxGoal,interceptionsInBox,attGoalHighLeft,attCmissHighRight,attHdGoal,goalAssistSetplay,goalAssistDeadball,shotFastbreak,attGoalHighRight,attSvHighRight,penaltyWon,totalFastbreak,defenderGoals,attPenGoal,attFastbreak,attCmissLeft,shieldBallOop,attCmissHigh,attGoalLowRight,midfielderGoals,goalFastbreak,attGoalHighCentre,ownGoals,attIboxOwnGoal,attSvHighCentre,attFreekickPost,attOboxPost,attPostHigh,attObxdLeft,attFreekickGoal,attPenPost,attCorner,clearanceOffLine,attPostRight,penaltySave,penaltyConceded,penaltyFaced,attLgRight,ptsDroppedWinningPos,attLgCentre,attPenTarget,attCmissHighLeft,attObxRight
11,918996,2017-11-05 14:15:00,"Etihad Stadium, Manchester",54286,Home,Manchester City,Arsenal,3,1,W,1,0,0,0,1.0,2.0,68.0,,1.0,23.0,22.0,2.0,3.0,7.0,2.0,2.0,189.0,4.0,16.0,3.0,3.0,6.0,,5.0,155.0,123.0,54.0,,9.0,1.0,5.0,1.0,1.0,,,2.0,1.0,13.0,,12.0,1.0,22.0,4.0,20.0,32.0,,279.0,,,0.0,137.0,15.0,,,93.0,54.0,3.0,113.0,,9.0,15.0,2.0,,1.0,,123.0,2.0,,3.0,,167.0,807.0,2.0,5.0,27.0,,,14.0,524.0,22.0,1.0,8.0,2.0,,1.0,,2.0,16.0,602.0,47.0,2.0,,97299,2.0,269.0,2.0,8.0,291.0,6.0,2.0,,15.0,3.0,39.0,5.0,3.0,6.0,2.0,12.0,3.0,2.0,45.0,544.0,15.0,5.0,1.0,6.0,61.0,,0.0,,,5.0,1.0,3.0,0.0,1.0,1.0,1.0,58.2,13.0,1.0,9.0,2.0,6.0,2.0,41.0,5.0,,624.0,14.0,13.0,16.0,2.0,24.0,3.0,2.0,346.0,5.0,19.0,5.0,99.0,29.0,1.0,8.0,18.0,5.0,3.0,19.0,9.0,5.0,,,,1.0,,,,,2.0,,1.0,1.0,,2.0,1.0,,2.0,,1.0,,1.0,,,,,1.0,1.0,,4.0,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
12,919008,2017-11-18 15:00:00,"King Power Stadium, Leicester",31908,Away,Manchester City,Leicester City,2,0,W,1,0,0,0,1.0,1.0,56.0,,2.0,30.0,17.0,5.0,9.0,7.0,1.0,1.0,207.0,1.0,13.0,2.0,3.0,10.0,,4.0,221.0,126.0,47.0,,12.0,,12.0,2.0,,,4.0,2.0,,14.0,,10.0,,17.0,6.0,21.0,23.0,,366.0,,1.0,0.0,194.0,10.0,2.0,,100.0,79.0,6.0,126.0,,8.0,23.0,5.0,,2.0,4.0,126.0,2.0,,1.0,,230.0,943.0,8.0,6.0,45.0,,,9.0,691.0,23.0,1.0,6.0,2.0,4.0,1.0,1.0,4.0,19.0,765.0,57.0,1.0,,97299,2.0,340.0,1.0,4.0,362.0,6.0,1.0,3.0,23.0,7.0,41.0,4.0,1.0,2.0,2.0,17.0,1.0,5.0,45.0,705.0,8.0,10.0,,6.0,83.0,1.0,0.0,,2.0,1.0,,1.0,0.0,,1.0,,74.7,16.0,,3.0,3.0,2.0,2.0,71.0,7.0,,784.0,9.0,8.0,16.0,6.0,34.0,1.0,2.0,436.0,3.0,19.0,13.0,157.0,27.0,1.0,6.0,13.0,9.0,3.0,16.0,8.0,7.0,1.0,1.0,,,,3.0,,1.0,2.0,1.0,,4.0,,1.0,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,919015,2017-11-26 16:00:00,"John Smith's Stadium, Huddersfield",24121,Away,Manchester City,Huddersfield Town,2,1,W,0,1,0,1,1.0,2.0,62.0,,1.0,20.0,17.0,4.0,3.0,10.0,,2.0,203.0,2.0,15.0,2.0,5.0,6.0,,5.0,238.0,139.0,57.0,1.0,14.0,1.0,19.0,3.0,,1.0,1.0,,1.0,16.0,,15.0,,17.0,6.0,24.0,34.0,,487.0,,,0.0,285.0,10.0,1.0,,60.0,118.0,3.0,90.0,2.0,10.0,20.0,4.0,1.0,1.0,2.0,139.0,2.0,,3.0,,202.0,914.0,5.0,1.0,28.0,,1.0,6.0,626.0,31.0,1.0,10.0,,1.0,3.0,1.0,3.0,16.0,714.0,97.0,3.0,,61366,8.0,157.0,3.0,8.0,176.0,5.0,2.0,1.0,20.0,7.0,51.0,7.0,3.0,5.0,1.0,14.0,2.0,7.0,36.0,642.0,10.0,8.0,1.0,4.0,43.0,,0.0,,1.0,3.0,,2.0,0.0,1.0,,1.0,79.5,16.0,1.0,3.0,1.0,5.0,2.0,33.0,7.0,,733.0,6.0,6.0,14.0,7.0,36.0,1.0,4.0,573.0,9.0,21.0,11.0,221.0,23.0,2.0,10.0,21.0,10.0,3.0,25.0,8.0,7.0,1.0,1.0,3.0,1.0,,1.0,,,2.0,,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,
14,919031,2017-11-29 20:00:00,"Etihad Stadium, Manchester",53407,Home,Manchester City,Southampton,2,1,W,0,0,0,0,,,77.0,1.0,2.0,18.0,12.0,14.0,2.0,11.0,1.0,8.0,209.0,4.0,7.0,2.0,3.0,21.0,,12.0,255.0,169.0,53.0,,26.0,4.0,13.0,5.0,3.0,,3.0,1.0,3.0,21.0,,8.0,5.0,12.0,3.0,21.0,22.0,,487.0,,,0.0,284.0,12.0,2.0,1.0,138.0,112.0,15.0,92.0,1.0,18.0,30.0,15.0,,6.0,4.0,169.0,2.0,,7.0,,222.0,982.0,17.0,7.0,33.0,1.0,,9.0,651.0,29.0,1.0,6.0,1.0,3.0,1.0,2.0,6.0,29.0,760.0,87.0,,,61366,4.0,185.0,2.0,10.0,213.0,6.0,2.0,1.0,30.0,3.0,48.0,1.0,1.0,6.0,1.0,19.0,,3.0,31.0,668.0,11.0,9.0,3.0,3.0,63.0,4.0,0.0,,4.0,5.0,1.0,,0.0,3.0,,3.0,74.3,26.0,2.0,5.0,3.0,6.0,6.0,52.0,6.0,2.0,778.0,9.0,12.0,9.0,8.0,39.0,1.0,4.0,586.0,21.0,20.0,19.0,222.0,37.0,1.0,6.0,16.0,18.0,2.0,10.0,9.0,6.0,1.0,4.0,,2.0,,,1.0,4.0,3.0,,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,,2.0,,,,,,,2.0,1.0,,,2.0,,,2.0,3.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
15,919039,2017-12-03 16:00:00,"Etihad Stadium, Manchester",54203,Home,Manchester City,West Ham United,2,1,W,0,1,0,0,,2.0,64.0,,6.0,21.0,9.0,12.0,11.0,12.0,3.0,4.0,186.0,6.0,13.0,2.0,4.0,21.0,,8.0,249.0,149.0,58.0,1.0,24.0,5.0,15.0,3.0,1.0,,1.0,2.0,,28.0,,18.0,3.0,9.0,6.0,18.0,26.0,,496.0,3.0,,0.0,375.0,5.0,1.0,,112.0,137.0,17.0,96.0,,22.0,23.0,12.0,1.0,8.0,4.0,149.0,2.0,,5.0,,222.0,956.0,18.0,1.0,53.0,,,6.0,643.0,24.0,1.0,5.0,2.0,1.0,2.0,,4.0,20.0,730.0,75.0,,,61366,5.0,174.0,,13.0,186.0,4.0,1.0,2.0,23.0,6.0,52.0,5.0,2.0,4.0,2.0,14.0,2.0,5.0,31.0,664.0,7.0,12.0,1.0,2.0,46.0,4.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,2.0,2.0,,77.0,19.0,,6.0,3.0,4.0,11.0,36.0,10.0,,753.0,6.0,15.0,13.0,5.0,53.0,4.0,1.0,595.0,13.0,17.0,17.0,313.0,28.0,,5.0,22.0,21.0,3.0,18.0,8.0,10.0,2.0,,3.0,,,2.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,2.0,,1.0,,,4.0,,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,1.0,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
16,919047,2017-12-10 16:30:00,"Old Trafford, Manchester",74847,Away,Manchester City,Manchester United,2,1,W,1,1,0,0,,2.0,62.0,,1.0,19.0,15.0,7.0,7.0,7.0,4.0,1.0,169.0,2.0,17.0,2.0,3.0,9.0,,7.0,173.0,152.0,68.0,,14.0,3.0,13.0,4.0,,,1.0,,2.0,10.0,,12.0,1.0,15.0,4.0,10.0,15.0,,266.0,,,0.0,200.0,10.0,3.0,,78.0,84.0,6.0,97.0,,6.0,15.0,7.0,,1.0,3.0,152.0,1.0,2.0,6.0,,167.0,789.0,9.0,,43.0,,,9.0,482.0,29.0,3.0,10.0,,1.0,2.0,1.0,3.0,20.0,577.0,55.0,3.0,1.0,61366,3.0,238.0,2.0,2.0,258.0,7.0,1.0,,15.0,6.0,59.0,3.0,,3.0,,11.0,2.0,3.0,48.0,502.0,15.0,14.0,,22.0,76.0,,0.0,,3.0,2.0,3.0,2.0,0.0,1.0,,,64.6,16.0,,4.0,,3.0,4.0,48.0,8.0,,606.0,9.0,15.0,7.0,3.0,20.0,1.0,,358.0,7.0,8.0,20.0,143.0,25.0,,10.0,18.0,12.0,3.0,24.0,3.0,8.0,4.0,,,2.0,,1.0,,1.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,2.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
17,919057,2017-12-13 19:45:00,"Liberty Stadium, Swansea",20870,Away,Manchester City,Swansea City,4,0,W,2,0,0,0,,2.0,56.0,2.0,3.0,19.0,14.0,5.0,7.0,17.0,3.0,3.0,229.0,5.0,19.0,4.0,6.0,16.0,,10.0,249.0,110.0,58.0,2.0,23.0,,10.0,3.0,4.0,,,3.0,3.0,16.0,,14.0,3.0,14.0,3.0,13.0,18.0,,474.0,1.0,1.0,0.0,255.0,6.0,2.0,1.0,145.0,107.0,8.0,137.0,1.0,13.0,10.0,6.0,2.0,2.0,2.0,110.0,5.0,,3.0,,219.0,1010.0,11.0,4.0,43.0,,,2.0,747.0,22.0,2.0,5.0,3.0,,0.0,2.0,8.0,22.0,816.0,67.0,2.0,,61366,9.0,294.0,3.0,9.0,314.0,3.0,2.0,1.0,10.0,3.0,42.0,3.0,1.0,3.0,3.0,14.0,4.0,2.0,33.0,763.0,11.0,14.0,2.0,7.0,65.0,1.0,0.0,1.0,,2.0,1.0,3.0,0.0,5.0,2.0,2.0,78.5,22.0,2.0,5.0,,3.0,3.0,55.0,5.0,1.0,834.0,2.0,6.0,12.0,10.0,29.0,,8.0,536.0,14.0,10.0,11.0,215.0,24.0,1.0,5.0,17.0,18.0,3.0,25.0,4.0,5.0,3.0,2.0,,2.0,,1.0,1.0,1.0,5.0,1.0,,3.0,1.0,,,,,,2.0,1.0,3.0,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
18,919069,2017-12-16 17:30:00,"Etihad Stadium, Manchester",54214,Home,Manchester City,Tottenham Hotspur,4,1,W,1,0,0,0,,3.0,59.0,1.0,2.0,33.0,7.0,4.0,11.0,16.0,1.0,3.0,157.0,4.0,14.0,4.0,4.0,15.0,,11.0,105.0,138.0,54.0,,20.0,,6.0,4.0,1.0,1.0,,3.0,1.0,11.0,1.0,11.0,3.0,7.0,4.0,9.0,34.0,,190.0,,,0.0,144.0,13.0,1.0,,75.0,60.0,11.0,81.0,2.0,7.0,22.0,4.0,,1.0,1.0,138.0,4.0,3.0,1.0,1.0,113.0,649.0,9.0,4.0,33.0,,2.0,11.0,344.0,22.0,3.0,2.0,4.0,,2.0,1.0,3.0,18.0,425.0,56.0,1.0,,61366,9.0,184.0,4.0,5.0,210.0,9.0,2.0,,22.0,7.0,49.0,1.0,4.0,5.0,3.0,19.0,6.0,6.0,57.0,370.0,19.0,13.0,1.0,14.0,52.0,2.0,0.0,,,1.0,,4.0,0.0,2.0,3.0,2.0,52.9,13.0,1.0,4.0,5.0,5.0,2.0,31.0,5.0,,456.0,11.0,13.0,20.0,7.0,21.0,2.0,5.0,257.0,7.0,7.0,3.0,103.0,26.0,2.0,2.0,18.0,16.0,3.0,18.0,11.0,5.0,4.0,1.0,,2.0,,,1.0,2.0,3.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,,2.0,,,1.0,1.0,1.0,1.0,,,1.0,2.0,,,1.0,,1.0,2.0,,2.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,
19,919078,2017-12-23 15:00:00,"Etihad Stadium, Manchester",54270,Home,Manchester City,Bournemouth,4,0,W,1,0,0,0,3.0,3.0,54.0,2.0,,30.0,10.0,8.0,3.0,6.0,1.0,1.0,219.0,3.0,9.0,4.0,1.0,10.0,,5.0,254.0,122.0,47.0,,14.0,4.0,10.0,,2.0,,1.0,4.0,,18.0,,16.0,1.0,10.0,2.0,16.0,44.0,1.0,525.0,,1.0,0.0,257.0,8.0,1.0,1.0,141.0,165.0,7.0,167.0,1.0,16.0,9.0,8.0,,5.0,3.0,122.0,3.0,,5.0,,261.0,1057.0,5.0,2.0,27.0,,,9.0,813.0,26.0,,4.0,4.0,1.0,0.0,2.0,3.0,21.0,889.0,94.0,3.0,,61366,3.0,303.0,,10.0,328.0,2.0,1.0,,9.0,,32.0,5.0,4.0,4.0,4.0,12.0,,,49.0,825.0,7.0,7.0,1.0,6.0,69.0,,0.0,,3.0,6.0,1.0,4.0,0.0,2.0,4.0,3.0,78.8,19.0,1.0,3.0,1.0,4.0,4.0,57.0,4.0,1.0,901.0,9.0,7.0,25.0,5.0,37.0,1.0,2.0,591.0,8.0,16.0,13.0,215.0,20.0,3.0,4.0,19.0,12.0,3.0,12.0,2.0,4.0,,,,,,1.0,,,3.0,1.0,,,,2.0,,,2.0,,,,,1.0,,,,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
20,919089,2017-12-27 19:45:00,"St. James' Park, Newcastle",52311,Away,Manchester City,Newcastle United,1,0,W,1,0,0,0,2.0,,64.0,1.0,2.0,18.0,9.0,10.0,6.0,12.0,1.0,3.0,192.0,4.0,13.0,1.0,3.0,20.0,,6.0,256.0,136.0,52.0,,22.0,2.0,22.0,4.0,,2.0,,1.0,1.0,15.0,1.0,9.0,1.0,9.0,8.0,17.0,32.0,,499.0,,1.0,0.0,241.0,6.0,2.0,1.0,152.0,92.0,8.0,124.0,4.0,7.0,20.0,10.0,,2.0,6.0,136.0,2.0,1.0,3.0,,252.0,1000.0,17.0,2.0,24.0,2.0,4.0,11.0,722.0,17.0,3.0,3.0,1.0,,0.0,2.0,12.0,19.0,806.0,89.0,1.0,1.0,61366,5.0,241.0,2.0,3.0,257.0,3.0,,,20.0,3.0,51.0,4.0,4.0,3.0,1.0,15.0,3.0,1.0,37.0,736.0,9.0,11.0,2.0,12.0,59.0,2.0,0.0,,3.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,78.0,18.0,,5.0,2.0,3.0,4.0,46.0,8.0,1.0,824.0,11.0,10.0,14.0,12.0,45.0,3.0,4.0,582.0,14.0,16.0,15.0,183.0,38.0,1.0,3.0,15.0,20.0,3.0,17.0,9.0,8.0,,2.0,,1.0,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,1.0,3.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,2.0,,,,,,,,1.0,,1.0,,,,,1.0,1.0,2.0,,,,,,,,,
21,919095,2017-12-31 12:00:00,"Selhurst Park, London",25804,Away,Manchester City,Crystal Palace,0,0,D,0,0,0,0,,,52.0,,1.0,20.0,26.0,10.0,4.0,5.0,1.0,1.0,185.0,3.0,14.0,,7.0,8.0,3.0,4.0,186.0,140.0,58.0,4.0,15.0,6.0,15.0,2.0,,,2.0,,2.0,20.0,,11.0,2.0,26.0,6.0,4.0,36.0,,312.0,,1.0,0.0,236.0,11.0,2.0,,79.0,106.0,5.0,83.0,2.0,14.0,20.0,10.0,4.0,6.0,2.0,140.0,,2.0,6.0,,172.0,840.0,8.0,5.0,28.0,1.0,1.0,7.0,531.0,27.0,,19.0,,2.0,4.0,5.0,3.0,18.0,605.0,58.0,,1.0,97299,4.0,241.0,1.0,6.0,262.0,5.0,,4.0,20.0,6.0,62.0,1.0,2.0,7.0,,21.0,4.0,6.0,39.0,550.0,14.0,17.0,,11.0,60.0,1.0,0.0,,3.0,7.0,2.0,,0.0,,,1.0,74.5,16.0,,7.0,,7.0,7.0,48.0,8.0,,626.0,7.0,14.0,22.0,4.0,40.0,3.0,2.0,384.0,10.0,4.0,16.0,190.0,10.0,,19.0,14.0,11.0,3.0,19.0,7.0,8.0,2.0,1.0,,,,,,,1.0,,,,,3.0,,,3.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,
22,919108,2018-01-02 20:00:00,"Etihad Stadium, Manchester",53556,Home,Manchester City,Watford,3,1,W,2,0,0,0,,2.0,70.0,1.0,2.0,27.0,7.0,4.0,5.0,13.0,3.0,4.0,231.0,5.0,16.0,3.0,5.0,14.0,1.0,7.0,249.0,130.0,48.0,2.0,18.0,1.0,5.0,4.0,2.0,,,1.0,1.0,21.0,,7.0,1.0,7.0,4.0,17.0,41.0,,412.0,,,0.0,228.0,8.0,1.0,,140.0,107.0,8.0,140.0,1.0,17.0,20.0,5.0,2.0,4.0,3.0,130.0,3.0,,5.0,,234.0,1035.0,12.0,1.0,37.0,1.0,1.0,7.0,758.0,29.0,,3.0,1.0,,1.0,1.0,6.0,20.0,828.0,74.0,,,97299,6.0,377.0,2.0,12.0,393.0,7.0,1.0,2.0,20.0,8.0,46.0,,1.0,2.0,1.0,14.0,2.0,8.0,41.0,784.0,12.0,8.0,1.0,3.0,74.0,2.0,0.0,1.0,2.0,1.0,3.0,3.0,0.0,4.0,1.0,2.0,76.7,19.0,1.0,10.0,2.0,3.0,3.0,64.0,9.0,,854.0,7.0,14.0,29.0,8.0,38.0,1.0,5.0,482.0,11.0,16.0,6.0,189.0,27.0,2.0,3.0,14.0,11.0,3.0,27.0,9.0,9.0,,4.0,,,,1.0,,2.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
23,919117,2018-01-14 16:00:00,"Anfield, Liverpool",53285,Away,Manchester City,Liverpool,3,4,L,1,1,0,0,1.0,1.0,77.0,1.0,2.0,25.0,21.0,5.0,3.0,6.0,3.0,1.0,216.0,3.0,20.0,3.0,4.0,10.0,,4.0,171.0,164.0,76.0,,11.0,2.0,4.0,,,1.0,3.0,2.0,,13.0,1.0,11.0,1.0,21.0,3.0,15.0,44.0,,222.0,,,0.0,122.0,7.0,3.0,,64.0,74.0,7.0,98.0,1.0,10.0,17.0,5.0,,2.0,2.0,164.0,,,7.0,,182.0,890.0,7.0,6.0,16.0,,1.0,11.0,548.0,28.0,,11.0,2.0,3.0,3.0,5.0,3.0,20.0,641.0,49.0,,3.0,97299,4.0,352.0,,5.0,385.0,4.0,1.0,,17.0,9.0,61.0,2.0,3.0,11.0,3.0,18.0,9.0,6.0,51.0,571.0,10.0,18.0,1.0,10.0,80.0,,0.0,,1.0,5.0,2.0,3.0,0.0,2.0,1.0,1.0,64.3,17.0,,4.0,2.0,11.0,4.0,59.0,6.0,2.0,667.0,11.0,25.0,22.0,3.0,27.0,1.0,,295.0,7.0,14.0,22.0,83.0,32.0,1.0,11.0,24.0,10.0,2.0,28.0,4.0,6.0,,1.0,,1.0,,,,,,2.0,4.0,4.0,,,2.0,2.0,,2.0,1.0,,2.0,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
24,919128,2018-01-20 17:30:00,"Etihad Stadium, Manchester",54452,Home,Manchester City,Newcastle United,3,1,W,1,0,0,0,1.0,2.0,60.0,1.0,1.0,33.0,20.0,7.0,4.0,13.0,3.0,4.0,223.0,4.0,22.0,3.0,6.0,17.0,2.0,9.0,238.0,141.0,71.0,1.0,21.0,1.0,16.0,5.0,1.0,,,2.0,3.0,32.0,,9.0,1.0,20.0,13.0,10.0,32.0,,527.0,,,0.0,364.0,5.0,,,163.0,115.0,10.0,120.0,5.0,20.0,25.0,8.0,1.0,5.0,6.0,141.0,1.0,,5.0,,218.0,1019.0,12.0,1.0,49.0,,1.0,5.0,706.0,22.0,2.0,13.0,2.0,,0.0,,7.0,22.0,779.0,94.0,,1.0,97299,10.0,200.0,,15.0,213.0,1.0,1.0,4.0,25.0,1.0,47.0,,4.0,5.0,2.0,13.0,1.0,,44.0,723.0,10.0,10.0,3.0,6.0,52.0,2.0,0.0,,2.0,,3.0,3.0,0.0,1.0,2.0,2.0,80.5,22.0,1.0,7.0,,5.0,2.0,42.0,18.0,,799.0,5.0,12.0,23.0,10.0,62.0,4.0,4.0,618.0,15.0,10.0,17.0,310.0,25.0,3.0,13.0,23.0,14.0,2.0,28.0,9.0,18.0,2.0,3.0,,,,,,,2.0,,1.0,,,1.0,1.0,,1.0,,,5.0,,,,,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,,,1.0,,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
25,919138,2018-01-31 20:00:00,"Etihad Stadium, Manchester",53241,Home,Manchester City,West Bromwich Albion,3,0,W,1,0,0,0,1.0,1.0,71.0,1.0,,34.0,7.0,6.0,7.0,12.0,1.0,6.0,184.0,,13.0,3.0,6.0,12.0,1.0,10.0,188.0,137.0,53.0,2.0,19.0,2.0,11.0,4.0,2.0,1.0,,3.0,,20.0,,13.0,3.0,7.0,2.0,16.0,36.0,,374.0,,1.0,0.0,262.0,10.0,2.0,1.0,111.0,117.0,9.0,131.0,3.0,18.0,28.0,7.0,2.0,6.0,1.0,137.0,3.0,1.0,2.0,,192.0,864.0,9.0,4.0,47.0,,1.0,8.0,601.0,22.0,,2.0,3.0,,1.0,1.0,3.0,18.0,679.0,73.0,2.0,,61366,8.0,240.0,2.0,10.0,255.0,5.0,1.0,3.0,28.0,2.0,42.0,4.0,,3.0,3.0,10.0,1.0,1.0,51.0,614.0,10.0,6.0,,11.0,63.0,3.0,0.0,1.0,5.0,1.0,1.0,3.0,0.0,,3.0,,74.3,14.0,,7.0,2.0,3.0,2.0,47.0,9.0,1.0,695.0,8.0,10.0,22.0,7.0,41.0,,5.0,460.0,11.0,12.0,15.0,213.0,39.0,1.0,2.0,16.0,16.0,2.0,20.0,10.0,9.0,1.0,1.0,,1.0,,,,,2.0,,,1.0,,1.0,,,1.0,,,2.0,1.0,1.0,,,,2.0,1.0,,,,,,,,3.0,,,,4.0,,,3.0,1.0,,2.0,1.0,2.0,1.0,,,,2.0,,1.0,1.0,,,,,,,,,,1.0,,,,,
26,919146,2018-02-03 12:30:00,"Turf Moor, Burnley",21658,Away,Manchester City,Burnley,1,1,D,1,0,0,0,1.0,,49.0,,4.0,42.0,25.0,10.0,7.0,10.0,2.0,3.0,185.0,1.0,7.0,1.0,1.0,14.0,,7.0,191.0,132.0,41.0,1.0,20.0,3.0,15.0,3.0,1.0,,1.0,,3.0,16.0,,6.0,3.0,25.0,3.0,9.0,40.0,,295.0,,,0.0,233.0,6.0,,,88.0,96.0,10.0,137.0,,14.0,23.0,10.0,1.0,4.0,3.0,132.0,1.0,,6.0,,182.0,870.0,12.0,7.0,52.0,1.0,,12.0,578.0,25.0,4.0,15.0,1.0,1.0,1.0,1.0,4.0,20.0,661.0,58.0,,,61366,5.0,311.0,2.0,10.0,335.0,3.0,1.0,1.0,23.0,12.0,32.0,,,2.0,,12.0,2.0,7.0,70.0,605.0,8.0,3.0,1.0,16.0,78.0,,0.0,,3.0,3.0,2.0,,0.0,,,2.0,70.8,17.0,1.0,3.0,1.0,2.0,7.0,48.0,13.0,,695.0,12.0,5.0,22.0,6.0,31.0,2.0,3.0,376.0,11.0,9.0,13.0,189.0,19.0,,15.0,13.0,12.0,1.0,11.0,10.0,13.0,2.0,4.0,,1.0,,,,,2.0,,1.0,3.0,,3.0,1.0,,3.0,,,,2.0,1.0,,1.0,,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,
