gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attGoalLowRight,accuratePullBack,attFreekickTotal,shotFastbreak,postScoringAtt,attIboxPost,penaltyWon,ptsGainedLosingPos,totalFastbreak,freekickCross,freekickTotal,crosses18yardplus,contentiousDecision,attHdTarget,hitWoodwork,bigChanceMissed,attPenGoal,attAssistSetplay,attFastbreak,attCmissLeft,overrun,attOboxPost,attPostHigh,goalsConceded,attHdTotal,attHdMiss,attSvHighCentre,accurateCornersIntobox,handBall,attSvLowCentre,attGoalHighRight,attOneOnOne,attMissHighRight,errorLeadToShot,fastestPlayer_topSpeed,attObxdLeft,totalDistance,attCmissHigh,ownGoals,attMissHigh,punches,attCmissHighRight,attFreekickMiss,attPostRight,attIboxOwnGoal,goalsConcededIbox,attSvHighRight,attPostLeft,sixYardBlock,attSvLowRight,errorLeadToGoal,attBxRight,attFreekickPost,attGoalHighCentre,subsGoals,attMissHighLeft,attCmissHighLeft,ptsDroppedWinningPos,accurateFreekickCross,attSetpiece,penaltyConceded,defenderGoals,foulThrowIn,penaltyFaced,penGoalsConceded,goalAssistSetplay,goalAssistDeadball,attHdGoal,goodHighClaim,attGoalHighLeft,goalFastbreak,secondYellow,attObxRight,attPenTarget,attHdPost,clearanceOffLine,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,attObxLeft,attFreekickTarget,winningGoal,keeperGoals,attObpGoal,attFreekickGoal
11,2444571,2024-11-09 17:30:00,"American Express Stadium, Falmer",31715,Away,Manchester City,Brighton and Hove Albion,1,2,L,1,0,0,0,2.0,1.0,43.0,,,1.0,24.0,8.0,3.0,7.0,12.0,2.0,,2.0,171.0,,4.0,15.0,1.0,1.0,13.0,1.0,6.0,188.0,105.0,44.0,15.0,2.0,6.0,5.0,4.0,,3.0,11.0,5.0,,8.0,4.0,9.0,30.0,263.0,,,0.0,135.0,10.0,2.0,1.0,,1.0,57.0,72.0,7.0,106.0,,2.0,7.0,16.0,3.0,1.0,105.0,4.0,8.0,188.0,812.0,11.0,5.0,28.0,4.0,567.0,10.0,6.0,1.0,,4.0,3.0,2.0,6.0,18.0,633.0,61.0,1.0,91651,3.0,327.0,5.0,344.0,5.0,1.0,3.0,5.0,3.0,34.0,2.0,1.0,6.0,1.0,11.0,2.0,3.0,40.0,586.0,12.0,2.0,14.0,1.0,56.0,0.0,,2.0,1.0,3.0,0.0,3.0,,,60.5,17.0,2.0,2.0,6.0,3.0,41.0,4.0,2.0,653.0,4.0,12.0,17.0,6.0,22.0,5.0,320.0,5.0,9.0,5.0,100.0,24.0,1.0,,1.0,12.0,13.0,2.0,19.0,,5.0,4.0,,,,,3.0,,,,,3.0,1.0,,1.0,,1.0,1.0,4.0,,2.0,3.0,1.0,2.0,,,2.0,3.0,2.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,2.0,,2.0,,,,1.0,,3.0,1.0,1.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,
12,2444587,2024-11-23 17:30:00,"Etihad Stadium, Manchester",52478,Home,Manchester City,Tottenham Hotspur,0,4,L,0,2,0,0,4.0,,45.0,,1.0,4.0,22.0,13.0,6.0,16.0,17.0,3.0,,1.0,127.0,,7.0,9.0,,3.0,22.0,,5.0,185.0,99.0,41.0,23.0,3.0,5.0,3.0,,,1.0,33.0,8.0,2.0,13.0,6.0,7.0,32.0,324.0,,,0.0,214.0,19.0,1.0,,,2.0,73.0,92.0,12.0,89.0,,1.0,27.0,19.0,6.0,1.0,99.0,4.0,7.0,165.0,745.0,20.0,1.0,43.0,9.0,503.0,16.0,1.0,7.0,,,4.0,,10.0,16.0,546.0,61.0,2.0,97299,8.0,206.0,13.0,215.0,10.0,,1.0,10.0,2.0,45.0,3.0,2.0,1.0,,13.0,2.0,2.0,31.0,523.0,9.0,8.0,4.0,4.0,48.0,0.0,3.0,2.0,,,0.0,6.0,,,57.6,15.0,6.0,2.0,1.0,7.0,44.0,9.0,,566.0,9.0,8.0,26.0,11.0,42.0,9.0,384.0,4.0,6.0,10.0,188.0,22.0,,1.0,7.0,13.0,19.0,3.0,14.0,1.0,10.0,9.0,,,1.0,,,1.0,1.0,,,,2.0,,12.0,,,1.0,4.0,,2.0,,,1.0,,1.0,4.0,3.0,3.0,,1.0,,2.0,,,,,,,,1.0,,7.0,1.0,,,,,4.0,,,1.0,1.0,2.0,3.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2444594,2024-12-01 16:00:00,"Anfield, Liverpool",60248,Away,Manchester City,Liverpool,0,2,L,0,1,0,0,1.0,,44.0,,2.0,3.0,10.0,21.0,1.0,3.0,7.0,5.0,,1.0,168.0,,,13.0,,,6.0,,2.0,162.0,113.0,44.0,8.0,,7.0,2.0,2.0,,2.0,9.0,14.0,,21.0,2.0,7.0,21.0,243.0,,,0.0,159.0,8.0,3.0,,,1.0,105.0,46.0,3.0,83.0,1.0,,7.0,13.0,1.0,1.0,113.0,,11.0,131.0,723.0,6.0,,30.0,5.0,453.0,10.0,1.0,7.0,,2.0,3.0,4.0,3.0,13.0,515.0,48.0,1.0,88248,5.0,238.0,7.0,253.0,4.0,,1.0,6.0,11.0,42.0,2.0,3.0,4.0,,14.0,7.0,10.0,32.0,481.0,9.0,5.0,12.0,,45.0,0.0,7.0,3.0,,,0.0,,,,56.2,13.0,6.0,1.0,4.0,3.0,28.0,4.0,,544.0,5.0,12.0,9.0,3.0,16.0,2.0,300.0,5.0,6.0,5.0,124.0,22.0,,2.0,7.0,17.0,8.0,4.0,23.0,2.0,6.0,4.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,,2.0,,,,,,1.0,,1.0,,3.0,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14,2444607,2024-12-04 19:30:00,"Etihad Stadium, Manchester",51764,Home,Manchester City,Nottingham Forest,3,0,W,2,0,0,0,,2.0,48.0,2.0,1.0,,19.0,15.0,5.0,5.0,12.0,3.0,1.0,3.0,142.0,,6.0,13.0,3.0,2.0,15.0,1.0,7.0,169.0,111.0,51.0,17.0,3.0,5.0,4.0,,3.0,2.0,15.0,11.0,,15.0,5.0,8.0,22.0,283.0,1.0,,0.0,189.0,7.0,2.0,,3.0,1.0,93.0,55.0,9.0,109.0,1.0,2.0,10.0,14.0,5.0,2.0,111.0,4.0,8.0,163.0,762.0,11.0,3.0,42.0,5.0,491.0,17.0,1.0,5.0,3.0,,2.0,2.0,6.0,16.0,552.0,52.0,1.0,88248,7.0,244.0,9.0,263.0,4.0,2.0,5.0,7.0,9.0,41.0,3.0,1.0,4.0,3.0,11.0,4.0,8.0,33.0,521.0,15.0,5.0,10.0,3.0,44.0,0.0,2.0,2.0,3.0,1.0,0.0,4.0,1.0,,66.6,14.0,4.0,2.0,5.0,3.0,33.0,8.0,,583.0,5.0,15.0,15.0,7.0,24.0,5.0,335.0,9.0,8.0,7.0,156.0,22.0,,,5.0,16.0,13.0,5.0,22.0,,7.0,8.0,,1.0,,1.0,1.0,,,,,2.0,,1.0,1.0,,1.0,,2.0,,1.0,1.0,2.0,1.0,,,,3.0,2.0,,2.0,,1.0,,,,2.0,,,,,,3.0,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
15,2444612,2024-12-07 15:00:00,"Selhurst Park, London",25142,Away,Manchester City,Crystal Palace,2,2,D,1,1,1,0,1.0,2.0,51.0,,,3.0,20.0,16.0,3.0,4.0,9.0,1.0,,1.0,179.0,,5.0,5.0,2.0,,10.0,,4.0,206.0,129.0,35.0,12.0,1.0,6.0,2.0,,2.0,1.0,16.0,7.0,,16.0,6.0,8.0,32.0,355.0,,,0.0,233.0,10.0,,,,1.0,125.0,74.0,8.0,126.0,1.0,1.0,10.0,19.0,3.0,1.0,129.0,3.0,6.0,208.0,883.0,6.0,,34.0,7.0,622.0,22.0,3.0,9.0,2.0,,0.0,8.0,2.0,17.0,704.0,65.0,2.0,88248,8.0,286.0,5.0,307.0,7.0,1.0,2.0,7.0,3.0,39.0,2.0,2.0,8.0,2.0,14.0,6.0,3.0,43.0,636.0,4.0,6.0,16.0,2.0,80.0,0.0,6.0,1.0,2.0,,1.0,2.0,2.0,,68.2,16.0,3.0,,8.0,4.0,61.0,8.0,1.0,719.0,7.0,12.0,15.0,4.0,25.0,2.0,428.0,5.0,7.0,12.0,189.0,18.0,1.0,2.0,9.0,14.0,10.0,2.0,11.0,2.0,7.0,8.0,,,,,1.0,1.0,,,1.0,1.0,,,5.0,,,1.0,1.0,,2.0,1.0,1.0,,1.0,,2.0,3.0,1.0,,3.0,1.0,1.0,,,,1.0,,,,1.0,,1.0,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,
16,2444625,2024-12-15 16:30:00,"Etihad Stadium, Manchester",52788,Home,Manchester City,Manchester United,1,2,L,1,0,0,0,1.0,,35.0,,,3.0,22.0,10.0,4.0,6.0,5.0,1.0,,1.0,143.0,1.0,2.0,9.0,1.0,3.0,5.0,1.0,3.0,134.0,117.0,47.0,10.0,,12.0,,,,,19.0,10.0,2.0,10.0,4.0,15.0,27.0,259.0,,,0.0,161.0,5.0,1.0,,,1.0,88.0,34.0,4.0,94.0,,1.0,15.0,20.0,5.0,3.0,117.0,,7.0,127.0,663.0,4.0,5.0,18.0,10.0,403.0,13.0,4.0,2.0,,,1.0,3.0,1.0,19.0,464.0,63.0,1.0,97299,2.0,175.0,9.0,193.0,2.0,,,8.0,8.0,49.0,4.0,,2.0,,7.0,3.0,7.0,44.0,432.0,14.0,8.0,16.0,3.0,47.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,,1.0,51.8,17.0,7.0,1.0,2.0,3.0,32.0,8.0,,498.0,10.0,12.0,11.0,4.0,28.0,1.0,324.0,2.0,12.0,10.0,127.0,13.0,,,2.0,14.0,7.0,3.0,21.0,,8.0,8.0,,,,,,,,,,,2.0,,4.0,,,,,,1.0,,,1.0,,,2.0,2.0,1.0,,1.0,,,,,,,,,,,,3.0,,,,,,2.0,1.0,,,,,1.0,,,,,,3.0,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,
17,2444630,2024-12-21 12:30:00,"Villa Park, Birmingham",42345,Away,Manchester City,Aston Villa,1,2,L,0,1,0,0,2.0,1.0,40.0,,1.0,,23.0,15.0,5.0,5.0,7.0,4.0,1.0,3.0,111.0,,2.0,8.0,1.0,3.0,11.0,,6.0,177.0,83.0,30.0,12.0,1.0,2.0,2.0,,,,14.0,4.0,3.0,15.0,2.0,14.0,24.0,307.0,,,0.0,173.0,7.0,3.0,,1.0,1.0,68.0,53.0,6.0,80.0,1.0,3.0,12.0,14.0,5.0,1.0,83.0,1.0,10.0,169.0,684.0,11.0,1.0,22.0,5.0,474.0,13.0,2.0,5.0,,,3.0,2.0,5.0,10.0,515.0,64.0,,97299,3.0,191.0,7.0,203.0,4.0,,1.0,9.0,4.0,37.0,,,5.0,1.0,8.0,1.0,4.0,31.0,496.0,14.0,6.0,6.0,,38.0,0.0,5.0,3.0,1.0,,0.0,2.0,,,56.1,10.0,4.0,3.0,5.0,1.0,33.0,4.0,,537.0,5.0,13.0,19.0,5.0,21.0,4.0,348.0,5.0,13.0,2.0,147.0,18.0,,,5.0,6.0,12.0,3.0,17.0,,9.0,4.0,,1.0,,,,,,,,,4.0,,1.0,,,,1.0,,,,,,,,2.0,2.0,2.0,1.0,,,3.0,,,,1.0,,,,1.0,,1.0,,,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2444645,2024-12-26 12:30:00,"Etihad Stadium, Manchester",52527,Home,Manchester City,Everton,1,1,D,1,1,0,0,3.0,,42.0,,1.0,4.0,19.0,11.0,8.0,13.0,16.0,2.0,1.0,1.0,154.0,,10.0,13.0,1.0,4.0,16.0,1.0,5.0,198.0,107.0,48.0,24.0,6.0,9.0,3.0,1.0,1.0,2.0,23.0,8.0,1.0,11.0,6.0,7.0,36.0,388.0,,,0.0,232.0,5.0,,1.0,1.0,1.0,94.0,75.0,9.0,84.0,,2.0,17.0,10.0,8.0,1.0,107.0,2.0,5.0,209.0,824.0,12.0,2.0,50.0,1.0,570.0,17.0,2.0,3.0,1.0,1.0,1.0,2.0,7.0,15.0,627.0,73.0,2.0,477424,4.0,208.0,9.0,218.0,3.0,,1.0,5.0,5.0,38.0,6.0,2.0,4.0,1.0,15.0,3.0,5.0,33.0,586.0,10.0,7.0,6.0,7.0,50.0,0.0,5.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,66.3,15.0,2.0,1.0,4.0,10.0,36.0,8.0,,645.0,1.0,9.0,22.0,9.0,40.0,7.0,450.0,7.0,6.0,9.0,194.0,18.0,,2.0,3.0,16.0,13.0,3.0,21.0,2.0,5.0,8.0,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,7.0,,,1.0,4.0,,3.0,1.0,2.0,1.0,,,1.0,4.0,3.0,,4.0,,1.0,,,,,33.57,,111063.9,,,3.0,,,,,,1.0,,1.0,,1.0,1.0,7.0,,,,1.0,,2.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
19,2444656,2024-12-29 14:30:00,"King Power Stadium, Leicester",32057,Away,Manchester City,Leicester City,2,0,W,1,0,0,0,1.0,2.0,33.0,1.0,,2.0,17.0,16.0,6.0,5.0,8.0,3.0,1.0,1.0,111.0,,5.0,5.0,2.0,2.0,10.0,1.0,5.0,165.0,79.0,32.0,14.0,1.0,5.0,2.0,,1.0,1.0,11.0,6.0,1.0,16.0,,1.0,28.0,223.0,1.0,,0.0,135.0,6.0,1.0,1.0,1.0,1.0,69.0,60.0,5.0,83.0,,2.0,11.0,12.0,6.0,4.0,79.0,1.0,10.0,146.0,649.0,9.0,3.0,26.0,5.0,438.0,11.0,2.0,6.0,1.0,,1.0,3.0,5.0,19.0,480.0,45.0,,91651,6.0,243.0,7.0,255.0,3.0,,1.0,3.0,8.0,34.0,,2.0,4.0,2.0,12.0,1.0,7.0,25.0,461.0,11.0,9.0,5.0,1.0,39.0,0.0,4.0,4.0,2.0,,0.0,5.0,1.0,1.0,46.4,19.0,2.0,,4.0,3.0,32.0,4.0,,505.0,5.0,7.0,20.0,6.0,14.0,2.0,261.0,4.0,,6.0,114.0,15.0,1.0,1.0,6.0,10.0,12.0,2.0,12.0,1.0,3.0,4.0,,,1.0,1.0,2.0,,,,,2.0,1.0,1.0,3.0,,1.0,,,,,2.0,,1.0,,,,5.0,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,
20,2444666,2025-01-04 15:00:00,"Etihad Stadium, Manchester",52737,Home,Manchester City,West Ham United,4,1,W,2,0,0,0,1.0,3.0,41.0,1.0,,2.0,20.0,17.0,3.0,4.0,7.0,3.0,2.0,3.0,141.0,1.0,1.0,6.0,4.0,,9.0,,7.0,156.0,104.0,38.0,10.0,1.0,14.0,2.0,,3.0,,12.0,8.0,2.0,17.0,2.0,11.0,25.0,233.0,,,0.0,132.0,8.0,,1.0,1.0,1.0,80.0,65.0,9.0,103.0,,,10.0,15.0,3.0,,104.0,3.0,14.0,156.0,705.0,6.0,3.0,28.0,6.0,468.0,16.0,4.0,7.0,3.0,,2.0,3.0,,13.0,523.0,42.0,1.0,91651,3.0,264.0,7.0,280.0,5.0,,1.0,6.0,11.0,40.0,2.0,1.0,1.0,3.0,17.0,3.0,8.0,36.0,496.0,13.0,6.0,11.0,2.0,53.0,0.0,1.0,3.0,4.0,2.0,0.0,1.0,3.0,,56.0,12.0,7.0,2.0,1.0,3.0,34.0,7.0,,556.0,6.0,10.0,17.0,,21.0,,288.0,5.0,9.0,7.0,108.0,14.0,2.0,1.0,7.0,12.0,8.0,4.0,9.0,1.0,6.0,7.0,,1.0,,,,,,,,,,,3.0,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
21,2444671,2025-01-14 19:30:00,"Gtech Community Stadium, Brentford",17048,Away,Manchester City,Brentford,2,2,D,0,0,0,0,3.0,2.0,42.0,1.0,1.0,1.0,27.0,30.0,6.0,11.0,15.0,3.0,2.0,1.0,140.0,1.0,7.0,6.0,2.0,,20.0,2.0,8.0,145.0,107.0,39.0,21.0,1.0,16.0,4.0,,1.0,6.0,20.0,6.0,2.0,30.0,4.0,9.0,35.0,297.0,,,0.0,254.0,4.0,3.0,,2.0,3.0,60.0,72.0,9.0,79.0,,2.0,16.0,15.0,6.0,3.0,107.0,4.0,16.0,155.0,695.0,18.0,6.0,45.0,9.0,430.0,20.0,4.0,14.0,1.0,1.0,0.0,4.0,11.0,15.0,500.0,37.0,,91651,6.0,159.0,8.0,183.0,3.0,,2.0,7.0,7.0,34.0,,,3.0,2.0,11.0,2.0,7.0,45.0,449.0,4.0,4.0,17.0,3.0,45.0,0.0,4.0,3.0,2.0,2.0,0.0,6.0,1.0,1.0,55.3,13.0,3.0,5.0,3.0,2.0,31.0,5.0,1.0,519.0,9.0,5.0,27.0,11.0,35.0,7.0,356.0,5.0,6.0,17.0,218.0,15.0,,2.0,14.0,12.0,18.0,2.0,11.0,2.0,7.0,5.0,,,,,4.0,1.0,1.0,,,4.0,,,8.0,,2.0,1.0,3.0,,1.0,4.0,4.0,1.0,,,2.0,5.0,3.0,,1.0,,3.0,,,1.0,,,,,1.0,,1.0,,,,1.0,,2.0,,,,,,2.0,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
22,2444684,2025-01-19 16:30:00,"Portman Road, Ipswich",29841,Away,Manchester City,Ipswich Town,6,0,W,3,0,0,0,3.0,4.0,42.0,4.0,2.0,3.0,20.0,11.0,3.0,9.0,14.0,4.0,3.0,,162.0,1.0,,9.0,6.0,,13.0,,9.0,232.0,102.0,33.0,17.0,2.0,10.0,3.0,1.0,5.0,,8.0,8.0,,11.0,2.0,13.0,29.0,388.0,1.0,1.0,0.0,228.0,7.0,1.0,,4.0,1.0,107.0,78.0,11.0,135.0,1.0,,6.0,10.0,3.0,,102.0,5.0,5.0,218.0,888.0,7.0,1.0,42.0,7.0,675.0,10.0,4.0,6.0,5.0,1.0,1.0,3.0,2.0,11.0,734.0,63.0,2.0,91651,8.0,298.0,5.0,310.0,5.0,2.0,2.0,2.0,2.0,37.0,3.0,1.0,6.0,6.0,16.0,3.0,,37.0,686.0,4.0,7.0,12.0,3.0,53.0,0.0,4.0,2.0,5.0,,0.0,,4.0,,67.3,8.0,8.0,2.0,6.0,5.0,43.0,7.0,4.0,747.0,7.0,8.0,23.0,3.0,26.0,3.0,445.0,6.0,12.0,6.0,192.0,17.0,1.0,,6.0,14.0,14.0,5.0,14.0,,2.0,7.0,,1.0,2.0,,1.0,,,,,1.0,,,1.0,,,,2.0,,1.0,1.0,,,,,,2.0,1.0,,,,1.0,,2.0,1.0,,,,,,,2.0,,1.0,,,,,,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,
23,2444696,2025-01-25 17:30:00,"Etihad Stadium, Manchester",52793,Home,Manchester City,Chelsea,3,1,W,1,1,0,0,1.0,3.0,45.0,2.0,1.0,1.0,23.0,15.0,6.0,6.0,9.0,3.0,3.0,2.0,149.0,,2.0,9.0,3.0,2.0,11.0,,6.0,157.0,109.0,37.0,15.0,2.0,8.0,2.0,2.0,3.0,2.0,5.0,9.0,1.0,15.0,,9.0,32.0,170.0,,1.0,0.0,104.0,6.0,2.0,,,,59.0,57.0,5.0,107.0,1.0,,5.0,14.0,6.0,1.0,109.0,7.0,7.0,154.0,721.0,8.0,3.0,26.0,6.0,475.0,18.0,6.0,5.0,3.0,2.0,3.0,3.0,6.0,20.0,551.0,41.0,1.0,465351,7.0,321.0,3.0,346.0,4.0,,,7.0,4.0,37.0,4.0,5.0,6.0,3.0,7.0,3.0,3.0,53.0,489.0,8.0,11.0,22.0,1.0,61.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,57.0,17.0,5.0,,6.0,3.0,39.0,2.0,1.0,567.0,6.0,5.0,20.0,6.0,12.0,4.0,226.0,8.0,6.0,7.0,71.0,16.0,2.0,2.0,5.0,13.0,11.0,2.0,16.0,2.0,7.0,2.0,,1.0,,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,1.0,,,1.0,4.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,3.0,,2.0,2.0,,35.55,,115018.53,,,1.0,,2.0,,1.0,,1.0,,,,,1.0,,,,,,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,2.3483,1.8173,0.505053,0.053,2.5014,,,,,,
24,2444701,2025-02-02 16:30:00,"Emirates Stadium, London",60355,Away,Manchester City,Arsenal,1,5,L,0,1,0,0,1.0,1.0,38.0,,1.0,,20.0,21.0,2.0,2.0,5.0,2.0,,1.0,128.0,,3.0,2.0,1.0,1.0,5.0,,4.0,131.0,89.0,29.0,7.0,,7.0,2.0,,1.0,2.0,14.0,8.0,1.0,21.0,2.0,7.0,38.0,249.0,,,0.0,170.0,7.0,1.0,,,1.0,65.0,70.0,2.0,83.0,,,12.0,12.0,2.0,1.0,89.0,1.0,8.0,132.0,612.0,2.0,,15.0,6.0,409.0,20.0,2.0,9.0,1.0,,0.0,3.0,3.0,14.0,453.0,43.0,,465351,,180.0,10.0,200.0,3.0,,,5.0,7.0,38.0,,1.0,2.0,1.0,9.0,4.0,4.0,35.0,426.0,6.0,9.0,6.0,2.0,29.0,0.0,5.0,1.0,1.0,,0.0,1.0,1.0,2.0,54.3,11.0,2.0,1.0,2.0,,19.0,2.0,,474.0,6.0,12.0,25.0,3.0,20.0,2.0,288.0,2.0,7.0,7.0,151.0,13.0,1.0,1.0,9.0,14.0,5.0,2.0,6.0,1.0,5.0,2.0,2.0,,,,,,,,,,,,2.0,,1.0,1.0,,,2.0,,1.0,1.0,,,5.0,3.0,1.0,,2.0,,2.0,,,1.0,2.0,34.66,,104676.95,,,,2.0,,,,,3.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0507,3.0067,1.17692,,0.8082,,,,,,
25,2444716,2025-02-15 15:00:00,"Etihad Stadium, Manchester",52432,Home,Manchester City,Newcastle United,4,0,W,3,0,0,0,2.0,3.0,41.0,1.0,,,28.0,19.0,4.0,6.0,7.0,1.0,1.0,,141.0,2.0,7.0,8.0,4.0,2.0,11.0,,7.0,165.0,97.0,39.0,11.0,2.0,5.0,2.0,1.0,3.0,,13.0,5.0,1.0,19.0,7.0,14.0,25.0,282.0,1.0,1.0,0.0,155.0,5.0,,,3.0,,73.0,66.0,9.0,113.0,,,6.0,18.0,4.0,,97.0,4.0,3.0,171.0,759.0,5.0,4.0,24.0,6.0,524.0,13.0,6.0,10.0,4.0,1.0,0.0,1.0,2.0,13.0,571.0,60.0,,223094,4.0,268.0,2.0,281.0,2.0,3.0,,10.0,3.0,37.0,3.0,,2.0,3.0,15.0,,3.0,45.0,543.0,13.0,1.0,17.0,3.0,50.0,0.0,4.0,1.0,3.0,1.0,0.0,2.0,4.0,,61.6,12.0,5.0,1.0,2.0,2.0,36.0,7.0,,590.0,6.0,9.0,16.0,2.0,19.0,2.0,322.0,3.0,14.0,8.0,131.0,20.0,,2.0,10.0,10.0,8.0,5.0,25.0,2.0,10.0,7.0,,1.0,,,,,,,,,2.0,,2.0,,1.0,,1.0,,2.0,,,2.0,,,,2.0,1.0,,5.0,,2.0,,1.0,,1.0,34.61,,109331.24,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,2.7622,0.3824,1.07599,,1.9041,,,,,,
