gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,lostCorners,savedIbox,goalsConceded,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowLeft,attGoalLowRight,attLfGoal,attGoalLowCentre,goals,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attOneOnOne,cleanSheet,freekickCross,contentiousDecision,accurateLaunches,goalAssist,totalKeeperSweeper,accurateFreekickCross,attRfGoal,defenderGoals,goalsOpenplay,attMissHigh,overrun,attIboxGoal,goalAssistIntentional,forwardGoals,shotFastbreak,attGoalHighRight,attOboxGoal,totalFastbreak,attSvHighLeft,midfielderGoals,interceptionsInBox,attHdTarget,sixYardBlock,attFastbreak,attGoalHighLeft,shieldBallOop,attHdGoal,handBall,accuratePullBack,attCmissHigh,attSvHighCentre,attObxdLeft,punches,attFreekickMiss,goalAssistSetplay,ptsGainedLosingPos,accurateFlickOn,goalsConcededIbox,postScoringAtt,attIboxPost,hitWoodwork,errorLeadToShot,attPostHigh,goalFastbreak,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,attLgLeft,errorLeadToGoal,attPostLeft,attMissHighLeft,attPostRight,attHdPost,attCmissHighLeft,attSvHighRight,penaltyWon,attPenGoal,goalAssistDeadball,attGoalHighCentre,attOboxPost,attPenTarget,foulThrowIn,attFreekickPost,ptsDroppedWinningPos
27,2210536,2022-02-26 17:30:00,"Goodison Park, Liverpool",39105.0,Away,Manchester City,Everton,1,0,W,0,0,0,0,,5.0,16.0,64.0,,,21.0,14.0,5.0,8.0,8.0,2.0,2.0,170.0,10.0,3.0,17.0,3.0,8.0,,8.0,217.0,136.0,58.0,,13.0,2.0,7.0,4.0,1.0,1.0,23.0,8.0,3.0,14.0,2.0,3.0,24.0,351.0,,0.0,230.0,14.0,,,1.0,102.0,90.0,6.0,96.0,,21.0,12.0,5.0,,4.0,,136.0,1.0,4.0,193.0,862.0,7.0,1.0,31.0,12.0,584.0,29.0,6.0,2.0,1.0,2.0,15.0,660.0,61.0,,97299,1.0,249.0,2.0,13.0,,266.0,5.0,,12.0,5.0,52.0,,2.0,5.0,10.0,2.0,5.0,48.0,597.0,7.0,9.0,1.0,21.0,1.0,51.0,4.0,,0.0,3.0,2.0,,,0.0,2.0,2.0,67.4,14.0,2.0,7.0,1.0,5.0,2.0,,35.0,4.0,1.0,676.0,12.0,18.0,15.0,3.0,36.0,1.0,3.0,433.0,3.0,3.0,17.0,182.0,21.0,5.0,6.0,17.0,12.0,2.0,21.0,5.0,1.0,4.0,1.0,1.0,,1.0,,1.0,3.0,,,,1.0,4.0,,1.0,,,1.0,,,1.0,2.0,2.0,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
28,2210545,2022-03-06 16:30:00,"Etihad Stadium, Manchester",53165.0,Home,Manchester City,Manchester United,4,1,W,2,1,0,0,,2.0,16.0,49.0,,6.0,33.0,8.0,4.0,13.0,20.0,2.0,4.0,203.0,7.0,4.0,16.0,4.0,16.0,1.0,10.0,202.0,94.0,47.0,1.0,24.0,2.0,8.0,5.0,1.0,2.0,18.0,8.0,1.0,8.0,6.0,6.0,44.0,315.0,,0.0,175.0,10.0,1.0,2.0,,107.0,51.0,11.0,151.0,2.0,13.0,14.0,4.0,1.0,2.0,1.0,94.0,3.0,4.0,198.0,928.0,12.0,1.0,46.0,11.0,681.0,16.0,3.0,0.0,2.0,5.0,14.0,734.0,56.0,3.0,97299,12.0,390.0,2.0,8.0,2.0,405.0,5.0,,14.0,3.0,42.0,4.0,,2.0,9.0,1.0,3.0,42.0,701.0,14.0,9.0,1.0,2.0,3.0,49.0,3.0,,0.0,3.0,1.0,1.0,,0.0,3.0,1.0,69.4,14.0,,10.0,4.0,2.0,8.0,,40.0,9.0,,754.0,11.0,4.0,32.0,6.0,36.0,2.0,4.0,367.0,10.0,6.0,4.0,145.0,20.0,2.0,3.0,13.0,18.0,1.0,28.0,2.0,6.0,9.0,2.0,3.0,,3.0,,4.0,4.0,,2.0,,,3.0,1.0,1.0,3.0,,1.0,1.0,,3.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,,1.0,,2.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,
29,2210555,2022-03-14 20:00:00,"Selhurst Park, London",25309.0,Away,Manchester City,Crystal Palace,0,0,D,0,0,0,0,,3.0,20.0,60.0,,4.0,37.0,8.0,6.0,13.0,13.0,1.0,1.0,219.0,10.0,6.0,15.0,,14.0,,4.0,211.0,154.0,56.0,,19.0,2.0,8.0,3.0,2.0,3.0,19.0,9.0,1.0,8.0,5.0,3.0,56.0,409.0,,0.0,267.0,11.0,,,,124.0,99.0,8.0,107.0,2.0,14.0,20.0,6.0,,4.0,2.0,154.0,2.0,6.0,228.0,946.0,13.0,2.0,49.0,9.0,647.0,17.0,5.0,1.0,1.0,6.0,27.0,748.0,89.0,1.0,97299,6.0,260.0,4.0,9.0,1.0,279.0,5.0,4.0,20.0,7.0,49.0,3.0,3.0,1.0,18.0,1.0,7.0,64.0,663.0,6.0,14.0,1.0,8.0,4.0,65.0,1.0,1.0,0.0,2.0,1.0,,,0.0,3.0,1.0,73.8,27.0,1.0,10.0,3.0,1.0,6.0,,46.0,6.0,,765.0,9.0,7.0,31.0,9.0,44.0,3.0,5.0,505.0,5.0,3.0,22.0,207.0,31.0,,5.0,13.0,14.0,,24.0,,8.0,6.0,,,,,,,2.0,1.0,,1.0,1.0,1.0,,,,1.0,1.0,,,,1.0,2.0,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,,2.0,1.0,2.0,2.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,1.0,,,,
30,2210565,2022-04-20 20:00:00,"Etihad Stadium, Manchester",52226.0,Home,Manchester City,Brighton and Hove Albion,3,0,W,0,0,0,0,,2.0,19.0,65.0,,5.0,39.0,14.0,8.0,9.0,9.0,1.0,,187.0,9.0,1.0,4.0,,13.0,,5.0,181.0,132.0,41.0,,17.0,3.0,11.0,1.0,,2.0,15.0,11.0,1.0,14.0,5.0,1.0,45.0,315.0,1.0,0.0,223.0,12.0,,,,96.0,78.0,10.0,115.0,1.0,12.0,18.0,8.0,,2.0,2.0,132.0,,1.0,184.0,840.0,10.0,3.0,33.0,11.0,569.0,29.0,9.0,0.0,,3.0,16.0,650.0,80.0,,97299,8.0,272.0,,10.0,,299.0,9.0,1.0,18.0,3.0,50.0,,1.0,7.0,15.0,1.0,3.0,59.0,586.0,7.0,7.0,1.0,8.0,4.0,57.0,,1.0,0.0,4.0,1.0,,,0.0,1.0,1.0,65.1,16.0,1.0,6.0,,7.0,8.0,,40.0,7.0,,667.0,11.0,10.0,25.0,4.0,36.0,2.0,2.0,383.0,7.0,1.0,14.0,181.0,23.0,2.0,9.0,16.0,13.0,3.0,14.0,2.0,6.0,7.0,1.0,3.0,,3.0,,3.0,1.0,,1.0,,1.0,,,1.0,2.0,,,,,2.0,,1.0,1.0,1.0,3.0,1.0,,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,
31,2210572,2022-04-02 15:00:00,"Turf Moor, Burnley",20388.0,Away,Manchester City,Burnley,2,0,W,2,0,0,0,,1.0,20.0,51.0,1.0,3.0,47.0,5.0,5.0,3.0,13.0,1.0,3.0,201.0,7.0,3.0,3.0,1.0,15.0,1.0,6.0,229.0,118.0,34.0,,18.0,,20.0,2.0,1.0,1.0,20.0,4.0,2.0,5.0,5.0,4.0,56.0,307.0,1.0,0.0,202.0,6.0,1.0,1.0,2.0,96.0,86.0,8.0,136.0,4.0,16.0,25.0,5.0,,5.0,3.0,118.0,,2.0,212.0,902.0,11.0,1.0,35.0,4.0,671.0,19.0,2.0,0.0,,7.0,20.0,755.0,83.0,,97299,8.0,389.0,1.0,10.0,1.0,418.0,1.0,3.0,25.0,2.0,37.0,1.0,,3.0,4.0,1.0,2.0,75.0,693.0,11.0,3.0,2.0,12.0,2.0,73.0,1.0,,0.0,1.0,,,,0.0,2.0,1.0,76.7,19.0,,2.0,2.0,3.0,3.0,,54.0,8.0,2.0,778.0,4.0,7.0,33.0,9.0,31.0,2.0,6.0,380.0,14.0,4.0,13.0,163.0,26.0,2.0,2.0,7.0,15.0,2.0,7.0,2.0,8.0,8.0,,,,,1.0,2.0,1.0,,2.0,,1.0,1.0,,1.0,2.0,,1.0,2.0,,2.0,3.0,,2.0,2.0,,,,,,1.0,2.0,1.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
32,2210586,2022-04-10 16:30:00,"Etihad Stadium, Manchester",53197.0,Home,Manchester City,Liverpool,2,2,D,2,1,0,0,,1.0,27.0,71.0,1.0,1.0,41.0,11.0,4.0,4.0,7.0,2.0,2.0,156.0,11.0,2.0,10.0,5.0,8.0,1.0,5.0,152.0,132.0,46.0,1.0,11.0,1.0,9.0,3.0,3.0,1.0,17.0,6.0,,11.0,4.0,1.0,60.0,175.0,,0.0,123.0,9.0,1.0,,,60.0,43.0,6.0,103.0,1.0,13.0,10.0,4.0,1.0,2.0,1.0,132.0,2.0,4.0,155.0,732.0,6.0,2.0,33.0,8.0,472.0,30.0,5.0,1.0,,2.0,20.0,551.0,68.0,2.0,97299,2.0,313.0,1.0,10.0,1.0,344.0,7.0,,10.0,2.0,39.0,2.0,5.0,5.0,11.0,2.0,2.0,73.0,486.0,10.0,4.0,,21.0,1.0,60.0,,1.0,0.0,1.0,1.0,2.0,,0.0,2.0,,55.1,18.0,,8.0,2.0,5.0,2.0,,40.0,4.0,,566.0,8.0,4.0,41.0,4.0,32.0,,2.0,239.0,7.0,1.0,9.0,84.0,28.0,1.0,5.0,17.0,8.0,2.0,24.0,1.0,5.0,4.0,1.0,,1.0,1.0,,2.0,2.0,1.0,,,,1.0,1.0,4.0,2.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,,,,1.0,,,,1.0,,,,,,,2.0,,,2.0,1.0,,2.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,2.0
33,2210600,2022-05-11 20:15:00,"Molineux Stadium, Wolverhampton",,Away,Manchester City,Wolverhampton Wanderers,5,1,W,3,1,0,0,,,21.0,63.0,1.0,1.0,47.0,10.0,3.0,7.0,12.0,2.0,,197.0,10.0,1.0,5.0,,11.0,3.0,5.0,225.0,101.0,40.0,,15.0,,4.0,,,1.0,12.0,10.0,,10.0,1.0,4.0,48.0,296.0,1.0,0.0,166.0,11.0,2.0,,,85.0,83.0,3.0,151.0,3.0,11.0,8.0,3.0,,2.0,2.0,101.0,3.0,5.0,214.0,929.0,9.0,2.0,28.0,8.0,712.0,18.0,7.0,1.0,1.0,8.0,12.0,778.0,56.0,2.0,61366,4.0,426.0,2.0,9.0,,439.0,3.0,,8.0,2.0,39.0,5.0,3.0,5.0,4.0,2.0,2.0,59.0,721.0,2.0,10.0,,3.0,,73.0,,1.0,0.0,6.0,1.0,1.0,,0.0,1.0,,66.3,12.0,,10.0,3.0,5.0,1.0,,60.0,2.0,,787.0,8.0,12.0,37.0,9.0,24.0,,5.0,360.0,8.0,4.0,11.0,125.0,30.0,,7.0,22.0,15.0,3.0,9.0,,3.0,2.0,4.0,1.0,2.0,3.0,1.0,5.0,2.0,2.0,2.0,,,,,,2.0,2.0,,2.0,,5.0,1.0,1.0,4.0,1.0,,,,1.0,,,5.0,,,,,1.0,,,2.0,,,,,,,,,,1.0,2.0,2.0,2.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,
34,2210609,2022-04-23 15:00:00,"Etihad Stadium, Manchester",53013.0,Home,Manchester City,Watford,5,1,W,3,1,0,0,,1.0,27.0,59.0,,6.0,29.0,12.0,3.0,3.0,18.0,1.0,2.0,170.0,10.0,4.0,8.0,2.0,16.0,,8.0,214.0,124.0,46.0,,21.0,,4.0,3.0,2.0,2.0,19.0,16.0,,12.0,9.0,1.0,51.0,391.0,1.0,0.0,222.0,9.0,,,,101.0,92.0,11.0,123.0,1.0,10.0,12.0,3.0,,2.0,2.0,124.0,3.0,5.0,194.0,874.0,10.0,1.0,47.0,7.0,605.0,20.0,10.0,1.0,1.0,5.0,13.0,687.0,78.0,1.0,61366,11.0,232.0,1.0,7.0,,247.0,8.0,2.0,12.0,3.0,36.0,3.0,,5.0,15.0,,3.0,52.0,619.0,7.0,12.0,2.0,10.0,5.0,59.0,1.0,,0.0,4.0,1.0,1.0,,0.0,2.0,3.0,74.0,13.0,,5.0,2.0,5.0,6.0,,42.0,11.0,,701.0,7.0,6.0,30.0,7.0,40.0,2.0,5.0,473.0,15.0,1.0,6.0,174.0,29.0,2.0,10.0,25.0,15.0,3.0,13.0,2.0,5.0,11.0,3.0,1.0,1.0,,2.0,5.0,3.0,1.0,4.0,,,1.0,,1.0,4.0,1.0,,4.0,,4.0,3.0,1.0,4.0,3.0,,,,1.0,,,5.0,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,
35,2210613,2022-04-30 17:30:00,"Elland Road, Leeds",35771.0,Away,Manchester City,Leeds United,4,0,W,1,0,0,0,,,23.0,71.0,,4.0,31.0,22.0,6.0,6.0,13.0,1.0,2.0,174.0,13.0,5.0,23.0,3.0,16.0,2.0,6.0,156.0,135.0,57.0,,19.0,3.0,9.0,2.0,2.0,2.0,18.0,4.0,,22.0,6.0,7.0,31.0,251.0,,0.0,144.0,3.0,,,,77.0,79.0,12.0,114.0,3.0,12.0,20.0,6.0,,,2.0,135.0,5.0,7.0,173.0,843.0,12.0,2.0,50.0,9.0,531.0,25.0,10.0,2.0,5.0,4.0,20.0,600.0,52.0,2.0,61366,11.0,301.0,2.0,9.0,3.0,317.0,3.0,1.0,20.0,3.0,46.0,4.0,1.0,4.0,14.0,,3.0,52.0,547.0,13.0,5.0,1.0,15.0,1.0,67.0,,,0.0,3.0,2.0,,,0.0,2.0,3.0,59.1,16.0,2.0,8.0,,4.0,7.0,1.0,48.0,6.0,1.0,617.0,9.0,11.0,19.0,6.0,27.0,3.0,4.0,318.0,10.0,7.0,12.0,111.0,34.0,,10.0,9.0,15.0,3.0,41.0,,9.0,6.0,3.0,3.0,1.0,1.0,,4.0,1.0,2.0,1.0,2.0,1.0,3.0,,2.0,3.0,2.0,2.0,2.0,1.0,2.0,,4.0,3.0,3.0,1.0,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,
36,2210629,2022-05-08 16:30:00,"Etihad Stadium, Manchester",53336.0,Home,Manchester City,Newcastle United,5,0,W,2,0,0,0,,1.0,16.0,53.0,,2.0,27.0,10.0,7.0,6.0,14.0,3.0,3.0,158.0,6.0,4.0,9.0,1.0,18.0,1.0,9.0,215.0,112.0,49.0,1.0,21.0,2.0,12.0,3.0,2.0,4.0,19.0,5.0,1.0,10.0,7.0,1.0,46.0,374.0,1.0,0.0,211.0,6.0,,,,97.0,62.0,11.0,91.0,2.0,13.0,8.0,7.0,1.0,4.0,4.0,112.0,6.0,5.0,248.0,867.0,12.0,4.0,58.0,5.0,624.0,17.0,5.0,1.0,,7.0,12.0,689.0,66.0,2.0,61366,6.0,275.0,3.0,9.0,,286.0,4.0,,8.0,5.0,43.0,3.0,1.0,2.0,8.0,2.0,3.0,48.0,645.0,11.0,6.0,2.0,5.0,5.0,68.0,1.0,1.0,0.0,2.0,3.0,,,0.0,1.0,2.0,71.4,12.0,,10.0,3.0,2.0,4.0,,51.0,8.0,1.0,712.0,5.0,12.0,27.0,8.0,44.0,4.0,4.0,445.0,13.0,1.0,21.0,170.0,23.0,2.0,5.0,8.0,15.0,3.0,16.0,2.0,3.0,8.0,5.0,3.0,1.0,2.0,,5.0,1.0,,3.0,,1.0,,,1.0,4.0,,,1.0,1.0,3.0,1.0,2.0,5.0,3.0,,,,,,,3.0,,,,,1.0,,2.0,,,,1.0,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
37,2210639,2022-05-15 14:00:00,"London Stadium, London",59972.0,Away,Manchester City,West Ham United,2,2,D,0,2,0,0,,4.0,23.0,55.0,,8.0,27.0,10.0,12.0,11.0,18.0,,3.0,168.0,13.0,7.0,11.0,5.0,21.0,1.0,8.0,215.0,115.0,49.0,2.0,31.0,5.0,18.0,4.0,2.0,3.0,39.0,7.0,3.0,10.0,6.0,4.0,48.0,474.0,1.0,0.0,285.0,5.0,,2.0,,140.0,83.0,16.0,118.0,3.0,34.0,8.0,13.0,2.0,10.0,5.0,115.0,,5.0,196.0,876.0,20.0,2.0,59.0,5.0,619.0,22.0,5.0,1.0,1.0,5.0,15.0,680.0,81.0,,61366,12.0,168.0,1.0,22.0,,184.0,4.0,,8.0,5.0,40.0,3.0,,1.0,10.0,1.0,5.0,45.0,635.0,9.0,6.0,,10.0,4.0,43.0,2.0,1.0,0.0,4.0,,2.0,,0.0,7.0,4.0,78.2,15.0,4.0,4.0,2.0,1.0,13.0,,34.0,9.0,,697.0,5.0,6.0,31.0,10.0,52.0,,5.0,552.0,16.0,4.0,19.0,247.0,28.0,3.0,5.0,10.0,24.0,,16.0,3.0,1.0,9.0,,,,,,2.0,1.0,,,,,2.0,1.0,2.0,1.0,,,1.0,,,3.0,,2.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,3.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,,,2.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,
38,2210649,2022-05-22 16:00:00,"Etihad Stadium, Manchester",53395.0,Home,Manchester City,Aston Villa,3,2,W,0,1,0,0,,,16.0,59.0,,7.0,40.0,9.0,6.0,5.0,18.0,,,150.0,10.0,7.0,15.0,9.0,22.0,2.0,5.0,189.0,136.0,60.0,1.0,24.0,2.0,18.0,2.0,1.0,1.0,35.0,5.0,,9.0,11.0,1.0,38.0,360.0,,0.0,246.0,5.0,,1.0,,146.0,81.0,14.0,98.0,2.0,24.0,10.0,6.0,1.0,6.0,3.0,136.0,3.0,3.0,164.0,797.0,15.0,2.0,55.0,5.0,515.0,18.0,4.0,0.0,1.0,8.0,30.0,583.0,70.0,1.0,97299,10.0,176.0,1.0,16.0,2.0,191.0,3.0,1.0,10.0,3.0,42.0,6.0,1.0,3.0,17.0,1.0,3.0,55.0,529.0,11.0,2.0,4.0,5.0,3.0,58.0,,,0.0,1.0,,2.0,,0.0,5.0,6.0,71.5,29.0,2.0,9.0,3.0,3.0,9.0,,48.0,13.0,,601.0,5.0,12.0,21.0,10.0,60.0,2.0,7.0,445.0,13.0,1.0,24.0,197.0,29.0,,4.0,11.0,18.0,3.0,20.0,,3.0,13.0,2.0,1.0,,,1.0,3.0,,,3.0,,,2.0,,1.0,3.0,,1.0,2.0,,3.0,5.0,,2.0,3.0,,1.0,,1.0,1.0,,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,1.0,,3.0,,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
