gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,goalAssistOpenplay,attSvLowCentre,goalFastbreak,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attFastbreak,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,goalsConcededObox,handBall,attOboxBlocked,postScoringAtt,attMissLeft,attIboxPost,totalCornersIntobox,attMissHighRight,attSvHighLeft,midfielderGoals,hitWoodwork,sixYardBlock,attSetpiece,attAssistSetplay,attCorner,attSvLowRight,attCmissLeft,attPostHigh,goalsConceded,shieldBallOop,attHdMiss,accurateCornersIntobox,attHdGoal,goalsConcededIbox,ptsDroppedWinningPos,savedObox,accuratePullBack,attMissHighLeft,totalKeeperSweeper,outfielderBlock,errorLeadToShot,attCmissHighLeft,punches,effectiveBlockedCross,blockedCross,attFreekickTotal,accurateKeeperSweeper,attGoalHighRight,attOboxGoal,freekickCross,freekickTotal,clearanceOffLine,attFreekickMiss,attPostLeft,attHdPost,attCmissHigh,attSvHighCentre,errorLeadToGoal,goalAssistSetplay,defenderGoals,attGoalHighLeft,attFreekickGoal,attPostRight,attSvHighRight,attFreekickPost,accurateFreekickCross,attOboxPost,secondYellow,ptsGainedLosingPos,goalAssistDeadball,attObxLeft,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,attGoalHighCentre,attObxdRight,attPenTarget,attCmissHighRight,ownGoals,attIboxOwnGoal,attObxdLeft,attLgCentre,foulThrowIn
11,1059808,2019-11-02 15:00:00,"Etihad Stadium, Manchester",53922.0,Home,Manchester City,Southampton,2,1,W,0,1,0,0,,2.0,61.0,,,7.0,46.0,5.0,7.0,8.0,19.0,2.0,1.0,2.0,209.0,2.0,13.0,24.0,2.0,3.0,15.0,1.0,4.0,166.0,175.0,60.0,26.0,24.0,2.0,1.0,2.0,1.0,,,62.0,8.0,,5.0,2.0,27.0,1.0,444.0,,,0.0,357.0,11.0,,1.0,1.0,1.0,164.0,104.0,7.0,96.0,,5.0,57.0,17.0,7.0,22.0,1.0,175.0,4.0,,1.0,168.0,885.0,13.0,,87.0,,3.0,538.0,19.0,1.0,4.0,1.0,3.0,8.0,34.0,614.0,77.0,,97299,15.0,131.0,3.0,35.0,148.0,3.0,1.0,2.0,17.0,2.0,67.0,,3.0,1.0,2.0,19.0,2.0,2.0,2.0,,62.0,562.0,9.0,15.0,13.0,57.0,1.0,0.0,4.0,,,2.0,,0.0,11.0,1.0,3.0,75.3,32.0,6.0,,2.0,13.0,44.0,17.0,1.0,639.0,3.0,10.0,14.0,9.0,85.0,8.0,553.0,14.0,2.0,18.0,308.0,34.0,1.0,4.0,9.0,17.0,3.0,34.0,5.0,17.0,,2.0,6.0,,1.0,,5.0,,,,,4.0,1.0,1.0,7.0,,,,1.0,,3.0,2.0,,1.0,,2.0,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,
12,1059815,2019-11-10 16:30:00,"Anfield, Liverpool",53324.0,Away,Manchester City,Liverpool,1,3,L,0,2,0,0,,,58.0,,1.0,4.0,32.0,24.0,6.0,5.0,12.0,2.0,1.0,2.0,169.0,,5.0,19.0,1.0,4.0,11.0,1.0,3.0,132.0,147.0,58.0,18.0,13.0,2.0,1.0,1.0,,2.0,,31.0,10.0,,24.0,3.0,55.0,,237.0,,,0.0,177.0,5.0,2.0,1.0,,,99.0,59.0,5.0,75.0,2.0,4.0,25.0,11.0,6.0,5.0,2.0,147.0,2.0,1.0,9.0,131.0,717.0,9.0,3.0,48.0,,10.0,400.0,24.0,2.0,10.0,,2.0,6.0,17.0,481.0,57.0,,97299,6.0,193.0,2.0,17.0,215.0,4.0,,3.0,11.0,6.0,44.0,,5.0,1.0,1.0,17.0,3.0,5.0,1.0,,55.0,425.0,10.0,13.0,13.0,66.0,1.0,0.0,,4.0,1.0,1.0,2.0,0.0,3.0,,3.0,55.0,14.0,3.0,4.0,2.0,8.0,44.0,13.0,,507.0,10.0,9.0,32.0,7.0,37.0,5.0,323.0,10.0,3.0,14.0,132.0,29.0,,10.0,15.0,12.0,1.0,23.0,7.0,13.0,1.0,,4.0,,2.0,,6.0,,,1.0,1.0,,1.0,2.0,5.0,,,,3.0,,3.0,2.0,,2.0,,1.0,1.0,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
13,1059828,2019-11-23 17:30:00,"Etihad Stadium, Manchester",54486.0,Home,Manchester City,Chelsea,2,1,W,2,1,0,0,1.0,,52.0,1.0,,2.0,29.0,12.0,8.0,8.0,7.0,1.0,2.0,1.0,159.0,1.0,3.0,10.0,2.0,2.0,9.0,1.0,4.0,148.0,130.0,46.0,15.0,7.0,1.0,2.0,4.0,1.0,1.0,1.0,19.0,10.0,1.0,12.0,7.0,53.0,,212.0,,,0.0,128.0,5.0,,2.0,,,74.0,88.0,4.0,99.0,2.0,1.0,16.0,13.0,8.0,3.0,3.0,130.0,,1.0,8.0,152.0,728.0,7.0,2.0,32.0,,10.0,453.0,16.0,1.0,5.0,1.0,1.0,5.0,20.0,529.0,50.0,,97299,1.0,268.0,1.0,11.0,292.0,4.0,,2.0,13.0,10.0,43.0,,3.0,3.0,2.0,14.0,3.0,8.0,2.0,,45.0,477.0,9.0,16.0,4.0,64.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,,1.0,46.7,20.0,8.0,1.0,3.0,4.0,45.0,8.0,,558.0,10.0,9.0,35.0,7.0,31.0,3.0,285.0,6.0,6.0,12.0,92.0,24.0,1.0,5.0,15.0,11.0,3.0,16.0,5.0,8.0,,,2.0,1.0,3.0,,3.0,,,1.0,1.0,1.0,1.0,1.0,3.0,,3.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,,3.0,1.0,,,,,,,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,
14,1059837,2019-11-30 12:30:00,"St. James' Park, Newcastle",49937.0,Away,Manchester City,Newcastle United,2,2,D,1,1,0,0,3.0,1.0,69.0,,1.0,3.0,32.0,10.0,9.0,10.0,15.0,1.0,,4.0,169.0,,10.0,10.0,2.0,1.0,16.0,1.0,9.0,263.0,152.0,41.0,24.0,17.0,5.0,,,1.0,5.0,,38.0,7.0,2.0,10.0,8.0,35.0,1.0,483.0,,,0.0,296.0,6.0,,,1.0,,161.0,71.0,10.0,86.0,,3.0,29.0,10.0,9.0,11.0,2.0,152.0,2.0,,1.0,242.0,958.0,12.0,3.0,46.0,,9.0,658.0,21.0,3.0,4.0,1.0,2.0,6.0,21.0,745.0,82.0,,97299,9.0,199.0,3.0,17.0,214.0,5.0,2.0,,10.0,5.0,56.0,5.0,3.0,6.0,2.0,13.0,5.0,5.0,2.0,,46.0,672.0,3.0,15.0,10.0,72.0,,0.0,1.0,1.0,,1.0,2.0,0.0,6.0,1.0,4.0,76.4,20.0,8.0,2.0,6.0,7.0,60.0,10.0,,760.0,9.0,13.0,21.0,8.0,57.0,6.0,584.0,10.0,8.0,16.0,237.0,33.0,1.0,4.0,12.0,18.0,3.0,15.0,5.0,10.0,1.0,,4.0,,1.0,,9.0,,,1.0,,1.0,,3.0,6.0,,,,2.0,1.0,4.0,4.0,,1.0,2.0,1.0,,2.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
15,1059843,2019-12-03 20:15:00,"Turf Moor, Burnley",20101.0,Away,Manchester City,Burnley,4,1,W,1,0,0,0,3.0,1.0,55.0,1.0,1.0,3.0,29.0,18.0,8.0,7.0,9.0,1.0,,1.0,203.0,,4.0,8.0,4.0,2.0,14.0,2.0,8.0,220.0,139.0,37.0,17.0,22.0,2.0,1.0,,3.0,2.0,,28.0,5.0,2.0,18.0,3.0,41.0,,395.0,,,0.0,237.0,6.0,,1.0,,,113.0,87.0,10.0,154.0,1.0,2.0,26.0,13.0,8.0,10.0,2.0,139.0,2.0,,3.0,197.0,947.0,10.0,2.0,39.0,,6.0,675.0,21.0,4.0,11.0,3.0,1.0,4.0,21.0,754.0,80.0,,97299,3.0,299.0,2.0,16.0,326.0,1.0,4.0,1.0,13.0,5.0,45.0,1.0,2.0,6.0,4.0,10.0,1.0,1.0,1.0,,57.0,690.0,9.0,4.0,17.0,80.0,1.0,0.0,1.0,3.0,,2.0,1.0,0.0,3.0,1.0,,75.5,17.0,6.0,3.0,6.0,5.0,59.0,6.0,,774.0,6.0,8.0,23.0,4.0,40.0,2.0,476.0,10.0,3.0,13.0,203.0,22.0,2.0,11.0,8.0,16.0,3.0,14.0,3.0,6.0,,,2.0,,1.0,,3.0,,,1.0,,,,1.0,1.0,2.0,,,1.0,4.0,,2.0,,1.0,,1.0,,,,,,,,2.0,2.0,,,1.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
16,1059856,2019-12-07 17:30:00,"Etihad Stadium, Manchester",54403.0,Home,Manchester City,Manchester United,1,2,L,0,2,0,0,3.0,1.0,56.0,,,11.0,24.0,9.0,4.0,10.0,17.0,5.0,,1.0,170.0,1.0,8.0,13.0,1.0,2.0,17.0,2.0,5.0,202.0,143.0,48.0,22.0,11.0,1.0,1.0,3.0,,2.0,,48.0,7.0,3.0,9.0,6.0,31.0,,448.0,,,0.0,302.0,10.0,3.0,1.0,,,134.0,107.0,13.0,94.0,1.0,2.0,40.0,24.0,5.0,7.0,2.0,143.0,2.0,1.0,9.0,192.0,885.0,16.0,6.0,79.0,,14.0,565.0,17.0,2.0,6.0,1.0,3.0,4.0,25.0,635.0,83.0,,97299,5.0,147.0,1.0,33.0,156.0,8.0,,3.0,24.0,4.0,48.0,1.0,,4.0,,11.0,2.0,4.0,2.0,,36.0,587.0,9.0,8.0,5.0,49.0,1.0,0.0,1.0,3.0,5.0,1.0,3.0,0.0,5.0,1.0,3.0,71.9,24.0,8.0,4.0,4.0,11.0,41.0,16.0,,658.0,14.0,13.0,20.0,6.0,50.0,4.0,550.0,9.0,5.0,12.0,247.0,27.0,,6.0,14.0,15.0,3.0,19.0,9.0,16.0,,,,,2.0,,8.0,,,,,3.0,,,5.0,,1.0,,2.0,,2.0,3.0,1.0,2.0,,,2.0,,,2.0,,,,,,2.0,,,,,2.0,,1.0,,,1.0,,,1.0,,,,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
17,1059862,2019-12-15 16:30:00,"Emirates Stadium, London",60031.0,Away,Manchester City,Arsenal,3,0,W,3,0,0,0,1.0,1.0,51.0,1.0,,2.0,31.0,20.0,6.0,5.0,8.0,1.0,2.0,3.0,173.0,1.0,1.0,11.0,3.0,1.0,11.0,1.0,7.0,207.0,107.0,55.0,14.0,9.0,2.0,,,2.0,1.0,,10.0,11.0,2.0,20.0,10.0,21.0,,306.0,1.0,,0.0,154.0,24.0,1.0,,,1.0,95.0,80.0,9.0,119.0,3.0,1.0,8.0,11.0,6.0,1.0,1.0,107.0,,,2.0,173.0,847.0,9.0,1.0,16.0,,10.0,595.0,18.0,3.0,13.0,2.0,4.0,2.0,19.0,655.0,52.0,,61366,6.0,303.0,1.0,6.0,320.0,19.0,1.0,1.0,11.0,4.0,58.0,4.0,1.0,6.0,3.0,14.0,4.0,2.0,,,47.0,608.0,8.0,10.0,9.0,81.0,,0.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,,57.6,18.0,3.0,1.0,6.0,4.0,66.0,3.0,1.0,672.0,10.0,6.0,11.0,3.0,23.0,2.0,362.0,8.0,10.0,15.0,122.0,23.0,,13.0,21.0,14.0,3.0,21.0,5.0,3.0,,1.0,2.0,,,,2.0,2.0,,3.0,1.0,,,,,2.0,,,,,,,,,,,1.0,,2.0,1.0,,,,2.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
18,1059876,2019-12-21 17:30:00,"Etihad Stadium, Manchester",54415.0,Home,Manchester City,Leicester City,3,1,W,2,1,0,0,4.0,2.0,46.0,1.0,1.0,3.0,38.0,3.0,5.0,11.0,17.0,1.0,2.0,4.0,155.0,1.0,5.0,10.0,3.0,5.0,21.0,,12.0,193.0,111.0,45.0,23.0,11.0,8.0,,4.0,2.0,4.0,,14.0,10.0,1.0,3.0,2.0,47.0,,321.0,,1.0,0.0,177.0,14.0,1.0,,3.0,,91.0,82.0,15.0,130.0,,1.0,8.0,15.0,6.0,3.0,3.0,111.0,3.0,1.0,3.0,212.0,859.0,18.0,1.0,47.0,1.0,10.0,603.0,12.0,1.0,1.0,2.0,2.0,6.0,19.0,671.0,56.0,1.0,61366,7.0,304.0,2.0,4.0,317.0,8.0,1.0,5.0,15.0,8.0,46.0,1.0,1.0,6.0,2.0,12.0,2.0,8.0,1.0,1.0,58.0,620.0,8.0,8.0,9.0,71.0,,0.0,2.0,1.0,,2.0,,0.0,3.0,1.0,2.0,62.7,16.0,6.0,1.0,6.0,4.0,52.0,6.0,,690.0,10.0,7.0,30.0,7.0,32.0,3.0,387.0,10.0,2.0,8.0,145.0,21.0,1.0,1.0,19.0,19.0,3.0,17.0,6.0,6.0,,1.0,1.0,1.0,3.0,1.0,6.0,1.0,,2.0,1.0,,,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,2.0,,1.0,,1.0,3.0,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,3.0,,,,,,,,1.0,,,,,,,
19,1059891,2019-12-27 19:45:00,"Molineux Stadium, Wolverhampton",31737.0,Away,Manchester City,Wolverhampton Wanderers,2,3,L,1,0,1,0,,2.0,55.0,,,,18.0,32.0,2.0,,5.0,5.0,,1.0,121.0,2.0,1.0,9.0,2.0,2.0,4.0,,3.0,84.0,103.0,50.0,7.0,21.0,1.0,,1.0,1.0,,,2.0,6.0,,32.0,4.0,27.0,,118.0,,1.0,0.0,60.0,13.0,2.0,,1.0,,31.0,52.0,2.0,54.0,,,1.0,9.0,2.0,,,103.0,1.0,2.0,11.0,99.0,530.0,3.0,6.0,14.0,,14.0,270.0,34.0,1.0,13.0,1.0,1.0,2.0,12.0,336.0,32.0,1.0,61366,2.0,165.0,1.0,1.0,194.0,6.0,2.0,,9.0,11.0,64.0,1.0,1.0,9.0,1.0,7.0,10.0,7.0,,,52.0,282.0,7.0,18.0,18.0,60.0,,0.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,,38.1,9.0,1.0,1.0,9.0,1.0,35.0,1.0,1.0,358.0,14.0,5.0,13.0,3.0,4.0,2.0,166.0,7.0,3.0,18.0,34.0,5.0,,13.0,16.0,4.0,3.0,17.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,1.0,,,,,1.0,3.0,,,,,2.0,3.0,4.0,,,1.0,6.0,1.0,,,5.0,5.0,1.0,,,,,1.0,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,
20,1059896,2019-12-29 18:00:00,"Etihad Stadium, Manchester",54512.0,Home,Manchester City,Sheffield United,2,0,W,0,0,0,0,1.0,1.0,56.0,1.0,,2.0,31.0,12.0,10.0,6.0,6.0,,,1.0,188.0,,2.0,6.0,2.0,2.0,13.0,,4.0,281.0,125.0,34.0,16.0,17.0,,,1.0,2.0,1.0,,14.0,8.0,2.0,12.0,10.0,29.0,,436.0,1.0,,0.0,228.0,5.0,,,,,115.0,107.0,9.0,127.0,,1.0,10.0,19.0,10.0,3.0,4.0,125.0,1.0,1.0,7.0,275.0,1021.0,11.0,,26.0,,3.0,768.0,30.0,2.0,7.0,2.0,1.0,4.0,16.0,850.0,65.0,2.0,61366,3.0,355.0,,7.0,378.0,2.0,2.0,3.0,19.0,8.0,45.0,2.0,1.0,4.0,2.0,13.0,1.0,8.0,,,51.0,789.0,6.0,9.0,16.0,64.0,,0.0,1.0,5.0,,2.0,,0.0,2.0,2.0,,72.9,16.0,2.0,1.0,4.0,6.0,50.0,8.0,,871.0,3.0,9.0,16.0,6.0,29.0,2.0,507.0,10.0,10.0,12.0,185.0,20.0,1.0,7.0,10.0,13.0,3.0,13.0,10.0,8.0,,1.0,4.0,,1.0,,5.0,2.0,,1.0,,2.0,,,1.0,1.0,,,,,,1.0,,,,,,2.0,,2.0,,1.0,2.0,,,2.0,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1059906,2020-01-01 17:30:00,"Etihad Stadium, Manchester",54407.0,Home,Manchester City,Everton,2,1,W,0,0,0,0,2.0,1.0,64.0,1.0,,1.0,33.0,13.0,3.0,8.0,13.0,1.0,1.0,2.0,192.0,,3.0,10.0,2.0,2.0,15.0,,7.0,232.0,115.0,47.0,16.0,29.0,4.0,,,2.0,1.0,,11.0,8.0,1.0,13.0,9.0,36.0,,343.0,,,0.0,161.0,11.0,1.0,,1.0,,116.0,85.0,8.0,142.0,1.0,1.0,9.0,14.0,3.0,5.0,1.0,115.0,3.0,2.0,7.0,211.0,943.0,11.0,2.0,25.0,1.0,16.0,685.0,23.0,5.0,9.0,2.0,0.0,7.0,13.0,759.0,53.0,,61366,10.0,360.0,2.0,3.0,380.0,6.0,1.0,1.0,14.0,4.0,64.0,2.0,3.0,3.0,2.0,11.0,,2.0,,,52.0,700.0,11.0,10.0,13.0,87.0,,0.0,2.0,6.0,1.0,2.0,,0.0,2.0,2.0,3.0,65.4,13.0,4.0,3.0,3.0,2.0,70.0,3.0,,777.0,16.0,9.0,20.0,7.0,23.0,5.0,408.0,5.0,9.0,16.0,126.0,34.0,2.0,9.0,10.0,12.0,2.0,15.0,8.0,3.0,,,1.0,1.0,4.0,1.0,2.0,1.0,2.0,,1.0,,2.0,2.0,2.0,1.0,2.0,,1.0,,2.0,1.0,,1.0,,,1.0,,,2.0,1.0,,,2.0,2.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
22,1059913,2020-01-12 16:30:00,"Villa Park, Birmingham",41823.0,Away,Manchester City,Aston Villa,6,1,W,4,0,0,0,1.0,4.0,60.0,,3.0,2.0,26.0,5.0,8.0,8.0,14.0,,3.0,5.0,192.0,1.0,4.0,19.0,6.0,1.0,18.0,2.0,12.0,279.0,111.0,49.0,22.0,12.0,4.0,1.0,3.0,6.0,4.0,,16.0,8.0,2.0,5.0,12.0,23.0,,430.0,,,0.0,222.0,12.0,,1.0,,,103.0,91.0,13.0,131.0,1.0,3.0,14.0,17.0,8.0,4.0,5.0,111.0,4.0,1.0,7.0,275.0,1037.0,11.0,2.0,49.0,,8.0,797.0,18.0,4.0,3.0,6.0,1.0,5.0,12.0,865.0,56.0,2.0,97299,8.0,383.0,2.0,10.0,403.0,7.0,3.0,3.0,17.0,4.0,54.0,4.0,,4.0,6.0,14.0,,4.0,2.0,,41.0,809.0,3.0,17.0,12.0,66.0,1.0,0.0,2.0,2.0,,5.0,1.0,0.0,3.0,3.0,,70.6,12.0,12.0,,4.0,2.0,59.0,4.0,,877.0,8.0,9.0,10.0,8.0,30.0,3.0,490.0,14.0,11.0,11.0,185.0,26.0,6.0,3.0,16.0,17.0,3.0,25.0,9.0,4.0,,1.0,,,1.0,,2.0,2.0,,,,1.0,,1.0,4.0,2.0,,,1.0,,,1.0,,1.0,,,1.0,,,2.0,,,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,
23,1059926,2020-01-18 15:00:00,"Etihad Stadium, Manchester",54439.0,Home,Manchester City,Crystal Palace,2,2,D,0,1,0,0,3.0,2.0,58.0,,1.0,5.0,28.0,3.0,9.0,9.0,16.0,2.0,,1.0,179.0,1.0,19.0,15.0,2.0,2.0,19.0,1.0,6.0,202.0,150.0,55.0,25.0,24.0,4.0,1.0,1.0,2.0,3.0,,58.0,6.0,,3.0,7.0,44.0,,435.0,,,0.0,304.0,9.0,,1.0,,,146.0,79.0,13.0,87.0,1.0,1.0,47.0,10.0,9.0,8.0,4.0,150.0,3.0,1.0,5.0,198.0,898.0,16.0,5.0,68.0,,9.0,579.0,23.0,4.0,3.0,2.0,1.0,6.0,20.0,649.0,71.0,2.0,97299,7.0,179.0,1.0,38.0,195.0,4.0,1.0,2.0,10.0,5.0,64.0,3.0,,6.0,2.0,20.0,1.0,4.0,1.0,,46.0,595.0,6.0,14.0,11.0,57.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,14.0,2.0,3.0,72.5,20.0,8.0,2.0,6.0,9.0,42.0,14.0,,666.0,9.0,12.0,31.0,10.0,67.0,5.0,529.0,12.0,6.0,21.0,263.0,21.0,2.0,3.0,13.0,21.0,3.0,21.0,2.0,14.0,,,4.0,1.0,3.0,,11.0,2.0,,,1.0,1.0,,1.0,3.0,,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,,1.0,2.0,,1.0,,1.0,,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,,,
24,1059937,2020-01-21 19:30:00,"Bramall Lane, Sheffield",31285.0,Away,Manchester City,Sheffield United,1,0,W,0,0,0,0,,1.0,51.0,1.0,,3.0,35.0,24.0,6.0,4.0,12.0,1.0,1.0,3.0,158.0,,7.0,10.0,1.0,5.0,16.0,,5.0,186.0,124.0,50.0,18.0,23.0,4.0,3.0,2.0,1.0,3.0,,27.0,5.0,,24.0,1.0,28.0,,256.0,1.0,1.0,0.0,138.0,13.0,,3.0,1.0,,68.0,87.0,8.0,84.0,3.0,,18.0,15.0,6.0,9.0,4.0,124.0,2.0,,4.0,172.0,795.0,13.0,2.0,34.0,1.0,11.0,503.0,21.0,1.0,8.0,1.0,3.0,8.0,23.0,579.0,40.0,,61366,7.0,271.0,2.0,7.0,296.0,5.0,,,15.0,3.0,57.0,1.0,1.0,5.0,1.0,8.0,,3.0,3.0,,57.0,520.0,12.0,9.0,13.0,74.0,3.0,0.0,1.0,5.0,1.0,1.0,2.0,0.0,3.0,1.0,3.0,67.3,22.0,,,5.0,5.0,54.0,13.0,,600.0,11.0,8.0,19.0,8.0,33.0,4.0,331.0,11.0,1.0,21.0,105.0,24.0,,8.0,8.0,10.0,3.0,15.0,6.0,13.0,,,2.0,,3.0,,10.0,2.0,,,,,,2.0,6.0,,3.0,,,1.0,2.0,5.0,,,,,,,2.0,1.0,,,1.0,2.0,2.0,1.0,2.0,,,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
25,1059949,2020-02-02 16:30:00,"Tottenham Hotspur Stadium, London",61022.0,Away,Manchester City,Tottenham Hotspur,0,2,L,0,0,1,0,,,58.0,,,6.0,30.0,13.0,4.0,3.0,14.0,1.0,,5.0,155.0,,3.0,10.0,,2.0,12.0,2.0,6.0,224.0,139.0,44.0,19.0,9.0,3.0,2.0,1.0,,3.0,,24.0,9.0,3.0,13.0,9.0,44.0,,383.0,,1.0,0.0,219.0,14.0,,2.0,,,90.0,74.0,7.0,95.0,,2.0,19.0,16.0,5.0,6.0,1.0,139.0,2.0,3.0,3.0,218.0,868.0,11.0,3.0,52.0,1.0,12.0,598.0,19.0,1.0,3.0,,3.0,5.0,18.0,679.0,73.0,,61366,8.0,228.0,4.0,12.0,247.0,6.0,,2.0,16.0,1.0,51.0,2.0,,5.0,,12.0,,1.0,2.0,,43.0,608.0,6.0,9.0,6.0,71.0,2.0,0.0,1.0,2.0,1.0,,1.0,1.0,1.0,,2.0,66.9,18.0,5.0,1.0,5.0,7.0,57.0,6.0,,692.0,12.0,9.0,25.0,6.0,38.0,5.0,469.0,14.0,9.0,13.0,176.0,29.0,,3.0,15.0,16.0,3.0,22.0,5.0,6.0,,1.0,1.0,,,,5.0,2.0,,,2.0,2.0,1.0,1.0,1.0,2.0,,,2.0,,1.0,2.0,,2.0,,,1.0,,2.0,,,,,1.0,1.0,,2.0,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,1.0,,
