gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attSvLowRight,attFreekickGoal,redCard,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,handBall,attGoalHighRight,attMissHighRight,attSvHighLeft,goodHighClaim,interceptionsInBox,attOboxMiss,errorLeadToShot,sixYardBlock,attCmissHighLeft,attCmissLeft,punches,savedIbox,goalsConceded,goalAssistIntentional,totalHighClaim,effectiveBlockedCross,goalsConcededIbox,errorLeadToGoal,blockedCross,attGoalLowCentre,attOboxBlocked,shotFastbreak,attBxRight,totalFastbreak,accurateFreekickCross,attSetpiece,attFastbreak,attFreekickMiss,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,foulThrowIn,attPenTarget,penaltyWon,hitWoodwork,postScoringAtt,attIboxPost,attPostHigh,attPostLeft,attSvHighRight,attHdPost,attObxdRight,ownGoals,attPenGoal,attIboxOwnGoal,attemptsIbox,attemptsObox,attGoalHighCentre,touchesInOppBox,attCorner,defenderGoals,goalFastbreak,attFreekickTarget,attCmissHighRight,attOboxPost,ptsDroppedWinningPos,penaltyConceded,penaltyFaced,penGoalsConceded
11,695008,2013-11-10 14:05:00,"Stadium of Light, Sunderland",40137,Away,Manchester City,Sunderland,0,1,L,0,1,0,0,2.0,,50.0,,,1.0,3.0,28.0,11.0,14.0,9.0,1.0,,2.0,174.0,11.0,6.0,,1.0,18.0,1.0,2.0,4.0,186.0,138.0,34.0,,24.0,14.0,,1.0,,1.0,4.0,50.0,9.0,4.0,11.0,11.0,30.0,26.0,1.0,401.0,,,0.0,254.0,13.0,,,,1.0,66.0,101.0,8.0,91.0,4.0,39.0,8.0,,5.0,138.0,2.0,1.0,2.0,184.0,836.0,15.0,10.0,,13.0,564.0,15.0,2.0,4.0,6.0,,1.0,1.0,1.0,10.0,21.0,625.0,69.0,,80235,7.0,184.0,3.0,33.0,195.0,2.0,,1.0,8.0,10.0,48.0,,3.0,2.0,2.0,,9.0,3.0,5.0,,42.0,574.0,6.0,3.0,3.0,14.0,71.0,,1.0,,0.0,2.0,,,5.0,0.0,5.0,,6.0,63.1,20.0,6.0,3.0,,,3.0,8.0,44.0,14.0,635.0,13.0,9.0,18.0,12.0,19.0,6.0,7.0,490.0,8.0,26.0,12.0,222.0,29.0,,6.0,11.0,,19.0,3.0,15.0,4.0,14.0,,,2.0,2.0,,,5.0,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,695015,2013-11-24 13:30:00,"Etihad Stadium, Manchester",47228,Home,Manchester City,Tottenham Hotspur,6,0,W,3,0,0,0,3.0,3.0,61.0,2.0,1.0,3.0,1.0,32.0,32.0,5.0,6.0,5.0,2.0,2.0,183.0,3.0,14.0,6.0,2.0,13.0,,,10.0,107.0,112.0,61.0,,15.0,10.0,3.0,,4.0,,,11.0,19.0,2.0,32.0,2.0,18.0,33.0,2.0,187.0,1.0,1.0,0.0,123.0,7.0,2.0,2.0,,,62.0,50.0,9.0,74.0,,9.0,18.0,,1.0,112.0,5.0,,6.0,93.0,661.0,8.0,9.0,,18.0,366.0,28.0,1.0,6.0,14.0,4.0,,1.0,1.0,3.0,9.0,429.0,62.0,2.0,84702,7.0,208.0,3.0,8.0,222.0,2.0,3.0,,18.0,6.0,51.0,1.0,4.0,1.0,2.0,5.0,14.0,7.0,5.0,2.0,49.0,392.0,11.0,12.0,,12.0,66.0,1.0,3.0,,0.0,,7.0,5.0,3.0,0.0,3.0,,1.0,46.9,8.0,1.0,4.0,1.0,1.0,2.0,2.0,42.0,4.0,457.0,18.0,10.0,18.0,3.0,20.0,,2.0,246.0,8.0,18.0,10.0,91.0,23.0,3.0,14.0,26.0,,14.0,3.0,27.0,11.0,4.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,2.0,,4.0,,5.0,,,5.0,,1.0,,2.0,2.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
13,695026,2013-12-01 16:10:00,"Etihad Stadium, Manchester",46559,Home,Manchester City,Swansea City,3,0,W,1,0,0,0,2.0,2.0,54.0,2.0,1.0,3.0,3.0,37.0,17.0,6.0,13.0,4.0,2.0,2.0,189.0,4.0,19.0,3.0,2.0,18.0,1.0,2.0,7.0,114.0,106.0,45.0,1.0,22.0,8.0,2.0,,2.0,1.0,2.0,21.0,11.0,2.0,17.0,5.0,9.0,23.0,1.0,263.0,1.0,1.0,0.0,139.0,7.0,2.0,2.0,1.0,,71.0,70.0,10.0,77.0,3.0,16.0,13.0,1.0,3.0,106.0,3.0,,5.0,115.0,681.0,14.0,7.0,,10.0,436.0,23.0,1.0,3.0,5.0,2.0,,1.0,,8.0,15.0,484.0,55.0,1.0,7551,4.0,186.0,1.0,13.0,203.0,2.0,1.0,1.0,13.0,8.0,38.0,,1.0,3.0,2.0,2.0,8.0,4.0,4.0,4.0,50.0,445.0,7.0,6.0,2.0,14.0,75.0,,2.0,1.0,0.0,1.0,4.0,2.0,3.0,0.0,2.0,1.0,3.0,45.5,11.0,2.0,3.0,2.0,,2.0,4.0,61.0,5.0,495.0,10.0,8.0,17.0,11.0,12.0,2.0,7.0,313.0,6.0,8.0,7.0,118.0,23.0,1.0,5.0,14.0,,16.0,3.0,30.0,9.0,5.0,1.0,,,,,,3.0,,,,1.0,1.0,1.0,,2.0,,4.0,,,4.0,,1.0,2.0,3.0,2.0,,1.0,2.0,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
14,695039,2013-12-04 20:00:00,"The Hawthorns, West Bromwich",22943,Away,Manchester City,West Bromwich Albion,3,2,W,2,0,0,0,1.0,1.0,64.0,,1.0,,1.0,35.0,28.0,5.0,2.0,,,1.0,196.0,4.0,9.0,3.0,2.0,12.0,1.0,1.0,5.0,150.0,142.0,52.0,,15.0,12.0,2.0,,2.0,,2.0,17.0,17.0,,28.0,3.0,19.0,25.0,,226.0,,,0.0,119.0,10.0,1.0,2.0,2.0,1.0,68.0,66.0,5.0,89.0,1.0,14.0,15.0,,4.0,142.0,,,5.0,136.0,773.0,9.0,8.0,,12.0,477.0,32.0,1.0,5.0,11.0,2.0,,1.0,3.0,7.0,23.0,558.0,62.0,1.0,7551,7.0,263.0,,9.0,296.0,,3.0,2.0,15.0,8.0,56.0,2.0,1.0,1.0,6.0,2.0,4.0,8.0,2.0,3.0,59.0,485.0,8.0,9.0,1.0,33.0,91.0,,,,0.0,2.0,3.0,3.0,1.0,0.0,3.0,,2.0,58.1,19.0,2.0,2.0,2.0,,6.0,2.0,52.0,3.0,571.0,12.0,15.0,13.0,8.0,11.0,1.0,4.0,292.0,11.0,19.0,13.0,88.0,22.0,1.0,11.0,22.0,,13.0,3.0,20.0,10.0,3.0,1.0,1.0,1.0,,2.0,1.0,4.0,,,,,1.0,,2.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
15,695046,2013-12-07 15:00:00,"St. Mary's Stadium, Southampton",31229,Away,Manchester City,Southampton,1,1,D,1,1,0,0,,,54.0,,1.0,3.0,,31.0,32.0,4.0,5.0,3.0,1.0,2.0,142.0,8.0,11.0,1.0,1.0,11.0,1.0,3.0,3.0,81.0,153.0,65.0,,13.0,13.0,2.0,,1.0,,3.0,20.0,16.0,,32.0,4.0,19.0,36.0,,156.0,,,0.0,115.0,9.0,2.0,,2.0,1.0,55.0,51.0,4.0,63.0,4.0,16.0,14.0,,7.0,153.0,1.0,,7.0,71.0,599.0,9.0,17.0,,16.0,256.0,23.0,,6.0,17.0,1.0,,2.0,3.0,7.0,29.0,340.0,67.0,2.0,7551,3.0,119.0,1.0,8.0,140.0,,,1.0,14.0,9.0,59.0,,6.0,2.0,6.0,1.0,15.0,8.0,5.0,1.0,56.0,267.0,5.0,18.0,1.0,24.0,70.0,,,,0.0,2.0,5.0,1.0,6.0,0.0,5.0,2.0,2.0,45.3,21.0,2.0,4.0,2.0,,6.0,1.0,36.0,4.0,357.0,16.0,7.0,19.0,9.0,14.0,3.0,6.0,237.0,6.0,15.0,22.0,67.0,16.0,1.0,17.0,28.0,,10.0,3.0,24.0,11.0,4.0,,,1.0,,4.0,1.0,3.0,2.0,,,1.0,,,1.0,1.0,4.0,2.0,1.0,,2.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,695056,2013-12-14 12:45:00,"Etihad Stadium, Manchester",47229,Home,Manchester City,Arsenal,6,3,W,2,1,0,0,,4.0,62.0,2.0,1.0,2.0,2.0,31.0,27.0,8.0,8.0,3.0,2.0,1.0,178.0,6.0,16.0,6.0,2.0,20.0,,2.0,7.0,120.0,124.0,56.0,,22.0,10.0,,1.0,3.0,,4.0,22.0,18.0,1.0,27.0,6.0,10.0,36.0,1.0,273.0,,1.0,0.0,190.0,12.0,2.0,4.0,,,79.0,76.0,9.0,70.0,3.0,16.0,15.0,,3.0,124.0,5.0,,8.0,117.0,694.0,12.0,4.0,,15.0,391.0,21.0,2.0,3.0,13.0,4.0,1.0,2.0,2.0,11.0,17.0,463.0,59.0,3.0,7551,9.0,141.0,2.0,13.0,154.0,7.0,4.0,,6.0,6.0,54.0,,8.0,2.0,7.0,4.0,5.0,4.0,3.0,2.0,48.0,408.0,6.0,10.0,4.0,11.0,72.0,,,,0.0,1.0,8.0,5.0,2.0,0.0,1.0,,3.0,52.4,16.0,2.0,7.0,1.0,1.0,7.0,4.0,45.0,8.0,485.0,15.0,8.0,19.0,11.0,38.0,5.0,7.0,353.0,10.0,10.0,12.0,149.0,26.0,2.0,13.0,22.0,,16.0,3.0,30.0,6.0,8.0,,,,,2.0,4.0,4.0,,,1.0,3.0,1.0,1.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,14.0,8.0,2.0,40.0,5.0,,,,,,,,,
17,695063,2013-12-21 15:00:00,"Craven Cottage, London",25509,Away,Manchester City,Fulham,4,2,W,2,0,0,0,2.0,1.0,57.0,1.0,,3.0,3.0,17.0,32.0,3.0,5.0,4.0,,2.0,196.0,5.0,5.0,4.0,2.0,13.0,,,10.0,131.0,129.0,38.0,1.0,17.0,12.0,5.0,,2.0,4.0,,18.0,9.0,1.0,32.0,3.0,16.0,19.0,,250.0,,1.0,0.0,151.0,15.0,2.0,3.0,,,61.0,51.0,11.0,90.0,2.0,15.0,14.0,1.0,4.0,129.0,4.0,,6.0,123.0,735.0,10.0,7.0,2.0,13.0,445.0,21.0,,5.0,12.0,2.0,,1.0,3.0,2.0,24.0,525.0,64.0,1.0,82970,11.0,213.0,3.0,11.0,229.0,3.0,4.0,2.0,14.0,4.0,56.0,,1.0,2.0,10.0,2.0,8.0,7.0,2.0,,36.0,458.0,6.0,11.0,1.0,21.0,86.0,1.0,1.0,1.0,0.0,2.0,4.0,3.0,1.0,0.0,4.0,1.0,2.0,53.9,22.0,,3.0,,,10.0,4.0,60.0,4.0,540.0,13.0,9.0,11.0,3.0,22.0,1.0,2.0,329.0,10.0,16.0,14.0,108.0,21.0,,12.0,14.0,,12.0,3.0,14.0,6.0,4.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,1.0,,,,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,
19,695086,2013-12-28 15:00:00,"Etihad Stadium, Manchester",47107,Home,Manchester City,Crystal Palace,1,0,W,0,0,0,0,,1.0,52.0,,,3.0,6.0,45.0,17.0,8.0,8.0,4.0,,1.0,218.0,8.0,8.0,1.0,1.0,21.0,,,4.0,233.0,128.0,55.0,,23.0,18.0,2.0,1.0,1.0,2.0,2.0,31.0,13.0,1.0,17.0,10.0,26.0,37.0,,465.0,1.0,,0.0,262.0,12.0,3.0,,,,110.0,123.0,14.0,122.0,1.0,21.0,17.0,,5.0,128.0,2.0,,3.0,230.0,996.0,17.0,5.0,2.0,9.0,716.0,19.0,1.0,2.0,9.0,1.0,1.0,1.0,,7.0,15.0,793.0,117.0,1.0,84702,10.0,268.0,1.0,16.0,278.0,3.0,1.0,1.0,17.0,10.0,53.0,1.0,2.0,,7.0,1.0,5.0,6.0,9.0,4.0,55.0,725.0,7.0,6.0,3.0,12.0,80.0,,,,0.0,1.0,5.0,1.0,2.0,0.0,5.0,,4.0,76.3,15.0,2.0,2.0,2.0,1.0,7.0,11.0,64.0,12.0,803.0,9.0,16.0,22.0,8.0,28.0,3.0,6.0,556.0,10.0,25.0,22.0,208.0,23.0,1.0,9.0,18.0,,15.0,3.0,12.0,11.0,12.0,2.0,1.0,,,1.0,,2.0,,,,1.0,2.0,1.0,,1.0,1.0,,,,,,5.0,2.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,695099,2014-01-01 12:45:00,"Swansea.com Stadium, Swansea",20498,Away,Manchester City,Swansea City,3,2,W,1,1,0,0,,,52.0,2.0,,2.0,1.0,30.0,34.0,7.0,4.0,2.0,,1.0,168.0,4.0,14.0,3.0,1.0,8.0,2.0,,4.0,101.0,135.0,49.0,,14.0,14.0,1.0,,,,4.0,19.0,14.0,,34.0,5.0,11.0,22.0,,221.0,,1.0,0.0,165.0,10.0,1.0,2.0,1.0,,47.0,64.0,4.0,74.0,1.0,14.0,16.0,,1.0,135.0,2.0,1.0,3.0,110.0,658.0,8.0,18.0,,16.0,357.0,21.0,,8.0,21.0,,,5.0,3.0,4.0,21.0,438.0,74.0,1.0,84702,5.0,152.0,2.0,13.0,167.0,4.0,3.0,3.0,16.0,11.0,45.0,,1.0,3.0,2.0,2.0,14.0,13.0,8.0,,53.0,369.0,5.0,8.0,,23.0,71.0,,,,0.0,,8.0,2.0,5.0,0.0,2.0,1.0,1.0,47.8,19.0,1.0,3.0,1.0,,2.0,4.0,50.0,6.0,453.0,16.0,9.0,10.0,6.0,12.0,2.0,3.0,305.0,9.0,10.0,14.0,118.0,22.0,,21.0,16.0,,13.0,3.0,19.0,5.0,6.0,1.0,,1.0,,2.0,3.0,3.0,1.0,,,2.0,1.0,,2.0,,2.0,4.0,1.0,,4.0,1.0,3.0,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
21,695107,2014-01-12 14:05:00,"St. James' Park, Newcastle",49423,Away,Manchester City,Newcastle United,2,0,W,1,0,0,0,2.0,2.0,62.0,,1.0,3.0,2.0,11.0,53.0,1.0,9.0,5.0,2.0,1.0,166.0,4.0,4.0,2.0,4.0,11.0,,1.0,6.0,76.0,148.0,59.0,,14.0,17.0,4.0,3.0,1.0,3.0,,16.0,22.0,,53.0,5.0,15.0,23.0,1.0,151.0,1.0,,0.0,125.0,15.0,4.0,,1.0,2.0,65.0,38.0,7.0,56.0,1.0,11.0,17.0,,3.0,148.0,4.0,,6.0,75.0,587.0,8.0,5.0,1.0,6.0,264.0,25.0,3.0,4.0,31.0,1.0,3.0,2.0,2.0,4.0,23.0,347.0,52.0,4.0,7551,10.0,128.0,3.0,6.0,148.0,5.0,,,17.0,9.0,53.0,1.0,5.0,4.0,2.0,2.0,4.0,7.0,2.0,1.0,39.0,275.0,17.0,8.0,2.0,25.0,90.0,1.0,,,0.0,3.0,5.0,2.0,,0.0,4.0,2.0,3.0,45.6,20.0,1.0,2.0,1.0,,2.0,2.0,38.0,6.0,373.0,6.0,9.0,8.0,6.0,16.0,,4.0,241.0,2.0,12.0,18.0,82.0,28.0,2.0,31.0,23.0,,8.0,3.0,11.0,5.0,6.0,1.0,,,,1.0,,1.0,2.0,,,,3.0,2.0,,1.0,1.0,,,,,,,2.0,,2.0,2.0,5.0,2.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,
22,695115,2014-01-18 15:00:00,"Etihad Stadium, Manchester",47213,Home,Manchester City,Cardiff City,4,2,W,2,1,0,0,3.0,2.0,50.0,,2.0,4.0,1.0,44.0,24.0,5.0,17.0,4.0,2.0,2.0,190.0,5.0,12.0,4.0,2.0,18.0,2.0,1.0,9.0,158.0,124.0,50.0,,24.0,7.0,5.0,,3.0,2.0,2.0,27.0,12.0,,24.0,8.0,14.0,42.0,,320.0,,,0.0,225.0,6.0,3.0,2.0,1.0,1.0,96.0,102.0,8.0,83.0,4.0,19.0,10.0,,5.0,124.0,2.0,,2.0,158.0,788.0,12.0,3.0,,12.0,502.0,16.0,2.0,1.0,14.0,3.0,,2.0,1.0,10.0,24.0,576.0,90.0,1.0,84702,11.0,199.0,1.0,13.0,208.0,1.0,2.0,2.0,10.0,1.0,43.0,,2.0,3.0,5.0,4.0,6.0,5.0,1.0,3.0,52.0,514.0,5.0,13.0,3.0,7.0,71.0,2.0,2.0,,0.0,1.0,7.0,4.0,1.0,0.0,2.0,,2.0,62.2,24.0,2.0,8.0,3.0,,5.0,4.0,55.0,10.0,589.0,12.0,11.0,21.0,11.0,27.0,3.0,9.0,408.0,5.0,13.0,18.0,171.0,20.0,2.0,14.0,16.0,,19.0,3.0,18.0,5.0,10.0,,,,,1.0,,2.0,,,,1.0,1.0,,2.0,2.0,2.0,1.0,2.0,,1.0,,3.0,3.0,1.0,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
23,695130,2014-01-29 19:45:00,"White Hart Lane, London",36071,Away,Manchester City,Tottenham Hotspur,5,1,W,1,0,0,1,3.0,4.0,66.0,1.0,2.0,1.0,3.0,37.0,14.0,1.0,9.0,1.0,,,186.0,9.0,8.0,5.0,3.0,20.0,2.0,,10.0,203.0,125.0,63.0,,24.0,14.0,4.0,2.0,2.0,3.0,1.0,18.0,26.0,1.0,14.0,5.0,32.0,32.0,1.0,308.0,,,0.0,156.0,10.0,,1.0,1.0,1.0,83.0,104.0,10.0,98.0,4.0,13.0,14.0,,4.0,125.0,2.0,,2.0,168.0,869.0,13.0,7.0,2.0,14.0,569.0,21.0,2.0,3.0,5.0,2.0,2.0,4.0,1.0,10.0,20.0,640.0,58.0,2.0,84702,15.0,281.0,1.0,8.0,298.0,2.0,5.0,2.0,14.0,4.0,56.0,,5.0,2.0,5.0,3.0,8.0,2.0,,3.0,54.0,580.0,11.0,10.0,5.0,11.0,88.0,,1.0,,0.0,3.0,3.0,5.0,5.0,0.0,5.0,,4.0,65.8,19.0,2.0,4.0,2.0,,5.0,3.0,63.0,5.0,655.0,14.0,15.0,22.0,11.0,13.0,4.0,10.0,375.0,11.0,31.0,10.0,119.0,34.0,3.0,5.0,34.0,,16.0,3.0,16.0,6.0,5.0,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,,1.0,1.0,,,,,,,,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,
24,695136,2014-02-03 20:00:00,"Etihad Stadium, Manchester",47364,Home,Manchester City,Chelsea,0,1,L,0,1,0,0,1.0,,50.0,,,4.0,3.0,31.0,29.0,10.0,11.0,5.0,,2.0,193.0,9.0,11.0,,4.0,17.0,1.0,,3.0,107.0,148.0,79.0,2.0,24.0,30.0,1.0,1.0,,,8.0,39.0,24.0,2.0,29.0,11.0,10.0,33.0,,258.0,,,0.0,175.0,11.0,2.0,,1.0,1.0,59.0,94.0,4.0,77.0,2.0,28.0,12.0,2.0,3.0,148.0,3.0,,8.0,103.0,730.0,13.0,6.0,,10.0,385.0,21.0,2.0,7.0,15.0,,1.0,3.0,4.0,13.0,23.0,462.0,64.0,,84702,7.0,151.0,3.0,24.0,166.0,7.0,,1.0,12.0,9.0,73.0,2.0,,,7.0,,12.0,10.0,,3.0,56.0,400.0,12.0,17.0,4.0,29.0,85.0,,,,0.0,,6.0,,1.0,0.0,4.0,1.0,3.0,65.3,21.0,3.0,1.0,1.0,,7.0,5.0,47.0,12.0,480.0,10.0,12.0,24.0,16.0,13.0,5.0,10.0,353.0,9.0,10.0,23.0,133.0,18.0,,15.0,33.0,,16.0,1.0,14.0,4.0,12.0,,,1.0,,1.0,1.0,6.0,1.0,1.0,,,,1.0,1.0,,1.0,2.0,,,2.0,,2.0,,4.0,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,
25,695146,2014-02-08 15:00:00,"Carrow Road, Norwich",26832,Away,Manchester City,Norwich City,0,0,D,0,0,0,0,,,55.0,,,1.0,1.0,36.0,31.0,7.0,4.0,2.0,,1.0,184.0,9.0,10.0,,1.0,11.0,,2.0,2.0,183.0,140.0,47.0,,15.0,7.0,1.0,,,1.0,6.0,39.0,13.0,1.0,31.0,14.0,11.0,39.0,,351.0,1.0,,0.0,227.0,6.0,1.0,,,1.0,80.0,108.0,3.0,96.0,3.0,25.0,15.0,,3.0,140.0,2.0,,4.0,156.0,828.0,11.0,2.0,1.0,10.0,529.0,21.0,,2.0,21.0,,,1.0,1.0,8.0,26.0,610.0,83.0,,7551,2.0,195.0,2.0,21.0,216.0,4.0,,,15.0,5.0,32.0,,1.0,1.0,5.0,,9.0,3.0,3.0,,52.0,537.0,7.0,6.0,,12.0,73.0,,,,0.0,,4.0,,2.0,0.0,5.0,1.0,4.0,67.6,24.0,3.0,5.0,1.0,1.0,5.0,4.0,50.0,14.0,619.0,10.0,8.0,23.0,9.0,24.0,4.0,6.0,442.0,7.0,11.0,15.0,178.0,24.0,,21.0,15.0,,11.0,2.0,16.0,8.0,14.0,,,,,2.0,1.0,3.0,,1.0,,2.0,,1.0,,,2.0,2.0,,,2.0,,3.0,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
26,695159,2014-04-16 19:45:00,"Etihad Stadium, Manchester",47046,Home,Manchester City,Sunderland,2,2,D,1,0,0,0,,2.0,66.0,1.0,1.0,,2.0,33.0,25.0,6.0,4.0,1.0,,2.0,151.0,3.0,13.0,2.0,2.0,15.0,2.0,,4.0,143.0,121.0,64.0,,16.0,8.0,,,2.0,,1.0,23.0,24.0,2.0,25.0,3.0,23.0,17.0,1.0,329.0,,,0.0,176.0,14.0,,2.0,,2.0,83.0,69.0,7.0,78.0,2.0,20.0,14.0,,6.0,121.0,3.0,1.0,8.0,174.0,762.0,12.0,5.0,,16.0,471.0,23.0,1.0,4.0,19.0,2.0,,1.0,,8.0,12.0,534.0,70.0,1.0,7551,9.0,155.0,1.0,12.0,162.0,3.0,2.0,2.0,14.0,9.0,57.0,,1.0,,5.0,2.0,3.0,3.0,7.0,3.0,48.0,481.0,10.0,17.0,1.0,19.0,83.0,,1.0,,0.0,9.0,6.0,2.0,2.0,0.0,3.0,,1.0,56.8,11.0,1.0,7.0,,1.0,6.0,3.0,57.0,3.0,546.0,16.0,12.0,9.0,9.0,16.0,,6.0,407.0,11.0,21.0,10.0,141.0,29.0,,19.0,31.0,,15.0,3.0,21.0,9.0,3.0,1.0,,2.0,,3.0,1.0,3.0,,,,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,,1.0,,1.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,695165,2014-02-22 15:00:00,"Etihad Stadium, Manchester",47038,Home,Manchester City,Stoke City,1,0,W,0,0,0,0,,1.0,59.0,,,2.0,1.0,28.0,21.0,13.0,4.0,2.0,,6.0,243.0,4.0,7.0,1.0,4.0,15.0,1.0,1.0,7.0,167.0,121.0,50.0,1.0,19.0,14.0,,1.0,1.0,1.0,1.0,23.0,16.0,6.0,21.0,6.0,18.0,18.0,,439.0,1.0,,0.0,293.0,16.0,1.0,1.0,1.0,1.0,99.0,95.0,9.0,115.0,2.0,17.0,21.0,1.0,,121.0,2.0,,3.0,172.0,878.0,13.0,7.0,,8.0,604.0,18.0,2.0,1.0,12.0,1.0,1.0,3.0,1.0,6.0,14.0,679.0,88.0,,7551,3.0,185.0,1.0,16.0,195.0,7.0,1.0,1.0,21.0,9.0,45.0,,,,6.0,1.0,4.0,4.0,5.0,1.0,40.0,620.0,13.0,1.0,1.0,10.0,80.0,,1.0,,0.0,,3.0,1.0,4.0,0.0,3.0,2.0,1.0,74.1,13.0,1.0,8.0,,2.0,6.0,5.0,62.0,8.0,697.0,8.0,6.0,8.0,7.0,22.0,1.0,4.0,525.0,14.0,17.0,12.0,242.0,27.0,,12.0,20.0,,16.0,3.0,17.0,10.0,8.0,1.0,,1.0,,2.0,1.0,3.0,,,,,1.0,,,1.0,2.0,,,,,1.0,4.0,,3.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
