gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,subsMade,totalContest,blockedCross,wonCorners,attIboxBlocked,attFreekickTotal,attOboxBlocked,attSvHighRight,freekickTotal,attHdTarget,sixYardBlock,totalPullBack,attFreekickTarget,goalsConceded,attHdTotal,attHdMiss,attSvHighCentre,blockedScoringAtt,goalsConcededIbox,attMissHighRight,errorLeadToShot,attSvLowRight,shieldBallOop,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,accurateKeeperSweeper,totalKeeperSweeper,attFreekickMiss,attHdGoal,goalsConcededObox,attGoalLowLeft,defenderGoals,attGoalHighLeft,attLfGoal,postScoringAtt,attIboxPost,attGoalHighRight,attOboxGoal,hitWoodwork,attPostRight,attFreekickGoal,attGoalHighCentre,secondYellow,attMissHighLeft,penaltySave,penaltyConceded,penaltyFaced,attemptsIbox,saves,fouledFinalThird,accuratePullBack,attBxRight,ptsGainedLosingPos,totalFastbreak,freekickCross,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateFreekickCross,attBxCentre,goalsOpenplay,attCorner,attCmissHighRight,attBxLeft,penGoalsConceded,attOpenplay,ptsDroppedWinningPos,ownGoals,attCmissLeft,attIboxOwnGoal,penaltyWon,attPenGoal,errorLeadToGoal,attObxdRight,attPostLeft,attObxRight,attFreekickPost,attOboxPost,attPostHigh
11,284101,2009-11-01 16:00:00,"St. Andrew's @ Knighthead Park, Birmingham",21462,Away,Manchester City,Birmingham City,0,0,D,0,0,0,1,3.0,,75.0,,4.0,41.0,38.0,6.0,3.0,4.0,4.0,10.0,,10.0,4.0,213.0,50.0,14.0,16.0,3.0,1.0,,2.0,,2.0,36.0,12.0,1.0,19.0,8.0,23.0,32.0,161.0,1.0,0.0,144.0,11.0,3.0,,,,1.0,65.0,73.0,4.0,1.0,1.0,28.0,9.0,3.0,194.0,5.0,713.0,7.0,6.0,15.0,24.0,7.0,21.0,,2.0,1.0,6.0,28.0,87.0,3.0,7551,140.0,17.0,1.0,160.0,,6.0,56.0,5.0,4.0,8.0,5.0,2.0,2.0,79.0,297.0,9.0,5.0,3.0,30.0,99.0,1.0,,0.0,4.0,1.0,,2.0,0.0,2.0,,,57.1,20.0,5.0,8.0,,40.0,8.0,1.0,416.0,15.0,19.0,12.0,7.0,19.0,2.0,4.0,292.0,9.0,21.0,13.0,79.0,25.0,,,11.0,18.0,2.0,18.0,,8.0,1.0,1.0,2.0,,1.0,,,1.0,,,2.0,2.0,,3.0,,1.0,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,284115,2009-11-07 15:00:00,"Etihad Stadium, Manchester",47205,Home,Manchester City,Burnley,3,3,D,1,2,0,0,1.0,2.0,65.0,1.0,,44.0,23.0,5.0,5.0,2.0,4.0,7.0,3.0,14.0,7.0,183.0,60.0,17.0,8.0,3.0,1.0,3.0,2.0,,1.0,26.0,20.0,1.0,13.0,6.0,21.0,30.0,181.0,,0.0,167.0,13.0,1.0,,1.0,,,47.0,74.0,9.0,,,20.0,3.0,3.0,173.0,6.0,660.0,9.0,13.0,22.0,29.0,8.0,19.0,3.0,1.0,1.0,5.0,29.0,90.0,,7551,139.0,16.0,2.0,171.0,2.0,6.0,38.0,8.0,7.0,3.0,2.0,5.0,1.0,74.0,316.0,11.0,4.0,2.0,38.0,90.0,1.0,,0.0,3.0,1.0,3.0,6.0,0.0,2.0,2.0,,53.3,25.0,2.0,3.0,,49.0,8.0,,442.0,22.0,8.0,18.0,6.0,42.0,2.0,3.0,297.0,10.0,18.0,15.0,101.0,28.0,1.0,1.0,9.0,27.0,1.0,13.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,3.0,,,,4.0,3.0,3.0,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,1.0,12.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,5.0,33.0,301.0,423.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,13.0,2.0,,,,,,,,,,,,
13,284125,2009-11-21 12:45:00,"Anfield, Liverpool",44164,Away,Manchester City,Liverpool,2,2,D,0,0,0,0,,,49.0,1.0,1.0,35.0,35.0,6.0,2.0,2.0,2.0,5.0,2.0,8.0,4.0,163.0,38.0,9.0,8.0,1.0,2.0,1.0,1.0,,,10.0,12.0,1.0,14.0,3.0,23.0,23.0,143.0,,0.0,130.0,13.0,,,1.0,1.0,,42.0,51.0,5.0,4.0,1.0,7.0,4.0,3.0,142.0,12.0,632.0,6.0,4.0,23.0,20.0,9.0,13.0,2.0,0.0,9.0,3.0,27.0,80.0,1.0,7551,142.0,3.0,,169.0,1.0,10.0,51.0,3.0,4.0,5.0,5.0,1.0,,70.0,283.0,9.0,8.0,,38.0,74.0,2.0,,0.0,7.0,1.0,2.0,2.0,0.0,,2.0,,42.6,24.0,1.0,5.0,,30.0,3.0,,379.0,23.0,12.0,11.0,3.0,18.0,2.0,,220.0,6.0,22.0,7.0,76.0,17.0,1.0,5.0,7.0,17.0,2.0,15.0,5.0,3.0,,,2.0,,,,,,,2.0,1.0,,,2.0,2.0,1.0,,,,1.0,1.0,,2.0,2.0,,1.0,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,284135,2009-11-28 15:00:00,"Etihad Stadium, Manchester",46382,Home,Manchester City,Hull City,1,1,D,1,0,0,0,,1.0,65.0,1.0,1.0,22.0,26.0,6.0,2.0,3.0,7.0,13.0,1.0,14.0,5.0,168.0,58.0,19.0,16.0,3.0,1.0,1.0,2.0,1.0,1.0,21.0,16.0,1.0,16.0,8.0,23.0,33.0,198.0,,0.0,153.0,15.0,,,1.0,,1.0,70.0,57.0,6.0,,5.0,13.0,3.0,2.0,158.0,4.0,702.0,10.0,7.0,19.0,28.0,1.0,11.0,1.0,1.0,2.0,8.0,28.0,77.0,2.0,7551,131.0,10.0,,155.0,1.0,9.0,60.0,9.0,2.0,5.0,6.0,3.0,3.0,61.0,322.0,12.0,4.0,3.0,35.0,95.0,1.0,,0.0,2.0,,,4.0,0.0,1.0,,,55.7,24.0,5.0,6.0,1.0,43.0,8.0,1.0,428.0,19.0,17.0,19.0,9.0,22.0,6.0,7.0,294.0,14.0,23.0,14.0,101.0,20.0,,2.0,5.0,19.0,2.0,21.0,2.0,9.0,3.0,3.0,2.0,,3.0,,,1.0,,1.0,2.0,2.0,1.0,5.0,1.0,,,1.0,2.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
15,284145,2009-12-05 17:30:00,"Etihad Stadium, Manchester",47348,Home,Manchester City,Chelsea,2,1,W,1,1,0,0,1.0,2.0,43.0,1.0,1.0,27.0,26.0,8.0,6.0,2.0,2.0,10.0,2.0,13.0,7.0,152.0,56.0,16.0,14.0,4.0,1.0,,1.0,,1.0,26.0,19.0,1.0,15.0,8.0,12.0,21.0,157.0,,0.0,134.0,14.0,3.0,,,3.0,,73.0,56.0,9.0,2.0,1.0,18.0,5.0,2.0,141.0,10.0,561.0,11.0,3.0,28.0,11.0,4.0,13.0,,1.0,1.0,4.0,26.0,66.0,,7551,102.0,10.0,1.0,114.0,1.0,6.0,54.0,2.0,4.0,1.0,3.0,4.0,1.0,52.0,257.0,17.0,9.0,2.0,28.0,88.0,1.0,,0.0,6.0,5.0,1.0,2.0,0.0,,,,48.0,18.0,2.0,1.0,,40.0,9.0,,342.0,28.0,9.0,11.0,4.0,20.0,2.0,2.0,254.0,8.0,11.0,8.0,88.0,26.0,2.0,2.0,6.0,21.0,3.0,19.0,2.0,9.0,1.0,1.0,4.0,1.0,1.0,1.0,,2.0,,1.0,2.0,1.0,,5.0,1.0,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,6.0,2.0,,,1.0,3.0,,,,,,4.0,,,,1.0,,10.0,,1.0,1.0,1.0,,,,,,,,,
16,284151,2009-12-12 15:00:00,"Toughsheet Community Stadium, Bolton",22735,Away,Manchester City,Bolton Wanderers,3,3,D,2,2,1,0,,2.0,44.0,2.0,,34.0,48.0,10.0,5.0,1.0,6.0,3.0,3.0,12.0,6.0,203.0,41.0,16.0,24.0,1.0,2.0,2.0,1.0,,2.0,22.0,11.0,2.0,21.0,9.0,12.0,23.0,238.0,,0.0,191.0,11.0,1.0,,,1.0,,92.0,48.0,6.0,1.0,2.0,13.0,3.0,6.0,176.0,7.0,739.0,10.0,7.0,13.0,16.0,11.0,23.0,2.0,1.0,2.0,6.0,35.0,90.0,1.0,7551,124.0,10.0,,141.0,2.0,8.0,66.0,7.0,2.0,2.0,6.0,2.0,2.0,73.0,356.0,12.0,3.0,,42.0,105.0,2.0,1.0,0.0,5.0,,2.0,1.0,1.0,4.0,1.0,,64.4,28.0,2.0,3.0,,49.0,9.0,,471.0,13.0,18.0,8.0,8.0,25.0,2.0,2.0,352.0,10.0,11.0,13.0,120.0,13.0,2.0,2.0,6.0,13.0,3.0,14.0,2.0,9.0,1.0,,1.0,,,,1.0,,,3.0,1.0,1.0,,2.0,2.0,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,284167,2009-12-16 20:00:00,"White Hart Lane, London",35891,Away,Manchester City,Tottenham Hotspur,0,3,L,0,1,0,0,1.0,1.0,47.0,,,21.0,23.0,8.0,4.0,2.0,3.0,7.0,,7.0,3.0,184.0,55.0,11.0,23.0,,,,,,,16.0,20.0,3.0,17.0,6.0,14.0,30.0,226.0,,0.0,169.0,10.0,,2.0,,,1.0,84.0,41.0,3.0,1.0,1.0,10.0,3.0,3.0,178.0,13.0,705.0,6.0,5.0,17.0,12.0,4.0,10.0,,3.0,4.0,4.0,32.0,90.0,,59306,99.0,6.0,,122.0,,16.0,60.0,8.0,4.0,5.0,8.0,5.0,2.0,53.0,322.0,9.0,10.0,1.0,33.0,101.0,,2.0,0.0,5.0,,,1.0,0.0,1.0,,,51.7,26.0,3.0,5.0,,38.0,6.0,1.0,448.0,17.0,12.0,11.0,5.0,17.0,2.0,2.0,342.0,7.0,13.0,13.0,103.0,20.0,,2.0,9.0,26.0,2.0,13.0,2.0,6.0,1.0,1.0,2.0,,1.0,,,,1.0,3.0,,,,3.0,3.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,284175,2009-12-19 15:00:00,"Etihad Stadium, Manchester",44735,Home,Manchester City,Sunderland,4,3,W,3,2,0,1,1.0,1.0,47.0,2.0,,26.0,34.0,4.0,2.0,1.0,2.0,4.0,4.0,11.0,6.0,203.0,42.0,14.0,24.0,1.0,1.0,3.0,,1.0,1.0,10.0,12.0,1.0,21.0,4.0,15.0,28.0,171.0,,0.0,150.0,14.0,1.0,,,,,72.0,53.0,6.0,2.0,3.0,6.0,1.0,3.0,190.0,7.0,666.0,7.0,20.0,21.0,9.0,9.0,12.0,3.0,2.0,1.0,5.0,37.0,79.0,2.0,59306,110.0,4.0,1.0,157.0,4.0,6.0,61.0,7.0,5.0,2.0,3.0,2.0,2.0,68.0,279.0,7.0,4.0,1.0,40.0,101.0,1.0,,0.0,4.0,2.0,4.0,11.0,0.0,1.0,3.0,,55.6,31.0,2.0,2.0,,43.0,6.0,,426.0,21.0,18.0,13.0,7.0,20.0,1.0,4.0,279.0,11.0,12.0,15.0,89.0,22.0,4.0,,8.0,16.0,3.0,6.0,,6.0,1.0,,,,,,,,,3.0,,,1.0,1.0,3.0,1.0,,1.0,2.0,,,1.0,5.0,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,
19,284186,2009-12-26 15:00:00,"Etihad Stadium, Manchester",47325,Home,Manchester City,Stoke City,2,0,W,2,0,0,0,,1.0,61.0,,,34.0,45.0,4.0,4.0,2.0,6.0,,2.0,11.0,6.0,172.0,43.0,13.0,19.0,2.0,,2.0,2.0,,,22.0,13.0,2.0,21.0,6.0,24.0,32.0,221.0,1.0,0.0,147.0,13.0,1.0,,1.0,1.0,1.0,83.0,70.0,5.0,,3.0,16.0,6.0,3.0,148.0,5.0,779.0,9.0,8.0,19.0,21.0,5.0,30.0,2.0,0.0,1.0,6.0,23.0,80.0,2.0,80235,202.0,10.0,,223.0,2.0,9.0,51.0,9.0,,5.0,3.0,5.0,,62.0,417.0,10.0,4.0,,34.0,103.0,,2.0,0.0,6.0,2.0,2.0,2.0,0.0,4.0,1.0,,62.4,22.0,4.0,5.0,,54.0,7.0,1.0,529.0,19.0,9.0,18.0,7.0,19.0,2.0,4.0,328.0,8.0,20.0,17.0,97.0,30.0,1.0,4.0,15.0,16.0,3.0,6.0,4.0,7.0,,,,,,1.0,,,,,1.0,,1.0,,,2.0,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
20,284199,2009-12-28 19:45:00,"Molineux Stadium, Wolverhampton",28957,Away,Manchester City,Wolverhampton Wanderers,3,0,W,1,0,0,0,1.0,,41.0,1.0,1.0,39.0,53.0,6.0,6.0,1.0,4.0,1.0,3.0,13.0,4.0,161.0,43.0,16.0,4.0,1.0,2.0,2.0,1.0,,2.0,13.0,14.0,,28.0,3.0,19.0,16.0,142.0,1.0,0.0,106.0,11.0,1.0,,,,,72.0,55.0,5.0,,4.0,10.0,,2.0,136.0,5.0,687.0,11.0,3.0,19.0,16.0,7.0,29.0,2.0,2.0,4.0,8.0,23.0,65.0,1.0,80235,214.0,9.0,3.0,239.0,,11.0,30.0,2.0,4.0,1.0,9.0,4.0,2.0,65.0,352.0,16.0,3.0,,33.0,104.0,2.0,,0.0,8.0,2.0,1.0,1.0,0.0,3.0,2.0,,47.8,14.0,,1.0,,52.0,3.0,,446.0,19.0,8.0,6.0,9.0,7.0,1.0,7.0,220.0,9.0,19.0,10.0,64.0,21.0,2.0,3.0,19.0,16.0,3.0,6.0,3.0,3.0,1.0,1.0,2.0,,1.0,,,3.0,,,1.0,1.0,,3.0,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,3.0,,,,2.0,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,284206,2010-01-11 20:00:00,"Etihad Stadium, Manchester",40292,Home,Manchester City,Blackburn Rovers,4,1,W,2,0,0,0,,,57.0,2.0,1.0,41.0,35.0,5.0,2.0,2.0,2.0,6.0,4.0,9.0,6.0,178.0,66.0,14.0,23.0,1.0,2.0,2.0,1.0,,,17.0,22.0,1.0,18.0,3.0,19.0,34.0,204.0,,0.0,159.0,6.0,2.0,,,1.0,2.0,98.0,69.0,5.0,,3.0,14.0,5.0,2.0,161.0,6.0,755.0,7.0,6.0,18.0,25.0,5.0,25.0,2.0,1.0,,4.0,23.0,81.0,3.0,80506,181.0,9.0,,208.0,4.0,13.0,49.0,5.0,4.0,2.0,5.0,6.0,,72.0,383.0,12.0,3.0,,31.0,109.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,2.0,2.0,,59.1,19.0,2.0,3.0,,53.0,4.0,2.0,496.0,18.0,13.0,18.0,5.0,13.0,,2.0,305.0,11.0,18.0,21.0,106.0,22.0,3.0,,12.0,27.0,3.0,10.0,,4.0,3.0,1.0,,,1.0,,,4.0,,1.0,1.0,1.0,,3.0,1.0,,,,2.0,,,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,2.0,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
22,284214,2010-01-16 17:30:00,"Goodison Park, Liverpool",37378,Away,Manchester City,Everton,0,2,L,0,2,0,0,1.0,2.0,53.0,,,26.0,40.0,4.0,4.0,1.0,4.0,4.0,,7.0,4.0,159.0,50.0,10.0,19.0,3.0,,,2.0,,,13.0,19.0,1.0,18.0,2.0,11.0,24.0,128.0,,0.0,104.0,15.0,1.0,,,1.0,,59.0,36.0,4.0,4.0,,11.0,4.0,2.0,137.0,13.0,639.0,6.0,3.0,15.0,19.0,2.0,26.0,,0.0,2.0,3.0,21.0,55.0,,80235,176.0,4.0,2.0,197.0,,14.0,61.0,2.0,1.0,5.0,3.0,2.0,1.0,50.0,300.0,13.0,9.0,1.0,22.0,92.0,,,0.0,11.0,4.0,,1.0,0.0,3.0,,,50.4,17.0,1.0,5.0,,37.0,3.0,,392.0,15.0,12.0,8.0,4.0,17.0,1.0,2.0,208.0,5.0,8.0,8.0,65.0,25.0,,3.0,9.0,25.0,3.0,11.0,3.0,3.0,,1.0,2.0,,1.0,1.0,,,,2.0,1.0,,,2.0,1.0,2.0,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,
23,284223,2010-02-16 19:45:00,"bet365 Stadium, Stoke",26778,Away,Manchester City,Stoke City,1,1,D,0,0,0,1,1.0,,56.0,,1.0,28.0,38.0,4.0,5.0,,3.0,5.0,1.0,5.0,1.0,181.0,69.0,10.0,17.0,,1.0,,,,2.0,24.0,18.0,,19.0,2.0,25.0,48.0,209.0,,0.0,148.0,15.0,,,1.0,,1.0,79.0,69.0,2.0,,1.0,22.0,9.0,,162.0,6.0,670.0,2.0,17.0,9.0,20.0,4.0,29.0,,3.0,2.0,3.0,29.0,74.0,,7551,98.0,11.0,3.0,115.0,,9.0,58.0,3.0,1.0,6.0,4.0,5.0,,60.0,304.0,21.0,2.0,3.0,25.0,86.0,1.0,,0.0,3.0,1.0,1.0,5.0,0.0,3.0,,,63.2,27.0,2.0,6.0,,43.0,3.0,1.0,413.0,9.0,13.0,24.0,5.0,35.0,,4.0,322.0,5.0,22.0,23.0,86.0,22.0,,2.0,12.0,20.0,3.0,17.0,2.0,3.0,,1.0,4.0,,1.0,,,1.0,,1.0,,,,4.0,,1.0,,,,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,
24,284236,2010-01-31 13:30:00,"Etihad Stadium, Manchester",44015,Home,Manchester City,Portsmouth,2,0,W,2,0,0,0,,2.0,50.0,,2.0,33.0,25.0,5.0,6.0,1.0,6.0,9.0,2.0,9.0,5.0,139.0,50.0,13.0,7.0,2.0,,1.0,,,1.0,27.0,15.0,1.0,17.0,7.0,21.0,24.0,229.0,1.0,0.0,140.0,9.0,2.0,,,2.0,2.0,99.0,76.0,4.0,1.0,4.0,20.0,2.0,2.0,131.0,7.0,747.0,4.0,1.0,26.0,23.0,2.0,13.0,2.0,1.0,1.0,5.0,22.0,68.0,1.0,80506,189.0,16.0,1.0,209.0,1.0,8.0,33.0,3.0,2.0,5.0,6.0,4.0,,55.0,412.0,16.0,3.0,3.0,17.0,80.0,,,0.0,7.0,2.0,2.0,,0.0,2.0,2.0,,55.7,19.0,1.0,5.0,,48.0,10.0,3.0,499.0,26.0,9.0,15.0,6.0,15.0,4.0,3.0,317.0,3.0,17.0,6.0,99.0,17.0,1.0,2.0,9.0,19.0,3.0,14.0,2.0,10.0,,2.0,2.0,,2.0,,,2.0,1.0,,4.0,3.0,,2.0,,,1.0,1.0,2.0,1.0,1.0,,,,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
25,284244,2010-02-06 15:00:00,"The MKM Stadium, Hull",24959,Away,Manchester City,Hull City,1,2,L,0,1,0,0,,2.0,54.0,,,25.0,45.0,4.0,6.0,2.0,5.0,6.0,1.0,12.0,5.0,186.0,78.0,16.0,18.0,4.0,,,2.0,,1.0,24.0,30.0,,22.0,8.0,26.0,26.0,180.0,,0.0,147.0,14.0,,,,,2.0,76.0,52.0,8.0,,,16.0,6.0,2.0,163.0,4.0,703.0,12.0,8.0,19.0,23.0,11.0,26.0,,4.0,2.0,4.0,19.0,79.0,2.0,80235,122.0,8.0,,150.0,1.0,9.0,54.0,9.0,6.0,3.0,6.0,6.0,1.0,57.0,297.0,14.0,6.0,,43.0,93.0,,1.0,0.0,4.0,1.0,1.0,4.0,0.0,5.0,,,57.9,17.0,,3.0,,48.0,8.0,2.0,414.0,19.0,13.0,10.0,5.0,18.0,,3.0,288.0,9.0,25.0,22.0,91.0,26.0,1.0,4.0,15.0,36.0,3.0,9.0,4.0,8.0,4.0,,2.0,,,,1.0,1.0,,2.0,1.0,1.0,,6.0,,2.0,,2.0,1.0,,,,,,,,2.0,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,284259,2010-02-09 19:45:00,"Etihad Stadium, Manchester",42016,Home,Manchester City,Bolton Wanderers,2,0,W,1,0,0,0,1.0,1.0,61.0,1.0,1.0,40.0,42.0,3.0,3.0,,2.0,6.0,2.0,6.0,3.0,179.0,52.0,10.0,19.0,,,1.0,,,2.0,27.0,11.0,1.0,20.0,5.0,18.0,31.0,193.0,1.0,0.0,130.0,12.0,2.0,,,1.0,2.0,73.0,71.0,4.0,1.0,1.0,22.0,7.0,,157.0,8.0,727.0,3.0,8.0,17.0,26.0,8.0,19.0,1.0,0.0,1.0,2.0,24.0,59.0,1.0,7551,172.0,12.0,1.0,202.0,2.0,12.0,54.0,6.0,6.0,6.0,5.0,5.0,1.0,76.0,363.0,19.0,7.0,2.0,29.0,83.0,,2.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,,58.6,21.0,1.0,6.0,,42.0,6.0,2.0,462.0,17.0,9.0,20.0,5.0,17.0,1.0,4.0,287.0,6.0,16.0,11.0,87.0,21.0,2.0,2.0,8.0,16.0,3.0,14.0,2.0,6.0,1.0,1.0,1.0,,1.0,,,,,,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,1.0
27,284265,2010-02-21 15:00:00,"Etihad Stadium, Manchester",47203,Home,Manchester City,Liverpool,0,0,D,0,0,0,0,1.0,,60.0,,1.0,38.0,29.0,4.0,2.0,1.0,3.0,7.0,,3.0,1.0,161.0,49.0,5.0,10.0,,,,,,1.0,26.0,15.0,1.0,16.0,8.0,13.0,24.0,142.0,1.0,0.0,107.0,9.0,,,,1.0,1.0,59.0,56.0,1.0,,1.0,18.0,6.0,2.0,148.0,2.0,667.0,3.0,7.0,22.0,27.0,6.0,12.0,,1.0,4.0,2.0,32.0,70.0,,80506,174.0,10.0,,198.0,,5.0,49.0,4.0,3.0,1.0,5.0,4.0,1.0,59.0,313.0,15.0,6.0,,20.0,78.0,,1.0,0.0,6.0,,,2.0,0.0,2.0,,,44.1,23.0,3.0,1.0,,44.0,8.0,1.0,400.0,22.0,15.0,10.0,3.0,20.0,1.0,1.0,228.0,2.0,13.0,8.0,65.0,23.0,,,7.0,19.0,2.0,17.0,,8.0,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,284273,2010-02-27 12:45:00,"Stamford Bridge, London",41814,Away,Manchester City,Chelsea,4,2,W,1,1,0,2,1.0,1.0,52.0,1.0,5.0,24.0,35.0,4.0,4.0,1.0,2.0,5.0,4.0,5.0,6.0,138.0,51.0,9.0,4.0,,3.0,2.0,,3.0,1.0,7.0,13.0,2.0,16.0,2.0,12.0,21.0,118.0,,0.0,73.0,14.0,,,,1.0,2.0,73.0,40.0,3.0,2.0,1.0,5.0,1.0,1.0,119.0,10.0,580.0,2.0,3.0,21.0,16.0,5.0,25.0,2.0,1.0,6.0,2.0,16.0,51.0,1.0,80506,145.0,1.0,1.0,167.0,2.0,12.0,34.0,2.0,3.0,8.0,17.0,2.0,,51.0,261.0,21.0,6.0,1.0,25.0,88.0,3.0,,0.0,3.0,5.0,4.0,1.0,0.0,2.0,1.0,,43.3,13.0,3.0,8.0,,39.0,2.0,2.0,348.0,21.0,7.0,10.0,2.0,7.0,,1.0,188.0,4.0,11.0,4.0,42.0,16.0,4.0,5.0,12.0,21.0,3.0,9.0,5.0,2.0,,2.0,1.0,,2.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,,1.0,1.0,,,,3.0,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,
