gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,bigChanceScored,attGoalLowLeft,attGoalLowRight,attLfGoal,goals,attCmissRight,attFreekickTotal,attOboxBlocked,shotFastbreak,goalAssistOpenplay,attGoalHighRight,cleanSheet,attOboxGoal,totalFastbreak,midfielderGoals,freekickTotal,attOboxMiss,attHdTarget,attMissHighLeft,goalAssist,accurateThroughBall,attSetpiece,penaltyConceded,attRfGoal,totalOffside,goalsOpenplay,attFastbreak,attIboxGoal,goalAssistIntentional,attSvHighCentre,penaltyFaced,attFreekickMiss,forwardGoals,attHdGoal,goalAssistSetplay,goalAssistDeadball,accuratePullBack,attMissHighRight,accurateFreekickCross,totalPullBack,attMissHigh,attGoalHighLeft,goalsConcededObox,savedObox,postScoringAtt,attIboxPost,attSvHighRight,attHdPost,hitWoodwork,attBxLeft,penGoalsConceded,attPostRight,attLgCentre,attFreekickTarget,clearanceOffLine,penaltyWon,ownGoals,attPenGoal,attCmissHighRight,attIboxOwnGoal,attGoalHighCentre,attCmissHigh,attGoalLowCentre,defenderGoals,punches,sixYardBlock,attPostHigh,foulThrowIn,errorLeadToShot,errorLeadToGoal,attPostLeft,attSvHighLeft,attemptsIbox,saves,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCmissHighLeft,attObxdLeft,attObxRight,attObxLeft,goalFastbreak,attObpGoal
11,321757,2010-11-07 13:30:00,"Emirates Stadium, London",60059,Away,Newcastle United,Arsenal,1,0,W,1,0,0,1,1.0,,71.0,1.0,35.0,51.0,3.0,2.0,1.0,146.0,3.0,5.0,2.0,5.0,2.0,91.0,178.0,58.0,7.0,6.0,,,2.0,1.0,2.0,15.0,17.0,1.0,26.0,2.0,24.0,26.0,131.0,0.0,94.0,13.0,2.0,,,1.0,52.0,39.0,1.0,68.0,3.0,,13.0,6.0,153.0,1.0,7.0,84.0,617.0,3.0,12.0,17.0,35.0,15.0,30.0,2.0,2.0,6.0,4.0,24.0,63.0,999,4.0,176.0,,7.0,201.0,7.0,57.0,,4.0,11.0,4.0,5.0,59.0,304.0,15.0,7.0,1.0,28.0,89.0,,,0.0,2.0,12.0,3.0,,2.0,0.0,2.0,,2.0,42.4,17.0,1.0,1.0,4.0,1.0,54.0,2.0,2.0,389.0,17.0,21.0,13.0,4.0,14.0,1.0,2.0,203.0,3.0,23.0,20.0,58.0,22.0,5.0,15.0,18.0,,3.0,1.0,16.0,5.0,2.0,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,,1.0,2.0,,2.0,1.0,,1.0,,,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,
12,321776,2010-11-10 19:45:00,"St. James' Park, Newcastle",41053,Home,Newcastle United,Blackburn Rovers,1,2,L,0,1,0,0,1.0,,59.0,1.0,32.0,20.0,5.0,2.0,,202.0,5.0,3.0,,4.0,1.0,101.0,190.0,46.0,8.0,17.0,,,,,2.0,32.0,5.0,,10.0,4.0,23.0,34.0,205.0,0.0,133.0,16.0,,,,1.0,89.0,48.0,2.0,71.0,1.0,,28.0,13.0,180.0,,3.0,114.0,668.0,3.0,12.0,21.0,20.0,9.0,11.0,,3.0,2.0,2.0,24.0,76.0,999,2.0,173.0,,11.0,193.0,3.0,63.0,,4.0,7.0,4.0,,67.0,373.0,18.0,10.0,,34.0,111.0,,1.0,0.0,3.0,1.0,,2.0,2.0,0.0,4.0,,1.0,64.3,22.0,,2.0,4.0,3.0,56.0,4.0,2.0,488.0,17.0,6.0,17.0,4.0,29.0,1.0,1.0,327.0,5.0,22.0,13.0,82.0,25.0,,5.0,12.0,2.0,,2.0,18.0,,4.0,1.0,,,,1.0,,,2.0,,,,,,,,,3.0,,1.0,1.0,,1.0,,,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,
13,321781,2010-11-13 15:00:00,"St. James' Park, Newcastle",44686,Home,Newcastle United,Fulham,0,0,D,0,0,0,0,,3.0,51.0,2.0,35.0,33.0,9.0,8.0,,169.0,8.0,15.0,1.0,11.0,4.0,98.0,196.0,71.0,16.0,16.0,3.0,,1.0,2.0,4.0,30.0,6.0,1.0,9.0,5.0,25.0,40.0,188.0,0.0,147.0,11.0,4.0,,1.0,,55.0,44.0,6.0,66.0,1.0,1.0,25.0,16.0,172.0,3.0,6.0,87.0,641.0,10.0,16.0,20.0,21.0,15.0,21.0,1.0,2.0,3.0,5.0,23.0,75.0,999,5.0,136.0,3.0,8.0,153.0,5.0,56.0,5.0,3.0,15.0,6.0,2.0,73.0,316.0,22.0,8.0,1.0,50.0,82.0,2.0,,0.0,1.0,5.0,2.0,,5.0,0.0,6.0,1.0,2.0,54.0,18.0,1.0,1.0,3.0,5.0,42.0,5.0,,420.0,15.0,8.0,21.0,7.0,34.0,2.0,2.0,297.0,6.0,22.0,24.0,89.0,19.0,2.0,5.0,10.0,,10.0,2.0,28.0,2.0,5.0,,,,,,1.0,1.0,3.0,,,,1.0,,,,1.0,5.0,1.0,,,2.0,2.0,,,1.0,,,,,,,,,,,,,2.0,,1.0,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
14,321791,2010-11-20 15:00:00,"Macron Stadium, Bolton",22203,Away,Newcastle United,Bolton Wanderers,1,5,L,0,2,1,0,2.0,1.0,69.0,,25.0,33.0,,4.0,,166.0,4.0,12.0,,5.0,2.0,64.0,190.0,50.0,7.0,18.0,1.0,1.0,,,,22.0,8.0,,14.0,3.0,17.0,30.0,140.0,0.0,128.0,12.0,2.0,1.0,1.0,1.0,48.0,39.0,1.0,48.0,2.0,,19.0,6.0,171.0,3.0,14.0,86.0,582.0,4.0,21.0,17.0,30.0,17.0,20.0,1.0,2.0,3.0,4.0,26.0,75.0,999,4.0,131.0,4.0,12.0,152.0,12.0,70.0,5.0,2.0,11.0,7.0,6.0,56.0,267.0,13.0,11.0,1.0,36.0,86.0,,,0.0,4.0,2.0,3.0,5.0,7.0,1.0,3.0,2.0,1.0,50.7,24.0,1.0,2.0,2.0,,44.0,3.0,1.0,364.0,12.0,18.0,12.0,5.0,31.0,1.0,4.0,234.0,2.0,15.0,14.0,76.0,24.0,2.0,7.0,11.0,5.0,5.0,3.0,25.0,2.0,3.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,3.0,,2.0,,2.0,1.0,2.0,,,1.0,,,2.0,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
15,321802,2010-11-28 13:30:00,"St. James' Park, Newcastle",46469,Home,Newcastle United,Chelsea,1,1,D,1,1,0,0,,,73.0,,23.0,36.0,1.0,,1.0,150.0,2.0,8.0,3.0,2.0,3.0,77.0,180.0,56.0,5.0,13.0,2.0,1.0,,,,28.0,15.0,,22.0,6.0,20.0,31.0,147.0,0.0,96.0,10.0,4.0,,1.0,1.0,60.0,47.0,1.0,63.0,2.0,1.0,22.0,10.0,166.0,,15.0,85.0,603.0,1.0,13.0,12.0,40.0,12.0,14.0,,2.0,8.0,1.0,19.0,61.0,999,1.0,135.0,1.0,11.0,158.0,13.0,55.0,2.0,4.0,9.0,5.0,7.0,55.0,280.0,11.0,10.0,1.0,37.0,93.0,,,0.0,5.0,7.0,6.0,1.0,5.0,0.0,2.0,4.0,1.0,43.0,18.0,,2.0,4.0,,49.0,6.0,2.0,375.0,11.0,14.0,15.0,2.0,17.0,,1.0,245.0,4.0,18.0,15.0,58.0,18.0,6.0,7.0,22.0,1.0,3.0,1.0,16.0,6.0,6.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,2.0,,1.0,2.0,1.0,,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,321815,2010-12-05 13:30:00,"The Hawthorns, West Bromwich",23486,Away,Newcastle United,West Bromwich Albion,1,3,L,0,1,0,0,,,55.0,2.0,29.0,23.0,1.0,6.0,2.0,151.0,6.0,7.0,3.0,9.0,4.0,59.0,151.0,47.0,12.0,15.0,3.0,,,2.0,1.0,22.0,12.0,,14.0,3.0,17.0,23.0,129.0,0.0,83.0,9.0,3.0,,1.0,1.0,55.0,28.0,5.0,63.0,1.0,2.0,19.0,7.0,141.0,,13.0,61.0,530.0,7.0,15.0,10.0,24.0,9.0,12.0,1.0,5.0,4.0,4.0,20.0,56.0,999,6.0,131.0,,11.0,150.0,18.0,53.0,2.0,,13.0,8.0,10.0,53.0,254.0,11.0,9.0,2.0,29.0,84.0,,1.0,0.0,2.0,7.0,1.0,3.0,3.0,0.0,4.0,3.0,3.0,42.4,18.0,2.0,,,3.0,43.0,3.0,1.0,334.0,8.0,13.0,14.0,5.0,17.0,2.0,5.0,206.0,3.0,14.0,10.0,43.0,25.0,4.0,7.0,19.0,3.0,8.0,3.0,14.0,5.0,3.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,1.0,,,2.0,,,,,,4.0,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,
17,321822,2010-12-11 17:30:00,"St. James' Park, Newcastle",50137,Home,Newcastle United,Liverpool,3,1,W,1,0,0,0,2.0,,61.0,,42.0,37.0,3.0,2.0,,165.0,3.0,3.0,4.0,5.0,3.0,80.0,184.0,59.0,7.0,7.0,,,,,,14.0,13.0,,18.0,2.0,10.0,31.0,164.0,0.0,119.0,21.0,1.0,,2.0,,73.0,37.0,2.0,48.0,,1.0,12.0,4.0,165.0,3.0,13.0,88.0,583.0,3.0,23.0,17.0,20.0,22.0,18.0,,2.0,5.0,3.0,23.0,71.0,999,2.0,117.0,2.0,6.0,136.0,10.0,63.0,1.0,1.0,15.0,8.0,5.0,64.0,278.0,13.0,9.0,,44.0,88.0,,,0.0,,5.0,4.0,1.0,7.0,0.0,2.0,2.0,1.0,44.9,17.0,1.0,2.0,1.0,1.0,55.0,2.0,,381.0,14.0,23.0,18.0,3.0,27.0,1.0,2.0,259.0,4.0,9.0,24.0,71.0,30.0,2.0,8.0,19.0,1.0,5.0,3.0,8.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,,1.0,,1.0,,,1.0,,2.0,,1.0,,,2.0,1.0,2.0,,2.0,2.0,1.0,,2.0,1.0,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,4.0,3.0,3.0,14.0,261.0,355.0,,,,,,
18,321828,2011-02-15 19:45:00,"St. Andrew's Stadium, Birmingham",28270,Away,Newcastle United,Birmingham City,2,0,W,1,0,0,0,1.0,,51.0,1.0,26.0,37.0,5.0,5.0,1.0,159.0,5.0,3.0,2.0,8.0,4.0,55.0,173.0,46.0,11.0,26.0,1.0,1.0,,,1.0,18.0,7.0,1.0,25.0,5.0,20.0,30.0,144.0,0.0,134.0,14.0,1.0,1.0,,2.0,59.0,52.0,6.0,51.0,,1.0,13.0,1.0,161.0,2.0,8.0,60.0,505.0,6.0,11.0,4.0,16.0,10.0,23.0,,3.0,3.0,2.0,23.0,86.0,7933,4.0,88.0,,12.0,105.0,13.0,67.0,1.0,1.0,10.0,4.0,4.0,63.0,227.0,14.0,13.0,,29.0,90.0,,,0.0,2.0,4.0,3.0,,3.0,0.0,5.0,3.0,3.0,46.9,14.0,1.0,2.0,1.0,3.0,36.0,6.0,2.0,325.0,3.0,9.0,8.0,4.0,21.0,,2.0,238.0,3.0,17.0,20.0,72.0,18.0,4.0,13.0,9.0,,10.0,3.0,9.0,4.0,6.0,2.0,1.0,,1.0,2.0,1.0,1.0,2.0,,2.0,1.0,1.0,,,,1.0,2.0,1.0,,2.0,,,,,5.0,2.0,,2.0,2.0,,,1.0,2.0,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
19,321845,2010-12-26 15:00:00,"St. James' Park, Newcastle",51635,Home,Newcastle United,Manchester City,1,3,L,0,2,0,0,1.0,,55.0,2.0,47.0,20.0,8.0,7.0,2.0,161.0,14.0,8.0,4.0,16.0,5.0,116.0,190.0,63.0,24.0,11.0,2.0,,1.0,1.0,5.0,44.0,21.0,2.0,11.0,6.0,16.0,39.0,215.0,0.0,158.0,8.0,,,5.0,,65.0,57.0,7.0,52.0,1.0,5.0,38.0,21.0,181.0,1.0,5.0,119.0,697.0,13.0,11.0,16.0,21.0,20.0,11.0,1.0,1.0,2.0,9.0,34.0,88.0,999,14.0,145.0,1.0,12.0,155.0,6.0,51.0,1.0,5.0,14.0,6.0,2.0,64.0,346.0,15.0,8.0,2.0,36.0,88.0,2.0,,0.0,,3.0,,3.0,5.0,0.0,11.0,,8.0,56.6,29.0,5.0,1.0,5.0,6.0,49.0,6.0,,448.0,13.0,19.0,23.0,13.0,46.0,3.0,11.0,337.0,8.0,15.0,12.0,90.0,24.0,1.0,5.0,28.0,3.0,14.0,1.0,14.0,1.0,6.0,,1.0,,,1.0,2.0,1.0,4.0,,,,,,,,1.0,2.0,2.0,1.0,1.0,,2.0,,,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,
20,321853,2010-12-28 15:00:00,"White Hart Lane, London",35927,Away,Newcastle United,Tottenham Hotspur,0,2,L,0,0,0,1,,1.0,54.0,,22.0,28.0,6.0,3.0,1.0,149.0,5.0,2.0,4.0,6.0,4.0,49.0,164.0,49.0,12.0,12.0,3.0,2.0,,,2.0,29.0,15.0,1.0,12.0,7.0,18.0,19.0,134.0,0.0,117.0,16.0,4.0,,3.0,,24.0,55.0,3.0,51.0,3.0,1.0,22.0,6.0,148.0,1.0,7.0,53.0,489.0,5.0,17.0,15.0,16.0,9.0,17.0,,4.0,2.0,3.0,17.0,71.0,999,4.0,81.0,1.0,13.0,90.0,9.0,57.0,2.0,2.0,3.0,9.0,4.0,45.0,210.0,9.0,11.0,1.0,22.0,78.0,2.0,,0.0,2.0,9.0,2.0,2.0,5.0,0.0,3.0,,3.0,45.0,15.0,1.0,5.0,2.0,3.0,41.0,7.0,1.0,302.0,10.0,13.0,8.0,5.0,27.0,2.0,3.0,241.0,6.0,18.0,20.0,54.0,24.0,2.0,8.0,18.0,2.0,6.0,2.0,7.0,2.0,7.0,,,,,,,2.0,3.0,1.0,,,,,1.0,,2.0,2.0,2.0,1.0,,,1.0,,,2.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,4.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,
21,321866,2011-01-02 16:00:00,"DW Stadium, Wigan",15277,Away,Newcastle United,Wigan Athletic,1,0,W,1,0,0,0,1.0,,57.0,1.0,22.0,30.0,1.0,2.0,3.0,146.0,6.0,13.0,4.0,9.0,4.0,64.0,184.0,67.0,15.0,17.0,3.0,1.0,,2.0,2.0,27.0,16.0,,17.0,3.0,9.0,13.0,148.0,0.0,113.0,16.0,1.0,1.0,6.0,,41.0,75.0,3.0,50.0,1.0,1.0,24.0,7.0,171.0,3.0,5.0,63.0,557.0,7.0,13.0,20.0,20.0,12.0,13.0,,2.0,2.0,6.0,34.0,68.0,999,5.0,91.0,4.0,11.0,113.0,11.0,61.0,1.0,,16.0,4.0,6.0,44.0,233.0,15.0,7.0,2.0,33.0,85.0,,,0.0,,3.0,1.0,,7.0,0.0,5.0,1.0,4.0,48.8,20.0,2.0,5.0,,1.0,47.0,3.0,,323.0,14.0,15.0,10.0,10.0,17.0,1.0,5.0,237.0,9.0,8.0,15.0,76.0,23.0,,2.0,24.0,,9.0,3.0,20.0,,3.0,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,,1.0,,1.0,2.0,,,,,3.0,,1.0,3.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,2.0,1.0,,2.0,,,1.0,3.0,3.0,,2.0,3.0,2.0,,,,,,,,,1.0,,,2.0,,,,1.0,2.0,,,,1.0,,,,,,,,,1.0,,,,
22,321876,2011-01-05 19:45:00,"St. James' Park, Newcastle",42387,Home,Newcastle United,West Ham United,5,0,W,3,0,0,0,2.0,2.0,69.0,,32.0,25.0,2.0,7.0,2.0,151.0,3.0,11.0,3.0,11.0,9.0,78.0,155.0,57.0,14.0,16.0,3.0,,1.0,1.0,2.0,18.0,20.0,1.0,11.0,2.0,17.0,27.0,156.0,0.0,105.0,12.0,2.0,,2.0,1.0,58.0,41.0,7.0,54.0,2.0,2.0,16.0,4.0,141.0,4.0,4.0,111.0,600.0,8.0,18.0,17.0,35.0,11.0,11.0,1.0,0.0,3.0,4.0,19.0,72.0,7933,8.0,167.0,1.0,10.0,179.0,10.0,57.0,4.0,3.0,20.0,9.0,5.0,57.0,320.0,12.0,8.0,,29.0,87.0,2.0,1.0,0.0,,3.0,2.0,,8.0,0.0,3.0,3.0,1.0,51.6,19.0,1.0,1.0,3.0,1.0,49.0,4.0,1.0,394.0,14.0,16.0,17.0,4.0,24.0,,3.0,233.0,6.0,13.0,11.0,64.0,24.0,2.0,3.0,23.0,,12.0,3.0,18.0,2.0,4.0,4.0,,3.0,4.0,5.0,,,1.0,,3.0,,1.0,,,1.0,,1.0,,,3.0,3.0,1.0,,1.0,3.0,4.0,,5.0,3.0,1.0,,,4.0,,,,1.0,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,
23,321882,2011-01-16 12:00:00,"Stadium of Light, Sunderland",47864,Away,Newcastle United,Sunderland,1,1,D,0,0,0,0,,,65.0,1.0,22.0,34.0,3.0,2.0,1.0,164.0,5.0,5.0,2.0,9.0,2.0,48.0,185.0,62.0,11.0,30.0,1.0,,1.0,,2.0,27.0,16.0,,21.0,6.0,9.0,33.0,111.0,0.0,105.0,7.0,2.0,1.0,1.0,,43.0,30.0,2.0,33.0,2.0,4.0,21.0,10.0,171.0,1.0,9.0,51.0,515.0,7.0,19.0,10.0,32.0,9.0,19.0,1.0,1.0,5.0,7.0,23.0,70.0,999,4.0,94.0,1.0,10.0,115.0,11.0,65.0,4.0,1.0,16.0,4.0,7.0,62.0,200.0,16.0,3.0,2.0,34.0,97.0,,1.0,0.0,,5.0,1.0,1.0,11.0,0.0,2.0,2.0,2.0,51.6,19.0,2.0,1.0,1.0,1.0,45.0,6.0,,296.0,10.0,16.0,16.0,8.0,28.0,3.0,5.0,208.0,7.0,7.0,22.0,53.0,24.0,4.0,12.0,19.0,1.0,6.0,3.0,14.0,5.0,6.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,3.0,,,,2.0,,,1.0,4.0,,,1.0,,,,1.0,,,,,,,,1.0,2.0,,,2.0,,,,,,2.0,,,,,,,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,
24,321895,2011-01-22 15:00:00,"St. James' Park, Newcastle",51010,Home,Newcastle United,Tottenham Hotspur,1,1,D,0,0,0,0,,2.0,64.0,2.0,18.0,19.0,3.0,2.0,,149.0,6.0,6.0,,13.0,4.0,47.0,138.0,39.0,15.0,12.0,2.0,1.0,,1.0,1.0,15.0,12.0,1.0,11.0,1.0,12.0,23.0,124.0,0.0,104.0,12.0,2.0,1.0,2.0,3.0,34.0,43.0,7.0,38.0,1.0,3.0,14.0,2.0,130.0,4.0,8.0,69.0,493.0,11.0,14.0,27.0,26.0,6.0,8.0,,0.0,3.0,6.0,24.0,70.0,7933,8.0,100.0,4.0,10.0,111.0,10.0,50.0,4.0,4.0,7.0,6.0,8.0,41.0,218.0,7.0,10.0,1.0,24.0,76.0,,,0.0,2.0,4.0,3.0,1.0,4.0,0.0,5.0,1.0,3.0,35.9,16.0,2.0,6.0,4.0,3.0,35.0,1.0,3.0,303.0,23.0,12.0,13.0,8.0,19.0,1.0,6.0,207.0,10.0,10.0,7.0,53.0,23.0,2.0,5.0,19.0,1.0,13.0,3.0,10.0,2.0,1.0,,,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,3.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,
25,321905,2011-02-02 20:00:00,"Craven Cottage, London",25620,Away,Newcastle United,Fulham,0,1,L,0,0,0,0,,,73.0,,21.0,22.0,2.0,,2.0,191.0,5.0,8.0,2.0,4.0,3.0,74.0,204.0,65.0,5.0,18.0,2.0,,3.0,,,21.0,16.0,1.0,17.0,7.0,10.0,35.0,143.0,0.0,152.0,20.0,4.0,2.0,3.0,2.0,63.0,53.0,3.0,36.0,1.0,,14.0,4.0,199.0,2.0,11.0,80.0,578.0,4.0,17.0,10.0,29.0,9.0,13.0,3.0,3.0,4.0,1.0,25.0,89.0,93625,1.0,105.0,2.0,7.0,126.0,6.0,74.0,3.0,4.0,14.0,5.0,2.0,66.0,243.0,14.0,9.0,,40.0,106.0,,,0.0,,5.0,5.0,1.0,2.0,0.0,2.0,1.0,2.0,50.9,25.0,1.0,4.0,4.0,1.0,43.0,7.0,2.0,381.0,6.0,18.0,12.0,1.0,26.0,3.0,1.0,276.0,3.0,9.0,23.0,70.0,26.0,3.0,10.0,20.0,1.0,4.0,2.0,17.0,3.0,7.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
26,321911,2011-02-05 15:00:00,"St. James' Park, Newcastle",51561,Home,Newcastle United,Arsenal,4,4,D,0,4,0,1,2.0,,55.0,3.0,27.0,11.0,6.0,3.0,4.0,130.0,14.0,9.0,5.0,16.0,9.0,91.0,144.0,60.0,24.0,12.0,4.0,,3.0,2.0,3.0,36.0,12.0,1.0,6.0,11.0,12.0,33.0,161.0,0.0,123.0,15.0,1.0,1.0,3.0,1.0,56.0,55.0,8.0,51.0,3.0,5.0,26.0,9.0,139.0,4.0,9.0,83.0,543.0,13.0,8.0,26.0,20.0,6.0,7.0,3.0,2.0,3.0,8.0,15.0,68.0,93625,14.0,127.0,4.0,14.0,144.0,7.0,50.0,5.0,4.0,4.0,4.0,3.0,47.0,274.0,15.0,11.0,3.0,19.0,59.0,1.0,,0.0,4.0,6.0,2.0,4.0,3.0,0.0,8.0,,8.0,48.5,12.0,7.0,4.0,4.0,5.0,36.0,12.0,1.0,355.0,21.0,6.0,20.0,10.0,28.0,7.0,8.0,247.0,12.0,12.0,20.0,80.0,26.0,2.0,3.0,16.0,4.0,13.0,2.0,17.0,2.0,12.0,3.0,3.0,,1.0,4.0,2.0,1.0,2.0,1.0,,,,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,2.0,1.0,,3.0,7.0,1.0,1.0,3.0,,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,2.0,,2.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
27,321919,2011-02-12 15:00:00,"Ewood Park, Blackburn",26781,Away,Newcastle United,Blackburn Rovers,0,0,D,0,0,0,0,1.0,1.0,58.0,3.0,30.0,21.0,6.0,5.0,,148.0,8.0,8.0,,11.0,2.0,81.0,198.0,54.0,15.0,18.0,2.0,1.0,,1.0,1.0,43.0,10.0,,11.0,11.0,20.0,30.0,172.0,0.0,136.0,11.0,,,,2.0,69.0,63.0,6.0,41.0,,2.0,33.0,12.0,188.0,2.0,7.0,91.0,576.0,7.0,16.0,16.0,17.0,6.0,15.0,,3.0,1.0,5.0,33.0,66.0,7933,6.0,99.0,2.0,21.0,120.0,10.0,51.0,3.0,7.0,13.0,,3.0,57.0,263.0,11.0,2.0,4.0,28.0,81.0,,,0.0,2.0,2.0,,,6.0,0.0,5.0,2.0,2.0,57.2,23.0,1.0,4.0,8.0,6.0,34.0,11.0,2.0,361.0,13.0,11.0,9.0,7.0,24.0,4.0,3.0,284.0,8.0,19.0,24.0,93.0,24.0,2.0,7.0,11.0,,10.0,3.0,18.0,2.0,11.0,,,,,,,,3.0,,,,1.0,,,,,3.0,1.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
