gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,attOpenplay,subsMade,totalContest,ptsDroppedWinningPos,blockedCross,successfulPutThrough,wonCorners,attLfTarget,savedObox,saves,attLfGoal,accuratePullBack,attOboxTarget,attOboxGoal,midfielderGoals,interceptionsInBox,attGoalHighCentre,attMissHighLeft,accurateThroughBall,attRfGoal,totalThroughBall,attGoalHighLeft,savedIbox,accurateFlickOn,shieldBallOop,possWonAtt3rd,goalsConcededIbox,errorLeadToGoal,handBall,attRfTarget,cleanSheet,goodHighClaim,attSvHighCentre,totalHighClaim,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,attCmissRight,attOneOnOne,attMissHighRight,attSvHighRight,contentiousDecision,attCmissHigh,defenderGoals,attSvLowRight,attCmissLeft,accurateFreekickCross,attSetpiece,attSvLowLeft,errorLeadToShot,attGoalLowRight,attFreekickTotal,freekickTotal,attSvHighLeft,attFreekickPost,attPostLeft,sixYardBlock,attOboxPost,foulThrowIn,shotFastbreak,goalFastbreak,totalFastbreak,attFastbreak,clearanceOffLine,ptsGainedLosingPos,attLgCentre,attCmissHighRight,attGoalHighRight,penaltyConceded,penaltyFaced,penGoalsConceded,penaltyWon,attPenGoal,attFreekickMiss,attFreekickTarget,secondYellow
11,855279,2016-11-05 15:00:00,"Etihad Stadium, Manchester",54294,Away,Middlesbrough,Manchester City,1,1,D,0,1,0,0,,,49.0,,30.0,41.0,1.0,3.0,3.0,132.0,,3.0,16.0,1.0,,4.0,3.0,48.0,124.0,54.0,5.0,1.0,16.0,1.0,1.0,,2.0,1.0,1.0,,6.0,,12.0,41.0,1.0,7.0,19.0,91.0,0.0,50.0,15.0,2.0,,30.0,46.0,3.0,38.0,1.0,5.0,7.0,2.0,2.0,,124.0,,14.0,48.0,450.0,3.0,11.0,6.0,,,13.0,164.0,24.0,11.0,17.0,1.0,2.0,3.0,7.0,1.0,18.0,235.0,38.0,83312,1.0,93.0,,3.0,114.0,10.0,,7.0,13.0,62.0,2.0,,1.0,10.0,11.0,8.0,,68.0,181.0,7.0,17.0,,35.0,1.0,69.0,,0.0,2.0,8.0,1.0,1.0,0.0,2.0,1.0,1.0,29.0,12.0,,1.0,,1.0,30.0,2.0,266.0,13.0,10.0,12.0,1.0,,5.0,1.0,1.0,158.0,1.0,7.0,14.0,22.0,12.0,,3.0,17.0,17.0,1.0,4.0,2.0,21.0,,3.0,2.0,2.0,1.0,2.0,6.0,,,1.0,,1.0,6.0,1.0,,,,,,4.0,4.0,,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,
12,855285,2016-11-20 16:00:00,"Riverside Stadium, Middlesbrough",32704,Home,Middlesbrough,Chelsea,0,1,L,0,1,0,0,,,62.0,1.0,27.0,22.0,6.0,6.0,6.0,147.0,,3.0,15.0,,1.0,7.0,1.0,124.0,126.0,54.0,12.0,3.0,12.0,1.0,2.0,,,,,1.0,21.0,,14.0,22.0,2.0,9.0,35.0,154.0,0.0,79.0,13.0,2.0,,32.0,82.0,3.0,59.0,3.0,19.0,18.0,6.0,10.0,3.0,126.0,,10.0,121.0,628.0,7.0,9.0,10.0,,,14.0,351.0,31.0,6.0,9.0,,,2.0,4.0,4.0,14.0,431.0,42.0,83312,3.0,214.0,,9.0,241.0,8.0,,18.0,6.0,46.0,,1.0,,9.0,3.0,3.0,1.0,62.0,365.0,10.0,14.0,,29.0,1.0,74.0,,0.0,1.0,3.0,,1.0,0.0,3.0,,2.0,42.4,11.0,2.0,,1.0,4.0,49.0,2.0,451.0,14.0,5.0,20.0,7.0,,23.0,,4.0,231.0,4.0,8.0,13.0,50.0,22.0,,3.0,9.0,16.0,,10.0,3.0,19.0,,3.0,13.0,2.0,1.0,,2.0,,,,,,3.0,,1.0,,,,,2.0,1.0,,5.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
13,855296,2016-11-26 15:00:00,"King Power Stadium, Leicester",32058,Away,Middlesbrough,Leicester City,2,2,D,1,1,0,0,,,56.0,1.0,47.0,37.0,2.0,2.0,4.0,200.0,,2.0,14.0,2.0,2.0,6.0,2.0,112.0,157.0,65.0,6.0,1.0,22.0,,1.0,,,2.0,,1.0,20.0,,5.0,37.0,3.0,14.0,28.0,139.0,0.0,83.0,12.0,,3.0,51.0,70.0,4.0,78.0,,17.0,20.0,2.0,5.0,1.0,157.0,,7.0,97.0,672.0,3.0,22.0,14.0,,,18.0,354.0,16.0,15.0,24.0,2.0,,4.0,2.0,2.0,18.0,453.0,50.0,83312,2.0,241.0,,9.0,270.0,2.0,,20.0,11.0,54.0,1.0,3.0,2.0,9.0,4.0,6.0,,90.0,378.0,15.0,9.0,1.0,41.0,1.0,92.0,1.0,0.0,,2.0,2.0,2.0,0.0,1.0,2.0,1.0,59.3,13.0,,,3.0,2.0,51.0,3.0,487.0,18.0,7.0,17.0,2.0,,24.0,1.0,1.0,237.0,3.0,12.0,31.0,49.0,27.0,2.0,1.0,24.0,6.0,,5.0,2.0,20.0,2.0,1.0,9.0,3.0,,1.0,1.0,2.0,,,,,3.0,,,1.0,,1.0,,,7.0,,5.0,2.0,,1.0,,,1.0,,3.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,1.0,2.0,2.0,2.0,,,,,
14,855306,2016-12-05 20:00:00,"Riverside Stadium, Middlesbrough",27395,Home,Middlesbrough,Hull City,1,0,W,0,0,0,0,,1.0,60.0,4.0,48.0,13.0,6.0,7.0,10.0,162.0,,9.0,8.0,1.0,2.0,10.0,4.0,168.0,134.0,56.0,16.0,3.0,15.0,1.0,1.0,,,,,3.0,33.0,,18.0,13.0,11.0,22.0,41.0,298.0,0.0,170.0,6.0,1.0,1.0,78.0,104.0,8.0,99.0,,22.0,15.0,6.0,9.0,1.0,134.0,3.0,3.0,172.0,785.0,9.0,13.0,27.0,1.0,,10.0,510.0,23.0,8.0,9.0,1.0,,1.0,1.0,2.0,10.0,582.0,63.0,83312,3.0,235.0,2.0,12.0,251.0,1.0,,15.0,6.0,45.0,3.0,2.0,,12.0,3.0,2.0,1.0,72.0,524.0,9.0,8.0,,21.0,2.0,78.0,,0.0,1.0,7.0,1.0,,0.0,6.0,1.0,3.0,60.7,10.0,1.0,3.0,2.0,7.0,57.0,13.0,601.0,10.0,13.0,30.0,5.0,,42.0,3.0,4.0,383.0,6.0,20.0,20.0,134.0,30.0,1.0,5.0,9.0,20.0,1.0,13.0,2.0,12.0,,5.0,8.0,13.0,1.0,1.0,2.0,,,2.0,,,1.0,,,,,2.0,,1.0,6.0,1.0,3.0,,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,2.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
15,855319,2016-12-11 14:15:00,"St. Mary's Stadium, Southampton",28976,Away,Middlesbrough,Southampton,0,1,L,0,0,0,0,1.0,,61.0,2.0,36.0,28.0,2.0,1.0,4.0,161.0,,1.0,8.0,,3.0,3.0,2.0,101.0,157.0,62.0,6.0,1.0,19.0,2.0,,,1.0,,1.0,1.0,18.0,,14.0,28.0,2.0,13.0,33.0,151.0,0.0,103.0,12.0,1.0,2.0,47.0,70.0,2.0,60.0,,16.0,18.0,2.0,7.0,1.0,157.0,,10.0,96.0,610.0,3.0,13.0,15.0,,1.0,14.0,291.0,29.0,10.0,10.0,,1.0,3.0,6.0,1.0,20.0,387.0,59.0,83312,2.0,164.0,,7.0,194.0,7.0,,18.0,12.0,52.0,2.0,1.0,,14.0,4.0,7.0,,81.0,314.0,14.0,10.0,,31.0,,77.0,,0.0,2.0,4.0,,1.0,0.0,1.0,,,44.9,14.0,,,1.0,3.0,38.0,2.0,418.0,14.0,8.0,21.0,1.0,,23.0,,,242.0,5.0,12.0,17.0,67.0,28.0,,4.0,10.0,23.0,,6.0,1.0,11.0,,4.0,9.0,2.0,1.0,,1.0,,,,,,4.0,,,,,,,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,
16,855324,2016-12-14 19:45:00,"Riverside Stadium, Middlesbrough",32704,Home,Middlesbrough,Liverpool,0,3,L,0,1,0,0,,,56.0,1.0,43.0,17.0,5.0,1.0,3.0,142.0,,3.0,16.0,,4.0,5.0,3.0,94.0,134.0,61.0,8.0,3.0,14.0,2.0,1.0,,1.0,,2.0,1.0,15.0,,12.0,17.0,5.0,9.0,31.0,143.0,0.0,78.0,11.0,1.0,4.0,38.0,64.0,4.0,63.0,,10.0,8.0,5.0,1.0,1.0,134.0,,12.0,94.0,587.0,4.0,5.0,7.0,1.0,,15.0,294.0,28.0,7.0,7.0,,1.0,1.0,7.0,1.0,19.0,365.0,48.0,83312,1.0,174.0,,5.0,205.0,7.0,,8.0,7.0,53.0,1.0,3.0,,16.0,3.0,4.0,,77.0,314.0,14.0,10.0,1.0,30.0,,72.0,,0.0,3.0,2.0,,3.0,0.0,3.0,,1.0,37.1,15.0,,1.0,3.0,4.0,48.0,5.0,393.0,15.0,12.0,23.0,1.0,,26.0,,,203.0,6.0,8.0,12.0,52.0,18.0,,1.0,7.0,19.0,,5.0,3.0,23.0,,1.0,6.0,5.0,,,1.0,,,1.0,,,2.0,,,,,,,1.0,3.0,,3.0,3.0,,1.0,2.0,,2.0,,2.0,,,,,,,1.0,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,855336,2016-12-17 15:00:00,"Riverside Stadium, Middlesbrough",28302,Home,Middlesbrough,Swansea City,3,0,W,2,0,0,0,,2.0,62.0,,37.0,51.0,5.0,6.0,5.0,170.0,,5.0,6.0,3.0,3.0,8.0,4.0,81.0,142.0,60.0,10.0,1.0,19.0,,,,2.0,2.0,1.0,1.0,11.0,,12.0,51.0,2.0,15.0,32.0,116.0,0.0,78.0,10.0,2.0,1.0,44.0,59.0,4.0,78.0,2.0,9.0,18.0,5.0,3.0,3.0,142.0,1.0,6.0,80.0,618.0,5.0,9.0,13.0,,,19.0,289.0,29.0,13.0,27.0,2.0,2.0,1.0,6.0,4.0,17.0,383.0,37.0,83312,5.0,195.0,,5.0,235.0,5.0,,18.0,10.0,55.0,,3.0,2.0,11.0,8.0,4.0,2.0,80.0,306.0,11.0,11.0,1.0,38.0,,74.0,1.0,0.0,1.0,8.0,3.0,,0.0,5.0,2.0,2.0,43.1,13.0,2.0,,3.0,1.0,32.0,3.0,409.0,19.0,7.0,18.0,5.0,,15.0,,2.0,185.0,2.0,14.0,26.0,46.0,22.0,2.0,5.0,27.0,17.0,,7.0,3.0,16.0,,5.0,9.0,3.0,,1.0,2.0,2.0,,1.0,,1.0,3.0,,,,1.0,1.0,,1.0,2.0,,4.0,,,,1.0,1.0,2.0,,2.0,2.0,,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,,
18,855343,2016-12-26 15:00:00,"Turf Moor, Burnley",21562,Away,Middlesbrough,Burnley,0,1,L,0,0,0,0,,,66.0,,37.0,25.0,4.0,3.0,4.0,178.0,,4.0,13.0,,4.0,5.0,2.0,73.0,171.0,61.0,8.0,2.0,25.0,1.0,,,,,1.0,2.0,15.0,,9.0,25.0,3.0,13.0,42.0,133.0,0.0,106.0,18.0,2.0,2.0,63.0,61.0,2.0,57.0,1.0,12.0,16.0,4.0,5.0,1.0,171.0,1.0,2.0,88.0,595.0,3.0,12.0,12.0,1.0,,25.0,258.0,28.0,13.0,18.0,,,5.0,,3.0,25.0,367.0,61.0,83312,4.0,146.0,1.0,5.0,165.0,7.0,1.0,16.0,8.0,55.0,4.0,1.0,,17.0,4.0,2.0,,99.0,275.0,16.0,6.0,2.0,51.0,2.0,99.0,,0.0,1.0,7.0,,1.0,0.0,2.0,,2.0,54.4,18.0,1.0,,1.0,2.0,41.0,3.0,396.0,25.0,3.0,21.0,4.0,,32.0,2.0,3.0,246.0,3.0,11.0,24.0,51.0,27.0,,2.0,18.0,11.0,,3.0,2.0,20.0,,2.0,10.0,3.0,1.0,2.0,3.0,,,1.0,,,1.0,,1.0,,,,,1.0,3.0,1.0,3.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
19,855358,2016-12-31 15:00:00,"Old Trafford, Manchester",75314,Away,Middlesbrough,Manchester United,1,2,L,0,0,0,0,,1.0,52.0,2.0,27.0,49.0,6.0,5.0,3.0,122.0,,3.0,17.0,1.0,2.0,6.0,2.0,77.0,120.0,48.0,9.0,1.0,21.0,,,,2.0,1.0,,1.0,13.0,,6.0,49.0,1.0,11.0,30.0,91.0,0.0,62.0,14.0,3.0,2.0,27.0,50.0,4.0,54.0,2.0,12.0,15.0,6.0,2.0,4.0,120.0,1.0,24.0,79.0,537.0,5.0,7.0,13.0,,,14.0,225.0,19.0,8.0,25.0,1.0,2.0,1.0,8.0,2.0,14.0,299.0,45.0,83312,1.0,153.0,,8.0,184.0,8.0,1.0,15.0,10.0,63.0,,4.0,1.0,8.0,8.0,2.0,,72.0,241.0,9.0,22.0,,32.0,1.0,71.0,,0.0,2.0,12.0,1.0,2.0,0.0,3.0,1.0,,34.5,12.0,,2.0,4.0,3.0,31.0,2.0,332.0,14.0,4.0,16.0,4.0,,17.0,,,161.0,4.0,9.0,10.0,36.0,19.0,,7.0,25.0,12.0,,8.0,3.0,20.0,3.0,7.0,9.0,2.0,,2.0,10.0,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,8.0,1.0,,,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,
20,855366,2017-01-02 12:30:00,"Riverside Stadium, Middlesbrough",32437,Home,Middlesbrough,Leicester City,0,0,D,0,0,0,0,,,81.0,,43.0,25.0,5.0,5.0,4.0,182.0,,7.0,16.0,,1.0,6.0,1.0,151.0,182.0,66.0,9.0,3.0,32.0,,,,,,1.0,2.0,40.0,,13.0,25.0,2.0,13.0,33.0,250.0,0.0,160.0,10.0,1.0,1.0,57.0,131.0,3.0,79.0,1.0,38.0,14.0,5.0,14.0,1.0,182.0,,4.0,118.0,762.0,5.0,7.0,23.0,,,11.0,420.0,24.0,7.0,13.0,,,3.0,2.0,3.0,21.0,515.0,60.0,83312,2.0,188.0,1.0,23.0,219.0,10.0,,14.0,5.0,68.0,,7.0,,19.0,6.0,3.0,1.0,76.0,431.0,7.0,4.0,1.0,27.0,,76.0,,0.0,6.0,2.0,,,0.0,7.0,,,62.4,19.0,,1.0,7.0,3.0,49.0,2.0,530.0,11.0,15.0,21.0,5.0,,40.0,,4.0,351.0,4.0,12.0,25.0,123.0,42.0,,4.0,13.0,18.0,,8.0,3.0,23.0,,4.0,7.0,2.0,1.0,2.0,4.0,,,1.0,,,,,,1.0,,2.0,,2.0,3.0,1.0,4.0,,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
21,855380,2017-01-14 15:00:00,"Vicarage Road, Watford",20659,Away,Middlesbrough,Watford,0,0,D,0,0,0,0,,,60.0,,45.0,42.0,2.0,1.0,3.0,163.0,,6.0,3.0,,2.0,3.0,1.0,106.0,145.0,61.0,5.0,,28.0,,,,,,,,14.0,,15.0,42.0,1.0,9.0,35.0,147.0,0.0,94.0,15.0,4.0,1.0,63.0,62.0,,64.0,,13.0,20.0,2.0,4.0,1.0,145.0,,9.0,98.0,629.0,3.0,8.0,9.0,,,14.0,310.0,26.0,13.0,22.0,,,1.0,1.0,3.0,24.0,405.0,58.0,83312,2.0,184.0,,8.0,216.0,6.0,,20.0,7.0,54.0,3.0,3.0,,13.0,3.0,2.0,3.0,86.0,325.0,13.0,4.0,,40.0,,93.0,1.0,0.0,2.0,3.0,,,0.0,6.0,,,54.0,19.0,,1.0,3.0,,47.0,1.0,431.0,14.0,3.0,25.0,4.0,,13.0,,3.0,229.0,4.0,9.0,27.0,52.0,25.0,,4.0,22.0,18.0,,5.0,1.0,8.0,,4.0,11.0,1.0,,2.0,5.0,,,1.0,,,,,1.0,,,,,3.0,2.0,,2.0,,,,1.0,1.0,1.0,,2.0,,,,,,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,855388,2017-01-21 15:00:00,"Riverside Stadium, Middlesbrough",30848,Home,Middlesbrough,West Ham United,1,3,L,1,2,0,0,,1.0,67.0,2.0,31.0,16.0,4.0,6.0,7.0,183.0,,6.0,13.0,1.0,3.0,8.0,2.0,120.0,161.0,64.0,11.0,2.0,23.0,1.0,,,1.0,1.0,,2.0,31.0,,12.0,16.0,7.0,18.0,35.0,227.0,0.0,175.0,7.0,2.0,1.0,59.0,70.0,5.0,84.0,1.0,24.0,14.0,4.0,4.0,2.0,161.0,1.0,9.0,142.0,722.0,7.0,3.0,26.0,1.0,1.0,10.0,408.0,32.0,5.0,8.0,1.0,1.0,2.0,3.0,3.0,23.0,507.0,80.0,83312,4.0,205.0,,19.0,226.0,4.0,,14.0,6.0,54.0,2.0,5.0,1.0,7.0,4.0,3.0,1.0,67.0,426.0,13.0,6.0,,21.0,1.0,61.0,,0.0,4.0,5.0,1.0,3.0,0.0,5.0,1.0,2.0,61.5,21.0,1.0,1.0,5.0,4.0,40.0,7.0,529.0,10.0,10.0,13.0,5.0,,50.0,1.0,3.0,334.0,3.0,14.0,21.0,112.0,29.0,1.0,1.0,8.0,19.0,,8.0,2.0,21.0,,1.0,6.0,7.0,,1.0,2.0,1.0,,,,,1.0,,1.0,,,,,1.0,2.0,,2.0,3.0,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,
23,855396,2017-01-31 19:45:00,"Riverside Stadium, Middlesbrough",27316,Home,Middlesbrough,West Bromwich Albion,1,1,D,1,1,0,0,1.0,1.0,47.0,3.0,37.0,35.0,4.0,3.0,7.0,173.0,,2.0,11.0,1.0,5.0,5.0,3.0,130.0,151.0,66.0,11.0,2.0,16.0,2.0,,,1.0,,,1.0,22.0,,20.0,35.0,4.0,10.0,24.0,202.0,0.0,134.0,12.0,1.0,1.0,48.0,54.0,3.0,71.0,1.0,18.0,15.0,4.0,5.0,2.0,151.0,,10.0,108.0,687.0,4.0,8.0,18.0,1.0,,12.0,370.0,23.0,15.0,12.0,,1.0,2.0,5.0,2.0,26.0,459.0,65.0,83312,5.0,184.0,,12.0,222.0,7.0,,15.0,5.0,49.0,,2.0,,15.0,5.0,2.0,,74.0,384.0,13.0,6.0,1.0,39.0,1.0,61.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,,1.0,61.7,24.0,,1.0,2.0,5.0,38.0,4.0,482.0,12.0,12.0,13.0,3.0,,37.0,1.0,1.0,282.0,7.0,9.0,20.0,93.0,21.0,1.0,5.0,12.0,22.0,,6.0,2.0,14.0,,5.0,2.0,4.0,,2.0,4.0,1.0,,,,,2.0,,,,,1.0,,2.0,6.0,,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,3.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,
24,855409,2017-02-04 17:30:00,"White Hart Lane, London",31949,Away,Middlesbrough,Tottenham Hotspur,0,1,L,0,0,0,0,,,59.0,2.0,35.0,47.0,3.0,3.0,5.0,146.0,,2.0,8.0,,2.0,6.0,,51.0,147.0,68.0,8.0,1.0,19.0,,2.0,,,,,3.0,14.0,,25.0,47.0,2.0,8.0,20.0,121.0,0.0,89.0,11.0,3.0,1.0,53.0,42.0,2.0,48.0,,12.0,10.0,3.0,5.0,2.0,147.0,1.0,11.0,70.0,530.0,6.0,14.0,11.0,,,11.0,200.0,34.0,16.0,20.0,,,1.0,6.0,4.0,17.0,285.0,52.0,83312,3.0,97.0,1.0,6.0,123.0,4.0,,10.0,13.0,55.0,1.0,2.0,,10.0,6.0,6.0,1.0,80.0,216.0,7.0,6.0,,43.0,,70.0,2.0,0.0,3.0,11.0,,1.0,0.0,2.0,,2.0,34.8,15.0,1.0,,2.0,3.0,37.0,2.0,315.0,11.0,10.0,14.0,5.0,,24.0,,3.0,206.0,3.0,8.0,22.0,50.0,15.0,,9.0,20.0,31.0,,7.0,3.0,18.0,,9.0,5.0,2.0,,1.0,4.0,,,,,,,,,,,1.0,,3.0,3.0,,4.0,1.0,,,,,1.0,,1.0,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,
25,855417,2017-02-11 15:00:00,"Riverside Stadium, Middlesbrough",31496,Home,Middlesbrough,Everton,0,0,D,0,0,0,0,,,73.0,2.0,36.0,18.0,3.0,,6.0,208.0,,6.0,15.0,,1.0,8.0,3.0,98.0,181.0,74.0,9.0,,23.0,3.0,,,1.0,,1.0,1.0,19.0,,24.0,18.0,5.0,13.0,38.0,159.0,0.0,110.0,14.0,2.0,1.0,49.0,56.0,4.0,68.0,1.0,14.0,21.0,3.0,4.0,3.0,181.0,,5.0,96.0,675.0,6.0,14.0,18.0,2.0,,11.0,335.0,34.0,12.0,7.0,,1.0,2.0,1.0,4.0,22.0,450.0,69.0,83312,6.0,191.0,,9.0,221.0,10.0,1.0,21.0,7.0,67.0,,4.0,,13.0,2.0,2.0,,74.0,344.0,9.0,7.0,2.0,35.0,3.0,100.0,,0.0,2.0,2.0,,,0.0,4.0,,5.0,45.9,19.0,1.0,,4.0,2.0,53.0,5.0,470.0,11.0,20.0,23.0,4.0,,25.0,2.0,1.0,268.0,4.0,12.0,25.0,64.0,29.0,,1.0,7.0,26.0,,5.0,3.0,19.0,,1.0,10.0,5.0,,,3.0,,,,,,1.0,,,,,2.0,,3.0,4.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
26,855423,2017-02-25 15:00:00,"Selhurst Park, London",25416,Away,Middlesbrough,Crystal Palace,0,1,L,0,1,0,0,,,62.0,1.0,34.0,30.0,7.0,4.0,4.0,168.0,,4.0,12.0,,1.0,8.0,4.0,89.0,143.0,66.0,11.0,,22.0,1.0,1.0,,1.0,,2.0,1.0,12.0,,17.0,30.0,2.0,20.0,49.0,149.0,0.0,94.0,15.0,,,39.0,41.0,3.0,59.0,2.0,10.0,11.0,7.0,4.0,4.0,143.0,1.0,11.0,114.0,626.0,8.0,15.0,17.0,,,12.0,313.0,20.0,9.0,24.0,,1.0,1.0,5.0,5.0,18.0,397.0,56.0,83312,2.0,182.0,1.0,6.0,206.0,7.0,,11.0,11.0,62.0,,7.0,,16.0,4.0,3.0,2.0,84.0,327.0,9.0,13.0,,25.0,,80.0,,0.0,2.0,4.0,,1.0,0.0,4.0,,1.0,54.4,17.0,1.0,,7.0,1.0,41.0,2.0,430.0,12.0,9.0,24.0,6.0,,24.0,,2.0,236.0,6.0,19.0,21.0,49.0,25.0,,5.0,24.0,24.0,,9.0,3.0,16.0,,5.0,7.0,2.0,3.0,,2.0,,,3.0,,,1.0,,1.0,1.0,,2.0,,2.0,6.0,1.0,3.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,
27,855435,2017-03-04 15:00:00,"bet365 Stadium, Stoke",27644,Away,Middlesbrough,Stoke City,0,2,L,0,2,0,0,,,71.0,2.0,29.0,27.0,4.0,1.0,4.0,165.0,,2.0,13.0,,4.0,8.0,2.0,81.0,147.0,69.0,8.0,1.0,21.0,2.0,1.0,,,,1.0,,11.0,,15.0,27.0,1.0,10.0,41.0,153.0,0.0,109.0,20.0,2.0,,41.0,45.0,5.0,46.0,2.0,11.0,10.0,4.0,6.0,3.0,147.0,,11.0,77.0,571.0,6.0,16.0,18.0,1.0,,12.0,254.0,33.0,7.0,15.0,,,2.0,1.0,3.0,25.0,338.0,70.0,83312,3.0,126.0,,5.0,154.0,8.0,,10.0,8.0,78.0,4.0,5.0,,19.0,2.0,7.0,1.0,62.0,277.0,15.0,24.0,2.0,24.0,1.0,69.0,,0.0,5.0,6.0,,2.0,0.0,2.0,,1.0,45.2,23.0,,,5.0,3.0,36.0,1.0,369.0,12.0,10.0,24.0,3.0,,23.0,1.0,,226.0,6.0,10.0,18.0,64.0,23.0,,2.0,15.0,23.0,,6.0,3.0,19.0,,2.0,7.0,1.0,,2.0,5.0,,,,,,3.0,,,,,,,4.0,8.0,1.0,3.0,2.0,,2.0,1.0,,,,,,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
