gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,handBall,goalAssistSetplay,attRfTarget,attPenTarget,attObxLeft,shotFastbreak,accurateKeeperSweeper,attOboxTarget,attSvHighRight,attOboxGoal,penaltyWon,totalFastbreak,attSvLowLeft,freekickCross,interceptionsInBox,attHdTarget,totalKeeperSweeper,accurateFreekickCross,totalPullBack,attCmissHigh,attAssistSetplay,attFastbreak,attCmissLeft,goalsConceded,attHdTotal,attHdMiss,attSvHighCentre,accurateCornersIntobox,goalsConcededIbox,accuratePullBack,attSvHighLeft,attObxdRight,hitWoodwork,attPenGoal,attGoalHighLeft,punches,attGoalLowCentre,postScoringAtt,goalFastbreak,defenderGoals,attOboxPost,attPostRight,attHdGoal,goalsConcededObox,goalAssistDeadball,attIboxPost,attGoalHighRight,penaltyConceded,penaltyFaced,penGoalsConceded,foulThrowIn,attPostLeft,attHdPost,attMissHighLeft,ownGoals,attSvLowRight,attFreekickTarget,attIboxOwnGoal,errorLeadToGoal,attPostHigh,attGoalHighCentre,shieldBallOop,sixYardBlock,attPenMiss,attObxRight,clearanceOffLine,secondYellow,attCmissHighRight,attFreekickGoal
11,321764,2010-11-06 15:00:00,"Old Trafford, Manchester",75285,Home,Manchester United,Wolverhampton Wanderers,2,1,W,1,0,0,0,1.0,1.0,62.0,1.0,1.0,1.0,2.0,26.0,24.0,8.0,4.0,1.0,164.0,12.0,8.0,2.0,2.0,13.0,,5.0,122.0,151.0,45.0,,17.0,5.0,15.0,2.0,,2.0,1.0,1.0,32.0,10.0,12.0,3.0,18.0,25.0,253.0,1.0,,0.0,175.0,7.0,,2.0,,60.0,72.0,10.0,62.0,3.0,29.0,,4.0,3.0,139.0,1.0,5.0,127.0,661.0,11.0,5.0,18.0,28.0,5.0,21.0,2.0,1.0,2.0,3.0,23.0,49.0,4.0,,84374,6.0,154.0,,23.0,,177.0,1.0,4.0,46.0,6.0,4.0,2.0,2.0,9.0,4.0,1.0,,42.0,395.0,10.0,7.0,20.0,71.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,10.0,1.0,51.8,20.0,5.0,1.0,2.0,7.0,44.0,3.0,,475.0,16.0,,13.0,13.0,5.0,25.0,2.0,330.0,12.0,15.0,14.0,141.0,25.0,,2.0,10.0,13.0,16.0,3.0,13.0,2.0,3.0,,,2.0,,1.0,1.0,,1.0,,,,1.0,2.0,2.0,1.0,,1.0,1.0,,,,1.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,321775,2010-11-10 20:00:00,"Etihad Stadium, Manchester",47210,Away,Manchester United,Manchester City,0,0,D,0,0,0,0,,,51.0,,,1.0,1.0,38.0,22.0,6.0,2.0,,172.0,6.0,4.0,,,9.0,,3.0,157.0,151.0,45.0,1.0,10.0,4.0,8.0,2.0,1.0,,1.0,1.0,20.0,18.0,12.0,4.0,28.0,28.0,276.0,1.0,1.0,0.0,170.0,12.0,1.0,,,72.0,100.0,7.0,83.0,,16.0,1.0,6.0,1.0,141.0,,5.0,149.0,762.0,9.0,5.0,21.0,17.0,3.0,10.0,,2.0,3.0,2.0,26.0,69.0,,,8595,2.0,209.0,,9.0,,221.0,,6.0,44.0,1.0,1.0,4.0,,19.0,4.0,5.0,,66.0,479.0,11.0,2.0,25.0,78.0,0.0,1.0,8.0,1.0,,3.0,0.0,6.0,,53.4,25.0,2.0,1.0,4.0,5.0,44.0,5.0,,561.0,18.0,,16.0,15.0,2.0,19.0,1.0,360.0,8.0,25.0,6.0,127.0,26.0,,5.0,5.0,24.0,,3.0,10.0,5.0,5.0,,,3.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
13,321777,2010-11-13 12:45:00,"Villa Park, Birmingham",40073,Away,Manchester United,Aston Villa,2,2,D,0,0,0,0,1.0,,50.0,1.0,,2.0,3.0,39.0,40.0,7.0,4.0,,179.0,4.0,4.0,2.0,5.0,9.0,,4.0,108.0,217.0,46.0,1.0,16.0,3.0,12.0,2.0,2.0,2.0,,2.0,26.0,5.0,15.0,7.0,27.0,31.0,217.0,2.0,,0.0,142.0,9.0,1.0,,,66.0,71.0,4.0,83.0,1.0,19.0,1.0,5.0,4.0,192.0,1.0,15.0,111.0,726.0,6.0,13.0,19.0,16.0,6.0,25.0,2.0,4.0,4.0,5.0,37.0,78.0,1.0,1.0,8595,4.0,165.0,1.0,11.0,1.0,193.0,1.0,9.0,53.0,1.0,6.0,6.0,2.0,20.0,2.0,4.0,1.0,62.0,378.0,11.0,5.0,28.0,100.0,0.0,1.0,9.0,1.0,2.0,5.0,0.0,3.0,2.0,59.3,30.0,5.0,2.0,6.0,6.0,59.0,7.0,,481.0,14.0,,17.0,16.0,6.0,16.0,2.0,314.0,11.0,25.0,24.0,95.0,19.0,1.0,6.0,9.0,7.0,9.0,3.0,14.0,6.0,7.0,,,1.0,,,,,,,,,,2.0,3.0,2.0,,,1.0,,,1.0,,1.0,2.0,1.0,,,1.0,2.0,,,,,,,1.0,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14,321794,2010-11-20 15:00:00,"Old Trafford, Manchester",74181,Home,Manchester United,Wigan Athletic,2,0,W,1,0,0,2,1.0,,66.0,,2.0,3.0,1.0,44.0,11.0,7.0,3.0,,181.0,13.0,6.0,2.0,9.0,10.0,1.0,7.0,163.0,177.0,51.0,2.0,16.0,3.0,13.0,3.0,,2.0,1.0,2.0,48.0,16.0,2.0,8.0,27.0,34.0,308.0,,1.0,0.0,228.0,11.0,1.0,,,100.0,75.0,8.0,66.0,1.0,41.0,2.0,15.0,2.0,168.0,1.0,6.0,156.0,774.0,7.0,6.0,21.0,24.0,3.0,7.0,2.0,0.0,1.0,2.0,22.0,82.0,,1.0,59970,3.0,177.0,2.0,23.0,,187.0,,8.0,61.0,9.0,1.0,7.0,2.0,9.0,5.0,5.0,2.0,59.0,472.0,15.0,13.0,13.0,78.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,12.0,2.0,67.4,22.0,4.0,5.0,7.0,4.0,55.0,11.0,,566.0,17.0,,18.0,21.0,5.0,32.0,3.0,427.0,9.0,27.0,9.0,163.0,30.0,1.0,,2.0,21.0,9.0,3.0,12.0,,11.0,,,3.0,,,,,2.0,1.0,,,,1.0,3.0,2.0,1.0,,1.0,,,1.0,,1.0,,4.0,1.0,2.0,2.0,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
15,321801,2010-11-27 15:00:00,"Old Trafford, Manchester",74850,Home,Manchester United,Blackburn Rovers,7,1,W,3,0,0,0,,5.0,79.0,,1.0,,1.0,40.0,16.0,3.0,5.0,1.0,221.0,5.0,12.0,7.0,2.0,13.0,1.0,9.0,186.0,160.0,56.0,,17.0,2.0,7.0,2.0,2.0,4.0,1.0,1.0,19.0,18.0,6.0,3.0,43.0,29.0,354.0,,,0.0,237.0,6.0,,2.0,1.0,85.0,74.0,8.0,89.0,2.0,16.0,,4.0,1.0,150.0,4.0,4.0,200.0,887.0,8.0,15.0,18.0,30.0,6.0,10.0,4.0,0.0,,5.0,14.0,83.0,5.0,,8595,9.0,252.0,2.0,11.0,,271.0,6.0,5.0,36.0,15.0,4.0,7.0,7.0,17.0,,4.0,2.0,56.0,601.0,6.0,5.0,17.0,93.0,0.0,1.0,2.0,1.0,7.0,6.0,0.0,3.0,3.0,64.9,14.0,5.0,,7.0,3.0,75.0,5.0,1.0,696.0,16.0,,12.0,19.0,5.0,18.0,4.0,444.0,9.0,41.0,14.0,177.0,35.0,5.0,2.0,3.0,24.0,16.0,2.0,18.0,2.0,5.0,,,1.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,1.0,3.0,2.0,1.0,2.0,1.0,1.0,,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,
16,321810,2011-01-25 19:30:00,"Bloomfield Road, Blackpool",15574,Away,Manchester United,Blackpool,3,2,W,0,2,0,0,1.0,1.0,63.0,2.0,,1.0,3.0,33.0,33.0,9.0,7.0,2.0,202.0,13.0,11.0,3.0,3.0,17.0,,10.0,109.0,193.0,65.0,1.0,23.0,4.0,14.0,3.0,,3.0,3.0,3.0,41.0,15.0,24.0,7.0,20.0,47.0,222.0,,,0.0,168.0,10.0,1.0,,,94.0,62.0,12.0,77.0,1.0,34.0,1.0,8.0,2.0,184.0,5.0,3.0,111.0,731.0,11.0,10.0,8.0,26.0,10.0,24.0,3.0,2.0,1.0,5.0,30.0,76.0,3.0,1.0,8595,4.0,176.0,4.0,23.0,1.0,199.0,1.0,11.0,37.0,5.0,3.0,5.0,3.0,16.0,4.0,5.0,1.0,58.0,385.0,12.0,3.0,24.0,110.0,0.0,1.0,6.0,,3.0,4.0,0.0,7.0,2.0,57.6,24.0,4.0,3.0,5.0,7.0,54.0,8.0,,499.0,5.0,,6.0,26.0,6.0,21.0,4.0,341.0,10.0,18.0,22.0,116.0,23.0,3.0,2.0,17.0,20.0,17.0,3.0,15.0,2.0,8.0,,,4.0,,,,2.0,4.0,1.0,,,,,3.0,1.0,2.0,2.0,,2.0,1.0,3.0,,1.0,2.0,5.0,3.0,2.0,6.0,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,2.0,,,,,,
17,321821,2010-12-13 20:00:00,"Old Trafford, Manchester",75227,Home,Manchester United,Arsenal,1,0,W,1,0,0,0,1.0,,82.0,1.0,,1.0,2.0,21.0,26.0,9.0,8.0,,158.0,,10.0,1.0,6.0,10.0,1.0,6.0,112.0,196.0,71.0,2.0,17.0,4.0,16.0,1.0,3.0,,5.0,2.0,20.0,19.0,14.0,3.0,12.0,44.0,172.0,,1.0,0.0,168.0,9.0,1.0,1.0,,77.0,60.0,9.0,53.0,1.0,17.0,2.0,5.0,2.0,184.0,1.0,5.0,107.0,635.0,8.0,10.0,12.0,34.0,5.0,11.0,,0.0,2.0,1.0,17.0,82.0,2.0,,8595,3.0,145.0,3.0,10.0,2.0,161.0,,10.0,57.0,2.0,3.0,4.0,1.0,19.0,6.0,6.0,2.0,57.0,317.0,16.0,13.0,22.0,83.0,0.0,2.0,4.0,4.0,1.0,3.0,0.0,,,46.1,14.0,8.0,1.0,4.0,6.0,30.0,5.0,,430.0,6.0,,12.0,13.0,5.0,19.0,3.0,289.0,8.0,12.0,18.0,102.0,35.0,,3.0,7.0,27.0,11.0,1.0,18.0,3.0,5.0,1.0,,4.0,,,,,4.0,,,1.0,,,2.0,2.0,,,,,2.0,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,,,
18,321831,2011-03-01 19:45:00,"Stamford Bridge, London",41825,Away,Manchester United,Chelsea,1,2,L,1,0,1,0,,,69.0,1.0,,3.0,,38.0,29.0,6.0,2.0,,164.0,2.0,11.0,1.0,2.0,8.0,,2.0,103.0,169.0,59.0,,10.0,3.0,9.0,1.0,,1.0,1.0,2.0,19.0,21.0,16.0,2.0,20.0,31.0,213.0,1.0,,0.0,138.0,14.0,4.0,,,85.0,61.0,4.0,55.0,2.0,17.0,,4.0,2.0,156.0,2.0,12.0,122.0,663.0,6.0,8.0,13.0,26.0,4.0,18.0,1.0,1.0,5.0,4.0,16.0,65.0,1.0,,8595,2.0,146.0,2.0,12.0,1.0,168.0,1.0,14.0,58.0,6.0,2.0,11.0,1.0,12.0,9.0,6.0,,62.0,357.0,10.0,10.0,24.0,77.0,0.0,2.0,10.0,3.0,,3.0,1.0,2.0,,55.0,13.0,1.0,1.0,11.0,3.0,44.0,2.0,,444.0,10.0,,15.0,21.0,5.0,18.0,3.0,295.0,6.0,17.0,12.0,97.0,26.0,1.0,1.0,8.0,26.0,9.0,3.0,21.0,1.0,2.0,,,1.0,,,,,,,1.0,,,,1.0,2.0,,,1.0,,,1.0,,1.0,2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,
19,321844,2010-12-26 15:00:00,"Old Trafford, Manchester",75269,Home,Manchester United,Sunderland,2,0,W,1,0,0,0,1.0,1.0,80.0,1.0,,1.0,2.0,45.0,27.0,4.0,4.0,,196.0,2.0,9.0,2.0,1.0,13.0,1.0,7.0,150.0,164.0,43.0,,16.0,,10.0,5.0,1.0,1.0,2.0,4.0,16.0,11.0,17.0,5.0,32.0,39.0,279.0,,1.0,0.0,171.0,11.0,1.0,,,52.0,64.0,8.0,73.0,1.0,11.0,,2.0,3.0,154.0,1.0,3.0,176.0,778.0,11.0,7.0,30.0,32.0,3.0,20.0,1.0,0.0,1.0,5.0,11.0,81.0,1.0,,8595,9.0,218.0,,8.0,,240.0,,4.0,43.0,7.0,1.0,4.0,1.0,15.0,3.0,3.0,,65.0,495.0,10.0,6.0,20.0,96.0,0.0,4.0,3.0,,2.0,2.0,0.0,,1.0,56.6,10.0,3.0,1.0,5.0,2.0,67.0,5.0,,595.0,19.0,,11.0,28.0,7.0,23.0,2.0,371.0,10.0,29.0,10.0,121.0,38.0,1.0,2.0,13.0,14.0,14.0,3.0,15.0,2.0,5.0,1.0,,4.0,,,2.0,,1.0,,,,2.0,2.0,1.0,,1.0,,,,,1.0,2.0,2.0,,2.0,,1.0,2.0,,,,,2.0,,,1.0,,2.0,,,,,1.0,,,2.0,,,,,,1.0,,,,1.0,,,,1.0,,1.0,,,,,,,
20,321847,2010-12-28 20:00:00,"St. Andrew's Stadium, Birmingham",28242,Away,Manchester United,Birmingham City,1,1,D,0,0,0,0,1.0,,67.0,,1.0,,1.0,41.0,37.0,7.0,3.0,,195.0,6.0,6.0,1.0,,13.0,,4.0,130.0,185.0,48.0,,14.0,1.0,9.0,2.0,,1.0,1.0,3.0,19.0,16.0,20.0,3.0,31.0,30.0,204.0,1.0,,0.0,128.0,11.0,,,1.0,67.0,54.0,5.0,65.0,2.0,16.0,,4.0,4.0,168.0,,6.0,143.0,726.0,9.0,14.0,13.0,26.0,7.0,20.0,1.0,3.0,3.0,8.0,23.0,64.0,,,8595,6.0,214.0,,12.0,,245.0,1.0,7.0,32.0,4.0,1.0,4.0,1.0,15.0,5.0,5.0,1.0,67.0,412.0,10.0,1.0,26.0,111.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,4.0,1.0,57.3,19.0,1.0,1.0,4.0,2.0,62.0,4.0,1.0,533.0,12.0,,10.0,16.0,8.0,11.0,3.0,307.0,7.0,28.0,16.0,86.0,28.0,1.0,2.0,12.0,16.0,11.0,2.0,7.0,2.0,4.0,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,3.0,,1.0,1.0,3.0,2.0,1.0,2.0,1.0,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,
21,321864,2011-01-01 12:45:00,"The Hawthorns, West Bromwich",25499,Away,Manchester United,West Bromwich Albion,2,1,W,1,1,0,0,,1.0,58.0,1.0,,2.0,,31.0,34.0,1.0,,,161.0,2.0,8.0,2.0,1.0,6.0,,4.0,124.0,165.0,44.0,,6.0,,5.0,2.0,,1.0,,1.0,18.0,14.0,12.0,4.0,9.0,25.0,160.0,,,0.0,126.0,15.0,,,,72.0,49.0,4.0,46.0,,14.0,,3.0,1.0,143.0,1.0,6.0,103.0,627.0,3.0,5.0,21.0,22.0,1.0,17.0,2.0,3.0,6.0,2.0,21.0,59.0,,,8595,3.0,184.0,,11.0,,203.0,,15.0,42.0,7.0,3.0,7.0,1.0,9.0,15.0,11.0,1.0,53.0,342.0,9.0,7.0,18.0,83.0,0.0,,4.0,,2.0,3.0,0.0,1.0,2.0,52.3,18.0,2.0,1.0,7.0,,43.0,5.0,,434.0,14.0,,13.0,11.0,2.0,11.0,1.0,249.0,3.0,5.0,9.0,84.0,26.0,2.0,3.0,7.0,18.0,3.0,3.0,11.0,3.0,5.0,1.0,1.0,2.0,,,,,,,,,,2.0,,,,,,,,1.0,,,1.0,3.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,2.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,
22,321870,2011-01-04 20:00:00,"Old Trafford, Manchester",73401,Home,Manchester United,Stoke City,2,1,W,1,0,0,0,,,67.0,1.0,1.0,,1.0,40.0,28.0,12.0,7.0,1.0,202.0,6.0,12.0,2.0,,14.0,1.0,2.0,146.0,188.0,52.0,2.0,19.0,6.0,17.0,,,2.0,,4.0,21.0,6.0,12.0,4.0,26.0,37.0,268.0,2.0,,0.0,162.0,6.0,,1.0,1.0,71.0,75.0,7.0,76.0,2.0,18.0,2.0,11.0,5.0,172.0,,3.0,151.0,781.0,11.0,12.0,16.0,30.0,4.0,15.0,2.0,0.0,,7.0,20.0,82.0,2.0,,8595,5.0,209.0,1.0,7.0,,243.0,1.0,8.0,54.0,7.0,4.0,5.0,,12.0,2.0,3.0,1.0,58.0,471.0,11.0,6.0,13.0,87.0,0.0,2.0,1.0,,1.0,2.0,0.0,5.0,1.0,64.3,15.0,,1.0,5.0,7.0,55.0,6.0,1.0,575.0,14.0,2.0,15.0,22.0,10.0,25.0,5.0,353.0,11.0,24.0,15.0,117.0,30.0,1.0,,7.0,14.0,,2.0,22.0,,6.0,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,1.0,
23,321883,2011-01-16 16:10:00,"White Hart Lane, London",35828,Away,Manchester United,Tottenham Hotspur,0,0,D,0,0,1,0,1.0,,66.0,,,2.0,,24.0,43.0,4.0,2.0,,144.0,1.0,12.0,,,6.0,,4.0,79.0,172.0,58.0,,7.0,,11.0,1.0,1.0,,,3.0,13.0,15.0,24.0,2.0,6.0,24.0,137.0,,1.0,0.0,108.0,20.0,,,4.0,42.0,56.0,3.0,32.0,,11.0,,1.0,1.0,153.0,,8.0,86.0,547.0,5.0,10.0,11.0,23.0,8.0,21.0,,3.0,4.0,3.0,18.0,60.0,1.0,1.0,8595,,118.0,,10.0,,135.0,,14.0,61.0,4.0,2.0,6.0,,13.0,10.0,7.0,,50.0,254.0,9.0,10.0,27.0,85.0,0.0,2.0,8.0,,,4.0,1.0,,,43.6,11.0,3.0,,6.0,,41.0,2.0,4.0,341.0,10.0,,13.0,8.0,3.0,18.0,2.0,219.0,4.0,6.0,18.0,63.0,28.0,,3.0,8.0,19.0,,2.0,21.0,3.0,2.0,2.0,,3.0,,,,,3.0,,,,,2.0,,2.0,,,,,,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,1.0,,
24,321894,2011-01-22 15:00:00,"Old Trafford, Manchester",75326,Home,Manchester United,Birmingham City,5,0,W,3,0,0,0,1.0,3.0,62.0,2.0,,,2.0,32.0,21.0,8.0,10.0,2.0,163.0,8.0,10.0,5.0,1.0,21.0,3.0,8.0,138.0,144.0,40.0,1.0,23.0,,5.0,1.0,6.0,4.0,1.0,5.0,35.0,10.0,11.0,9.0,18.0,39.0,226.0,1.0,1.0,0.0,177.0,11.0,1.0,2.0,2.0,48.0,70.0,10.0,60.0,3.0,26.0,1.0,5.0,5.0,134.0,5.0,2.0,115.0,649.0,16.0,8.0,15.0,25.0,2.0,17.0,5.0,0.0,,11.0,13.0,56.0,2.0,1.0,8595,4.0,175.0,2.0,21.0,,199.0,2.0,7.0,30.0,8.0,3.0,6.0,4.0,8.0,3.0,4.0,2.0,44.0,393.0,5.0,5.0,14.0,70.0,0.0,,3.0,1.0,4.0,5.0,0.0,6.0,4.0,55.9,12.0,3.0,1.0,6.0,2.0,47.0,10.0,2.0,476.0,15.0,1.0,5.0,25.0,13.0,22.0,8.0,312.0,11.0,14.0,14.0,141.0,28.0,3.0,4.0,7.0,11.0,21.0,3.0,14.0,4.0,10.0,,1.0,2.0,,,3.0,1.0,2.0,1.0,1.0,,3.0,,,,,1.0,,2.0,,,3.0,3.0,,2.0,1.0,1.0,2.0,,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,1.0,2.0,,,,,,,
25,321901,2011-02-01 20:00:00,"Old Trafford, Manchester",75256,Home,Manchester United,Aston Villa,3,1,W,2,0,0,0,3.0,2.0,59.0,,,2.0,3.0,32.0,17.0,9.0,8.0,1.0,156.0,7.0,13.0,3.0,3.0,19.0,,10.0,98.0,147.0,45.0,,23.0,3.0,11.0,4.0,1.0,1.0,2.0,,21.0,10.0,8.0,5.0,17.0,37.0,191.0,2.0,,0.0,145.0,8.0,,,4.0,57.0,53.0,14.0,52.0,1.0,17.0,,7.0,3.0,138.0,2.0,5.0,91.0,595.0,13.0,9.0,18.0,20.0,7.0,6.0,3.0,0.0,3.0,5.0,17.0,72.0,3.0,,8595,7.0,132.0,1.0,10.0,2.0,148.0,2.0,5.0,38.0,10.0,4.0,7.0,1.0,15.0,7.0,1.0,4.0,49.0,316.0,7.0,5.0,21.0,77.0,0.0,4.0,5.0,1.0,3.0,5.0,0.0,7.0,3.0,44.2,16.0,2.0,2.0,7.0,6.0,47.0,5.0,5.0,397.0,14.0,,8.0,23.0,7.0,23.0,4.0,270.0,13.0,17.0,11.0,99.0,28.0,2.0,6.0,2.0,14.0,17.0,1.0,20.0,6.0,5.0,1.0,2.0,4.0,,,1.0,,3.0,,,,1.0,1.0,,1.0,,,,,,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,3.0,,,,,,,1.0,,,,,,
26,321916,2011-02-05 17:30:00,"Molineux Stadium, Wolverhampton",28811,Away,Manchester United,Wolverhampton Wanderers,1,2,L,1,2,0,0,1.0,,64.0,,1.0,1.0,2.0,40.0,18.0,5.0,7.0,1.0,180.0,11.0,5.0,1.0,2.0,13.0,,4.0,127.0,200.0,44.0,1.0,15.0,1.0,8.0,2.0,1.0,1.0,1.0,4.0,34.0,15.0,11.0,5.0,14.0,51.0,204.0,,,0.0,176.0,13.0,1.0,1.0,1.0,60.0,77.0,7.0,39.0,1.0,29.0,1.0,7.0,3.0,193.0,1.0,7.0,141.0,707.0,11.0,10.0,16.0,27.0,3.0,9.0,1.0,2.0,3.0,6.0,36.0,88.0,,,8595,7.0,170.0,1.0,21.0,,197.0,,9.0,39.0,6.0,3.0,6.0,1.0,15.0,2.0,5.0,3.0,68.0,363.0,9.0,2.0,15.0,94.0,0.0,1.0,4.0,1.0,1.0,2.0,0.0,9.0,,58.3,31.0,2.0,1.0,6.0,3.0,47.0,6.0,1.0,487.0,15.0,1.0,12.0,24.0,8.0,23.0,5.0,324.0,5.0,13.0,10.0,108.0,26.0,,3.0,6.0,20.0,13.0,3.0,11.0,3.0,6.0,2.0,,2.0,,,,1.0,1.0,,,,,,1.0,1.0,,1.0,,1.0,3.0,1.0,,1.0,2.0,3.0,3.0,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
27,321924,2011-02-12 12:45:00,"Old Trafford, Manchester",75322,Home,Manchester United,Manchester City,2,1,W,1,0,0,0,,1.0,66.0,,1.0,,,28.0,19.0,7.0,6.0,1.0,175.0,2.0,14.0,2.0,3.0,10.0,1.0,5.0,125.0,159.0,52.0,,11.0,1.0,11.0,2.0,,2.0,1.0,,23.0,12.0,9.0,2.0,17.0,42.0,242.0,,,0.0,174.0,16.0,,1.0,1.0,110.0,75.0,6.0,60.0,1.0,21.0,,10.0,5.0,149.0,1.0,11.0,119.0,676.0,8.0,6.0,25.0,29.0,3.0,9.0,2.0,2.0,6.0,4.0,19.0,63.0,1.0,,8595,3.0,147.0,,11.0,,163.0,1.0,7.0,60.0,3.0,2.0,6.0,2.0,7.0,3.0,6.0,4.0,56.0,387.0,13.0,12.0,20.0,76.0,0.0,2.0,7.0,2.0,2.0,,0.0,1.0,2.0,49.7,16.0,3.0,1.0,6.0,1.0,40.0,4.0,1.0,479.0,22.0,,12.0,22.0,5.0,20.0,,339.0,4.0,16.0,10.0,129.0,28.0,1.0,5.0,3.0,15.0,11.0,2.0,23.0,5.0,4.0,,,2.0,,,,,1.0,,,,,,,4.0,1.0,,,1.0,2.0,,,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,
