gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attRfGoal,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,attFreekickGoal,redCard,attFreekickTarget,overrun,lostCorners,attIboxGoal,accurateFlickOn,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,wonCorners,accuratePullBack,shotFastbreak,attBxRight,accurateKeeperSweeper,goalFastbreak,attMissHighRight,totalFastbreak,attGoalHighCentre,totalKeeperSweeper,errorLeadToShot,totalPullBack,attFastbreak,punches,savedIbox,accurateCrossNocorner,shieldBallOop,attBxLeft,effectiveBlockedCross,attHdGoal,blockedCross,attLfTarget,attPenTarget,postScoringAtt,attIboxPost,penaltyWon,attMissRight,hitWoodwork,attMissHighLeft,attCmissHighLeft,attPenGoal,attGoalHighLeft,attPostHigh,clearanceOffLine,goalsConcededObox,goalAssistSetplay,goalAssistDeadball,attObxLeft,freekickCross,interceptionsInBox,accurateFreekickCross,attCmissLeft,attOboxPost,goalsConceded,errorLeadToGoal,attCmissRight,attSvHighRight,attHdPost,attCmissHighRight,attPostRight,attGoalHighRight,defenderGoals,foulThrowIn,attPostLeft,attSvHighLeft,goalsConcededIbox,attObxRight,attObxdRight,attObxdLeft,penaltyConceded,penaltyFaced,penGoalsConceded,ownGoals,attIboxOwnGoal,penaltySave,attLgCentre
11,321763,2010-11-07 16:00:00,"Anfield, Liverpool",44238,Away,Chelsea,Liverpool,0,2,L,0,2,0,0,,,57.0,,,2.0,,47.0,17.0,5.0,6.0,,2.0,204.0,,6.0,11.0,,2.0,10.0,5.0,150.0,184.0,57.0,1.0,13.0,3.0,13.0,5.0,,2.0,,27.0,13.0,,8.0,5.0,26.0,39.0,226.0,,,0.0,141.0,18.0,2.0,,,1.0,81.0,60.0,6.0,71.0,22.0,1.0,3.0,2.0,174.0,2.0,5.0,142.0,787.0,9.0,6.0,1.0,14.0,19.0,2.0,11.0,,2.0,4.0,4.0,34.0,78.0,,88821,5.0,247.0,2.0,17.0,,1.0,268.0,,5.0,61.0,1.0,4.0,3.0,3.0,,18.0,7.0,3.0,1.0,77.0,467.0,15.0,4.0,1.0,15.0,99.0,2.0,,0.0,,1.0,2.0,,5.0,0.0,,4.0,64.7,32.0,3.0,3.0,,4.0,3.0,63.0,5.0,1.0,567.0,11.0,1.0,19.0,20.0,5.0,19.0,,3.0,326.0,3.0,23.0,12.0,87.0,24.0,,4.0,19.0,10.0,3.0,18.0,5.0,,,2.0,1.0,,1.0,,,1.0,,,,,2.0,6.0,,1.0,,,1.0,2.0,,,,,3.0,1.0,,,,,,,,,,,2.0,,1.0,,,2.0,,,,,,,,,,,1.0,2.0,,,,,,,,,,
12,321773,2010-11-10 19:45:00,"Stamford Bridge, London",41593,Home,Chelsea,Fulham,1,0,W,1,0,1,0,,1.0,80.0,1.0,,3.0,,28.0,22.0,10.0,7.0,,6.0,194.0,,4.0,16.0,1.0,3.0,15.0,9.0,144.0,164.0,64.0,2.0,21.0,3.0,9.0,3.0,,2.0,5.0,28.0,17.0,5.0,12.0,4.0,20.0,24.0,288.0,1.0,,0.0,191.0,14.0,1.0,1.0,2.0,,80.0,83.0,6.0,71.0,24.0,2.0,5.0,3.0,153.0,5.0,2.0,126.0,754.0,13.0,6.0,,22.0,25.0,5.0,16.0,1.0,2.0,3.0,9.0,17.0,83.0,1.0,88821,5.0,166.0,6.0,18.0,,1.0,179.0,,3.0,58.0,,7.0,2.0,4.0,,9.0,6.0,1.0,1.0,43.0,450.0,15.0,9.0,1.0,14.0,86.0,1.0,,0.0,2.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,57.3,16.0,1.0,4.0,3.0,4.0,3.0,63.0,4.0,,535.0,16.0,,12.0,7.0,9.0,18.0,1.0,6.0,384.0,12.0,18.0,15.0,137.0,43.0,,9.0,18.0,13.0,3.0,30.0,4.0,,2.0,1.0,1.0,,,2.0,,1.0,1.0,,2.0,1.0,,3.0,1.0,,2.0,1.0,3.0,2.0,,,,,2.0,,1.0,,,,,,,1.0,,,1.0,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
13,321778,2010-11-14 16:10:00,"Stamford Bridge, London",41072,Home,Chelsea,Sunderland,0,3,L,0,1,0,0,2.0,,53.0,,,1.0,3.0,30.0,19.0,7.0,3.0,,2.0,186.0,,6.0,12.0,,5.0,9.0,3.0,109.0,185.0,56.0,2.0,14.0,2.0,15.0,,,1.0,2.0,31.0,9.0,3.0,14.0,5.0,10.0,38.0,208.0,,,0.0,140.0,12.0,5.0,,,1.0,62.0,59.0,4.0,52.0,26.0,2.0,8.0,2.0,180.0,,13.0,94.0,679.0,6.0,7.0,1.0,12.0,23.0,3.0,12.0,,1.0,3.0,5.0,29.0,78.0,1.0,88821,2.0,147.0,,16.0,,1.0,170.0,,12.0,68.0,1.0,4.0,3.0,5.0,,16.0,8.0,4.0,1.0,53.0,349.0,13.0,10.0,3.0,13.0,96.0,,,0.0,1.0,1.0,3.0,,1.0,0.0,,3.0,58.3,27.0,2.0,,1.0,5.0,5.0,59.0,6.0,1.0,441.0,9.0,,23.0,20.0,6.0,25.0,3.0,4.0,302.0,8.0,9.0,15.0,91.0,19.0,,8.0,16.0,8.0,3.0,22.0,6.0,,1.0,,1.0,,,1.0,,1.0,1.0,,1.0,,5.0,3.0,,4.0,,,,,,,,,3.0,,,,,,,,,,,,2.0,3.0,1.0,1.0,,3.0,1.0,,,,,,,,,,1.0,3.0,,,,,,,,,,
14,321788,2010-11-20 15:00:00,"St. Andrew's Stadium, Birmingham",24357,Away,Chelsea,Birmingham City,0,1,L,0,1,0,0,1.0,,56.0,,,,3.0,39.0,13.0,9.0,8.0,,5.0,195.0,,16.0,10.0,,5.0,27.0,9.0,125.0,157.0,41.0,2.0,32.0,5.0,13.0,5.0,,,7.0,46.0,5.0,4.0,9.0,14.0,22.0,22.0,268.0,,,0.0,202.0,3.0,,,3.0,2.0,99.0,57.0,14.0,61.0,32.0,2.0,10.0,2.0,148.0,3.0,2.0,121.0,713.0,22.0,14.0,3.0,12.0,30.0,7.0,6.0,,0.0,1.0,13.0,30.0,84.0,5.0,88821,13.0,160.0,3.0,20.0,1.0,,176.0,,6.0,32.0,1.0,10.0,,5.0,,6.0,1.0,5.0,4.0,65.0,412.0,9.0,,5.0,24.0,83.0,4.0,,0.0,2.0,2.0,4.0,,6.0,0.0,,9.0,61.8,28.0,5.0,2.0,1.0,5.0,8.0,55.0,16.0,2.0,502.0,12.0,,11.0,14.0,15.0,31.0,5.0,12.0,372.0,13.0,21.0,12.0,147.0,16.0,,5.0,10.0,18.0,2.0,16.0,16.0,,,1.0,1.0,,,,,1.0,,,,,,11.0,3.0,4.0,2.0,,7.0,1.0,,1.0,1.0,,1.0,1.0,2.0,,,,1.0,,,,,,2.0,,,3.0,,1.0,,,,1.0,,,,,,,1.0,1.0,,2.0,,,,,,,,
15,321802,2010-11-28 13:30:00,"St. James' Park, Newcastle",46469,Away,Chelsea,Newcastle United,1,1,D,1,1,0,0,1.0,,73.0,,1.0,,4.0,36.0,31.0,5.0,7.0,,2.0,182.0,,7.0,10.0,1.0,,15.0,7.0,144.0,162.0,55.0,,20.0,3.0,15.0,6.0,1.0,2.0,4.0,37.0,18.0,,20.0,6.0,25.0,33.0,294.0,,,0.0,170.0,12.0,1.0,,1.0,4.0,71.0,79.0,12.0,60.0,31.0,,11.0,2.0,148.0,1.0,4.0,118.0,731.0,12.0,8.0,2.0,20.0,19.0,3.0,20.0,1.0,1.0,1.0,3.0,16.0,79.0,,88821,7.0,142.0,2.0,19.0,1.0,1.0,158.0,1.0,8.0,56.0,,4.0,1.0,8.0,1.0,8.0,1.0,1.0,1.0,50.0,429.0,10.0,8.0,2.0,10.0,87.0,3.0,,0.0,,4.0,6.0,1.0,4.0,0.0,,3.0,57.0,15.0,1.0,3.0,,8.0,7.0,64.0,7.0,4.0,504.0,17.0,,13.0,25.0,6.0,35.0,1.0,4.0,383.0,10.0,20.0,13.0,130.0,39.0,1.0,14.0,22.0,15.0,1.0,19.0,7.0,,,,,,,,,,,,,1.0,2.0,6.0,,4.0,,,3.0,2.0,,,,,1.0,,,,,,,1.0,,,,,1.0,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,
16,321811,2010-12-04 15:00:00,"Stamford Bridge, London",41642,Home,Chelsea,Everton,1,1,D,1,0,0,0,2.0,,61.0,1.0,,1.0,3.0,36.0,27.0,5.0,7.0,,1.0,195.0,,7.0,11.0,1.0,1.0,10.0,3.0,100.0,171.0,67.0,,14.0,3.0,14.0,2.0,,,2.0,20.0,14.0,,13.0,7.0,22.0,27.0,232.0,,,0.0,164.0,8.0,2.0,,1.0,2.0,62.0,67.0,6.0,80.0,13.0,,8.0,2.0,157.0,1.0,6.0,115.0,734.0,8.0,14.0,,21.0,22.0,10.0,23.0,,1.0,4.0,4.0,20.0,90.0,1.0,88821,6.0,172.0,1.0,5.0,1.0,,194.0,1.0,11.0,50.0,,5.0,3.0,6.0,,14.0,12.0,7.0,,59.0,397.0,12.0,3.0,2.0,26.0,89.0,1.0,,0.0,,2.0,2.0,1.0,5.0,0.0,,1.0,56.4,19.0,1.0,3.0,,6.0,6.0,59.0,7.0,2.0,490.0,15.0,,18.0,16.0,5.0,32.0,3.0,2.0,316.0,6.0,21.0,23.0,107.0,21.0,1.0,12.0,21.0,8.0,3.0,20.0,7.0,,,1.0,1.0,,,,,1.0,1.0,,,,2.0,4.0,1.0,2.0,4.0,,4.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
17,321824,2010-12-12 16:00:00,"White Hart Lane, London",35787,Away,Chelsea,Tottenham Hotspur,1,1,D,0,1,0,0,,,74.0,,,,,24.0,14.0,8.0,1.0,1.0,5.0,183.0,1.0,8.0,8.0,1.0,3.0,11.0,8.0,132.0,172.0,55.0,1.0,15.0,1.0,17.0,3.0,1.0,1.0,3.0,29.0,17.0,4.0,7.0,5.0,24.0,28.0,247.0,,,0.0,172.0,14.0,,,1.0,2.0,70.0,71.0,7.0,68.0,24.0,1.0,10.0,3.0,164.0,1.0,3.0,147.0,736.0,8.0,9.0,2.0,14.0,35.0,5.0,9.0,1.0,2.0,2.0,4.0,25.0,85.0,2.0,88821,5.0,194.0,2.0,12.0,,1.0,212.0,,9.0,66.0,,7.0,5.0,8.0,1.0,10.0,7.0,5.0,1.0,51.0,433.0,10.0,10.0,2.0,19.0,83.0,4.0,,0.0,,2.0,1.0,1.0,1.0,0.0,,4.0,61.4,25.0,2.0,1.0,,8.0,1.0,44.0,7.0,2.0,530.0,14.0,1.0,15.0,14.0,6.0,25.0,2.0,3.0,347.0,10.0,21.0,13.0,110.0,27.0,1.0,4.0,24.0,11.0,3.0,18.0,7.0,,,,2.0,,,,,2.0,,1.0,,,,6.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,2.0,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,
18,321831,2011-03-01 19:45:00,"Stamford Bridge, London",41825,Home,Chelsea,Manchester United,2,1,W,0,1,0,1,,1.0,68.0,,1.0,,3.0,24.0,22.0,9.0,4.0,,3.0,134.0,,6.0,10.0,2.0,8.0,13.0,8.0,107.0,155.0,58.0,4.0,21.0,2.0,12.0,3.0,1.0,4.0,4.0,32.0,17.0,3.0,13.0,9.0,10.0,27.0,197.0,,,0.0,129.0,10.0,,1.0,,4.0,45.0,47.0,8.0,31.0,23.0,4.0,7.0,4.0,145.0,,4.0,81.0,579.0,9.0,7.0,,20.0,27.0,3.0,11.0,1.0,3.0,3.0,5.0,18.0,55.0,,88821,7.0,88.0,,16.0,2.0,1.0,104.0,2.0,6.0,59.0,,3.0,1.0,7.0,1.0,7.0,6.0,2.0,1.0,43.0,279.0,14.0,11.0,3.0,18.0,65.0,2.0,,0.0,2.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0,45.0,14.0,1.0,1.0,,8.0,5.0,34.0,10.0,4.0,353.0,19.0,2.0,18.0,15.0,8.0,25.0,3.0,4.0,281.0,15.0,10.0,9.0,88.0,25.0,,6.0,24.0,11.0,3.0,18.0,10.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,3.0,,2.0,2.0,,3.0,2.0,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,
19,321837,2010-12-27 20:00:00,"Emirates Stadium, London",60112,Away,Chelsea,Arsenal,1,3,L,0,1,0,0,1.0,1.0,72.0,,,2.0,2.0,33.0,18.0,7.0,3.0,,,165.0,1.0,4.0,8.0,1.0,3.0,8.0,1.0,106.0,166.0,64.0,1.0,12.0,2.0,12.0,,,,3.0,22.0,22.0,,9.0,6.0,16.0,32.0,130.0,,,0.0,87.0,17.0,1.0,,,3.0,42.0,36.0,3.0,68.0,16.0,1.0,6.0,5.0,156.0,1.0,6.0,90.0,631.0,5.0,4.0,,14.0,35.0,6.0,13.0,1.0,3.0,2.0,5.0,13.0,57.0,,88821,4.0,216.0,,5.0,,3.0,241.0,,4.0,70.0,1.0,3.0,7.0,5.0,,7.0,4.0,1.0,2.0,55.0,342.0,13.0,13.0,2.0,16.0,72.0,,,0.0,,4.0,4.0,1.0,1.0,0.0,1.0,2.0,44.9,12.0,1.0,4.0,,5.0,4.0,44.0,6.0,4.0,429.0,8.0,1.0,18.0,13.0,7.0,21.0,,2.0,210.0,6.0,14.0,11.0,45.0,22.0,,6.0,32.0,5.0,3.0,19.0,6.0,,2.0,,1.0,,,2.0,,2.0,1.0,,2.0,1.0,1.0,4.0,,1.0,1.0,1.0,2.0,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,5.0,2.0,3.0,2.0,,3.0,2.0,,,,,,,1.0,,,,3.0,,,,,,,,,,
20,321848,2010-12-29 19:45:00,"Stamford Bridge, London",40982,Home,Chelsea,Bolton Wanderers,1,0,W,0,0,0,0,,1.0,71.0,,,,1.0,24.0,15.0,9.0,6.0,1.0,2.0,197.0,1.0,3.0,19.0,1.0,5.0,8.0,7.0,88.0,171.0,77.0,3.0,16.0,2.0,14.0,2.0,1.0,,,23.0,10.0,4.0,8.0,6.0,17.0,28.0,192.0,1.0,,0.0,133.0,12.0,,1.0,6.0,1.0,80.0,41.0,6.0,57.0,17.0,3.0,2.0,4.0,164.0,2.0,8.0,87.0,639.0,5.0,8.0,1.0,18.0,24.0,4.0,9.0,1.0,1.0,4.0,2.0,21.0,77.0,2.0,88821,3.0,153.0,2.0,12.0,,,168.0,,9.0,57.0,1.0,11.0,10.0,5.0,1.0,8.0,2.0,,1.0,44.0,342.0,24.0,8.0,2.0,17.0,99.0,,,0.0,,4.0,3.0,1.0,1.0,0.0,1.0,3.0,57.8,19.0,2.0,3.0,,6.0,3.0,60.0,6.0,3.0,429.0,14.0,2.0,15.0,19.0,6.0,17.0,2.0,2.0,284.0,7.0,15.0,23.0,79.0,33.0,,5.0,11.0,9.0,2.0,27.0,6.0,,,1.0,2.0,,2.0,,,2.0,2.0,,,1.0,3.0,1.0,2.0,1.0,1.0,,1.0,3.0,,,,,3.0,1.0,,,,,,1.0,,,,,3.0,2.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
21,321858,2011-01-02 13:30:00,"Stamford Bridge, London",41222,Home,Chelsea,Aston Villa,3,3,D,1,1,0,0,1.0,2.0,72.0,,2.0,2.0,5.0,33.0,23.0,6.0,5.0,,3.0,182.0,,9.0,10.0,3.0,2.0,15.0,7.0,132.0,165.0,56.0,1.0,22.0,4.0,19.0,4.0,,2.0,3.0,27.0,17.0,,15.0,8.0,17.0,33.0,226.0,,,0.0,164.0,20.0,,1.0,,1.0,68.0,71.0,11.0,50.0,19.0,1.0,4.0,2.0,156.0,3.0,7.0,109.0,704.0,12.0,5.0,1.0,14.0,32.0,1.0,12.0,,2.0,6.0,4.0,20.0,69.0,2.0,88821,11.0,163.0,4.0,15.0,2.0,,180.0,3.0,6.0,73.0,,6.0,,7.0,2.0,11.0,10.0,4.0,2.0,49.0,380.0,12.0,4.0,3.0,10.0,71.0,1.0,,0.0,,1.0,6.0,3.0,3.0,0.0,,3.0,60.9,20.0,2.0,5.0,1.0,7.0,9.0,50.0,9.0,1.0,473.0,9.0,1.0,25.0,14.0,6.0,22.0,3.0,4.0,320.0,12.0,16.0,10.0,103.0,25.0,1.0,7.0,24.0,14.0,3.0,16.0,9.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,6.0,,1.0,1.0,,2.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,3.0,,1.0,,,,,,1.0,,,,3.0,,,,1.0,1.0,1.0,,,,
22,321871,2011-01-05 19:45:00,"Molineux Stadium, Wolverhampton",26432,Away,Chelsea,Wolverhampton Wanderers,0,1,L,0,1,0,0,1.0,,65.0,,,2.0,4.0,56.0,19.0,5.0,7.0,,1.0,181.0,,7.0,6.0,,2.0,15.0,3.0,150.0,171.0,41.0,1.0,19.0,2.0,11.0,3.0,,1.0,,38.0,10.0,,11.0,9.0,15.0,43.0,261.0,,,0.0,180.0,13.0,1.0,,1.0,2.0,82.0,80.0,7.0,57.0,29.0,1.0,11.0,3.0,163.0,4.0,1.0,147.0,752.0,14.0,9.0,1.0,25.0,33.0,6.0,14.0,,1.0,,8.0,32.0,70.0,5.0,88821,7.0,194.0,5.0,17.0,,,214.0,,5.0,46.0,,9.0,3.0,7.0,,14.0,3.0,5.0,2.0,77.0,448.0,15.0,1.0,1.0,20.0,87.0,1.0,,0.0,,1.0,4.0,,5.0,0.0,,3.0,67.8,28.0,2.0,5.0,,7.0,6.0,64.0,9.0,2.0,535.0,20.0,,18.0,26.0,10.0,27.0,2.0,6.0,359.0,9.0,15.0,6.0,129.0,18.0,,7.0,14.0,15.0,3.0,10.0,9.0,,,4.0,2.0,,1.0,,,2.0,1.0,1.0,,1.0,,5.0,,3.0,1.0,,1.0,1.0,,1.0,1.0,,4.0,1.0,2.0,,,,,,,,,,1.0,2.0,,,,1.0,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,1.0,1.0,,
23,321878,2011-01-15 15:00:00,"Stamford Bridge, London",40846,Home,Chelsea,Blackburn Rovers,2,0,W,0,0,0,0,,1.0,71.0,,1.0,2.0,5.0,45.0,23.0,13.0,7.0,1.0,2.0,201.0,1.0,14.0,8.0,2.0,,25.0,6.0,144.0,174.0,50.0,1.0,31.0,5.0,12.0,2.0,,1.0,4.0,50.0,19.0,2.0,17.0,13.0,16.0,35.0,314.0,1.0,,0.0,213.0,11.0,1.0,,,2.0,75.0,92.0,12.0,50.0,37.0,1.0,14.0,6.0,168.0,,2.0,141.0,789.0,19.0,13.0,,16.0,22.0,4.0,16.0,1.0,1.0,1.0,13.0,28.0,90.0,2.0,88821,7.0,147.0,1.0,23.0,2.0,1.0,163.0,1.0,6.0,50.0,1.0,7.0,1.0,6.0,,12.0,2.0,3.0,4.0,62.0,447.0,6.0,2.0,5.0,14.0,86.0,1.0,,0.0,,2.0,1.0,2.0,8.0,0.0,,5.0,64.9,28.0,5.0,3.0,2.0,6.0,10.0,59.0,14.0,2.0,536.0,13.0,,15.0,25.0,15.0,24.0,7.0,7.0,423.0,17.0,15.0,14.0,149.0,36.0,1.0,11.0,22.0,,3.0,18.0,14.0,,1.0,4.0,2.0,,1.0,,,2.0,,1.0,1.0,,,7.0,4.0,3.0,1.0,,1.0,2.0,,2.0,2.0,,3.0,2.0,1.0,,,,1.0,,,1.0,,,,,,3.0,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,
24,321891,2011-01-24 20:00:00,"Macron Stadium, Bolton",22837,Away,Chelsea,Bolton Wanderers,4,0,W,2,0,0,0,,,72.0,2.0,1.0,1.0,3.0,31.0,38.0,5.0,7.0,2.0,3.0,193.0,,2.0,14.0,4.0,2.0,11.0,9.0,119.0,194.0,54.0,1.0,16.0,1.0,10.0,4.0,1.0,2.0,,12.0,13.0,1.0,20.0,2.0,29.0,25.0,178.0,1.0,1.0,0.0,114.0,5.0,1.0,2.0,3.0,3.0,56.0,39.0,9.0,81.0,10.0,1.0,,2.0,176.0,1.0,6.0,107.0,747.0,10.0,15.0,,9.0,32.0,5.0,18.0,1.0,0.0,5.0,2.0,38.0,65.0,5.0,88821,6.0,214.0,1.0,9.0,,,243.0,2.0,5.0,53.0,2.0,8.0,2.0,4.0,3.0,10.0,6.0,1.0,3.0,53.0,390.0,7.0,9.0,,20.0,101.0,,,0.0,,3.0,4.0,3.0,2.0,0.0,,,52.1,33.0,,1.0,,6.0,4.0,57.0,3.0,3.0,500.0,7.0,1.0,25.0,11.0,3.0,12.0,1.0,1.0,269.0,9.0,26.0,11.0,63.0,23.0,2.0,9.0,22.0,14.0,2.0,18.0,3.0,4.0,2.0,1.0,2.0,,,2.0,1.0,2.0,,4.0,2.0,1.0,3.0,1.0,,3.0,4.0,,4.0,2.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
25,321902,2011-02-01 19:45:00,"Stadium of Light, Sunderland",37855,Away,Chelsea,Sunderland,4,2,W,2,2,0,0,1.0,3.0,84.0,1.0,2.0,2.0,3.0,43.0,15.0,10.0,7.0,,7.0,210.0,,7.0,13.0,4.0,2.0,19.0,14.0,145.0,190.0,69.0,,28.0,2.0,9.0,4.0,2.0,4.0,2.0,23.0,21.0,6.0,9.0,6.0,31.0,33.0,289.0,,1.0,0.0,166.0,13.0,,1.0,2.0,,62.0,76.0,12.0,78.0,17.0,,4.0,1.0,184.0,7.0,1.0,149.0,818.0,15.0,17.0,1.0,18.0,36.0,7.0,12.0,2.0,2.0,1.0,7.0,25.0,87.0,2.0,88821,10.0,189.0,6.0,12.0,1.0,,212.0,4.0,4.0,49.0,,8.0,5.0,2.0,2.0,21.0,5.0,3.0,2.0,64.0,471.0,10.0,5.0,2.0,24.0,100.0,4.0,,0.0,,4.0,,3.0,6.0,0.0,2.0,2.0,64.3,22.0,1.0,5.0,,2.0,5.0,71.0,6.0,,582.0,13.0,,19.0,18.0,9.0,22.0,4.0,6.0,393.0,19.0,28.0,22.0,104.0,32.0,2.0,7.0,24.0,18.0,3.0,17.0,6.0,,2.0,2.0,1.0,1.0,,3.0,,1.0,1.0,,2.0,,,3.0,1.0,1.0,,,,2.0,,2.0,2.0,1.0,3.0,2.0,,,1.0,1.0,1.0,,2.0,,,,1.0,,,,,2.0,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,
26,321908,2011-02-06 16:00:00,"Stamford Bridge, London",41829,Home,Chelsea,Liverpool,0,1,L,0,0,0,0,1.0,,65.0,,,1.0,2.0,40.0,20.0,10.0,4.0,,,170.0,,8.0,6.0,,,14.0,1.0,152.0,145.0,43.0,,20.0,4.0,3.0,1.0,,,5.0,19.0,10.0,,13.0,4.0,26.0,37.0,253.0,,,0.0,150.0,10.0,1.0,,1.0,2.0,60.0,56.0,5.0,58.0,15.0,,7.0,6.0,138.0,,6.0,146.0,716.0,10.0,8.0,,14.0,23.0,3.0,12.0,,1.0,2.0,9.0,25.0,80.0,2.0,88821,6.0,195.0,,6.0,,,215.0,,7.0,40.0,1.0,2.0,3.0,6.0,,10.0,2.0,6.0,4.0,62.0,440.0,9.0,7.0,4.0,15.0,68.0,,,0.0,,3.0,3.0,,,0.0,,5.0,56.6,22.0,5.0,3.0,,6.0,6.0,46.0,4.0,2.0,526.0,8.0,,14.0,22.0,13.0,25.0,4.0,7.0,330.0,11.0,23.0,12.0,100.0,29.0,,7.0,16.0,,3.0,13.0,4.0,,,,2.0,,2.0,,,2.0,,,,,1.0,4.0,2.0,1.0,1.0,,1.0,1.0,,,,,2.0,,,,,,,,,,,,,,,4.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,
27,321922,2011-02-14 20:00:00,"Craven Cottage, London",25685,Away,Chelsea,Fulham,0,0,D,0,0,0,0,,,79.0,,,3.0,1.0,40.0,21.0,14.0,4.0,,3.0,185.0,,9.0,13.0,,2.0,23.0,3.0,172.0,179.0,68.0,,25.0,3.0,11.0,,,,5.0,32.0,16.0,3.0,13.0,6.0,23.0,33.0,302.0,1.0,,0.0,195.0,13.0,2.0,,2.0,4.0,110.0,76.0,6.0,61.0,26.0,,11.0,8.0,171.0,2.0,6.0,162.0,837.0,21.0,7.0,,18.0,27.0,4.0,12.0,,1.0,3.0,17.0,28.0,87.0,1.0,88821,8.0,188.0,2.0,14.0,,,207.0,,4.0,59.0,3.0,6.0,3.0,6.0,,10.0,7.0,2.0,5.0,62.0,481.0,10.0,3.0,2.0,15.0,88.0,,,0.0,,,4.0,,2.0,0.0,,6.0,62.6,26.0,6.0,9.0,1.0,6.0,4.0,53.0,6.0,4.0,580.0,14.0,,20.0,20.0,18.0,26.0,2.0,10.0,405.0,15.0,20.0,22.0,142.0,34.0,,8.0,23.0,22.0,2.0,25.0,6.0,,,,1.0,,2.0,,,1.0,1.0,,,,2.0,7.0,,3.0,2.0,,2.0,,,,,,5.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,3.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,
