gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,errorLeadToGoal,wonCorners,bigChanceScored,attLfGoal,goals,attCmissRight,possLostAll,attSvHighRight,divingSave,midfielderGoals,possLostCtrl,possWonDef3rd,attMissHighLeft,accurateThroughBall,attCmissHigh,totalThroughBall,attMissHigh,attGoalHighLeft,attIboxGoal,possWonAtt3rd,attFreekickMiss,penAreaEntries,accurateCornersIntobox,possWonMid3rd,effectiveBlockedCross,blockedCross,savedObox,fouledFinalThird,postScoringAtt,attIboxPost,freekickCross,interceptionsInBox,bigChanceCreated,attHdTarget,hitWoodwork,accurateFreekickCross,bigChanceMissed,sixYardBlock,totalPullBack,attFreekickTarget,shieldBallOop,attPostRight,attOpenplay,goalsConcededObox,attGoalLowLeft,attGoalLowCentre,shotFastbreak,goalAssistOpenplay,goalFastbreak,totalFastbreak,attFreekickPost,attGoalHighCentre,goalAssist,attRfGoal,goalsOpenplay,attFastbreak,attOboxPost,attPostHigh,goalAssistIntentional,attObxRight,attHdGoal,accuratePullBack,attPostLeft,errorLeadToShot,attSvLowRight,overrun,cleanSheet,attObxdLeft,goalAssistSetplay,attCmissHighRight,attGoalHighRight,attOboxGoal,attCmissHighLeft,defenderGoals,attFreekickGoal,attObxLeft,forwardGoals,attSvHighLeft,attGoalLowRight,goalAssistDeadball,attHdPost,penaltyConceded,penaltyFaced,penGoalsConceded,secondYellow,ownGoals,attIboxOwnGoal,foulThrowIn,attLgCentre,clearanceOffLine,penaltyWon,attPenGoal,attPenTarget
11,321760,2010-11-06 15:00:00,"Bloomfield Road, Blackpool",16094,Away,Everton,Blackpool,2,2,D,1,1,0,0,3.0,,56.0,3.0,28.0,27.0,7.0,7.0,4.0,154.0,7.0,10.0,16.0,6.0,99.0,77.0,,21.0,4.0,17.0,3.0,3.0,,1.0,1.0,26.0,22.0,1.0,12.0,7.0,13.0,29.0,217.0,1.0,0.0,172.0,15.0,2.0,,81.0,56.0,9.0,65.0,4.0,19.0,,2.0,2.0,8.0,94.0,650.0,14.0,12.0,12.0,7.0,10.0,,1.0,7.0,7.0,30.0,71.0,9007,9.0,118.0,15.0,1.0,133.0,8.0,62.0,3.0,3.0,15.0,7.0,5.0,59.0,328.0,14.0,8.0,1.0,30.0,91.0,1.0,,0.0,3.0,,2.0,7.0,0.0,4.0,4.0,51.8,21.0,3.0,1.0,,3.0,7.0,49.0,7.0,,412.0,10.0,16.0,19.0,8.0,6.0,305.0,10.0,12.0,22.0,128.0,6.0,31.0,1.0,3.0,19.0,,7.0,,,2.0,2.0,178.0,,,1.0,163.0,25.0,,2.0,,3.0,2.0,1.0,2.0,3.0,,23.0,3.0,22.0,1.0,1.0,2.0,2.0,,,2.0,,1.0,,,,1.0,,1.0,,,,19.0,1.0,,1.0,,1.0,,,,,1.0,1.0,2.0,,,,1.0,,1.0,1.0,,,,5.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
12,321774,2010-11-10 20:00:00,"Goodison Park, Liverpool",31808,Home,Everton,Bolton Wanderers,1,1,D,0,0,1,0,1.0,1.0,46.0,6.0,41.0,36.0,9.0,13.0,4.0,155.0,14.0,8.0,19.0,7.0,103.0,47.0,1.0,27.0,2.0,23.0,4.0,2.0,,1.0,3.0,44.0,10.0,2.0,15.0,13.0,13.0,13.0,244.0,2.0,0.0,207.0,10.0,2.0,,49.0,73.0,10.0,67.0,4.0,31.0,1.0,9.0,5.0,9.0,104.0,671.0,15.0,9.0,11.0,15.0,23.0,,0.0,3.0,9.0,29.0,89.0,9007,11.0,127.0,21.0,1.0,137.0,13.0,64.0,2.0,3.0,11.0,3.0,9.0,62.0,357.0,12.0,5.0,3.0,31.0,98.0,,,0.0,10.0,1.0,1.0,2.0,1.0,8.0,4.0,64.3,23.0,3.0,3.0,,3.0,8.0,61.0,15.0,,429.0,9.0,23.0,9.0,12.0,7.0,336.0,10.0,11.0,12.0,158.0,9.0,15.0,1.0,3.0,12.0,,15.0,,,1.0,,174.0,,2.0,,153.0,19.0,2.0,3.0,1.0,4.0,1.0,,1.0,2.0,1.0,25.0,6.0,18.0,2.0,2.0,1.0,2.0,,,1.0,,,1.0,,1.0,1.0,,1.0,,,,17.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,3.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
13,321779,2010-11-14 14:00:00,"Goodison Park, Liverpool",36279,Home,Everton,Arsenal,1,2,L,0,1,0,0,1.0,3.0,64.0,1.0,35.0,21.0,10.0,4.0,2.0,180.0,7.0,15.0,13.0,6.0,86.0,69.0,2.0,19.0,5.0,15.0,2.0,,,1.0,,27.0,20.0,3.0,14.0,6.0,9.0,32.0,185.0,2.0,0.0,157.0,16.0,,,48.0,53.0,8.0,55.0,2.0,21.0,2.0,4.0,2.0,6.0,92.0,629.0,10.0,11.0,13.0,15.0,7.0,,2.0,3.0,5.0,22.0,101.0,9007,5.0,127.0,15.0,1.0,141.0,7.0,57.0,5.0,8.0,8.0,7.0,3.0,70.0,305.0,14.0,8.0,2.0,38.0,92.0,,,0.0,2.0,1.0,2.0,4.0,0.0,5.0,4.0,48.8,19.0,4.0,1.0,,8.0,6.0,47.0,8.0,,413.0,13.0,15.0,11.0,7.0,5.0,299.0,11.0,9.0,16.0,80.0,5.0,24.0,2.0,3.0,19.0,,9.0,1.0,,1.0,1.0,177.0,,2.0,1.0,170.0,22.0,2.0,1.0,,4.0,1.0,,1.0,3.0,,29.0,2.0,29.0,,,2.0,4.0,,,2.0,1.0,3.0,,,,2.0,,2.0,1.0,1.0,,13.0,,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,,,,2.0,,,3.0,3.0,,,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
14,321795,2010-11-22 20:00:00,"Stadium of Light, Sunderland",37331,Away,Everton,Sunderland,2,2,D,1,1,0,0,1.0,2.0,54.0,2.0,31.0,33.0,6.0,7.0,2.0,183.0,6.0,2.0,12.0,7.0,101.0,49.0,,13.0,1.0,30.0,3.0,1.0,,,,27.0,16.0,2.0,14.0,4.0,28.0,32.0,236.0,1.0,0.0,187.0,8.0,2.0,,73.0,84.0,9.0,67.0,,23.0,,12.0,2.0,7.0,108.0,679.0,9.0,9.0,11.0,10.0,18.0,,2.0,4.0,3.0,30.0,89.0,9007,4.0,97.0,11.0,,122.0,11.0,65.0,5.0,10.0,14.0,7.0,4.0,66.0,327.0,5.0,8.0,1.0,42.0,104.0,,3.0,0.0,4.0,,2.0,4.0,0.0,5.0,2.0,54.7,23.0,,1.0,,10.0,3.0,46.0,4.0,,459.0,7.0,16.0,14.0,3.0,1.0,364.0,4.0,25.0,19.0,119.0,7.0,23.0,2.0,3.0,6.0,,4.0,,1.0,2.0,,228.0,,2.0,2.0,209.0,20.0,,2.0,,3.0,2.0,,1.0,4.0,,33.0,1.0,16.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,1.0,,,,1.0,,12.0,,1.0,1.0,,2.0,,,,,2.0,,2.0,,,,1.0,,1.0,,,,3.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,321799,2010-11-27 15:00:00,"Goodison Park, Liverpool",35237,Home,Everton,West Bromwich Albion,1,4,L,1,2,1,1,,1.0,62.0,,40.0,27.0,7.0,5.0,2.0,139.0,4.0,4.0,9.0,4.0,77.0,65.0,2.0,12.0,1.0,10.0,2.0,1.0,1.0,,2.0,19.0,23.0,1.0,8.0,2.0,8.0,19.0,154.0,1.0,0.0,122.0,12.0,,2.0,49.0,55.0,4.0,50.0,2.0,17.0,2.0,2.0,5.0,5.0,79.0,543.0,8.0,12.0,18.0,14.0,14.0,1.0,1.0,1.0,5.0,23.0,75.0,9007,3.0,104.0,10.0,2.0,118.0,2.0,51.0,1.0,11.0,10.0,4.0,1.0,56.0,254.0,19.0,11.0,,27.0,83.0,1.0,,0.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,46.6,20.0,,1.0,2.0,11.0,1.0,51.0,2.0,2.0,345.0,15.0,7.0,9.0,7.0,2.0,246.0,6.0,8.0,12.0,66.0,3.0,30.0,3.0,3.0,15.0,,2.0,,,1.0,1.0,161.0,,,1.0,142.0,20.0,,1.0,,3.0,2.0,1.0,1.0,3.0,1.0,21.0,1.0,21.0,2.0,2.0,,7.0,,,5.0,,3.0,,,1.0,3.0,,,1.0,,,7.0,1.0,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,1.0,3.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
16,321811,2010-12-04 15:00:00,"Stamford Bridge, London",41642,Away,Everton,Chelsea,1,1,D,0,1,0,0,1.0,1.0,61.0,,40.0,37.0,11.0,5.0,,144.0,8.0,3.0,10.0,4.0,85.0,50.0,,18.0,5.0,23.0,2.0,2.0,1.0,,1.0,25.0,22.0,1.0,26.0,2.0,14.0,33.0,174.0,3.0,0.0,149.0,13.0,1.0,1.0,60.0,43.0,6.0,46.0,2.0,23.0,,12.0,6.0,9.0,91.0,588.0,9.0,9.0,9.0,16.0,11.0,2.0,4.0,6.0,4.0,18.0,79.0,8378,2.0,118.0,8.0,,134.0,8.0,67.0,1.0,9.0,13.0,5.0,7.0,58.0,284.0,6.0,11.0,,26.0,81.0,,,0.0,7.0,2.0,1.0,2.0,0.0,7.0,4.0,43.6,10.0,,1.0,,9.0,5.0,53.0,2.0,3.0,366.0,7.0,18.0,21.0,9.0,2.0,257.0,9.0,13.0,14.0,107.0,9.0,27.0,1.0,2.0,6.0,1.0,2.0,1.0,,1.0,1.0,157.0,,,,146.0,24.0,1.0,,,1.0,1.0,,1.0,,,26.0,1.0,19.0,1.0,1.0,,3.0,1.0,1.0,3.0,,1.0,2.0,1.0,,,,,,,1.0,18.0,,,,,1.0,,,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,2.0,3.0,,1.0,,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,
17,321819,2010-12-11 15:00:00,"Goodison Park, Liverpool",32853,Home,Everton,Wigan Athletic,0,0,D,0,0,0,0,,,59.0,2.0,35.0,23.0,4.0,1.0,5.0,148.0,9.0,9.0,11.0,5.0,75.0,70.0,,14.0,,16.0,3.0,4.0,1.0,2.0,1.0,36.0,15.0,2.0,13.0,7.0,14.0,23.0,190.0,,0.0,167.0,12.0,,,70.0,54.0,6.0,54.0,2.0,29.0,,8.0,2.0,4.0,86.0,605.0,10.0,8.0,13.0,22.0,8.0,1.0,2.0,2.0,5.0,30.0,92.0,8378,5.0,82.0,14.0,2.0,100.0,6.0,67.0,8.0,3.0,13.0,2.0,4.0,59.0,263.0,18.0,5.0,1.0,41.0,87.0,,1.0,0.0,4.0,1.0,,4.0,0.0,8.0,3.0,49.8,20.0,2.0,,1.0,3.0,2.0,48.0,9.0,,363.0,8.0,20.0,13.0,7.0,4.0,299.0,9.0,13.0,17.0,112.0,3.0,26.0,,2.0,23.0,,9.0,,,,2.0,205.0,,1.0,,195.0,18.0,,1.0,2.0,2.0,3.0,,,2.0,,40.0,1.0,30.0,3.0,3.0,1.0,7.0,1.0,1.0,7.0,1.0,4.0,,1.0,2.0,4.0,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
18,321833,2010-12-20 20:00:00,"Etihad Stadium, Manchester",45028,Away,Everton,Manchester City,2,1,W,2,0,1,1,,,51.0,1.0,23.0,37.0,2.0,1.0,,118.0,3.0,8.0,5.0,2.0,56.0,48.0,,6.0,1.0,10.0,,,,,,9.0,16.0,,21.0,,14.0,15.0,129.0,,0.0,108.0,13.0,,1.0,58.0,38.0,3.0,51.0,2.0,9.0,,3.0,1.0,14.0,61.0,515.0,3.0,9.0,21.0,16.0,14.0,,1.0,16.0,2.0,21.0,66.0,9007,1.0,84.0,5.0,,103.0,13.0,57.0,2.0,2.0,8.0,19.0,5.0,45.0,210.0,9.0,8.0,,35.0,65.0,,1.0,0.0,11.0,3.0,1.0,2.0,1.0,3.0,2.0,31.8,16.0,1.0,1.0,,2.0,2.0,34.0,,1.0,286.0,19.0,21.0,5.0,2.0,1.0,192.0,2.0,13.0,9.0,69.0,8.0,22.0,1.0,3.0,13.0,,,1.0,,2.0,,148.0,,4.0,1.0,132.0,25.0,,,,,,,2.0,1.0,,6.0,,15.0,3.0,3.0,3.0,2.0,,,1.0,2.0,1.0,,,,,,,,,,6.0,,,,,2.0,,,,,2.0,1.0,2.0,,,,2.0,,1.0,,,,,1.0,,,,,,,,1.0,,,,,2.0,,,,,,1.0,,,,,,,,
19,321842,2011-03-09 20:00:00,"Goodison Park, Liverpool",33974,Home,Everton,Birmingham City,1,1,D,1,1,0,0,,1.0,51.0,5.0,44.0,26.0,9.0,8.0,5.0,165.0,11.0,6.0,17.0,9.0,102.0,46.0,1.0,22.0,3.0,16.0,4.0,3.0,,1.0,1.0,40.0,11.0,4.0,16.0,9.0,16.0,23.0,210.0,,0.0,178.0,8.0,1.0,,88.0,57.0,12.0,42.0,1.0,31.0,1.0,12.0,1.0,2.0,106.0,638.0,16.0,7.0,9.0,14.0,16.0,,1.0,,5.0,33.0,97.0,9007,7.0,107.0,18.0,,125.0,11.0,43.0,,6.0,10.0,4.0,6.0,86.0,306.0,12.0,2.0,1.0,48.0,92.0,,,0.0,1.0,1.0,1.0,3.0,0.0,7.0,4.0,59.0,26.0,2.0,1.0,1.0,6.0,8.0,48.0,9.0,,415.0,8.0,14.0,12.0,5.0,4.0,330.0,9.0,14.0,15.0,112.0,10.0,13.0,1.0,3.0,9.0,,9.0,,,1.0,,189.0,1.0,1.0,,179.0,17.0,,,,2.0,3.0,,,,,28.0,4.0,21.0,2.0,2.0,1.0,2.0,,,1.0,,2.0,2.0,,,2.0,,,,1.0,,18.0,,,,,,,,,,,1.0,,,,,,,,,,,2.0,2.0,,,,,1.0,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,
20,321855,2010-12-28 17:30:00,"Boleyn Ground, London",33422,Away,Everton,West Ham United,1,1,D,1,1,0,0,2.0,,61.0,1.0,48.0,32.0,4.0,4.0,1.0,166.0,9.0,6.0,12.0,3.0,97.0,48.0,,16.0,2.0,24.0,2.0,,1.0,,2.0,30.0,11.0,,17.0,7.0,16.0,20.0,252.0,1.0,0.0,169.0,19.0,,,78.0,74.0,5.0,72.0,3.0,23.0,,8.0,2.0,10.0,130.0,693.0,8.0,9.0,18.0,17.0,21.0,2.0,0.0,6.0,7.0,26.0,75.0,9007,8.0,139.0,13.0,1.0,153.0,13.0,63.0,3.0,6.0,15.0,5.0,8.0,68.0,382.0,12.0,7.0,3.0,35.0,92.0,,1.0,0.0,4.0,,1.0,3.0,0.0,5.0,3.0,62.5,25.0,2.0,1.0,1.0,6.0,3.0,55.0,7.0,,465.0,15.0,11.0,11.0,10.0,8.0,342.0,8.0,13.0,11.0,125.0,11.0,19.0,1.0,3.0,10.0,,7.0,1.0,,1.0,2.0,161.0,,,,146.0,24.0,2.0,1.0,,1.0,2.0,,1.0,1.0,,19.0,4.0,29.0,4.0,4.0,,2.0,,,2.0,1.0,2.0,1.0,,2.0,1.0,,,,,,7.0,,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,3.0,,,,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,
21,321861,2011-01-01 15:00:00,"bet365 Stadium, Stoke",27418,Away,Everton,Stoke City,0,2,L,0,1,0,0,2.0,,62.0,2.0,36.0,43.0,6.0,5.0,2.0,157.0,9.0,6.0,9.0,2.0,101.0,57.0,2.0,15.0,4.0,26.0,1.0,1.0,,,3.0,26.0,14.0,1.0,20.0,5.0,18.0,36.0,209.0,,0.0,153.0,10.0,,3.0,62.0,53.0,4.0,73.0,3.0,21.0,2.0,9.0,1.0,8.0,101.0,667.0,6.0,9.0,11.0,12.0,19.0,,1.0,3.0,5.0,36.0,80.0,9007,3.0,132.0,9.0,,156.0,11.0,65.0,,9.0,17.0,1.0,5.0,64.0,332.0,12.0,4.0,3.0,28.0,89.0,2.0,,0.0,1.0,,2.0,3.0,0.0,6.0,4.0,64.1,32.0,4.0,2.0,1.0,9.0,6.0,49.0,5.0,3.0,432.0,9.0,18.0,17.0,7.0,6.0,302.0,6.0,14.0,19.0,98.0,11.0,20.0,2.0,3.0,15.0,,5.0,,,,1.0,194.0,,,,171.0,28.0,,,,,1.0,,,4.0,1.0,27.0,3.0,19.0,,,,6.0,,,3.0,2.0,1.0,,,1.0,1.0,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
22,321874,2011-01-05 20:00:00,"Goodison Park, Liverpool",34124,Home,Everton,Tottenham Hotspur,2,1,W,1,1,0,0,1.0,4.0,52.0,2.0,29.0,39.0,12.0,9.0,4.0,154.0,4.0,8.0,15.0,10.0,67.0,57.0,1.0,21.0,4.0,22.0,3.0,1.0,1.0,4.0,1.0,25.0,22.0,5.0,24.0,3.0,13.0,15.0,182.0,1.0,0.0,176.0,18.0,1.0,,67.0,49.0,10.0,52.0,,22.0,1.0,9.0,2.0,5.0,73.0,545.0,14.0,12.0,6.0,14.0,27.0,1.0,1.0,4.0,5.0,20.0,83.0,9007,8.0,78.0,11.0,,85.0,10.0,58.0,1.0,2.0,12.0,9.0,6.0,56.0,256.0,13.0,7.0,,32.0,78.0,,1.0,0.0,3.0,1.0,1.0,5.0,0.0,3.0,2.0,46.5,17.0,1.0,,1.0,2.0,6.0,40.0,3.0,,346.0,5.0,5.0,4.0,5.0,3.0,286.0,10.0,12.0,12.0,112.0,15.0,24.0,1.0,3.0,15.0,,4.0,,,2.0,,160.0,,1.0,,145.0,19.0,1.0,,,3.0,2.0,,1.0,2.0,,26.0,1.0,23.0,1.0,1.0,2.0,2.0,,,2.0,,2.0,,,,2.0,,,,1.0,,19.0,,1.0,,4.0,1.0,1.0,4.0,,,1.0,1.0,2.0,4.0,,,,,1.0,,,,2.0,2.0,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,
23,321879,2011-01-16 14:05:00,"Anfield, Liverpool",44795,Away,Everton,Liverpool,2,2,D,0,1,0,0,1.0,,44.0,1.0,42.0,44.0,5.0,,2.0,117.0,6.0,4.0,6.0,4.0,71.0,58.0,,10.0,1.0,16.0,,,,1.0,1.0,23.0,18.0,2.0,21.0,6.0,10.0,24.0,129.0,1.0,0.0,132.0,18.0,,,60.0,31.0,5.0,38.0,1.0,17.0,,5.0,3.0,16.0,62.0,504.0,3.0,6.0,8.0,19.0,19.0,,0.0,4.0,1.0,24.0,71.0,9007,1.0,88.0,10.0,1.0,100.0,9.0,65.0,,4.0,9.0,4.0,6.0,60.0,211.0,16.0,12.0,1.0,28.0,78.0,,1.0,0.0,10.0,8.0,2.0,1.0,0.0,5.0,2.0,43.9,18.0,1.0,,,4.0,2.0,50.0,6.0,,288.0,7.0,13.0,11.0,4.0,1.0,211.0,8.0,9.0,13.0,83.0,5.0,25.0,2.0,3.0,11.0,,6.0,1.0,,2.0,,156.0,,4.0,,133.0,14.0,,,,,1.0,,2.0,3.0,,14.0,1.0,16.0,3.0,3.0,1.0,2.0,,,2.0,,1.0,,,1.0,,,,,1.0,,6.0,,,,,1.0,,,,1.0,2.0,1.0,1.0,,,,2.0,,1.0,,,1.0,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,
24,321892,2011-01-22 15:00:00,"Goodison Park, Liverpool",34179,Home,Everton,West Ham United,2,2,D,0,1,0,1,1.0,1.0,45.0,2.0,44.0,35.0,5.0,3.0,1.0,162.0,10.0,11.0,7.0,4.0,105.0,61.0,,12.0,,16.0,1.0,1.0,1.0,,,48.0,18.0,1.0,12.0,12.0,11.0,28.0,241.0,1.0,0.0,198.0,11.0,1.0,,78.0,87.0,4.0,63.0,1.0,36.0,,12.0,4.0,8.0,113.0,678.0,5.0,13.0,14.0,10.0,15.0,1.0,1.0,1.0,3.0,24.0,90.0,9007,5.0,112.0,19.0,1.0,127.0,11.0,55.0,1.0,6.0,9.0,7.0,9.0,68.0,343.0,13.0,6.0,1.0,22.0,72.0,,,0.0,2.0,,2.0,4.0,0.0,7.0,1.0,60.1,22.0,1.0,,1.0,6.0,2.0,47.0,12.0,,443.0,12.0,15.0,11.0,6.0,2.0,364.0,8.0,10.0,13.0,127.0,6.0,24.0,2.0,3.0,19.0,,12.0,,,2.0,,199.0,,,2.0,176.0,13.0,,1.0,,2.0,4.0,,2.0,2.0,,31.0,3.0,22.0,,,3.0,4.0,,,5.0,,1.0,,,1.0,2.0,,1.0,,1.0,,9.0,,2.0,,,1.0,,,,,1.0,2.0,2.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,321897,2011-02-01 19:45:00,"Emirates Stadium, London",60014,Away,Everton,Arsenal,1,2,L,1,0,0,0,2.0,1.0,47.0,,34.0,20.0,3.0,5.0,,123.0,5.0,8.0,7.0,3.0,80.0,55.0,,8.0,3.0,14.0,2.0,,,,1.0,18.0,15.0,,9.0,7.0,4.0,19.0,138.0,,0.0,111.0,16.0,2.0,,49.0,39.0,5.0,39.0,1.0,11.0,,4.0,1.0,11.0,77.0,510.0,7.0,7.0,13.0,17.0,5.0,,5.0,3.0,2.0,16.0,64.0,8758,2.0,123.0,7.0,1.0,131.0,14.0,63.0,2.0,6.0,15.0,7.0,7.0,54.0,256.0,13.0,11.0,,33.0,78.0,,,0.0,5.0,2.0,2.0,3.0,0.0,3.0,2.0,41.9,12.0,1.0,1.0,,6.0,3.0,46.0,7.0,,319.0,10.0,18.0,8.0,2.0,1.0,206.0,1.0,4.0,13.0,67.0,1.0,21.0,2.0,3.0,14.0,1.0,7.0,,1.0,1.0,,140.0,,2.0,,129.0,23.0,,,,,,,1.0,,,17.0,2.0,17.0,2.0,2.0,2.0,1.0,,,,1.0,,1.0,,,,,,,,,6.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,
26,321909,2011-02-05 15:00:00,"Goodison Park, Liverpool",38202,Home,Everton,Blackpool,5,3,W,1,1,0,0,1.0,3.0,54.0,2.0,27.0,33.0,10.0,14.0,2.0,163.0,9.0,15.0,14.0,10.0,78.0,68.0,4.0,24.0,6.0,9.0,2.0,,,1.0,2.0,28.0,13.0,3.0,15.0,7.0,16.0,28.0,183.0,1.0,0.0,167.0,12.0,,3.0,72.0,37.0,9.0,53.0,,21.0,4.0,5.0,1.0,4.0,96.0,616.0,7.0,16.0,14.0,9.0,21.0,,0.0,6.0,5.0,25.0,78.0,9007,8.0,122.0,13.0,4.0,139.0,7.0,46.0,2.0,5.0,13.0,8.0,4.0,50.0,296.0,18.0,6.0,3.0,29.0,73.0,1.0,,0.0,5.0,,3.0,3.0,0.0,5.0,2.0,55.5,21.0,1.0,3.0,1.0,5.0,8.0,37.0,9.0,3.0,390.0,10.0,13.0,15.0,6.0,5.0,279.0,7.0,16.0,18.0,107.0,8.0,17.0,3.0,3.0,22.0,,9.0,5.0,3.0,5.0,,174.0,1.0,1.0,,156.0,19.0,1.0,3.0,1.0,4.0,2.0,,5.0,4.0,,23.0,4.0,24.0,1.0,1.0,1.0,7.0,,,3.0,,5.0,,,,2.0,1.0,1.0,,2.0,,11.0,,2.0,,1.0,4.0,1.0,2.0,,,4.0,1.0,4.0,1.0,,,3.0,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,5.0,1.0,2.0,,,,,,,,,,,1.0,,,
27,321921,2011-02-13 16:00:00,"Macron Stadium, Bolton",22986,Away,Everton,Bolton Wanderers,0,2,L,0,1,0,0,,,58.0,2.0,33.0,35.0,6.0,3.0,2.0,149.0,4.0,9.0,9.0,2.0,103.0,65.0,,10.0,1.0,22.0,,1.0,1.0,,,26.0,13.0,2.0,16.0,3.0,20.0,20.0,172.0,1.0,0.0,141.0,12.0,1.0,4.0,55.0,42.0,4.0,54.0,1.0,24.0,,10.0,3.0,3.0,84.0,615.0,7.0,13.0,10.0,9.0,17.0,1.0,0.0,2.0,5.0,33.0,75.0,9007,2.0,129.0,12.0,3.0,155.0,10.0,65.0,4.0,6.0,13.0,7.0,9.0,56.0,297.0,15.0,6.0,2.0,27.0,85.0,,2.0,0.0,4.0,,2.0,6.0,0.0,4.0,,52.9,22.0,,1.0,,6.0,3.0,54.0,4.0,4.0,390.0,7.0,20.0,11.0,5.0,2.0,261.0,7.0,18.0,20.0,94.0,5.0,20.0,2.0,3.0,14.0,,4.0,,,,,191.0,,,,172.0,29.0,1.0,1.0,,3.0,2.0,,,1.0,,28.0,1.0,19.0,2.0,2.0,1.0,3.0,,,2.0,,1.0,,,,1.0,,1.0,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
