gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,accurateLongBalls,totalClearance,attObxCentre,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,attSvHighCentre,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,attIboxBlocked,attLfTotal,attFreekickTotal,attIboxTarget,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,freekickTotal,attHdTarget,attMissHighLeft,accurateFreekickCross,attSetpiece,attCmissHigh,attMissHigh,punches,overrun,totalHighClaim,attFreekickMiss,attGoalLowCentre,shotFastbreak,cleanSheet,totalFastbreak,accurateKeeperThrows,attFastbreak,foulThrowIn,possWonAtt3rd,keeperThrows,attLfGoal,goalAssistOpenplay,attGoalHighRight,goalAssist,sixYardBlock,totalPullBack,goalsOpenplay,goalAssistIntentional,goalsConcededObox,accuratePullBack,penaltyConceded,attCmissHighLeft,attSvLowRight,attCmissHighRight,penaltyFaced,errorLeadToGoal,attGoalHighLeft,attHdGoal,attCmissRight,postScoringAtt,attPostLeft,hitWoodwork,attOboxPost,attSvLowCentre,attSvHighRight,attBxLeft,clearanceOffLine,attGoalLowRight,goalAssistSetplay,attObxLeft,penGoalsConceded,attPenTarget,accurateKeeperSweeper,totalKeeperSweeper,defenderGoals,attFreekickTarget,attFreekickPost,midfielderGoals,attPostHigh,attIboxPost,attPostRight,ownGoals,attIboxOwnGoal,goalFastbreak,attOboxGoal,attObxdRight,attObpGoal,attFreekickGoal,goalAssistDeadball,attObxdLeft,attLgCentre
11,321765,2010-11-06 15:00:00,"Stadium of Light, Sunderland",36541,Home,Sunderland,Stoke City,2,0,W,1,0,0,1,,1.0,62.0,1.0,,30.0,69.0,10.0,2.0,146.0,5.0,5.0,2.0,4.0,9.0,5.0,89.0,185.0,60.0,17.0,4.0,24.0,,3.0,17.0,18.0,1.0,42.0,4.0,26.0,30.0,176.0,,1.0,0.0,135.0,10.0,1.0,55.0,73.0,4.0,67.0,3.0,2.0,13.0,3.0,5.0,,158.0,,7.0,75.0,638.0,7.0,16.0,26.0,25.0,8.0,37.0,0.0,6.0,5.0,23.0,73.0,1.0,,7195,4.0,111.0,1.0,9.0,132.0,2.0,5.0,64.0,1.0,2.0,11.0,7.0,2.0,,63.0,282.0,15.0,7.0,2.0,31.0,82.0,1.0,0.0,9.0,4.0,2.0,,3.0,0.0,3.0,,1.0,55.8,16.0,1.0,,5.0,41.0,6.0,377.0,22.0,8.0,20.0,7.0,7.0,2.0,2.0,262.0,11.0,23.0,15.0,81.0,24.0,2.0,6.0,23.0,25.0,,11.0,3.0,20.0,6.0,6.0,1.0,1.0,4.0,2.0,2.0,,,1.0,1.0,2.0,,,,,,2.0,1.0,5.0,1.0,1.0,1.0,,1.0,,1.0,,,2.0,1.0,,,,,1.0,,2.0,,,,,,2.0,,,,,,2.0,,,,,1.0,,1.0,3.0,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
12,321768,2010-11-09 20:00:00,"White Hart Lane, London",35843,Away,Sunderland,Tottenham Hotspur,1,1,D,0,0,0,0,1.0,1.0,64.0,,3.0,25.0,58.0,4.0,,158.0,2.0,5.0,1.0,2.0,7.0,2.0,59.0,186.0,47.0,8.0,1.0,18.0,,1.0,9.0,17.0,,33.0,3.0,22.0,24.0,158.0,1.0,,0.0,126.0,16.0,4.0,47.0,61.0,2.0,69.0,2.0,2.0,6.0,2.0,3.0,,161.0,1.0,11.0,62.0,578.0,5.0,16.0,16.0,35.0,10.0,35.0,1.0,6.0,5.0,24.0,82.0,1.0,1.0,66797,3.0,87.0,,3.0,108.0,1.0,12.0,60.0,4.0,5.0,13.0,13.0,4.0,,53.0,243.0,6.0,9.0,1.0,28.0,98.0,,0.0,17.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,43.0,20.0,1.0,,1.0,47.0,3.0,348.0,14.0,12.0,14.0,5.0,12.0,1.0,2.0,249.0,3.0,20.0,14.0,69.0,16.0,1.0,6.0,17.0,22.0,1.0,6.0,3.0,11.0,6.0,3.0,,,3.0,1.0,1.0,,,1.0,3.0,1.0,1.0,,,,,1.0,2.0,1.0,3.0,,,,,,,,,4.0,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
13,321778,2010-11-14 16:10:00,"Stamford Bridge, London",41072,Away,Sunderland,Chelsea,3,0,W,1,0,0,0,1.0,1.0,46.0,1.0,3.0,23.0,38.0,6.0,3.0,139.0,5.0,10.0,3.0,2.0,13.0,9.0,69.0,166.0,68.0,21.0,1.0,15.0,2.0,3.0,13.0,22.0,1.0,20.0,3.0,14.0,18.0,148.0,3.0,,0.0,116.0,14.0,,43.0,47.0,6.0,43.0,,2.0,10.0,8.0,6.0,,148.0,2.0,7.0,75.0,559.0,12.0,15.0,10.0,16.0,12.0,20.0,2.0,5.0,7.0,25.0,68.0,1.0,,91417,9.0,85.0,3.0,2.0,113.0,2.0,11.0,56.0,4.0,2.0,9.0,7.0,2.0,,46.0,228.0,10.0,12.0,,32.0,80.0,,0.0,6.0,,3.0,,2.0,0.0,4.0,1.0,2.0,41.7,19.0,1.0,,3.0,37.0,3.0,326.0,7.0,12.0,11.0,9.0,19.0,1.0,3.0,226.0,11.0,14.0,15.0,68.0,16.0,2.0,8.0,11.0,32.0,,18.0,3.0,14.0,8.0,3.0,2.0,2.0,8.0,,5.0,,,,3.0,,1.0,1.0,,1.0,,,1.0,,3.0,,1.0,2.0,1.0,2.0,,2.0,,2.0,,1.0,1.0,,1.0,,,3.0,1.0,,,,,3.0,,,,,,,,,,,3.0,,2.0,,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14,321795,2010-11-22 20:00:00,"Stadium of Light, Sunderland",37331,Home,Sunderland,Everton,2,2,D,1,1,0,0,1.0,,53.0,,2.0,21.0,44.0,7.0,2.0,171.0,5.0,8.0,2.0,3.0,12.0,4.0,86.0,209.0,65.0,14.0,2.0,19.0,1.0,2.0,17.0,16.0,2.0,25.0,4.0,14.0,31.0,161.0,,,0.0,143.0,6.0,3.0,60.0,38.0,6.0,52.0,2.0,3.0,13.0,9.0,3.0,,190.0,1.0,7.0,86.0,622.0,10.0,17.0,15.0,25.0,9.0,30.0,0.0,5.0,6.0,23.0,90.0,2.0,1.0,91417,5.0,109.0,1.0,1.0,139.0,,8.0,49.0,2.0,2.0,12.0,6.0,3.0,,52.0,265.0,7.0,2.0,,36.0,103.0,2.0,0.0,4.0,3.0,2.0,2.0,5.0,0.0,5.0,2.0,2.0,45.3,19.0,1.0,,4.0,42.0,4.0,395.0,13.0,16.0,13.0,6.0,26.0,,3.0,273.0,8.0,14.0,30.0,80.0,18.0,2.0,3.0,13.0,20.0,1.0,12.0,2.0,15.0,3.0,4.0,,2.0,4.0,1.0,,,,3.0,1.0,1.0,,,,,1.0,1.0,2.0,2.0,2.0,,,,,,,,,1.0,,1.0,1.0,,2.0,,,1.0,2.0,1.0,,,,2.0,,,,1.0,1.0,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
15,321806,2010-11-27 15:00:00,"Molineux Stadium, Wolverhampton",25112,Away,Sunderland,Wolverhampton Wanderers,2,3,L,0,0,0,0,1.0,1.0,66.0,,1.0,33.0,62.0,6.0,1.0,170.0,3.0,4.0,2.0,3.0,10.0,6.0,72.0,217.0,60.0,16.0,2.0,33.0,1.0,1.0,21.0,14.0,3.0,33.0,5.0,15.0,26.0,177.0,1.0,,0.0,153.0,11.0,2.0,61.0,42.0,8.0,55.0,5.0,2.0,16.0,10.0,1.0,,187.0,1.0,14.0,75.0,629.0,8.0,13.0,23.0,29.0,15.0,31.0,3.0,4.0,2.0,19.0,97.0,4.0,,7195,5.0,84.0,1.0,4.0,101.0,,10.0,73.0,5.0,5.0,12.0,4.0,4.0,,76.0,258.0,11.0,5.0,,57.0,103.0,,0.0,11.0,3.0,2.0,3.0,4.0,0.0,3.0,,1.0,46.0,13.0,,,5.0,44.0,5.0,372.0,19.0,16.0,16.0,5.0,23.0,,3.0,292.0,8.0,13.0,23.0,86.0,24.0,2.0,6.0,17.0,22.0,3.0,14.0,3.0,13.0,7.0,5.0,3.0,3.0,7.0,2.0,1.0,,1.0,2.0,,2.0,,,,,,,3.0,,,,,,,,2.0,,1.0,2.0,2.0,1.0,2.0,,2.0,1.0,,2.0,2.0,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
16,321814,2010-12-05 16:00:00,"Stadium of Light, Sunderland",36940,Home,Sunderland,West Ham United,1,0,W,1,0,0,0,,1.0,76.0,1.0,1.0,28.0,24.0,11.0,5.0,178.0,4.0,10.0,1.0,2.0,14.0,7.0,113.0,185.0,63.0,19.0,3.0,22.0,,1.0,26.0,22.0,4.0,12.0,7.0,21.0,28.0,257.0,1.0,,0.0,193.0,6.0,,67.0,88.0,8.0,75.0,3.0,2.0,19.0,10.0,4.0,,173.0,1.0,5.0,105.0,718.0,10.0,20.0,23.0,34.0,9.0,12.0,1.0,2.0,6.0,23.0,92.0,1.0,,7195,3.0,121.0,1.0,9.0,134.0,,8.0,67.0,6.0,4.0,11.0,3.0,5.0,,59.0,374.0,8.0,10.0,3.0,38.0,83.0,1.0,0.0,3.0,,1.0,,9.0,0.0,1.0,,2.0,57.4,19.0,2.0,,5.0,45.0,9.0,471.0,19.0,17.0,14.0,7.0,31.0,3.0,2.0,363.0,11.0,19.0,15.0,134.0,26.0,,,4.0,30.0,,15.0,3.0,22.0,,9.0,1.0,2.0,6.0,,2.0,,2.0,,3.0,,,1.0,,,,1.0,,3.0,3.0,,,2.0,1.0,2.0,5.0,2.0,,3.0,5.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,,1.0,1.0,2.0,1.0,3.0,,,,1.0,,,3.0,3.0,,,,1.0,1.0,,,,,,,,,,,,
17,321820,2010-12-11 15:00:00,"Craven Cottage, London",24462,Away,Sunderland,Fulham,0,0,D,0,0,0,0,,,89.0,,5.0,31.0,46.0,7.0,,175.0,5.0,9.0,,2.0,10.0,,75.0,224.0,68.0,13.0,3.0,30.0,,2.0,18.0,12.0,,24.0,2.0,11.0,35.0,132.0,1.0,,0.0,137.0,10.0,4.0,65.0,57.0,3.0,39.0,1.0,3.0,16.0,4.0,4.0,,202.0,1.0,7.0,74.0,593.0,9.0,21.0,18.0,40.0,15.0,25.0,1.0,9.0,7.0,29.0,95.0,,,7195,6.0,101.0,1.0,12.0,130.0,,7.0,62.0,4.0,5.0,11.0,11.0,1.0,,71.0,228.0,13.0,5.0,1.0,41.0,107.0,1.0,0.0,4.0,4.0,,,7.0,0.0,4.0,3.0,3.0,45.5,18.0,3.0,,4.0,39.0,3.0,363.0,16.0,7.0,13.0,9.0,20.0,1.0,5.0,251.0,6.0,10.0,31.0,58.0,32.0,,1.0,15.0,15.0,,10.0,3.0,19.0,1.0,3.0,,1.0,4.0,1.0,,,,,1.0,1.0,,,,,,3.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
18,321834,2010-12-18 12:45:00,"Stadium of Light, Sunderland",35101,Home,Sunderland,Bolton Wanderers,1,0,W,1,0,0,0,,1.0,79.0,,1.0,13.0,53.0,4.0,2.0,169.0,4.0,10.0,1.0,4.0,8.0,5.0,58.0,204.0,65.0,13.0,1.0,26.0,1.0,1.0,19.0,15.0,,28.0,1.0,15.0,26.0,148.0,,,0.0,149.0,8.0,1.0,60.0,43.0,4.0,61.0,1.0,1.0,18.0,7.0,3.0,,179.0,1.0,11.0,58.0,601.0,6.0,14.0,14.0,29.0,8.0,28.0,1.0,6.0,4.0,26.0,87.0,1.0,1.0,7195,4.0,93.0,1.0,10.0,110.0,,10.0,61.0,5.0,3.0,11.0,2.0,4.0,,61.0,237.0,13.0,3.0,2.0,40.0,101.0,,0.0,5.0,2.0,1.0,,4.0,0.0,4.0,1.0,3.0,47.4,18.0,1.0,,1.0,37.0,2.0,346.0,11.0,16.0,10.0,7.0,25.0,,3.0,255.0,5.0,15.0,21.0,80.0,31.0,1.0,4.0,14.0,21.0,,8.0,2.0,18.0,4.0,2.0,1.0,,5.0,2.0,4.0,,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,3.0,2.0,3.0,3.0,1.0,1.0,,1.0,,1.0,,,3.0,1.0,,,,,,2.0,1.0,,,1.0,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
19,321844,2010-12-26 15:00:00,"Old Trafford, Manchester",75269,Away,Sunderland,Manchester United,0,2,L,0,1,0,0,1.0,,72.0,,1.0,22.0,29.0,3.0,,176.0,2.0,6.0,,1.0,3.0,1.0,102.0,170.0,43.0,6.0,2.0,10.0,1.0,,22.0,13.0,1.0,16.0,3.0,17.0,25.0,193.0,1.0,,0.0,111.0,11.0,3.0,46.0,56.0,2.0,69.0,3.0,,19.0,8.0,,,157.0,,13.0,98.0,610.0,3.0,12.0,19.0,34.0,5.0,18.0,2.0,2.0,1.0,8.0,68.0,,,91417,1.0,148.0,,9.0,169.0,,7.0,43.0,1.0,1.0,8.0,4.0,4.0,,52.0,339.0,10.0,9.0,,37.0,93.0,,0.0,5.0,5.0,,2.0,4.0,0.0,2.0,,,43.4,3.0,,,2.0,43.0,3.0,445.0,15.0,10.0,8.0,3.0,13.0,,3.0,298.0,2.0,16.0,10.0,66.0,23.0,,2.0,9.0,17.0,2.0,5.0,3.0,10.0,2.0,3.0,1.0,,4.0,,,1.0,,2.0,3.0,,,,,,,2.0,1.0,,3.0,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
20,321852,2010-12-28 15:00:00,"Stadium of Light, Sunderland",42892,Home,Sunderland,Blackpool,0,2,L,0,0,0,0,1.0,,81.0,,2.0,36.0,16.0,12.0,7.0,207.0,12.0,6.0,,2.0,26.0,11.0,103.0,189.0,51.0,31.0,2.0,16.0,2.0,4.0,45.0,12.0,5.0,12.0,7.0,27.0,39.0,260.0,2.0,,0.0,194.0,7.0,,51.0,77.0,12.0,75.0,,7.0,38.0,9.0,4.0,,184.0,4.0,5.0,94.0,715.0,22.0,22.0,16.0,40.0,14.0,8.0,2.0,,14.0,23.0,96.0,6.0,,66797,15.0,136.0,6.0,28.0,151.0,,8.0,57.0,10.0,6.0,14.0,4.0,2.0,,65.0,384.0,5.0,8.0,4.0,34.0,115.0,,0.0,2.0,,,2.0,13.0,0.0,8.0,,5.0,53.0,22.0,3.0,,4.0,69.0,9.0,479.0,14.0,16.0,26.0,16.0,29.0,4.0,11.0,373.0,21.0,27.0,21.0,140.0,30.0,,1.0,6.0,19.0,2.0,24.0,3.0,17.0,2.0,9.0,2.0,2.0,5.0,1.0,6.0,,2.0,1.0,,1.0,2.0,2.0,1.0,,,,,2.0,,,,3.0,,3.0,1.0,3.0,,3.0,1.0,,,,,1.0,1.0,,,,1.0,,1.0,4.0,,,,,,1.0,1.0,,1.0,1.0,5.0,,1.0,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,
21,321862,2011-01-01 15:00:00,"Stadium of Light, Sunderland",36242,Home,Sunderland,Blackburn Rovers,3,0,W,2,0,0,0,,,63.0,2.0,,21.0,43.0,5.0,1.0,175.0,4.0,5.0,3.0,3.0,10.0,4.0,76.0,211.0,53.0,14.0,2.0,22.0,,1.0,23.0,15.0,1.0,19.0,2.0,18.0,29.0,190.0,,,0.0,141.0,13.0,,76.0,67.0,6.0,69.0,1.0,1.0,21.0,9.0,,,187.0,1.0,6.0,72.0,630.0,8.0,12.0,23.0,22.0,11.0,23.0,1.0,3.0,4.0,39.0,80.0,4.0,,75996,5.0,102.0,1.0,12.0,131.0,2.0,13.0,68.0,6.0,2.0,9.0,5.0,6.0,,49.0,288.0,9.0,7.0,,37.0,85.0,1.0,0.0,2.0,,3.0,,9.0,0.0,4.0,1.0,2.0,51.8,25.0,1.0,,4.0,38.0,3.0,392.0,17.0,11.0,13.0,6.0,21.0,,4.0,284.0,11.0,17.0,19.0,95.0,35.0,3.0,1.0,11.0,20.0,,14.0,3.0,20.0,1.0,3.0,,2.0,1.0,,,,1.0,,,,,,,,,2.0,,5.0,,,,3.0,1.0,4.0,,3.0,1.0,3.0,,,2.0,,2.0,,,3.0,1.0,,,,,,,,,,1.0,1.0,2.0,,2.0,2.0,,,3.0,,1.0,,,,,1.0,1.0,,,,,2.0,,,,,1.0,,,,,,,
22,321872,2011-01-05 19:45:00,"Villa Park, Birmingham",32627,Away,Sunderland,Aston Villa,1,0,W,0,0,1,1,,,61.0,1.0,,23.0,48.0,6.0,1.0,156.0,4.0,2.0,1.0,1.0,10.0,3.0,73.0,211.0,51.0,14.0,2.0,35.0,,4.0,28.0,13.0,1.0,25.0,9.0,19.0,19.0,142.0,,,0.0,126.0,13.0,,47.0,74.0,2.0,47.0,2.0,2.0,19.0,10.0,3.0,1.0,188.0,2.0,8.0,68.0,575.0,9.0,13.0,13.0,16.0,6.0,18.0,2.0,3.0,8.0,33.0,86.0,2.0,1.0,91417,5.0,99.0,2.0,9.0,118.0,1.0,6.0,70.0,4.0,4.0,17.0,3.0,3.0,,51.0,237.0,9.0,7.0,1.0,35.0,90.0,2.0,0.0,5.0,1.0,,,2.0,1.0,2.0,,2.0,47.8,21.0,2.0,,3.0,40.0,9.0,344.0,11.0,8.0,8.0,8.0,15.0,2.0,5.0,254.0,8.0,16.0,21.0,69.0,34.0,,4.0,9.0,19.0,,11.0,3.0,9.0,4.0,9.0,1.0,1.0,4.0,1.0,1.0,,1.0,,2.0,1.0,,,,1.0,2.0,2.0,2.0,6.0,2.0,,,2.0,1.0,2.0,3.0,2.0,,3.0,3.0,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,
23,321882,2011-01-16 12:00:00,"Stadium of Light, Sunderland",47864,Home,Sunderland,Newcastle United,1,1,D,0,0,0,0,,,63.0,,,31.0,38.0,4.0,3.0,150.0,6.0,3.0,1.0,1.0,11.0,4.0,46.0,189.0,65.0,13.0,1.0,22.0,,3.0,25.0,18.0,2.0,24.0,4.0,10.0,43.0,123.0,,,0.0,138.0,16.0,,30.0,37.0,7.0,31.0,,1.0,21.0,8.0,1.0,,175.0,1.0,8.0,36.0,495.0,9.0,24.0,13.0,18.0,16.0,24.0,1.0,2.0,4.0,19.0,79.0,3.0,,8411,7.0,47.0,1.0,13.0,63.0,,19.0,62.0,9.0,4.0,19.0,3.0,8.0,,56.0,164.0,7.0,5.0,2.0,41.0,99.0,1.0,0.0,6.0,1.0,1.0,1.0,7.0,0.0,5.0,,,48.4,16.0,,,5.0,50.0,5.0,263.0,10.0,13.0,23.0,4.0,24.0,1.0,3.0,225.0,10.0,9.0,30.0,81.0,28.0,1.0,2.0,15.0,25.0,1.0,10.0,2.0,9.0,2.0,5.0,,4.0,2.0,,1.0,,2.0,,2.0,,,,,1.0,,,1.0,1.0,2.0,,,1.0,,1.0,7.0,1.0,,6.0,7.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,2.0,1.0,,,,,,3.0,3.0,,,,,,,,,,,,,1.0,,,,
24,321890,2011-01-22 15:00:00,"Bloomfield Road, Blackpool",16037,Away,Sunderland,Blackpool,2,1,W,2,0,0,0,3.0,2.0,58.0,1.0,5.0,22.0,34.0,4.0,,152.0,5.0,7.0,2.0,,11.0,5.0,64.0,194.0,69.0,13.0,1.0,18.0,1.0,2.0,18.0,13.0,2.0,21.0,3.0,17.0,23.0,157.0,,,0.0,148.0,15.0,5.0,57.0,76.0,4.0,53.0,,1.0,15.0,5.0,2.0,,181.0,4.0,7.0,59.0,561.0,8.0,16.0,15.0,22.0,10.0,18.0,0.0,3.0,7.0,25.0,76.0,2.0,,8411,3.0,64.0,2.0,9.0,85.0,,12.0,62.0,6.0,6.0,9.0,7.0,4.0,,61.0,216.0,13.0,10.0,1.0,40.0,96.0,1.0,0.0,10.0,2.0,2.0,1.0,7.0,0.0,4.0,1.0,2.0,43.2,16.0,2.0,,1.0,42.0,4.0,328.0,13.0,17.0,14.0,7.0,21.0,1.0,5.0,261.0,3.0,16.0,25.0,83.0,20.0,,7.0,13.0,24.0,1.0,12.0,2.0,12.0,7.0,4.0,3.0,,8.0,,1.0,,1.0,1.0,,,,1.0,,,1.0,3.0,1.0,1.0,,,,,,,2.0,,,5.0,3.0,2.0,2.0,,2.0,,1.0,2.0,2.0,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,3.0,,1.0,,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,
25,321902,2011-02-01 19:45:00,"Stadium of Light, Sunderland",37855,Home,Sunderland,Chelsea,2,4,L,2,2,0,0,,,66.0,,6.0,21.0,39.0,5.0,2.0,145.0,3.0,5.0,2.0,3.0,4.0,4.0,61.0,184.0,49.0,6.0,,22.0,,1.0,11.0,15.0,2.0,20.0,,12.0,30.0,126.0,,,0.0,121.0,10.0,7.0,37.0,61.0,2.0,45.0,,1.0,11.0,8.0,1.0,,165.0,,18.0,65.0,535.0,3.0,15.0,23.0,22.0,7.0,16.0,1.0,6.0,2.0,17.0,84.0,,,78827,1.0,91.0,,2.0,111.0,1.0,9.0,69.0,2.0,2.0,12.0,10.0,4.0,,62.0,214.0,12.0,13.0,,33.0,96.0,,0.0,6.0,4.0,,4.0,6.0,0.0,3.0,3.0,1.0,35.7,7.0,1.0,,,37.0,,316.0,19.0,16.0,15.0,2.0,12.0,,1.0,216.0,4.0,11.0,9.0,64.0,25.0,,4.0,9.0,23.0,3.0,5.0,2.0,13.0,4.0,,,,1.0,1.0,,,,1.0,2.0,1.0,,,,,,,,2.0,2.0,,,,,,3.0,,,4.0,3.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,2.0,,,1.0,,,1.0,1.0,,,1.0,,,,,,,2.0,,,1.0,,,
26,321912,2011-02-05 12:45:00,"bet365 Stadium, Stoke",26008,Away,Sunderland,Stoke City,2,3,L,1,1,0,0,1.0,1.0,51.0,,1.0,12.0,46.0,7.0,1.0,149.0,2.0,10.0,2.0,2.0,11.0,5.0,72.0,193.0,56.0,13.0,2.0,14.0,2.0,4.0,14.0,15.0,1.0,26.0,2.0,19.0,19.0,147.0,,,0.0,117.0,16.0,1.0,42.0,58.0,6.0,46.0,4.0,1.0,12.0,2.0,4.0,,173.0,1.0,13.0,66.0,561.0,8.0,7.0,17.0,17.0,2.0,19.0,3.0,5.0,5.0,25.0,70.0,,,7195,4.0,78.0,,8.0,110.0,1.0,11.0,48.0,1.0,1.0,19.0,6.0,4.0,,44.0,223.0,7.0,7.0,1.0,24.0,78.0,1.0,0.0,12.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,2.0,56.3,14.0,1.0,1.0,3.0,30.0,4.0,333.0,13.0,7.0,8.0,5.0,15.0,,1.0,237.0,5.0,16.0,18.0,71.0,18.0,1.0,3.0,10.0,21.0,3.0,11.0,2.0,15.0,3.0,4.0,1.0,1.0,6.0,,2.0,,1.0,2.0,7.0,,1.0,,,1.0,,,4.0,1.0,8.0,,,,,,7.0,,,,7.0,1.0,2.0,1.0,2.0,,,2.0,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,
27,321925,2011-02-12 17:30:00,"Stadium of Light, Sunderland",40986,Home,Sunderland,Tottenham Hotspur,1,2,L,1,1,0,0,2.0,,58.0,,,17.0,15.0,13.0,4.0,177.0,4.0,5.0,1.0,,13.0,5.0,96.0,187.0,58.0,19.0,4.0,22.0,2.0,4.0,19.0,14.0,3.0,9.0,2.0,15.0,40.0,232.0,,,0.0,169.0,16.0,1.0,63.0,77.0,7.0,68.0,,1.0,17.0,8.0,5.0,,181.0,,9.0,114.0,659.0,11.0,21.0,16.0,17.0,6.0,9.0,2.0,3.0,6.0,25.0,83.0,,,7195,4.0,123.0,,5.0,142.0,1.0,11.0,70.0,1.0,2.0,14.0,4.0,6.0,,52.0,351.0,13.0,6.0,1.0,27.0,112.0,1.0,0.0,3.0,2.0,1.0,2.0,7.0,0.0,4.0,1.0,1.0,53.8,14.0,1.0,1.0,6.0,55.0,2.0,455.0,15.0,17.0,21.0,8.0,23.0,,2.0,332.0,12.0,13.0,21.0,112.0,32.0,1.0,2.0,6.0,19.0,1.0,,2.0,16.0,2.0,2.0,,2.0,6.0,3.0,1.0,,,,,3.0,,,,4.0,,2.0,,2.0,,,,,,,4.0,,,2.0,4.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
