gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,goalsConceded,accurateFlickOn,attCmissHighRight,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attLfTarget,bigChanceScored,attGoalLowRight,savedObox,goals,attPenTarget,attSvLowCentre,attOboxTarget,penaltyWon,midfielderGoals,hitWoodwork,errorLeadToShot,sixYardBlock,attSetpiece,attRfGoal,totalPullBack,ownGoals,attPenGoal,attSvLowRight,attIboxGoal,shieldBallOop,attSvHighCentre,attIboxOwnGoal,errorLeadToGoal,postScoringAtt,penaltyConceded,attOboxPost,penaltyFaced,penGoalsConceded,attPostRight,handBall,attIboxPost,attGoalHighRight,attSvHighRight,attOboxGoal,attHdPost,attHdTarget,attFreekickTarget,attPostHigh,shotFastbreak,totalFastbreak,attFastbreak,goalAssistSetplay,goalAssistDeadball,accurateKeeperSweeper,cleanSheet,attSvHighLeft,goalAssist,totalKeeperSweeper,attObxdLeft,goalAssistIntentional,forwardGoals,attHdGoal,attGoalLowLeft,goalAssistOpenplay,attObxdRight,goalsOpenplay,accuratePullBack,attGoalHighLeft,attObxRight,attGoalLowCentre,attMissHighLeft,foulThrowIn,attLgLeft,penaltySave,attLfGoal,goalFastbreak,attPostLeft,defenderGoals,attGoalHighCentre,secondYellow,goalsConcededObox,attLgCentre,attObxLeft
29,321945,2011-03-05 15:00:00,"Boleyn Ground, London",33066.0,Home,West Ham United,Stoke City,3,0,W,2,0,0,0,68.0,2.0,42.0,35.0,9.0,8.0,,189.0,6.0,4.0,5.0,17.0,2.0,7.0,98.0,166.0,53.0,1.0,23.0,4.0,20.0,3.0,1.0,1.0,18.0,16.0,21.0,6.0,23.0,38.0,200.0,,0.0,145.0,14.0,2.0,1.0,2.0,1.0,68.0,47.0,8.0,80.0,3.0,8.0,12.0,1.0,3.0,4.0,152.0,2.0,4.0,103.0,684.0,10.0,7.0,17.0,28.0,14.0,21.0,0.0,2.0,9.0,20.0,83.0,1.0,1.0,8402,8.0,191.0,2.0,7.0,205.0,7.0,57.0,,3.0,4.0,6.0,21.0,5.0,3.0,,74.0,385.0,9.0,3.0,5.0,43.0,89.0,1.0,2.0,0.0,1.0,3.0,2.0,,2.0,,0.0,2.0,6.0,56.8,18.0,3.0,5.0,2.0,6.0,6.0,,45.0,7.0,1.0,470.0,12.0,,18.0,24.0,10.0,21.0,4.0,5.0,283.0,9.0,19.0,22.0,98.0,25.0,3.0,13.0,18.0,,14.0,3.0,9.0,3.0,7.0,3.0,2.0,,2.0,3.0,,1.0,1.0,,1.0,1.0,,1.0,3.0,1.0,1.0,,,,3.0,,2.0,,,1.0,,,,,1.0,3.0,1.0,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,2.0,1.0,1.0,,1.0,,2.0,1.0,,,2.0,,,,,1.0,,,1.0,1.0,,,,
30,321954,2011-03-19 12:45:00,"White Hart Lane, London",36010.0,Away,West Ham United,Tottenham Hotspur,0,0,D,0,0,0,0,68.0,,20.0,41.0,4.0,1.0,4.0,143.0,2.0,7.0,1.0,8.0,,5.0,80.0,162.0,51.0,,10.0,,14.0,3.0,,1.0,10.0,22.0,25.0,2.0,14.0,19.0,143.0,1.0,0.0,96.0,14.0,3.0,,3.0,,56.0,53.0,5.0,56.0,2.0,2.0,8.0,,3.0,2.0,146.0,1.0,16.0,68.0,579.0,8.0,11.0,21.0,27.0,6.0,18.0,4.0,7.0,3.0,21.0,62.0,2.0,1.0,8402,4.0,117.0,1.0,2.0,141.0,14.0,65.0,,3.0,,1.0,8.0,15.0,7.0,,48.0,258.0,6.0,10.0,,29.0,83.0,,,0.0,3.0,6.0,4.0,,1.0,,0.0,2.0,,40.7,18.0,,1.0,1.0,1.0,,,46.0,2.0,,347.0,17.0,,19.0,9.0,5.0,22.0,,3.0,216.0,9.0,12.0,11.0,59.0,29.0,,9.0,27.0,,10.0,1.0,16.0,,2.0,1.0,,,5.0,,,1.0,2.0,,,,,,,,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
31,321965,2011-04-02 12:45:00,"Boleyn Ground, London",34546.0,Home,West Ham United,Manchester United,2,4,L,2,0,0,0,49.0,,30.0,54.0,4.0,3.0,1.0,116.0,2.0,2.0,,4.0,2.0,3.0,67.0,173.0,39.0,1.0,10.0,3.0,18.0,,,1.0,16.0,14.0,28.0,,5.0,21.0,112.0,,0.0,93.0,12.0,2.0,,,,40.0,28.0,3.0,31.0,1.0,2.0,16.0,1.0,8.0,2.0,147.0,,13.0,60.0,506.0,4.0,9.0,21.0,24.0,8.0,29.0,1.0,6.0,1.0,24.0,66.0,1.0,,8402,2.0,93.0,,7.0,104.0,16.0,54.0,,2.0,2.0,1.0,20.0,10.0,3.0,1.0,47.0,203.0,9.0,11.0,,24.0,81.0,,,0.0,1.0,16.0,3.0,4.0,3.0,,0.0,2.0,,34.0,13.0,,3.0,1.0,1.0,3.0,,40.0,,,274.0,14.0,1.0,11.0,12.0,4.0,20.0,,2.0,186.0,7.0,3.0,7.0,58.0,18.0,5.0,14.0,21.0,3.0,,3.0,6.0,5.0,,,,,1.0,2.0,,1.0,1.0,2.0,2.0,,,,,2.0,,,2.0,,2.0,,,,,,1.0,,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
32,321970,2011-04-09 15:00:00,"Macron Stadium, Bolton",25857.0,Away,West Ham United,Bolton Wanderers,0,3,L,0,2,0,0,60.0,2.0,27.0,29.0,6.0,2.0,3.0,168.0,6.0,6.0,3.0,14.0,,6.0,90.0,165.0,43.0,,14.0,,16.0,4.0,,2.0,30.0,13.0,15.0,4.0,12.0,25.0,183.0,,0.0,137.0,11.0,,1.0,2.0,,60.0,34.0,8.0,66.0,1.0,,26.0,,7.0,3.0,151.0,,16.0,71.0,596.0,12.0,15.0,4.0,23.0,9.0,12.0,0.0,6.0,6.0,28.0,80.0,2.0,,8402,5.0,133.0,,17.0,146.0,14.0,54.0,,3.0,2.0,5.0,8.0,9.0,6.0,1.0,57.0,310.0,6.0,10.0,2.0,32.0,96.0,2.0,2.0,0.0,,5.0,3.0,3.0,4.0,,0.0,5.0,4.0,58.3,22.0,1.0,2.0,1.0,5.0,2.0,,57.0,10.0,,395.0,3.0,,15.0,14.0,6.0,26.0,1.0,2.0,279.0,8.0,11.0,15.0,89.0,24.0,1.0,3.0,16.0,2.0,6.0,3.0,9.0,1.0,10.0,,,,1.0,,,2.0,2.0,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,1.0,,,2.0,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,
33,321985,2011-04-16 15:00:00,"Boleyn Ground, London",,Home,West Ham United,Aston Villa,1,2,L,1,1,0,0,58.0,6.0,28.0,32.0,6.0,7.0,3.0,147.0,7.0,2.0,1.0,12.0,1.0,5.0,87.0,167.0,40.0,1.0,17.0,1.0,21.0,1.0,2.0,2.0,25.0,9.0,23.0,5.0,7.0,34.0,165.0,1.0,0.0,124.0,8.0,3.0,,,,43.0,52.0,8.0,53.0,3.0,1.0,20.0,1.0,6.0,3.0,158.0,1.0,16.0,82.0,574.0,11.0,16.0,14.0,24.0,15.0,14.0,0.0,7.0,4.0,24.0,84.0,1.0,,8402,5.0,117.0,,14.0,135.0,13.0,52.0,,3.0,5.0,4.0,8.0,8.0,8.0,1.0,60.0,275.0,4.0,6.0,,37.0,97.0,1.0,1.0,0.0,1.0,11.0,2.0,2.0,6.0,1.0,0.0,6.0,1.0,47.1,15.0,1.0,3.0,2.0,5.0,7.0,1.0,54.0,5.0,,369.0,11.0,,11.0,15.0,5.0,29.0,1.0,2.0,259.0,9.0,6.0,21.0,75.0,20.0,3.0,7.0,13.0,2.0,14.0,3.0,8.0,3.0,5.0,1.0,1.0,,4.0,1.0,,,3.0,,,,1.0,1.0,,,,,,2.0,1.0,,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0
34,321991,2011-04-23 17:30:00,"Stamford Bridge, London",41656.0,Away,West Ham United,Chelsea,0,3,L,0,1,0,0,63.0,4.0,21.0,31.0,8.0,3.0,5.0,113.0,5.0,8.0,3.0,16.0,1.0,6.0,57.0,140.0,42.0,,18.0,1.0,11.0,3.0,,1.0,22.0,9.0,19.0,6.0,7.0,19.0,105.0,2.0,0.0,81.0,13.0,3.0,,3.0,,44.0,21.0,10.0,40.0,1.0,3.0,16.0,,7.0,4.0,128.0,3.0,15.0,56.0,483.0,12.0,11.0,15.0,34.0,7.0,15.0,2.0,5.0,6.0,23.0,61.0,1.0,1.0,8402,6.0,97.0,3.0,6.0,112.0,10.0,49.0,,2.0,1.0,6.0,13.0,5.0,6.0,1.0,45.0,197.0,7.0,7.0,4.0,25.0,68.0,1.0,1.0,0.0,2.0,5.0,4.0,3.0,5.0,,0.0,3.0,3.0,32.5,20.0,2.0,3.0,3.0,6.0,5.0,2.0,35.0,7.0,,266.0,9.0,,13.0,10.0,7.0,19.0,2.0,3.0,176.0,10.0,6.0,9.0,46.0,14.0,3.0,9.0,18.0,2.0,12.0,3.0,14.0,3.0,7.0,,,,3.0,,,3.0,3.0,,,,1.0,1.0,2.0,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,3.0,3.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
35,322003,2011-05-01 16:10:00,"Etihad Stadium, Manchester",44511.0,Away,West Ham United,Manchester City,1,2,L,1,2,0,0,50.0,1.0,27.0,24.0,3.0,,1.0,145.0,4.0,,1.0,7.0,,3.0,92.0,166.0,38.0,,9.0,2.0,6.0,2.0,1.0,1.0,15.0,12.0,15.0,4.0,5.0,36.0,132.0,,0.0,114.0,8.0,,,2.0,,51.0,37.0,5.0,50.0,,1.0,11.0,,5.0,2.0,157.0,2.0,7.0,85.0,550.0,6.0,8.0,11.0,22.0,6.0,13.0,1.0,5.0,2.0,21.0,84.0,1.0,,8402,3.0,147.0,2.0,4.0,174.0,10.0,38.0,,2.0,2.0,4.0,16.0,14.0,4.0,1.0,61.0,275.0,13.0,6.0,1.0,34.0,77.0,,,0.0,2.0,9.0,1.0,2.0,3.0,,0.0,1.0,1.0,40.2,17.0,,1.0,1.0,4.0,3.0,1.0,30.0,5.0,,372.0,8.0,,15.0,13.0,3.0,17.0,3.0,1.0,213.0,8.0,4.0,8.0,61.0,19.0,1.0,8.0,17.0,1.0,7.0,3.0,4.0,1.0,5.0,,1.0,,6.0,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,
36,322015,2011-05-07 15:00:00,"Boleyn Ground, London",33789.0,Home,West Ham United,Blackburn Rovers,1,1,D,0,1,0,0,53.0,5.0,45.0,43.0,15.0,8.0,2.0,139.0,9.0,1.0,6.0,18.0,1.0,5.0,88.0,175.0,56.0,2.0,27.0,7.0,12.0,2.0,,6.0,36.0,12.0,21.0,7.0,17.0,31.0,187.0,1.0,0.0,151.0,9.0,1.0,1.0,4.0,1.0,63.0,42.0,12.0,48.0,,3.0,29.0,2.0,7.0,5.0,153.0,2.0,4.0,75.0,596.0,13.0,11.0,12.0,22.0,11.0,29.0,3.0,1.0,6.0,34.0,84.0,,1.0,8402,9.0,101.0,2.0,18.0,111.0,9.0,48.0,,1.0,6.0,9.0,14.0,6.0,4.0,,67.0,279.0,14.0,5.0,4.0,28.0,75.0,3.0,,0.0,1.0,3.0,1.0,1.0,3.0,,0.0,6.0,5.0,62.1,28.0,4.0,1.0,,9.0,12.0,,54.0,7.0,1.0,350.0,11.0,,19.0,18.0,10.0,39.0,3.0,5.0,275.0,13.0,16.0,26.0,102.0,15.0,2.0,16.0,15.0,1.0,13.0,3.0,5.0,2.0,7.0,1.0,,1.0,1.0,1.0,,1.0,2.0,,1.0,,,2.0,4.0,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,
37,322026,2011-05-15 16:00:00,"DW Stadium, Wigan",22043.0,Away,West Ham United,Wigan Athletic,2,3,L,2,0,0,0,65.0,4.0,23.0,35.0,6.0,8.0,5.0,129.0,5.0,7.0,3.0,15.0,,9.0,63.0,147.0,45.0,1.0,19.0,2.0,6.0,6.0,4.0,3.0,19.0,19.0,21.0,5.0,8.0,12.0,137.0,,0.0,107.0,10.0,5.0,4.0,3.0,3.0,40.0,37.0,12.0,43.0,6.0,1.0,14.0,1.0,4.0,3.0,133.0,4.0,15.0,61.0,534.0,11.0,9.0,17.0,32.0,7.0,18.0,2.0,8.0,3.0,16.0,61.0,2.0,1.0,8402,6.0,93.0,2.0,7.0,107.0,17.0,48.0,,6.0,2.0,12.0,12.0,14.0,8.0,,51.0,225.0,7.0,15.0,2.0,31.0,77.0,,3.0,0.0,3.0,10.0,7.0,3.0,4.0,,0.0,4.0,2.0,41.3,12.0,,,1.0,12.0,6.0,,41.0,5.0,4.0,296.0,15.0,,7.0,6.0,4.0,21.0,1.0,1.0,208.0,8.0,7.0,8.0,68.0,17.0,1.0,9.0,23.0,2.0,10.0,3.0,17.0,1.0,5.0,2.0,2.0,,2.0,2.0,,1.0,1.0,,,,1.0,1.0,2.0,,1.0,,,2.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,2.0,,,2.0,2.0,2.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,
38,322035,2011-05-22 16:00:00,"Boleyn Ground, London",32792.0,Home,West Ham United,Sunderland,0,3,L,0,1,0,0,64.0,1.0,25.0,17.0,11.0,7.0,5.0,164.0,6.0,4.0,6.0,10.0,,9.0,108.0,158.0,42.0,4.0,19.0,3.0,12.0,4.0,2.0,2.0,28.0,14.0,10.0,4.0,21.0,31.0,187.0,1.0,0.0,149.0,9.0,6.0,4.0,2.0,1.0,62.0,70.0,7.0,68.0,,2.0,24.0,4.0,7.0,4.0,151.0,2.0,10.0,91.0,657.0,9.0,11.0,10.0,27.0,9.0,8.0,0.0,3.0,3.0,24.0,77.0,1.0,1.0,98465,4.0,173.0,2.0,15.0,184.0,6.0,60.0,,2.0,4.0,14.0,13.0,10.0,5.0,,45.0,354.0,7.0,8.0,1.0,19.0,74.0,,1.0,0.0,1.0,6.0,4.0,3.0,3.0,,0.0,6.0,2.0,51.2,23.0,1.0,3.0,,15.0,4.0,,48.0,4.0,1.0,431.0,7.0,,20.0,18.0,6.0,29.0,,2.0,275.0,10.0,19.0,10.0,97.0,16.0,,4.0,21.0,2.0,12.0,3.0,15.0,,4.0,3.0,,,5.0,,,2.0,5.0,,,,1.0,,1.0,,,,,3.0,,1.0,,,,,,,,,,,,,,,,1.0,4.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,
