gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,postScoringAtt,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,attemptsConcededIbox,attPostLeft,leftsidePass,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,possWonDef3rd,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,totalPullBack,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,bigChanceScored,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attLfGoal,attGoalLowCentre,accuratePullBack,attCmissRight,attObxLeft,shotFastbreak,attBxRight,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,cleanSheet,penaltyWon,totalFastbreak,midfielderGoals,attSvLowLeft,bigChanceCreated,attMissHighLeft,accurateLaunches,goalAssist,totalKeeperSweeper,accurateThroughBall,bigChanceMissed,attRfGoal,goalsOpenplay,attPenGoal,attFastbreak,attCmissLeft,accurateFlickOn,goalAssistIntentional,attSvHighCentre,attFreekickMiss,forwardGoals,attHdGoal,errorLeadToShot,attCmissHigh,punches,attGoalHighRight,defenderGoals,errorLeadToGoal,attPenPost,attOboxGoal,attLgCentre,attHdTarget,attGoalHighLeft,attPostHigh,penaltySave,accurateFreekickCross,penaltyConceded,attCmissHighLeft,penaltyFaced,goalsConcededObox,foulThrowIn,attPenTarget,shieldBallOop,attFreekickPost,attOboxPost,goalFastbreak,attPostRight,penGoalsConceded,ownGoals,attIboxOwnGoal,attFreekickGoal,attGoalHighCentre,attPenMiss,attHdPost,attObxdRight,attCmissHighRight
11,321757,2010-11-07 13:30:00,"Emirates Stadium, London",60059,Home,Arsenal,Newcastle United,0,1,L,0,1,1,0,1.0,,69.0,1.0,2.0,23.0,8.0,4.0,,2.0,181.0,4.0,7.0,,4.0,9.0,3.0,140.0,172.0,57.0,1.0,11.0,4.0,20.0,3.0,1.0,,32.0,1.0,21.0,,4.0,11.0,21.0,32.0,239.0,1.0,1.0,0.0,176.0,16.0,,,3.0,3.0,63.0,75.0,7.0,41.0,,,21.0,1.0,7.0,,,167.0,4.0,,150.0,734.0,9.0,3.0,2.0,20.0,25.0,5.0,2.0,1.0,2.0,26.0,69.0,8597,3.0,183.0,11.0,,,199.0,1.0,7.0,58.0,8.0,4.0,12.0,18.0,3.0,5.0,,38.0,418.0,12.0,5.0,,12.0,74.0,1.0,0.0,,3.0,2.0,,,1.0,1.0,3.0,1.0,57.6,26.0,,4.0,,12.0,6.0,,50.0,12.0,3.0,512.0,17.0,9.0,13.0,2.0,35.0,1.0,1.0,345.0,10.0,18.0,6.0,119.0,27.0,1.0,3.0,32.0,1.0,6.0,3.0,16.0,2.0,12.0,,,,,,,,1.0,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,,1.0,,,,,,,,,1.0,,,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,
12,321771,2010-11-10 19:45:00,"Molineux Stadium, Wolverhampton",27329,Away,Arsenal,Wolverhampton Wanderers,2,0,W,1,0,0,0,,1.0,60.0,3.0,1.0,9.0,47.0,8.0,3.0,2.0,171.0,1.0,4.0,2.0,1.0,10.0,5.0,103.0,163.0,53.0,1.0,14.0,3.0,13.0,3.0,1.0,1.0,13.0,,16.0,,28.0,2.0,37.0,23.0,180.0,2.0,,0.0,111.0,14.0,3.0,,,,30.0,56.0,5.0,60.0,2.0,1.0,11.0,1.0,4.0,3.0,,144.0,9.0,,106.0,672.0,8.0,9.0,2.0,17.0,22.0,22.0,2.0,6.0,5.0,31.0,49.0,8597,6.0,165.0,7.0,,,200.0,,7.0,46.0,11.0,2.0,11.0,12.0,9.0,2.0,,34.0,344.0,7.0,7.0,,25.0,82.0,,0.0,,,5.0,,1.0,,0.0,1.0,1.0,48.0,26.0,,3.0,,11.0,4.0,,43.0,3.0,,440.0,12.0,5.0,10.0,5.0,15.0,,1.0,253.0,10.0,31.0,17.0,77.0,20.0,2.0,12.0,25.0,,12.0,3.0,11.0,2.0,3.0,2.0,1.0,,,,,1.0,,1.0,,2.0,,1.0,2.0,3.0,1.0,,3.0,,,4.0,,2.0,2.0,1.0,3.0,5.0,1.0,2.0,,2.0,,2.0,2.0,,,2.0,1.0,1.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,
13,321779,2010-11-14 14:00:00,"Goodison Park, Liverpool",36279,Away,Arsenal,Everton,2,1,W,1,0,0,0,,2.0,71.0,3.0,2.0,18.0,41.0,7.0,5.0,1.0,186.0,1.0,8.0,2.0,2.0,11.0,5.0,109.0,175.0,57.0,1.0,13.0,1.0,16.0,1.0,,2.0,6.0,,17.0,2.0,13.0,2.0,17.0,27.0,189.0,,,0.0,132.0,14.0,4.0,1.0,,1.0,39.0,85.0,7.0,56.0,1.0,,4.0,1.0,1.0,4.0,,147.0,9.0,,101.0,663.0,8.0,5.0,,18.0,31.0,23.0,2.0,6.0,4.0,20.0,78.0,8597,3.0,166.0,3.0,,,189.0,1.0,11.0,69.0,4.0,1.0,9.0,7.0,10.0,4.0,2.0,49.0,354.0,15.0,15.0,1.0,27.0,83.0,1.0,0.0,,,9.0,2.0,2.0,1.0,0.0,1.0,,51.2,15.0,,,,9.0,3.0,,38.0,2.0,1.0,452.0,16.0,16.0,12.0,5.0,15.0,,1.0,269.0,8.0,17.0,15.0,81.0,26.0,2.0,6.0,19.0,1.0,12.0,3.0,16.0,2.0,2.0,,1.0,,,,,,,,,1.0,2.0,,2.0,,,,1.0,1.0,1.0,1.0,1.0,4.0,2.0,,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
14,321787,2010-11-20 12:45:00,"Emirates Stadium, London",60102,Home,Arsenal,Tottenham Hotspur,2,3,L,2,0,0,0,1.0,,66.0,1.0,2.0,23.0,23.0,6.0,1.0,2.0,188.0,7.0,7.0,2.0,3.0,11.0,4.0,140.0,163.0,57.0,1.0,15.0,4.0,16.0,,,1.0,25.0,,12.0,2.0,15.0,2.0,18.0,21.0,235.0,1.0,,0.0,178.0,19.0,1.0,,3.0,,67.0,72.0,7.0,63.0,3.0,,23.0,1.0,9.0,,,154.0,8.0,,122.0,709.0,8.0,7.0,,24.0,32.0,12.0,3.0,1.0,4.0,16.0,71.0,8597,5.0,188.0,11.0,,1.0,202.0,1.0,7.0,59.0,12.0,5.0,3.0,10.0,5.0,1.0,2.0,48.0,416.0,16.0,9.0,1.0,28.0,93.0,1.0,0.0,,1.0,6.0,1.0,2.0,3.0,0.0,6.0,2.0,60.4,15.0,2.0,,1.0,3.0,6.0,,50.0,2.0,,513.0,19.0,13.0,13.0,5.0,31.0,1.0,5.0,336.0,10.0,16.0,20.0,121.0,26.0,3.0,6.0,14.0,3.0,11.0,3.0,10.0,4.0,2.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,2.0,2.0,,,,,1.0,1.0,3.0,1.0,6.0,2.0,2.0,5.0,2.0,1.0,2.0,,,,3.0,2.0,,,1.0,,,1.0,2.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,
15,321797,2010-11-27 12:45:00,"Villa Park, Birmingham",38544,Away,Arsenal,Aston Villa,4,2,W,2,0,0,0,,,72.0,,2.0,30.0,32.0,5.0,5.0,2.0,222.0,5.0,19.0,4.0,,19.0,7.0,155.0,181.0,78.0,,20.0,2.0,23.0,3.0,,3.0,20.0,,24.0,,21.0,7.0,27.0,28.0,327.0,2.0,,0.0,210.0,7.0,,,,,75.0,88.0,11.0,65.0,,3.0,13.0,,4.0,3.0,,170.0,7.0,,149.0,850.0,15.0,9.0,,21.0,24.0,18.0,1.0,1.0,8.0,24.0,70.0,8597,9.0,171.0,9.0,,,188.0,2.0,5.0,68.0,9.0,3.0,3.0,12.0,1.0,1.0,,48.0,493.0,10.0,4.0,,26.0,88.0,,0.0,,1.0,3.0,2.0,4.0,2.0,0.0,4.0,4.0,59.3,21.0,2.0,2.0,3.0,3.0,4.0,,54.0,8.0,,591.0,16.0,23.0,20.0,9.0,28.0,1.0,6.0,423.0,11.0,25.0,21.0,163.0,36.0,4.0,12.0,28.0,1.0,17.0,3.0,30.0,4.0,8.0,2.0,1.0,3.0,1.0,1.0,,,2.0,3.0,,1.0,1.0,1.0,3.0,1.0,,,1.0,3.0,2.0,4.0,1.0,9.0,4.0,1.0,5.0,2.0,3.0,3.0,,1.0,2.0,4.0,3.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,
16,321807,2010-12-04 15:00:00,"Emirates Stadium, London",60049,Home,Arsenal,Fulham,2,1,W,1,1,0,0,,1.0,82.0,1.0,1.0,13.0,34.0,3.0,4.0,2.0,209.0,7.0,17.0,2.0,3.0,12.0,7.0,124.0,197.0,62.0,,16.0,2.0,14.0,4.0,,3.0,20.0,,16.0,1.0,15.0,3.0,20.0,19.0,208.0,1.0,,0.0,138.0,7.0,2.0,,2.0,2.0,63.0,79.0,7.0,52.0,1.0,1.0,17.0,,4.0,,,178.0,8.0,,119.0,737.0,8.0,15.0,,24.0,26.0,24.0,0.0,5.0,5.0,21.0,63.0,8597,9.0,185.0,11.0,,2.0,208.0,2.0,9.0,48.0,7.0,2.0,5.0,10.0,6.0,3.0,1.0,36.0,386.0,5.0,4.0,2.0,26.0,102.0,1.0,0.0,,3.0,7.0,2.0,2.0,1.0,0.0,5.0,3.0,54.4,18.0,1.0,7.0,1.0,5.0,3.0,1.0,50.0,3.0,2.0,504.0,19.0,18.0,6.0,6.0,21.0,2.0,6.0,316.0,9.0,18.0,20.0,88.0,41.0,2.0,9.0,20.0,1.0,13.0,3.0,22.0,2.0,3.0,,,,,,1.0,1.0,,,,1.0,2.0,2.0,2.0,2.0,,,1.0,2.0,,3.0,,4.0,2.0,2.0,2.0,4.0,1.0,2.0,,1.0,1.0,3.0,2.0,2.0,,,,,,2.0,1.0,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,
17,321821,2010-12-13 20:00:00,"Old Trafford, Manchester",75227,Away,Arsenal,Manchester United,0,1,L,0,1,0,0,1.0,2.0,89.0,4.0,,27.0,33.0,6.0,3.0,1.0,200.0,5.0,13.0,,,9.0,5.0,119.0,200.0,57.0,,11.0,1.0,18.0,4.0,,4.0,28.0,,15.0,1.0,18.0,3.0,24.0,19.0,241.0,,,0.0,165.0,17.0,2.0,,,3.0,59.0,76.0,4.0,63.0,3.0,,25.0,,7.0,4.0,,185.0,7.0,,117.0,737.0,8.0,11.0,,26.0,38.0,19.0,4.0,6.0,5.0,20.0,64.0,8597,2.0,154.0,18.0,,1.0,189.0,,6.0,71.0,3.0,,9.0,12.0,10.0,,1.0,46.0,390.0,8.0,10.0,1.0,30.0,85.0,2.0,0.0,,2.0,5.0,1.0,,1.0,0.0,5.0,2.0,53.9,14.0,,3.0,1.0,9.0,1.0,,50.0,4.0,3.0,499.0,21.0,23.0,12.0,5.0,15.0,,1.0,338.0,6.0,21.0,16.0,123.0,35.0,2.0,8.0,20.0,1.0,10.0,3.0,17.0,2.0,4.0,,,,,,,,,,,,1.0,3.0,,2.0,,,,,1.0,,,7.0,,3.0,,1.0,,,,,2.0,6.0,,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
18,321827,2011-02-23 19:45:00,"Emirates Stadium, London",60041,Home,Arsenal,Stoke City,1,0,W,1,0,0,0,,1.0,66.0,1.0,,27.0,24.0,4.0,2.0,2.0,194.0,2.0,10.0,1.0,4.0,8.0,4.0,184.0,155.0,57.0,1.0,10.0,1.0,19.0,1.0,1.0,1.0,12.0,1.0,15.0,2.0,15.0,3.0,40.0,30.0,334.0,1.0,,0.0,188.0,8.0,1.0,,1.0,,84.0,70.0,4.0,77.0,,2.0,9.0,1.0,1.0,1.0,,146.0,2.0,1.0,202.0,840.0,6.0,5.0,1.0,8.0,30.0,13.0,1.0,4.0,4.0,22.0,81.0,8597,4.0,234.0,7.0,,,257.0,1.0,6.0,47.0,14.0,3.0,5.0,12.0,6.0,2.0,,47.0,566.0,9.0,1.0,1.0,16.0,73.0,1.0,0.0,,3.0,3.0,,1.0,,0.0,1.0,2.0,69.9,18.0,1.0,2.0,,5.0,1.0,,44.0,5.0,,657.0,6.0,11.0,16.0,5.0,19.0,1.0,3.0,412.0,6.0,40.0,17.0,139.0,28.0,1.0,6.0,21.0,,7.0,3.0,18.0,1.0,5.0,1.0,,,1.0,,,1.0,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,5.0,,4.0,1.0,,2.0,4.0,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
19,321837,2010-12-27 20:00:00,"Emirates Stadium, London",60112,Home,Arsenal,Chelsea,3,1,W,1,0,0,0,,,62.0,,1.0,21.0,30.0,4.0,3.0,3.0,158.0,1.0,13.0,3.0,4.0,7.0,6.0,144.0,166.0,70.0,1.0,10.0,1.0,11.0,1.0,,1.0,18.0,,23.0,2.0,13.0,4.0,13.0,27.0,278.0,,,0.0,208.0,13.0,,1.0,3.0,1.0,84.0,73.0,6.0,68.0,,,14.0,1.0,3.0,1.0,,149.0,5.0,,158.0,763.0,3.0,7.0,,23.0,22.0,17.0,2.0,4.0,1.0,14.0,69.0,8597,4.0,178.0,8.0,,,189.0,1.0,7.0,64.0,11.0,5.0,12.0,13.0,7.0,2.0,1.0,38.0,455.0,16.0,8.0,1.0,21.0,74.0,1.0,0.0,1.0,1.0,6.0,,3.0,1.0,0.0,1.0,,55.1,11.0,,5.0,2.0,12.0,2.0,,46.0,4.0,1.0,528.0,14.0,22.0,13.0,2.0,18.0,,1.0,357.0,7.0,13.0,12.0,163.0,20.0,3.0,7.0,29.0,1.0,8.0,3.0,23.0,3.0,4.0,2.0,1.0,1.0,,,1.0,1.0,,,,,,2.0,3.0,1.0,,,,3.0,,4.0,,6.0,3.0,2.0,3.0,3.0,2.0,3.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
20,321856,2010-12-29 19:45:00,"DW Stadium, Wigan",17014,Away,Arsenal,Wigan Athletic,2,2,D,2,1,0,1,,1.0,63.0,2.0,2.0,20.0,24.0,5.0,5.0,2.0,208.0,4.0,8.0,2.0,4.0,13.0,6.0,166.0,165.0,74.0,2.0,17.0,3.0,10.0,3.0,,1.0,12.0,,28.0,1.0,14.0,4.0,25.0,31.0,320.0,,,0.0,185.0,11.0,3.0,,,,59.0,76.0,8.0,67.0,1.0,4.0,8.0,2.0,5.0,1.0,,155.0,6.0,,164.0,827.0,9.0,10.0,,18.0,14.0,7.0,0.0,1.0,5.0,23.0,79.0,8597,10.0,198.0,3.0,,1.0,219.0,1.0,4.0,75.0,4.0,,7.0,13.0,3.0,1.0,1.0,34.0,514.0,17.0,20.0,3.0,18.0,80.0,1.0,0.0,,2.0,3.0,2.0,2.0,2.0,0.0,2.0,3.0,60.7,19.0,2.0,3.0,,7.0,5.0,,51.0,4.0,,605.0,14.0,21.0,15.0,6.0,17.0,2.0,5.0,398.0,8.0,20.0,11.0,131.0,37.0,1.0,5.0,38.0,2.0,10.0,3.0,21.0,1.0,4.0,1.0,,2.0,,,,,1.0,2.0,,,1.0,5.0,1.0,2.0,,,,1.0,1.0,2.0,,5.0,1.0,6.0,1.0,1.0,2.0,2.0,,,1.0,3.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,2.0,,,,,1.0,1.0,1.0,,,,,,
21,321857,2011-01-01 17:30:00,"St. Andrew's Stadium, Birmingham",24341,Away,Arsenal,Birmingham City,3,0,W,1,0,0,0,,3.0,67.0,1.0,,19.0,45.0,5.0,6.0,5.0,174.0,1.0,4.0,3.0,4.0,17.0,11.0,99.0,170.0,41.0,2.0,19.0,1.0,22.0,9.0,,3.0,10.0,,12.0,,28.0,,21.0,23.0,203.0,1.0,,0.0,173.0,9.0,1.0,,1.0,1.0,44.0,49.0,10.0,54.0,,1.0,10.0,2.0,3.0,3.0,,153.0,4.0,,92.0,632.0,15.0,13.0,,12.0,28.0,22.0,1.0,1.0,7.0,25.0,67.0,8597,7.0,127.0,6.0,,1.0,146.0,2.0,5.0,59.0,6.0,,3.0,16.0,3.0,3.0,2.0,48.0,329.0,7.0,1.0,1.0,32.0,91.0,2.0,0.0,,1.0,4.0,,2.0,,0.0,1.0,1.0,49.6,17.0,,2.0,,3.0,1.0,,47.0,5.0,2.0,419.0,11.0,18.0,18.0,7.0,21.0,,4.0,283.0,12.0,19.0,17.0,126.0,25.0,1.0,15.0,13.0,,14.0,2.0,13.0,1.0,5.0,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,5.0,1.0,1.0,4.0,1.0,,1.0,1.0,3.0,4.0,,8.0,1.0,1.0,5.0,4.0,1.0,1.0,,1.0,,6.0,,,,1.0,,,2.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
22,321867,2011-01-05 19:45:00,"Emirates Stadium, London",60085,Home,Arsenal,Manchester City,0,0,D,0,0,1,1,,5.0,60.0,,6.0,21.0,15.0,6.0,10.0,,203.0,3.0,14.0,,,14.0,5.0,167.0,167.0,66.0,1.0,16.0,,22.0,1.0,2.0,2.0,22.0,1.0,14.0,4.0,7.0,3.0,23.0,24.0,322.0,,,0.0,225.0,6.0,,1.0,,,70.0,85.0,9.0,54.0,1.0,1.0,19.0,1.0,5.0,1.0,,159.0,4.0,2.0,160.0,792.0,14.0,5.0,2.0,24.0,24.0,5.0,0.0,,5.0,25.0,74.0,8597,4.0,171.0,13.0,1.0,1.0,191.0,1.0,5.0,58.0,8.0,3.0,5.0,9.0,1.0,1.0,,43.0,490.0,13.0,7.0,,18.0,80.0,,0.0,1.0,2.0,2.0,,,,1.0,3.0,,61.4,20.0,,3.0,2.0,5.0,6.0,,48.0,7.0,,584.0,22.0,15.0,11.0,5.0,22.0,,2.0,415.0,6.0,22.0,13.0,174.0,26.0,2.0,2.0,26.0,,,2.0,22.0,2.0,7.0,,,,,,,,,,,,2.0,4.0,,2.0,1.0,,,,1.0,,,1.0,,4.0,1.0,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
23,321885,2011-01-15 17:30:00,"Boleyn Ground, London",32682,Away,Arsenal,West Ham United,3,0,W,2,0,0,0,1.0,4.0,77.0,2.0,1.0,34.0,31.0,9.0,11.0,4.0,194.0,,13.0,3.0,4.0,14.0,11.0,177.0,166.0,61.0,3.0,21.0,2.0,11.0,5.0,1.0,4.0,18.0,1.0,16.0,3.0,14.0,5.0,27.0,39.0,326.0,,,0.0,197.0,8.0,,1.0,1.0,,73.0,89.0,10.0,71.0,,1.0,13.0,3.0,3.0,4.0,,149.0,4.0,,177.0,849.0,11.0,5.0,1.0,16.0,31.0,18.0,0.0,4.0,4.0,21.0,61.0,77818,7.0,205.0,9.0,,,228.0,1.0,7.0,46.0,11.0,2.0,10.0,10.0,5.0,5.0,1.0,51.0,531.0,9.0,5.0,1.0,15.0,72.0,3.0,0.0,1.0,4.0,4.0,1.0,3.0,,0.0,,,69.6,19.0,,6.0,1.0,10.0,3.0,,50.0,10.0,,619.0,15.0,14.0,23.0,7.0,30.0,,2.0,409.0,10.0,23.0,13.0,149.0,29.0,1.0,8.0,26.0,,15.0,3.0,22.0,1.0,10.0,2.0,1.0,1.0,,,2.0,,1.0,,,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,,2.0,,2.0,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,
24,321887,2011-01-22 15:00:00,"Emirates Stadium, London",59552,Home,Arsenal,Wigan Athletic,3,0,W,1,0,0,1,1.0,2.0,63.0,,2.0,21.0,10.0,10.0,11.0,5.0,184.0,1.0,6.0,3.0,6.0,15.0,10.0,167.0,145.0,47.0,2.0,24.0,3.0,6.0,5.0,1.0,1.0,23.0,,18.0,2.0,6.0,6.0,24.0,30.0,306.0,1.0,,0.0,202.0,7.0,,,1.0,1.0,63.0,76.0,10.0,66.0,,4.0,17.0,2.0,1.0,4.0,,141.0,2.0,1.0,179.0,778.0,12.0,3.0,1.0,13.0,23.0,5.0,0.0,1.0,5.0,21.0,58.0,77818,9.0,217.0,15.0,,,235.0,3.0,5.0,40.0,16.0,4.0,7.0,10.0,1.0,3.0,1.0,36.0,522.0,14.0,4.0,,13.0,75.0,2.0,0.0,1.0,2.0,1.0,,3.0,,0.0,1.0,,62.4,18.0,,4.0,2.0,7.0,5.0,,56.0,8.0,1.0,596.0,12.0,13.0,20.0,9.0,28.0,,4.0,384.0,13.0,24.0,9.0,159.0,29.0,1.0,1.0,18.0,,19.0,3.0,17.0,1.0,8.0,1.0,1.0,,,,2.0,,2.0,,,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0,,1.0,,2.0,3.0,1.0,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,1.0,1.0,,,
25,321897,2011-02-01 19:45:00,"Emirates Stadium, London",60014,Home,Arsenal,Everton,2,1,W,0,1,0,0,,2.0,56.0,,,14.0,33.0,7.0,5.0,2.0,175.0,5.0,11.0,2.0,3.0,14.0,6.0,120.0,150.0,63.0,2.0,18.0,3.0,13.0,2.0,,7.0,13.0,,18.0,2.0,17.0,4.0,13.0,15.0,218.0,1.0,1.0,0.0,138.0,13.0,1.0,,1.0,,38.0,65.0,5.0,43.0,,,9.0,2.0,3.0,2.0,,134.0,4.0,,129.0,694.0,10.0,9.0,,17.0,20.0,20.0,3.0,3.0,9.0,24.0,52.0,8597,8.0,175.0,5.0,,,191.0,1.0,8.0,55.0,10.0,1.0,7.0,17.0,4.0,4.0,,29.0,388.0,14.0,8.0,3.0,14.0,78.0,3.0,0.0,1.0,3.0,7.0,2.0,2.0,1.0,0.0,1.0,4.0,58.1,23.0,3.0,6.0,1.0,7.0,3.0,,53.0,5.0,,467.0,14.0,12.0,8.0,9.0,17.0,4.0,7.0,289.0,9.0,12.0,14.0,95.0,22.0,4.0,9.0,24.0,1.0,11.0,3.0,20.0,4.0,5.0,2.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,2.0,1.0,4.0,1.0,,2.0,1.0,1.0,1.0,,,,2.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,321911,2011-02-05 15:00:00,"St. James' Park, Newcastle",51561,Away,Arsenal,Newcastle United,4,4,D,4,0,1,0,,2.0,58.0,1.0,1.0,12.0,34.0,4.0,5.0,1.0,159.0,3.0,11.0,4.0,4.0,11.0,7.0,96.0,143.0,50.0,,13.0,2.0,20.0,2.0,,,11.0,,11.0,1.0,18.0,2.0,17.0,23.0,134.0,,,0.0,112.0,15.0,4.0,,4.0,2.0,31.0,44.0,9.0,53.0,,1.0,9.0,,,1.0,,127.0,18.0,,92.0,585.0,7.0,6.0,,17.0,23.0,13.0,3.0,5.0,2.0,11.0,45.0,8597,6.0,188.0,5.0,,1.0,213.0,1.0,13.0,60.0,11.0,5.0,3.0,5.0,6.0,6.0,2.0,39.0,319.0,13.0,9.0,,18.0,64.0,,0.0,,3.0,12.0,4.0,4.0,4.0,1.0,3.0,2.0,51.5,9.0,,1.0,2.0,3.0,3.0,,26.0,6.0,2.0,400.0,15.0,8.0,13.0,3.0,13.0,,2.0,198.0,6.0,17.0,12.0,76.0,26.0,4.0,7.0,14.0,3.0,12.0,3.0,19.0,4.0,6.0,3.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,2.0,,1.0,3.0,1.0,,,2.0,1.0,2.0,3.0,,1.0,4.0,1.0,2.0,1.0,2.0,3.0,,2.0,,2.0,4.0,,,2.0,2.0,,,1.0,,1.0,,,,,,1.0,,,2.0,2.0,,2.0,1.0,,,2.0,,,,,2.0,,,,,,,,
27,321917,2011-02-12 15:00:00,"Emirates Stadium, London",60050,Home,Arsenal,Wolverhampton Wanderers,2,0,W,1,0,0,0,,1.0,69.0,,3.0,25.0,28.0,6.0,7.0,5.0,156.0,6.0,11.0,2.0,3.0,18.0,8.0,132.0,137.0,50.0,1.0,21.0,,4.0,4.0,,4.0,20.0,,13.0,2.0,20.0,3.0,22.0,32.0,214.0,1.0,,0.0,135.0,15.0,,,1.0,1.0,42.0,59.0,10.0,52.0,1.0,3.0,17.0,1.0,5.0,4.0,,129.0,2.0,,136.0,674.0,14.0,7.0,,16.0,39.0,20.0,0.0,2.0,8.0,16.0,55.0,59936,9.0,190.0,11.0,,1.0,209.0,5.0,4.0,43.0,9.0,2.0,6.0,13.0,2.0,3.0,1.0,43.0,398.0,9.0,11.0,2.0,18.0,71.0,4.0,0.0,,5.0,6.0,,2.0,,0.0,5.0,,50.1,14.0,,2.0,3.0,6.0,3.0,,44.0,3.0,1.0,476.0,15.0,8.0,19.0,10.0,27.0,1.0,6.0,287.0,13.0,21.0,13.0,94.0,22.0,3.0,15.0,17.0,,18.0,3.0,16.0,3.0,3.0,1.0,1.0,1.0,,,1.0,,2.0,1.0,,5.0,,1.0,2.0,1.0,1.0,,6.0,,1.0,6.0,1.0,5.0,2.0,1.0,3.0,6.0,1.0,2.0,,5.0,1.0,3.0,2.0,,1.0,2.0,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,
