matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
855396,23,2017-01-31 19:45:00,"Riverside Stadium, Middlesbrough",27316,Home,Boro,West Brom,1,1,D,1,1,0,0,1.0,11.0,3.0,3.0,5.0,,1.0,,,,5.0,3.0,37.0,65.0,482.0,384.0,61.7,18.0,22.0,20.0,12.0,35.0,35.0,15.0,5.0,,,6.0,12.0,151.0,4.0,1.0,,66.0,49.0,20.0,16.0,4.0,4.0,3.0,12.0,13.0,0.0,0.0,1.0,1.0,
855409,24,2017-02-04 17:30:00,"White Hart Lane, London",31949,Away,Boro,Spurs,0,1,L,0,0,0,0,,8.0,,5.0,3.0,1.0,,1.0,,,6.0,2.0,24.0,52.0,315.0,216.0,34.8,11.0,31.0,25.0,11.0,47.0,47.0,10.0,6.0,,,6.0,10.0,147.0,4.0,1.0,,68.0,55.0,22.0,19.0,2.0,2.0,1.0,11.0,7.0,0.0,0.0,,,1.0
855417,25,2017-02-11 15:00:00,"Riverside Stadium, Middlesbrough",31496,Home,Boro,Everton,0,0,D,0,0,0,0,,9.0,3.0,4.0,2.0,,,,,,8.0,4.0,25.0,69.0,470.0,344.0,45.9,18.0,26.0,24.0,11.0,18.0,18.0,21.0,1.0,,,7.0,20.0,181.0,3.0,,1.0,74.0,67.0,25.0,23.0,5.0,5.0,1.0,14.0,9.0,0.0,0.0,,,
855423,26,2017-02-25 15:00:00,"Selhurst Park, London",25416,Away,Boro,Crystal Palace,0,1,L,0,1,0,0,,11.0,4.0,6.0,1.0,1.0,,1.0,,,8.0,3.0,24.0,56.0,430.0,327.0,54.4,17.0,24.0,17.0,12.0,30.0,30.0,11.0,5.0,,,13.0,9.0,143.0,2.0,1.0,,66.0,62.0,21.0,22.0,2.0,2.0,1.0,15.0,9.0,0.0,0.0,,,
855435,27,2017-03-04 15:00:00,"bet365 Stadium, Stoke",27644,Away,Boro,Stoke,0,2,L,0,2,0,0,,8.0,2.0,3.0,3.0,,,,,,8.0,5.0,23.0,70.0,369.0,277.0,45.2,18.0,23.0,15.0,12.0,27.0,27.0,10.0,1.0,,,24.0,10.0,147.0,5.0,2.0,,69.0,78.0,18.0,21.0,1.0,1.0,1.0,20.0,15.0,0.0,0.0,,,4.0
855450,28,2017-04-26 19:45:00,"Riverside Stadium, Middlesbrough",30742,Home,Boro,Sunderland,1,0,W,1,0,0,0,1.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,27.0,55.0,397.0,282.0,48.9,8.0,13.0,8.0,14.0,32.0,32.0,16.0,2.0,,,9.0,12.0,168.0,4.0,,1.0,55.0,77.0,28.0,39.0,3.0,3.0,,15.0,10.0,0.0,0.0,,,1.0
855456,29,2017-03-19 12:00:00,"Riverside Stadium, Middlesbrough",32689,Home,Boro,Man Utd,1,3,L,0,1,0,0,1.0,10.0,3.0,4.0,3.0,,1.0,,,,7.0,5.0,49.0,74.0,555.0,460.0,63.9,27.0,16.0,12.0,11.0,11.0,11.0,13.0,4.0,,1.0,12.0,12.0,148.0,3.0,3.0,,57.0,57.0,19.0,22.0,8.0,8.0,,9.0,8.0,0.0,0.0,,,
855470,30,2017-04-02 13:30:00,"Swansea.com Stadium, Swansea",20354,Away,Boro,Swansea,0,0,D,0,0,0,0,,8.0,1.0,4.0,3.0,1.0,,1.0,,,7.0,4.0,21.0,51.0,358.0,259.0,44.3,13.0,19.0,13.0,13.0,35.0,35.0,9.0,6.0,,,10.0,5.0,135.0,3.0,,1.0,69.0,54.0,23.0,23.0,3.0,3.0,,16.0,9.0,0.0,0.0,,,
855474,31,2017-04-05 19:45:00,"The MKM Stadium, Hull",20380,Away,Boro,Hull,2,4,L,2,3,0,0,2.0,12.0,4.0,4.0,4.0,2.0,2.0,,1.0,2.0,11.0,7.0,29.0,73.0,433.0,326.0,52.2,17.0,17.0,12.0,17.0,16.0,16.0,11.0,5.0,,,12.0,6.0,154.0,1.0,4.0,,74.0,48.0,35.0,19.0,4.0,4.0,,12.0,12.0,0.0,0.0,,,1.0
855486,32,2017-04-08 15:00:00,"Riverside Stadium, Middlesbrough",29547,Home,Boro,Burnley,0,0,D,0,0,0,0,,13.0,5.0,5.0,3.0,,,,,,8.0,5.0,29.0,66.0,451.0,372.0,57.3,15.0,12.0,10.0,9.0,25.0,25.0,14.0,,,,5.0,13.0,134.0,2.0,,1.0,60.0,45.0,30.0,17.0,4.0,4.0,2.0,9.0,12.0,0.0,0.0,,,2.0
855495,33,2017-04-17 20:00:00,"Riverside Stadium, Middlesbrough",31298,Home,Boro,Arsenal,1,2,L,0,1,0,0,1.0,13.0,5.0,6.0,2.0,2.0,1.0,1.0,,1.0,8.0,5.0,32.0,50.0,308.0,216.0,35.2,23.0,18.0,13.0,14.0,20.0,20.0,15.0,4.0,,,8.0,14.0,148.0,2.0,2.0,,69.0,62.0,24.0,25.0,2.0,2.0,5.0,11.0,15.0,0.0,0.0,,,3.0
855502,34,2017-04-22 15:00:00,"Vitality Stadium, Bournemouth",10890,Away,Boro,Bournemouth,0,4,L,0,2,1,0,,5.0,2.0,3.0,,,,,,,5.0,2.0,12.0,29.0,276.0,215.0,31.9,6.0,20.0,13.0,17.0,31.0,31.0,10.0,3.0,1.0,1.0,14.0,12.0,105.0,6.0,4.0,,45.0,61.0,14.0,12.0,3.0,3.0,,14.0,4.0,0.0,0.0,,,2.0
855515,35,2017-04-30 14:05:00,"Riverside Stadium, Middlesbrough",29763,Home,Boro,Man City,2,2,D,1,0,0,0,2.0,14.0,6.0,6.0,2.0,,1.0,,,1.0,8.0,5.0,23.0,37.0,256.0,174.0,31.9,22.0,15.0,10.0,13.0,46.0,46.0,7.0,7.0,,,14.0,7.0,120.0,2.0,2.0,,48.0,50.0,14.0,17.0,4.0,4.0,4.0,9.0,9.0,0.0,0.0,,,1.0
855525,36,2017-05-08 20:00:00,"Stamford Bridge, London",41500,Away,Boro,Chelsea,0,3,L,0,2,0,0,,2.0,1.0,,1.0,,,,,,1.0,1.0,20.0,59.0,466.0,393.0,42.9,6.0,13.0,9.0,12.0,24.0,24.0,16.0,3.0,,1.0,14.0,6.0,117.0,4.0,3.0,,39.0,53.0,12.0,7.0,1.0,1.0,,21.0,8.0,0.0,0.0,,,2.0
855536,37,2017-05-13 15:00:00,"Riverside Stadium, Middlesbrough",28203,Home,Boro,Southampton,1,2,L,0,1,0,0,1.0,14.0,3.0,5.0,6.0,2.0,1.0,1.0,,1.0,13.0,8.0,34.0,55.0,367.0,281.0,41.8,21.0,11.0,7.0,10.0,14.0,14.0,18.0,4.0,,,5.0,8.0,129.0,2.0,2.0,,51.0,60.0,21.0,27.0,6.0,6.0,2.0,19.0,9.0,0.0,0.0,,,2.0
855547,38,2017-05-21 15:00:00,"Anfield, Liverpool",53191,Away,Boro,Liverpool,0,3,L,0,1,0,0,,9.0,3.0,3.0,3.0,2.0,,2.0,,,5.0,2.0,22.0,61.0,260.0,174.0,26.2,12.0,15.0,9.0,16.0,30.0,30.0,14.0,6.0,,,8.0,10.0,116.0,7.0,3.0,,54.0,40.0,21.0,10.0,3.0,3.0,2.0,8.0,13.0,0.0,0.0,,,
