gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attemptsIbox,saves,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,totalCrossNocorner,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,attMissHighRight,penaltyWon,midfielderGoals,attMissRight,accurateThroughBall,attRfGoal,totalThroughBall,attPenGoal,punches,accurateCornersIntobox,forwardGoals,savedObox,attRfTarget,attFreekickTotal,attOboxTarget,interceptionsInBox,freekickTotal,penaltyConceded,attSvLowRight,attFreekickTarget,foulThrowIn,attBxLeft,penaltyFaced,attLfTarget,attLfTotal,attOboxBlocked,attSvLowLeft,attGoalHighCentre,sixYardBlock,attCmissLeft,cleanSheet,attSvLowCentre,errorLeadToShot,errorLeadToGoal,attLfGoal,attPenPost,shotFastbreak,postScoringAtt,attIboxPost,hitWoodwork,defenderGoals,attFastbreak,attOboxPost,attPostHigh,attPostRight,attCmissRight,attCorner,attSvHighCentre,totalFastbreak,attLgCentre,attGoalHighLeft,attGoalLowCentre,attObpGoal,attObxdLeft,attSvHighRight,attCmissHighRight,penGoalsConceded,attFreekickMiss,secondYellow,ptsDroppedWinningPos,ownGoals,attIboxOwnGoal,attOboxGoal,expectedGoalsOnTarget,attGoalHighRight,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,attFreekickGoal,expectedGoals,attObxRight,goalFastbreak,attObxdRight
11,266351,2008-11-01 15:00:00,"bet365 Stadium, Stoke",26731.0,Home,Stoke City,Arsenal,2,1,W,1,0,0,1,1.0,,37.0,1.0,1.0,28.0,45.0,3.0,5.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,146.0,56.0,9.0,3.0,1.0,1.0,1.0,,11.0,24.0,27.0,3.0,4.0,33.0,82.0,0.0,97.0,11.0,2.0,,2.0,1.0,48.0,22.0,2.0,8.0,4.0,4.0,1.0,128.0,5.0,433.0,,16.0,17.0,1.0,21.0,124.0,13.0,1.0,5.0,22.0,2.0,4.0,2.0,1.0,22.0,205.0,68.0,1.0,6769,1.0,57.0,2.0,,69.0,11.0,42.0,,3.0,,,,9.0,9.0,,67.0,134.0,7.0,8.0,1.0,23.0,87.0,0.0,5.0,1.0,2.0,1.0,10.0,0.0,4.0,2.0,2.0,3.0,28.1,10.0,1.0,3.0,,3.0,,36.0,3.0,1.0,221.0,21.0,15.0,10.0,2.0,33.0,1.0,163.0,3.0,3.0,15.0,41.0,11.0,5.0,15.0,32.0,1.0,,4.0,3.0,7.0,5.0,3.0,,1.0,1.0,,,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12,266363,2008-11-08 12:45:00,"The Brick Community Stadium, Wigan",,Away,Stoke City,Wigan Athletic,0,0,D,0,0,0,0,,1.0,57.0,,,26.0,61.0,1.0,,,2.0,2.0,,,2.0,1.0,176.0,53.0,2.0,18.0,1.0,,,,14.0,15.0,31.0,3.0,13.0,26.0,73.0,0.0,97.0,13.0,4.0,,,3.0,30.0,15.0,1.0,11.0,,2.0,1.0,146.0,11.0,483.0,2.0,19.0,,1.0,11.0,,20.0,,12.0,39.0,,3.0,11.0,1.0,12.0,,83.0,,6769,,56.0,8.0,,71.0,16.0,56.0,,3.0,2.0,,,14.0,5.0,,68.0,127.0,10.0,1.0,,38.0,94.0,0.0,6.0,4.0,,,6.0,0.0,1.0,,3.0,1.0,35.4,8.0,,10.0,2.0,,1.0,40.0,3.0,3.0,217.0,11.0,14.0,10.0,1.0,21.0,,160.0,1.0,10.0,23.0,38.0,18.0,6.0,21.0,18.0,,,,3.0,13.0,6.0,3.0,,,,,,,1.0,3.0,,4.0,,2.0,1.0,,3.0,,,,2.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,266370,2008-11-15 15:00:00,"Old Trafford, Manchester",,Away,Stoke City,Manchester United,0,5,L,0,2,0,0,3.0,,52.0,,,23.0,22.0,2.0,,,3.0,2.0,,,,,133.0,34.0,2.0,14.0,,,,,15.0,12.0,13.0,,13.0,35.0,112.0,0.0,99.0,16.0,3.0,,,2.0,41.0,43.0,,15.0,,8.0,2.0,124.0,11.0,511.0,,15.0,,,17.0,,23.0,,10.0,4.0,,2.0,4.0,,16.0,,75.0,,6769,,105.0,5.0,,117.0,10.0,62.0,,2.0,1.0,,,11.0,4.0,,59.0,214.0,5.0,9.0,,28.0,82.0,0.0,3.0,4.0,,5.0,8.0,0.0,3.0,,1.0,,33.0,9.0,,6.0,1.0,,1.0,40.0,,2.0,288.0,17.0,9.0,15.0,2.0,14.0,,186.0,2.0,10.0,11.0,50.0,15.0,5.0,3.0,16.0,,2.0,,3.0,16.0,5.0,,,,,2.0,,,,1.0,,1.0,,1.0,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,266380,2008-11-22 15:00:00,"bet365 Stadium, Stoke",,Home,Stoke City,West Bromwich Albion,1,0,W,0,0,0,0,,2.0,60.0,1.0,,26.0,26.0,4.0,,,6.0,4.0,1.0,,10.0,7.0,148.0,46.0,10.0,8.0,3.0,,1.0,,26.0,12.0,20.0,4.0,5.0,33.0,109.0,0.0,121.0,11.0,1.0,,,2.0,57.0,32.0,8.0,22.0,,8.0,1.0,142.0,6.0,493.0,6.0,21.0,,2.0,12.0,,13.0,,10.0,13.0,1.0,1.0,2.0,2.0,27.0,,74.0,,6769,,74.0,12.0,1.0,82.0,14.0,47.0,,5.0,4.0,,,3.0,9.0,,54.0,177.0,8.0,6.0,3.0,27.0,76.0,0.0,1.0,,1.0,,7.0,0.0,3.0,1.0,2.0,4.0,44.0,14.0,1.0,15.0,4.0,1.0,,38.0,4.0,2.0,252.0,12.0,13.0,16.0,2.0,25.0,1.0,196.0,4.0,5.0,19.0,71.0,25.0,2.0,11.0,15.0,1.0,,,3.0,15.0,2.0,4.0,,,,1.0,,,1.0,,,,,2.0,3.0,1.0,1.0,3.0,1.0,3.0,,1.0,,,,,,,1.0,2.0,1.0,,,,,1.0,5.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,266390,2008-11-29 15:00:00,"bet365 Stadium, Stoke",,Home,Stoke City,Hull City,1,1,D,0,1,0,0,,,56.0,,,24.0,25.0,6.0,,,8.0,7.0,1.0,,7.0,5.0,162.0,48.0,13.0,15.0,3.0,,,1.0,21.0,8.0,12.0,4.0,4.0,21.0,96.0,0.0,124.0,17.0,1.0,,,,31.0,33.0,4.0,17.0,,5.0,3.0,149.0,4.0,498.0,2.0,24.0,,2.0,9.0,,13.0,1.0,14.0,17.0,,2.0,4.0,3.0,32.0,,89.0,,6769,,73.0,9.0,2.0,86.0,5.0,51.0,,,,,,4.0,4.0,1.0,71.0,161.0,18.0,6.0,5.0,52.0,88.0,0.0,3.0,,1.0,1.0,10.0,0.0,6.0,,4.0,3.0,47.9,15.0,1.0,9.0,,2.0,,38.0,5.0,,266.0,9.0,6.0,11.0,6.0,40.0,3.0,201.0,6.0,3.0,14.0,47.0,25.0,2.0,8.0,9.0,,1.0,,1.0,14.0,2.0,5.0,1.0,,,,1.0,,3.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,1.0,,,,2.0,,,,,1.0,4.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,266401,2008-12-06 15:00:00,"St. James' Park, Newcastle",47422.0,Away,Stoke City,Newcastle United,2,2,D,0,2,0,0,,,59.0,1.0,3.0,29.0,25.0,2.0,,,6.0,4.0,2.0,,9.0,3.0,152.0,46.0,14.0,13.0,,,2.0,1.0,20.0,14.0,11.0,3.0,6.0,38.0,148.0,0.0,139.0,17.0,1.0,,,1.0,55.0,50.0,4.0,17.0,,8.0,1.0,138.0,6.0,580.0,6.0,22.0,,,11.0,,15.0,,9.0,14.0,2.0,1.0,2.0,5.0,31.0,,92.0,,6769,,100.0,5.0,4.0,110.0,6.0,52.0,,3.0,4.0,,,5.0,4.0,1.0,67.0,242.0,10.0,7.0,1.0,38.0,89.0,0.0,6.0,1.0,2.0,2.0,9.0,0.0,6.0,2.0,,3.0,44.8,17.0,3.0,9.0,4.0,3.0,,40.0,3.0,2.0,332.0,11.0,6.0,17.0,8.0,24.0,7.0,242.0,7.0,6.0,15.0,77.0,28.0,8.0,6.0,17.0,,2.0,,3.0,13.0,8.0,3.0,,,,,,,6.0,2.0,1.0,2.0,,2.0,,1.0,1.0,,,1.0,2.0,,,,,,,,1.0,4.0,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
17,266410,2008-12-13 15:00:00,"bet365 Stadium, Stoke",25287.0,Home,Stoke City,Fulham,0,0,D,0,0,0,0,,,54.0,,1.0,26.0,35.0,4.0,3.0,2.0,3.0,3.0,,,6.0,,159.0,37.0,7.0,18.0,,,,1.0,17.0,12.0,22.0,5.0,5.0,32.0,95.0,0.0,113.0,16.0,,,,1.0,41.0,40.0,2.0,12.0,4.0,8.0,3.0,146.0,4.0,421.0,5.0,6.0,13.0,,8.0,141.0,15.0,,7.0,22.0,,1.0,5.0,4.0,26.0,241.0,85.0,,6285,3.0,56.0,4.0,,65.0,11.0,45.0,,2.0,1.0,,,6.0,4.0,,73.0,148.0,2.0,3.0,1.0,36.0,88.0,0.0,6.0,2.0,,,,0.0,2.0,,2.0,,33.4,13.0,,8.0,2.0,2.0,,33.0,5.0,1.0,256.0,8.0,3.0,11.0,5.0,41.0,2.0,208.0,4.0,3.0,19.0,44.0,19.0,4.0,12.0,13.0,,,5.0,3.0,8.0,4.0,5.0,,,,3.0,,,1.0,1.0,,3.0,,3.0,1.0,,,,,,,,,,,,,,,2.0,1.0,,,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
18,266415,2008-12-20 15:00:00,"Ewood Park, Blackburn",23004.0,Away,Stoke City,Blackburn Rovers,0,3,L,0,3,0,0,,,69.0,,2.0,30.0,40.0,6.0,7.0,5.0,5.0,4.0,,3.0,7.0,2.0,183.0,39.0,13.0,16.0,1.0,3.0,,1.0,26.0,7.0,22.0,7.0,10.0,30.0,139.0,0.0,136.0,12.0,4.0,,1.0,1.0,60.0,30.0,3.0,19.0,6.0,9.0,4.0,165.0,9.0,537.0,6.0,4.0,18.0,1.0,5.0,205.0,15.0,2.0,9.0,27.0,,2.0,2.0,4.0,45.0,292.0,90.0,,6285,2.0,82.0,9.0,,94.0,4.0,56.0,,2.0,2.0,,,3.0,2.0,1.0,71.0,216.0,12.0,4.0,1.0,32.0,78.0,0.0,3.0,4.0,,3.0,,0.0,4.0,,,1.0,49.8,20.0,,15.0,3.0,3.0,,34.0,7.0,1.0,307.0,5.0,12.0,15.0,8.0,45.0,3.0,239.0,8.0,10.0,14.0,73.0,30.0,2.0,17.0,9.0,,3.0,8.0,3.0,16.0,2.0,7.0,,,,2.0,,,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,,3.0,1.0,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
19,266430,2008-12-26 12:45:00,"bet365 Stadium, Stoke",27500.0,Home,Stoke City,Manchester United,0,1,L,0,0,1,0,,,44.0,,,19.0,25.0,4.0,3.0,4.0,1.0,5.0,,3.0,6.0,2.0,145.0,36.0,8.0,15.0,1.0,,,1.0,14.0,10.0,14.0,6.0,4.0,17.0,74.0,0.0,101.0,15.0,1.0,1.0,,1.0,41.0,36.0,2.0,8.0,5.0,4.0,2.0,134.0,14.0,381.0,4.0,12.0,11.0,1.0,19.0,112.0,16.0,,13.0,16.0,,3.0,7.0,4.0,19.0,195.0,69.0,,6285,3.0,48.0,4.0,,59.0,11.0,53.0,1.0,,,,,7.0,3.0,2.0,58.0,121.0,7.0,4.0,2.0,47.0,77.0,0.0,9.0,2.0,,1.0,3.0,1.0,,,1.0,2.0,26.4,10.0,1.0,8.0,,2.0,,24.0,6.0,1.0,214.0,18.0,12.0,7.0,4.0,26.0,2.0,169.0,5.0,3.0,8.0,46.0,15.0,2.0,9.0,16.0,,1.0,5.0,3.0,12.0,2.0,6.0,,,,,,,1.0,2.0,,2.0,,,1.0,,2.0,,,1.0,2.0,,,1.0,,,,,1.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
20,266443,2008-12-28 14:00:00,"Boleyn Ground, London",34477.0,Away,Stoke City,West Ham United,1,2,L,1,0,1,0,,1.0,47.0,,2.0,21.0,57.0,5.0,5.0,2.0,4.0,3.0,1.0,3.0,7.0,4.0,158.0,51.0,10.0,12.0,,,,1.0,15.0,20.0,27.0,3.0,7.0,28.0,90.0,0.0,96.0,15.0,,2.0,4.0,3.0,60.0,19.0,5.0,12.0,5.0,4.0,1.0,128.0,16.0,457.0,5.0,9.0,12.0,,14.0,130.0,13.0,1.0,9.0,25.0,1.0,3.0,7.0,2.0,18.0,202.0,58.0,1.0,4095,3.0,53.0,4.0,,68.0,16.0,55.0,,,3.0,,,6.0,4.0,,68.0,139.0,11.0,10.0,1.0,37.0,76.0,0.0,8.0,3.0,1.0,2.0,3.0,1.0,3.0,1.0,,3.0,34.1,11.0,2.0,5.0,3.0,3.0,1.0,28.0,4.0,3.0,229.0,14.0,13.0,9.0,3.0,27.0,2.0,176.0,4.0,7.0,12.0,45.0,20.0,3.0,12.0,25.0,1.0,2.0,6.0,2.0,9.0,3.0,4.0,,1.0,1.0,,,,1.0,,,1.0,,2.0,1.0,,,2.0,,3.0,1.0,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,2.0,,1.0,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,
21,266452,2009-01-10 17:30:00,"bet365 Stadium, Stoke",27500.0,Home,Stoke City,Liverpool,0,0,D,0,0,0,0,,1.0,61.0,,,20.0,28.0,2.0,,,1.0,6.0,,,3.0,,174.0,55.0,6.0,12.0,,,,,19.0,14.0,16.0,4.0,16.0,20.0,92.0,0.0,117.0,11.0,1.0,,,1.0,60.0,22.0,,15.0,,5.0,2.0,162.0,6.0,513.0,2.0,20.0,,,22.0,,17.0,,16.0,19.0,,2.0,4.0,3.0,27.0,,85.0,,6285,,75.0,9.0,,94.0,8.0,44.0,,1.0,,,,5.0,4.0,2.0,61.0,166.0,10.0,6.0,1.0,53.0,81.0,0.0,5.0,1.0,,,5.0,0.0,1.0,,1.0,2.0,34.1,8.0,2.0,9.0,,,,29.0,4.0,1.0,270.0,22.0,8.0,9.0,6.0,32.0,3.0,195.0,3.0,13.0,20.0,52.0,27.0,2.0,9.0,19.0,,,,2.0,14.0,2.0,4.0,,,,,,,3.0,,,2.0,,1.0,,,1.0,,2.0,,1.0,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
22,266456,2009-01-17 15:00:00,"Stamford Bridge, London",41788.0,Away,Stoke City,Chelsea,1,2,L,0,0,0,0,,,38.0,1.0,,17.0,48.0,2.0,,,2.0,6.0,1.0,,3.0,1.0,140.0,45.0,4.0,9.0,,,1.0,1.0,13.0,10.0,24.0,4.0,4.0,20.0,89.0,0.0,99.0,15.0,8.0,,,5.0,57.0,21.0,1.0,9.0,,4.0,2.0,116.0,17.0,445.0,1.0,13.0,,,13.0,,12.0,,7.0,23.0,1.0,3.0,13.0,2.0,16.0,,77.0,,6285,,44.0,4.0,,56.0,19.0,49.0,,1.0,,,,25.0,9.0,2.0,45.0,131.0,7.0,12.0,1.0,32.0,73.0,0.0,11.0,5.0,1.0,2.0,4.0,0.0,1.0,1.0,1.0,1.0,29.7,7.0,1.0,3.0,,,,30.0,4.0,5.0,203.0,13.0,6.0,13.0,3.0,14.0,1.0,160.0,2.0,2.0,10.0,56.0,12.0,3.0,12.0,22.0,,2.0,,3.0,13.0,3.0,4.0,,,,,,1.0,,1.0,1.0,1.0,,,1.0,,5.0,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,266466,2009-01-27 20:00:00,"White Hart Lane, London",36072.0,Away,Stoke City,Tottenham Hotspur,1,3,L,0,3,0,0,,1.0,37.0,1.0,,21.0,31.0,3.0,,,7.0,4.0,1.0,,6.0,3.0,130.0,54.0,8.0,17.0,1.0,,1.0,2.0,13.0,15.0,20.0,4.0,12.0,33.0,100.0,0.0,96.0,22.0,3.0,,,2.0,46.0,28.0,2.0,9.0,,3.0,2.0,119.0,8.0,477.0,1.0,6.0,,,15.0,,11.0,,6.0,19.0,1.0,3.0,8.0,4.0,20.0,,77.0,,6285,,93.0,1.0,3.0,104.0,10.0,61.0,,2.0,2.0,,,14.0,3.0,1.0,55.0,186.0,20.0,9.0,4.0,30.0,73.0,0.0,7.0,2.0,1.0,3.0,2.0,0.0,5.0,1.0,,3.0,35.9,8.0,3.0,5.0,2.0,,1.0,28.0,4.0,2.0,264.0,15.0,7.0,17.0,5.0,25.0,3.0,173.0,4.0,12.0,6.0,44.0,16.0,2.0,12.0,24.0,,3.0,,3.0,11.0,2.0,4.0,,,,,,,2.0,,1.0,,,,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,266483,2009-01-31 12:45:00,"bet365 Stadium, Stoke",27236.0,Home,Stoke City,Manchester City,1,0,W,1,0,1,0,,1.0,31.0,,1.0,13.0,38.0,3.0,,,4.0,6.0,1.0,,8.0,4.0,162.0,49.0,8.0,8.0,1.0,,1.0,,15.0,17.0,18.0,6.0,2.0,18.0,54.0,0.0,79.0,11.0,,,,3.0,38.0,24.0,6.0,9.0,,2.0,,142.0,5.0,432.0,3.0,8.0,,,17.0,,11.0,1.0,5.0,17.0,1.0,1.0,3.0,2.0,23.0,,69.0,,6285,,48.0,5.0,1.0,68.0,22.0,48.0,,,,,,11.0,9.0,1.0,46.0,98.0,9.0,11.0,4.0,33.0,78.0,0.0,6.0,,1.0,,4.0,1.0,3.0,1.0,3.0,2.0,27.2,12.0,1.0,7.0,,2.0,,23.0,7.0,3.0,185.0,17.0,15.0,8.0,2.0,16.0,2.0,132.0,4.0,2.0,10.0,31.0,7.0,11.0,4.0,24.0,1.0,,,3.0,10.0,11.0,7.0,1.0,,,,,,,,,1.0,,2.0,1.0,1.0,2.0,3.0,,2.0,3.0,,,,,1.0,,,,,1.0,,,,,1.0,2.0,,,,,2.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,266489,2009-02-07 15:00:00,"Stadium of Light, Sunderland",38350.0,Away,Stoke City,Sunderland,0,2,L,0,0,1,0,,,49.0,,1.0,19.0,38.0,3.0,,,3.0,1.0,,,5.0,1.0,185.0,30.0,7.0,13.0,,,,,15.0,10.0,21.0,3.0,7.0,31.0,102.0,0.0,112.0,9.0,,,,2.0,43.0,43.0,1.0,12.0,,5.0,2.0,168.0,12.0,544.0,4.0,14.0,,,19.0,,13.0,,10.0,24.0,,1.0,4.0,4.0,36.0,,101.0,,9493,,95.0,5.0,3.0,116.0,13.0,40.0,,1.0,1.0,,,3.0,7.0,,57.0,194.0,7.0,5.0,1.0,47.0,93.0,0.0,3.0,4.0,,2.0,4.0,1.0,3.0,,1.0,1.0,38.0,14.0,1.0,6.0,2.0,1.0,2.0,32.0,3.0,2.0,307.0,19.0,10.0,10.0,5.0,19.0,2.0,206.0,4.0,6.0,8.0,52.0,20.0,3.0,14.0,14.0,,2.0,,3.0,4.0,3.0,3.0,,,,,,,4.0,1.0,,1.0,,,,,,1.0,,1.0,2.0,,,1.0,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,266503,2009-02-21 15:00:00,"bet365 Stadium, Stoke",,Home,Stoke City,Portsmouth,2,2,D,0,0,0,0,,1.0,62.0,,1.0,27.0,46.0,2.0,,,4.0,6.0,2.0,3.0,5.0,2.0,192.0,59.0,9.0,16.0,,,1.0,,28.0,17.0,17.0,2.0,1.0,38.0,109.0,0.0,115.0,8.0,,,3.0,,44.0,33.0,1.0,26.0,,9.0,3.0,163.0,7.0,491.0,4.0,22.0,,,15.0,,14.0,,11.0,31.0,1.0,1.0,2.0,4.0,26.0,,77.0,,6769,5.0,65.0,14.0,1.0,84.0,11.0,52.0,1.0,2.0,3.0,,1.0,3.0,6.0,3.0,56.0,170.0,10.0,5.0,,34.0,75.0,0.0,3.0,2.0,2.0,2.0,11.0,0.0,3.0,,1.0,2.0,37.5,12.0,1.0,7.0,3.0,1.0,,35.0,2.0,,264.0,15.0,15.0,20.0,6.0,42.0,3.0,208.0,2.0,1.0,23.0,57.0,30.0,2.0,12.0,20.0,1.0,2.0,6.0,2.0,15.0,2.0,2.0,1.0,,,,1.0,,3.0,,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
27,266505,2009-03-01 15:00:00,"Villa Park, Birmingham",39641.0,Away,Stoke City,Aston Villa,2,2,D,0,1,0,0,1.0,,43.0,1.0,3.0,23.0,51.0,5.0,,,3.0,3.0,2.0,,9.0,2.0,164.0,52.0,12.0,12.0,,,2.0,2.0,15.0,16.0,23.0,6.0,4.0,32.0,91.0,0.0,97.0,12.0,,,,6.0,43.0,32.0,5.0,9.0,,5.0,2.0,136.0,6.0,510.0,6.0,11.0,,,18.0,,7.0,,7.0,18.0,2.0,1.0,4.0,4.0,29.0,,74.0,,9493,,71.0,3.0,,82.0,8.0,46.0,,3.0,2.0,,,5.0,7.0,2.0,55.0,159.0,7.0,7.0,1.0,36.0,82.0,0.0,6.0,1.0,1.0,2.0,4.0,0.0,2.0,1.0,,2.0,35.1,12.0,1.0,5.0,2.0,4.0,,34.0,6.0,6.0,247.0,17.0,13.0,14.0,6.0,24.0,3.0,180.0,8.0,4.0,15.0,42.0,17.0,3.0,9.0,27.0,1.0,1.0,,3.0,5.0,3.0,6.0,1.0,,,,,1.0,1.0,,1.0,,,2.0,1.0,,,,,,1.0,,,,,,,,,2.0,1.0,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
28,266515,2009-03-04 19:45:00,"bet365 Stadium, Stoke",26319.0,Home,Stoke City,Bolton Wanderers,2,0,W,1,0,0,0,0.0,1.0,54.0,0.0,,16.0,75.0,4.0,7.0,5.0,6.0,3.0,2.0,4.0,7.0,3.0,152.0,49.0,11.0,24.0,1.0,,1.0,1.0,27.0,9.0,41.0,6.0,3.0,22.0,83.0,0.0,97.0,17.0,4.0,,3.0,3.0,38.0,38.0,3.0,21.0,4.0,14.0,1.0,152.0,7.0,459.0,3.0,10.0,16.0,,14.0,109.0,8.0,1.0,7.0,43.0,1.0,2.0,3.0,4.0,34.0,183.0,79.0,2.0,6769,7.0,39.0,4.0,2.0,46.0,9.0,59.0,,3.0,,1.0,1.0,8.0,1.0,1.0,63.0,116.0,14.0,2.0,3.0,37.0,77.0,0.0,7.0,3.0,2.0,0.0,4.0,0.0,5.0,1.0,2.0,2.0,37.9,12.0,2.0,11.0,1.0,3.0,,24.0,6.0,4.0,203.0,14.0,15.0,12.0,5.0,47.0,3.0,184.0,8.0,3.0,20.0,42.0,21.0,3.0,24.0,12.0,0.0,0.0,5.0,3.0,6.0,3.0,6.0,0.0,,,,,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,,,1.0,,,,,,,,,1.0,3.0,1.0,0.0,,,1.0,,,,0.0,,,1.0,1.0,1.0,0.0,,,1.0,,,1.0,,,,1.0,1.0,0.0,,,,,,,,0.0,,0.0,0.8581,0.0,2.1888,0.0,0.0,1.0,0.8747,0.0,1.06604,,,
