gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,goalKicks,duelLost,totalThroughBall,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,foulThrowIn,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,totalContest,blockedCross,wonCorners,handBall,penaltySave,attGoalLowRight,attIboxTarget,shotFastbreak,goalAssistOpenplay,cleanSheet,goodHighClaim,attHdTarget,errorLeadToShot,attSetpiece,penaltyConceded,totalOffside,accurateKeeperThrows,attFastbreak,attSvLowRight,keeperThrows,penaltyFaced,totalHighClaim,subsMade,attLfTarget,postScoringAtt,attIboxPost,attSvLowLeft,attHdPost,hitWoodwork,attPostHigh,clearanceOffLine,penGoalsConceded,attLfGoal,attSvHighRight,sixYardBlock,attObxdLeft,attOboxPost,attPostRight,goalsConcededObox,attRfGoal,attFreekickTarget,attGoalLowCentre,penaltyWon,attPenGoal,midfielderGoals,defenderGoals,fouledFinalThird,attBxRight,freekickCross,accurateFreekickCross,attBxCentre,attCmissHigh,goalsOpenplay,attCmissLeft,attSvHighCentre,attOpenplay,attGoalHighRight,attLgCentre,attObxdRight,attOboxGoal,attFreekickPost,attGoalLowLeft,attSvHighLeft,errorLeadToGoal,attObxLeft,goalFastbreak,attGoalHighCentre,secondYellow,attPenTarget,totalFastbreak,attPostLeft,ownGoals,attBxLeft,attIboxOwnGoal,attOboxOwnGoal
11,266349,2008-11-03 20:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Aston Villa,2,0,W,0,0,0,0,84.0,,1.0,,,27.0,36.0,8.0,8.0,2.0,3.0,14.0,2.0,8.0,4.0,182.0,86.0,1.0,13.0,3.0,16.0,1.0,,14.0,22.0,1.0,19.0,2.0,12.0,19.0,223.0,,0.0,152.0,14.0,,89.0,48.0,6.0,,2.0,12.0,1.0,5.0,2.0,165.0,4.0,741.0,6.0,8.0,14.0,16.0,1.0,13.0,21.0,2.0,4.0,1.0,2.0,24.0,102.0,,8748,111.0,5.0,132.0,10.0,70.0,3.0,4.0,2.0,1.0,61.0,331.0,22.0,2.0,,43.0,90.0,1.0,,0.0,6.0,1.0,1.0,,2.0,0.0,3.0,1.0,,1.0,,54.7,20.0,1.0,11.0,4.0,45.0,2.0,434.0,14.0,,26.0,9.0,5.0,18.0,,2.0,316.0,4.0,11.0,19.0,97.0,51.0,2.0,4.0,10.0,31.0,,,26.0,4.0,2.0,,,1.0,1.0,,2.0,1.0,1.0,,,,,1.0,,,1.0,,,1.0,2.0,,1.0,,,,1.0,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
12,266357,2008-11-09 16:00:00,"Craven Cottage, London",,Away,Newcastle United,Fulham,1,2,L,0,1,0,0,81.0,1.0,,,,45.0,28.0,9.0,4.0,2.0,7.0,9.0,1.0,11.0,4.0,171.0,40.0,1.0,16.0,4.0,18.0,1.0,2.0,22.0,8.0,2.0,17.0,1.0,14.0,34.0,207.0,,0.0,176.0,13.0,1.0,81.0,43.0,4.0,,3.0,21.0,1.0,9.0,3.0,160.0,7.0,708.0,9.0,11.0,20.0,23.0,,15.0,15.0,1.0,2.0,3.0,7.0,26.0,112.0,2.0,8748,114.0,12.0,129.0,13.0,60.0,2.0,5.0,7.0,2.0,82.0,314.0,14.0,2.0,1.0,49.0,106.0,,,0.0,6.0,1.0,1.0,2.0,5.0,0.0,7.0,,1.0,3.0,,53.5,21.0,3.0,10.0,4.0,55.0,1.0,417.0,20.0,,20.0,15.0,8.0,23.0,,4.0,310.0,9.0,12.0,8.0,108.0,40.0,1.0,4.0,8.0,9.0,,2.0,17.0,4.0,1.0,1.0,,,1.0,,1.0,,,,,2.0,1.0,3.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
13,266371,2008-11-15 15:00:00,"St. James' Park, Newcastle",,Home,Newcastle United,Wigan Athletic,2,2,D,0,1,0,1,76.0,2.0,2.0,,,34.0,36.0,5.0,5.0,1.0,9.0,8.0,2.0,15.0,7.0,179.0,57.0,,19.0,,18.0,3.0,2.0,29.0,18.0,2.0,20.0,2.0,12.0,35.0,178.0,2.0,0.0,149.0,9.0,2.0,57.0,57.0,6.0,,1.0,27.0,,7.0,3.0,163.0,7.0,688.0,11.0,11.0,11.0,16.0,1.0,6.0,21.0,1.0,1.0,1.0,9.0,32.0,92.0,,8748,112.0,15.0,131.0,10.0,62.0,6.0,6.0,6.0,4.0,67.0,281.0,15.0,7.0,3.0,33.0,76.0,,1.0,0.0,10.0,3.0,2.0,2.0,2.0,0.0,8.0,1.0,2.0,7.0,,63.2,28.0,5.0,15.0,2.0,36.0,3.0,387.0,11.0,,17.0,15.0,10.0,31.0,1.0,7.0,285.0,6.0,12.0,11.0,80.0,37.0,2.0,2.0,10.0,23.0,,1.0,20.0,2.0,4.0,1.0,,,3.0,,1.0,,2.0,2.0,,2.0,,,5.0,,,5.0,,2.0,3.0,2.0,,,1.0,,,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,
14,266375,2008-11-22 15:00:00,"Stamford Bridge, London",,Away,Newcastle United,Chelsea,0,0,D,0,0,0,0,57.0,4.0,,,,13.0,66.0,2.0,,,1.0,6.0,,1.0,,171.0,54.0,,2.0,,14.0,,1.0,5.0,19.0,,38.0,1.0,13.0,15.0,70.0,1.0,0.0,80.0,14.0,2.0,30.0,50.0,,4.0,,4.0,,1.0,2.0,143.0,16.0,543.0,1.0,10.0,16.0,25.0,,6.0,30.0,,2.0,11.0,1.0,20.0,57.0,,8748,85.0,2.0,107.0,19.0,71.0,9.0,17.0,8.0,,47.0,154.0,12.0,13.0,,41.0,84.0,,2.0,0.0,8.0,5.0,,,,0.0,1.0,,2.0,,,30.6,19.0,,5.0,,34.0,1.0,251.0,16.0,,20.0,6.0,2.0,8.0,,,149.0,2.0,10.0,13.0,31.0,20.0,,3.0,14.0,23.0,,,16.0,3.0,1.0,,,,,,,1.0,2.0,,2.0,,,,4.0,,,4.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,266388,2008-11-29 15:00:00,"Riverside Stadium, Middlesbrough",,Away,Newcastle United,Middlesbrough,0,0,D,0,0,0,0,70.0,,2.0,,,28.0,51.0,4.0,6.0,1.0,2.0,16.0,,9.0,3.0,179.0,59.0,1.0,11.0,2.0,11.0,1.0,1.0,12.0,12.0,1.0,27.0,1.0,19.0,27.0,178.0,,0.0,140.0,8.0,1.0,64.0,55.0,7.0,3.0,1.0,11.0,1.0,2.0,2.0,155.0,6.0,736.0,9.0,10.0,19.0,21.0,,5.0,23.0,,1.0,7.0,2.0,24.0,91.0,1.0,8748,151.0,8.0,165.0,15.0,45.0,6.0,10.0,6.0,1.0,61.0,327.0,8.0,4.0,,33.0,104.0,,2.0,0.0,7.0,2.0,,,1.0,0.0,2.0,,1.0,,1.0,52.6,19.0,,4.0,4.0,43.0,2.0,433.0,19.0,1.0,15.0,12.0,4.0,18.0,,1.0,280.0,5.0,19.0,16.0,84.0,36.0,,3.0,13.0,19.0,,,24.0,3.0,2.0,1.0,,,2.0,2.0,,1.0,3.0,,,,,1.0,2.0,2.0,1.0,2.0,,3.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
16,266401,2008-12-06 15:00:00,"St. James' Park, Newcastle",47422.0,Home,Newcastle United,Stoke City,2,2,D,2,0,0,0,59.0,1.0,2.0,,,33.0,49.0,5.0,7.0,,1.0,7.0,2.0,7.0,4.0,169.0,52.0,,11.0,1.0,15.0,1.0,1.0,22.0,12.0,1.0,24.0,5.0,16.0,25.0,124.0,1.0,0.0,87.0,11.0,,60.0,52.0,5.0,1.0,1.0,17.0,,3.0,3.0,144.0,12.0,663.0,5.0,14.0,14.0,24.0,1.0,7.0,34.0,2.0,0.0,3.0,2.0,23.0,55.0,3.0,8748,191.0,13.0,216.0,11.0,46.0,6.0,2.0,7.0,,66.0,314.0,17.0,4.0,,33.0,89.0,,1.0,0.0,3.0,,2.0,2.0,2.0,0.0,1.0,2.0,2.0,,,55.2,20.0,,8.0,3.0,44.0,6.0,410.0,14.0,,13.0,12.0,4.0,17.0,,1.0,216.0,4.0,12.0,13.0,53.0,20.0,2.0,1.0,15.0,15.0,,2.0,11.0,1.0,6.0,1.0,,,1.0,1.0,2.0,,2.0,,1.0,,,3.0,3.0,1.0,1.0,3.0,,2.0,3.0,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
17,266409,2008-12-14 13:30:00,"Fratton Park, Portsmouth",,Away,Newcastle United,Portsmouth,3,0,W,0,0,0,0,52.0,1.0,,,,26.0,36.0,2.0,3.0,1.0,4.0,7.0,3.0,8.0,5.0,164.0,59.0,,11.0,,16.0,,4.0,19.0,19.0,1.0,20.0,4.0,12.0,17.0,142.0,1.0,0.0,130.0,5.0,1.0,51.0,71.0,4.0,4.0,,15.0,,5.0,,148.0,6.0,655.0,3.0,7.0,25.0,11.0,,7.0,24.0,3.0,1.0,4.0,4.0,23.0,69.0,4.0,8748,156.0,7.0,174.0,14.0,57.0,8.0,14.0,5.0,,58.0,294.0,15.0,10.0,2.0,35.0,85.0,,,0.0,8.0,2.0,3.0,,3.0,0.0,3.0,3.0,,2.0,,46.2,17.0,2.0,10.0,,36.0,5.0,381.0,24.0,,14.0,7.0,6.0,17.0,1.0,5.0,226.0,6.0,9.0,16.0,82.0,19.0,2.0,3.0,13.0,21.0,,,19.0,3.0,5.0,,,,1.0,2.0,3.0,1.0,2.0,,2.0,1.0,,5.0,4.0,2.0,,4.0,,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,1.0,1.0,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,
18,266421,2008-12-21 15:00:00,"St. James' Park, Newcastle",47982.0,Home,Newcastle United,Tottenham Hotspur,2,1,W,1,1,0,0,77.0,2.0,,,,36.0,29.0,2.0,4.0,,5.0,7.0,2.0,5.0,2.0,166.0,44.0,,7.0,1.0,12.0,,1.0,25.0,19.0,,15.0,3.0,17.0,39.0,208.0,,0.0,153.0,11.0,,66.0,63.0,2.0,1.0,2.0,22.0,,8.0,1.0,152.0,7.0,743.0,4.0,11.0,10.0,25.0,,10.0,16.0,1.0,3.0,6.0,3.0,23.0,77.0,2.0,7933,177.0,13.0,197.0,8.0,56.0,5.0,8.0,4.0,1.0,68.0,380.0,9.0,10.0,,32.0,87.0,,,0.0,8.0,1.0,2.0,1.0,5.0,0.0,3.0,1.0,1.0,1.0,,55.0,18.0,1.0,11.0,1.0,45.0,3.0,479.0,10.0,,16.0,18.0,4.0,30.0,2.0,3.0,307.0,2.0,17.0,8.0,97.0,30.0,,6.0,9.0,20.0,,1.0,14.0,6.0,4.0,,,1.0,,1.0,1.0,,2.0,,,,,1.0,4.0,1.0,,4.0,,2.0,2.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
19,266433,2008-12-26 15:00:00,"The Brick Community Stadium, Wigan",20266.0,Away,Newcastle United,Wigan Athletic,1,2,L,0,1,1,0,57.0,1.0,2.0,,,27.0,37.0,2.0,2.0,1.0,6.0,5.0,1.0,3.0,2.0,165.0,47.0,,8.0,1.0,2.0,,2.0,21.0,9.0,,19.0,4.0,16.0,30.0,154.0,,0.0,118.0,12.0,2.0,37.0,72.0,2.0,,1.0,17.0,,6.0,1.0,147.0,9.0,672.0,1.0,14.0,20.0,15.0,,10.0,21.0,,3.0,4.0,1.0,31.0,68.0,1.0,7933,148.0,8.0,170.0,8.0,53.0,3.0,8.0,6.0,,54.0,296.0,15.0,7.0,2.0,34.0,83.0,,,0.0,7.0,2.0,1.0,2.0,5.0,1.0,3.0,,2.0,,,51.1,28.0,,7.0,3.0,50.0,4.0,388.0,20.0,,27.0,15.0,3.0,17.0,3.0,2.0,239.0,4.0,12.0,14.0,69.0,26.0,,4.0,10.0,13.0,,1.0,11.0,4.0,4.0,,,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,3.0,,,,,,,,,1.0,,,2.0,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
20,266441,2008-12-28 12:00:00,"St. James' Park, Newcastle",52114.0,Home,Newcastle United,Liverpool,1,5,L,1,2,0,0,57.0,,1.0,1.0,1.0,25.0,29.0,5.0,2.0,4.0,4.0,8.0,1.0,4.0,6.0,139.0,47.0,3.0,12.0,2.0,9.0,,,19.0,11.0,4.0,17.0,4.0,12.0,26.0,139.0,,0.0,98.0,7.0,5.0,71.0,56.0,3.0,1.0,1.0,15.0,3.0,3.0,,127.0,20.0,621.0,2.0,3.0,13.0,14.0,,2.0,9.0,1.0,2.0,4.0,1.0,30.0,61.0,,7933,152.0,9.0,169.0,5.0,39.0,5.0,5.0,3.0,1.0,48.0,287.0,11.0,5.0,1.0,17.0,64.0,,,0.0,9.0,8.0,1.0,5.0,,0.0,1.0,1.0,1.0,3.0,,40.7,26.0,1.0,7.0,3.0,34.0,4.0,372.0,13.0,,12.0,9.0,3.0,11.0,3.0,2.0,222.0,7.0,12.0,10.0,52.0,28.0,,3.0,6.0,18.0,1.0,5.0,14.0,3.0,4.0,,,,1.0,,,,,1.0,,1.0,1.0,3.0,3.0,,,3.0,1.0,,3.0,,1.0,,3.0,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,2.0,,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,,,,,,
21,266450,2009-01-10 15:00:00,"St. James' Park, Newcastle",47571.0,Home,Newcastle United,West Ham United,2,2,D,1,1,0,0,92.0,3.0,5.0,,,35.0,15.0,11.0,10.0,,10.0,14.0,2.0,19.0,3.0,146.0,56.0,2.0,24.0,6.0,11.0,1.0,4.0,48.0,13.0,1.0,10.0,7.0,17.0,19.0,225.0,1.0,0.0,161.0,11.0,1.0,110.0,65.0,10.0,,2.0,41.0,2.0,21.0,3.0,141.0,12.0,735.0,15.0,5.0,10.0,28.0,1.0,7.0,7.0,2.0,1.0,4.0,9.0,18.0,84.0,1.0,7933,145.0,16.0,153.0,3.0,49.0,4.0,3.0,,1.0,56.0,360.0,18.0,6.0,2.0,28.0,91.0,1.0,,0.0,3.0,4.0,1.0,2.0,1.0,0.0,9.0,1.0,,6.0,,53.9,18.0,5.0,30.0,11.0,57.0,8.0,438.0,10.0,,14.0,11.0,10.0,32.0,1.0,6.0,333.0,7.0,16.0,8.0,114.0,29.0,2.0,2.0,6.0,16.0,1.0,2.0,22.0,2.0,8.0,1.0,,,,2.0,2.0,,,,,1.0,,,6.0,2.0,,6.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
22,266454,2009-01-17 15:00:00,"Ewood Park, Blackburn",25583.0,Away,Newcastle United,Blackburn Rovers,0,3,L,0,0,1,0,70.0,1.0,1.0,,,25.0,30.0,1.0,2.0,,6.0,7.0,,7.0,2.0,186.0,46.0,1.0,9.0,,17.0,,2.0,25.0,12.0,1.0,12.0,4.0,10.0,19.0,120.0,,0.0,105.0,12.0,1.0,60.0,42.0,2.0,1.0,2.0,21.0,1.0,6.0,,168.0,5.0,598.0,5.0,9.0,14.0,27.0,1.0,15.0,21.0,,2.0,2.0,5.0,29.0,58.0,2.0,7933,115.0,13.0,139.0,9.0,54.0,3.0,6.0,3.0,1.0,67.0,229.0,14.0,5.0,2.0,57.0,89.0,,,0.0,2.0,,,3.0,5.0,1.0,5.0,,1.0,2.0,,53.4,19.0,1.0,8.0,1.0,34.0,5.0,339.0,14.0,,14.0,8.0,6.0,16.0,1.0,6.0,225.0,5.0,8.0,10.0,56.0,29.0,,1.0,8.0,15.0,,3.0,13.0,1.0,5.0,,,,1.0,1.0,,,,1.0,,,1.0,3.0,1.0,1.0,,1.0,1.0,,2.0,1.0,,,,,,,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
23,266473,2009-01-28 19:45:00,"Etihad Stadium, Manchester",42280.0,Away,Newcastle United,Manchester City,1,2,L,0,1,0,0,53.0,2.0,,,,25.0,34.0,3.0,3.0,,3.0,9.0,1.0,2.0,1.0,167.0,51.0,,4.0,1.0,11.0,,,19.0,21.0,,15.0,,19.0,21.0,146.0,1.0,0.0,116.0,15.0,,48.0,60.0,2.0,2.0,1.0,19.0,,8.0,2.0,148.0,4.0,613.0,1.0,14.0,21.0,14.0,,15.0,16.0,1.0,2.0,3.0,,26.0,75.0,1.0,7933,123.0,9.0,143.0,12.0,49.0,2.0,10.0,5.0,,52.0,266.0,7.0,11.0,,46.0,97.0,,,0.0,7.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,2.0,,,44.0,21.0,,5.0,1.0,43.0,,372.0,21.0,,10.0,11.0,2.0,22.0,,,248.0,1.0,17.0,9.0,57.0,25.0,1.0,2.0,6.0,26.0,,1.0,13.0,2.0,,2.0,,,,,1.0,,1.0,,,1.0,,,3.0,,,3.0,,1.0,3.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
24,266482,2009-02-01 13:30:00,"St. James' Park, Newcastle",52084.0,Home,Newcastle United,Sunderland,1,1,D,0,1,0,0,74.0,,5.0,,,38.0,39.0,2.0,9.0,,6.0,7.0,1.0,12.0,4.0,179.0,68.0,,15.0,1.0,15.0,1.0,2.0,38.0,20.0,,23.0,4.0,6.0,23.0,168.0,1.0,0.0,166.0,14.0,2.0,65.0,57.0,8.0,1.0,,34.0,,13.0,1.0,163.0,9.0,663.0,11.0,13.0,20.0,17.0,,12.0,21.0,,2.0,4.0,4.0,15.0,90.0,,7933,98.0,19.0,109.0,8.0,55.0,2.0,7.0,5.0,1.0,69.0,260.0,21.0,4.0,1.0,36.0,87.0,,1.0,0.0,3.0,4.0,1.0,1.0,4.0,0.0,5.0,,,2.0,,54.4,13.0,,20.0,6.0,42.0,4.0,359.0,20.0,,18.0,13.0,5.0,34.0,1.0,3.0,288.0,4.0,5.0,15.0,103.0,27.0,1.0,1.0,12.0,25.0,,1.0,12.0,1.0,4.0,,,,3.0,,,,2.0,1.0,1.0,2.0,,4.0,7.0,,,7.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
25,266491,2009-02-07 15:00:00,"The Hawthorns, West Bromwich",25817.0,Away,Newcastle United,West Bromwich Albion,3,2,W,3,1,0,0,76.0,2.0,1.0,1.0,1.0,27.0,40.0,6.0,8.0,,5.0,7.0,3.0,12.0,4.0,178.0,40.0,,14.0,4.0,9.0,,2.0,19.0,8.0,,22.0,4.0,18.0,20.0,151.0,,0.0,139.0,12.0,1.0,72.0,32.0,7.0,,3.0,15.0,,5.0,2.0,160.0,5.0,634.0,9.0,11.0,15.0,18.0,,14.0,22.0,2.0,2.0,2.0,5.0,22.0,93.0,1.0,999,96.0,8.0,119.0,13.0,37.0,6.0,8.0,4.0,,71.0,242.0,8.0,4.0,1.0,61.0,104.0,,1.0,0.0,3.0,1.0,3.0,2.0,2.0,0.0,4.0,2.0,3.0,2.0,,47.2,16.0,1.0,15.0,5.0,40.0,4.0,356.0,15.0,,8.0,11.0,5.0,26.0,1.0,3.0,256.0,4.0,15.0,12.0,70.0,26.0,1.0,1.0,11.0,13.0,1.0,2.0,11.0,1.0,4.0,,,1.0,1.0,,1.0,,,,,1.0,,5.0,1.0,,1.0,1.0,,1.0,2.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
26,266502,2009-02-22 16:00:00,"St. James' Park, Newcastle",47683.0,Home,Newcastle United,Everton,0,0,D,0,0,1,0,68.0,,,,,18.0,42.0,3.0,2.0,,4.0,7.0,,4.0,,180.0,47.0,1.0,5.0,1.0,17.0,,2.0,23.0,8.0,,20.0,,14.0,31.0,136.0,,0.0,106.0,15.0,2.0,32.0,78.0,1.0,3.0,,23.0,1.0,9.0,2.0,158.0,9.0,609.0,4.0,8.0,20.0,22.0,,6.0,21.0,,0.0,1.0,3.0,18.0,81.0,1.0,999,114.0,11.0,134.0,13.0,54.0,3.0,8.0,3.0,2.0,58.0,246.0,15.0,3.0,,38.0,94.0,,1.0,0.0,6.0,5.0,,,,1.0,4.0,,2.0,1.0,,45.4,11.0,1.0,7.0,1.0,41.0,,349.0,20.0,1.0,18.0,14.0,4.0,22.0,,2.0,238.0,2.0,13.0,10.0,46.0,34.0,,4.0,10.0,15.0,,,8.0,4.0,,,,,,1.0,,1.0,1.0,,,,,,2.0,1.0,,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,266506,2009-03-01 13:00:00,"Toughsheet Community Stadium, Bolton",20763.0,Away,Newcastle United,Bolton Wanderers,0,1,L,0,0,0,0,62.0,2.0,6.0,,,24.0,43.0,8.0,8.0,3.0,8.0,8.0,,16.0,6.0,211.0,54.0,1.0,23.0,2.0,16.0,,2.0,30.0,12.0,1.0,16.0,9.0,4.0,20.0,137.0,1.0,0.0,137.0,10.0,,67.0,32.0,10.0,1.0,3.0,21.0,1.0,7.0,5.0,184.0,6.0,673.0,14.0,9.0,15.0,22.0,1.0,13.0,23.0,,3.0,2.0,6.0,36.0,91.0,1.0,999,126.0,11.0,144.0,7.0,58.0,2.0,4.0,2.0,2.0,61.0,255.0,15.0,5.0,2.0,51.0,104.0,,,0.0,1.0,1.0,,1.0,3.0,0.0,5.0,,3.0,3.0,,54.8,26.0,2.0,8.0,8.0,48.0,10.0,371.0,15.0,1.0,22.0,8.0,9.0,34.0,3.0,4.0,257.0,12.0,4.0,17.0,67.0,19.0,,,9.0,14.0,,1.0,13.0,,10.0,,,,5.0,2.0,,,,1.0,,1.0,,4.0,5.0,2.0,5.0,5.0,,,2.0,2.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,266529,2009-03-14 15:00:00,"The MKM Stadium, Hull",24914.0,Away,Newcastle United,Hull City,1,1,D,1,1,0,0,40.0,,2.0,,,36.0,35.0,5.0,1.0,1.0,2.0,6.0,1.0,11.0,2.0,193.0,44.0,,12.0,1.0,13.0,1.0,3.0,22.0,11.0,1.0,18.0,2.0,14.0,23.0,179.0,1.0,0.0,159.0,16.0,,62.0,62.0,5.0,,1.0,20.0,,10.0,3.0,176.0,6.0,620.0,9.0,7.0,8.0,8.0,,15.0,19.0,1.0,3.0,,6.0,35.0,115.0,2.0,999,91.0,7.0,114.0,14.0,48.0,4.0,3.0,2.0,2.0,74.0,268.0,18.0,3.0,1.0,53.0,101.0,1.0,,0.0,3.0,1.0,1.0,1.0,4.0,0.0,2.0,1.0,3.0,,,58.9,27.0,,9.0,3.0,45.0,3.0,383.0,8.0,,15.0,11.0,7.0,35.0,,4.0,291.0,11.0,12.0,8.0,92.0,13.0,,5.0,10.0,12.0,,1.0,10.0,5.0,3.0,3.0,,,,,1.0,,,,,3.0,,2.0,4.0,,,4.0,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,266538,2009-03-21 17:30:00,"St. James' Park, Newcastle",49972.0,Home,Newcastle United,Arsenal,1,3,L,0,0,0,0,65.0,1.0,3.0,,,32.0,17.0,3.0,4.0,2.0,7.0,4.0,1.0,9.0,4.0,171.0,41.0,,13.0,2.0,14.0,2.0,2.0,26.0,12.0,,6.0,8.0,12.0,15.0,134.0,,0.0,130.0,12.0,4.0,52.0,50.0,7.0,2.0,2.0,18.0,,8.0,1.0,160.0,16.0,603.0,6.0,11.0,13.0,14.0,,11.0,12.0,,0.0,5.0,2.0,21.0,83.0,1.0,999,123.0,7.0,139.0,10.0,55.0,2.0,3.0,4.0,,68.0,250.0,12.0,8.0,3.0,42.0,84.0,,,0.0,4.0,5.0,1.0,3.0,3.0,0.0,4.0,,2.0,2.0,,45.1,18.0,1.0,15.0,5.0,33.0,8.0,359.0,13.0,,17.0,8.0,4.0,25.0,3.0,3.0,246.0,5.0,12.0,12.0,67.0,24.0,1.0,3.0,5.0,13.0,,3.0,8.0,3.0,8.0,,,1.0,3.0,1.0,,,1.0,1.0,2.0,1.0,,2.0,3.0,1.0,1.0,3.0,,1.0,3.0,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
