gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,attSvLowCentre,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,punches,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,errorLeadToGoal,blockedCross,wonCorners,attMissLeft,attSvHighLeft,goodHighClaim,attHdTarget,attSetpiece,attHdTotal,attHdMiss,attSvHighCentre,totalHighClaim,penaltySave,attLfTarget,attGoalLowLeft,attLfGoal,goals,postScoringAtt,goalAssistOpenplay,attGoalHighRight,cleanSheet,hitWoodwork,goalAssist,attRfGoal,defenderGoals,attIboxGoal,attOboxPost,attPostHigh,goalAssistIntentional,forwardGoals,attHdGoal,attGoalLowRight,attGoalLowCentre,sixYardBlock,attSvLowRight,errorLeadToShot,clearanceOffLine,penaltyWon,secondYellow,attPenGoal,attOboxGoal,attMissHighLeft,attPostRight,attIboxPost,attPostLeft,goalFastbreak,midfielderGoals,attHdPost,attFreekickTarget,foulThrowIn,attSvHighRight,attLgCentre,attGoalHighLeft,attemptsIbox,fwdPass,fouledFinalThird,attBxRight,freekickCross,attemptsObox,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attBxCentre,attCmissHigh,goalsOpenplay,attOpenplay,saves,ptsGainedLosingPos,attGoalHighCentre,attCorner,attBxLeft,attPenMiss,goalAssistSetplay,goalAssistDeadball,accurateFreekickCross,attLgRight,attFreekickGoal,attObpGoal,totalFastbreak
11,266350,2008-11-01 15:00:00,"Fratton Park, Portsmouth",,Home,Portsmouth,Wigan Athletic,1,2,L,0,1,0,0,,2.0,78.0,2.0,2.0,29.0,28.0,7.0,3.0,5.0,10.0,9.0,15.0,7.0,185.0,66.0,4.0,20.0,1.0,10.0,3.0,,3.0,20.0,21.0,3.0,14.0,7.0,23.0,25.0,147.0,1.0,0.0,124.0,12.0,2.0,2.0,56.0,38.0,8.0,1.0,2.0,13.0,4.0,5.0,3.0,171.0,10.0,707.0,10.0,15.0,14.0,24.0,14.0,17.0,0.0,6.0,7.0,25.0,72.0,1.0,9047,155.0,7.0,1.0,187.0,4.0,70.0,2.0,1.0,4.0,8.0,2.0,2.0,64.0,292.0,11.0,6.0,4.0,48.0,95.0,,,0.0,6.0,2.0,2.0,6.0,0.0,5.0,,56.2,24.0,14.0,4.0,3.0,49.0,9.0,1.0,404.0,1.0,14.0,1.0,28.0,16.0,10.0,20.0,5.0,4.0,237.0,12.0,18.0,20.0,74.0,32.0,2.0,7.0,26.0,2.0,2.0,25.0,,2.0,9.0,,1.0,2.0,1.0,1.0,5.0,1.0,,3.0,,,,1.0,1.0,3.0,1.0,,,4.0,1.0,,,1.0,,3.0,,,,,1.0,,,,,,,,,2.0,,3.0,,,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,266361,2008-11-08 15:00:00,"Stadium of Light, Sunderland",,Away,Portsmouth,Sunderland,2,1,W,0,1,0,0,1.0,,73.0,2.0,1.0,36.0,30.0,7.0,3.0,1.0,2.0,10.0,7.0,3.0,166.0,59.0,,11.0,2.0,13.0,1.0,,,21.0,18.0,,20.0,3.0,34.0,42.0,182.0,1.0,0.0,111.0,10.0,2.0,,54.0,60.0,3.0,1.0,1.0,18.0,,3.0,5.0,156.0,3.0,726.0,6.0,10.0,14.0,24.0,12.0,24.0,1.0,1.0,4.0,27.0,66.0,3.0,9047,176.0,15.0,,191.0,3.0,74.0,7.0,2.0,10.0,6.0,2.0,,61.0,356.0,10.0,8.0,,33.0,100.0,,1.0,0.0,8.0,2.0,1.0,3.0,0.0,2.0,,48.1,23.0,10.0,10.0,3.0,59.0,3.0,,443.0,,14.0,,20.0,24.0,5.0,10.0,,,273.0,8.0,32.0,16.0,62.0,30.0,4.0,15.0,23.0,,3.0,33.0,,4.0,3.0,3.0,,5.0,,,,,,5.0,,,2.0,1.0,2.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,266373,2008-11-15 15:00:00,"Boleyn Ground, London",,Away,Portsmouth,West Ham United,0,0,D,0,0,0,0,,2.0,70.0,1.0,1.0,30.0,32.0,7.0,6.0,3.0,3.0,12.0,13.0,6.0,163.0,57.0,,15.0,3.0,9.0,4.0,1.0,3.0,23.0,23.0,2.0,17.0,6.0,17.0,44.0,153.0,,0.0,121.0,13.0,1.0,,51.0,55.0,10.0,1.0,2.0,17.0,,3.0,2.0,148.0,9.0,674.0,11.0,12.0,20.0,25.0,7.0,18.0,1.0,4.0,3.0,25.0,66.0,4.0,9047,139.0,13.0,,158.0,13.0,62.0,6.0,2.0,11.0,7.0,6.0,1.0,57.0,289.0,7.0,8.0,2.0,30.0,76.0,1.0,1.0,0.0,8.0,4.0,,5.0,0.0,3.0,1.0,46.7,21.0,9.0,11.0,4.0,42.0,8.0,,370.0,,19.0,,22.0,23.0,5.0,20.0,,3.0,235.0,7.0,16.0,11.0,79.0,25.0,1.0,7.0,27.0,,2.0,24.0,,1.0,8.0,1.0,,2.0,1.0,1.0,2.0,1.0,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,266379,2008-11-22 15:00:00,"Fratton Park, Portsmouth",,Home,Portsmouth,Hull City,2,2,D,1,0,0,0,,1.0,97.0,2.0,,33.0,38.0,8.0,3.0,2.0,7.0,10.0,12.0,5.0,194.0,75.0,,15.0,4.0,24.0,3.0,,,29.0,18.0,,15.0,6.0,16.0,34.0,134.0,1.0,0.0,126.0,13.0,2.0,2.0,37.0,48.0,6.0,1.0,,23.0,,8.0,3.0,171.0,12.0,683.0,10.0,27.0,15.0,26.0,24.0,25.0,2.0,4.0,6.0,14.0,77.0,1.0,9047,122.0,14.0,,143.0,11.0,60.0,4.0,1.0,6.0,7.0,4.0,2.0,71.0,249.0,13.0,4.0,1.0,53.0,103.0,,,0.0,7.0,3.0,2.0,7.0,0.0,5.0,1.0,51.0,9.0,23.0,7.0,4.0,43.0,7.0,,364.0,,15.0,,14.0,16.0,6.0,20.0,2.0,3.0,250.0,9.0,15.0,24.0,68.0,30.0,1.0,9.0,28.0,2.0,3.0,16.0,,1.0,7.0,3.0,,2.0,1.0,2.0,3.0,1.0,,2.0,,,,1.0,2.0,,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15,266389,2008-11-30 15:00:00,"Fratton Park, Portsmouth",18063.0,Home,Portsmouth,Blackburn Rovers,3,2,W,0,0,0,0,1.0,2.0,82.0,,,33.0,47.0,2.0,3.0,2.0,4.0,15.0,7.0,6.0,185.0,53.0,,9.0,,20.0,2.0,,3.0,28.0,9.0,1.0,28.0,7.0,25.0,26.0,157.0,,0.0,137.0,8.0,,,70.0,45.0,5.0,4.0,1.0,21.0,,9.0,2.0,166.0,6.0,690.0,3.0,5.0,24.0,23.0,8.0,24.0,0.0,1.0,2.0,25.0,74.0,1.0,9047,185.0,11.0,,206.0,8.0,60.0,5.0,3.0,9.0,5.0,1.0,2.0,79.0,338.0,12.0,6.0,1.0,45.0,96.0,,3.0,0.0,10.0,,2.0,3.0,0.0,3.0,,51.9,20.0,14.0,10.0,,40.0,8.0,,443.0,,24.0,,17.0,18.0,3.0,35.0,1.0,1.0,265.0,4.0,24.0,14.0,77.0,28.0,,13.0,12.0,1.0,3.0,26.0,,,8.0,,,2.0,,,2.0,1.0,,4.0,,1.0,,1.0,3.0,,3.0,,,,3.0,1.0,,3.0,,,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0,1.0,1.0,1.0,3.0,19.0,329.0,423.0,4.0,2.0,3.0,8.0,,,,,,,,,,,,,
16,266402,2008-12-07 15:00:00,"The Hawthorns, West Bromwich",24964.0,Away,Portsmouth,West Bromwich Albion,1,1,D,0,1,0,0,,,67.0,1.0,,50.0,31.0,5.0,1.0,,5.0,10.0,4.0,1.0,166.0,50.0,1.0,8.0,2.0,8.0,,,,21.0,15.0,,19.0,4.0,27.0,40.0,195.0,1.0,0.0,142.0,12.0,3.0,,86.0,35.0,2.0,,1.0,17.0,1.0,6.0,2.0,154.0,7.0,673.0,2.0,14.0,14.0,17.0,16.0,19.0,2.0,4.0,2.0,18.0,83.0,4.0,9047,163.0,10.0,,178.0,11.0,53.0,7.0,3.0,10.0,8.0,7.0,1.0,85.0,353.0,10.0,7.0,1.0,47.0,112.0,,,0.0,3.0,2.0,1.0,4.0,0.0,4.0,,54.0,16.0,4.0,10.0,2.0,63.0,5.0,,460.0,,14.0,,19.0,26.0,5.0,25.0,1.0,3.0,303.0,6.0,22.0,10.0,82.0,33.0,2.0,10.0,20.0,1.0,2.0,17.0,,2.0,5.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,,3.0,,1.0,5.0,20.0,338.0,440.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,
17,266409,2008-12-14 13:30:00,"Fratton Park, Portsmouth",,Home,Portsmouth,Newcastle United,0,3,L,0,0,0,0,,,60.0,1.0,1.0,40.0,28.0,14.0,4.0,1.0,5.0,10.0,12.0,3.0,158.0,57.0,,20.0,3.0,16.0,2.0,8.0,1.0,23.0,24.0,1.0,16.0,8.0,34.0,35.0,196.0,4.0,0.0,161.0,15.0,1.0,,90.0,39.0,4.0,1.0,3.0,15.0,,8.0,10.0,146.0,9.0,724.0,11.0,11.0,18.0,15.0,9.0,17.0,4.0,,8.0,28.0,85.0,2.0,7958,163.0,7.0,,183.0,9.0,59.0,8.0,3.0,5.0,2.0,8.0,4.0,70.0,354.0,5.0,7.0,1.0,27.0,88.0,8.0,1.0,0.0,5.0,1.0,3.0,4.0,0.0,4.0,,53.8,21.0,10.0,6.0,4.0,51.0,8.0,,449.0,,18.0,,13.0,19.0,13.0,24.0,1.0,3.0,289.0,15.0,31.0,16.0,99.0,28.0,1.0,11.0,26.0,3.0,2.0,18.0,,1.0,8.0,1.0,,2.0,,1.0,1.0,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,266416,2008-12-20 15:00:00,"Toughsheet Community Stadium, Bolton",19884.0,Away,Portsmouth,Bolton Wanderers,1,2,L,1,2,0,0,,2.0,61.0,1.0,5.0,42.0,48.0,3.0,1.0,,5.0,3.0,8.0,2.0,184.0,73.0,1.0,12.0,,17.0,1.0,,,12.0,22.0,,30.0,3.0,30.0,30.0,120.0,,0.0,135.0,16.0,3.0,1.0,20.0,58.0,5.0,,4.0,9.0,1.0,1.0,3.0,166.0,12.0,658.0,6.0,27.0,11.0,23.0,22.0,27.0,1.0,4.0,3.0,25.0,96.0,2.0,7958,138.0,6.0,,166.0,17.0,57.0,5.0,3.0,4.0,7.0,11.0,1.0,84.0,253.0,13.0,6.0,1.0,65.0,115.0,,1.0,0.0,7.0,4.0,2.0,7.0,0.0,3.0,1.0,55.8,21.0,8.0,4.0,5.0,57.0,3.0,,379.0,,11.0,1.0,8.0,13.0,5.0,26.0,2.0,2.0,225.0,9.0,28.0,28.0,63.0,18.0,2.0,16.0,29.0,2.0,2.0,15.0,,2.0,3.0,,,,,3.0,2.0,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,,1.0,1.0,1.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
19,266429,2008-12-26 13:00:00,"Fratton Park, Portsmouth",20102.0,Home,Portsmouth,West Ham United,1,4,L,1,1,0,0,,,90.0,2.0,1.0,45.0,23.0,11.0,6.0,5.0,8.0,18.0,18.0,7.0,180.0,67.0,,23.0,5.0,4.0,3.0,1.0,4.0,48.0,24.0,3.0,12.0,9.0,38.0,29.0,294.0,,0.0,217.0,14.0,,1.0,106.0,53.0,11.0,,3.0,39.0,,17.0,3.0,169.0,10.0,861.0,14.0,9.0,16.0,21.0,5.0,10.0,1.0,4.0,7.0,20.0,84.0,3.0,7958,142.0,19.0,,156.0,9.0,54.0,7.0,1.0,10.0,6.0,6.0,2.0,69.0,428.0,10.0,3.0,3.0,25.0,84.0,1.0,,0.0,5.0,1.0,4.0,5.0,0.0,6.0,,58.9,19.0,22.0,10.0,6.0,51.0,9.0,,518.0,,16.0,,14.0,17.0,10.0,29.0,2.0,6.0,410.0,15.0,35.0,9.0,163.0,38.0,2.0,2.0,29.0,4.0,2.0,37.0,,2.0,9.0,3.0,,,,2.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
20,266434,2008-12-28 14:00:00,"Emirates Stadium, London",60092.0,Away,Portsmouth,Arsenal,0,1,L,0,0,0,0,,,59.0,1.0,,32.0,32.0,2.0,1.0,,4.0,10.0,4.0,2.0,142.0,73.0,1.0,5.0,2.0,12.0,2.0,,,17.0,29.0,,18.0,1.0,29.0,25.0,139.0,,0.0,96.0,8.0,1.0,2.0,51.0,48.0,3.0,2.0,,16.0,1.0,7.0,,128.0,12.0,670.0,3.0,15.0,18.0,19.0,15.0,16.0,2.0,6.0,1.0,11.0,62.0,1.0,7958,199.0,8.0,,214.0,10.0,62.0,3.0,4.0,8.0,5.0,4.0,,57.0,334.0,11.0,16.0,1.0,33.0,76.0,,2.0,0.0,11.0,1.0,1.0,7.0,0.0,4.0,,40.7,8.0,8.0,8.0,2.0,46.0,2.0,,410.0,,17.0,,15.0,12.0,1.0,21.0,,,213.0,2.0,25.0,14.0,54.0,22.0,5.0,7.0,38.0,1.0,3.0,21.0,,5.0,2.0,,,2.0,,1.0,1.0,,,3.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,2.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,266461,2009-01-18 16:00:00,"White Hart Lane, London",36011.0,Away,Portsmouth,Tottenham Hotspur,1,1,D,0,0,0,0,1.0,,69.0,6.0,3.0,33.0,38.0,3.0,2.0,1.0,4.0,16.0,9.0,3.0,177.0,68.0,,12.0,,15.0,1.0,3.0,,13.0,26.0,1.0,18.0,4.0,14.0,40.0,158.0,,0.0,130.0,11.0,7.0,1.0,43.0,55.0,4.0,2.0,2.0,9.0,,4.0,1.0,157.0,15.0,728.0,8.0,21.0,19.0,15.0,7.0,16.0,2.0,5.0,5.0,23.0,85.0,2.0,9047,145.0,5.0,,165.0,11.0,80.0,6.0,,9.0,14.0,5.0,2.0,63.0,299.0,6.0,17.0,1.0,26.0,92.0,3.0,1.0,0.0,8.0,3.0,1.0,6.0,0.0,2.0,1.0,49.5,21.0,8.0,9.0,3.0,50.0,4.0,,401.0,,19.0,,25.0,21.0,6.0,13.0,2.0,5.0,249.0,8.0,13.0,11.0,71.0,34.0,3.0,8.0,35.0,,3.0,28.0,,3.0,4.0,2.0,,1.0,,,2.0,2.0,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,266464,2009-01-27 20:00:00,"Fratton Park, Portsmouth",19073.0,Home,Portsmouth,Aston Villa,0,1,L,0,1,1,0,1.0,1.0,75.0,,2.0,35.0,37.0,10.0,8.0,4.0,6.0,7.0,10.0,4.0,212.0,64.0,,20.0,5.0,18.0,2.0,,1.0,38.0,22.0,2.0,20.0,14.0,29.0,61.0,219.0,,0.0,175.0,10.0,,1.0,70.0,71.0,4.0,1.0,4.0,24.0,,8.0,3.0,195.0,5.0,778.0,7.0,23.0,7.0,17.0,10.0,25.0,1.0,1.0,6.0,33.0,87.0,1.0,9047,130.0,15.0,,158.0,15.0,63.0,4.0,,4.0,4.0,9.0,3.0,65.0,343.0,12.0,2.0,3.0,31.0,93.0,,,0.0,5.0,,1.0,11.0,1.0,3.0,1.0,65.3,30.0,18.0,5.0,7.0,56.0,17.0,,462.0,,7.0,,20.0,36.0,9.0,32.0,3.0,6.0,342.0,9.0,27.0,20.0,111.0,35.0,1.0,13.0,24.0,,2.0,21.0,,1.0,17.0,1.0,,1.0,,2.0,3.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,266488,2009-02-07 17:30:00,"Fratton Park, Portsmouth",20524.0,Home,Portsmouth,Liverpool,2,3,L,0,0,0,0,,,69.0,2.0,1.0,28.0,44.0,5.0,2.0,2.0,2.0,3.0,6.0,5.0,200.0,50.0,2.0,9.0,1.0,8.0,1.0,,1.0,15.0,15.0,2.0,25.0,2.0,25.0,38.0,153.0,1.0,0.0,142.0,13.0,1.0,,55.0,49.0,5.0,,,13.0,2.0,6.0,2.0,179.0,7.0,657.0,4.0,17.0,16.0,17.0,13.0,23.0,1.0,4.0,1.0,19.0,82.0,1.0,9047,108.0,5.0,,142.0,10.0,60.0,5.0,2.0,6.0,9.0,3.0,1.0,59.0,259.0,10.0,13.0,,34.0,99.0,,,0.0,4.0,,3.0,7.0,0.0,2.0,1.0,42.7,15.0,11.0,6.0,2.0,51.0,2.0,,385.0,,16.0,1.0,15.0,19.0,2.0,23.0,,,258.0,6.0,23.0,17.0,80.0,28.0,2.0,13.0,20.0,3.0,1.0,15.0,2.0,4.0,2.0,,1.0,,,1.0,1.0,,,,,1.0,,1.0,2.0,,1.0,,,,2.0,,1.0,2.0,,,2.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,
25,266451,2009-02-14 15:00:00,"Fratton Park, Portsmouth",20018.0,Home,Portsmouth,Manchester City,2,0,W,0,0,0,0,,,62.0,3.0,2.0,32.0,26.0,2.0,3.0,3.0,6.0,7.0,12.0,7.0,182.0,56.0,,16.0,1.0,12.0,5.0,,3.0,25.0,22.0,,13.0,5.0,20.0,38.0,141.0,,0.0,134.0,13.0,,1.0,41.0,71.0,7.0,2.0,2.0,20.0,,12.0,1.0,168.0,5.0,646.0,8.0,16.0,27.0,16.0,13.0,11.0,1.0,1.0,5.0,27.0,87.0,2.0,9047,116.0,8.0,,133.0,8.0,52.0,7.0,3.0,8.0,5.0,6.0,2.0,68.0,251.0,9.0,8.0,3.0,41.0,106.0,,,0.0,2.0,3.0,,5.0,0.0,4.0,,41.0,19.0,12.0,9.0,3.0,55.0,8.0,,367.0,,27.0,,11.0,21.0,6.0,29.0,2.0,5.0,259.0,9.0,16.0,12.0,68.0,24.0,1.0,7.0,28.0,,2.0,15.0,,2.0,8.0,2.0,,,1.0,1.0,4.0,2.0,,,,1.0,,1.0,2.0,,,,1.0,,1.0,,2.0,2.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
26,266503,2009-02-21 15:00:00,"bet365 Stadium, Stoke",,Away,Portsmouth,Stoke City,2,2,D,0,0,0,0,,1.0,88.0,,1.0,42.0,39.0,3.0,3.0,,3.0,5.0,4.0,3.0,188.0,52.0,,9.0,1.0,23.0,2.0,,1.0,25.0,17.0,,16.0,3.0,15.0,53.0,222.0,,0.0,141.0,11.0,,,46.0,93.0,3.0,2.0,1.0,22.0,,12.0,2.0,165.0,6.0,680.0,2.0,10.0,9.0,21.0,8.0,23.0,3.0,1.0,1.0,25.0,81.0,1.0,9047,134.0,9.0,1.0,161.0,6.0,59.0,3.0,,10.0,3.0,4.0,3.0,81.0,353.0,7.0,6.0,1.0,38.0,91.0,,,0.0,2.0,,2.0,4.0,0.0,3.0,3.0,62.5,20.0,10.0,10.0,2.0,48.0,3.0,1.0,469.0,1.0,9.0,,15.0,28.0,4.0,34.0,,2.0,333.0,3.0,13.0,16.0,84.0,35.0,1.0,9.0,24.0,2.0,3.0,10.0,,1.0,3.0,,,4.0,2.0,1.0,3.0,1.0,1.0,5.0,,,,1.0,2.0,,1.0,,,,1.0,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,,3.0,,1.0,7.0,,,,,1.0,,,,1.0,,,,
28,266514,2009-03-03 19:45:00,"Fratton Park, Portsmouth",,Home,Portsmouth,Chelsea,0,1,L,0,0,0,0,,,59.0,4.0,2.0,23.0,34.0,10.0,1.0,2.0,8.0,6.0,9.0,2.0,159.0,53.0,2.0,15.0,5.0,9.0,1.0,1.0,2.0,20.0,17.0,1.0,21.0,6.0,21.0,40.0,139.0,,0.0,127.0,7.0,4.0,,48.0,35.0,4.0,1.0,2.0,14.0,2.0,4.0,4.0,146.0,7.0,610.0,9.0,17.0,19.0,20.0,11.0,13.0,0.0,4.0,5.0,25.0,75.0,1.0,9047,110.0,6.0,,127.0,13.0,43.0,1.0,,4.0,13.0,4.0,1.0,52.0,241.0,16.0,11.0,,31.0,90.0,1.0,,0.0,6.0,2.0,1.0,10.0,0.0,5.0,1.0,42.4,20.0,9.0,4.0,7.0,35.0,6.0,,345.0,,19.0,,8.0,17.0,6.0,22.0,3.0,2.0,238.0,13.0,20.0,7.0,65.0,21.0,4.0,5.0,24.0,1.0,1.0,14.0,,4.0,6.0,2.0,,,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,266531,2009-03-14 15:00:00,"Riverside Stadium, Middlesbrough",24281.0,Away,Portsmouth,Middlesbrough,1,1,D,1,0,0,1,,,58.0,2.0,3.0,23.0,72.0,2.0,1.0,1.0,5.0,6.0,9.0,4.0,148.0,45.0,1.0,11.0,,4.0,2.0,1.0,,16.0,19.0,1.0,44.0,3.0,12.0,32.0,137.0,,0.0,111.0,11.0,3.0,3.0,29.0,66.0,6.0,1.0,,13.0,1.0,5.0,2.0,120.0,13.0,633.0,8.0,12.0,10.0,20.0,8.0,41.0,3.0,6.0,3.0,19.0,63.0,1.0,9047,133.0,5.0,,143.0,9.0,42.0,3.0,1.0,7.0,8.0,3.0,1.0,53.0,265.0,10.0,6.0,,29.0,87.0,1.0,1.0,0.0,12.0,4.0,1.0,2.0,0.0,5.0,1.0,48.1,14.0,6.0,7.0,3.0,40.0,4.0,,341.0,,10.0,1.0,13.0,20.0,4.0,22.0,,1.0,214.0,7.0,11.0,7.0,68.0,17.0,5.0,28.0,22.0,1.0,3.0,14.0,,5.0,4.0,2.0,,4.0,2.0,,3.0,1.0,,4.0,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
30,266539,2009-03-21 12:45:00,"Fratton Park, Portsmouth",20388.0,Home,Portsmouth,Everton,2,1,W,1,1,0,0,1.0,,78.0,,,33.0,67.0,12.0,2.0,,5.0,7.0,15.0,4.0,189.0,48.0,1.0,17.0,7.0,5.0,2.0,1.0,1.0,24.0,16.0,,39.0,7.0,20.0,32.0,144.0,2.0,0.0,150.0,19.0,,,47.0,43.0,11.0,,,17.0,1.0,5.0,4.0,161.0,3.0,663.0,12.0,11.0,19.0,21.0,14.0,50.0,2.0,1.0,4.0,24.0,86.0,1.0,9047,99.0,12.0,,116.0,6.0,57.0,3.0,1.0,5.0,3.0,5.0,1.0,65.0,238.0,8.0,6.0,1.0,43.0,72.0,1.0,,0.0,4.0,1.0,1.0,4.0,0.0,2.0,1.0,48.8,14.0,20.0,5.0,7.0,37.0,7.0,,340.0,,18.0,,17.0,15.0,6.0,34.0,3.0,1.0,248.0,12.0,16.0,13.0,83.0,26.0,3.0,29.0,20.0,,1.0,17.0,,3.0,7.0,2.0,,3.0,1.0,,3.0,,,3.0,,1.0,1.0,,2.0,1.0,1.0,,,1.0,2.0,,,2.0,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
31,266549,2009-04-04 15:00:00,"The MKM Stadium, Hull",24802.0,Away,Portsmouth,Hull City,0,0,D,0,0,1,0,,,51.0,,,24.0,58.0,1.0,,,6.0,4.0,3.0,1.0,181.0,68.0,,5.0,,12.0,1.0,,1.0,24.0,24.0,,27.0,4.0,8.0,27.0,105.0,,0.0,88.0,14.0,,,36.0,44.0,1.0,1.0,,20.0,,9.0,1.0,150.0,4.0,549.0,2.0,14.0,11.0,17.0,12.0,40.0,1.0,1.0,2.0,21.0,66.0,,9047,86.0,8.0,,106.0,15.0,52.0,,3.0,4.0,6.0,6.0,2.0,50.0,185.0,13.0,9.0,1.0,31.0,89.0,,1.0,0.0,1.0,1.0,,4.0,1.0,5.0,,47.5,19.0,12.0,6.0,,37.0,4.0,,284.0,,11.0,,9.0,12.0,4.0,29.0,1.0,2.0,202.0,1.0,6.0,21.0,38.0,14.0,1.0,17.0,30.0,,2.0,12.0,,1.0,4.0,,,4.0,1.0,1.0,4.0,2.0,,4.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
