gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,totalFastbreak,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,redCard,lostCorners,accurateFlickOn,totalRedCard,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,penaltySave,goalAssistSetplay,goals,fouledFinalThird,postScoringAtt,attIboxPost,attGoalHighRight,attSvHighRight,attOboxGoal,ptsGainedLosingPos,divingSave,midfielderGoals,freekickCross,attPostLeft,attHdPost,attHdTarget,hitWoodwork,goalAssist,accurateFreekickCross,attSetpiece,penaltyConceded,attRfGoal,attMissHigh,overrun,savedIbox,goalsConceded,accurateCrossNocorner,goalAssistIntentional,penaltyFaced,goalsConcededIbox,goalsConcededObox,bigChanceScored,attGoalLowCentre,attCmissRight,attOboxBlocked,penaltyWon,goodHighClaim,attMissHighLeft,accurateThroughBall,sixYardBlock,totalThroughBall,attPenGoal,punches,attIboxGoal,totalHighClaim,forwardGoals,attLfGoal,accuratePullBack,attSvHighLeft,attSvLowLeft,secondYellow,goalsOpenplay,attGoalHighLeft,foulThrowIn,attHdGoal,errorLeadToGoal,attGoalLowRight,goalAssistOpenplay,ownGoals,attIboxOwnGoal,attCmissLeft,goalFastbreak,attOneOnOne,attGoalLowLeft,errorLeadToShot,attLfTarget,attSvHighCentre,attFreekickTotal,freekickTotal,attFreekickTarget,goalAssistDeadball,attPostHigh,attLgCentre,attObxdLeft,attFreekickGoal,accurateKeeperSweeper,totalKeeperSweeper,defenderGoals,ptsDroppedWinningPos,attCmissHigh,attFreekickMiss,attObxLeft,attPostRight,attLgRight,attGoalHighCentre,clearanceOffLine,attFreekickPost,attOboxPost,penGoalsConceded
11,1059803,2019-11-02 15:00:00,"Emirates Stadium, London",60383.0,Away,Wolverhampton Wanderers,Arsenal,1,1,D,0,1,0,0,,62.0,,7.0,39.0,21.0,9.0,5.0,15.0,3.0,3.0,155.0,6.0,11.0,16.0,8.0,95.0,130.0,57.0,24.0,7.0,5.0,1.0,2.0,1.0,1.0,25.0,13.0,2.0,21.0,7.0,4.0,54.0,172.0,,,0.0,129.0,15.0,1.0,52.0,63.0,14.0,70.0,3.0,,18.0,22.0,9.0,3.0,2.0,130.0,1.0,,9.0,77.0,613.0,13.0,5.0,34.0,14.0,301.0,29.0,5.0,16.0,2.0,1.0,2.0,21.0,379.0,40.0,94147,9.0,150.0,1.0,14.0,180.0,9.0,1.0,22.0,8.0,48.0,2.0,5.0,11.0,1.0,6.0,57.0,316.0,6.0,10.0,2.0,13.0,4.0,54.0,1.0,1.0,0.0,8.0,1.0,0.0,1.0,3.0,42.5,21.0,,4.0,4.0,5.0,12.0,37.0,9.0,397.0,14.0,8.0,37.0,4.0,31.0,3.0,2.0,242.0,16.0,4.0,18.0,100.0,20.0,3.0,16.0,22.0,17.0,2.0,19.0,3.0,6.0,9.0,,1.0,1.0,2.0,,,,1.0,,1.0,1.0,,1.0,,,2.0,,1.0,,1.0,,,3.0,1.0,3.0,1.0,3.0,1.0,,1.0,,,1.0,,5.0,,1.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,3.0,,,,,1.0,,,,,,,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12,1059821,2019-11-10 14:00:00,"Molineux Stadium, Wolverhampton",31607.0,Home,Wolverhampton Wanderers,Aston Villa,2,1,W,1,0,0,0,2.0,60.0,2.0,2.0,40.0,28.0,5.0,7.0,12.0,3.0,1.0,140.0,4.0,21.0,12.0,5.0,84.0,127.0,59.0,17.0,13.0,2.0,4.0,2.0,1.0,1.0,21.0,8.0,1.0,28.0,6.0,7.0,57.0,169.0,2.0,,0.0,122.0,17.0,5.0,48.0,76.0,8.0,58.0,1.0,3.0,15.0,15.0,5.0,2.0,,127.0,,1.0,5.0,103.0,594.0,10.0,4.0,33.0,11.0,297.0,28.0,7.0,21.0,4.0,4.0,4.0,19.0,366.0,57.0,94147,6.0,144.0,3.0,13.0,170.0,4.0,1.0,15.0,6.0,65.0,,3.0,12.0,8.0,4.0,67.0,309.0,5.0,17.0,,14.0,,62.0,4.0,,0.0,3.0,3.0,0.0,,1.0,50.1,18.0,,2.0,2.0,3.0,5.0,44.0,6.0,385.0,11.0,9.0,29.0,7.0,24.0,1.0,6.0,236.0,9.0,7.0,19.0,87.0,23.0,2.0,21.0,14.0,16.0,3.0,32.0,2.0,6.0,6.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,,,1.0,,,,1.0,2.0,2.0,,1.0,,2.0,,1.0,1.0,1.0,3.0,2.0,,1.0,,,,2.0,3.0,,,,,,2.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,
13,1059822,2019-11-23 15:00:00,"Vitality Stadium, Bournemouth",10539.0,Away,Wolverhampton Wanderers,Bournemouth,2,1,W,2,0,0,1,3.0,50.0,,1.0,49.0,27.0,9.0,4.0,7.0,2.0,3.0,158.0,5.0,7.0,12.0,8.0,127.0,111.0,49.0,18.0,12.0,4.0,2.0,,3.0,4.0,21.0,6.0,2.0,27.0,3.0,4.0,38.0,198.0,1.0,,0.0,123.0,12.0,2.0,68.0,67.0,7.0,88.0,3.0,2.0,18.0,18.0,11.0,4.0,6.0,111.0,1.0,,7.0,136.0,689.0,10.0,5.0,26.0,6.0,422.0,17.0,6.0,13.0,1.0,3.0,5.0,19.0,481.0,47.0,94147,6.0,250.0,,14.0,268.0,4.0,,18.0,6.0,39.0,4.0,3.0,12.0,2.0,3.0,71.0,443.0,10.0,9.0,1.0,10.0,4.0,85.0,2.0,1.0,0.0,5.0,1.0,0.0,1.0,2.0,53.4,16.0,1.0,4.0,,3.0,3.0,57.0,9.0,509.0,6.0,5.0,24.0,7.0,22.0,1.0,1.0,262.0,12.0,4.0,22.0,94.0,21.0,2.0,13.0,11.0,12.0,1.0,11.0,2.0,11.0,9.0,,1.0,2.0,2.0,,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,4.0,1.0,,1.0,,1.0,,2.0,2.0,,,,2.0,,3.0,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,,2.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
14,1059841,2019-12-01 14:00:00,"Molineux Stadium, Wolverhampton",31642.0,Home,Wolverhampton Wanderers,Sheffield United,1,1,D,0,1,0,0,,59.0,,4.0,41.0,13.0,5.0,1.0,8.0,3.0,1.0,155.0,7.0,16.0,8.0,3.0,149.0,156.0,75.0,13.0,26.0,1.0,,,1.0,1.0,32.0,8.0,1.0,13.0,4.0,7.0,51.0,208.0,2.0,,0.0,122.0,12.0,,60.0,84.0,6.0,69.0,1.0,1.0,28.0,7.0,5.0,4.0,2.0,156.0,1.0,3.0,9.0,144.0,718.0,6.0,5.0,30.0,11.0,402.0,21.0,3.0,5.0,1.0,,2.0,17.0,492.0,42.0,94147,4.0,221.0,1.0,18.0,257.0,4.0,1.0,7.0,5.0,63.0,1.0,8.0,14.0,1.0,3.0,62.0,422.0,16.0,7.0,1.0,12.0,4.0,65.0,,,0.0,2.0,3.0,0.0,,2.0,59.4,16.0,,2.0,2.0,8.0,6.0,41.0,7.0,517.0,11.0,11.0,30.0,4.0,29.0,1.0,2.0,292.0,8.0,5.0,26.0,86.0,28.0,,5.0,17.0,7.0,,24.0,,4.0,7.0,,,1.0,5.0,,,,1.0,,1.0,1.0,1.0,6.0,,,1.0,,1.0,,2.0,,,,1.0,3.0,1.0,6.0,1.0,,1.0,,1.0,,,2.0,,1.0,,,2.0,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
15,1059847,2019-12-04 19:30:00,"Molineux Stadium, Wolverhampton",31217.0,Home,Wolverhampton Wanderers,West Ham United,2,0,W,1,0,0,0,1.0,65.0,,,39.0,17.0,1.0,2.0,12.0,3.0,4.0,164.0,7.0,16.0,12.0,7.0,122.0,145.0,63.0,13.0,16.0,5.0,2.0,1.0,1.0,3.0,22.0,5.0,,17.0,4.0,8.0,57.0,208.0,,1.0,0.0,121.0,8.0,2.0,58.0,87.0,6.0,79.0,,2.0,18.0,19.0,1.0,,1.0,145.0,2.0,,4.0,114.0,680.0,9.0,5.0,32.0,17.0,377.0,22.0,2.0,8.0,1.0,1.0,6.0,20.0,463.0,44.0,94147,8.0,189.0,1.0,15.0,221.0,4.0,,19.0,5.0,63.0,3.0,2.0,12.0,2.0,4.0,66.0,390.0,8.0,17.0,1.0,13.0,3.0,77.0,2.0,,0.0,4.0,1.0,0.0,,3.0,49.4,19.0,3.0,2.0,2.0,2.0,,48.0,5.0,479.0,17.0,11.0,35.0,6.0,22.0,2.0,5.0,280.0,8.0,7.0,28.0,98.0,34.0,1.0,8.0,12.0,8.0,3.0,28.0,1.0,9.0,5.0,,1.0,2.0,3.0,,,,1.0,,,2.0,,3.0,,,,1.0,2.0,2.0,2.0,,2.0,1.0,2.0,3.0,,5.0,2.0,,,,1.0,,1.0,,,,,1.0,,1.0,,1.0,2.0,,,,,,2.0,,1.0,,,,,,1.0,,,,,1.0,2.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,
16,1059854,2019-12-08 16:30:00,"American Express Stadium, Falmer",30189.0,Away,Wolverhampton Wanderers,Brighton and Hove Albion,2,2,D,2,2,0,0,,64.0,2.0,4.0,31.0,11.0,2.0,4.0,11.0,3.0,1.0,141.0,3.0,16.0,9.0,6.0,82.0,141.0,53.0,13.0,17.0,4.0,,2.0,1.0,2.0,10.0,5.0,,11.0,2.0,6.0,60.0,119.0,,,0.0,107.0,7.0,,49.0,57.0,8.0,48.0,,,8.0,23.0,2.0,3.0,1.0,141.0,3.0,1.0,7.0,85.0,521.0,7.0,5.0,29.0,10.0,242.0,24.0,4.0,7.0,0.0,3.0,1.0,20.0,329.0,40.0,94147,8.0,142.0,2.0,3.0,170.0,5.0,2.0,23.0,11.0,43.0,3.0,4.0,16.0,6.0,5.0,66.0,258.0,9.0,6.0,,14.0,1.0,64.0,,2.0,0.0,3.0,1.0,0.0,,2.0,38.0,19.0,,6.0,1.0,4.0,5.0,28.0,4.0,356.0,10.0,8.0,34.0,2.0,20.0,,1.0,196.0,6.0,6.0,20.0,67.0,26.0,2.0,7.0,9.0,12.0,3.0,21.0,2.0,11.0,4.0,,,2.0,2.0,,,,,,1.0,,,2.0,,,2.0,,2.0,1.0,,,1.0,,2.0,1.0,2.0,3.0,2.0,,2.0,,1.0,1.0,,1.0,,,,,1.0,2.0,,,2.0,,2.0,1.0,1.0,,1.0,,2.0,,1.0,,1.0,1.0,2.0,,,1.0,,1.0,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,,,
17,1059871,2019-12-15 14:00:00,"Molineux Stadium, Wolverhampton",31674.0,Home,Wolverhampton Wanderers,Tottenham Hotspur,1,2,L,0,1,0,0,2.0,82.0,,4.0,40.0,9.0,9.0,6.0,10.0,3.0,1.0,192.0,5.0,20.0,13.0,5.0,119.0,184.0,65.0,19.0,24.0,3.0,,3.0,1.0,1.0,33.0,9.0,1.0,9.0,8.0,4.0,69.0,227.0,,,0.0,174.0,14.0,,67.0,98.0,11.0,86.0,1.0,2.0,25.0,12.0,9.0,3.0,1.0,184.0,,1.0,8.0,97.0,699.0,10.0,2.0,36.0,13.0,363.0,26.0,,3.0,4.0,1.0,2.0,18.0,475.0,61.0,94147,4.0,157.0,,18.0,190.0,6.0,3.0,12.0,4.0,72.0,,5.0,19.0,1.0,3.0,78.0,379.0,10.0,18.0,2.0,16.0,1.0,77.0,,1.0,0.0,2.0,1.0,0.0,,2.0,57.8,18.0,1.0,8.0,1.0,5.0,10.0,44.0,11.0,494.0,13.0,13.0,36.0,4.0,38.0,1.0,3.0,337.0,10.0,4.0,17.0,126.0,39.0,,3.0,18.0,15.0,,25.0,,4.0,11.0,,,1.0,4.0,,,,,1.0,,1.0,,4.0,,,1.0,,1.0,1.0,2.0,,1.0,1.0,4.0,3.0,2.0,4.0,,,2.0,,,,2.0,6.0,,,,,,,,,,,1.0,,,,2.0,,1.0,1.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
18,1059878,2019-12-21 15:00:00,"Carrow Road, Norwich",27053.0,Away,Wolverhampton Wanderers,Norwich City,2,1,W,0,1,0,0,,63.0,2.0,7.0,47.0,12.0,2.0,4.0,12.0,6.0,1.0,160.0,7.0,12.0,11.0,4.0,113.0,135.0,52.0,14.0,20.0,2.0,2.0,4.0,2.0,1.0,22.0,8.0,,12.0,7.0,16.0,42.0,177.0,,,0.0,102.0,14.0,2.0,59.0,70.0,11.0,75.0,,,15.0,17.0,2.0,1.0,1.0,135.0,2.0,,8.0,92.0,618.0,10.0,5.0,24.0,10.0,338.0,24.0,13.0,6.0,4.0,1.0,,17.0,416.0,38.0,94147,5.0,187.0,1.0,12.0,218.0,11.0,,17.0,9.0,67.0,2.0,3.0,14.0,5.0,7.0,72.0,357.0,7.0,18.0,,28.0,1.0,71.0,2.0,,0.0,4.0,1.0,0.0,,1.0,49.8,17.0,,6.0,2.0,4.0,8.0,46.0,11.0,440.0,10.0,5.0,24.0,2.0,24.0,2.0,1.0,244.0,9.0,14.0,20.0,79.0,25.0,1.0,6.0,13.0,13.0,2.0,22.0,1.0,9.0,11.0,,1.0,2.0,2.0,,,,,,3.0,5.0,,2.0,,,,,1.0,,,,1.0,,5.0,4.0,1.0,5.0,1.0,,1.0,,2.0,,,1.0,,1.0,1.0,,,,,,2.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
19,1059891,2019-12-27 19:45:00,"Molineux Stadium, Wolverhampton",31737.0,Home,Wolverhampton Wanderers,Manchester City,3,2,W,0,1,0,1,,48.0,,5.0,35.0,2.0,10.0,6.0,11.0,1.0,4.0,136.0,10.0,18.0,19.0,8.0,183.0,121.0,64.0,21.0,18.0,1.0,,2.0,3.0,,34.0,7.0,4.0,2.0,1.0,3.0,50.0,308.0,,,0.0,187.0,7.0,,117.0,83.0,14.0,78.0,,4.0,33.0,14.0,10.0,8.0,3.0,121.0,3.0,1.0,5.0,167.0,759.0,14.0,1.0,37.0,7.0,482.0,16.0,,1.0,0.0,1.0,5.0,26.0,545.0,76.0,94147,4.0,202.0,3.0,20.0,211.0,4.0,,14.0,6.0,50.0,,2.0,16.0,2.0,6.0,50.0,500.0,12.0,9.0,2.0,3.0,2.0,54.0,,,0.0,1.0,,0.0,,2.0,61.9,26.0,2.0,4.0,1.0,2.0,7.0,40.0,3.0,564.0,7.0,8.0,27.0,6.0,32.0,1.0,3.0,387.0,11.0,3.0,21.0,147.0,26.0,,1.0,13.0,16.0,3.0,26.0,,7.0,3.0,1.0,,3.0,7.0,,,,,1.0,3.0,1.0,1.0,5.0,,,,,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,9.0,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,,,2.0,2.0,5.0,,,2.0,,2.0,2.0,,,1.0,,3.0,,,,,,3.0,,,,,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,
20,1059895,2019-12-29 16:30:00,"Anfield, Liverpool",53326.0,Away,Wolverhampton Wanderers,Liverpool,0,1,L,0,1,0,0,1.0,53.0,1.0,1.0,33.0,20.0,6.0,4.0,4.0,2.0,1.0,155.0,4.0,22.0,6.0,2.0,69.0,153.0,76.0,10.0,18.0,1.0,,1.0,1.0,1.0,18.0,12.0,1.0,20.0,5.0,2.0,60.0,121.0,,,0.0,69.0,3.0,,53.0,50.0,1.0,56.0,1.0,,13.0,15.0,6.0,3.0,3.0,153.0,,1.0,7.0,72.0,559.0,5.0,9.0,10.0,10.0,241.0,28.0,5.0,7.0,0.0,3.0,5.0,24.0,328.0,34.0,94147,2.0,141.0,,10.0,181.0,,,15.0,13.0,46.0,5.0,1.0,12.0,3.0,8.0,70.0,258.0,5.0,7.0,1.0,14.0,1.0,67.0,,,0.0,5.0,3.0,0.0,1.0,1.0,37.1,21.0,1.0,2.0,1.0,1.0,3.0,39.0,6.0,352.0,10.0,11.0,26.0,5.0,20.0,2.0,2.0,189.0,5.0,2.0,26.0,43.0,20.0,1.0,7.0,23.0,8.0,3.0,30.0,1.0,7.0,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,6.0,1.0,1.0,2.0,,,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,
21,1059910,2020-01-01 15:00:00,"Vicarage Road, Watford",20584.0,Away,Wolverhampton Wanderers,Watford,1,2,L,0,1,0,1,1.0,66.0,,2.0,43.0,7.0,8.0,3.0,8.0,1.0,2.0,180.0,4.0,19.0,12.0,4.0,154.0,147.0,71.0,16.0,24.0,2.0,,,1.0,4.0,32.0,14.0,1.0,7.0,4.0,4.0,52.0,277.0,1.0,,0.0,149.0,6.0,,89.0,92.0,7.0,85.0,,,28.0,13.0,8.0,4.0,3.0,147.0,2.0,,6.0,159.0,773.0,10.0,6.0,24.0,9.0,469.0,28.0,4.0,5.0,1.0,2.0,5.0,12.0,555.0,68.0,94147,6.0,218.0,2.0,22.0,247.0,2.0,1.0,13.0,7.0,50.0,,6.0,15.0,3.0,7.0,69.0,491.0,12.0,10.0,1.0,17.0,4.0,77.0,,2.0,0.0,4.0,2.0,0.0,,2.0,63.6,11.0,1.0,2.0,2.0,6.0,5.0,51.0,7.0,578.0,9.0,7.0,31.0,7.0,39.0,,4.0,363.0,10.0,3.0,18.0,111.0,27.0,2.0,5.0,23.0,11.0,3.0,25.0,2.0,4.0,7.0,,,1.0,3.0,,,1.0,,1.0,,1.0,,2.0,,,1.0,,1.0,,,,,2.0,2.0,1.0,2.0,4.0,,,2.0,,,,,3.0,,,,1.0,,3.0,,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,,1.0,,,3.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
22,1059921,2020-01-11 15:00:00,"Molineux Stadium, Wolverhampton",31570.0,Home,Wolverhampton Wanderers,Newcastle United,1,1,D,1,1,0,0,1.0,68.0,,1.0,38.0,8.0,4.0,,5.0,,1.0,153.0,2.0,13.0,5.0,4.0,193.0,148.0,58.0,9.0,15.0,3.0,1.0,,2.0,2.0,20.0,9.0,,8.0,3.0,4.0,41.0,207.0,1.0,,0.0,135.0,13.0,1.0,106.0,75.0,3.0,84.0,,,17.0,15.0,4.0,1.0,3.0,148.0,2.0,1.0,1.0,163.0,779.0,4.0,2.0,19.0,14.0,492.0,32.0,,8.0,0.0,2.0,2.0,22.0,574.0,69.0,94147,3.0,300.0,3.0,13.0,323.0,5.0,1.0,15.0,5.0,52.0,,4.0,20.0,4.0,1.0,65.0,505.0,12.0,11.0,1.0,8.0,2.0,85.0,1.0,1.0,0.0,2.0,2.0,0.0,,2.0,65.7,21.0,,6.0,,4.0,2.0,57.0,5.0,593.0,14.0,5.0,21.0,3.0,22.0,,,290.0,7.0,4.0,18.0,93.0,26.0,,8.0,16.0,6.0,1.0,23.0,,5.0,5.0,,,1.0,4.0,,,,,,1.0,,,3.0,,,2.0,,,,1.0,,1.0,,6.0,,1.0,2.0,,,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,
23,1059929,2020-01-18 15:00:00,"St. Mary's Stadium, Southampton",31152.0,Away,Wolverhampton Wanderers,Southampton,3,2,W,0,2,0,0,2.0,75.0,1.0,,36.0,18.0,2.0,2.0,6.0,3.0,1.0,182.0,4.0,18.0,5.0,4.0,67.0,186.0,75.0,8.0,21.0,1.0,,1.0,1.0,,14.0,10.0,,18.0,1.0,9.0,55.0,101.0,1.0,,0.0,70.0,12.0,,34.0,74.0,3.0,52.0,1.0,1.0,13.0,15.0,2.0,3.0,1.0,186.0,3.0,3.0,9.0,70.0,563.0,2.0,3.0,17.0,11.0,217.0,36.0,7.0,12.0,1.0,1.0,2.0,23.0,345.0,41.0,94147,3.0,140.0,1.0,9.0,189.0,5.0,2.0,15.0,6.0,54.0,2.0,2.0,18.0,2.0,6.0,78.0,237.0,13.0,9.0,1.0,27.0,,84.0,,,0.0,1.0,2.0,0.0,,,47.5,18.0,,3.0,,2.0,1.0,38.0,3.0,371.0,11.0,6.0,21.0,3.0,20.0,,2.0,196.0,6.0,8.0,31.0,32.0,26.0,1.0,12.0,13.0,6.0,1.0,26.0,1.0,4.0,3.0,,,3.0,3.0,,,,,,3.0,,,1.0,,,,,2.0,1.0,1.0,,3.0,,3.0,2.0,2.0,4.0,2.0,,2.0,,3.0,,,1.0,1.0,1.0,1.0,,,,1.0,,3.0,2.0,3.0,,1.0,,,,2.0,,,,,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
24,1059938,2020-01-23 20:00:00,"Molineux Stadium, Wolverhampton",31746.0,Home,Wolverhampton Wanderers,Liverpool,1,2,L,0,1,0,0,2.0,76.0,,1.0,47.0,7.0,2.0,2.0,8.0,4.0,2.0,187.0,7.0,19.0,9.0,3.0,118.0,146.0,60.0,10.0,11.0,2.0,2.0,1.0,,4.0,23.0,6.0,,7.0,,5.0,52.0,148.0,,,0.0,99.0,6.0,2.0,65.0,64.0,5.0,78.0,,,23.0,14.0,2.0,6.0,1.0,146.0,4.0,,10.0,122.0,678.0,7.0,6.0,21.0,11.0,394.0,40.0,10.0,6.0,0.0,6.0,4.0,14.0,485.0,53.0,94147,3.0,271.0,3.0,14.0,301.0,2.0,,14.0,8.0,39.0,2.0,4.0,21.0,3.0,7.0,80.0,412.0,11.0,13.0,1.0,19.0,1.0,83.0,2.0,1.0,0.0,4.0,2.0,0.0,,3.0,46.4,12.0,2.0,3.0,1.0,4.0,2.0,48.0,2.0,505.0,11.0,6.0,22.0,5.0,29.0,,4.0,227.0,5.0,5.0,19.0,67.0,25.0,,6.0,11.0,8.0,2.0,24.0,,5.0,2.0,,,1.0,4.0,,,,,,,2.0,,3.0,,,,,1.0,2.0,1.0,,,,1.0,4.0,2.0,7.0,1.0,,2.0,,1.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,2.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
25,1059947,2020-02-01 17:30:00,"Old Trafford, Manchester",73363.0,Away,Wolverhampton Wanderers,Manchester United,0,0,D,0,0,0,0,1.0,77.0,4.0,6.0,28.0,21.0,2.0,4.0,13.0,5.0,1.0,142.0,9.0,16.0,10.0,4.0,75.0,117.0,66.0,15.0,9.0,4.0,1.0,2.0,2.0,,19.0,19.0,,21.0,5.0,1.0,45.0,125.0,1.0,1.0,0.0,74.0,15.0,1.0,44.0,49.0,8.0,61.0,1.0,1.0,14.0,13.0,2.0,,2.0,117.0,2.0,,6.0,76.0,575.0,6.0,3.0,29.0,19.0,266.0,47.0,5.0,12.0,2.0,3.0,2.0,12.0,331.0,36.0,94147,8.0,165.0,2.0,12.0,195.0,10.0,,13.0,7.0,55.0,1.0,3.0,11.0,10.0,3.0,58.0,281.0,14.0,13.0,4.0,16.0,3.0,58.0,1.0,,0.0,4.0,2.0,0.0,,2.0,36.3,9.0,1.0,3.0,2.0,3.0,6.0,35.0,6.0,354.0,19.0,8.0,23.0,5.0,19.0,2.0,3.0,178.0,6.0,1.0,8.0,56.0,19.0,4.0,12.0,28.0,9.0,3.0,27.0,4.0,6.0,6.0,,,,2.0,,,,2.0,,,1.0,,2.0,,,1.0,,,2.0,2.0,,,2.0,,1.0,,7.0,,,,,,,1.0,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,
26,1059961,2020-02-14 20:00:00,"Molineux Stadium, Wolverhampton",31682.0,Home,Wolverhampton Wanderers,Leicester City,0,0,D,0,0,0,1,1.0,56.0,2.0,1.0,34.0,15.0,4.0,5.0,11.0,3.0,,130.0,9.0,18.0,11.0,3.0,76.0,145.0,67.0,15.0,19.0,3.0,,2.0,1.0,4.0,26.0,10.0,,15.0,6.0,8.0,39.0,131.0,,1.0,0.0,95.0,13.0,,43.0,55.0,4.0,52.0,,2.0,21.0,18.0,4.0,4.0,1.0,145.0,2.0,1.0,6.0,70.0,557.0,7.0,1.0,28.0,11.0,235.0,21.0,3.0,6.0,2.0,4.0,7.0,36.0,311.0,44.0,94147,8.0,121.0,2.0,14.0,149.0,5.0,1.0,18.0,5.0,62.0,2.0,3.0,13.0,3.0,1.0,62.0,243.0,9.0,11.0,4.0,13.0,4.0,61.0,,2.0,0.0,,,0.0,,7.0,40.8,30.0,6.0,4.0,1.0,3.0,4.0,40.0,7.0,328.0,11.0,12.0,27.0,8.0,33.0,4.0,7.0,205.0,3.0,7.0,22.0,62.0,20.0,2.0,6.0,18.0,8.0,3.0,27.0,2.0,7.0,7.0,,,,5.0,,,,,,,1.0,,3.0,,,1.0,,,1.0,1.0,,,1.0,1.0,1.0,,6.0,,,,,,,2.0,3.0,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,
