gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,postScoringAtt,attMissLeft,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attCmissLeft,redCard,attPostHigh,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,bigChanceScored,attGoalLowRight,savedObox,saves,attLfGoal,attGoalLowCentre,goals,attIboxTarget,goalAssistOpenplay,attSvLowCentre,attMissHighRight,penaltyWon,divingSave,midfielderGoals,interceptionsInBox,goalAssist,errorLeadToShot,attRfGoal,totalOffside,goalsOpenplay,attPenGoal,attSvLowRight,lostCorners,savedIbox,attIboxGoal,attOboxPost,goalsConceded,goalAssistIntentional,forwardGoals,effectiveBlockedCross,goalsConcededIbox,blockedCross,attHdTarget,accurateThroughBall,overrun,shieldBallOop,goalsConcededObox,accurateKeeperSweeper,totalKeeperSweeper,attSetpiece,attGoalLowLeft,attSvLowLeft,attCmissHighLeft,attSvHighCentre,penaltySave,goalAssistSetplay,attGoalHighCentre,penaltyConceded,defenderGoals,penaltyFaced,errorLeadToGoal,attGoalHighRight,ptsGainedLosingPos,clearanceOffLine,shotFastbreak,attOneOnOne,totalFastbreak,attCorner,attFastbreak,attCmissHighRight,attPostRight,handBall,attFreekickPost,attPostLeft,attHdGoal,ptsDroppedWinningPos,attOboxGoal,punches,goalAssistDeadball,attFreekickTarget,attGoalHighLeft,attObxdLeft,attObxRight,goalFastbreak,attLgCentre,foulThrowIn,penGoalsConceded,attFreekickGoal,attObxdRight,secondYellow
11,918998,2017-11-04 15:00:00,"St. Mary's Stadium, Southampton",30491,Home,Southampton,Burnley,0,1,L,0,0,0,0,1.0,63.0,4.0,32.0,18.0,2.0,5.0,11.0,2.0,187.0,4.0,11.0,,10.0,,,3.0,169.0,160.0,45.0,,13.0,,23.0,,,2.0,26.0,,11.0,1.0,18.0,8.0,14.0,36.0,284.0,1.0,,0.0,167.0,4.0,1.0,,,94.0,92.0,5.0,86.0,,19.0,18.0,2.0,,9.0,1.0,160.0,,,2.0,133.0,,748.0,10.0,4.0,27.0,,4.0,455.0,26.0,1.0,7.0,13.0,0.0,2.0,5.0,27.0,558.0,78.0,,97032,6.0,186.0,,10.0,,213.0,2.0,2.0,18.0,7.0,45.0,1.0,3.0,3.0,13.0,3.0,2.0,2.0,76.0,466.0,4.0,7.0,,33.0,89.0,,0.0,,,0.0,4.0,2.0,62.8,24.0,2.0,4.0,5.0,3.0,4.0,53.0,9.0,1.0,575.0,4.0,,9.0,15.0,6.0,44.0,1.0,5.0,388.0,6.0,14.0,16.0,117.0,28.0,13.0,15.0,10.0,3.0,13.0,8.0,9.0,,,,,,,,2.0,,,1.0,,,,,,,,2.0,,,,1.0,,,,1.0,,,2.0,1.0,2.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,919009,2017-11-18 15:00:00,"Anfield, Liverpool",53256,Away,Southampton,Liverpool,0,3,L,0,2,0,0,,61.0,2.0,27.0,36.0,1.0,1.0,4.0,,149.0,3.0,3.0,2.0,4.0,,1.0,,86.0,143.0,60.0,1.0,5.0,,11.0,,,1.0,12.0,,20.0,,36.0,2.0,5.0,37.0,117.0,,,0.0,119.0,9.0,,1.0,,73.0,37.0,2.0,50.0,1.0,10.0,16.0,1.0,1.0,2.0,1.0,143.0,1.0,,12.0,77.0,,552.0,2.0,10.0,10.0,,12.0,238.0,31.0,,4.0,12.0,1.0,7.0,2.0,20.0,328.0,64.0,1.0,97032,3.0,147.0,1.0,7.0,1.0,166.0,2.0,,16.0,13.0,45.0,,2.0,1.0,16.0,9.0,6.0,1.0,68.0,261.0,14.0,15.0,2.0,20.0,73.0,,0.0,,3.0,0.0,2.0,1.0,38.9,17.0,1.0,3.0,1.0,1.0,2.0,30.0,2.0,,362.0,12.0,1.0,6.0,14.0,3.0,29.0,1.0,2.0,208.0,2.0,4.0,18.0,65.0,22.0,12.0,26.0,2.0,3.0,8.0,5.0,2.0,,,2.0,5.0,,,,,,,,,3.0,,2.0,,1.0,,2.0,,,,10.0,3.0,,,3.0,,,,2.0,,,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,919019,2017-11-26 13:30:00,"St. Mary's Stadium, Southampton",30461,Home,Southampton,Everton,4,1,W,1,1,0,0,,63.0,1.0,30.0,20.0,7.0,2.0,10.0,1.0,188.0,8.0,8.0,3.0,13.0,,,5.0,178.0,149.0,66.0,,17.0,4.0,24.0,,1.0,1.0,32.0,1.0,13.0,,20.0,7.0,24.0,37.0,272.0,,,0.0,196.0,6.0,,3.0,1.0,107.0,95.0,8.0,112.0,2.0,25.0,23.0,7.0,,5.0,2.0,149.0,3.0,,,185.0,,864.0,6.0,5.0,24.0,1.0,9.0,551.0,19.0,,5.0,11.0,0.0,,5.0,29.0,646.0,72.0,1.0,97032,4.0,300.0,1.0,17.0,1.0,327.0,3.0,1.0,23.0,4.0,46.0,,1.0,3.0,10.0,5.0,1.0,1.0,64.0,564.0,13.0,4.0,3.0,22.0,85.0,,0.0,,3.0,0.0,5.0,4.0,67.2,27.0,2.0,5.0,1.0,3.0,5.0,55.0,7.0,1.0,663.0,9.0,,10.0,18.0,7.0,46.0,3.0,4.0,368.0,10.0,21.0,26.0,145.0,34.0,11.0,19.0,12.0,3.0,10.0,9.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,,2.0,,1.0,2.0,,4.0,,1.0,,4.0,,1.0,2.0,,3.0,,1.0,3.0,2.0,,,,,1.0,2.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,
14,919031,2017-11-29 20:00:00,"Etihad Stadium, Manchester",53407,Away,Southampton,Manchester City,1,2,L,0,0,0,0,,67.0,2.0,18.0,32.0,,2.0,7.0,1.0,123.0,5.0,9.0,1.0,7.0,1.0,,2.0,56.0,147.0,48.0,,7.0,,19.0,,1.0,,8.0,1.0,13.0,,32.0,5.0,3.0,26.0,68.0,,,0.0,63.0,11.0,,1.0,,29.0,26.0,4.0,43.0,,3.0,26.0,,,,,147.0,3.0,1.0,11.0,48.0,1.0,467.0,3.0,8.0,15.0,1.0,24.0,145.0,36.0,,5.0,14.0,1.0,6.0,3.0,13.0,235.0,38.0,1.0,97032,3.0,94.0,2.0,2.0,,127.0,7.0,1.0,26.0,14.0,53.0,2.0,,1.0,6.0,15.0,4.0,2.0,78.0,157.0,12.0,7.0,3.0,43.0,70.0,,0.0,1.0,3.0,0.0,2.0,2.0,25.7,6.0,1.0,2.0,,1.0,2.0,20.0,5.0,,270.0,24.0,,10.0,11.0,3.0,18.0,3.0,2.0,151.0,2.0,3.0,13.0,26.0,22.0,14.0,15.0,2.0,3.0,15.0,17.0,5.0,1.0,,5.0,10.0,,,1.0,1.0,1.0,,,,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,6.0,5.0,1.0,,2.0,1.0,,4.0,,4.0,,,1.0,1.0,2.0,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
15,919033,2017-12-03 13:30:00,"Vitality Stadium, Bournemouth",10764,Away,Southampton,Bournemouth,1,1,D,0,1,0,0,1.0,76.0,2.0,30.0,17.0,4.0,3.0,11.0,1.0,186.0,6.0,13.0,2.0,10.0,,,4.0,95.0,138.0,64.0,,15.0,,13.0,1.0,,4.0,23.0,,17.0,,17.0,4.0,13.0,38.0,201.0,,,0.0,157.0,12.0,,1.0,,79.0,52.0,4.0,63.0,,19.0,14.0,4.0,,3.0,4.0,138.0,,,9.0,114.0,,660.0,8.0,8.0,31.0,,27.0,361.0,29.0,,3.0,9.0,1.0,4.0,6.0,10.0,442.0,70.0,,97032,7.0,176.0,,15.0,,194.0,4.0,1.0,14.0,9.0,45.0,2.0,4.0,5.0,12.0,7.0,6.0,4.0,61.0,371.0,5.0,10.0,1.0,19.0,75.0,2.0,0.0,,1.0,0.0,5.0,4.0,52.2,9.0,3.0,10.0,1.0,5.0,2.0,48.0,4.0,,458.0,27.0,,7.0,22.0,9.0,37.0,1.0,5.0,287.0,8.0,13.0,23.0,107.0,31.0,9.0,23.0,12.0,3.0,18.0,5.0,4.0,,1.0,,4.0,,,1.0,3.0,1.0,1.0,1.0,,4.0,,1.0,1.0,,1.0,6.0,1.0,,1.0,5.0,4.0,1.0,,1.0,1.0,1.0,4.0,1.0,4.0,1.0,,3.0,,,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
16,919049,2017-12-10 12:00:00,"St. Mary's Stadium, Southampton",31643,Home,Southampton,Arsenal,1,1,D,1,0,0,0,,66.0,,15.0,36.0,3.0,1.0,3.0,2.0,134.0,1.0,12.0,1.0,6.0,,,3.0,88.0,121.0,44.0,,6.0,1.0,12.0,1.0,1.0,,11.0,,10.0,1.0,36.0,4.0,15.0,22.0,141.0,,,0.0,95.0,12.0,,1.0,2.0,50.0,44.0,4.0,64.0,1.0,7.0,21.0,3.0,,1.0,,121.0,3.0,,6.0,89.0,,567.0,5.0,4.0,12.0,1.0,20.0,287.0,40.0,,3.0,18.0,2.0,1.0,2.0,13.0,353.0,48.0,,97032,2.0,156.0,2.0,5.0,,175.0,7.0,1.0,21.0,3.0,45.0,,2.0,2.0,9.0,5.0,,,53.0,296.0,9.0,9.0,,22.0,73.0,,0.0,1.0,1.0,0.0,1.0,,33.0,11.0,,4.0,,2.0,1.0,39.0,4.0,2.0,375.0,20.0,,7.0,9.0,2.0,17.0,,1.0,211.0,5.0,13.0,9.0,58.0,13.0,18.0,14.0,6.0,3.0,18.0,13.0,4.0,1.0,,1.0,5.0,,1.0,1.0,1.0,1.0,1.0,,,3.0,,3.0,1.0,,1.0,4.0,1.0,,,5.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,
17,919061,2017-12-13 19:45:00,"St. Mary's Stadium, Southampton",27714,Home,Southampton,Leicester City,1,4,L,0,3,0,0,1.0,58.0,1.0,29.0,18.0,5.0,3.0,6.0,2.0,140.0,7.0,9.0,2.0,7.0,,,4.0,100.0,139.0,56.0,1.0,11.0,1.0,16.0,,,3.0,25.0,,14.0,2.0,18.0,9.0,16.0,30.0,179.0,,,0.0,120.0,13.0,,,,87.0,47.0,3.0,76.0,,16.0,19.0,5.0,1.0,4.0,2.0,139.0,,,9.0,97.0,,621.0,4.0,8.0,18.0,,10.0,319.0,24.0,,3.0,9.0,1.0,4.0,4.0,28.0,393.0,57.0,,97032,3.0,162.0,1.0,12.0,1.0,180.0,7.0,,19.0,5.0,61.0,,,4.0,10.0,7.0,4.0,2.0,60.0,334.0,8.0,9.0,2.0,25.0,71.0,1.0,0.0,,3.0,0.0,1.0,4.0,53.4,24.0,3.0,2.0,,4.0,2.0,39.0,9.0,,413.0,10.0,,18.0,22.0,5.0,29.0,6.0,3.0,258.0,4.0,15.0,21.0,87.0,26.0,9.0,19.0,5.0,3.0,14.0,9.0,9.0,,1.0,3.0,5.0,,,1.0,1.0,,1.0,,,3.0,,1.0,1.0,,,3.0,,,,9.0,4.0,1.0,,4.0,1.0,,2.0,3.0,2.0,,,2.0,1.0,1.0,,,,,,,2.0,,1.0,,,1.0,,2.0,,,2.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,
18,919066,2017-12-16 15:00:00,"Stamford Bridge, London",41562,Away,Southampton,Chelsea,0,1,L,0,1,0,0,,63.0,1.0,33.0,25.0,2.0,,4.0,2.0,157.0,2.0,7.0,1.0,4.0,,1.0,2.0,123.0,131.0,47.0,,6.0,1.0,9.0,,,,13.0,,16.0,,25.0,4.0,15.0,29.0,169.0,,,0.0,90.0,16.0,,1.0,,79.0,64.0,3.0,76.0,1.0,9.0,20.0,2.0,,4.0,1.0,131.0,1.0,,11.0,118.0,,654.0,4.0,10.0,10.0,,15.0,374.0,34.0,,4.0,13.0,3.0,8.0,1.0,17.0,451.0,48.0,,97032,3.0,219.0,1.0,4.0,,246.0,10.0,1.0,20.0,8.0,67.0,,3.0,4.0,12.0,13.0,4.0,,67.0,386.0,8.0,28.0,,23.0,77.0,,0.0,,1.0,0.0,2.0,,46.4,13.0,,3.0,1.0,4.0,2.0,49.0,4.0,,474.0,15.0,,11.0,18.0,2.0,22.0,,1.0,241.0,6.0,12.0,12.0,55.0,17.0,13.0,20.0,4.0,3.0,10.0,9.0,4.0,,,3.0,7.0,,,,2.0,,1.0,1.0,,5.0,,3.0,,1.0,,2.0,,,1.0,8.0,4.0,,,1.0,,,2.0,,2.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,919079,2017-12-23 15:00:00,"St. Mary's Stadium, Southampton",29675,Home,Southampton,Huddersfield Town,1,1,D,1,0,0,0,1.0,81.0,2.0,13.0,30.0,4.0,1.0,8.0,4.0,168.0,3.0,8.0,1.0,10.0,,,6.0,92.0,182.0,52.0,,12.0,,19.0,,1.0,2.0,23.0,1.0,6.0,4.0,30.0,8.0,17.0,33.0,154.0,,,0.0,109.0,16.0,,2.0,,68.0,47.0,7.0,57.0,1.0,15.0,23.0,4.0,,5.0,,182.0,4.0,,8.0,67.0,1.0,598.0,6.0,4.0,20.0,1.0,15.0,260.0,30.0,,4.0,20.0,2.0,4.0,3.0,30.0,363.0,60.0,1.0,88900,7.0,118.0,3.0,8.0,1.0,142.0,6.0,,23.0,4.0,61.0,,2.0,1.0,19.0,2.0,,,67.0,269.0,9.0,10.0,3.0,41.0,87.0,1.0,0.0,,,0.0,1.0,3.0,52.6,24.0,1.0,3.0,,1.0,2.0,34.0,9.0,,384.0,15.0,,11.0,14.0,4.0,29.0,2.0,3.0,265.0,7.0,17.0,22.0,64.0,42.0,20.0,14.0,7.0,3.0,14.0,10.0,9.0,1.0,,,1.0,,,1.0,1.0,,3.0,,,,,,1.0,,,3.0,,,1.0,1.0,1.0,1.0,,1.0,,1.0,3.0,1.0,3.0,,,2.0,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,
20,919090,2017-12-26 12:30:00,"Wembley Stadium, London",57297,Away,Southampton,Tottenham Hotspur,2,5,L,0,2,0,0,2.0,64.0,2.0,35.0,17.0,5.0,10.0,11.0,2.0,138.0,4.0,20.0,2.0,12.0,,1.0,6.0,79.0,140.0,64.0,,16.0,1.0,15.0,,1.0,,22.0,,19.0,2.0,17.0,7.0,9.0,40.0,138.0,,,0.0,110.0,15.0,1.0,2.0,,68.0,43.0,5.0,64.0,5.0,15.0,27.0,5.0,,7.0,1.0,140.0,,,10.0,78.0,,558.0,10.0,5.0,28.0,1.0,18.0,252.0,33.0,,4.0,8.0,2.0,3.0,7.0,14.0,333.0,49.0,,88900,6.0,131.0,,6.0,,154.0,10.0,1.0,27.0,11.0,57.0,,2.0,2.0,9.0,6.0,3.0,,72.0,265.0,7.0,15.0,2.0,20.0,68.0,,0.0,1.0,1.0,0.0,2.0,3.0,43.0,12.0,3.0,2.0,5.0,2.0,3.0,37.0,8.0,,359.0,18.0,,9.0,22.0,7.0,33.0,2.0,5.0,227.0,3.0,9.0,9.0,67.0,26.0,8.0,28.0,12.0,3.0,23.0,14.0,8.0,,,1.0,1.0,2.0,,2.0,2.0,,1.0,1.0,,1.0,1.0,1.0,,3.0,,1.0,1.0,,,3.0,1.0,2.0,1.0,5.0,,,,4.0,,,1.0,4.0,,1.0,,,2.0,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
21,919098,2017-12-30 17:30:00,"Old Trafford, Manchester",75051,Away,Southampton,Manchester United,0,0,D,0,0,0,0,1.0,68.0,1.0,14.0,31.0,,3.0,7.0,2.0,156.0,2.0,11.0,2.0,5.0,,,3.0,88.0,146.0,55.0,1.0,8.0,,23.0,,,2.0,21.0,,11.0,1.0,31.0,6.0,11.0,21.0,182.0,,1.0,0.0,112.0,13.0,,,1.0,85.0,53.0,2.0,74.0,1.0,15.0,18.0,1.0,1.0,4.0,,146.0,1.0,,8.0,105.0,,615.0,4.0,9.0,19.0,,8.0,319.0,37.0,,4.0,18.0,4.0,6.0,3.0,16.0,397.0,45.0,,88900,5.0,149.0,1.0,11.0,,165.0,7.0,2.0,18.0,9.0,60.0,,1.0,2.0,9.0,7.0,2.0,1.0,61.0,329.0,12.0,13.0,1.0,29.0,77.0,,0.0,,6.0,0.0,1.0,2.0,45.5,10.0,2.0,,2.0,2.0,1.0,33.0,7.0,1.0,423.0,8.0,,11.0,9.0,4.0,31.0,1.0,4.0,279.0,3.0,11.0,13.0,65.0,21.0,18.0,19.0,6.0,3.0,14.0,8.0,7.0,,,2.0,3.0,,,,2.0,,1.0,,,1.0,,1.0,,,,2.0,,,1.0,10.0,1.0,,,,,,8.0,,8.0,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,
22,919109,2018-01-02 19:45:00,"St. Mary's Stadium, Southampton",28411,Home,Southampton,Crystal Palace,1,2,L,1,0,0,0,,70.0,,31.0,23.0,5.0,3.0,4.0,2.0,193.0,3.0,9.0,1.0,7.0,,1.0,3.0,126.0,169.0,62.0,,10.0,,23.0,,,1.0,16.0,,19.0,2.0,23.0,3.0,18.0,39.0,240.0,,,0.0,153.0,8.0,,1.0,,114.0,55.0,2.0,88.0,3.0,13.0,23.0,6.0,,5.0,4.0,169.0,,1.0,6.0,153.0,,759.0,5.0,11.0,13.0,,14.0,427.0,31.0,,8.0,14.0,0.0,3.0,5.0,25.0,537.0,67.0,,88900,3.0,207.0,,7.0,,239.0,6.0,,23.0,7.0,61.0,,1.0,2.0,19.0,5.0,4.0,1.0,66.0,444.0,11.0,15.0,1.0,30.0,87.0,1.0,0.0,,2.0,0.0,1.0,1.0,61.1,22.0,1.0,7.0,,2.0,,54.0,4.0,,560.0,14.0,,11.0,26.0,7.0,32.0,2.0,3.0,337.0,6.0,17.0,16.0,101.0,27.0,14.0,26.0,9.0,3.0,13.0,8.0,4.0,,1.0,1.0,2.0,,,1.0,,1.0,1.0,2.0,,2.0,,,1.0,1.0,1.0,1.0,1.0,,,7.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,
23,919121,2018-01-13 15:00:00,"Vicarage Road, Watford",20018,Away,Southampton,Watford,2,2,D,2,0,0,0,1.0,59.0,2.0,30.0,32.0,1.0,3.0,7.0,,160.0,3.0,12.0,1.0,8.0,2.0,,4.0,72.0,172.0,63.0,,10.0,,29.0,,,1.0,19.0,,12.0,1.0,32.0,4.0,11.0,35.0,134.0,,,0.0,119.0,13.0,,1.0,2.0,75.0,55.0,5.0,50.0,1.0,15.0,24.0,3.0,,3.0,2.0,172.0,1.0,2.0,11.0,94.0,,582.0,6.0,12.0,18.0,,12.0,244.0,28.0,1.0,9.0,14.0,5.0,2.0,3.0,22.0,349.0,60.0,,88900,5.0,125.0,,11.0,1.0,159.0,6.0,2.0,24.0,11.0,60.0,,1.0,1.0,12.0,5.0,3.0,1.0,71.0,256.0,10.0,4.0,1.0,35.0,73.0,,0.0,,4.0,0.0,1.0,3.0,44.4,17.0,2.0,3.0,1.0,1.0,2.0,34.0,4.0,2.0,376.0,12.0,,12.0,16.0,4.0,26.0,2.0,2.0,236.0,4.0,10.0,26.0,70.0,23.0,14.0,15.0,9.0,3.0,14.0,16.0,4.0,1.0,,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,,,1.0,2.0,,1.0,,2.0,3.0,2.0,,,5.0,1.0,2.0,,2.0,1.0,,4.0,2.0,4.0,1.0,,2.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,2.0,,1.0,,,,,,,2.0,,1.0,,,,,,1.0,2.0,,,,,
24,919129,2018-01-21 16:00:00,"St. Mary's Stadium, Southampton",31361,Home,Southampton,Tottenham Hotspur,1,1,D,1,1,0,0,2.0,67.0,1.0,23.0,17.0,7.0,2.0,3.0,2.0,150.0,3.0,10.0,2.0,8.0,,1.0,4.0,77.0,151.0,55.0,,10.0,,16.0,,,1.0,15.0,,16.0,4.0,17.0,2.0,10.0,29.0,125.0,,,0.0,108.0,8.0,,3.0,1.0,67.0,40.0,4.0,51.0,2.0,13.0,23.0,7.0,,4.0,3.0,151.0,2.0,,11.0,65.0,,538.0,7.0,6.0,9.0,1.0,14.0,226.0,29.0,,4.0,3.0,2.0,4.0,4.0,21.0,316.0,64.0,1.0,88900,3.0,115.0,2.0,6.0,,133.0,3.0,,23.0,10.0,46.0,,5.0,3.0,6.0,6.0,1.0,1.0,68.0,237.0,15.0,7.0,1.0,26.0,68.0,,0.0,,1.0,0.0,3.0,1.0,41.1,18.0,1.0,2.0,,3.0,1.0,32.0,2.0,1.0,343.0,14.0,,13.0,17.0,5.0,21.0,,2.0,225.0,7.0,10.0,10.0,53.0,32.0,3.0,21.0,9.0,3.0,13.0,14.0,2.0,,,1.0,1.0,,,1.0,,,2.0,1.0,,1.0,,4.0,,,,2.0,,,2.0,9.0,,1.0,,1.0,,,4.0,1.0,4.0,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,2.0,,,,
25,919140,2018-01-31 19:45:00,"St. Mary's Stadium, Southampton",30034,Home,Southampton,Brighton and Hove Albion,1,1,D,0,1,0,0,,65.0,1.0,26.0,16.0,11.0,4.0,7.0,2.0,190.0,7.0,16.0,4.0,12.0,,,3.0,156.0,175.0,55.0,1.0,18.0,6.0,39.0,,,1.0,37.0,,8.0,2.0,16.0,7.0,17.0,31.0,332.0,,,0.0,216.0,8.0,,4.0,2.0,123.0,78.0,4.0,82.0,1.0,31.0,31.0,11.0,1.0,9.0,3.0,175.0,2.0,,5.0,160.0,,816.0,8.0,6.0,26.0,1.0,12.0,472.0,20.0,,4.0,9.0,3.0,2.0,8.0,26.0,570.0,73.0,,98914,4.0,159.0,2.0,18.0,,181.0,6.0,1.0,31.0,5.0,80.0,2.0,2.0,8.0,18.0,4.0,1.0,3.0,65.0,484.0,9.0,13.0,4.0,26.0,74.0,1.0,0.0,,,0.0,5.0,3.0,65.8,25.0,3.0,7.0,1.0,8.0,7.0,39.0,7.0,2.0,588.0,12.0,,5.0,15.0,8.0,49.0,3.0,5.0,444.0,11.0,15.0,18.0,167.0,29.0,9.0,12.0,12.0,3.0,31.0,15.0,7.0,,1.0,,1.0,1.0,,1.0,,,1.0,3.0,,,,1.0,,,,,,,1.0,2.0,1.0,1.0,,1.0,,,,1.0,,,1.0,2.0,,,,,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
26,919152,2018-02-03 15:00:00,"The Hawthorns, West Bromwich",25911,Away,Southampton,West Bromwich Albion,3,2,W,2,1,0,0,,65.0,1.0,35.0,27.0,6.0,1.0,7.0,2.0,178.0,6.0,14.0,2.0,10.0,,1.0,5.0,135.0,165.0,65.0,2.0,13.0,2.0,29.0,,,2.0,22.0,,8.0,,27.0,6.0,25.0,48.0,231.0,,,0.0,152.0,10.0,,,1.0,70.0,78.0,6.0,80.0,1.0,16.0,18.0,6.0,2.0,5.0,2.0,165.0,1.0,1.0,4.0,129.0,,720.0,8.0,10.0,22.0,,6.0,391.0,30.0,,5.0,15.0,1.0,2.0,4.0,25.0,492.0,75.0,,98914,6.0,179.0,1.0,11.0,,206.0,8.0,,18.0,9.0,60.0,2.0,3.0,2.0,13.0,5.0,2.0,2.0,83.0,404.0,12.0,10.0,,26.0,90.0,1.0,0.0,,2.0,0.0,4.0,3.0,61.1,24.0,2.0,5.0,1.0,2.0,3.0,44.0,7.0,1.0,522.0,6.0,1.0,10.0,32.0,5.0,32.0,2.0,3.0,338.0,8.0,22.0,26.0,105.0,22.0,15.0,14.0,8.0,3.0,15.0,3.0,7.0,,1.0,1.0,1.0,,,3.0,2.0,,,,,1.0,2.0,1.0,2.0,,2.0,2.0,,,1.0,5.0,,1.0,,2.0,1.0,,4.0,2.0,4.0,,2.0,4.0,,,,,,,1.0,,,,2.0,,,1.0,,,1.0,3.0,,,,,,,,,,,,1.0,,2.0,,1.0,,1.0,,,,,,,1.0,,
