gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,accurateFreekickCross,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attCmissLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalsConcededObox,attLfTarget,attOboxTarget,attSvHighRight,overrun,foulThrowIn,attBxLeft,attSvHighCentre,errorLeadToGoal,attObxLeft,cleanSheet,attSvLowLeft,attCmissHigh,attSvLowRight,attObxRight,bigChanceScored,attGoalLowRight,attLfGoal,accuratePullBack,attFreekickTotal,attGoalHighRight,midfielderGoals,freekickTotal,attRfGoal,attFreekickTarget,shieldBallOop,attFreekickMiss,attCmissHighRight,postScoringAtt,accurateKeeperSweeper,attIboxPost,hitWoodwork,totalKeeperSweeper,attPostRight,goalAssistSetplay,goalAssistDeadball,penaltyConceded,defenderGoals,penaltyFaced,penGoalsConceded,attGoalLowCentre,shotFastbreak,goalFastbreak,attOboxGoal,totalFastbreak,contentiousDecision,sixYardBlock,attFastbreak,attOneOnOne,attGoalHighCentre,attHdPost,attLgCentre,secondYellow,penaltyWon,attPenGoal,handBall,attOboxPost,attPostHigh,attPostLeft,attFreekickGoal,attObxdRight,attFreekickPost,attPenTarget,attObxdLeft,attCmissHighLeft
11,803264,2015-11-01 16:00:00,"St. Mary's Stadium, Southampton",31229,Home,Southampton,Bournemouth,2,0,W,2,0,1,0,53.0,,1.0,3.0,41.0,28.0,4.0,3.0,2.0,,151.0,6.0,4.0,2.0,1.0,8.0,,2.0,112.0,143.0,49.0,11.0,2.0,14.0,,1.0,2.0,,3.0,19.0,15.0,15.0,3.0,13.0,38.0,184.0,,0.0,112.0,5.0,1.0,,1.0,,53.0,67.0,5.0,99.0,1.0,,16.0,16.0,4.0,2.0,130.0,1.0,7.0,117.0,666.0,5.0,12.0,,19.0,389.0,22.0,,7.0,9.0,2.0,0.0,5.0,3.0,18.0,458.0,64.0,,,,97032,5.0,222.0,,11.0,,236.0,4.0,1.0,16.0,10.0,44.0,,1.0,2.0,2.0,14.0,9.0,4.0,1.0,71.0,400.0,5.0,7.0,1.0,19.0,84.0,1.0,,,0.0,6.0,1.0,2.0,,5.0,1.0,4.0,2.0,2.0,48.5,15.0,1.0,1.0,2.0,5.0,,52.0,4.0,,479.0,19.0,9.0,24.0,4.0,27.0,2.0,2.0,262.0,6.0,12.0,19.0,78.0,24.0,1.0,2.0,7.0,21.0,1.0,,7.0,3.0,13.0,2.0,13.0,4.0,,,,,2.0,,,,,,1.0,,1.0,,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
12,803277,2015-11-07 15:00:00,"Stadium of Light, Sunderland",41781,Away,Southampton,Sunderland,1,0,W,0,0,0,0,61.0,,,3.0,29.0,34.0,5.0,6.0,3.0,3.0,214.0,5.0,3.0,1.0,2.0,9.0,1.0,5.0,113.0,179.0,55.0,14.0,1.0,24.0,3.0,1.0,,1.0,1.0,33.0,13.0,29.0,5.0,22.0,40.0,256.0,1.0,0.0,206.0,11.0,1.0,,1.0,1.0,116.0,56.0,4.0,99.0,1.0,1.0,28.0,15.0,6.0,3.0,174.0,1.0,5.0,125.0,748.0,8.0,11.0,,13.0,417.0,23.0,1.0,5.0,20.0,,3.0,1.0,5.0,28.0,530.0,81.0,,,,97032,5.0,180.0,1.0,21.0,,205.0,4.0,2.0,15.0,7.0,53.0,2.0,5.0,5.0,,6.0,4.0,3.0,1.0,67.0,431.0,10.0,5.0,1.0,26.0,83.0,,,,0.0,3.0,3.0,1.0,,5.0,0.0,3.0,,1.0,64.2,27.0,1.0,3.0,5.0,4.0,,53.0,7.0,1.0,551.0,13.0,11.0,17.0,5.0,48.0,2.0,2.0,379.0,7.0,20.0,29.0,137.0,29.0,,5.0,20.0,14.0,,,12.0,3.0,5.0,5.0,3.0,7.0,,1.0,1.0,,1.0,,2.0,2.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
13,803289,2015-11-21 15:00:00,"St. Mary's Stadium, Southampton",30039,Home,Southampton,Stoke City,0,1,L,0,1,0,0,68.0,,1.0,1.0,34.0,8.0,6.0,6.0,2.0,,196.0,7.0,9.0,,4.0,11.0,2.0,1.0,146.0,177.0,53.0,15.0,,20.0,,1.0,,,3.0,40.0,13.0,7.0,6.0,15.0,49.0,270.0,2.0,0.0,234.0,8.0,2.0,,3.0,,67.0,78.0,2.0,66.0,1.0,4.0,34.0,20.0,8.0,5.0,176.0,,8.0,109.0,708.0,9.0,15.0,,12.0,384.0,21.0,3.0,6.0,2.0,,2.0,2.0,9.0,26.0,493.0,84.0,,2.0,,97032,5.0,140.0,,23.0,3.0,160.0,6.0,1.0,20.0,14.0,48.0,1.0,,3.0,,14.0,8.0,10.0,1.0,64.0,403.0,8.0,8.0,2.0,21.0,82.0,,1.0,,0.0,3.0,2.0,,1.0,4.0,0.0,7.0,,2.0,58.2,25.0,2.0,7.0,3.0,1.0,1.0,49.0,7.0,,517.0,12.0,11.0,28.0,13.0,54.0,,8.0,397.0,7.0,13.0,19.0,170.0,37.0,,2.0,2.0,16.0,,1.0,10.0,3.0,11.0,2.0,11.0,7.0,,1.0,1.0,,1.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,1.0,,2.0,,,2.0,,,,,,,,,1.0,,,1.0,3.0,,1.0,,,,,,,,1.0,,,,,,,,,
14,803297,2015-11-28 15:00:00,"Etihad Stadium, Manchester",54102,Away,Southampton,Manchester City,1,3,L,0,2,0,0,59.0,,3.0,1.0,20.0,18.0,5.0,3.0,5.0,3.0,149.0,3.0,13.0,1.0,5.0,9.0,1.0,8.0,127.0,154.0,54.0,12.0,1.0,13.0,5.0,2.0,,1.0,,11.0,14.0,12.0,4.0,10.0,43.0,212.0,,0.0,115.0,11.0,2.0,1.0,1.0,1.0,66.0,55.0,8.0,73.0,,1.0,7.0,7.0,3.0,1.0,148.0,2.0,8.0,114.0,670.0,7.0,6.0,1.0,13.0,363.0,21.0,,3.0,8.0,1.0,1.0,7.0,1.0,28.0,445.0,56.0,,1.0,,97032,1.0,168.0,1.0,3.0,3.0,188.0,6.0,,7.0,1.0,58.0,,6.0,5.0,,17.0,8.0,,,50.0,377.0,13.0,7.0,1.0,18.0,76.0,,,,0.0,6.0,3.0,1.0,3.0,2.0,0.0,3.0,1.0,2.0,54.1,25.0,,3.0,5.0,2.0,1.0,47.0,4.0,1.0,463.0,13.0,21.0,25.0,2.0,25.0,,,286.0,7.0,6.0,10.0,76.0,30.0,1.0,,6.0,18.0,1.0,2.0,8.0,3.0,20.0,,3.0,4.0,1.0,3.0,2.0,,,,2.0,2.0,1.0,,,1.0,,2.0,,1.0,,,,1.0,,,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,
15,803302,2015-12-05 15:00:00,"St. Mary's Stadium, Southampton",29645,Home,Southampton,Aston Villa,1,1,D,0,1,0,0,61.0,1.0,1.0,4.0,26.0,9.0,5.0,5.0,1.0,2.0,199.0,16.0,7.0,1.0,5.0,20.0,,5.0,143.0,171.0,51.0,23.0,2.0,14.0,2.0,,,2.0,6.0,45.0,19.0,5.0,10.0,13.0,53.0,270.0,1.0,0.0,179.0,4.0,,,3.0,2.0,88.0,66.0,9.0,71.0,1.0,,35.0,16.0,7.0,2.0,167.0,3.0,5.0,126.0,756.0,15.0,12.0,1.0,10.0,427.0,23.0,,4.0,1.0,1.0,1.0,3.0,11.0,26.0,528.0,91.0,,,,97032,14.0,184.0,4.0,25.0,2.0,212.0,1.0,1.0,16.0,4.0,36.0,,3.0,7.0,,20.0,4.0,4.0,5.0,56.0,438.0,8.0,6.0,4.0,17.0,69.0,,3.0,,0.0,4.0,,1.0,1.0,4.0,0.0,10.0,1.0,8.0,63.1,24.0,7.0,5.0,7.0,6.0,,43.0,10.0,2.0,539.0,10.0,9.0,24.0,12.0,56.0,6.0,10.0,372.0,10.0,12.0,11.0,127.0,26.0,,2.0,1.0,25.0,,1.0,14.0,3.0,10.0,2.0,10.0,10.0,,1.0,2.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16,803317,2015-12-12 15:00:00,"Selhurst Park, London",24914,Away,Southampton,Crystal Palace,0,1,L,0,1,0,0,58.0,,1.0,2.0,28.0,47.0,6.0,4.0,4.0,1.0,166.0,6.0,7.0,,2.0,12.0,1.0,3.0,100.0,167.0,50.0,15.0,2.0,18.0,2.0,1.0,,1.0,2.0,20.0,9.0,37.0,4.0,5.0,26.0,186.0,2.0,0.0,157.0,13.0,3.0,1.0,1.0,,50.0,65.0,6.0,47.0,,1.0,16.0,12.0,4.0,3.0,157.0,1.0,9.0,84.0,611.0,11.0,5.0,1.0,7.0,282.0,28.0,2.0,9.0,17.0,,0.0,4.0,6.0,24.0,371.0,72.0,,1.0,,97032,4.0,116.0,1.0,11.0,2.0,132.0,6.0,2.0,12.0,10.0,59.0,1.0,,1.0,,18.0,3.0,4.0,1.0,72.0,296.0,11.0,14.0,1.0,37.0,76.0,,,,0.0,8.0,3.0,,1.0,2.0,0.0,4.0,,2.0,56.2,23.0,1.0,3.0,1.0,4.0,,37.0,5.0,,397.0,7.0,10.0,12.0,8.0,31.0,2.0,5.0,285.0,9.0,4.0,18.0,101.0,23.0,,2.0,16.0,14.0,,1.0,10.0,3.0,14.0,2.0,7.0,5.0,,1.0,1.0,,5.0,1.0,3.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,
17,803330,2015-12-19 15:00:00,"St. Mary's Stadium, Southampton",31636,Home,Southampton,Tottenham Hotspur,0,2,L,0,2,0,0,70.0,,1.0,3.0,43.0,14.0,3.0,4.0,3.0,3.0,172.0,11.0,5.0,,2.0,11.0,,4.0,71.0,183.0,57.0,11.0,2.0,18.0,3.0,1.0,,,,27.0,21.0,8.0,4.0,12.0,41.0,184.0,,0.0,139.0,18.0,,,1.0,1.0,46.0,83.0,9.0,65.0,,1.0,23.0,18.0,9.0,,177.0,2.0,8.0,78.0,607.0,10.0,12.0,,27.0,256.0,27.0,1.0,11.0,7.0,,1.0,3.0,1.0,29.0,361.0,76.0,,,1.0,97032,7.0,104.0,2.0,13.0,,137.0,11.0,,18.0,8.0,67.0,,5.0,8.0,,20.0,4.0,7.0,,82.0,277.0,9.0,12.0,,29.0,80.0,,,,0.0,7.0,2.0,,2.0,3.0,0.0,11.0,,1.0,51.0,25.0,1.0,6.0,8.0,5.0,,52.0,4.0,1.0,386.0,27.0,15.0,18.0,2.0,33.0,,2.0,276.0,6.0,11.0,20.0,91.0,25.0,,2.0,4.0,24.0,,2.0,10.0,3.0,10.0,2.0,7.0,4.0,,1.0,1.0,,2.0,1.0,,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
18,803332,2015-12-26 19:45:00,"St. Mary's Stadium, Southampton",31669,Home,Southampton,Arsenal,4,0,W,1,0,0,0,59.0,2.0,1.0,3.0,19.0,22.0,5.0,4.0,5.0,,118.0,3.0,9.0,4.0,,9.0,,5.0,64.0,135.0,46.0,14.0,1.0,18.0,,3.0,2.0,,1.0,11.0,15.0,14.0,3.0,8.0,47.0,136.0,1.0,0.0,99.0,10.0,1.0,,,2.0,39.0,49.0,6.0,52.0,,1.0,8.0,11.0,3.0,2.0,127.0,4.0,7.0,78.0,489.0,5.0,3.0,,15.0,223.0,22.0,,3.0,4.0,3.0,1.0,,3.0,21.0,291.0,52.0,2.0,,,97032,4.0,98.0,1.0,5.0,,114.0,4.0,1.0,11.0,6.0,48.0,2.0,6.0,2.0,3.0,12.0,1.0,3.0,1.0,62.0,231.0,9.0,9.0,1.0,17.0,77.0,,,1.0,0.0,4.0,4.0,3.0,,,0.0,2.0,3.0,1.0,35.2,13.0,,5.0,2.0,4.0,,32.0,3.0,2.0,312.0,15.0,6.0,18.0,5.0,24.0,1.0,2.0,209.0,9.0,8.0,7.0,57.0,22.0,2.0,1.0,4.0,22.0,1.0,,13.0,3.0,14.0,1.0,5.0,3.0,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,,,,3.0,1.0,,1.0,,1.0,,,3.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,,2.0,,,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,
19,803348,2015-12-28 17:30:00,"Boleyn Ground, London",34977,Away,Southampton,West Ham United,1,2,L,1,0,0,0,54.0,,,1.0,24.0,27.0,7.0,5.0,2.0,2.0,176.0,4.0,10.0,1.0,3.0,9.0,1.0,3.0,97.0,182.0,55.0,14.0,2.0,21.0,1.0,,,1.0,4.0,35.0,19.0,22.0,7.0,5.0,36.0,219.0,1.0,0.0,185.0,12.0,1.0,,3.0,,59.0,95.0,5.0,52.0,1.0,3.0,28.0,16.0,10.0,3.0,177.0,1.0,9.0,84.0,638.0,8.0,12.0,1.0,20.0,295.0,17.0,,6.0,14.0,,3.0,2.0,4.0,33.0,390.0,92.0,,,1.0,97032,5.0,89.0,1.0,15.0,,112.0,7.0,,16.0,10.0,62.0,,2.0,2.0,,8.0,4.0,3.0,,65.0,304.0,5.0,6.0,1.0,28.0,78.0,,2.0,,0.0,4.0,3.0,1.0,2.0,6.0,0.0,3.0,,1.0,50.9,27.0,,5.0,2.0,3.0,1.0,43.0,7.0,,409.0,20.0,14.0,19.0,8.0,44.0,1.0,5.0,332.0,8.0,5.0,19.0,122.0,26.0,,4.0,13.0,21.0,,2.0,10.0,3.0,19.0,4.0,9.0,7.0,,,2.0,,2.0,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,803358,2016-01-02 15:00:00,"Carrow Road, Norwich",27022,Away,Southampton,Norwich City,0,1,L,0,0,1,0,51.0,,,1.0,32.0,23.0,2.0,3.0,,2.0,189.0,2.0,2.0,,4.0,9.0,,4.0,113.0,170.0,52.0,10.0,,25.0,3.0,,,2.0,,27.0,16.0,20.0,8.0,16.0,47.0,208.0,,0.0,166.0,7.0,,1.0,3.0,1.0,96.0,63.0,5.0,82.0,,1.0,19.0,12.0,8.0,1.0,167.0,1.0,6.0,110.0,664.0,7.0,3.0,1.0,15.0,369.0,26.0,1.0,3.0,8.0,,0.0,2.0,4.0,20.0,473.0,89.0,,,1.0,97032,5.0,173.0,1.0,8.0,,197.0,4.0,,12.0,8.0,49.0,,2.0,3.0,,13.0,4.0,3.0,3.0,82.0,379.0,8.0,8.0,2.0,34.0,89.0,,,2.0,0.0,4.0,,,1.0,2.0,1.0,,,3.0,58.4,17.0,2.0,3.0,3.0,1.0,,42.0,9.0,1.0,494.0,15.0,6.0,26.0,5.0,47.0,2.0,4.0,324.0,4.0,15.0,23.0,110.0,14.0,,,8.0,19.0,,1.0,8.0,3.0,5.0,,7.0,9.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,
21,803370,2016-01-13 19:45:00,"St. Mary's Stadium, Southampton",28399,Home,Southampton,Watford,2,0,W,1,0,0,0,78.0,,1.0,,36.0,30.0,5.0,6.0,1.0,2.0,185.0,6.0,6.0,2.0,,9.0,1.0,7.0,91.0,170.0,57.0,15.0,1.0,15.0,3.0,,2.0,2.0,1.0,36.0,19.0,25.0,8.0,8.0,29.0,206.0,2.0,0.0,168.0,9.0,1.0,,,1.0,87.0,66.0,6.0,69.0,1.0,2.0,28.0,21.0,13.0,1.0,165.0,2.0,1.0,113.0,672.0,6.0,11.0,2.0,28.0,341.0,23.0,,11.0,18.0,2.0,1.0,3.0,3.0,16.0,440.0,89.0,,,,97032,7.0,151.0,3.0,15.0,1.0,171.0,5.0,2.0,21.0,1.0,40.0,,4.0,2.0,2.0,11.0,3.0,,1.0,81.0,351.0,10.0,6.0,1.0,37.0,99.0,,1.0,,0.0,1.0,,2.0,,4.0,0.0,5.0,1.0,4.0,50.6,16.0,1.0,7.0,2.0,1.0,,54.0,8.0,1.0,458.0,28.0,6.0,16.0,7.0,45.0,1.0,5.0,323.0,5.0,7.0,20.0,109.0,43.0,1.0,1.0,16.0,22.0,1.0,,11.0,3.0,11.0,1.0,11.0,9.0,,1.0,2.0,1.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,
22,803380,2016-01-16 15:00:00,"St. Mary's Stadium, Southampton",29622,Home,Southampton,West Bromwich Albion,3,0,W,2,0,0,0,53.0,1.0,,2.0,27.0,34.0,3.0,3.0,,1.0,171.0,5.0,9.0,3.0,3.0,7.0,,5.0,106.0,144.0,50.0,9.0,,24.0,1.0,1.0,1.0,1.0,1.0,18.0,13.0,25.0,1.0,10.0,46.0,227.0,1.0,0.0,143.0,10.0,,,1.0,1.0,80.0,76.0,5.0,72.0,3.0,,17.0,13.0,4.0,1.0,135.0,,3.0,116.0,646.0,6.0,6.0,,16.0,362.0,23.0,,6.0,19.0,1.0,0.0,3.0,2.0,21.0,442.0,83.0,2.0,,,97032,4.0,153.0,,12.0,,169.0,3.0,1.0,13.0,9.0,52.0,3.0,2.0,1.0,1.0,8.0,7.0,4.0,,64.0,375.0,10.0,5.0,,22.0,80.0,1.0,,1.0,0.0,3.0,,2.0,,4.0,0.0,5.0,1.0,,55.8,16.0,,4.0,1.0,2.0,,42.0,1.0,1.0,465.0,16.0,9.0,22.0,2.0,27.0,,1.0,314.0,5.0,10.0,17.0,92.0,24.0,,4.0,17.0,14.0,,,7.0,3.0,16.0,4.0,7.0,1.0,,1.0,1.0,,1.0,,,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,,,,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,1.0,,,,,
23,803388,2016-01-23 15:00:00,"Old Trafford, Manchester",75408,Away,Southampton,Manchester United,1,0,W,0,0,0,0,70.0,,1.0,,36.0,28.0,2.0,1.0,1.0,,174.0,5.0,6.0,1.0,4.0,6.0,,2.0,59.0,178.0,68.0,7.0,,18.0,1.0,,,,1.0,21.0,12.0,20.0,4.0,7.0,48.0,131.0,1.0,0.0,130.0,8.0,,,5.0,1.0,55.0,49.0,1.0,68.0,3.0,,17.0,26.0,3.0,2.0,170.0,2.0,1.0,60.0,579.0,1.0,21.0,,40.0,226.0,25.0,,12.0,12.0,1.0,0.0,2.0,4.0,29.0,340.0,84.0,1.0,3.0,,97032,3.0,111.0,1.0,9.0,4.0,129.0,3.0,,26.0,11.0,41.0,1.0,1.0,,,14.0,7.0,7.0,3.0,85.0,237.0,11.0,7.0,3.0,35.0,101.0,,1.0,,0.0,4.0,,1.0,,4.0,0.0,4.0,1.0,4.0,44.6,23.0,3.0,4.0,,,,48.0,4.0,1.0,361.0,40.0,5.0,20.0,5.0,28.0,1.0,3.0,253.0,2.0,5.0,33.0,62.0,35.0,,5.0,10.0,18.0,1.0,,2.0,3.0,10.0,5.0,14.0,4.0,,1.0,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
24,803397,2016-02-02 19:45:00,"Emirates Stadium, London",60044,Away,Southampton,Arsenal,0,0,D,0,0,0,0,62.0,,1.0,4.0,21.0,31.0,8.0,7.0,10.0,1.0,136.0,4.0,3.0,,4.0,7.0,1.0,3.0,49.0,160.0,54.0,14.0,3.0,17.0,1.0,,,2.0,1.0,16.0,17.0,22.0,2.0,6.0,24.0,119.0,,0.0,126.0,19.0,7.0,,4.0,5.0,41.0,40.0,5.0,40.0,4.0,2.0,14.0,26.0,4.0,3.0,151.0,1.0,21.0,49.0,527.0,7.0,12.0,,33.0,170.0,32.0,,3.0,13.0,,1.0,6.0,2.0,27.0,246.0,65.0,,,,97032,4.0,64.0,1.0,6.0,,87.0,9.0,1.0,26.0,10.0,69.0,,2.0,,,12.0,1.0,2.0,1.0,62.0,179.0,11.0,14.0,,18.0,58.0,,,,0.0,13.0,10.0,,,5.0,0.0,4.0,,,33.3,22.0,,4.0,,7.0,1.0,25.0,3.0,5.0,274.0,33.0,16.0,14.0,4.0,34.0,,1.0,203.0,6.0,5.0,8.0,74.0,16.0,,3.0,10.0,32.0,,,13.0,3.0,10.0,3.0,14.0,3.0,,2.0,2.0,,2.0,,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
25,803411,2016-02-06 17:30:00,"St. Mary's Stadium, Southampton",29161,Home,Southampton,West Ham United,1,0,W,1,0,1,0,51.0,,,2.0,18.0,47.0,1.0,1.0,2.0,,114.0,6.0,2.0,1.0,3.0,6.0,1.0,2.0,62.0,116.0,45.0,8.0,1.0,6.0,1.0,,1.0,,,13.0,14.0,40.0,2.0,8.0,21.0,96.0,,0.0,88.0,17.0,1.0,,3.0,2.0,26.0,31.0,4.0,45.0,2.0,1.0,11.0,6.0,2.0,,109.0,1.0,10.0,59.0,471.0,5.0,7.0,1.0,17.0,199.0,25.0,1.0,5.0,24.0,1.0,1.0,10.0,2.0,16.0,252.0,50.0,,3.0,,97032,6.0,123.0,,6.0,2.0,134.0,9.0,,6.0,9.0,48.0,,,1.0,1.0,10.0,8.0,3.0,1.0,53.0,213.0,10.0,7.0,,20.0,59.0,,,,0.0,5.0,2.0,1.0,,3.0,1.0,6.0,1.0,2.0,35.2,11.0,1.0,1.0,1.0,3.0,,26.0,4.0,2.0,280.0,17.0,17.0,9.0,3.0,24.0,,3.0,159.0,5.0,7.0,14.0,51.0,18.0,,3.0,23.0,19.0,,,6.0,3.0,4.0,3.0,3.0,4.0,,,,,1.0,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
26,803416,2016-02-13 15:00:00,"Swansea.com Stadium, Swansea",20890,Away,Southampton,Swansea City,1,0,W,0,0,0,0,48.0,1.0,1.0,1.0,46.0,58.0,7.0,4.0,2.0,3.0,154.0,6.0,2.0,1.0,1.0,12.0,,5.0,87.0,155.0,48.0,14.0,4.0,15.0,2.0,1.0,1.0,2.0,1.0,18.0,8.0,48.0,1.0,13.0,42.0,164.0,,0.0,126.0,12.0,1.0,,1.0,,71.0,44.0,9.0,69.0,1.0,1.0,17.0,19.0,6.0,1.0,145.0,2.0,7.0,91.0,610.0,10.0,23.0,1.0,16.0,278.0,27.0,1.0,12.0,32.0,1.0,3.0,3.0,3.0,31.0,371.0,74.0,,1.0,,97032,5.0,145.0,1.0,10.0,1.0,172.0,5.0,,19.0,12.0,41.0,1.0,2.0,1.0,1.0,12.0,6.0,10.0,1.0,85.0,303.0,9.0,3.0,1.0,34.0,83.0,,1.0,1.0,0.0,5.0,1.0,1.0,,6.0,0.0,6.0,1.0,4.0,45.6,24.0,2.0,1.0,1.0,5.0,,48.0,4.0,,401.0,16.0,9.0,20.0,4.0,26.0,,3.0,247.0,6.0,11.0,26.0,78.0,14.0,1.0,6.0,29.0,11.0,1.0,,12.0,3.0,4.0,6.0,7.0,4.0,,,2.0,,3.0,,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,803425,2016-02-27 15:00:00,"St. Mary's Stadium, Southampton",31688,Home,Southampton,Chelsea,1,2,L,1,0,0,0,56.0,1.0,2.0,,35.0,28.0,5.0,1.0,2.0,1.0,146.0,4.0,4.0,1.0,1.0,6.0,1.0,2.0,66.0,142.0,41.0,7.0,2.0,18.0,,1.0,,1.0,1.0,26.0,12.0,22.0,6.0,7.0,37.0,146.0,,0.0,111.0,10.0,1.0,,2.0,1.0,49.0,50.0,3.0,55.0,5.0,1.0,20.0,18.0,11.0,2.0,136.0,1.0,7.0,71.0,514.0,6.0,11.0,,19.0,236.0,26.0,,10.0,9.0,,3.0,3.0,3.0,13.0,306.0,59.0,,1.0,,97032,,114.0,1.0,7.0,,126.0,3.0,,18.0,11.0,55.0,2.0,5.0,1.0,1.0,9.0,9.0,5.0,1.0,64.0,256.0,11.0,15.0,,18.0,77.0,,1.0,1.0,0.0,8.0,,1.0,2.0,2.0,0.0,3.0,,1.0,34.6,9.0,1.0,3.0,1.0,2.0,,48.0,7.0,1.0,338.0,19.0,8.0,20.0,3.0,33.0,1.0,1.0,238.0,5.0,7.0,12.0,62.0,19.0,,6.0,7.0,14.0,,2.0,5.0,3.0,9.0,6.0,10.0,7.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
