gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,accurateKeeperSweeper,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,attCmissLeft,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,goalAssistSetplay,goalAssistDeadball,attFreekickTotal,attIboxTarget,attSvLowCentre,attMissHighRight,divingSave,attMissRight,freekickTotal,bigChanceCreated,contentiousDecision,attHdTarget,goalAssist,bigChanceMissed,attCmissHigh,defenderGoals,attMissHigh,attAssistSetplay,goalsConceded,goalAssistIntentional,shieldBallOop,attBxLeft,attFreekickMiss,attHdGoal,goalsConcededIbox,goalsConcededObox,postScoringAtt,attIboxPost,attPostLeft,hitWoodwork,accurateThroughBall,attSvLowRight,accuratePullBack,shotFastbreak,attBxRight,attSvHighRight,totalFastbreak,attHdPost,sixYardBlock,totalPullBack,attFastbreak,attPostRight,savedObox,attGoalLowCentre,attCmissRight,attLfGoal,attObxLeft,goalAssistOpenplay,attOboxGoal,goalsOpenplay,attFreekickGoal,attFreekickTarget,attCmissHighRight,attGoalLowRight,midfielderGoals,attMissHighLeft,attGoalHighLeft,attObpGoal,attGoalHighRight,errorLeadToShot,errorLeadToGoal,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,penaltyConceded,penaltyFaced,penGoalsConceded,attOneOnOne,attCmissHighLeft,goalFastbreak,attOboxPost,clearanceOffLine,ownGoals,attIboxOwnGoal,attGoalHighCentre,ptsGainedLosingPos,ptsDroppedWinningPos,attSvHighLeft,attObxdLeft,attObxRight,attPostHigh,foulThrowIn,attFreekickPost
11,695007,2013-11-09 15:00:00,"St. Mary's Stadium, Southampton",30022,Home,Southampton,Hull City,4,1,W,3,0,0,0,,1.0,2.0,65.0,,2.0,40.0,38.0,1.0,2.0,1.0,1.0,191.0,9.0,13.0,4.0,1.0,11.0,7.0,143.0,143.0,61.0,15.0,1.0,14.0,,2.0,17.0,8.0,,38.0,5.0,35.0,39.0,232.0,,1.0,0.0,153.0,10.0,2.0,,,66.0,72.0,7.0,111.0,,12.0,12.0,3.0,,143.0,3.0,122.0,770.0,,6.0,12.0,23.0,448.0,26.0,9.0,27.0,,1.0,4.0,4.0,18.0,536.0,84.0,,57328,9.0,245.0,9.0,1.0,260.0,3.0,3.0,12.0,6.0,48.0,4.0,3.0,2.0,6.0,7.0,2.0,1.0,74.0,468.0,15.0,3.0,31.0,107.0,,,0.0,3.0,5.0,,4.0,1.0,0.0,6.0,6.0,60.5,16.0,3.0,3.0,1.0,2.0,3.0,66.0,6.0,,567.0,23.0,11.0,24.0,5.0,28.0,3.0,5.0,324.0,7.0,32.0,24.0,91.0,31.0,1.0,,27.0,12.0,9.0,3.0,24.0,,8.0,6.0,,,,3.0,,1.0,,,,1.0,,1.0,3.0,,,,1.0,2.0,1.0,2.0,,2.0,,1.0,,1.0,,,,,1.0,,,,1.0,,3.0,,,,,,1.0,,,,,3.0,,3.0,,,,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,14.0,1.0,25.0,4.0,,,,,,,,,,,,,,,,,,,
12,695020,2013-11-23 15:00:00,"Emirates Stadium, London",60007,Away,Southampton,Arsenal,0,2,L,0,1,0,0,,3.0,,57.0,,1.0,32.0,26.0,7.0,4.0,2.0,1.0,190.0,4.0,10.0,,2.0,6.0,4.0,110.0,167.0,58.0,10.0,4.0,30.0,3.0,,14.0,28.0,2.0,26.0,6.0,11.0,36.0,185.0,,,0.0,130.0,14.0,1.0,1.0,,36.0,89.0,6.0,100.0,,8.0,13.0,6.0,1.0,167.0,6.0,99.0,699.0,,5.0,6.0,12.0,370.0,21.0,13.0,10.0,3.0,3.0,1.0,,19.0,466.0,65.0,,80447,3.0,207.0,1.0,1.0,230.0,2.0,,3.0,7.0,69.0,1.0,7.0,6.0,13.0,3.0,3.0,,67.0,388.0,10.0,6.0,37.0,92.0,,,0.0,,5.0,2.0,,3.0,0.0,1.0,1.0,50.7,14.0,,2.0,,6.0,5.0,48.0,6.0,,499.0,12.0,13.0,16.0,1.0,23.0,3.0,,283.0,5.0,9.0,4.0,78.0,23.0,,5.0,10.0,34.0,7.0,2.0,18.0,5.0,3.0,6.0,,,,2.0,1.0,,,,,,,,,,,,1.0,1.0,2.0,,,,,,2.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,14.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
13,695023,2013-12-01 16:10:00,"Stamford Bridge, London",41568,Away,Southampton,Chelsea,1,3,L,1,0,0,0,,,1.0,55.0,,1.0,31.0,47.0,7.0,1.0,4.0,,144.0,1.0,11.0,1.0,4.0,3.0,1.0,89.0,174.0,65.0,9.0,3.0,28.0,1.0,2.0,14.0,24.0,,47.0,3.0,6.0,36.0,139.0,,,0.0,91.0,14.0,,1.0,2.0,56.0,49.0,1.0,46.0,2.0,11.0,18.0,4.0,4.0,174.0,12.0,79.0,616.0,,3.0,4.0,16.0,247.0,25.0,7.0,19.0,1.0,4.0,2.0,2.0,27.0,331.0,51.0,,80447,2.0,127.0,6.0,1.0,158.0,2.0,1.0,18.0,7.0,87.0,,1.0,5.0,18.0,4.0,3.0,,58.0,265.0,14.0,13.0,20.0,93.0,1.0,,0.0,3.0,8.0,2.0,1.0,1.0,0.0,,,49.0,20.0,,,,6.0,4.0,50.0,4.0,2.0,358.0,16.0,28.0,21.0,4.0,6.0,1.0,,214.0,8.0,6.0,12.0,59.0,18.0,1.0,1.0,19.0,29.0,5.0,3.0,17.0,1.0,6.0,4.0,,,2.0,,,,3.0,,2.0,,,,,,,,1.0,,3.0,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
14,695035,2013-12-04 19:45:00,"St. Mary's Stadium, Southampton",29814,Home,Southampton,Aston Villa,2,3,L,0,1,0,0,,4.0,1.0,63.0,1.0,2.0,57.0,11.0,8.0,4.0,,1.0,175.0,15.0,6.0,2.0,2.0,16.0,9.0,224.0,174.0,47.0,21.0,4.0,25.0,2.0,1.0,45.0,12.0,2.0,11.0,7.0,27.0,76.0,384.0,,,0.0,224.0,9.0,3.0,2.0,1.0,105.0,96.0,10.0,91.0,,39.0,9.0,22.0,3.0,174.0,3.0,220.0,930.0,1.0,12.0,13.0,15.0,590.0,17.0,3.0,6.0,2.0,3.0,1.0,6.0,27.0,689.0,91.0,1.0,80447,7.0,240.0,15.0,,258.0,1.0,,9.0,4.0,57.0,7.0,3.0,7.0,11.0,3.0,2.0,,77.0,609.0,12.0,3.0,12.0,81.0,,,0.0,3.0,2.0,,2.0,3.0,0.0,12.0,4.0,78.1,27.0,,6.0,,7.0,6.0,54.0,8.0,1.0,710.0,15.0,18.0,46.0,6.0,44.0,4.0,3.0,497.0,12.0,26.0,16.0,165.0,32.0,2.0,2.0,6.0,16.0,15.0,3.0,12.0,2.0,3.0,8.0,,,2.0,5.0,1.0,3.0,,1.0,2.0,1.0,,2.0,2.0,,,,,2.0,3.0,2.0,1.0,2.0,,2.0,2.0,1.0,,,,2.0,,3.0,,,,,,,1.0,,,,,1.0,,,,2.0,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,695046,2013-12-07 15:00:00,"St. Mary's Stadium, Southampton",31229,Home,Southampton,Manchester City,1,1,D,1,1,0,0,1.0,1.0,,45.0,,,44.0,38.0,8.0,4.0,2.0,2.0,147.0,9.0,18.0,1.0,3.0,10.0,4.0,113.0,144.0,59.0,15.0,3.0,22.0,1.0,3.0,24.0,13.0,3.0,38.0,5.0,28.0,44.0,166.0,,,0.0,103.0,6.0,1.0,3.0,,56.0,53.0,4.0,72.0,,19.0,15.0,8.0,2.0,144.0,9.0,99.0,681.0,,7.0,5.0,11.0,350.0,21.0,3.0,21.0,1.0,0.0,1.0,6.0,23.0,422.0,71.0,1.0,80447,3.0,200.0,8.0,,217.0,,1.0,15.0,11.0,65.0,,6.0,7.0,10.0,4.0,6.0,,62.0,357.0,9.0,11.0,9.0,75.0,,1.0,0.0,4.0,4.0,2.0,1.0,2.0,0.0,6.0,3.0,54.7,21.0,3.0,1.0,1.0,7.0,3.0,45.0,5.0,,431.0,11.0,10.0,23.0,8.0,17.0,3.0,6.0,238.0,8.0,26.0,13.0,63.0,16.0,1.0,1.0,21.0,20.0,12.0,3.0,36.0,1.0,6.0,5.0,,,1.0,,1.0,1.0,1.0,3.0,1.0,2.0,,,1.0,2.0,,,1.0,2.0,1.0,,1.0,3.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
16,695057,2013-12-14 15:00:00,"St. James' Park, Newcastle",49164,Away,Southampton,Newcastle United,1,1,D,0,1,0,0,1.0,,1.0,61.0,1.0,1.0,50.0,35.0,5.0,1.0,3.0,1.0,178.0,2.0,4.0,1.0,,8.0,3.0,133.0,166.0,48.0,8.0,2.0,19.0,1.0,,13.0,17.0,1.0,35.0,3.0,21.0,45.0,189.0,,,0.0,124.0,16.0,,,3.0,54.0,66.0,6.0,58.0,2.0,10.0,17.0,5.0,1.0,166.0,6.0,138.0,714.0,,6.0,10.0,14.0,378.0,25.0,10.0,23.0,1.0,2.0,4.0,2.0,22.0,483.0,65.0,,80447,2.0,209.0,5.0,,235.0,3.0,1.0,17.0,8.0,64.0,2.0,6.0,6.0,9.0,10.0,4.0,,78.0,396.0,10.0,10.0,35.0,105.0,,,0.0,1.0,11.0,2.0,1.0,6.0,0.0,1.0,1.0,60.2,19.0,,3.0,,6.0,3.0,62.0,3.0,3.0,507.0,14.0,13.0,20.0,2.0,24.0,1.0,,285.0,6.0,18.0,12.0,68.0,21.0,1.0,6.0,23.0,22.0,7.0,3.0,12.0,6.0,7.0,3.0,,,,1.0,2.0,,2.0,,,2.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,2.0,,,1.0,1.0,,2.0,,,,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
17,695066,2013-12-22 13:30:00,"St. Mary's Stadium, Southampton",31455,Home,Southampton,Tottenham Hotspur,2,3,L,1,1,0,0,,,1.0,77.0,2.0,,33.0,36.0,5.0,3.0,1.0,3.0,198.0,3.0,12.0,2.0,3.0,7.0,5.0,114.0,173.0,76.0,12.0,2.0,22.0,3.0,1.0,22.0,21.0,1.0,36.0,2.0,14.0,62.0,166.0,,,0.0,97.0,10.0,1.0,4.0,1.0,50.0,67.0,6.0,80.0,2.0,20.0,14.0,8.0,2.0,173.0,11.0,125.0,781.0,1.0,5.0,10.0,20.0,391.0,28.0,5.0,18.0,3.0,1.0,5.0,1.0,26.0,496.0,60.0,,80447,4.0,247.0,8.0,,273.0,2.0,2.0,14.0,5.0,72.0,6.0,3.0,7.0,15.0,3.0,4.0,,66.0,410.0,17.0,15.0,22.0,111.0,,2.0,0.0,1.0,5.0,1.0,1.0,6.0,0.0,3.0,,57.2,25.0,,2.0,,7.0,2.0,69.0,2.0,1.0,517.0,20.0,16.0,35.0,5.0,22.0,,3.0,266.0,9.0,10.0,18.0,56.0,39.0,1.0,2.0,18.0,30.0,9.0,3.0,22.0,2.0,8.0,2.0,,,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,,,,2.0,,3.0,1.0,,,,,3.0,,,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,2.0,1.0,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
19,695084,2013-12-29 13:30:00,"Goodison Park, Liverpool",39092,Away,Southampton,Everton,1,2,L,0,1,0,0,,,,60.0,,2.0,57.0,14.0,8.0,5.0,2.0,1.0,175.0,2.0,6.0,1.0,1.0,7.0,2.0,97.0,164.0,53.0,12.0,4.0,16.0,,,19.0,17.0,1.0,14.0,3.0,15.0,54.0,156.0,,,0.0,119.0,14.0,,1.0,1.0,37.0,63.0,4.0,71.0,1.0,16.0,26.0,4.0,2.0,164.0,5.0,106.0,654.0,,6.0,13.0,9.0,344.0,20.0,10.0,6.0,,4.0,1.0,3.0,24.0,433.0,69.0,1.0,80447,1.0,202.0,11.0,2.0,224.0,6.0,,26.0,8.0,67.0,,3.0,6.0,14.0,4.0,3.0,,78.0,356.0,9.0,12.0,19.0,81.0,,,0.0,3.0,2.0,2.0,,3.0,0.0,2.0,,55.9,21.0,,6.0,,6.0,6.0,47.0,3.0,1.0,449.0,9.0,18.0,32.0,4.0,21.0,,2.0,244.0,7.0,14.0,20.0,75.0,24.0,,2.0,6.0,18.0,10.0,3.0,14.0,2.0,19.0,3.0,,,,,,2.0,2.0,2.0,,1.0,,,1.0,1.0,,,,,2.0,,,2.0,,,2.0,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
20,695096,2014-01-01 15:00:00,"St. Mary's Stadium, Southampton",31271,Home,Southampton,Chelsea,0,3,L,0,0,0,0,,,,55.0,,4.0,29.0,28.0,2.0,4.0,2.0,1.0,177.0,7.0,9.0,,2.0,10.0,2.0,114.0,173.0,46.0,12.0,1.0,15.0,1.0,1.0,21.0,11.0,,28.0,6.0,3.0,43.0,196.0,,,0.0,120.0,13.0,,1.0,,65.0,79.0,5.0,68.0,3.0,15.0,10.0,6.0,2.0,173.0,7.0,120.0,714.0,1.0,9.0,1.0,17.0,368.0,18.0,4.0,12.0,1.0,4.0,3.0,5.0,31.0,459.0,63.0,1.0,80447,6.0,198.0,8.0,1.0,222.0,4.0,,10.0,5.0,86.0,1.0,1.0,2.0,19.0,4.0,3.0,,50.0,387.0,9.0,23.0,17.0,85.0,,,0.0,3.0,8.0,,,,0.0,4.0,2.0,54.4,24.0,1.0,4.0,,2.0,5.0,49.0,6.0,,479.0,17.0,29.0,16.0,5.0,14.0,3.0,3.0,278.0,6.0,3.0,10.0,78.0,31.0,,3.0,12.0,18.0,8.0,3.0,15.0,3.0,4.0,6.0,,,,2.0,2.0,2.0,,1.0,,,,1.0,,,,,,1.0,3.0,,,,,,2.0,1.0,,,,,1.0,,,,1.0,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
21,695108,2014-01-11 15:00:00,"St. Mary's Stadium, Southampton",28610,Home,Southampton,West Bromwich Albion,1,0,W,0,0,0,0,,2.0,1.0,62.0,,,40.0,36.0,14.0,7.0,2.0,2.0,191.0,4.0,5.0,1.0,2.0,11.0,5.0,160.0,156.0,55.0,18.0,4.0,21.0,,2.0,24.0,10.0,4.0,36.0,2.0,8.0,51.0,246.0,1.0,,0.0,178.0,11.0,,,1.0,58.0,87.0,6.0,84.0,1.0,22.0,13.0,7.0,6.0,156.0,2.0,144.0,792.0,,10.0,10.0,10.0,461.0,16.0,7.0,19.0,,1.0,,5.0,31.0,553.0,83.0,,80447,3.0,238.0,15.0,,254.0,4.0,1.0,13.0,4.0,59.0,,3.0,4.0,7.0,2.0,2.0,,65.0,480.0,15.0,5.0,30.0,87.0,,1.0,0.0,,4.0,2.0,1.0,5.0,0.0,4.0,1.0,61.6,28.0,1.0,7.0,,4.0,4.0,56.0,4.0,1.0,579.0,10.0,11.0,30.0,9.0,22.0,,3.0,349.0,10.0,8.0,19.0,118.0,35.0,,1.0,19.0,16.0,15.0,3.0,16.0,1.0,8.0,4.0,,,2.0,,2.0,,1.0,4.0,2.0,1.0,,,1.0,,,,2.0,,,1.0,,1.0,,,,,,,,,,2.0,,2.0,,,3.0,,,,2.0,,,1.0,1.0,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,695117,2014-01-18 12:45:00,"Stadium of Light, Sunderland",38115,Away,Southampton,Sunderland,2,2,D,2,1,0,0,,1.0,,63.0,2.0,2.0,43.0,48.0,9.0,2.0,3.0,4.0,191.0,8.0,7.0,2.0,3.0,14.0,8.0,144.0,155.0,52.0,17.0,1.0,23.0,1.0,2.0,30.0,14.0,4.0,48.0,4.0,24.0,34.0,245.0,,,0.0,137.0,8.0,1.0,2.0,2.0,66.0,88.0,10.0,95.0,1.0,26.0,8.0,13.0,4.0,155.0,6.0,123.0,797.0,1.0,11.0,13.0,16.0,449.0,22.0,11.0,30.0,1.0,0.0,4.0,4.0,21.0,534.0,75.0,2.0,80447,5.0,225.0,11.0,1.0,242.0,3.0,2.0,8.0,3.0,57.0,2.0,1.0,8.0,16.0,4.0,1.0,,71.0,462.0,7.0,4.0,34.0,98.0,2.0,,0.0,,4.0,1.0,1.0,4.0,0.0,7.0,1.0,63.5,21.0,,6.0,,8.0,3.0,64.0,7.0,2.0,553.0,16.0,20.0,20.0,6.0,24.0,1.0,2.0,341.0,14.0,24.0,22.0,93.0,25.0,1.0,4.0,30.0,16.0,14.0,3.0,10.0,4.0,4.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,,,1.0,2.0,,,1.0,1.0,1.0,2.0,1.0,,1.0,,,2.0,,,,,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,,1.0,,2.0,,2.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
23,695126,2014-01-28 19:45:00,"St. Mary's Stadium, Southampton",31284,Home,Southampton,Arsenal,2,2,D,1,0,0,1,,,1.0,59.0,,3.0,37.0,30.0,2.0,2.0,2.0,2.0,153.0,6.0,14.0,2.0,1.0,12.0,5.0,140.0,145.0,62.0,13.0,2.0,10.0,,3.0,37.0,22.0,,30.0,6.0,2.0,36.0,243.0,,,0.0,151.0,11.0,1.0,,,80.0,52.0,10.0,81.0,4.0,31.0,19.0,9.0,,145.0,5.0,150.0,745.0,,7.0,4.0,21.0,438.0,19.0,2.0,9.0,,1.0,1.0,2.0,17.0,512.0,73.0,,80447,7.0,208.0,22.0,1.0,223.0,5.0,,12.0,2.0,51.0,,2.0,4.0,10.0,2.0,,,60.0,445.0,4.0,12.0,19.0,76.0,2.0,1.0,0.0,2.0,5.0,2.0,2.0,1.0,0.0,3.0,3.0,52.6,14.0,,6.0,,4.0,5.0,49.0,7.0,,524.0,21.0,9.0,23.0,3.0,42.0,3.0,3.0,338.0,7.0,2.0,16.0,112.0,31.0,,3.0,9.0,29.0,8.0,2.0,23.0,3.0,12.0,7.0,1.0,,,3.0,1.0,,1.0,,,3.0,,1.0,2.0,2.0,,1.0,,3.0,2.0,2.0,1.0,2.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,2.0,1.0,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,,,,,,,11.0,2.0,35.0,4.0,,,,1.0,,,,,,,,1.0,2.0,,,,,,
24,695134,2014-02-01 15:00:00,"Craven Cottage, London",25700,Away,Southampton,Fulham,3,0,W,0,0,0,0,1.0,1.0,1.0,62.0,,3.0,42.0,34.0,6.0,3.0,4.0,,188.0,12.0,6.0,3.0,,15.0,5.0,140.0,162.0,50.0,17.0,1.0,17.0,1.0,3.0,28.0,17.0,1.0,34.0,4.0,16.0,41.0,235.0,1.0,,0.0,141.0,9.0,1.0,,1.0,82.0,65.0,8.0,97.0,,24.0,13.0,9.0,4.0,162.0,4.0,121.0,778.0,,9.0,2.0,24.0,430.0,23.0,5.0,18.0,1.0,3.0,,7.0,24.0,528.0,79.0,,80447,7.0,218.0,15.0,,244.0,2.0,2.0,13.0,7.0,52.0,,2.0,7.0,8.0,4.0,3.0,,80.0,441.0,8.0,6.0,34.0,106.0,1.0,,0.0,,4.0,3.0,3.0,,0.0,8.0,3.0,60.9,18.0,2.0,5.0,,7.0,4.0,56.0,5.0,1.0,546.0,24.0,12.0,19.0,8.0,28.0,4.0,4.0,330.0,10.0,16.0,17.0,90.0,26.0,2.0,1.0,18.0,20.0,14.0,3.0,15.0,1.0,9.0,5.0,,,,1.0,,,3.0,1.0,,1.0,,1.0,3.0,,,,1.0,3.0,,2.0,,3.0,,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,,,1.0,,3.0,,3.0,,,,2.0,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,
25,695147,2014-02-08 15:00:00,"St. Mary's Stadium, Southampton",27987,Home,Southampton,Stoke City,2,2,D,2,2,0,0,,,,62.0,1.0,3.0,23.0,39.0,8.0,4.0,2.0,2.0,178.0,4.0,10.0,2.0,5.0,12.0,5.0,122.0,157.0,58.0,18.0,3.0,26.0,3.0,2.0,25.0,20.0,1.0,39.0,3.0,27.0,44.0,224.0,,,0.0,165.0,7.0,,3.0,2.0,56.0,64.0,7.0,70.0,1.0,22.0,15.0,2.0,4.0,157.0,3.0,133.0,744.0,,10.0,9.0,10.0,385.0,27.0,2.0,25.0,3.0,0.0,,5.0,22.0,481.0,84.0,1.0,80447,3.0,184.0,17.0,2.0,206.0,1.0,1.0,15.0,6.0,59.0,3.0,,7.0,11.0,2.0,4.0,,51.0,404.0,12.0,7.0,27.0,81.0,2.0,,0.0,1.0,4.0,1.0,,1.0,0.0,3.0,2.0,60.4,20.0,1.0,3.0,1.0,7.0,6.0,45.0,7.0,2.0,503.0,10.0,6.0,15.0,7.0,27.0,1.0,3.0,322.0,11.0,27.0,15.0,108.0,21.0,1.0,7.0,25.0,23.0,10.0,1.0,25.0,7.0,7.0,7.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,,1.0,1.0,2.0,,,1.0,1.0,2.0,,,2.0,1.0,,1.0,1.0,,,,,2.0,1.0,,1.0,2.0,,1.0,,,1.0,1.0,,1.0,,1.0,1.0,,,2.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
26,695153,2014-02-11 19:45:00,"The MKM Stadium, Hull",23670,Away,Southampton,Hull City,1,0,W,0,0,0,0,,2.0,1.0,88.0,,2.0,34.0,34.0,3.0,3.0,4.0,3.0,243.0,5.0,10.0,1.0,1.0,10.0,7.0,145.0,196.0,70.0,16.0,1.0,17.0,1.0,1.0,16.0,22.0,,34.0,2.0,36.0,53.0,263.0,1.0,,0.0,184.0,8.0,1.0,,3.0,69.0,94.0,7.0,105.0,1.0,14.0,13.0,5.0,,196.0,7.0,120.0,850.0,,9.0,11.0,15.0,464.0,32.0,6.0,21.0,1.0,3.0,,3.0,24.0,593.0,89.0,,80447,7.0,218.0,9.0,,252.0,4.0,1.0,13.0,7.0,60.0,1.0,3.0,11.0,15.0,5.0,4.0,,67.0,476.0,6.0,10.0,33.0,110.0,,1.0,0.0,2.0,2.0,2.0,1.0,4.0,0.0,4.0,1.0,62.5,21.0,,4.0,,11.0,3.0,59.0,2.0,4.0,613.0,15.0,14.0,27.0,6.0,29.0,1.0,4.0,377.0,10.0,34.0,27.0,117.0,38.0,,3.0,21.0,27.0,12.0,3.0,21.0,3.0,6.0,2.0,,,,6.0,2.0,,2.0,2.0,,1.0,,1.0,,4.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,2.0,,,2.0,1.0,3.0,,,1.0,,2.0,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,13.0,3.0,19.0,,,,,,,,2.0,,,,,,,,,,2.0,,
27,695169,2014-02-22 15:00:00,"Boleyn Ground, London",33148,Away,Southampton,West Ham United,1,3,L,1,2,0,0,,2.0,1.0,52.0,,4.0,36.0,43.0,10.0,8.0,2.0,2.0,184.0,7.0,8.0,1.0,4.0,20.0,5.0,154.0,145.0,44.0,26.0,3.0,9.0,,2.0,36.0,11.0,2.0,43.0,8.0,23.0,36.0,290.0,,,0.0,145.0,8.0,1.0,2.0,,50.0,98.0,10.0,69.0,,28.0,14.0,9.0,6.0,145.0,6.0,154.0,799.0,1.0,18.0,4.0,10.0,467.0,25.0,7.0,30.0,,1.0,1.0,10.0,25.0,546.0,77.0,1.0,80447,7.0,199.0,17.0,1.0,230.0,1.0,,14.0,7.0,39.0,,1.0,6.0,14.0,4.0,5.0,,54.0,482.0,10.0,4.0,25.0,66.0,,1.0,0.0,1.0,5.0,1.0,1.0,2.0,0.0,5.0,5.0,68.5,25.0,3.0,6.0,,6.0,7.0,48.0,11.0,,561.0,10.0,12.0,19.0,14.0,19.0,2.0,7.0,367.0,11.0,22.0,16.0,111.0,13.0,,6.0,30.0,12.0,19.0,3.0,15.0,6.0,9.0,11.0,1.0,1.0,2.0,2.0,,1.0,1.0,3.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,6.0,1.0,3.0,1.0,,4.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,,3.0,1.0,,2.0,,,1.0,1.0,1.0,,,1.0,,2.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
