gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,attCmissHigh,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,punches,redCard,overrun,lostCorners,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,handBall,savedObox,saves,accuratePullBack,attPenTarget,attFreekickTotal,shotFastbreak,postScoringAtt,attMissLeft,attOboxTarget,penaltyWon,divingSave,totalFastbreak,attSvHighLeft,attSvLowLeft,attFreekickPost,freekickTotal,attOboxMiss,contentiousDecision,attHdTarget,hitWoodwork,attMissHighLeft,bigChanceMissed,sixYardBlock,totalPullBack,attCmissHighLeft,attAssistSetplay,attFastbreak,attSvLowRight,savedIbox,attOboxPost,attPostHigh,shieldBallOop,attFreekickMiss,dispossessed,accurateCornersIntobox,effectiveBlockedCross,blockedCross,attMissHighRight,interceptionsInBox,attMissRight,accurateFreekickCross,attSetpiece,attSvHighCentre,goals,goalAssistOpenplay,cleanSheet,attOboxGoal,midfielderGoals,attGoalHighCentre,goalAssist,attRfGoal,totalThroughBall,goalsOpenplay,attLfTarget,bigChanceScored,attGoalLowRight,attBxRight,attIboxPost,ptsGainedLosingPos,bigChanceCreated,ownGoals,attIboxGoal,goalAssistIntentional,attPostRight,attIboxOwnGoal,attGoalLowLeft,goalAssistSetplay,attSvHighRight,attHdPost,forwardGoals,ptsDroppedWinningPos,goalsConcededObox,goalAssistDeadball,defenderGoals,attFreekickTarget,clearanceOffLine,attHdGoal,errorLeadToGoal,attCmissLeft,attLfGoal,attGoalLowCentre,subsGoals,accurateThroughBall,attPenGoal,attCmissRight,attPostLeft,attCmissHighRight,errorLeadToShot,attObxdLeft,attGoalHighLeft,penaltySave,attObxLeft,attObxdRight,attGoalHighRight,attLgCentre,attOneOnOne,goalFastbreak,attLgLeft
27,2293079,2023-03-12 14:00:00,"London Stadium, London",62472,Home,West Ham United,Aston Villa,1,1,D,1,1,0,0,28.0,56.0,3.0,22.0,22.0,5.0,5.0,12.0,5.0,110.0,15.0,9.0,9.0,2.0,13.0,6.0,95.0,111.0,45.0,17.0,,8.0,2.0,,3.0,31.0,10.0,22.0,11.0,2.0,36.0,118.0,0.0,89.0,9.0,1.0,1.0,41.0,46.0,6.0,43.0,20.0,21.0,5.0,3.0,111.0,10.0,104.0,542.0,11.0,1.0,34.0,12.0,278.0,17.0,4.0,12.0,,1.0,4.0,7.0,13.0,338.0,45.0,86934,7.0,181.0,16.0,,193.0,7.0,9.0,5.0,39.0,,6.0,7.0,6.0,2.0,5.0,2.0,40.0,290.0,6.0,10.0,7.0,6.0,58.0,,0.0,2.0,2.0,1.0,,0.0,7.0,1.0,40.8,12.0,1.0,7.0,3.0,7.0,3.0,39.0,12.0,,1.0,352.0,,12.0,19.0,8.0,36.0,6.0,190.0,11.0,2.0,12.0,51.0,24.0,12.0,18.0,1.0,9.0,2.0,13.0,9.0,13.0,,,3.0,1.0,,,,,3.0,3.0,1.0,1.0,,,1.0,,,2.0,1.0,,,,2.0,,1.0,,2.0,,,3.0,,,,,8.0,2.0,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,
28,2293086,2023-05-03 20:00:00,"Etihad Stadium, Manchester",53305,Away,West Ham United,Manchester City,0,3,L,0,0,0,0,15.0,51.0,1.0,18.0,24.0,2.0,1.0,3.0,1.0,130.0,7.0,,6.0,1.0,2.0,2.0,72.0,110.0,40.0,6.0,,10.0,2.0,,,11.0,8.0,24.0,3.0,1.0,38.0,131.0,0.0,88.0,8.0,1.0,,83.0,35.0,2.0,50.0,8.0,13.0,3.0,3.0,110.0,10.0,75.0,478.0,1.0,6.0,6.0,11.0,239.0,23.0,3.0,14.0,,1.0,1.0,,12.0,302.0,34.0,86934,1.0,124.0,4.0,,142.0,5.0,5.0,12.0,43.0,,,2.0,9.0,6.0,9.0,,43.0,255.0,8.0,9.0,8.0,,52.0,,0.0,1.0,6.0,3.0,1.0,0.0,,,31.1,11.0,,,1.0,2.0,1.0,22.0,3.0,,,327.0,,11.0,17.0,3.0,20.0,,196.0,5.0,1.0,14.0,60.0,22.0,14.0,12.0,2.0,4.0,3.0,15.0,5.0,3.0,,3.0,4.0,,,,1.0,,2.0,,,3.0,1.0,,1.0,,,3.0,,,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,7.0,,4.0,4.0,1.0,4.0,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
29,2293099,2023-04-02 14:00:00,"London Stadium, London",62465,Home,West Ham United,Southampton,1,0,W,1,0,0,0,19.0,66.0,2.0,29.0,11.0,2.0,4.0,9.0,1.0,175.0,11.0,4.0,7.0,1.0,7.0,2.0,73.0,166.0,58.0,12.0,1.0,19.0,,,,19.0,19.0,11.0,4.0,2.0,56.0,120.0,0.0,105.0,10.0,2.0,,76.0,52.0,1.0,59.0,15.0,24.0,3.0,4.0,166.0,5.0,96.0,622.0,4.0,7.0,28.0,13.0,283.0,30.0,3.0,6.0,,0.0,2.0,6.0,27.0,383.0,48.0,86934,5.0,180.0,9.0,,202.0,4.0,12.0,6.0,70.0,1.0,1.0,4.0,13.0,4.0,5.0,3.0,69.0,296.0,11.0,15.0,18.0,5.0,69.0,,0.0,1.0,3.0,,1.0,0.0,2.0,4.0,43.0,24.0,3.0,5.0,2.0,4.0,3.0,32.0,5.0,,,403.0,,13.0,25.0,7.0,25.0,5.0,220.0,4.0,1.0,12.0,60.0,23.0,6.0,28.0,,5.0,4.0,16.0,12.0,5.0,,2.0,3.0,1.0,,1.0,,1.0,1.0,1.0,,3.0,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,2.0,,2.0,,,1.0,,1.0,,,17.0,2.0,2.0,2.0,,,2.0,1.0,1.0,,1.0,,1.0,,,,1.0,,3.0,,,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,,2.0,,,,,1.0,,,,1.0,,,,,,
30,2293102,2023-04-08 15:00:00,"Craven Cottage, London",24491,Away,West Ham United,Fulham,1,0,W,1,0,0,0,18.0,57.0,,17.0,61.0,2.0,4.0,7.0,2.0,93.0,9.0,6.0,2.0,2.0,7.0,5.0,36.0,123.0,52.0,9.0,,15.0,4.0,,3.0,17.0,6.0,61.0,4.0,,20.0,72.0,0.0,68.0,12.0,2.0,3.0,32.0,34.0,4.0,22.0,13.0,12.0,2.0,,123.0,7.0,45.0,424.0,5.0,4.0,21.0,16.0,112.0,33.0,,25.0,,1.0,9.0,3.0,16.0,180.0,28.0,86934,6.0,56.0,11.0,,85.0,6.0,4.0,5.0,45.0,,2.0,3.0,16.0,9.0,3.0,,42.0,122.0,9.0,3.0,14.0,2.0,39.0,,0.0,,11.0,,,0.0,4.0,1.0,23.4,14.0,,2.0,,4.0,,19.0,4.0,,3.0,196.0,,16.0,11.0,4.0,17.0,3.0,128.0,3.0,,24.0,41.0,15.0,25.0,17.0,,6.0,3.0,13.0,4.0,4.0,2.0,2.0,3.0,,,,1.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,,,2.0,,,,2.0,1.0,,1.0,,,,,6.0,2.0,5.0,5.0,,1.0,4.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,2.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
31,2293118,2023-04-16 14:00:00,"London Stadium, London",62475,Home,West Ham United,Arsenal,2,2,D,1,2,0,0,19.0,55.0,6.0,16.0,14.0,2.0,4.0,13.0,,111.0,13.0,6.0,6.0,3.0,11.0,3.0,36.0,121.0,54.0,16.0,1.0,19.0,1.0,,,20.0,8.0,14.0,7.0,2.0,31.0,90.0,0.0,80.0,11.0,1.0,,34.0,60.0,8.0,35.0,13.0,14.0,3.0,1.0,121.0,10.0,44.0,406.0,5.0,3.0,25.0,15.0,146.0,23.0,3.0,9.0,,1.0,1.0,3.0,26.0,209.0,46.0,86934,5.0,72.0,11.0,1.0,86.0,5.0,5.0,5.0,52.0,,4.0,2.0,10.0,1.0,1.0,1.0,42.0,156.0,8.0,11.0,11.0,4.0,41.0,,0.0,,2.0,2.0,1.0,0.0,4.0,6.0,28.5,16.0,2.0,5.0,3.0,2.0,7.0,20.0,7.0,1.0,,226.0,,15.0,16.0,6.0,29.0,3.0,160.0,6.0,2.0,23.0,45.0,19.0,9.0,17.0,2.0,7.0,3.0,14.0,5.0,7.0,2.0,,3.0,,,1.0,,1.0,2.0,,1.0,1.0,,1.0,,,1.0,2.0,,1.0,1.0,,1.0,2.0,,,5.0,,,3.0,,1.0,,,5.0,2.0,,,,3.0,2.0,1.0,1.0,,2.0,1.0,,,,,1.0,1.0,2.0,1.0,,2.0,2.0,2.0,1.0,1.0,2.0,,2.0,1.0,,,,,,1.0,2.0,,,,,,,,,2.0,1.0,,,2.0,1.0,,,,,1.0,,,,,,,,,
32,2293120,2023-04-23 14:00:00,"Vitality Stadium, Bournemouth",10465,Away,West Ham United,Bournemouth,4,0,W,3,0,0,0,14.0,67.0,1.0,22.0,29.0,8.0,5.0,10.0,4.0,155.0,6.0,4.0,5.0,1.0,13.0,10.0,69.0,116.0,45.0,18.0,3.0,15.0,2.0,,6.0,13.0,9.0,29.0,5.0,8.0,48.0,169.0,0.0,138.0,8.0,,1.0,65.0,66.0,11.0,55.0,8.0,11.0,8.0,4.0,116.0,10.0,79.0,544.0,9.0,6.0,22.0,14.0,264.0,33.0,1.0,11.0,,2.0,5.0,2.0,13.0,337.0,46.0,86934,6.0,113.0,4.0,,135.0,4.0,4.0,13.0,45.0,,3.0,5.0,11.0,7.0,8.0,,54.0,278.0,7.0,11.0,10.0,3.0,65.0,1.0,0.0,1.0,8.0,,2.0,0.0,3.0,5.0,35.4,12.0,2.0,6.0,1.0,5.0,4.0,36.0,5.0,,1.0,358.0,,14.0,26.0,4.0,24.0,3.0,236.0,8.0,8.0,16.0,105.0,19.0,11.0,17.0,,13.0,5.0,9.0,4.0,5.0,,3.0,5.0,1.0,,1.0,2.0,,2.0,4.0,,3.0,3.0,,,,1.0,1.0,1.0,1.0,,,,,2.0,,,2.0,,2.0,,,,,7.0,1.0,3.0,3.0,2.0,1.0,,,1.0,,4.0,3.0,1.0,,2.0,,4.0,2.0,3.0,2.0,1.0,3.0,2.0,,,,3.0,,4.0,3.0,,,1.0,1.0,,,1.0,,,1.0,,,,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,
33,2293135,2023-04-26 19:45:00,"London Stadium, London",62473,Home,West Ham United,Liverpool,1,2,L,1,1,0,0,27.0,74.0,,29.0,13.0,2.0,3.0,5.0,,144.0,11.0,2.0,13.0,,6.0,2.0,50.0,149.0,50.0,7.0,1.0,28.0,1.0,1.0,1.0,15.0,11.0,13.0,3.0,10.0,49.0,94.0,0.0,98.0,6.0,,1.0,71.0,32.0,3.0,41.0,12.0,17.0,2.0,3.0,149.0,14.0,76.0,492.0,4.0,1.0,19.0,18.0,205.0,39.0,5.0,4.0,1.0,0.0,7.0,3.0,18.0,291.0,46.0,86934,1.0,125.0,9.0,,156.0,4.0,9.0,7.0,59.0,1.0,1.0,1.0,14.0,6.0,3.0,1.0,67.0,217.0,8.0,6.0,19.0,2.0,56.0,,0.0,1.0,6.0,2.0,,0.0,1.0,2.0,27.4,12.0,2.0,6.0,2.0,1.0,1.0,23.0,3.0,,1.0,311.0,,18.0,23.0,4.0,24.0,4.0,170.0,2.0,9.0,16.0,63.0,25.0,4.0,13.0,1.0,5.0,2.0,23.0,9.0,3.0,1.0,1.0,2.0,,,,1.0,,2.0,,,,1.0,,,,,,1.0,,,1.0,2.0,,,,1.0,1.0,,1.0,,,1.0,,10.0,1.0,,,,3.0,,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,
34,2293144,2023-04-29 12:30:00,"Selhurst Park, London",25148,Away,West Ham United,Crystal Palace,3,4,L,2,3,0,0,23.0,66.0,,20.0,20.0,2.0,2.0,5.0,1.0,171.0,9.0,3.0,2.0,,4.0,4.0,48.0,172.0,57.0,8.0,1.0,31.0,,1.0,,14.0,15.0,20.0,5.0,,42.0,99.0,0.0,115.0,17.0,,,56.0,49.0,1.0,37.0,9.0,13.0,3.0,3.0,172.0,10.0,78.0,533.0,2.0,6.0,16.0,11.0,201.0,35.0,5.0,14.0,1.0,2.0,6.0,3.0,29.0,308.0,70.0,86934,1.0,123.0,6.0,1.0,156.0,12.0,6.0,10.0,75.0,,1.0,2.0,15.0,6.0,7.0,1.0,63.0,219.0,9.0,6.0,23.0,4.0,76.0,,0.0,,8.0,4.0,2.0,0.0,1.0,4.0,40.1,20.0,2.0,2.0,,2.0,1.0,31.0,5.0,1.0,,334.0,1.0,11.0,15.0,3.0,29.0,2.0,192.0,2.0,,23.0,56.0,26.0,14.0,23.0,4.0,4.0,5.0,10.0,6.0,5.0,,2.0,2.0,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,13.0,2.0,3.0,3.0,,3.0,1.0,,,,3.0,,,,1.0,,1.0,,1.0,,,3.0,2.0,1.0,,,1.0,,3.0,,,,1.0,1.0,,,1.0,3.0,,,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0
35,2293158,2023-05-07 19:00:00,"London Stadium, London",62477,Home,West Ham United,Manchester United,1,0,W,1,0,0,0,22.0,61.0,3.0,24.0,20.0,5.0,6.0,10.0,2.0,150.0,9.0,6.0,10.0,1.0,11.0,4.0,74.0,126.0,52.0,15.0,3.0,15.0,3.0,,2.0,20.0,7.0,20.0,5.0,7.0,51.0,133.0,0.0,106.0,4.0,,,74.0,39.0,6.0,47.0,15.0,18.0,5.0,3.0,126.0,11.0,74.0,522.0,11.0,11.0,30.0,10.0,243.0,27.0,2.0,9.0,,0.0,3.0,5.0,10.0,322.0,47.0,86934,3.0,136.0,12.0,,159.0,,10.0,11.0,42.0,,1.0,3.0,12.0,8.0,10.0,,49.0,263.0,8.0,10.0,11.0,4.0,58.0,1.0,0.0,,6.0,,3.0,0.0,5.0,3.0,34.6,7.0,1.0,7.0,,3.0,6.0,34.0,5.0,,,345.0,,10.0,28.0,5.0,23.0,3.0,206.0,6.0,7.0,17.0,65.0,21.0,9.0,17.0,,10.0,4.0,13.0,10.0,5.0,1.0,1.0,4.0,,,,1.0,1.0,2.0,,,2.0,1.0,,,,,1.0,,,1.0,1.0,2.0,1.0,3.0,,,1.0,1.0,3.0,,,,,11.0,1.0,,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,3.0,1.0,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
36,2293162,2023-05-14 14:00:00,"Gtech Community Stadium, Brentford",17075,Away,West Ham United,Brentford,0,2,L,0,2,0,0,20.0,60.0,,19.0,26.0,1.0,,3.0,4.0,156.0,14.0,1.0,6.0,,3.0,4.0,113.0,151.0,41.0,4.0,,18.0,3.0,,2.0,18.0,9.0,26.0,5.0,8.0,48.0,179.0,0.0,93.0,5.0,,,72.0,43.0,3.0,58.0,13.0,20.0,1.0,7.0,151.0,18.0,120.0,624.0,3.0,6.0,9.0,8.0,339.0,24.0,,12.0,,0.0,4.0,,18.0,424.0,44.0,86934,2.0,175.0,6.0,,204.0,1.0,7.0,12.0,53.0,,3.0,6.0,14.0,6.0,7.0,,49.0,353.0,5.0,12.0,6.0,,70.0,,0.0,1.0,7.0,2.0,,0.0,1.0,,46.9,16.0,,6.0,,6.0,,38.0,5.0,,,447.0,,8.0,19.0,,26.0,,261.0,4.0,7.0,19.0,62.0,23.0,12.0,11.0,2.0,4.0,4.0,16.0,7.0,5.0,2.0,2.0,7.0,,,,,,,1.0,,4.0,,,2.0,,,,1.0,,1.0,,,,,,,,,6.0,,,,,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,
37,2293178,2023-05-21 13:30:00,"London Stadium, London",62478,Home,West Ham United,Leeds United,3,1,W,1,1,0,0,21.0,59.0,3.0,27.0,22.0,5.0,10.0,14.0,,181.0,13.0,4.0,11.0,3.0,15.0,9.0,137.0,156.0,66.0,19.0,3.0,12.0,5.0,1.0,,21.0,8.0,22.0,8.0,2.0,50.0,215.0,0.0,144.0,6.0,2.0,1.0,82.0,74.0,12.0,63.0,13.0,23.0,5.0,1.0,156.0,9.0,137.0,731.0,9.0,3.0,42.0,11.0,402.0,27.0,2.0,15.0,1.0,1.0,3.0,3.0,24.0,495.0,42.0,86934,7.0,208.0,10.0,,245.0,3.0,7.0,8.0,45.0,,1.0,10.0,13.0,3.0,7.0,,54.0,419.0,10.0,4.0,13.0,5.0,67.0,,0.0,,5.0,1.0,,0.0,1.0,3.0,58.8,21.0,1.0,3.0,2.0,10.0,6.0,44.0,9.0,,1.0,518.0,,11.0,33.0,4.0,31.0,3.0,294.0,6.0,1.0,34.0,106.0,16.0,15.0,11.0,1.0,12.0,4.0,26.0,7.0,9.0,,,2.0,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,3.0,,,1.0,,1.0,,,1.0,,1.0,,3.0,1.0,2.0,2.0,,,,,8.0,3.0,,,2.0,2.0,1.0,,2.0,,3.0,3.0,,,2.0,1.0,3.0,1.0,2.0,3.0,5.0,3.0,1.0,,,3.0,4.0,,3.0,3.0,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,,,,,1.0,,,,,,,,1.0,,
38,2293187,2023-05-28 16:30:00,"King Power Stadium, Leicester",32183,Away,West Ham United,Leicester City,1,2,L,0,1,0,0,18.0,56.0,3.0,26.0,17.0,4.0,5.0,12.0,2.0,178.0,9.0,4.0,6.0,1.0,16.0,3.0,145.0,111.0,36.0,16.0,1.0,11.0,2.0,1.0,1.0,27.0,10.0,17.0,5.0,4.0,45.0,283.0,0.0,146.0,10.0,1.0,1.0,80.0,74.0,7.0,81.0,22.0,18.0,4.0,7.0,111.0,8.0,161.0,724.0,14.0,1.0,29.0,3.0,481.0,30.0,1.0,8.0,1.0,1.0,3.0,9.0,11.0,544.0,68.0,86934,6.0,222.0,14.0,,243.0,5.0,7.0,9.0,39.0,1.0,3.0,3.0,10.0,5.0,8.0,4.0,43.0,501.0,8.0,8.0,5.0,1.0,62.0,,0.0,,3.0,2.0,,0.0,4.0,2.0,51.8,11.0,,6.0,4.0,3.0,4.0,43.0,5.0,,1.0,565.0,,3.0,25.0,9.0,28.0,5.0,349.0,9.0,3.0,5.0,123.0,17.0,8.0,17.0,2.0,15.0,5.0,10.0,7.0,5.0,1.0,1.0,2.0,1.0,,,,1.0,,,,1.0,,,,,,3.0,,,1.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,7.0,,1.0,1.0,1.0,,3.0,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,2.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
