gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,punches,redCard,lostCorners,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attLfTarget,attGoalLowRight,attGoalLowCentre,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,goalFastbreak,attMissHighRight,cleanSheet,totalFastbreak,attLgCentre,attMissHighLeft,goalAssist,totalKeeperSweeper,accurateThroughBall,attSetpiece,totalThroughBall,goalsOpenplay,attAssistSetplay,attFastbreak,overrun,savedIbox,goalsConcededObox,postScoringAtt,attIboxPost,attOboxTarget,attPostLeft,hitWoodwork,fastestPlayer_topSpeed,totalDistance,errorLeadToGoal,goalAssistSetplay,accuratePullBack,ptsGainedLosingPos,subsGoals,accurateFreekickCross,attRfGoal,totalPullBack,attCmissHigh,goalAssistIntentional,shieldBallOop,attFreekickTotal,attSvHighRight,attSvLowLeft,freekickTotal,errorLeadToShot,attHdPost,attGoalHighLeft,attPostHigh,attFreekickMiss,forwardGoals,attHdGoal,contentiousDecision,ownGoals,attIboxOwnGoal,ptsDroppedWinningPos,attCmissHighRight,secondYellow,attOneOnOne,attSvHighCentre,goalAssistDeadball,defenderGoals,attFreekickTarget,attGoalHighRight,attOboxGoal,attSvHighLeft,penaltyConceded,attFreekickGoal,penaltyFaced,penGoalsConceded,attOboxPost,attPostRight,attGoalHighCentre,clearanceOffLine,expectedGoalsOnTarget,attObxLeft,expectedGoalsOnTargetConceded,expectedAssists,expectedGoalsFreekick,expectedGoals,winningGoal,keeperGoals,attObpGoal,attCmissHighLeft
11,2444578,2024-11-09 15:00:00,"London Stadium, London",62463,Home,West Ham United,Everton,0,0,D,0,0,0,0,,48.0,,,1.0,26.0,33.0,4.0,5.0,7.0,4.0,,4.0,157.0,2.0,7.0,,1.0,9.0,,6.0,121.0,153.0,47.0,11.0,3.0,18.0,5.0,1.0,1.0,,14.0,6.0,33.0,7.0,11.0,40.0,200.0,,0.0,136.0,10.0,1.0,,2.0,2.0,75.0,61.0,8.0,70.0,,1.0,7.0,24.0,4.0,2.0,,153.0,2.0,11.0,99.0,658.0,7.0,10.0,19.0,,4.0,336.0,16.0,5.0,17.0,1.0,5.0,1.0,23.0,429.0,62.0,84939,2.0,151.0,2.0,3.0,1.0,183.0,7.0,15.0,7.0,58.0,1.0,7.0,14.0,7.0,4.0,,,57.0,349.0,9.0,10.0,19.0,2.0,60.0,3.0,,,0.0,6.0,,,2.0,0.0,,2.0,49.3,16.0,1.0,2.0,2.0,7.0,4.0,31.0,7.0,2.0,447.0,4.0,8.0,24.0,1.0,22.0,2.0,1.0,278.0,4.0,9.0,18.0,99.0,21.0,,17.0,13.0,,9.0,4.0,19.0,,15.0,7.0,,2.0,,,,,,,,1.0,,,,,,3.0,,4.0,,2.0,,1.0,4.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
12,2444588,2024-11-25 20:00:00,"St. James' Park, Newcastle",52094,Away,West Ham United,Newcastle United,2,0,W,1,0,0,0,,58.0,1.0,,3.0,23.0,34.0,8.0,5.0,7.0,2.0,,2.0,174.0,2.0,8.0,2.0,1.0,8.0,,6.0,100.0,127.0,59.0,15.0,3.0,7.0,1.0,2.0,3.0,1.0,12.0,20.0,34.0,1.0,16.0,33.0,180.0,,0.0,103.0,8.0,1.0,1.0,,,55.0,59.0,5.0,82.0,1.0,,11.0,15.0,8.0,4.0,2.0,127.0,,14.0,119.0,687.0,6.0,5.0,17.0,,10.0,370.0,18.0,7.0,16.0,0.0,6.0,3.0,16.0,441.0,48.0,84939,5.0,212.0,,7.0,,241.0,5.0,8.0,17.0,40.0,,8.0,8.0,4.0,10.0,,,69.0,390.0,11.0,5.0,33.0,1.0,70.0,,,2.0,0.0,8.0,2.0,,3.0,0.0,1.0,1.0,47.2,14.0,,4.0,,8.0,6.0,33.0,3.0,,475.0,10.0,10.0,17.0,3.0,21.0,1.0,1.0,246.0,9.0,15.0,15.0,74.0,24.0,1.0,16.0,26.0,,12.0,5.0,19.0,1.0,8.0,3.0,1.0,2.0,1.0,,,4.0,1.0,,2.0,1.0,,,,2.0,4.0,,,3.0,1.0,,,1.0,2.0,,,,3.0,,,,,,1.0,1.0,,,,1.0,1.0,,2.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
13,2444598,2024-11-30 17:30:00,"London Stadium, London",62475,Home,West Ham United,Arsenal,2,5,L,2,5,0,0,1.0,37.0,,1.0,3.0,24.0,21.0,4.0,4.0,8.0,2.0,1.0,1.0,126.0,1.0,5.0,2.0,4.0,6.0,,5.0,78.0,109.0,57.0,12.0,1.0,11.0,2.0,,,1.0,9.0,16.0,21.0,2.0,4.0,34.0,120.0,,0.0,76.0,10.0,1.0,,1.0,1.0,37.0,37.0,4.0,38.0,1.0,1.0,7.0,14.0,4.0,4.0,1.0,109.0,1.0,13.0,81.0,504.0,5.0,7.0,17.0,1.0,6.0,233.0,13.0,6.0,9.0,4.0,4.0,2.0,11.0,299.0,39.0,84939,4.0,133.0,1.0,2.0,,155.0,7.0,13.0,5.0,42.0,1.0,4.0,12.0,3.0,4.0,1.0,,49.0,252.0,13.0,5.0,20.0,,54.0,,,2.0,0.0,10.0,1.0,5.0,2.0,0.0,1.0,1.0,40.1,11.0,,4.0,1.0,4.0,4.0,27.0,2.0,1.0,323.0,6.0,9.0,22.0,3.0,15.0,,2.0,177.0,7.0,3.0,17.0,51.0,12.0,1.0,9.0,22.0,5.0,9.0,5.0,13.0,1.0,13.0,2.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,1.0,3.0,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,,,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,
14,2444606,2024-12-03 20:15:00,"King Power Stadium, Leicester",30947,Away,West Ham United,Leicester City,1,3,L,0,1,0,0,1.0,61.0,,,6.0,27.0,11.0,7.0,6.0,24.0,3.0,,3.0,182.0,10.0,20.0,1.0,2.0,25.0,1.0,10.0,172.0,157.0,72.0,31.0,5.0,20.0,8.0,5.0,2.0,2.0,27.0,8.0,11.0,8.0,11.0,35.0,307.0,,0.0,224.0,7.0,2.0,,,,91.0,68.0,18.0,85.0,,3.0,19.0,22.0,7.0,8.0,1.0,157.0,4.0,8.0,152.0,832.0,20.0,7.0,57.0,2.0,8.0,491.0,16.0,4.0,3.0,2.0,,7.0,27.0,574.0,75.0,91889,10.0,210.0,4.0,11.0,1.0,226.0,3.0,10.0,3.0,68.0,2.0,2.0,17.0,,3.0,2.0,,48.0,507.0,9.0,6.0,16.0,5.0,58.0,2.0,1.0,,0.0,3.0,1.0,3.0,4.0,0.0,6.0,9.0,61.1,25.0,5.0,7.0,5.0,2.0,11.0,40.0,9.0,,591.0,8.0,15.0,22.0,10.0,47.0,4.0,9.0,392.0,16.0,11.0,29.0,179.0,35.0,1.0,3.0,13.0,3.0,21.0,5.0,40.0,1.0,10.0,9.0,,4.0,,1.0,,,,,3.0,,,,,1.0,,2.0,4.0,3.0,,4.0,,,3.0,,,,1.0,,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,1.0,,2.0,,,,,,1.0,,,,,1.0,,,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,,
15,2444619,2024-12-09 20:00:00,"London Stadium, London",62435,Home,West Ham United,Wolverhampton Wanderers,2,1,W,0,0,0,0,,50.0,1.0,4.0,6.0,26.0,18.0,4.0,6.0,15.0,4.0,1.0,1.0,152.0,9.0,11.0,2.0,3.0,13.0,,4.0,97.0,140.0,61.0,19.0,3.0,24.0,2.0,3.0,2.0,1.0,22.0,7.0,18.0,7.0,8.0,32.0,185.0,,0.0,130.0,12.0,3.0,1.0,5.0,,55.0,75.0,8.0,73.0,2.0,4.0,15.0,12.0,4.0,3.0,1.0,140.0,,12.0,111.0,636.0,8.0,9.0,39.0,,8.0,329.0,16.0,4.0,10.0,5.0,6.0,5.0,16.0,405.0,57.0,91889,8.0,172.0,1.0,7.0,1.0,189.0,6.0,4.0,8.0,63.0,4.0,5.0,15.0,7.0,4.0,1.0,,60.0,348.0,17.0,8.0,26.0,5.0,74.0,,,,0.0,,2.0,1.0,3.0,0.0,6.0,6.0,54.0,13.0,3.0,1.0,2.0,5.0,9.0,39.0,11.0,,433.0,8.0,13.0,20.0,6.0,36.0,3.0,5.0,266.0,7.0,6.0,20.0,91.0,26.0,,10.0,13.0,1.0,8.0,5.0,17.0,,4.0,11.0,,1.0,,,,,,,,,,,,2.0,,2.0,6.0,3.0,,3.0,,1.0,,,,,,,,,,,2.0,1.0,,,3.0,,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
16,2444620,2024-12-16 20:00:00,"Vitality Stadium, Bournemouth",11204,Away,West Ham United,Bournemouth,1,1,D,0,0,0,0,1.0,63.0,,2.0,6.0,22.0,29.0,3.0,7.0,13.0,8.0,1.0,,181.0,8.0,10.0,1.0,1.0,13.0,1.0,3.0,83.0,161.0,50.0,16.0,1.0,21.0,2.0,2.0,,,23.0,6.0,29.0,6.0,11.0,31.0,151.0,1.0,0.0,119.0,11.0,3.0,1.0,,1.0,49.0,58.0,7.0,76.0,1.0,4.0,17.0,7.0,3.0,4.0,1.0,161.0,,16.0,80.0,609.0,10.0,8.0,24.0,1.0,8.0,297.0,26.0,11.0,21.0,2.0,14.0,6.0,12.0,402.0,66.0,91889,6.0,162.0,,13.0,1.0,180.0,10.0,2.0,9.0,48.0,1.0,4.0,13.0,13.0,3.0,,1.0,78.0,305.0,5.0,3.0,48.0,3.0,87.0,,,,0.0,12.0,1.0,1.0,4.0,0.0,5.0,4.0,48.8,9.0,1.0,3.0,2.0,5.0,7.0,34.0,6.0,1.0,420.0,8.0,3.0,12.0,6.0,34.0,3.0,4.0,263.0,5.0,9.0,24.0,63.0,24.0,2.0,21.0,12.0,,12.0,4.0,20.0,2.0,2.0,6.0,,1.0,1.0,,3.0,,,,1.0,,3.0,,,,,1.0,,4.0,,3.0,3.0,,6.0,1.0,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,2.0,,,1.0,,,,1.0,,,2.0,1.0,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
17,2444639,2024-12-21 15:00:00,"London Stadium, London",62460,Home,West Ham United,Brighton and Hove Albion,1,1,D,0,0,0,0,1.0,53.0,,1.0,3.0,26.0,29.0,3.0,7.0,8.0,5.0,,1.0,143.0,3.0,6.0,1.0,,5.0,,4.0,101.0,140.0,69.0,11.0,1.0,21.0,2.0,,2.0,1.0,14.0,15.0,29.0,8.0,5.0,39.0,88.0,,0.0,76.0,14.0,4.0,1.0,,,39.0,51.0,4.0,48.0,,1.0,6.0,14.0,3.0,2.0,1.0,140.0,1.0,10.0,80.0,586.0,4.0,7.0,27.0,,7.0,261.0,29.0,5.0,10.0,2.0,4.0,1.0,21.0,340.0,46.0,91889,6.0,198.0,1.0,4.0,1.0,216.0,7.0,5.0,7.0,62.0,5.0,5.0,14.0,2.0,5.0,1.0,,70.0,283.0,20.0,9.0,27.0,1.0,70.0,,,,0.0,4.0,1.0,1.0,2.0,0.0,,2.0,45.8,20.0,,2.0,,6.0,4.0,32.0,8.0,,372.0,7.0,5.0,18.0,3.0,25.0,3.0,2.0,170.0,2.0,5.0,18.0,35.0,14.0,2.0,10.0,26.0,1.0,7.0,5.0,19.0,2.0,5.0,8.0,,2.0,,,1.0,,,,,,1.0,,,,,,,2.0,1.0,1.0,1.0,1.0,4.0,,,,1.0,,,,,,,2.0,1.0,,,,2.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,2444648,2024-12-26 15:00:00,"St. Mary's Stadium, Southampton",31059,Away,West Ham United,Southampton,1,0,W,0,0,0,0,1.0,49.0,,,4.0,27.0,21.0,5.0,8.0,11.0,5.0,1.0,1.0,132.0,3.0,8.0,1.0,2.0,12.0,1.0,2.0,110.0,117.0,62.0,16.0,2.0,22.0,,1.0,1.0,2.0,10.0,13.0,21.0,2.0,10.0,44.0,135.0,,0.0,93.0,8.0,3.0,1.0,1.0,1.0,55.0,50.0,5.0,59.0,1.0,3.0,8.0,21.0,5.0,2.0,2.0,117.0,2.0,16.0,108.0,584.0,10.0,9.0,25.0,,6.0,307.0,17.0,7.0,9.0,2.0,4.0,7.0,13.0,382.0,47.0,91889,5.0,193.0,1.0,5.0,1.0,220.0,5.0,8.0,11.0,53.0,,5.0,10.0,2.0,8.0,1.0,,59.0,325.0,15.0,8.0,19.0,2.0,63.0,,1.0,,0.0,2.0,1.0,,2.0,0.0,2.0,2.0,45.8,12.0,1.0,5.0,1.0,5.0,6.0,34.0,2.0,1.0,409.0,6.0,9.0,23.0,8.0,14.0,1.0,5.0,199.0,6.0,10.0,21.0,56.0,18.0,2.0,9.0,19.0,,11.0,6.0,14.0,2.0,8.0,2.0,,,,1.0,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,,,5.0,,1.0,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2444659,2024-12-29 17:15:00,"London Stadium, London",62476,Home,West Ham United,Liverpool,0,5,L,0,3,0,0,,47.0,,2.0,2.0,26.0,23.0,2.0,3.0,5.0,8.0,,,155.0,2.0,7.0,,,6.0,,,129.0,114.0,40.0,7.0,1.0,7.0,,1.0,,3.0,9.0,13.0,23.0,2.0,10.0,43.0,140.0,,0.0,100.0,7.0,4.0,,,,61.0,34.0,2.0,63.0,2.0,,7.0,16.0,2.0,1.0,,114.0,1.0,17.0,119.0,649.0,6.0,1.0,17.0,,11.0,372.0,22.0,4.0,8.0,0.0,2.0,4.0,10.0,437.0,46.0,91889,2.0,261.0,1.0,6.0,,285.0,4.0,8.0,13.0,47.0,5.0,5.0,11.0,5.0,13.0,,,43.0,399.0,10.0,10.0,14.0,1.0,43.0,,,2.0,0.0,6.0,,5.0,,0.0,2.0,2.0,45.9,10.0,2.0,2.0,2.0,5.0,3.0,29.0,2.0,,466.0,11.0,14.0,28.0,4.0,15.0,,3.0,190.0,2.0,10.0,6.0,71.0,18.0,,8.0,17.0,4.0,6.0,5.0,16.0,,8.0,3.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,1.0,6.0,1.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,
20,2444666,2025-01-04 15:00:00,"Etihad Stadium, Manchester",52737,Away,West Ham United,Manchester City,1,4,L,0,2,0,0,1.0,44.0,1.0,2.0,3.0,28.0,17.0,3.0,9.0,14.0,4.0,1.0,2.0,116.0,7.0,6.0,1.0,1.0,15.0,3.0,4.0,121.0,100.0,40.0,17.0,,7.0,3.0,4.0,1.0,3.0,12.0,9.0,17.0,1.0,12.0,41.0,122.0,,0.0,92.0,13.0,4.0,,,1.0,29.0,39.0,6.0,76.0,1.0,3.0,11.0,15.0,3.0,5.0,3.0,100.0,3.0,8.0,120.0,589.0,13.0,4.0,23.0,1.0,7.0,357.0,18.0,3.0,6.0,1.0,3.0,9.0,16.0,417.0,37.0,91889,7.0,257.0,2.0,6.0,,280.0,3.0,8.0,3.0,38.0,2.0,2.0,16.0,3.0,3.0,3.0,,47.0,372.0,7.0,6.0,14.0,1.0,36.0,,1.0,,0.0,7.0,1.0,4.0,2.0,0.0,6.0,3.0,44.0,13.0,2.0,3.0,2.0,2.0,3.0,18.0,1.0,1.0,433.0,7.0,3.0,29.0,10.0,21.0,1.0,7.0,165.0,5.0,11.0,14.0,69.0,20.0,1.0,6.0,13.0,4.0,14.0,3.0,15.0,1.0,8.0,1.0,,,,,1.0,,1.0,,,,1.0,,1.0,1.0,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,2.0,,1.0,,,,,1.0,1.0,1.0,,1.0,,,1.0,,,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
21,2444676,2025-01-14 19:30:00,"London Stadium, London",62456,Home,West Ham United,Fulham,3,2,W,2,0,0,0,2.0,44.0,,,,32.0,27.0,1.0,1.0,3.0,2.0,1.0,,152.0,,10.0,3.0,1.0,2.0,,3.0,90.0,111.0,56.0,4.0,,16.0,,,,,5.0,9.0,27.0,,12.0,36.0,110.0,,0.0,63.0,9.0,1.0,2.0,1.0,,46.0,54.0,2.0,83.0,,,5.0,14.0,1.0,2.0,,111.0,2.0,12.0,98.0,586.0,,6.0,6.0,,7.0,323.0,16.0,4.0,14.0,3.0,6.0,,8.0,387.0,49.0,84939,2.0,239.0,,2.0,,264.0,6.0,8.0,14.0,41.0,5.0,1.0,11.0,9.0,10.0,1.0,,60.0,349.0,18.0,4.0,17.0,,58.0,,,1.0,0.0,3.0,2.0,2.0,1.0,0.0,,1.0,43.9,6.0,1.0,4.0,1.0,1.0,,35.0,,,423.0,7.0,10.0,23.0,1.0,6.0,,1.0,164.0,2.0,11.0,15.0,32.0,17.0,4.0,14.0,13.0,,4.0,4.0,13.0,4.0,8.0,,,,2.0,,,,2.0,,,,,,,2.0,,,,1.0,3.0,,,1.0,3.0,2.0,,,,,,,,1.0,,1.0,,,,2.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,
22,2444689,2025-01-18 15:00:00,"London Stadium, London",62469,Home,West Ham United,Crystal Palace,0,2,L,0,0,1,0,,50.0,,1.0,2.0,23.0,24.0,3.0,1.0,4.0,5.0,,,163.0,3.0,11.0,,4.0,5.0,,,136.0,142.0,49.0,7.0,1.0,10.0,,2.0,,3.0,13.0,6.0,24.0,2.0,10.0,38.0,155.0,,0.0,110.0,13.0,3.0,,3.0,,55.0,64.0,2.0,91.0,2.0,1.0,11.0,18.0,3.0,3.0,2.0,142.0,,6.0,157.0,716.0,5.0,6.0,16.0,,11.0,438.0,18.0,5.0,10.0,1.0,1.0,3.0,10.0,532.0,46.0,84939,1.0,297.0,,5.0,,333.0,10.0,8.0,5.0,46.0,1.0,5.0,11.0,6.0,3.0,,,46.0,449.0,10.0,4.0,15.0,3.0,57.0,,,1.0,0.0,4.0,,2.0,2.0,1.0,2.0,2.0,53.5,9.0,1.0,5.0,1.0,5.0,3.0,33.0,2.0,1.0,547.0,11.0,10.0,19.0,4.0,15.0,1.0,2.0,227.0,4.0,10.0,18.0,74.0,21.0,2.0,10.0,11.0,1.0,4.0,5.0,20.0,2.0,8.0,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,
23,2444691,2025-01-26 16:30:00,"Villa Park, Birmingham",41628,Away,West Ham United,Aston Villa,1,1,D,0,1,0,0,1.0,49.0,,1.0,2.0,39.0,24.0,5.0,6.0,9.0,3.0,,,152.0,9.0,15.0,1.0,1.0,8.0,2.0,4.0,105.0,137.0,75.0,14.0,2.0,20.0,2.0,,2.0,1.0,22.0,17.0,24.0,3.0,13.0,29.0,188.0,,0.0,113.0,16.0,,1.0,3.0,,53.0,83.0,5.0,80.0,2.0,3.0,19.0,25.0,5.0,7.0,2.0,137.0,3.0,9.0,106.0,691.0,6.0,9.0,39.0,,14.0,359.0,15.0,7.0,16.0,3.0,4.0,3.0,16.0,419.0,57.0,214590,7.0,195.0,3.0,9.0,,214.0,14.0,13.0,10.0,69.0,4.0,5.0,18.0,5.0,5.0,1.0,,65.0,374.0,11.0,8.0,24.0,1.0,62.0,,,,0.0,4.0,1.0,1.0,1.0,0.0,7.0,3.0,54.2,11.0,1.0,6.0,,5.0,4.0,38.0,3.0,,443.0,14.0,10.0,21.0,6.0,30.0,2.0,4.0,251.0,5.0,12.0,18.0,82.0,23.0,2.0,16.0,31.0,1.0,9.0,4.0,32.0,2.0,13.0,3.0,2.0,3.0,1.0,,1.0,,1.0,,1.0,,1.0,,,1.0,,,3.0,,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,34.73,115684.92,,,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2444703,2025-02-03 20:00:00,"Stamford Bridge, London",39459,Away,West Ham United,Chelsea,1,2,L,1,0,0,0,,40.0,1.0,2.0,3.0,21.0,34.0,3.0,10.0,9.0,3.0,1.0,1.0,117.0,4.0,5.0,1.0,,8.0,,5.0,60.0,119.0,43.0,14.0,,20.0,3.0,1.0,1.0,1.0,14.0,7.0,34.0,3.0,4.0,28.0,94.0,,0.0,78.0,10.0,2.0,,,,21.0,43.0,7.0,45.0,3.0,1.0,11.0,18.0,5.0,4.0,4.0,119.0,1.0,16.0,58.0,477.0,7.0,6.0,24.0,1.0,11.0,190.0,19.0,6.0,18.0,1.0,9.0,1.0,11.0,252.0,34.0,460842,5.0,116.0,1.0,7.0,1.0,147.0,7.0,12.0,14.0,57.0,1.0,1.0,11.0,7.0,6.0,2.0,,60.0,206.0,11.0,5.0,32.0,2.0,49.0,1.0,1.0,,0.0,4.0,1.0,2.0,2.0,0.0,3.0,2.0,32.1,11.0,,7.0,2.0,1.0,3.0,21.0,3.0,,280.0,11.0,10.0,15.0,6.0,21.0,1.0,1.0,147.0,2.0,4.0,13.0,54.0,10.0,2.0,18.0,14.0,2.0,8.0,5.0,18.0,2.0,12.0,3.0,,2.0,,,1.0,,,,,,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,34.98,107708.5,,,1.0,,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,3.0,,,,,,,,,,1.0,,,,,,1.0,,,0.4107,1.0,0.3226,0.880861,0.0533,1.22,,,,
25,2444719,2025-02-15 15:00:00,"London Stadium, London",62467,Home,West Ham United,Brentford,0,1,L,0,1,0,0,,49.0,,,2.0,20.0,22.0,7.0,7.0,6.0,4.0,,1.0,189.0,3.0,10.0,,3.0,7.0,,3.0,119.0,141.0,60.0,13.0,5.0,21.0,2.0,,1.0,,31.0,8.0,22.0,9.0,15.0,32.0,197.0,,0.0,133.0,10.0,2.0,,,1.0,44.0,69.0,4.0,76.0,,1.0,22.0,16.0,7.0,7.0,1.0,141.0,1.0,10.0,117.0,722.0,6.0,2.0,26.0,1.0,2.0,407.0,17.0,6.0,10.0,1.0,4.0,3.0,17.0,478.0,57.0,460842,5.0,232.0,1.0,15.0,1.0,260.0,7.0,6.0,5.0,54.0,2.0,8.0,16.0,4.0,4.0,1.0,,44.0,426.0,13.0,4.0,21.0,4.0,53.0,2.0,,,0.0,2.0,,1.0,2.0,0.0,1.0,1.0,58.5,16.0,,6.0,1.0,8.0,7.0,34.0,9.0,1.0,501.0,2.0,11.0,14.0,3.0,34.0,2.0,1.0,272.0,5.0,13.0,16.0,103.0,15.0,1.0,10.0,21.0,1.0,7.0,4.0,18.0,1.0,6.0,9.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,4.0,,1.0,1.0,1.0,,1.0,32.75,108550.07,,,1.0,,,,,1.0,,,1.0,2.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.2958,,1.9657,0.914283,0.0897,0.8162,,,,
26,2444721,2025-02-22 15:00:00,"Emirates Stadium, London",60262,Away,West Ham United,Arsenal,1,0,W,1,0,0,1,1.0,40.0,,1.0,,21.0,44.0,,,5.0,2.0,,1.0,114.0,3.0,6.0,1.0,1.0,5.0,,2.0,72.0,102.0,53.0,5.0,,17.0,1.0,1.0,,1.0,8.0,5.0,44.0,,6.0,21.0,110.0,,0.0,70.0,15.0,,,1.0,,34.0,45.0,2.0,59.0,,,8.0,9.0,,3.0,,102.0,1.0,14.0,64.0,486.0,4.0,6.0,11.0,,14.0,227.0,19.0,5.0,16.0,3.0,10.0,3.0,11.0,282.0,42.0,214590,3.0,134.0,,4.0,,154.0,7.0,4.0,10.0,50.0,2.0,4.0,12.0,6.0,3.0,2.0,,61.0,241.0,16.0,7.0,27.0,,54.0,1.0,,1.0,0.0,2.0,1.0,,2.0,0.0,3.0,3.0,32.2,9.0,2.0,4.0,,4.0,,22.0,,,309.0,14.0,7.0,9.0,3.0,11.0,,3.0,163.0,2.0,6.0,20.0,44.0,11.0,2.0,16.0,12.0,,4.0,3.0,11.0,2.0,4.0,,1.0,,,1.0,2.0,,1.0,1.0,,1.0,3.0,,,1.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,33.24,116097.02,,,,,,,,,,1.0,,,,,,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0177,,0.138,0.64189,,1.0656,,,,
