gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,attHdTarget,interception,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attFastbreak,attGoalHighLeft,punches,redCard,lostCorners,savedIbox,attIboxGoal,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,subsMade,totalContest,blockedCross,wonCorners,goalsConcededObox,penaltySave,accuratePullBack,attOboxBlocked,attGoalHighRight,penaltyWon,attMissRight,attMissHighLeft,attSetpiece,penaltyConceded,totalPullBack,attMissHigh,attPenGoal,attSvLowRight,goalsConceded,attHdMiss,penaltyFaced,forwardGoals,attLfGoal,accurateKeeperSweeper,totalKeeperSweeper,foulThrowIn,goalsConcededIbox,errorLeadToGoal,attFreekickTotal,postScoringAtt,attSvHighRight,attSvHighLeft,freekickTotal,attPostLeft,attObxdRight,hitWoodwork,errorLeadToShot,attOboxPost,attFreekickMiss,attGoalLowRight,attIboxPost,attGoalHighCentre,attPostRight,attGoalLowCentre,saves,penGoalsConceded,attFreekickTarget,expectedGoalsOnTarget,attemptsIbox,fouledFinalThird,attBxRight,expectedGoalsOnTargetConceded,ptsGainedLosingPos,winningGoal,freekickCross,attemptsObox,keeperGoals,secondYellow,subsGoals,attLgCentre,touchesInOppBox,successfulOpenPlayPass,expectedAssists,openPlayPass,expectedGoalsFreekick,accurateFreekickCross,attBxCentre,ownGoals,goalsOpenplay,attCorner,attObpGoal,attFreekickGoal,attOpenplay,expectedGoals,attHdPost,attCmissHigh,attPostHigh,clearanceOffLine,attLgLeft,attObxdLeft,attObxRight,attObxLeft,attPenTarget,attCmissLeft,attBxLeft,attIboxOwnGoal,attCmissRight
11,284109,2009-10-31 15:00:00,"Stadium of Light, Sunderland",39033.0,Away,West Ham United,Sunderland,2,2,D,2,1,1,1,,1.0,62.0,1.0,,2.0,,,24.0,59.0,8.0,5.0,4.0,2.0,5.0,2.0,16.0,8.0,167.0,56.0,17.0,17.0,3.0,,2.0,3.0,1.0,10.0,17.0,3.0,38.0,2.0,12.0,21.0,105.0,1.0,,,0.0,89.0,17.0,2.0,,,2.0,31.0,30.0,10.0,2.0,8.0,2.0,5.0,145.0,15.0,605.0,11.0,12.0,1.0,27.0,22.0,12.0,33.0,2.0,2.0,3.0,6.0,18.0,65.0,,59879,120.0,1.0,,143.0,1.0,14.0,80.0,2.0,,,9.0,6.0,5.0,53.0,223.0,13.0,12.0,3.0,31.0,92.0,,,,0.0,7.0,5.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,43.1,13.0,4.0,1.0,9.0,2.0,41.0,3.0,2.0,312.0,26.0,20.0,11.0,7.0,17.0,1.0,2.0,179.0,10.0,11.0,17.0,50.0,18.0,4.0,23.0,21.0,,2.0,19.0,5.0,3.0,1.0,,,,,,5.0,,2.0,,,,,2.0,2.0,,,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,284117,2009-11-08 15:00:00,"Boleyn Ground, London",32466.0,Home,West Ham United,Everton,1,2,L,0,1,0,0,1.0,2.0,73.0,,,1.0,,,36.0,41.0,10.0,8.0,1.0,5.0,11.0,1.0,16.0,4.0,186.0,72.0,20.0,18.0,2.0,1.0,1.0,2.0,6.0,32.0,22.0,1.0,22.0,2.0,27.0,58.0,208.0,1.0,,,0.0,165.0,13.0,,1.0,1.0,2.0,65.0,62.0,6.0,,30.0,11.0,7.0,167.0,6.0,782.0,13.0,8.0,,27.0,21.0,4.0,18.0,1.0,0.0,2.0,10.0,23.0,87.0,3.0,70755,160.0,13.0,,171.0,1.0,10.0,63.0,5.0,,2.0,7.0,5.0,3.0,57.0,363.0,18.0,2.0,2.0,16.0,96.0,1.0,,,0.0,4.0,3.0,1.0,3.0,0.0,5.0,1.0,,1.0,59.3,22.0,4.0,,8.0,4.0,58.0,5.0,2.0,461.0,26.0,13.0,32.0,12.0,33.0,,5.0,322.0,11.0,25.0,13.0,103.0,37.0,,8.0,30.0,,2.0,29.0,,5.0,1.0,,,3.0,,,3.0,,,,,2.0,,,2.0,1.0,,,,,,,1.0,,3.0,,,,3.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,284124,2009-11-21 15:00:00,"The MKM Stadium, Hull",24909.0,Away,West Ham United,Hull City,3,3,D,2,3,0,1,1.0,,37.0,1.0,,1.0,1.0,1.0,29.0,63.0,9.0,3.0,5.0,4.0,3.0,3.0,12.0,9.0,141.0,48.0,16.0,10.0,1.0,,2.0,5.0,2.0,19.0,14.0,5.0,36.0,3.0,7.0,38.0,130.0,,,,0.0,102.0,21.0,,1.0,1.0,1.0,38.0,33.0,8.0,,16.0,7.0,4.0,114.0,6.0,578.0,9.0,14.0,1.0,13.0,12.0,7.0,32.0,3.0,4.0,4.0,4.0,22.0,68.0,1.0,70755,118.0,8.0,,125.0,,12.0,57.0,9.0,1.0,,4.0,6.0,7.0,50.0,244.0,9.0,2.0,,17.0,76.0,,,3.0,0.0,5.0,,3.0,1.0,0.0,2.0,2.0,,4.0,45.6,21.0,2.0,,4.0,1.0,46.0,3.0,3.0,311.0,12.0,22.0,24.0,6.0,24.0,2.0,2.0,205.0,9.0,7.0,14.0,55.0,16.0,1.0,15.0,22.0,2.0,2.0,7.0,1.0,3.0,1.0,,,,,,3.0,,,1.0,,1.0,,,3.0,1.0,1.0,1.0,1.0,,,,2.0,,1.0,,,,1.0,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,284137,2009-11-28 15:00:00,"Boleyn Ground, London",34003.0,Home,West Ham United,Burnley,5,3,W,3,0,0,1,,,58.0,1.0,1.0,,2.0,2.0,19.0,42.0,4.0,,2.0,4.0,6.0,5.0,7.0,7.0,159.0,72.0,12.0,23.0,1.0,,,1.0,,9.0,27.0,1.0,27.0,1.0,20.0,18.0,92.0,1.0,,,0.0,103.0,9.0,,2.0,,,38.0,43.0,4.0,,8.0,3.0,2.0,144.0,12.0,536.0,5.0,7.0,,22.0,28.0,6.0,26.0,2.0,2.0,4.0,3.0,25.0,69.0,3.0,70755,111.0,3.0,,133.0,4.0,14.0,58.0,6.0,,6.0,5.0,4.0,4.0,70.0,199.0,16.0,8.0,,39.0,86.0,,,,0.0,7.0,2.0,5.0,,0.0,3.0,2.0,,3.0,41.6,18.0,2.0,,5.0,1.0,27.0,1.0,,307.0,22.0,13.0,7.0,4.0,23.0,1.0,1.0,183.0,9.0,17.0,13.0,44.0,16.0,6.0,14.0,37.0,1.0,3.0,11.0,6.0,1.0,,,,1.0,,2.0,,,3.0,,,2.0,2.0,1.0,3.0,1.0,,2.0,,1.0,1.0,,3.0,,1.0,1.0,,,1.0,,,1.0,,,,2.0,1.0,,,2.0,2.0,,,,8.0,4.0,1.0,,,,2.0,4.0,,,,,20.0,190.0,,277.0,,1.0,6.0,,1.0,,,,4.0,,1.0,1.0,1.0,1.0,,,,,,,,,
15,284147,2009-12-05 15:00:00,"Boleyn Ground, London",34980.0,Home,West Ham United,Manchester United,0,4,L,0,1,0,0,1.0,2.0,56.0,,,,,,19.0,41.0,6.0,7.0,,2.0,5.0,,6.0,3.0,132.0,45.0,11.0,11.0,1.0,,,1.0,2.0,11.0,9.0,2.0,26.0,2.0,29.0,31.0,136.0,,,,0.0,101.0,9.0,,,,3.0,51.0,36.0,4.0,5.0,9.0,2.0,1.0,117.0,8.0,629.0,5.0,8.0,1.0,16.0,16.0,2.0,20.0,,0.0,3.0,2.0,23.0,59.0,3.0,70755,181.0,5.0,,190.0,,9.0,47.0,8.0,,3.0,6.0,8.0,4.0,44.0,315.0,16.0,11.0,1.0,19.0,78.0,,,,0.0,8.0,1.0,,4.0,0.0,2.0,,,1.0,42.2,20.0,2.0,,6.0,4.0,38.0,2.0,3.0,395.0,16.0,9.0,17.0,4.0,22.0,,3.0,216.0,3.0,28.0,10.0,54.0,27.0,7.0,14.0,14.0,,3.0,13.0,7.0,2.0,2.0,,1.0,4.0,,,1.0,1.0,1.0,,1.0,,,,4.0,,,,,1.0,1.0,,2.0,,3.0,,1.0,1.0,3.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,284150,2009-12-12 15:00:00,"St. Andrew's @ Knighthead Park, Birmingham",28203.0,Away,West Ham United,Birmingham City,0,1,L,0,0,1,0,1.0,,54.0,,1.0,2.0,,,28.0,47.0,11.0,7.0,3.0,3.0,5.0,,10.0,3.0,146.0,44.0,15.0,23.0,1.0,,,2.0,2.0,21.0,6.0,2.0,29.0,6.0,25.0,29.0,143.0,,,,0.0,114.0,15.0,3.0,,1.0,,48.0,28.0,5.0,,15.0,5.0,6.0,128.0,13.0,626.0,6.0,10.0,,26.0,26.0,10.0,31.0,,2.0,3.0,5.0,20.0,60.0,2.0,70755,141.0,8.0,2.0,157.0,,10.0,65.0,5.0,,3.0,5.0,3.0,5.0,55.0,281.0,12.0,8.0,4.0,31.0,79.0,,,1.0,0.0,11.0,7.0,,4.0,1.0,1.0,,,1.0,52.7,19.0,,,5.0,4.0,45.0,7.0,,362.0,26.0,7.0,18.0,8.0,23.0,2.0,1.0,226.0,7.0,22.0,18.0,71.0,17.0,2.0,20.0,9.0,,3.0,18.0,2.0,7.0,,,,2.0,,,3.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,284161,2009-12-15 20:00:00,"Toughsheet Community Stadium, Bolton",17849.0,Away,West Ham United,Bolton Wanderers,1,3,L,0,0,0,0,1.0,1.0,60.0,,3.0,,,,22.0,60.0,7.0,4.0,2.0,2.0,5.0,1.0,11.0,5.0,189.0,42.0,13.0,29.0,2.0,1.0,1.0,,1.0,8.0,9.0,2.0,25.0,3.0,45.0,46.0,146.0,,,,0.0,92.0,11.0,1.0,,,,64.0,29.0,8.0,4.0,5.0,2.0,2.0,154.0,13.0,760.0,10.0,6.0,1.0,21.0,26.0,7.0,33.0,1.0,1.0,8.0,3.0,31.0,59.0,4.0,70755,214.0,3.0,,244.0,1.0,17.0,62.0,7.0,,,3.0,15.0,3.0,61.0,358.0,10.0,4.0,,35.0,111.0,1.0,,2.0,0.0,8.0,1.0,1.0,2.0,0.0,2.0,1.0,,1.0,55.5,29.0,2.0,1.0,3.0,4.0,55.0,4.0,,470.0,20.0,7.0,21.0,4.0,21.0,,2.0,234.0,8.0,41.0,15.0,45.0,22.0,3.0,11.0,12.0,,2.0,17.0,3.0,4.0,,,,4.0,1.0,,1.0,,,,,2.0,,1.0,3.0,,,1.0,,,,1.0,3.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
18,284177,2009-12-20 16:00:00,"Boleyn Ground, London",33388.0,Home,West Ham United,Chelsea,1,1,D,1,0,0,0,2.0,2.0,69.0,,2.0,1.0,,,22.0,36.0,2.0,3.0,1.0,2.0,9.0,1.0,6.0,5.0,160.0,57.0,8.0,15.0,3.0,,,2.0,,17.0,18.0,1.0,20.0,5.0,19.0,36.0,111.0,1.0,,,0.0,87.0,19.0,2.0,,,2.0,54.0,24.0,6.0,4.0,12.0,4.0,,144.0,10.0,631.0,5.0,11.0,1.0,28.0,29.0,10.0,11.0,,4.0,5.0,,20.0,55.0,2.0,70755,138.0,5.0,,161.0,,19.0,63.0,4.0,,4.0,8.0,14.0,11.0,49.0,247.0,15.0,9.0,1.0,33.0,94.0,,,1.0,0.0,5.0,2.0,1.0,2.0,0.0,2.0,,1.0,1.0,41.9,19.0,4.0,,8.0,2.0,49.0,5.0,2.0,341.0,28.0,15.0,22.0,1.0,21.0,,1.0,197.0,4.0,18.0,10.0,46.0,26.0,1.0,5.0,23.0,,1.0,16.0,1.0,5.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
19,284188,2009-12-26 13:00:00,"Boleyn Ground, London",33686.0,Home,West Ham United,Portsmouth,2,0,W,1,0,0,0,,1.0,73.0,,1.0,2.0,1.0,1.0,23.0,45.0,5.0,4.0,2.0,3.0,11.0,2.0,12.0,6.0,164.0,72.0,17.0,22.0,3.0,,,,2.0,20.0,18.0,1.0,24.0,4.0,10.0,40.0,139.0,1.0,1.0,,0.0,123.0,9.0,1.0,1.0,1.0,4.0,59.0,44.0,6.0,2.0,16.0,7.0,4.0,143.0,5.0,667.0,8.0,9.0,1.0,30.0,25.0,4.0,28.0,1.0,0.0,5.0,6.0,13.0,75.0,2.0,70755,134.0,7.0,,149.0,,7.0,60.0,3.0,,2.0,5.0,9.0,,58.0,270.0,20.0,9.0,3.0,21.0,82.0,,,1.0,0.0,4.0,2.0,2.0,4.0,0.0,1.0,1.0,,3.0,50.0,12.0,4.0,1.0,5.0,3.0,32.0,6.0,4.0,366.0,30.0,8.0,19.0,8.0,26.0,2.0,4.0,237.0,10.0,10.0,15.0,68.0,26.0,4.0,14.0,26.0,1.0,3.0,23.0,4.0,6.0,,,,1.0,1.0,1.0,,2.0,2.0,,1.0,3.0,1.0,2.0,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
20,284198,2009-12-28 12:45:00,"White Hart Lane, London",35994.0,Away,West Ham United,Tottenham Hotspur,0,2,L,0,1,0,0,1.0,1.0,64.0,,1.0,1.0,,,22.0,33.0,3.0,1.0,1.0,1.0,5.0,,4.0,2.0,159.0,53.0,5.0,17.0,,,,,1.0,12.0,19.0,2.0,19.0,3.0,23.0,29.0,160.0,,,,0.0,102.0,15.0,,,1.0,2.0,39.0,72.0,3.0,1.0,9.0,6.0,1.0,145.0,12.0,698.0,3.0,14.0,,25.0,32.0,7.0,20.0,,3.0,6.0,1.0,17.0,66.0,,70755,175.0,3.0,,200.0,,15.0,54.0,1.0,,1.0,2.0,12.0,3.0,49.0,334.0,9.0,5.0,1.0,26.0,95.0,,,,0.0,9.0,1.0,,5.0,0.0,,,,,46.0,16.0,,,2.0,1.0,50.0,3.0,2.0,436.0,25.0,11.0,13.0,2.0,16.0,1.0,1.0,248.0,3.0,21.0,16.0,51.0,28.0,4.0,11.0,23.0,,3.0,12.0,4.0,3.0,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,284208,2010-03-23 20:00:00,"Boleyn Ground, London",33988.0,Home,West Ham United,Wolverhampton Wanderers,1,3,L,0,1,0,0,1.0,3.0,45.0,,,2.0,,,32.0,40.0,10.0,9.0,3.0,7.0,5.0,1.0,15.0,9.0,177.0,64.0,21.0,19.0,4.0,1.0,1.0,3.0,2.0,32.0,16.0,4.0,20.0,4.0,25.0,38.0,206.0,3.0,,,0.0,167.0,9.0,,,2.0,,58.0,73.0,8.0,,28.0,9.0,4.0,157.0,3.0,674.0,12.0,11.0,2.0,4.0,20.0,7.0,21.0,1.0,0.0,1.0,7.0,36.0,80.0,3.0,9677,117.0,16.0,,135.0,1.0,3.0,52.0,6.0,,2.0,9.0,2.0,2.0,60.0,316.0,24.0,3.0,2.0,25.0,86.0,1.0,,1.0,0.0,5.0,,1.0,4.0,0.0,6.0,1.0,,4.0,55.2,31.0,,,10.0,4.0,51.0,7.0,,417.0,4.0,14.0,22.0,8.0,30.0,1.0,3.0,314.0,8.0,20.0,17.0,109.0,15.0,1.0,11.0,18.0,,3.0,13.0,1.0,8.0,1.0,,,2.0,,,1.0,1.0,1.0,,2.0,,,1.0,3.0,2.0,,1.0,,2.0,2.0,,2.0,1.0,,1.0,,2.0,,,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,284210,2010-01-17 13:30:00,"Villa Park, Birmingham",35646.0,Away,West Ham United,Aston Villa,0,0,D,0,0,0,0,1.0,,62.0,,,1.0,,,21.0,40.0,5.0,3.0,1.0,2.0,5.0,,8.0,1.0,161.0,43.0,9.0,14.0,,2.0,,,3.0,15.0,13.0,1.0,26.0,4.0,19.0,18.0,103.0,,1.0,,0.0,85.0,13.0,2.0,,1.0,5.0,25.0,42.0,2.0,1.0,12.0,3.0,5.0,147.0,13.0,622.0,7.0,4.0,,20.0,20.0,3.0,27.0,,3.0,6.0,6.0,25.0,47.0,1.0,70755,161.0,7.0,,181.0,,16.0,63.0,6.0,,3.0,6.0,6.0,2.0,49.0,262.0,8.0,2.0,1.0,27.0,72.0,2.0,,3.0,0.0,16.0,3.0,,2.0,0.0,1.0,,2.0,,42.7,22.0,3.0,,6.0,1.0,28.0,4.0,5.0,341.0,19.0,21.0,10.0,7.0,17.0,2.0,2.0,175.0,6.0,17.0,11.0,48.0,24.0,6.0,17.0,18.0,,3.0,19.0,6.0,4.0,,,,,,,2.0,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
23,284222,2010-01-26 19:45:00,"Fratton Park, Portsmouth",18322.0,Away,West Ham United,Portsmouth,1,1,D,0,0,0,0,1.0,3.0,66.0,,4.0,2.0,,,30.0,43.0,4.0,7.0,2.0,5.0,10.0,1.0,11.0,6.0,175.0,73.0,16.0,23.0,4.0,1.0,,2.0,2.0,21.0,25.0,1.0,29.0,1.0,22.0,50.0,150.0,1.0,,,0.0,134.0,11.0,2.0,,2.0,,51.0,71.0,5.0,3.0,20.0,8.0,3.0,161.0,8.0,711.0,11.0,12.0,,23.0,33.0,9.0,27.0,,1.0,5.0,6.0,25.0,89.0,1.0,70755,146.0,8.0,,162.0,,10.0,57.0,1.0,1.0,2.0,10.0,9.0,5.0,68.0,291.0,16.0,5.0,,34.0,100.0,1.0,,1.0,0.0,6.0,3.0,1.0,5.0,0.0,5.0,,2.0,1.0,49.9,21.0,1.0,,10.0,2.0,41.0,4.0,1.0,406.0,23.0,14.0,20.0,8.0,29.0,,5.0,265.0,7.0,19.0,19.0,67.0,19.0,3.0,19.0,28.0,,3.0,15.0,3.0,4.0,,,1.0,,,,1.0,2.0,1.0,,2.0,2.0,,1.0,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,
24,284238,2010-01-30 15:00:00,"Boleyn Ground, London",33093.0,Home,West Ham United,Blackburn Rovers,0,0,D,0,0,0,0,1.0,3.0,47.0,,1.0,3.0,,,37.0,63.0,4.0,5.0,,5.0,5.0,,4.0,3.0,199.0,53.0,10.0,34.0,,,,1.0,3.0,26.0,11.0,3.0,34.0,10.0,28.0,60.0,136.0,,1.0,,0.0,124.0,18.0,2.0,,,4.0,40.0,59.0,2.0,1.0,17.0,8.0,1.0,170.0,6.0,691.0,3.0,14.0,,20.0,25.0,8.0,38.0,,0.0,4.0,2.0,29.0,76.0,,70755,157.0,8.0,1.0,181.0,,9.0,78.0,2.0,,3.0,3.0,4.0,4.0,75.0,288.0,14.0,4.0,1.0,32.0,86.0,,,1.0,0.0,7.0,2.0,,4.0,0.0,5.0,,3.0,1.0,56.4,24.0,1.0,,4.0,4.0,41.0,10.0,4.0,400.0,20.0,10.0,31.0,3.0,28.0,1.0,2.0,245.0,4.0,26.0,19.0,65.0,10.0,3.0,22.0,15.0,,3.0,18.0,3.0,10.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,2.0,,1.0,,2.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
25,284242,2010-02-06 15:00:00,"Turf Moor, Burnley",21001.0,Away,West Ham United,Burnley,1,2,L,0,1,0,0,1.0,2.0,50.0,,,1.0,,,24.0,31.0,9.0,8.0,4.0,7.0,14.0,1.0,19.0,8.0,163.0,60.0,23.0,23.0,5.0,,,4.0,3.0,26.0,15.0,2.0,14.0,5.0,19.0,33.0,128.0,,,,0.0,109.0,14.0,,,,2.0,31.0,28.0,12.0,2.0,21.0,9.0,4.0,145.0,4.0,608.0,15.0,16.0,1.0,22.0,24.0,10.0,17.0,,1.0,2.0,7.0,34.0,62.0,3.0,9677,120.0,9.0,,144.0,1.0,9.0,59.0,7.0,,4.0,4.0,4.0,4.0,45.0,241.0,15.0,6.0,4.0,29.0,79.0,,,,0.0,3.0,,1.0,5.0,0.0,3.0,,1.0,4.0,49.8,31.0,2.0,,4.0,5.0,35.0,5.0,2.0,338.0,22.0,12.0,13.0,10.0,27.0,4.0,5.0,220.0,11.0,17.0,12.0,69.0,15.0,1.0,6.0,19.0,,3.0,19.0,2.0,5.0,1.0,,,4.0,1.0,,4.0,,1.0,,,2.0,,3.0,2.0,3.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,284253,2010-02-10 19:45:00,"Boleyn Ground, London",34458.0,Home,West Ham United,Birmingham City,2,0,W,1,0,0,0,1.0,5.0,55.0,1.0,1.0,2.0,,,32.0,47.0,5.0,7.0,,4.0,5.0,2.0,10.0,8.0,180.0,56.0,14.0,26.0,2.0,,1.0,1.0,2.0,18.0,21.0,4.0,29.0,3.0,9.0,36.0,152.0,,1.0,1.0,0.0,114.0,14.0,,,1.0,1.0,38.0,45.0,7.0,1.0,15.0,11.0,,162.0,5.0,629.0,9.0,19.0,1.0,15.0,18.0,6.0,16.0,1.0,1.0,2.0,3.0,22.0,57.0,,9677,103.0,3.0,,130.0,,11.0,83.0,2.0,,3.0,5.0,6.0,3.0,63.0,251.0,8.0,16.0,,30.0,89.0,,,2.0,0.0,6.0,1.0,1.0,8.0,0.0,4.0,1.0,1.0,3.0,47.2,18.0,5.0,,5.0,2.0,49.0,3.0,1.0,355.0,15.0,20.0,19.0,4.0,22.0,,4.0,243.0,4.0,9.0,18.0,61.0,18.0,5.0,9.0,25.0,1.0,3.0,13.0,5.0,3.0,,,,,1.0,,1.0,,,,,1.0,,3.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
27,284267,2010-02-20 15:00:00,"Boleyn Ground, London",33971.0,Home,West Ham United,Hull City,3,0,W,1,0,0,1,,3.0,58.0,1.0,,1.0,,,48.0,43.0,9.0,10.0,1.0,9.0,9.0,3.0,14.0,9.0,160.0,68.0,22.0,19.0,3.0,,3.0,1.0,4.0,17.0,17.0,3.0,23.0,6.0,20.0,42.0,146.0,,1.0,,0.0,110.0,13.0,1.0,1.0,1.0,3.0,45.0,49.0,7.0,1.0,11.0,4.0,7.0,140.0,5.0,689.0,8.0,19.0,2.0,17.0,22.0,17.0,26.0,3.0,1.0,1.0,7.0,27.0,67.0,1.0,9677,182.0,7.0,1.0,207.0,3.0,9.0,53.0,5.0,1.0,3.0,9.0,3.0,4.0,76.0,319.0,12.0,5.0,3.0,36.0,92.0,,1.0,1.0,0.0,2.0,2.0,3.0,7.0,0.0,5.0,1.0,1.0,4.0,56.4,21.0,2.0,1.0,9.0,2.0,55.0,9.0,3.0,421.0,17.0,10.0,18.0,11.0,17.0,4.0,4.0,231.0,7.0,17.0,26.0,57.0,24.0,2.0,10.0,21.0,,3.0,15.0,2.0,9.0,,,,1.0,,,2.0,1.0,1.0,,,4.0,,3.0,,2.0,,1.0,,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,
28,284276,2010-02-23 20:00:00,"Old Trafford, Manchester",73797.0,Away,West Ham United,Manchester United,0,3,L,0,1,0,0,2.0,2.0,73.0,,4.0,,,,30.0,15.0,7.0,6.0,1.0,4.0,6.0,,10.0,4.0,146.0,54.0,13.0,12.0,1.0,1.0,,1.0,1.0,20.0,19.0,3.0,9.0,6.0,18.0,40.0,186.0,1.0,,,0.0,128.0,15.0,3.0,,2.0,2.0,47.0,61.0,5.0,1.0,14.0,6.0,3.0,140.0,10.0,713.0,10.0,11.0,1.0,25.0,38.0,7.0,9.0,,1.0,2.0,5.0,22.0,69.0,,9677,171.0,8.0,,187.0,,4.0,58.0,1.0,,,4.0,6.0,1.0,68.0,353.0,10.0,13.0,,30.0,94.0,1.0,,1.0,0.0,6.0,3.0,,3.0,0.0,3.0,,,1.0,46.2,20.0,2.0,,4.0,2.0,46.0,7.0,2.0,452.0,25.0,9.0,18.0,7.0,21.0,1.0,4.0,285.0,6.0,17.0,13.0,76.0,17.0,1.0,5.0,25.0,,3.0,17.0,1.0,7.0,,,,2.0,,,2.0,,1.0,,,3.0,,,3.0,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,
