gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attPenTarget,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,shotFastbreak,postScoringAtt,goalAssistOpenplay,attSvLowCentre,goalFastbreak,attMissLeft,totalCross,attIboxPost,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,totalFastbreak,midfielderGoals,attSvLowLeft,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,attPostLeft,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attCmissRight,attBxRight,attMissHighRight,attSvHighRight,freekickCross,goodHighClaim,attMissRight,attHdMiss,totalHighClaim,attIboxMiss,attMissHighLeft,accurateThroughBall,accurateFreekickCross,sixYardBlock,totalThroughBall,ptsDroppedWinningPos,cleanSheet,divingSave,interceptionsInBox,secondYellow,shieldBallOop,clearanceOffLine,effectiveBlockedCross,blockedCross,savedObox,attOboxGoal,errorLeadToShot,goalsConcededObox,handBall,attOneOnOne,attObxdRight,attFreekickTarget,accurateKeeperSweeper,totalKeeperSweeper,goalAssistSetplay,goalAssistDeadball,attGoalLowCentre,attSvHighLeft,punches,attPostHigh,attGoalHighLeft,attGoalHighCentre,attLgCentre,attObxdLeft,attPenGoal,attCmissHigh,attCmissHighRight,penaltySave,penaltyConceded,foulThrowIn,penaltyFaced,penGoalsConceded,attOboxPost,attPostRight,attObpGoal,errorLeadToGoal,ownGoals,attIboxOwnGoal,attFreekickGoal
11,2210380,2021-11-07 16:30:00,"London Stadium, London",59909.0,Home,West Ham United,Liverpool,3,2,W,1,1,0,0,,2.0,25.0,72.0,,1.0,2.0,26.0,35.0,2.0,2.0,5.0,3.0,1.0,,134.0,9.0,4.0,9.0,3.0,1.0,6.0,1.0,3.0,61.0,130.0,40.0,,,7.0,,19.0,1.0,1.0,1.0,1.0,,1.0,1.0,16.0,1.0,3.0,,,35.0,3.0,1.0,37.0,101.0,,0.0,86.0,11.0,,2.0,1.0,1.0,69.0,29.0,5.0,42.0,13.0,18.0,2.0,,3.0,1.0,130.0,2.0,1.0,12.0,,62.0,1.0,478.0,3.0,10.0,12.0,1.0,1.0,14.0,199.0,42.0,2.0,16.0,2.0,1.0,6.0,1.0,15.0,278.0,52.0,86934,2.0,114.0,,9.0,1.0,145.0,4.0,,1.0,18.0,10.0,44.0,1.0,2.0,3.0,1.0,18.0,4.0,6.0,,62.0,211.0,6.0,10.0,1.0,15.0,2.0,57.0,1.0,,,0.0,1.0,2.0,3.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,30.9,12.0,2.0,,,3.0,2.0,22.0,3.0,299.0,14.0,,3.0,15.0,2.0,17.0,2.0,170.0,2.0,1.0,17.0,51.0,18.0,,16.0,8.0,1.0,1.0,4.0,3.0,12.0,7.0,3.0,,1.0,,,1.0,,,,,,,1.0,,,1.0,,,2.0,,,2.0,,2.0,2.0,,1.0,,1.0,2.0,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
12,2210390,2021-11-20 15:00:00,"Molineux Stadium, Wolverhampton",30667.0,Away,West Ham United,Wolverhampton Wanderers,0,1,L,0,0,0,0,1.0,,26.0,50.0,,,1.0,23.0,22.0,5.0,4.0,3.0,4.0,,2.0,144.0,15.0,6.0,9.0,,1.0,5.0,,3.0,135.0,118.0,38.0,,,8.0,1.0,11.0,,,,,,,1.0,23.0,,7.0,,3.0,22.0,3.0,,36.0,206.0,,0.0,120.0,9.0,,,,,76.0,63.0,3.0,65.0,20.0,12.0,5.0,,6.0,1.0,118.0,,,8.0,,138.0,,658.0,4.0,2.0,16.0,,,12.0,401.0,25.0,2.0,9.0,,1.0,3.0,2.0,17.0,464.0,55.0,86934,2.0,216.0,,13.0,,229.0,2.0,,,12.0,11.0,50.0,,1.0,5.0,,10.0,7.0,9.0,1.0,45.0,416.0,6.0,14.0,1.0,7.0,1.0,64.0,,1.0,1.0,0.0,3.0,7.0,1.0,,1.0,,0.0,5.0,,2.0,47.6,13.0,3.0,,,5.0,2.0,40.0,3.0,482.0,12.0,,5.0,17.0,3.0,25.0,1.0,276.0,2.0,,11.0,88.0,17.0,,9.0,12.0,,,7.0,3.0,21.0,6.0,3.0,,1.0,,2.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,1.0,,,,,1.0,1.0,3.0,,,1.0,1.0,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
13,2210399,2021-11-28 14:00:00,"Etihad Stadium, Manchester",53245.0,Away,West Ham United,Manchester City,1,2,L,0,1,0,0,1.0,,18.0,60.0,,,,21.0,18.0,3.0,2.0,1.0,6.0,,1.0,129.0,10.0,2.0,11.0,1.0,1.0,3.0,,3.0,80.0,126.0,47.0,,1.0,5.0,1.0,11.0,,,,,1.0,,,17.0,,13.0,,2.0,18.0,4.0,,37.0,132.0,,0.0,104.0,6.0,,,,,41.0,65.0,2.0,61.0,13.0,13.0,4.0,1.0,5.0,,126.0,,,13.0,,60.0,,494.0,3.0,4.0,13.0,,,11.0,245.0,28.0,2.0,10.0,,0.0,5.0,1.0,10.0,308.0,45.0,86934,,130.0,,8.0,,155.0,3.0,1.0,1.0,13.0,9.0,38.0,,4.0,,1.0,18.0,6.0,6.0,,55.0,260.0,7.0,6.0,,18.0,,49.0,,1.0,,0.0,1.0,8.0,6.0,,2.0,,0.0,1.0,,1.0,31.5,7.0,6.0,,,,1.0,29.0,4.0,330.0,11.0,,9.0,18.0,1.0,25.0,1.0,192.0,2.0,,13.0,75.0,23.0,,10.0,16.0,,2.0,4.0,3.0,17.0,5.0,4.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,3.0,1.0,,,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14,2210406,2021-12-01 19:30:00,"London Stadium, London",59626.0,Home,West Ham United,Brighton and Hove Albion,1,1,D,1,0,0,0,,1.0,23.0,51.0,,,1.0,22.0,18.0,4.0,2.0,8.0,2.0,,3.0,116.0,12.0,4.0,11.0,1.0,2.0,9.0,,6.0,46.0,130.0,42.0,,,14.0,1.0,16.0,3.0,,1.0,,1.0,,2.0,25.0,1.0,7.0,,2.0,18.0,8.0,1.0,22.0,132.0,,0.0,96.0,10.0,,,1.0,1.0,72.0,49.0,6.0,51.0,17.0,20.0,6.0,,5.0,3.0,130.0,2.0,1.0,6.0,,58.0,,464.0,8.0,2.0,24.0,2.0,1.0,14.0,182.0,23.0,3.0,9.0,1.0,1.0,2.0,3.0,23.0,253.0,24.0,86934,5.0,69.0,2.0,10.0,,93.0,6.0,,,20.0,8.0,53.0,,1.0,1.0,,9.0,3.0,7.0,1.0,47.0,197.0,7.0,8.0,,20.0,5.0,48.0,,3.0,1.0,0.0,1.0,5.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,4.0,34.3,18.0,4.0,,,1.0,2.0,23.0,9.0,271.0,14.0,,13.0,10.0,6.0,29.0,1.0,203.0,8.0,1.0,11.0,76.0,22.0,,9.0,13.0,1.0,1.0,9.0,2.0,17.0,12.0,9.0,,2.0,,,2.0,,2.0,1.0,,2.0,,1.0,,,1.0,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,,
15,2210419,2021-12-04 12:30:00,"London Stadium, London",59942.0,Home,West Ham United,Chelsea,3,2,W,1,2,0,0,,1.0,24.0,58.0,1.0,,,17.0,27.0,,6.0,9.0,5.0,2.0,2.0,138.0,10.0,2.0,6.0,3.0,4.0,7.0,,5.0,71.0,121.0,45.0,,,11.0,,14.0,2.0,,,2.0,1.0,,3.0,13.0,,7.0,,,27.0,1.0,5.0,31.0,108.0,1.0,0.0,87.0,10.0,3.0,,,1.0,50.0,51.0,3.0,58.0,12.0,16.0,2.0,,1.0,1.0,121.0,1.0,,12.0,,68.0,,511.0,4.0,6.0,20.0,,,5.0,238.0,25.0,4.0,16.0,2.0,1.0,8.0,4.0,20.0,317.0,47.0,86934,4.0,144.0,1.0,9.0,,169.0,5.0,1.0,,16.0,5.0,39.0,,3.0,7.0,2.0,13.0,7.0,3.0,1.0,46.0,250.0,9.0,9.0,1.0,17.0,1.0,56.0,,,2.0,0.0,,9.0,2.0,2.0,2.0,3.0,0.0,1.0,1.0,1.0,36.2,17.0,5.0,2.0,,7.0,,28.0,1.0,335.0,5.0,,5.0,12.0,6.0,15.0,1.0,179.0,4.0,4.0,17.0,51.0,14.0,2.0,16.0,13.0,,2.0,9.0,3.0,7.0,5.0,1.0,1.0,1.0,,,2.0,,1.0,1.0,,5.0,1.0,,,,,,,2.0,1.0,,,,4.0,4.0,3.0,1.0,,,,,,,,,,,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
16,2210424,2021-12-12 14:00:00,"Turf Moor, Burnley",18065.0,Away,West Ham United,Burnley,0,0,D,0,0,0,0,1.0,,19.0,59.0,,,4.0,29.0,14.0,7.0,5.0,9.0,1.0,,,200.0,12.0,3.0,10.0,,2.0,13.0,,3.0,95.0,178.0,61.0,,,16.0,1.0,24.0,3.0,,,,1.0,,2.0,32.0,,6.0,,,14.0,12.0,1.0,36.0,204.0,,0.0,167.0,11.0,,,,2.0,68.0,95.0,6.0,62.0,20.0,20.0,7.0,,5.0,6.0,178.0,,1.0,6.0,,114.0,,650.0,11.0,7.0,39.0,2.0,,4.0,333.0,30.0,8.0,7.0,,1.0,3.0,7.0,23.0,444.0,55.0,86934,4.0,149.0,,13.0,1.0,188.0,5.0,,3.0,20.0,11.0,60.0,,1.0,2.0,,6.0,3.0,5.0,3.0,71.0,350.0,12.0,8.0,2.0,28.0,2.0,77.0,,,1.0,0.0,,6.0,1.0,,,4.0,0.0,2.0,,3.0,59.9,21.0,3.0,2.0,,2.0,5.0,32.0,14.0,471.0,4.0,,9.0,10.0,8.0,38.0,1.0,315.0,8.0,1.0,29.0,120.0,22.0,,7.0,10.0,,,13.0,2.0,20.0,6.0,14.0,,1.0,2.0,,2.0,,1.0,1.0,,2.0,,,1.0,1.0,,,1.0,,,,2.0,,2.0,2.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,
17,2210431,2021-12-15 20:00:00,"Emirates Stadium, London",59777.0,Away,West Ham United,Arsenal,0,2,L,0,0,1,0,1.0,,27.0,51.0,,,,26.0,21.0,5.0,2.0,2.0,6.0,,,125.0,8.0,3.0,9.0,,3.0,4.0,,1.0,93.0,133.0,54.0,,1.0,7.0,3.0,18.0,1.0,,,,,,,17.0,,14.0,,,21.0,2.0,2.0,21.0,153.0,,0.0,102.0,9.0,,,,,54.0,67.0,2.0,66.0,15.0,13.0,5.0,1.0,5.0,2.0,133.0,,,11.0,,103.0,,589.0,4.0,6.0,10.0,,,11.0,300.0,20.0,5.0,13.0,,0.0,8.0,2.0,28.0,370.0,36.0,86934,2.0,164.0,,9.0,2.0,181.0,5.0,,,13.0,6.0,59.0,,,2.0,,17.0,10.0,4.0,,56.0,314.0,7.0,10.0,,25.0,,61.0,,,,0.0,,5.0,2.0,,2.0,,1.0,2.0,,,43.8,22.0,4.0,,,2.0,3.0,29.0,2.0,387.0,11.0,,17.0,12.0,3.0,20.0,1.0,223.0,5.0,2.0,20.0,75.0,19.0,,13.0,18.0,,1.0,4.0,2.0,14.0,8.0,2.0,1.0,,1.0,,1.0,,2.0,,,1.0,,,,,,,,4.0,3.0,1.0,,,1.0,1.0,4.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
18,2210449,2022-01-12 19:45:00,"London Stadium, London",59775.0,Home,West Ham United,Norwich City,2,0,W,1,0,0,0,1.0,2.0,28.0,55.0,1.0,,1.0,31.0,13.0,4.0,5.0,9.0,3.0,1.0,2.0,167.0,17.0,3.0,11.0,2.0,2.0,12.0,,5.0,131.0,136.0,43.0,,,13.0,2.0,12.0,2.0,,1.0,2.0,2.0,,,22.0,1.0,3.0,,1.0,13.0,7.0,8.0,49.0,270.0,,0.0,186.0,9.0,,,2.0,,125.0,80.0,8.0,81.0,15.0,15.0,4.0,,5.0,1.0,136.0,5.0,1.0,3.0,,171.0,,724.0,7.0,5.0,29.0,,2.0,7.0,448.0,19.0,,8.0,2.0,0.0,1.0,4.0,26.0,529.0,67.0,86934,5.0,196.0,3.0,9.0,1.0,213.0,4.0,,1.0,15.0,5.0,43.0,,4.0,3.0,2.0,10.0,4.0,1.0,1.0,60.0,463.0,8.0,7.0,3.0,8.0,3.0,81.0,,,,0.0,,2.0,1.0,2.0,,1.0,0.0,3.0,2.0,1.0,61.6,25.0,3.0,,,3.0,3.0,51.0,11.0,550.0,7.0,,7.0,23.0,5.0,29.0,,359.0,7.0,8.0,16.0,145.0,27.0,,8.0,8.0,1.0,,9.0,2.0,19.0,7.0,11.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,2.0,,,2.0,,1.0,2.0,,,,,1.0,1.0,2.0,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
19,2210459,2021-12-26 15:00:00,"London Stadium, London",41027.0,Home,West Ham United,Southampton,2,3,L,0,1,0,0,1.0,2.0,30.0,67.0,1.0,,2.0,27.0,11.0,5.0,2.0,6.0,3.0,,1.0,176.0,12.0,4.0,8.0,2.0,2.0,10.0,,5.0,98.0,164.0,49.0,,,11.0,1.0,21.0,2.0,,,1.0,1.0,,1.0,36.0,,10.0,,1.0,11.0,10.0,3.0,33.0,231.0,,0.0,166.0,10.0,,,1.0,1.0,101.0,67.0,8.0,76.0,26.0,13.0,5.0,,6.0,3.0,164.0,2.0,1.0,5.0,,101.0,,639.0,7.0,8.0,31.0,1.0,,9.0,352.0,32.0,6.0,9.0,2.0,2.0,3.0,2.0,20.0,437.0,76.0,86934,2.0,135.0,,17.0,,158.0,7.0,1.0,1.0,13.0,2.0,59.0,,2.0,2.0,1.0,16.0,6.0,1.0,,55.0,362.0,9.0,9.0,1.0,13.0,5.0,60.0,,1.0,1.0,0.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,3.0,2.0,3.0,55.8,17.0,7.0,1.0,,2.0,3.0,35.0,10.0,451.0,9.0,,13.0,13.0,3.0,46.0,1.0,329.0,6.0,3.0,19.0,119.0,25.0,,9.0,13.0,1.0,2.0,6.0,3.0,14.0,5.0,10.0,,,1.0,,3.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,2.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,
20,2210470,2021-12-28 15:00:00,"Vicarage Road, Watford",20073.0,Away,West Ham United,Watford,4,1,W,2,1,0,0,1.0,3.0,27.0,76.0,2.0,1.0,3.0,25.0,15.0,3.0,3.0,10.0,4.0,,1.0,171.0,15.0,6.0,9.0,4.0,2.0,11.0,2.0,6.0,103.0,165.0,55.0,,,13.0,1.0,25.0,2.0,,1.0,3.0,1.0,,,21.0,,9.0,,,15.0,5.0,5.0,30.0,159.0,1.0,0.0,129.0,12.0,3.0,,3.0,1.0,66.0,66.0,8.0,44.0,16.0,17.0,3.0,,7.0,1.0,165.0,4.0,2.0,11.0,,105.0,,614.0,7.0,7.0,30.0,,1.0,16.0,302.0,33.0,10.0,7.0,3.0,1.0,3.0,3.0,26.0,398.0,50.0,86934,7.0,163.0,2.0,8.0,,197.0,4.0,4.0,2.0,17.0,12.0,63.0,,1.0,1.0,3.0,18.0,3.0,3.0,,75.0,316.0,12.0,11.0,1.0,35.0,1.0,74.0,,,,0.0,,4.0,4.0,4.0,1.0,3.0,0.0,4.0,3.0,2.0,57.0,18.0,7.0,,,1.0,4.0,32.0,5.0,423.0,16.0,,8.0,12.0,3.0,27.0,2.0,247.0,8.0,5.0,19.0,91.0,33.0,,7.0,15.0,,1.0,11.0,3.0,17.0,3.0,5.0,,2.0,,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,3.0,,,,,2.0,2.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,
21,2210474,2022-01-01 17:30:00,"Selhurst Park, London",24351.0,Away,West Ham United,Crystal Palace,3,2,W,3,0,0,0,,2.0,35.0,60.0,1.0,,1.0,19.0,37.0,1.0,1.0,9.0,4.0,1.0,1.0,149.0,20.0,7.0,7.0,3.0,2.0,5.0,1.0,5.0,59.0,136.0,55.0,,,10.0,,19.0,2.0,,,2.0,2.0,,1.0,15.0,,18.0,,,37.0,1.0,1.0,50.0,156.0,1.0,0.0,118.0,16.0,,,2.0,,54.0,79.0,4.0,48.0,14.0,12.0,1.0,,3.0,1.0,136.0,1.0,1.0,16.0,,83.0,,547.0,3.0,4.0,23.0,1.0,,11.0,237.0,29.0,,19.0,2.0,2.0,5.0,1.0,23.0,318.0,57.0,86934,6.0,97.0,1.0,10.0,,124.0,9.0,2.0,2.0,12.0,10.0,54.0,,2.0,5.0,2.0,14.0,6.0,3.0,2.0,64.0,246.0,4.0,5.0,,12.0,,65.0,,,1.0,0.0,1.0,9.0,3.0,3.0,2.0,1.0,0.0,6.0,2.0,2.0,37.3,20.0,3.0,1.0,,5.0,1.0,31.0,1.0,339.0,11.0,,11.0,19.0,4.0,19.0,1.0,230.0,7.0,1.0,13.0,76.0,17.0,1.0,19.0,31.0,,1.0,8.0,3.0,11.0,5.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0,2.0,3.0,,,1.0,,,,,2.0,1.0,,,,2.0,2.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,
22,2210489,2022-01-16 14:00:00,"London Stadium, London",59951.0,Home,West Ham United,Leeds United,2,3,L,1,2,0,0,2.0,1.0,35.0,78.0,1.0,,4.0,24.0,11.0,2.0,5.0,13.0,2.0,,,165.0,17.0,10.0,13.0,2.0,1.0,11.0,1.0,5.0,84.0,178.0,67.0,,,15.0,,17.0,2.0,,,1.0,,,2.0,26.0,,13.0,,1.0,11.0,4.0,8.0,41.0,153.0,,0.0,126.0,6.0,,,2.0,1.0,68.0,58.0,8.0,59.0,22.0,23.0,2.0,,6.0,1.0,178.0,3.0,,14.0,,78.0,,602.0,6.0,6.0,35.0,1.0,,11.0,252.0,30.0,5.0,6.0,2.0,3.0,2.0,3.0,31.0,363.0,57.0,86934,9.0,127.0,3.0,15.0,1.0,159.0,5.0,1.0,2.0,23.0,9.0,52.0,,1.0,4.0,1.0,16.0,4.0,6.0,2.0,55.0,270.0,9.0,6.0,3.0,12.0,4.0,66.0,,1.0,1.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0,0.0,6.0,1.0,5.0,47.4,26.0,8.0,1.0,1.0,4.0,4.0,35.0,4.0,386.0,11.0,,13.0,11.0,6.0,31.0,4.0,253.0,4.0,5.0,24.0,72.0,35.0,,6.0,22.0,1.0,3.0,9.0,3.0,23.0,7.0,4.0,,,1.0,,1.0,,,2.0,,5.0,1.0,1.0,,1.0,3.0,,,1.0,,,1.0,,2.0,2.0,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
23,2210498,2022-01-22 15:00:00,"Old Trafford, Manchester",73130.0,Away,West Ham United,Manchester United,0,1,L,0,0,0,0,,,28.0,58.0,,,2.0,24.0,13.0,1.0,,5.0,2.0,,1.0,173.0,18.0,1.0,9.0,,2.0,3.0,,1.0,90.0,159.0,42.0,,,6.0,,20.0,1.0,,,,1.0,,1.0,15.0,,7.0,,,13.0,3.0,4.0,54.0,128.0,,0.0,96.0,8.0,,,,,61.0,50.0,1.0,58.0,12.0,15.0,1.0,,4.0,1.0,159.0,,,13.0,,92.0,,589.0,2.0,13.0,13.0,,,16.0,291.0,29.0,3.0,4.0,,1.0,6.0,2.0,20.0,385.0,43.0,86934,2.0,181.0,,6.0,1.0,213.0,4.0,,,15.0,14.0,55.0,,1.0,3.0,,16.0,5.0,8.0,,62.0,308.0,9.0,10.0,1.0,15.0,2.0,79.0,,,1.0,0.0,2.0,3.0,2.0,,1.0,4.0,0.0,,,1.0,43.1,16.0,4.0,,,3.0,2.0,36.0,3.0,413.0,16.0,,8.0,22.0,3.0,18.0,1.0,215.0,5.0,4.0,15.0,59.0,21.0,,4.0,9.0,,1.0,3.0,1.0,18.0,5.0,3.0,1.0,2.0,,,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2210505,2022-02-08 19:45:00,"London Stadium, London",59581.0,Home,West Ham United,Watford,1,0,W,0,0,0,0,1.0,,28.0,61.0,,,2.0,44.0,14.0,1.0,2.0,8.0,1.0,1.0,1.0,202.0,11.0,6.0,9.0,1.0,1.0,7.0,,3.0,157.0,175.0,73.0,,,9.0,,25.0,2.0,,1.0,1.0,1.0,,,20.0,1.0,8.0,,,14.0,5.0,1.0,54.0,233.0,,0.0,149.0,1.0,,,1.0,1.0,88.0,131.0,5.0,99.0,15.0,17.0,1.0,,7.0,,175.0,1.0,,2.0,,151.0,,797.0,5.0,12.0,24.0,,2.0,13.0,474.0,29.0,4.0,7.0,1.0,1.0,1.0,2.0,39.0,591.0,69.0,86934,2.0,262.0,2.0,8.0,,297.0,1.0,,1.0,17.0,9.0,57.0,,3.0,2.0,1.0,16.0,4.0,8.0,3.0,87.0,489.0,6.0,14.0,1.0,25.0,1.0,78.0,,,,0.0,,6.0,,,,3.0,0.0,4.0,,2.0,64.3,34.0,3.0,,,2.0,2.0,44.0,5.0,609.0,13.0,,10.0,28.0,4.0,30.0,2.0,332.0,5.0,1.0,42.0,97.0,26.0,,7.0,16.0,,,7.0,1.0,16.0,7.0,5.0,,3.0,,,,2.0,,1.0,2.0,3.0,,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,
25,2210515,2022-02-13 16:30:00,"King Power Stadium, Leicester",32061.0,Away,West Ham United,Leicester City,2,2,D,1,1,0,0,1.0,1.0,26.0,55.0,,1.0,2.0,20.0,15.0,2.0,6.0,6.0,,1.0,,169.0,13.0,1.0,7.0,2.0,2.0,4.0,,3.0,101.0,150.0,54.0,,,8.0,1.0,10.0,1.0,,,1.0,1.0,,,17.0,,8.0,1.0,,15.0,4.0,6.0,40.0,170.0,,0.0,110.0,9.0,1.0,,1.0,,65.0,50.0,3.0,59.0,13.0,16.0,2.0,,4.0,1.0,150.0,1.0,,9.0,,104.0,,603.0,2.0,9.0,24.0,,,5.0,331.0,21.0,3.0,7.0,2.0,2.0,4.0,1.0,17.0,412.0,49.0,86934,3.0,176.0,,7.0,,199.0,4.0,,1.0,16.0,10.0,48.0,1.0,,5.0,1.0,16.0,4.0,6.0,,46.0,345.0,10.0,9.0,,12.0,2.0,68.0,,,,0.0,2.0,5.0,,2.0,2.0,4.0,0.0,,2.0,,44.6,10.0,1.0,2.0,,5.0,3.0,44.0,4.0,433.0,5.0,,11.0,22.0,2.0,25.0,1.0,251.0,1.0,6.0,23.0,69.0,27.0,,7.0,14.0,,2.0,6.0,3.0,17.0,7.0,4.0,,,1.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,
26,2210529,2022-02-19 12:30:00,"London Stadium, London",59949.0,Home,West Ham United,Newcastle United,1,1,D,1,1,0,0,1.0,1.0,30.0,60.0,1.0,,5.0,25.0,32.0,1.0,2.0,10.0,2.0,,1.0,152.0,19.0,4.0,3.0,1.0,1.0,9.0,,3.0,88.0,146.0,46.0,,,11.0,1.0,18.0,2.0,,,,,,,19.0,,8.0,,,32.0,3.0,3.0,50.0,157.0,,0.0,121.0,3.0,,,,,85.0,53.0,7.0,64.0,16.0,13.0,1.0,,4.0,,146.0,1.0,,8.0,,84.0,,574.0,8.0,6.0,23.0,,1.0,7.0,282.0,25.0,3.0,19.0,1.0,3.0,6.0,2.0,22.0,372.0,54.0,84182,4.0,141.0,,10.0,1.0,169.0,1.0,,,13.0,6.0,40.0,1.0,2.0,3.0,,18.0,6.0,5.0,,60.0,294.0,7.0,7.0,,17.0,2.0,67.0,,1.0,,0.0,,7.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,47.0,18.0,1.0,2.0,1.0,3.0,6.0,36.0,3.0,388.0,7.0,,8.0,22.0,2.0,27.0,1.0,238.0,8.0,3.0,25.0,80.0,29.0,,19.0,11.0,1.0,1.0,8.0,2.0,7.0,3.0,3.0,,2.0,2.0,,2.0,,,,,2.0,,,1.0,,,2.0,,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,
