gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,goalAssistOpenplay,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalLayoffs,totalChippedPass,accurateFwdZonePass,attSvHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,foulThrowIn,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,handBall,attLfTarget,attIboxBlocked,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCornersIntobox,cleanSheet,attOboxMiss,bigChanceCreated,attHdTarget,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,attSetpiece,attRfGoal,attMissHigh,attAssistSetplay,attHdTotal,cornerTaken,shotOffTarget,attIboxMiss,wonCorners,bigChanceScored,attGoalLowLeft,attCmissRight,attMissHighRight,totalFastbreak,attMissRight,contentiousDecision,attLgCentre,attMissHighLeft,offtargetAttAssist,accurateFreekickCross,totalPullBack,attCmissHigh,attCmissHighLeft,attCmissHighRight,attHdMiss,attemptsIbox,accuratePullBack,attOneOnOne,attemptsObox,touchesInOppBox,attBxLeft,ptsDroppedWinningPos,postScoringAtt,attIboxPost,secondYellow,hitWoodwork,attSvLowRight,attPostHigh,accurateCornersIntobox,attCmissLeft,forwardGoals,attFreekickTotal,penaltyWon,freekickTotal,penaltyConceded,attPenGoal,attFreekickTarget,attSvHighCentre,penaltyFaced,penGoalsConceded,attFreekickMiss,attOboxPost,sixYardBlock,attGoalHighLeft,attFreekickGoal,attHdGoal,attPostLeft,shotFastbreak,attFastbreak,errorLeadToGoal,attObpGoal,attPostRight,attGoalHighRight,attSvHighLeft,goalsConcededObox,ownGoals,attIboxOwnGoal,attHdPost,clearanceOffLine,attGoalHighCentre,attFreekickPost,attObxRight,goalFastbreak,goalAssistSetplay,goalAssistDeadball
11,755409,2014-11-09 16:00:00,"Swansea.com Stadium, Swansea",20812,Home,Swansea City,Arsenal,2,1,W,0,0,0,0,62.0,,1.0,21.0,35.0,5.0,4.0,3.0,,1.0,145.0,,3.0,11.0,2.0,3.0,7.0,5.0,98.0,126.0,53.0,11.0,,14.0,1.0,20.0,11.0,1.0,35.0,16.0,22.0,149.0,1.0,1.0,0.0,88.0,10.0,2.0,1.0,1.0,2.0,3.0,49.0,35.0,4.0,66.0,3.0,15.0,8.0,4.0,126.0,7.0,126.0,629.0,5.0,9.0,15.0,339.0,22.0,8.0,25.0,1.0,5.0,5.0,14.0,409.0,55.0,,96305,2.0,211.0,9.0,232.0,7.0,8.0,7.0,53.0,,4.0,4.0,1.0,8.0,5.0,4.0,49.0,357.0,15.0,14.0,24.0,67.0,,0.0,,10.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,48.1,12.0,5.0,4.0,1.0,40.0,3.0,435.0,15.0,6.0,10.0,12.0,223.0,6.0,16.0,15.0,49.0,24.0,4.0,25.0,15.0,1.0,8.0,3.0,21.0,4.0,5.0,,2.0,1.0,2.0,1.0,,1.0,3.0,5.0,,4.0,,,,1.0,,,1.0,,1.0,1.0,6.0,5.0,1.0,6.0,,1.0,,1.0,,1.0,1.0,1.0,,3.0,,2.0,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12,755420,2014-11-22 15:00:00,"Etihad Stadium, Manchester",45448,Away,Swansea City,Manchester City,1,2,L,1,1,0,0,62.0,,4.0,27.0,34.0,4.0,2.0,8.0,,1.0,163.0,1.0,1.0,12.0,1.0,2.0,4.0,3.0,103.0,117.0,60.0,8.0,1.0,7.0,1.0,11.0,15.0,1.0,34.0,20.0,25.0,163.0,,,0.0,69.0,9.0,5.0,,,,3.0,28.0,63.0,3.0,76.0,6.0,8.0,28.0,4.0,117.0,17.0,111.0,688.0,3.0,2.0,24.0,360.0,27.0,8.0,18.0,1.0,1.0,7.0,19.0,425.0,43.0,2.0,93464,3.0,220.0,4.0,246.0,1.0,28.0,9.0,45.0,3.0,2.0,6.0,1.0,16.0,6.0,5.0,45.0,382.0,12.0,16.0,16.0,61.0,,0.0,,7.0,4.0,1.0,2.0,1.0,0.0,,1.0,,,40.6,17.0,,6.0,2.0,35.0,3.0,453.0,24.0,9.0,13.0,13.0,218.0,6.0,20.0,11.0,46.0,23.0,3.0,18.0,25.0,2.0,6.0,3.0,19.0,3.0,21.0,3.0,1.0,1.0,1.0,,,2.0,1.0,3.0,,2.0,2.0,,,,1.0,,1.0,1.0,,,3.0,3.0,1.0,3.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,1.0,,1.0,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
13,755429,2014-11-29 15:00:00,"Swansea.com Stadium, Swansea",20240,Home,Swansea City,Crystal Palace,1,1,D,1,1,0,0,64.0,,3.0,24.0,27.0,10.0,6.0,4.0,,2.0,163.0,,5.0,12.0,1.0,2.0,15.0,4.0,153.0,145.0,58.0,18.0,3.0,20.0,1.0,27.0,11.0,1.0,27.0,14.0,30.0,230.0,,,0.0,141.0,6.0,2.0,,,,2.0,60.0,81.0,6.0,60.0,1.0,24.0,17.0,9.0,145.0,4.0,162.0,775.0,13.0,4.0,23.0,447.0,24.0,3.0,18.0,1.0,0.0,2.0,15.0,516.0,68.0,,93464,7.0,239.0,15.0,256.0,3.0,17.0,5.0,60.0,,,7.0,1.0,21.0,7.0,4.0,47.0,464.0,9.0,10.0,11.0,52.0,,0.0,2.0,6.0,1.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,,64.3,13.0,5.0,7.0,3.0,34.0,2.0,538.0,23.0,7.0,13.0,17.0,309.0,10.0,12.0,21.0,106.0,26.0,4.0,18.0,16.0,1.0,15.0,2.0,29.0,4.0,9.0,,1.0,,2.0,,,3.0,2.0,3.0,,6.0,2.0,,,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,11.0,5.0,4.0,,1.0,3.0,1.0,,5.0,2.0,,1.0,9.0,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,2.0,1.0,1.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14,755438,2014-12-02 19:45:00,"Swansea.com Stadium, Swansea",20145,Home,Swansea City,Queens Park Rangers,2,0,W,0,0,0,0,61.0,1.0,,29.0,24.0,7.0,4.0,1.0,1.0,4.0,162.0,,9.0,18.0,2.0,4.0,16.0,7.0,121.0,143.0,61.0,19.0,1.0,16.0,2.0,34.0,12.0,2.0,24.0,15.0,24.0,200.0,1.0,1.0,0.0,123.0,8.0,1.0,2.0,1.0,3.0,,52.0,72.0,13.0,80.0,,26.0,14.0,5.0,143.0,2.0,147.0,737.0,12.0,11.0,17.0,426.0,21.0,7.0,17.0,2.0,2.0,1.0,31.0,494.0,63.0,4.0,93464,6.0,247.0,18.0,263.0,5.0,14.0,5.0,50.0,5.0,6.0,3.0,2.0,12.0,3.0,3.0,48.0,438.0,10.0,5.0,11.0,69.0,1.0,0.0,2.0,2.0,1.0,1.0,,7.0,0.0,6.0,1.0,,,59.0,26.0,7.0,3.0,7.0,47.0,,510.0,17.0,8.0,15.0,20.0,281.0,13.0,13.0,21.0,89.0,29.0,1.0,17.0,13.0,,15.0,3.0,31.0,1.0,8.0,,,6.0,3.0,2.0,1.0,2.0,1.0,8.0,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,9.0,5.0,1.0,9.0,,1.0,,2.0,,,1.0,,,3.0,1.0,,,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,3.0,,,1.0,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
15,755452,2014-12-07 13:30:00,"Boleyn Ground, London",34125,Away,Swansea City,West Ham United,1,3,L,1,1,1,0,53.0,1.0,,26.0,52.0,4.0,3.0,4.0,,1.0,135.0,,2.0,9.0,1.0,,9.0,2.0,69.0,123.0,57.0,11.0,1.0,28.0,1.0,12.0,14.0,,52.0,12.0,37.0,94.0,,,0.0,74.0,18.0,2.0,,,1.0,1.0,40.0,37.0,5.0,59.0,1.0,10.0,16.0,3.0,123.0,12.0,70.0,545.0,7.0,4.0,14.0,227.0,25.0,6.0,32.0,1.0,1.0,5.0,22.0,307.0,39.0,,93464,4.0,151.0,6.0,179.0,6.0,16.0,7.0,63.0,,1.0,5.0,1.0,8.0,3.0,2.0,67.0,243.0,11.0,12.0,23.0,61.0,2.0,0.0,2.0,7.0,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,,44.2,20.0,2.0,6.0,5.0,26.0,1.0,333.0,14.0,4.0,15.0,12.0,166.0,8.0,12.0,17.0,37.0,20.0,6.0,32.0,22.0,3.0,8.0,3.0,14.0,6.0,8.0,2.0,,4.0,1.0,1.0,,,,2.0,,3.0,1.0,,1.0,2.0,,,1.0,1.0,1.0,,4.0,4.0,,4.0,1.0,,1.0,,1.0,1.0,1.0,,1.0,4.0,1.0,1.0,,,,,,1.0,,,,2.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,,,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,
16,755461,2014-12-14 16:00:00,"Swansea.com Stadium, Swansea",20650,Home,Swansea City,Tottenham Hotspur,1,2,L,0,1,0,0,62.0,1.0,1.0,33.0,35.0,4.0,2.0,2.0,,1.0,175.0,,7.0,11.0,1.0,2.0,11.0,3.0,109.0,161.0,67.0,15.0,1.0,21.0,,31.0,25.0,1.0,35.0,15.0,26.0,173.0,,,0.0,105.0,7.0,2.0,,2.0,2.0,2.0,47.0,77.0,8.0,87.0,2.0,28.0,23.0,10.0,161.0,5.0,100.0,724.0,10.0,5.0,20.0,360.0,21.0,4.0,20.0,,3.0,3.0,26.0,445.0,57.0,4.0,80789,9.0,216.0,16.0,246.0,4.0,23.0,3.0,62.0,5.0,5.0,5.0,1.0,13.0,5.0,3.0,59.0,382.0,13.0,8.0,16.0,69.0,2.0,0.0,1.0,9.0,1.0,1.0,2.0,1.0,0.0,6.0,,,,53.5,24.0,2.0,6.0,7.0,44.0,2.0,471.0,20.0,13.0,14.0,25.0,256.0,10.0,15.0,17.0,73.0,31.0,3.0,20.0,26.0,2.0,12.0,3.0,24.0,3.0,6.0,,,6.0,1.0,1.0,,,3.0,3.0,,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,3.0,7.0,5.0,3.0,7.0,1.0,,,,,1.0,2.0,,,3.0,,,,,,2.0,,,,,,1.0,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,
17,755464,2014-12-20 15:00:00,"The MKM Stadium, Hull",21913,Away,Swansea City,Hull City,1,0,W,1,0,0,0,75.0,1.0,2.0,23.0,67.0,6.0,1.0,3.0,,1.0,160.0,,3.0,7.0,1.0,2.0,11.0,3.0,82.0,159.0,48.0,13.0,4.0,39.0,1.0,12.0,10.0,,67.0,18.0,43.0,129.0,,,0.0,82.0,16.0,1.0,1.0,,1.0,3.0,33.0,56.0,6.0,61.0,2.0,9.0,13.0,6.0,159.0,5.0,66.0,613.0,9.0,5.0,17.0,252.0,24.0,4.0,34.0,1.0,2.0,2.0,26.0,339.0,57.0,,96305,5.0,140.0,2.0,174.0,6.0,13.0,11.0,78.0,1.0,4.0,8.0,1.0,16.0,6.0,3.0,65.0,266.0,13.0,7.0,19.0,79.0,1.0,0.0,,4.0,1.0,1.0,,2.0,0.0,2.0,,,1.0,43.4,21.0,3.0,9.0,4.0,37.0,3.0,369.0,17.0,10.0,21.0,13.0,207.0,9.0,17.0,14.0,52.0,35.0,2.0,34.0,16.0,,10.0,3.0,17.0,2.0,6.0,,,,2.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,2.0,5.0,6.0,4.0,5.0,,,1.0,1.0,3.0,2.0,,,,5.0,,,,,,1.0,,,,,,1.0,,1.0,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
18,755481,2014-12-26 15:00:00,"Swansea.com Stadium, Swansea",20683,Home,Swansea City,Aston Villa,1,0,W,1,0,0,0,60.0,,,37.0,26.0,3.0,2.0,3.0,,,150.0,,2.0,7.0,1.0,4.0,5.0,2.0,116.0,113.0,40.0,7.0,1.0,14.0,,16.0,8.0,,26.0,9.0,36.0,193.0,,1.0,0.0,117.0,17.0,1.0,1.0,,2.0,2.0,56.0,72.0,2.0,74.0,,14.0,15.0,4.0,113.0,8.0,122.0,616.0,5.0,4.0,15.0,375.0,21.0,1.0,13.0,,1.0,1.0,11.0,433.0,53.0,1.0,93464,2.0,198.0,8.0,212.0,7.0,15.0,14.0,63.0,1.0,3.0,2.0,,2.0,3.0,4.0,73.0,389.0,12.0,12.0,15.0,66.0,,0.0,1.0,,3.0,,,2.0,0.0,2.0,,,,43.4,11.0,4.0,2.0,2.0,35.0,2.0,462.0,15.0,8.0,21.0,14.0,266.0,4.0,9.0,12.0,85.0,31.0,4.0,13.0,9.0,,5.0,3.0,19.0,4.0,9.0,,1.0,1.0,1.0,1.0,,,,2.0,1.0,1.0,1.0,,,,1.0,,1.0,2.0,,1.0,4.0,3.0,2.0,4.0,,,,1.0,,,,,,3.0,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,
19,755485,2014-12-29 20:00:00,"Anfield, Liverpool",44714,Away,Swansea City,Liverpool,1,4,L,0,1,0,0,56.0,,4.0,34.0,20.0,4.0,3.0,8.0,1.0,1.0,183.0,,8.0,10.0,1.0,2.0,7.0,4.0,154.0,130.0,42.0,11.0,,9.0,,21.0,5.0,1.0,20.0,22.0,35.0,270.0,,,0.0,118.0,5.0,5.0,1.0,1.0,2.0,,84.0,93.0,4.0,113.0,1.0,18.0,16.0,8.0,130.0,13.0,162.0,803.0,5.0,1.0,29.0,510.0,24.0,5.0,9.0,,0.0,2.0,17.0,587.0,59.0,1.0,93464,6.0,269.0,8.0,295.0,3.0,16.0,11.0,46.0,1.0,1.0,4.0,1.0,9.0,9.0,8.0,58.0,531.0,8.0,11.0,16.0,78.0,,0.0,5.0,6.0,4.0,1.0,4.0,1.0,0.0,7.0,,,,56.5,17.0,5.0,4.0,2.0,56.0,,612.0,29.0,12.0,18.0,16.0,338.0,5.0,21.0,15.0,86.0,22.0,1.0,9.0,9.0,3.0,8.0,3.0,19.0,1.0,9.0,,,2.0,2.0,,,2.0,1.0,3.0,,3.0,,2.0,,1.0,,2.0,,2.0,2.0,2.0,3.0,5.0,2.0,3.0,1.0,1.0,,1.0,,1.0,,,,3.0,2.0,,2.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,
20,755498,2015-01-01 15:00:00,"MATRADE Loftus Road, London",17729,Away,Swansea City,Queens Park Rangers,1,1,D,0,1,1,0,74.0,,2.0,24.0,43.0,10.0,3.0,5.0,,2.0,209.0,,6.0,10.0,1.0,4.0,15.0,6.0,114.0,191.0,65.0,25.0,2.0,36.0,1.0,28.0,9.0,2.0,43.0,15.0,33.0,176.0,1.0,,0.0,117.0,5.0,5.0,,,3.0,1.0,58.0,59.0,7.0,68.0,,20.0,18.0,4.0,191.0,13.0,121.0,767.0,11.0,2.0,13.0,357.0,30.0,3.0,29.0,1.0,0.0,10.0,23.0,478.0,55.0,1.0,93464,8.0,211.0,13.0,256.0,,18.0,9.0,62.0,2.0,3.0,8.0,1.0,13.0,11.0,2.0,76.0,381.0,20.0,6.0,32.0,93.0,,0.0,2.0,4.0,3.0,1.0,1.0,,1.0,4.0,1.0,2.0,,58.6,21.0,2.0,8.0,8.0,47.0,1.0,512.0,13.0,11.0,13.0,23.0,284.0,17.0,11.0,25.0,81.0,32.0,2.0,29.0,12.0,,19.0,2.0,17.0,2.0,7.0,,2.0,6.0,3.0,3.0,,4.0,8.0,8.0,,6.0,1.0,1.0,,,2.0,2.0,1.0,,3.0,4.0,9.0,11.0,5.0,9.0,,1.0,1.0,,,3.0,2.0,,,8.0,1.0,,,,,3.0,,,,,,1.0,,,,,,,,2.0,5.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
21,755511,2015-01-10 15:00:00,"Swansea.com Stadium, Swansea",20745,Home,Swansea City,West Ham United,1,1,D,0,1,0,0,60.0,,3.0,26.0,35.0,12.0,6.0,3.0,,2.0,181.0,,5.0,11.0,1.0,1.0,16.0,3.0,175.0,132.0,40.0,19.0,9.0,20.0,,18.0,9.0,1.0,35.0,28.0,29.0,305.0,,,0.0,178.0,9.0,3.0,,,,2.0,54.0,105.0,11.0,96.0,1.0,14.0,16.0,6.0,132.0,6.0,176.0,822.0,13.0,1.0,15.0,525.0,23.0,1.0,20.0,,0.0,2.0,19.0,611.0,64.0,3.0,96305,6.0,236.0,8.0,253.0,6.0,16.0,8.0,52.0,3.0,2.0,6.0,,5.0,5.0,2.0,49.0,536.0,7.0,7.0,10.0,83.0,,0.0,1.0,5.0,1.0,1.0,1.0,1.0,0.0,3.0,,,,60.8,18.0,2.0,6.0,11.0,62.0,2.0,628.0,15.0,5.0,13.0,22.0,393.0,10.0,27.0,9.0,130.0,29.0,7.0,20.0,13.0,1.0,15.0,3.0,24.0,7.0,5.0,,,2.0,2.0,,2.0,1.0,1.0,4.0,,2.0,1.0,1.0,2.0,,2.0,,,1.0,3.0,2.0,4.0,5.0,2.0,4.0,,,,2.0,2.0,,,,,5.0,,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,,1.0,2.0,,2.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,
22,755520,2015-01-17 15:00:00,"Swansea.com Stadium, Swansea",20785,Home,Swansea City,Chelsea,0,5,L,0,4,0,0,60.0,,4.0,21.0,29.0,10.0,1.0,6.0,,,172.0,,,7.0,,1.0,8.0,,118.0,103.0,53.0,11.0,4.0,11.0,,7.0,14.0,,29.0,27.0,23.0,179.0,,,0.0,86.0,9.0,4.0,,,2.0,2.0,33.0,61.0,3.0,93.0,1.0,6.0,12.0,3.0,103.0,11.0,113.0,675.0,8.0,4.0,22.0,406.0,29.0,8.0,19.0,,0.0,2.0,12.0,465.0,37.0,,96305,1.0,251.0,1.0,275.0,5.0,12.0,8.0,49.0,,,1.0,,12.0,10.0,6.0,37.0,430.0,13.0,18.0,12.0,64.0,,0.0,3.0,2.0,2.0,,5.0,1.0,0.0,,,,,45.4,9.0,2.0,1.0,5.0,50.0,2.0,496.0,22.0,6.0,14.0,9.0,228.0,10.0,23.0,13.0,58.0,22.0,2.0,19.0,21.0,4.0,11.0,3.0,13.0,2.0,9.0,1.0,,1.0,,,1.0,,2.0,1.0,,5.0,,,2.0,1.0,,,,,,,1.0,6.0,,1.0,,,,2.0,,1.0,,,,5.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,
23,755529,2015-02-01 16:00:00,"St. Mary's Stadium, Southampton",30943,Away,Swansea City,Southampton,1,0,W,0,0,0,1,59.0,,2.0,43.0,45.0,4.0,2.0,4.0,,,168.0,,1.0,6.0,1.0,1.0,5.0,1.0,78.0,128.0,39.0,6.0,2.0,22.0,1.0,3.0,10.0,,45.0,18.0,33.0,129.0,,1.0,0.0,54.0,9.0,3.0,1.0,,1.0,4.0,18.0,71.0,2.0,93.0,9.0,3.0,22.0,2.0,128.0,9.0,63.0,607.0,3.0,6.0,30.0,291.0,21.0,11.0,14.0,1.0,1.0,7.0,19.0,375.0,36.0,,96305,2.0,183.0,,214.0,6.0,22.0,11.0,52.0,1.0,3.0,4.0,1.0,14.0,6.0,10.0,74.0,311.0,10.0,10.0,29.0,85.0,1.0,0.0,1.0,9.0,4.0,,,2.0,0.0,1.0,,,,36.8,15.0,1.0,4.0,2.0,53.0,4.0,402.0,30.0,7.0,16.0,7.0,191.0,3.0,13.0,10.0,28.0,23.0,8.0,14.0,13.0,,4.0,3.0,12.0,8.0,8.0,1.0,,,,,,,1.0,,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,3.0,2.0,,,,,,1.0,,,,1.0,3.0,1.0,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,2.0,,,,,,
24,755540,2015-02-07 15:00:00,"Swansea.com Stadium, Swansea",20355,Home,Swansea City,Sunderland,1,1,D,0,1,0,0,59.0,,,22.0,13.0,8.0,4.0,,,5.0,182.0,1.0,5.0,7.0,1.0,4.0,11.0,7.0,131.0,142.0,49.0,16.0,2.0,11.0,1.0,31.0,11.0,4.0,13.0,18.0,26.0,246.0,,,0.0,156.0,11.0,,1.0,2.0,2.0,,62.0,92.0,7.0,85.0,3.0,26.0,14.0,7.0,142.0,,128.0,716.0,10.0,1.0,25.0,426.0,25.0,1.0,10.0,1.0,3.0,1.0,16.0,505.0,52.0,1.0,96305,4.0,202.0,17.0,231.0,7.0,14.0,7.0,45.0,2.0,1.0,4.0,1.0,13.0,4.0,3.0,43.0,443.0,12.0,8.0,8.0,67.0,,0.0,3.0,1.0,,1.0,1.0,,0.0,3.0,1.0,1.0,,59.6,15.0,,4.0,3.0,53.0,,526.0,25.0,4.0,11.0,17.0,326.0,11.0,15.0,15.0,125.0,30.0,1.0,10.0,16.0,,11.0,3.0,18.0,1.0,7.0,,1.0,1.0,2.0,1.0,,3.0,2.0,5.0,,3.0,3.0,,,,2.0,1.0,,,,1.0,7.0,6.0,3.0,7.0,1.0,,3.0,1.0,,3.0,1.0,1.0,,4.0,1.0,,,,,,,,1.0,,,1.0,,,,,,,,2.0,1.0,,2.0,,2.0,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,
25,755549,2015-02-11 20:00:00,"The Hawthorns, West Bromwich",23516,Away,Swansea City,West Bromwich Albion,0,2,L,0,0,0,0,61.0,,1.0,29.0,24.0,5.0,1.0,2.0,,3.0,188.0,,4.0,11.0,,2.0,7.0,3.0,135.0,125.0,46.0,10.0,,21.0,,21.0,8.0,2.0,24.0,19.0,40.0,258.0,,,0.0,134.0,12.0,1.0,,1.0,1.0,1.0,62.0,88.0,3.0,80.0,2.0,17.0,7.0,9.0,125.0,6.0,149.0,738.0,6.0,6.0,9.0,468.0,25.0,4.0,12.0,,1.0,4.0,21.0,534.0,61.0,,96305,5.0,226.0,7.0,240.0,6.0,7.0,7.0,62.0,,1.0,5.0,,12.0,6.0,2.0,54.0,480.0,11.0,10.0,11.0,78.0,2.0,0.0,1.0,5.0,1.0,,2.0,4.0,0.0,3.0,,,,64.4,21.0,2.0,6.0,1.0,52.0,1.0,552.0,9.0,11.0,21.0,18.0,333.0,8.0,17.0,13.0,100.0,28.0,3.0,12.0,12.0,2.0,7.0,2.0,21.0,3.0,2.0,,,1.0,1.0,,,2.0,1.0,4.0,,3.0,,,,,,,,1.0,1.0,1.0,4.0,6.0,3.0,4.0,,,,1.0,,2.0,,,1.0,4.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
26,755561,2015-02-21 15:00:00,"Swansea.com Stadium, Swansea",20809,Home,Swansea City,Manchester United,2,1,W,1,1,0,0,56.0,1.0,,27.0,32.0,1.0,3.0,2.0,1.0,3.0,165.0,,6.0,4.0,2.0,,10.0,6.0,57.0,147.0,44.0,11.0,1.0,24.0,2.0,13.0,10.0,,32.0,9.0,32.0,111.0,,,0.0,81.0,6.0,1.0,1.0,1.0,,8.0,45.0,61.0,8.0,50.0,2.0,10.0,21.0,6.0,147.0,12.0,61.0,522.0,7.0,10.0,13.0,212.0,20.0,7.0,17.0,2.0,2.0,6.0,19.0,302.0,45.0,,80789,7.0,120.0,4.0,150.0,4.0,21.0,8.0,49.0,3.0,3.0,6.0,2.0,12.0,6.0,2.0,68.0,225.0,15.0,10.0,27.0,76.0,2.0,0.0,2.0,10.0,2.0,2.0,1.0,3.0,0.0,4.0,1.0,,1.0,36.0,15.0,2.0,6.0,3.0,37.0,8.0,333.0,13.0,6.0,21.0,9.0,196.0,4.0,6.0,17.0,49.0,21.0,7.0,17.0,12.0,1.0,7.0,2.0,8.0,7.0,10.0,,,2.0,4.0,2.0,,2.0,1.0,3.0,,,1.0,1.0,,2.0,1.0,1.0,,1.0,1.0,3.0,4.0,2.0,2.0,4.0,,,,,3.0,,,,,2.0,,,,,,2.0,,,,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,
