matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside
1059919,22,2020-01-10 20:00:00,"Bramall Lane, Sheffield",30124.0,Home,Sheff Utd,West Ham,1,0,W,0,0,0,0,1.0,13.0,3.0,6.0,4.0,4.0,1.0,3.0,,1.0,10.0,5.0,32.0,72.0,437.0,306.0,46.9,16.0,19.0,14.0,8.0,11.0,11.0,9.0,,2.0,,18.0,10.0,180.0,2.0,,1.0,73.0,82.0,40.0,37.0,7.0,7.0,1.0,11.0,5.0,0.0,0.0,,,3.0
1059922,23,2020-01-18 15:00:00,"Emirates Stadium, London",60310.0,Away,Sheff Utd,Arsenal,1,1,D,0,1,0,0,1.0,12.0,4.0,6.0,2.0,2.0,,2.0,,,6.0,3.0,24.0,68.0,353.0,246.0,39.0,26.0,20.0,12.0,18.0,17.0,17.0,18.0,2.0,,,12.0,7.0,152.0,3.0,1.0,,64.0,55.0,28.0,22.0,5.0,5.0,1.0,13.0,8.0,0.0,0.0,,,
1059937,24,2020-01-21 19:30:00,"Bramall Lane, Sheffield",31285.0,Home,Sheff Utd,Man City,0,1,L,0,0,0,0,,4.0,1.0,2.0,1.0,1.0,,1.0,,,3.0,1.0,26.0,69.0,286.0,187.0,32.7,20.0,13.0,9.0,10.0,23.0,23.0,14.0,4.0,,,10.0,6.0,143.0,4.0,1.0,,57.0,50.0,23.0,21.0,5.0,5.0,1.0,13.0,13.0,0.0,0.0,,,4.0
1059944,25,2020-02-01 15:00:00,"Selhurst Park, London",25170.0,Away,Sheff Utd,Crystal Palace,1,0,W,0,0,0,0,1.0,10.0,3.0,3.0,4.0,1.0,,1.0,,,7.0,6.0,22.0,59.0,337.0,240.0,39.3,17.0,20.0,9.0,13.0,28.0,28.0,14.0,5.0,,,5.0,9.0,149.0,3.0,,1.0,64.0,64.0,24.0,31.0,5.0,5.0,1.0,15.0,9.0,0.0,0.0,,,
1059959,26,2020-02-09 14:00:00,"Bramall Lane, Sheffield",30361.0,Home,Sheff Utd,Bournemouth,2,1,W,1,1,0,0,2.0,16.0,6.0,4.0,6.0,1.0,2.0,,,1.0,10.0,7.0,47.0,75.0,449.0,320.0,54.3,40.0,17.0,5.0,7.0,20.0,20.0,20.0,1.0,1.0,,5.0,7.0,188.0,1.0,1.0,,78.0,53.0,41.0,28.0,8.0,8.0,,10.0,8.0,0.0,0.0,,,
1059969,27,2020-02-22 15:00:00,"Bramall Lane, Sheffield",31888.0,Home,Sheff Utd,Brighton,1,1,D,1,1,0,0,1.0,13.0,3.0,5.0,5.0,3.0,,3.0,,,10.0,7.0,54.0,77.0,532.0,411.0,66.3,36.0,15.0,10.0,8.0,7.0,7.0,24.0,3.0,1.0,,9.0,9.0,202.0,1.0,1.0,,58.0,51.0,22.0,24.0,12.0,12.0,,5.0,5.0,0.0,0.0,,,3.0
1059973,28,2020-06-17 18:00:00,"Villa Park, Birmingham",,Away,Sheff Utd,Aston Villa,0,0,D,0,0,0,0,,5.0,1.0,1.0,3.0,,,,,,3.0,2.0,22.0,82.0,483.0,384.0,54.9,11.0,18.0,13.0,6.0,17.0,17.0,16.0,3.0,,,11.0,4.0,140.0,6.0,,1.0,67.0,60.0,33.0,28.0,4.0,4.0,,14.0,11.0,0.0,0.0,,,
1059989,29,2020-03-07 15:00:00,"Bramall Lane, Sheffield",31379.0,Home,Sheff Utd,Norwich,1,0,W,1,0,0,0,1.0,10.0,4.0,4.0,2.0,1.0,1.0,,,1.0,6.0,4.0,39.0,65.0,359.0,267.0,41.8,33.0,14.0,10.0,13.0,31.0,31.0,14.0,4.0,,,10.0,10.0,156.0,4.0,,1.0,53.0,63.0,20.0,23.0,10.0,10.0,,12.0,7.0,0.0,0.0,,,1.0
1059997,30,2020-06-21 14:00:00,"St. James' Park, Newcastle",,Away,Sheff Utd,Newcastle,0,3,L,0,0,1,0,,7.0,1.0,3.0,3.0,1.0,,1.0,,,7.0,4.0,23.0,75.0,509.0,424.0,54.0,13.0,16.0,9.0,4.0,12.0,12.0,21.0,2.0,,1.0,9.0,3.0,131.0,5.0,3.0,,53.0,50.0,22.0,20.0,4.0,4.0,,10.0,9.0,0.0,0.0,,,1.0
1060006,31,2020-06-24 18:00:00,"Old Trafford, Manchester",,Away,Sheff Utd,Man Utd,0,3,L,0,2,0,0,,4.0,1.0,1.0,2.0,,,,,,4.0,3.0,22.0,47.0,338.0,279.0,31.8,6.0,15.0,5.0,15.0,18.0,18.0,10.0,4.0,,,16.0,5.0,94.0,3.0,3.0,,37.0,45.0,8.0,16.0,5.0,5.0,,6.0,10.0,0.0,0.0,,,2.0
1060019,32,2020-07-02 18:00:00,"Bramall Lane, Sheffield",,Home,Sheff Utd,Spurs,3,1,W,1,0,0,0,3.0,7.0,5.0,2.0,,2.0,2.0,,,3.0,7.0,5.0,27.0,61.0,312.0,210.0,32.5,22.0,18.0,12.0,16.0,28.0,28.0,17.0,2.0,,,9.0,9.0,146.0,1.0,1.0,,61.0,54.0,24.0,19.0,1.0,1.0,,13.0,11.0,0.0,0.0,,,2.0
1060022,33,2020-07-05 12:00:00,"Turf Moor, Burnley",,Away,Sheff Utd,Burnley,1,1,D,0,1,0,0,1.0,10.0,3.0,3.0,4.0,2.0,1.0,2.0,,1.0,9.0,6.0,39.0,67.0,441.0,315.0,52.6,21.0,12.0,8.0,9.0,17.0,17.0,21.0,,,,5.0,7.0,185.0,3.0,1.0,,67.0,49.0,32.0,25.0,9.0,9.0,1.0,14.0,8.0,0.0,0.0,,,1.0
1060039,34,2020-07-08 18:00:00,"Bramall Lane, Sheffield",,Home,Sheff Utd,Wolves,1,0,W,0,0,0,0,1.0,7.0,3.0,3.0,1.0,,,,,1.0,6.0,3.0,45.0,75.0,382.0,277.0,42.8,28.0,16.0,8.0,5.0,15.0,15.0,17.0,,,,14.0,5.0,168.0,1.0,,1.0,58.0,54.0,27.0,22.0,6.0,6.0,,5.0,5.0,0.0,0.0,,,3.0
1060048,35,2020-07-11 17:30:00,"Bramall Lane, Sheffield",,Home,Sheff Utd,Chelsea,3,0,W,2,0,0,0,3.0,9.0,4.0,3.0,2.0,1.0,2.0,1.0,,1.0,6.0,4.0,18.0,59.0,251.0,159.0,23.7,20.0,7.0,3.0,11.0,37.0,37.0,6.0,4.0,,,6.0,5.0,124.0,4.0,,1.0,56.0,50.0,35.0,28.0,4.0,4.0,,8.0,5.0,0.0,0.0,,,1.0
1060057,36,2020-07-16 18:00:00,"King Power Stadium, Leicester",,Away,Sheff Utd,Leicester,0,2,L,0,1,0,0,,5.0,1.0,3.0,1.0,1.0,,1.0,,,4.0,2.0,24.0,64.0,401.0,301.0,45.6,12.0,10.0,6.0,11.0,24.0,24.0,10.0,4.0,,,7.0,14.0,157.0,5.0,2.0,,62.0,64.0,35.0,30.0,5.0,5.0,1.0,10.0,11.0,0.0,0.0,,,4.0
1060068,37,2020-07-20 18:00:00,"Bramall Lane, Sheffield",,Home,Sheff Utd,Everton,0,1,L,0,0,0,0,,8.0,,3.0,5.0,,,,,,6.0,4.0,44.0,74.0,468.0,369.0,50.6,20.0,17.0,11.0,10.0,12.0,12.0,17.0,,,,7.0,5.0,155.0,1.0,1.0,,68.0,60.0,24.0,32.0,7.0,7.0,1.0,11.0,19.0,0.0,0.0,,,1.0
1060080,38,2020-07-26 16:00:00,"St. Mary's Stadium, Southampton",,Away,Sheff Utd,Southampton,1,3,L,1,0,0,0,1.0,5.0,3.0,,2.0,3.0,1.0,2.0,,1.0,5.0,5.0,15.0,54.0,260.0,161.0,27.9,13.0,12.0,9.0,11.0,34.0,34.0,11.0,6.0,,,15.0,6.0,130.0,1.0,3.0,,46.0,56.0,19.0,15.0,1.0,1.0,,16.0,9.0,0.0,0.0,,,2.0
