gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,aerialLost,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,attIboxOwnGoal,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attLfGoal,attGoalLowCentre,accuratePullBack,attOboxBlocked,attIboxTarget,attMissLeft,freekickCross,bigChanceMissed,totalPullBack,attGoalHighLeft,attSvLowRight,overrun,accurateCrossNocorner,goalsConcededObox,handBall,midfielderGoals,crosses18yardplus,attHdPost,attSetpiece,punches,attSvHighCentre,attMissHighRight,attOboxMiss,attPostLeft,attHdTarget,attCmissHighLeft,clearanceOffLine,goalAssistSetplay,goalAssistDeadball,attGoalHighRight,attFreekickMiss,attHdGoal,attOneOnOne,attCmissLeft,attOboxPost,attCmissHighRight,foulThrowIn,accurateKeeperSweeper,attSvHighLeft,totalKeeperSweeper,accurateFreekickCross,penaltyConceded,attMissHigh,shieldBallOop,penaltyFaced,penGoalsConceded,penaltySave,shotFastbreak,totalFastbreak,contentiousDecision,errorLeadToShot,attFastbreak,errorLeadToGoal,cleanSheet,attGoalLowRight,attSvHighRight,attOboxGoal,ptsDroppedWinningPos,attCmissHigh,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,attGoalHighCentre,keeperGoals,subsGoals,expectedAssists,expectedGoalsFreekick,defenderGoals,attPenGoal,attObpGoal,attFreekickGoal,expectedGoals,penaltyWon,attObxdRight,attPostRight
27,1059971,2020-02-23 14:00:00,"Molineux Stadium, Wolverhampton",31046.0,Away,Norwich City,Wolverhampton Wanderers,0,3,L,0,2,0,0,1.0,,58.0,,2.0,,24.0,10.0,3.0,1.0,3.0,3.0,2.0,180.0,,10.0,,3.0,6.0,,4.0,142.0,152.0,44.0,,6.0,12.0,1.0,,,2.0,8.0,,9.0,1.0,10.0,1.0,5.0,34.0,216.0,0.0,129.0,6.0,2.0,1.0,1.0,92.0,81.0,5.0,115.0,1.0,,7.0,19.0,3.0,,152.0,,13.0,151.0,779.0,6.0,1.0,12.0,,8.0,481.0,21.0,,3.0,6.0,,3.0,4.0,1.0,27.0,568.0,61.0,,90440,1.0,283.0,4.0,,302.0,4.0,,19.0,6.0,59.0,,,,4.0,,20.0,6.0,6.0,50.0,499.0,11.0,9.0,,10.0,,61.0,0.0,,4.0,1.0,,,3.0,1.0,0.0,,1.0,60.2,26.0,,3.0,,4.0,1.0,40.0,1.0,1.0,588.0,8.0,20.0,11.0,1.0,21.0,,,294.0,4.0,5.0,7.0,86.0,30.0,,1.0,,6.0,16.0,3.0,6.0,3.0,22.0,1.0,6.0,1.0,,,1.0,1.0,3.0,,2.0,,1.0,,1.0,2.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
28,1059978,2020-02-28 20:00:00,"Carrow Road, Norwich",27010.0,Home,Norwich City,Leicester City,1,0,W,0,0,0,0,1.0,,56.0,,2.0,1.0,27.0,23.0,5.0,2.0,6.0,4.0,2.0,120.0,6.0,16.0,1.0,4.0,7.0,,6.0,95.0,136.0,62.0,2.0,11.0,13.0,2.0,,1.0,2.0,16.0,,17.0,1.0,23.0,4.0,4.0,33.0,128.0,0.0,89.0,13.0,1.0,,1.0,48.0,57.0,6.0,54.0,,,12.0,15.0,5.0,2.0,136.0,,11.0,75.0,560.0,6.0,8.0,21.0,,11.0,240.0,22.0,,3.0,11.0,1.0,1.0,7.0,1.0,20.0,316.0,37.0,,90440,2.0,138.0,5.0,,158.0,9.0,,15.0,13.0,49.0,,2.0,2.0,7.0,1.0,18.0,8.0,10.0,60.0,260.0,15.0,9.0,,16.0,1.0,58.0,0.0,,7.0,2.0,1.0,,,2.0,0.0,1.0,2.0,42.6,15.0,,8.0,1.0,7.0,4.0,31.0,6.0,1.0,344.0,11.0,10.0,16.0,1.0,21.0,1.0,,202.0,7.0,3.0,9.0,52.0,18.0,,1.0,,11.0,22.0,,7.0,3.0,21.0,1.0,7.0,6.0,1.0,,,3.0,4.0,1.0,3.0,,,,,2.0,5.0,,,,4.0,,1.0,,3.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,
29,1059989,2020-03-07 15:00:00,"Bramall Lane, Sheffield",31379.0,Away,Norwich City,Sheffield United,0,1,L,0,1,0,0,2.0,,56.0,,,,29.0,27.0,4.0,2.0,8.0,2.0,2.0,168.0,4.0,10.0,,,7.0,,5.0,135.0,156.0,63.0,,12.0,20.0,,1.0,,1.0,22.0,1.0,11.0,,27.0,5.0,8.0,34.0,157.0,0.0,97.0,8.0,,1.0,3.0,58.0,58.0,5.0,88.0,2.0,,17.0,14.0,4.0,,156.0,1.0,9.0,128.0,736.0,5.0,10.0,18.0,2.0,8.0,405.0,27.0,,8.0,18.0,,0.0,3.0,2.0,32.0,499.0,48.0,,83428,3.0,269.0,10.0,,298.0,3.0,,14.0,5.0,53.0,,1.0,3.0,9.0,,21.0,1.0,5.0,73.0,422.0,12.0,12.0,2.0,35.0,6.0,79.0,0.0,,10.0,3.0,,,1.0,3.0,0.0,,3.0,58.2,30.0,2.0,1.0,1.0,9.0,3.0,37.0,5.0,3.0,519.0,8.0,13.0,13.0,4.0,25.0,2.0,2.0,243.0,7.0,8.0,23.0,58.0,19.0,,2.0,,18.0,18.0,1.0,5.0,3.0,11.0,2.0,3.0,5.0,,,,3.0,5.0,3.0,,3.0,1.0,,2.0,1.0,2.0,,1.0,,7.0,,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
30,1059998,2020-06-19 18:00:00,"Carrow Road, Norwich",,Home,Norwich City,Southampton,0,3,L,0,0,0,0,1.0,,68.0,,2.0,3.0,23.0,15.0,4.0,4.0,5.0,6.0,,158.0,2.0,10.0,,3.0,8.0,2.0,1.0,94.0,177.0,56.0,,9.0,23.0,,,,1.0,15.0,,10.0,1.0,15.0,9.0,7.0,33.0,110.0,0.0,96.0,9.0,2.0,,1.0,57.0,42.0,5.0,62.0,,2.0,6.0,20.0,4.0,,177.0,1.0,14.0,92.0,616.0,7.0,6.0,14.0,,5.0,269.0,31.0,,8.0,8.0,,1.0,8.0,3.0,19.0,376.0,47.0,,90440,5.0,181.0,3.0,5.0,225.0,3.0,,20.0,10.0,72.0,,,3.0,8.0,,13.0,8.0,6.0,76.0,289.0,15.0,18.0,1.0,37.0,2.0,71.0,0.0,,7.0,4.0,,,3.0,2.0,0.0,,1.0,55.0,13.0,1.0,6.0,,8.0,5.0,24.0,9.0,1.0,406.0,5.0,12.0,10.0,3.0,21.0,1.0,2.0,196.0,3.0,6.0,13.0,55.0,19.0,,3.0,,8.0,19.0,2.0,6.0,5.0,22.0,3.0,8.0,9.0,,,,2.0,,1.0,2.0,1.0,,,,1.0,1.0,1.0,2.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
31,1060008,2020-06-24 18:00:00,"Carrow Road, Norwich",,Home,Norwich City,Everton,0,1,L,0,0,0,0,,,56.0,,3.0,2.0,20.0,24.0,6.0,1.0,3.0,4.0,1.0,153.0,4.0,9.0,,2.0,6.0,,1.0,98.0,139.0,51.0,1.0,9.0,26.0,1.0,,,,19.0,,5.0,1.0,24.0,6.0,8.0,40.0,149.0,0.0,94.0,8.0,1.0,,,58.0,50.0,4.0,70.0,1.0,1.0,13.0,15.0,6.0,1.0,139.0,,7.0,111.0,629.0,5.0,2.0,17.0,1.0,9.0,334.0,21.0,,5.0,7.0,,0.0,4.0,2.0,24.0,414.0,62.0,,90440,2.0,200.0,7.0,5.0,220.0,4.0,,15.0,5.0,63.0,,,1.0,3.0,,9.0,5.0,4.0,67.0,345.0,13.0,11.0,1.0,25.0,1.0,61.0,0.0,,5.0,1.0,,,1.0,1.0,0.0,,1.0,46.6,19.0,1.0,2.0,,3.0,6.0,29.0,6.0,,432.0,9.0,11.0,10.0,2.0,31.0,1.0,1.0,231.0,7.0,8.0,15.0,50.0,28.0,,,,7.0,15.0,1.0,7.0,5.0,18.0,,11.0,6.0,,,,4.0,,1.0,4.0,,,,,2.0,3.0,,1.0,,2.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
32,1060013,2020-07-01 18:00:00,"Emirates Stadium, London",,Away,Norwich City,Arsenal,0,4,L,0,2,0,0,2.0,,48.0,,1.0,,19.0,18.0,8.0,2.0,,4.0,,138.0,,9.0,,2.0,6.0,,2.0,101.0,126.0,45.0,1.0,8.0,19.0,,1.0,,1.0,5.0,,15.0,2.0,18.0,2.0,6.0,30.0,128.0,0.0,83.0,10.0,1.0,,,56.0,36.0,3.0,91.0,1.0,,3.0,18.0,8.0,1.0,126.0,,8.0,115.0,601.0,6.0,2.0,4.0,1.0,4.0,334.0,22.0,,6.0,7.0,,4.0,1.0,3.0,18.0,421.0,34.0,,90440,,226.0,2.0,2.0,261.0,6.0,,18.0,10.0,47.0,,,2.0,7.0,,14.0,5.0,7.0,55.0,354.0,10.0,7.0,,20.0,,49.0,0.0,1.0,6.0,3.0,,,4.0,1.0,0.0,,,48.4,16.0,,5.0,,7.0,3.0,20.0,2.0,,445.0,4.0,9.0,10.0,3.0,9.0,,,189.0,6.0,4.0,7.0,55.0,12.0,,2.0,,7.0,19.0,3.0,7.0,5.0,12.0,2.0,9.0,2.0,,,,3.0,,1.0,,,,,,,,1.0,,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,
33,1060028,2020-07-04 12:30:00,"Carrow Road, Norwich",,Home,Norwich City,Brighton and Hove Albion,0,1,L,0,1,0,0,,,59.0,,1.0,3.0,24.0,19.0,5.0,1.0,7.0,1.0,1.0,193.0,2.0,9.0,,3.0,11.0,,1.0,145.0,127.0,46.0,,12.0,11.0,2.0,1.0,,1.0,17.0,1.0,10.0,1.0,19.0,,9.0,34.0,225.0,0.0,140.0,11.0,,,,88.0,60.0,7.0,99.0,,1.0,17.0,20.0,5.0,,127.0,,6.0,150.0,763.0,11.0,4.0,18.0,1.0,3.0,489.0,28.0,,2.0,10.0,,2.0,3.0,4.0,31.0,567.0,59.0,,90440,2.0,283.0,9.0,,309.0,6.0,,20.0,6.0,38.0,,1.0,4.0,2.0,,14.0,2.0,6.0,46.0,506.0,12.0,6.0,,14.0,,56.0,0.0,,2.0,,,,1.0,1.0,0.0,,2.0,58.0,30.0,1.0,2.0,3.0,2.0,7.0,40.0,,,587.0,3.0,9.0,19.0,4.0,21.0,,3.0,295.0,9.0,8.0,11.0,104.0,27.0,,2.0,,10.0,14.0,1.0,12.0,4.0,11.0,2.0,8.0,,,,,4.0,,1.0,1.0,,,,,1.0,2.0,,1.0,,7.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
34,1060040,2020-07-07 18:00:00,"Vicarage Road, Watford",,Away,Norwich City,Watford,1,2,L,1,1,0,0,,,53.0,,,2.0,23.0,30.0,4.0,4.0,8.0,2.0,2.0,156.0,2.0,16.0,1.0,2.0,7.0,1.0,3.0,136.0,135.0,58.0,1.0,12.0,30.0,2.0,,1.0,1.0,13.0,,7.0,1.0,30.0,3.0,7.0,35.0,183.0,0.0,123.0,15.0,1.0,,,52.0,49.0,3.0,76.0,,3.0,10.0,17.0,4.0,1.0,135.0,2.0,7.0,136.0,705.0,5.0,1.0,12.0,,11.0,401.0,27.0,1.0,3.0,16.0,1.0,4.0,,4.0,16.0,483.0,50.0,,90440,4.0,236.0,5.0,,272.0,6.0,,17.0,8.0,70.0,,2.0,,5.0,1.0,13.0,2.0,6.0,52.0,417.0,11.0,5.0,1.0,17.0,2.0,58.0,0.0,1.0,4.0,2.0,1.0,,2.0,,0.0,1.0,3.0,56.5,16.0,3.0,2.0,1.0,5.0,3.0,38.0,3.0,,504.0,11.0,10.0,17.0,6.0,23.0,,4.0,245.0,5.0,5.0,13.0,88.0,18.0,,3.0,,16.0,19.0,2.0,8.0,4.0,27.0,3.0,8.0,3.0,1.0,,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,2.0,2.0,,,1.0,4.0,,1.0,1.0,,,2.0,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,
35,1060047,2020-07-11 12:30:00,"Carrow Road, Norwich",,Home,Norwich City,West Ham United,0,4,L,0,2,0,0,1.0,,48.0,,1.0,1.0,27.0,16.0,6.0,5.0,5.0,3.0,1.0,167.0,2.0,2.0,,1.0,9.0,1.0,2.0,143.0,111.0,34.0,1.0,11.0,16.0,,,,1.0,11.0,,5.0,1.0,16.0,1.0,8.0,31.0,165.0,0.0,87.0,9.0,3.0,1.0,1.0,53.0,50.0,4.0,84.0,,2.0,10.0,17.0,6.0,1.0,111.0,,15.0,148.0,695.0,9.0,1.0,13.0,,16.0,449.0,25.0,,1.0,9.0,,1.0,,5.0,16.0,519.0,43.0,,90440,5.0,308.0,9.0,,332.0,6.0,,17.0,12.0,49.0,,,1.0,3.0,,15.0,4.0,12.0,55.0,471.0,6.0,13.0,,12.0,,64.0,0.0,,6.0,2.0,,,4.0,,0.0,,2.0,52.5,15.0,2.0,,,3.0,3.0,42.0,1.0,1.0,542.0,16.0,8.0,13.0,6.0,18.0,,3.0,221.0,4.0,6.0,11.0,62.0,20.0,,1.0,,9.0,16.0,4.0,10.0,5.0,6.0,1.0,8.0,1.0,,,,2.0,1.0,2.0,1.0,,,,,2.0,2.0,,1.0,,,,,,,,3.0,,,,,,,,1.0,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
36,1060054,2020-07-14 20:15:00,"Stamford Bridge, London",,Away,Norwich City,Chelsea,0,1,L,0,1,0,0,,,57.0,,1.0,1.0,16.0,21.0,1.0,2.0,1.0,5.0,,153.0,1.0,12.0,,1.0,2.0,,,76.0,129.0,51.0,,2.0,20.0,,,,,8.0,,12.0,,21.0,1.0,10.0,45.0,79.0,0.0,43.0,9.0,2.0,,,46.0,27.0,2.0,63.0,3.0,,7.0,17.0,1.0,,129.0,,18.0,82.0,540.0,2.0,8.0,4.0,,13.0,266.0,26.0,,1.0,5.0,,2.0,4.0,,14.0,345.0,25.0,,90440,,209.0,6.0,,249.0,8.0,,17.0,16.0,49.0,,,1.0,4.0,,24.0,4.0,12.0,51.0,287.0,9.0,12.0,,12.0,,57.0,0.0,,8.0,4.0,,,1.0,3.0,0.0,,,32.3,13.0,,2.0,1.0,4.0,2.0,28.0,1.0,,374.0,13.0,6.0,17.0,,7.0,,,133.0,,9.0,15.0,23.0,22.0,,4.0,,5.0,15.0,1.0,2.0,5.0,14.0,4.0,9.0,1.0,,,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
37,1060067,2020-07-18 17:30:00,"Carrow Road, Norwich",,Home,Norwich City,Burnley,0,2,L,0,1,2,0,,,49.0,,4.0,2.0,30.0,23.0,1.0,1.0,5.0,7.0,1.0,139.0,3.0,7.0,,2.0,4.0,,2.0,78.0,123.0,51.0,,6.0,32.0,1.0,,,2.0,11.0,,4.0,1.0,23.0,6.0,7.0,37.0,96.0,0.0,52.0,9.0,3.0,,1.0,71.0,24.0,2.0,71.0,3.0,2.0,5.0,11.0,1.0,,123.0,,15.0,66.0,516.0,1.0,6.0,7.0,,8.0,248.0,30.0,,7.0,14.0,,0.0,8.0,2.0,12.0,318.0,34.0,,89470,4.0,174.0,2.0,1.0,206.0,2.0,,11.0,16.0,54.0,1.0,,1.0,8.0,,12.0,9.0,9.0,80.0,267.0,15.0,4.0,3.0,28.0,5.0,65.0,0.0,,8.0,3.0,,,2.0,2.0,2.0,,3.0,42.3,12.0,2.0,,,8.0,2.0,26.0,6.0,1.0,354.0,8.0,7.0,15.0,2.0,12.0,3.0,2.0,159.0,2.0,5.0,26.0,28.0,8.0,,7.0,1.0,14.0,6.0,2.0,1.0,4.0,13.0,7.0,2.0,6.0,,,,,1.0,,2.0,1.0,,,,2.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
38,1060078,2020-07-26 16:00:00,"Etihad Stadium, Manchester",,Away,Norwich City,Manchester City,0,5,L,0,2,0,0,1.0,,39.0,,1.0,,26.0,26.0,3.0,1.0,2.0,4.0,3.0,108.0,,4.0,,1.0,4.0,,4.0,47.0,105.0,31.0,,5.0,9.0,,,,4.0,3.0,,5.0,2.0,26.0,,4.0,40.0,62.0,0.0,52.0,4.0,2.0,,,26.0,29.0,4.0,55.0,7.0,,3.0,12.0,3.0,,105.0,2.0,24.0,58.0,415.0,4.0,4.0,10.0,,14.0,167.0,21.0,,7.0,12.0,,1.0,10.0,,13.0,231.0,28.0,1.0,89470,2.0,130.0,,,162.0,3.0,,12.0,23.0,44.0,,2.0,2.0,5.0,,10.0,7.0,16.0,63.0,192.0,6.0,19.0,,22.0,,43.0,0.0,,9.0,4.0,,,5.0,,0.0,,,26.9,12.0,,,,6.0,,19.0,,,268.0,14.0,10.0,16.0,1.0,9.0,,,109.0,4.0,3.0,7.0,29.0,10.0,,2.0,,12.0,14.0,4.0,5.0,5.0,6.0,2.0,5.0,,,,,,2.0,,1.0,2.0,1.0,,,,,1.0,,,2.0,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
