gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attCmissHighLeft,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,longPassOwnToOpp,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attCmissRight,attMissRight,attHdTarget,bigChanceMissed,totalPullBack,attAssistSetplay,attSvLowRight,shieldBallOop,attHdTotal,attHdMiss,attIboxMiss,errorLeadToGoal,shotFastbreak,attBxRight,goalFastbreak,attMissHighRight,cleanSheet,penaltyWon,accurateFreekickCross,attSetpiece,defenderGoals,attPenGoal,attFastbreak,handBall,attObxLeft,postScoringAtt,attIboxPost,hitWoodwork,punches,attPostRight,attSvHighRight,attObxdLeft,goalsConcededObox,attFreekickTotal,attGoalHighRight,attOboxGoal,freekickTotal,contentiousDecision,attFreekickGoal,attFreekickTarget,attPostHigh,foulThrowIn,penaltyConceded,penaltyFaced,penGoalsConceded,sixYardBlock,ownGoals,attIboxOwnGoal,attCmissHigh,attCmissLeft,clearanceOffLine,attFreekickMiss,attGoalLowCentre,accuratePullBack,attHdPost,attHdGoal,attGoalHighCentre,goalAssistSetplay,goalAssistDeadball,secondYellow,attemptsIbox,attemptsObox,touchesInOppBox,attCorner,attPostLeft,attObpGoal,attSvHighLeft,attOboxPost,attGoalHighLeft,penaltySave,attCmissHighRight,attLgCentre,attPenTarget
11,755404,2014-11-08 12:45:00,"Anfield, Liverpool",44698,Home,Liverpool,Chelsea,1,2,L,1,1,0,0,1.0,,53.0,,1.0,,42.0,29.0,7.0,4.0,3.0,,2.0,175.0,6.0,13.0,1.0,,10.0,4.0,133.0,144.0,54.0,12.0,4.0,9.0,1.0,1.0,1.0,1.0,,27.0,10.0,2.0,29.0,5.0,9.0,44.0,,177.0,0.0,147.0,9.0,2.0,1.0,1.0,1.0,1.0,,62.0,43.0,9.0,79.0,1.0,23.0,14.0,13.0,,144.0,,12.0,137.0,749.0,8.0,7.0,15.0,424.0,22.0,,7.0,16.0,1.0,1.0,2.0,7.0,1.0,27.0,498.0,64.0,,4.0,9631,4.0,277.0,9.0,289.0,5.0,1.0,14.0,9.0,53.0,2.0,6.0,5.0,,1.0,11.0,3.0,9.0,1.0,69.0,448.0,12.0,13.0,20.0,68.0,0.0,3.0,8.0,3.0,,2.0,2.0,0.0,5.0,,58.4,22.0,4.0,1.0,1.0,5.0,7.0,52.0,5.0,,524.0,15.0,11.0,24.0,1.0,21.0,2.0,262.0,7.0,7.0,14.0,96.0,20.0,,4.0,16.0,16.0,2.0,9.0,3.0,24.0,4.0,8.0,5.0,3.0,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,755416,2014-11-23 13:30:00,"Selhurst Park, London",24862,Away,Liverpool,Crystal Palace,1,3,L,1,1,0,0,,1.0,50.0,1.0,,2.0,29.0,45.0,5.0,1.0,2.0,,,193.0,3.0,5.0,1.0,3.0,9.0,1.0,124.0,110.0,58.0,12.0,1.0,19.0,,,1.0,,2.0,15.0,9.0,,45.0,3.0,10.0,25.0,,212.0,0.0,134.0,10.0,1.0,,,,,2.0,52.0,36.0,3.0,81.0,,12.0,9.0,6.0,4.0,110.0,1.0,6.0,129.0,730.0,7.0,10.0,13.0,438.0,16.0,,3.0,32.0,1.0,,2.0,6.0,6.0,19.0,493.0,64.0,1.0,1.0,99323,4.0,255.0,6.0,260.0,3.0,1.0,9.0,8.0,51.0,2.0,1.0,10.0,,1.0,11.0,9.0,4.0,4.0,50.0,464.0,21.0,7.0,11.0,86.0,0.0,1.0,4.0,,1.0,3.0,4.0,0.0,1.0,1.0,63.6,14.0,1.0,1.0,,10.0,2.0,63.0,3.0,2.0,527.0,13.0,9.0,14.0,9.0,25.0,2.0,282.0,9.0,9.0,24.0,97.0,22.0,1.0,2.0,32.0,10.0,2.0,7.0,2.0,13.0,2.0,6.0,3.0,1.0,,2.0,,,,1.0,,,2.0,2.0,5.0,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,1.0,2.0,,,2.0,1.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
13,755424,2014-11-29 15:00:00,"Anfield, Liverpool",44735,Home,Liverpool,Stoke City,1,0,W,0,0,0,0,,1.0,67.0,,,2.0,26.0,36.0,7.0,4.0,3.0,,2.0,185.0,4.0,9.0,1.0,5.0,8.0,3.0,94.0,155.0,62.0,16.0,5.0,23.0,2.0,1.0,,2.0,,22.0,18.0,,36.0,4.0,8.0,30.0,,177.0,0.0,156.0,11.0,2.0,1.0,,,2.0,1.0,40.0,63.0,5.0,57.0,2.0,18.0,13.0,6.0,2.0,155.0,,6.0,108.0,651.0,8.0,7.0,13.0,330.0,28.0,,7.0,20.0,,1.0,0.0,6.0,3.0,24.0,421.0,71.0,,,99323,6.0,169.0,10.0,182.0,3.0,,13.0,10.0,57.0,3.0,,,,1.0,15.0,7.0,4.0,3.0,64.0,342.0,7.0,6.0,18.0,91.0,0.0,1.0,5.0,2.0,1.0,,2.0,0.0,3.0,,47.7,22.0,7.0,2.0,,,6.0,54.0,5.0,1.0,444.0,13.0,11.0,13.0,7.0,28.0,1.0,284.0,10.0,8.0,25.0,92.0,27.0,,2.0,20.0,21.0,,12.0,2.0,15.0,2.0,4.0,5.0,1.0,2.0,3.0,,,2.0,,,2.0,2.0,,4.0,,1.0,,,,1.0,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14,755436,2014-12-02 19:45:00,"King Power Stadium, Leicester",32000,Away,Liverpool,Leicester City,3,1,W,1,1,0,1,,2.0,70.0,,1.0,1.0,29.0,56.0,5.0,3.0,3.0,1.0,,165.0,2.0,10.0,3.0,4.0,6.0,3.0,103.0,147.0,79.0,11.0,2.0,34.0,,,1.0,,,16.0,23.0,,56.0,3.0,15.0,30.0,1.0,142.0,0.0,84.0,10.0,2.0,5.0,3.0,,4.0,,27.0,65.0,4.0,76.0,1.0,13.0,18.0,4.0,3.0,147.0,2.0,8.0,91.0,679.0,2.0,6.0,13.0,330.0,29.0,,5.0,35.0,1.0,,2.0,7.0,1.0,17.0,409.0,47.0,1.0,2.0,99323,4.0,205.0,5.0,228.0,7.0,2.0,18.0,9.0,69.0,2.0,6.0,,,2.0,13.0,13.0,4.0,1.0,64.0,345.0,11.0,10.0,22.0,75.0,0.0,2.0,7.0,3.0,3.0,1.0,2.0,0.0,,1.0,53.4,12.0,3.0,2.0,,,5.0,34.0,4.0,,435.0,13.0,12.0,12.0,3.0,15.0,2.0,223.0,7.0,14.0,30.0,50.0,30.0,,6.0,35.0,29.0,1.0,7.0,3.0,15.0,6.0,13.0,4.0,3.0,1.0,1.0,,1.0,,2.0,,1.0,,,,,2.0,,,1.0,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,
15,755445,2014-12-06 15:00:00,"Anfield, Liverpool",44716,Home,Liverpool,Sunderland,0,0,D,0,0,0,0,,,56.0,,,1.0,23.0,32.0,9.0,3.0,1.0,,2.0,167.0,4.0,17.0,,4.0,13.0,2.0,100.0,142.0,70.0,15.0,4.0,23.0,1.0,,,1.0,2.0,28.0,19.0,1.0,32.0,3.0,13.0,22.0,,257.0,0.0,196.0,12.0,1.0,1.0,,1.0,1.0,1.0,82.0,49.0,9.0,64.0,,25.0,9.0,9.0,4.0,142.0,,3.0,126.0,685.0,13.0,7.0,20.0,354.0,17.0,,3.0,18.0,,,1.0,2.0,4.0,21.0,431.0,68.0,,,99323,3.0,125.0,15.0,135.0,5.0,,9.0,8.0,58.0,1.0,1.0,2.0,,,13.0,4.0,7.0,1.0,36.0,378.0,14.0,6.0,12.0,64.0,0.0,3.0,7.0,,,,3.0,0.0,4.0,,53.2,17.0,8.0,1.0,,2.0,7.0,42.0,5.0,1.0,457.0,20.0,7.0,9.0,6.0,25.0,,350.0,11.0,11.0,16.0,151.0,28.0,,1.0,18.0,24.0,,14.0,2.0,28.0,1.0,6.0,5.0,3.0,,,,,1.0,,,1.0,1.0,1.0,2.0,,,2.0,,3.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
16,755459,2014-12-14 13:30:00,"Old Trafford, Manchester",75331,Away,Liverpool,Manchester United,0,3,L,0,2,0,0,3.0,,68.0,,,1.0,21.0,21.0,9.0,5.0,3.0,,5.0,154.0,5.0,17.0,,3.0,16.0,9.0,104.0,145.0,55.0,19.0,5.0,6.0,8.0,2.0,,5.0,2.0,15.0,14.0,1.0,21.0,6.0,7.0,33.0,1.0,159.0,0.0,127.0,14.0,2.0,1.0,,1.0,2.0,1.0,56.0,49.0,13.0,57.0,,9.0,19.0,1.0,3.0,145.0,2.0,7.0,101.0,637.0,16.0,10.0,11.0,318.0,30.0,1.0,4.0,12.0,,2.0,3.0,2.0,3.0,25.0,396.0,53.0,3.0,,99323,7.0,179.0,6.0,198.0,5.0,,19.0,4.0,63.0,6.0,2.0,9.0,,,6.0,4.0,2.0,1.0,45.0,333.0,13.0,10.0,13.0,67.0,0.0,2.0,2.0,2.0,,3.0,4.0,0.0,2.0,,45.3,18.0,7.0,,1.0,9.0,6.0,36.0,7.0,1.0,416.0,11.0,20.0,15.0,4.0,14.0,3.0,233.0,12.0,7.0,8.0,85.0,22.0,,2.0,12.0,18.0,3.0,13.0,3.0,32.0,2.0,10.0,7.0,1.0,,,1.0,3.0,2.0,,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,
17,755465,2014-12-21 16:00:00,"Anfield, Liverpool",44703,Home,Liverpool,Arsenal,2,2,D,1,1,1,0,,,70.0,1.0,1.0,1.0,35.0,23.0,12.0,4.0,1.0,,7.0,210.0,7.0,11.0,2.0,3.0,23.0,10.0,152.0,158.0,76.0,27.0,1.0,21.0,4.0,2.0,1.0,1.0,5.0,20.0,23.0,4.0,23.0,8.0,7.0,50.0,1.0,231.0,0.0,149.0,6.0,1.0,,,2.0,1.0,1.0,75.0,56.0,13.0,102.0,,12.0,19.0,,7.0,158.0,,4.0,146.0,835.0,17.0,5.0,10.0,494.0,25.0,,3.0,12.0,2.0,2.0,0.0,1.0,10.0,26.0,589.0,64.0,,,99323,10.0,288.0,11.0,319.0,5.0,1.0,19.0,2.0,64.0,1.0,,1.0,,1.0,16.0,3.0,2.0,4.0,58.0,512.0,14.0,12.0,15.0,87.0,0.0,1.0,6.0,,2.0,2.0,,1.0,3.0,1.0,63.5,22.0,5.0,3.0,1.0,2.0,4.0,60.0,10.0,1.0,610.0,10.0,13.0,29.0,13.0,19.0,4.0,311.0,17.0,7.0,20.0,108.0,36.0,1.0,2.0,12.0,32.0,2.0,21.0,2.0,23.0,2.0,6.0,10.0,3.0,1.0,1.0,1.0,1.0,,4.0,4.0,,5.0,3.0,6.0,,,,,3.0,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,2.0,,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,
18,755474,2014-12-26 15:00:00,"Turf Moor, Burnley",21335,Away,Liverpool,Burnley,1,0,W,0,0,0,0,1.0,1.0,68.0,1.0,,,21.0,56.0,6.0,4.0,,1.0,1.0,210.0,1.0,9.0,1.0,,9.0,3.0,132.0,175.0,65.0,10.0,3.0,28.0,,,1.0,,,7.0,21.0,2.0,56.0,2.0,10.0,75.0,1.0,144.0,0.0,100.0,5.0,,,,1.0,,2.0,20.0,76.0,7.0,75.0,4.0,5.0,19.0,1.0,1.0,175.0,1.0,6.0,112.0,752.0,7.0,11.0,18.0,390.0,33.0,,2.0,21.0,1.0,,1.0,4.0,2.0,27.0,501.0,46.0,2.0,,99323,2.0,258.0,4.0,314.0,3.0,,19.0,19.0,56.0,6.0,4.0,3.0,,1.0,18.0,10.0,4.0,1.0,70.0,401.0,5.0,8.0,14.0,87.0,0.0,1.0,8.0,,1.0,,4.0,0.0,,1.0,52.4,24.0,2.0,1.0,,3.0,5.0,45.0,2.0,2.0,529.0,18.0,12.0,33.0,2.0,21.0,1.0,222.0,6.0,10.0,24.0,67.0,25.0,1.0,1.0,21.0,27.0,,9.0,3.0,12.0,1.0,7.0,2.0,2.0,,1.0,,,,1.0,1.0,4.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,10.0,1.0,,,,,,,,,
19,755485,2014-12-29 20:00:00,"Anfield, Liverpool",44714,Home,Liverpool,Swansea City,4,1,W,1,0,0,0,,2.0,50.0,,1.0,1.0,26.0,21.0,8.0,5.0,3.0,2.0,7.0,150.0,5.0,11.0,4.0,1.0,16.0,11.0,127.0,118.0,46.0,21.0,,15.0,4.0,1.0,2.0,1.0,1.0,11.0,15.0,4.0,21.0,6.0,9.0,18.0,,187.0,0.0,132.0,8.0,2.0,1.0,1.0,3.0,,,70.0,49.0,12.0,65.0,1.0,5.0,16.0,2.0,4.0,118.0,3.0,7.0,131.0,658.0,12.0,7.0,14.0,383.0,16.0,,5.0,10.0,2.0,1.0,1.0,2.0,4.0,23.0,456.0,49.0,1.0,1.0,99323,8.0,209.0,3.0,229.0,5.0,,16.0,7.0,42.0,3.0,2.0,6.0,,3.0,14.0,4.0,2.0,1.0,50.0,391.0,5.0,10.0,17.0,69.0,0.0,3.0,3.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,43.5,21.0,1.0,,2.0,6.0,3.0,49.0,6.0,,473.0,14.0,2.0,10.0,7.0,15.0,3.0,255.0,14.0,6.0,9.0,91.0,24.0,2.0,4.0,10.0,21.0,1.0,19.0,3.0,18.0,4.0,7.0,6.0,3.0,,1.0,1.0,2.0,,2.0,2.0,1.0,1.0,,1.0,,1.0,,,2.0,,,,,,,1.0,,1.0,2.0,2.0,3.0,,1.0,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,,,
20,755495,2015-01-01 15:00:00,"Anfield, Liverpool",44720,Home,Liverpool,Leicester City,2,2,D,2,0,0,0,2.0,2.0,63.0,1.0,1.0,,35.0,37.0,7.0,6.0,1.0,,2.0,174.0,5.0,9.0,2.0,3.0,13.0,6.0,121.0,130.0,59.0,18.0,1.0,16.0,2.0,,,2.0,2.0,12.0,16.0,2.0,37.0,3.0,3.0,28.0,,178.0,0.0,137.0,13.0,,3.0,2.0,1.0,1.0,3.0,73.0,44.0,5.0,64.0,,9.0,13.0,,4.0,130.0,,6.0,122.0,687.0,12.0,5.0,8.0,378.0,23.0,1.0,3.0,20.0,,,2.0,5.0,8.0,20.0,459.0,56.0,,,99323,7.0,222.0,8.0,248.0,7.0,2.0,13.0,10.0,60.0,2.0,2.0,8.0,,,14.0,10.0,6.0,3.0,71.0,395.0,8.0,12.0,20.0,75.0,0.0,,5.0,1.0,2.0,2.0,2.0,0.0,3.0,,58.8,18.0,5.0,4.0,,8.0,3.0,46.0,4.0,3.0,481.0,8.0,8.0,16.0,9.0,13.0,2.0,245.0,10.0,3.0,20.0,97.0,27.0,,4.0,20.0,22.0,,14.0,3.0,20.0,4.0,9.0,4.0,2.0,2.0,2.0,,,1.0,1.0,,1.0,2.0,2.0,5.0,,2.0,,,1.0,,2.0,,,,2.0,2.0,,,,,,1.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,
21,755510,2015-01-10 12:45:00,"Stadium of Light, Sunderland",45369,Away,Liverpool,Sunderland,1,0,W,1,0,0,1,1.0,1.0,50.0,,,1.0,21.0,28.0,10.0,4.0,1.0,,2.0,157.0,5.0,17.0,1.0,4.0,15.0,4.0,125.0,102.0,55.0,21.0,3.0,5.0,2.0,,1.0,,2.0,13.0,21.0,1.0,28.0,5.0,16.0,18.0,1.0,248.0,0.0,120.0,11.0,,1.0,1.0,1.0,1.0,1.0,48.0,44.0,8.0,98.0,,8.0,16.0,1.0,5.0,102.0,2.0,1.0,128.0,702.0,12.0,3.0,9.0,433.0,14.0,1.0,5.0,12.0,1.0,,4.0,2.0,7.0,21.0,488.0,51.0,1.0,,99323,7.0,202.0,6.0,219.0,10.0,1.0,16.0,5.0,35.0,4.0,,2.0,,1.0,11.0,4.0,1.0,1.0,44.0,445.0,10.0,7.0,19.0,73.0,0.0,1.0,6.0,,1.0,,2.0,0.0,2.0,1.0,52.6,15.0,7.0,,,2.0,7.0,50.0,6.0,1.0,508.0,9.0,8.0,9.0,10.0,23.0,3.0,302.0,15.0,16.0,2.0,92.0,25.0,,4.0,12.0,26.0,,14.0,2.0,22.0,4.0,11.0,6.0,4.0,3.0,4.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,,,2.0,,1.0,1.0,,,2.0,,,,1.0,,1.0,,1.0,1.0,,,,,2.0,,,2.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,,,11.0,10.0,23.0,,,,,1.0,,,,,
22,755513,2015-01-17 15:00:00,"Villa Park, Birmingham",39758,Away,Liverpool,Aston Villa,2,0,W,1,0,0,0,,1.0,65.0,2.0,,2.0,23.0,42.0,2.0,2.0,4.0,,2.0,170.0,5.0,7.0,2.0,2.0,12.0,5.0,117.0,141.0,54.0,12.0,,22.0,2.0,3.0,2.0,2.0,1.0,10.0,14.0,1.0,42.0,4.0,6.0,36.0,,179.0,0.0,131.0,11.0,2.0,1.0,,,,5.0,41.0,61.0,7.0,66.0,2.0,6.0,14.0,4.0,1.0,141.0,2.0,10.0,112.0,685.0,8.0,5.0,17.0,359.0,20.0,,3.0,21.0,2.0,3.0,1.0,4.0,5.0,23.0,437.0,59.0,1.0,,99323,5.0,196.0,2.0,213.0,6.0,2.0,14.0,8.0,59.0,6.0,5.0,9.0,,2.0,10.0,5.0,1.0,3.0,63.0,370.0,13.0,8.0,20.0,82.0,0.0,3.0,9.0,2.0,2.0,,2.0,0.0,3.0,1.0,51.5,20.0,4.0,2.0,,9.0,2.0,47.0,5.0,5.0,465.0,17.0,10.0,17.0,5.0,17.0,2.0,262.0,9.0,6.0,16.0,84.0,28.0,1.0,2.0,21.0,21.0,,10.0,3.0,17.0,2.0,7.0,5.0,2.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,,4.0,,,,,,1.0,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,755527,2015-01-31 15:00:00,"Anfield, Liverpool",44718,Home,Liverpool,West Ham United,2,0,W,0,0,0,0,1.0,2.0,67.0,,2.0,,23.0,44.0,9.0,6.0,2.0,,4.0,200.0,3.0,15.0,2.0,3.0,10.0,7.0,132.0,136.0,66.0,21.0,4.0,19.0,3.0,1.0,2.0,1.0,5.0,13.0,19.0,2.0,44.0,4.0,11.0,43.0,,242.0,0.0,152.0,12.0,,1.0,,2.0,1.0,1.0,61.0,58.0,6.0,79.0,,9.0,20.0,3.0,3.0,136.0,2.0,5.0,131.0,779.0,8.0,6.0,5.0,441.0,24.0,,4.0,30.0,2.0,1.0,1.0,3.0,4.0,26.0,524.0,61.0,2.0,,99323,7.0,216.0,5.0,238.0,4.0,2.0,20.0,5.0,58.0,5.0,1.0,7.0,,2.0,12.0,2.0,3.0,1.0,49.0,455.0,11.0,6.0,15.0,85.0,0.0,1.0,7.0,2.0,2.0,,4.0,0.0,3.0,2.0,66.1,24.0,4.0,2.0,,7.0,5.0,58.0,5.0,1.0,542.0,5.0,14.0,23.0,9.0,21.0,,317.0,14.0,10.0,14.0,108.0,31.0,1.0,4.0,30.0,26.0,,19.0,2.0,24.0,4.0,9.0,5.0,1.0,,2.0,,1.0,1.0,,2.0,1.0,1.0,1.0,6.0,,1.0,2.0,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,3.0,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
24,755535,2015-02-07 17:30:00,"Goodison Park, Liverpool",39621,Away,Liverpool,Everton,0,0,D,0,0,0,0,2.0,,56.0,,,,30.0,22.0,7.0,7.0,1.0,,4.0,173.0,,13.0,,3.0,13.0,6.0,158.0,132.0,52.0,17.0,2.0,11.0,4.0,,,2.0,2.0,12.0,16.0,2.0,22.0,5.0,12.0,26.0,,193.0,0.0,149.0,7.0,1.0,,,1.0,1.0,,52.0,51.0,10.0,71.0,2.0,7.0,11.0,1.0,2.0,132.0,,3.0,150.0,741.0,13.0,6.0,11.0,454.0,20.0,1.0,7.0,10.0,,,1.0,1.0,3.0,19.0,526.0,66.0,2.0,,99323,4.0,280.0,5.0,296.0,2.0,,11.0,8.0,48.0,2.0,2.0,9.0,,,7.0,3.0,5.0,,57.0,473.0,11.0,5.0,19.0,67.0,0.0,1.0,3.0,1.0,,,1.0,0.0,,,54.4,14.0,2.0,4.0,,9.0,7.0,43.0,6.0,,552.0,11.0,20.0,11.0,4.0,23.0,,268.0,10.0,11.0,11.0,101.0,22.0,,1.0,10.0,20.0,,14.0,3.0,19.0,1.0,6.0,6.0,5.0,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,
25,755546,2015-02-10 20:00:00,"Anfield, Liverpool",44577,Home,Liverpool,Tottenham Hotspur,3,2,W,1,1,0,0,3.0,2.0,60.0,,2.0,3.0,34.0,21.0,7.0,6.0,3.0,1.0,1.0,158.0,2.0,13.0,3.0,5.0,8.0,7.0,91.0,145.0,59.0,16.0,3.0,18.0,3.0,,2.0,3.0,,11.0,12.0,1.0,21.0,5.0,8.0,45.0,,138.0,0.0,119.0,13.0,2.0,1.0,1.0,1.0,1.0,,28.0,59.0,6.0,64.0,1.0,6.0,21.0,1.0,3.0,145.0,1.0,6.0,93.0,599.0,6.0,9.0,11.0,295.0,22.0,,5.0,14.0,2.0,1.0,3.0,6.0,2.0,20.0,377.0,63.0,1.0,,99323,7.0,178.0,4.0,196.0,5.0,2.0,21.0,8.0,60.0,4.0,1.0,,,2.0,9.0,8.0,5.0,3.0,72.0,314.0,16.0,9.0,16.0,75.0,0.0,3.0,7.0,,3.0,2.0,4.0,0.0,2.0,1.0,49.4,14.0,5.0,,,,4.0,39.0,5.0,,406.0,11.0,16.0,20.0,5.0,16.0,,221.0,10.0,8.0,14.0,72.0,30.0,1.0,2.0,14.0,16.0,2.0,13.0,3.0,21.0,2.0,14.0,5.0,1.0,,1.0,,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,
26,755559,2015-02-22 16:15:00,"St. Mary's Stadium, Southampton",31723,Away,Liverpool,Southampton,2,0,W,1,0,0,0,1.0,1.0,68.0,1.0,,2.0,17.0,36.0,2.0,2.0,5.0,,1.0,177.0,2.0,8.0,2.0,1.0,5.0,4.0,71.0,140.0,47.0,6.0,,17.0,1.0,2.0,1.0,,,3.0,15.0,1.0,36.0,,12.0,21.0,,125.0,0.0,95.0,14.0,2.0,,,,1.0,1.0,31.0,54.0,4.0,56.0,1.0,3.0,17.0,,,140.0,,7.0,73.0,569.0,4.0,7.0,17.0,258.0,29.0,,4.0,15.0,1.0,2.0,3.0,4.0,1.0,27.0,351.0,48.0,1.0,,99323,2.0,150.0,2.0,177.0,11.0,2.0,17.0,7.0,57.0,3.0,2.0,7.0,,2.0,11.0,6.0,3.0,,59.0,273.0,11.0,10.0,22.0,75.0,0.0,2.0,6.0,3.0,1.0,,2.0,0.0,2.0,,40.3,23.0,3.0,1.0,,7.0,1.0,28.0,1.0,1.0,377.0,17.0,7.0,5.0,1.0,11.0,,203.0,4.0,11.0,10.0,55.0,23.0,2.0,2.0,15.0,18.0,,6.0,3.0,17.0,2.0,9.0,1.0,1.0,,1.0,,,2.0,,2.0,3.0,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,
