gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,ballRecovery,savedObox,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,totalCrossNocorner,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,totalBackZonePass,attRfGoal,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,subsMade,totalContest,blockedCross,wonCorners,attGoalLowLeft,attIboxBlocked,attLfGoal,attRfTarget,attGoalLowCentre,accuratePullBack,shotFastbreak,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissHighRight,cleanSheet,attSvHighLeft,attSvLowLeft,attMissRight,attHdTarget,goalAssist,totalKeeperSweeper,accurateThroughBall,totalPullBack,defenderGoals,attMissHigh,attFastbreak,punches,goalAssistIntentional,foulThrowIn,forwardGoals,attHdGoal,fouledFinalThird,attBxRight,attSvHighRight,freekickCross,hitWoodwork,attBxCentre,penaltyConceded,ownGoals,goalsOpenplay,attCmissLeft,attBxLeft,penaltyFaced,penGoalsConceded,attIboxOwnGoal,attOpenplay,attGoalLowRight,postScoringAtt,attIboxPost,attOboxGoal,attMissHighLeft,sixYardBlock,attSetpiece,attObxdLeft,attGoalHighLeft,attPostHigh,attemptsIbox,saves,attCmissRight,goalFastbreak,totalFastbreak,attemptsObox,attPostLeft,touchesInOppBox,successfulOpenPlayPass,openPlayPass,attCorner,goalAssistSetplay,errorLeadToShot,attGoalHighRight,attCmissHigh,attCmissHighLeft,errorLeadToGoal,attLgCentre,attFreekickMiss,secondYellow,attHdPost,attPostRight,goalAssistDeadball,accurateFreekickCross,clearanceOffLine,attFreekickPost,attOboxPost,penaltySave,attObpGoal,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,winningGoal,keeperGoals,subsGoals,expectedAssists,expectedGoalsFreekick,attFreekickGoal,expectedGoals,attObxLeft
11,284105,2009-10-31 15:00:00,"Craven Cottage, London",25700,Away,Liverpool,Fulham,1,3,L,1,1,2,0,,,,54.0,1.0,80.0,21.0,9.0,1.0,4.0,6.0,1.0,6.0,1.0,149.0,41.0,1.0,10.0,4.0,15.0,,1.0,18.0,13.0,,10.0,2.0,33.0,41.0,274.0,,0.0,202.0,13.0,1.0,,1.0,58.0,114.0,2.0,,17.0,1.0,,4.0,4.0,138.0,8.0,855.0,5.0,5.0,17.0,23.0,4.0,8.0,0.0,3.0,4.0,20.0,99.0,8432,269.0,10.0,282.0,1.0,5.0,52.0,3.0,2.0,8.0,5.0,3.0,,109.0,539.0,10.0,5.0,1.0,19.0,90.0,,0.0,,2.0,2.0,,3.0,1.0,2.0,4.0,,,64.2,17.0,,,,8.0,4.0,51.0,2.0,1.0,637.0,17.0,11.0,16.0,5.0,16.0,1.0,,373.0,9.0,28.0,9.0,139.0,22.0,,5.0,16.0,3.0,3.0,14.0,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,2.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,284114,2009-11-09 20:00:00,"Anfield, Liverpool",42560,Home,Liverpool,Birmingham City,2,2,D,1,2,0,0,1.0,,2.0,60.0,,61.0,23.0,17.0,11.0,14.0,21.0,2.0,24.0,7.0,173.0,80.0,,35.0,6.0,16.0,3.0,4.0,49.0,32.0,2.0,11.0,11.0,34.0,33.0,314.0,1.0,0.0,226.0,8.0,,1.0,,66.0,113.0,10.0,,38.0,,,12.0,9.0,161.0,2.0,985.0,20.0,13.0,20.0,25.0,3.0,11.0,1.0,,14.0,31.0,85.0,9562,260.0,24.0,273.0,1.0,5.0,58.0,1.0,2.0,5.0,3.0,4.0,1.0,78.0,560.0,9.0,7.0,3.0,8.0,79.0,1.0,0.0,,1.0,,2.0,2.0,6.0,0.0,10.0,1.0,6.0,77.0,29.0,5.0,3.0,,5.0,10.0,56.0,11.0,,654.0,20.0,18.0,11.0,18.0,34.0,4.0,8.0,430.0,18.0,33.0,15.0,163.0,26.0,,5.0,35.0,1.0,3.0,30.0,,11.0,,4.0,1.0,3.0,,1.0,,,1.0,3.0,4.0,,,,5.0,,1.0,,1.0,3.0,,4.0,,1.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
13,284125,2009-11-21 12:45:00,"Anfield, Liverpool",44164,Home,Liverpool,Manchester City,2,2,D,0,0,0,0,,1.0,,48.0,1.0,33.0,22.0,5.0,2.0,7.0,8.0,2.0,12.0,4.0,157.0,51.0,,17.0,3.0,7.0,1.0,1.0,25.0,19.0,1.0,15.0,7.0,31.0,34.0,199.0,,0.0,163.0,10.0,1.0,1.0,1.0,72.0,56.0,9.0,1.0,18.0,,,5.0,1.0,150.0,3.0,752.0,6.0,11.0,21.0,24.0,4.0,8.0,2.0,2.0,3.0,27.0,95.0,9562,207.0,10.0,227.0,1.0,7.0,38.0,5.0,1.0,6.0,6.0,2.0,,62.0,399.0,13.0,5.0,5.0,23.0,83.0,,0.0,,3.0,1.0,2.0,2.0,2.0,0.0,3.0,1.0,2.0,57.4,25.0,1.0,2.0,1.0,6.0,9.0,43.0,7.0,1.0,506.0,21.0,8.0,18.0,4.0,28.0,4.0,3.0,304.0,10.0,29.0,8.0,99.0,12.0,2.0,5.0,22.0,2.0,3.0,17.0,2.0,7.0,,6.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14,284133,2009-11-29 13:30:00,"Goodison Park, Liverpool",39652,Away,Liverpool,Everton,2,0,W,1,0,0,0,,,2.0,51.0,1.0,36.0,47.0,5.0,4.0,3.0,5.0,2.0,8.0,5.0,187.0,69.0,,11.0,2.0,27.0,3.0,1.0,13.0,24.0,1.0,29.0,3.0,19.0,46.0,180.0,,0.0,156.0,12.0,3.0,1.0,1.0,60.0,57.0,5.0,,10.0,,,3.0,2.0,169.0,8.0,692.0,7.0,16.0,17.0,22.0,12.0,26.0,0.0,3.0,3.0,18.0,95.0,9562,164.0,7.0,191.0,,11.0,68.0,4.0,1.0,4.0,8.0,3.0,,71.0,341.0,15.0,7.0,1.0,40.0,107.0,1.0,0.0,,6.0,5.0,1.0,,2.0,0.0,2.0,,2.0,53.5,17.0,1.0,4.0,,4.0,3.0,54.0,4.0,2.0,467.0,16.0,16.0,26.0,3.0,17.0,1.0,1.0,289.0,5.0,19.0,13.0,89.0,16.0,2.0,14.0,36.0,,2.0,11.0,2.0,4.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,2.0,,1.0,1.0,,,1.0,,1.0,,1.0,,1.0,,2.0,,1.0,,,,,,,,4.0,,,1.0,1.0,2.0,,,,10.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
15,284142,2009-12-05 15:00:00,"Ewood Park, Blackburn",29660,Away,Liverpool,Blackburn Rovers,0,0,D,0,0,0,0,,1.0,1.0,51.0,,45.0,24.0,9.0,1.0,4.0,7.0,,12.0,2.0,160.0,55.0,,15.0,6.0,18.0,,,24.0,16.0,2.0,13.0,5.0,15.0,25.0,205.0,,0.0,165.0,10.0,1.0,,,62.0,76.0,9.0,1.0,19.0,,,9.0,1.0,149.0,5.0,722.0,12.0,7.0,14.0,15.0,5.0,14.0,0.0,1.0,3.0,33.0,78.0,9562,177.0,8.0,200.0,,7.0,56.0,3.0,2.0,6.0,5.0,3.0,,73.0,378.0,15.0,8.0,,19.0,78.0,,0.0,,1.0,2.0,,,3.0,0.0,4.0,,2.0,60.2,31.0,2.0,1.0,1.0,6.0,9.0,46.0,8.0,,478.0,14.0,11.0,14.0,4.0,22.0,,2.0,302.0,12.0,12.0,10.0,110.0,22.0,,10.0,23.0,,2.0,17.0,,8.0,,3.0,,1.0,,,1.0,,,1.0,,1.0,,,3.0,,,,2.0,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,284155,2009-12-13 16:00:00,"Anfield, Liverpool",43853,Home,Liverpool,Arsenal,1,2,L,1,0,0,0,,,,69.0,1.0,32.0,24.0,1.0,,4.0,13.0,1.0,6.0,3.0,198.0,75.0,,9.0,1.0,14.0,2.0,3.0,18.0,20.0,,17.0,3.0,9.0,59.0,156.0,,0.0,159.0,19.0,,1.0,,49.0,72.0,4.0,2.0,15.0,,,5.0,,191.0,6.0,653.0,4.0,25.0,37.0,23.0,7.0,10.0,3.0,2.0,2.0,26.0,101.0,9047,130.0,7.0,154.0,1.0,7.0,65.0,5.0,4.0,5.0,4.0,4.0,,74.0,282.0,16.0,13.0,2.0,30.0,116.0,1.0,0.0,,4.0,2.0,1.0,2.0,3.0,0.0,3.0,2.0,3.0,48.1,20.0,2.0,10.0,,6.0,3.0,56.0,3.0,,426.0,36.0,8.0,26.0,3.0,30.0,1.0,3.0,290.0,5.0,8.0,19.0,76.0,28.0,3.0,4.0,27.0,2.0,3.0,24.0,3.0,3.0,,2.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,,,1.0,2.0,,,1.0,1.0,,,,,2.0,1.0,,3.0,,7.0,,1.0,,2.0,,,,1.0,3.0,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
17,284169,2009-12-16 20:00:00,"Anfield, Liverpool",41116,Home,Liverpool,Wigan Athletic,2,1,W,1,0,0,0,,,1.0,60.0,2.0,23.0,19.0,6.0,6.0,5.0,9.0,2.0,10.0,8.0,171.0,58.0,1.0,20.0,1.0,16.0,6.0,3.0,38.0,26.0,,7.0,11.0,18.0,27.0,205.0,,0.0,151.0,12.0,,,1.0,53.0,78.0,6.0,,27.0,1.0,,6.0,5.0,159.0,4.0,696.0,8.0,11.0,15.0,18.0,5.0,11.0,1.0,3.0,4.0,27.0,78.0,8432,132.0,21.0,152.0,1.0,7.0,67.0,1.0,1.0,4.0,7.0,3.0,,40.0,332.0,11.0,13.0,1.0,16.0,97.0,2.0,0.0,,,1.0,2.0,1.0,3.0,0.0,3.0,1.0,3.0,55.1,23.0,2.0,2.0,1.0,4.0,2.0,58.0,13.0,1.0,423.0,15.0,15.0,12.0,10.0,16.0,2.0,5.0,309.0,11.0,15.0,8.0,107.0,31.0,1.0,2.0,30.0,1.0,3.0,20.0,1.0,13.0,1.0,1.0,,5.0,1.0,2.0,2.0,,1.0,1.0,2.0,,,1.0,4.0,,1.0,,,2.0,,1.0,2.0,,1.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
18,284176,2009-12-19 12:45:00,"Fratton Park, Portsmouth",20534,Away,Liverpool,Portsmouth,0,2,L,0,1,1,0,,2.0,1.0,56.0,,36.0,23.0,4.0,2.0,5.0,10.0,,4.0,1.0,192.0,45.0,,8.0,1.0,11.0,,1.0,24.0,17.0,1.0,14.0,9.0,20.0,55.0,176.0,,0.0,143.0,13.0,,,2.0,82.0,44.0,2.0,,15.0,,,4.0,2.0,183.0,9.0,728.0,3.0,7.0,21.0,22.0,,18.0,3.0,5.0,2.0,34.0,84.0,9047,164.0,10.0,189.0,,13.0,63.0,3.0,3.0,7.0,6.0,10.0,,66.0,335.0,7.0,5.0,1.0,24.0,100.0,,0.0,,8.0,1.0,,2.0,1.0,1.0,4.0,3.0,1.0,54.4,24.0,1.0,3.0,,7.0,2.0,52.0,9.0,2.0,447.0,21.0,22.0,27.0,5.0,15.0,1.0,3.0,282.0,5.0,18.0,6.0,84.0,22.0,2.0,11.0,22.0,2.0,3.0,24.0,2.0,10.0,,1.0,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
19,284185,2009-12-26 17:30:00,"Anfield, Liverpool",41956,Home,Liverpool,Wolverhampton Wanderers,2,0,W,0,0,0,1,,,1.0,59.0,,59.0,14.0,9.0,7.0,3.0,6.0,2.0,13.0,8.0,158.0,47.0,1.0,18.0,3.0,7.0,2.0,2.0,36.0,12.0,4.0,6.0,6.0,21.0,29.0,314.0,,0.0,239.0,9.0,1.0,2.0,1.0,79.0,110.0,8.0,,30.0,1.0,1.0,8.0,2.0,150.0,3.0,818.0,11.0,5.0,10.0,27.0,,5.0,0.0,,5.0,23.0,85.0,9047,190.0,18.0,212.0,,10.0,41.0,4.0,3.0,12.0,2.0,9.0,,71.0,501.0,10.0,3.0,1.0,8.0,70.0,3.0,0.0,1.0,1.0,1.0,2.0,,2.0,0.0,3.0,4.0,3.0,66.6,17.0,2.0,5.0,,12.0,5.0,48.0,7.0,1.0,585.0,10.0,11.0,16.0,5.0,39.0,,3.0,409.0,8.0,20.0,13.0,189.0,14.0,1.0,1.0,18.0,,3.0,17.0,1.0,7.0,,2.0,1.0,5.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,1.0,,2.0,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
20,284190,2009-12-29 19:45:00,"Villa Park, Birmingham",42788,Away,Liverpool,Aston Villa,1,0,W,0,0,0,0,,,,62.0,1.0,28.0,29.0,9.0,4.0,2.0,10.0,1.0,9.0,4.0,175.0,62.0,2.0,15.0,5.0,13.0,2.0,2.0,21.0,20.0,1.0,14.0,8.0,18.0,34.0,200.0,,0.0,159.0,11.0,1.0,,1.0,38.0,74.0,6.0,1.0,13.0,2.0,,2.0,3.0,160.0,7.0,748.0,9.0,7.0,19.0,19.0,6.0,15.0,1.0,1.0,3.0,28.0,87.0,9047,154.0,10.0,169.0,1.0,12.0,61.0,5.0,1.0,6.0,2.0,4.0,,46.0,352.0,13.0,7.0,,16.0,79.0,,0.0,,8.0,3.0,1.0,,1.0,0.0,2.0,1.0,2.0,56.6,24.0,1.0,5.0,2.0,6.0,7.0,42.0,10.0,2.0,450.0,19.0,20.0,16.0,4.0,13.0,,1.0,302.0,9.0,17.0,7.0,98.0,27.0,3.0,7.0,32.0,,3.0,20.0,3.0,10.0,1.0,2.0,,2.0,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
21,284205,2010-01-20 20:00:00,"Anfield, Liverpool",42016,Home,Liverpool,Tottenham Hotspur,2,0,W,1,0,0,0,,,1.0,58.0,2.0,17.0,32.0,3.0,3.0,5.0,5.0,2.0,9.0,5.0,190.0,75.0,,14.0,,36.0,3.0,3.0,20.0,17.0,,16.0,2.0,12.0,35.0,145.0,1.0,0.0,146.0,11.0,1.0,2.0,,45.0,87.0,4.0,,18.0,,,4.0,2.0,174.0,3.0,617.0,8.0,21.0,25.0,22.0,7.0,16.0,2.0,5.0,5.0,30.0,91.0,9562,75.0,10.0,97.0,2.0,7.0,73.0,2.0,2.0,3.0,7.0,4.0,1.0,62.0,215.0,16.0,6.0,,35.0,97.0,1.0,0.0,,3.0,1.0,1.0,,8.0,0.0,5.0,2.0,2.0,44.8,25.0,,,,3.0,1.0,38.0,2.0,1.0,344.0,24.0,13.0,14.0,8.0,24.0,,5.0,267.0,9.0,12.0,27.0,73.0,24.0,3.0,7.0,26.0,,3.0,12.0,3.0,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,,,,,2.0,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
22,284217,2010-01-16 12:45:00,"bet365 Stadium, Stoke",27247,Away,Liverpool,Stoke City,1,1,D,0,0,0,0,,2.0,,55.0,,25.0,70.0,1.0,2.0,4.0,3.0,1.0,5.0,1.0,220.0,69.0,,8.0,1.0,20.0,,1.0,18.0,17.0,,39.0,,17.0,46.0,143.0,,0.0,157.0,12.0,,,4.0,58.0,100.0,,2.0,18.0,,,6.0,1.0,189.0,7.0,676.0,4.0,21.0,19.0,16.0,6.0,44.0,2.0,3.0,5.0,27.0,101.0,9562,99.0,9.0,133.0,1.0,8.0,42.0,2.0,1.0,5.0,3.0,4.0,,67.0,238.0,13.0,2.0,1.0,29.0,106.0,,0.0,,10.0,1.0,1.0,1.0,7.0,0.0,4.0,2.0,2.0,55.2,20.0,1.0,2.0,,5.0,2.0,39.0,,6.0,389.0,19.0,7.0,13.0,5.0,23.0,,3.0,274.0,4.0,16.0,28.0,79.0,25.0,2.0,22.0,25.0,1.0,2.0,7.0,2.0,,,1.0,,,,,2.0,,,,,,,,3.0,,,,,,1.0,,2.0,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
23,284225,2010-01-26 19:45:00,"Molineux Stadium, Wolverhampton",28763,Away,Liverpool,Wolverhampton Wanderers,0,0,D,0,0,0,0,,,1.0,69.0,,22.0,42.0,7.0,2.0,4.0,5.0,,7.0,1.0,242.0,52.0,,8.0,2.0,20.0,,3.0,30.0,11.0,1.0,25.0,7.0,22.0,55.0,191.0,,0.0,160.0,9.0,,,,49.0,73.0,3.0,2.0,23.0,,,6.0,4.0,225.0,4.0,762.0,6.0,17.0,24.0,28.0,8.0,25.0,1.0,3.0,4.0,38.0,103.0,9562,116.0,16.0,153.0,,7.0,52.0,1.0,2.0,5.0,2.0,1.0,,67.0,303.0,9.0,5.0,1.0,52.0,127.0,,0.0,,,1.0,,,8.0,0.0,3.0,2.0,1.0,53.1,29.0,1.0,3.0,,5.0,2.0,47.0,7.0,,467.0,23.0,9.0,21.0,5.0,18.0,1.0,1.0,344.0,5.0,19.0,20.0,93.0,27.0,2.0,11.0,18.0,,1.0,14.0,2.0,7.0,,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,284235,2010-01-30 15:00:00,"Anfield, Liverpool",43413,Home,Liverpool,Bolton Wanderers,2,0,W,1,0,0,0,,,1.0,58.0,,35.0,27.0,9.0,6.0,6.0,4.0,2.0,12.0,4.0,186.0,44.0,,19.0,6.0,15.0,2.0,,31.0,11.0,1.0,12.0,8.0,21.0,51.0,235.0,,0.0,202.0,12.0,,1.0,1.0,58.0,81.0,8.0,,24.0,,,7.0,2.0,171.0,4.0,684.0,9.0,13.0,21.0,19.0,4.0,18.0,1.0,3.0,4.0,33.0,74.0,9562,118.0,13.0,143.0,1.0,11.0,55.0,3.0,2.0,6.0,4.0,4.0,,65.0,347.0,11.0,9.0,2.0,25.0,94.0,,0.0,,3.0,1.0,2.0,,6.0,0.0,5.0,1.0,1.0,65.0,28.0,1.0,1.0,,7.0,9.0,51.0,11.0,1.0,459.0,20.0,11.0,33.0,6.0,31.0,2.0,3.0,347.0,12.0,19.0,15.0,138.0,28.0,2.0,7.0,14.0,,3.0,12.0,2.0,11.0,,3.0,,2.0,,1.0,,1.0,1.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,2.0,,2.0,1.0,,,,5.0,,,4.0,1.0,3.0,,,1.0,,4.0,,,,13.0,1.0,1.0,1.0,,2.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
25,284245,2010-02-06 12:45:00,"Anfield, Liverpool",44316,Home,Liverpool,Everton,1,0,W,0,0,1,1,,,,45.0,2.0,20.0,54.0,5.0,2.0,3.0,3.0,1.0,5.0,3.0,166.0,62.0,4.0,11.0,2.0,12.0,,,28.0,12.0,2.0,29.0,8.0,10.0,28.0,105.0,,0.0,115.0,11.0,1.0,1.0,,26.0,67.0,3.0,1.0,20.0,4.0,,5.0,1.0,141.0,2.0,514.0,3.0,17.0,18.0,20.0,8.0,36.0,3.0,,2.0,16.0,78.0,9562,73.0,13.0,97.0,,7.0,44.0,2.0,1.0,,4.0,3.0,,56.0,175.0,23.0,6.0,1.0,38.0,72.0,1.0,0.0,2.0,8.0,1.0,1.0,,10.0,1.0,2.0,1.0,1.0,39.6,13.0,,1.0,,,4.0,31.0,8.0,,268.0,18.0,9.0,11.0,4.0,21.0,1.0,2.0,199.0,8.0,8.0,16.0,64.0,18.0,4.0,20.0,20.0,,3.0,9.0,4.0,8.0,,2.0,,2.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,
26,284250,2010-02-10 19:45:00,"Emirates Stadium, London",60045,Away,Liverpool,Arsenal,0,1,L,0,0,0,0,,1.0,,71.0,1.0,29.0,26.0,4.0,,4.0,12.0,,9.0,4.0,190.0,80.0,1.0,10.0,1.0,17.0,2.0,,24.0,22.0,2.0,11.0,6.0,31.0,61.0,212.0,,0.0,180.0,15.0,1.0,,,64.0,84.0,6.0,1.0,18.0,1.0,,5.0,1.0,175.0,6.0,765.0,8.0,21.0,33.0,26.0,10.0,10.0,2.0,3.0,3.0,33.0,104.0,9562,140.0,10.0,166.0,,7.0,61.0,4.0,3.0,5.0,5.0,3.0,,57.0,348.0,20.0,10.0,1.0,35.0,93.0,,0.0,,3.0,1.0,,1.0,9.0,0.0,2.0,,2.0,52.5,30.0,1.0,4.0,1.0,5.0,3.0,47.0,6.0,,472.0,33.0,10.0,24.0,3.0,25.0,2.0,2.0,330.0,8.0,29.0,18.0,106.0,32.0,1.0,1.0,30.0,1.0,2.0,22.0,1.0,6.0,,2.0,,3.0,,,,2.0,,1.0,,,,1.0,1.0,1.0,,2.0,1.0,,,2.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
27,284265,2010-02-21 15:00:00,"Etihad Stadium, Manchester",47203,Away,Liverpool,Manchester City,0,0,D,0,0,0,0,,,1.0,60.0,1.0,49.0,31.0,5.0,2.0,3.0,6.0,,5.0,1.0,154.0,49.0,,7.0,3.0,8.0,,1.0,15.0,21.0,1.0,15.0,5.0,27.0,45.0,227.0,,0.0,166.0,15.0,1.0,,3.0,63.0,80.0,3.0,1.0,10.0,,,3.0,1.0,138.0,1.0,764.0,4.0,13.0,28.0,25.0,5.0,17.0,6.0,,2.0,22.0,84.0,9562,189.0,6.0,207.0,,11.0,49.0,1.0,2.0,7.0,4.0,11.0,,70.0,413.0,8.0,7.0,1.0,21.0,82.0,,0.0,,8.0,,,,5.0,0.0,2.0,1.0,1.0,55.9,18.0,1.0,1.0,,7.0,4.0,48.0,6.0,3.0,514.0,28.0,7.0,26.0,2.0,14.0,1.0,1.0,322.0,4.0,26.0,10.0,111.0,25.0,2.0,8.0,25.0,,3.0,18.0,2.0,6.0,,1.0,,,,,,,,,,1.0,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,284275,2010-02-28 15:00:00,"Anfield, Liverpool",42795,Home,Liverpool,Blackburn Rovers,2,1,W,2,1,0,0,,1.0,,53.0,1.0,33.0,48.0,6.0,3.0,3.0,7.0,2.0,11.0,3.0,204.0,67.0,,13.0,3.0,23.0,1.0,3.0,20.0,15.0,,24.0,3.0,13.0,58.0,178.0,,0.0,160.0,11.0,4.0,1.0,1.0,45.0,67.0,6.0,3.0,17.0,,1.0,1.0,4.0,180.0,10.0,663.0,6.0,11.0,21.0,17.0,8.0,28.0,1.0,,5.0,22.0,91.0,8432,95.0,11.0,129.0,1.0,10.0,51.0,4.0,2.0,3.0,4.0,2.0,,71.0,270.0,23.0,2.0,3.0,38.0,96.0,,0.0,,5.0,6.0,2.0,1.0,5.0,0.0,2.0,1.0,3.0,54.4,17.0,2.0,3.0,,4.0,3.0,33.0,4.0,1.0,401.0,21.0,10.0,24.0,7.0,25.0,1.0,3.0,292.0,7.0,12.0,16.0,97.0,22.0,2.0,15.0,21.0,1.0,3.0,13.0,2.0,4.0,,,1.0,,,1.0,,,2.0,,1.0,,,1.0,2.0,1.0,2.0,,,1.0,,,,3.0,2.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
