gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,attCmissLeft,redCard,overrun,lostCorners,savedIbox,attIboxGoal,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,shotFastbreak,accurateKeeperSweeper,attOboxTarget,totalFastbreak,contentiousDecision,attLgCentre,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,attSetpiece,attCmissHigh,totalOffside,attAssistSetplay,attFastbreak,punches,attHdMiss,attHdGoal,handBall,attGoalLowLeft,attCmissRight,postScoringAtt,attIboxPost,penaltyWon,ptsGainedLosingPos,attSvHighLeft,interceptionsInBox,attHdPost,hitWoodwork,attPenGoal,attPostHigh,goalsConceded,attCmissHighRight,goalsConcededIbox,savedObox,midfielderGoals,attGoalHighRight,attOboxGoal,accurateFlickOn,accuratePullBack,attOneOnOne,attGoalHighLeft,clearanceOffLine,ptsDroppedWinningPos,goalsConcededObox,goalFastbreak,ownGoals,defenderGoals,attFreekickGoal,attIboxOwnGoal,goalAssistSetplay,goalAssistDeadball,attCmissHighLeft,errorLeadToGoal,attPenTarget,attPostLeft
27,2210531,2022-03-16 20:15:00,"Emirates Stadium, London",59968.0,Away,Liverpool,Arsenal,2,0,W,0,0,0,0,,1.0,34.0,67.0,3.0,23.0,15.0,2.0,6.0,7.0,2.0,1.0,,165.0,1.0,18.0,5.0,4.0,2.0,1.0,7.0,3.0,145.0,149.0,42.0,,9.0,1.0,6.0,1.0,1.0,2.0,,,18.0,8.0,15.0,6.0,6.0,42.0,203.0,,,1.0,0.0,109.0,9.0,1.0,,1.0,2.0,64.0,86.0,6.0,83.0,,12.0,21.0,2.0,,,6.0,1.0,149.0,1.0,3.0,135.0,702.0,3.0,4.0,17.0,1.0,11.0,419.0,29.0,2.0,8.0,2.0,1.0,4.0,1.0,17.0,509.0,50.0,1.0,1.0,97032,4.0,236.0,,5.0,1.0,271.0,5.0,1.0,,21.0,5.0,45.0,1.0,7.0,2.0,17.0,6.0,4.0,,49.0,434.0,7.0,14.0,13.0,3.0,65.0,1.0,,0.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,,2.0,51.6,11.0,7.0,1.0,,7.0,4.0,38.0,6.0,2.0,528.0,11.0,,11.0,19.0,2.0,20.0,3.0,1.0,275.0,1.0,6.0,15.0,71.0,23.0,1.0,,8.0,16.0,6.0,3.0,9.0,,11.0,6.0,,,2.0,,,,,2.0,2.0,,,,2.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
28,2210544,2022-03-05 17:30:00,"Anfield, Liverpool",53059.0,Home,Liverpool,West Ham United,1,0,W,1,0,0,0,3.0,1.0,24.0,59.0,5.0,30.0,10.0,11.0,10.0,11.0,4.0,,1.0,215.0,,11.0,3.0,9.0,1.0,2.0,17.0,5.0,196.0,147.0,48.0,1.0,22.0,2.0,14.0,1.0,,1.0,2.0,4.0,17.0,6.0,10.0,4.0,2.0,45.0,371.0,2.0,,1.0,0.0,250.0,7.0,2.0,1.0,1.0,1.0,80.0,112.0,9.0,120.0,3.0,13.0,19.0,11.0,1.0,1.0,4.0,6.0,147.0,2.0,10.0,184.0,898.0,14.0,1.0,33.0,,5.0,601.0,17.0,7.0,7.0,1.0,2.0,4.0,8.0,19.0,695.0,86.0,,,97032,9.0,251.0,1.0,8.0,1.0,270.0,6.0,1.0,3.0,19.0,8.0,43.0,1.0,6.0,1.0,19.0,3.0,6.0,,51.0,619.0,7.0,6.0,20.0,,67.0,,2.0,0.0,,6.0,3.0,1.0,0.0,3.0,,,,68.7,18.0,6.0,1.0,,6.0,7.0,44.0,4.0,1.0,715.0,5.0,1.0,10.0,26.0,10.0,33.0,,4.0,462.0,12.0,2.0,21.0,197.0,30.0,1.0,2.0,7.0,11.0,19.0,3.0,15.0,2.0,7.0,4.0,,1.0,,3.0,1.0,1.0,,1.0,,1.0,2.0,,1.0,2.0,1.0,2.0,,,,,2.0,,,,,1.0,,,,,,,1.0,,2.0,,,,,2.0,,,1.0,,,,,,,,,,,,,
29,2210553,2022-03-12 12:30:00,"American Express Stadium, Falmer",31474.0,Away,Liverpool,Brighton and Hove Albion,2,0,W,1,0,0,0,4.0,2.0,25.0,56.0,3.0,36.0,11.0,3.0,11.0,15.0,3.0,1.0,1.0,154.0,,12.0,5.0,7.0,2.0,4.0,10.0,9.0,100.0,135.0,40.0,,18.0,,6.0,5.0,1.0,1.0,4.0,,14.0,9.0,11.0,5.0,4.0,50.0,175.0,1.0,,1.0,0.0,119.0,15.0,,1.0,3.0,1.0,73.0,51.0,7.0,60.0,2.0,9.0,19.0,3.0,,1.0,4.0,1.0,135.0,2.0,4.0,87.0,584.0,7.0,2.0,37.0,2.0,9.0,299.0,10.0,,8.0,1.0,1.0,1.0,3.0,19.0,380.0,50.0,2.0,,97032,8.0,143.0,1.0,2.0,,166.0,8.0,,2.0,19.0,10.0,42.0,2.0,7.0,1.0,20.0,4.0,4.0,1.0,61.0,313.0,11.0,10.0,5.0,3.0,72.0,1.0,,0.0,,7.0,2.0,2.0,0.0,1.0,1.0,2.0,4.0,48.2,16.0,6.0,2.0,1.0,8.0,3.0,41.0,5.0,1.0,401.0,9.0,,10.0,29.0,6.0,29.0,4.0,5.0,249.0,3.0,3.0,7.0,88.0,31.0,2.0,5.0,8.0,15.0,13.0,3.0,10.0,5.0,7.0,6.0,1.0,3.0,,2.0,3.0,,,2.0,,,1.0,,1.0,2.0,3.0,,1.0,1.0,2.0,,1.0,,,1.0,,,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
30,2210564,2022-04-19 20:00:00,"Anfield, Liverpool",52686.0,Home,Liverpool,Manchester United,4,0,W,2,0,0,0,,2.0,21.0,66.0,2.0,34.0,6.0,3.0,5.0,11.0,1.0,3.0,1.0,243.0,2.0,10.0,4.0,7.0,4.0,1.0,13.0,5.0,260.0,136.0,39.0,,14.0,1.0,9.0,,4.0,4.0,,4.0,17.0,11.0,6.0,9.0,8.0,51.0,372.0,,,1.0,0.0,206.0,3.0,,1.0,,,98.0,109.0,8.0,156.0,,8.0,19.0,3.0,,,5.0,1.0,136.0,4.0,1.0,238.0,1083.0,6.0,2.0,36.0,,10.0,805.0,20.0,1.0,2.0,4.0,1.0,1.0,5.0,21.0,883.0,89.0,3.0,,97032,5.0,450.0,2.0,3.0,,461.0,2.0,1.0,,19.0,4.0,41.0,3.0,8.0,4.0,14.0,1.0,4.0,2.0,59.0,818.0,6.0,7.0,4.0,5.0,95.0,,,0.0,4.0,2.0,1.0,4.0,0.0,1.0,4.0,,3.0,71.6,20.0,11.0,,,8.0,3.0,69.0,9.0,,897.0,10.0,,16.0,27.0,6.0,35.0,3.0,5.0,453.0,6.0,8.0,11.0,158.0,26.0,4.0,1.0,2.0,15.0,9.0,3.0,13.0,1.0,11.0,10.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,,,1.0,3.0,3.0,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,
31,2210576,2022-04-02 12:30:00,"Anfield, Liverpool",53104.0,Home,Liverpool,Watford,2,0,W,1,0,0,0,1.0,2.0,24.0,69.0,4.0,28.0,3.0,8.0,8.0,12.0,2.0,,,198.0,,12.0,7.0,6.0,2.0,4.0,15.0,3.0,210.0,165.0,58.0,,20.0,3.0,13.0,1.0,1.0,1.0,,1.0,22.0,13.0,3.0,8.0,5.0,38.0,353.0,3.0,,1.0,0.0,207.0,9.0,,1.0,3.0,,78.0,117.0,8.0,106.0,2.0,14.0,15.0,8.0,,,8.0,5.0,165.0,1.0,4.0,202.0,912.0,11.0,,28.0,,7.0,596.0,20.0,,1.0,1.0,1.0,1.0,7.0,26.0,705.0,83.0,1.0,,97032,9.0,260.0,,3.0,,288.0,4.0,1.0,,15.0,2.0,50.0,1.0,9.0,1.0,13.0,1.0,2.0,2.0,46.0,606.0,8.0,5.0,4.0,6.0,79.0,,,0.0,2.0,3.0,2.0,2.0,0.0,4.0,1.0,,6.0,73.1,26.0,11.0,,,9.0,7.0,55.0,9.0,,716.0,7.0,,11.0,19.0,10.0,37.0,3.0,5.0,450.0,6.0,4.0,21.0,149.0,29.0,1.0,1.0,1.0,23.0,11.0,3.0,19.0,1.0,6.0,9.0,,,,,,1.0,,2.0,,1.0,2.0,,1.0,3.0,,,4.0,1.0,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
32,2210586,2022-04-10 16:30:00,"Etihad Stadium, Manchester",53197.0,Away,Liverpool,Manchester City,2,2,D,1,2,0,0,1.0,2.0,27.0,58.0,,29.0,18.0,1.0,3.0,4.0,2.0,,1.0,171.0,,16.0,1.0,4.0,2.0,1.0,5.0,4.0,109.0,131.0,39.0,,6.0,,9.0,1.0,1.0,2.0,2.0,1.0,5.0,12.0,18.0,1.0,1.0,62.0,168.0,,,,0.0,112.0,11.0,1.0,,,,41.0,54.0,4.0,76.0,1.0,4.0,10.0,2.0,,,2.0,1.0,131.0,3.0,7.0,112.0,637.0,3.0,6.0,19.0,,8.0,355.0,26.0,1.0,7.0,2.0,4.0,3.0,1.0,15.0,440.0,55.0,4.0,,97032,3.0,210.0,1.0,2.0,,242.0,6.0,2.0,1.0,10.0,10.0,46.0,6.0,6.0,2.0,14.0,4.0,6.0,,64.0,377.0,8.0,10.0,10.0,1.0,64.0,,1.0,0.0,2.0,4.0,3.0,2.0,0.0,1.0,2.0,2.0,,44.9,15.0,6.0,,,7.0,,37.0,1.0,,468.0,8.0,,12.0,27.0,2.0,21.0,,1.0,231.0,3.0,1.0,9.0,71.0,18.0,2.0,1.0,7.0,18.0,5.0,3.0,9.0,1.0,4.0,1.0,,1.0,2.0,1.0,1.0,,1.0,,2.0,,,,2.0,,1.0,,,,1.0,1.0,1.0,,,,1.0,,3.0,,,,,2.0,,1.0,,,1.0,,3.0,1.0,,,1.0,,1.0,,,,,,,,,,,
33,2210591,2022-05-10 20:00:00,"Villa Park, Birmingham",41919.0,Away,Liverpool,Aston Villa,2,1,W,1,1,0,0,1.0,1.0,19.0,64.0,2.0,42.0,13.0,6.0,4.0,11.0,3.0,,2.0,169.0,1.0,9.0,5.0,17.0,2.0,3.0,11.0,6.0,135.0,132.0,51.0,2.0,17.0,1.0,12.0,3.0,1.0,1.0,1.0,2.0,17.0,10.0,13.0,3.0,7.0,55.0,233.0,,,,0.0,149.0,12.0,2.0,1.0,2.0,1.0,81.0,60.0,7.0,87.0,4.0,14.0,18.0,6.0,2.0,,1.0,4.0,132.0,,7.0,139.0,702.0,8.0,1.0,37.0,1.0,8.0,425.0,23.0,2.0,5.0,1.0,0.0,,4.0,20.0,513.0,52.0,1.0,,97032,6.0,213.0,1.0,11.0,,243.0,7.0,1.0,,18.0,6.0,48.0,2.0,6.0,1.0,13.0,2.0,5.0,1.0,64.0,441.0,9.0,12.0,10.0,2.0,72.0,1.0,,0.0,,2.0,3.0,2.0,0.0,3.0,1.0,2.0,4.0,60.8,16.0,3.0,1.0,1.0,6.0,3.0,55.0,3.0,1.0,530.0,8.0,2.0,2.0,34.0,8.0,31.0,2.0,4.0,304.0,9.0,4.0,10.0,108.0,32.0,1.0,1.0,5.0,15.0,9.0,3.0,27.0,1.0,7.0,3.0,1.0,,,1.0,,,,1.0,,1.0,4.0,1.0,2.0,2.0,,,1.0,1.0,,,1.0,,,,3.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,
34,2210608,2022-04-24 16:30:00,"Anfield, Liverpool",53213.0,Home,Liverpool,Everton,2,0,W,0,0,0,0,,2.0,20.0,45.0,2.0,37.0,7.0,6.0,2.0,12.0,1.0,,2.0,206.0,1.0,10.0,8.0,6.0,2.0,1.0,13.0,4.0,216.0,161.0,41.0,,18.0,1.0,11.0,1.0,1.0,1.0,1.0,5.0,36.0,10.0,7.0,13.0,3.0,42.0,483.0,1.0,,1.0,0.0,270.0,8.0,,1.0,1.0,,93.0,120.0,6.0,121.0,2.0,23.0,23.0,6.0,,1.0,7.0,4.0,161.0,2.0,5.0,244.0,993.0,11.0,3.0,42.0,,4.0,685.0,19.0,2.0,2.0,2.0,2.0,4.0,7.0,29.0,770.0,92.0,,,97032,7.0,226.0,,15.0,1.0,246.0,1.0,,,23.0,9.0,46.0,,6.0,1.0,20.0,4.0,9.0,2.0,53.0,701.0,7.0,8.0,7.0,6.0,78.0,,1.0,0.0,1.0,1.0,,2.0,0.0,6.0,1.0,3.0,6.0,82.4,24.0,2.0,1.0,,6.0,3.0,60.0,13.0,,787.0,4.0,,8.0,24.0,11.0,56.0,2.0,7.0,577.0,10.0,3.0,13.0,222.0,18.0,,,2.0,15.0,12.0,3.0,18.0,,10.0,13.0,,,,1.0,,,,1.0,,,,2.0,1.0,,,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,
35,2210615,2022-04-30 12:30:00,"St. James' Park, Newcastle",52281.0,Away,Liverpool,Newcastle United,1,0,W,1,0,0,0,3.0,1.0,25.0,62.0,2.0,30.0,15.0,7.0,5.0,17.0,2.0,1.0,4.0,164.0,1.0,16.0,6.0,10.0,1.0,3.0,15.0,10.0,134.0,139.0,53.0,2.0,24.0,2.0,20.0,9.0,2.0,1.0,2.0,3.0,16.0,6.0,15.0,6.0,7.0,50.0,199.0,3.0,,1.0,0.0,117.0,11.0,1.0,1.0,1.0,1.0,55.0,47.0,10.0,95.0,1.0,10.0,19.0,7.0,2.0,,4.0,5.0,139.0,2.0,,135.0,718.0,12.0,1.0,38.0,2.0,6.0,424.0,23.0,1.0,8.0,1.0,3.0,1.0,5.0,15.0,507.0,57.0,1.0,,97032,12.0,249.0,1.0,5.0,,281.0,5.0,,1.0,19.0,2.0,63.0,1.0,7.0,1.0,16.0,4.0,2.0,2.0,58.0,442.0,11.0,15.0,12.0,5.0,65.0,1.0,2.0,0.0,1.0,,,1.0,0.0,3.0,1.0,,3.0,66.1,9.0,3.0,2.0,4.0,7.0,4.0,36.0,6.0,1.0,528.0,6.0,2.0,12.0,30.0,10.0,33.0,3.0,5.0,263.0,16.0,6.0,17.0,85.0,28.0,,,8.0,15.0,16.0,3.0,17.0,,13.0,6.0,,2.0,1.0,,2.0,,,1.0,1.0,,1.0,,1.0,2.0,2.0,,1.0,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
36,2210628,2022-05-07 19:45:00,"Anfield, Liverpool",53177.0,Home,Liverpool,Tottenham Hotspur,1,1,D,0,0,0,0,,,29.0,73.0,5.0,32.0,12.0,13.0,4.0,9.0,2.0,,2.0,177.0,,18.0,10.0,6.0,1.0,6.0,16.0,3.0,165.0,156.0,47.0,1.0,22.0,8.0,12.0,,1.0,1.0,1.0,1.0,46.0,11.0,12.0,11.0,1.0,51.0,393.0,,,,0.0,259.0,12.0,1.0,,4.0,,103.0,104.0,11.0,90.0,2.0,35.0,17.0,13.0,1.0,,16.0,2.0,156.0,,5.0,186.0,833.0,12.0,2.0,43.0,,4.0,519.0,17.0,,5.0,1.0,3.0,3.0,5.0,19.0,607.0,93.0,,,97032,6.0,147.0,,15.0,1.0,154.0,7.0,1.0,,17.0,4.0,53.0,,4.0,1.0,10.0,3.0,4.0,2.0,51.0,530.0,7.0,9.0,2.0,6.0,59.0,1.0,,0.0,,5.0,,,0.0,7.0,,2.0,4.0,64.9,17.0,14.0,,,4.0,13.0,46.0,11.0,,618.0,4.0,,15.0,24.0,6.0,69.0,3.0,3.0,510.0,14.0,1.0,15.0,192.0,38.0,1.0,2.0,5.0,19.0,12.0,3.0,11.0,2.0,10.0,11.0,,2.0,,2.0,2.0,,,,,1.0,3.0,,,3.0,2.0,,3.0,,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,
37,2210636,2022-05-17 19:45:00,"St. Mary's Stadium, Southampton",31588.0,Away,Liverpool,Southampton,2,1,W,1,1,0,0,,,25.0,67.0,4.0,26.0,12.0,12.0,9.0,12.0,1.0,,3.0,216.0,,13.0,7.0,11.0,2.0,1.0,19.0,5.0,210.0,138.0,48.0,,24.0,5.0,15.0,,1.0,1.0,1.0,3.0,35.0,10.0,12.0,6.0,6.0,32.0,395.0,1.0,,,0.0,245.0,6.0,,2.0,,1.0,108.0,124.0,10.0,115.0,4.0,29.0,17.0,12.0,,,9.0,4.0,138.0,,1.0,193.0,938.0,16.0,5.0,36.0,,9.0,645.0,26.0,4.0,8.0,1.0,0.0,2.0,9.0,25.0,722.0,82.0,,,92217,7.0,267.0,,20.0,,288.0,4.0,1.0,,17.0,1.0,39.0,,4.0,1.0,13.0,3.0,1.0,1.0,41.0,655.0,6.0,4.0,12.0,5.0,69.0,,1.0,0.0,,1.0,,2.0,0.0,6.0,1.0,1.0,2.0,70.9,24.0,14.0,3.0,,4.0,9.0,57.0,9.0,1.0,734.0,9.0,,10.0,20.0,10.0,48.0,1.0,6.0,481.0,13.0,5.0,13.0,200.0,22.0,1.0,2.0,8.0,18.0,19.0,3.0,16.0,2.0,4.0,9.0,,,3.0,3.0,,,,1.0,3.0,,,,2.0,2.0,,,1.0,1.0,1.0,,2.0,,,,3.0,,,,,,,1.0,,1.0,1.0,,2.0,,3.0,,,,,,,,,1.0,,,,,1.0,,,
38,2210648,2022-05-22 16:00:00,"Anfield, Liverpool",53097.0,Home,Liverpool,Wolverhampton Wanderers,3,1,W,1,1,0,0,1.0,3.0,28.0,65.0,9.0,25.0,7.0,7.0,11.0,22.0,4.0,3.0,1.0,201.0,,14.0,8.0,12.0,3.0,,20.0,8.0,199.0,131.0,42.0,,29.0,5.0,4.0,4.0,5.0,2.0,2.0,3.0,24.0,13.0,7.0,4.0,6.0,39.0,337.0,,,,0.0,241.0,6.0,3.0,1.0,,2.0,106.0,61.0,16.0,89.0,2.0,20.0,15.0,7.0,,,10.0,1.0,131.0,4.0,6.0,180.0,867.0,15.0,3.0,61.0,3.0,6.0,582.0,24.0,1.0,3.0,3.0,1.0,,4.0,25.0,658.0,77.0,1.0,,97032,12.0,264.0,1.0,10.0,2.0,276.0,3.0,,1.0,15.0,4.0,35.0,3.0,8.0,2.0,14.0,1.0,4.0,1.0,43.0,593.0,2.0,8.0,8.0,3.0,68.0,1.0,,0.0,1.0,3.0,3.0,3.0,0.0,5.0,3.0,,5.0,62.9,23.0,9.0,2.0,1.0,9.0,14.0,55.0,5.0,2.0,669.0,6.0,,12.0,22.0,7.0,49.0,3.0,6.0,417.0,13.0,4.0,7.0,188.0,23.0,1.0,1.0,3.0,21.0,26.0,3.0,18.0,1.0,9.0,5.0,1.0,,2.0,1.0,,,,1.0,2.0,,,1.0,3.0,2.0,,,2.0,,1.0,2.0,,,,,3.0,,,,,,,1.0,,1.0,1.0,,,,2.0,1.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,
