gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,shotFastbreak,attBxRight,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attGoalHighCentre,keeperGoals,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,penAreaEntries,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,attIboxBlocked,attObxCentre,fouledFinalThird,accuratePullBack,attOboxBlocked,attMissLeft,attOboxTarget,freekickCross,attMissRight,attemptsObox,attOboxMiss,attMissHighLeft,offtargetAttAssist,accurateThroughBall,attMissHigh,attAssistSetplay,attSvLowRight,attHdMiss,attBxLeft,blockedScoringAtt,shotOffTarget,attIboxMiss,attCmissRight,attSvHighRight,attSetpiece,penaltyConceded,attCmissHigh,penaltyFaced,penGoalsConceded,accurateCornersIntobox,attFreekickTotal,freekickTotal,attLgCentre,expectedGoalsFreekick,errorLeadToShot,sixYardBlock,foulThrowIn,goalAssistSetplay,goalAssist,attCmissLeft,ptsDroppedWinningPos,bigChanceScored,goalAssistOpenplay,attOneOnOne,attMissHighRight,ptsGainedLosingPos,attFreekickTarget,goalAssistIntentional,clearanceOffLine,forwardGoals,postScoringAtt,attIboxPost,hitWoodwork,attCmissHighRight,attObxRight,attFreekickMiss,attPostRight,errorLeadToGoal,handBall,penaltySave,goalAssistDeadball,attHdPost,accurateFreekickCross,attPostHigh,attPostLeft,attIboxOwnGoal,attSvHighLeft,goalFastbreak,contentiousDecision,attCmissHighLeft,attObxLeft,attOboxPost,penaltyWon
11,2561995,2025-11-09 14:00:00,"Villa Park, Birmingham",40792.0,Home,Aston Villa,Bournemouth,4,0,W,2.0,0.0,0,0,0.0,1.0,40.0,2.0,0.0,2.0,2.2751,20.0,22.0,4.0,10.0,3.0,0.0,3.0,113.0,0.0,3.0,7.0,4.0,11.0,8.0,91.0,125.0,54.0,16.0,11.0,2.0,1.0,,1.0,2.0,16.0,12.0,0.0,22.0,5.0,1.0,27.0,1.0593,126.0,1.0,2.0,0.0,110.0,8.0,0.0,2.0,1.0,2.0,,2.0,52.0,29.0,9.0,56.0,1.0,11.0,19.0,0.0,0.0,3.0,125.0,2.0,6.0,2.0,86.0,548.0,9.0,2.0,27.0,1.0,6.0,249.0,10.0,2.0,11.0,1.0,2.0,4.0,0.678551,15.0,315.0,54.0,32.95,449871,5.0,148.0,2.0,6.0,167.0,6.0,107631.04,3.0,,11.0,7.0,47.0,0.0,2.0,0.0,,5.0,1.0,15.0,6.0,5.0,0.0,48.0,271.0,19.0,13.0,15.0,5.0,50.0,1.0,2.0,0.0,1.0,,0.0,1.0,9.0,1.0,2.0,0.0,1.0,0.0,2.0,,2.0,51.8,10.0,5.0,,5.0,25.0,6.0,2.0,346.0,6.0,10.0,14.0,27.0,195.0,10.0,1.0,8.0,69.0,16.0,4.0,11.0,20.0,1.0,0.0,8.0,6.0,13.0,1.6986,4.0,11.0,6.0,4.0,6.0,5.0,,2.0,,2.0,2.0,2.0,6.0,,,2.0,1.0,,1.0,1.0,,3.0,6.0,2.0,2.0,,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,,0.149,,1.0,,2.0,2.0,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,
12,2562010,2025-11-23 14:00:00,"Elland Road, Leeds",36819.0,Away,Aston Villa,Leeds United,2,1,W,0.0,1.0,0,0,0.0,,57.0,1.0,0.0,,0.4638,18.0,18.0,5.0,8.0,3.0,1.0,1.0,172.0,0.0,4.0,12.0,2.0,12.0,3.0,113.0,135.0,61.0,14.0,11.0,1.0,2.0,1.0,,1.0,11.0,8.0,0.0,18.0,3.0,12.0,31.0,1.7132,150.0,,1.0,0.0,99.0,16.0,0.0,1.0,2.0,0.0,,3.0,42.0,27.0,6.0,75.0,,8.0,16.0,1.0,0.0,2.0,135.0,1.0,9.0,0.0,89.0,649.0,11.0,1.0,23.0,1.0,7.0,335.0,29.0,3.0,13.0,,1.0,5.0,0.76027,15.0,420.0,51.0,31.89,204646,4.0,212.0,1.0,6.0,236.0,10.0,108122.22,1.0,,7.0,6.0,62.0,0.0,,0.0,2.0,5.0,1.0,8.0,5.0,5.0,0.0,49.0,358.0,16.0,9.0,18.0,1.0,77.0,2.0,0.0,0.0,1.0,,0.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0,3.0,,1.0,52.1,15.0,4.0,1.0,5.0,42.0,3.0,3.0,449.0,7.0,14.0,16.0,20.0,224.0,8.0,11.0,15.0,58.0,18.0,4.0,13.0,20.0,0.0,1.0,11.0,5.0,24.0,1.5772,4.0,7.0,3.0,1.0,6.0,2.0,,3.0,,,,4.0,6.0,2.0,,6.0,,2.0,1.0,1.0,1.0,1.0,4.0,7.0,5.0,3.0,,,,1.0,,,1.0,2.0,2.0,,0.1649,,1.0,,,1.0,,,,1.0,,1.0,3.0,,1.0,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,
13,2562015,2025-11-30 14:05:00,"Villa Park, Birmingham",42139.0,Home,Aston Villa,Wolverhampton Wanderers,1,0,W,0.0,0.0,0,0,0.0,1.0,41.0,0.0,0.0,1.0,1.1743,14.0,26.0,5.0,9.0,4.0,1.0,4.0,135.0,0.0,5.0,7.0,1.0,13.0,6.0,139.0,116.0,59.0,16.0,13.0,3.0,1.0,4.0,,2.0,21.0,9.0,1.0,26.0,5.0,8.0,22.0,0.9764,256.0,1.0,1.0,0.0,161.0,13.0,0.0,3.0,1.0,1.0,1.0,1.0,54.0,82.0,9.0,67.0,1.0,16.0,19.0,0.0,0.0,1.0,116.0,,7.0,0.0,120.0,652.0,10.0,4.0,28.0,,4.0,381.0,18.0,1.0,14.0,,0.0,3.0,1.02041,13.0,438.0,65.0,32.73,178301,3.0,150.0,1.0,11.0,166.0,8.0,106657.56,0.0,,5.0,2.0,55.0,0.0,2.0,0.0,,1.0,1.0,14.0,2.0,2.0,0.0,29.0,401.0,20.0,7.0,8.0,2.0,38.0,1.0,0.0,0.0,0.0,,0.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,2.0,,1.0,52.2,11.0,4.0,1.0,1.0,28.0,7.0,1.0,461.0,4.0,13.0,9.0,32.0,316.0,10.0,6.0,17.0,131.0,17.0,1.0,14.0,16.0,0.0,0.0,11.0,5.0,16.0,0.9372,1.0,5.0,7.0,3.0,6.0,7.0,,1.0,,2.0,4.0,3.0,7.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,,4.0,6.0,3.0,2.0,,2.0,,,,,3.0,1.0,1.0,1.0,0.0582,,,,,1.0,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,
14,2562027,2025-12-03 19:30:00,"American Express Stadium, Falmer",31180.0,Away,Aston Villa,Brighton and Hove Albion,4,3,W,2.0,2.0,0,0,0.0,,40.0,1.0,2.0,2.0,4.4456,15.0,25.0,2.0,12.0,4.0,0.0,4.0,131.0,1.0,4.0,13.0,4.0,12.0,10.0,91.0,119.0,56.0,14.0,9.0,5.0,1.0,1.0,2.0,2.0,15.0,13.0,0.0,25.0,6.0,7.0,27.0,2.1941,86.0,,0.0,0.0,66.0,9.0,0.0,2.0,1.0,1.0,2.0,,27.0,20.0,11.0,63.0,1.0,9.0,13.0,0.0,0.0,3.0,119.0,5.0,13.0,1.0,77.0,560.0,8.0,6.0,25.0,2.0,8.0,279.0,16.0,4.0,13.0,2.0,2.0,3.0,1.42492,16.0,336.0,37.0,32.86,441302,3.0,218.0,2.0,4.0,240.0,4.0,114810.64,3.0,,4.0,10.0,54.0,1.0,2.0,0.0,1.0,7.0,2.0,10.0,4.0,8.0,0.0,38.0,300.0,10.0,13.0,16.0,4.0,49.0,1.0,0.0,0.0,0.0,,0.0,3.0,5.0,3.0,4.0,3.0,2.0,0.0,2.0,1.0,4.0,43.6,7.0,3.0,1.0,7.0,27.0,6.0,,362.0,8.0,15.0,14.0,26.0,137.0,8.0,7.0,10.0,40.0,13.0,1.0,13.0,23.0,1.0,3.0,7.0,5.0,21.0,2.4056,1.0,4.0,6.0,2.0,1.0,,,,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,,1.0,2.0,,2.0,2.0,2.0,1.0,,,,,,,,2.0,,,,,,1.0,,1.0,3.0,,,4.0,2.0,,,3.0,,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,
15,2562036,2025-12-06 12:30:00,"Villa Park, Birmingham",42888.0,Home,Aston Villa,Arsenal,2,1,W,1.0,0.0,0,0,0.0,2.0,44.0,0.0,0.0,5.0,1.9933,31.0,23.0,4.0,13.0,7.0,0.0,2.0,144.0,1.0,1.0,10.0,2.0,9.0,6.0,97.0,130.0,40.0,15.0,12.0,4.0,2.0,2.0,1.0,1.0,14.0,10.0,0.0,23.0,3.0,12.0,26.0,2.0719,173.0,,0.0,0.0,126.0,10.0,0.0,5.0,2.0,0.0,1.0,,41.0,43.0,9.0,64.0,1.0,11.0,18.0,1.0,0.0,4.0,130.0,2.0,9.0,1.0,92.0,578.0,8.0,3.0,43.0,,6.0,307.0,13.0,9.0,12.0,1.0,0.0,2.0,1.07532,17.0,371.0,53.0,34.68,441302,6.0,153.0,4.0,6.0,170.0,4.0,109084.25,2.0,1.0,3.0,11.0,48.0,0.0,4.0,1.0,,4.0,2.0,18.0,6.0,8.0,0.0,56.0,325.0,8.0,6.0,24.0,,64.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,2.0,1.0,,0.0,1.0,1.0,1.0,47.3,10.0,2.0,,4.0,40.0,3.0,1.0,397.0,6.0,13.0,16.0,24.0,241.0,10.0,10.0,7.0,92.0,20.0,2.0,12.0,15.0,0.0,1.0,13.0,5.0,17.0,2.1624,2.0,3.0,3.0,6.0,2.0,1.0,,1.0,1.0,,1.0,,2.0,1.0,1.0,,1.0,,,2.0,,1.0,7.0,2.0,1.0,,,,,,,,,,,,,4.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
16,2562054,2025-12-14 14:00:00,"London Stadium, London",62447.0,Away,Aston Villa,West Ham United,3,2,W,1.0,2.0,0,0,0.0,1.0,47.0,2.0,0.0,1.0,0.9723,27.0,13.0,2.0,4.0,1.0,0.0,1.0,160.0,0.0,3.0,10.0,3.0,7.0,4.0,149.0,109.0,66.0,7.0,9.0,1.0,,,,2.0,11.0,17.0,0.0,13.0,2.0,11.0,35.0,0.7268,204.0,,1.0,0.0,126.0,13.0,0.0,,,2.0,,2.0,76.0,32.0,5.0,101.0,,9.0,10.0,0.0,0.0,1.0,109.0,1.0,7.0,0.0,156.0,731.0,5.0,,12.0,,6.0,478.0,21.0,3.0,8.0,,2.0,2.0,0.665534,12.0,538.0,41.0,32.61,122806,1.0,302.0,,7.0,325.0,4.0,107023.28,2.0,1.0,5.0,7.0,45.0,0.0,1.0,0.0,1.0,3.0,2.0,15.0,3.0,5.0,0.0,44.0,503.0,16.0,6.0,8.0,,46.0,,0.0,0.0,0.0,1.0,0.0,1.0,5.0,,1.0,2.0,,0.0,3.0,,1.0,59.1,8.0,2.0,,3.0,29.0,3.0,2.0,566.0,6.0,10.0,21.0,26.0,252.0,5.0,10.0,19.0,100.0,19.0,2.0,8.0,22.0,0.0,2.0,7.0,3.0,17.0,0.6335,2.0,5.0,3.0,,3.0,,1.0,1.0,,1.0,1.0,1.0,3.0,,,2.0,,1.0,,,,3.0,1.0,2.0,2.0,,,,,,,,,,,,,1.0,,,,2.0,,,1.0,2.0,,1.0,3.0,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,
17,2562056,2025-12-21 16:30:00,"Villa Park, Birmingham",43157.0,Home,Aston Villa,Manchester United,2,1,W,1.0,1.0,0,0,0.0,1.0,49.0,0.0,0.0,4.0,1.617,16.0,22.0,4.0,8.0,5.0,0.0,1.0,121.0,0.0,1.0,3.0,2.0,10.0,4.0,89.0,128.0,45.0,12.0,13.0,1.0,2.0,1.0,,1.0,7.0,10.0,2.0,22.0,4.0,7.0,29.0,0.8505,77.0,,0.0,0.0,59.0,11.0,0.0,3.0,2.0,2.0,1.0,7.0,14.0,27.0,8.0,57.0,,4.0,15.0,0.0,0.0,2.0,128.0,1.0,5.0,0.0,84.0,545.0,6.0,2.0,20.0,,7.0,251.0,19.0,4.0,11.0,,1.0,3.0,0.219234,8.0,313.0,27.0,33.14,441302,3.0,205.0,2.0,2.0,233.0,10.0,107116.48,2.0,,9.0,13.0,58.0,0.0,2.0,0.0,3.0,5.0,2.0,16.0,10.0,12.0,0.0,48.0,281.0,13.0,8.0,16.0,3.0,50.0,2.0,0.0,0.0,0.0,1.0,0.0,,5.0,1.0,2.0,1.0,,0.0,1.0,,,42.6,2.0,2.0,,6.0,21.0,5.0,7.0,351.0,7.0,16.0,8.0,15.0,125.0,8.0,7.0,11.0,37.0,15.0,4.0,11.0,18.0,0.0,1.0,8.0,5.0,13.0,1.5446,4.0,9.0,5.0,3.0,4.0,,,2.0,,1.0,,2.0,4.0,1.0,,2.0,,,2.0,,,2.0,5.0,3.0,1.0,1.0,,,,,,,1.0,,,,,1.0,1.0,,,2.0,,,,2.0,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
18,2562068,2025-12-27 17:30:00,"Stamford Bridge, London",39765.0,Away,Aston Villa,Chelsea,2,1,W,0.0,1.0,0,0,0.0,2.0,44.0,1.0,1.0,1.0,2.9463,19.0,28.0,3.0,7.0,2.0,1.0,4.0,113.0,0.0,1.0,6.0,2.0,7.0,8.0,91.0,108.0,37.0,11.0,11.0,5.0,1.0,1.0,,3.0,8.0,2.0,0.0,28.0,2.0,7.0,36.0,1.4269,82.0,,0.0,0.0,63.0,8.0,0.0,1.0,1.0,0.0,1.0,2.0,23.0,19.0,7.0,55.0,1.0,6.0,14.0,0.0,0.0,1.0,108.0,3.0,8.0,2.0,62.0,489.0,6.0,3.0,19.0,,4.0,229.0,29.0,4.0,16.0,,3.0,7.0,0.69993,13.0,289.0,25.0,34.05,441302,5.0,176.0,3.0,4.0,203.0,7.0,100963.27,0.0,2.0,9.0,11.0,51.0,0.0,3.0,0.0,,3.0,1.0,7.0,6.0,11.0,0.0,42.0,257.0,15.0,6.0,11.0,1.0,47.0,1.0,0.0,0.0,0.0,,0.0,2.0,6.0,1.0,2.0,1.0,,0.0,,1.0,1.0,37.1,11.0,1.0,,3.0,23.0,7.0,2.0,321.0,4.0,16.0,16.0,16.0,126.0,7.0,6.0,9.0,41.0,10.0,1.0,16.0,8.0,1.0,1.0,8.0,5.0,16.0,1.1941,1.0,9.0,7.0,1.0,4.0,3.0,,2.0,,1.0,1.0,,4.0,1.0,,,2.0,1.0,,1.0,,1.0,2.0,1.0,,,,,,1.0,,,1.0,2.0,2.0,,0.1303,1.0,,,1.0,1.0,,,2.0,,2.0,,3.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,
19,2562075,2025-12-30 20:15:00,"Emirates Stadium, London",60279.0,Away,Aston Villa,Arsenal,1,4,L,0.0,0.0,0,0,2.0,1.0,24.0,0.0,0.0,2.0,1.6411,21.0,17.0,3.0,9.0,3.0,1.0,2.0,121.0,1.0,1.0,8.0,1.0,7.0,3.0,112.0,95.0,44.0,11.0,7.0,2.0,2.0,,,1.0,12.0,3.0,0.0,17.0,3.0,9.0,24.0,2.7188,132.0,,0.0,0.0,58.0,9.0,0.0,3.0,2.0,0.0,1.0,1.0,29.0,34.0,4.0,77.0,,9.0,10.0,0.0,0.0,2.0,95.0,1.0,17.0,0.0,106.0,573.0,6.0,5.0,21.0,,3.0,329.0,11.0,9.0,6.0,,3.0,7.0,0.39818,17.0,380.0,23.0,32.36,209243,4.0,231.0,4.0,6.0,261.0,4.0,102972.69,0.0,,4.0,8.0,38.0,0.0,,0.0,1.0,1.0,1.0,9.0,5.0,8.0,0.0,38.0,362.0,17.0,5.0,22.0,,41.0,2.0,0.0,0.0,0.0,,0.0,1.0,3.0,1.0,1.0,4.0,1.0,0.0,1.0,,1.0,53.7,14.0,1.0,,1.0,29.0,3.0,1.0,416.0,3.0,10.0,17.0,21.0,167.0,7.0,7.0,9.0,46.0,8.0,,6.0,10.0,0.0,2.0,10.0,5.0,15.0,2.517,,4.0,3.0,2.0,1.0,2.0,,2.0,1.0,,1.0,1.0,2.0,,,3.0,,,1.0,,,1.0,4.0,4.0,2.0,,,1.0,,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,2.0,2.0,2.0,,,,1.0,2.0,,,,1.0,,,1.0,,,,,,,,
20,2562086,2026-01-03 12:30:00,"Villa Park, Birmingham",43039.0,Home,Aston Villa,Nottingham Forest,3,1,W,1.0,0.0,0,0,0.0,,46.0,1.0,0.0,2.0,1.4533,16.0,12.0,6.0,5.0,4.0,2.0,1.0,180.0,0.0,2.0,4.0,3.0,7.0,4.0,176.0,126.0,49.0,11.0,6.0,1.0,1.0,,1.0,1.0,16.0,9.0,0.0,12.0,,11.0,40.0,1.6719,354.0,,2.0,0.0,237.0,10.0,0.0,2.0,2.0,2.0,,1.0,58.0,89.0,7.0,90.0,,16.0,15.0,2.0,0.0,3.0,126.0,2.0,6.0,0.0,199.0,842.0,4.0,4.0,46.0,,11.0,547.0,7.0,3.0,6.0,1.0,1.0,2.0,1.01035,17.0,612.0,65.0,32.64,244850,4.0,227.0,1.0,13.0,235.0,7.0,109488.77,1.0,1.0,4.0,4.0,43.0,0.0,1.0,0.0,1.0,5.0,3.0,23.0,4.0,4.0,0.0,30.0,579.0,18.0,8.0,7.0,1.0,57.0,1.0,0.0,0.0,0.0,1.0,0.0,,4.0,2.0,1.0,1.0,2.0,0.0,2.0,,,72.7,14.0,7.0,,5.0,44.0,4.0,1.0,645.0,11.0,8.0,22.0,46.0,426.0,5.0,9.0,10.0,189.0,25.0,2.0,6.0,18.0,0.0,1.0,9.0,5.0,15.0,1.5929,2.0,4.0,4.0,2.0,6.0,4.0,,2.0,,,,3.0,6.0,2.0,,,,,,,,1.0,4.0,3.0,1.0,2.0,,,,,,,,1.0,1.0,,0.1014,2.0,,,,3.0,,,1.0,3.0,1.0,,,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,
21,2562099,2026-01-07 19:30:00,"Selhurst Park, London",24841.0,Away,Aston Villa,Crystal Palace,0,0,D,0.0,0.0,0,0,0.0,,40.0,0.0,0.0,,0.758,19.0,21.0,6.0,11.0,5.0,0.0,3.0,147.0,0.0,4.0,7.0,0.0,11.0,3.0,166.0,128.0,38.0,15.0,11.0,2.0,,,1.0,,16.0,8.0,0.0,21.0,5.0,12.0,40.0,1.585,177.0,1.0,0.0,0.0,133.0,3.0,0.0,2.0,,0.0,2.0,,58.0,50.0,7.0,76.0,1.0,11.0,18.0,0.0,0.0,,128.0,3.0,9.0,0.0,148.0,728.0,9.0,4.0,37.0,,9.0,451.0,13.0,2.0,11.0,1.0,0.0,4.0,0.931999,18.0,517.0,49.0,32.57,199798,7.0,297.0,3.0,10.0,313.0,1.0,108122.23,0.0,1.0,5.0,10.0,36.0,0.0,1.0,0.0,,5.0,0.0,19.0,2.0,10.0,0.0,35.0,470.0,7.0,2.0,6.0,2.0,65.0,,0.0,0.0,0.0,,0.0,2.0,3.0,5.0,0.0,0.0,,0.0,3.0,1.0,4.0,59.1,10.0,4.0,1.0,5.0,45.0,5.0,,537.0,9.0,11.0,18.0,33.0,240.0,5.0,9.0,10.0,100.0,16.0,1.0,11.0,14.0,0.0,0.0,10.0,5.0,16.0,1.7393,1.0,5.0,5.0,3.0,4.0,,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,,4.0,1.0,3.0,2.0,,1.0,2.0,5.0,7.0,5.0,,,2.0,,1.0,,,1.0,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,
22,2562105,2026-01-18 16:30:00,"Villa Park, Birmingham",42770.0,Home,Aston Villa,Everton,0,1,L,0.0,0.0,0,0,0.0,3.0,49.0,0.0,0.0,2.0,0.9689,22.0,16.0,9.0,12.0,2.0,0.0,2.0,135.0,0.0,4.0,5.0,0.0,15.0,5.0,144.0,125.0,47.0,18.0,19.0,2.0,1.0,3.0,1.0,2.0,19.0,7.0,0.0,16.0,5.0,10.0,23.0,0.9835,217.0,,0.0,0.0,138.0,15.0,0.0,1.0,1.0,0.0,1.0,2.0,57.0,49.0,8.0,62.0,,15.0,16.0,0.0,0.0,3.0,125.0,,5.0,0.0,154.0,689.0,14.0,3.0,31.0,,4.0,408.0,21.0,3.0,9.0,1.0,1.0,4.0,1.26013,20.0,468.0,50.0,33.54,577285,7.0,221.0,,12.0,239.0,6.0,107640.81,0.0,1.0,8.0,6.0,53.0,0.0,2.0,0.0,1.0,3.0,0.0,27.0,4.0,6.0,0.0,44.0,434.0,13.0,2.0,8.0,3.0,48.0,1.0,0.0,0.0,0.0,,0.0,1.0,4.0,,0.0,1.0,2.0,0.0,3.0,1.0,4.0,62.9,17.0,5.0,1.0,3.0,32.0,6.0,2.0,495.0,4.0,10.0,9.0,33.0,275.0,5.0,10.0,16.0,113.0,18.0,,9.0,14.0,0.0,1.0,15.0,3.0,12.0,1.4407,,8.0,6.0,3.0,6.0,,1.0,3.0,1.0,3.0,,2.0,6.0,,,7.0,1.0,3.0,1.0,,3.0,2.0,6.0,7.0,6.0,,1.0,,,,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,,,,2.0,,,,1.0,,1.0,,,,,,,,,
23,2562123,2026-01-25 14:00:00,"St. James' Park, Newcastle",52134.0,Away,Aston Villa,Newcastle United,2,0,W,1.0,0.0,0,0,0.0,1.0,66.0,0.0,1.0,,1.7976,16.0,29.0,2.0,7.0,4.0,0.0,5.0,148.0,0.0,5.0,6.0,2.0,8.0,8.0,71.0,136.0,49.0,14.0,18.0,2.0,,,1.0,2.0,10.0,13.0,0.0,29.0,4.0,7.0,16.0,1.3053,169.0,1.0,1.0,0.0,135.0,12.0,0.0,3.0,,1.0,1.0,6.0,41.0,50.0,5.0,66.0,3.0,6.0,12.0,0.0,0.0,,136.0,1.0,9.0,0.0,68.0,545.0,5.0,4.0,26.0,,7.0,257.0,25.0,5.0,16.0,1.0,2.0,6.0,1.1281,12.0,320.0,58.0,33.16,244850,4.0,108.0,1.0,6.0,118.0,5.0,118493.13,1.0,,10.0,12.0,66.0,0.0,2.0,0.0,,2.0,1.0,18.0,6.0,8.0,0.0,58.0,272.0,7.0,13.0,22.0,3.0,78.0,,1.0,0.0,0.0,1.0,0.0,3.0,6.0,4.0,1.0,0.0,,0.0,3.0,1.0,3.0,39.3,7.0,5.0,1.0,2.0,31.0,5.0,6.0,353.0,7.0,9.0,5.0,25.0,245.0,9.0,6.0,16.0,92.0,19.0,2.0,16.0,21.0,1.0,0.0,9.0,5.0,21.0,1.1571,2.0,10.0,5.0,2.0,7.0,1.0,,1.0,1.0,4.0,,3.0,7.0,2.0,,3.0,,,1.0,1.0,2.0,,2.0,4.0,2.0,,1.0,1.0,,,,,2.0,1.0,1.0,,0.0729,,,,1.0,2.0,,,1.0,1.0,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
24,2562125,2026-02-01 14:00:00,"Villa Park, Birmingham",41415.0,Home,Aston Villa,Brentford,0,1,L,0.0,1.0,0,1,0.0,1.0,49.0,0.0,0.0,,0.9796,15.0,19.0,9.0,17.0,,0.0,4.0,188.0,0.0,7.0,8.0,0.0,21.0,5.0,183.0,127.0,49.0,27.0,18.0,4.0,2.0,,2.0,2.0,26.0,10.0,0.0,19.0,5.0,12.0,31.0,0.6991,412.0,,0.0,0.0,297.0,8.0,0.0,,2.0,0.0,2.0,1.0,90.0,98.0,13.0,90.0,,21.0,17.0,0.0,0.0,5.0,127.0,3.0,5.0,0.0,175.0,821.0,17.0,2.0,77.0,,3.0,533.0,19.0,3.0,7.0,2.0,1.0,1.0,2.11619,16.0,609.0,42.0,34.51,441302,12.0,153.0,3.0,16.0,170.0,1.0,116151.47,0.0,3.0,3.0,4.0,35.0,0.0,2.0,0.0,1.0,3.0,0.0,18.0,1.0,4.0,0.0,28.0,558.0,7.0,2.0,8.0,10.0,58.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0,,2.0,71.7,14.0,3.0,1.0,3.0,43.0,12.0,1.0,636.0,3.0,2.0,12.0,52.0,492.0,16.0,10.0,15.0,257.0,24.0,,7.0,19.0,0.0,1.0,14.0,2.0,13.0,2.4032,,3.0,12.0,7.0,10.0,,1.0,4.0,2.0,1.0,,1.0,10.0,5.0,3.0,8.0,1.0,4.0,4.0,,2.0,3.0,11.0,11.0,6.0,,,1.0,,1.0,,,2.0,,,,,1.0,1.0,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,
