gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,aerialLost,attIboxTarget,attBxRight,accurateKeeperSweeper,attSvLowCentre,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,cleanSheet,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,totalPullBack,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,overrun,lostCorners,savedIbox,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,wonCorners,bigChanceScored,attGoalLowRight,savedObox,attLfGoal,goals,attOboxBlocked,shotFastbreak,goalAssistOpenplay,attMissLeft,attGoalHighRight,attOboxTarget,attOboxGoal,attGoalHighCentre,attHdTarget,goalAssist,attRfGoal,attFastbreak,attSvLowRight,attCmissLeft,attIboxGoal,goalsConceded,goalAssistIntentional,shieldBallOop,forwardGoals,goalsConcededIbox,handBall,attLfTarget,attFreekickTotal,interceptionsInBox,freekickTotal,attObxdRight,attFreekickTarget,attSvHighCentre,attGoalLowLeft,goalAssistSetplay,totalFastbreak,midfielderGoals,attSvLowLeft,bigChanceCreated,attLgCentre,errorLeadToShot,penaltyConceded,goalsOpenplay,foulThrowIn,clearanceOffLine,penaltyFaced,penGoalsConceded,attHdGoal,attGoalLowCentre,attMissHighRight,bigChanceMissed,attCmissHighLeft,attCmissHighRight,attSvHighRight,penaltyWon,ownGoals,attPenGoal,attSvHighLeft,hitWoodwork,accurateFreekickCross,attGoalHighLeft,goalsConcededObox,defenderGoals,errorLeadToGoal,goalAssistDeadball,goalFastbreak,secondYellow,attFreekickMiss,postScoringAtt,attIboxPost,attHdPost,attPostRight,attPostHigh,attObxRight,attIboxOwnGoal
11,360570,2011-11-05 15:00:00,"Villa Park, Birmingham",35290,Home,Aston Villa,Norwich City,3,2,W,1,1,0,0,54.0,3.0,19.0,38.0,4.0,5.0,1.0,131.0,7.0,9.0,2.0,15.0,,,5.0,83.0,173.0,62.0,16.0,20.0,2.0,2.0,,1.0,23.0,15.0,25.0,6.0,7.0,10.0,157.0,,0.0,120.0,12.0,4.0,2.0,2.0,67.0,37.0,8.0,53.0,1.0,17.0,3.0,3.0,160.0,7.0,68.0,558.0,11.0,17.0,14.0,21.0,1.0,5.0,22.0,,1.0,3.0,7.0,20.0,63.0,2.0,8380,5.0,87.0,12.0,1.0,,108.0,,14.0,54.0,,2.0,5.0,5.0,6.0,4.0,6.0,,50.0,237.0,9.0,6.0,2.0,31.0,86.0,,0.0,5.0,6.0,3.0,5.0,0.0,4.0,2.0,47.2,14.0,2.0,6.0,2.0,5.0,4.0,36.0,6.0,2.0,335.0,10.0,6.0,4.0,7.0,18.0,3.0,4.0,250.0,9.0,7.0,24.0,77.0,17.0,4.0,18.0,20.0,11.0,2.0,19.0,4.0,6.0,3.0,1.0,2.0,1.0,3.0,1.0,,2.0,3.0,,,,,,2.0,2.0,,1.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,,1.0,,1.0,,,,,,,,,,3.0,,,,3.0,,,,,,2.0,2.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
12,360586,2011-11-21 20:00:00,"White Hart Lane, London",35818,Away,Aston Villa,Tottenham Hotspur,0,2,L,0,2,0,0,45.0,,23.0,35.0,,1.0,,109.0,6.0,5.0,1.0,3.0,,,1.0,60.0,145.0,45.0,3.0,19.0,1.0,,,,13.0,12.0,19.0,3.0,8.0,14.0,100.0,,0.0,101.0,5.0,2.0,1.0,,35.0,36.0,1.0,40.0,,10.0,5.0,,129.0,9.0,42.0,432.0,2.0,15.0,12.0,19.0,,14.0,16.0,,2.0,4.0,2.0,25.0,61.0,,8380,3.0,77.0,4.0,,,94.0,,15.0,49.0,,2.0,1.0,,9.0,13.0,5.0,1.0,45.0,171.0,4.0,12.0,1.0,31.0,75.0,,0.0,4.0,11.0,2.0,3.0,0.0,4.0,2.0,29.7,20.0,1.0,1.0,,,,35.0,3.0,1.0,251.0,9.0,7.0,10.0,2.0,21.0,2.0,2.0,170.0,,6.0,20.0,53.0,17.0,3.0,8.0,16.0,,2.0,11.0,3.0,3.0,,,2.0,,,,,,1.0,,,,,1.0,,,,1.0,,,2.0,,1.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
13,360597,2011-11-27 13:30:00,"Liberty Stadium, Swansea",20404,Away,Aston Villa,Swansea City,0,0,D,0,0,0,0,57.0,2.0,28.0,28.0,5.0,1.0,2.0,113.0,6.0,11.0,,10.0,,1.0,2.0,74.0,140.0,57.0,12.0,7.0,1.0,2.0,,1.0,24.0,20.0,19.0,6.0,7.0,31.0,152.0,1.0,0.0,114.0,16.0,1.0,,1.0,51.0,45.0,5.0,59.0,1.0,18.0,6.0,1.0,131.0,4.0,78.0,508.0,9.0,15.0,19.0,21.0,,13.0,18.0,,4.0,2.0,5.0,18.0,69.0,,8380,2.0,102.0,11.0,1.0,,117.0,,6.0,49.0,1.0,1.0,3.0,,7.0,3.0,4.0,2.0,50.0,248.0,9.0,9.0,1.0,31.0,71.0,,0.0,4.0,4.0,1.0,6.0,0.0,3.0,3.0,37.0,14.0,3.0,3.0,1.0,,5.0,40.0,6.0,1.0,324.0,12.0,9.0,17.0,5.0,17.0,3.0,4.0,231.0,7.0,6.0,12.0,64.0,31.0,1.0,13.0,25.0,,2.0,19.0,1.0,6.0,,,,,,3.0,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14,360599,2011-12-03 17:30:00,"Villa Park, Birmingham",40053,Home,Aston Villa,Manchester United,0,1,L,0,1,0,0,51.0,2.0,22.0,29.0,2.0,3.0,,154.0,8.0,3.0,,8.0,,,2.0,66.0,179.0,52.0,9.0,17.0,2.0,,1.0,,23.0,12.0,13.0,5.0,6.0,20.0,124.0,,0.0,103.0,4.0,2.0,,,54.0,37.0,4.0,64.0,,18.0,11.0,1.0,163.0,7.0,71.0,536.0,6.0,17.0,14.0,24.0,,14.0,14.0,1.0,0.0,4.0,4.0,25.0,67.0,,8380,6.0,122.0,6.0,,,149.0,,14.0,37.0,1.0,1.0,2.0,4.0,8.0,7.0,7.0,2.0,66.0,238.0,12.0,8.0,2.0,56.0,97.0,,0.0,,5.0,2.0,6.0,0.0,4.0,5.0,43.8,19.0,3.0,,,4.0,3.0,38.0,5.0,,355.0,12.0,5.0,10.0,4.0,20.0,4.0,3.0,229.0,,6.0,21.0,51.0,20.0,6.0,6.0,16.0,,3.0,6.0,6.0,5.0,,,1.0,,,1.0,,,2.0,,,,,2.0,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
15,360610,2011-12-10 15:00:00,"University of Bolton Stadium, Bolton",20285,Away,Aston Villa,Bolton Wanderers,2,1,W,2,0,0,0,63.0,2.0,23.0,40.0,4.0,5.0,1.0,145.0,7.0,8.0,1.0,13.0,1.0,,5.0,63.0,199.0,61.0,15.0,15.0,3.0,,,1.0,25.0,23.0,21.0,7.0,5.0,31.0,120.0,,0.0,119.0,9.0,2.0,,1.0,65.0,41.0,8.0,44.0,1.0,18.0,2.0,1.0,180.0,10.0,47.0,544.0,9.0,6.0,15.0,20.0,1.0,3.0,17.0,,2.0,7.0,5.0,22.0,77.0,1.0,8380,10.0,81.0,16.0,,,98.0,1.0,8.0,51.0,,1.0,6.0,2.0,12.0,7.0,1.0,1.0,71.0,194.0,10.0,6.0,2.0,34.0,94.0,,0.0,2.0,6.0,4.0,3.0,0.0,5.0,3.0,45.6,15.0,3.0,5.0,1.0,2.0,4.0,28.0,10.0,1.0,299.0,12.0,10.0,9.0,6.0,19.0,2.0,5.0,226.0,7.0,5.0,16.0,59.0,28.0,3.0,10.0,27.0,11.0,1.0,20.0,3.0,10.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,1.0,,,2.0,2.0,2.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,2.0,,,,,,,,,2.0,2.0,,5.0,,,,2.0,1.0,,,,,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
16,360619,2011-12-18 14:05:00,"Villa Park, Birmingham",37460,Home,Aston Villa,Liverpool,0,2,L,0,2,0,0,54.0,,19.0,16.0,13.0,8.0,2.0,161.0,4.0,7.0,5.0,14.0,,,4.0,133.0,148.0,51.0,16.0,8.0,1.0,,,3.0,17.0,15.0,9.0,2.0,8.0,27.0,199.0,,0.0,123.0,5.0,5.0,1.0,,38.0,85.0,8.0,57.0,,15.0,6.0,4.0,141.0,12.0,121.0,651.0,12.0,15.0,14.0,24.0,,6.0,9.0,,1.0,3.0,6.0,18.0,59.0,,90590,1.0,188.0,8.0,,2.0,207.0,,11.0,40.0,1.0,2.0,1.0,4.0,11.0,5.0,8.0,3.0,26.0,383.0,14.0,8.0,2.0,12.0,73.0,,0.0,3.0,10.0,3.0,4.0,0.0,3.0,2.0,47.9,16.0,1.0,5.0,1.0,4.0,6.0,42.0,4.0,,472.0,9.0,10.0,16.0,6.0,15.0,1.0,2.0,282.0,6.0,8.0,9.0,80.0,22.0,2.0,6.0,21.0,12.0,2.0,16.0,2.0,4.0,,,2.0,,,6.0,1.0,,3.0,,3.0,,,1.0,,,1.0,,2.0,,2.0,,,,2.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,2.0,,1.0,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
17,360633,2011-12-21 19:45:00,"Villa Park, Birmingham",35818,Home,Aston Villa,Arsenal,1,2,L,0,1,1,0,59.0,,14.0,26.0,6.0,4.0,1.0,115.0,9.0,6.0,4.0,6.0,,,3.0,69.0,163.0,52.0,9.0,14.0,1.0,,,2.0,31.0,26.0,16.0,6.0,9.0,20.0,134.0,,0.0,120.0,12.0,2.0,1.0,1.0,49.0,55.0,3.0,40.0,,25.0,5.0,4.0,153.0,5.0,79.0,530.0,5.0,11.0,22.0,20.0,2.0,3.0,12.0,,1.0,3.0,3.0,35.0,58.0,,8380,1.0,89.0,19.0,,,103.0,,3.0,58.0,1.0,,3.0,3.0,7.0,6.0,1.0,1.0,49.0,214.0,8.0,12.0,1.0,27.0,67.0,1.0,0.0,1.0,15.0,1.0,2.0,1.0,6.0,1.0,38.2,28.0,,3.0,,3.0,1.0,28.0,7.0,1.0,303.0,14.0,8.0,6.0,5.0,15.0,3.0,1.0,231.0,4.0,7.0,7.0,71.0,30.0,2.0,8.0,31.0,3.0,2.0,20.0,2.0,7.0,1.0,,2.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,,,1.0,2.0,,,,2.0,2.0,,3.0,1.0,3.0,,,,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,
18,360645,2011-12-26 19:45:00,"bet365 Stadium, Stoke",27739,Away,Aston Villa,Stoke City,0,0,D,0,0,0,0,52.0,,30.0,57.0,5.0,2.0,1.0,160.0,3.0,5.0,1.0,8.0,,1.0,2.0,97.0,189.0,53.0,10.0,15.0,1.0,1.0,,1.0,16.0,22.0,32.0,5.0,8.0,26.0,162.0,1.0,0.0,108.0,11.0,,,3.0,82.0,54.0,2.0,74.0,1.0,11.0,1.0,2.0,164.0,9.0,73.0,630.0,6.0,14.0,18.0,19.0,,9.0,36.0,1.0,0.0,4.0,6.0,30.0,71.0,1.0,90590,,144.0,10.0,,,157.0,1.0,7.0,46.0,,2.0,1.0,2.0,15.0,1.0,4.0,1.0,64.0,303.0,13.0,3.0,2.0,39.0,98.0,1.0,0.0,2.0,7.0,1.0,6.0,0.0,2.0,1.0,60.9,19.0,,1.0,2.0,2.0,2.0,43.0,7.0,3.0,404.0,13.0,8.0,8.0,6.0,13.0,1.0,3.0,263.0,7.0,7.0,12.0,57.0,26.0,2.0,21.0,23.0,5.0,1.0,14.0,2.0,7.0,,,,,,2.0,1.0,,2.0,,1.0,,,,,,1.0,,1.0,,,,2.0,,,,1.0,2.0,1.0,2.0,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,
19,360651,2011-12-31 15:00:00,"Stamford Bridge, London",41332,Away,Aston Villa,Chelsea,3,1,W,1,1,0,0,52.0,1.0,20.0,55.0,2.0,4.0,3.0,129.0,3.0,12.0,2.0,7.0,1.0,,7.0,72.0,160.0,49.0,10.0,10.0,2.0,2.0,,2.0,12.0,17.0,27.0,2.0,3.0,19.0,113.0,,0.0,85.0,13.0,1.0,2.0,,49.0,23.0,5.0,48.0,1.0,10.0,4.0,,132.0,6.0,68.0,535.0,5.0,10.0,21.0,31.0,,6.0,32.0,,1.0,3.0,2.0,16.0,54.0,,8380,4.0,124.0,4.0,,1.0,153.0,1.0,15.0,40.0,1.0,,1.0,3.0,10.0,12.0,4.0,1.0,45.0,234.0,7.0,5.0,,24.0,84.0,2.0,0.0,1.0,9.0,,2.0,0.0,3.0,1.0,38.0,11.0,1.0,1.0,1.0,3.0,1.0,39.0,2.0,,317.0,18.0,5.0,12.0,2.0,11.0,,2.0,176.0,5.0,3.0,9.0,53.0,14.0,4.0,14.0,21.0,8.0,3.0,19.0,4.0,2.0,3.0,2.0,1.0,2.0,3.0,,2.0,2.0,,,2.0,,,,2.0,1.0,2.0,2.0,,3.0,1.0,2.0,1.0,1.0,1.0,,1.0,,3.0,,,,,1.0,,2.0,2.0,,5.0,,,1.0,3.0,,,1.0,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
20,360659,2012-01-02 15:00:00,"Villa Park, Birmingham",35642,Home,Aston Villa,Swansea City,0,2,L,0,1,0,0,49.0,3.0,29.0,19.0,1.0,6.0,,156.0,10.0,5.0,3.0,10.0,,1.0,1.0,104.0,197.0,52.0,11.0,4.0,1.0,1.0,,,51.0,20.0,8.0,13.0,17.0,28.0,224.0,,0.0,176.0,10.0,2.0,1.0,,73.0,71.0,4.0,63.0,2.0,38.0,12.0,1.0,186.0,7.0,115.0,661.0,8.0,22.0,16.0,15.0,1.0,7.0,7.0,,2.0,,6.0,43.0,73.0,,8380,7.0,121.0,25.0,,,133.0,,6.0,36.0,1.0,1.0,1.0,2.0,11.0,2.0,3.0,2.0,51.0,335.0,6.0,7.0,2.0,19.0,87.0,,0.0,2.0,,3.0,7.0,0.0,4.0,4.0,50.4,33.0,3.0,3.0,2.0,2.0,3.0,55.0,14.0,,438.0,10.0,9.0,17.0,7.0,32.0,6.0,5.0,356.0,1.0,16.0,17.0,114.0,25.0,1.0,3.0,24.0,4.0,3.0,11.0,1.0,14.0,,,,,,,,,1.0,,,,,1.0,,,,,,,2.0,,3.0,,2.0,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,
21,360669,2012-01-14 15:00:00,"Villa Park, Birmingham",31853,Home,Aston Villa,Everton,1,1,D,0,0,0,0,56.0,2.0,26.0,47.0,6.0,2.0,4.0,153.0,12.0,8.0,3.0,11.0,,,7.0,109.0,168.0,54.0,16.0,11.0,3.0,1.0,,2.0,32.0,14.0,22.0,7.0,7.0,27.0,226.0,,0.0,155.0,12.0,2.0,,1.0,72.0,76.0,7.0,84.0,,25.0,13.0,1.0,143.0,6.0,114.0,682.0,8.0,7.0,20.0,20.0,1.0,6.0,24.0,,1.0,2.0,4.0,27.0,73.0,,8380,8.0,155.0,12.0,,,167.0,,4.0,36.0,,,2.0,2.0,11.0,2.0,2.0,3.0,49.0,369.0,11.0,2.0,2.0,21.0,84.0,,0.0,2.0,3.0,3.0,2.0,0.0,7.0,5.0,52.6,23.0,3.0,5.0,,2.0,4.0,39.0,9.0,1.0,460.0,12.0,6.0,7.0,5.0,24.0,5.0,4.0,325.0,9.0,7.0,18.0,103.0,25.0,1.0,13.0,17.0,6.0,1.0,13.0,1.0,9.0,1.0,,,,1.0,2.0,,1.0,,1.0,3.0,,,2.0,1.0,1.0,,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
22,360688,2012-01-21 15:00:00,"Molineux Stadium, Wolverhampton",27084,Away,Aston Villa,Wolverhampton Wanderers,3,2,W,1,2,0,1,56.0,,35.0,66.0,8.0,1.0,,152.0,5.0,6.0,3.0,6.0,,2.0,4.0,110.0,188.0,60.0,13.0,10.0,,,,,26.0,20.0,40.0,1.0,15.0,24.0,165.0,,0.0,134.0,10.0,,1.0,2.0,55.0,43.0,1.0,51.0,2.0,25.0,8.0,3.0,162.0,11.0,100.0,642.0,5.0,15.0,18.0,21.0,,4.0,38.0,,0.0,5.0,5.0,20.0,76.0,,8380,4.0,143.0,16.0,,,166.0,,6.0,30.0,1.0,1.0,1.0,5.0,11.0,3.0,3.0,3.0,63.0,303.0,11.0,3.0,,29.0,98.0,1.0,0.0,1.0,13.0,4.0,3.0,0.0,5.0,2.0,50.3,13.0,2.0,1.0,,5.0,3.0,45.0,3.0,2.0,413.0,13.0,6.0,11.0,6.0,17.0,,3.0,273.0,10.0,14.0,19.0,82.0,25.0,10.0,24.0,24.0,9.0,3.0,8.0,10.0,3.0,1.0,1.0,,,3.0,3.0,2.0,1.0,,,1.0,2.0,,,1.0,3.0,2.0,,,1.0,2.0,,,3.0,2.0,1.0,1.0,1.0,,1.0,,,,1.0,,2.0,,1.0,1.0,1.0,,,2.0,,1.0,,,,,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,,,,,,,
23,360695,2012-02-01 19:45:00,"Villa Park, Birmingham",32063,Home,Aston Villa,Queens Park Rangers,2,2,D,1,2,0,0,61.0,6.0,34.0,24.0,7.0,13.0,4.0,218.0,14.0,7.0,5.0,21.0,,2.0,12.0,163.0,177.0,44.0,26.0,6.0,6.0,,,4.0,43.0,8.0,7.0,7.0,24.0,32.0,338.0,,0.0,223.0,3.0,1.0,2.0,2.0,75.0,106.0,16.0,86.0,2.0,36.0,10.0,2.0,160.0,3.0,170.0,861.0,16.0,14.0,34.0,22.0,3.0,3.0,13.0,,0.0,1.0,5.0,23.0,88.0,1.0,80979,11.0,210.0,24.0,,4.0,223.0,,5.0,29.0,,2.0,4.0,5.0,9.0,2.0,5.0,,50.0,534.0,13.0,7.0,3.0,13.0,97.0,,0.0,1.0,3.0,1.0,4.0,0.0,10.0,3.0,68.5,22.0,1.0,2.0,6.0,5.0,8.0,59.0,9.0,2.0,637.0,26.0,3.0,14.0,6.0,37.0,4.0,3.0,457.0,9.0,21.0,12.0,165.0,30.0,3.0,5.0,12.0,17.0,1.0,17.0,3.0,9.0,2.0,1.0,1.0,1.0,2.0,2.0,,2.0,,,4.0,,,2.0,2.0,1.0,,1.0,,2.0,2.0,2.0,1.0,1.0,2.0,,4.0,2.0,1.0,2.0,,1.0,1.0,,,,1.0,3.0,2.0,,,,2.0,,,,,,1.0,,,,,1.0,,1.0,,,2.0,1.0,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0
24,360703,2012-02-05 13:30:00,"St. James' Park, Newcastle",48569,Away,Aston Villa,Newcastle United,1,2,L,1,1,0,0,76.0,2.0,33.0,41.0,7.0,7.0,2.0,169.0,4.0,11.0,2.0,13.0,,,7.0,104.0,199.0,71.0,14.0,17.0,3.0,,2.0,4.0,22.0,18.0,17.0,3.0,16.0,42.0,192.0,,0.0,147.0,11.0,,,3.0,56.0,42.0,8.0,66.0,,19.0,7.0,4.0,175.0,12.0,86.0,687.0,9.0,11.0,23.0,29.0,1.0,10.0,25.0,2.0,2.0,8.0,5.0,22.0,72.0,2.0,80979,3.0,129.0,12.0,,1.0,153.0,1.0,8.0,64.0,,6.0,3.0,1.0,8.0,6.0,2.0,,62.0,317.0,6.0,12.0,3.0,34.0,109.0,,0.0,4.0,4.0,1.0,1.0,0.0,3.0,1.0,49.0,18.0,,2.0,2.0,1.0,2.0,57.0,4.0,3.0,425.0,18.0,15.0,24.0,5.0,19.0,1.0,1.0,294.0,6.0,15.0,15.0,95.0,36.0,3.0,9.0,39.0,10.0,3.0,20.0,3.0,4.0,1.0,,,,1.0,,,1.0,2.0,,3.0,,,1.0,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,,3.0,,2.0,,,,,,,,,,4.0,,1.0,,1.0,,,,,,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
25,360709,2012-02-12 16:00:00,"Villa Park, Birmingham",35132,Home,Aston Villa,Manchester City,0,1,L,0,0,0,0,49.0,,23.0,37.0,4.0,1.0,1.0,133.0,5.0,4.0,2.0,8.0,,,3.0,66.0,183.0,51.0,9.0,18.0,3.0,,,1.0,20.0,14.0,25.0,5.0,6.0,27.0,123.0,,0.0,110.0,15.0,3.0,1.0,1.0,40.0,58.0,5.0,45.0,,15.0,7.0,1.0,171.0,10.0,69.0,531.0,4.0,24.0,22.0,23.0,1.0,9.0,16.0,,3.0,3.0,3.0,26.0,59.0,1.0,8380,3.0,87.0,7.0,,1.0,109.0,,14.0,63.0,1.0,1.0,1.0,1.0,11.0,8.0,10.0,1.0,51.0,205.0,6.0,12.0,4.0,33.0,83.0,,0.0,5.0,8.0,3.0,5.0,0.0,2.0,4.0,36.1,17.0,2.0,3.0,1.0,1.0,3.0,38.0,5.0,1.0,313.0,18.0,8.0,8.0,3.0,16.0,3.0,2.0,224.0,4.0,6.0,21.0,52.0,13.0,9.0,12.0,20.0,5.0,3.0,14.0,9.0,5.0,,,3.0,,,3.0,,,1.0,,,,,2.0,,,,,1.0,,1.0,,1.0,,1.0,,,,3.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
26,360728,2012-02-25 15:00:00,"DW Stadium, Wigan",20601,Away,Aston Villa,Wigan Athletic,0,0,D,0,0,0,0,46.0,,29.0,43.0,5.0,5.0,1.0,119.0,3.0,7.0,1.0,6.0,,,3.0,55.0,170.0,46.0,10.0,11.0,2.0,,,1.0,20.0,18.0,26.0,7.0,12.0,27.0,110.0,1.0,0.0,104.0,10.0,2.0,1.0,,33.0,27.0,3.0,25.0,1.0,13.0,4.0,3.0,153.0,9.0,50.0,469.0,5.0,15.0,26.0,21.0,,11.0,16.0,,5.0,6.0,3.0,19.0,60.0,3.0,8380,3.0,55.0,8.0,,3.0,81.0,,14.0,37.0,1.0,5.0,1.0,2.0,12.0,9.0,3.0,3.0,53.0,162.0,8.0,5.0,1.0,31.0,69.0,1.0,0.0,3.0,14.0,2.0,6.0,0.0,2.0,2.0,39.3,10.0,1.0,1.0,2.0,2.0,1.0,25.0,7.0,,249.0,22.0,8.0,16.0,6.0,20.0,1.0,3.0,188.0,3.0,12.0,9.0,64.0,20.0,5.0,11.0,22.0,5.0,3.0,12.0,5.0,7.0,,,,,,1.0,,,2.0,,1.0,,,1.0,,,,1.0,1.0,,,,,,,2.0,1.0,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
27,360729,2012-03-03 15:00:00,"Ewood Park, Blackburn",20717,Away,Aston Villa,Blackburn Rovers,1,1,D,1,0,0,0,55.0,3.0,25.0,49.0,9.0,8.0,,150.0,7.0,5.0,1.0,13.0,2.0,,5.0,86.0,196.0,48.0,16.0,10.0,2.0,1.0,1.0,,19.0,23.0,23.0,5.0,18.0,26.0,174.0,,0.0,157.0,5.0,1.0,,2.0,70.0,55.0,10.0,43.0,1.0,14.0,5.0,3.0,170.0,5.0,84.0,599.0,12.0,12.0,28.0,24.0,,4.0,24.0,1.0,0.0,4.0,3.0,24.0,78.0,1.0,8380,6.0,84.0,9.0,,,114.0,3.0,8.0,39.0,,2.0,2.0,2.0,6.0,10.0,4.0,,53.0,251.0,10.0,5.0,,29.0,86.0,2.0,0.0,2.0,4.0,,4.0,0.0,4.0,1.0,45.3,11.0,,2.0,,2.0,7.0,36.0,8.0,2.0,363.0,22.0,9.0,13.0,4.0,14.0,3.0,1.0,268.0,6.0,15.0,8.0,99.0,21.0,7.0,12.0,25.0,16.0,3.0,15.0,7.0,8.0,1.0,,3.0,1.0,1.0,4.0,,1.0,3.0,,2.0,,,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,,1.0,,3.0,,2.0,,,,1.0,,,,1.0,1.0,4.0,,1.0,,1.0,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,
28,360740,2012-03-10 15:00:00,"Villa Park, Birmingham",32372,Home,Aston Villa,Fulham,1,0,W,0,0,0,0,63.0,1.0,25.0,24.0,7.0,3.0,1.0,151.0,6.0,3.0,,11.0,,,6.0,111.0,157.0,44.0,16.0,9.0,3.0,2.0,,1.0,42.0,12.0,16.0,8.0,18.0,26.0,222.0,1.0,0.0,159.0,9.0,,,,76.0,59.0,4.0,63.0,1.0,35.0,9.0,4.0,149.0,3.0,119.0,635.0,9.0,9.0,25.0,13.0,,2.0,14.0,,2.0,2.0,7.0,17.0,67.0,1.0,8380,4.0,147.0,24.0,,1.0,158.0,1.0,7.0,34.0,,2.0,2.0,2.0,12.0,4.0,4.0,1.0,46.0,363.0,11.0,7.0,2.0,18.0,84.0,,0.0,4.0,4.0,1.0,4.0,0.0,4.0,2.0,51.2,15.0,,8.0,1.0,2.0,2.0,49.0,10.0,,444.0,20.0,2.0,15.0,8.0,24.0,3.0,3.0,328.0,11.0,18.0,15.0,110.0,39.0,2.0,11.0,15.0,,3.0,10.0,2.0,10.0,1.0,1.0,,,1.0,1.0,,,4.0,,2.0,,,2.0,,1.0,,2.0,3.0,1.0,,,1.0,1.0,,,2.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,
