gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,bigChanceScored,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,fwdPass,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,goalAssistOpenplay,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,midfielderGoals,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,successfulPutThrough,wonCorners,attGoalLowLeft,attGoalLowRight,goalAssistSetplay,attCmissRight,attBxRight,accurateKeeperSweeper,attMissHighRight,cleanSheet,goodHighClaim,contentiousDecision,attMissHighLeft,totalKeeperSweeper,accurateFreekickCross,sixYardBlock,attSetpiece,attAssistSetplay,attCmissLeft,overrun,totalHighClaim,accurateCornersIntobox,handBall,attLfTarget,attRfTarget,attIboxTarget,attSvLowCentre,ptsGainedLosingPos,attSvLowLeft,bigChanceCreated,attHdTarget,bigChanceMissed,attSvLowRight,effectiveBlockedCross,blockedCross,attSvHighRight,attSvHighCentre,errorLeadToGoal,attSvHighLeft,accurateThroughBall,attObxdLeft,defenderGoals,attCmissHighLeft,goalAssistDeadball,attOboxTarget,penaltyConceded,attGoalHighLeft,penaltyFaced,attHdGoal,goalsConcededObox,shotFastbreak,totalFastbreak,ownGoals,attFastbreak,clearanceOffLine,attIboxOwnGoal,errorLeadToShot,ptsDroppedWinningPos,penaltySave,accuratePullBack,foulThrowIn,attGoalLowCentre,hitWoodwork,attObxdRight,goalFastbreak,penGoalsConceded,punches,attFreekickTarget,attOneOnOne,secondYellow,postScoringAtt,attIboxPost,attPostRight,attObxLeft,attCmissHighRight,attPostLeft,attHdPost
11,2210379,2021-11-05 20:00:00,"St. Mary's Stadium, Southampton",30178,Away,Aston Villa,Southampton,0,1,L,0,1,0,0,,21.0,54.0,1.0,3.0,23.0,20.0,5.0,7.0,8.0,2.0,,134.0,9.0,3.0,9.0,,2.0,11.0,3.0,81.0,150.0,67.0,1.0,14.0,1.0,20.0,,3.0,23.0,10.0,,20.0,7.0,4.0,44.0,139.0,,,0.0,136.0,12.0,2.0,,1.0,63.0,31.0,6.0,43.0,2.0,1.0,16.0,13.0,6.0,1.0,,5.0,3.0,150.0,5.0,69.0,527.0,11.0,10.0,25.0,11.0,216.0,20.0,3.0,11.0,,2.0,2.0,5.0,22.0,308.0,53.0,98980,5.0,98.0,10.0,121.0,7.0,,1.0,13.0,5.0,58.0,1.0,,2.0,3.0,,20.0,4.0,4.0,2.0,,49.0,234.0,12.0,12.0,18.0,,60.0,0.0,10.0,1.0,,1.0,4.0,0.0,2.0,,,2.0,43.6,22.0,,7.0,2.0,3.0,4.0,30.0,8.0,327.0,11.0,1.0,9.0,29.0,7.0,35.0,4.0,229.0,5.0,3.0,24.0,95.0,23.0,,11.0,22.0,,11.0,3.0,14.0,3.0,8.0,,,,1.0,,,,,2.0,,1.0,,,1.0,2.0,,2.0,1.0,2.0,1.0,,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,1.0,,1.0,,,,,,,,2.0,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
12,2210381,2021-11-20 15:00:00,"Villa Park, Birmingham",41925,Home,Aston Villa,Brighton and Hove Albion,2,0,W,0,0,0,0,1.0,25.0,51.0,,1.0,13.0,15.0,2.0,2.0,7.0,2.0,,110.0,17.0,4.0,8.0,2.0,2.0,6.0,5.0,102.0,112.0,46.0,,9.0,2.0,16.0,1.0,1.0,19.0,10.0,1.0,15.0,3.0,3.0,34.0,157.0,,,0.0,111.0,7.0,,,2.0,62.0,31.0,6.0,48.0,,,16.0,17.0,2.0,,1.0,5.0,,112.0,3.0,92.0,535.0,4.0,2.0,23.0,9.0,275.0,24.0,,6.0,1.0,3.0,4.0,,20.0,331.0,41.0,98980,5.0,137.0,9.0,157.0,5.0,2.0,1.0,17.0,5.0,56.0,,1.0,1.0,1.0,1.0,14.0,3.0,4.0,,,39.0,290.0,13.0,17.0,10.0,1.0,38.0,0.0,7.0,2.0,2.0,,1.0,0.0,3.0,,2.0,2.0,37.0,16.0,,6.0,,1.0,3.0,20.0,5.0,352.0,9.0,,10.0,15.0,1.0,31.0,1.0,214.0,5.0,3.0,9.0,81.0,18.0,1.0,6.0,16.0,,7.0,3.0,14.0,7.0,5.0,,,,,2.0,,,1.0,2.0,,,,,,1.0,1.0,1.0,,2.0,1.0,,,1.0,3.0,1.0,,1.0,,2.0,,1.0,6.0,6.0,,,,,,,1.0,,,,,,,,,1.0,2.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
13,2210396,2021-11-27 15:00:00,"Selhurst Park, London",25203,Away,Aston Villa,Crystal Palace,2,1,W,1,0,0,0,,24.0,74.0,,,19.0,25.0,5.0,6.0,5.0,2.0,2.0,138.0,9.0,5.0,8.0,2.0,5.0,7.0,3.0,73.0,119.0,55.0,2.0,10.0,2.0,13.0,1.0,1.0,9.0,18.0,,25.0,3.0,3.0,27.0,134.0,1.0,,0.0,105.0,10.0,2.0,1.0,2.0,58.0,27.0,4.0,58.0,1.0,2.0,6.0,16.0,5.0,2.0,,,2.0,119.0,7.0,71.0,533.0,4.0,2.0,18.0,6.0,254.0,34.0,2.0,8.0,2.0,3.0,1.0,3.0,10.0,318.0,50.0,98980,1.0,141.0,4.0,162.0,9.0,,,16.0,6.0,51.0,1.0,1.0,,4.0,1.0,18.0,1.0,5.0,2.0,,46.0,270.0,11.0,8.0,17.0,2.0,62.0,0.0,7.0,2.0,1.0,1.0,,0.0,4.0,2.0,1.0,1.0,36.7,6.0,1.0,7.0,2.0,4.0,2.0,29.0,3.0,340.0,6.0,1.0,19.0,17.0,5.0,13.0,3.0,187.0,3.0,3.0,12.0,76.0,22.0,,8.0,24.0,1.0,5.0,3.0,9.0,11.0,3.0,,,1.0,1.0,2.0,,,,2.0,1.0,,,2.0,,1.0,1.0,1.0,3.0,3.0,1.0,,,1.0,1.0,,,1.0,,,,,8.0,8.0,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
14,2210401,2021-12-01 20:15:00,"Villa Park, Birmingham",41400,Home,Aston Villa,Manchester City,1,2,L,0,2,0,0,,29.0,51.0,3.0,2.0,23.0,17.0,1.0,3.0,8.0,5.0,,103.0,15.0,4.0,5.0,1.0,1.0,9.0,3.0,83.0,101.0,55.0,,9.0,1.0,11.0,,2.0,14.0,14.0,,17.0,4.0,2.0,29.0,95.0,,,0.0,77.0,8.0,3.0,,1.0,33.0,36.0,6.0,48.0,1.0,,10.0,14.0,1.0,,,5.0,,101.0,10.0,99.0,508.0,5.0,7.0,17.0,11.0,250.0,22.0,2.0,6.0,1.0,0.0,5.0,3.0,15.0,309.0,36.0,98980,3.0,178.0,4.0,199.0,5.0,1.0,,14.0,9.0,41.0,,4.0,1.0,6.0,,12.0,7.0,7.0,,,43.0,269.0,11.0,11.0,11.0,2.0,32.0,0.0,11.0,2.0,1.0,2.0,4.0,0.0,2.0,1.0,1.0,4.0,36.0,14.0,3.0,2.0,3.0,7.0,3.0,17.0,4.0,333.0,11.0,,6.0,16.0,3.0,22.0,3.0,148.0,2.0,2.0,14.0,50.0,19.0,1.0,6.0,25.0,1.0,4.0,3.0,10.0,9.0,4.0,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,3.0,3.0,,1.0,,2.0,,1.0,,2.0,,,1.0,1.0,1.0,1.0,,2.0,2.0,,,,1.0,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
15,2210411,2021-12-05 16:30:00,"Villa Park, Birmingham",41572,Home,Aston Villa,Leicester City,2,1,W,1,1,0,0,1.0,30.0,61.0,,3.0,13.0,21.0,2.0,1.0,11.0,3.0,,151.0,15.0,4.0,9.0,2.0,2.0,12.0,4.0,76.0,141.0,70.0,,13.0,2.0,21.0,,,16.0,13.0,,21.0,3.0,1.0,33.0,155.0,,,0.0,110.0,8.0,2.0,,2.0,56.0,39.0,8.0,49.0,1.0,3.0,13.0,9.0,2.0,,,3.0,,141.0,9.0,83.0,570.0,10.0,3.0,23.0,10.0,248.0,27.0,3.0,10.0,2.0,1.0,3.0,4.0,19.0,323.0,61.0,98980,6.0,120.0,8.0,152.0,7.0,1.0,,9.0,9.0,53.0,,3.0,1.0,4.0,,19.0,3.0,7.0,1.0,,49.0,271.0,25.0,8.0,17.0,1.0,54.0,0.0,6.0,4.0,2.0,1.0,,0.0,3.0,1.0,,2.0,41.1,16.0,1.0,3.0,1.0,5.0,5.0,21.0,3.0,359.0,10.0,,15.0,10.0,4.0,24.0,4.0,223.0,10.0,1.0,15.0,74.0,24.0,,10.0,21.0,1.0,10.0,3.0,10.0,9.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,,,1.0,1.0,,1.0,,1.0,2.0,,,1.0,1.0,1.0,,,2.0,2.0,2.0,3.0,,4.0,,3.0,,1.0,1.0,,,,,3.0,,2.0,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
16,2210428,2021-12-11 15:00:00,"Anfield, Liverpool",53093,Away,Aston Villa,Liverpool,0,1,L,0,0,0,0,,22.0,53.0,,1.0,16.0,23.0,2.0,1.0,1.0,4.0,,149.0,12.0,1.0,13.0,,1.0,3.0,,75.0,155.0,54.0,1.0,4.0,1.0,21.0,,1.0,15.0,9.0,,23.0,3.0,3.0,37.0,94.0,,,0.0,99.0,6.0,3.0,,,41.0,43.0,2.0,39.0,2.0,,12.0,26.0,3.0,1.0,,5.0,2.0,155.0,15.0,66.0,549.0,3.0,2.0,15.0,7.0,217.0,24.0,,12.0,,2.0,7.0,1.0,25.0,300.0,48.0,98980,1.0,140.0,7.0,170.0,4.0,,1.0,26.0,10.0,54.0,,2.0,1.0,7.0,,14.0,5.0,6.0,,,62.0,233.0,13.0,10.0,28.0,,55.0,0.0,11.0,4.0,,1.0,1.0,0.0,1.0,,,,37.7,15.0,,,,8.0,2.0,18.0,3.0,329.0,7.0,1.0,11.0,20.0,2.0,21.0,,174.0,3.0,3.0,7.0,62.0,15.0,,12.0,21.0,1.0,3.0,3.0,19.0,18.0,3.0,,,,,,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,2.0,2.0,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,
17,2210437,2021-12-14 19:45:00,"Carrow Road, Norwich",26836,Away,Aston Villa,Norwich City,2,0,W,1,0,0,0,1.0,25.0,53.0,,7.0,22.0,16.0,5.0,7.0,12.0,3.0,1.0,155.0,13.0,4.0,10.0,2.0,3.0,14.0,6.0,123.0,138.0,51.0,,17.0,1.0,14.0,2.0,1.0,19.0,8.0,1.0,16.0,7.0,9.0,31.0,232.0,,,0.0,173.0,9.0,,1.0,2.0,69.0,77.0,12.0,67.0,1.0,1.0,12.0,15.0,5.0,,,4.0,3.0,138.0,6.0,102.0,648.0,12.0,6.0,34.0,7.0,354.0,22.0,3.0,7.0,2.0,1.0,3.0,2.0,19.0,425.0,57.0,98980,5.0,143.0,6.0,168.0,7.0,1.0,2.0,15.0,6.0,54.0,,2.0,,5.0,2.0,12.0,1.0,5.0,,,38.0,371.0,12.0,8.0,12.0,2.0,44.0,0.0,7.0,3.0,2.0,,2.0,0.0,3.0,1.0,1.0,2.0,49.8,11.0,,3.0,2.0,6.0,8.0,27.0,10.0,447.0,7.0,,10.0,18.0,3.0,34.0,,298.0,8.0,8.0,12.0,133.0,19.0,1.0,7.0,17.0,,15.0,3.0,23.0,10.0,10.0,,,,,1.0,1.0,,1.0,2.0,,1.0,1.0,,2.0,,,,3.0,2.0,1.0,,2.0,,3.0,,,2.0,1.0,2.0,,,2.0,2.0,,2.0,,,1.0,,,,,1.0,,1.0,,,,1.0,2.0,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,
18,2210441,2022-05-19 20:00:00,"Villa Park, Birmingham",40468,Home,Aston Villa,Burnley,1,1,D,0,1,0,1,,17.0,43.0,2.0,3.0,14.0,20.0,10.0,8.0,12.0,3.0,,140.0,10.0,6.0,1.0,1.0,2.0,17.0,9.0,186.0,107.0,50.0,,22.0,3.0,15.0,1.0,1.0,35.0,10.0,,20.0,4.0,5.0,34.0,286.0,,,0.0,158.0,11.0,2.0,1.0,1.0,80.0,84.0,12.0,89.0,,1.0,31.0,17.0,10.0,,,11.0,3.0,107.0,7.0,172.0,784.0,14.0,,30.0,3.0,499.0,17.0,1.0,10.0,1.0,0.0,4.0,5.0,17.0,555.0,48.0,98980,6.0,249.0,19.0,264.0,8.0,1.0,,17.0,2.0,36.0,1.0,2.0,1.0,6.0,1.0,7.0,3.0,2.0,2.0,,35.0,529.0,20.0,,5.0,5.0,51.0,0.0,6.0,2.0,1.0,1.0,,0.0,5.0,1.0,,3.0,71.3,17.0,2.0,3.0,2.0,6.0,6.0,36.0,13.0,587.0,3.0,,7.0,12.0,7.0,50.0,4.0,358.0,11.0,5.0,14.0,128.0,17.0,,10.0,16.0,1.0,16.0,3.0,5.0,6.0,13.0,,,,1.0,3.0,,3.0,,,,,,,,1.0,2.0,1.0,1.0,,1.0,1.0,5.0,2.0,4.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,1.0,3.0,,1.0,1.0,,,,,4.0,1.0,,1.0,,,,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,
19,2210451,2021-12-26 17:30:00,"Villa Park, Birmingham",41907,Home,Aston Villa,Chelsea,1,3,L,1,1,0,0,,26.0,52.0,,4.0,16.0,22.0,3.0,,5.0,1.0,,138.0,13.0,1.0,9.0,1.0,1.0,6.0,1.0,129.0,114.0,44.0,,8.0,1.0,8.0,,1.0,12.0,9.0,,22.0,1.0,5.0,30.0,162.0,,,0.0,108.0,8.0,1.0,,1.0,59.0,42.0,5.0,67.0,2.0,,11.0,14.0,3.0,,,3.0,1.0,114.0,9.0,112.0,624.0,6.0,1.0,18.0,12.0,358.0,22.0,,11.0,,3.0,3.0,1.0,18.0,421.0,39.0,98980,2.0,221.0,7.0,241.0,5.0,,1.0,14.0,7.0,43.0,,5.0,2.0,4.0,,13.0,1.0,7.0,1.0,,29.0,382.0,11.0,10.0,1.0,,47.0,0.0,5.0,1.0,1.0,3.0,1.0,0.0,1.0,,1.0,1.0,42.1,13.0,1.0,4.0,3.0,4.0,5.0,31.0,2.0,446.0,12.0,,7.0,16.0,2.0,19.0,1.0,217.0,7.0,5.0,7.0,76.0,20.0,,11.0,17.0,3.0,8.0,3.0,19.0,8.0,2.0,,,,,,,,,,,,1.0,,,,,,2.0,,,,,1.0,,1.0,,,,,,,2.0,2.0,,,,,1.0,,,,,1.0,2.0,,2.0,,,1.0,1.0,,1.0,,,,3.0,,,,,,,,2.0,1.0,,,,,,,,,,
20,2210466,2022-03-10 19:45:00,"Elland Road, Leeds",36400,Away,Aston Villa,Leeds United,3,0,W,1,0,0,0,1.0,24.0,63.0,1.0,4.0,17.0,19.0,5.0,4.0,9.0,1.0,1.0,139.0,14.0,3.0,18.0,3.0,2.0,13.0,9.0,112.0,126.0,59.0,1.0,15.0,,6.0,2.0,1.0,14.0,8.0,,19.0,4.0,4.0,36.0,145.0,,,0.0,103.0,11.0,,1.0,1.0,76.0,28.0,11.0,49.0,1.0,,10.0,17.0,6.0,1.0,,5.0,2.0,126.0,2.0,105.0,617.0,10.0,6.0,26.0,9.0,310.0,27.0,4.0,9.0,3.0,3.0,1.0,2.0,18.0,375.0,41.0,98980,6.0,195.0,4.0,218.0,7.0,2.0,2.0,17.0,9.0,57.0,,2.0,5.0,6.0,2.0,12.0,2.0,9.0,,,41.0,337.0,17.0,15.0,15.0,,49.0,0.0,3.0,,3.0,,2.0,0.0,2.0,3.0,1.0,,49.1,15.0,,6.0,2.0,6.0,4.0,31.0,5.0,405.0,9.0,,14.0,21.0,2.0,22.0,,201.0,11.0,4.0,9.0,76.0,22.0,,9.0,15.0,,11.0,3.0,29.0,10.0,5.0,,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,,,1.0,,1.0,3.0,,,2.0,3.0,1.0,,1.0,5.0,2.0,,,3.0,1.0,,,1.0,1.0,1.0,,2.0,,,2.0,1.0,2.0,,,4.0,,1.0,,,,1.0,1.0,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,
21,2210472,2022-01-02 14:00:00,"Gtech Community Stadium, Brentford",16876,Away,Aston Villa,Brentford,1,2,L,1,1,0,0,,26.0,53.0,1.0,2.0,21.0,12.0,6.0,6.0,10.0,2.0,1.0,151.0,15.0,3.0,9.0,1.0,1.0,14.0,5.0,138.0,144.0,52.0,,16.0,3.0,10.0,1.0,2.0,10.0,6.0,,12.0,7.0,9.0,49.0,223.0,,,0.0,138.0,11.0,1.0,,1.0,73.0,56.0,8.0,61.0,1.0,2.0,3.0,16.0,6.0,,,,3.0,144.0,6.0,141.0,669.0,10.0,3.0,25.0,6.0,376.0,23.0,,6.0,1.0,2.0,,6.0,23.0,461.0,64.0,98980,7.0,182.0,2.0,210.0,4.0,,,16.0,10.0,45.0,,5.0,4.0,1.0,1.0,21.0,4.0,9.0,2.0,,46.0,402.0,17.0,4.0,6.0,3.0,66.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,5.0,54.6,21.0,3.0,8.0,1.0,1.0,5.0,41.0,7.0,491.0,6.0,,10.0,24.0,6.0,23.0,3.0,291.0,5.0,8.0,15.0,96.0,19.0,1.0,6.0,11.0,1.0,11.0,2.0,19.0,8.0,7.0,,1.0,,1.0,,,,,1.0,,,,1.0,,2.0,3.0,,1.0,1.0,2.0,,1.0,1.0,4.0,1.0,,1.0,,2.0,,1.0,,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
22,2210481,2022-01-15 17:30:00,"Villa Park, Birmingham",41968,Home,Aston Villa,Manchester United,2,2,D,0,1,0,0,2.0,21.0,63.0,1.0,,16.0,16.0,2.0,4.0,11.0,4.0,1.0,165.0,14.0,6.0,13.0,2.0,2.0,12.0,9.0,149.0,133.0,57.0,,13.0,,12.0,1.0,4.0,18.0,13.0,1.0,16.0,3.0,5.0,34.0,214.0,,,0.0,129.0,8.0,3.0,1.0,2.0,64.0,61.0,8.0,78.0,1.0,,15.0,16.0,2.0,,1.0,3.0,,133.0,8.0,148.0,727.0,8.0,1.0,26.0,12.0,434.0,19.0,1.0,6.0,1.0,1.0,3.0,4.0,14.0,520.0,52.0,98980,6.0,246.0,10.0,262.0,6.0,1.0,1.0,16.0,5.0,50.0,,4.0,1.0,4.0,2.0,7.0,5.0,5.0,,,38.0,454.0,13.0,7.0,7.0,2.0,61.0,0.0,6.0,3.0,2.0,2.0,,0.0,4.0,1.0,1.0,5.0,54.6,12.0,3.0,6.0,3.0,4.0,,38.0,3.0,540.0,12.0,,17.0,15.0,4.0,35.0,4.0,296.0,4.0,3.0,14.0,91.0,33.0,,6.0,17.0,1.0,9.0,3.0,19.0,8.0,3.0,,,,,,,,,1.0,,,,,,2.0,3.0,1.0,2.0,1.0,2.0,,2.0,3.0,5.0,3.0,1.0,3.0,1.0,2.0,,,,,,1.0,2.0,,,,,,,2.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
23,2210495,2022-01-22 12:30:00,"Goodison Park, Liverpool",38203,Away,Aston Villa,Everton,1,0,W,1,0,0,0,,30.0,62.0,,1.0,21.0,15.0,4.0,1.0,4.0,,,166.0,14.0,2.0,14.0,1.0,5.0,5.0,3.0,75.0,169.0,83.0,2.0,8.0,,29.0,,1.0,7.0,18.0,,15.0,1.0,4.0,36.0,121.0,,,0.0,86.0,16.0,1.0,,2.0,64.0,30.0,3.0,43.0,1.0,1.0,6.0,17.0,4.0,2.0,,2.0,3.0,169.0,11.0,77.0,575.0,4.0,10.0,13.0,10.0,236.0,27.0,3.0,6.0,1.0,4.0,8.0,2.0,27.0,331.0,50.0,98980,4.0,136.0,2.0,170.0,4.0,,1.0,17.0,11.0,81.0,2.0,1.0,1.0,3.0,,24.0,4.0,7.0,2.0,,57.0,255.0,13.0,12.0,19.0,1.0,73.0,0.0,9.0,1.0,1.0,,4.0,0.0,1.0,1.0,1.0,3.0,50.4,20.0,,2.0,,3.0,1.0,34.0,2.0,361.0,10.0,2.0,14.0,15.0,4.0,16.0,1.0,198.0,4.0,3.0,30.0,46.0,25.0,1.0,6.0,26.0,,4.0,3.0,24.0,6.0,2.0,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,,,2.0,2.0,1.0,,,1.0,1.0,,,1.0,1.0,1.0,1.0,,5.0,5.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,
24,2210501,2022-02-09 20:00:00,"Villa Park, Birmingham",41927,Home,Aston Villa,Leeds United,3,3,D,3,2,1,0,2.0,30.0,52.0,2.0,1.0,12.0,24.0,4.0,3.0,8.0,4.0,1.0,127.0,16.0,5.0,9.0,3.0,3.0,10.0,4.0,56.0,112.0,55.0,,12.0,1.0,6.0,2.0,2.0,15.0,13.0,1.0,24.0,5.0,6.0,42.0,103.0,,,0.0,97.0,11.0,,2.0,2.0,41.0,19.0,6.0,49.0,,4.0,10.0,16.0,4.0,,,2.0,2.0,112.0,11.0,70.0,482.0,5.0,2.0,21.0,9.0,206.0,24.0,1.0,14.0,3.0,1.0,4.0,4.0,20.0,278.0,50.0,98980,6.0,128.0,6.0,139.0,7.0,2.0,1.0,16.0,8.0,23.0,,1.0,1.0,3.0,2.0,18.0,5.0,7.0,,,34.0,226.0,9.0,4.0,3.0,3.0,52.0,0.0,11.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,,1.0,39.5,17.0,1.0,3.0,,3.0,2.0,22.0,6.0,302.0,9.0,,1.0,14.0,6.0,20.0,4.0,178.0,7.0,4.0,15.0,53.0,17.0,1.0,14.0,22.0,3.0,8.0,3.0,11.0,8.0,6.0,1.0,1.0,1.0,1.0,,,,,2.0,,,,1.0,,,2.0,1.0,1.0,2.0,2.0,,1.0,,,1.0,1.0,,2.0,,,,3.0,3.0,,,,,1.0,,,,,1.0,,,,,,1.0,2.0,,1.0,1.0,,1.0,2.0,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,
25,2210517,2022-02-13 14:00:00,"St. James' Park, Newcastle",52207,Away,Aston Villa,Newcastle United,0,1,L,0,1,0,0,,22.0,60.0,,,21.0,9.0,6.0,2.0,5.0,1.0,,170.0,12.0,3.0,9.0,,5.0,9.0,1.0,95.0,143.0,56.0,1.0,11.0,4.0,22.0,,4.0,17.0,7.0,,9.0,5.0,3.0,44.0,159.0,,,0.0,122.0,15.0,,,4.0,69.0,38.0,3.0,64.0,,,12.0,16.0,6.0,1.0,,2.0,1.0,143.0,5.0,95.0,591.0,8.0,6.0,15.0,10.0,303.0,24.0,1.0,6.0,,4.0,4.0,6.0,20.0,395.0,55.0,98980,3.0,170.0,6.0,198.0,7.0,,1.0,16.0,5.0,61.0,,2.0,2.0,5.0,,11.0,5.0,3.0,1.0,,57.0,326.0,21.0,9.0,13.0,2.0,66.0,0.0,3.0,1.0,,1.0,3.0,0.0,2.0,,,3.0,63.0,18.0,3.0,1.0,,5.0,4.0,33.0,6.0,424.0,10.0,,5.0,18.0,6.0,28.0,5.0,243.0,6.0,3.0,12.0,83.0,29.0,,6.0,14.0,,8.0,3.0,19.0,6.0,6.0,,,,,1.0,,,,,1.0,1.0,,,,,1.0,2.0,1.0,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
26,2210522,2022-02-19 15:00:00,"Villa Park, Birmingham",41936,Home,Aston Villa,Watford,0,1,L,0,0,0,0,,31.0,64.0,,3.0,28.0,16.0,12.0,7.0,8.0,3.0,,178.0,12.0,10.0,7.0,,2.0,18.0,1.0,153.0,156.0,49.0,1.0,20.0,5.0,17.0,,6.0,36.0,12.0,,16.0,10.0,3.0,40.0,252.0,,,0.0,186.0,12.0,2.0,,1.0,83.0,86.0,9.0,64.0,,,26.0,18.0,12.0,1.0,,3.0,6.0,156.0,5.0,155.0,754.0,18.0,1.0,34.0,4.0,450.0,25.0,1.0,8.0,,1.0,1.0,9.0,14.0,536.0,61.0,98980,4.0,220.0,22.0,238.0,7.0,,3.0,18.0,6.0,54.0,2.0,2.0,,8.0,,24.0,3.0,6.0,3.0,,47.0,462.0,7.0,8.0,6.0,2.0,67.0,0.0,5.0,3.0,,1.0,1.0,0.0,10.0,,,2.0,59.6,14.0,2.0,6.0,2.0,8.0,8.0,48.0,10.0,550.0,4.0,1.0,9.0,24.0,11.0,50.0,4.0,348.0,11.0,3.0,16.0,138.0,24.0,,8.0,19.0,1.0,17.0,3.0,15.0,12.0,10.0,,,,,1.0,,,,2.0,,1.0,,,,,,2.0,,2.0,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,
