gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,attSvHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvHighLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,secondYellow,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateFreekickCross,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,savedObox,attCmissRight,shotFastbreak,postScoringAtt,accurateKeeperSweeper,attGoalHighRight,attOboxGoal,divingSave,totalFastbreak,midfielderGoals,goodHighClaim,interceptionsInBox,attPostLeft,hitWoodwork,totalKeeperSweeper,errorLeadToShot,bigChanceMissed,attCmissHigh,ownGoals,totalThroughBall,attMissHigh,attFastbreak,attFreekickGoal,attOboxPost,attHdMiss,attBxLeft,totalHighClaim,attIboxOwnGoal,attIboxTarget,cleanSheet,attObxdLeft,attRfGoal,attGoalHighLeft,attSvLowRight,forwardGoals,accurateThroughBall,penaltyConceded,totalPullBack,attCmissLeft,punches,attCmissHighRight,penaltyFaced,penGoalsConceded,attSvHighCentre,goalsConcededObox,attCmissHighLeft,clearanceOffLine,goalAssistSetplay,goalAssistDeadball,attSvLowLeft,attHdTarget,attPostHigh,attFreekickMiss,ptsGainedLosingPos,accuratePullBack,sixYardBlock,attGoalHighCentre,foulThrowIn,attIboxPost,penaltyWon,attHdPost,attPenGoal,attPostRight,errorLeadToGoal,ptsDroppedWinningPos,attObxLeft,goalFastbreak,attLgCentre
11,918993,2017-11-05 16:30:00,"Stamford Bridge, London",41615,Home,Chelsea,Manchester United,1,0,W,0,0,0,0,,3.0,1.0,62.0,,2.0,31.0,16.0,6.0,5.0,12.0,2.0,,4.0,183.0,,2.0,10.0,1.0,5.0,12.0,8.0,109.0,150.0,58.0,,18.0,2.0,19.0,1.0,1.0,4.0,2.0,19.0,10.0,3.0,16.0,3.0,14.0,39.0,,228.0,1.0,,0.0,173.0,16.0,1.0,2.0,80.0,65.0,9.0,60.0,2.0,16.0,16.0,6.0,,2.0,1.0,,150.0,2.0,2.0,3.0,119.0,665.0,8.0,10.0,28.0,17.0,350.0,24.0,,5.0,8.0,1.0,1.0,5.0,3.0,27.0,442.0,60.0,,94245,8.0,144.0,12.0,3.0,176.0,6.0,16.0,7.0,52.0,,,3.0,1.0,10.0,7.0,3.0,67.0,370.0,19.0,4.0,3.0,22.0,71.0,0.0,,2.0,7.0,1.0,1.0,,3.0,0.0,1.0,1.0,,4.0,54.0,20.0,6.0,3.0,4.0,37.0,4.0,471.0,17.0,6.0,22.0,6.0,33.0,1.0,5.0,314.0,9.0,13.0,17.0,134.0,27.0,2.0,8.0,14.0,1.0,,11.0,3.0,17.0,2.0,7.0,4.0,,1.0,2.0,,,,1.0,,2.0,,,1.0,2.0,,,,,3.0,,,1.0,1.0,,,,3.0,2.0,2.0,,4.0,1.0,,,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,919012,2017-11-18 15:00:00,"The Hawthorns, West Bromwich",23592,Away,Chelsea,West Bromwich Albion,4,0,W,3,0,0,0,2.0,1.0,2.0,63.0,1.0,1.0,40.0,20.0,3.0,6.0,8.0,2.0,3.0,2.0,165.0,1.0,3.0,15.0,4.0,2.0,8.0,7.0,182.0,131.0,54.0,,11.0,1.0,19.0,1.0,2.0,,,17.0,8.0,1.0,20.0,3.0,13.0,47.0,1.0,257.0,,,0.0,152.0,12.0,,1.0,62.0,71.0,7.0,88.0,1.0,14.0,17.0,3.0,,3.0,1.0,,131.0,1.0,,5.0,175.0,785.0,5.0,7.0,25.0,10.0,510.0,27.0,,3.0,11.0,3.0,3.0,,1.0,15.0,587.0,55.0,1.0,88482,3.0,275.0,10.0,1.0,299.0,7.0,17.0,6.0,56.0,,1.0,8.0,3.0,13.0,2.0,5.0,69.0,529.0,12.0,10.0,,22.0,64.0,0.0,,2.0,3.0,1.0,4.0,,3.0,0.0,3.0,3.0,,,61.4,13.0,5.0,8.0,2.0,45.0,4.0,610.0,10.0,9.0,32.0,2.0,25.0,,1.0,328.0,5.0,12.0,13.0,114.0,22.0,2.0,11.0,14.0,,,10.0,3.0,24.0,2.0,6.0,4.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,2.0,1.0,,,,1.0,,,,4.0,1.0,1.0,,,,1.0,2.0,,2.0,1.0,,1.0,,1.0,3.0,2.0,,1.0,,1.0,,,,,,,,1.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,,
13,919016,2017-11-25 17:30:00,"Anfield, Liverpool",53225,Away,Chelsea,Liverpool,1,1,D,0,0,0,0,1.0,,,69.0,,2.0,28.0,22.0,4.0,4.0,7.0,3.0,,2.0,172.0,,7.0,18.0,1.0,2.0,11.0,3.0,141.0,147.0,63.0,1.0,11.0,1.0,7.0,1.0,1.0,,2.0,26.0,15.0,2.0,22.0,7.0,12.0,37.0,2.0,188.0,1.0,1.0,0.0,132.0,7.0,,,43.0,59.0,5.0,68.0,1.0,19.0,21.0,4.0,1.0,7.0,1.0,,147.0,3.0,1.0,8.0,116.0,722.0,6.0,5.0,23.0,13.0,393.0,41.0,,3.0,15.0,1.0,0.0,8.0,4.0,19.0,476.0,48.0,,88482,5.0,230.0,12.0,,262.0,6.0,21.0,9.0,45.0,,5.0,7.0,1.0,13.0,8.0,6.0,56.0,411.0,10.0,13.0,2.0,19.0,66.0,0.0,,3.0,7.0,1.0,1.0,1.0,4.0,0.0,2.0,,,2.0,46.5,18.0,2.0,7.0,3.0,46.0,8.0,497.0,13.0,14.0,20.0,5.0,32.0,5.0,4.0,261.0,5.0,11.0,12.0,97.0,18.0,,15.0,23.0,,1.0,6.0,3.0,23.0,,5.0,8.0,,2.0,1.0,,,1.0,,,2.0,,,1.0,2.0,,,1.0,,3.0,,,1.0,1.0,,,,2.0,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,
14,919029,2017-11-29 19:45:00,"Stamford Bridge, London",41365,Home,Chelsea,Swansea City,1,0,W,0,0,0,0,,3.0,1.0,69.0,1.0,2.0,45.0,15.0,7.0,8.0,14.0,,,4.0,185.0,,9.0,12.0,1.0,3.0,16.0,10.0,154.0,160.0,60.0,,21.0,2.0,9.0,2.0,,1.0,,42.0,15.0,3.0,15.0,8.0,9.0,51.0,,293.0,1.0,,0.0,213.0,10.0,,3.0,102.0,95.0,9.0,82.0,3.0,34.0,28.0,7.0,,5.0,2.0,,160.0,2.0,1.0,,187.0,827.0,12.0,4.0,39.0,15.0,506.0,30.0,1.0,1.0,10.0,,1.0,1.0,7.0,25.0,592.0,71.0,1.0,88482,5.0,234.0,26.0,2.0,253.0,6.0,28.0,3.0,38.0,1.0,,4.0,,16.0,2.0,2.0,68.0,518.0,6.0,4.0,4.0,8.0,62.0,0.0,,1.0,1.0,,1.0,,2.0,0.0,6.0,,,5.0,61.1,21.0,7.0,4.0,4.0,48.0,15.0,608.0,15.0,10.0,26.0,7.0,52.0,3.0,5.0,397.0,8.0,9.0,21.0,155.0,28.0,1.0,10.0,22.0,1.0,,11.0,3.0,18.0,1.0,9.0,15.0,,,,,,,,,,,,1.0,1.0,,,,,2.0,1.0,,,2.0,,,,2.0,3.0,1.0,,6.0,1.0,,,,5.0,,,,,,,,,,2.0,,,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,
15,919036,2017-12-02 12:30:00,"Stamford Bridge, London",41538,Home,Chelsea,Newcastle United,3,1,W,2,1,0,0,,2.0,2.0,65.0,1.0,2.0,31.0,13.0,5.0,5.0,18.0,1.0,,3.0,195.0,2.0,6.0,18.0,3.0,4.0,17.0,9.0,222.0,149.0,68.0,,23.0,4.0,10.0,3.0,1.0,5.0,3.0,26.0,12.0,,13.0,5.0,13.0,39.0,1.0,351.0,1.0,,0.0,209.0,8.0,,3.0,69.0,98.0,10.0,103.0,2.0,21.0,21.0,5.0,,7.0,1.0,,149.0,3.0,,3.0,223.0,943.0,14.0,9.0,45.0,14.0,626.0,28.0,,4.0,11.0,1.0,0.0,2.0,7.0,18.0,720.0,69.0,1.0,94245,12.0,302.0,11.0,1.0,329.0,7.0,21.0,5.0,41.0,,2.0,5.0,2.0,10.0,5.0,3.0,53.0,647.0,12.0,6.0,2.0,12.0,80.0,0.0,,,4.0,,3.0,1.0,4.0,0.0,4.0,1.0,,7.0,65.6,14.0,4.0,5.0,6.0,65.0,11.0,743.0,14.0,14.0,20.0,8.0,46.0,2.0,6.0,440.0,11.0,12.0,20.0,161.0,28.0,2.0,11.0,17.0,1.0,1.0,16.0,3.0,21.0,2.0,7.0,11.0,,1.0,,,1.0,,,,,,,,,,1.0,,,2.0,,,6.0,1.0,,,,4.0,2.0,,,6.0,,,2.0,,1.0,3.0,5.0,,1.0,1.0,,,,,,,,,,,,1.0,,,3.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,
16,919052,2017-12-09 12:30:00,"London Stadium, London",56953,Away,Chelsea,West Ham United,0,1,L,0,1,0,0,,1.0,,66.0,,6.0,29.0,17.0,8.0,6.0,11.0,1.0,,1.0,228.0,,3.0,15.0,,2.0,13.0,2.0,175.0,160.0,66.0,,19.0,3.0,14.0,1.0,,,2.0,21.0,16.0,1.0,17.0,2.0,8.0,38.0,,379.0,,,0.0,262.0,10.0,,1.0,85.0,68.0,10.0,70.0,3.0,19.0,18.0,8.0,,9.0,4.0,,160.0,,1.0,3.0,210.0,895.0,13.0,9.0,31.0,8.0,567.0,32.0,,5.0,9.0,,1.0,2.0,3.0,23.0,663.0,79.0,,94245,7.0,210.0,9.0,1.0,233.0,5.0,18.0,5.0,67.0,,2.0,8.0,,16.0,2.0,5.0,44.0,586.0,10.0,22.0,,10.0,59.0,0.0,,3.0,4.0,,,1.0,6.0,0.0,3.0,,1.0,1.0,69.4,22.0,3.0,8.0,9.0,43.0,3.0,683.0,8.0,15.0,16.0,8.0,41.0,,4.0,471.0,10.0,7.0,18.0,211.0,23.0,3.0,9.0,24.0,,1.0,17.0,3.0,22.0,3.0,5.0,3.0,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,1.0,2.0,,2.0,3.0,,,,1.0,2.0,,,1.0,,,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
17,919055,2017-12-12 20:00:00,"John Smith's Stadium, Huddersfield",24169,Away,Chelsea,Huddersfield Town,3,1,W,2,0,0,0,1.0,1.0,2.0,53.0,,2.0,31.0,14.0,2.0,4.0,10.0,2.0,1.0,1.0,171.0,1.0,4.0,12.0,3.0,4.0,10.0,5.0,229.0,115.0,44.0,,12.0,1.0,11.0,1.0,3.0,1.0,1.0,21.0,6.0,,14.0,2.0,16.0,36.0,,389.0,,,0.0,189.0,4.0,,2.0,96.0,94.0,7.0,120.0,1.0,19.0,12.0,2.0,,2.0,1.0,,115.0,3.0,,3.0,249.0,933.0,6.0,9.0,25.0,9.0,691.0,19.0,1.0,3.0,7.0,3.0,0.0,1.0,3.0,21.0,752.0,80.0,2.0,94245,5.0,322.0,15.0,2.0,334.0,2.0,12.0,4.0,30.0,,10.0,3.0,3.0,14.0,4.0,3.0,41.0,707.0,11.0,8.0,1.0,3.0,74.0,0.0,,4.0,1.0,1.0,3.0,1.0,5.0,0.0,4.0,3.0,,2.0,64.2,21.0,8.0,3.0,3.0,66.0,3.0,769.0,9.0,4.0,24.0,4.0,31.0,,3.0,456.0,6.0,15.0,11.0,153.0,23.0,1.0,7.0,10.0,1.0,1.0,10.0,3.0,16.0,1.0,5.0,3.0,1.0,,1.0,,,,1.0,,2.0,,1.0,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,2.0,,,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,919066,2017-12-16 15:00:00,"Stamford Bridge, London",41562,Home,Chelsea,Southampton,1,0,W,1,0,0,0,,2.0,,58.0,1.0,3.0,29.0,17.0,13.0,5.0,11.0,2.0,1.0,4.0,181.0,,4.0,28.0,1.0,6.0,20.0,8.0,145.0,130.0,67.0,1.0,24.0,5.0,12.0,1.0,,2.0,3.0,15.0,10.0,3.0,17.0,4.0,12.0,17.0,,299.0,,1.0,0.0,225.0,8.0,1.0,1.0,99.0,58.0,12.0,79.0,3.0,11.0,20.0,13.0,1.0,3.0,4.0,,130.0,,,4.0,140.0,768.0,18.0,14.0,39.0,7.0,446.0,24.0,1.0,6.0,9.0,,1.0,2.0,8.0,28.0,519.0,62.0,,94245,5.0,172.0,7.0,3.0,193.0,4.0,20.0,4.0,47.0,,3.0,7.0,,12.0,2.0,2.0,52.0,467.0,16.0,7.0,2.0,20.0,66.0,0.0,,2.0,4.0,2.0,,,6.0,0.0,4.0,,2.0,2.0,53.6,24.0,5.0,7.0,8.0,44.0,8.0,545.0,7.0,7.0,8.0,8.0,37.0,,4.0,367.0,17.0,10.0,9.0,180.0,21.0,2.0,9.0,13.0,,,19.0,3.0,41.0,2.0,9.0,8.0,,,,,,,,1.0,2.0,,1.0,,,,1.0,,,,,,,1.0,,1.0,,1.0,2.0,,,4.0,1.0,,,,,,,,,1.0,,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
19,919076,2017-12-23 12:30:00,"Goodison Park, Liverpool",39191,Away,Chelsea,Everton,0,0,D,0,0,0,0,1.0,5.0,,77.0,,1.0,34.0,8.0,14.0,9.0,11.0,,,3.0,206.0,,4.0,11.0,,2.0,15.0,8.0,202.0,179.0,54.0,1.0,25.0,7.0,22.0,1.0,,2.0,1.0,35.0,10.0,,8.0,6.0,14.0,40.0,,337.0,,,0.0,265.0,4.0,1.0,,79.0,112.0,10.0,89.0,7.0,29.0,13.0,14.0,1.0,8.0,7.0,,179.0,,,4.0,182.0,880.0,13.0,6.0,45.0,8.0,551.0,41.0,,1.0,5.0,,0.0,2.0,5.0,26.0,660.0,68.0,,94245,6.0,236.0,21.0,,271.0,,13.0,8.0,48.0,,4.0,6.0,,12.0,1.0,7.0,61.0,569.0,8.0,5.0,2.0,12.0,66.0,0.0,,2.0,2.0,,,,1.0,0.0,2.0,,1.0,1.0,67.8,24.0,5.0,6.0,8.0,42.0,7.0,679.0,8.0,9.0,20.0,9.0,48.0,2.0,2.0,443.0,15.0,12.0,16.0,208.0,24.0,2.0,5.0,19.0,,,18.0,3.0,20.0,2.0,5.0,7.0,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,2.0,,,1.0,1.0,1.0,,,1.0,4.0,,,8.0,1.0,,,,3.0,,,,1.0,,1.0,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,
20,919084,2017-12-26 15:00:00,"Stamford Bridge, London",41568,Home,Chelsea,Brighton and Hove Albion,2,0,W,0,0,0,0,1.0,3.0,1.0,69.0,,3.0,28.0,13.0,12.0,8.0,13.0,1.0,,2.0,175.0,,5.0,13.0,2.0,5.0,22.0,8.0,208.0,119.0,43.0,2.0,25.0,4.0,21.0,1.0,1.0,2.0,5.0,20.0,10.0,2.0,13.0,5.0,16.0,47.0,,401.0,,2.0,0.0,276.0,8.0,,,89.0,114.0,13.0,97.0,4.0,15.0,9.0,12.0,2.0,3.0,6.0,,119.0,3.0,,5.0,215.0,854.0,19.0,8.0,36.0,9.0,598.0,30.0,,,6.0,2.0,0.0,3.0,9.0,11.0,673.0,86.0,,94245,6.0,218.0,12.0,,231.0,3.0,9.0,4.0,47.0,,2.0,4.0,1.0,7.0,3.0,1.0,46.0,614.0,8.0,6.0,1.0,4.0,69.0,0.0,1.0,,1.0,1.0,2.0,,6.0,0.0,2.0,2.0,,4.0,67.1,10.0,7.0,4.0,7.0,53.0,13.0,695.0,9.0,11.0,25.0,10.0,43.0,3.0,4.0,484.0,12.0,14.0,10.0,220.0,27.0,1.0,6.0,12.0,2.0,,17.0,3.0,15.0,1.0,3.0,13.0,2.0,,1.0,1.0,,,,,,1.0,1.0,,,,,,,2.0,,,4.0,1.0,1.0,,,1.0,1.0,,,4.0,1.0,,,,2.0,1.0,2.0,,1.0,2.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,
21,919094,2017-12-30 15:00:00,"Stamford Bridge, London",41433,Home,Chelsea,Stoke City,5,0,W,3,0,0,0,1.0,1.0,2.0,64.0,3.0,2.0,22.0,9.0,12.0,4.0,9.0,1.0,1.0,6.0,179.0,,6.0,10.0,5.0,4.0,16.0,12.0,186.0,120.0,41.0,,21.0,,5.0,,1.0,4.0,1.0,23.0,6.0,3.0,9.0,5.0,19.0,23.0,1.0,323.0,1.0,,0.0,171.0,5.0,,3.0,60.0,62.0,11.0,90.0,1.0,18.0,10.0,12.0,,5.0,6.0,,120.0,3.0,,1.0,198.0,824.0,12.0,9.0,23.0,6.0,578.0,26.0,,2.0,7.0,2.0,1.0,,5.0,18.0,639.0,67.0,1.0,94245,6.0,275.0,10.0,2.0,290.0,,10.0,3.0,45.0,1.0,3.0,10.0,3.0,10.0,,3.0,35.0,592.0,9.0,10.0,2.0,6.0,60.0,0.0,,2.0,,1.0,2.0,,5.0,0.0,4.0,1.0,1.0,1.0,58.5,18.0,5.0,10.0,2.0,49.0,7.0,653.0,6.0,19.0,10.0,7.0,28.0,2.0,1.0,386.0,16.0,17.0,13.0,137.0,23.0,,7.0,9.0,1.0,,16.0,3.0,18.0,,2.0,7.0,1.0,,,,,1.0,1.0,3.0,1.0,,1.0,2.0,,,,1.0,,2.0,,,2.0,4.0,,,,,2.0,2.0,,4.0,1.0,,3.0,,1.0,2.0,2.0,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,
22,919103,2018-01-03 19:45:00,"Emirates Stadium, London",59379,Away,Chelsea,Arsenal,2,2,D,0,0,0,0,,1.0,2.0,66.0,,1.0,30.0,29.0,3.0,4.0,16.0,4.0,,2.0,163.0,2.0,4.0,12.0,2.0,5.0,16.0,6.0,107.0,128.0,55.0,1.0,19.0,2.0,13.0,3.0,1.0,1.0,1.0,19.0,11.0,,29.0,5.0,7.0,26.0,1.0,161.0,2.0,,0.0,115.0,11.0,,,66.0,31.0,8.0,54.0,3.0,14.0,21.0,3.0,1.0,1.0,1.0,,128.0,4.0,,9.0,98.0,632.0,12.0,3.0,34.0,18.0,325.0,33.0,,5.0,16.0,1.0,2.0,5.0,8.0,9.0,393.0,45.0,,94245,11.0,191.0,13.0,2.0,212.0,5.0,21.0,12.0,52.0,,3.0,7.0,1.0,12.0,5.0,8.0,56.0,348.0,11.0,13.0,3.0,16.0,63.0,0.0,,5.0,10.0,4.0,2.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,41.7,7.0,2.0,7.0,3.0,39.0,8.0,422.0,18.0,11.0,12.0,10.0,30.0,1.0,8.0,229.0,13.0,6.0,14.0,82.0,23.0,2.0,16.0,18.0,,2.0,13.0,3.0,17.0,2.0,11.0,8.0,,,,1.0,1.0,,,,3.0,1.0,1.0,,,,1.0,,,3.0,,,6.0,3.0,1.0,,,1.0,2.0,,,4.0,,,2.0,,1.0,1.0,4.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,2.0,,,
23,919114,2018-01-13 15:00:00,"Stamford Bridge, London",41552,Home,Chelsea,Leicester City,0,0,D,0,0,0,1,2.0,2.0,,68.0,,1.0,27.0,15.0,11.0,5.0,6.0,1.0,,5.0,186.0,,4.0,16.0,,4.0,15.0,7.0,130.0,142.0,53.0,1.0,17.0,5.0,17.0,4.0,,1.0,2.0,24.0,11.0,3.0,15.0,4.0,10.0,36.0,,248.0,1.0,,0.0,188.0,14.0,1.0,1.0,64.0,89.0,12.0,70.0,,20.0,12.0,11.0,1.0,8.0,3.0,,142.0,,,8.0,125.0,704.0,15.0,8.0,25.0,9.0,405.0,42.0,,3.0,12.0,,2.0,7.0,3.0,21.0,483.0,60.0,,94245,1.0,183.0,11.0,,210.0,6.0,12.0,12.0,63.0,,5.0,4.0,,17.0,6.0,8.0,56.0,427.0,13.0,21.0,,18.0,62.0,0.0,1.0,1.0,3.0,1.0,,,5.0,0.0,3.0,,,,55.5,20.0,2.0,4.0,6.0,42.0,6.0,511.0,9.0,9.0,19.0,4.0,31.0,1.0,1.0,325.0,11.0,9.0,11.0,151.0,20.0,2.0,12.0,13.0,,,13.0,3.0,21.0,2.0,4.0,6.0,,,,,,2.0,,,1.0,,,,,,,2.0,1.0,,,,,1.0,,,,,1.0,,,4.0,1.0,,,,2.0,,,,1.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,
24,919124,2018-01-20 12:30:00,"Amex Stadium, Falmer",30600,Away,Chelsea,Brighton and Hove Albion,4,0,W,2,0,0,0,,2.0,1.0,59.0,1.0,,21.0,22.0,7.0,5.0,7.0,3.0,1.0,4.0,161.0,,1.0,18.0,4.0,5.0,10.0,10.0,153.0,109.0,55.0,3.0,14.0,3.0,13.0,2.0,3.0,4.0,1.0,10.0,4.0,4.0,22.0,2.0,14.0,16.0,1.0,210.0,,,0.0,118.0,5.0,,,48.0,45.0,9.0,85.0,,8.0,18.0,7.0,3.0,2.0,,,109.0,1.0,,7.0,136.0,712.0,6.0,12.0,25.0,9.0,447.0,32.0,,8.0,9.0,3.0,0.0,2.0,1.0,20.0,513.0,39.0,,94245,5.0,253.0,6.0,,276.0,1.0,18.0,6.0,37.0,,,6.0,4.0,9.0,3.0,1.0,45.0,462.0,12.0,8.0,1.0,21.0,62.0,0.0,2.0,3.0,5.0,2.0,4.0,,5.0,0.0,1.0,2.0,1.0,,58.3,16.0,2.0,6.0,3.0,46.0,3.0,535.0,9.0,7.0,9.0,1.0,21.0,,1.0,269.0,9.0,13.0,12.0,88.0,16.0,7.0,9.0,13.0,,,11.0,3.0,22.0,7.0,8.0,3.0,1.0,1.0,,,,1.0,1.0,,3.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,2.0,1.0,,3.0,,2.0,3.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
25,919136,2018-01-31 19:45:00,"Stamford Bridge, London",41464,Home,Chelsea,Bournemouth,0,3,L,0,0,0,0,,2.0,,70.0,,3.0,33.0,9.0,10.0,9.0,11.0,2.0,,1.0,223.0,,9.0,22.0,,2.0,18.0,5.0,150.0,163.0,72.0,2.0,21.0,5.0,10.0,,,3.0,,25.0,10.0,1.0,9.0,6.0,17.0,44.0,,270.0,,,0.0,169.0,5.0,,,68.0,91.0,11.0,74.0,4.0,19.0,18.0,10.0,2.0,2.0,4.0,,163.0,,2.0,5.0,171.0,840.0,16.0,17.0,26.0,7.0,494.0,21.0,1.0,2.0,3.0,,1.0,4.0,7.0,29.0,593.0,73.0,,88894,8.0,256.0,17.0,,278.0,3.0,18.0,5.0,47.0,,4.0,7.0,,16.0,6.0,4.0,68.0,517.0,11.0,10.0,2.0,18.0,90.0,0.0,,1.0,5.0,,,3.0,9.0,0.0,7.0,,1.0,5.0,65.7,27.0,4.0,7.0,8.0,51.0,8.0,618.0,7.0,13.0,18.0,8.0,31.0,2.0,4.0,365.0,5.0,17.0,23.0,122.0,36.0,2.0,3.0,16.0,,3.0,15.0,3.0,32.0,2.0,7.0,8.0,,2.0,2.0,,,1.0,,,,,,,,,,1.0,,,2.0,,2.0,3.0,,,,3.0,2.0,,,4.0,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,1.0,,,,
26,919151,2018-02-05 20:00:00,"Vicarage Road, Watford",20157,Away,Chelsea,Watford,1,4,L,0,1,1,0,1.0,1.0,,62.0,,1.0,33.0,21.0,2.0,2.0,5.0,4.0,,1.0,162.0,,1.0,12.0,1.0,1.0,5.0,3.0,133.0,139.0,54.0,,7.0,1.0,20.0,1.0,,,,9.0,10.0,,21.0,2.0,9.0,32.0,1.0,179.0,1.0,,0.0,125.0,8.0,,,40.0,69.0,4.0,79.0,,7.0,13.0,2.0,,1.0,,1.0,139.0,1.0,2.0,11.0,138.0,701.0,5.0,12.0,9.0,9.0,402.0,26.0,,4.0,10.0,,2.0,4.0,1.0,12.0,485.0,46.0,,61603,3.0,244.0,6.0,,267.0,4.0,13.0,10.0,56.0,,1.0,10.0,1.0,16.0,10.0,5.0,71.0,422.0,10.0,12.0,,19.0,69.0,0.0,,3.0,6.0,,,4.0,4.0,1.0,1.0,,,,55.4,11.0,3.0,10.0,2.0,37.0,2.0,512.0,9.0,12.0,12.0,2.0,23.0,,2.0,254.0,4.0,8.0,16.0,85.0,23.0,4.0,10.0,16.0,,4.0,7.0,2.0,19.0,4.0,9.0,2.0,1.0,4.0,,,,1.0,,1.0,2.0,,,1.0,,,,1.0,3.0,1.0,,,,1.0,,,,,1.0,1.0,,2.0,,,1.0,,1.0,1.0,,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,
