gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,accuratePullBack,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,attOboxGoal,penaltyWon,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,crosses18yardplus,attOboxMiss,possLostCtrl,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,totalBackZonePass,attemptedTackleFoul,attRfGoal,totalPullBack,blockedPass,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attSvLowRight,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,handBall,attGoalLowRight,attGoalLowCentre,attObxLeft,shotFastbreak,postScoringAtt,goalFastbreak,attIboxPost,attOneOnOne,ptsGainedLosingPos,totalFastbreak,goodHighClaim,bigChanceCreated,hitWoodwork,accurateThroughBall,bigChanceMissed,goalKicks,accurateGoalKicks,attFastbreak,attPostHigh,goalAssistIntentional,totalHighClaim,cleanSheet,attHdTarget,attCmissHigh,punches,attFreekickMiss,attSvHighRight,totalKeeperSweeper,sixYardBlock,attSetpiece,penaltyConceded,shieldBallOop,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,errorLeadToGoal,goalsConcededObox,accurateFreekickCross,attSvHighCentre,attCmissLeft,attGoalHighRight,foulThrowIn,goalAssistSetplay,attLfGoal,attFreekickPost,attPostLeft,attOboxPost,defenderGoals,attPostRight,accurateKeeperSweeper,errorLeadToShot,ownGoals,clearanceOffLine,attIboxOwnGoal,attGoalHighLeft,attHdGoal,goalAssistDeadball,attPenTarget,attFreekickGoal,attHdPost,attLgCentre,attObxdLeft
11,855275,2016-11-05 17:30:00,"Stamford Bridge, London",41429,Home,Chelsea,Everton,5,0,W,3,0,0,0,1.0,1.0,61.0,1.0,,4.0,52.0,14.0,6.0,9.0,15.0,,3.0,197.0,7.0,17.0,5.0,4.0,18.0,1.0,1.0,9.0,180.0,119.0,67.0,,21.0,3.0,18.0,3.0,4.0,3.0,1.0,1.0,22.0,15.0,1.0,14.0,3.0,10.0,48.0,348.0,,,,0.0,219.0,5.0,,,1.0,,3.0,115.0,94.0,13.0,130.0,,2.0,19.0,13.0,6.0,,,4.0,2.0,119.0,,1.0,178.0,886.0,13.0,5.0,38.0,11.0,597.0,22.0,,3.0,12.0,4.0,0.0,,5.0,19.0,665.0,71.0,94245,5.0,275.0,12.0,289.0,1.0,2.0,2.0,13.0,49.0,2.0,2.0,4.0,4.0,6.0,,1.0,,77.0,616.0,16.0,4.0,1.0,11.0,4.0,70.0,2.0,0.0,,2.0,2.0,,5.0,,5.0,0.0,5.0,1.0,60.1,17.0,1.0,4.0,5.0,4.0,7.0,50.0,4.0,685.0,11.0,13.0,33.0,5.0,41.0,2.0,2.0,418.0,11.0,10.0,8.0,180.0,31.0,4.0,1.0,12.0,26.0,,17.0,3.0,27.0,1.0,8.0,4.0,1.0,2.0,2.0,,,1.0,,1.0,,,,,,1.0,1.0,,4.0,4.0,,,2.0,,1.0,,,,,,,1.0,,,1.0,,,,,,1.0,1.0,,,,1.0,3.0,,,,,1.0,,,,,,,,,,,,,
12,855285,2016-11-20 16:00:00,"Riverside Stadium, Middlesbrough",32704,Away,Chelsea,Middlesbrough,1,0,W,1,0,0,0,1.0,,49.0,,,3.0,37.0,20.0,3.0,8.0,10.0,1.0,1.0,189.0,5.0,14.0,1.0,1.0,10.0,1.0,,3.0,167.0,139.0,46.0,1.0,13.0,1.0,13.0,2.0,1.0,,,1.0,19.0,6.0,,20.0,3.0,11.0,40.0,325.0,,,,0.0,210.0,10.0,1.0,,,,,79.0,100.0,6.0,92.0,,2.0,16.0,18.0,3.0,1.0,,3.0,2.0,139.0,,6.0,172.0,802.0,9.0,8.0,33.0,11.0,510.0,18.0,1.0,1.0,12.0,,3.0,4.0,4.0,25.0,596.0,83.0,94245,6.0,207.0,13.0,230.0,7.0,,1.0,18.0,54.0,4.0,1.0,3.0,,12.0,6.0,1.0,,71.0,527.0,12.0,15.0,1.0,9.0,2.0,64.0,1.0,0.0,,1.0,2.0,1.0,1.0,,3.0,0.0,4.0,1.0,57.6,23.0,,3.0,2.0,3.0,4.0,35.0,3.0,620.0,11.0,10.0,21.0,6.0,34.0,1.0,3.0,409.0,4.0,10.0,12.0,161.0,25.0,1.0,5.0,12.0,9.0,,10.0,3.0,20.0,5.0,5.0,3.0,,,1.0,,,1.0,,1.0,,,,1.0,2.0,1.0,2.0,2.0,11.0,7.0,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,
13,855294,2016-11-26 17:30:00,"Stamford Bridge, London",41513,Home,Chelsea,Tottenham Hotspur,2,1,W,1,1,0,0,1.0,1.0,67.0,,1.0,1.0,37.0,34.0,4.0,2.0,5.0,5.0,2.0,157.0,2.0,7.0,2.0,4.0,7.0,1.0,,5.0,80.0,140.0,58.0,1.0,9.0,,21.0,,1.0,2.0,2.0,,14.0,12.0,3.0,34.0,3.0,7.0,35.0,130.0,,1.0,,0.0,117.0,13.0,2.0,,1.0,,3.0,56.0,33.0,4.0,62.0,1.0,1.0,11.0,16.0,4.0,1.0,,2.0,,140.0,,4.0,87.0,599.0,5.0,10.0,20.0,17.0,276.0,19.0,,6.0,22.0,2.0,2.0,1.0,3.0,21.0,355.0,54.0,94245,3.0,168.0,6.0,197.0,7.0,2.0,1.0,16.0,72.0,,3.0,8.0,2.0,6.0,8.0,2.0,,75.0,296.0,16.0,18.0,,24.0,,62.0,,0.0,1.0,3.0,8.0,4.0,1.0,1.0,7.0,0.0,1.0,,45.9,17.0,,2.0,1.0,8.0,1.0,28.0,3.0,386.0,17.0,15.0,18.0,3.0,24.0,1.0,3.0,203.0,6.0,4.0,12.0,80.0,34.0,1.0,4.0,22.0,23.0,,8.0,3.0,14.0,4.0,10.0,3.0,,,1.0,,,,,,,3.0,,1.0,2.0,,,1.0,10.0,6.0,,,1.0,1.0,,,,1.0,,,2.0,,,,1.0,,,,,1.0,,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,
14,855305,2016-12-03 12:30:00,"Etihad Stadium, Manchester",54457,Away,Chelsea,Manchester City,3,1,W,0,1,0,2,,2.0,67.0,3.0,2.0,,28.0,22.0,3.0,1.0,7.0,4.0,1.0,163.0,2.0,18.0,3.0,2.0,9.0,,2.0,4.0,84.0,134.0,54.0,,10.0,1.0,13.0,1.0,3.0,3.0,,,9.0,15.0,,22.0,1.0,6.0,37.0,127.0,,,,0.0,110.0,9.0,3.0,,,1.0,1.0,52.0,38.0,5.0,38.0,4.0,4.0,8.0,27.0,3.0,,,3.0,2.0,134.0,,12.0,79.0,565.0,6.0,6.0,19.0,13.0,252.0,35.0,,6.0,10.0,3.0,3.0,3.0,4.0,21.0,336.0,50.0,94245,3.0,145.0,4.0,171.0,4.0,3.0,2.0,27.0,42.0,3.0,1.0,3.0,3.0,13.0,3.0,1.0,,60.0,270.0,13.0,11.0,,21.0,1.0,71.0,,0.0,,3.0,9.0,3.0,3.0,1.0,2.0,0.0,2.0,2.0,39.3,16.0,2.0,4.0,,3.0,1.0,36.0,2.0,364.0,13.0,7.0,20.0,5.0,20.0,,3.0,202.0,7.0,6.0,6.0,69.0,21.0,2.0,9.0,10.0,18.0,1.0,9.0,3.0,22.0,9.0,14.0,2.0,1.0,,,,2.0,,2.0,,,3.0,4.0,,2.0,,2.0,,9.0,2.0,2.0,,3.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
15,855314,2016-12-11 12:00:00,"Stamford Bridge, London",41622,Home,Chelsea,West Bromwich Albion,1,0,W,0,0,0,0,,,67.0,,,,41.0,31.0,9.0,6.0,3.0,1.0,1.0,179.0,,16.0,1.0,5.0,7.0,1.0,2.0,2.0,146.0,156.0,58.0,3.0,12.0,2.0,19.0,,1.0,,1.0,2.0,18.0,13.0,1.0,31.0,1.0,11.0,43.0,302.0,1.0,,,0.0,208.0,6.0,,,,,1.0,92.0,82.0,1.0,79.0,1.0,3.0,17.0,14.0,9.0,3.0,,6.0,6.0,156.0,,4.0,173.0,788.0,7.0,8.0,15.0,13.0,472.0,24.0,2.0,6.0,20.0,,2.0,,6.0,26.0,557.0,78.0,94245,1.0,186.0,10.0,212.0,3.0,,2.0,14.0,56.0,1.0,2.0,5.0,1.0,19.0,2.0,,,71.0,488.0,10.0,5.0,,20.0,,56.0,,0.0,1.0,1.0,1.0,1.0,1.0,,4.0,0.0,,,66.9,26.0,,4.0,1.0,5.0,2.0,33.0,3.0,577.0,13.0,22.0,22.0,8.0,25.0,,2.0,383.0,6.0,11.0,18.0,164.0,34.0,1.0,3.0,20.0,14.0,,9.0,3.0,20.0,3.0,6.0,3.0,,,,,,,,,,,,1.0,,,,,10.0,9.0,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,1.0,,,,1.0,,,,,,,
16,855325,2016-12-14 19:45:00,"Stadium of Light, Sunderland",41008,Away,Chelsea,Sunderland,1,0,W,1,0,0,0,3.0,,48.0,,1.0,2.0,30.0,18.0,9.0,6.0,10.0,3.0,2.0,204.0,4.0,14.0,1.0,4.0,15.0,,1.0,6.0,155.0,132.0,59.0,2.0,19.0,1.0,18.0,3.0,2.0,1.0,2.0,3.0,24.0,13.0,2.0,18.0,5.0,25.0,45.0,349.0,,1.0,,0.0,247.0,10.0,2.0,,1.0,,,72.0,58.0,6.0,93.0,1.0,4.0,19.0,15.0,9.0,2.0,,2.0,5.0,132.0,,5.0,167.0,815.0,13.0,6.0,23.0,12.0,521.0,19.0,1.0,3.0,12.0,1.0,2.0,1.0,8.0,23.0,598.0,97.0,94245,6.0,191.0,17.0,203.0,4.0,1.0,,15.0,47.0,1.0,3.0,3.0,1.0,5.0,3.0,2.0,,55.0,536.0,14.0,7.0,,11.0,2.0,86.0,2.0,0.0,1.0,4.0,5.0,2.0,,,1.0,0.0,2.0,1.0,66.1,21.0,1.0,2.0,2.0,3.0,3.0,55.0,5.0,619.0,12.0,8.0,22.0,10.0,42.0,2.0,5.0,440.0,12.0,23.0,16.0,193.0,22.0,,,12.0,16.0,,15.0,3.0,21.0,,11.0,5.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,5.0,2.0,,,1.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
17,855333,2016-12-17 12:30:00,"Selhurst Park, London",25259,Away,Chelsea,Crystal Palace,1,0,W,1,0,0,0,2.0,,67.0,,1.0,2.0,32.0,35.0,5.0,6.0,8.0,2.0,2.0,152.0,1.0,13.0,1.0,4.0,9.0,1.0,,6.0,94.0,142.0,65.0,2.0,13.0,2.0,21.0,4.0,1.0,1.0,3.0,1.0,13.0,14.0,1.0,35.0,1.0,7.0,33.0,198.0,1.0,,,0.0,148.0,15.0,1.0,,,1.0,1.0,65.0,51.0,8.0,60.0,1.0,,12.0,24.0,5.0,2.0,,3.0,1.0,142.0,,3.0,112.0,631.0,7.0,10.0,25.0,13.0,305.0,29.0,,2.0,20.0,1.0,3.0,,1.0,21.0,395.0,63.0,94245,4.0,125.0,8.0,154.0,7.0,,1.0,24.0,51.0,,2.0,6.0,1.0,17.0,3.0,,,65.0,322.0,12.0,5.0,1.0,17.0,,64.0,1.0,0.0,,1.0,5.0,1.0,1.0,,2.0,0.0,1.0,2.0,46.5,19.0,,4.0,3.0,6.0,4.0,32.0,3.0,418.0,13.0,10.0,18.0,3.0,26.0,,1.0,277.0,5.0,7.0,17.0,106.0,25.0,1.0,4.0,20.0,23.0,,9.0,3.0,15.0,4.0,16.0,3.0,1.0,1.0,,,,1.0,,,,,,2.0,,1.0,,,7.0,5.0,,1.0,1.0,2.0,1.0,1.0,,,,,,,2.0,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,
18,855344,2016-12-26 15:00:00,"Stamford Bridge, London",41384,Home,Chelsea,Bournemouth,3,0,W,1,0,0,0,1.0,1.0,57.0,,1.0,1.0,38.0,13.0,6.0,4.0,8.0,3.0,1.0,168.0,1.0,27.0,3.0,3.0,10.0,,,4.0,111.0,105.0,59.0,1.0,14.0,2.0,10.0,1.0,3.0,1.0,1.0,3.0,12.0,9.0,1.0,13.0,3.0,13.0,42.0,249.0,,,1.0,0.0,189.0,13.0,2.0,,,,,80.0,61.0,5.0,87.0,4.0,2.0,9.0,19.0,6.0,1.0,,2.0,3.0,105.0,,5.0,108.0,657.0,9.0,5.0,34.0,25.0,383.0,21.0,1.0,,6.0,1.0,1.0,3.0,5.0,14.0,453.0,57.0,94245,4.0,152.0,7.0,166.0,10.0,1.0,,19.0,42.0,2.0,1.0,2.0,1.0,7.0,2.0,1.0,1.0,74.0,400.0,14.0,9.0,,17.0,1.0,71.0,1.0,0.0,,,5.0,2.0,3.0,,3.0,0.0,,,44.4,12.0,,5.0,1.0,2.0,3.0,39.0,5.0,474.0,25.0,5.0,24.0,7.0,32.0,1.0,4.0,320.0,10.0,12.0,7.0,149.0,27.0,2.0,3.0,6.0,12.0,,11.0,3.0,32.0,3.0,12.0,5.0,,1.0,,,1.0,,,,,,1.0,1.0,,,1.0,,3.0,2.0,1.0,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,
19,855354,2016-12-31 15:00:00,"Stamford Bridge, London",41601,Home,Chelsea,Stoke City,4,2,W,1,0,0,0,,1.0,52.0,2.0,,1.0,34.0,21.0,8.0,6.0,10.0,,2.0,161.0,3.0,11.0,4.0,4.0,14.0,,3.0,7.0,108.0,123.0,43.0,1.0,18.0,2.0,22.0,3.0,1.0,2.0,2.0,2.0,14.0,9.0,,21.0,4.0,14.0,35.0,229.0,,,,0.0,165.0,12.0,,,,,2.0,49.0,52.0,8.0,83.0,1.0,3.0,10.0,13.0,8.0,1.0,,1.0,6.0,123.0,,4.0,121.0,647.0,10.0,4.0,30.0,10.0,384.0,19.0,,1.0,12.0,3.0,3.0,,6.0,23.0,452.0,60.0,94245,5.0,175.0,7.0,193.0,6.0,1.0,,13.0,54.0,4.0,2.0,4.0,3.0,16.0,1.0,3.0,,60.0,401.0,9.0,4.0,1.0,16.0,5.0,64.0,1.0,0.0,,,3.0,,4.0,2.0,,0.0,1.0,2.0,59.6,19.0,,4.0,3.0,4.0,3.0,40.0,8.0,473.0,10.0,10.0,23.0,8.0,33.0,2.0,2.0,294.0,10.0,11.0,11.0,124.0,24.0,3.0,,12.0,12.0,2.0,12.0,3.0,18.0,,7.0,8.0,,,,,1.0,,,,,,1.0,,1.0,,1.0,1.0,5.0,4.0,1.0,,3.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,2.0,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,
20,855369,2017-01-04 20:00:00,"White Hart Lane, London",31491,Away,Chelsea,Tottenham Hotspur,0,2,L,0,1,0,0,,,69.0,,,2.0,40.0,21.0,5.0,2.0,6.0,,1.0,201.0,3.0,11.0,,1.0,8.0,,2.0,2.0,129.0,158.0,54.0,1.0,11.0,1.0,20.0,1.0,1.0,,1.0,,17.0,14.0,1.0,21.0,4.0,17.0,29.0,204.0,1.0,,,0.0,144.0,8.0,,,,1.0,,74.0,53.0,3.0,75.0,1.0,2.0,13.0,20.0,5.0,1.0,,2.0,3.0,158.0,,3.0,121.0,731.0,8.0,8.0,19.0,15.0,412.0,30.0,1.0,6.0,10.0,,2.0,1.0,5.0,24.0,504.0,74.0,94245,3.0,228.0,11.0,256.0,5.0,,,20.0,63.0,3.0,4.0,4.0,,15.0,6.0,2.0,,74.0,429.0,8.0,11.0,,21.0,,80.0,,0.0,,2.0,1.0,,,2.0,4.0,0.0,2.0,3.0,54.5,22.0,2.0,5.0,1.0,4.0,3.0,48.0,6.0,526.0,15.0,19.0,14.0,6.0,29.0,1.0,3.0,287.0,6.0,15.0,16.0,102.0,29.0,,3.0,10.0,19.0,2.0,10.0,3.0,16.0,3.0,11.0,6.0,,,,,,,,,,,,,2.0,,1.0,2.0,7.0,5.0,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,
21,855375,2017-01-14 17:30:00,"King Power Stadium, Leicester",32066,Away,Chelsea,Leicester City,3,0,W,1,0,0,0,,1.0,59.0,2.0,,1.0,33.0,38.0,3.0,4.0,5.0,2.0,,213.0,1.0,13.0,3.0,3.0,5.0,,1.0,3.0,159.0,148.0,46.0,,8.0,2.0,14.0,,1.0,1.0,,1.0,13.0,5.0,,38.0,5.0,24.0,35.0,275.0,,1.0,,0.0,186.0,9.0,,,2.0,,2.0,101.0,65.0,3.0,101.0,2.0,1.0,8.0,19.0,3.0,,,2.0,,148.0,,3.0,167.0,836.0,4.0,9.0,16.0,16.0,531.0,30.0,,2.0,20.0,1.0,0.0,,2.0,31.0,623.0,72.0,94245,3.0,269.0,4.0,295.0,6.0,1.0,1.0,19.0,42.0,,1.0,6.0,2.0,15.0,4.0,,,63.0,543.0,8.0,6.0,,22.0,1.0,84.0,,0.0,,6.0,3.0,2.0,2.0,,7.0,0.0,1.0,1.0,64.8,28.0,,1.0,1.0,7.0,3.0,50.0,5.0,640.0,16.0,12.0,24.0,2.0,24.0,,2.0,358.0,3.0,22.0,19.0,138.0,21.0,1.0,2.0,20.0,6.0,,5.0,3.0,14.0,2.0,8.0,5.0,,1.0,,,,,,,,,,3.0,,,,,8.0,5.0,,,1.0,3.0,1.0,,,2.0,,,2.0,,2.0,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,1.0,,,,,,
22,855384,2017-01-22 16:30:00,"Stamford Bridge, London",41605,Home,Chelsea,Hull City,2,0,W,1,0,0,0,2.0,1.0,57.0,,2.0,1.0,49.0,18.0,5.0,3.0,4.0,4.0,1.0,190.0,2.0,11.0,2.0,3.0,5.0,,,5.0,147.0,152.0,38.0,,9.0,2.0,24.0,1.0,1.0,1.0,1.0,1.0,32.0,8.0,2.0,18.0,6.0,14.0,30.0,270.0,,,,0.0,226.0,12.0,4.0,,,,3.0,81.0,78.0,5.0,80.0,1.0,,26.0,21.0,5.0,,,3.0,1.0,152.0,1.0,3.0,142.0,740.0,3.0,5.0,32.0,13.0,455.0,24.0,,5.0,11.0,2.0,1.0,1.0,,16.0,539.0,58.0,94245,2.0,201.0,20.0,218.0,2.0,1.0,,21.0,63.0,2.0,1.0,5.0,1.0,11.0,6.0,,,73.0,469.0,9.0,9.0,,16.0,3.0,74.0,1.0,0.0,,,7.0,2.0,2.0,,3.0,0.0,2.0,1.0,52.8,16.0,,2.0,,5.0,3.0,42.0,9.0,559.0,13.0,11.0,22.0,1.0,45.0,,,373.0,5.0,14.0,8.0,180.0,25.0,1.0,3.0,11.0,10.0,,5.0,3.0,19.0,3.0,7.0,9.0,,2.0,,,,,,,1.0,,,,2.0,,1.0,1.0,7.0,3.0,,,2.0,,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,
23,855400,2017-01-31 20:00:00,"Anfield, Liverpool",53157,Away,Chelsea,Liverpool,1,1,D,1,0,0,0,,,77.0,1.0,1.0,1.0,24.0,38.0,4.0,3.0,4.0,2.0,1.0,188.0,,10.0,1.0,4.0,4.0,,1.0,2.0,75.0,172.0,73.0,1.0,8.0,1.0,22.0,1.0,3.0,,,1.0,8.0,13.0,,38.0,2.0,7.0,28.0,115.0,,1.0,1.0,0.0,96.0,8.0,1.0,,,1.0,2.0,52.0,54.0,2.0,50.0,1.0,1.0,6.0,25.0,4.0,1.0,,,2.0,172.0,,4.0,73.0,602.0,4.0,12.0,12.0,18.0,250.0,26.0,,11.0,19.0,,1.0,1.0,2.0,28.0,354.0,59.0,94245,1.0,152.0,4.0,189.0,3.0,1.0,,25.0,47.0,3.0,3.0,4.0,,17.0,3.0,1.0,,71.0,267.0,12.0,4.0,,37.0,,87.0,,0.0,,4.0,3.0,1.0,,1.0,1.0,0.0,,,37.6,22.0,,7.0,,4.0,2.0,36.0,3.0,386.0,18.0,13.0,14.0,4.0,14.0,,1.0,205.0,5.0,7.0,28.0,51.0,35.0,,2.0,19.0,23.0,1.0,6.0,3.0,12.0,2.0,15.0,3.0,2.0,,,,,1.0,,1.0,,,,1.0,,1.0,,1.0,13.0,5.0,,,,1.0,,,,1.0,,,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,
24,855402,2017-02-04 12:30:00,"Stamford Bridge, London",41490,Home,Chelsea,Arsenal,3,1,W,1,0,0,0,2.0,3.0,70.0,,,,32.0,26.0,5.0,4.0,8.0,4.0,,148.0,3.0,17.0,3.0,3.0,9.0,1.0,1.0,6.0,92.0,141.0,60.0,,13.0,2.0,11.0,2.0,1.0,,2.0,,19.0,15.0,1.0,26.0,4.0,4.0,34.0,191.0,,1.0,,0.0,157.0,14.0,3.0,,1.0,1.0,2.0,75.0,51.0,5.0,73.0,1.0,1.0,15.0,16.0,5.0,,1.0,4.0,1.0,141.0,,6.0,97.0,631.0,8.0,8.0,24.0,17.0,310.0,27.0,,8.0,15.0,,1.0,2.0,4.0,21.0,386.0,59.0,94245,5.0,138.0,9.0,151.0,9.0,2.0,1.0,16.0,65.0,5.0,4.0,4.0,3.0,11.0,3.0,3.0,,68.0,326.0,8.0,15.0,1.0,29.0,1.0,64.0,,0.0,,,13.0,4.0,2.0,1.0,3.0,0.0,3.0,4.0,41.7,21.0,1.0,7.0,,5.0,2.0,33.0,10.0,410.0,17.0,21.0,21.0,5.0,30.0,,3.0,278.0,5.0,4.0,17.0,108.0,25.0,1.0,5.0,15.0,19.0,1.0,11.0,3.0,21.0,5.0,9.0,10.0,,,2.0,,,1.0,,1.0,,,,3.0,,1.0,,,3.0,2.0,,1.0,,3.0,,1.0,,,,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,,
25,855414,2017-02-12 13:30:00,"Turf Moor, Burnley",21744,Away,Chelsea,Burnley,1,1,D,1,1,0,0,,,76.0,1.0,1.0,4.0,31.0,25.0,6.0,5.0,7.0,3.0,1.0,224.0,2.0,22.0,1.0,1.0,9.0,,,2.0,204.0,163.0,61.0,1.0,13.0,2.0,16.0,1.0,1.0,,1.0,1.0,21.0,13.0,,25.0,,24.0,43.0,347.0,1.0,,,0.0,237.0,11.0,2.0,,,,2.0,86.0,103.0,6.0,94.0,,1.0,21.0,17.0,6.0,1.0,,6.0,4.0,163.0,,3.0,207.0,937.0,9.0,13.0,25.0,17.0,597.0,31.0,,6.0,15.0,,2.0,2.0,3.0,21.0,710.0,97.0,94245,5.0,270.0,13.0,299.0,3.0,1.0,,17.0,38.0,2.0,,9.0,1.0,14.0,4.0,2.0,,64.0,615.0,11.0,4.0,,22.0,1.0,88.0,,0.0,,4.0,1.0,2.0,1.0,1.0,6.0,0.0,2.0,,71.7,19.0,,5.0,1.0,9.0,6.0,59.0,1.0,729.0,17.0,7.0,20.0,5.0,35.0,,1.0,451.0,8.0,23.0,14.0,181.0,31.0,1.0,,15.0,14.0,,11.0,3.0,25.0,,6.0,1.0,1.0,,,,1.0,,1.0,,,,1.0,2.0,,,1.0,,4.0,4.0,1.0,,,2.0,,,1.0,,1.0,,2.0,,,,,,,2.0,,1.0,,,1.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,
26,855422,2017-02-25 15:00:00,"Stamford Bridge, London",41612,Home,Chelsea,Swansea City,3,1,W,1,1,0,0,,1.0,65.0,3.0,1.0,2.0,42.0,10.0,6.0,4.0,10.0,1.0,2.0,234.0,4.0,19.0,3.0,4.0,14.0,1.0,,5.0,190.0,146.0,53.0,,16.0,3.0,11.0,2.0,1.0,3.0,,,20.0,10.0,,10.0,4.0,11.0,47.0,348.0,,1.0,,0.0,236.0,11.0,,,1.0,2.0,3.0,121.0,58.0,9.0,107.0,,2.0,16.0,27.0,6.0,,,2.0,2.0,146.0,1.0,2.0,203.0,905.0,10.0,8.0,38.0,7.0,614.0,26.0,,1.0,8.0,3.0,1.0,,5.0,20.0,711.0,80.0,94245,8.0,292.0,11.0,311.0,8.0,1.0,1.0,27.0,42.0,4.0,1.0,2.0,3.0,16.0,1.0,3.0,,66.0,636.0,11.0,7.0,1.0,10.0,1.0,96.0,,0.0,,1.0,1.0,,2.0,1.0,3.0,0.0,4.0,2.0,65.6,19.0,1.0,2.0,1.0,2.0,5.0,70.0,8.0,734.0,7.0,7.0,26.0,6.0,34.0,,3.0,443.0,10.0,9.0,13.0,185.0,34.0,2.0,5.0,8.0,11.0,1.0,14.0,3.0,25.0,5.0,13.0,8.0,,,,,,1.0,,1.0,,,,,1.0,1.0,,,5.0,5.0,,1.0,2.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,
