matchId,gameweek,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goals,totalScoringAtt,ontargetScoringAtt,shotOffTarget,blockedScoringAtt,expectedGoals,expectedGoalsOnTarget,bigChanceCreated,bigChanceScored,bigChanceMissed,hitWoodwork,expectedAssists,goalAssist,totalAttAssist,ontargetAttAssist,penAreaEntries,finalThirdEntries,totalPass,accuratePass,possessionPercentage,touchesInOppBox,totalTackle,wonTackle,interception,totalClearance,effectiveClearance,blockedPass,outfielderBlock,errorLeadToShot,errorLeadToGoal,challengeLost,dispossessed,possLostAll,saves,goalsConceded,expectedGoalsOnTargetConceded,cleanSheet,duelWon,duelLost,aerialWon,aerialLost,cornerTaken,wonCorners,attSetpiece,fkFoulLost,fkFoulWon,yellowCard,redCard,penaltyWon,attPenGoal,totalOffside,totalDistance
2444696,23,2025-01-25 17:30:00,"Etihad Stadium, Manchester",52793,Away,Chelsea,Man City,1,3,L,1,1,0,0,1.0,10.0,4.0,3.0,3.0,1.8002,1.8173,2.0,1.0,2.0,,1.17784,1.0,8.0,6.0,12.0,37.0,425.0,352.0,43.0,23.0,12.0,8.0,4.0,12.0,12.0,7.0,3.0,1.0,1.0,9.0,5.0,119.0,3.0,3.0,2.3483,,37.0,37.0,8.0,7.0,3.0,4.0,1.0,8.0,6.0,0.0,0.0,,,2.0,109643.25
2444703,24,2025-02-03 20:00:00,"Stamford Bridge, London",39459,Home,Chelsea,West Ham,2,1,W,0,1,0,0,2.0,22.0,3.0,9.0,10.0,1.6667,0.3226,1.0,1.0,1.0,,1.19867,,17.0,9.0,32.0,67.0,597.0,516.0,67.9,34.0,23.0,18.0,3.0,14.0,14.0,7.0,3.0,1.0,1.0,5.0,7.0,122.0,4.0,1.0,0.4107,,57.0,43.0,20.0,13.0,4.0,4.0,1.0,11.0,10.0,0.0,0.0,,,,105617.18
2444711,25,2025-02-14 20:00:00,"American Express Stadium, Falmer",31503,Away,Chelsea,Brighton,0,3,L,0,2,0,0,,8.0,,6.0,2.0,0.5402,,1.0,,1.0,,0.680506,,6.0,2.0,28.0,62.0,735.0,664.0,69.5,26.0,19.0,4.0,7.0,9.0,9.0,6.0,2.0,3.0,,7.0,9.0,123.0,3.0,3.0,1.8313,,53.0,53.0,13.0,13.0,9.0,9.0,,15.0,12.0,0.0,0.0,,,3.0,110394.15
2444722,26,2025-02-22 17:30:00,"Villa Park, Birmingham",42423,Away,Chelsea,Aston Villa,1,2,L,1,0,0,0,1.0,15.0,7.0,5.0,3.0,2.303,1.9703,3.0,1.0,2.0,,1.62094,1.0,12.0,8.0,18.0,50.0,446.0,393.0,47.8,26.0,16.0,7.0,10.0,25.0,25.0,7.0,3.0,3.0,2.0,11.0,8.0,101.0,4.0,2.0,2.1245,,45.0,50.0,8.0,7.0,3.0,3.0,,16.0,15.0,0.0,0.0,,,1.0,110581.62
2444737,27,2025-02-25 20:15:00,"Stamford Bridge, London",39485,Home,Chelsea,Southampton,4,0,W,3,0,0,0,4.0,19.0,10.0,7.0,2.0,2.5646,3.0921,6.0,3.0,3.0,,1.73833,4.0,17.0,10.0,27.0,67.0,620.0,564.0,59.6,39.0,17.0,9.0,7.0,13.0,13.0,2.0,3.0,,,4.0,11.0,92.0,2.0,,0.6621,1.0,42.0,33.0,12.0,8.0,4.0,4.0,1.0,6.0,9.0,0.0,0.0,,,2.0,107875.42
2444742,28,2025-03-09 14:00:00,"Stamford Bridge, London",39750,Home,Chelsea,Leicester,1,0,W,0,0,0,0,1.0,20.0,7.0,5.0,8.0,1.778,1.5244,,,1.0,,1.26767,1.0,18.0,14.0,39.0,75.0,541.0,467.0,56.6,54.0,11.0,9.0,10.0,21.0,21.0,6.0,,,,2.0,9.0,128.0,3.0,,0.1508,1.0,58.0,44.0,21.0,13.0,12.0,12.0,,12.0,13.0,0.0,0.0,1.0,,,104561.9
2444751,29,2025-03-16 13:30:00,"Emirates Stadium, London",60311,Away,Chelsea,Arsenal,0,1,L,0,1,0,0,,8.0,2.0,3.0,3.0,0.3589,0.1957,,,,,0.36686,,5.0,3.0,15.0,78.0,515.0,446.0,59.1,10.0,13.0,8.0,5.0,24.0,24.0,9.0,2.0,2.0,,6.0,7.0,101.0,4.0,1.0,0.6746,,34.0,44.0,8.0,13.0,4.0,4.0,,13.0,9.0,0.0,0.0,,,1.0,98810.72
2444765,30,2025-04-03 20:00:00,"Stamford Bridge, London",39852,Home,Chelsea,Spurs,1,0,W,0,0,0,0,1.0,11.0,5.0,4.0,2.0,1.0992,1.7742,4.0,1.0,3.0,1.0,0.682797,1.0,9.0,5.0,32.0,71.0,437.0,374.0,50.0,34.0,16.0,15.0,2.0,25.0,25.0,6.0,3.0,2.0,,7.0,8.0,120.0,2.0,,1.6978,1.0,43.0,44.0,5.0,14.0,4.0,4.0,,7.0,16.0,0.0,0.0,,,5.0,109358.31
2444771,31,2025-04-06 14:00:00,"Gtech Community Stadium, Brentford",17183,Away,Chelsea,Brentford,0,0,D,0,0,0,0,,21.0,5.0,9.0,7.0,1.2319,1.0881,2.0,,3.0,,0.69095,,18.0,11.0,30.0,66.0,488.0,409.0,59.1,31.0,11.0,8.0,11.0,25.0,25.0,6.0,1.0,1.0,,6.0,12.0,129.0,2.0,,0.4758,1.0,43.0,49.0,15.0,8.0,6.0,6.0,2.0,12.0,12.0,0.0,0.0,,,1.0,104242.93
2444783,32,2025-04-13 14:00:00,"Stamford Bridge, London",39805,Home,Chelsea,Ipswich,2,2,D,0,2,0,0,2.0,34.0,9.0,15.0,10.0,2.2724,3.2416,4.0,,4.0,2.0,2.09527,1.0,30.0,18.0,56.0,70.0,581.0,507.0,73.5,56.0,13.0,7.0,5.0,6.0,6.0,4.0,1.0,1.0,,8.0,5.0,127.0,2.0,2.0,1.3355,,39.0,54.0,15.0,24.0,15.0,15.0,1.0,11.0,7.0,0.0,0.0,,,1.0,107120.74
2444794,33,2025-04-20 14:00:00,"Craven Cottage, London",27712,Away,Chelsea,Fulham,2,1,W,0,1,0,0,2.0,13.0,8.0,3.0,2.0,0.9041,1.1034,1.0,,1.0,,1.03476,1.0,9.0,5.0,40.0,70.0,528.0,465.0,59.3,31.0,9.0,5.0,6.0,22.0,22.0,6.0,3.0,1.0,1.0,4.0,10.0,116.0,,1.0,0.3582,,38.0,33.0,10.0,7.0,4.0,4.0,3.0,9.0,12.0,0.0,0.0,,,,107138.59
2444803,34,2025-04-26 12:30:00,"Stamford Bridge, London",39894,Home,Chelsea,Everton,1,0,W,1,0,0,0,1.0,10.0,7.0,2.0,1.0,0.8812,1.7349,,,1.0,,0.268882,1.0,8.0,7.0,24.0,63.0,506.0,433.0,54.7,19.0,23.0,14.0,7.0,20.0,20.0,2.0,2.0,,,5.0,8.0,123.0,3.0,,0.9855,1.0,62.0,41.0,13.0,8.0,10.0,10.0,1.0,11.0,11.0,0.0,0.0,,,1.0,105863.79
2444814,35,2025-05-04 16:30:00,"Stamford Bridge, London",39829,Home,Chelsea,Liverpool,3,1,W,1,0,0,0,3.0,17.0,7.0,6.0,4.0,3.1339,2.8971,4.0,2.0,3.0,2.0,1.33622,1.0,14.0,8.0,9.0,53.0,356.0,300.0,35.2,37.0,19.0,13.0,14.0,32.0,32.0,13.0,4.0,,,9.0,4.0,88.0,1.0,1.0,0.2312,,47.0,32.0,8.0,4.0,3.0,3.0,,10.0,11.0,0.0,0.0,1.0,1.0,6.0,107535.64
2444825,36,2025-05-11 12:00:00,"St. James' Park, Newcastle",52231,Away,Chelsea,Newcastle,0,2,L,0,1,1,0,,10.0,3.0,3.0,4.0,0.6895,0.4766,1.0,,1.0,,0.603229,,8.0,6.0,25.0,60.0,501.0,436.0,55.3,23.0,15.0,7.0,5.0,16.0,16.0,7.0,3.0,,1.0,5.0,1.0,110.0,4.0,2.0,1.8001,,49.0,35.0,12.0,8.0,8.0,8.0,,13.0,9.0,0.0,0.0,,,,98675.35
2444834,37,2025-05-16 20:15:00,"Stamford Bridge, London",39849,Home,Chelsea,Man Utd,1,0,W,0,0,0,0,1.0,11.0,3.0,4.0,4.0,0.8158,0.8248,3.0,1.0,2.0,1.0,0.681599,1.0,6.0,3.0,15.0,55.0,403.0,325.0,46.6,16.0,18.0,15.0,5.0,15.0,15.0,10.0,,,,4.0,10.0,134.0,1.0,1.0,0.1654,1.0,46.0,49.0,9.0,14.0,7.0,7.0,,10.0,12.0,0.0,0.0,1.0,,3.0,107193.08
2444846,38,2025-05-25 16:00:00,"The City Ground, Nottingham",30263,Away,Chelsea,Nott'm Forest,1,0,W,0,0,0,0,1.0,6.0,2.0,2.0,2.0,1.0857,1.1095,2.0,1.0,2.0,,0.529987,1.0,5.0,4.0,18.0,57.0,409.0,327.0,48.2,11.0,15.0,10.0,4.0,36.0,36.0,4.0,3.0,1.0,,2.0,5.0,124.0,2.0,,0.1179,1.0,38.0,37.0,9.0,10.0,4.0,4.0,,11.0,10.0,0.0,0.0,,,1.0,101305.96
