gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,ballRecovery,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attRfTarget,accurateCross,wonContest,totalAttAssist,ontargetScoringAtt,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,attSvLowCentre,attMissLeft,totalCross,wonTackle,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,yellowCard,totalFinalThirdPasses,fkFoulLost,attSvLowLeft,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,interceptionsInBox,attMissRight,totalCrossNocorner,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,touches,attAssistOpenplay,totalFlickOn,interception,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,accurateBackZonePass,crosses18yard,attSetpiece,totalBackZonePass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,lostCorners,savedIbox,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,subsMade,totalContest,blockedCross,wonCorners,savedObox,attOboxTarget,divingSave,attSvHighLeft,penaltyConceded,attFreekickTarget,penaltyFaced,penGoalsConceded,goalsConcededIbox,attGoalLowCentre,goals,accuratePullBack,shotFastbreak,goalAssistOpenplay,attMissHighRight,goalAssist,totalPullBack,defenderGoals,attFastbreak,attIboxGoal,goalAssistIntentional,attHdGoal,attGoalLowRight,goalAssistSetplay,goalAssistDeadball,midfielderGoals,sixYardBlock,attRfGoal,attLgCentre,attSvLowRight,foulThrowIn,attSvHighCentre,attObxLeft,postScoringAtt,attIboxPost,attHdPost,attHdTarget,hitWoodwork,attPostHigh,clearanceOffLine,errorLeadToGoal,attGoalLowLeft,cleanSheet,attSvHighRight,secondYellow,attLfGoal,goalFastbreak,penaltyWon,attPenGoal,forwardGoals,attOboxGoal,attPenTarget,attemptsIbox,saves,fouledFinalThird,attGoalHighRight,freekickCross,attemptsObox,attObxdRight,touchesInOppBox,successfulOpenPlayPass,openPlayPass,accurateFreekickCross,attBxCentre,goalsOpenplay,attCorner,attCmissLeft,attBxLeft,attOpenplay,attObxRight,attLgLeft,attBxRight,totalFastbreak,ownGoals,attIboxOwnGoal,attObxdLeft,attOboxPost,attGoalHighLeft,attFreekickGoal,penaltySave,attPostLeft
11,284107,2009-10-31 15:00:00,"Fratton Park, Portsmouth",18212,Home,Portsmouth,Wigan Athletic,4,0,W,2,0,0,0,,,2.0,57.0,2.0,17.0,25.0,11.0,8.0,2.0,9.0,7.0,18.0,8.0,141.0,59.0,3.0,25.0,4.0,15.0,1.0,,4.0,3.0,26.0,23.0,19.0,5.0,22.0,31.0,195.0,0.0,165.0,10.0,,,44.0,67.0,10.0,1.0,2.0,21.0,3.0,,5.0,135.0,4.0,644.0,11.0,11.0,32.0,18.0,1.0,4.0,17.0,,0.0,3.0,8.0,27.0,86.0,2.0,,8420,91.0,19.0,2.0,99.0,7.0,58.0,4.0,5.0,1.0,4.0,4.0,3.0,40.0,277.0,10.0,9.0,4.0,16.0,87.0,,0.0,4.0,,,3.0,0.0,8.0,,3.0,48.9,22.0,3.0,3.0,2.0,6.0,51.0,7.0,,357.0,32.0,1.0,17.0,16.0,11.0,25.0,1.0,6.0,284.0,14.0,20.0,10.0,112.0,28.0,1.0,11.0,32.0,3.0,14.0,1.0,7.0,,3.0,,,,,,,,1.0,4.0,,1.0,3.0,2.0,3.0,,,1.0,4.0,3.0,,2.0,,,,1.0,3.0,1.0,,,,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,284111,2009-11-07 15:00:00,"Ewood Park, Blackburn",23110,Away,Portsmouth,Blackburn Rovers,1,3,L,1,0,0,0,,,1.0,51.0,1.0,10.0,47.0,6.0,5.0,,3.0,1.0,5.0,2.0,182.0,39.0,1.0,9.0,,17.0,,,1.0,1.0,23.0,11.0,25.0,4.0,12.0,21.0,138.0,0.0,127.0,18.0,,2.0,31.0,54.0,1.0,3.0,1.0,19.0,1.0,7.0,4.0,160.0,8.0,561.0,2.0,12.0,18.0,18.0,1.0,3.0,30.0,,3.0,2.0,4.0,25.0,63.0,,,8420,75.0,8.0,1.0,101.0,6.0,59.0,1.0,1.0,,,4.0,2.0,47.0,210.0,10.0,6.0,2.0,29.0,77.0,1.0,0.0,8.0,1.0,3.0,1.0,0.0,3.0,,2.0,47.3,16.0,2.0,3.0,,1.0,28.0,5.0,2.0,320.0,18.0,1.0,11.0,10.0,6.0,17.0,,2.0,242.0,2.0,12.0,12.0,76.0,18.0,4.0,16.0,16.0,2.0,8.0,4.0,5.0,,1.0,,,,,,,3.0,,1.0,,,1.0,1.0,1.0,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,284127,2009-11-22 16:00:00,"bet365 Stadium, Stoke",27069,Away,Portsmouth,Stoke City,0,1,L,0,0,0,0,1.0,,3.0,40.0,1.0,12.0,39.0,14.0,11.0,2.0,1.0,3.0,14.0,5.0,173.0,48.0,2.0,18.0,5.0,14.0,1.0,,2.0,2.0,16.0,14.0,16.0,4.0,19.0,23.0,165.0,0.0,136.0,14.0,,2.0,45.0,56.0,9.0,,4.0,12.0,2.0,4.0,5.0,150.0,7.0,563.0,9.0,8.0,7.0,13.0,,4.0,23.0,,2.0,,5.0,30.0,90.0,1.0,,8420,57.0,7.0,3.0,73.0,15.0,60.0,3.0,2.0,4.0,3.0,6.0,,46.0,221.0,16.0,10.0,5.0,27.0,89.0,,0.0,4.0,1.0,1.0,2.0,0.0,1.0,1.0,,58.1,24.0,,2.0,4.0,6.0,38.0,4.0,2.0,317.0,7.0,1.0,16.0,5.0,7.0,21.0,,2.0,260.0,7.0,17.0,11.0,80.0,14.0,3.0,5.0,18.0,2.0,9.0,3.0,4.0,1.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,284136,2009-11-28 15:00:00,"Fratton Park, Portsmouth",20482,Home,Portsmouth,Manchester United,1,4,L,1,1,0,0,1.0,,2.0,41.0,3.0,12.0,34.0,9.0,9.0,4.0,6.0,4.0,17.0,8.0,129.0,46.0,2.0,24.0,3.0,7.0,4.0,,2.0,2.0,23.0,14.0,22.0,3.0,21.0,17.0,174.0,0.0,139.0,16.0,,3.0,32.0,47.0,9.0,1.0,5.0,21.0,2.0,6.0,3.0,117.0,6.0,547.0,15.0,9.0,13.0,16.0,2.0,3.0,24.0,,5.0,5.0,8.0,20.0,70.0,2.0,,7718,82.0,11.0,3.0,92.0,7.0,52.0,2.0,1.0,1.0,8.0,5.0,1.0,36.0,250.0,12.0,10.0,2.0,10.0,73.0,,0.0,8.0,1.0,4.0,2.0,0.0,6.0,,5.0,40.5,14.0,4.0,3.0,1.0,6.0,37.0,4.0,3.0,322.0,12.0,1.0,14.0,5.0,10.0,24.0,1.0,7.0,253.0,10.0,19.0,13.0,99.0,16.0,2.0,17.0,17.0,3.0,9.0,2.0,4.0,,3.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,,1.0,,2.0,,,,,,2.0,1.0,,,,,,1.0,,1.0,,3.0,,1.0,,,,,1.0,1.0,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,284146,2009-12-05 12:45:00,"Fratton Park, Portsmouth",17822,Home,Portsmouth,Burnley,2,0,W,0,0,0,0,,1.0,,56.0,1.0,18.0,42.0,3.0,2.0,2.0,5.0,2.0,9.0,5.0,175.0,49.0,,12.0,,12.0,2.0,,1.0,3.0,21.0,15.0,21.0,4.0,3.0,19.0,121.0,0.0,110.0,17.0,,2.0,32.0,52.0,4.0,3.0,2.0,17.0,,4.0,4.0,154.0,8.0,536.0,6.0,7.0,19.0,25.0,,3.0,21.0,,4.0,4.0,5.0,28.0,64.0,2.0,,7718,96.0,10.0,3.0,116.0,14.0,56.0,5.0,3.0,4.0,9.0,6.0,,50.0,212.0,15.0,6.0,1.0,22.0,89.0,,0.0,5.0,1.0,,4.0,0.0,4.0,2.0,3.0,46.9,16.0,1.0,2.0,4.0,1.0,40.0,5.0,2.0,313.0,18.0,,16.0,8.0,6.0,37.0,1.0,2.0,218.0,6.0,3.0,13.0,59.0,23.0,4.0,10.0,19.0,2.0,8.0,4.0,5.0,3.0,1.0,2.0,,,,,,,,2.0,,,2.0,1.0,2.0,,1.0,,2.0,2.0,1.0,1.0,,,,,,1.0,2.0,,,,,,,1.0,,,,,,1.0,,,1.0,,1.0,,1.0,,1.0,7.0,4.0,3.0,1.0,3.0,5.0,1.0,13.0,199.0,282.0,2.0,5.0,1.0,1.0,1.0,2.0,7.0,,,,,,,,,,,,
16,284158,2009-12-12 15:00:00,"Stadium of Light, Sunderland",37578,Away,Portsmouth,Sunderland,1,1,D,0,1,1,0,,,3.0,58.0,1.0,18.0,41.0,6.0,4.0,1.0,2.0,7.0,4.0,5.0,195.0,67.0,1.0,9.0,,19.0,1.0,1.0,1.0,,14.0,24.0,25.0,5.0,17.0,27.0,170.0,0.0,126.0,14.0,1.0,1.0,38.0,83.0,2.0,,1.0,9.0,1.0,3.0,3.0,179.0,9.0,694.0,4.0,19.0,11.0,19.0,,8.0,29.0,1.0,2.0,6.0,2.0,34.0,67.0,,,8420,112.0,5.0,,140.0,13.0,68.0,,2.0,2.0,9.0,5.0,,51.0,280.0,12.0,7.0,,37.0,102.0,,0.0,9.0,1.0,1.0,4.0,1.0,2.0,,,55.0,29.0,,1.0,2.0,1.0,50.0,6.0,1.0,403.0,11.0,,20.0,10.0,3.0,17.0,,,277.0,5.0,14.0,19.0,70.0,30.0,1.0,19.0,29.0,3.0,15.0,1.0,6.0,2.0,3.0,1.0,,,1.0,,,1.0,1.0,1.0,,1.0,,2.0,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,284168,2009-12-16 19:45:00,"Stamford Bridge, London",40137,Away,Portsmouth,Chelsea,1,2,L,0,1,0,0,,1.0,,54.0,1.0,18.0,41.0,2.0,3.0,1.0,3.0,7.0,6.0,2.0,164.0,52.0,1.0,8.0,1.0,13.0,1.0,,1.0,,12.0,19.0,21.0,2.0,20.0,22.0,139.0,0.0,99.0,11.0,,3.0,51.0,50.0,2.0,2.0,1.0,10.0,1.0,4.0,1.0,144.0,11.0,608.0,4.0,8.0,19.0,28.0,1.0,6.0,26.0,,0.0,6.0,4.0,22.0,74.0,,1.0,7718,110.0,2.0,3.0,143.0,15.0,51.0,1.0,4.0,3.0,16.0,5.0,2.0,44.0,246.0,10.0,7.0,2.0,29.0,82.0,1.0,0.0,11.0,1.0,2.0,4.0,0.0,3.0,3.0,1.0,39.7,17.0,1.0,,3.0,2.0,43.0,2.0,3.0,341.0,19.0,,14.0,10.0,4.0,18.0,,3.0,210.0,4.0,18.0,13.0,57.0,17.0,4.0,12.0,22.0,3.0,14.0,4.0,2.0,5.0,,6.0,,1.0,,1.0,1.0,2.0,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
18,284176,2009-12-19 12:45:00,"Fratton Park, Portsmouth",20534,Home,Portsmouth,Liverpool,2,0,W,1,0,0,1,,1.0,,47.0,3.0,30.0,51.0,6.0,5.0,1.0,3.0,5.0,8.0,3.0,182.0,63.0,,15.0,2.0,6.0,1.0,,1.0,1.0,28.0,30.0,23.0,6.0,16.0,23.0,159.0,0.0,140.0,8.0,,,50.0,72.0,4.0,1.0,2.0,22.0,,6.0,4.0,153.0,4.0,661.0,7.0,13.0,18.0,19.0,1.0,9.0,25.0,,2.0,1.0,4.0,20.0,86.0,1.0,,7718,117.0,12.0,1.0,132.0,6.0,45.0,1.0,1.0,4.0,4.0,4.0,3.0,65.0,273.0,11.0,10.0,,31.0,97.0,1.0,0.0,10.0,,,7.0,0.0,3.0,,,45.6,17.0,,4.0,4.0,5.0,46.0,8.0,,373.0,18.0,,13.0,11.0,7.0,26.0,,3.0,269.0,9.0,13.0,11.0,82.0,15.0,2.0,9.0,36.0,2.0,14.0,3.0,8.0,1.0,,1.0,,,,,,,,2.0,,,1.0,,1.0,,1.0,,2.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
19,284188,2009-12-26 13:00:00,"Boleyn Ground, London",33686,Away,Portsmouth,West Ham United,0,2,L,0,1,0,0,,1.0,2.0,62.0,1.0,28.0,39.0,7.0,7.0,1.0,5.0,9.0,9.0,3.0,174.0,60.0,1.0,14.0,5.0,15.0,2.0,,1.0,1.0,26.0,15.0,23.0,4.0,20.0,27.0,168.0,0.0,148.0,21.0,,2.0,52.0,53.0,6.0,3.0,2.0,22.0,1.0,8.0,3.0,158.0,11.0,651.0,9.0,18.0,18.0,19.0,,8.0,21.0,,3.0,3.0,3.0,27.0,87.0,,,7718,96.0,10.0,,118.0,13.0,72.0,1.0,4.0,6.0,6.0,6.0,2.0,54.0,259.0,9.0,11.0,,23.0,84.0,,0.0,6.0,3.0,2.0,7.0,0.0,4.0,,,50.0,21.0,,3.0,6.0,6.0,46.0,4.0,2.0,353.0,18.0,,20.0,16.0,5.0,28.0,1.0,2.0,261.0,7.0,18.0,22.0,86.0,28.0,3.0,12.0,20.0,3.0,15.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
20,284196,2009-12-30 19:45:00,"Fratton Park, Portsmouth",20404,Home,Portsmouth,Arsenal,1,4,L,0,2,0,0,1.0,2.0,1.0,69.0,1.0,19.0,38.0,4.0,6.0,2.0,4.0,5.0,7.0,4.0,181.0,42.0,,12.0,2.0,16.0,3.0,1.0,1.0,2.0,20.0,16.0,15.0,2.0,12.0,24.0,141.0,0.0,127.0,16.0,,3.0,30.0,69.0,2.0,3.0,2.0,18.0,,10.0,2.0,158.0,11.0,565.0,6.0,11.0,25.0,31.0,,6.0,18.0,1.0,2.0,8.0,5.0,28.0,67.0,2.0,,7718,87.0,8.0,,104.0,9.0,67.0,3.0,5.0,2.0,9.0,7.0,,46.0,224.0,3.0,10.0,,28.0,83.0,1.0,0.0,10.0,1.0,4.0,6.0,0.0,3.0,2.0,,34.8,20.0,,4.0,2.0,3.0,40.0,2.0,4.0,324.0,23.0,,13.0,15.0,5.0,24.0,1.0,3.0,240.0,6.0,11.0,13.0,71.0,27.0,6.0,8.0,21.0,3.0,19.0,6.0,2.0,1.0,,1.0,,,,,,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,3.0,1.0,,1.0,1.0,10.0,,,2.0,1.0,1.0,1.0,,,,,,
21,284203,2010-02-03 20:00:00,"Craven Cottage, London",21934,Away,Portsmouth,Fulham,0,1,L,0,0,0,0,,,2.0,66.0,2.0,26.0,27.0,5.0,5.0,1.0,8.0,8.0,11.0,5.0,187.0,55.0,,14.0,2.0,26.0,4.0,,1.0,3.0,32.0,15.0,11.0,5.0,25.0,34.0,189.0,0.0,139.0,13.0,1.0,,69.0,58.0,8.0,2.0,,27.0,,11.0,4.0,170.0,9.0,735.0,10.0,14.0,18.0,18.0,,8.0,15.0,,1.0,6.0,3.0,18.0,92.0,1.0,1.0,8420,155.0,12.0,,177.0,14.0,65.0,2.0,1.0,4.0,8.0,6.0,,61.0,336.0,12.0,7.0,1.0,30.0,103.0,,0.0,5.0,2.0,1.0,5.0,0.0,6.0,1.0,2.0,51.1,16.0,,2.0,5.0,4.0,51.0,5.0,,451.0,18.0,,13.0,8.0,5.0,24.0,2.0,1.0,306.0,7.0,23.0,15.0,80.0,36.0,4.0,6.0,20.0,2.0,14.0,5.0,5.0,2.0,1.0,2.0,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,2.0,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
22,284216,2010-03-09 19:45:00,"Fratton Park, Portsmouth",18465,Home,Portsmouth,Birmingham City,1,2,L,0,2,0,0,,1.0,2.0,56.0,3.0,48.0,25.0,4.0,5.0,1.0,7.0,9.0,10.0,4.0,181.0,54.0,1.0,13.0,1.0,17.0,2.0,,,2.0,40.0,11.0,8.0,4.0,16.0,32.0,196.0,0.0,183.0,12.0,1.0,1.0,68.0,82.0,5.0,3.0,1.0,36.0,1.0,15.0,2.0,164.0,9.0,673.0,9.0,9.0,14.0,25.0,1.0,13.0,12.0,,1.0,4.0,5.0,25.0,87.0,,,8420,116.0,18.0,,134.0,6.0,50.0,,2.0,3.0,4.0,3.0,1.0,78.0,305.0,14.0,4.0,,37.0,88.0,,0.0,5.0,2.0,2.0,2.0,0.0,7.0,,2.0,51.0,23.0,1.0,5.0,3.0,4.0,48.0,6.0,1.0,411.0,13.0,,13.0,11.0,5.0,32.0,,3.0,317.0,6.0,13.0,12.0,113.0,19.0,1.0,4.0,19.0,3.0,14.0,1.0,6.0,,1.0,1.0,,,,,,2.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,284222,2010-01-26 19:45:00,"Fratton Park, Portsmouth",18322,Home,Portsmouth,West Ham United,1,1,D,0,0,0,0,,1.0,,60.0,,34.0,27.0,7.0,4.0,6.0,4.0,5.0,11.0,8.0,187.0,57.0,,17.0,3.0,19.0,3.0,,1.0,1.0,28.0,18.0,13.0,5.0,16.0,43.0,193.0,0.0,157.0,17.0,1.0,2.0,45.0,53.0,5.0,2.0,2.0,23.0,,7.0,2.0,173.0,12.0,682.0,9.0,20.0,22.0,25.0,1.0,8.0,10.0,,3.0,2.0,6.0,23.0,97.0,1.0,,8420,110.0,14.0,,129.0,9.0,73.0,3.0,1.0,2.0,4.0,6.0,2.0,69.0,299.0,10.0,10.0,1.0,29.0,106.0,,0.0,4.0,4.0,1.0,12.0,0.0,3.0,1.0,2.0,50.1,17.0,1.0,4.0,3.0,3.0,50.0,6.0,2.0,409.0,21.0,,19.0,22.0,6.0,33.0,1.0,4.0,308.0,11.0,11.0,23.0,96.0,22.0,4.0,4.0,19.0,2.0,14.0,4.0,6.0,1.0,4.0,4.0,1.0,,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,4.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
24,284236,2010-01-31 13:30:00,"Etihad Stadium, Manchester",44015,Away,Portsmouth,Manchester City,0,2,L,0,2,0,0,,,2.0,52.0,1.0,19.0,29.0,5.0,6.0,1.0,1.0,3.0,6.0,4.0,150.0,33.0,2.0,13.0,,6.0,2.0,,1.0,2.0,19.0,11.0,20.0,5.0,15.0,17.0,186.0,0.0,132.0,16.0,3.0,1.0,53.0,57.0,3.0,4.0,2.0,14.0,2.0,5.0,4.0,141.0,8.0,623.0,5.0,5.0,20.0,18.0,,1.0,13.0,,3.0,2.0,3.0,22.0,71.0,,,8420,121.0,7.0,,138.0,11.0,50.0,3.0,5.0,5.0,5.0,5.0,4.0,39.0,306.0,9.0,9.0,1.0,13.0,73.0,,0.0,10.0,2.0,2.0,3.0,0.0,,2.0,,44.3,16.0,,3.0,5.0,1.0,41.0,7.0,1.0,393.0,19.0,1.0,13.0,6.0,8.0,20.0,1.0,4.0,274.0,6.0,14.0,7.0,82.0,25.0,2.0,10.0,14.0,3.0,9.0,2.0,7.0,1.0,2.0,1.0,,,1.0,,,2.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,284246,2010-02-06 15:00:00,"Old Trafford, Manchester",74684,Away,Portsmouth,Manchester United,0,5,L,0,2,0,0,2.0,,2.0,55.0,1.0,17.0,40.0,3.0,4.0,1.0,1.0,5.0,6.0,3.0,139.0,36.0,,8.0,2.0,11.0,2.0,,1.0,1.0,5.0,13.0,18.0,1.0,22.0,24.0,131.0,0.0,86.0,11.0,,3.0,35.0,48.0,5.0,3.0,,4.0,,1.0,,117.0,14.0,577.0,6.0,11.0,17.0,30.0,,7.0,19.0,,4.0,4.0,1.0,19.0,56.0,1.0,,8420,177.0,2.0,,193.0,18.0,54.0,2.0,,3.0,9.0,7.0,,44.0,307.0,9.0,11.0,,19.0,90.0,,0.0,12.0,1.0,5.0,4.0,0.0,1.0,1.0,,41.2,17.0,,,3.0,3.0,47.0,1.0,3.0,386.0,16.0,,12.0,12.0,2.0,10.0,,2.0,198.0,3.0,19.0,8.0,50.0,15.0,5.0,7.0,14.0,3.0,14.0,5.0,1.0,1.0,1.0,2.0,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,3.0,7.0,,,1.0,,2.0,2.0,,,,,,
26,284252,2010-02-09 19:45:00,"Fratton Park, Portsmouth",16242,Home,Portsmouth,Sunderland,1,1,D,0,1,1,2,,,1.0,49.0,1.0,43.0,32.0,8.0,7.0,2.0,6.0,10.0,12.0,5.0,157.0,56.0,1.0,17.0,5.0,18.0,4.0,,1.0,2.0,38.0,9.0,22.0,7.0,18.0,41.0,180.0,0.0,157.0,10.0,1.0,2.0,74.0,42.0,8.0,2.0,1.0,31.0,1.0,9.0,3.0,147.0,7.0,657.0,11.0,9.0,14.0,28.0,1.0,12.0,11.0,,3.0,3.0,4.0,29.0,80.0,1.0,,8420,133.0,19.0,3.0,144.0,13.0,59.0,3.0,1.0,1.0,4.0,6.0,2.0,68.0,307.0,15.0,8.0,,28.0,83.0,1.0,0.0,4.0,1.0,1.0,5.0,1.0,6.0,3.0,3.0,55.2,25.0,1.0,1.0,1.0,6.0,51.0,8.0,2.0,387.0,14.0,,9.0,24.0,6.0,38.0,,3.0,281.0,6.0,15.0,16.0,105.0,16.0,4.0,9.0,15.0,3.0,24.0,4.0,8.0,,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,2.0,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,284266,2010-02-20 17:30:00,"Fratton Park, Portsmouth",17208,Home,Portsmouth,Stoke City,1,2,L,1,0,0,1,,1.0,1.0,57.0,1.0,22.0,40.0,13.0,8.0,1.0,2.0,7.0,8.0,3.0,178.0,55.0,3.0,16.0,9.0,31.0,,,,1.0,30.0,15.0,20.0,5.0,11.0,28.0,156.0,0.0,161.0,12.0,1.0,2.0,58.0,67.0,7.0,2.0,,25.0,3.0,10.0,3.0,158.0,8.0,633.0,7.0,11.0,18.0,19.0,1.0,5.0,25.0,,2.0,3.0,1.0,22.0,74.0,,,8420,108.0,12.0,,125.0,12.0,63.0,,2.0,5.0,6.0,4.0,1.0,48.0,262.0,10.0,3.0,1.0,26.0,83.0,1.0,0.0,7.0,1.0,2.0,3.0,0.0,1.0,3.0,,57.2,21.0,,3.0,5.0,10.0,33.0,7.0,2.0,363.0,16.0,,9.0,11.0,3.0,19.0,1.0,,268.0,8.0,11.0,20.0,103.0,24.0,,14.0,18.0,3.0,16.0,,7.0,1.0,2.0,1.0,,,,,,2.0,,1.0,,1.0,,,,,,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
28,284272,2010-02-27 15:00:00,"Turf Moor, Burnley",19714,Away,Portsmouth,Burnley,2,1,W,1,1,1,0,,,2.0,54.0,2.0,26.0,36.0,8.0,6.0,2.0,3.0,3.0,10.0,6.0,174.0,49.0,,15.0,,19.0,1.0,,1.0,3.0,18.0,8.0,20.0,2.0,21.0,21.0,179.0,0.0,133.0,13.0,1.0,1.0,54.0,63.0,5.0,2.0,,16.0,,4.0,4.0,158.0,7.0,669.0,8.0,21.0,22.0,23.0,1.0,11.0,17.0,,1.0,4.0,5.0,37.0,73.0,1.0,,8420,110.0,12.0,,134.0,11.0,60.0,4.0,5.0,5.0,9.0,7.0,1.0,55.0,286.0,13.0,8.0,1.0,33.0,103.0,1.0,0.0,4.0,2.0,1.0,7.0,1.0,2.0,,1.0,52.4,31.0,1.0,1.0,5.0,2.0,54.0,3.0,1.0,394.0,21.0,,7.0,8.0,7.0,21.0,1.0,2.0,278.0,8.0,16.0,19.0,91.0,19.0,,10.0,14.0,3.0,16.0,,3.0,3.0,3.0,1.0,,,,,,1.0,,2.0,,,1.0,1.0,1.0,,,,2.0,1.0,,1.0,,,1.0,1.0,1.0,,2.0,,,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
