gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,penaltySave,attLfTarget,ballRecovery,attGoalLowRight,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,saves,attLfGoal,attRfTarget,fwdPass,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,goalAssistOpenplay,attSvLowCentre,totalCross,attIboxPost,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,accurateFwdZonePass,attMissHighRight,attSvHighRight,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,divingSave,attSvHighLeft,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,punches,redCard,attFreekickTarget,overrun,lostCorners,savedIbox,attPostHigh,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalHighRight,interceptionsInBox,accurateLaunches,totalPullBack,attIboxGoal,foulThrowIn,bigChanceScored,attGoalLowLeft,goalAssistSetplay,attMissLeft,attMissHighLeft,accurateFreekickCross,sixYardBlock,attSetpiece,attSvLowRight,accurateFlickOn,attSvHighCentre,attFreekickMiss,attHdGoal,attObxLeft,midfielderGoals,attHdTarget,attRfGoal,goalsConceded,goalsConcededIbox,totalFastbreak,contentiousDecision,attCmissHigh,attCmissLeft,goalAssistDeadball,accuratePullBack,shotFastbreak,goalFastbreak,attFastbreak,attObpGoal,goalAssistIntentional,errorLeadToGoal,penaltyWon,attPenGoal,attPostRight,goalsConcededObox,accurateKeeperSweeper,totalKeeperSweeper,expectedGoalsOnTarget,attemptsIbox,expectedGoalsOnTargetConceded,attemptsObox,touchesInOppBox,expectedAssists,expectedGoalsFreekick,attCmissHighLeft,attGoalHighLeft,attCmissHighRight,penGoalsConceded,expectedGoals,attGoalLowCentre,attLgCentre,defenderGoals,attFreekickGoal,ownGoals,attCorner,attIboxOwnGoal,attGoalHighCentre,attPostLeft,attObxdRight,attOboxPost,attLgLeft,attPenMiss,attPenPost
11,695004,2013-11-09 15:00:00,"Anfield, Liverpool",44768,Home,Liverpool,Fulham,4,0,W,3,0,0,0,,,2.0,67.0,1.0,1.0,5.0,45.0,18.0,15.0,7.0,1.0,,5.0,245.0,7.0,14.0,4.0,3.0,26.0,,10.0,168.0,130.0,55.0,,32.0,4.0,6.0,5.0,3.0,,2.0,3.0,26.0,,20.0,2.0,18.0,5.0,45.0,31.0,,343.0,2.0,,1.0,,0.0,259.0,13.0,,1.0,1.0,1.0,,64.0,123.0,17.0,114.0,4.0,21.0,12.0,,1.0,10.0,130.0,4.0,2.0,195.0,,934.0,20.0,3.0,,13.0,633.0,30.0,8.0,3.0,0.0,1.0,9.0,23.0,707.0,70.0,3.0,,9631,11.0,311.0,2.0,19.0,,326.0,4.0,12.0,4.0,46.0,9.0,4.0,3.0,2.0,6.0,2.0,3.0,3.0,58.0,647.0,7.0,7.0,3.0,12.0,85.0,,0.0,,4.0,3.0,,,0.0,3.0,,1.0,67.3,22.0,,9.0,1.0,3.0,9.0,,70.0,9.0,,,722.0,13.0,7.0,19.0,13.0,31.0,4.0,3.0,422.0,23.0,43.0,10.0,209.0,25.0,2.0,2.0,8.0,25.0,26.0,3.0,27.0,2.0,3.0,9.0,1.0,2.0,2.0,1.0,4.0,,3.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,,2.0,,,3.0,,,1.0,1.0,,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
12,695012,2013-11-23 12:45:00,"Goodison Park, Liverpool",39576,Away,Liverpool,Everton,3,3,D,2,1,0,0,,,1.0,54.0,1.0,4.0,3.0,17.0,39.0,2.0,2.0,9.0,,,152.0,5.0,11.0,3.0,5.0,7.0,1.0,5.0,91.0,151.0,70.0,1.0,11.0,,14.0,2.0,1.0,,,1.0,20.0,,21.0,,39.0,7.0,15.0,29.0,1.0,141.0,,,,1.0,0.0,105.0,15.0,6.0,,1.0,4.0,1.0,38.0,56.0,5.0,54.0,2.0,13.0,12.0,1.0,2.0,1.0,151.0,3.0,10.0,81.0,,613.0,5.0,11.0,,21.0,277.0,27.0,21.0,1.0,3.0,1.0,2.0,21.0,361.0,48.0,1.0,2.0,9631,4.0,150.0,3.0,7.0,,175.0,5.0,12.0,6.0,68.0,3.0,4.0,3.0,,8.0,8.0,3.0,1.0,37.0,286.0,14.0,17.0,1.0,20.0,78.0,,0.0,,,6.0,5.0,,0.0,3.0,,3.0,49.3,16.0,1.0,3.0,1.0,3.0,3.0,,46.0,7.0,,1.0,378.0,21.0,17.0,10.0,3.0,19.0,2.0,2.0,223.0,5.0,15.0,17.0,64.0,19.0,2.0,2.0,21.0,29.0,5.0,2.0,18.0,2.0,4.0,7.0,,,6.0,,2.0,,1.0,,1.0,,,1.0,1.0,2.0,,4.0,,,1.0,,1.0,1.0,2.0,3.0,3.0,1.0,1.0,,,1.0,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,
13,695025,2013-12-01 14:05:00,"The MKM Stadium, Hull",24940,Away,Liverpool,Hull City,1,3,L,1,1,0,0,1.0,,,60.0,1.0,2.0,1.0,38.0,41.0,5.0,,2.0,,3.0,212.0,,8.0,1.0,3.0,7.0,,4.0,144.0,142.0,42.0,2.0,9.0,2.0,18.0,3.0,,,,2.0,13.0,,11.0,,41.0,5.0,19.0,36.0,,207.0,,,,1.0,0.0,146.0,16.0,1.0,,,1.0,2.0,55.0,38.0,6.0,78.0,,8.0,11.0,2.0,3.0,2.0,142.0,1.0,6.0,148.0,,784.0,7.0,6.0,,10.0,476.0,25.0,24.0,,0.0,2.0,1.0,28.0,559.0,71.0,,1.0,9631,,289.0,1.0,4.0,,307.0,4.0,11.0,6.0,61.0,3.0,,10.0,,10.0,7.0,5.0,,55.0,496.0,8.0,5.0,,11.0,89.0,,0.0,,1.0,2.0,,,0.0,,,,61.5,21.0,,1.0,2.0,10.0,3.0,,64.0,6.0,,2.0,582.0,10.0,9.0,19.0,2.0,25.0,,,288.0,9.0,18.0,13.0,95.0,22.0,,3.0,24.0,14.0,6.0,2.0,24.0,3.0,6.0,6.0,,,5.0,,,,,,,2.0,,,,,1.0,,,1.0,,,1.0,,1.0,3.0,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,4.0,,5.0,17.0,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,
14,695033,2013-12-04 19:45:00,"Anfield, Liverpool",44541,Home,Liverpool,Norwich City,5,1,W,3,0,0,0,,,,69.0,2.0,4.0,5.0,38.0,25.0,11.0,9.0,4.0,2.0,6.0,202.0,2.0,19.0,5.0,2.0,23.0,,12.0,161.0,123.0,62.0,2.0,28.0,3.0,12.0,4.0,5.0,1.0,2.0,3.0,12.0,1.0,18.0,3.0,25.0,3.0,23.0,29.0,,253.0,,2.0,,2.0,0.0,175.0,10.0,2.0,,2.0,,1.0,53.0,66.0,16.0,100.0,,9.0,13.0,2.0,1.0,5.0,123.0,2.0,5.0,140.0,,822.0,20.0,3.0,1.0,12.0,519.0,26.0,16.0,3.0,3.0,2.0,7.0,24.0,596.0,67.0,2.0,,9631,7.0,275.0,1.0,8.0,,294.0,5.0,13.0,11.0,50.0,8.0,2.0,6.0,3.0,9.0,9.0,8.0,,51.0,526.0,6.0,12.0,,11.0,78.0,,0.0,,2.0,,,,0.0,1.0,,1.0,61.8,22.0,,8.0,2.0,6.0,8.0,,60.0,4.0,,1.0,603.0,12.0,5.0,20.0,8.0,22.0,1.0,2.0,321.0,18.0,23.0,14.0,130.0,28.0,4.0,2.0,16.0,23.0,24.0,2.0,32.0,2.0,4.0,4.0,,1.0,1.0,1.0,3.0,,1.0,,1.0,7.0,,,,,,1.0,,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,2.0,1.0,1.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,,,,1.0,1.0,,,,,
15,695044,2013-12-07 15:00:00,"Anfield, Liverpool",44781,Home,Liverpool,West Ham United,4,1,W,1,0,0,1,1.0,,1.0,66.0,,,6.0,33.0,39.0,13.0,6.0,1.0,1.0,4.0,208.0,6.0,15.0,4.0,3.0,31.0,1.0,9.0,137.0,148.0,70.0,,32.0,7.0,20.0,5.0,4.0,,2.0,1.0,28.0,,14.0,1.0,39.0,7.0,22.0,36.0,2.0,317.0,3.0,,,1.0,0.0,225.0,9.0,1.0,,1.0,1.0,1.0,50.0,80.0,21.0,62.0,3.0,21.0,20.0,,3.0,5.0,148.0,4.0,6.0,133.0,,812.0,26.0,12.0,,14.0,453.0,31.0,30.0,3.0,0.0,5.0,10.0,30.0,523.0,77.0,3.0,,9631,7.0,156.0,4.0,17.0,,174.0,,20.0,5.0,67.0,6.0,2.0,4.0,2.0,14.0,3.0,2.0,1.0,47.0,467.0,11.0,12.0,2.0,14.0,80.0,,0.0,,4.0,4.0,1.0,,0.0,5.0,,2.0,63.9,28.0,,6.0,5.0,4.0,13.0,,58.0,8.0,,1.0,540.0,14.0,11.0,24.0,10.0,26.0,1.0,5.0,394.0,24.0,22.0,27.0,189.0,23.0,2.0,1.0,30.0,18.0,26.0,3.0,32.0,1.0,7.0,8.0,,,1.0,2.0,3.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0,2.0,,1.0,,,1.0,1.0,1.0,1.0,4.0,,,,1.0,1.0,4.0,,4.0,,2.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,,,,
16,695059,2013-12-15 16:00:00,"White Hart Lane, London",36069,Away,Liverpool,Tottenham Hotspur,5,0,W,2,0,0,1,,,2.0,53.0,2.0,,2.0,21.0,34.0,7.0,6.0,1.0,1.0,3.0,185.0,2.0,7.0,5.0,2.0,13.0,1.0,10.0,118.0,134.0,58.0,,21.0,2.0,11.0,3.0,1.0,2.0,4.0,,16.0,1.0,17.0,2.0,34.0,8.0,20.0,24.0,4.0,154.0,2.0,1.0,1.0,1.0,0.0,111.0,15.0,,1.0,2.0,1.0,,34.0,54.0,9.0,77.0,1.0,8.0,12.0,,1.0,1.0,134.0,7.0,7.0,117.0,1.0,714.0,9.0,7.0,2.0,13.0,409.0,24.0,17.0,4.0,0.0,3.0,4.0,14.0,479.0,58.0,5.0,2.0,9631,11.0,272.0,5.0,6.0,,285.0,3.0,12.0,10.0,60.0,10.0,4.0,2.0,5.0,9.0,2.0,3.0,1.0,40.0,424.0,17.0,14.0,,19.0,75.0,1.0,0.0,,5.0,2.0,,1.0,0.0,2.0,,1.0,56.8,13.0,,3.0,,2.0,4.0,,45.0,9.0,,,497.0,13.0,13.0,17.0,7.0,19.0,,4.0,228.0,14.0,20.0,11.0,67.0,23.0,2.0,2.0,17.0,23.0,20.0,2.0,15.0,2.0,8.0,9.0,2.0,,3.0,1.0,4.0,,4.0,1.0,,1.0,,,,1.0,1.0,5.0,,,,,2.0,,4.0,,,2.0,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,1.0,,,
17,695064,2013-12-21 12:45:00,"Anfield, Liverpool",44621,Home,Liverpool,Cardiff City,3,1,W,3,0,0,0,,,3.0,55.0,1.0,1.0,2.0,30.0,34.0,12.0,6.0,2.0,,1.0,213.0,4.0,16.0,3.0,3.0,23.0,2.0,7.0,169.0,143.0,72.0,,27.0,4.0,17.0,4.0,,2.0,3.0,1.0,19.0,2.0,17.0,,34.0,6.0,6.0,32.0,2.0,295.0,,,,1.0,0.0,185.0,11.0,1.0,,2.0,,,83.0,77.0,13.0,92.0,2.0,13.0,11.0,,5.0,7.0,143.0,5.0,6.0,164.0,,878.0,17.0,6.0,3.0,11.0,541.0,24.0,27.0,3.0,2.0,1.0,10.0,26.0,619.0,67.0,5.0,2.0,9631,6.0,267.0,6.0,8.0,,287.0,4.0,11.0,7.0,64.0,5.0,2.0,6.0,3.0,14.0,4.0,4.0,2.0,43.0,558.0,13.0,10.0,3.0,12.0,85.0,,0.0,,,5.0,1.0,,0.0,3.0,1.0,2.0,68.9,25.0,2.0,2.0,4.0,6.0,6.0,,64.0,9.0,,,638.0,11.0,10.0,22.0,14.0,23.0,1.0,5.0,370.0,19.0,6.0,22.0,140.0,23.0,2.0,3.0,27.0,21.0,20.0,2.0,34.0,3.0,5.0,9.0,,,,3.0,2.0,,1.0,1.0,,8.0,,,,1.0,1.0,1.0,,,,,1.0,,3.0,1.0,1.0,5.0,,,1.0,,,3.0,1.0,3.0,,2.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
19,695083,2013-12-29 16:00:00,"Stamford Bridge, London",41614,Away,Liverpool,Chelsea,1,2,L,1,2,0,0,,,1.0,54.0,,1.0,2.0,16.0,41.0,3.0,2.0,3.0,1.0,2.0,158.0,3.0,12.0,1.0,6.0,5.0,,4.0,76.0,151.0,76.0,,8.0,1.0,12.0,1.0,1.0,1.0,,,15.0,1.0,24.0,2.0,41.0,2.0,7.0,23.0,,124.0,,,,,0.0,81.0,17.0,2.0,,1.0,4.0,1.0,29.0,47.0,4.0,47.0,,13.0,19.0,,4.0,,151.0,,7.0,94.0,1.0,620.0,4.0,12.0,1.0,10.0,275.0,25.0,19.0,,1.0,1.0,1.0,30.0,357.0,42.0,2.0,1.0,9631,2.0,168.0,,5.0,,201.0,2.0,19.0,9.0,57.0,5.0,1.0,7.0,,19.0,4.0,5.0,,30.0,289.0,16.0,10.0,1.0,16.0,70.0,,0.0,,2.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,47.9,22.0,,1.0,1.0,7.0,3.0,,46.0,2.0,,1.0,375.0,10.0,12.0,13.0,1.0,18.0,1.0,,189.0,4.0,6.0,20.0,50.0,19.0,,1.0,19.0,30.0,5.0,3.0,19.0,1.0,8.0,2.0,,2.0,2.0,1.0,1.0,,1.0,1.0,,,,1.0,,3.0,2.0,3.0,,,,,,,,2.0,1.0,,1.0,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
20,695094,2014-01-01 15:00:00,"Anfield, Liverpool",44627,Home,Liverpool,Hull City,2,0,W,1,0,0,0,,,,61.0,,,,43.0,44.0,11.0,4.0,,,4.0,214.0,5.0,15.0,2.0,2.0,11.0,,6.0,122.0,135.0,62.0,3.0,17.0,2.0,9.0,2.0,,,,1.0,13.0,,5.0,2.0,44.0,3.0,22.0,30.0,1.0,206.0,,1.0,1.0,1.0,0.0,135.0,15.0,,,,,1.0,49.0,63.0,5.0,90.0,2.0,10.0,15.0,3.0,3.0,6.0,135.0,3.0,3.0,127.0,,762.0,10.0,20.0,,9.0,456.0,26.0,33.0,1.0,1.0,6.0,6.0,23.0,538.0,65.0,1.0,,9631,5.0,267.0,3.0,7.0,,286.0,3.0,15.0,8.0,51.0,6.0,1.0,3.0,,11.0,7.0,5.0,3.0,64.0,468.0,14.0,9.0,,18.0,94.0,,0.0,1.0,3.0,4.0,,,0.0,2.0,2.0,1.0,58.2,17.0,,4.0,1.0,3.0,2.0,,61.0,3.0,,1.0,553.0,9.0,9.0,19.0,9.0,14.0,3.0,3.0,280.0,12.0,20.0,26.0,92.0,26.0,1.0,3.0,33.0,7.0,13.0,3.0,24.0,3.0,5.0,3.0,,2.0,3.0,1.0,1.0,,,1.0,1.0,4.0,,,,,2.0,11.0,,1.0,1.0,,,,1.0,,,1.0,,,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,
21,695109,2014-01-12 16:10:00,"bet365 Stadium, Stoke",27160,Away,Liverpool,Stoke City,5,3,W,2,2,0,0,,,1.0,62.0,3.0,,,25.0,48.0,2.0,4.0,2.0,1.0,4.0,178.0,2.0,11.0,5.0,5.0,7.0,,9.0,94.0,133.0,59.0,1.0,13.0,,25.0,5.0,1.0,,1.0,2.0,10.0,,16.0,,48.0,2.0,18.0,27.0,,189.0,,,,,0.0,138.0,8.0,2.0,,1.0,2.0,,46.0,54.0,5.0,69.0,1.0,8.0,16.0,1.0,1.0,2.0,133.0,2.0,8.0,92.0,,651.0,6.0,5.0,1.0,16.0,331.0,27.0,24.0,1.0,1.0,4.0,2.0,22.0,419.0,57.0,,,95463,5.0,155.0,2.0,5.0,,172.0,2.0,16.0,10.0,54.0,2.0,,2.0,3.0,8.0,5.0,3.0,2.0,48.0,342.0,10.0,10.0,,19.0,84.0,3.0,0.0,,2.0,11.0,1.0,,0.0,2.0,,,49.0,18.0,,4.0,2.0,2.0,,,45.0,2.0,,,433.0,16.0,5.0,10.0,4.0,22.0,,2.0,271.0,9.0,17.0,15.0,91.0,26.0,3.0,9.0,24.0,23.0,10.0,1.0,19.0,9.0,6.0,2.0,,,5.0,1.0,5.0,,3.0,,,1.0,,,,,2.0,,,1.0,,,1.0,,3.0,3.0,2.0,3.0,,1.0,,,,2.0,1.0,2.0,,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
22,695114,2014-01-18 17:30:00,"Anfield, Liverpool",44737,Home,Liverpool,Aston Villa,2,2,D,1,2,0,0,2.0,,1.0,59.0,1.0,,,31.0,54.0,7.0,5.0,1.0,,3.0,178.0,1.0,9.0,2.0,5.0,10.0,,6.0,107.0,147.0,55.0,2.0,14.0,1.0,29.0,2.0,,,1.0,1.0,12.0,,12.0,2.0,54.0,2.0,8.0,37.0,1.0,190.0,1.0,,,,0.0,134.0,14.0,,1.0,,2.0,1.0,64.0,44.0,6.0,67.0,1.0,10.0,17.0,2.0,3.0,5.0,147.0,1.0,9.0,99.0,,693.0,8.0,6.0,,6.0,355.0,26.0,26.0,1.0,1.0,3.0,4.0,27.0,432.0,67.0,1.0,2.0,9631,3.0,181.0,,5.0,,191.0,2.0,17.0,8.0,63.0,2.0,3.0,2.0,1.0,24.0,3.0,6.0,1.0,53.0,370.0,18.0,4.0,1.0,15.0,93.0,,0.0,,1.0,3.0,1.0,,0.0,1.0,,,55.8,23.0,,2.0,2.0,2.0,1.0,,58.0,2.0,,1.0,451.0,6.0,8.0,19.0,7.0,24.0,,2.0,272.0,9.0,8.0,13.0,86.0,27.0,1.0,4.0,26.0,16.0,10.0,2.0,21.0,4.0,11.0,2.0,,,5.0,1.0,2.0,1.0,2.0,,,3.0,1.0,,,1.0,2.0,2.0,,2.0,,,1.0,,2.0,2.0,2.0,,1.0,1.0,2.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
23,695123,2014-01-28 20:00:00,"Anfield, Liverpool",44450,Home,Liverpool,Everton,4,0,W,3,0,0,0,,,2.0,60.0,3.0,3.0,2.0,32.0,44.0,8.0,8.0,4.0,3.0,3.0,134.0,1.0,5.0,4.0,2.0,14.0,,9.0,74.0,125.0,57.0,,20.0,1.0,7.0,1.0,,1.0,2.0,2.0,5.0,1.0,16.0,4.0,44.0,3.0,7.0,28.0,2.0,139.0,,,1.0,1.0,0.0,117.0,11.0,3.0,,1.0,1.0,1.0,50.0,27.0,7.0,58.0,,3.0,12.0,,1.0,2.0,125.0,3.0,9.0,73.0,,567.0,8.0,5.0,1.0,15.0,257.0,34.0,15.0,3.0,0.0,6.0,7.0,20.0,324.0,50.0,3.0,1.0,9631,7.0,129.0,2.0,1.0,,147.0,5.0,12.0,11.0,59.0,4.0,1.0,2.0,3.0,13.0,10.0,5.0,6.0,53.0,267.0,13.0,20.0,3.0,16.0,68.0,1.0,0.0,,3.0,8.0,1.0,,0.0,,2.0,1.0,39.1,16.0,,5.0,4.0,2.0,3.0,,34.0,5.0,,1.0,339.0,15.0,5.0,15.0,8.0,12.0,2.0,5.0,197.0,11.0,7.0,15.0,82.0,17.0,3.0,1.0,15.0,25.0,16.0,3.0,22.0,1.0,9.0,5.0,,1.0,3.0,1.0,3.0,,3.0,,1.0,1.0,,,,,2.0,1.0,,,1.0,,1.0,,,,,4.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,,3.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,
24,695139,2014-02-02 13:30:00,"The Hawthorns, West Bromwich",26132,Away,Liverpool,West Bromwich Albion,1,1,D,1,0,0,0,,,,56.0,,2.0,4.0,25.0,37.0,4.0,2.0,3.0,1.0,2.0,172.0,4.0,22.0,1.0,5.0,5.0,1.0,3.0,90.0,168.0,70.0,2.0,12.0,2.0,17.0,2.0,1.0,,1.0,1.0,15.0,,13.0,,37.0,4.0,9.0,39.0,,126.0,,,,,0.0,102.0,15.0,1.0,,1.0,3.0,2.0,45.0,40.0,3.0,75.0,2.0,11.0,24.0,2.0,1.0,2.0,168.0,1.0,3.0,98.0,,696.0,3.0,9.0,,17.0,322.0,22.0,22.0,1.0,2.0,3.0,2.0,43.0,423.0,45.0,,1.0,9631,5.0,209.0,1.0,7.0,,237.0,7.0,24.0,10.0,55.0,6.0,2.0,6.0,1.0,11.0,9.0,3.0,,52.0,331.0,12.0,4.0,1.0,24.0,84.0,,0.0,,3.0,3.0,1.0,,0.0,2.0,,1.0,50.3,35.0,1.0,1.0,1.0,6.0,6.0,,35.0,4.0,,2.0,435.0,17.0,8.0,17.0,3.0,10.0,2.0,1.0,213.0,9.0,7.0,16.0,57.0,25.0,1.0,4.0,22.0,20.0,7.0,2.0,36.0,4.0,8.0,4.0,,2.0,4.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,,3.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
25,695144,2014-02-08 12:45:00,"Anfield, Liverpool",44701,Home,Liverpool,Arsenal,5,1,W,4,0,0,0,,,1.0,72.0,,3.0,1.0,32.0,37.0,7.0,6.0,5.0,2.0,6.0,153.0,5.0,13.0,5.0,6.0,19.0,,12.0,86.0,127.0,71.0,1.0,22.0,,14.0,4.0,1.0,1.0,2.0,5.0,16.0,,30.0,3.0,37.0,6.0,4.0,22.0,3.0,134.0,1.0,1.0,,1.0,0.0,95.0,14.0,3.0,,,5.0,1.0,50.0,44.0,11.0,66.0,3.0,11.0,17.0,1.0,,2.0,127.0,6.0,4.0,72.0,,608.0,12.0,7.0,1.0,10.0,286.0,35.0,22.0,4.0,1.0,4.0,8.0,21.0,360.0,55.0,3.0,,9631,9.0,168.0,4.0,6.0,1.0,183.0,8.0,8.0,4.0,61.0,7.0,4.0,3.0,3.0,7.0,7.0,3.0,1.0,61.0,297.0,14.0,18.0,3.0,24.0,94.0,,0.0,1.0,2.0,6.0,2.0,,0.0,4.0,2.0,2.0,42.7,14.0,1.0,3.0,1.0,3.0,1.0,,56.0,6.0,1.0,1.0,377.0,10.0,6.0,9.0,9.0,23.0,2.0,6.0,210.0,13.0,4.0,10.0,53.0,28.0,3.0,2.0,22.0,35.0,14.0,3.0,23.0,2.0,8.0,6.0,,,4.0,1.0,4.0,,4.0,3.0,2.0,3.0,,3.0,,4.0,1.0,1.0,,,1.0,,,,2.0,1.0,1.0,4.0,,,1.0,2.0,,3.0,1.0,3.0,,4.0,,,,,,,,,15.0,,7.0,22.0,,,,1.0,,1.0,,1.0,,2.0,,,3.0,,,1.0,,1.0,,,
26,695158,2014-02-12 20:00:00,"Craven Cottage, London",25375,Away,Liverpool,Fulham,3,2,W,1,1,0,0,,,2.0,72.0,,1.0,3.0,53.0,59.0,7.0,7.0,2.0,2.0,2.0,223.0,3.0,11.0,3.0,3.0,17.0,2.0,7.0,176.0,134.0,59.0,1.0,21.0,,11.0,2.0,,1.0,2.0,,22.0,1.0,16.0,2.0,59.0,5.0,8.0,35.0,1.0,318.0,1.0,,,1.0,0.0,227.0,9.0,1.0,,1.0,1.0,,83.0,97.0,8.0,90.0,2.0,18.0,16.0,1.0,3.0,5.0,134.0,1.0,5.0,166.0,,882.0,15.0,6.0,1.0,7.0,566.0,30.0,35.0,2.0,3.0,3.0,9.0,19.0,647.0,93.0,2.0,1.0,9631,8.0,258.0,,14.0,,274.0,4.0,16.0,6.0,40.0,10.0,,6.0,2.0,15.0,6.0,5.0,4.0,63.0,573.0,7.0,5.0,,14.0,85.0,,0.0,,1.0,7.0,1.0,,0.0,2.0,1.0,1.0,68.9,18.0,1.0,5.0,4.0,6.0,3.0,,67.0,5.0,,,655.0,7.0,7.0,21.0,11.0,24.0,1.0,5.0,403.0,13.0,8.0,22.0,176.0,31.0,1.0,1.0,35.0,20.0,19.0,2.0,19.0,1.0,7.0,5.0,,,5.0,,2.0,,2.0,2.0,,2.0,1.0,,,,2.0,1.0,1.0,1.0,,1.0,2.0,,1.0,2.0,2.0,2.0,,1.0,1.0,,,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,
