gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,handBall,attLfTarget,bigChanceScored,fiftyFifty,ballRecovery,savedObox,attIboxBlocked,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,successfulFiftyFifty,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,attIboxPost,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,accurateFwdZonePass,attMissHighRight,yellowCard,totalFinalThirdPasses,fkFoulLost,ptsGainedLosingPos,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,crosses18yardplus,possLostCtrl,bigChanceCreated,attemptsConcededIbox,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,attRfGoal,blockedPass,goalKicks,duelLost,totalThroughBall,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,redCard,overrun,lostCorners,attIboxGoal,attOboxPost,attPostHigh,goalsConceded,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,attPostRight,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,goalsConcededIbox,attOpenplay,subsMade,totalContest,blockedCross,successfulPutThrough,wonCorners,attGoalLowRight,accuratePullBack,attSvHighRight,attOboxGoal,interceptionsInBox,attMissRight,attOboxMiss,attLgCentre,attHdTarget,attMissHighLeft,sixYardBlock,attSetpiece,totalPullBack,attAssistSetplay,attSvLowRight,attCmissLeft,savedIbox,accurateFlickOn,attCmissRight,divingSave,attHdGoal,attGoalLowLeft,goalAssistSetplay,goalAssistDeadball,shotFastbreak,attOboxTarget,cleanSheet,totalFastbreak,midfielderGoals,attSvLowLeft,attGoalHighCentre,contentiousDecision,attCmissHigh,defenderGoals,attFastbreak,attGoalHighLeft,goalAssistIntentional,attSvHighCentre,goodHighClaim,accurateFreekickCross,attCmissHighRight,attObxRight,totalHighClaim,errorLeadToShot,punches,attSvHighLeft,clearanceOffLine,attFreekickTotal,goalFastbreak,freekickTotal,attFreekickTarget,ptsDroppedWinningPos,errorLeadToGoal,attOneOnOne,expectedGoalsOnTargetConceded,expectedAssists,expectedGoals,penaltySave,attPostLeft,subsGoals,ownGoals,attIboxOwnGoal,attHdPost,attObxdRight,penaltyWon,attPenMiss,attPenGoal,goalsConcededObox,attCmissHighLeft,attFreekickGoal,foulThrowIn
11,2292915,2022-10-16 16:30:00,"Anfield, Liverpool",53286.0,Home,Liverpool,Manchester City,1,0,W,0,0,0,0,1.0,,1.0,25.0,74.0,1.0,1.0,23.0,27.0,5.0,5.0,8.0,6.0,1.0,,157.0,,10.0,3.0,6.0,1.0,3.0,10.0,2.0,109.0,148.0,45.0,13.0,2.0,15.0,1.0,3.0,,,1.0,1.0,3.0,13.0,,12.0,,27.0,5.0,5.0,38.0,107.0,,0.0,95.0,10.0,,1.0,28.0,42.0,5.0,54.0,8.0,22.0,5.0,2.0,148.0,5.0,10.0,87.0,604.0,9.0,4.0,26.0,,11.0,299.0,36.0,3.0,12.0,1.0,,3.0,5.0,5.0,14.0,390.0,39.0,2.0,97032,2.0,209.0,4.0,5.0,,246.0,5.0,,22.0,7.0,51.0,2.0,3.0,6.0,1.0,18.0,6.0,6.0,2.0,61.0,313.0,6.0,8.0,23.0,2.0,58.0,0.0,,6.0,,,,,0.0,3.0,,1.0,36.8,11.0,,,2.0,6.0,3.0,29.0,5.0,,407.0,,11.0,15.0,17.0,8.0,,27.0,,6.0,174.0,7.0,3.0,10.0,63.0,27.0,1.0,2.0,12.0,23.0,,9.0,5.0,11.0,2.0,8.0,5.0,,,,1.0,2.0,3.0,2.0,,1.0,,,2.0,2.0,,,1.0,5.0,1.0,,3.0,,1.0,,,4.0,,1.0,5.0,,,,,,,4.0,,1.0,,1.0,,,,1.0,,,,,,1.0,,,,,3.0,1.3289,1.5871,2.0448,,,,,,,,,,,,,,
12,2292927,2022-10-19 19:30:00,"Anfield, Liverpool",53346.0,Home,Liverpool,West Ham United,1,0,W,1,0,0,0,,4.0,,21.0,65.0,,4.0,28.0,15.0,7.0,12.0,15.0,3.0,,1.0,188.0,,6.0,3.0,6.0,1.0,1.0,15.0,7.0,154.0,138.0,37.0,22.0,3.0,7.0,5.0,2.0,1.0,,1.0,2.0,2.0,14.0,1.0,8.0,1.0,15.0,7.0,7.0,47.0,219.0,1.0,0.0,154.0,9.0,,1.0,80.0,53.0,9.0,107.0,7.0,18.0,7.0,2.0,138.0,1.0,7.0,151.0,775.0,13.0,1.0,32.0,2.0,8.0,499.0,24.0,1.0,5.0,1.0,,0.0,1.0,6.0,21.0,585.0,58.0,3.0,97032,9.0,295.0,3.0,4.0,1.0,321.0,6.0,,7.0,6.0,40.0,6.0,1.0,3.0,1.0,18.0,1.0,5.0,1.0,49.0,511.0,7.0,9.0,9.0,4.0,64.0,0.0,2.0,3.0,1.0,,,,0.0,2.0,,2.0,53.8,19.0,,9.0,3.0,3.0,7.0,44.0,8.0,1.0,600.0,,8.0,9.0,24.0,8.0,,37.0,1.0,4.0,293.0,8.0,7.0,11.0,111.0,28.0,1.0,,5.0,13.0,,18.0,5.0,12.0,,7.0,8.0,,1.0,,,,1.0,3.0,,1.0,2.0,,,2.0,1.0,1.0,,3.0,,,2.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,
13,2292935,2022-10-22 12:30:00,"The City Ground, Nottingham",29245.0,Away,Liverpool,Nottingham Forest,0,1,L,0,0,0,0,,1.0,,32.0,61.0,3.0,1.0,39.0,7.0,1.0,3.0,14.0,6.0,,3.0,192.0,,15.0,10.0,6.0,,4.0,13.0,7.0,205.0,154.0,44.0,15.0,,11.0,6.0,2.0,,,,4.0,1.0,30.0,,7.0,,7.0,11.0,4.0,52.0,353.0,2.0,0.0,208.0,8.0,,4.0,68.0,112.0,7.0,89.0,19.0,22.0,1.0,7.0,154.0,4.0,6.0,205.0,896.0,9.0,2.0,34.0,,4.0,579.0,25.0,2.0,3.0,,,1.0,2.0,6.0,30.0,675.0,100.0,,97032,8.0,252.0,4.0,8.0,,273.0,3.0,,6.0,1.0,46.0,1.0,,7.0,,17.0,4.0,1.0,,58.0,595.0,13.0,8.0,5.0,3.0,71.0,0.0,1.0,2.0,,,,1.0,0.0,5.0,1.0,7.0,75.2,29.0,4.0,5.0,1.0,7.0,1.0,52.0,11.0,,691.0,,4.0,15.0,25.0,7.0,,54.0,5.0,7.0,448.0,5.0,4.0,11.0,148.0,24.0,,,3.0,14.0,1.0,9.0,3.0,10.0,,6.0,11.0,,1.0,1.0,,,4.0,,,3.0,,,2.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,,,,,,1.0,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2292947,2022-10-29 19:45:00,"Anfield, Liverpool",53274.0,Home,Liverpool,Leeds United,1,2,L,1,1,0,0,1.0,5.0,1.0,29.0,82.0,2.0,3.0,42.0,15.0,7.0,13.0,15.0,4.0,1.0,3.0,217.0,1.0,17.0,8.0,12.0,1.0,,19.0,10.0,182.0,198.0,47.0,22.0,1.0,15.0,7.0,,,,,4.0,2.0,37.0,,9.0,,15.0,13.0,5.0,53.0,268.0,2.0,0.0,192.0,9.0,,,98.0,105.0,13.0,102.0,24.0,34.0,7.0,9.0,198.0,3.0,8.0,178.0,918.0,15.0,1.0,44.0,,9.0,542.0,31.0,4.0,10.0,1.0,,0.0,2.0,6.0,21.0,666.0,94.0,2.0,97032,8.0,294.0,2.0,15.0,,319.0,5.0,,15.0,5.0,48.0,3.0,,8.0,,22.0,6.0,5.0,,75.0,554.0,3.0,4.0,14.0,7.0,112.0,0.0,1.0,5.0,1.0,,,2.0,0.0,4.0,,4.0,69.0,21.0,3.0,2.0,3.0,8.0,4.0,73.0,14.0,,679.0,,9.0,12.0,24.0,8.0,,54.0,4.0,4.0,397.0,5.0,5.0,15.0,129.0,40.0,1.0,1.0,10.0,17.0,2.0,15.0,3.0,21.0,1.0,15.0,14.0,,,1.0,,1.0,2.0,4.0,,1.0,2.0,,,,3.0,,,2.0,1.0,,1.0,,,1.0,,,2.0,,,,4.0,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
15,2292957,2022-11-06 16:30:00,"Tottenham Hotspur Stadium, London",62008.0,Away,Liverpool,Tottenham Hotspur,2,1,W,2,0,0,0,1.0,2.0,1.0,30.0,72.0,,1.0,30.0,33.0,6.0,6.0,7.0,4.0,2.0,2.0,197.0,,18.0,2.0,7.0,2.0,,9.0,6.0,161.0,150.0,43.0,13.0,3.0,14.0,2.0,,1.0,1.0,1.0,1.0,1.0,12.0,1.0,7.0,,33.0,3.0,6.0,48.0,246.0,,0.0,117.0,8.0,,,89.0,76.0,6.0,108.0,9.0,21.0,6.0,5.0,150.0,1.0,11.0,150.0,810.0,8.0,1.0,27.0,1.0,11.0,497.0,36.0,2.0,16.0,1.0,1.0,0.0,3.0,3.0,14.0,591.0,52.0,1.0,97032,4.0,271.0,1.0,4.0,,310.0,4.0,,4.0,10.0,45.0,1.0,2.0,8.0,2.0,17.0,3.0,6.0,,60.0,515.0,10.0,9.0,11.0,1.0,88.0,0.0,2.0,5.0,2.0,,1.0,1.0,0.0,2.0,1.0,,53.4,11.0,,3.0,3.0,8.0,4.0,58.0,3.0,,616.0,,11.0,6.0,19.0,3.0,,16.0,,1.0,318.0,7.0,6.0,12.0,86.0,22.0,2.0,2.0,16.0,14.0,1.0,12.0,4.0,16.0,2.0,4.0,3.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,,2.0,,4.0,,1.0,4.0,,,,,1.0,2.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
16,2292963,2022-11-12 15:00:00,"Anfield, Liverpool",53331.0,Home,Liverpool,Southampton,3,1,W,3,1,0,0,,1.0,2.0,20.0,59.0,,1.0,31.0,14.0,2.0,3.0,13.0,4.0,1.0,2.0,216.0,,10.0,10.0,8.0,3.0,,14.0,7.0,160.0,145.0,39.0,15.0,1.0,9.0,4.0,,,,2.0,3.0,1.0,23.0,,5.0,,14.0,6.0,8.0,46.0,243.0,1.0,0.0,120.0,8.0,,1.0,91.0,80.0,9.0,100.0,17.0,12.0,2.0,8.0,145.0,6.0,9.0,194.0,838.0,7.0,,29.0,,7.0,559.0,31.0,3.0,4.0,3.0,,0.0,1.0,5.0,21.0,648.0,57.0,2.0,97032,13.0,345.0,4.0,8.0,,375.0,4.0,1.0,5.0,9.0,41.0,3.0,,4.0,2.0,19.0,,9.0,2.0,55.0,578.0,8.0,7.0,11.0,5.0,85.0,0.0,2.0,,3.0,,,1.0,0.0,6.0,1.0,8.0,59.9,19.0,5.0,,,4.0,2.0,58.0,6.0,,670.0,,7.0,12.0,26.0,6.0,,39.0,4.0,5.0,318.0,4.0,7.0,11.0,86.0,22.0,3.0,,4.0,12.0,1.0,9.0,5.0,13.0,,5.0,6.0,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,4.0,,1.0,2.0,1.0,2.0,1.0,1.0,,,,,,,,,1.0,,,,3.0,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
17,2292971,2022-12-26 17:30:00,"Villa Park, Birmingham",42085.0,Away,Liverpool,Aston Villa,3,1,W,2,0,0,0,1.0,1.0,2.0,25.0,71.0,,,40.0,23.0,6.0,7.0,10.0,5.0,3.0,5.0,176.0,1.0,14.0,6.0,5.0,3.0,2.0,11.0,9.0,142.0,136.0,38.0,16.0,1.0,6.0,4.0,1.0,,,,4.0,,14.0,,7.0,,23.0,6.0,2.0,54.0,180.0,1.0,0.0,112.0,12.0,,1.0,37.0,83.0,7.0,68.0,8.0,15.0,6.0,3.0,136.0,5.0,10.0,128.0,698.0,8.0,4.0,36.0,1.0,11.0,407.0,27.0,4.0,12.0,2.0,,0.0,3.0,4.0,15.0,500.0,56.0,2.0,97032,5.0,246.0,5.0,4.0,,274.0,6.0,,5.0,3.0,33.0,6.0,3.0,8.0,1.0,16.0,2.0,3.0,2.0,70.0,420.0,6.0,6.0,17.0,4.0,64.0,0.0,2.0,,3.0,,,1.0,0.0,3.0,,1.0,51.9,13.0,1.0,4.0,3.0,8.0,1.0,42.0,6.0,,514.0,,11.0,4.0,28.0,6.0,,32.0,3.0,3.0,254.0,8.0,2.0,8.0,68.0,31.0,1.0,1.0,12.0,19.0,1.0,11.0,5.0,12.0,1.0,5.0,6.0,1.0,1.0,,,2.0,3.0,3.0,,,,,1.0,2.0,1.0,,,5.0,,3.0,2.0,,1.0,2.0,,2.0,2.0,,2.0,,1.0,,,,1.0,2.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
18,2292983,2022-12-30 20:00:00,"Anfield, Liverpool",53343.0,Home,Liverpool,Leicester City,2,1,W,2,1,0,0,,1.0,,16.0,64.0,,2.0,41.0,10.0,9.0,6.0,12.0,1.0,,2.0,182.0,,8.0,5.0,7.0,2.0,5.0,15.0,5.0,155.0,145.0,47.0,21.0,4.0,8.0,4.0,2.0,1.0,1.0,,4.0,4.0,27.0,,12.0,,10.0,4.0,4.0,74.0,224.0,,0.0,153.0,8.0,3.0,5.0,60.0,68.0,6.0,90.0,23.0,22.0,9.0,11.0,145.0,3.0,6.0,161.0,779.0,12.0,5.0,26.0,1.0,11.0,476.0,26.0,,5.0,,1.0,0.0,2.0,9.0,19.0,566.0,73.0,1.0,97032,9.0,277.0,3.0,7.0,,299.0,6.0,,12.0,6.0,37.0,4.0,2.0,5.0,,10.0,1.0,5.0,3.0,66.0,496.0,15.0,7.0,8.0,1.0,71.0,0.0,1.0,5.0,2.0,1.0,,1.0,0.0,4.0,1.0,3.0,57.0,15.0,1.0,11.0,1.0,5.0,6.0,44.0,4.0,,588.0,,11.0,8.0,48.0,10.0,1.0,38.0,1.0,6.0,316.0,12.0,4.0,7.0,101.0,22.0,,,5.0,18.0,1.0,15.0,4.0,13.0,,12.0,4.0,,1.0,,,3.0,2.0,3.0,,2.0,,,3.0,1.0,3.0,,3.0,1.0,3.0,1.0,,,,,,3.0,1.0,,3.0,,1.0,,,1.0,,3.0,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
19,2292992,2023-01-02 17:30:00,"Gtech Community Stadium, Brentford",17163.0,Away,Liverpool,Brentford,1,3,L,0,2,0,0,,2.0,1.0,17.0,69.0,1.0,5.0,26.0,15.0,4.0,4.0,12.0,5.0,,2.0,184.0,,5.0,8.0,13.0,1.0,,12.0,6.0,187.0,176.0,42.0,16.0,2.0,15.0,3.0,2.0,,1.0,1.0,2.0,2.0,27.0,,5.0,,15.0,8.0,5.0,55.0,380.0,,0.0,235.0,8.0,,,85.0,106.0,10.0,96.0,19.0,16.0,4.0,13.0,176.0,3.0,10.0,185.0,857.0,8.0,7.0,47.0,,4.0,526.0,29.0,5.0,8.0,1.0,1.0,3.0,1.0,2.0,28.0,631.0,88.0,1.0,97032,8.0,171.0,2.0,6.0,,203.0,6.0,,8.0,4.0,42.0,2.0,4.0,5.0,1.0,21.0,1.0,4.0,,58.0,543.0,4.0,2.0,17.0,4.0,67.0,0.0,1.0,4.0,1.0,,,3.0,0.0,6.0,1.0,4.0,73.0,23.0,1.0,2.0,1.0,5.0,7.0,40.0,9.0,,652.0,,4.0,12.0,24.0,3.0,,53.0,2.0,3.0,476.0,7.0,4.0,16.0,175.0,32.0,1.0,2.0,8.0,9.0,3.0,11.0,4.0,18.0,2.0,8.0,9.0,,,,,,1.0,,,1.0,,,1.0,,3.0,,1.0,4.0,3.0,,3.0,1.0,1.0,,,,2.0,,,,3.0,,2.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,
20,2293002,2023-01-14 15:00:00,"American Express Stadium, Falmer",31645.0,Away,Liverpool,Brighton and Hove Albion,0,3,L,0,0,0,0,1.0,,,18.0,64.0,2.0,,17.0,24.0,1.0,1.0,5.0,5.0,,,135.0,,9.0,3.0,5.0,,,6.0,2.0,111.0,110.0,38.0,6.0,1.0,7.0,2.0,2.0,,1.0,,,,4.0,,12.0,,24.0,1.0,1.0,31.0,100.0,1.0,0.0,73.0,15.0,,,31.0,23.0,3.0,53.0,3.0,9.0,1.0,,110.0,2.0,12.0,121.0,594.0,5.0,1.0,18.0,,16.0,329.0,29.0,1.0,12.0,,1.0,3.0,5.0,3.0,12.0,399.0,37.0,,81880,2.0,253.0,2.0,3.0,,273.0,8.0,,8.0,4.0,47.0,2.0,2.0,8.0,,19.0,4.0,4.0,,39.0,350.0,9.0,10.0,11.0,1.0,50.0,0.0,,7.0,,,,3.0,0.0,2.0,,2.0,39.2,11.0,,9.0,,9.0,1.0,25.0,1.0,,420.0,,16.0,11.0,16.0,3.0,,16.0,1.0,3.0,151.0,3.0,1.0,5.0,44.0,17.0,,,12.0,19.0,3.0,5.0,4.0,10.0,,8.0,1.0,,,,,4.0,2.0,,,2.0,,,,1.0,1.0,,,4.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
21,2293016,2023-01-21 12:30:00,"Anfield, Liverpool",53126.0,Home,Liverpool,Chelsea,0,0,D,0,0,0,0,,1.0,,19.0,72.0,1.0,4.0,28.0,15.0,5.0,4.0,10.0,2.0,,2.0,163.0,,7.0,4.0,9.0,,3.0,7.0,3.0,122.0,164.0,48.0,15.0,2.0,18.0,2.0,2.0,,1.0,,,1.0,24.0,,13.0,,15.0,4.0,5.0,47.0,161.0,1.0,0.0,128.0,16.0,,2.0,34.0,82.0,4.0,77.0,20.0,28.0,5.0,6.0,164.0,,9.0,115.0,697.0,7.0,2.0,36.0,,15.0,356.0,28.0,2.0,5.0,,1.0,3.0,3.0,3.0,22.0,456.0,61.0,,81880,4.0,218.0,,12.0,,252.0,14.0,,13.0,11.0,59.0,,5.0,7.0,,9.0,2.0,10.0,3.0,60.0,375.0,9.0,5.0,13.0,1.0,53.0,0.0,,5.0,,,,,0.0,4.0,,3.0,47.5,15.0,1.0,5.0,1.0,7.0,6.0,29.0,5.0,,477.0,,15.0,10.0,17.0,6.0,,36.0,,4.0,249.0,8.0,5.0,12.0,87.0,31.0,,,5.0,18.0,,13.0,5.0,20.0,,13.0,5.0,,,,,1.0,,2.0,,,1.0,3.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,,2.0,,,3.0,,1.0,,,,2.0,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2293029,2023-02-04 15:00:00,"Molineux Stadium, Wolverhampton",31664.0,Away,Liverpool,Wolverhampton Wanderers,0,3,L,0,2,0,0,2.0,1.0,,16.0,63.0,3.0,2.0,17.0,7.0,10.0,9.0,12.0,3.0,,3.0,158.0,,10.0,3.0,5.0,,3.0,15.0,4.0,152.0,148.0,40.0,22.0,8.0,14.0,4.0,2.0,,,,1.0,3.0,32.0,,7.0,,7.0,6.0,6.0,39.0,224.0,,0.0,147.0,7.0,,3.0,52.0,68.0,9.0,90.0,26.0,16.0,10.0,12.0,148.0,1.0,8.0,144.0,747.0,15.0,1.0,35.0,,10.0,450.0,14.0,,4.0,,,1.0,2.0,6.0,33.0,529.0,61.0,1.0,81880,5.0,244.0,1.0,11.0,,266.0,5.0,,8.0,4.0,41.0,1.0,2.0,3.0,,17.0,5.0,4.0,3.0,40.0,465.0,9.0,6.0,11.0,,56.0,0.0,1.0,2.0,,,,3.0,0.0,2.0,1.0,1.0,58.2,29.0,1.0,8.0,4.0,3.0,10.0,36.0,7.0,,544.0,,10.0,13.0,18.0,8.0,,52.0,1.0,6.0,310.0,12.0,6.0,16.0,114.0,37.0,,1.0,4.0,10.0,3.0,20.0,5.0,8.0,1.0,8.0,7.0,,,,,2.0,2.0,2.0,,,,,1.0,1.0,,1.0,1.0,1.0,,,2.0,,,,,1.0,,,1.0,,2.0,,,1.0,,1.0,,,,,,,,,2.0,,,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,
23,2293036,2023-02-13 20:00:00,"Anfield, Liverpool",53027.0,Home,Liverpool,Everton,2,0,W,1,0,0,0,1.0,2.0,2.0,24.0,66.0,1.0,3.0,25.0,11.0,4.0,6.0,11.0,1.0,1.0,2.0,160.0,1.0,10.0,2.0,11.0,2.0,3.0,11.0,6.0,170.0,143.0,60.0,15.0,2.0,9.0,3.0,2.0,,,1.0,2.0,,19.0,,15.0,,11.0,3.0,4.0,46.0,190.0,1.0,0.0,128.0,8.0,,2.0,50.0,83.0,8.0,89.0,16.0,11.0,4.0,10.0,143.0,2.0,4.0,166.0,791.0,10.0,7.0,25.0,,7.0,485.0,26.0,2.0,6.0,1.0,,1.0,1.0,3.0,25.0,565.0,57.0,,97032,5.0,317.0,1.0,4.0,,336.0,2.0,1.0,11.0,4.0,45.0,,4.0,6.0,2.0,18.0,2.0,4.0,,44.0,505.0,16.0,11.0,9.0,1.0,68.0,0.0,2.0,3.0,2.0,,,,0.0,1.0,,1.0,59.1,21.0,1.0,6.0,2.0,6.0,5.0,47.0,3.0,,585.0,,7.0,8.0,26.0,4.0,,39.0,1.0,3.0,268.0,8.0,4.0,12.0,88.0,27.0,2.0,3.0,6.0,21.0,,10.0,5.0,21.0,3.0,5.0,3.0,1.0,,1.0,,,3.0,1.0,,,,,3.0,,,,,,5.0,1.0,,,,,,3.0,1.0,1.0,4.0,,1.0,,1.0,,,3.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
24,2293046,2023-02-18 17:30:00,"St. James' Park, Newcastle",52758.0,Away,Liverpool,Newcastle United,2,0,W,2,0,0,1,,2.0,2.0,15.0,54.0,,,31.0,20.0,5.0,5.0,8.0,4.0,,2.0,169.0,1.0,9.0,5.0,9.0,2.0,2.0,12.0,7.0,183.0,111.0,30.0,13.0,2.0,11.0,2.0,,,1.0,2.0,3.0,1.0,19.0,,7.0,,20.0,3.0,1.0,39.0,199.0,,0.0,132.0,8.0,,1.0,66.0,60.0,8.0,87.0,16.0,18.0,5.0,7.0,111.0,5.0,12.0,166.0,766.0,9.0,2.0,23.0,,4.0,515.0,24.0,2.0,11.0,2.0,1.0,1.0,3.0,4.0,15.0,585.0,56.0,5.0,97032,5.0,339.0,3.0,8.0,,360.0,2.0,2.0,8.0,8.0,50.0,6.0,,6.0,2.0,14.0,2.0,7.0,,57.0,533.0,2.0,21.0,14.0,1.0,63.0,0.0,1.0,6.0,2.0,,,,0.0,5.0,,3.0,62.6,15.0,2.0,9.0,2.0,6.0,2.0,42.0,7.0,,605.0,,4.0,3.0,19.0,4.0,,31.0,,4.0,264.0,5.0,1.0,5.0,94.0,14.0,2.0,2.0,11.0,14.0,,9.0,4.0,16.0,2.0,8.0,7.0,,,,,1.0,3.0,,,1.0,,,2.0,1.0,1.0,1.0,1.0,4.0,,1.0,1.0,,1.0,,,1.0,3.0,1.0,1.0,,1.0,,2.0,,,1.0,,2.0,,2.0,1.0,,,2.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
25,2293051,2023-02-25 19:45:00,"Selhurst Park, London",25842.0,Away,Liverpool,Crystal Palace,0,0,D,0,0,0,0,,2.0,,16.0,64.0,,1.0,28.0,15.0,3.0,5.0,8.0,,,2.0,201.0,,8.0,2.0,9.0,,3.0,9.0,4.0,180.0,151.0,51.0,12.0,2.0,18.0,2.0,4.0,2.0,3.0,,,,14.0,2.0,9.0,,15.0,3.0,4.0,47.0,213.0,,0.0,129.0,14.0,,1.0,52.0,101.0,5.0,90.0,11.0,16.0,4.0,4.0,151.0,2.0,4.0,173.0,820.0,8.0,6.0,17.0,3.0,5.0,523.0,29.0,1.0,10.0,,3.0,5.0,2.0,4.0,24.0,619.0,52.0,1.0,97032,2.0,333.0,2.0,6.0,,363.0,8.0,,5.0,10.0,62.0,1.0,1.0,5.0,,16.0,2.0,8.0,,48.0,544.0,10.0,14.0,8.0,2.0,75.0,0.0,2.0,5.0,,,1.0,,0.0,1.0,,1.0,63.8,20.0,,3.0,1.0,5.0,3.0,52.0,3.0,,644.0,,5.0,13.0,21.0,5.0,,26.0,1.0,3.0,295.0,6.0,4.0,18.0,88.0,27.0,,4.0,10.0,14.0,,8.0,4.0,12.0,4.0,5.0,3.0,,,,,,2.0,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,2.0,2.0,1.0,2.0,,,,,,,2.0,,,3.0,1.0,,,,1.0,2.0,,,,1.0,,1.0,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,
