gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,attLfTarget,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,shotFastbreak,attBxRight,goalAssistOpenplay,goalFastbreak,totalCross,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,attOneOnOne,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,totalFastbreak,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,attMissHighLeft,accurateLaunches,headClearance,goalAssist,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,accurateThroughBall,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,attCmissHigh,ownGoals,totalThroughBall,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attFastbreak,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,goalAssistIntentional,attHdTotal,possessionPercentage,accurateThrows,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attCmissRight,postScoringAtt,attIboxPost,ptsGainedLosingPos,attMissRight,hitWoodwork,shieldBallOop,attBxLeft,attPostRight,errorLeadToGoal,attIboxTarget,attSvLowCentre,attMissLeft,attSvLowLeft,attHdTarget,sixYardBlock,attAssistSetplay,punches,attHdMiss,accurateCornersIntobox,attSvHighRight,attSetpiece,ptsDroppedWinningPos,attSvHighLeft,attCmissLeft,attFreekickTotal,freekickTotal,expectedGoalsFreekick,attFreekickTarget,accurateKeeperSweeper,totalKeeperSweeper,attPostHigh,attCmissHighRight,clearanceOffLine,penaltyWon,cleanSheet,attObxdLeft,accurateFreekickCross,goalAssistSetplay,goalAssistDeadball,contentiousDecision,foulThrowIn,attObxLeft,attObxdRight,attFreekickMiss,attIboxOwnGoal,attPostLeft,attHdPost,attLgRight,attLgCentre,attObxRight,attOboxPost,penaltySave,attCmissHighLeft
11,2562001,2025-11-09 14:00:00,"The City Ground, Nottingham",30708.0,Home,Nottingham Forest,Leeds United,3,1,W,1.0,1.0,0,0,0.0,,1.0,3.0,50.0,2.0,0.0,1.0,5.0,3.4153,23.0,27.0,4.0,2.0,10.0,2.0,0.0,2.0,152.0,1.0,6.0,7.0,3.0,3.0,9.0,6.0,66.0,140.0,58.0,14.0,1.0,19.0,1.0,1.0,1.0,,26.0,17.0,0.0,2.0,27.0,5.0,4.0,32.0,,0.926,148.0,,0.0,0.0,118.0,10.0,0.0,2.0,1.0,3.0,,,64.0,44.0,7.0,58.0,,21.0,19.0,4.0,0.0,0.0,6.0,1.0,140.0,1.0,5.0,0.0,72.0,571.0,7.0,3.0,24.0,6.0,264.0,26.0,,4.0,15.0,1.0,2.0,2.0,2.0,1.41648,20.0,329.0,66.0,1.0,,33.52,456512,8.0,135.0,,15.0,,150.0,7.0,110784.32,2.0,1.0,11.0,5.0,49.0,,0.0,1.0,0.0,2.0,4.0,2.0,24.0,5.0,5.0,,1.0,58.0,277.0,11.0,5.0,26.0,4.0,65.0,1.0,0.0,0.0,1.0,0.0,0.0,,4.0,1.0,3.0,1.0,,0.0,4.0,1.0,4.0,45.5,12.0,5.0,1.0,4.0,6.0,32.0,6.0,,,348.0,,6.0,5.0,16.0,2.0,35.0,1.0,224.0,8.0,3.0,13.0,84.0,14.0,,2.0,15.0,27.0,1.0,1.0,9.0,4.0,17.0,2.5509,2.0,11.0,6.0,1.0,1.0,,,3.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
12,2562011,2025-11-22 15:00:00,"Anfield, Liverpool",60419.0,Away,Nottingham Forest,Liverpool,3,0,W,1.0,0.0,0,0,0.0,1.0,2.0,1.0,40.0,1.0,1.0,1.0,2.0,2.7736,21.0,46.0,5.0,5.0,9.0,3.0,2.0,1.0,99.0,0.0,3.0,7.0,3.0,3.0,7.0,7.0,46.0,115.0,56.0,15.0,3.0,17.0,2.0,1.0,1.0,,15.0,17.0,0.0,2.0,46.0,5.0,8.0,18.0,,0.6699,78.0,,0.0,0.0,70.0,8.0,0.0,3.0,2.0,1.0,,2.0,39.0,23.0,6.0,37.0,1.0,10.0,12.0,6.0,1.0,0.0,4.0,1.0,115.0,2.0,16.0,0.0,33.0,454.0,3.0,,23.0,7.0,139.0,18.0,1.0,4.0,22.0,1.0,0.0,10.0,1.0,0.247342,17.0,188.0,39.0,,1.0,32.53,215136,7.0,76.0,1.0,6.0,,92.0,2.0,110289.89,1.0,1.0,4.0,14.0,53.0,,0.0,1.0,2.0,2.0,2.0,1.0,16.0,5.0,4.0,,0.0,57.0,151.0,10.0,14.0,24.0,3.0,57.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,8.0,3.0,3.0,0.0,,0.0,1.0,1.0,2.0,25.5,14.0,3.0,1.0,2.0,5.0,24.0,6.0,,2.0,215.0,,7.0,4.0,13.0,3.0,22.0,2.0,138.0,8.0,8.0,12.0,43.0,11.0,,4.0,22.0,27.0,0.0,0.0,6.0,3.0,18.0,1.5795,4.0,4.0,6.0,1.0,,,,,,,1.0,1.0,,,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,3.0,,1.0,,3.0,3.0,0.1411,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
13,2562021,2025-11-30 14:05:00,"The City Ground, Nottingham",30522.0,Home,Nottingham Forest,Brighton and Hove Albion,0,2,L,0.0,1.0,0,0,0.0,,1.0,,59.0,0.0,0.0,1.0,8.0,0.4003,29.0,19.0,6.0,2.0,13.0,3.0,0.0,2.0,198.0,0.0,8.0,17.0,0.0,2.0,16.0,3.0,122.0,142.0,62.0,19.0,2.0,13.0,1.0,3.0,,,33.0,14.0,0.0,1.0,19.0,8.0,11.0,29.0,,1.7293,219.0,2.0,0.0,0.0,174.0,11.0,0.0,,1.0,0.0,1.0,,77.0,65.0,11.0,74.0,1.0,25.0,15.0,6.0,0.0,0.0,12.0,4.0,142.0,1.0,11.0,0.0,98.0,700.0,13.0,6.0,35.0,7.0,387.0,26.0,1.0,6.0,11.0,,0.0,7.0,5.0,0.66515,14.0,467.0,67.0,,,34.32,456512,9.0,198.0,1.0,12.0,,217.0,5.0,115759.71,0.0,3.0,6.0,11.0,48.0,,0.0,1.0,0.0,1.0,2.0,0.0,13.0,6.0,9.0,,0.0,59.0,409.0,10.0,6.0,23.0,5.0,76.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,2.0,0.0,6.0,,5.0,51.9,13.0,6.0,,2.0,10.0,45.0,9.0,,,492.0,,7.0,8.0,11.0,6.0,48.0,2.0,308.0,12.0,11.0,13.0,131.0,24.0,,,11.0,22.0,0.0,2.0,12.0,5.0,28.0,0.8889,,6.0,9.0,2.0,2.0,,,,2.0,,1.0,1.0,,1.0,3.0,1.0,1.0,,1.0,1.0,3.0,,1.0,2.0,,2.0,,,,,,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,
14,2562034,2025-12-03 19:30:00,"Molineux Stadium, Wolverhampton",28646.0,Away,Nottingham Forest,Wolverhampton Wanderers,1,0,W,0.0,0.0,0,0,0.0,,,1.0,44.0,0.0,0.0,,3.0,0.3826,28.0,19.0,3.0,2.0,7.0,1.0,0.0,2.0,144.0,1.0,8.0,4.0,1.0,4.0,8.0,3.0,114.0,144.0,55.0,10.0,1.0,17.0,1.0,,1.0,,21.0,7.0,0.0,1.0,19.0,6.0,3.0,40.0,,0.1424,185.0,,0.0,0.0,139.0,11.0,0.0,,1.0,0.0,1.0,1.0,71.0,65.0,5.0,64.0,1.0,15.0,21.0,3.0,0.0,0.0,8.0,1.0,144.0,2.0,4.0,0.0,94.0,628.0,6.0,5.0,23.0,5.0,312.0,17.0,,8.0,7.0,1.0,2.0,2.0,3.0,1.14723,22.0,388.0,56.0,,,33.46,215136,4.0,157.0,1.0,6.0,,176.0,5.0,111591.96,0.0,,12.0,4.0,55.0,,0.0,1.0,0.0,2.0,5.0,1.0,24.0,1.0,2.0,1.0,0.0,66.0,334.0,19.0,8.0,23.0,4.0,70.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,4.0,0.0,6.0,1.0,4.0,50.2,20.0,3.0,,5.0,4.0,38.0,9.0,,1.0,416.0,,5.0,11.0,14.0,3.0,31.0,2.0,261.0,4.0,1.0,15.0,97.0,17.0,1.0,,7.0,17.0,1.0,0.0,5.0,3.0,12.0,0.7436,,12.0,9.0,,,,,,1.0,,1.0,1.0,,,1.0,,2.0,,,1.0,1.0,1.0,2.0,2.0,,1.0,,,,1.0,1.0,0.0607,1.0,2.0,2.0,,,,,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
15,2562038,2025-12-06 15:00:00,"Hill Dickinson Stadium, Liverpool",52501.0,Away,Nottingham Forest,Everton,0,3,L,0.0,2.0,0,0,0.0,1.0,1.0,,41.0,0.0,0.0,1.0,2.0,0.4438,14.0,35.0,,1.0,6.0,3.0,0.0,2.0,141.0,0.0,3.0,8.0,0.0,3.0,4.0,3.0,114.0,143.0,72.0,7.0,,21.0,,,,,18.0,15.0,0.0,1.0,35.0,3.0,3.0,29.0,,1.7994,146.0,1.0,0.0,0.0,80.0,15.0,0.0,3.0,,0.0,1.0,,65.0,52.0,3.0,68.0,1.0,15.0,18.0,1.0,0.0,0.0,3.0,1.0,143.0,1.0,8.0,0.0,118.0,656.0,3.0,3.0,12.0,6.0,329.0,19.0,,3.0,25.0,,3.0,4.0,1.0,0.236156,29.0,411.0,41.0,,2.0,32.38,485047,3.0,214.0,1.0,11.0,,242.0,7.0,102119.71,0.0,,6.0,8.0,53.0,,1.0,1.0,0.0,1.0,5.0,0.0,21.0,4.0,8.0,,0.0,50.0,357.0,16.0,3.0,22.0,1.0,61.0,,0.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,0.0,3.0,,0.0,2.0,,3.0,58.7,23.0,,,5.0,2.0,29.0,3.0,,,441.0,,6.0,12.0,10.0,2.0,24.0,1.0,217.0,3.0,2.0,24.0,48.0,17.0,,4.0,25.0,24.0,0.0,3.0,5.0,4.0,11.0,0.5339,4.0,6.0,3.0,,,,,,,,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,0.0305,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,
16,2562052,2025-12-14 14:00:00,"The City Ground, Nottingham",30579.0,Home,Nottingham Forest,Tottenham Hotspur,3,0,W,1.0,0.0,0,0,0.0,,1.0,1.0,50.0,0.0,1.0,,1.0,2.0112,23.0,23.0,4.0,3.0,10.0,1.0,0.0,2.0,129.0,1.0,5.0,6.0,3.0,3.0,10.0,6.0,101.0,138.0,48.0,15.0,1.0,10.0,1.0,2.0,3.0,,15.0,9.0,1.0,1.0,23.0,2.0,6.0,26.0,,0.5179,168.0,,2.0,0.0,111.0,9.0,0.0,1.0,1.0,3.0,,,59.0,66.0,3.0,72.0,1.0,13.0,27.0,5.0,0.0,0.0,2.0,1.0,138.0,4.0,5.0,0.0,90.0,604.0,7.0,5.0,24.0,12.0,303.0,20.0,,9.0,6.0,3.0,1.0,4.0,7.0,1.63115,22.0,369.0,49.0,,,33.25,222531,6.0,157.0,3.0,11.0,,181.0,5.0,108051.12,3.0,,16.0,6.0,61.0,,0.0,2.0,0.0,4.0,,3.0,15.0,1.0,5.0,,0.0,46.0,320.0,12.0,12.0,24.0,1.0,57.0,1.0,0.0,0.0,,0.0,0.0,,3.0,1.0,1.0,0.0,1.0,0.0,5.0,2.0,2.0,47.9,15.0,6.0,1.0,,2.0,34.0,3.0,,,392.0,,12.0,19.0,10.0,7.0,18.0,5.0,226.0,10.0,5.0,13.0,80.0,18.0,,2.0,6.0,17.0,0.0,0.0,11.0,2.0,17.0,2.3153,2.0,16.0,3.0,,1.0,1.0,1.0,,2.0,1.0,2.0,,,,2.0,2.0,4.0,,,,,2.0,1.0,,,1.0,,,4.0,1.0,1.0,0.0618,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,
17,2562059,2025-12-22 20:00:00,"Craven Cottage, London",27136.0,Away,Nottingham Forest,Fulham,0,1,L,0.0,1.0,0,0,0.0,,1.0,,53.0,0.0,0.0,,2.0,0.0772,28.0,16.0,6.0,3.0,6.0,,0.0,1.0,157.0,0.0,2.0,3.0,0.0,1.0,11.0,2.0,125.0,145.0,35.0,12.0,2.0,17.0,,2.0,,,23.0,5.0,0.0,2.0,16.0,4.0,12.0,38.0,,0.7469,223.0,2.0,0.0,0.0,136.0,9.0,0.0,,,0.0,,,73.0,71.0,5.0,85.0,1.0,19.0,12.0,6.0,0.0,0.0,10.0,2.0,145.0,,8.0,0.0,123.0,667.0,11.0,4.0,21.0,8.0,404.0,22.0,,10.0,8.0,,4.0,6.0,6.0,0.5234,22.0,473.0,65.0,,1.0,33.32,575476,3.0,196.0,,9.0,1.0,206.0,5.0,112492.72,0.0,,6.0,7.0,55.0,,0.0,2.0,0.0,2.0,1.0,0.0,20.0,3.0,4.0,1.0,0.0,65.0,417.0,5.0,8.0,27.0,,72.0,,0.0,0.0,,0.0,0.0,1.0,1.0,,0.0,1.0,3.0,0.0,2.0,,1.0,50.3,15.0,6.0,,1.0,4.0,36.0,5.0,1.0,,490.0,1.0,8.0,8.0,24.0,6.0,40.0,4.0,307.0,8.0,11.0,17.0,96.0,24.0,,,8.0,10.0,0.0,1.0,11.0,5.0,16.0,0.6676,,6.0,5.0,,,,,,,,1.0,1.0,,,,1.0,3.0,,,,,,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2562072,2025-12-27 12:30:00,"The City Ground, Nottingham",30778.0,Home,Nottingham Forest,Manchester City,1,2,L,0.0,0.0,0,0,0.0,1.0,,1.0,41.0,0.0,0.0,,3.0,0.583,33.0,22.0,2.0,2.0,5.0,3.0,1.0,1.0,111.0,1.0,4.0,6.0,1.0,5.0,4.0,2.0,69.0,127.0,46.0,7.0,,13.0,,1.0,1.0,,22.0,12.0,0.0,1.0,22.0,4.0,5.0,29.0,,1.4611,119.0,1.0,0.0,0.0,97.0,5.0,0.0,1.0,,1.0,4.0,,42.0,52.0,4.0,59.0,1.0,18.0,8.0,2.0,0.0,0.0,10.0,1.0,127.0,1.0,9.0,0.0,54.0,470.0,3.0,4.0,12.0,8.0,201.0,23.0,1.0,9.0,9.0,1.0,1.0,6.0,,0.544802,17.0,270.0,43.0,,1.0,32.94,575476,4.0,104.0,,4.0,,127.0,2.0,105492.86,0.0,,5.0,8.0,42.0,1.0,0.0,,0.0,1.0,2.0,1.0,14.0,7.0,5.0,1.0,0.0,67.0,219.0,13.0,11.0,29.0,,55.0,,0.0,0.0,1.0,0.0,0.0,3.0,5.0,3.0,1.0,2.0,,0.0,4.0,1.0,1.0,34.0,14.0,,,2.0,3.0,28.0,5.0,,,293.0,,8.0,3.0,14.0,2.0,29.0,1.0,188.0,4.0,5.0,12.0,65.0,13.0,,,9.0,15.0,0.0,2.0,5.0,2.0,17.0,0.5515,,5.0,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
19,2562082,2025-12-30 19:30:00,"The City Ground, Nottingham",30617.0,Home,Nottingham Forest,Everton,0,2,L,0.0,1.0,0,0,0.0,3.0,2.0,,56.0,0.0,0.0,,3.0,0.9432,19.0,12.0,9.0,7.0,12.0,1.0,0.0,3.0,212.0,0.0,9.0,16.0,0.0,2.0,15.0,6.0,173.0,154.0,58.0,21.0,4.0,25.0,,,,,52.0,14.0,0.0,4.0,12.0,5.0,18.0,28.0,,0.8576,398.0,1.0,0.0,0.0,277.0,11.0,0.0,,,0.0,1.0,,97.0,126.0,10.0,106.0,1.0,47.0,17.0,9.0,0.0,0.0,20.0,1.0,154.0,1.0,7.0,0.0,174.0,907.0,15.0,2.0,42.0,5.0,582.0,13.0,,2.0,5.0,,1.0,4.0,5.0,2.37164,23.0,646.0,85.0,,,31.28,575476,8.0,211.0,1.0,26.0,,226.0,2.0,113784.04,0.0,,7.0,5.0,63.0,,0.0,1.0,0.0,,4.0,0.0,18.0,4.0,4.0,,0.0,34.0,600.0,8.0,7.0,12.0,3.0,76.0,,0.0,0.0,1.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,2.0,0.0,8.0,,4.0,69.7,21.0,5.0,,4.0,7.0,53.0,9.0,,,665.0,,5.0,14.0,17.0,8.0,71.0,7.0,491.0,10.0,17.0,13.0,245.0,33.0,,1.0,5.0,21.0,0.0,2.0,16.0,3.0,25.0,1.5504,1.0,7.0,9.0,,2.0,,,,3.0,,1.0,2.0,,,2.0,4.0,4.0,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,,,1.0,1.0,1.0,0.0325,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
20,2562086,2026-01-03 12:30:00,"Villa Park, Birmingham",43039.0,Away,Nottingham Forest,Aston Villa,1,3,L,0.0,1.0,0,0,2.0,2.0,1.0,1.0,46.0,0.0,0.0,,1.0,1.6719,20.0,28.0,3.0,3.0,6.0,1.0,0.0,3.0,96.0,0.0,,8.0,1.0,1.0,7.0,5.0,47.0,115.0,43.0,10.0,1.0,10.0,,4.0,1.0,,9.0,8.0,0.0,2.0,28.0,3.0,4.0,20.0,,1.4533,45.0,,0.0,0.0,40.0,20.0,0.0,,,1.0,1.0,1.0,18.0,20.0,4.0,47.0,2.0,6.0,16.0,4.0,0.0,0.0,1.0,1.0,115.0,2.0,5.0,0.0,49.0,413.0,5.0,3.0,13.0,14.0,152.0,28.0,1.0,5.0,9.0,1.0,2.0,4.0,3.0,0.505725,8.0,213.0,18.0,1.0,1.0,33.16,222531,,125.0,1.0,5.0,,154.0,10.0,107644.21,1.0,1.0,10.0,11.0,49.0,1.0,0.0,2.0,0.0,4.0,2.0,1.0,13.0,6.0,6.0,1.0,0.0,48.0,170.0,10.0,4.0,22.0,1.0,41.0,,1.0,0.0,1.0,0.0,0.0,,4.0,1.0,1.0,3.0,,0.0,,,2.0,27.3,6.0,5.0,,2.0,2.0,19.0,4.0,,1.0,239.0,,14.0,16.0,9.0,3.0,14.0,2.0,94.0,5.0,3.0,6.0,21.0,8.0,,2.0,9.0,19.0,0.0,1.0,8.0,5.0,10.0,0.8866,2.0,10.0,4.0,,2.0,,,,2.0,,2.0,1.0,,1.0,2.0,1.0,,1.0,,,1.0,1.0,2.0,,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,
21,2562104,2026-01-06 20:00:00,"London Stadium, London",62429.0,Away,Nottingham Forest,West Ham United,2,1,W,0.0,1.0,0,0,0.0,,,1.0,55.0,0.0,0.0,1.0,2.0,2.2785,19.0,32.0,6.0,2.0,7.0,3.0,0.0,2.0,160.0,1.0,5.0,2.0,2.0,6.0,9.0,5.0,87.0,159.0,52.0,13.0,2.0,27.0,,,,,28.0,9.0,1.0,2.0,32.0,5.0,9.0,24.0,,0.3728,214.0,,0.0,0.0,167.0,9.0,0.0,1.0,,2.0,1.0,1.0,89.0,81.0,7.0,78.0,,23.0,18.0,6.0,0.0,0.0,11.0,1.0,159.0,,12.0,0.0,93.0,652.0,8.0,3.0,26.0,6.0,322.0,23.0,2.0,8.0,20.0,1.0,0.0,5.0,2.0,0.636247,27.0,396.0,70.0,,1.0,32.56,575476,2.0,128.0,,11.0,,147.0,6.0,109019.63,1.0,,4.0,5.0,66.0,,1.0,,0.0,,4.0,0.0,14.0,3.0,1.0,,1.0,53.0,337.0,15.0,2.0,27.0,2.0,63.0,,0.0,0.0,1.0,0.0,0.0,4.0,6.0,2.0,2.0,1.0,3.0,0.0,4.0,1.0,3.0,52.8,18.0,5.0,,4.0,4.0,34.0,5.0,,1.0,418.0,,6.0,14.0,11.0,4.0,35.0,2.0,299.0,8.0,9.0,21.0,128.0,21.0,,,20.0,15.0,1.0,1.0,7.0,2.0,16.0,1.3755,,4.0,5.0,,1.0,1.0,,3.0,1.0,1.0,2.0,2.0,,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,
22,2562111,2026-01-17 17:30:00,"The City Ground, Nottingham",30729.0,Home,Nottingham Forest,Arsenal,0,0,D,0.0,0.0,0,0,0.0,,,,31.0,0.0,0.0,,1.0,,18.0,33.0,5.0,2.0,1.0,3.0,0.0,,119.0,0.0,5.0,4.0,0.0,2.0,4.0,,74.0,123.0,46.0,6.0,2.0,18.0,,,,,25.0,5.0,0.0,,33.0,4.0,5.0,25.0,,0.8523,163.0,,0.0,0.0,122.0,8.0,0.0,3.0,,0.0,2.0,,60.0,60.0,2.0,56.0,2.0,21.0,15.0,5.0,0.0,0.0,8.0,3.0,123.0,,14.0,0.0,72.0,524.0,4.0,9.0,14.0,6.0,248.0,14.0,,3.0,15.0,,1.0,8.0,2.0,0.540496,19.0,297.0,52.0,,2.0,33.39,456512,1.0,101.0,,11.0,,114.0,4.0,106411.48,0.0,1.0,7.0,11.0,48.0,,0.0,1.0,0.0,1.0,4.0,0.0,17.0,1.0,4.0,,0.0,48.0,259.0,14.0,6.0,19.0,,57.0,,0.0,0.0,,0.0,0.0,2.0,9.0,3.0,0.0,0.0,4.0,0.0,3.0,,,40.0,14.0,4.0,,4.0,3.0,26.0,4.0,,,321.0,,6.0,6.0,12.0,3.0,27.0,,232.0,4.0,4.0,17.0,94.0,8.0,,2.0,15.0,12.0,0.0,0.0,4.0,2.0,14.0,0.3409,2.0,7.0,4.0,1.0,,,,,3.0,,,,,,,,,,,,,1.0,,2.0,,2.0,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
23,2562117,2026-01-25 14:00:00,"Gtech Community Stadium, Brentford",17134.0,Away,Nottingham Forest,Brentford,2,0,W,1.0,0.0,0,0,0.0,,,1.0,52.0,0.0,0.0,,2.0,0.852,19.0,54.0,2.0,1.0,5.0,1.0,0.0,,130.0,2.0,3.0,9.0,2.0,2.0,3.0,2.0,50.0,134.0,54.0,7.0,1.0,23.0,1.0,,1.0,1.0,16.0,11.0,0.0,,54.0,3.0,7.0,20.0,,0.3632,115.0,,0.0,0.0,85.0,10.0,0.0,,2.0,0.0,1.0,1.0,49.0,46.0,3.0,52.0,1.0,13.0,19.0,2.0,0.0,0.0,3.0,1.0,134.0,1.0,9.0,1.0,63.0,515.0,2.0,4.0,16.0,8.0,203.0,27.0,,3.0,33.0,1.0,0.0,3.0,,0.2071,14.0,269.0,43.0,,,32.18,222531,3.0,107.0,,9.0,,132.0,7.0,107947.5,2.0,1.0,12.0,11.0,57.0,1.0,0.0,1.0,0.0,,2.0,2.0,22.0,1.0,5.0,1.0,0.0,53.0,219.0,11.0,10.0,26.0,,67.0,1.0,0.0,0.0,,0.0,0.0,3.0,6.0,1.0,2.0,0.0,1.0,0.0,2.0,,1.0,34.1,8.0,2.0,,2.0,3.0,31.0,5.0,,1.0,295.0,,8.0,8.0,13.0,2.0,15.0,1.0,179.0,5.0,5.0,16.0,59.0,17.0,1.0,2.0,33.0,18.0,0.0,0.0,6.0,3.0,15.0,0.7793,2.0,12.0,5.0,1.0,1.0,,,,1.0,,,,,,,,,,,,1.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
24,2562131,2026-02-01 14:00:00,"The City Ground, Nottingham",30334.0,Home,Nottingham Forest,Crystal Palace,1,1,D,1.0,1.0,1,0,0.0,1.0,,1.0,45.0,1.0,0.0,1.0,2.0,0.8797,31.0,25.0,3.0,2.0,6.0,1.0,0.0,,132.0,0.0,2.0,15.0,1.0,3.0,7.0,1.0,58.0,125.0,63.0,9.0,1.0,20.0,1.0,1.0,,,13.0,11.0,0.0,,25.0,5.0,8.0,26.0,,0.8169,113.0,,0.0,0.0,89.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,47.0,37.0,3.0,45.0,1.0,8.0,22.0,3.0,0.0,0.0,2.0,2.0,125.0,,9.0,0.0,47.0,476.0,6.0,12.0,19.0,10.0,191.0,20.0,1.0,9.0,10.0,,1.0,3.0,4.0,0.255695,17.0,256.0,47.0,,2.0,34.42,159506,3.0,95.0,1.0,4.0,1.0,111.0,1.0,103210.22,1.0,,14.0,12.0,37.0,,0.0,,0.0,2.0,,0.0,17.0,5.0,7.0,,0.0,61.0,206.0,12.0,,25.0,1.0,65.0,1.0,0.0,0.0,,0.0,0.0,,7.0,1.0,1.0,1.0,4.0,1.0,1.0,,1.0,32.8,12.0,2.0,,,3.0,40.0,5.0,1.0,1.0,282.0,1.0,10.0,9.0,15.0,5.0,19.0,3.0,184.0,6.0,8.0,20.0,53.0,17.0,,4.0,10.0,16.0,0.0,1.0,7.0,4.0,20.0,0.4855,4.0,14.0,5.0,,1.0,,,,1.0,,,1.0,,,,,3.0,,,,1.0,1.0,1.0,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
