gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,postScoringAtt,totalCross,attIboxPost,wonTackle,attGoalHighRight,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,attSvHighLeft,midfielderGoals,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,subsGoals,leftsidePass,attHdPost,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,hitWoodwork,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,goalKicks,duelLost,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,attPostHigh,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,wonCorners,attLfTarget,bigChanceScored,attMissLeft,ptsGainedLosingPos,attSvLowLeft,freekickCross,goodHighClaim,interceptionsInBox,penaltyConceded,blockedPass,attCmissHigh,attCmissLeft,shieldBallOop,penaltyFaced,totalHighClaim,penGoalsConceded,successfulPutThrough,handBall,accuratePullBack,goalAssistOpenplay,attSvLowCentre,attOneOnOne,goalAssist,accurateThroughBall,accurateFreekickCross,totalThroughBall,attAssistSetplay,attSvLowRight,punches,goalAssistIntentional,effectiveBlockedCross,attIboxOwnGoal,blockedCross,attFreekickTotal,shotFastbreak,accurateKeeperSweeper,goalFastbreak,totalFastbreak,freekickTotal,attHdTarget,attMissHighLeft,totalKeeperSweeper,expectedGoalsFreekick,attFastbreak,attFreekickMiss,attSvHighRight,cleanSheet,attFreekickTarget,forwardGoals,errorLeadToGoal,goalAssistSetplay,goalAssistDeadball,attMissHighRight,ptsDroppedWinningPos,attLgCentre,attPostLeft,attOboxPost,foulThrowIn,attObxRight,attPostRight,penaltyWon,attCmissHighLeft,attCmissHighRight,attFreekickPost
11,2561999,2025-11-08 15:00:00,"Hill Dickinson Stadium, Liverpool",52491.0,Away,Fulham,Everton,0,2,L,0.0,1.0,0,0,0.0,36.0,0.0,0.0,2.0,1.0,0.9135,22.0,34.0,3.0,1.0,5.0,3.0,0.0,3.0,111.0,0.0,2.0,9.0,0.0,2.0,6.0,,4.0,127.0,115.0,49.0,8.0,2.0,17.0,4.0,3.0,,14.0,,12.0,0.0,,34.0,3.0,2.0,33.0,1.4565,123.0,0.0,0.0,92.0,14.0,0.0,1.0,,0.0,32.0,40.0,6.0,59.0,,11.0,19.0,3.0,0.0,0.0,2.0,1.0,115.0,,,6.0,0.0,114.0,,602.0,6.0,3.0,19.0,,13.0,317.0,19.0,3.0,21.0,2.0,4.0,,0.326061,18.0,385.0,37.0,,33.73,232892,2.0,217.0,,8.0,,1.0,246.0,6.0,105733.07,0.0,,7.0,50.0,0.0,0.0,1.0,3.0,0.0,11.0,8.0,6.0,1.0,0.0,47.0,338.0,11.0,6.0,19.0,,48.0,0.0,0.0,0.0,0.0,,7.0,1.0,0.0,,2.0,1.0,0.0,2.0,1.0,49.9,15.0,,2.0,,,3.0,3.0,,32.0,5.0,411.0,13.0,5.0,19.0,1.0,23.0,1.0,,179.0,6.0,1.0,12.0,56.0,11.0,21.0,17.0,0.0,2.0,5.0,5.0,19.0,0.3994,5.0,,,,,2.0,1.0,,3.0,,7.0,,,,,,,7.0,1.0,,,1.0,,,,,1.0,,1.0,1.0,,3.0,,3.0,1.0,,,,,1.0,1.0,,,0.1747,,,,,,,,,,,,,,,,,,,,,
12,2562009,2025-11-22 15:00:00,"Craven Cottage, London",27560.0,Home,Fulham,Sunderland,1,0,W,0.0,0.0,0,0,0.0,41.0,0.0,0.0,,4.0,1.2667,22.0,28.0,5.0,7.0,18.0,2.0,0.0,4.0,142.0,1.0,8.0,2.0,1.0,2.0,19.0,1.0,6.0,130.0,125.0,36.0,24.0,1.0,14.0,3.0,2.0,,26.0,,7.0,0.0,2.0,28.0,7.0,7.0,23.0,0.1832,207.0,0.0,0.0,136.0,5.0,0.0,1.0,,0.0,75.0,50.0,9.0,71.0,7.0,19.0,18.0,6.0,0.0,0.0,1.0,3.0,125.0,3.0,,4.0,0.0,142.0,,685.0,17.0,4.0,46.0,,6.0,396.0,15.0,4.0,12.0,3.0,1.0,10.0,1.2368,20.0,463.0,51.0,,32.04,209289,11.0,213.0,3.0,16.0,1.0,1.0,233.0,2.0,113333.53,1.0,3.0,7.0,43.0,0.0,0.0,1.0,5.0,1.0,11.0,,4.0,,0.0,45.0,412.0,11.0,3.0,17.0,3.0,56.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,,0.0,2.0,0.0,7.0,4.0,56.9,20.0,3.0,3.0,2.0,1.0,5.0,5.0,,29.0,7.0,485.0,6.0,9.0,11.0,13.0,32.0,1.0,10.0,278.0,13.0,6.0,12.0,101.0,17.0,12.0,11.0,0.0,0.0,20.0,4.0,14.0,2.1577,7.0,,1.0,2.0,,1.0,2.0,1.0,,,8.0,,1.0,,,1.0,,8.0,,3.0,1.0,2.0,,1.0,,,,1.0,1.0,,1.0,4.0,,4.0,,3.0,,,3.0,,1.0,1.0,,,3.0,,,1.0,,1.0,,,,3.0,,1.0,,,,,,,,,
13,2562023,2025-11-29 20:00:00,"Tottenham Hotspur Stadium, London",60546.0,Away,Fulham,Tottenham Hotspur,2,1,W,2.0,0.0,0,0,0.0,49.0,0.0,1.0,,3.0,1.0794,21.0,47.0,3.0,5.0,3.0,,1.0,1.0,125.0,1.0,1.0,5.0,2.0,1.0,4.0,,3.0,72.0,133.0,61.0,7.0,,24.0,,1.0,1.0,6.0,,16.0,0.0,1.0,47.0,2.0,3.0,26.0,0.4624,75.0,2.0,0.0,53.0,7.0,0.0,,,1.0,44.0,31.0,4.0,55.0,,4.0,16.0,4.0,0.0,0.0,,,133.0,,,10.0,0.0,68.0,,535.0,2.0,6.0,15.0,1.0,9.0,223.0,15.0,4.0,22.0,2.0,7.0,,0.825086,23.0,295.0,32.0,1.0,33.34,218328,2.0,166.0,,3.0,1.0,,191.0,1.0,110646.09,1.0,1.0,10.0,49.0,0.0,1.0,4.0,3.0,2.0,18.0,4.0,5.0,,0.0,59.0,240.0,11.0,7.0,27.0,1.0,63.0,0.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,,1.0,2.0,0.0,,1.0,37.4,14.0,1.0,1.0,,,3.0,3.0,1.0,24.0,2.0,320.0,9.0,9.0,16.0,1.0,10.0,1.0,1.0,135.0,2.0,3.0,17.0,36.0,26.0,22.0,29.0,0.0,1.0,6.0,4.0,10.0,0.4492,2.0,,,,,,1.0,1.0,1.0,,6.0,,,,,1.0,,6.0,2.0,1.0,2.0,1.0,,2.0,,,,1.0,,3.0,,5.0,,5.0,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,
14,2562029,2025-12-02 19:30:00,"Craven Cottage, London",26700.0,Home,Fulham,Manchester City,4,5,L,1.0,3.0,0,0,1.0,49.0,1.0,2.0,,2.0,1.9087,25.0,19.0,3.0,5.0,9.0,,2.0,2.0,164.0,0.0,5.0,8.0,4.0,,7.0,,6.0,179.0,128.0,39.0,12.0,1.0,14.0,2.0,1.0,,21.0,,11.0,0.0,,19.0,7.0,14.0,40.0,2.0065,238.0,1.0,0.0,138.0,9.0,0.0,,,2.0,82.0,78.0,4.0,105.0,,14.0,20.0,3.0,0.0,0.0,3.0,1.0,128.0,1.0,,10.0,2.0,164.0,,800.0,5.0,2.0,23.0,,11.0,522.0,20.0,1.0,6.0,0.0,4.0,3.0,0.872675,18.0,594.0,47.0,,33.57,153682,5.0,305.0,1.0,11.0,,,329.0,2.0,115352.72,1.0,2.0,4.0,47.0,1.0,0.0,4.0,2.0,2.0,15.0,2.0,3.0,2.0,0.0,40.0,538.0,7.0,8.0,4.0,4.0,66.0,1.0,0.0,0.0,0.0,1.0,2.0,,3.0,,5.0,1.0,0.0,4.0,1.0,57.2,17.0,,4.0,1.0,,3.0,3.0,,47.0,7.0,612.0,11.0,12.0,23.0,3.0,28.0,1.0,2.0,304.0,6.0,14.0,6.0,103.0,22.0,6.0,18.0,1.0,4.0,8.0,5.0,12.0,0.911,7.0,,,,,1.0,,,2.0,,10.0,,,1.0,,,,10.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,
15,2562039,2025-12-07 16:30:00,"Craven Cottage, London",27283.0,Home,Fulham,Crystal Palace,1,2,L,1.0,1.0,0,0,0.0,50.0,1.0,0.0,,2.0,1.3462,23.0,23.0,3.0,7.0,9.0,3.0,1.0,1.0,151.0,0.0,7.0,9.0,1.0,3.0,10.0,2.0,4.0,199.0,134.0,44.0,12.0,1.0,7.0,2.0,1.0,1.0,19.0,1.0,7.0,0.0,1.0,23.0,6.0,9.0,34.0,2.0678,252.0,0.0,0.0,141.0,5.0,0.0,2.0,1.0,1.0,92.0,90.0,6.0,90.0,3.0,13.0,13.0,3.0,0.0,0.0,6.0,1.0,134.0,2.0,1.0,9.0,0.0,200.0,1.0,827.0,8.0,5.0,26.0,1.0,8.0,538.0,29.0,1.0,10.0,0.0,5.0,4.0,0.886401,25.0,621.0,69.0,,33.96,560552,6.0,311.0,2.0,6.0,,1.0,332.0,4.0,110602.42,0.0,1.0,7.0,38.0,0.0,0.0,3.0,2.0,1.0,13.0,2.0,7.0,,0.0,51.0,556.0,8.0,6.0,12.0,2.0,78.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,,2.0,2.0,0.0,4.0,1.0,63.1,24.0,1.0,2.0,1.0,,2.0,3.0,,52.0,6.0,640.0,8.0,10.0,16.0,5.0,30.0,3.0,4.0,327.0,4.0,8.0,16.0,99.0,17.0,10.0,12.0,0.0,2.0,9.0,5.0,19.0,0.7566,6.0,2.0,1.0,,,,1.0,,,,2.0,,,3.0,,,,2.0,,,1.0,2.0,,1.0,,,,1.0,,,1.0,4.0,,4.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,
16,2562047,2025-12-13 17:30:00,"Turf Moor, Burnley",19739.0,Away,Fulham,Burnley,3,2,W,2.0,1.0,0,0,0.0,53.0,1.0,1.0,1.0,1.0,3.5915,18.0,38.0,,4.0,6.0,6.0,1.0,,160.0,1.0,4.0,4.0,3.0,1.0,6.0,1.0,4.0,121.0,130.0,52.0,6.0,,14.0,1.0,1.0,,15.0,,12.0,0.0,,38.0,3.0,12.0,30.0,2.702,127.0,0.0,0.0,86.0,8.0,0.0,1.0,,2.0,41.0,46.0,4.0,75.0,1.0,12.0,14.0,,0.0,0.0,4.0,,130.0,2.0,,10.0,0.0,123.0,,657.0,3.0,1.0,15.0,,12.0,378.0,33.0,2.0,17.0,2.0,4.0,2.0,1.45724,19.0,457.0,43.0,1.0,33.57,153682,3.0,270.0,1.0,7.0,,,300.0,2.0,116241.8,1.0,2.0,10.0,40.0,0.0,1.0,,4.0,1.0,10.0,6.0,7.0,1.0,0.0,50.0,393.0,8.0,6.0,21.0,2.0,62.0,0.0,0.0,0.0,0.0,1.0,10.0,5.0,3.0,,2.0,1.0,0.0,3.0,1.0,47.2,10.0,,2.0,,,4.0,1.0,,35.0,4.0,479.0,12.0,9.0,17.0,2.0,20.0,1.0,2.0,194.0,1.0,12.0,18.0,58.0,12.0,17.0,22.0,1.0,2.0,4.0,4.0,8.0,2.2256,4.0,1.0,2.0,,,,1.0,,2.0,,5.0,,,1.0,,,,5.0,1.0,,1.0,,,3.0,2.0,,2.0,,1.0,1.0,3.0,2.0,,2.0,,3.0,,1.0,4.0,,,1.0,,,3.0,,,,,,,2.0,1.0,,,,,,,,,,,,
17,2562059,2025-12-22 20:00:00,"Craven Cottage, London",27136.0,Home,Fulham,Nottingham Forest,1,0,W,1.0,0.0,0,0,0.0,58.0,1.0,0.0,2.0,4.0,0.7469,27.0,29.0,3.0,3.0,8.0,2.0,0.0,,161.0,0.0,4.0,8.0,1.0,1.0,9.0,1.0,1.0,112.0,134.0,55.0,11.0,2.0,17.0,,,,7.0,,13.0,0.0,,29.0,,9.0,28.0,0.0772,148.0,0.0,0.0,101.0,5.0,0.0,,,0.0,58.0,46.0,6.0,101.0,1.0,7.0,11.0,3.0,0.0,0.0,,1.0,134.0,1.0,,6.0,0.0,121.0,,681.0,9.0,6.0,24.0,,10.0,383.0,18.0,6.0,15.0,5.0,4.0,3.0,0.478228,18.0,471.0,38.0,1.0,32.48,169528,7.0,252.0,1.0,7.0,,,289.0,,112825.11,1.0,1.0,9.0,35.0,0.0,0.0,2.0,5.0,0.0,13.0,6.0,5.0,,1.0,65.0,396.0,9.0,3.0,29.0,2.0,70.0,0.0,0.0,0.0,0.0,2.0,5.0,,1.0,,0.0,3.0,0.0,4.0,3.0,49.7,13.0,2.0,1.0,1.0,,5.0,6.0,,37.0,1.0,495.0,10.0,6.0,12.0,4.0,14.0,,3.0,213.0,5.0,8.0,17.0,69.0,27.0,15.0,21.0,0.0,0.0,8.0,5.0,12.0,1.4965,1.0,,1.0,2.0,,,,2.0,1.0,,5.0,,1.0,,,2.0,,5.0,,,,,,,,,1.0,,,2.0,,1.0,,1.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,
18,2562074,2025-12-27 15:00:00,"London Stadium, London",62464.0,Away,Fulham,West Ham United,1,0,W,0.0,0.0,0,0,0.0,36.0,0.0,1.0,1.0,3.0,1.3646,22.0,34.0,6.0,3.0,11.0,2.0,0.0,3.0,156.0,0.0,10.0,7.0,1.0,1.0,13.0,1.0,5.0,137.0,135.0,46.0,17.0,3.0,17.0,2.0,,,24.0,,5.0,0.0,2.0,34.0,3.0,15.0,30.0,0.2014,271.0,0.0,0.0,156.0,8.0,0.0,,1.0,0.0,96.0,72.0,8.0,95.0,2.0,21.0,19.0,6.0,0.0,0.0,8.0,1.0,135.0,1.0,,7.0,0.0,120.0,,737.0,11.0,6.0,35.0,,12.0,418.0,17.0,2.0,12.0,3.0,5.0,5.0,1.44639,24.0,485.0,64.0,,32.51,246301,9.0,178.0,,12.0,1.0,1.0,189.0,6.0,109210.04,0.0,,7.0,61.0,0.0,0.0,2.0,2.0,1.0,15.0,4.0,6.0,1.0,0.0,42.0,439.0,6.0,7.0,11.0,1.0,67.0,0.0,0.0,0.0,0.0,,5.0,1.0,1.0,,0.0,3.0,0.0,9.0,5.0,55.7,18.0,3.0,3.0,,,2.0,6.0,,45.0,4.0,508.0,12.0,16.0,19.0,6.0,30.0,1.0,5.0,343.0,9.0,13.0,17.0,123.0,13.0,12.0,16.0,1.0,0.0,14.0,4.0,20.0,1.6213,4.0,1.0,1.0,1.0,,,1.0,,3.0,,6.0,,,,,,,6.0,,,1.0,3.0,,1.0,,1.0,,1.0,,1.0,1.0,2.0,,2.0,,,,,,,,,,,,,,1.0,,1.0,,,,3.0,,,,,,,,,,,
19,2562079,2026-01-01 17:30:00,"Selhurst Park, London",25111.0,Away,Fulham,Crystal Palace,1,1,D,0.0,1.0,0,0,0.0,49.0,1.0,0.0,,3.0,1.5633,30.0,35.0,5.0,4.0,12.0,1.0,1.0,2.0,152.0,0.0,7.0,5.0,1.0,,11.0,1.0,5.0,186.0,123.0,51.0,17.0,3.0,15.0,3.0,2.0,1.0,19.0,1.0,9.0,0.0,1.0,35.0,2.0,12.0,43.0,1.3725,249.0,1.0,0.0,147.0,10.0,0.0,,2.0,0.0,91.0,71.0,8.0,80.0,2.0,17.0,17.0,5.0,0.0,0.0,3.0,1.0,123.0,1.0,,9.0,1.0,168.0,1.0,779.0,10.0,3.0,31.0,1.0,9.0,480.0,22.0,4.0,18.0,5.0,3.0,3.0,1.21642,17.0,563.0,75.0,,32.59,560552,8.0,260.0,3.0,14.0,1.0,,284.0,6.0,111727.02,0.0,1.0,8.0,46.0,0.0,0.0,1.0,2.0,1.0,10.0,2.0,8.0,2.0,0.0,56.0,502.0,7.0,7.0,15.0,1.0,69.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,,1.0,1.0,0.0,6.0,3.0,60.0,16.0,1.0,1.0,1.0,1.0,2.0,6.0,,43.0,3.0,586.0,9.0,7.0,22.0,6.0,28.0,1.0,5.0,321.0,10.0,12.0,23.0,104.0,24.0,18.0,16.0,0.0,1.0,14.0,4.0,12.0,1.7565,3.0,1.0,,1.0,1.0,,,,,,8.0,,1.0,1.0,,,,8.0,,,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,1.0,,2.0,2.0,,2.0,,1.0,,2.0,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,
20,2562089,2026-01-04 15:15:00,"Craven Cottage, London",27547.0,Home,Fulham,Liverpool,2,2,D,1.0,0.0,0,0,0.0,40.0,0.0,1.0,,2.0,1.2116,14.0,40.0,3.0,4.0,5.0,,1.0,,162.0,0.0,1.0,5.0,2.0,,6.0,1.0,2.0,102.0,116.0,37.0,8.0,1.0,9.0,,,1.0,13.0,,9.0,1.0,,40.0,2.0,6.0,34.0,1.2138,150.0,1.0,0.0,103.0,11.0,0.0,,,0.0,72.0,28.0,5.0,90.0,1.0,11.0,13.0,3.0,0.0,0.0,1.0,,116.0,1.0,1.0,7.0,1.0,108.0,,641.0,4.0,6.0,15.0,1.0,10.0,372.0,16.0,4.0,19.0,1.0,3.0,1.0,0.379962,17.0,441.0,39.0,,33.91,169528,3.0,237.0,,10.0,,,260.0,3.0,114707.91,1.0,,9.0,30.0,0.0,0.0,2.0,5.0,1.0,18.0,3.0,6.0,,0.0,46.0,386.0,4.0,4.0,25.0,1.0,54.0,0.0,0.0,0.0,0.0,,8.0,,1.0,1.0,2.0,1.0,0.0,1.0,1.0,41.9,16.0,,,2.0,,5.0,3.0,,23.0,3.0,462.0,10.0,3.0,18.0,3.0,21.0,,2.0,215.0,3.0,5.0,13.0,69.0,18.0,19.0,15.0,0.0,2.0,4.0,5.0,9.0,0.7382,3.0,,1.0,1.0,1.0,,,1.0,1.0,,8.0,,,2.0,,1.0,,8.0,1.0,,1.0,,,2.0,,,,,,,1.0,4.0,,4.0,,2.0,2.0,,2.0,,,,2.0,,2.0,,,,,1.0,2.0,1.0,,,2.0,,,1.0,,,,,,,
21,2562101,2026-01-07 19:30:00,"Craven Cottage, London",26990.0,Home,Fulham,Chelsea,2,1,W,0.0,0.0,0,1,0.0,40.0,1.0,1.0,1.0,5.0,1.7623,24.0,28.0,7.0,6.0,9.0,4.0,0.0,2.0,157.0,0.0,4.0,12.0,2.0,1.0,11.0,,5.0,162.0,112.0,52.0,16.0,3.0,10.0,1.0,2.0,,19.0,,10.0,0.0,2.0,28.0,,10.0,27.0,1.9258,272.0,0.0,0.0,195.0,11.0,0.0,,1.0,0.0,69.0,57.0,8.0,88.0,,19.0,16.0,7.0,0.0,0.0,5.0,2.0,112.0,1.0,1.0,11.0,0.0,165.0,,751.0,10.0,1.0,34.0,1.0,9.0,486.0,14.0,1.0,18.0,3.0,4.0,3.0,1.31218,15.0,553.0,55.0,,32.04,153682,3.0,235.0,,14.0,2.0,1.0,256.0,7.0,112870.59,1.0,3.0,8.0,41.0,0.0,0.0,1.0,2.0,2.0,12.0,3.0,6.0,1.0,0.0,40.0,503.0,5.0,7.0,9.0,1.0,50.0,0.0,0.0,0.0,0.0,2.0,11.0,4.0,2.0,,1.0,,0.0,4.0,3.0,55.0,15.0,1.0,5.0,2.0,,2.0,8.0,1.0,34.0,2.0,572.0,9.0,3.0,17.0,3.0,30.0,,1.0,335.0,7.0,8.0,19.0,159.0,18.0,18.0,16.0,1.0,1.0,13.0,5.0,22.0,1.1962,2.0,1.0,1.0,2.0,,,,,,,7.0,1.0,1.0,,,,,7.0,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,2.0,,2.0,1.0,1.0,,,1.0,1.0,,,,0.1266,1.0,,2.0,,,2.0,,,,,,,,,,,,,,,
22,2562108,2026-01-17 15:00:00,"Elland Road, Leeds",36300.0,Away,Fulham,Leeds United,0,1,L,0.0,0.0,0,0,0.0,40.0,0.0,0.0,2.0,1.0,0.0899,22.0,31.0,3.0,4.0,5.0,4.0,0.0,,156.0,0.0,1.0,3.0,0.0,1.0,5.0,,1.0,120.0,122.0,52.0,8.0,1.0,22.0,1.0,,,8.0,,7.0,0.0,,31.0,3.0,9.0,30.0,1.119,117.0,0.0,0.0,76.0,11.0,0.0,2.0,,0.0,44.0,37.0,1.0,71.0,,5.0,11.0,3.0,0.0,0.0,2.0,2.0,122.0,,,10.0,0.0,130.0,,645.0,4.0,7.0,7.0,,10.0,364.0,15.0,8.0,16.0,5.0,1.0,4.0,0.420435,16.0,450.0,48.0,1.0,33.35,169528,3.0,272.0,,2.0,,,300.0,5.0,112651.4,0.0,,13.0,46.0,0.0,0.0,3.0,9.0,0.0,9.0,4.0,10.0,,0.0,54.0,388.0,6.0,4.0,28.0,3.0,81.0,0.0,0.0,0.0,0.0,,7.0,2.0,0.0,,1.0,,0.0,,2.0,53.7,13.0,1.0,2.0,,1.0,10.0,2.0,,51.0,3.0,477.0,10.0,5.0,17.0,5.0,16.0,1.0,3.0,185.0,2.0,7.0,27.0,38.0,11.0,16.0,16.0,0.0,1.0,5.0,5.0,8.0,0.3873,3.0,,,3.0,,,1.0,3.0,,,3.0,,,1.0,,4.0,,3.0,,,,,,,1.0,,1.0,1.0,,,,5.0,,5.0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
23,2562121,2026-01-24 15:00:00,"Craven Cottage, London",27239.0,Home,Fulham,Brighton and Hove Albion,2,1,W,0.0,1.0,0,0,0.0,43.0,0.0,0.0,,2.0,1.0612,26.0,41.0,7.0,6.0,5.0,3.0,2.0,1.0,161.0,1.0,2.0,4.0,2.0,1.0,9.0,,4.0,122.0,135.0,33.0,12.0,1.0,13.0,1.0,,,18.0,,8.0,0.0,1.0,41.0,6.0,11.0,32.0,0.5131,162.0,1.0,0.0,100.0,10.0,0.0,1.0,,1.0,69.0,40.0,5.0,90.0,,12.0,26.0,7.0,0.0,0.0,2.0,4.0,135.0,2.0,,10.0,1.0,129.0,,701.0,7.0,3.0,19.0,,7.0,399.0,14.0,8.0,20.0,1.0,4.0,4.0,0.35906,24.0,480.0,46.0,1.0,33.87,560552,3.0,257.0,1.0,10.0,,,289.0,3.0,113723.63,0.0,1.0,11.0,45.0,0.0,0.0,1.0,4.0,1.0,15.0,3.0,9.0,2.0,0.0,56.0,417.0,6.0,7.0,22.0,1.0,69.0,1.0,0.0,1.0,0.0,,6.0,4.0,1.0,,1.0,2.0,0.0,1.0,1.0,49.1,23.0,1.0,3.0,,,5.0,3.0,1.0,40.0,6.0,502.0,7.0,9.0,14.0,5.0,27.0,1.0,1.0,231.0,5.0,10.0,12.0,70.0,18.0,20.0,11.0,0.0,1.0,10.0,4.0,11.0,1.0494,6.0,1.0,1.0,2.0,3.0,,,1.0,1.0,,10.0,,1.0,4.0,,1.0,,10.0,1.0,,1.0,,,1.0,,,1.0,1.0,2.0,,1.0,3.0,,3.0,1.0,,,,,1.0,,1.0,,0.0331,,,,,,,,,,,,,,,,,,,,,
24,2562130,2026-02-01 14:00:00,"Old Trafford, Manchester",73932.0,Away,Fulham,Manchester United,2,3,L,0.0,1.0,0,0,0.0,43.0,0.0,0.0,,3.0,3.3478,11.0,10.0,6.0,3.0,8.0,3.0,0.0,3.0,144.0,0.0,8.0,6.0,2.0,3.0,9.0,,6.0,153.0,121.0,39.0,14.0,2.0,14.0,2.0,,,28.0,,12.0,1.0,2.0,10.0,6.0,7.0,27.0,2.4425,259.0,1.0,0.0,167.0,9.0,0.0,2.0,1.0,0.0,76.0,72.0,7.0,88.0,,22.0,21.0,6.0,0.0,0.0,11.0,1.0,121.0,1.0,1.0,12.0,1.0,191.0,,758.0,6.0,1.0,26.0,,13.0,504.0,20.0,2.0,4.0,1.0,3.0,2.0,1.41529,23.0,562.0,53.0,,32.84,169528,6.0,266.0,1.0,11.0,2.0,1.0,278.0,4.0,114036.0,2.0,1.0,5.0,50.0,0.0,0.0,2.0,4.0,1.0,13.0,1.0,5.0,,1.0,33.0,517.0,6.0,5.0,14.0,3.0,51.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,,3.0,1.0,0.0,6.0,2.0,57.9,19.0,1.0,3.0,1.0,,4.0,5.0,,34.0,7.0,576.0,13.0,10.0,15.0,3.0,37.0,2.0,2.0,326.0,9.0,7.0,10.0,132.0,15.0,4.0,17.0,0.0,3.0,7.0,4.0,18.0,1.9421,7.0,1.0,1.0,1.0,,3.0,,,,1.0,9.0,,,2.0,,,,9.0,,,1.0,,,1.0,2.0,,3.0,2.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,,1.0,2.0,,,1.0,0.1198,1.0,,,,1.0,1.0,,,,2.0,,,,,,,,1.0,,,
