gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,attFreekickGoal,goalsConcededObox,redCard,attIboxGoal,goalsConceded,attOboxGoal,yellowCard,attGoalLowLeft,attGoalLowRight,totalRedCard,winningGoal,midfielderGoals,fastestPlayer,attLfGoal,attGoalLowCentre,attRfGoal,goals,attGoalHighCentre,keeperGoals,ownGoals,defenderGoals,goalsOpenplay,subsGoals,attPenGoal,attHdGoal,goalsConcededIbox,attGoalHighLeft,attGoalHighRight,attObpGoal,totalYelCard,handBall,ballRecovery,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attRfTarget,fwdPass,accurateCross,wonContest,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attSvLowCentre,attMissLeft,totalCross,wonTackle,attOboxTarget,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,totalFinalThirdPasses,fkFoulLost,freekickCross,passesLeft,passesRight,ontargetAttAssist,backwardPass,attMissRight,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,contentiousDecision,attemptsConcededIbox,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,blockedPass,goalKicks,duelLost,totalThroughBall,accurateKeeperThrows,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,longPassOwnToOpp,attSvLowRight,lostCorners,savedIbox,accurateFlickOn,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attSvHighCentre,keeperThrows,blockedScoringAtt,clearanceOffLine,longPassOwnToOppSuccess,cornerTaken,totalPass,interceptionWon,dispossessed,accurateChippedPass,attLgLeft,shotOffTarget,penAreaEntries,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,forwardGoals,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,bigChanceScored,postScoringAtt,goalAssistOpenplay,attIboxPost,attSvLowLeft,goodHighClaim,interceptionsInBox,attHdPost,attHdTarget,hitWoodwork,goalAssist,totalOffside,attMissHigh,attCorner,goalAssistIntentional,attBxLeft,totalHighClaim,attPostRight,accurateCornersIntobox,ptsDroppedWinningPos,attLfTarget,savedObox,goalAssistSetplay,shotFastbreak,attOneOnOne,penaltyWon,divingSave,totalFastbreak,accurateThroughBall,attFastbreak,attCmissLeft,shieldBallOop,foulThrowIn,attBxRight,accurateKeeperSweeper,attSvHighRight,totalKeeperSweeper,sixYardBlock,totalPullBack,attMissHighRight,attMissHighLeft,attCmissHigh,punches,attPostHigh,accuratePullBack,overrun,attOboxPost,errorLeadToGoal,attPostLeft,penaltyConceded,penaltyFaced,penGoalsConceded,ptsGainedLosingPos,attSvHighLeft,attObxRight,attCmissHighLeft,goalAssistDeadball,attObxdLeft,attFreekickMiss,secondYellow,attCmissHighRight,attIboxOwnGoal,penaltySave,attFreekickTarget
11,2561998,2025-11-09 14:00:00,"Selhurst Park, London",24326.0,Home,Crystal Palace,Brighton and Hove Albion,0,0,D,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,1.0,0.923,17.0,32.0,2.0,3.0,8.0,3.0,2.0,151.0,6.0,5.0,1.0,8.0,,2.0,94.0,148.0,58.0,,10.0,,20.0,1.0,,3.0,11.0,14.0,1.0,32.0,4.0,8.0,23.0,0.3041,113.0,1.0,90.0,10.0,1.0,44.0,23.0,3.0,49.0,2.0,7.0,16.0,2.0,,3.0,1.0,148.0,,,5.0,79.0,570.0,,7.0,6.0,30.0,14.0,260.0,15.0,9.0,15.0,3.0,5.0,0.800268,23.0,352.0,,47.0,1.0,,34.89,437499,5.0,165.0,,3.0,1.0,194.0,4.0,107625.82,5.0,7.0,49.0,,3.0,18.0,2.0,2.0,57.0,272.0,11.0,4.0,1.0,34.0,67.0,1.0,8.0,2.0,1.0,5.0,1.0,42.2,18.0,1.0,5.0,,3.0,1.0,,36.0,4.0,373.0,14.0,10.0,12.0,,7.0,29.0,6.0,190.0,6.0,8.0,21.0,45.0,19.0,,2.0,15.0,21.0,6.0,2.0,11.0,0.7475,2.0,5.0,4.0,,,,,1.0,,1.0,,,,,2.0,1.0,2.0,,2.0,,,1.0,,,1.0,,1.0,,,2.0,1.0,,1.0,2.0,,,1.0,1.0,,1.0,,2.0,1.0,,,4.0,,,1.0,,,,1.0,,,,,,,,,,,,,,
12,2562014,2025-11-22 15:00:00,"Molineux Stadium, Wolverhampton",29976.0,Away,Crystal Palace,Wolverhampton Wanderers,2,0,W,0.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,50.0,2.0,1.4004,24.0,30.0,4.0,3.0,6.0,1.0,2.0,138.0,,7.0,4.0,9.0,2.0,4.0,134.0,142.0,52.0,,10.0,1.0,12.0,1.0,,,23.0,11.0,1.0,30.0,3.0,8.0,28.0,0.0794,178.0,1.0,131.0,9.0,4.0,58.0,51.0,6.0,60.0,2.0,20.0,20.0,4.0,,7.0,1.0,142.0,2.0,,5.0,105.0,649.0,,6.0,2.0,23.0,10.0,347.0,19.0,6.0,15.0,2.0,3.0,0.813687,16.0,418.0,,53.0,,1.0,31.94,231747,6.0,186.0,1.0,9.0,1.0,208.0,6.0,110451.67,11.0,6.0,48.0,4.0,4.0,17.0,3.0,4.0,50.0,364.0,13.0,7.0,1.0,21.0,49.0,1.0,1.0,,1.0,,,52.1,11.0,,5.0,,4.0,3.0,,33.0,4.0,437.0,10.0,11.0,13.0,,3.0,40.0,2.0,252.0,7.0,6.0,13.0,91.0,19.0,1.0,1.0,15.0,19.0,7.0,5.0,17.0,1.2749,1.0,11.0,4.0,1.0,,2.0,,,,3.0,,,,2.0,3.0,1.0,2.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,2.0,,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,
13,2562018,2025-11-30 12:00:00,"Selhurst Park, London",25189.0,Home,Crystal Palace,Manchester United,1,2,L,1.0,0.0,0,0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,47.0,3.0,1.0652,16.0,44.0,3.0,2.0,11.0,4.0,2.0,134.0,4.0,2.0,4.0,8.0,1.0,3.0,77.0,149.0,53.0,1.0,14.0,2.0,27.0,2.0,1.0,3.0,17.0,9.0,,44.0,4.0,6.0,16.0,1.3007,121.0,,109.0,14.0,2.0,27.0,34.0,3.0,43.0,1.0,13.0,11.0,3.0,1.0,7.0,1.0,149.0,,1.0,8.0,85.0,538.0,,7.0,7.0,26.0,7.0,232.0,19.0,4.0,22.0,,5.0,0.497311,14.0,314.0,0.0589,62.0,1.0,,31.57,244723,10.0,127.0,2.0,4.0,,150.0,10.0,110044.53,5.0,7.0,61.0,,5.0,19.0,6.0,2.0,61.0,244.0,14.0,5.0,1.0,31.0,64.0,1.0,4.0,3.0,2.0,2.0,3.0,43.9,12.0,3.0,1.0,,5.0,5.0,,28.0,4.0,339.0,7.0,10.0,8.0,,6.0,26.0,5.0,206.0,9.0,5.0,23.0,61.0,16.0,1.0,,22.0,14.0,8.0,5.0,8.0,1.8291,,5.0,4.0,1.0,,,,,,1.0,,,,,3.0,,2.0,,1.0,,,2.0,3.0,1.0,1.0,,2.0,,1.0,3.0,2.0,,2.0,2.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,4.0,,,1.0,,,,,,,,,,1.0,,,,,,,,
14,2562028,2025-12-03 19:30:00,"Turf Moor, Burnley",19365.0,Away,Crystal Palace,Burnley,1,0,W,1.0,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,55.0,,1.2797,22.0,42.0,,,3.0,3.0,2.0,163.0,5.0,1.0,1.0,3.0,,3.0,90.0,146.0,55.0,,3.0,,19.0,2.0,1.0,1.0,11.0,13.0,,42.0,3.0,9.0,21.0,0.4603,133.0,1.0,90.0,8.0,1.0,62.0,25.0,3.0,67.0,,8.0,18.0,,,5.0,,146.0,2.0,,8.0,97.0,610.0,,2.0,7.0,22.0,11.0,299.0,26.0,6.0,22.0,6.0,1.0,1.35414,20.0,402.0,,49.0,,1.0,34.38,437499,1.0,181.0,1.0,2.0,,206.0,6.0,118572.95,11.0,5.0,43.0,,4.0,8.0,3.0,3.0,52.0,309.0,9.0,3.0,1.0,26.0,68.0,1.0,3.0,4.0,1.0,3.0,1.0,42.4,13.0,,2.0,,4.0,,1.0,32.0,3.0,417.0,11.0,9.0,9.0,,1.0,23.0,1.0,222.0,2.0,7.0,28.0,40.0,22.0,,1.0,22.0,17.0,3.0,4.0,5.0,0.591,1.0,11.0,4.0,1.0,,1.0,,,1.0,2.0,,,,1.0,3.0,,,1.0,,1.0,,2.0,,,,,1.0,,,2.0,1.0,,1.0,,,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
15,2562039,2025-12-07 16:30:00,"Craven Cottage, London",27283.0,Away,Crystal Palace,Fulham,2,1,W,1.0,1.0,0,0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,47.0,3.0,2.0678,21.0,28.0,2.0,4.0,9.0,3.0,2.0,121.0,3.0,6.0,1.0,9.0,,5.0,96.0,120.0,38.0,,11.0,2.0,16.0,3.0,2.0,,13.0,14.0,,28.0,4.0,5.0,18.0,1.3462,131.0,,89.0,8.0,1.0,37.0,42.0,8.0,53.0,1.0,10.0,14.0,2.0,,4.0,,120.0,4.0,,9.0,97.0,558.0,,6.0,2.0,18.0,9.0,293.0,17.0,1.0,13.0,3.0,1.0,0.861943,14.0,349.0,,50.0,,,33.14,205533,6.0,175.0,2.0,5.0,,187.0,4.0,112529.09,9.0,9.0,44.0,2.0,7.0,24.0,3.0,4.0,48.0,303.0,5.0,9.0,1.0,17.0,65.0,,6.0,2.0,1.0,2.0,1.0,36.9,8.0,,1.0,,7.0,5.0,,35.0,4.0,367.0,9.0,2.0,12.0,,1.0,26.0,1.0,193.0,6.0,4.0,7.0,65.0,21.0,1.0,2.0,13.0,20.0,9.0,4.0,16.0,1.6521,2.0,9.0,4.0,2.0,,1.0,,1.0,,1.0,,,,2.0,2.0,,2.0,2.0,1.0,,,2.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,1.0,,,,,,,
16,2562049,2025-12-14 14:00:00,"Selhurst Park, London",25166.0,Home,Crystal Palace,Manchester City,0,3,L,0.0,1.0,0,0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,50.0,5.0,1.0656,21.0,20.0,4.0,5.0,12.0,3.0,2.0,129.0,2.0,4.0,1.0,6.0,1.0,4.0,101.0,137.0,45.0,,16.0,1.0,16.0,3.0,1.0,1.0,14.0,17.0,1.0,20.0,2.0,3.0,36.0,1.7553,114.0,,87.0,9.0,,32.0,28.0,4.0,55.0,1.0,12.0,22.0,4.0,,4.0,1.0,137.0,1.0,,5.0,90.0,554.0,,6.0,3.0,33.0,6.0,270.0,21.0,6.0,13.0,1.0,2.0,0.900602,19.0,358.0,,40.0,,1.0,34.88,231747,8.0,172.0,1.0,8.0,1.0,201.0,6.0,111195.8,12.0,5.0,53.0,4.0,4.0,11.0,2.0,4.0,56.0,284.0,6.0,14.0,,27.0,49.0,1.0,2.0,2.0,1.0,2.0,1.0,39.1,15.0,,9.0,,4.0,6.0,,25.0,2.0,375.0,6.0,11.0,18.0,,6.0,30.0,3.0,188.0,10.0,2.0,13.0,48.0,15.0,,,13.0,23.0,14.0,3.0,7.0,1.8827,,12.0,2.0,,2.0,,1.0,1.0,,,,1.0,2.0,,3.0,2.0,,,2.0,,1.0,,,1.0,1.0,,4.0,,,1.0,4.0,3.0,4.0,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,
17,2562060,2025-12-20 20:00:00,"Elland Road, Leeds",36334.0,Away,Crystal Palace,Leeds United,1,4,L,0.0,2.0,0,0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,,41.0,1.0,0.8976,14.0,58.0,4.0,3.0,5.0,2.0,1.0,135.0,2.0,5.0,1.0,6.0,,3.0,85.0,134.0,55.0,,9.0,2.0,27.0,1.0,1.0,1.0,16.0,13.0,1.0,58.0,5.0,6.0,19.0,3.1661,126.0,,89.0,10.0,,41.0,40.0,4.0,53.0,,12.0,10.0,4.0,,3.0,1.0,134.0,1.0,,14.0,89.0,577.0,,5.0,3.0,19.0,6.0,271.0,18.0,6.0,34.0,7.0,2.0,0.852391,8.0,341.0,,40.0,,,33.15,437499,3.0,160.0,1.0,9.0,,187.0,9.0,112277.45,4.0,8.0,58.0,1.0,3.0,22.0,6.0,3.0,45.0,284.0,5.0,6.0,1.0,25.0,48.0,,9.0,4.0,2.0,2.0,2.0,47.2,6.0,1.0,1.0,1.0,3.0,3.0,2.0,23.0,5.0,362.0,6.0,10.0,5.0,,3.0,25.0,1.0,191.0,4.0,4.0,23.0,61.0,19.0,,2.0,34.0,22.0,7.0,5.0,10.0,1.565,2.0,4.0,5.0,1.0,1.0,,1.0,,,,1.0,,1.0,,3.0,,1.0,,1.0,,1.0,1.0,,1.0,,,3.0,,1.0,2.0,3.0,1.0,3.0,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
18,2562069,2025-12-28 16:30:00,"Selhurst Park, London",25186.0,Home,Crystal Palace,Tottenham Hotspur,0,1,L,0.0,1.0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,68.0,1.0,0.1129,26.0,23.0,6.0,6.0,9.0,3.0,,205.0,4.0,7.0,2.0,14.0,1.0,2.0,121.0,185.0,48.0,,15.0,4.0,31.0,2.0,1.0,1.0,27.0,11.0,,23.0,3.0,7.0,27.0,1.0278,236.0,,182.0,7.0,1.0,75.0,94.0,6.0,74.0,1.0,24.0,25.0,6.0,,12.0,2.0,185.0,2.0,,5.0,144.0,763.0,,13.0,14.0,35.0,7.0,423.0,22.0,7.0,12.0,,8.0,1.70696,21.0,530.0,,78.0,,1.0,33.3,437499,2.0,199.0,2.0,11.0,1.0,221.0,3.0,112956.24,13.0,5.0,65.0,1.0,6.0,22.0,3.0,3.0,60.0,431.0,5.0,8.0,1.0,29.0,90.0,,2.0,2.0,4.0,3.0,4.0,61.9,16.0,3.0,7.0,,6.0,5.0,,56.0,3.0,544.0,7.0,9.0,15.0,,8.0,44.0,6.0,350.0,5.0,7.0,20.0,122.0,33.0,,1.0,12.0,16.0,11.0,3.0,18.0,1.4706,1.0,13.0,3.0,,,,,1.0,1.0,,,1.0,,,1.0,5.0,2.0,,1.0,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,1.0,,3.0,,,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,
19,2562079,2026-01-01 17:30:00,"Selhurst Park, London",25111.0,Home,Crystal Palace,Fulham,1,1,D,1.0,0.0,0,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,43.0,2.0,1.3725,22.0,29.0,2.0,3.0,9.0,4.0,,134.0,1.0,7.0,1.0,7.0,3.0,2.0,98.0,131.0,46.0,,11.0,2.0,23.0,1.0,1.0,,12.0,9.0,,29.0,6.0,4.0,31.0,1.5633,138.0,,115.0,7.0,1.0,34.0,38.0,3.0,56.0,4.0,6.0,18.0,2.0,,3.0,,131.0,1.0,,12.0,100.0,569.0,,6.0,5.0,37.0,9.0,283.0,17.0,5.0,17.0,6.0,4.0,0.80854,15.0,365.0,,54.0,,1.0,32.42,209036,5.0,162.0,2.0,2.0,,181.0,4.0,116466.86,9.0,9.0,51.0,,4.0,5.0,5.0,6.0,57.0,299.0,10.0,5.0,,21.0,62.0,,3.0,3.0,1.0,1.0,2.0,40.0,10.0,,2.0,,4.0,4.0,,28.0,6.0,388.0,9.0,5.0,9.0,,5.0,29.0,5.0,219.0,6.0,3.0,15.0,68.0,16.0,1.0,1.0,17.0,14.0,9.0,4.0,18.0,1.9324,1.0,9.0,6.0,1.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,,,,2.0,1.0,1.0,,3.0,,,1.0,3.0,,3.0,,2.0,,,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2562092,2026-01-04 15:00:00,"St. James' Park, Newcastle",51979.0,Away,Crystal Palace,Newcastle United,0,2,L,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,53.0,4.0,0.0405,11.0,45.0,2.0,3.0,9.0,5.0,1.0,127.0,2.0,8.0,,7.0,,1.0,86.0,158.0,57.0,,11.0,1.0,20.0,1.0,1.0,1.0,15.0,11.0,,45.0,6.0,6.0,16.0,2.6492,147.0,,127.0,12.0,,45.0,45.0,3.0,50.0,2.0,9.0,28.0,2.0,,2.0,1.0,158.0,1.0,,11.0,81.0,570.0,,5.0,7.0,26.0,11.0,225.0,18.0,3.0,20.0,2.0,4.0,1.13317,17.0,324.0,,43.0,,,35.39,437499,5.0,94.0,1.0,7.0,,120.0,9.0,111750.21,14.0,4.0,62.0,4.0,2.0,14.0,1.0,4.0,44.0,239.0,4.0,15.0,2.0,29.0,50.0,,8.0,4.0,2.0,,2.0,40.6,11.0,2.0,6.0,,2.0,5.0,,22.0,6.0,344.0,11.0,12.0,10.0,,5.0,31.0,4.0,239.0,6.0,5.0,17.0,74.0,23.0,,4.0,20.0,28.0,8.0,6.0,12.0,0.7016,4.0,14.0,6.0,,,,,,,3.0,,,,,2.0,1.0,2.0,,1.0,,,2.0,,,1.0,,3.0,,,2.0,3.0,3.0,3.0,,2.0,,2.0,2.0,,2.0,,,,1.0,,3.0,,,2.0,,,,,,,,,,,,,,,,,,
21,2562099,2026-01-07 19:30:00,"Selhurst Park, London",24841.0,Home,Crystal Palace,Aston Villa,0,0,D,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,40.0,3.0,1.585,12.0,31.0,2.0,4.0,9.0,4.0,2.0,128.0,3.0,2.0,1.0,7.0,,5.0,82.0,111.0,36.0,,11.0,1.0,10.0,5.0,2.0,1.0,11.0,6.0,,31.0,3.0,7.0,24.0,0.758,151.0,1.0,95.0,8.0,,40.0,62.0,5.0,60.0,1.0,8.0,17.0,2.0,,5.0,1.0,111.0,1.0,,11.0,99.0,546.0,,7.0,3.0,21.0,4.0,288.0,16.0,2.0,14.0,5.0,2.0,0.93503,17.0,353.0,,46.0,,,34.76,242898,4.0,149.0,3.0,3.0,,166.0,7.0,109217.25,10.0,11.0,38.0,2.0,6.0,12.0,4.0,5.0,44.0,297.0,3.0,7.0,,12.0,56.0,,5.0,2.0,1.0,3.0,1.0,40.9,14.0,,2.0,1.0,6.0,4.0,,31.0,3.0,369.0,4.0,9.0,7.0,,2.0,27.0,1.0,214.0,6.0,6.0,11.0,60.0,14.0,,3.0,14.0,20.0,11.0,1.0,7.0,1.5006,3.0,10.0,3.0,,,,,,,1.0,,1.0,,,2.0,,,,2.0,,,,,2.0,1.0,,,,,1.0,,2.0,,1.0,1.0,,1.0,,1.0,,1.0,2.0,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,
22,2562112,2026-01-17 15:00:00,"Stadium of Light, Sunderland",47257.0,Away,Crystal Palace,Sunderland,1,2,L,1.0,1.0,0,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,42.0,2.0,1.0447,15.0,36.0,,2.0,5.0,5.0,1.0,140.0,2.0,3.0,2.0,4.0,1.0,2.0,68.0,133.0,47.0,1.0,6.0,,27.0,1.0,1.0,,15.0,7.0,1.0,36.0,4.0,4.0,21.0,2.6411,131.0,,95.0,15.0,,40.0,40.0,3.0,49.0,1.0,11.0,20.0,1.0,1.0,3.0,1.0,133.0,2.0,,10.0,82.0,511.0,,3.0,11.0,16.0,9.0,241.0,16.0,3.0,21.0,1.0,1.0,0.987177,12.0,317.0,0.0289,62.0,,1.0,32.17,231747,3.0,126.0,2.0,8.0,1.0,151.0,7.0,109315.69,13.0,12.0,59.0,2.0,1.0,14.0,3.0,7.0,50.0,255.0,8.0,6.0,1.0,22.0,52.0,,3.0,5.0,3.0,1.0,2.0,42.7,9.0,1.0,3.0,,2.0,2.0,,22.0,4.0,339.0,9.0,11.0,10.0,,2.0,26.0,1.0,203.0,2.0,4.0,24.0,55.0,20.0,1.0,2.0,21.0,12.0,2.0,,7.0,0.6107,2.0,13.0,4.0,,,,,,,3.0,,,,,2.0,1.0,2.0,,,,,1.0,3.0,1.0,,,,,,2.0,,1.0,,,,,,2.0,,2.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,
23,2562119,2026-01-25 14:00:00,"Selhurst Park, London",25163.0,Home,Crystal Palace,Chelsea,1,3,L,0.0,1.0,1,0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,1.0,45.0,3.0,1.9039,19.0,23.0,1.0,1.0,12.0,2.0,3.0,161.0,3.0,8.0,,8.0,,7.0,108.0,145.0,63.0,1.0,13.0,1.0,15.0,6.0,3.0,1.0,20.0,9.0,,23.0,4.0,11.0,26.0,1.693,129.0,,125.0,11.0,,28.0,65.0,7.0,60.0,1.0,16.0,16.0,1.0,1.0,6.0,1.0,145.0,4.0,,8.0,111.0,628.0,1.0,4.0,6.0,27.0,10.0,324.0,16.0,5.0,14.0,1.0,1.0,0.844337,17.0,421.0,0.0542,52.0,,,34.49,437499,5.0,216.0,5.0,10.0,1.0,235.0,5.0,110576.21,9.0,4.0,46.0,5.0,4.0,9.0,2.0,4.0,60.0,342.0,9.0,6.0,3.0,30.0,58.0,1.0,5.0,2.0,1.0,1.0,5.0,43.2,13.0,1.0,5.0,1.0,4.0,3.0,1.0,21.0,4.0,440.0,10.0,10.0,10.0,,3.0,33.0,2.0,225.0,6.0,10.0,29.0,70.0,18.0,,,14.0,17.0,4.0,5.0,13.0,1.7713,,9.0,4.0,1.0,,1.0,,1.0,,1.0,,2.0,,1.0,2.0,1.0,5.0,,,,,2.0,,,1.0,,,1.0,,1.0,,2.0,,1.0,2.0,,3.0,,,,2.0,,,,,1.0,,,,,1.0,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,
24,2562131,2026-02-01 14:00:00,"The City Ground, Nottingham",30334.0,Away,Crystal Palace,Nottingham Forest,1,1,D,1.0,1.0,0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,,49.0,2.0,0.8169,27.0,24.0,5.0,4.0,9.0,,1.0,148.0,6.0,,2.0,12.0,,3.0,176.0,131.0,37.0,,14.0,1.0,20.0,1.0,1.0,5.0,24.0,10.0,1.0,24.0,5.0,7.0,26.0,0.8797,290.0,,195.0,12.0,1.0,74.0,84.0,4.0,75.0,,19.0,25.0,5.0,,4.0,3.0,131.0,1.0,,6.0,176.0,740.0,,11.0,3.0,28.0,6.0,475.0,14.0,5.0,12.0,3.0,8.0,0.977706,16.0,561.0,,73.0,,,33.27,242898,7.0,205.0,1.0,14.0,,221.0,7.0,113108.48,7.0,6.0,63.0,,6.0,9.0,3.0,6.0,53.0,489.0,3.0,15.0,1.0,21.0,67.0,1.0,5.0,,1.0,4.0,4.0,67.2,14.0,3.0,1.0,,6.0,3.0,,44.0,7.0,575.0,6.0,10.0,13.0,,8.0,35.0,5.0,378.0,6.0,7.0,20.0,149.0,26.0,1.0,1.0,12.0,14.0,9.0,1.0,6.0,1.8992,1.0,7.0,7.0,1.0,,,,,2.0,1.0,,1.0,,,,3.0,3.0,,,2.0,,2.0,,,,,2.0,,1.0,,2.0,,2.0,,2.0,,1.0,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,
