gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,bigChanceScored,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,goalAssistSetplay,goalAssistDeadball,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,goalAssistOpenplay,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,cleanSheet,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,bigChanceCreated,attemptsConcededIbox,subsGoals,leftsidePass,touches,attLgCentre,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,goalAssist,totalKeeperSweeper,totalYelCard,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateFreekickCross,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,totalPullBack,blockedPass,goalKicks,duelLost,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attCmissLeft,attFreekickGoal,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,accurateCrossNocorner,goalAssistIntentional,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,attFreekickMiss,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,successfulPutThrough,wonCorners,shotFastbreak,attBxRight,attOboxTarget,attOneOnOne,penaltyWon,divingSave,totalFastbreak,attMissHighLeft,outfielderBlock,attCmissHigh,totalThroughBall,attMissHigh,attFastbreak,accurateFlickOn,attSvHighCentre,ptsDroppedWinningPos,attLfTarget,savedObox,accuratePullBack,attCmissRight,attPenTarget,postScoringAtt,attIboxPost,attMissRight,hitWoodwork,sixYardBlock,attSvLowRight,attPostHigh,effectiveBlockedCross,blockedCross,handBall,ptsGainedLosingPos,accurateThroughBall,errorLeadToShot,penaltyConceded,punches,penaltyFaced,penGoalsConceded,attLgLeft,attIboxOwnGoal,attMissHighRight,attObxdLeft,attFreekickTarget,attObxRight,errorLeadToGoal,attCmissHighRight,forwardGoals,attSvHighRight,contentiousDecision,penaltySave,attCmissHighLeft,attPostLeft,attPenPost,attFreekickPost,attOboxPost,clearanceOffLine,attObxLeft,goalFastbreak,attObxdRight,foulThrowIn
11,2561998,2025-11-09 14:00:00,"Selhurst Park, London",24326.0,Away,Brighton and Hove Albion,Crystal Palace,0,0,D,0.0,0.0,0,0,0.0,,50.0,0.0,0.0,2.0,,,0.3041,25.0,22.0,2.0,3.0,5.0,2.0,0.0,2.0,136.0,0.0,4.0,4.0,0.0,1.0,6.0,3.0,152.0,155.0,49.0,,7.0,1.0,21.0,2.0,,,1.0,,26.0,11.0,0.0,22.0,8.0,7.0,33.0,0.923,163.0,1.0,0.0,0.0,114.0,12.0,0.0,,0.0,1.0,,2.0,35.0,66.0,5.0,63.0,1.0,18.0,17.0,2.0,,0.0,0.0,11.0,,155.0,,8.0,0.0,152.0,697.0,1.0,6.0,2.0,28.0,1.0,4.0,404.0,18.0,5.0,14.0,,,4.0,1.0,0.570557,17.0,483.0,,48.0,,34.83,592031,2.0,264.0,1.0,7.0,,282.0,7.0,106859.66,0.0,,10.0,7.0,58.0,0.0,0.0,1.0,2.0,0.0,21.0,2.0,6.0,0.0,46.0,423.0,9.0,5.0,,14.0,2.0,61.0,0.0,0.0,,0.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,3.0,,1.0,2.0,57.8,10.0,,6.0,,2.0,3.0,31.0,8.0,2.0,503.0,4.0,,13.0,14.0,1.0,35.0,1.0,1.0,247.0,2.0,6.0,20.0,83.0,23.0,14.0,16.0,0.0,0.0,5.0,4.0,12.0,0.391,10.0,8.0,1.0,2.0,1.0,,1.0,2.0,1.0,,1.0,,2.0,,1.0,1.0,,,,1.0,,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
12,2562007,2025-11-22 15:00:00,"American Express Stadium, Falmer",31358.0,Home,Brighton and Hove Albion,Brentford,2,1,W,0.0,1.0,0,0,0.0,1.0,56.0,0.0,2.0,1.0,,,1.6043,20.0,19.0,6.0,5.0,8.0,3.0,1.0,1.0,175.0,0.0,3.0,10.0,2.0,1.0,9.0,5.0,151.0,154.0,55.0,1.0,14.0,,9.0,2.0,1.0,1.0,1.0,2.0,18.0,10.0,0.0,19.0,6.0,8.0,29.0,1.8275,196.0,,1.0,0.0,128.0,10.0,0.0,,0.0,,,,59.0,58.0,5.0,89.0,1.0,12.0,14.0,6.0,1.0,0.0,0.0,6.0,4.0,154.0,1.0,7.0,1.0,161.0,764.0,,7.0,2.0,35.0,,8.0,464.0,19.0,3.0,11.0,1.0,1.0,4.0,4.0,0.666447,16.0,556.0,0.0516,59.0,,33.17,592031,3.0,286.0,,6.0,,314.0,5.0,112580.83,1.0,,2.0,7.0,48.0,0.0,0.0,,1.0,2.0,18.0,3.0,4.0,0.0,45.0,479.0,9.0,9.0,1.0,14.0,1.0,70.0,0.0,0.0,,0.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,1.0,,1.0,64.2,13.0,1.0,4.0,1.0,1.0,1.0,44.0,7.0,,576.0,8.0,1.0,10.0,15.0,8.0,26.0,2.0,4.0,280.0,8.0,7.0,14.0,84.0,27.0,11.0,23.0,0.0,1.0,11.0,5.0,20.0,1.2159,2.0,7.0,1.0,2.0,1.0,,,2.0,1.0,,1.0,,,2.0,1.0,2.0,1.0,,2.0,1.0,,,,,,,,,1.0,,2.0,2.0,,3.0,,,2.0,1.0,2.0,1.0,,,4.0,,,,,,1.0,,,1.0,,,,,,,,,,
13,2562021,2025-11-30 14:05:00,"The City Ground, Nottingham",30522.0,Away,Brighton and Hove Albion,Nottingham Forest,2,0,W,1.0,0.0,0,0,0.0,2.0,60.0,0.0,1.0,4.0,,,1.7293,26.0,37.0,6.0,4.0,11.0,3.0,0.0,1.0,154.0,1.0,3.0,6.0,2.0,1.0,11.0,6.0,128.0,130.0,48.0,,17.0,2.0,13.0,3.0,,,2.0,2.0,5.0,13.0,0.0,37.0,2.0,9.0,27.0,0.4003,145.0,1.0,0.0,0.0,106.0,10.0,0.0,,1.0,1.0,,1.0,32.0,57.0,7.0,84.0,1.0,3.0,15.0,6.0,,0.0,0.0,3.0,3.0,130.0,2.0,13.0,1.0,110.0,677.0,,8.0,6.0,28.0,1.0,13.0,373.0,22.0,2.0,21.0,,,1.0,4.0,0.944279,16.0,452.0,,56.0,,33.2,592031,8.0,250.0,2.0,,1.0,272.0,4.0,118334.92,2.0,2.0,9.0,10.0,62.0,0.0,0.0,,6.0,2.0,14.0,6.0,8.0,0.0,64.0,392.0,11.0,17.0,3.0,23.0,5.0,75.0,0.0,0.0,,0.0,0.0,2.0,9.0,3.0,2.0,0.0,0.0,1.0,,,2.0,48.1,11.0,,3.0,,7.0,6.0,42.0,2.0,1.0,476.0,13.0,,12.0,15.0,5.0,21.0,2.0,2.0,209.0,10.0,8.0,13.0,68.0,24.0,21.0,19.0,0.0,0.0,9.0,5.0,16.0,1.999,9.0,2.0,,1.0,1.0,1.0,,1.0,,1.0,8.0,1.0,1.0,2.0,,1.0,,,1.0,1.0,2.0,,,,,,,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2562027,2025-12-03 19:30:00,"American Express Stadium, Falmer",31180.0,Home,Brighton and Hove Albion,Aston Villa,3,4,L,2.0,2.0,0,0,0.0,1.0,48.0,1.0,0.0,2.0,,,2.1941,15.0,16.0,4.0,6.0,12.0,6.0,0.0,,154.0,0.0,4.0,13.0,3.0,4.0,9.0,7.0,124.0,123.0,54.0,1.0,16.0,1.0,10.0,3.0,,2.0,2.0,2.0,19.0,13.0,1.0,16.0,5.0,11.0,31.0,4.4456,185.0,,0.0,0.0,126.0,10.0,0.0,2.0,0.0,,2.0,,60.0,59.0,5.0,86.0,1.0,14.0,13.0,4.0,1.0,0.0,0.0,5.0,1.0,123.0,2.0,12.0,0.0,109.0,671.0,,6.0,5.0,29.0,3.0,9.0,388.0,11.0,2.0,10.0,2.0,,2.0,4.0,0.621269,11.0,456.0,0.0645,54.0,,35.63,592031,9.0,223.0,2.0,7.0,,235.0,6.0,117280.12,2.0,,8.0,6.0,56.0,0.0,2.0,4.0,4.0,1.0,11.0,2.0,6.0,0.0,38.0,404.0,9.0,13.0,1.0,10.0,5.0,62.0,0.0,0.0,,0.0,0.0,1.0,6.0,5.0,2.0,4.0,0.0,3.0,1.0,1.0,5.0,56.4,10.0,2.0,7.0,,4.0,3.0,40.0,5.0,,473.0,9.0,,14.0,14.0,6.0,27.0,1.0,5.0,257.0,5.0,11.0,9.0,87.0,21.0,10.0,23.0,0.0,4.0,9.0,4.0,22.0,2.2056,8.0,5.0,1.0,1.0,2.0,,,3.0,1.0,,2.0,,3.0,1.0,1.0,2.0,,3.0,2.0,1.0,,,,,,3.0,,1.0,1.0,,2.0,2.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
15,2562037,2025-12-07 14:00:00,"American Express Stadium, Falmer",31293.0,Home,Brighton and Hove Albion,West Ham United,1,1,D,0.0,0.0,0,0,0.0,1.0,42.0,0.0,0.0,5.0,1.0,,1.0623,19.0,13.0,6.0,7.0,15.0,4.0,1.0,1.0,149.0,1.0,13.0,6.0,1.0,1.0,16.0,4.0,162.0,133.0,40.0,,22.0,5.0,12.0,3.0,1.0,,1.0,2.0,39.0,7.0,0.0,13.0,7.0,12.0,21.0,1.5892,320.0,,0.0,0.0,227.0,12.0,0.0,1.0,1.0,1.0,,,87.0,70.0,9.0,88.0,1.0,32.0,14.0,7.0,,0.0,0.0,18.0,2.0,133.0,3.0,12.0,0.0,187.0,777.0,1.0,12.0,6.0,44.0,1.0,9.0,490.0,18.0,1.0,4.0,1.0,1.0,2.0,7.0,1.32422,16.0,560.0,,59.0,,32.79,535301,8.0,208.0,2.0,14.0,,223.0,10.0,113008.23,0.0,2.0,3.0,12.0,51.0,0.0,0.0,1.0,3.0,0.0,17.0,2.0,11.0,0.0,26.0,515.0,8.0,13.0,3.0,4.0,6.0,34.0,0.0,0.0,,0.0,0.0,3.0,6.0,3.0,1.0,1.0,0.0,9.0,1.0,1.0,3.0,68.1,15.0,1.0,3.0,,3.0,10.0,29.0,10.0,,586.0,9.0,,7.0,11.0,8.0,46.0,4.0,6.0,402.0,12.0,10.0,14.0,177.0,18.0,4.0,12.0,0.0,1.0,15.0,4.0,13.0,1.8693,3.0,10.0,,3.0,,,,2.0,,2.0,3.0,,1.0,1.0,,3.0,,,1.0,1.0,,1.0,,,,2.0,1.0,2.0,,,,,,1.0,,2.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,
16,2562050,2025-12-13 15:00:00,"Anfield, Liverpool",60429.0,Away,Brighton and Hove Albion,Liverpool,0,2,L,0.0,1.0,0,0,0.0,,56.0,0.0,0.0,4.0,,,0.6225,28.0,6.0,3.0,8.0,11.0,2.0,0.0,1.0,155.0,0.0,4.0,7.0,0.0,3.0,11.0,1.0,142.0,119.0,36.0,,14.0,2.0,18.0,1.0,,,1.0,2.0,18.0,7.0,0.0,6.0,2.0,10.0,35.0,1.2152,224.0,,0.0,0.0,152.0,15.0,0.0,,0.0,,,1.0,57.0,54.0,4.0,79.0,,16.0,12.0,3.0,,0.0,0.0,7.0,1.0,119.0,3.0,10.0,0.0,150.0,694.0,,11.0,1.0,28.0,,6.0,451.0,17.0,3.0,3.0,,,2.0,7.0,1.14106,7.0,504.0,,62.0,,34.26,592031,3.0,250.0,3.0,9.0,,259.0,9.0,120116.21,0.0,,6.0,8.0,70.0,0.0,0.0,,7.0,0.0,23.0,8.0,8.0,0.0,51.0,470.0,8.0,17.0,,12.0,,46.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,,0.0,2.0,0.0,4.0,,,,51.2,6.0,,7.0,4.0,7.0,6.0,30.0,2.0,1.0,526.0,6.0,,8.0,19.0,7.0,34.0,,5.0,285.0,6.0,9.0,8.0,120.0,20.0,3.0,13.0,0.0,2.0,14.0,5.0,21.0,1.9002,6.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,5.0,,3.0,1.0,1.0,,,,,2.0,,1.0,,1.0,1.0,3.0,1.0,1.0,,,,,2.0,,2.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,
17,2562057,2025-12-20 15:00:00,"American Express Stadium, Falmer",31426.0,Home,Brighton and Hove Albion,Sunderland,0,0,D,0.0,0.0,0,0,0.0,,46.0,0.0,0.0,2.0,,,0.2371,17.0,30.0,9.0,6.0,7.0,6.0,0.0,2.0,148.0,0.0,8.0,13.0,0.0,4.0,14.0,4.0,119.0,134.0,59.0,1.0,16.0,3.0,20.0,1.0,2.0,,3.0,1.0,21.0,8.0,0.0,30.0,3.0,5.0,28.0,0.6288,188.0,1.0,0.0,0.0,132.0,11.0,0.0,,0.0,1.0,1.0,,43.0,62.0,8.0,56.0,,18.0,14.0,9.0,1.0,0.0,0.0,1.0,2.0,134.0,1.0,9.0,0.0,118.0,658.0,,13.0,6.0,37.0,1.0,7.0,344.0,21.0,2.0,14.0,,2.0,2.0,6.0,1.07205,22.0,420.0,0.0525,56.0,,34.8,592031,5.0,184.0,1.0,16.0,,212.0,7.0,115938.09,0.0,1.0,7.0,6.0,57.0,0.0,0.0,1.0,4.0,0.0,16.0,5.0,6.0,0.0,42.0,364.0,13.0,2.0,1.0,19.0,1.0,45.0,0.0,0.0,,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,7.0,,2.0,3.0,56.8,21.0,3.0,2.0,,4.0,5.0,26.0,3.0,,441.0,7.0,,7.0,15.0,7.0,25.0,1.0,5.0,250.0,7.0,1.0,21.0,98.0,17.0,14.0,12.0,0.0,0.0,14.0,5.0,31.0,1.1278,7.0,3.0,1.0,1.0,4.0,,,1.0,1.0,1.0,4.0,,,3.0,1.0,3.0,1.0,,2.0,2.0,1.0,1.0,,,,2.0,,1.0,,,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
18,2562065,2025-12-27 15:00:00,"Emirates Stadium, London",60209.0,Away,Brighton and Hove Albion,Arsenal,1,2,L,0.0,1.0,0,0,1.0,1.0,43.0,0.0,0.0,2.0,,,1.4234,23.0,28.0,1.0,2.0,7.0,5.0,0.0,1.0,130.0,0.0,3.0,7.0,1.0,,4.0,3.0,111.0,119.0,47.0,,8.0,,10.0,2.0,,,1.0,,10.0,13.0,1.0,28.0,2.0,8.0,42.0,1.6852,135.0,,0.0,0.0,88.0,13.0,0.0,1.0,0.0,,1.0,1.0,37.0,45.0,2.0,63.0,2.0,8.0,9.0,1.0,,0.0,0.0,6.0,1.0,119.0,,22.0,0.0,103.0,584.0,,3.0,2.0,18.0,,5.0,319.0,15.0,3.0,17.0,,1.0,3.0,2.0,0.550683,12.0,388.0,,55.0,,33.51,231416,5.0,204.0,,1.0,,222.0,8.0,116209.76,1.0,,7.0,9.0,46.0,1.0,0.0,1.0,7.0,1.0,22.0,3.0,8.0,0.0,50.0,336.0,7.0,10.0,1.0,11.0,1.0,55.0,0.0,0.0,,0.0,0.0,,7.0,4.0,1.0,2.0,0.0,2.0,,1.0,1.0,47.3,8.0,1.0,3.0,,7.0,2.0,27.0,2.0,1.0,407.0,5.0,,8.0,18.0,3.0,15.0,1.0,1.0,195.0,5.0,7.0,18.0,56.0,15.0,17.0,16.0,0.0,1.0,7.0,5.0,13.0,0.8512,7.0,2.0,,1.0,,,,2.0,,1.0,9.0,,,1.0,,1.0,,,1.0,1.0,,,,1.0,1.0,,1.0,,,,2.0,2.0,1.0,,,2.0,,2.0,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,,
19,2562084,2025-12-30 19:30:00,"London Stadium, London",62438.0,Away,Brighton and Hove Albion,West Ham United,2,2,D,1.0,2.0,0,0,0.0,2.0,63.0,1.0,1.0,,,,2.7004,21.0,24.0,8.0,4.0,8.0,2.0,1.0,1.0,170.0,0.0,1.0,8.0,2.0,3.0,11.0,6.0,138.0,140.0,50.0,1.0,16.0,4.0,12.0,3.0,,,1.0,1.0,23.0,10.0,0.0,24.0,5.0,21.0,34.0,1.9461,229.0,,0.0,0.0,154.0,18.0,0.0,,0.0,2.0,,2.0,78.0,60.0,8.0,93.0,1.0,18.0,19.0,8.0,1.0,0.0,0.0,7.0,3.0,140.0,1.0,10.0,0.0,140.0,772.0,,11.0,6.0,31.0,1.0,16.0,452.0,18.0,3.0,13.0,,,5.0,3.0,0.404563,16.0,526.0,0.0401,61.0,,34.36,592031,5.0,238.0,2.0,11.0,,256.0,9.0,117067.52,1.0,,12.0,3.0,58.0,0.0,1.0,1.0,7.0,0.0,13.0,,3.0,1.0,36.0,466.0,11.0,4.0,,11.0,1.0,50.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,2.0,2.0,2.0,0.0,1.0,,2.0,1.0,61.5,15.0,,10.0,2.0,7.0,4.0,31.0,5.0,2.0,541.0,16.0,1.0,12.0,21.0,6.0,33.0,1.0,2.0,308.0,11.0,21.0,18.0,112.0,27.0,13.0,13.0,0.0,2.0,12.0,5.0,23.0,2.9414,12.0,5.0,1.0,,1.0,,2.0,1.0,1.0,,2.0,,,2.0,1.0,2.0,,,2.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,
20,2562087,2026-01-03 15:00:00,"American Express Stadium, Falmer",31373.0,Home,Brighton and Hove Albion,Burnley,2,0,W,1.0,0.0,0,0,0.0,1.0,43.0,1.0,0.0,1.0,,,0.7218,17.0,25.0,6.0,4.0,9.0,2.0,0.0,1.0,175.0,1.0,4.0,8.0,2.0,5.0,10.0,4.0,182.0,122.0,59.0,1.0,15.0,3.0,13.0,2.0,,1.0,1.0,4.0,11.0,10.0,0.0,25.0,4.0,7.0,17.0,0.1589,224.0,1.0,0.0,0.0,117.0,7.0,0.0,,2.0,1.0,3.0,,90.0,54.0,4.0,105.0,1.0,7.0,15.0,6.0,1.0,0.0,0.0,3.0,2.0,122.0,2.0,4.0,0.0,146.0,801.0,,7.0,6.0,26.0,,6.0,529.0,13.0,6.0,13.0,1.0,,0.0,6.0,0.977638,13.0,589.0,0.0547,39.0,1.0,32.44,231416,6.0,326.0,1.0,1.0,3.0,348.0,5.0,113926.1,2.0,,8.0,4.0,53.0,0.0,0.0,3.0,2.0,2.0,19.0,1.0,4.0,0.0,32.0,546.0,15.0,8.0,2.0,15.0,1.0,62.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,3.0,,,3.0,59.9,8.0,3.0,6.0,,2.0,4.0,47.0,4.0,,608.0,6.0,,11.0,7.0,7.0,18.0,1.0,4.0,271.0,8.0,6.0,19.0,91.0,21.0,13.0,17.0,0.0,0.0,10.0,5.0,22.0,1.4494,8.0,4.0,,1.0,,,,1.0,,,1.0,1.0,,2.0,,4.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,
21,2562102,2026-01-07 19:30:00,"Etihad Stadium, Manchester",51728.0,Away,Brighton and Hove Albion,Manchester City,1,1,D,0.0,1.0,0,0,0.0,,44.0,0.0,1.0,1.0,,,1.1013,18.0,24.0,1.0,,5.0,3.0,0.0,1.0,132.0,0.0,3.0,2.0,1.0,,6.0,3.0,109.0,131.0,38.0,,6.0,,14.0,2.0,1.0,1.0,1.0,2.0,9.0,12.0,0.0,24.0,2.0,11.0,35.0,1.707,66.0,,1.0,0.0,60.0,16.0,0.0,,1.0,,,,33.0,26.0,3.0,73.0,3.0,7.0,18.0,1.0,,0.0,0.0,2.0,,131.0,4.0,16.0,0.0,85.0,577.0,,3.0,12.0,15.0,1.0,20.0,295.0,24.0,5.0,10.0,1.0,1.0,6.0,2.0,1.23926,22.0,377.0,,36.0,,33.34,514254,1.0,250.0,5.0,5.0,,287.0,9.0,119474.64,1.0,,8.0,12.0,59.0,0.0,0.0,3.0,2.0,1.0,17.0,5.0,8.0,0.0,53.0,313.0,6.0,16.0,1.0,17.0,1.0,46.0,0.0,0.0,,0.0,0.0,1.0,6.0,4.0,0.0,1.0,0.0,2.0,,1.0,2.0,39.7,18.0,1.0,1.0,,2.0,1.0,23.0,2.0,,399.0,20.0,,10.0,16.0,3.0,12.0,1.0,2.0,121.0,4.0,9.0,8.0,30.0,16.0,10.0,22.0,0.0,1.0,5.0,4.0,6.0,1.1559,8.0,2.0,,1.0,,,,1.0,,,8.0,,3.0,,,4.0,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,1.0,1.0,3.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,2.0,,,,
22,2562106,2026-01-19 20:00:00,"American Express Stadium, Falmer",30172.0,Home,Brighton and Hove Albion,Bournemouth,1,1,D,0.0,1.0,0,0,0.0,,50.0,0.0,0.0,5.0,1.0,,1.6002,24.0,24.0,4.0,5.0,12.0,1.0,0.0,1.0,172.0,0.0,5.0,12.0,1.0,3.0,15.0,5.0,149.0,155.0,61.0,1.0,17.0,2.0,20.0,2.0,,1.0,1.0,,23.0,10.0,0.0,24.0,7.0,12.0,36.0,1.0284,276.0,,0.0,0.0,183.0,7.0,0.0,,0.0,1.0,1.0,1.0,81.0,88.0,10.0,95.0,,16.0,18.0,5.0,1.0,0.0,0.0,8.0,1.0,155.0,1.0,7.0,1.0,164.0,796.0,,12.0,5.0,45.0,1.0,2.0,471.0,15.0,3.0,11.0,1.0,,2.0,5.0,0.786873,22.0,559.0,0.0405,74.0,,33.64,513433,8.0,219.0,1.0,7.0,1.0,239.0,6.0,115861.18,1.0,1.0,8.0,6.0,51.0,0.0,0.0,1.0,2.0,1.0,21.0,4.0,6.0,0.0,40.0,490.0,6.0,6.0,2.0,8.0,6.0,55.0,1.0,0.0,,0.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,3.0,1.0,,3.0,66.9,16.0,1.0,3.0,2.0,2.0,7.0,39.0,11.0,1.0,580.0,2.0,,4.0,22.0,5.0,32.0,2.0,4.0,364.0,9.0,11.0,22.0,140.0,28.0,11.0,21.0,0.0,1.0,10.0,5.0,26.0,1.0245,8.0,11.0,,1.0,2.0,,,1.0,,,5.0,1.0,,1.0,,1.0,1.0,,2.0,,,2.0,,,,2.0,1.0,1.0,1.0,,2.0,2.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,2.0,1.0,,,,1.0,,,,,,,,,,,1.0,,,
23,2562121,2026-01-24 15:00:00,"Craven Cottage, London",27239.0,Away,Brighton and Hove Albion,Fulham,1,2,L,1.0,0.0,0,0,1.0,1.0,48.0,0.0,0.0,3.0,,,0.5131,15.0,23.0,2.0,4.0,10.0,2.0,0.0,,156.0,0.0,8.0,7.0,1.0,2.0,9.0,5.0,126.0,133.0,45.0,,13.0,1.0,12.0,4.0,,1.0,2.0,2.0,26.0,9.0,0.0,23.0,6.0,20.0,36.0,1.0612,175.0,,0.0,0.0,131.0,6.0,0.0,,1.0,,1.0,1.0,57.0,42.0,7.0,97.0,1.0,20.0,26.0,3.0,,0.0,0.0,8.0,2.0,133.0,3.0,5.0,0.0,138.0,708.0,,6.0,3.0,28.0,3.0,12.0,413.0,14.0,1.0,15.0,1.0,,1.0,2.0,1.04802,14.0,496.0,,47.0,1.0,33.68,535301,2.0,265.0,4.0,11.0,,279.0,3.0,115721.03,1.0,1.0,13.0,8.0,33.0,0.0,0.0,3.0,1.0,1.0,13.0,7.0,8.0,0.0,50.0,432.0,9.0,4.0,2.0,25.0,3.0,73.0,1.0,0.0,,0.0,0.0,1.0,6.0,1.0,1.0,2.0,0.0,5.0,1.0,,5.0,50.9,12.0,1.0,5.0,2.0,1.0,4.0,42.0,6.0,1.0,517.0,12.0,,6.0,19.0,4.0,39.0,3.0,2.0,264.0,4.0,18.0,13.0,84.0,22.0,15.0,16.0,0.0,1.0,10.0,5.0,12.0,1.5918,13.0,6.0,1.0,2.0,,,,,1.0,,3.0,,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,1.0,,1.0,1.0,,3.0,3.0,,,1.0,,,1.0,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,1.0,
24,2562126,2026-01-31 15:00:00,"American Express Stadium, Falmer",31419.0,Home,Brighton and Hove Albion,Everton,1,1,D,0.0,0.0,0,0,0.0,,56.0,1.0,0.0,3.0,,,0.9976,13.0,30.0,2.0,5.0,9.0,3.0,0.0,1.0,151.0,0.0,4.0,4.0,1.0,1.0,9.0,2.0,141.0,135.0,50.0,,11.0,1.0,25.0,1.0,,1.0,1.0,3.0,13.0,9.0,0.0,30.0,5.0,2.0,37.0,1.5463,185.0,,0.0,0.0,113.0,13.0,0.0,,1.0,,,,60.0,47.0,4.0,66.0,1.0,8.0,15.0,2.0,,0.0,0.0,3.0,1.0,135.0,2.0,7.0,0.0,134.0,687.0,,7.0,3.0,23.0,,9.0,386.0,19.0,2.0,16.0,1.0,,1.0,5.0,0.966634,10.0,467.0,,50.0,,35.75,592031,7.0,227.0,2.0,5.0,,246.0,6.0,113880.94,1.0,,8.0,9.0,64.0,0.0,0.0,3.0,3.0,1.0,16.0,,9.0,0.0,42.0,408.0,13.0,4.0,1.0,20.0,3.0,69.0,0.0,0.0,,0.0,0.0,,2.0,3.0,1.0,1.0,0.0,3.0,1.0,,3.0,53.6,10.0,2.0,5.0,1.0,3.0,4.0,39.0,5.0,,492.0,9.0,,11.0,18.0,5.0,27.0,1.0,4.0,259.0,3.0,2.0,14.0,74.0,27.0,16.0,20.0,0.0,1.0,8.0,4.0,16.0,1.4393,8.0,5.0,,,,1.0,,1.0,,1.0,,,1.0,,,2.0,,2.0,,,,1.0,,,,1.0,,1.0,1.0,,2.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
