gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,handBall,ballRecovery,attGoalLowLeft,attGoalLowRight,savedObox,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,attFreekickTotal,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,accurateKeeperSweeper,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attMissHighRight,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,totalCrossNocorner,putThrough,attemptsObox,freekickTotal,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalKeeperSweeper,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,expectedGoalsFreekick,finalThirdEntries,accurateFreekickCross,errorLeadToShot,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,bigChanceMissed,crosses18yard,attSetpiece,penaltyConceded,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,defenderGoals,totalOffside,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attSvLowRight,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,penaltyFaced,totalHighClaim,totalPass,penGoalsConceded,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,penaltySave,attLfTarget,bigChanceScored,accuratePullBack,attCmissRight,shotFastbreak,attBxRight,goalAssistOpenplay,attMissLeft,attOboxTarget,cleanSheet,totalFastbreak,attSvLowLeft,interceptionsInBox,attMissRight,bigChanceCreated,goalAssist,totalPullBack,totalThroughBall,attFastbreak,attCmissLeft,goalAssistIntentional,goalAssistSetplay,attLgRight,attSvLowCentre,attOneOnOne,accurateThroughBall,shieldBallOop,attBxLeft,forwardGoals,errorLeadToGoal,attHdTarget,hitWoodwork,attMissHighLeft,sixYardBlock,attSvHighCentre,attCmissHighLeft,attFreekickMiss,attCmissHigh,ptsDroppedWinningPos,attSvHighRight,penaltyWon,ptsGainedLosingPos,clearanceOffLine,attObxRight,goalAssistDeadball,contentiousDecision,postScoringAtt,attPostLeft,attOboxPost,attIboxPost,attSvHighLeft,attHdPost,attFreekickTarget,attPostHigh,goalFastbreak,foulThrowIn,attPostRight,attObxdLeft,attCmissHighRight,secondYellow,attIboxOwnGoal,attLgCentre
11,2561999,2025-11-08 15:00:00,"Hill Dickinson Stadium, Liverpool",52491.0,Home,Everton,Fulham,2,0,W,1.0,0.0,0,0,0.0,,40.0,1.0,0.0,,2.0,1.4565,16.0,23.0,8.0,2.0,6.0,4.0,0.0,2.0,142.0,0.0,6.0,6.0,2.0,6.0,10.0,5.0,97.0,125.0,50.0,3.0,14.0,2.0,12.0,1.0,,22.0,10.0,0.0,23.0,7.0,12.0,17.0,0.9135,196.0,1.0,0.0,0.0,155.0,11.0,0.0,2.0,1.0,2.0,,57.0,72.0,6.0,71.0,15.0,21.0,8.0,3.0,1.0,0.0,5.0,4.0,125.0,5.0,0.0,96.0,603.0,7.0,4.0,26.0,4.0,328.0,17.0,1.0,11.0,,2.0,2.0,4.0,1.21879,22.0,389.0,0.1361,53.0,,,32.35,586309,2.0,152.0,2.0,8.0,,,166.0,4.0,107035.23,1.0,12.0,4.0,49.0,0.0,1.0,5.0,2.0,0.0,15.0,3.0,3.0,1.0,0.0,40.0,342.0,13.0,9.0,1.0,15.0,5.0,52.0,0.0,1.0,,0.0,,0.0,,5.0,4.0,2.0,0.0,1.0,0.0,3.0,3.0,50.1,14.0,1.0,5.0,2.0,4.0,31.0,7.0,,,406.0,,4.0,4.0,6.0,5.0,33.0,3.0,1.0,262.0,8.0,10.0,17.0,117.0,14.0,1.0,11.0,15.0,0.0,0.0,3.0,3.0,19.0,1.4392,1.0,12.0,7.0,,,2.0,,,,,1.0,1.0,2.0,1.0,,,,,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
12,2562012,2025-11-24 20:00:00,"Old Trafford, Manchester",74158.0,Away,Everton,Manchester United,1,0,W,1.0,0.0,1,0,0.0,1.0,48.0,0.0,0.0,3.0,1.0,0.4176,26.0,46.0,1.0,1.0,2.0,6.0,0.0,,124.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0,59.0,141.0,49.0,,3.0,,19.0,,2.0,9.0,3.0,1.0,46.0,1.0,5.0,19.0,1.8465,108.0,,0.0,0.0,93.0,9.0,0.0,4.0,1.0,2.0,,45.0,38.0,2.0,36.0,8.0,20.0,1.0,,0.0,0.0,3.0,1.0,141.0,17.0,0.0,62.0,470.0,2.0,15.0,10.0,11.0,170.0,22.0,2.0,19.0,2.0,0.0,6.0,1.0,0.174009,18.0,244.0,,45.0,1.0,2.0,33.82,586309,2.0,83.0,,3.0,,,107.0,3.0,104067.62,1.0,13.0,20.0,45.0,0.0,0.0,2.0,1.0,1.0,14.0,8.0,12.0,,0.0,65.0,190.0,11.0,4.0,,23.0,,54.0,0.0,0.0,,0.0,2.0,0.0,,9.0,3.0,1.0,0.0,4.0,1.0,1.0,1.0,30.1,6.0,,4.0,1.0,1.0,24.0,1.0,,,281.0,,11.0,9.0,7.0,1.0,18.0,,,183.0,1.0,5.0,28.0,54.0,14.0,3.0,19.0,6.0,0.0,0.0,2.0,5.0,9.0,0.2126,3.0,13.0,1.0,,,,,,,,1.0,,,1.0,,,4.0,,,1.0,,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2562019,2025-11-29 17:30:00,"Hill Dickinson Stadium, Liverpool",52244.0,Home,Everton,Newcastle United,1,4,L,0.0,3.0,0,0,0.0,2.0,46.0,0.0,1.0,1.0,1.0,0.8892,30.0,19.0,3.0,4.0,7.0,3.0,1.0,,144.0,0.0,5.0,4.0,1.0,,7.0,2.0,140.0,119.0,46.0,,10.0,1.0,18.0,,,25.0,12.0,0.0,19.0,6.0,9.0,31.0,2.7675,297.0,1.0,0.0,0.0,175.0,4.0,0.0,1.0,1.0,,,98.0,83.0,4.0,90.0,19.0,18.0,3.0,,0.0,0.0,8.0,1.0,119.0,10.0,0.0,146.0,695.0,5.0,5.0,31.0,9.0,443.0,19.0,2.0,9.0,,0.0,5.0,3.0,1.22008,14.0,504.0,,77.0,,,32.12,224967,2.0,166.0,,11.0,,,180.0,,112487.22,0.0,9.0,3.0,41.0,0.0,0.0,,4.0,1.0,17.0,3.0,3.0,4.0,0.0,51.0,458.0,6.0,5.0,1.0,10.0,3.0,59.0,0.0,0.0,,0.0,1.0,0.0,1.0,7.0,3.0,1.0,4.0,3.0,0.0,4.0,2.0,48.8,11.0,2.0,5.0,4.0,2.0,40.0,8.0,,,520.0,,9.0,8.0,18.0,6.0,36.0,1.0,4.0,365.0,4.0,9.0,17.0,140.0,18.0,1.0,9.0,19.0,0.0,4.0,7.0,4.0,12.0,0.9897,1.0,9.0,8.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,,1.0,,1.0,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,1.0,2.0,,1.0,,,,,,2.0,,,,,1.0,,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,
14,2562025,2025-12-02 19:30:00,"Vitality Stadium, Bournemouth",11161.0,Away,Everton,Bournemouth,1,0,W,0.0,0.0,0,0,0.0,1.0,49.0,0.0,1.0,,4.0,0.6677,18.0,24.0,4.0,2.0,9.0,2.0,0.0,1.0,138.0,0.0,2.0,2.0,1.0,2.0,10.0,3.0,92.0,162.0,58.0,,13.0,1.0,20.0,2.0,,26.0,11.0,0.0,24.0,6.0,7.0,23.0,0.5009,169.0,3.0,1.0,0.0,161.0,14.0,0.0,1.0,1.0,2.0,,55.0,55.0,7.0,55.0,20.0,19.0,4.0,,0.0,0.0,7.0,2.0,162.0,5.0,0.0,93.0,573.0,8.0,10.0,33.0,4.0,273.0,22.0,6.0,9.0,,3.0,2.0,3.0,0.575146,25.0,359.0,,61.0,,1.0,32.71,490094,6.0,114.0,2.0,11.0,1.0,,136.0,5.0,110089.81,1.0,6.0,5.0,56.0,0.0,0.0,1.0,4.0,1.0,16.0,,2.0,1.0,0.0,53.0,281.0,14.0,8.0,1.0,28.0,2.0,65.0,0.0,0.0,,0.0,,0.0,,1.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0,45.1,16.0,,3.0,4.0,5.0,34.0,6.0,,,378.0,,4.0,6.0,12.0,5.0,42.0,1.0,2.0,268.0,9.0,5.0,24.0,100.0,18.0,,9.0,18.0,0.0,0.0,6.0,2.0,11.0,1.4396,,6.0,6.0,,1.0,,1.0,,1.0,2.0,1.0,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,1.0,1.0,,3.0,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,
15,2562038,2025-12-06 15:00:00,"Hill Dickinson Stadium, Liverpool",52501.0,Home,Everton,Nottingham Forest,3,0,W,2.0,0.0,0,0,0.0,1.0,51.0,0.0,1.0,1.0,2.0,1.7994,15.0,42.0,4.0,4.0,7.0,2.0,0.0,1.0,119.0,1.0,3.0,3.0,3.0,2.0,8.0,5.0,54.0,143.0,53.0,1.0,11.0,2.0,24.0,2.0,,18.0,11.0,0.0,42.0,5.0,11.0,17.0,0.4438,124.0,,0.0,0.0,108.0,17.0,0.0,1.0,1.0,1.0,1.0,57.0,42.0,6.0,63.0,13.0,20.0,4.0,1.0,0.0,0.0,5.0,,143.0,6.0,0.0,70.0,526.0,6.0,4.0,27.0,11.0,228.0,18.0,3.0,22.0,,4.0,3.0,2.0,0.81281,21.0,286.0,0.0469,56.0,,2.0,31.77,502697,6.0,117.0,,7.0,1.0,,126.0,10.0,103496.39,2.0,10.0,3.0,72.0,0.0,0.0,3.0,3.0,1.0,24.0,1.0,3.0,,0.0,47.0,238.0,14.0,8.0,,24.0,2.0,60.0,0.0,0.0,,0.0,1.0,0.0,,3.0,3.0,2.0,0.0,1.0,0.0,3.0,1.0,41.3,12.0,1.0,4.0,3.0,4.0,22.0,6.0,,1.0,306.0,,11.0,13.0,5.0,2.0,27.0,,1.0,198.0,6.0,10.0,21.0,66.0,23.0,3.0,22.0,15.0,0.0,0.0,7.0,3.0,14.0,1.1159,3.0,10.0,6.0,,2.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,2.0,,2.0,1.0,1.0,2.0,,,1.0,,2.0,1.0,,2.0,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,
16,2562048,2025-12-13 15:00:00,"Stamford Bridge, London",39552.0,Away,Everton,Chelsea,0,2,L,0.0,2.0,0,0,0.0,,45.0,0.0,0.0,2.0,2.0,0.7303,25.0,12.0,2.0,4.0,9.0,3.0,0.0,1.0,137.0,0.0,5.0,6.0,0.0,2.0,10.0,2.0,87.0,130.0,55.0,,11.0,2.0,12.0,2.0,1.0,23.0,8.0,0.0,12.0,5.0,10.0,25.0,1.2123,159.0,,0.0,0.0,117.0,11.0,0.0,1.0,0.0,2.0,1.0,50.0,71.0,5.0,62.0,18.0,22.0,2.0,,0.0,0.0,6.0,,130.0,11.0,0.0,87.0,578.0,8.0,2.0,23.0,8.0,286.0,15.0,3.0,8.0,1.0,0.0,3.0,5.0,0.537743,21.0,347.0,,58.0,1.0,1.0,34.44,232928,3.0,152.0,3.0,10.0,1.0,,180.0,7.0,107543.33,0.0,10.0,10.0,45.0,0.0,0.0,1.0,8.0,0.0,22.0,6.0,8.0,1.0,0.0,51.0,306.0,13.0,7.0,2.0,12.0,2.0,53.0,0.0,0.0,,0.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,42.3,15.0,2.0,5.0,8.0,4.0,31.0,7.0,,2.0,373.0,,8.0,8.0,14.0,5.0,26.0,1.0,4.0,216.0,5.0,9.0,14.0,86.0,16.0,,8.0,22.0,0.0,2.0,8.0,4.0,13.0,1.0311,,10.0,7.0,,1.0,,,,,1.0,,1.0,,,,,1.0,2.0,2.0,,,1.0,,1.0,,,,1.0,,,,2.0,,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,
17,2562058,2025-12-20 20:00:00,"Hill Dickinson Stadium, Liverpool",52513.0,Home,Everton,Arsenal,0,1,L,0.0,1.0,0,0,0.0,1.0,51.0,0.0,0.0,,2.0,,19.0,23.0,1.0,,4.0,,0.0,,125.0,0.0,2.0,4.0,0.0,,3.0,1.0,66.0,135.0,57.0,,5.0,,21.0,1.0,,14.0,13.0,0.0,23.0,2.0,12.0,29.0,0.8501,96.0,1.0,0.0,0.0,92.0,4.0,0.0,,0.0,3.0,,31.0,40.0,1.0,61.0,12.0,13.0,1.0,,0.0,0.0,6.0,1.0,135.0,12.0,0.0,87.0,519.0,2.0,2.0,13.0,8.0,240.0,19.0,8.0,12.0,,2.0,3.0,2.0,0.146252,19.0,324.0,,56.0,1.0,,33.71,224967,4.0,156.0,,3.0,2.0,1.0,177.0,3.0,117474.0,0.0,9.0,9.0,47.0,0.0,0.0,,5.0,0.0,10.0,1.0,5.0,,0.0,61.0,250.0,5.0,9.0,1.0,28.0,,59.0,0.0,0.0,,0.0,1.0,0.0,4.0,3.0,1.0,0.0,1.0,,0.0,2.0,2.0,34.6,13.0,,6.0,5.0,2.0,19.0,2.0,1.0,,339.0,1.0,8.0,8.0,10.0,2.0,27.0,,1.0,176.0,2.0,8.0,22.0,43.0,20.0,1.0,12.0,26.0,0.0,1.0,2.0,3.0,10.0,0.2038,1.0,9.0,2.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,3.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
18,2562067,2025-12-27 15:00:00,"Turf Moor, Burnley",21637.0,Away,Everton,Burnley,0,0,D,0.0,0.0,0,0,0.0,,47.0,0.0,0.0,,2.0,1.5358,22.0,48.0,4.0,5.0,10.0,,0.0,2.0,136.0,0.0,2.0,6.0,0.0,1.0,10.0,6.0,88.0,159.0,69.0,,15.0,1.0,32.0,6.0,,18.0,14.0,0.0,48.0,5.0,6.0,36.0,,171.0,,0.0,0.0,117.0,8.0,0.0,,0.0,1.0,,52.0,54.0,7.0,67.0,13.0,16.0,5.0,,0.0,0.0,7.0,4.0,159.0,9.0,0.0,103.0,627.0,10.0,6.0,24.0,11.0,292.0,25.0,10.0,31.0,,2.0,7.0,3.0,0.822512,12.0,372.0,,64.0,,1.0,33.21,232928,6.0,138.0,1.0,5.0,,,157.0,3.0,112385.31,0.0,9.0,10.0,69.0,0.0,0.0,3.0,2.0,0.0,25.0,7.0,6.0,2.0,0.0,64.0,307.0,8.0,7.0,,33.0,4.0,72.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,6.0,,0.0,0.0,,0.0,2.0,4.0,45.9,7.0,1.0,3.0,2.0,3.0,32.0,5.0,,,394.0,,11.0,4.0,14.0,6.0,26.0,,2.0,255.0,6.0,6.0,31.0,79.0,15.0,,31.0,25.0,0.0,0.0,11.0,3.0,24.0,0.8485,,9.0,5.0,,1.0,,,1.0,,2.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,,,,,1.0,,,,2.0,,,1.0,2.0,,,3.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
19,2562082,2025-12-30 19:30:00,"The City Ground, Nottingham",30617.0,Away,Everton,Nottingham Forest,2,0,W,1.0,0.0,0,0,0.0,1.0,57.0,1.0,1.0,4.0,3.0,0.8576,26.0,53.0,4.0,5.0,7.0,6.0,1.0,,125.0,0.0,2.0,7.0,2.0,,8.0,3.0,47.0,134.0,63.0,,11.0,1.0,13.0,1.0,,7.0,11.0,0.0,53.0,1.0,6.0,23.0,0.9432,90.0,,0.0,0.0,80.0,9.0,0.0,1.0,1.0,,2.0,37.0,33.0,6.0,49.0,6.0,15.0,4.0,,0.0,0.0,2.0,3.0,134.0,12.0,0.0,80.0,526.0,6.0,7.0,18.0,9.0,201.0,29.0,11.0,32.0,,0.0,7.0,2.0,0.920168,14.0,268.0,,46.0,,,33.03,586309,3.0,135.0,1.0,4.0,1.0,,158.0,4.0,116959.24,1.0,7.0,13.0,58.0,0.0,0.0,,5.0,2.0,20.0,9.0,8.0,,0.0,68.0,223.0,8.0,16.0,,36.0,2.0,73.0,0.0,0.0,,0.0,,0.0,1.0,9.0,2.0,2.0,0.0,3.0,0.0,2.0,2.0,30.3,6.0,1.0,1.0,6.0,4.0,34.0,2.0,,2.0,301.0,,9.0,13.0,12.0,4.0,15.0,,1.0,150.0,4.0,3.0,25.0,56.0,13.0,3.0,32.0,23.0,0.0,0.0,8.0,2.0,15.0,1.2575,3.0,7.0,2.0,,,2.0,,,2.0,1.0,2.0,1.0,,1.0,3.0,,1.0,2.0,3.0,2.0,,2.0,2.0,,2.0,,,1.0,,2.0,1.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
20,2562088,2026-01-04 15:00:00,"Hill Dickinson Stadium, Liverpool",52514.0,Home,Everton,Brentford,2,4,L,0.0,1.0,0,0,0.0,,57.0,1.0,1.0,,4.0,1.1633,24.0,22.0,3.0,3.0,11.0,3.0,0.0,,143.0,0.0,10.0,13.0,2.0,1.0,13.0,6.0,67.0,146.0,73.0,,14.0,1.0,24.0,3.0,3.0,27.0,15.0,0.0,22.0,4.0,1.0,27.0,3.0962,170.0,2.0,0.0,0.0,135.0,9.0,0.0,,0.0,1.0,,74.0,51.0,11.0,62.0,23.0,19.0,3.0,,0.0,0.0,9.0,1.0,146.0,9.0,1.0,92.0,584.0,10.0,7.0,31.0,7.0,267.0,19.0,7.0,13.0,3.0,0.0,2.0,2.0,0.909048,21.0,341.0,,53.0,,1.0,33.27,512462,6.0,126.0,1.0,13.0,1.0,,153.0,2.0,110142.79,0.0,9.0,6.0,54.0,0.0,0.0,,5.0,1.0,24.0,2.0,6.0,,0.0,52.0,286.0,8.0,6.0,1.0,22.0,1.0,69.0,0.0,0.0,2.0,0.0,,0.0,1.0,5.0,3.0,2.0,4.0,1.0,0.0,9.0,6.0,45.4,11.0,1.0,10.0,5.0,5.0,43.0,4.0,,,364.0,,7.0,11.0,13.0,3.0,35.0,1.0,2.0,238.0,5.0,1.0,29.0,98.0,20.0,,13.0,24.0,2.0,4.0,10.0,3.0,18.0,0.8898,,9.0,4.0,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,1.0,,1.0,,,,,1.0,1.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
21,2562100,2026-01-07 19:30:00,"Hill Dickinson Stadium, Liverpool",51768.0,Home,Everton,Wolverhampton Wanderers,1,1,D,1.0,0.0,2,0,1.0,,40.0,0.0,0.0,1.0,2.0,0.9373,12.0,42.0,4.0,4.0,9.0,3.0,0.0,1.0,110.0,0.0,5.0,8.0,1.0,4.0,10.0,2.0,97.0,113.0,69.0,,13.0,1.0,24.0,1.0,,19.0,8.0,1.0,42.0,1.0,8.0,23.0,1.7081,155.0,1.0,0.0,0.0,100.0,13.0,0.0,2.0,0.0,4.0,,69.0,47.0,4.0,44.0,18.0,17.0,4.0,,0.0,0.0,6.0,3.0,113.0,9.0,0.0,113.0,559.0,8.0,5.0,30.0,6.0,280.0,14.0,2.0,30.0,,1.0,3.0,6.0,0.708394,12.0,342.0,,43.0,3.0,1.0,33.21,490094,4.0,146.0,1.0,8.0,3.0,,163.0,7.0,103561.49,1.0,6.0,8.0,57.0,0.0,1.0,,3.0,0.0,11.0,4.0,5.0,1.0,0.0,31.0,296.0,14.0,5.0,1.0,10.0,2.0,51.0,0.0,0.0,,0.0,,0.0,1.0,7.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,45.4,10.0,,3.0,4.0,3.0,32.0,2.0,,,364.0,,6.0,8.0,10.0,8.0,28.0,,4.0,220.0,7.0,7.0,31.0,69.0,17.0,3.0,30.0,17.0,0.0,0.0,8.0,3.0,16.0,0.8892,3.0,6.0,2.0,,,1.0,,,,1.0,,3.0,,,,,1.0,2.0,2.0,1.0,1.0,1.0,,,,1.0,,1.0,,,1.0,3.0,,,,1.0,1.0,1.0,,,,,2.0,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,
22,2562105,2026-01-18 16:30:00,"Villa Park, Birmingham",42770.0,Away,Everton,Aston Villa,1,0,W,0.0,0.0,0,0,0.0,,55.0,0.0,0.0,3.0,3.0,0.9835,26.0,28.0,4.0,3.0,5.0,5.0,1.0,,114.0,0.0,2.0,2.0,1.0,2.0,7.0,3.0,58.0,110.0,53.0,,9.0,1.0,16.0,,,7.0,10.0,1.0,28.0,2.0,8.0,20.0,0.9689,97.0,1.0,0.0,0.0,82.0,13.0,0.0,2.0,0.0,2.0,1.0,59.0,35.0,5.0,52.0,5.0,15.0,4.0,,0.0,0.0,,1.0,110.0,12.0,0.0,68.0,475.0,5.0,2.0,16.0,13.0,209.0,20.0,5.0,12.0,,2.0,6.0,2.0,0.205333,12.0,263.0,,43.0,,,35.35,586309,1.0,132.0,,3.0,,,149.0,7.0,108275.77,0.0,7.0,9.0,47.0,0.0,0.0,4.0,6.0,1.0,14.0,6.0,6.0,,0.0,52.0,227.0,15.0,5.0,2.0,16.0,2.0,53.0,0.0,0.0,,0.0,2.0,0.0,,6.0,2.0,1.0,0.0,1.0,0.0,,1.0,37.1,4.0,,5.0,6.0,4.0,26.0,4.0,,1.0,292.0,,13.0,9.0,11.0,2.0,14.0,2.0,,150.0,5.0,5.0,19.0,53.0,22.0,1.0,12.0,17.0,0.0,0.0,7.0,1.0,7.0,0.506,1.0,7.0,4.0,,2.0,1.0,,,1.0,,,,2.0,1.0,1.0,1.0,2.0,,,,2.0,2.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,2.0,1.0,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,
23,2562120,2026-01-26 20:00:00,"Hill Dickinson Stadium, Liverpool",51979.0,Home,Everton,Leeds United,1,1,D,0.0,1.0,0,0,0.0,,53.0,0.0,0.0,1.0,2.0,0.9973,16.0,32.0,4.0,3.0,6.0,3.0,0.0,2.0,157.0,0.0,3.0,10.0,1.0,1.0,7.0,3.0,142.0,170.0,73.0,,10.0,2.0,23.0,1.0,3.0,20.0,15.0,0.0,32.0,4.0,14.0,28.0,0.7943,298.0,,0.0,0.0,176.0,9.0,0.0,1.0,0.0,1.0,,111.0,69.0,5.0,72.0,16.0,22.0,4.0,,1.0,0.0,8.0,1.0,170.0,10.0,0.0,171.0,779.0,6.0,9.0,25.0,6.0,431.0,25.0,4.0,23.0,3.0,0.0,2.0,2.0,1.05257,25.0,519.0,,79.0,,,32.38,586309,5.0,155.0,,7.0,,,177.0,3.0,113885.19,1.0,10.0,8.0,63.0,0.0,0.0,1.0,4.0,1.0,24.0,4.0,7.0,,0.0,51.0,450.0,12.0,1.0,1.0,28.0,1.0,67.0,0.0,0.0,,0.0,,0.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,58.1,21.0,1.0,4.0,4.0,4.0,36.0,4.0,,1.0,542.0,,6.0,16.0,15.0,3.0,33.0,1.0,1.0,385.0,7.0,13.0,31.0,134.0,18.0,,23.0,20.0,0.0,1.0,8.0,4.0,25.0,0.6962,,10.0,4.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,,5.0,1.0,1.0,1.0,,,2.0,,2.0,3.0,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,,,1.0,,,1.0,,,,1.0,,,,,,,,
24,2562126,2026-01-31 15:00:00,"American Express Stadium, Falmer",31419.0,Away,Everton,Brighton and Hove Albion,1,1,D,0.0,0.0,0,0,0.0,1.0,48.0,0.0,1.0,,1.0,1.5463,35.0,20.0,,2.0,7.0,1.0,1.0,3.0,160.0,0.0,3.0,4.0,1.0,1.0,4.0,4.0,100.0,149.0,64.0,,7.0,,14.0,3.0,,15.0,14.0,0.0,20.0,2.0,4.0,37.0,0.9976,161.0,,0.0,0.0,120.0,14.0,0.0,,0.0,2.0,,60.0,59.0,2.0,65.0,13.0,17.0,,,0.0,0.0,5.0,,149.0,9.0,1.0,98.0,608.0,3.0,10.0,26.0,7.0,312.0,22.0,9.0,12.0,,2.0,4.0,2.0,0.576815,22.0,398.0,,57.0,,,33.08,490094,4.0,175.0,1.0,6.0,1.0,,200.0,7.0,110897.16,0.0,7.0,9.0,50.0,0.0,0.0,,1.0,1.0,19.0,2.0,7.0,,0.0,67.0,333.0,12.0,4.0,1.0,27.0,1.0,73.0,0.0,0.0,,0.0,,0.0,2.0,5.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,46.4,16.0,1.0,3.0,1.0,1.0,44.0,2.0,,,423.0,,7.0,13.0,22.0,2.0,21.0,1.0,2.0,238.0,3.0,4.0,25.0,78.0,18.0,,12.0,23.0,0.0,1.0,4.0,5.0,11.0,1.1985,,7.0,2.0,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,3.0,,,,,,,3.0,,,2.0,1.0,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
