gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,attLfTarget,ballRecovery,attGoalLowLeft,attGoalLowRight,attIboxBlocked,expectedGoalsOnTarget,accurateLongBalls,totalClearance,attObxCentre,attLfTotal,attemptsIbox,saves,attLfGoal,attRfTarget,fwdPass,attGoalLowCentre,accurateCross,wonContest,goals,fouledFinalThird,totalAttAssist,attCmissRight,ontargetScoringAtt,rightsidePass,possLostAll,duelWon,totalScoringAtt,attOboxBlocked,aerialLost,attIboxTarget,attBxRight,attSvLowCentre,attMissLeft,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalCornersIntobox,totalLayoffs,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,attSvHighLeft,midfielderGoals,attSvLowLeft,freekickCross,goodHighClaim,passesLeft,passesRight,ontargetAttAssist,backwardPass,interceptionsInBox,attMissRight,totalCrossNocorner,putThrough,attemptsObox,attGoalHighCentre,keeperGoals,crosses18yardplus,attOboxMiss,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,attAssistOpenplay,totalFlickOn,touchesInOppBox,attHdTarget,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,outfielderBlock,offtargetAttAssist,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,attBxCentre,accurateBackZonePass,crosses18yard,sixYardBlock,attSetpiece,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,blockedPass,goalKicks,duelLost,ownGoals,totalThroughBall,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attemptsConcededObox,accurateGoalKicks,attMissHigh,attPenGoal,totalLongBalls,accuratePass,fkFoulWon,challengeLost,attAssistSetplay,totalLaunches,attCorner,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attSvLowRight,attCmissLeft,attFreekickGoal,punches,redCard,overrun,lostCorners,savedIbox,attIboxGoal,goalsConceded,accurateFlickOn,totalRedCard,accurateCrossNocorner,shieldBallOop,attHdTotal,possessionPercentage,accurateThrows,attHdMiss,possWonAtt3rd,attBxLeft,attSvHighCentre,keeperThrows,blockedScoringAtt,longPassOwnToOppSuccess,cornerTaken,totalHighClaim,totalPass,interceptionWon,dispossessed,accurateChippedPass,shotOffTarget,penAreaEntries,accurateCornersIntobox,attIboxMiss,totalFwdZonePass,attRfTotal,accurateLayoffs,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,attOpenplay,subsMade,totalContest,expectedGoals,blockedCross,successfulPutThrough,wonCorners,accuratePullBack,attFreekickTotal,goalAssistOpenplay,attOboxTarget,freekickTotal,bigChanceCreated,contentiousDecision,attMissHighLeft,goalAssist,expectedGoalsFreekick,accurateFreekickCross,errorLeadToShot,bigChanceMissed,totalPullBack,totalOffside,forwardGoals,ptsDroppedWinningPos,errorLeadToGoal,bigChanceScored,shotFastbreak,accurateKeeperSweeper,goalFastbreak,attSvHighRight,cleanSheet,penaltyWon,totalFastbreak,totalKeeperSweeper,attFastbreak,goalAssistIntentional,goalAssistSetplay,goalAssistDeadball,attMissHighRight,accurateThroughBall,attCmissHighRight,foulThrowIn,savedObox,ptsGainedLosingPos,penaltyConceded,penaltyFaced,penGoalsConceded,clearanceOffLine,postScoringAtt,attIboxPost,hitWoodwork,attFreekickTarget,attPostRight,handBall,attCmissHigh,secondYellow,attObxLeft,attIboxOwnGoal,attOneOnOne,attOboxPost,attPostHigh,attObxRight,attCmissHighLeft,attPostLeft,attLgCentre,attHdPost
11,2562004,2025-11-08 15:00:00,"London Stadium, London",62449.0,Home,West Ham United,Burnley,3,2,W,1.0,1.0,0,0,0.0,2.0,45.0,1.0,1.0,3.0,3.058,25.0,30.0,7.0,6.0,8.0,5.0,0.0,1.0,131.0,1.0,4.0,6.0,3.0,2.0,9.0,,6.0,87.0,115.0,41.0,15.0,5.0,21.0,1.0,1.0,1.0,1.0,18.0,10.0,0.0,30.0,5.0,11.0,17.0,2.3247,165.0,0.0,0.0,102.0,15.0,0.0,1.0,,0.0,1.0,1.0,1.0,45.0,53.0,8.0,74.0,2.0,,13.0,23.0,7.0,0.0,0.0,5.0,,115.0,9.0,2.0,82.0,579.0,7.0,4.0,22.0,,13.0,286.0,16.0,7.0,11.0,2.0,7.0,1.0,0.586273,15.0,349.0,47.0,33.75,450070,2.0,147.0,7.0,2.0,,161.0,7.0,108756.36,1.0,10.0,8.0,54.0,0.0,,0.0,5.0,1.0,12.0,7.0,5.0,,0.0,55.0,308.0,12.0,3.0,2.0,23.0,6.0,51.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,3.0,2.0,1.0,0.0,2.0,2.0,3.0,42.6,10.0,,3.0,1.0,,5.0,8.0,27.0,7.0,1.0,374.0,13.0,4.0,7.0,1.0,28.0,2.0,1.0,231.0,5.0,11.0,9.0,71.0,20.0,,11.0,14.0,1.0,2.0,8.0,4.0,18.0,3.0211,,10.0,7.0,,1.0,,2.0,1.0,,,,,0.0728,,,,,2.0,1.0,,1.0,3.0,1.0,,,,,,1.0,,1.0,,,,,,,,2.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,
12,2562005,2025-11-22 15:00:00,"Vitality Stadium, Bournemouth",11216.0,Away,West Ham United,Bournemouth,2,2,D,2.0,0.0,0,0,0.0,,55.0,1.0,0.0,1.0,0.7223,24.0,57.0,1.0,2.0,4.0,10.0,1.0,,118.0,0.0,1.0,8.0,2.0,1.0,4.0,,2.0,22.0,142.0,42.0,5.0,,9.0,,1.0,,1.0,6.0,10.0,0.0,57.0,2.0,10.0,23.0,4.4886,51.0,1.0,0.0,57.0,10.0,0.0,5.0,,0.0,,1.0,3.0,28.0,23.0,3.0,37.0,3.0,,4.0,8.0,1.0,0.0,0.0,1.0,,142.0,22.0,0.0,25.0,418.0,2.0,6.0,8.0,,9.0,99.0,31.0,7.0,25.0,2.0,7.0,1.0,0.26996,10.0,167.0,49.0,32.74,223434,3.0,65.0,2.0,,2.0,87.0,6.0,111299.65,1.0,5.0,19.0,45.0,0.0,,0.0,1.0,0.0,20.0,6.0,10.0,1.0,0.0,69.0,115.0,9.0,9.0,,30.0,,66.0,1.0,0.0,,,0.0,3.0,0.0,,9.0,8.0,1.0,2.0,1.0,0.0,1.0,,1.0,23.8,3.0,1.0,3.0,,,3.0,1.0,19.0,2.0,3.0,202.0,9.0,14.0,8.0,2.0,16.0,,2.0,121.0,2.0,9.0,12.0,20.0,10.0,5.0,25.0,13.0,0.0,2.0,3.0,3.0,13.0,0.6495,5.0,5.0,2.0,,,,,,,,,2.0,,,1.0,,,2.0,2.0,2.0,,,1.0,,,,,,1.0,,1.0,1.0,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,2.0,1.0,,,,,,,,,,,
13,2562024,2025-11-30 14:05:00,"London Stadium, London",62469.0,Home,West Ham United,Liverpool,0,2,L,0.0,0.0,1,0,0.0,,45.0,0.0,0.0,3.0,,16.0,21.0,3.0,5.0,4.0,3.0,0.0,,127.0,0.0,2.0,5.0,0.0,,6.0,,,98.0,128.0,41.0,7.0,2.0,16.0,,1.0,,1.0,24.0,9.0,0.0,21.0,6.0,6.0,23.0,1.6349,176.0,0.0,0.0,111.0,12.0,0.0,1.0,,0.0,,,,40.0,83.0,5.0,56.0,2.0,,18.0,16.0,3.0,0.0,0.0,7.0,1.0,128.0,5.0,0.0,99.0,548.0,6.0,3.0,11.0,,9.0,291.0,19.0,3.0,8.0,1.0,,1.0,0.385372,14.0,355.0,47.0,33.01,462116,2.0,129.0,11.0,,,145.0,5.0,104376.56,0.0,7.0,6.0,44.0,0.0,2.0,0.0,6.0,0.0,13.0,4.0,3.0,1.0,0.0,47.0,303.0,13.0,6.0,,17.0,,63.0,0.0,0.0,,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,,1.0,2.0,,1.0,43.8,12.0,,2.0,1.0,,6.0,5.0,34.0,7.0,,380.0,9.0,7.0,7.0,2.0,28.0,,1.0,259.0,1.0,6.0,10.0,77.0,17.0,2.0,8.0,13.0,0.0,2.0,6.0,3.0,9.0,0.2947,2.0,7.0,7.0,,,,,,,,,,,,1.0,,1.0,2.0,,,,,2.0,,,,,,2.0,,2.0,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
14,2562032,2025-12-04 20:00:00,"Old Trafford, Manchester",73938.0,Away,West Ham United,Manchester United,1,1,D,0.0,0.0,0,0,0.0,,45.0,1.0,0.0,4.0,1.0617,27.0,39.0,1.0,3.0,10.0,3.0,0.0,1.0,132.0,0.0,3.0,11.0,1.0,,6.0,1.0,3.0,63.0,146.0,64.0,11.0,1.0,11.0,2.0,3.0,1.0,1.0,16.0,8.0,0.0,39.0,6.0,6.0,28.0,0.5831,122.0,0.0,0.0,100.0,9.0,0.0,1.0,,1.0,1.0,,,19.0,78.0,4.0,43.0,3.0,1.0,10.0,22.0,1.0,0.0,0.0,6.0,,146.0,13.0,0.0,59.0,529.0,5.0,8.0,28.0,1.0,20.0,193.0,21.0,9.0,20.0,2.0,9.0,2.0,0.359582,19.0,270.0,60.0,34.49,462116,5.0,93.0,4.0,1.0,1.0,112.0,3.0,107058.71,1.0,12.0,9.0,47.0,0.0,,0.0,1.0,0.0,19.0,4.0,5.0,,0.0,63.0,212.0,13.0,9.0,1.0,29.0,3.0,57.0,0.0,0.0,,1.0,0.0,4.0,0.0,,6.0,2.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,35.1,11.0,,4.0,1.0,,1.0,5.0,27.0,6.0,,297.0,20.0,12.0,13.0,3.0,23.0,1.0,3.0,201.0,7.0,6.0,25.0,55.0,16.0,4.0,20.0,15.0,0.0,1.0,7.0,3.0,18.0,0.7909,4.0,12.0,6.0,1.0,,,,,,,,,,,2.0,1.0,2.0,2.0,,,,1.0,2.0,,,,,,2.0,,2.0,,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,
15,2562037,2025-12-07 14:00:00,"American Express Stadium, Falmer",31293.0,Away,West Ham United,Brighton and Hove Albion,1,1,D,0.0,0.0,0,0,0.0,1.0,40.0,0.0,1.0,3.0,1.5892,15.0,41.0,1.0,6.0,12.0,4.0,1.0,2.0,126.0,0.0,3.0,13.0,1.0,1.0,11.0,1.0,5.0,58.0,113.0,51.0,14.0,,14.0,3.0,4.0,1.0,1.0,11.0,7.0,0.0,41.0,6.0,9.0,19.0,1.0623,129.0,0.0,0.0,79.0,8.0,0.0,3.0,1.0,0.0,1.0,1.0,,49.0,39.0,6.0,33.0,2.0,3.0,5.0,12.0,2.0,0.0,0.0,,1.0,113.0,15.0,0.0,60.0,487.0,9.0,6.0,24.0,1.0,13.0,190.0,19.0,2.0,24.0,2.0,9.0,5.0,0.594239,13.0,245.0,39.0,32.81,450070,4.0,77.0,4.0,,1.0,92.0,3.0,108199.68,0.0,9.0,18.0,40.0,0.0,3.0,0.0,6.0,1.0,15.0,7.0,5.0,2.0,0.0,54.0,203.0,12.0,6.0,1.0,16.0,2.0,59.0,0.0,0.0,1.0,1.0,0.0,,0.0,2.0,10.0,3.0,1.0,1.0,3.0,0.0,1.0,1.0,3.0,31.9,12.0,2.0,4.0,3.0,1.0,6.0,3.0,25.0,6.0,,277.0,13.0,6.0,8.0,6.0,16.0,2.0,5.0,196.0,5.0,8.0,12.0,49.0,11.0,2.0,24.0,14.0,0.0,1.0,11.0,5.0,19.0,1.1444,2.0,9.0,6.0,,,1.0,1.0,,2.0,,,1.0,,,,3.0,1.0,1.0,1.0,2.0,,,3.0,,1.0,,,,4.0,,3.0,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,
16,2562054,2025-12-14 14:00:00,"London Stadium, London",62447.0,Home,West Ham United,Aston Villa,2,3,L,2.0,1.0,0,0,1.0,,45.0,0.0,0.0,2.0,0.7268,16.0,14.0,3.0,3.0,7.0,2.0,0.0,1.0,128.0,0.0,,6.0,2.0,3.0,6.0,,3.0,87.0,114.0,45.0,10.0,1.0,19.0,,1.0,1.0,2.0,13.0,10.0,0.0,14.0,5.0,8.0,19.0,0.9723,169.0,0.0,0.0,97.0,18.0,0.0,1.0,,1.0,,1.0,,54.0,59.0,3.0,71.0,1.0,,8.0,9.0,3.0,2.0,0.0,2.0,1.0,114.0,5.0,0.0,100.0,555.0,5.0,5.0,19.0,,9.0,310.0,21.0,3.0,6.0,1.0,1.0,3.0,0.231268,18.0,364.0,56.0,33.33,462116,1.0,155.0,5.0,1.0,,167.0,5.0,107491.59,2.0,3.0,5.0,66.0,1.0,2.0,0.0,3.0,2.0,12.0,3.0,1.0,,0.0,39.0,324.0,13.0,10.0,,16.0,3.0,46.0,0.0,0.0,,,0.0,,0.0,4.0,3.0,1.0,2.0,3.0,,0.0,,,,40.9,18.0,,4.0,2.0,,3.0,3.0,28.0,5.0,,386.0,9.0,10.0,11.0,4.0,19.0,,3.0,232.0,7.0,7.0,9.0,62.0,16.0,2.0,6.0,17.0,0.0,2.0,7.0,4.0,18.0,1.0254,2.0,3.0,5.0,,,1.0,1.0,,1.0,,2.0,1.0,,,1.0,,1.0,1.0,1.0,3.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,
17,2562061,2025-12-20 15:00:00,"Etihad Stadium, Manchester",52454.0,Away,West Ham United,Manchester City,0,3,L,0.0,2.0,0,0,0.0,1.0,49.0,0.0,0.0,,0.8158,17.0,13.0,2.0,2.0,5.0,5.0,0.0,2.0,127.0,0.0,1.0,7.0,0.0,1.0,3.0,,3.0,99.0,114.0,50.0,7.0,,8.0,2.0,2.0,,2.0,1.0,15.0,0.0,13.0,,11.0,28.0,2.811,81.0,0.0,0.0,52.0,10.0,0.0,2.0,,0.0,1.0,,,28.0,33.0,1.0,69.0,2.0,,1.0,10.0,2.0,0.0,0.0,,1.0,114.0,14.0,0.0,96.0,554.0,3.0,2.0,12.0,,12.0,291.0,26.0,4.0,8.0,1.0,2.0,2.0,0.543156,14.0,362.0,28.0,32.77,178186,1.0,234.0,1.0,,,267.0,6.0,108424.97,0.0,4.0,10.0,37.0,0.0,1.0,0.0,4.0,0.0,18.0,3.0,7.0,1.0,0.0,46.0,314.0,15.0,9.0,,19.0,,44.0,0.0,0.0,,2.0,0.0,,0.0,3.0,6.0,4.0,0.0,3.0,,0.0,1.0,,1.0,33.8,12.0,1.0,8.0,,1.0,4.0,,22.0,,,391.0,12.0,5.0,13.0,4.0,4.0,,3.0,125.0,4.0,9.0,4.0,25.0,11.0,2.0,8.0,24.0,0.0,3.0,6.0,5.0,14.0,0.9753,2.0,4.0,,,1.0,,1.0,1.0,1.0,,,,0.0351,,1.0,2.0,1.0,2.0,,,1.0,,1.0,,,1.0,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
18,2562074,2025-12-27 15:00:00,"London Stadium, London",62464.0,Home,West Ham United,Fulham,0,1,L,0.0,0.0,0,0,0.0,,39.0,0.0,0.0,3.0,0.2014,23.0,25.0,4.0,3.0,7.0,4.0,0.0,2.0,146.0,0.0,2.0,7.0,0.0,1.0,6.0,,2.0,95.0,137.0,61.0,11.0,2.0,17.0,1.0,2.0,1.0,3.0,17.0,17.0,0.0,25.0,5.0,12.0,24.0,1.3646,185.0,0.0,0.0,125.0,8.0,0.0,1.0,,0.0,,2.0,1.0,34.0,96.0,3.0,65.0,1.0,,12.0,17.0,4.0,0.0,0.0,4.0,1.0,137.0,11.0,0.0,98.0,617.0,6.0,7.0,27.0,,9.0,321.0,18.0,5.0,13.0,1.0,6.0,3.0,0.676347,19.0,385.0,47.0,32.18,450070,4.0,147.0,6.0,2.0,1.0,165.0,6.0,108382.42,0.0,9.0,9.0,46.0,0.0,,0.0,4.0,0.0,21.0,6.0,2.0,1.0,0.0,52.0,330.0,8.0,7.0,,17.0,1.0,56.0,0.0,0.0,,1.0,0.0,,0.0,2.0,4.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,44.3,17.0,1.0,1.0,,,4.0,5.0,33.0,5.0,1.0,404.0,9.0,13.0,9.0,4.0,26.0,,3.0,256.0,7.0,12.0,17.0,93.0,16.0,4.0,13.0,29.0,0.0,1.0,8.0,3.0,10.0,0.9066,4.0,9.0,5.0,1.0,,,1.0,,1.0,,,,,1.0,,1.0,2.0,7.0,,,1.0,,2.0,,,1.0,,,2.0,,2.0,,,,,,,,2.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,
19,2562084,2025-12-30 19:30:00,"London Stadium, London",62438.0,Home,West Ham United,Brighton and Hove Albion,2,2,D,2.0,1.0,0,0,0.0,1.0,56.0,0.0,2.0,3.0,1.9461,31.0,27.0,,7.0,10.0,5.0,2.0,,148.0,0.0,2.0,4.0,2.0,3.0,8.0,1.0,4.0,63.0,133.0,58.0,10.0,,18.0,2.0,1.0,,1.0,16.0,14.0,0.0,27.0,5.0,6.0,31.0,2.7004,139.0,0.0,0.0,96.0,11.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,42.0,63.0,6.0,54.0,1.0,2.0,11.0,18.0,,0.0,0.0,4.0,,133.0,8.0,0.0,70.0,544.0,6.0,5.0,21.0,1.0,9.0,236.0,29.0,10.0,11.0,3.0,4.0,2.0,0.510639,14.0,305.0,50.0,32.68,214048,7.0,114.0,6.0,,1.0,138.0,9.0,116079.27,0.0,5.0,8.0,50.0,0.0,1.0,0.0,6.0,1.0,17.0,8.0,2.0,,1.0,67.0,251.0,16.0,8.0,1.0,28.0,1.0,73.0,0.0,0.0,,,0.0,1.0,0.0,1.0,5.0,3.0,2.0,2.0,1.0,0.0,2.0,1.0,2.0,38.5,11.0,1.0,3.0,2.0,1.0,6.0,3.0,35.0,5.0,2.0,335.0,9.0,10.0,16.0,3.0,22.0,,3.0,213.0,1.0,6.0,12.0,67.0,14.0,2.0,11.0,27.0,0.0,2.0,7.0,5.0,7.0,2.06,2.0,5.0,5.0,,,1.0,,,3.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,,2.0,1.0,2.0,3.0,,,,,1.0,3.0,,3.0,1.0,,,,1.0,,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,
20,2562094,2026-01-03 15:00:00,"Molineux Stadium, Wolverhampton",29874.0,Away,West Ham United,Wolverhampton Wanderers,0,3,L,0.0,3.0,0,0,1.0,,44.0,0.0,0.0,,,26.0,15.0,2.0,2.0,4.0,5.0,0.0,,168.0,0.0,7.0,8.0,0.0,4.0,4.0,,,182.0,134.0,58.0,6.0,1.0,15.0,,,,1.0,28.0,17.0,0.0,15.0,7.0,16.0,24.0,2.1423,335.0,0.0,0.0,180.0,10.0,0.0,3.0,,0.0,,4.0,1.0,105.0,96.0,,92.0,1.0,1.0,21.0,22.0,2.0,0.0,0.0,11.0,2.0,134.0,8.0,0.0,182.0,818.0,3.0,2.0,25.0,,6.0,530.0,17.0,2.0,10.0,0.0,,4.0,0.783678,16.0,608.0,80.0,34.35,602903,3.0,218.0,6.0,,2.0,229.0,7.0,107817.66,0.0,11.0,4.0,54.0,0.0,4.0,0.0,6.0,0.0,9.0,3.0,4.0,2.0,0.0,42.0,546.0,10.0,6.0,1.0,8.0,2.0,62.0,0.0,0.0,,,0.0,,0.0,1.0,6.0,4.0,0.0,3.0,,0.0,6.0,,1.0,67.2,15.0,1.0,4.0,,,6.0,1.0,43.0,7.0,1.0,624.0,6.0,13.0,8.0,6.0,40.0,1.0,4.0,423.0,3.0,15.0,13.0,130.0,17.0,,10.0,27.0,0.0,2.0,2.0,2.0,18.0,0.2515,,11.0,7.0,,,,,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
21,2562104,2026-01-06 20:00:00,"London Stadium, London",62429.0,Home,West Ham United,Nottingham Forest,1,2,L,1.0,0.0,0,0,0.0,,48.0,0.0,0.0,5.0,0.3728,19.0,33.0,3.0,4.0,11.0,3.0,0.0,3.0,137.0,0.0,2.0,2.0,1.0,,10.0,1.0,3.0,89.0,147.0,66.0,14.0,,21.0,2.0,4.0,3.0,,19.0,19.0,0.0,33.0,6.0,17.0,28.0,2.2785,151.0,0.0,0.0,127.0,15.0,0.0,2.0,,0.0,,1.0,1.0,46.0,62.0,7.0,58.0,,3.0,13.0,13.0,3.0,0.0,0.0,8.0,2.0,147.0,7.0,0.0,95.0,598.0,9.0,6.0,17.0,,7.0,279.0,22.0,3.0,14.0,3.0,3.0,3.0,0.406831,23.0,359.0,70.0,33.53,462116,3.0,141.0,5.0,,,161.0,12.0,107670.04,0.0,9.0,6.0,52.0,0.0,,0.0,4.0,0.0,19.0,6.0,1.0,2.0,0.0,63.0,290.0,9.0,2.0,1.0,24.0,3.0,71.0,0.0,0.0,,,0.0,,0.0,,5.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,47.2,19.0,1.0,4.0,1.0,,5.0,5.0,29.0,6.0,1.0,379.0,7.0,9.0,11.0,6.0,30.0,2.0,4.0,237.0,9.0,17.0,27.0,82.0,15.0,5.0,14.0,28.0,0.0,2.0,9.0,3.0,8.0,0.9466,5.0,9.0,6.0,,,,1.0,,1.0,1.0,1.0,,,1.0,,3.0,,1.0,,3.0,,,1.0,,,,,,1.0,,1.0,,,,,,,1.0,2.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,
22,2562113,2026-01-17 15:00:00,"Tottenham Hotspur Stadium, London",60857.0,Away,West Ham United,Tottenham Hotspur,2,1,W,1.0,0.0,0,0,0.0,,50.0,1.0,0.0,6.0,2.5408,24.0,43.0,,2.0,17.0,5.0,1.0,,113.0,0.0,6.0,6.0,2.0,1.0,12.0,1.0,4.0,74.0,129.0,67.0,17.0,,20.0,2.0,1.0,,,20.0,12.0,0.0,43.0,5.0,5.0,24.0,1.5888,111.0,0.0,0.0,71.0,17.0,0.0,2.0,,1.0,,1.0,,31.0,40.0,8.0,47.0,2.0,3.0,15.0,13.0,,0.0,0.0,3.0,,129.0,15.0,1.0,72.0,541.0,10.0,9.0,28.0,1.0,19.0,210.0,29.0,14.0,26.0,3.0,4.0,4.0,0.583592,12.0,282.0,37.0,34.76,450070,12.0,125.0,11.0,1.0,1.0,146.0,11.0,108346.74,1.0,6.0,10.0,69.0,0.0,,0.0,2.0,1.0,16.0,6.0,9.0,1.0,0.0,49.0,230.0,11.0,13.0,1.0,30.0,5.0,58.0,1.0,0.0,,,0.0,1.0,0.0,1.0,11.0,2.0,2.0,1.0,4.0,0.0,5.0,,4.0,38.3,10.0,2.0,4.0,1.0,1.0,2.0,6.0,30.0,5.0,,306.0,19.0,12.0,12.0,7.0,21.0,1.0,7.0,180.0,10.0,3.0,26.0,45.0,10.0,6.0,26.0,25.0,0.0,1.0,11.0,3.0,13.0,2.846,6.0,6.0,5.0,,,1.0,,,2.0,,,1.0,,,,3.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,3.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
23,2562124,2026-01-24 12:30:00,"London Stadium, London",62456.0,Home,West Ham United,Sunderland,3,1,W,3.0,0.0,0,0,0.0,,37.0,0.0,1.0,2.0,1.2161,26.0,24.0,6.0,6.0,7.0,1.0,1.0,1.0,126.0,0.0,2.0,4.0,3.0,6.0,7.0,1.0,5.0,82.0,132.0,60.0,13.0,1.0,21.0,1.0,,1.0,,13.0,16.0,0.0,24.0,3.0,7.0,27.0,1.094,130.0,1.0,0.0,100.0,9.0,0.0,,,3.0,,5.0,1.0,53.0,59.0,6.0,66.0,1.0,2.0,10.0,10.0,6.0,1.0,0.0,1.0,2.0,132.0,4.0,0.0,92.0,555.0,6.0,4.0,25.0,1.0,5.0,264.0,17.0,3.0,20.0,2.0,1.0,1.0,1.03216,24.0,344.0,56.0,34.74,214590,4.0,151.0,4.0,,2.0,170.0,4.0,108038.85,1.0,7.0,8.0,44.0,0.0,,0.0,2.0,2.0,14.0,3.0,7.0,1.0,1.0,63.0,279.0,16.0,2.0,,29.0,3.0,63.0,1.0,0.0,,,0.0,,0.0,2.0,3.0,,2.0,1.0,1.0,0.0,1.0,3.0,3.0,47.1,19.0,1.0,3.0,2.0,1.0,2.0,3.0,26.0,3.0,1.0,366.0,5.0,3.0,10.0,5.0,21.0,1.0,2.0,209.0,4.0,7.0,15.0,62.0,11.0,3.0,20.0,25.0,1.0,1.0,7.0,4.0,14.0,1.5228,3.0,7.0,3.0,,,1.0,1.0,,2.0,,1.0,1.0,,,,2.0,,,,,,2.0,,,,1.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,,,
24,2562127,2026-01-31 17:30:00,"Stamford Bridge, London",39430.0,Away,West Ham United,Chelsea,2,3,L,2.0,0.0,1,0,0.0,2.0,49.0,1.0,1.0,2.0,1.0477,24.0,47.0,2.0,3.0,8.0,3.0,1.0,2.0,133.0,0.0,2.0,11.0,2.0,2.0,9.0,1.0,6.0,55.0,141.0,51.0,11.0,1.0,17.0,3.0,1.0,3.0,,11.0,9.0,0.0,47.0,3.0,5.0,18.0,2.6361,103.0,1.0,0.0,106.0,13.0,0.0,1.0,,2.0,,,,22.0,51.0,8.0,50.0,1.0,1.0,8.0,19.0,3.0,0.0,0.0,1.0,,141.0,11.0,0.0,62.0,500.0,6.0,8.0,24.0,,7.0,185.0,29.0,10.0,26.0,2.0,4.0,1.0,0.519973,13.0,273.0,60.0,32.2,450070,2.0,104.0,7.0,2.0,2.0,127.0,7.0,115675.86,1.0,6.0,10.0,46.0,0.0,3.0,0.0,4.0,2.0,15.0,3.0,7.0,,0.0,61.0,205.0,11.0,3.0,1.0,35.0,,56.0,0.0,0.0,1.0,,0.0,4.0,0.0,1.0,9.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,,29.2,8.0,,2.0,3.0,,4.0,3.0,20.0,3.0,,300.0,7.0,8.0,7.0,2.0,21.0,,1.0,184.0,8.0,3.0,14.0,54.0,12.0,5.0,26.0,15.0,0.0,3.0,9.0,4.0,17.0,1.1166,5.0,6.0,3.0,1.0,,2.0,1.0,,1.0,1.0,,2.0,,,1.0,2.0,1.0,2.0,,3.0,,,1.0,,,,,,1.0,,1.0,1.0,,,,3.0,,,2.0,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,
