gameweek,matchId,kickoff,ground,attendance,venue,team,opponent,goalsFor,goalsAgainst,result,halfTimeFor,halfTimeAgainst,redCardsFor,redCardsAgainst,goalsConcededObox,ballRecovery,attGoalLowLeft,attGoalLowRight,accurateLongBalls,totalClearance,saves,attLfGoal,fwdPass,attGoalLowCentre,goals,rightsidePass,possLostAll,duelWon,aerialLost,totalCross,wonTackle,attGoalHighRight,effectiveClearance,totalChippedPass,expectedGoalsOnTargetConceded,accurateFwdZonePass,attOboxGoal,yellowCard,totalFinalThirdPasses,fkFoulLost,winningGoal,divingSave,midfielderGoals,passesLeft,passesRight,backwardPass,totalCrossNocorner,attGoalHighCentre,keeperGoals,crosses18yardplus,possLostCtrl,attemptsConcededIbox,subsGoals,leftsidePass,touches,totalFlickOn,interception,successfulOpenPlayPass,possWonDef3rd,accurateLaunches,headClearance,totalYelCard,expectedAssists,totalThrows,openPlayPass,finalThirdEntries,fastestPlayer_topSpeed,fastestPlayer_playerId,accurateBackZonePass,totalBackZonePass,attemptedTackleFoul,totalDistance,attRfGoal,duelLost,ownGoals,defenderGoals,accurateKeeperThrows,goalsOpenplay,unsuccessfulTouch,attPenGoal,totalLongBalls,accuratePass,challengeLost,totalLaunches,longPassOwnToOpp,attGoalHighLeft,attObpGoal,attFreekickGoal,redCard,lostCorners,savedIbox,attIboxGoal,goalsConceded,totalRedCard,possessionPercentage,accurateThrows,possWonAtt3rd,keeperThrows,longPassOwnToOppSuccess,totalPass,interceptionWon,dispossessed,penAreaEntries,totalFwdZonePass,aerialWon,successfulFinalThirdPasses,possWonMid3rd,effectiveBlockedCross,effectiveHeadClearance,totalTackle,attHdGoal,goalsConcededIbox,totalContest,blockedCross,bigChanceScored,savedObox,attIboxBlocked,expectedGoalsOnTarget,attObxCentre,attLfTotal,attemptsIbox,attRfTarget,accurateCross,wonContest,fouledFinalThird,totalAttAssist,accuratePullBack,ontargetScoringAtt,totalScoringAtt,attIboxTarget,accurateKeeperSweeper,attOboxTarget,totalCornersIntobox,totalLayoffs,attMissHighRight,penaltyWon,attSvLowLeft,freekickCross,ontargetAttAssist,interceptionsInBox,attMissRight,putThrough,attemptsObox,attOboxMiss,attAssistOpenplay,touchesInOppBox,attHdTarget,attMissHighLeft,totalKeeperSweeper,outfielderBlock,offtargetAttAssist,attBxCentre,crosses18yard,totalPullBack,blockedPass,goalKicks,attCmissHigh,attemptsConcededObox,accurateGoalKicks,attMissHigh,fkFoulWon,attAssistSetplay,attCorner,punches,overrun,accurateFlickOn,accurateCrossNocorner,attHdTotal,attHdMiss,attBxLeft,blockedScoringAtt,cornerTaken,accurateChippedPass,shotOffTarget,accurateCornersIntobox,attIboxMiss,attRfTotal,accurateLayoffs,forwardGoals,attOpenplay,subsMade,expectedGoals,errorLeadToGoal,successfulPutThrough,wonCorners,shotFastbreak,attSvLowCentre,attMissLeft,attOneOnOne,cleanSheet,totalFastbreak,goodHighClaim,bigChanceCreated,accurateThroughBall,bigChanceMissed,sixYardBlock,totalThroughBall,totalOffside,attFastbreak,totalHighClaim,handBall,attPenTarget,attOboxBlocked,goalAssistOpenplay,contentiousDecision,goalAssist,attSetpiece,penaltyConceded,goalAssistIntentional,shieldBallOop,attSvHighCentre,penaltyFaced,penGoalsConceded,ptsDroppedWinningPos,attLfTarget,goalAssistSetplay,attCmissRight,goalFastbreak,attSvHighRight,ptsGainedLosingPos,accurateFreekickCross,errorLeadToShot,attBxRight,attIboxOwnGoal,penaltySave,attSvHighLeft,foulThrowIn,attIboxPost,attCmissHighLeft,attCmissHighRight,postScoringAtt,attHdPost,hitWoodwork,attSvLowRight,attCmissLeft,attPostHigh,attFreekickTotal,freekickTotal,expectedGoalsFreekick,attFreekickMiss,clearanceOffLine,goalAssistDeadball,attLgRight,attOboxPost,attPostRight,attFreekickPost,attPostLeft,attObxdLeft,attFreekickTarget,attObxdRight
25,2562143,2026-02-07 17:30:00,"St. James' Park, Newcastle",52032.0,Away,Brentford,Newcastle United,3,2,W,2.0,1.0,0,0,0.0,53.0,2.0,1.0,20.0,22.0,1.0,1.0,155.0,0.0,3.0,72.0,140.0,49.0,23.0,13.0,10.0,0.0,22.0,40.0,1.7469,137.0,0.0,0.0,109.0,18.0,0.0,1.0,2.0,47.0,44.0,81.0,10.0,0.0,0.0,4.0,140.0,10.0,0.0,71.0,531.0,8.0,3.0,274.0,20.0,6.0,8.0,2.0,0.706387,21.0,356.0,64.0,33.35,533463,151.0,170.0,8.0,119249.13,1.0,59.0,0.0,0.0,2.0,2.0,15.0,1.0,66.0,286.0,10.0,28.0,78.0,0.0,0.0,0.0,0.0,9.0,1.0,3.0,2.0,0.0,46.2,12.0,5.0,2.0,36.0,379.0,3.0,5.0,28.0,222.0,16.0,61.0,23.0,1.0,8.0,15.0,1.0,2.0,10.0,1.0,2.0,1.0,2.0,1.6254,5.0,4.0,6.0,1.0,2.0,6.0,5.0,8.0,,5.0,11.0,,,2.0,3.0,7.0,,1.0,2.0,1.0,6.0,1.0,,11.0,5.0,1.0,6.0,21.0,,,,4.0,2.0,4.0,5.0,1.0,3.0,8.0,,6.0,3.0,2.0,12.0,,,2.0,1.0,6.0,2.0,1.0,,,4.0,3.0,13.0,2.0,,1.0,6.0,7.0,1.0,8.0,3.0,1.788,,3.0,3.0,4.0,,,,,4.0,,3.0,,2.0,1.0,,2.0,4.0,,,,2.0,2.0,,2.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,,,,,3.0,,,2.0,,,,,,,,,,,,,,1.0,1.0,0.0479,,1.0,,,,,,,,,
26,2562146,2026-02-12 20:00:00,"Gtech Community Stadium, Brentford",17224.0,Home,Brentford,Arsenal,1,1,D,0.0,0.0,0,0,0.0,42.0,0.0,0.0,23.0,28.0,1.0,0.0,121.0,0.0,1.0,75.0,128.0,35.0,21.0,15.0,6.0,0.0,28.0,28.0,0.9457,89.0,0.0,0.0,78.0,12.0,0.0,1.0,1.0,34.0,37.0,48.0,9.0,1.0,0.0,1.0,128.0,6.0,0.0,70.0,497.0,13.0,12.0,227.0,28.0,5.0,13.0,3.0,1.07003,23.0,298.0,39.0,33.82,533463,151.0,171.0,3.0,112774.82,0.0,58.0,0.0,0.0,2.0,0.0,11.0,0.0,63.0,235.0,3.0,31.0,57.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,40.8,17.0,1.0,2.0,25.0,314.0,12.0,8.0,32.0,158.0,7.0,40.0,10.0,1.0,13.0,11.0,1.0,1.0,20.0,1.0,1.0,,2.0,1.8674,3.0,3.0,9.0,1.0,5.0,6.0,2.0,9.0,,3.0,12.0,2.0,1.0,,6.0,6.0,,,1.0,2.0,6.0,4.0,3.0,9.0,3.0,,7.0,23.0,1.0,,1.0,3.0,3.0,3.0,6.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,11.0,1.0,2.0,,,5.0,3.0,4.0,1.0,2.0,5.0,6.0,16.0,4.0,2.0,4.0,5.0,2.0,,7.0,3.0,1.5068,,4.0,6.0,4.0,,,,,4.0,,3.0,1.0,2.0,1.0,3.0,,4.0,,,,3.0,,,1.0,,,1.0,2.0,,,,,,1.0,2.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
27,2562156,2026-02-21 15:00:00,"Gtech Community Stadium, Brentford",17163.0,Home,Brentford,Brighton and Hove Albion,0,2,L,0.0,2.0,0,0,0.0,40.0,0.0,0.0,22.0,21.0,5.0,0.0,157.0,0.0,0.0,93.0,148.0,46.0,26.0,21.0,6.0,0.0,21.0,37.0,1.3341,146.0,0.0,0.0,105.0,9.0,0.0,1.0,0.0,50.0,57.0,90.0,15.0,0.0,0.0,6.0,148.0,6.0,0.0,99.0,617.0,7.0,10.0,327.0,18.0,7.0,15.0,1.0,1.80619,25.0,418.0,54.0,32.5,533463,203.0,232.0,5.0,113056.56,0.0,54.0,0.0,0.0,3.0,0.0,12.0,0.0,66.0,343.0,3.0,33.0,76.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,51.9,19.0,2.0,4.0,32.0,439.0,10.0,10.0,30.0,228.0,21.0,74.0,13.0,,15.0,8.0,0.0,2.0,11.0,,,2.0,,0.595,4.0,2.0,9.0,3.0,6.0,5.0,3.0,8.0,,3.0,13.0,1.0,1.0,2.0,6.0,10.0,1.0,,,2.0,1.0,,1.0,11.0,4.0,2.0,7.0,24.0,,1.0,1.0,1.0,7.0,2.0,7.0,,4.0,5.0,1.0,5.0,3.0,5.0,12.0,1.0,3.0,,1.0,2.0,4.0,5.0,5.0,,,6.0,17.0,10.0,2.0,8.0,5.0,9.0,,6.0,5.0,1.6019,1.0,4.0,6.0,1.0,1.0,2.0,,,1.0,,3.0,1.0,3.0,,3.0,1.0,1.0,,,,,,,,3.0,,,,1.0,,,,,,,,,,2.0,1.0,3.0,,,,,,,1.0,,,,1.0,,,1.0,1.0,0.0415,,,,,,,,,,1.0,
28,2562168,2026-02-28 15:00:00,"Turf Moor, Burnley",20069.0,Away,Brentford,Burnley,4,3,W,3.0,1.0,0,0,0.0,51.0,2.0,1.0,28.0,28.0,1.0,1.0,149.0,1.0,4.0,128.0,143.0,66.0,16.0,22.0,11.0,0.0,28.0,32.0,1.2825,155.0,0.0,0.0,108.0,9.0,0.0,,3.0,74.0,32.0,67.0,15.0,0.0,0.0,7.0,143.0,10.0,0.0,119.0,656.0,10.0,8.0,361.0,19.0,9.0,18.0,2.0,0.880287,14.0,441.0,48.0,34.93,513418,226.0,245.0,3.0,116884.69,2.0,52.0,1.0,0.0,6.0,2.0,17.0,0.0,62.0,376.0,16.0,29.0,74.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,3.0,0.0,58.7,9.0,3.0,6.0,40.0,463.0,8.0,4.0,36.0,240.0,29.0,68.0,23.0,1.0,18.0,14.0,1.0,3.0,24.0,1.0,4.0,,3.0,2.809,3.0,4.0,13.0,2.0,5.0,15.0,2.0,13.0,,7.0,16.0,2.0,,1.0,7.0,11.0,,,,1.0,9.0,1.0,1.0,11.0,3.0,,8.0,44.0,1.0,,,2.0,4.0,7.0,7.0,,3.0,8.0,,3.0,5.0,,8.0,2.0,2.0,,4.0,2.0,3.0,4.0,2.0,4.0,5.0,8.0,15.0,4.0,2.0,4.0,8.0,11.0,1.0,8.0,3.0,2.2464,1.0,3.0,8.0,,1.0,3.0,,,,,4.0,1.0,1.0,1.0,2.0,,,,2.0,,2.0,2.0,,3.0,,,3.0,2.0,,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,2.0,1.0,,1.0,1.0,0.0521,,,1.0,,,,,,,1.0,
29,2562175,2026-03-03 19:30:00,"Vitality Stadium, Bournemouth",11108.0,Away,Brentford,Bournemouth,0,0,D,0.0,0.0,0,0,0.0,60.0,0.0,0.0,34.0,30.0,2.0,0.0,174.0,0.0,0.0,105.0,157.0,52.0,27.0,15.0,3.0,0.0,30.0,32.0,0.4472,140.0,0.0,0.0,108.0,10.0,0.0,1.0,0.0,38.0,77.0,59.0,12.0,0.0,0.0,5.0,157.0,9.0,0.0,116.0,635.0,18.0,6.0,325.0,28.0,13.0,16.0,1.0,0.579607,21.0,426.0,54.0,35.2,513418,210.0,246.0,4.0,117177.02,0.0,57.0,0.0,0.0,4.0,0.0,16.0,0.0,77.0,348.0,8.0,43.0,64.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,52.3,15.0,4.0,5.0,34.0,454.0,6.0,10.0,38.0,223.0,24.0,61.0,22.0,1.0,16.0,14.0,0.0,0.0,8.0,1.0,,1.0,,0.2186,2.0,2.0,3.0,,2.0,5.0,2.0,5.0,,2.0,5.0,2.0,,,3.0,8.0,,,,,4.0,3.0,,15.0,2.0,,3.0,15.0,1.0,,,2.0,1.0,2.0,7.0,,8.0,15.0,,4.0,11.0,1.0,9.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,,2.0,3.0,20.0,1.0,1.0,1.0,1.0,7.0,,3.0,3.0,0.3981,,8.0,3.0,1.0,2.0,,,1.0,1.0,1.0,2.0,,2.0,,2.0,,1.0,1.0,,,2.0,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2562186,2026-03-16 20:00:00,"Gtech Community Stadium, Brentford",17155.0,Home,Brentford,Wolverhampton Wanderers,2,2,D,2.0,1.0,0,0,1.0,52.0,0.0,1.0,24.0,25.0,2.0,0.0,160.0,1.0,2.0,92.0,134.0,48.0,10.0,14.0,10.0,0.0,25.0,43.0,1.2368,134.0,0.0,0.0,105.0,12.0,0.0,,0.0,45.0,52.0,75.0,13.0,0.0,0.0,6.0,134.0,9.0,0.0,111.0,601.0,8.0,11.0,319.0,24.0,3.0,17.0,2.0,2.30014,16.0,417.0,49.0,33.12,533463,209.0,232.0,5.0,115362.13,1.0,35.0,0.0,1.0,3.0,2.0,11.0,0.0,60.0,336.0,6.0,23.0,69.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,0.0,49.8,12.0,4.0,4.0,33.0,438.0,11.0,4.0,29.0,220.0,20.0,63.0,18.0,4.0,17.0,15.0,1.0,1.0,7.0,4.0,2.0,,,1.8347,1.0,1.0,9.0,,7.0,3.0,2.0,9.0,,3.0,10.0,1.0,,1.0,1.0,6.0,,,,2.0,2.0,1.0,2.0,16.0,1.0,,5.0,23.0,1.0,,,2.0,7.0,7.0,5.0,,8.0,7.0,2.0,4.0,5.0,3.0,10.0,2.0,,,1.0,3.0,7.0,5.0,3.0,,,1.0,19.0,7.0,,6.0,2.0,5.0,1.0,7.0,3.0,2.5608,,8.0,1.0,,1.0,1.0,,,,1.0,5.0,2.0,3.0,,2.0,,,1.0,1.0,,,2.0,,2.0,1.0,,2.0,1.0,,,,2.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,
31,2562200,2026-03-21 20:00:00,"Elland Road, Leeds",36386.0,Away,Brentford,Leeds United,0,0,D,0.0,0.0,0,0,0.0,57.0,0.0,0.0,16.0,47.0,4.0,0.0,164.0,0.0,0.0,61.0,167.0,64.0,39.0,13.0,8.0,0.0,47.0,32.0,0.7239,84.0,0.0,0.0,84.0,9.0,0.0,1.0,0.0,50.0,28.0,54.0,11.0,0.0,0.0,4.0,167.0,6.0,0.0,79.0,573.0,10.0,7.0,228.0,25.0,7.0,29.0,0.0,0.254106,26.0,337.0,56.0,35.72,513418,155.0,187.0,1.0,116543.35,0.0,68.0,0.0,0.0,7.0,0.0,9.0,0.0,83.0,234.0,5.0,41.0,78.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,43.0,19.0,4.0,7.0,27.0,358.0,7.0,7.0,32.0,184.0,41.0,31.0,17.0,3.0,29.0,11.0,0.0,0.0,15.0,3.0,,3.0,,0.1875,2.0,1.0,4.0,,5.0,7.0,1.0,4.0,,2.0,6.0,2.0,,,2.0,9.0,,,1.0,,2.0,1.0,1.0,19.0,2.0,1.0,3.0,19.0,2.0,,,7.0,2.0,3.0,7.0,,9.0,12.0,,8.0,2.0,,5.0,1.0,,2.0,1.0,3.0,4.0,2.0,,1.0,1.0,2.0,7.0,3.0,1.0,2.0,3.0,8.0,,3.0,1.0,0.4616,,9.0,2.0,,,2.0,,1.0,,,,,,,1.0,3.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,1.0,0.1024,,,,,,,,,,,
32,2562206,2026-04-11 15:00:00,"Gtech Community Stadium, Brentford",17220.0,Home,Brentford,Everton,2,2,D,1.0,1.0,0,0,0.0,57.0,1.0,0.0,38.0,30.0,4.0,0.0,148.0,1.0,2.0,112.0,148.0,46.0,17.0,22.0,8.0,0.0,30.0,27.0,2.1859,202.0,0.0,0.0,135.0,6.0,0.0,3.0,0.0,64.0,74.0,70.0,20.0,0.0,0.0,7.0,148.0,9.0,0.0,127.0,681.0,2.0,8.0,365.0,30.0,5.0,17.0,0.0,1.24756,18.0,438.0,70.0,33.13,249231,187.0,203.0,3.0,112831.5,2.0,41.0,0.0,0.0,3.0,1.0,28.0,1.0,72.0,380.0,2.0,26.0,61.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,0.0,54.7,10.0,3.0,3.0,35.0,457.0,8.0,9.0,36.0,276.0,16.0,93.0,19.0,1.0,17.0,15.0,0.0,2.0,15.0,1.0,1.0,,3.0,1.6314,5.0,1.0,12.0,1.0,9.0,8.0,2.0,12.0,,4.0,17.0,2.0,,,2.0,4.0,,1.0,,1.0,6.0,1.0,2.0,13.0,5.0,2.0,9.0,35.0,1.0,,,5.0,6.0,6.0,12.0,1.0,6.0,9.0,,5.0,7.0,2.0,7.0,2.0,4.0,2.0,6.0,1.0,7.0,6.0,3.0,1.0,6.0,2.0,16.0,7.0,2.0,3.0,10.0,3.0,2.0,9.0,1.0,2.8376,1.0,6.0,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,3.0,2.0,3.0,,1.0,1.0,,,3.0,1.0,,1.0,2.0,,,1.0,,,,2.0,,,2.0,,,,1.0,2.0,1.0,,,1.0,,2.0,,,2.0,2.0,2.0,,,2.0,,,,,1.0,,,,,,,,,
33,2562216,2026-04-18 12:30:00,"Gtech Community Stadium, Brentford",17171.0,Home,Brentford,Fulham,0,0,D,0.0,0.0,0,0,0.0,45.0,0.0,0.0,16.0,15.0,,0.0,135.0,0.0,0.0,90.0,135.0,48.0,20.0,22.0,7.0,0.0,15.0,37.0,,118.0,0.0,0.0,95.0,8.0,0.0,,0.0,41.0,43.0,67.0,14.0,0.0,0.0,3.0,135.0,8.0,0.0,99.0,567.0,3.0,3.0,293.0,13.0,3.0,6.0,0.0,1.16278,19.0,367.0,58.0,34.77,533463,200.0,218.0,3.0,114857.7,0.0,46.0,0.0,0.0,9.0,0.0,17.0,0.0,60.0,310.0,5.0,26.0,59.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,48.1,12.0,3.0,9.0,23.0,391.0,3.0,5.0,31.0,195.0,18.0,58.0,19.0,2.0,6.0,12.0,0.0,0.0,15.0,2.0,,,3.0,0.2715,1.0,3.0,12.0,1.0,8.0,7.0,2.0,13.0,1.0,4.0,13.0,3.0,,1.0,8.0,16.0,1.0,,,2.0,7.0,,3.0,16.0,1.0,,8.0,22.0,1.0,,,5.0,6.0,7.0,9.0,1.0,4.0,9.0,,3.0,6.0,1.0,12.0,5.0,6.0,,2.0,2.0,4.0,7.0,4.0,1.0,3.0,9.0,18.0,6.0,4.0,6.0,3.0,15.0,,6.0,,1.4289,,4.0,9.0,,2.0,2.0,,1.0,,2.0,4.0,,4.0,2.0,1.0,1.0,,2.0,,,,,,,1.0,,,2.0,1.0,,,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
34,2562231,2026-04-27 20:00:00,"Old Trafford, Manchester",73773.0,Away,Brentford,Manchester United,1,2,L,0.0,2.0,0,0,0.0,53.0,1.0,0.0,24.0,21.0,3.0,0.0,150.0,0.0,1.0,138.0,143.0,32.0,23.0,33.0,5.0,0.0,21.0,31.0,1.7851,256.0,1.0,0.0,180.0,9.0,0.0,2.0,1.0,83.0,69.0,81.0,26.0,0.0,0.0,12.0,143.0,7.0,0.0,128.0,701.0,1.0,15.0,419.0,19.0,4.0,11.0,4.0,1.27035,11.0,482.0,56.0,32.81,249231,185.0,192.0,3.0,112136.85,1.0,68.0,0.0,0.0,3.0,0.0,17.0,0.0,45.0,433.0,7.0,11.0,60.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,2.0,0.0,55.2,6.0,2.0,3.0,38.0,497.0,15.0,13.0,48.0,338.0,9.0,139.0,29.0,,11.0,9.0,0.0,2.0,24.0,,,,3.0,0.9135,3.0,3.0,9.0,1.0,8.0,8.0,1.0,7.0,,4.0,12.0,3.0,,,7.0,6.0,,,1.0,1.0,5.0,2.0,1.0,18.0,3.0,1.0,6.0,42.0,1.0,,,1.0,2.0,5.0,13.0,,10.0,5.0,,4.0,4.0,,6.0,1.0,6.0,,1.0,,7.0,2.0,1.0,1.0,4.0,8.0,15.0,4.0,1.0,2.0,7.0,6.0,,6.0,1.0,1.1741,,10.0,8.0,,1.0,3.0,1.0,,,,1.0,2.0,2.0,2.0,2.0,2.0,,,,,1.0,,,1.0,,,1.0,,2.0,,,,1.0,1.0,,,,,1.0,,1.0,,,,,1.0,,,1.0,1.0,1.0,,2.0,,,,,,1.0,,,,1.0,,,,,
35,2562238,2026-05-02 15:00:00,"Gtech Community Stadium, Brentford",17194.0,Home,Brentford,West Ham United,3,0,W,1.0,0.0,0,0,0.0,42.0,0.0,2.0,22.0,20.0,4.0,0.0,130.0,0.0,3.0,87.0,123.0,56.0,20.0,13.0,12.0,0.0,20.0,23.0,0.54,141.0,0.0,0.0,94.0,8.0,0.0,1.0,1.0,53.0,42.0,42.0,11.0,0.0,0.0,5.0,123.0,8.0,0.0,74.0,512.0,6.0,5.0,246.0,21.0,7.0,14.0,1.0,1.0853,19.0,311.0,46.0,33.87,607464,127.0,146.0,3.0,105067.0,2.0,56.0,0.0,0.0,6.0,1.0,12.0,1.0,50.0,263.0,5.0,24.0,55.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,48.4,12.0,3.0,6.0,27.0,333.0,5.0,7.0,32.0,200.0,19.0,65.0,11.0,2.0,14.0,19.0,0.0,0.0,25.0,2.0,1.0,2.0,1.0,1.4163,7.0,4.0,7.0,1.0,5.0,7.0,3.0,8.0,,6.0,14.0,3.0,1.0,1.0,2.0,9.0,1.0,1.0,,1.0,6.0,,3.0,8.0,7.0,4.0,6.0,23.0,2.0,,1.0,,2.0,4.0,5.0,,5.0,11.0,,5.0,9.0,,12.0,1.0,2.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,3.0,2.0,13.0,5.0,,1.0,7.0,7.0,1.0,7.0,4.0,2.2743,,5.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,,2.0,,3.0,,1.0,,2.0,,1.0,,2.0,1.0,,1.0,2.0,,1.0,,,,,,1.0,,3.0,,1.0,,,1.0,,,,,,,,,,,1.0,,1.0,,1.0,1.0,0.0574,,,,,,,,,,,1.0
36,2562250,2026-05-09 17:30:00,"Etihad Stadium, Manchester",,Away,Brentford,Manchester City,0,0,D,0.0,0.0,0,0,0.0,12.0,0.0,0.0,3.0,5.0,1.0,0.0,17.0,0.0,0.0,14.0,22.0,6.0,1.0,1.0,2.0,0.0,5.0,3.0,0.0458,14.0,0.0,0.0,25.0,1.0,0.0,1.0,0.0,12.0,7.0,11.0,1.0,0.0,0.0,1.0,22.0,1.0,0.0,10.0,73.0,1.0,2.0,35.0,4.0,1.0,2.0,0.0,0.00637266,2.0,51.0,10.0,34.79,502500,22.0,24.0,1.0,16465.44,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,10.0,36.0,3.0,4.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,37.5,1.0,1.0,1.0,2.0,52.0,2.0,1.0,2.0,29.0,3.0,13.0,6.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2562258,2026-05-17 15:00:00,"Gtech Community Stadium, Brentford",,Home,Brentford,Crystal Palace,0,0,D,,,0,0,1.0,67.0,0.0,1.0,27.0,40.0,3.0,0.0,173.0,0.0,2.0,115.0,158.0,43.0,21.0,22.0,4.0,0.0,40.0,37.0,0.9641,165.0,0.0,0.0,143.0,7.0,0.0,1.0,2.0,64.0,60.0,64.0,14.0,0.0,0.0,2.0,158.0,10.0,0.0,115.0,672.0,12.0,7.0,360.0,26.0,3.0,25.0,1.0,1.32758,16.0,451.0,71.0,35.15,513418,210.0,222.0,3.0,115079.08,0.0,46.0,0.0,0.0,9.0,1.0,16.0,0.0,60.0,372.0,2.0,18.0,70.0,1.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,58.2,10.0,4.0,9.0,41.0,467.0,7.0,8.0,45.0,267.0,27.0,80.0,27.0,2.0,25.0,5.0,2.0,1.0,16.0,2.0,1.0,2.0,2.0,2.1682,3.0,5.0,11.0,,3.0,6.0,3.0,10.0,1.0,3.0,14.0,1.0,1.0,,8.0,8.0,,,1.0,2.0,4.0,1.0,3.0,16.0,3.0,2.0,6.0,29.0,,,1.0,6.0,6.0,4.0,10.0,2.0,7.0,7.0,2.0,6.0,4.0,4.0,5.0,3.0,3.0,,2.0,5.0,,4.0,2.0,3.0,3.0,9.0,19.0,8.0,3.0,6.0,5.0,6.0,,6.0,4.0,1.7143,1.0,7.0,9.0,1.0,,1.0,,,1.0,,1.0,,,,2.0,2.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,2562269,2026-05-24 16:00:00,"Anfield, Liverpool",,Away,Brentford,Liverpool,0,0,D,,,0,0,0.0,50.0,1.0,0.0,15.0,28.0,7.0,0.0,134.0,0.0,1.0,73.0,117.0,49.0,15.0,18.0,10.0,0.0,28.0,29.0,2.6815,116.0,0.0,0.0,81.0,9.0,0.0,3.0,1.0,34.0,40.0,54.0,17.0,0.0,0.0,7.0,117.0,17.0,0.0,72.0,523.0,5.0,3.0,246.0,22.0,4.0,15.0,3.0,1.29781,11.0,306.0,26.0,35.6,513418,152.0,171.0,4.0,109982.79,0.0,46.0,0.0,0.0,4.0,1.0,14.0,0.0,51.0,262.0,8.0,21.0,65.0,0.0,0.0,0.0,0.0,14.0,6.0,1.0,1.0,0.0,39.8,7.0,1.0,4.0,32.0,333.0,3.0,6.0,23.0,180.0,12.0,55.0,21.0,3.0,15.0,21.0,1.0,1.0,16.0,3.0,1.0,1.0,3.0,0.8443,1.0,3.0,9.0,1.0,6.0,7.0,2.0,8.0,,2.0,11.0,1.0,,,1.0,13.0,,,,1.0,3.0,1.0,2.0,16.0,2.0,2.0,7.0,24.0,,1.0,,8.0,5.0,5.0,9.0,,8.0,15.0,1.0,7.0,6.0,2.0,9.0,1.0,1.0,3.0,1.0,3.0,5.0,5.0,3.0,3.0,3.0,2.0,17.0,6.0,1.0,4.0,3.0,12.0,,8.0,3.0,1.5642,,8.0,2.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,2.0,,,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,0.0371,1.0,,,,,,,,1.0,,
